"job_title","department","earnings"
"POLICE OFFICER","PATROL","92430.84"
"POLICE OFFICER","PATROL","92357.2"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","92285.98"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","92277.1"
"CHIEF BUILDING OFFICIAL","COMM DEV & NEIGHBORHOOD SVCS","92117.22"
"CUST CARE & TECHNOLOGY MGR","UTILITIES CUSTOMER CONNECTIONS","92044.4"
"CHIEF CONSTRUCTION INSPECTOR","ENGINEERING","91961.71"
"POLICE OFFICER","PATROL","91915.51"
"CHIEF PLANNER","COMM DEV & NEIGHBORHOOD SVCS","91812.28"
"LAB QUALITY ASSURANCE COORD","UT WATER QUALITY SERVICES DIV","91728.47"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","91727.32"
"MGR OF FORESTRY/ CITY FORESTER","PARKS","91681.86"
"POLICE CORPORAL","PATROL","91631.58"
"POLICE OFFICER","PATROL","91519.53"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","91492.03"
"POLICE OFFICER","PATROL","91477.16"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","91381.17"
"CAPTAIN I - 56 HR/WK","POUDRE FIRE AUTHORITY","91181.35"
"POLICE OFFICER","INVESTIGATIONS","91171.54"
"SR ELECTRIC SYSTEMS OPERATOR","L&P OPERATIONS SERVICE UNIT","91118.54"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","91033.37"
"POLICE OFFICER","PATROL","91023.68"
"SUBSTATION SPECIALIST","UT ELEC SYSTEM DESIGN & IT DIV","90993.38"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","90981.93"
"HUMAN RESOURCES MANAGER","LIBRARY DISTRICT","90965.0"
"POLICE OFFICER","INVESTIGATIONS","90913.44"
"POLICE OFFICER","INVESTIGATIONS","90895.48"
"COMMUNITY ENGAGEMENT MANAGER","UTILITIES CUSTOMER CONNECTIONS","90878.1"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","90837.36"
"SUBSTATION SPECIALIST","UT ELEC SYSTEM DESIGN & IT DIV","90835.81"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","90830.5"
"FACILITIES PROJECT MANAGER","OPERATION SERVICES","90747.62"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","90677.71"
"ENVIRONMENTAL REGULATORY SPEC","UT ENVIRO REGULATORY AFFAIRS","90652.5"
"ENVIRONMENTAL PROGRAM MANAGER","NATURAL AREAS","90617.85"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","90530.12"
"POLICE OFFICER","INVESTIGATIONS","90412.3"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","90327.8"
"POLICE OFFICER","OFFICE OF THE CHIEF","90315.98"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","90312.63"
"SR ENERGY SERVICES ENGINEER","UTILITIES CUSTOMER CONNECTIONS","90232.02"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","90197.36"
"POLICE OFFICER","PATROL","90084.62"
"POLICE OFFICER","PATROL","89918.01"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","89901.66"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","89873.46"
"UTILITY RATE ANALYST","UTILITY FINANCIAL OPERATIONS","89766.76"
"POLICE OFFICER","PATROL","89735.39"
"POLICE OFFICER","PATROL","89729.96"
"CIVIL ENGINEER II","ENGINEERING","89725.75"
"POLICE OFFICER","PATROL","89579.21"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","89577.98"
"POLICE LIEUTENANT","PATROL","89545.13"
"POLICE OFFICER","PATROL","89543.27"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","89541.0"
"POLICE OFFICER","PATROL","89505.66"
"POLICE OFFICER","PATROL","89505.51"
"SYSTEMS ADMINISTRATOR","INFORMATION TECHNOLOGY","89468.92"
"POLICE OFFICER","PATROL","89453.59"
"POLICE OFFICER","PATROL","89438.21"
"WATER UTIL FIELD OPNS SUPNTNDT","UT DRAINAGE SYSTEM DIV","89307.69"
"POLICE OFFICER","PATROL","89277.36"
"ENVIRONMENTAL REGULATORY SPEC","UT ENVIRO REGULATORY AFFAIRS","89269.66"
"UTILITIES FINANCIAL OPS MGR","UTILITY FINANCIAL OPERATIONS","89249.0"
"PROJECT MANAGER/DDA","DOWNTOWN DEVELOPMENT AUTHORITY","89167.37"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","89059.31"
"POLICE OFFICER","PATROL","89042.59"
"MANAGER OF PARKS","PARKS","89036.68"
"INVESTMENT ADMINISTRATOR","ACCOUNTING AND TREASURY","89031.16"
"POLICE OFFICER","INVESTIGATIONS","88907.12"
"POLICE OFFICER","PATROL","88880.7"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","88871.88"
"CHIEF SURVEYOR","ENGINEERING","88812.29"
"POLICE OFFICER","PATROL","88797.36"
"POLICE OFFICER","INVESTIGATIONS","88748.76"
"SYSTEMS ADMINISTRATOR","INFORMATION TECHNOLOGY","88723.02"
"POLICE OFFICER","PATROL","88682.55"
"EMERG SERVICES DISPATCH SUPV","POLICE INFORMATION SERVICES","88678.07"
"POLICE OFFICER","INVESTIGATIONS","88592.89"
"EMERG SERVICES DISPATCH SUPV","POLICE INFORMATION SERVICES","88564.64"
"POLICE CORPORAL","PATROL","88527.65"
"SERVICE DEVELOPMENT MANAGER","TRANSFORT / PARKING SERVICES","88490.85"
"POLICE OFFICER","PATROL","88443.35"
"SPECIAL PROJECTS MANAGER","UT WATER UTL ENGINEERING DIV","88383.99"
"GIS MANAGER","INFORMATION TECHNOLOGY","88366.77"
"FLEET MAINTENANCE TECHNICIAN","POUDRE FIRE AUTHORITY","88315.9"
"SYSTEMS ANALYST","INFORMATION TECHNOLOGY","88314.67"
"PROCESS CONTROL SUPERVISOR","UT WTR RECLAMA & BIOSOLIDS DIV","88297.68"
"SR CONSTRUCTION INSPECTOR","ENGINEERING","88256.55"
"ASSISTANT CITY ATTORNEY II","CITY ATTORNEY'S OFFICE","88215.64"
"ENVIRONMENTAL REGULATORY SPEC","UT ENVIRO REGULATORY AFFAIRS","88192.98"
"CIVIL ENGINEER II","UT WATER UTL ENGINEERING DIV","88074.25"
"POLICE OFFICER","PATROL","87952.99"
"LEARNING & ORG DEV MANAGER","HUMAN RESOURCES","87926.25"
"POLICE OFFICER","PATROL","87920.13"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","87895.5"
"PLANS EXAMINER","COMM DEV & NEIGHBORHOOD SVCS","87810.7"
"MUSEUM DIRECTOR","CULTURAL SERVICES","87757.71"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","87691.16"
"ENVIRONMENTAL PROGRAM MANAGER","NATURAL AREAS","87670.26"
"POLICE OFFICER","PATROL","87663.18"
"POLICE OFFICER","PATROL","87532.18"
"POLICE OFFICER","PATROL","87454.68"
"POLICE OFFICER","PATROL","87418.74"
"POLICE OFFICER","PATROL","87342.81"
"POLICE OFFICER","PATROL","87326.12"
"SPECIAL PROJECTS MANAGER","UT WATER UTL ENGINEERING DIV","87261.6"
"FIREFIGHTER I - 56 HR/WK","POUDRE FIRE AUTHORITY","87227.46"
"ECONOMIC HEALTH MANAGER","ECONOMIC HEALTH OFFICE","87185.65"
"POLICE OFFICER","PATROL","87179.03"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","87175.93"
"POLICE OFFICER","PATROL","87066.07"
"SPECIAL PROJECTS MANAGER","UT WATER UTL ENGINEERING DIV","87066.0"
"SPECIAL PROJECTS MANAGER","UT WATER SYSTEMS ENGR DIV","87057.0"
"CIVIL ENGINEER II","ENGINEERING","87038.0"
"POLICE OFFICER","PATROL","86964.82"
"SR ENERGY SERVICES ENGINEER","UTILITIES CUSTOMER CONNECTIONS","86902.5"
"POLICE OFFICER","INVESTIGATIONS","86862.27"
"SYSTEMS ANALYST","INFORMATION TECHNOLOGY","86842.28"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","86832.67"
"ENERGY MANAGER","OPERATION SERVICES","86810.42"
"SYSTEMS ANALYST","INFORMATION TECHNOLOGY","86780.22"
"POLICE OFFICER","PATROL","86748.97"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","86741.72"
"POLICE LIEUTENANT","PATROL","86680.24"
"SYSTEMS ADMINISTRATOR","INFORMATION TECHNOLOGY","86679.48"
"ASSISTANT CITY ATTORNEY II","CITY ATTORNEY'S OFFICE","86662.98"
"POLICE OFFICER","PATROL","86660.04"
"POLICE OFFICER","PATROL","86637.67"
"FACILITIES PROJECT MANAGER","OPERATION SERVICES","86632.73"
"POLICE OFFICER","PATROL","86523.13"
"POLICE OFFICER","PATROL","86473.58"
"SR ENERGY SERVICES ENGINEER","UTILITIES CUSTOMER CONNECTIONS","86431.5"
"FIREFIGHTER I - 56 HR/WK","POUDRE FIRE AUTHORITY","86402.76"
"OCCUPATIONAL HEALTH PROF","SAFETY, SECURITY, & RISK MGMT.","86381.98"
"REAL ESTATE SERVICES MANAGER","OPERATION SERVICES","86357.95"
"INFORMATION TECHNOLOGY MANAGER","LIBRARY DISTRICT","86184.62"
"CIVIL ENGINEER II","UT WATER UTL ENGINEERING DIV","86052.0"
"ENGINEERING PROJECT MANAGER","ENGINEERING","86011.67"
"FINANCE AND BUDGET SUPERVISOR","POUDRE FIRE AUTHORITY","85965.62"
"EMERG SERVICES DISPATCH SUPV","POLICE INFORMATION SERVICES","85927.85"
"CREW CHIEF","STREETS","85855.27"
"FIREFIGHTER I - 56 HR/WK","POUDRE FIRE AUTHORITY","85855.01"
"HISTORIC PRESERVATION MANAGER","COMM DEV & NEIGHBORHOOD SVCS","85854.01"
"DATABASE ANALYST","INFORMATION TECHNOLOGY","85831.24"
"CHEMIST","UT WATER QUALITY SERVICES DIV","85822.03"
"LEAD BUILDING INSPECTOR","COMM DEV & NEIGHBORHOOD SVCS","85727.04"
"POLICE OFFICER","INVESTIGATIONS","85693.1"
"POLICE PUBLIC RELATIONS MGR","OFFICE OF THE CHIEF","85615.0"
"CREW CHIEF","STREETS","85588.23"
"PERFORMING ARTS CENTER MGR","CULTURAL SERVICES","85529.82"
"CLIMATE ECONOMY ADVISOR","ECONOMIC HEALTH OFFICE","85471.99"
"FACILITIES PROJECT MANAGER","OPERATION SERVICES","85435.53"
"SR TRANSPORTATION PLANNER","FC MOVES","85416.5"
"DATABASE ANALYST","UT PROCESS & SUPERVIS CNTR DIV","85350.91"
"POLICE OFFICER","PATROL","85297.43"
"CREW CHIEF","STREETS","85285.84"
"FIREFIGHTER I - 56 HR/WK","POUDRE FIRE AUTHORITY","85211.96"
"POLICE OFFICER","PATROL","85170.77"
"SYSTEMS ANALYST","INFORMATION TECHNOLOGY","85167.2"
"POLICE OFFICER","PATROL","85122.71"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","85102.39"
"CHEMIST","UT WATER PRODUCTION DIV","85022.46"
"COMPENSATION & TECHNOLOGY MGR","HUMAN RESOURCES","84994.8"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","84989.63"
"RECREATION AREA MANAGER","RECREATION","84983.69"
"SYSTEMS ANALYST","INFORMATION TECHNOLOGY","84923.4"
"SR CITY PLANNER","COMM DEV & NEIGHBORHOOD SVCS","84856.7"
"CIVIL ENGINEER II","UT WATER UTL ENGINEERING DIV","84810.0"
"POLICE OFFICER","PATROL","84766.41"
"FIREFIGHTER I - 56 HR/WK","POUDRE FIRE AUTHORITY","84666.92"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","84661.52"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","84661.18"
"RECORDS MANAGER","POLICE INFORMATION SERVICES","84658.44"
"POLICE OFFICER","INVESTIGATIONS","84654.44"
"CABLE TELEVISION MANAGER","COMM. & PUBLIC INVOLVEMENT","84629.55"
"POLICE OFFICER","PATROL","84602.4"
"POLICE OFFICER","PATROL","84495.29"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","84276.29"
"TELECOM TECHNICAL SPECIALIST","INFORMATION TECHNOLOGY","84275.98"
"POLICE OFFICER","PATROL","84113.75"
"POLICE OFFICER","PATROL","84101.2"
"CUSTOMER ACCOUNTS MANAGER","UTILITIES CUSTOMER CONNECTIONS","84034.0"
"SPECIAL PROJECTS MANAGER","UT WATER UTL ENGINEERING DIV","83926.62"
"PERFORMANCE EXCELLNCE PROG MGR","CITY MANAGER'S OFFICE","83849.24"
"RECREATION AREA MANAGER","RECREATION","83833.74"
"RECREATION AREA MANAGER","RECREATION","83833.74"
"POLICE OFFICER","PATROL","83831.92"
"POLICE OFFICER","PATROL","83780.83"
"SYSTEMS ANALYST","INFORMATION TECHNOLOGY","83765.94"
"SR CITY PLANNER","COMM DEV & NEIGHBORHOOD SVCS","83743.83"
"SR ENVIRONMENTAL PLANNER","NATURAL AREAS","83640.93"
"POLICE LIEUTENANT","PATROL","83607.12"
"SYSTEMS SPECIALIST","INFORMATION TECHNOLOGY","83574.13"
"POLICE OFFICER","PATROL","83552.73"
"SR CITY PLANNER / ZONING","COMM DEV & NEIGHBORHOOD SVCS","83513.93"
"CIVIL ENGINEER II","UT ENVIRO REGULATORY AFFAIRS","83498.44"
"SPECIAL PROJECTS MANAGER","UT WATER SYSTEMS ENGR DIV","83497.34"
"SR CONSTRUCTION INSPECTOR","ENGINEERING","83437.75"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","83383.94"
"POLICE OFFICER","PATROL","83376.83"
"EMERG SERVICES DISPATCH SUPV","POLICE INFORMATION SERVICES","83371.31"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","83361.66"
"CIVIL ENGINEER II","ENGINEERING","83313.75"
"SR LANDSCAPE ARCHITECT","PARK PLANNING & DEVELOPMENT","83261.36"
"POLICE OFFICER","PATROL","83124.54"
"SPECIAL PROJECTS MANAGER","UT WATER UTL ENGINEERING DIV","83065.5"
"MAINTENANCE PLANNER/SCHEDULER","OPERATION SERVICES","83004.56"
"SR CONSTRUCTION INSPECTOR","STREETS","82943.7"
"ENVIRONMENTAL REGULATORY SPEC","UT ENVIRO REGULATORY AFFAIRS","82813.71"
"POLICE OFFICER","PATROL","82712.11"
"PARKS FINANCE SUPERVISOR","COMMUNITY SERVICES ADMIN","82681.89"
"MGR OF GARDENS ON SPRING CREEK","CULTURAL SERVICES","82455.75"
"WATER CONSERVATION MGR","UTILITIES CUSTOMER CONNECTIONS","82417.0"
"FIREFIGHTER I - 56 HR/WK","POUDRE FIRE AUTHORITY","82318.67"
"BIKES PROGRAM MANAGER","FC MOVES","82316.7"
"POLICE DEPUTY CHIEF","INVESTIGATIONS","82235.64"
"COMMUNICATIONS & ADMIN MANAGER","TRANSFORT / PARKING SERVICES","82198.5"
"CHEMIST","UT WATER QUALITY SERVICES DIV","82159.97"
"PARKS SUPERVISOR","PARKS","82051.73"
"CRIMINALIST-INACTIVE","INVESTIGATIONS","82022.08"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","81989.89"
"POLICE LIEUTENANT","OFFICE OF THE CHIEF","81954.44"
"FINANCIAL & POLICY ANALYST","OPERATION SERVICES","81939.23"
"COMMUNICATIONS & MARKETING MGR","UTILITIES CUSTOMER CONNECTIONS","81845.77"
"POLICE OFFICER","PATROL","81834.57"
"POLICY AND PROJECT MANAGER","CITY MANAGER'S OFFICE","81792.6"
"SYSTEMS ADMINISTRATOR","INFORMATION TECHNOLOGY","81757.62"
"SUPERINTENDENT OF GOLF","PARKS","81649.44"
"GIS MAPPING ANALYST","POUDRE FIRE AUTHORITY","81563.7"
"PLANS EXAMINER","COMM DEV & NEIGHBORHOOD SVCS","81531.42"
"REVENUE AND PROJECT MANAGER","SALES TAX","81411.53"
"FIREFIGHTER I - 56 HR/WK","POUDRE FIRE AUTHORITY","81405.77"
"FIREFIGHTER I - 56 HR/WK","POUDRE FIRE AUTHORITY","81348.43"
"TRAFFIC SIGNAL TECH II","TRAFFIC","81333.46"
"FLEET MAINTENANCE TECHNICIAN","POUDRE FIRE AUTHORITY","81242.5"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","81172.64"
"PLANT OPERATOR","UT WATER PRODUCTION DIV","81082.32"
"INTEGRATED LIBRARY SYS ADMNSTR","LIBRARY DISTRICT","81067.5"
"FIREFIGHTER I - 56 HR/WK","POUDRE FIRE AUTHORITY","80931.64"
"WATER RESOURCES PROJ ENGINEER","UT WATER RESOURCES DIV","80905.54"
"FIREFIGHTER I - 56 HR/WK","POUDRE FIRE AUTHORITY","80903.49"
"SURVEY PARTY CHIEF","ENGINEERING","80758.8"
"LINEWORKER EQUIPMENT SPEC","ELECTRIC FIELD SERVICES","80698.17"
"SR URBAN FORESTER","PARKS","80653.6"
"FIREFIGHTER I - 56 HR/WK","POUDRE FIRE AUTHORITY","80621.29"
"COMPLIANCE SUPERVISOR","COMM DEV & NEIGHBORHOOD SVCS","80609.71"
"FORESTRY SUPERVISOR","PARKS","80596.6"
"ENVIRONMENTAL PROGRAM MANAGER","ENVIRONMENTAL SERVICES","80586.57"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","80490.68"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","80461.68"
"ELECTRIC SYSTEMS OPERATOR","L&P OPERATIONS SERVICE UNIT","80458.75"
"FIRE SAFETY INSP/PLAN REVIEWER","POUDRE FIRE AUTHORITY","80385.54"
"WATER SUPPLY SUPERVISOR","UT WATER PRODUCTION DIV","80228.49"
"POLICE OFFICER","PATROL","80122.92"
"POLICE OFFICER","PATROL","80105.75"
"CHEMIST","UT WATER QUALITY SERVICES DIV","80099.6"
"SR HRIS/BENEFITS ANALYST","HUMAN RESOURCES","80083.52"
"SYSTEMS ANALYST","INFORMATION TECHNOLOGY","80052.99"
"POLICE OFFICER","PATROL","79919.65"
"CHEMIST","UT WATER QUALITY SERVICES DIV","79873.6"
"CHEMIST","UT WATER QUALITY SERVICES DIV","79751.13"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","79717.08"
"TECHNICAL SVCS SUPV-WTR TRTMNT","UT WATER PRODUCTION DIV","79661.42"
"ENERGY SERVICES ENGINEER","UTILITIES CUSTOMER CONNECTIONS","79659.36"
"HR & POLICY ADMINISTRATOR","POUDRE FIRE AUTHORITY","79646.95"
"PLANT OPERATOR","UT WTR RECLAMA & BIOSOLIDS DIV","79321.88"
"SR ELECTRICAL ENGINEER","L&P OPERATIONS SERVICE UNIT","79159.46"
"PARKS PROJECT MANAGER","PARKS","79151.61"
"CAPITAL PLNNG & GRANT COMP MGR","TRANSFORT / PARKING SERVICES","79129.23"
"SUPERINTENDENT OF GOLF","PARKS","79064.72"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","78993.75"
"POLICE OFFICER","PATROL","78985.19"
"POLICE OFFICER","PATROL","78976.41"
"CIVIL ENGINEER I","UT WATER UTL ENGINEERING DIV","78859.84"
"CIVIL ENGINEER I","UT WATER UTL ENGINEERING DIV","78793.5"
"ASSISTANT MUSEUM DIRECTOR","CULTURAL SERVICES","78770.64"
"SR GIS PROGRAMMER ANALYST","INFORMATION TECHNOLOGY","78646.29"
"CREW CHIEF","TRAFFIC","78560.49"
"COLLECTIONS MANAGER","LIBRARY DISTRICT","78545.18"
"SYSTEMS ANALYST","INFORMATION TECHNOLOGY","78535.72"
"UTILITIES PROJECT COORDINATOR","UTILITY FINANCIAL OPERATIONS","78530.96"
"LEAD PLANT OPERATOR","UT WATER PRODUCTION DIV","78466.25"
"COMMUNITY RELATIONS MANAGER","NATURAL AREAS","78322.43"
"ENERGY SERVICES ENGINEER","UTILITIES CUSTOMER CONNECTIONS","78268.61"
"CIVIL ENGINEER I","UT WATER UTL ENGINEERING DIV","78233.79"
"FIREFIGHTER I - 56 HR/WK","POUDRE FIRE AUTHORITY","78221.34"
"FLEET MAINT SUPERINTENDENT","OPERATION SERVICES","78193.6"
"CREW CHIEF","PARKS","78186.42"
"CIVIL ENGINEER I","UT DISTRIBUTION SYSTEM DIV","78174.22"
"HUMAN RESOURCES PARTNER","HUMAN RESOURCES","78162.78"
"SYSTEMS SPECIALIST","INFORMATION TECHNOLOGY","78150.58"
"POLICE LIEUTENANT","PATROL","78068.27"
"POLICE OFFICER","PATROL","77980.72"
"LIBRARY MANAGER","LIBRARY DISTRICT","77952.91"
"POLICE OFFICER","PATROL","77949.87"
"CHEMIST","UT WATER QUALITY SERVICES DIV","77724.39"
"VICTIM SERVICES SUPERVISOR","INVESTIGATIONS","77720.72"
"BUILDING INSPECTOR","COMM DEV & NEIGHBORHOOD SVCS","77702.07"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","77692.69"
"PLANT OPERATOR","UT WATER PRODUCTION DIV","77565.78"
"TECHNICAL SVCS SUPV-WASTEWATER","UT WTR RECLAMA & BIOSOLIDS DIV","77531.92"
"SUPERINTENDENT OF GOLF","PARKS","77479.11"
"ERP ANALYST","INFORMATION TECHNOLOGY","77390.11"
"ENVIRONMENTAL REGULATORY SPEC","UT ENVIRO REGULATORY AFFAIRS","77389.0"
"LEAD PLANT OPERATOR","UT WATER PRODUCTION DIV","77321.77"
"WELLNESS PROGRAM MANAGER","HUMAN RESOURCES","77232.93"
"FACILITIES PROJECT MANAGER","OPERATION SERVICES","77151.8"
"CHIEF DEPUTY CITY CLERK","CITY CLERK'S OFFICE","77129.65"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","76998.83"
"TECHNICAL SERVICES SPECIALIST","INVESTIGATIONS","76939.24"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","76915.79"
"BUILDING INSPECTOR","COMM DEV & NEIGHBORHOOD SVCS","76899.06"
"UTILITY RATE ANALYST","UTILITY FINANCIAL OPERATIONS","76813.73"
"MECHANIC","OPERATION SERVICES","76801.71"
"CREATIVE DIRECTOR","COMM. & PUBLIC INVOLVEMENT","76784.85"
"BUILDING INSPECTOR","COMM DEV & NEIGHBORHOOD SVCS","76723.92"
"BUILDING INSPECTOR","COMM DEV & NEIGHBORHOOD SVCS","76486.57"
"SYSTEMS SPECIALIST","INFORMATION TECHNOLOGY","76422.26"
"SR ENVIRONMENTAL PLANNER","UTILITIES CUSTOMER CONNECTIONS","76334.54"
"POLICE LIEUTENANT","PATROL","76271.34"
"KEY ACCOUNTS REP","UTILITIES CUSTOMER CONNECTIONS","76245.19"
"CIVIL ENGINEER II","UT WATER UTL ENGINEERING DIV","76099.24"
"CREW CHIEF","UT DRAINAGE SYSTEM DIV","76060.09"
"TELECOM TECHNICAL SPECIALIST","INFORMATION TECHNOLOGY","75933.56"
"CREW CHIEF","UT DRAINAGE SYSTEM DIV","75917.69"
"ELEC PROJECT ENGINEERING MGR","UT ELECTRIC SYSTEMS ENG DIV","75899.58"
"SR SALES TAX AUDITOR","SALES TAX","75734.68"
"PUBLIC AFFAIRS / COMM MGR","POUDRE FIRE AUTHORITY","75537.67"
"SR FINANCIAL ANALYST","SUSTAINABILITY SERVICES ADMIN","75428.5"
"RECREATION SUPERVISOR","RECREATION","75366.0"
"CIVIL ENGINEER II","UT WATER UTL ENGINEERING DIV","75351.39"
"PARTS SUPERVISOR","OPERATION SERVICES","75336.67"
"CREW CHIEF","UT COLLECTION SYSTEM DIV","75329.51"
"REC FINANCE/BUSINESS ANALYST","RECREATION","75208.88"
"TRAFFIC ENGINEERING TECH III","TRAFFIC","75191.45"
"COMMUNITY SERVICE OFFICER","PATROL","75181.44"
"SYSTEMS ANALYST","UTILITY TECH. & CUST. SERVICE","75177.82"
"KEY ACCOUNTS REP","UTILITIES CUSTOMER CONNECTIONS","75086.26"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","75049.85"
"SR BUYER","PURCHASING","74950.41"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","74920.99"
"SHOP FOREMAN","OPERATION SERVICES","74893.49"
"SHOP FOREMAN","OPERATION SERVICES","74736.84"
"COMM & PUBLIC RELATIONS MGR","LIBRARY DISTRICT","74683.29"
"SR BUYER","PURCHASING","74599.14"
"FINANCIAL & POLICY ANALYST","INFORMATION TECHNOLOGY","74439.47"
"FACILITIES MAINT SUPERINTENDNT","OPERATION SERVICES","74348.56"
"REDEVELOPMENT COORDINATOR","ECONOMIC HEALTH OFFICE","74316.75"
"TELECOM SYS & SVCS ADMNISTRTOR","INFORMATION TECHNOLOGY","74306.16"
"SR ENVIRONMENTAL PLANNER","NATURAL AREAS","74300.29"
"CUSTOMER AND ADMIN SVCS MGR","COMM DEV & NEIGHBORHOOD SVCS","74288.04"
"HEALTH AND SAFETY SPECIALIST","SAFETY, SECURITY, & RISK MGMT.","74164.1"
"BENEFITS MANAGER","HUMAN RESOURCES","74058.65"
"POLICE OFFICER","PATROL","73997.3"
"CHEMIST","UT WATER QUALITY SERVICES DIV","73930.28"
"LEAD RANGER","NATURAL AREAS","73875.07"
"CITY PLANNER","COMM DEV & NEIGHBORHOOD SVCS","73869.75"
"SR BUYER","PURCHASING","73694.85"
"RECREATION SUPERVISOR","RECREATION","73647.0"
"POLICE SERGEANT","PATROL","73632.2"
"NATURAL RESOURC WATERSHED SPEC","NATURAL AREAS","73623.05"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","73620.67"
"CONSTRUCTION INSPECTOR","STREETS","73618.27"
"LINE CREW CHIEF","ELECTRIC FIELD SERVICES","73597.08"
"ELECTRICAL ENGINEER II","UT STANDARDS ENGINEERING DIV","73517.34"
"LIBRARIAN -NON PROFIT SERVICES","LIBRARY DISTRICT","73452.84"
"HUMAN RESOURCES PARTNER","HUMAN RESOURCES","73378.5"
"WATER UTIL FIELD OPNS SUPNTNDT","UT WATER METERS DIV","73364.0"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","73317.0"
"MASTER ELECTRICIAN","OPERATION SERVICES","73232.72"
"CREW CHIEF","UT DISTRIBUTION SYSTEM DIV","73213.28"
"OUTREACH SERVICES MANAGER","LIBRARY DISTRICT","73119.29"
"INSTRUMENT/ELECTRIC TECH","UT WATER PRODUCTION DIV","73092.15"
"VISUAL ARTS ADMINISTRATOR","CULTURAL SERVICES","72940.02"
"CHEMIST","UT WATER QUALITY SERVICES DIV","72879.8"
"PLANT OPERATOR","UT WATER PRODUCTION DIV","72866.26"
"SYSTEMS SPECIALIST","INFORMATION TECHNOLOGY","72715.44"
"COMMUNITY SERVICE OFFICER","PATROL","72713.99"
"POLICE SERGEANT","PATROL","72649.95"
"RESOURCE RECOVERY CHIEF","UT WTR RECLAMA & BIOSOLIDS DIV","72580.42"
"HEALTH AND SAFETY SPECIALIST","SAFETY, SECURITY, & RISK MGMT.","72538.78"
"NEIGHBORHOOD SERVICES MANAGER","COMM DEV & NEIGHBORHOOD SVCS","72369.62"
"SHOP FOREMAN","OPERATION SERVICES","72359.17"
"CREW CHIEF","NATURAL AREAS","72159.19"
"IT ANALYST","POUDRE FIRE AUTHORITY","72156.26"
"THERAPEUTIC RECREATION SPEC","RECREATION","72055.5"
"CIVIL ENGINEER I","ENGINEERING","72054.54"
"CREW CHIEF","PARKS","72006.41"
