"department","earnings","job_title"
"PATROL","92430.84","POLICE OFFICER"
"PATROL","92357.2","POLICE OFFICER"
"POUDRE FIRE AUTHORITY","92285.98","FIREFIGHTER II - 56 HR/WK"
"POUDRE FIRE AUTHORITY","92277.1","FIREFIGHTER II - 56 HR/WK"
"COMM DEV & NEIGHBORHOOD SVCS","92117.22","CHIEF BUILDING OFFICIAL"
"UTILITIES CUSTOMER CONNECTIONS","92044.4","CUST CARE & TECHNOLOGY MGR"
"ENGINEERING","91961.71","CHIEF CONSTRUCTION INSPECTOR"
"PATROL","91915.51","POLICE OFFICER"
"COMM DEV & NEIGHBORHOOD SVCS","91812.28","CHIEF PLANNER"
"UT WATER QUALITY SERVICES DIV","91728.47","LAB QUALITY ASSURANCE COORD"
"POUDRE FIRE AUTHORITY","91727.32","FIREFIGHTER II - 56 HR/WK"
"PARKS","91681.86","MGR OF FORESTRY/ CITY FORESTER"
"PATROL","91631.58","POLICE CORPORAL"
"PATROL","91519.53","POLICE OFFICER"
"POUDRE FIRE AUTHORITY","91492.03","FIREFIGHTER II - 56 HR/WK"
"PATROL","91477.16","POLICE OFFICER"
"POUDRE FIRE AUTHORITY","91381.17","CAPTAIN I - 56 HR/WK"
"POUDRE FIRE AUTHORITY","91181.35","CAPTAIN I - 56 HR/WK"
"INVESTIGATIONS","91171.54","POLICE OFFICER"
"L&P OPERATIONS SERVICE UNIT","91118.54","SR ELECTRIC SYSTEMS OPERATOR"
"POUDRE FIRE AUTHORITY","91033.37","FIREFIGHTER II - 56 HR/WK"
"PATROL","91023.68","POLICE OFFICER"
"UT ELEC SYSTEM DESIGN & IT DIV","90993.38","SUBSTATION SPECIALIST"
"POUDRE FIRE AUTHORITY","90981.93","FIREFIGHTER II - 56 HR/WK"
"LIBRARY DISTRICT","90965.0","HUMAN RESOURCES MANAGER"
"INVESTIGATIONS","90913.44","POLICE OFFICER"
"INVESTIGATIONS","90895.48","POLICE OFFICER"
"UTILITIES CUSTOMER CONNECTIONS","90878.1","COMMUNITY ENGAGEMENT MANAGER"
"POUDRE FIRE AUTHORITY","90837.36","FIREFIGHTER II - 56 HR/WK"
"UT ELEC SYSTEM DESIGN & IT DIV","90835.81","SUBSTATION SPECIALIST"
"POUDRE FIRE AUTHORITY","90830.5","FIREFIGHTER II - 56 HR/WK"
"OPERATION SERVICES","90747.62","FACILITIES PROJECT MANAGER"
"POUDRE FIRE AUTHORITY","90677.71","FIREFIGHTER II - 56 HR/WK"
"UT ENVIRO REGULATORY AFFAIRS","90652.5","ENVIRONMENTAL REGULATORY SPEC"
"NATURAL AREAS","90617.85","ENVIRONMENTAL PROGRAM MANAGER"
"POUDRE FIRE AUTHORITY","90530.12","FIREFIGHTER II - 56 HR/WK"
"INVESTIGATIONS","90412.3","POLICE OFFICER"
"POUDRE FIRE AUTHORITY","90327.8","FIREFIGHTER II - 56 HR/WK"
"OFFICE OF THE CHIEF","90315.98","POLICE OFFICER"
"POUDRE FIRE AUTHORITY","90312.63","FIREFIGHTER II - 56 HR/WK"
"UTILITIES CUSTOMER CONNECTIONS","90232.02","SR ENERGY SERVICES ENGINEER"
"POUDRE FIRE AUTHORITY","90197.36","FIREFIGHTER II - 56 HR/WK"
"PATROL","90084.62","POLICE OFFICER"
"PATROL","89918.01","POLICE OFFICER"
"POUDRE FIRE AUTHORITY","89901.66","FIREFIGHTER II - 56 HR/WK"
"POUDRE FIRE AUTHORITY","89873.46","FIREFIGHTER II - 56 HR/WK"
"UTILITY FINANCIAL OPERATIONS","89766.76","UTILITY RATE ANALYST"
"PATROL","89735.39","POLICE OFFICER"
"PATROL","89729.96","POLICE OFFICER"
"ENGINEERING","89725.75","CIVIL ENGINEER II"
"PATROL","89579.21","POLICE OFFICER"
"POUDRE FIRE AUTHORITY","89577.98","FIREFIGHTER II - 56 HR/WK"
"PATROL","89545.13","POLICE LIEUTENANT"
"PATROL","89543.27","POLICE OFFICER"
"POUDRE FIRE AUTHORITY","89541.0","FIREFIGHTER II - 56 HR/WK"
"PATROL","89505.66","POLICE OFFICER"
"PATROL","89505.51","POLICE OFFICER"
"INFORMATION TECHNOLOGY","89468.92","SYSTEMS ADMINISTRATOR"
"PATROL","89453.59","POLICE OFFICER"
"PATROL","89438.21","POLICE OFFICER"
"UT DRAINAGE SYSTEM DIV","89307.69","WATER UTIL FIELD OPNS SUPNTNDT"
"PATROL","89277.36","POLICE OFFICER"
"UT ENVIRO REGULATORY AFFAIRS","89269.66","ENVIRONMENTAL REGULATORY SPEC"
"UTILITY FINANCIAL OPERATIONS","89249.0","UTILITIES FINANCIAL OPS MGR"
"DOWNTOWN DEVELOPMENT AUTHORITY","89167.37","PROJECT MANAGER/DDA"
"POUDRE FIRE AUTHORITY","89059.31","FIREFIGHTER II - 56 HR/WK"
"PATROL","89042.59","POLICE OFFICER"
"PARKS","89036.68","MANAGER OF PARKS"
"ACCOUNTING AND TREASURY","89031.16","INVESTMENT ADMINISTRATOR"
"INVESTIGATIONS","88907.12","POLICE OFFICER"
"PATROL","88880.7","POLICE OFFICER"
"POUDRE FIRE AUTHORITY","88871.88","FIREFIGHTER II - 56 HR/WK"
"ENGINEERING","88812.29","CHIEF SURVEYOR"
"PATROL","88797.36","POLICE OFFICER"
"INVESTIGATIONS","88748.76","POLICE OFFICER"
"INFORMATION TECHNOLOGY","88723.02","SYSTEMS ADMINISTRATOR"
"PATROL","88682.55","POLICE OFFICER"
"POLICE INFORMATION SERVICES","88678.07","EMERG SERVICES DISPATCH SUPV"
"INVESTIGATIONS","88592.89","POLICE OFFICER"
"POLICE INFORMATION SERVICES","88564.64","EMERG SERVICES DISPATCH SUPV"
"PATROL","88527.65","POLICE CORPORAL"
"TRANSFORT / PARKING SERVICES","88490.85","SERVICE DEVELOPMENT MANAGER"
"PATROL","88443.35","POLICE OFFICER"
"UT WATER UTL ENGINEERING DIV","88383.99","SPECIAL PROJECTS MANAGER"
"INFORMATION TECHNOLOGY","88366.77","GIS MANAGER"
"POUDRE FIRE AUTHORITY","88315.9","FLEET MAINTENANCE TECHNICIAN"
"INFORMATION TECHNOLOGY","88314.67","SYSTEMS ANALYST"
"UT WTR RECLAMA & BIOSOLIDS DIV","88297.68","PROCESS CONTROL SUPERVISOR"
"ENGINEERING","88256.55","SR CONSTRUCTION INSPECTOR"
"CITY ATTORNEY'S OFFICE","88215.64","ASSISTANT CITY ATTORNEY II"
"UT ENVIRO REGULATORY AFFAIRS","88192.98","ENVIRONMENTAL REGULATORY SPEC"
"UT WATER UTL ENGINEERING DIV","88074.25","CIVIL ENGINEER II"
"PATROL","87952.99","POLICE OFFICER"
"HUMAN RESOURCES","87926.25","LEARNING & ORG DEV MANAGER"
"PATROL","87920.13","POLICE OFFICER"
"POUDRE FIRE AUTHORITY","87895.5","FIREFIGHTER II - 56 HR/WK"
"COMM DEV & NEIGHBORHOOD SVCS","87810.7","PLANS EXAMINER"
"CULTURAL SERVICES","87757.71","MUSEUM DIRECTOR"
"POUDRE FIRE AUTHORITY","87691.16","FIREFIGHTER II - 56 HR/WK"
"NATURAL AREAS","87670.26","ENVIRONMENTAL PROGRAM MANAGER"
"PATROL","87663.18","POLICE OFFICER"
"PATROL","87532.18","POLICE OFFICER"
"PATROL","87454.68","POLICE OFFICER"
"PATROL","87418.74","POLICE OFFICER"
"PATROL","87342.81","POLICE OFFICER"
"PATROL","87326.12","POLICE OFFICER"
"UT WATER UTL ENGINEERING DIV","87261.6","SPECIAL PROJECTS MANAGER"
"POUDRE FIRE AUTHORITY","87227.46","FIREFIGHTER I - 56 HR/WK"
"ECONOMIC HEALTH OFFICE","87185.65","ECONOMIC HEALTH MANAGER"
"PATROL","87179.03","POLICE OFFICER"
"POUDRE FIRE AUTHORITY","87175.93","FIREFIGHTER II - 56 HR/WK"
"PATROL","87066.07","POLICE OFFICER"
"UT WATER UTL ENGINEERING DIV","87066.0","SPECIAL PROJECTS MANAGER"
"UT WATER SYSTEMS ENGR DIV","87057.0","SPECIAL PROJECTS MANAGER"
"ENGINEERING","87038.0","CIVIL ENGINEER II"
"PATROL","86964.82","POLICE OFFICER"
"UTILITIES CUSTOMER CONNECTIONS","86902.5","SR ENERGY SERVICES ENGINEER"
"INVESTIGATIONS","86862.27","POLICE OFFICER"
"INFORMATION TECHNOLOGY","86842.28","SYSTEMS ANALYST"
"ELECTRIC FIELD SERVICES","86832.67","ELECTRIC LINEWORKER"
"OPERATION SERVICES","86810.42","ENERGY MANAGER"
"INFORMATION TECHNOLOGY","86780.22","SYSTEMS ANALYST"
"PATROL","86748.97","POLICE OFFICER"
"POUDRE FIRE AUTHORITY","86741.72","FIREFIGHTER II - 56 HR/WK"
"PATROL","86680.24","POLICE LIEUTENANT"
"INFORMATION TECHNOLOGY","86679.48","SYSTEMS ADMINISTRATOR"
"CITY ATTORNEY'S OFFICE","86662.98","ASSISTANT CITY ATTORNEY II"
"PATROL","86660.04","POLICE OFFICER"
"PATROL","86637.67","POLICE OFFICER"
"OPERATION SERVICES","86632.73","FACILITIES PROJECT MANAGER"
"PATROL","86523.13","POLICE OFFICER"
"PATROL","86473.58","POLICE OFFICER"
"UTILITIES CUSTOMER CONNECTIONS","86431.5","SR ENERGY SERVICES ENGINEER"
"POUDRE FIRE AUTHORITY","86402.76","FIREFIGHTER I - 56 HR/WK"
"SAFETY, SECURITY, & RISK MGMT.","86381.98","OCCUPATIONAL HEALTH PROF"
"OPERATION SERVICES","86357.95","REAL ESTATE SERVICES MANAGER"
"LIBRARY DISTRICT","86184.62","INFORMATION TECHNOLOGY MANAGER"
"UT WATER UTL ENGINEERING DIV","86052.0","CIVIL ENGINEER II"
"ENGINEERING","86011.67","ENGINEERING PROJECT MANAGER"
"POUDRE FIRE AUTHORITY","85965.62","FINANCE AND BUDGET SUPERVISOR"
"POLICE INFORMATION SERVICES","85927.85","EMERG SERVICES DISPATCH SUPV"
"STREETS","85855.27","CREW CHIEF"
"POUDRE FIRE AUTHORITY","85855.01","FIREFIGHTER I - 56 HR/WK"
"COMM DEV & NEIGHBORHOOD SVCS","85854.01","HISTORIC PRESERVATION MANAGER"
"INFORMATION TECHNOLOGY","85831.24","DATABASE ANALYST"
"UT WATER QUALITY SERVICES DIV","85822.03","CHEMIST"
"COMM DEV & NEIGHBORHOOD SVCS","85727.04","LEAD BUILDING INSPECTOR"
"INVESTIGATIONS","85693.1","POLICE OFFICER"
"OFFICE OF THE CHIEF","85615.0","POLICE PUBLIC RELATIONS MGR"
"STREETS","85588.23","CREW CHIEF"
"CULTURAL SERVICES","85529.82","PERFORMING ARTS CENTER MGR"
"ECONOMIC HEALTH OFFICE","85471.99","CLIMATE ECONOMY ADVISOR"
"OPERATION SERVICES","85435.53","FACILITIES PROJECT MANAGER"
"FC MOVES","85416.5","SR TRANSPORTATION PLANNER"
"UT PROCESS & SUPERVIS CNTR DIV","85350.91","DATABASE ANALYST"
"PATROL","85297.43","POLICE OFFICER"
"STREETS","85285.84","CREW CHIEF"
"POUDRE FIRE AUTHORITY","85211.96","FIREFIGHTER I - 56 HR/WK"
"PATROL","85170.77","POLICE OFFICER"
"INFORMATION TECHNOLOGY","85167.2","SYSTEMS ANALYST"
"PATROL","85122.71","POLICE OFFICER"
"POUDRE FIRE AUTHORITY","85102.39","FIREFIGHTER II - 56 HR/WK"
"UT WATER PRODUCTION DIV","85022.46","CHEMIST"
"HUMAN RESOURCES","84994.8","COMPENSATION & TECHNOLOGY MGR"
"ELECTRIC FIELD SERVICES","84989.63","ELECTRIC LINEWORKER"
"RECREATION","84983.69","RECREATION AREA MANAGER"
"INFORMATION TECHNOLOGY","84923.4","SYSTEMS ANALYST"
"COMM DEV & NEIGHBORHOOD SVCS","84856.7","SR CITY PLANNER"
"UT WATER UTL ENGINEERING DIV","84810.0","CIVIL ENGINEER II"
"PATROL","84766.41","POLICE OFFICER"
"POUDRE FIRE AUTHORITY","84666.92","FIREFIGHTER I - 56 HR/WK"
"POUDRE FIRE AUTHORITY","84661.52","FIREFIGHTER II - 56 HR/WK"
"POUDRE FIRE AUTHORITY","84661.18","FIREFIGHTER II - 56 HR/WK"
"POLICE INFORMATION SERVICES","84658.44","RECORDS MANAGER"
"INVESTIGATIONS","84654.44","POLICE OFFICER"
"COMM. & PUBLIC INVOLVEMENT","84629.55","CABLE TELEVISION MANAGER"
"PATROL","84602.4","POLICE OFFICER"
"PATROL","84495.29","POLICE OFFICER"
"ELECTRIC FIELD SERVICES","84276.29","ELECTRIC LINEWORKER"
"INFORMATION TECHNOLOGY","84275.98","TELECOM TECHNICAL SPECIALIST"
"PATROL","84113.75","POLICE OFFICER"
"PATROL","84101.2","POLICE OFFICER"
"UTILITIES CUSTOMER CONNECTIONS","84034.0","CUSTOMER ACCOUNTS MANAGER"
"UT WATER UTL ENGINEERING DIV","83926.62","SPECIAL PROJECTS MANAGER"
"CITY MANAGER'S OFFICE","83849.24","PERFORMANCE EXCELLNCE PROG MGR"
"RECREATION","83833.74","RECREATION AREA MANAGER"
"RECREATION","83833.74","RECREATION AREA MANAGER"
"PATROL","83831.92","POLICE OFFICER"
"PATROL","83780.83","POLICE OFFICER"
"INFORMATION TECHNOLOGY","83765.94","SYSTEMS ANALYST"
"COMM DEV & NEIGHBORHOOD SVCS","83743.83","SR CITY PLANNER"
"NATURAL AREAS","83640.93","SR ENVIRONMENTAL PLANNER"
"PATROL","83607.12","POLICE LIEUTENANT"
"INFORMATION TECHNOLOGY","83574.13","SYSTEMS SPECIALIST"
"PATROL","83552.73","POLICE OFFICER"
"COMM DEV & NEIGHBORHOOD SVCS","83513.93","SR CITY PLANNER / ZONING"
"UT ENVIRO REGULATORY AFFAIRS","83498.44","CIVIL ENGINEER II"
"UT WATER SYSTEMS ENGR DIV","83497.34","SPECIAL PROJECTS MANAGER"
"ENGINEERING","83437.75","SR CONSTRUCTION INSPECTOR"
"ELECTRIC FIELD SERVICES","83383.94","ELECTRIC LINEWORKER"
"PATROL","83376.83","POLICE OFFICER"
"POLICE INFORMATION SERVICES","83371.31","EMERG SERVICES DISPATCH SUPV"
"POUDRE FIRE AUTHORITY","83361.66","FIREFIGHTER II - 56 HR/WK"
"ENGINEERING","83313.75","CIVIL ENGINEER II"
"PARK PLANNING & DEVELOPMENT","83261.36","SR LANDSCAPE ARCHITECT"
"PATROL","83124.54","POLICE OFFICER"
"UT WATER UTL ENGINEERING DIV","83065.5","SPECIAL PROJECTS MANAGER"
"OPERATION SERVICES","83004.56","MAINTENANCE PLANNER/SCHEDULER"
"STREETS","82943.7","SR CONSTRUCTION INSPECTOR"
"UT ENVIRO REGULATORY AFFAIRS","82813.71","ENVIRONMENTAL REGULATORY SPEC"
"PATROL","82712.11","POLICE OFFICER"
"COMMUNITY SERVICES ADMIN","82681.89","PARKS FINANCE SUPERVISOR"
"CULTURAL SERVICES","82455.75","MGR OF GARDENS ON SPRING CREEK"
"UTILITIES CUSTOMER CONNECTIONS","82417.0","WATER CONSERVATION MGR"
"POUDRE FIRE AUTHORITY","82318.67","FIREFIGHTER I - 56 HR/WK"
"FC MOVES","82316.7","BIKES PROGRAM MANAGER"
"INVESTIGATIONS","82235.64","POLICE DEPUTY CHIEF"
"TRANSFORT / PARKING SERVICES","82198.5","COMMUNICATIONS & ADMIN MANAGER"
"UT WATER QUALITY SERVICES DIV","82159.97","CHEMIST"
"PARKS","82051.73","PARKS SUPERVISOR"
"INVESTIGATIONS","82022.08","CRIMINALIST-INACTIVE"
"ELECTRIC FIELD SERVICES","81989.89","ELECTRIC LINEWORKER"
"OFFICE OF THE CHIEF","81954.44","POLICE LIEUTENANT"
"OPERATION SERVICES","81939.23","FINANCIAL & POLICY ANALYST"
"UTILITIES CUSTOMER CONNECTIONS","81845.77","COMMUNICATIONS & MARKETING MGR"
"PATROL","81834.57","POLICE OFFICER"
"CITY MANAGER'S OFFICE","81792.6","POLICY AND PROJECT MANAGER"
"INFORMATION TECHNOLOGY","81757.62","SYSTEMS ADMINISTRATOR"
"PARKS","81649.44","SUPERINTENDENT OF GOLF"
"POUDRE FIRE AUTHORITY","81563.7","GIS MAPPING ANALYST"
"COMM DEV & NEIGHBORHOOD SVCS","81531.42","PLANS EXAMINER"
"SALES TAX","81411.53","REVENUE AND PROJECT MANAGER"
"POUDRE FIRE AUTHORITY","81405.77","FIREFIGHTER I - 56 HR/WK"
"POUDRE FIRE AUTHORITY","81348.43","FIREFIGHTER I - 56 HR/WK"
"TRAFFIC","81333.46","TRAFFIC SIGNAL TECH II"
"POUDRE FIRE AUTHORITY","81242.5","FLEET MAINTENANCE TECHNICIAN"
"ELECTRIC FIELD SERVICES","81172.64","ELECTRIC LINEWORKER"
"UT WATER PRODUCTION DIV","81082.32","PLANT OPERATOR"
"LIBRARY DISTRICT","81067.5","INTEGRATED LIBRARY SYS ADMNSTR"
"POUDRE FIRE AUTHORITY","80931.64","FIREFIGHTER I - 56 HR/WK"
"UT WATER RESOURCES DIV","80905.54","WATER RESOURCES PROJ ENGINEER"
"POUDRE FIRE AUTHORITY","80903.49","FIREFIGHTER I - 56 HR/WK"
"ENGINEERING","80758.8","SURVEY PARTY CHIEF"
"ELECTRIC FIELD SERVICES","80698.17","LINEWORKER EQUIPMENT SPEC"
"PARKS","80653.6","SR URBAN FORESTER"
"POUDRE FIRE AUTHORITY","80621.29","FIREFIGHTER I - 56 HR/WK"
"COMM DEV & NEIGHBORHOOD SVCS","80609.71","COMPLIANCE SUPERVISOR"
"PARKS","80596.6","FORESTRY SUPERVISOR"
"ENVIRONMENTAL SERVICES","80586.57","ENVIRONMENTAL PROGRAM MANAGER"
"ELECTRIC FIELD SERVICES","80490.68","ELECTRIC LINEWORKER"
"ELECTRIC FIELD SERVICES","80461.68","ELECTRIC LINEWORKER"
"L&P OPERATIONS SERVICE UNIT","80458.75","ELECTRIC SYSTEMS OPERATOR"
"POUDRE FIRE AUTHORITY","80385.54","FIRE SAFETY INSP/PLAN REVIEWER"
"UT WATER PRODUCTION DIV","80228.49","WATER SUPPLY SUPERVISOR"
"PATROL","80122.92","POLICE OFFICER"
"PATROL","80105.75","POLICE OFFICER"
"UT WATER QUALITY SERVICES DIV","80099.6","CHEMIST"
"HUMAN RESOURCES","80083.52","SR HRIS/BENEFITS ANALYST"
"INFORMATION TECHNOLOGY","80052.99","SYSTEMS ANALYST"
"PATROL","79919.65","POLICE OFFICER"
"UT WATER QUALITY SERVICES DIV","79873.6","CHEMIST"
"UT WATER QUALITY SERVICES DIV","79751.13","CHEMIST"
"ELECTRIC FIELD SERVICES","79717.08","ELECTRIC LINEWORKER"
"UT WATER PRODUCTION DIV","79661.42","TECHNICAL SVCS SUPV-WTR TRTMNT"
"UTILITIES CUSTOMER CONNECTIONS","79659.36","ENERGY SERVICES ENGINEER"
"POUDRE FIRE AUTHORITY","79646.95","HR & POLICY ADMINISTRATOR"
"UT WTR RECLAMA & BIOSOLIDS DIV","79321.88","PLANT OPERATOR"
"L&P OPERATIONS SERVICE UNIT","79159.46","SR ELECTRICAL ENGINEER"
"PARKS","79151.61","PARKS PROJECT MANAGER"
"TRANSFORT / PARKING SERVICES","79129.23","CAPITAL PLNNG & GRANT COMP MGR"
"PARKS","79064.72","SUPERINTENDENT OF GOLF"
"ELECTRIC FIELD SERVICES","78993.75","ELECTRIC LINEWORKER"
"PATROL","78985.19","POLICE OFFICER"
"PATROL","78976.41","POLICE OFFICER"
"UT WATER UTL ENGINEERING DIV","78859.84","CIVIL ENGINEER I"
"UT WATER UTL ENGINEERING DIV","78793.5","CIVIL ENGINEER I"
"CULTURAL SERVICES","78770.64","ASSISTANT MUSEUM DIRECTOR"
"INFORMATION TECHNOLOGY","78646.29","SR GIS PROGRAMMER ANALYST"
"TRAFFIC","78560.49","CREW CHIEF"
"LIBRARY DISTRICT","78545.18","COLLECTIONS MANAGER"
"INFORMATION TECHNOLOGY","78535.72","SYSTEMS ANALYST"
"UTILITY FINANCIAL OPERATIONS","78530.96","UTILITIES PROJECT COORDINATOR"
"UT WATER PRODUCTION DIV","78466.25","LEAD PLANT OPERATOR"
"NATURAL AREAS","78322.43","COMMUNITY RELATIONS MANAGER"
"UTILITIES CUSTOMER CONNECTIONS","78268.61","ENERGY SERVICES ENGINEER"
"UT WATER UTL ENGINEERING DIV","78233.79","CIVIL ENGINEER I"
"POUDRE FIRE AUTHORITY","78221.34","FIREFIGHTER I - 56 HR/WK"
"OPERATION SERVICES","78193.6","FLEET MAINT SUPERINTENDENT"
"PARKS","78186.42","CREW CHIEF"
"UT DISTRIBUTION SYSTEM DIV","78174.22","CIVIL ENGINEER I"
"HUMAN RESOURCES","78162.78","HUMAN RESOURCES PARTNER"
"INFORMATION TECHNOLOGY","78150.58","SYSTEMS SPECIALIST"
"PATROL","78068.27","POLICE LIEUTENANT"
"PATROL","77980.72","POLICE OFFICER"
"LIBRARY DISTRICT","77952.91","LIBRARY MANAGER"
"PATROL","77949.87","POLICE OFFICER"
"UT WATER QUALITY SERVICES DIV","77724.39","CHEMIST"
"INVESTIGATIONS","77720.72","VICTIM SERVICES SUPERVISOR"
"COMM DEV & NEIGHBORHOOD SVCS","77702.07","BUILDING INSPECTOR"
"POLICE INFORMATION SERVICES","77692.69","EMERGENCY SERVICES DISPATCHER"
"UT WATER PRODUCTION DIV","77565.78","PLANT OPERATOR"
"UT WTR RECLAMA & BIOSOLIDS DIV","77531.92","TECHNICAL SVCS SUPV-WASTEWATER"
"PARKS","77479.11","SUPERINTENDENT OF GOLF"
"INFORMATION TECHNOLOGY","77390.11","ERP ANALYST"
"UT ENVIRO REGULATORY AFFAIRS","77389.0","ENVIRONMENTAL REGULATORY SPEC"
"UT WATER PRODUCTION DIV","77321.77","LEAD PLANT OPERATOR"
"HUMAN RESOURCES","77232.93","WELLNESS PROGRAM MANAGER"
"OPERATION SERVICES","77151.8","FACILITIES PROJECT MANAGER"
"CITY CLERK'S OFFICE","77129.65","CHIEF DEPUTY CITY CLERK"
"ELECTRIC FIELD SERVICES","76998.83","ELECTRIC LINEWORKER"
"INVESTIGATIONS","76939.24","TECHNICAL SERVICES SPECIALIST"
"ELECTRIC FIELD SERVICES","76915.79","ELECTRIC LINEWORKER"
"COMM DEV & NEIGHBORHOOD SVCS","76899.06","BUILDING INSPECTOR"
"UTILITY FINANCIAL OPERATIONS","76813.73","UTILITY RATE ANALYST"
"OPERATION SERVICES","76801.71","MECHANIC"
"COMM. & PUBLIC INVOLVEMENT","76784.85","CREATIVE DIRECTOR"
"COMM DEV & NEIGHBORHOOD SVCS","76723.92","BUILDING INSPECTOR"
"COMM DEV & NEIGHBORHOOD SVCS","76486.57","BUILDING INSPECTOR"
"INFORMATION TECHNOLOGY","76422.26","SYSTEMS SPECIALIST"
"UTILITIES CUSTOMER CONNECTIONS","76334.54","SR ENVIRONMENTAL PLANNER"
"PATROL","76271.34","POLICE LIEUTENANT"
"UTILITIES CUSTOMER CONNECTIONS","76245.19","KEY ACCOUNTS REP"
"UT WATER UTL ENGINEERING DIV","76099.24","CIVIL ENGINEER II"
"UT DRAINAGE SYSTEM DIV","76060.09","CREW CHIEF"
"INFORMATION TECHNOLOGY","75933.56","TELECOM TECHNICAL SPECIALIST"
"UT DRAINAGE SYSTEM DIV","75917.69","CREW CHIEF"
"UT ELECTRIC SYSTEMS ENG DIV","75899.58","ELEC PROJECT ENGINEERING MGR"
"SALES TAX","75734.68","SR SALES TAX AUDITOR"
"POUDRE FIRE AUTHORITY","75537.67","PUBLIC AFFAIRS / COMM MGR"
"SUSTAINABILITY SERVICES ADMIN","75428.5","SR FINANCIAL ANALYST"
"RECREATION","75366.0","RECREATION SUPERVISOR"
"UT WATER UTL ENGINEERING DIV","75351.39","CIVIL ENGINEER II"
"OPERATION SERVICES","75336.67","PARTS SUPERVISOR"
"UT COLLECTION SYSTEM DIV","75329.51","CREW CHIEF"
"RECREATION","75208.88","REC FINANCE/BUSINESS ANALYST"
"TRAFFIC","75191.45","TRAFFIC ENGINEERING TECH III"
"PATROL","75181.44","COMMUNITY SERVICE OFFICER"
"UTILITY TECH. & CUST. SERVICE","75177.82","SYSTEMS ANALYST"
"UTILITIES CUSTOMER CONNECTIONS","75086.26","KEY ACCOUNTS REP"
"ELECTRIC FIELD SERVICES","75049.85","ELECTRIC LINEWORKER"
"PURCHASING","74950.41","SR BUYER"
"ELECTRIC FIELD SERVICES","74920.99","ELECTRIC LINEWORKER"
"OPERATION SERVICES","74893.49","SHOP FOREMAN"
"OPERATION SERVICES","74736.84","SHOP FOREMAN"
"LIBRARY DISTRICT","74683.29","COMM & PUBLIC RELATIONS MGR"
"PURCHASING","74599.14","SR BUYER"
"INFORMATION TECHNOLOGY","74439.47","FINANCIAL & POLICY ANALYST"
"OPERATION SERVICES","74348.56","FACILITIES MAINT SUPERINTENDNT"
"ECONOMIC HEALTH OFFICE","74316.75","REDEVELOPMENT COORDINATOR"
"INFORMATION TECHNOLOGY","74306.16","TELECOM SYS & SVCS ADMNISTRTOR"
"NATURAL AREAS","74300.29","SR ENVIRONMENTAL PLANNER"
"COMM DEV & NEIGHBORHOOD SVCS","74288.04","CUSTOMER AND ADMIN SVCS MGR"
"SAFETY, SECURITY, & RISK MGMT.","74164.1","HEALTH AND SAFETY SPECIALIST"
"HUMAN RESOURCES","74058.65","BENEFITS MANAGER"
"PATROL","73997.3","POLICE OFFICER"
"UT WATER QUALITY SERVICES DIV","73930.28","CHEMIST"
"NATURAL AREAS","73875.07","LEAD RANGER"
"COMM DEV & NEIGHBORHOOD SVCS","73869.75","CITY PLANNER"
"PURCHASING","73694.85","SR BUYER"
"RECREATION","73647.0","RECREATION SUPERVISOR"
"PATROL","73632.2","POLICE SERGEANT"
"NATURAL AREAS","73623.05","NATURAL RESOURC WATERSHED SPEC"
"POLICE INFORMATION SERVICES","73620.67","EMERGENCY SERVICES DISPATCHER"
"STREETS","73618.27","CONSTRUCTION INSPECTOR"
"ELECTRIC FIELD SERVICES","73597.08","LINE CREW CHIEF"
"UT STANDARDS ENGINEERING DIV","73517.34","ELECTRICAL ENGINEER II"
"LIBRARY DISTRICT","73452.84","LIBRARIAN -NON PROFIT SERVICES"
"HUMAN RESOURCES","73378.5","HUMAN RESOURCES PARTNER"
"UT WATER METERS DIV","73364.0","WATER UTIL FIELD OPNS SUPNTNDT"
"ELECTRIC FIELD SERVICES","73317.0","ELECTRIC LINEWORKER"
"OPERATION SERVICES","73232.72","MASTER ELECTRICIAN"
"UT DISTRIBUTION SYSTEM DIV","73213.28","CREW CHIEF"
"LIBRARY DISTRICT","73119.29","OUTREACH SERVICES MANAGER"
"UT WATER PRODUCTION DIV","73092.15","INSTRUMENT/ELECTRIC TECH"
"CULTURAL SERVICES","72940.02","VISUAL ARTS ADMINISTRATOR"
"UT WATER QUALITY SERVICES DIV","72879.8","CHEMIST"
"UT WATER PRODUCTION DIV","72866.26","PLANT OPERATOR"
"INFORMATION TECHNOLOGY","72715.44","SYSTEMS SPECIALIST"
"PATROL","72713.99","COMMUNITY SERVICE OFFICER"
"PATROL","72649.95","POLICE SERGEANT"
"UT WTR RECLAMA & BIOSOLIDS DIV","72580.42","RESOURCE RECOVERY CHIEF"
"SAFETY, SECURITY, & RISK MGMT.","72538.78","HEALTH AND SAFETY SPECIALIST"
"COMM DEV & NEIGHBORHOOD SVCS","72369.62","NEIGHBORHOOD SERVICES MANAGER"
"OPERATION SERVICES","72359.17","SHOP FOREMAN"
"NATURAL AREAS","72159.19","CREW CHIEF"
"POUDRE FIRE AUTHORITY","72156.26","IT ANALYST"
"RECREATION","72055.5","THERAPEUTIC RECREATION SPEC"
"ENGINEERING","72054.54","CIVIL ENGINEER I"
"PARKS","72006.41","CREW CHIEF"
