"fiscal_year","fund","department","unit","revenue_source","revenue_type","adopted_amount","amended_amount","actual_amount"
"2013","Florida Building Code Enforcement Enterprise Fund","Building Inspection","Building Inspection","Interest On Investments","Miscellaneous Revenues","0","0","30613.15"
"2013","Florida Building Code Enforcement Enterprise Fund","Planning & Development Services","Building Inspection","Building Permits","Permits, Fees & Special Assessments","1364000","1364000","1755450.72"
"2013","Florida Building Code Enforcement Enterprise Fund","Planning & Development Services","Building Inspection","Miscellaneous Permits","Permits, Fees & Special Assessments","14000","14000","11326.75"
"2013","Florida Building Code Enforcement Enterprise Fund","Planning & Development Services","Building Inspection","Fast Track Processing Fees","Permits, Fees & Special Assessments","22000","22000","8429.7"
"2013","Florida Building Code Enforcement Enterprise Fund","Planning & Development Services","Building Inspection","Interest On Investments","Miscellaneous Revenues","0","0","44296.26"
"2013","Florida Building Code Enforcement Enterprise Fund","Planning & Development Services","Building Inspection","Special Inspection Revenues","Permits, Fees & Special Assessments","45000","45000","18200"
"2013","Florida Building Code Enforcement Enterprise Fund","Planning & Development Services","Building Inspection","Transfer From General Fund","Non-Revenues","50000","50000","50000"
"2013","Florida Building Code Enforcement Enterprise Fund","Planning & Development Services","Building Inspection","Competency Renewals","Permits, Fees & Special Assessments","10000","10000","8604"
"2013","Florida Building Code Enforcement Enterprise Fund","Planning & Development Services","Building Inspection","Gain/Loss On Investments","Miscellaneous Revenues","0","0","-7193.62"
"2013","Florida Building Code Enforcement Enterprise Fund","Planning & Development Services","Building Inspection","Street Graphics Imspection Fee","Permits, Fees & Special Assessments","16000","16000","15212"
"2013","Florida Building Code Enforcement Enterprise Fund","Planning & Development Services","Building Inspection","Electric,Plumbing&Gas Permits","Permits, Fees & Special Assessments","575000","575000","502266.2"
"2013","Florida Building Code Enforcement Enterprise Fund","Planning & Development Services","Building Inspection","Contractors Exam. Fees","Permits, Fees & Special Assessments","475","475","301"
"2013","General Capital Projects Fund","Community Redevelopment Agency","Power District Catalyst Project-Prioria","Contributions From Gru","Non-Revenues","0","6996.5","6996.5"
"2013","General Capital Projects Fund","Economic Development","Economic Development Capital Improvements For Gtec","Transfer From General Fund","Non-Revenues","100000","100000","100000"
"2013","General Capital Projects Fund","Fire Rescue","Public Safety Equipment From Safer Grant Savings","Transfer From General Fund","Non-Revenues","0","423349","423349"
"2013","General Capital Projects Fund","General Services","Ada Compliance Projects","Transfer From General Fund","Non-Revenues","5000","5000","5000"
"2013","General Capital Projects Fund","General Services","Public Facilities Upgrades/Improvements","Gru Energy Conserv Rebates","Miscellaneous Revenues","0","31937.16","31937.16"
"2013","General Capital Projects Fund","Information Technology","Pc Replacement Plan","Transfer From General Fund","Non-Revenues","100000","100000","100000"
"2013","General Capital Projects Fund","Non-Departmental","Capital Projects","Gain/Loss On Investments","Miscellaneous Revenues","112261","112261","0"
"2013","General Capital Projects Fund","Non-Departmental","Capital Projects","Unrealized Gain/Loss","Miscellaneous Revenues","0","0","-719321"
"2013","General Capital Projects Fund","Parks, Recreation & Cultural Affairs","Pine Ridge Playground - Walmart Match","Transfer From General Fund","Non-Revenues","40000","40000","40000"
"2013","General Capital Projects Fund","Parks, Recreation & Cultural Affairs","Boardwalk Replacement Project","Transfer From General Fund","Non-Revenues","25000","25000","25000"
"2013","General Capital Projects Fund","Parks, Recreation & Cultural Affairs","Playground Equipment Replacement","Transfer From General Fund","Non-Revenues","30000","30000","30000"
"2013","General Capital Projects Fund","Parks, Recreation & Cultural Affairs","Greentree/Kiwanis Park","Transfer From General Fund","Non-Revenues","140569","140569","140569"
"2013","General Capital Projects Fund","Parks, Recreation & Cultural Affairs","Cone Park","Transfer From General Fund","Non-Revenues","60000","60000","60000"
"2013","General Capital Projects Fund","Parks, Recreation & Cultural Affairs","Median Project","Transfer From General Fund","Non-Revenues","15000","15000","15000"
"2013","General Capital Projects Fund","Police","Gpd - Gps Equipment","Transfer From General Fund","Non-Revenues","20000","20000","20000"
"2013","General Capital Projects Fund","Police","Gpd Headquarters Annex","T/F -Federal L.E.C.F. (109)","Non-Revenues","0","750000","0"
"2013","General Capital Projects Fund","Police","Gpd Headquarters Annex","Transfer From General Fund","Non-Revenues","0","1057474.27","1057474.27"
"2013","General Capital Projects Fund","Police","Gpd Aircards & Printers In Patrol Cars","Transfer From General Fund","Non-Revenues","77500","77500","77500"
"2013","General Capital Projects Fund","Public Works","Depot Ave Facility - Gru","Contributions From Gru","Non-Revenues","8643.4","8643.4","0"
"2013","General Capital Projects Fund","Public Works","Pw Mast Arm Maintenance","Transfer From General Fund","Non-Revenues","60681","60681","60681"
"2013","General Capital Projects Fund","Public Works","Traffic Mast Arm Reimbursement","Insurance Recovery","Miscellaneous Revenues","30000","75000","45000"
"2013","General Capital Projects Fund","Public Works","General Roadway Resurfacing","Trans From Solid Waste","Non-Revenues","300000","300000","300000"
"2013","General Capital Projects Fund","Public Works","Bicycle & Pedestrian Connectivity Project","Transfer From General Fund","Non-Revenues","200000","200000","200000"
"2013","General Capital Projects Fund","Public Works","General Roadway Resurfacing","Transfer From General Fund","Non-Revenues","152554","152554","152554"
"2013","General Capital Projects Fund","Public Works","Sign Retroreflectivity Project","Transfer From General Fund","Non-Revenues","0","100000","100000"
"2013","General Capital Projects Fund","Public Works","Downtown Parking Garage","Transfer From General Fund","Non-Revenues","52000","52000","52000"
"2013","General Capital Projects Fund","Public Works","Traffic Management System","County Contribution","Intergovernmental Revenues","0.24","0.24","0"
"2013","General Fixed Assets Group","Budget & Finance Department","Gru-Community Relations","Gain/Loss:Disposition Of F/A","Miscellaneous Revenues","0","0","-3047349.84"
"2013","General Fixed Assets Group","Community Redevelopment Agency","Fixed Assets","Gain/Loss:Disposition Of F/A","Miscellaneous Revenues","0","0","-65779.99"
"2013","General Fixed Assets Group","Facilities Management","Fixed Assets","Gain/Loss:Disposition Of F/A","Miscellaneous Revenues","0","0","-607.5"
"2013","General Fixed Assets Group","Fire Rescue","Fixed Assets","Gain/Loss:Disposition Of F/A","Miscellaneous Revenues","0","0","-16991.62"
"2013","General Fixed Assets Group","General Services","Fixed Assets","Gain/Loss:Disposition Of F/A","Miscellaneous Revenues","0","0","-4678.39"
"2013","General Fixed Assets Group","Parks, Recreation & Cultural Affairs","Fixed Assets","Gain/Loss:Disposition Of F/A","Miscellaneous Revenues","0","0","-23704.19"
"2013","General Fixed Assets Group","Planning & Development Services","Fixed Assets","Gain/Loss:Disposition Of F/A","Miscellaneous Revenues","0","0","-101877.93"
"2013","General Fixed Assets Group","Police","Fixed Assets","Gain/Loss:Disposition Of F/A","Miscellaneous Revenues","0","0","-2366002.39"
"2013","General Fixed Assets Group","Public Works","Smu-Depreciation","Gain/Loss:Disposition Of F/A","Miscellaneous Revenues","0","0","-3000"
"2013","General Insurance Fund","Risk Management","Risk Management","Gain/Loss On Investments","Miscellaneous Revenues","250000","250000","-28323.46"
"2013","General Insurance Fund","Risk Management","Risk Management","Ins. Premium-Retiree Health","Internal Service Charges","0","168","168"
"2013","General Insurance Fund","Risk Management","Risk Management","Insurance Premium","Miscellaneous Revenues","0","0","1487246.22"
"2013","General Insurance Fund","Risk Management","Risk Management","Interest On Investments","Miscellaneous Revenues","0","0","271243.76"
"2013","General Insurance Fund","Risk Management","Risk Management","Ins. Premium-Police Pension","Internal Service Charges","17000","17000","17000"
"2013","General Insurance Fund","Risk Management","Risk Management","Ins. Premium-Special Events","Internal Service Charges","36967","0","0"
"2013","General Insurance Fund","Risk Management","Risk Management","Ins. Premium-Solid Waste","Internal Service Charges","20221","20221","20221"
"2013","General Insurance Fund","Risk Management","Risk Management","Ins. Premium-Fl Bldg Code","Internal Service Charges","52176","52176","52176"
"2013","General Insurance Fund","Risk Management","Risk Management","Unrealized Gain/Loss","Miscellaneous Revenues","0","0","-959757"
"2013","General Insurance Fund","Risk Management","Risk Management","Ins. Premium-Fire Pension","Internal Service Charges","17000","17000","17000"
"2013","General Insurance Fund","Risk Management","Risk Management","Ins. Premium-Gpd Billable Ot","Internal Service Charges","0","9746","9746"
"2013","General Insurance Fund","Risk Management","Risk Management","Ins. Premium-Cra Admin","Internal Service Charges","0","13368","13368"
"2013","General Insurance Fund","Risk Management","Risk Management","Premium Reimbursements","Miscellaneous Revenues","1590000","1590000","715571.74"
"2013","General Insurance Fund","Risk Management","Risk Management","Refundable Overpayments","Miscellaneous Revenues","0","19374","19374"
"2013","General Insurance Fund","Risk Management","Risk Management","Ins. Premium-Cultural Affairs","Internal Service Charges","0","3027","3027"
"2013","General Insurance Fund","Risk Management","Risk Management","Ins. Premium-Smuf","Internal Service Charges","203619","203619","203619"
"2013","General Insurance Fund","Risk Management","Risk Management","Ins. Premium-Home Grant Fund","Internal Service Charges","0","1542","1542"
"2013","General Insurance Fund","Risk Management","Risk Management","Ins. Premium-General Fund","Internal Service Charges","3583546","3534095","3534095"
"2013","General Insurance Fund","Risk Management","Risk Management","Ins. Premium-Employee Health","Internal Service Charges","0","1590","1590"
"2013","General Insurance Fund","Risk Management","Risk Management","Ins. Premium-Gen. Pension","Internal Service Charges","25000","25000","25000"
"2013","General Insurance Fund","Risk Management","Risk Management","Ins. Premium-Fleet Service","Internal Service Charges","80306","80306","80306"
"2013","General Insurance Fund","Risk Management","Risk Management","Ins. Premium-Cdbg","Internal Service Charges","26082","26082","26082"
"2013","General Insurance Fund","Risk Management","Risk Management","Ins. Premium-Rts","Internal Service Charges","1235774","1235774","1235774"
"2013","General Insurance Fund","Risk Management","Risk Management","Ins. Premium-Golf Course","Internal Service Charges","42000","42000","42000"
"2013","General Insurance Fund","Risk Management","Surplus","Proceeds-Surplus Equip.","Miscellaneous Revenues","0","0","3671.15"
"2013","General Insurance Fund","Risk Management","Risk Management","Ins. Premium-Disability Pension","Internal Service Charges","0","636","636"
"2013","General Insurance Fund","Risk Management","Risk Management","Other Miscellaneous Revenues","Miscellaneous Revenues","300000","300000","221155"
"2013","General Pension Fund","Non-Departmental","Trust Funds","Employee Contrb-Military Buy-Back","Non-Revenues","0","0","49081"
"2013","General Pension Fund","Non-Departmental","Trust Funds","Employee Contributions","Non-Revenues","4800000","4800000","4891688.55"
"2013","General Pension Fund","Non-Departmental","Trust Funds","Broker Refunds","Miscellaneous Revenues","10000","10000","650.8"
"2013","General Pension Fund","Non-Departmental","Trust Funds","Unrealized Gain/Loss","Miscellaneous Revenues","23000000","23000000","47900433.86"
"2013","General Pension Fund","Non-Departmental","Trust Funds","Employee Contributions-Sheriff","Non-Revenues","0","0","2292.98"
"2013","General Pension Fund","Non-Departmental","Trust Funds","Employer Contributions-Sheriff","Non-Revenues","0","0","5389.75"
"2013","General Pension Fund","Non-Departmental","Trust Funds","Employer Contributions","Non-Revenues","12050000","12050000","10198651.38"
"2013","General Pension Fund","Non-Departmental","Trust Funds","Gain/Loss On Investments","Miscellaneous Revenues","6000000","6000000","11626790.36"
"2013","General Pension Fund","Non-Departmental","Trust Funds","Interest On Investments","Miscellaneous Revenues","3500000","3500000","2954551.16"
"2013","General Pension Fund","Non-Departmental","Trust Funds","Retiree Drop Pay-Redeposited To Drop Plan","Non-Revenues","0","0","4231360.1"
"2013","G.E.Z.D.A. Fund","Planning & Development Services","G.E.Z.D.A","Unrealized Gain/Loss","Miscellaneous Revenues","0","0","-8"
"2013","G.E.Z.D.A. Fund","Planning & Development Services","G.E.Z.D.A","Gain/Loss On Investments","Miscellaneous Revenues","177","177","-9"
"2013","G.E.Z.D.A. Fund","Planning & Development Services","G.E.Z.D.A","Interest On Investments","Miscellaneous Revenues","0","0","112.56"
"2013","Golf Course Enterprise Fund","Parks, Recreation & Cultural Affairs","Other Activity","Interest On Investments","Miscellaneous Revenues","0","0","-42174.9"
"2013","Golf Course Enterprise Fund","Parks, Recreation & Cultural Affairs","Golf Course Concessions","Golf Course Concessions","Charges for Services","149434","149434","162862.43"
"2013","Golf Course Enterprise Fund","Parks, Recreation & Cultural Affairs","Fixed Assets","Capital Contributions","Non-Revenues","0","0","9300"
"2013","Golf Course Enterprise Fund","Parks, Recreation & Cultural Affairs","Golf Course Operations","Cart Rentals","Charges for Services","226234","226234","217821.14"
"2013","Golf Course Enterprise Fund","Parks, Recreation & Cultural Affairs","Golf Course Concessions","Facility Rental-Ironwood","Charges for Services","14649","14649","5748.11"
"2013","Golf Course Enterprise Fund","Parks, Recreation & Cultural Affairs","Golf Course Operations","Greens Fees","Charges for Services","371606","371606","346066.36"
"2013","Golf Course Enterprise Fund","Parks, Recreation & Cultural Affairs","Golf Course Operations","Other Miscellaneous Revenues","Miscellaneous Revenues","0","0","360"
"2013","Golf Course Enterprise Fund","Parks, Recreation & Cultural Affairs","Golf Course Operations","Cash Overage/Shortage","Miscellaneous Revenues","0","0","71.99"
"2013","Golf Course Enterprise Fund","Parks, Recreation & Cultural Affairs","Golf Course Concessions","Cash Overage/Shortage","Miscellaneous Revenues","0","0","-0.8"
"2013","Golf Course Enterprise Fund","Parks, Recreation & Cultural Affairs","Golf Course Operations","Driving Range Revenues","Charges for Services","31171","31171","46145.98"
"2013","Golf Course Enterprise Fund","Parks, Recreation & Cultural Affairs","Golf Course Operations","Handicap Service","Charges for Services","561","561","1225.54"
"2013","Golf Course Enterprise Fund","Parks, Recreation & Cultural Affairs","Other Activity","Transfer From General Fund","Non-Revenues","841366","841366","841366"
"2013","Golf Course Enterprise Fund","Parks, Recreation & Cultural Affairs","Golf Course Pro Shop","Pro Shop Sales","Charges for Services","47725","47725","62821.09"
"2013","Golf Course Renovation Fund","Parks, Recreation & Cultural Affairs","Cirb 2010 Debt Repayment","T/F Ironwood Surcharge Fund (418)","Non-Revenues","0","95173","95173"
"2013","Golf Course Renovation Fund","Parks, Recreation & Cultural Affairs","Golf Course Renovations","Interest On Investments","Miscellaneous Revenues","0","0","1365.67"
"2013","Golf Course Renovation Fund","Parks, Recreation & Cultural Affairs","Golf Course Renovations","Gain/Loss On Investments","Miscellaneous Revenues","0","0","-141"
"2013","Golf Course Surcharge/Capital Projects Fund","Parks, Recreation & Cultural Affairs","Capital Project Surcharge","Gain/Loss On Investments","Miscellaneous Revenues","0","0","-188"
"2013","Golf Course Surcharge/Capital Projects Fund","Parks, Recreation & Cultural Affairs","Capital Project Surcharge","Capital Surcharge","Charges for Services","137780","137780","178443.37"
"2013","Golf Course Surcharge/Capital Projects Fund","Parks, Recreation & Cultural Affairs","Capital Project Surcharge","Interest On Investments","Miscellaneous Revenues","0","0","2853.16"
"2013","GPD-Billable Overtime","Police","Billable Overtime","Gpd-Billable Overtime","Charges for Services","500000","510736","511911.15"
"2013","GPD-Billable Overtime","Police","Billable Overtime","Transfer From General Fund","Non-Revenues","0","52908.88","52908.88"
"2013","GPD-Billable Overtime","Police","Billable Ot-City Events","Gpd-Billable Overtime","Charges for Services","120000","99432","99431.55"
"2013","GPD-Energy Conservation Master Lease","Non-Departmental","Debt Service","Transfer From General Fund","Non-Revenues","115393","115393","115393"
"2013","GPD-Energy Conservation Master Lease","Non-Departmental","Debt Service","Interest On Investments","Miscellaneous Revenues","1217","1217","1093.47"
"2013","GPD-Energy Conservation Master Lease","Non-Departmental","Debt Service","Gain/Loss On Investments","Miscellaneous Revenues","0","0","-83"
"2013","GPD-Energy Conservation Master Lease","Non-Departmental","Debt Service","Unrealized Gain/Loss","Miscellaneous Revenues","0","0","-3753"
"2013","Greenspace Aquisition Fund","Non-Departmental","Capital Projects","Interest On Investments","Miscellaneous Revenues","0","0","35879.7"
"2013","Greenspace Aquisition Fund","Non-Departmental","Capital Projects","Unrealized Gain/Loss","Miscellaneous Revenues","0","0","-131495"
"2013","Greenspace Aquisition Fund","Non-Departmental","Capital Projects","Gain/Loss On Investments","Miscellaneous Revenues","36014","36014","-2612"
"2013","Greenspace Aquisition Fund","Non-Departmental","Capital Projects","Transfer From General Fund","Non-Revenues","425000","425000","425000"
"2013","Guaranteed Ent Rev/Ref Bond of 2004","Non-Departmental","Debt Service","Gain/Loss On Investments","Miscellaneous Revenues","0","0","-1467"
"2013","Guaranteed Ent Rev/Ref Bond of 2004","Non-Departmental","Debt Service","S.R.S.-Sales Tax","Intergovernmental Revenues","665128","665128","665128"
"2013","Guaranteed Ent Rev/Ref Bond of 2004","Non-Departmental","Debt Service","Interest On Investments","Miscellaneous Revenues","3488","3488","13158.88"
"2013","Guaranteed Ent Rev/Ref Bond of 2004","Non-Departmental","Debt Service","S.R.S.-Mtr. Fuel Tax","Intergovernmental Revenues","375435","375435","375435"
"2013","Guaranteed Ent Rev/Ref Bond of 2004","Non-Departmental","Debt Service","Unrealized Gain/Loss","Miscellaneous Revenues","0","0","-8489"
"2013","Home Grant Fund","Neighborhood Improvement","Housing Program Delivery Costs","Principal- Mic","Miscellaneous Revenues","0","5684.86","5684.86"
"2013","Home Grant Fund","Neighborhood Improvement","Housing Program Delivery Costs","Property Rentals","Charges for Services","0","9950","9950"
"2013","Home Grant Fund","Neighborhood Improvement","Block Grant Administration","Other Miscellaneous Revenues","Miscellaneous Revenues","0","14483.14","14483.14"
"2013","Home Grant Fund","Neighborhood Improvement","Block Grant Administration","Home Investment Grant","Intergovernmental Revenues","617746","617746","602179.34"
"2013","Home Grant Fund","Neighborhood Improvement","Housing Program Delivery Costs","Other Miscellaneous Revenues","Miscellaneous Revenues","0","6000","6000"
"2013","Home Grant Fund","Neighborhood Improvement","Housing Program Delivery Costs","Interest - Mic","Miscellaneous Revenues","0","2964.26","2964.26"
"2013","LOGT Bonded Transportation Capital Projects Fund","Non-Departmental","Capital Projects","Unrealized Gain/Loss","Miscellaneous Revenues","0","0","-358994"
"2013","LOGT Bonded Transportation Capital Projects Fund","Non-Departmental","Capital Projects","Interest On Investments","Miscellaneous Revenues","0","0","108665.98"
"2013","LOGT Bonded Transportation Capital Projects Fund","Non-Departmental","Capital Projects","Gain/Loss On Investments","Miscellaneous Revenues","0","0","-8862"
"2013","Misc. Grants Fund","Community Redevelopment Agency","Fdep-Rtp Grant-Depot Park Trail","T/F-Cirb Of 2005 Cpf (335)","Non-Revenues","0","0","-162334.18"
"2013","Misc. Grants Fund","Community Redevelopment Agency","Fdep-Rtp Grant-Depot Park Trail","St Grant-Cultural/Recreation","Intergovernmental Revenues","200000","200000","0"
"2013","Misc. Grants Fund","Community Redevelopment Agency","Support Housing Grt - Vetspace","Fed Grant-Physical Environment","Intergovernmental Revenues","29900.59","29900.59","0"
"2013","Misc. Grants Fund","Fire Rescue","State Homeland Security Grant Program 08/09","St Grant-Public Safety","Intergovernmental Revenues","2877.35","2877.35","0"
"2013","Misc. Grants Fund","Fire Rescue","Assistance To Firefighters Grant Program (Emw-2011-Fp-00667)","Fed Grant-Fema","Intergovernmental Revenues","68621","68621","82974.43"
"2013","Misc. Grants Fund","Fire Rescue","2005 Homeland Security Grant-Equip","State Contribution","Intergovernmental Revenues","149.81","149.81","0"
"2013","Misc. Grants Fund","Fire Rescue","Assistance To Firefighters Grant","Fed Grant-Fema","Intergovernmental Revenues","31.62","31.62","0"
"2013","Misc. Grants Fund","Fire Rescue","State Homeland Security Grant Program","St Grant-Public Safety","Intergovernmental Revenues","10282.48","10282.48","0"
"2013","Misc. Grants Fund","Fire Rescue","Asst To Ff Grant-Traffic Preemption","T/F-Cirb Of 2005 Cpf (335)","Non-Revenues","142","142","0"
"2013","Misc. Grants Fund","Fire Rescue","State Homeland Security Grant Program","State Contribution","Intergovernmental Revenues","1248.44","1248.44","0"
"2013","Misc. Grants Fund","Fire Rescue","Rhave Grant","Fed Grant-Public Safety","Intergovernmental Revenues","11978.17","11978.17","0"
"2013","Misc. Grants Fund","Fire Rescue","Assist. To Ff Grant 2009","Fed Grant-Fema","Intergovernmental Revenues","17172","17172","0"
"2013","Misc. Grants Fund","Fire Rescue","State Homeland Shsgp Grant","St Grant-Public Safety","Intergovernmental Revenues","804","804","0"
"2013","Misc. Grants Fund","Fire Rescue","Assist. To Ff Grant 2009","Transfer From General Fund","Non-Revenues","4293.07","4293.07","0"
"2013","Misc. Grants Fund","Fire Rescue","Fema-Hmgp-Firestation Wind Retrofit","Fed Grant-Fema","Intergovernmental Revenues","144383.83","144383.83","0"
"2013","Misc. Grants Fund","Fire Rescue","Ems Grant-Fy2009","St Grant-Public Safety","Intergovernmental Revenues","21677.91","21677.91","11604"
"2013","Misc. Grants Fund","Fire Rescue","Fla Ems County Grant 2011-2012","St Grant-Public Safety","Intergovernmental Revenues","2889.1","2889.1","0"
"2013","Misc. Grants Fund","Fire Rescue","Asst To Ff Grant-Traffic Preemption","Fed Grant-Public Safety","Intergovernmental Revenues","568","568","0"
"2013","Misc. Grants Fund","Fire Rescue","Safer Grant - Fy2010 Fema","Transfer From General Fund","Non-Revenues","0","1904.7","1904.7"
"2013","Misc. Grants Fund","Fire Rescue","04 Fema Assistance To Firefighters Grant","Fed Grant-Fema","Intergovernmental Revenues","510.5","510.5","0"
"2013","Misc. Grants Fund","Fire Rescue","2010 State Homeland Security Grant Program","St Grant-Public Safety","Intergovernmental Revenues","55995","55995","52617.77"
"2013","Misc. Grants Fund","Fire Rescue","State Homeland Security Grant Program 09/10","St Grant-Public Safety","Intergovernmental Revenues","3406.98","3406.98","0"
"2013","Misc. Grants Fund","Fire Rescue","Fema-Hmgp-Firestation Wind Retrofit","T/F-Ffgfc Of 2005 Cpf (332)","Non-Revenues","31725.08","31725.08","0"
"2013","Misc. Grants Fund","Fire Rescue","Domestic Preparedness Grant-2005","St Grant-Public Safety","Intergovernmental Revenues","495.11","495.11","0"
"2013","Misc. Grants Fund","Fire Rescue","2011 State Homeland Security Grant Program Cfa 97.067","St Grant-Public Safety","Intergovernmental Revenues","0","38384","19737.95"
"2013","Misc. Grants Fund","Fire Rescue","Ems Grant-Fy2008","St Grant-Public Safety","Intergovernmental Revenues","439.41","439.41","0"
"2013","Misc. Grants Fund","Fire Rescue","Assistance To Firefighters Grant Program (Emw-2012-Fo-01449)","Trans Gen Cap Proj Fund","Non-Revenues","0","122093","122093"
"2013","Misc. Grants Fund","Fire Rescue","Safer Grant - Fy2010 Fema","Fed Grant-Fema","Intergovernmental Revenues","524338.86","524338.86","524338.86"
"2013","Misc. Grants Fund","Fire Rescue","Assistance To Firefighters Grant Program (Emw-2012-Fo-01449)","Fed Grant-Fema","Intergovernmental Revenues","0","488372","0"
"2013","Misc. Grants Fund","Neighborhood Improvement","2012 Supportive Housing Grt - Vetspace","Fed Grant-Physical Environment","Intergovernmental Revenues","76492.57","76492.57","76491.36"
"2013","Misc. Grants Fund","Neighborhood Improvement","2009 Supportive Housing Grt - Vetspace","Fed Grant-Physical Environment","Intergovernmental Revenues","2571.89","2571.89","0"
"2013","Misc. Grants Fund","Neighborhood Improvement","2008 Supportive Housing Grant - Mbh","Fed Grant-Physical Environment","Intergovernmental Revenues","2359.2","2359.2","0"
"2013","Misc. Grants Fund","Neighborhood Improvement","Fy08 Disaster Recovery Program","Fed Grant","Intergovernmental Revenues","627.14","627.14","0"
"2013","Misc. Grants Fund","Neighborhood Improvement","2012 Supportive Housing Grant - Mbh","Fed Grant-Physical Environment","Intergovernmental Revenues","56859.85","56859.85","43773.06"
"2013","Misc. Grants Fund","Neighborhood Improvement","2009 Supportive Housing Grant - Mbh","Fed Grant-Physical Environment","Intergovernmental Revenues","8860.55","8860.55","0"
"2013","Misc. Grants Fund","Neighborhood Improvement","Communities For Lifetime Mini-Grant","St Grant-Human Services","Intergovernmental Revenues","151.5","151.5","0"
"2013","Misc. Grants Fund","Neighborhood Improvement","2011 Supportive Housing Grant - Mbh","Fed Grant-Physical Environment","Intergovernmental Revenues","11929.88","11929.88","0"
"2013","Misc. Grants Fund","Neighborhood Improvement","2010 Supportive Housing Grant - Mbh","Fed Grant-Physical Environment","Intergovernmental Revenues","13849.71","13849.71","0"
"2013","Misc. Grants Fund","Neighborhood Improvement","2008 Supportive Housing Grt - Vetspace","Fed Grant-Physical Environment","Intergovernmental Revenues","2940","2940","0"
"2013","Misc. Grants Fund","Neighborhood Improvement","2011 Supportive Housing Grt - Vetspace","Fed Grant-Physical Environment","Intergovernmental Revenues","13.23","13.23","0"
"2013","Misc. Grants Fund","Parks, Recreation & Cultural Affairs","Us Fish And Wildlife Service Grant","Fed Grant-Cultural/Recreation","Intergovernmental Revenues","25000","25000","0"
"2013","Misc. Grants Fund","Parks, Recreation & Cultural Affairs","Pavilion Open Air Classroom-Morningside","St Grant-Cultural/Recreation","Intergovernmental Revenues","25000","25000","0"
"2013","Misc. Grants Fund","Parks, Recreation & Cultural Affairs","Laa Grant - Fy05/06","St Grant-Cultural/Recreation","Intergovernmental Revenues","3446.22","3446.22","0"
"2013","Misc. Grants Fund","Parks, Recreation & Cultural Affairs","Laa Grant - Fy05/06","Trans Fr Cult Affair","Non-Revenues","3104","3104","0"
"2013","Misc. Grants Fund","Parks, Recreation & Cultural Affairs","Hoggetowne Faire-Tpd Grant","T/F Tourist Product Dev Fy11(131)","Non-Revenues","1.32","1.32","0"
"2013","Misc. Grants Fund","Parks, Recreation & Cultural Affairs","Cchp Mini-Grnt Tbm Walking Trl","St Grant-Physical Environment","Intergovernmental Revenues","364.5","364.5","0"
"2013","Misc. Grants Fund","Parks, Recreation & Cultural Affairs","Asian Festival","T/F Tourist Product Dev Fy11(131)","Non-Revenues","416.79","416.79","0"
"2013","Misc. Grants Fund","Parks, Recreation & Cultural Affairs","Florida Humanities Council Grant","St Grant-Cultural/Recreation","Intergovernmental Revenues","477.48","477.48","0"
"2013","Misc. Grants Fund","Parks, Recreation & Cultural Affairs","Laa Grant - Fy07/08","St Grant-Cultural/Recreation","Intergovernmental Revenues","5663.29","5663.29","0"
"2013","Misc. Grants Fund","Parks, Recreation & Cultural Affairs","Transformation Through Imagination Prca Grant","Other Contributions&Donations","Miscellaneous Revenues","5000","5000","0"
"2013","Misc. Grants Fund","Parks, Recreation & Cultural Affairs","Possum Creek Park","St Grant-Cultural/Recreation","Intergovernmental Revenues","200000","200000","0"
"2013","Misc. Grants Fund","Parks, Recreation & Cultural Affairs","Florida Exotic Pest Plant Grant","Grants-Other Local Units","Intergovernmental Revenues","1000","1000","0"
"2013","Misc. Grants Fund","Parks, Recreation & Cultural Affairs","Music Showcase-Tpd Grant","T/F- Tourist Product Dev (130)","Non-Revenues","11256","0","0"
"2013","Misc. Grants Fund","Parks, Recreation & Cultural Affairs","Hoggetowne Faire-Tpd Grant","T/F- Tourist Product Dev (130)","Non-Revenues","22502","22502","22500"
"2013","Misc. Grants Fund","Parks, Recreation & Cultural Affairs","Sites Grant","Contrib For Cultural Events","Intergovernmental Revenues","58.8","58.8","0"
"2013","Misc. Grants Fund","Police","Victim Advocate Ii-05 Byrne Grant","Grants-Other Local Units","Intergovernmental Revenues","18791.56","18791.56","0"
"2013","Misc. Grants Fund","Police","Fy 10 Domestic Violence Grant","Fed Grant-Public Safety","Intergovernmental Revenues","299495.76","299495.76","173254.09"
"2013","Misc. Grants Fund","Police","Cops More02","Fed Grant-Public Safety","Intergovernmental Revenues","194592.45","194592.45","0"
"2013","Misc. Grants Fund","Police","Fy12 Ebm Justice Assistance Grant - Local Solicitation","Fed Grant-Public Safety","Intergovernmental Revenues","70083","70083","66837.35"
"2013","Misc. Grants Fund","Police","Solving Cold Cases W/ Dna Analysis-Mou W/ Acso","Fed Grant-Public Safety","Intergovernmental Revenues","53309","53309","8709.91"
"2013","Misc. Grants Fund","Police","21St Century Grant- Gpd (Yr. 2)","Fed Grant-Public Safety","Intergovernmental Revenues","51637.5","51637.5","0"
"2013","Misc. Grants Fund","Police","2006 Bulletproof Vest Grant","Fed Grant-Public Safety","Intergovernmental Revenues","34732.22","34732.22","-39471.4"
"2013","Misc. Grants Fund","Police","Icac Continuation 09","Fed Grant-Public Safety","Intergovernmental Revenues","31585.41","31585.41","61096.33"
