"fund","department","unit","vendor","expenditure_type","expenditure_detail","transaction_amount","transaction_date","month_name","fiscal_month_number","fiscal_year","pmt_method"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Beck Autosales Inc","Internal Services","Parts-Motor Equipment","117.7","2015-10-25T00:00:00.000","October","1","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Beck Autosales Inc","Internal Services","Parts-Motor Equipment","117.7","2015-10-25T00:00:00.000","October","1","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Beck Autosales Inc","Internal Services","Parts-Motor Equipment","274.41","2015-10-25T00:00:00.000","October","1","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Beck Autosales Inc","Internal Services","Parts-Motor Equipment","32.34","2015-10-25T00:00:00.000","October","1","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Beck Autosales Inc","Internal Services","Parts-Motor Equipment","117.7","2015-10-25T00:00:00.000","October","1","2016","Payables"
"General Insurance Fund","Office Of Risk Management","Risk Management","Alta Systems Inc","Other General Government","Printing And Binding","265","2015-10-25T00:00:00.000","October","1","2016","Payables"
"Tourist Product Development - FY15","Parks, Recreation & Cultural Affairs","Santa Fe College-Showcase","Santa Fe College Foundation","Cultural Services","Aid To Private Organizations","19986","2015-10-25T00:00:00.000","October","1","2016","Payables"
"Tourist Product Development - FY15","Parks, Recreation & Cultural Affairs","UF College of Fine Arts","University Of Florida Foundation Inc","Cultural Services","Aid To Private Organizations","1361.98","2015-10-25T00:00:00.000","October","1","2016","Payables"
"Police Officers Retirement","Non-Departmental","Trust Funds","Towers Watson Investment Services Inc","Law Enforcement","Invest Performance Analysis","23625","2015-10-25T00:00:00.000","October","1","2016","Payables"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","The Goodyear Tire Rubber Company","Internal Services","Parts-Motor Equipment","5802.49","2015-10-25T00:00:00.000","October","1","2016","Payables"
"General Insurance Fund","Office Of Risk Management","Health & Wellness Services","Dmi  Dell K-12/govt","Other General Government","Materials And Supplies","1070.37","2015-10-25T00:00:00.000","October","1","2016","Visa"
"General Insurance Fund","Office Of Risk Management","Health & Wellness Services","Dmi  Dell K-12/govt","Other General Government","Materials And Supplies","33.99","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Hollander's Hydraulics","Internal Services","Parts-Motor Equipment","27.03","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Streits Lock & Key","Flood Control","Materials And Supplies","16.75","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","N.P.D.E.S. Project-Public Outreach","Office Depot #186","Flood Control","Printing And Binding","11.98","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","N.P.D.E.S. Project-Operations BMP","In Situ Inc","Flood Control","Materials And Supplies","1217.5","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","N.P.D.E.S. Project-Public Outreach","Office Depot #186","Flood Control","Printing And Binding","-0.68","2016-09-25T00:00:00.000","September","12","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Alachua County Board Of County Commissioners","Health","Materials And Supplies","104","2015-10-18T00:00:00.000","October","1","2016","Payables"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","B & M Equipment Rental And Sales Inc","Flood Control","Materials And Supplies","25.89","2015-10-25T00:00:00.000","October","1","2016","Payables"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Profast 11","Flood Control","Materials And Supplies","737.13","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Praxair Dist Se # 22","Health","Materials And Supplies","49.5","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Kmart 3424","Health","Materials And Supplies","3.67","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Wm Supercenter #538","Health","Materials And Supplies","14.61","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Wm Supercenter #3877","Health","Materials And Supplies","23.94","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Lowes #02365","Health","Materials And Supplies","11.97","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Walgreens #12316","Health","Materials And Supplies","27.98","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Praxair Dist Se # 22","Health","Materials And Supplies","49.5","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","1899-12-31T00:46:17.000","Health","Materials And Supplies","115.6","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Mp Biomedicals Llc","Health","Materials And Supplies","-4.59","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Harbor Freight Tools 325","Health","Materials And Supplies","70.92","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Wal-Mart #3877","Health","Materials And Supplies","69.95","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Praxair Dist Se # 22","Health","Materials And Supplies","105","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Walgreens #12316","Health","Materials And Supplies","20.47","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Praxair Dist Se # 22","Health","Materials And Supplies","49.5","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","B & G Equipment Company","Health","Materials And Supplies","1738.71","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Stormwater Management Utility","Public Works","N.P.D.E.S. Project-Operations BMP","Xerographic Copy Center","Flood Control","Printing And Binding","660","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Stormwater Management Utility","Public Works","N.P.D.E.S. Project-Operations BMP","In  Propet Distributors I","Flood Control","Materials And Supplies","1803.95","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Stormwater Management Utility","Public Works","N.P.D.E.S. Project-Operations BMP","Creative Workshop Stores","Flood Control","Materials And Supplies","49.5","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Tourist Product Development - FY14","Parks, Recreation & Cultural Affairs","Tourist Prod Dev - New Programs","Office Depot #186","Cultural Services","Materials And Supplies","30.76","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Tourist Product Development - FY14","Parks, Recreation & Cultural Affairs","Tourist Prod Dev - New Programs","Publix #795","Cultural Services","Materials And Supplies","3.99","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Tourist Product Development - FY14","Parks, Recreation & Cultural Affairs","Tourist Prod Dev - New Programs","Harvest Thyme Cafe","Cultural Services","Materials And Supplies","712.25","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Tourist Product Development - FY14","Parks, Recreation & Cultural Affairs","Tourist Prod Dev - New Programs","Publix #795","Cultural Services","Materials And Supplies","-10.49","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Tourist Product Development - FY14","Parks, Recreation & Cultural Affairs","Tourist Prod Dev - New Programs","Publix #795","Cultural Services","Materials And Supplies","-0.95","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Tourist Product Development - FY14","Parks, Recreation & Cultural Affairs","Tourist Prod Dev - New Programs","Harvest Thyme Cafe","Cultural Services","Materials And Supplies","407","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","B & M Equipment Rental And Sales Inc","Flood Control","Materials And Supplies","70.95","2015-11-01T00:00:00.000","November","2","2016","Payables"
"Stormwater Management Utility","Public Works","Operations-Support Services","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","199.63","2015-11-01T00:00:00.000","November","2","2016","Payables"
"Stormwater Management Utility","Public Works","Operations-Support Services","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","638","2015-11-01T00:00:00.000","November","2","2016","Payables"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","515.6","2015-11-01T00:00:00.000","November","2","2016","Payables"
"Stormwater Management Utility","Public Works","Operations-Support Services","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","319.4","2015-11-01T00:00:00.000","November","2","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","223.86","2015-11-01T00:00:00.000","November","2","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","223.86","2015-11-01T00:00:00.000","November","2","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Ricoh Americas Corporation","Flood Control","Printing And Binding","64.79","2015-11-01T00:00:00.000","November","2","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Ricoh Americas Corporation","Flood Control","Printing And Binding","35.57","2015-11-01T00:00:00.000","November","2","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Ricoh Americas Corporation","Flood Control","Printing And Binding","98.4","2015-11-01T00:00:00.000","November","2","2016","Payables"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Southeast Rigging Inc","Flood Control","Materials And Supplies","1631.15","2015-11-01T00:00:00.000","November","2","2016","Payables"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Fastenal Company","Flood Control","Materials And Supplies","10.79","2015-11-01T00:00:00.000","November","2","2016","Payables"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Fastenal Company","Flood Control","Materials And Supplies","379.09","2015-11-01T00:00:00.000","November","2","2016","Payables"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","Argos Usa Corp","Flood Control","Materials And Supplies","267","2015-11-01T00:00:00.000","November","2","2016","Payables"
"Stormwater Management Utility","Public Works","Operations-Support Services","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","638","2015-11-08T00:00:00.000","November","2","2016","Payables"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","386.7","2015-11-08T00:00:00.000","November","2","2016","Payables"
"Stormwater Management Utility","Public Works","Operations-Support Services","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","311.41","2015-11-08T00:00:00.000","November","2","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","160.72","2015-11-08T00:00:00.000","November","2","2016","Payables"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","All Florida Enterprises Inc","Flood Control","Materials And Supplies","75","2015-11-08T00:00:00.000","November","2","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Copyfax Of Gainesville Inc","Flood Control","Printing And Binding","17.88","2015-11-08T00:00:00.000","November","2","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Copyfax Of Gainesville Inc","Flood Control","Printing And Binding","17.6","2015-11-08T00:00:00.000","November","2","2016","Payables"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Larry Thompson","Flood Control","Materials And Supplies","160.66","2015-11-08T00:00:00.000","November","2","2016","Payables"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","Larry Thompson","Flood Control","Materials And Supplies","160.66","2015-11-08T00:00:00.000","November","2","2016","Payables"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Larry Thompson","Flood Control","Materials And Supplies","321.32","2015-11-08T00:00:00.000","November","2","2016","Payables"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","Larry Thompson","Flood Control","Materials And Supplies","321.32","2015-11-08T00:00:00.000","November","2","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Ricoh Americas Corporation","Flood Control","Printing And Binding","35.57","2015-11-08T00:00:00.000","November","2","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Ricoh Americas Corporation","Flood Control","Printing And Binding","64.79","2015-11-08T00:00:00.000","November","2","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Ricoh Americas Corporation","Flood Control","Printing And Binding","98.4","2015-11-08T00:00:00.000","November","2","2016","Payables"
"GPD-Energy Conservation Master Lease","Non-Departmental","Debt Service","Siemens Financial Services Inc","Other General Government","Principal","7454.54","2015-11-08T00:00:00.000","November","2","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","229.6","2015-11-15T00:00:00.000","November","2","2016","Payables"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","A Materials Group Inc","Flood Control","Materials And Supplies","78","2015-11-15T00:00:00.000","November","2","2016","Payables"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","A Materials Group Inc","Flood Control","Materials And Supplies","78","2015-11-15T00:00:00.000","November","2","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","785.75","2015-11-22T00:00:00.000","November","2","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","160.72","2015-11-22T00:00:00.000","November","2","2016","Payables"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Rogers Welding & Repairs Inc","Flood Control","Materials And Supplies","39.7","2015-11-22T00:00:00.000","November","2","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","229.6","2015-11-29T00:00:00.000","November","2","2016","Payables"
"Stormwater Management Utility","Public Works","Mosquito Control","Clarke Mosquito Control Products Inc","Health","Materials And Supplies","171.82","2015-11-29T00:00:00.000","November","2","2016","Payables"
"GPD-Energy Conservation Master Lease","Non-Departmental","Debt Service","Siemens Financial Services Inc","Other General Government","Principal","7480.52","2015-11-29T00:00:00.000","November","2","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Heavenly Ham","Flood Control","Materials And Supplies","31.78","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","Usf Tampa","Flood Control","Materials And Supplies","325.79","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Praxair Dist Se # 22","Health","Materials And Supplies","51.42","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Office Depot #186","Health","Materials And Supplies","222.97","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Praxair Dist Se # 22","Health","Materials And Supplies","49.5","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Praxair Dist Se # 22","Health","Materials And Supplies","49.5","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Wm Supercenter #3877","Health","Materials And Supplies","27.52","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Stormwater Management Utility","Public Works","Vegetative Management","The Home Depot #1854","Flood Control","Materials And Supplies","2.27","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Stormwater Management Utility","Public Works","Street Sweeping Section","Harbor Freight Tools 325","Flood Control","Materials And Supplies","20.97","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Stormwater Management Utility","Public Works","Street Sweeping Section","Nor Northern Tool","Flood Control","Materials And Supplies","523.41","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Tourist Product Development - FY14","Parks, Recreation & Cultural Affairs","Tourist Prod Dev - New Programs","Mister Paper Inc.","Cultural Services","Materials And Supplies","32.84","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","B & M Equipment Rental And Sales Inc","Flood Control","Materials And Supplies","45.81","2015-12-06T00:00:00.000","December","3","2016","Payables"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","B & M Equipment Rental And Sales Inc","Flood Control","Materials And Supplies","143.7","2015-12-06T00:00:00.000","December","3","2016","Payables"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","B & M Equipment Rental And Sales Inc","Flood Control","Materials And Supplies","45.81","2015-12-06T00:00:00.000","December","3","2016","Payables"
"Stormwater Management Utility","Public Works","Operations-Support Services","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","638","2015-12-06T00:00:00.000","December","3","2016","Payables"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","515.6","2015-12-06T00:00:00.000","December","3","2016","Payables"
"Stormwater Management Utility","Public Works","Operations-Support Services","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","319.4","2015-12-06T00:00:00.000","December","3","2016","Payables"
"Stormwater Management Utility","Public Works","Operations-Support Services","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","638","2015-12-06T00:00:00.000","December","3","2016","Payables"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","515.6","2015-12-06T00:00:00.000","December","3","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","40.18","2015-12-06T00:00:00.000","December","3","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Sams Club Direct","Flood Control","Materials And Supplies","61.63","2016-08-07T00:00:00.000","August","11","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","340.2","2016-08-21T00:00:00.000","August","11","2016","Payables"
"Stormwater Management Surcharge Capital Projects Fund","Public Works","PW Work Management System","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","680.4","2016-08-21T00:00:00.000","August","11","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Copyfax Of Gainesville Inc","Flood Control","Printing And Binding","20.43","2016-08-21T00:00:00.000","August","11","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Copyfax Of Gainesville Inc","Flood Control","Printing And Binding","13.32","2016-08-21T00:00:00.000","August","11","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Environmental Consulting & Technology Inc","Flood Control","Fleet Service Cost-Variable","1335.57","2016-08-21T00:00:00.000","August","11","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","340.2","2016-08-28T00:00:00.000","August","11","2016","Payables"
"Stormwater Management Surcharge Capital Projects Fund","Public Works","PW Work Management System","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","680.4","2016-08-28T00:00:00.000","August","11","2016","Payables"
"Stormwater Management Surcharge Capital Projects Fund","Public Works","PW Work Management System","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","199","2016-08-28T00:00:00.000","August","11","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","340.2","2016-08-28T00:00:00.000","August","11","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Ricoh Americas Corporation","Flood Control","Printing And Binding","35.56","2016-08-28T00:00:00.000","August","11","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Ricoh Americas Corporation","Flood Control","Printing And Binding","64.79","2016-08-28T00:00:00.000","August","11","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Mister Paper Inc.","Flood Control","Materials And Supplies","202.57","2016-08-28T00:00:00.000","August","11","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Adco Safety Award Store","Flood Control","Materials And Supplies","29.54","2016-08-28T00:00:00.000","August","11","2016","Visa"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","Hagemeyer Na #3","Flood Control","Materials And Supplies","366","2016-08-28T00:00:00.000","August","11","2016","Visa"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","The Home Depot #1854","Flood Control","Materials And Supplies","344.56","2016-08-28T00:00:00.000","August","11","2016","Visa"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","The Home Depot #1854","Flood Control","Materials And Supplies","11.97","2016-08-28T00:00:00.000","August","11","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Ww Grainger","Flood Control","Materials And Supplies","25.07","2016-08-28T00:00:00.000","August","11","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Lewisgoetzco Inc","Flood Control","Materials And Supplies","649.27","2016-08-28T00:00:00.000","August","11","2016","Visa"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","The Home Depot #1854","Flood Control","Materials And Supplies","17.48","2016-08-28T00:00:00.000","August","11","2016","Visa"
"Stormwater Management Utility","Public Works","Vegetative Management","Ww Grainger","Flood Control","Materials And Supplies","58.02","2016-08-28T00:00:00.000","August","11","2016","Visa"
"Stormwater Management Utility","Public Works","Vegetative Management","Ww Grainger","Flood Control","Materials And Supplies","35.42","2016-08-28T00:00:00.000","August","11","2016","Visa"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","The Home Depot #1854","Flood Control","Materials And Supplies","5.21","2016-08-28T00:00:00.000","August","11","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Wal-Mart #0538","Flood Control","Materials And Supplies","22.41","2016-08-28T00:00:00.000","August","11","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Tractor Supply Co #1888","Flood Control","Materials And Supplies","129.98","2016-08-28T00:00:00.000","August","11","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","B & M Equipment Rental","Flood Control","Materials And Supplies","9.1","2016-08-28T00:00:00.000","August","11","2016","Visa"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","Thompson's Sod","Flood Control","Materials And Supplies","326.01","2016-08-28T00:00:00.000","August","11","2016","Visa"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","Napa 0240870","Flood Control","Materials And Supplies","42.97","2016-08-28T00:00:00.000","August","11","2016","Visa"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","Thompson's Sod","Flood Control","Materials And Supplies","761.39","2016-08-28T00:00:00.000","August","11","2016","Visa"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","Southeast Rigging Inc","Flood Control","Materials And Supplies","126.99","2016-08-28T00:00:00.000","August","11","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","B & M Equipment Rental","Flood Control","Materials And Supplies","6.98","2016-08-28T00:00:00.000","August","11","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Fastenal Company01","Flood Control","Materials And Supplies","2.62","2016-08-28T00:00:00.000","August","11","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Gempler's","Health","Materials And Supplies","417.7","2016-08-28T00:00:00.000","August","11","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Nexair","Health","Materials And Supplies","51.48","2016-08-28T00:00:00.000","August","11","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","M K Rittenhouse & Sons","Health","Materials And Supplies","63.56","2016-08-28T00:00:00.000","August","11","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Walgreens #12316","Health","Materials And Supplies","75.18","2016-08-28T00:00:00.000","August","11","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Nexair","Health","Materials And Supplies","57.2","2016-08-28T00:00:00.000","August","11","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Polaris Of Gainesville","Health","Materials And Supplies","71.98","2016-08-28T00:00:00.000","August","11","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Nexair","Health","Materials And Supplies","51.48","2016-08-28T00:00:00.000","August","11","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Astro Tex Company","Health","Materials And Supplies","68.36","2016-08-28T00:00:00.000","August","11","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Nexair","Health","Materials And Supplies","51.48","2016-08-28T00:00:00.000","August","11","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Battery Land","Health","Materials And Supplies","201","2016-08-28T00:00:00.000","August","11","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Alachua County Fee","Health","Materials And Supplies","14.5","2016-08-28T00:00:00.000","August","11","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Nexair","Health","Materials And Supplies","51.48","2016-08-28T00:00:00.000","August","11","2016","Visa"
"Stormwater Management Utility","Public Works","Vegetative Management","Winfield Solutions Pcity","Flood Control","Materials And Supplies","-81","2016-08-28T00:00:00.000","August","11","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Lowes #02365","Health","Materials And Supplies","45.95","2016-08-28T00:00:00.000","August","11","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Lowes #02365","Health","Materials And Supplies","9","2016-08-28T00:00:00.000","August","11","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Tractor Supply Co #1888","Health","Materials And Supplies","5.97","2016-08-28T00:00:00.000","August","11","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Site One Landscapes436","Flood Control","Materials And Supplies","1571.54","2016-08-28T00:00:00.000","August","11","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Fis, Inc. #103","Flood Control","Materials And Supplies","32.73","2016-08-28T00:00:00.000","August","11","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Harbor Freight Tools 325","Flood Control","Materials And Supplies","63.97","2016-08-28T00:00:00.000","August","11","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","The Home Depot #1854","Flood Control","Materials And Supplies","39.58","2016-08-28T00:00:00.000","August","11","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","1899-12-31T00:46:17.000","Flood Control","Materials And Supplies","2.99","2016-08-28T00:00:00.000","August","11","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","1899-12-31T00:46:17.000","Flood Control","Materials And Supplies","8.97","2016-08-28T00:00:00.000","August","11","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","The Home Depot #1854","Flood Control","Materials And Supplies","22.96","2016-08-28T00:00:00.000","August","11","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","University Ace Hdwe","Flood Control","Materials And Supplies","16.97","2016-08-28T00:00:00.000","August","11","2016","Visa"
"Stormwater Management Utility","Public Works","Environmental Management","Ricoh Americas Corporation","Flood Control","Printing And Binding","77.71","2016-09-04T00:00:00.000","September","12","2016","Payables"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","386.7","2016-09-11T00:00:00.000","September","12","2016","Payables"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","515.6","2016-09-11T00:00:00.000","September","12","2016","Payables"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","451.15","2016-09-11T00:00:00.000","September","12","2016","Payables"
