"fund","department","unit","vendor","expenditure_type","expenditure_detail","transaction_amount","transaction_date","month_name","fiscal_month_number","fiscal_year","pmt_method"
"Fleet Management Services Fund","General Services","Fleet Operations","Highland Tractor Company","Internal Services","Outside Labor","2380.99","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Fleet Management Services Fund","General Services","Fleet Operations","Lewis Oil Company Inc","Internal Services","Diesel Fuel","9783.97","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Fleet Management Services Fund","General Services","Fleet Operations","Lewis Oil Company Inc","Internal Services","Diesel Fuel","11651.38","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Fleet Management Services Fund","General Services","Fleet Operations","Lewis Oil Company Inc","Internal Services","Gasoline","13892.72","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Fleet Management Services Fund","General Services","Fleet Operations","Lewis Oil Company Inc","Internal Services","Diesel Fuel","15812.25","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Fleet Management Services Fund","General Services","Fleet Operations","Lewis Oil Company Inc","Internal Services","Gasoline","18039.17","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Fleet Replacement Fund","Police","District 2","Dana Safety Supply Inc","Law Enforcement","Vehicles","224.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Fleet Replacement Fund","Police","District 2","Autonation Dodge Of Pembroke Pines, Inc","Law Enforcement","Vehicles","22274.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Fleet Replacement Fund","Police","District 2","Autonation Dodge Of Pembroke Pines, Inc","Law Enforcement","Vehicles","22274.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"General Capital Projects Fund","General Services","Public Facilities Upgrades/Improvements","Great Lakes Carpet & Tile Inc","Other General Government","Improvements Other Than Bldg","21600.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"General Capital Projects Fund","Parks, Recreation & Cultural Affairs","Hogtown Creek Greenway North","John Rawn","Special Recreation Facilities","Improvements Other Than Bldg","93.57","2011-10-16T00:00:00.000","October","1","2012","Payables"
"General Capital Projects Fund","Parks, Recreation & Cultural Affairs","Boardwalk Replacement Project","John Rawn","Parks & Recreation","Improvements Other Than Bldg","115.44","2011-10-16T00:00:00.000","October","1","2012","Payables"
"General Capital Projects Fund","Parks, Recreation & Cultural Affairs","Hogtown Creek Greenway North","John Rawn","Special Recreation Facilities","Improvements Other Than Bldg","1777.80","2011-10-16T00:00:00.000","October","1","2012","Payables"
"General Capital Projects Fund","Parks, Recreation & Cultural Affairs","Boardwalk Replacement Project","John Rawn","Parks & Recreation","Improvements Other Than Bldg","2193.45","2011-10-16T00:00:00.000","October","1","2012","Payables"
"General Insurance Fund","City Attorney","City Attorney","City Of Gainesville","Legal Counsel","Insurance Public Officials","49.60","2011-10-16T00:00:00.000","October","1","2012","Payables"
"General Insurance Fund","City Attorney","City Attorney","West Publishing","Legal Counsel","Insurance Public Officials","133.40","2011-10-16T00:00:00.000","October","1","2012","Payables"
"General Insurance Fund","City Attorney","City Attorney","West Publishing","Legal Counsel","Insurance Public Officials","598.56","2011-10-16T00:00:00.000","October","1","2012","Payables"
"General Insurance Fund","Risk Management","Health & Wellness Services","Medical Equipment Sales Inc","Other General Government","Materials And Supplies","37.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"General Insurance Fund","Risk Management","Health & Wellness Services","Medical Equipment Sales Inc","Other General Government","Materials And Supplies","103.05","2011-10-16T00:00:00.000","October","1","2012","Payables"
"General Insurance Fund","Risk Management","Health & Wellness Services","Medical Equipment Sales Inc","Other General Government","Materials And Supplies","163.30","2011-10-16T00:00:00.000","October","1","2012","Payables"
"General Insurance Fund","Risk Management","Health & Wellness Services","Medical Equipment Sales Inc","Other General Government","Materials And Supplies","168.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"General Insurance Fund","Risk Management","Health & Wellness Services","Medical Equipment Sales Inc","Other General Government","Materials And Supplies","182.95","2011-10-16T00:00:00.000","October","1","2012","Payables"
"General Insurance Fund","Risk Management","Health & Wellness Services","Medical Equipment Sales Inc","Other General Government","Materials And Supplies","309.68","2011-10-16T00:00:00.000","October","1","2012","Payables"
"General Insurance Fund","Risk Management","Risk Management","Marsh Usa Inc","Other General Government","Insurance Premiums","693.91","2011-10-16T00:00:00.000","October","1","2012","Payables"
"General Insurance Fund","Risk Management","Health & Wellness Services","Community Behavioral Services Pa","Other General Government","Professional Services","1180.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"General Insurance Fund","Risk Management","Health & Wellness Services","Medical Equipment Sales Inc","Other General Government","Materials And Supplies","2273.62","2011-10-16T00:00:00.000","October","1","2012","Payables"
"General Insurance Fund","Risk Management","Risk Management","Marsh Usa Inc","Other General Government","Insurance Premiums","3217.28","2011-10-16T00:00:00.000","October","1","2012","Payables"
"General Insurance Fund","Risk Management","Health & Wellness Services","Doctors Laboratory Inc","Other General Government","Professional Services","8021.60","2011-10-16T00:00:00.000","October","1","2012","Payables"
"General Insurance Fund","Risk Management","Health & Wellness Services","Southeastern Integrated Medical Pa","Other General Government","Professional Services","8638.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"General Insurance Fund","Risk Management","Risk Management","Marsh Usa Inc","Other General Government","Insurance Premiums","10167.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"General Insurance Fund","Risk Management","Workers Compensation & Safety","Underwriters Safety & Claims Inc","Other General Government","Professional Services","42500.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"General Pension Fund","Non-Departmental","Trust Funds","Baker & Hostetler Llp","Other General Government","Professional Services","264.60","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Golf Course Enterprise Fund","Parks, Recreation & Cultural Affairs","Golf Course Operations","Gainesville Paper Company Inc","Parks & Recreation","Materials And Supplies","116.96","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Golf Course Enterprise Fund","Parks, Recreation & Cultural Affairs","Golf Course Operations","Whats Happening Publications Inc","Parks & Recreation","Advertising","200.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Golf Course Enterprise Fund","Parks, Recreation & Cultural Affairs","Golf Course Operations","Craig Carter Golf Cars Inc","Parks & Recreation","Parts-Motor Equipment","314.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Golf Course Enterprise Fund","Parks, Recreation & Cultural Affairs","Golf Course Operations","Craig Carter Golf Cars Inc","Parks & Recreation","Parts-Motor Equipment","709.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Golf Course Enterprise Fund","Parks, Recreation & Cultural Affairs","Golf Course Operations","Craig Carter Golf Cars Inc","Parks & Recreation","Parts-Motor Equipment","814.90","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Home Grant Fund","Neighborhood Improvement","New Construction/Infill","Gainesville Regional Utilities","Housing & Urban Development","Other Contractual Services","40.19","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Home Grant Fund","Neighborhood Improvement","New Construction/Infill","Gainesville Regional Utilities","Housing & Urban Development","Other Contractual Services","41.60","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Home Grant Fund","Neighborhood Improvement","New Construction/Infill","Gainesville Regional Utilities","Housing & Urban Development","Other Contractual Services","72.29","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Home Grant Fund","Neighborhood Improvement","New Construction/Infill","Holiday Enterprise","Housing & Urban Development","Other Contractual Services","450.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Home Grant Fund","Neighborhood Improvement","City Homeowner Rehab Program","Hoffman Construction Inc","Housing & Urban Development","Other Contractual Services","1912.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Home Grant Fund","Neighborhood Improvement","Gainesville Community Ministry","Gainesville Community Ministry Inc","Housing & Urban Development","Other Grants And Aids","2622.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Home Grant Fund","Neighborhood Improvement","City Homeowner Rehab Program","Leja Construction Inc","Housing & Urban Development","Other Contractual Services","7916.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Home Grant Fund","Neighborhood Improvement","City Homeowner Rehab Program","Gary Southard","Housing & Urban Development","Other Contractual Services","9252.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Home Grant Fund","Neighborhood Improvement","City Homeowner Rehab Program","Hoffman Construction Inc","Housing & Urban Development","Other Contractual Services","12555.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Misc. Grants Fund","Fire Rescue","Assist. to FF Grant 2009","Kronos Incorporated","Fire Control","Machinery And Equipment","14400.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Misc. Grants Fund","Fire Rescue","Assist. to FF Grant 2009","Kronos Incorporated","Fire Control","Machinery And Equipment","29745.75","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Misc. Grants Fund","Neighborhood Improvement","2011 Supportive Housing Grt - Vetspace","Vetspace Inc","Housing & Urban Development","Other Grants And Aids","9669.85","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Misc. Special Revenues","City Attorney","Consulting - Legal Services","Covert Appraisal Services Inc","Legal Counsel","Professional Services","2627.50","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Police Officers Retirement","Non-Departmental","Trust Funds","Acs Human Resources Solutions Inc","Law Enforcement","Actuarial Fees","559.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Operations","Cox Communications Inc","Transit Systems","Other Contractual Services","3.99","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Gator Aider","Sams Club Direct","Transit Systems","Materials And Supplies","11.94","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts-Administration","Sams Club Direct","Transit Systems","Materials And Supplies","11.98","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","Sams Club Direct","Transit Systems","Materials And Supplies","13.22","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","Dennis E Hyde","Transit Systems","Inventory Purchases","19.69","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","Sams Club Direct","Transit Systems","Materials And Supplies","25.66","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","Sams Club Direct","Transit Systems","Materials And Supplies","40.03","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","Sams Club Direct","Transit Systems","Materials And Supplies","46.04","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts-Administration","Beechler Waters","Transit Systems","Office Supplies","59.65","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Marketing & Communications, RTS","Beechler Waters","Transit Systems","Office Supplies","59.65","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","Sams Club Direct","Transit Systems","Materials And Supplies","61.50","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","Petroleum Aids Inc","Transit Systems","Outside Labor","65.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","W W Grainger Inc","Transit Systems","Materials And Supplies","65.40","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Operations","Ergometrics & Applied Personnel Research Inc","Transit Systems","Professional Services","66.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","Gainesville Automotive","Transit Systems","Parts-Motor Equipment","84.21","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","W W Grainger Inc","Transit Systems","Materials And Supplies","118.70","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Operations","Sams Club Direct","Transit Systems","Office Supplies","119.52","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Operations","Ergometrics & Applied Personnel Research Inc","Transit Systems","Professional Services","138.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","Dennis E Hyde","Transit Systems","Inventory Purchases","152.85","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","University Towing & Transport Inc","Transit Systems","Other Contractual Services","160.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","Gainesville Automotive","Transit Systems","Parts-Motor Equipment","191.62","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","W W Grainger Inc","Transit Systems","Materials And Supplies","289.50","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","Tri Co Communications Inc","Transit Systems","Outside Labor","393.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Operations","Target Copy Of Gainesville Inc","Transit Systems","Printing And Binding","656.37","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","W W Grainger Inc","Transit Systems","Materials And Supplies","1144.98","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","Electric Sales & Service Inc","Transit Systems","Inventory Purchases","1326.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","Electric Sales & Service Inc","Transit Systems","Inventory Purchases","1326.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Maintenance","Warjon Inc","Transit Systems","Other Contractual Services","2554.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Operations","Lewis Oil Company Inc","Transit Systems","Diesel Fuel","4489.23","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Operations","Lewis Oil Company Inc","Transit Systems","Diesel Fuel","4489.23","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Operations","Lewis Oil Company Inc","Transit Systems","Diesel Fuel","4697.73","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Operations","Lewis Oil Company Inc","Transit Systems","Diesel Fuel","4697.73","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Operations","Lewis Oil Company Inc","Transit Systems","Diesel Fuel","4789.59","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Operations","Lewis Oil Company Inc","Transit Systems","Diesel Fuel","22036.21","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Operations","Lewis Oil Company Inc","Transit Systems","Diesel Fuel","22490.81","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Operations","Lewis Oil Company Inc","Transit Systems","Diesel Fuel","22582.71","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Operations","Lewis Oil Company Inc","Transit Systems","Diesel Fuel","23064.65","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Regional Transit System Fund","Regional Transit System","Rts - Operations","Lewis Oil Company Inc","Transit Systems","Diesel Fuel","23356.78","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Retiree Health Insurance Exp Trust Fund","Risk Management","Risk Management","Thompson Sizemore & Gonzalez Pa","Other General Government","Other Contractual Services","328.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Retiree Health Insurance Exp Trust Fund","Risk Management","Risk Management","Thompson Sizemore & Gonzalez Pa","Other General Government","Other Contractual Services","492.50","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Retiree Health Insurance Exp Trust Fund","Risk Management","Risk Management","Brannock And Humphries Pa","Other General Government","Other Contractual Services","4380.25","2011-10-16T00:00:00.000","October","1","2012","Payables"
"SHIP Grant Fund","Neighborhood Improvement","SHIP FHOP","Hoffman Construction Inc","Housing & Urban Development","Other Contractual Services","5155.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"State-Law Enf. Cont. Forfeit.","Police","Legal Office Expenses","West Publishing","Law Enforcement","Professional Services","199.52","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Gainesville Regional Utilities","Flood Control","Utilities-Elect,Sewer,Water","24.80","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","Gainesville Regional Utilities","Flood Control","Utilities-Elect,Sewer,Water","26.10","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Gainesville Regional Utilities","Flood Control","Utilities-Elect,Sewer,Water","57.09","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","West Publishing","Flood Control","External Legal Services","60.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","Vulcan Materials Company","Flood Control","Materials And Supplies","111.75","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","J Smith Llc","Flood Control","External Legal Services","140.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Vulcan Materials Company","Flood Control","Materials And Supplies","184.39","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Vulcan Materials Company","Flood Control","Materials And Supplies","353.92","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Temp Force Inc","Flood Control","Other Contractual Services","409.64","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","Vulcan Materials Company","Flood Control","Materials And Supplies","415.80","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","668.80","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Florida Stormwater Association","Flood Control","Dues, Memberships, Publication","1100.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Brannock And Humphries Pa","Flood Control","External Legal Services","1662.50","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Tax Increment - 5th Ave/P.St.","Community Redevelopment Agency","Model Block Program-G","Dag Architects Inc","Industry Development","Professional Services","173.33","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Tax Increment - 5th Ave/P.St.","Community Redevelopment Agency","Model Block Program-H","Dag Architects Inc","Industry Development","Professional Services","173.33","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Tax Increment - 5th Ave/P.St.","Community Redevelopment Agency","Model Block Program-I","Dag Architects Inc","Industry Development","Professional Services","173.33","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Tax Increment - 5th Ave/P.St.","Community Redevelopment Agency","Model Block Program-I","Dag Architects Inc","Industry Development","Professional Services","329.74","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Tax Increment - 5th Ave/P.St.","Community Redevelopment Agency","Model Block Program-G","Dag Architects Inc","Industry Development","Professional Services","329.75","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Tax Increment - 5th Ave/P.St.","Community Redevelopment Agency","Model Block Program-H","Dag Architects Inc","Industry Development","Professional Services","329.75","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Tax Increment - 5th Ave/P.St.","Community Redevelopment Agency","Demolitions - FAPS","Florida Concrete Recycling Inc","Industry Development","Demolition","1540.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Tax Increment - College Pk./Uh","Community Redevelopment Agency","Cpuh Maintenance","Gainesville Regional Utilities","Industry Development","Other Contractual Services","38.04","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Tax Increment - College Pk./Uh","Community Redevelopment Agency","Cpuh Maintenance","Gainesville Regional Utilities","Industry Development","Other Contractual Services","69.35","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Tax Increment - College Pk./Uh","Community Redevelopment Agency","Depot Rail Trail","Double Eagle Graphics","Industry Development","Improvements Other Than Bldg","663.98","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Tax Increment - College Pk./Uh","Community Redevelopment Agency","Depot Rail Trail","Oelrich Construction Inc","Industry Development","Improvements Other Than Bldg","698.51","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Tax Increment - College Pk./Uh","Community Redevelopment Agency","CPUH Primary Corridors-SW 13th Street","Oelrich Construction Inc","Industry Development","Improvements Other Than Bldg","3311.09","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Tax Increment - College Pk./Uh","Community Redevelopment Agency","CPUH Primary Corridors-SW 13th Street","Oelrich Construction Inc","Industry Development","Improvements Other Than Bldg","5640.88","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Tax Increment - College Pk./Uh","Community Redevelopment Agency","Depot Rail Trail","Oelrich Construction Inc","Industry Development","Improvements Other Than Bldg","6286.61","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Tax Increment - College Pk./Uh","Community Redevelopment Agency","CPUH Primary Corridors-SW 13th Street","Oelrich Construction Inc","Industry Development","Improvements Other Than Bldg","29799.76","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Tax Increment - College Pk./Uh","Community Redevelopment Agency","CPUH Primary Corridors-SW 13th Street","Oelrich Construction Inc","Industry Development","Improvements Other Than Bldg","50767.95","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Tax Increment - Downtown","Community Redevelopment Agency","Dt Coordinated Signage","Hagstrom Development Co Llc","Industry Development","Improvements Other Than Bldg","394.52","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Tax Increment - Downtown","Community Redevelopment Agency","Power District Redevelopment","Temp Force Inc","Industry Development","Professional Services","407.42","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Tax Increment - Eastside","Community Redevelopment Agency","Hawthorne Road Cafe","Jasper Sherman","Industry Development","Buildings","60.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Tax Increment - Eastside","Community Redevelopment Agency","GTEC Area Master Plan","Temp Force Inc","Industry Development","Improvements Other Than Bldg","188.04","2011-10-16T00:00:00.000","October","1","2012","Payables"
"Tax Increment - Eastside","Community Redevelopment Agency","GTEC Area Master Plan","Temp Force Inc","Industry Development","Improvements Other Than Bldg","626.80","2011-10-16T00:00:00.000","October","1","2012","Payables"
"The General Fund","City Attorney","City Attorney","City Of Gainesville","Legal Counsel","Travel & Training","16.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"The General Fund","City Attorney","City Attorney","West Publishing","Legal Counsel","Books & Films","27.50","2011-10-16T00:00:00.000","October","1","2012","Payables"
"The General Fund","City Attorney","City Attorney Code Enforcement","Alachua County Clerk Of Circuit Court","Legal Counsel","In House Litigation Expense","80.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"The General Fund","City Attorney","City Attorney","Bureau Of National Affairs Inc","Legal Counsel","Books & Films","97.71","2011-10-16T00:00:00.000","October","1","2012","Payables"
"The General Fund","City Attorney","Municipal Court Costs","City Of Gainesville","Legal Counsel","In House Litigation Expense","120.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"The General Fund","City Attorney","City Attorney","City Of Gainesville","Legal Counsel","In House Litigation Expense","300.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"The General Fund","City Attorney","City Attorney","West Publishing","Legal Counsel","Other Contractual Services","598.57","2011-10-16T00:00:00.000","October","1","2012","Payables"
"The General Fund","City Attorney","Municipal Court Costs","State Of Florida Dept Of Justice","Legal Counsel","Other Contractual Services","1250.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"The General Fund","Equal Opportunity Department","Equal Opportunity","Pride Community Center Of North Central Florida","Executive","Advertising","70.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"The General Fund","Equal Opportunity Department","Equal Opportunity","Pride Community Center Of North Central Florida","Executive","Advertising","400.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"The General Fund","Equal Opportunity Department","Equal Opportunity","Eastside High School","Executive","Diversity Recruitment","789.97","2011-10-16T00:00:00.000","October","1","2012","Payables"
"The General Fund","Fire Rescue","Emergency Operations","Municipal Emergency Services Inc","Fire Control","Uniform Purchase Price","1.71","2011-10-16T00:00:00.000","October","1","2012","Payables"
"The General Fund","Fire Rescue","Emergency Operations","Copyfax Of Gainesville Inc","Fire Control","Rental-Equipment","6.28","2011-10-16T00:00:00.000","October","1","2012","Payables"
"The General Fund","Fire Rescue","Risk Reduction Bureau","Copyfax Of Gainesville Inc","Fire Control","Rental-Equipment","7.49","2011-10-16T00:00:00.000","October","1","2012","Payables"
"The General Fund","Fire Rescue","Emergency Operations","Alachua Fire Extinguisher Co Inc","Fire Control","Materials And Supplies","8.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"The General Fund","Fire Rescue","Emergency Operations","Alachua Fire Extinguisher Co Inc","Fire Control","Materials And Supplies","8.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"The General Fund","Fire Rescue","Emergency Operations","Ten 8 Fire Equipment Inc","Fire Control","Maintenance Office/Other Equip","12.89","2011-10-16T00:00:00.000","October","1","2012","Payables"
"The General Fund","Fire Rescue","Emergency Operations","Municipal Emergency Services Inc","Fire Control","Uniform Purchase Price","16.14","2011-10-16T00:00:00.000","October","1","2012","Payables"
"The General Fund","Fire Rescue","Emergency Operations","Hall Mark Fire Apparatus Inc","Fire Control","Materials And Supplies","17.39","2011-10-16T00:00:00.000","October","1","2012","Payables"
"The General Fund","Fire Rescue","Emergency Operations","Alachua Fire Extinguisher Co Inc","Fire Control","Maintenance Office/Other Equip","19.00","2011-10-16T00:00:00.000","October","1","2012","Payables"
"The General Fund","Fire Rescue","Emergency Operations","Sams Club Direct","Fire Control","Materials And Supplies","19.96","2011-10-16T00:00:00.000","October","1","2012","Payables"
"The General Fund","Fire Rescue","Emergency Operations","Municipal Emergency Services Inc","Fire Control","Uniform Purchase Price","22.15","2011-10-16T00:00:00.000","October","1","2012","Payables"
"The General Fund","Fire Rescue","Emergency Operations","Sams Club Direct","Fire Control","Materials And Supplies","28.96","2011-10-16T00:00:00.000","October","1","2012","Payables"
"The General Fund","Fire Rescue","Emergency Operations","Hall Mark Fire Apparatus Inc","Fire Control","Materials And Supplies","31.14","2011-10-16T00:00:00.000","October","1","2012","Payables"
"The General Fund","Fire Rescue","Office Of The Fire Chief","Copyfax Of Gainesville Inc","Fire Control","Rental-Equipment","33.34","2011-10-16T00:00:00.000","October","1","2012","Payables"
"The General Fund","Fire Rescue","Risk Reduction Bureau","Copyfax Of Gainesville Inc","Fire Control","Rental-Equipment","37.06","2011-10-16T00:00:00.000","October","1","2012","Payables"
"The General Fund","Fire Rescue","Emergency Operations","Hall Mark Fire Apparatus Inc","Fire Control","Materials And Supplies","39.85","2011-10-16T00:00:00.000","October","1","2012","Payables"
