"outcome_or_indicator","group","percentage","confidence_interval","title","description","year"
"Breast cancer","Not employed but has worked previously","3.4","3.0,  3.8","Percentage of breast cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Breast cancer","Not employed and has never worked","1.6","0.7,  3.1","Percentage of breast cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Breast cancer","Less than 100% FPL","1.5","1.0,  2.0","Percentage of breast cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Breast cancer","100% to less than 200% FPL","1.7","1.4,  2.1","Percentage of breast cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Breast cancer","200% and greater FPL","1.7","1.5,  1.9","Percentage of breast cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Breast cancer","U.S.-born","1.8","1.6,  1.9","Percentage of breast cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Breast cancer","Foreign-born","1.2","0.8,  1.5","Percentage of breast cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Breast cancer","With disability","3.3","2.6,  4.0","Percentage of breast cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Breast cancer","Without disability","1.5","1.4,  1.7","Percentage of breast cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Breast cancer","Gay/lesbian","0.9","0.3,  2.3","Percentage of breast cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Breast cancer","Straight","1.7","1.6,  1.9","Percentage of breast cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Breast cancer","Bisexual","0.8","0.2,  2.1","Percentage of breast cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Breast cancer","Little to no social vulnerability","1.7","1.4,  2.1","Percentage of breast cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Breast cancer","Low social vulnerability","1.7","1.4,  2.0","Percentage of breast cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Breast cancer","Medium social vulnerability","1.8","1.5,  2.1","Percentage of breast cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Breast cancer","High social vulnerability","1.5","1.2,  1.9","Percentage of breast cancer for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Total","1.1","0.9,  1.3","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Male","999",,"Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Female","1.1","0.9,  1.3","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","18-34 years","0.6","0.4,  0.9","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","35-49 years","1.2","0.9,  1.6","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","50-64 years","1.6","1.2,  2.2","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","65 years and over","1.1","0.8,  1.5","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","18-44 years","0.8","0.6,  1.1","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","45-64 years","1.5","1.1,  1.9","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","65-74 years","1.4","0.9,  2.1","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","75 years and over","0.7","0.4,  1.1","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","White, single race","1.3","1.1,  1.6","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Black or African American, single race","0.5","0.3,  0.9","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","American Indian or Alaska Native, single race","999",,"Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Asian, single race","0.3","0.0,  1.0","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Native Hawaiian or Other Pacific Islander, single race","999",,"Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Black or African American and White","999",,"Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","American Indian or Alaska Native and White","999",,"Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Hispanic or Latino","0.8","0.5,  1.2","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Mexican or Mexican American","0.9","0.4,  1.6","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Not Hispanic or Latino","1.2","1.0,  1.4","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Not Hispanic or Latino, White, single race","1.4","1.1,  1.6","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Not Hispanic or Latino, Black or African American, single race","0.5","0.2,  0.9","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Other, non-Hispanic","0.9","0.3,  2.0","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Angina/angina pectoris","Medicaid or other public","2.3","1.6,  3.1","Percentage of angina for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had angina (or angina pectoris).","2019"
"Cervical cancer","Less than high school diploma","1.1","0.6,  1.9","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","High school diploma or GED","1.5","1.1,  2.0","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Some college","1.5","1.1,  1.9","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","College degree or higher","0.9","0.6,  1.2","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Married","1.1","0.8,  1.4","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Widowed","1.3","0.7,  2.2","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Divorced or separated","1.8","1.3,  2.4","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Never married","0.5","0.3,  0.9","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Living with a partner","1.6","0.9,  2.6","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Large central metro","1","0.7,  1.4","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Large fringe metro","0.9","0.7,  1.3","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Medium and small metro","1.3","1.0,  1.7","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Nonmetropolitan","1.1","0.6,  1.9","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Northeast","1","0.6,  1.5","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Midwest","1.3","0.9,  1.7","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","South","1.1","0.9,  1.5","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","West","1.1","0.7,  1.5","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Large MSA","1","0.8,  1.2","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Small MSA","1.4","1.0,  1.7","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Not in MSA","1.1","0.6,  1.9","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Private","1","0.8,  1.3","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Medicaid or other public","1.3","0.8,  2.1","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Other coverage","1.3","0.6,  2.7","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Uninsured","1.3","0.8,  2.1","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Private","0.9","0.5,  1.5","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Medicare and Medicaid","2.2","0.9,  4.4","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Medicare Advantage","0.9","0.3,  2.0","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Medicare only (no Advantage)","1.4","0.6,  2.7","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Other coverage","0.7","0.0,  2.9","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Uninsured","888",,"Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Employed","1","0.8,  1.3","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Not employed","1.2","0.9,  1.6","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Full-time","1.1","0.9,  1.5","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Part-time","0.7","0.4,  1.2","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Not employed but has worked previously","1.3","1.0,  1.7","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Not employed and has never worked","0.5","0.1,  1.6","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Less than 100% FPL","1.1","0.6,  1.8","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","100% to less than 200% FPL","1.3","0.9,  1.9","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","200% and greater FPL","1.1","0.8,  1.3","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","U.S.-born","1.2","1.0,  1.4","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Foreign-born","0.7","0.3,  1.3","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","With disability","2.1","1.4,  3.1","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Without disability","1","0.8,  1.2","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Gay/lesbian","0.1","0.0,  2.2","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Straight","1.1","0.9,  1.3","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Bisexual","1","0.2,  2.8","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Little to no social vulnerability","1.1","0.7,  1.6","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Low social vulnerability","1.4","1.0,  1.9","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","Medium social vulnerability","1.1","0.8,  1.5","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Cervical cancer","High social vulnerability","0.8","0.6,  1.2","Percentage of cervical cancer for women aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Prostate cancer","Total","2.3","2.1,  2.6","Percentage of prostate cancer for men aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Prostate cancer","Male","2.3","2.1,  2.6","Percentage of prostate cancer for men aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Prostate cancer","Female","999",,"Percentage of prostate cancer for men aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Prostate cancer","18-34 years","888",,"Percentage of prostate cancer for men aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Prostate cancer","35-49 years","0.1","0.0,  0.2","Percentage of prostate cancer for men aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Prostate cancer","50-64 years","1.2","0.8,  1.5","Percentage of prostate cancer for men aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Prostate cancer","65 years and over","10.2","9.1, 11.3","Percentage of prostate cancer for men aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Prostate cancer","18-44 years","0","0.0,  0.1","Percentage of prostate cancer for men aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Prostate cancer","45-64 years","0.9","0.7,  1.2","Percentage of prostate cancer for men aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Prostate cancer","65-74 years","8","6.7,  9.4","Percentage of prostate cancer for men aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Prostate cancer","75 years and over","13.6","11.8, 15.5","Percentage of prostate cancer for men aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Prostate cancer","White, single race","2.6","2.3,  2.9","Percentage of prostate cancer for men aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Prostate cancer","Black or African American, single race","2.9","2.1,  3.9","Percentage of prostate cancer for men aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Prostate cancer","American Indian or Alaska Native, single race","999",,"Percentage of prostate cancer for men aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Prostate cancer","Asian, single race","0.8","0.3,  1.7","Percentage of prostate cancer for men aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Prostate cancer","Native Hawaiian or Other Pacific Islander, single race","888",,"Percentage of prostate cancer for men aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Prostate cancer","Black or African American and White","888",,"Percentage of prostate cancer for men aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Prostate cancer","American Indian or Alaska Native and White","999",,"Percentage of prostate cancer for men aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Prostate cancer","Hispanic or Latino","0.7","0.4,  1.2","Percentage of prostate cancer for men aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Prostate cancer","Mexican or Mexican American","0.2","0.0,  0.8","Percentage of prostate cancer for men aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
"Prostate cancer","Not Hispanic or Latino","2.6","2.3,  2.9","Percentage of prostate cancer for men aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had a cancer or malignancy of any kind. They were then asked to name the kind of cancer they had.","2019"
