State,City,Zip,Location 1
AL,Piedmont,36272,"Piedmont, AL 36272
(33.94718, -85.612684)"
PA,Philadelphia,19149,"Philadelphia, PA 19149
(40.037126, -75.066369)"
NC,Holly Springs,27540,"Holly Springs, NC 27540
(35.629412, -78.843875)"
NY,Brooklyn,11206,"Brooklyn, NY 11206
(40.702178, -73.9424)"
FL,Lake Worth,33467,"Lake Worth, FL 33467
(26.593714, -80.173599)"
FL,Ocoee,34761,"Ocoee, FL 34761
(28.575337, -81.533031)"
IN,Crawfordsville,47933,"Crawfordsville, IN 47933
(40.02823, -86.91758)"
NC,Columbus,28722,"Columbus, NC 28722
(35.244373, -82.140098)"
NC,Ernul,28527,"Ernul, NC 28527
(35.254311, -77.026308)"
CA,Orinda,94563,"Orinda, CA 94563
(37.878896, -122.181998)"
MO,Puxico,63960,"Puxico, MO 63960
(36.948729, -90.128614)"
ME,Bangor,04401,"Bangor, ME 04401
(44.831413, -68.821019)"
WA,Port Orchard,98367,"Port Orchard, WA 98367
(47.466778, -122.658901)"
AZ,Cave Creek,85331,"Cave Creek, AZ 85331
(33.800559, -111.9586)"
TN,Memphis,38187,"Memphis, TN 38187
(35.143378, -90.052136)"
MA,Falmouth,02540,"Falmouth, MA 02540
(41.569616, -70.625543)"
MN,Minneapolis,55410,"Minneapolis, MN 55410
(44.91214, -93.319603)"
MA,Mattapoisett,02739,"Mattapoisett, MA 02739
(41.661729, -70.813237)"
TX,Converse,78109,"Converse, TX 78109
(29.493075, -98.306925)"
IN,West Lafayette,47906,"West Lafayette, IN 47906
(40.473144, -86.958662)"
MO,Rolla,65401,"Rolla, MO 65401
(37.916461, -91.760047)"
CA,Compton,90220,"Compton, CA 90220
(33.88366, -118.237067)"
MN,Pine River,56474,"Pine River, MN 56474
(46.706607, -94.427428)"
IL,Chicago,60649,"Chicago, IL 60649
(41.762202, -87.571522)"
CA,Pasadena,91104,"Pasadena, CA 91104
(34.167532, -118.123296)"
OH,Cincinnati,45239,"Cincinnati, OH 45239
(39.206779, -84.579207)"
MI,Muskegon,49441,"Muskegon, MI 49441
(43.191862, -86.272098)"
OR,Dallas,97338,"Dallas, OR 97338
(44.929213, -123.334308)"
SC,Columbia,29223,"Columbia, SC 29223
(34.076751, -80.893601)"
NM,Albuquerque,87114,"Albuquerque, NM 87114
(35.195345, -106.690988)"
IA,Des Moines,50316,"Des Moines, IA 50316
(41.608094, -93.5982)"
SC,Mount Pleasant,29464,"Mount Pleasant, SC 29464
(32.816861, -79.85948)"
MD,Gaithersburg,20878,"Gaithersburg, MD 20878
(39.114215, -77.239673)"
GA,Dacula,30019,"Dacula, GA 30019
(33.993852, -83.892352)"
WI,Highland,53543,"Highland, WI 53543
(43.056261, -90.35763)"
GA,Douglasville,30135,"Douglasville, GA 30135
(33.687895, -84.739993)"
AL,Gurley,35748,"Gurley, AL 35748
(34.713984, -86.38947)"
NV,Las Vegas,89138,"Las Vegas, NV 89138
(36.168021, -115.350227)"
NC,Cary,27511,"Cary, NC 27511
(35.764148, -78.783777)"
IA,Carson,51525,"Carson, IA 51525
(41.228629, -95.410359)"
MO,Kansas City,64152,"Kansas City, MO 64152
(39.22016, -94.711625)"
TN,Clarksville,37042,"Clarksville, TN 37042
(36.581576, -87.405813)"
MD,Laurel,20707,"Laurel, MD 20707
(39.095976, -76.876305)"
NM,Albuquerque,87112,"Albuquerque, NM 87112
(35.101376, -106.519264)"
OK,Blanchard,73010,"Blanchard, OK 73010
(35.123964, -97.668339)"
MO,Washington,63090,"Washington, MO 63090
(38.53196, -91.029622)"
MO,Columbia,65203,"Columbia, MO 65203
(38.917169, -92.380274)"
MD,Bel Air,21015,"Bel Air, MD 21015
(39.534103, -76.303177)"
IA,Cedar Rapids,52404,"Cedar Rapids, IA 52404
(41.935555, -91.691484)"
MI,Rockford,49341,"Rockford, MI 49341
(43.122633, -85.509848)"
CT,South Windsor,06074,"South Windsor, CT 06074
(41.833072, -72.562876)"
CA,Pomona,91766,"Pomona, CA 91766
(34.041351, -117.756366)"
NC,Hays,28635,"Hays, NC 28635
(36.305817, -81.123314)"
ID,Sandpoint,83864,"Sandpoint, ID 83864
(48.360512, -116.489178)"
MI,Grand Blanc,48439,"Grand Blanc, MI 48439
(42.921221, -83.633645)"
NC,Pittsboro,27312,"Pittsboro, NC 27312
(35.762873, -79.184988)"
MI,Empire,49630,"Empire, MI 49630
(44.908624, -86.017493)"
PA,Philadelphia,19143,"Philadelphia, PA 19143
(39.944215, -75.227712)"
CO,Aurora,80011,"Aurora, CO 80011
(39.74187, -104.799113)"
MA,Leominster,01453,"Leominster, MA 01453
(42.525586, -71.753444)"
MA,Yarmouth Port,02675,"Yarmouth Port, MA 02675
(41.70462, -70.22569)"
IL,Chicago,60607,"Chicago, IL 60607
(41.876104, -87.652727)"
GA,Savannah,31405,"Savannah, GA 31405
(32.04199, -81.144663)"
SC,Bluffton,29910,"Bluffton, SC 29910
(32.249675, -80.891708)"
TX,Georgetown,78628,"Georgetown, TX 78628
(30.652485, -97.725109)"
MI,Detroit,48235,"Detroit, MI 48235
(42.427676, -83.195369)"
WI,Wisconsin Dells,53965,"Wisconsin Dells, WI 53965
(43.6662, -89.766763)"
MI,Charlotte,48813,"Charlotte, MI 48813
(42.577336, -84.836428)"
NY,New City,10956,"New City, NY 10956
(41.15036, -73.995074)"
MD,Glenwood,21738,"Glenwood, MD 21738
(39.278487, -77.023735)"
OH,Youngstown,44512,"Youngstown, OH 44512
(41.029452, -80.66571)"
IL,Mount Prospect,60056,"Mount Prospect, IL 60056
(42.065802, -87.934634)"
PA,Southampton,18966,"Southampton, PA 18966
(40.188372, -75.007224)"
MA,Winchester,01890,"Winchester, MA 01890
(42.45183, -71.145092)"
CO,Aurora,80015,"Aurora, CO 80015
(39.622871, -104.772908)"
IL,Aurora,60506,"Aurora, IL 60506
(41.767499, -88.35725)"
OR,Cove,97824,"Cove, OR 97824
(45.344681, -117.847382)"
VT,East Wallingford,05742,"East Wallingford, VT 05742
(43.440335, -72.882328)"
NY,Merrick,11566,"Merrick, NY 11566
(40.668671, -73.555545)"
NJ,New Brunswick,08901,"New Brunswick, NJ 08901
(40.48739, -74.444453)"
WI,Potosi,53820,"Potosi, WI 53820
(42.699448, -90.708589)"
WA,Northport,99157,"Northport, WA 99157
(48.926444, -117.799334)"
AL,Vance,35490,"Vance, AL 35490
(33.20982, -87.2376)"
OH,Youngstown,44512,"Youngstown, OH 44512
(41.029452, -80.66571)"
UT,Draper,84020,"Draper, UT 84020
(40.503754, -111.870521)"
PA,Devon,19333,"Devon, PA 19333
(40.044701, -75.423443)"
NY,Rochester,14615,"Rochester, NY 14615
(43.204816, -77.65384)"
NM,Los Lunas,87031,"Los Lunas, NM 87031
(34.782272, -106.714052)"
AZ,Paradise Valley,85253,"Paradise Valley, AZ 85253
(33.546232, -111.957857)"
AL,Bessemer,35020,"Bessemer, AL 35020
(33.405847, -86.952715)"
CA,La Canada Flintridge,91011,"La Canada Flintridge, CA 91011
(34.217407, -118.171447)"
WA,Orting,98360,"Orting, WA 98360
(47.053962, -122.16684)"
NY,Albany,12208,"Albany, NY 12208
(42.655144, -73.803265)"
FL,Gainesville,32608,"Gainesville, FL 32608
(29.599968, -82.407157)"
MD,Rockville,20850,"Rockville, MD 20850
(39.092462, -77.178614)"
TX,Cypress,77429,"Cypress, TX 77429
(29.980858, -95.655042)"
VA,Mc Lean,22102,"Mc Lean, VA 22102
(38.940745, -77.223918)"
AZ,Phoenix,85051,"Phoenix, AZ 85051
(33.558782, -112.134035)"
FL,Atlantic Beach,32233,"Atlantic Beach, FL 32233
(30.348361, -81.41331)"
CT,North Haven,06473,"North Haven, CT 06473
(41.382158, -72.858204)"
NY,Central Islip,11722,"Central Islip, NY 11722
(40.783771, -73.198651)"
TX,San Antonio,78244,"San Antonio, TX 78244
(29.478225, -98.351566)"
IN,Rochester,46975,"Rochester, IN 46975
(41.072493, -86.244818)"
NC,Fayetteville,28311,"Fayetteville, NC 28311
(35.143971, -78.891986)"
FL,Lake Worth,33467,"Lake Worth, FL 33467
(26.593714, -80.173599)"
FL,Bradenton,34209,"Bradenton, FL 34209
(27.49079, -82.631322)"
WI,Thiensville,53092,"Thiensville, WI 53092
(43.221102, -87.950178)"
MS,Hattiesburg,39401,"Hattiesburg, MS 39401
(31.257368, -89.27971)"
NY,Callicoon,12723,"Callicoon, NY 12723
(41.77339, -75.022744)"
AL,Mobile,36610,"Mobile, AL 36610
(30.735355, -88.077977)"
MA,Springfield,01119,"Springfield, MA 01119
(42.126442, -72.510742)"
MD,Hampstead,21074,"Hampstead, MD 21074
(39.615656, -76.85221)"
CA,Meadow Vista,95722,"Meadow Vista, CA 95722
(39.00233, -121.028281)"
ID,Boise,83716,"Boise, ID 83716
(43.604511, -115.861197)"
TN,Murfreesboro,37130,"Murfreesboro, TN 37130
(35.8678, -86.353701)"
CO,Littleton,80128,"Littleton, CO 80128
(39.575718, -105.080337)"
NY,East Amherst,14051,"East Amherst, NY 14051
(43.031514, -78.70261)"
MS,Vicksburg,39183,"Vicksburg, MS 39183
(32.412069, -90.814466)"
NC,Cherokee,28719,"Cherokee, NC 28719
(35.569262, -83.237371)"
WA,Lakewood,98498,"Lakewood, WA 98498
(47.162344, -122.55645)"
GA,Lawrenceville,30044,"Lawrenceville, GA 30044
(33.922467, -84.067142)"
VA,Norfolk,23513,"Norfolk, VA 23513
(36.889665, -76.238825)"
NY,Massapequa,11758,"Massapequa, NY 11758
(40.682417, -73.460296)"
IL,Moline,61265,"Moline, IL 61265
(41.486327, -90.49526)"
FL,Tampa,33624,"Tampa, FL 33624
(28.076582, -82.525688)"
PA,Jacobs Creek,15448,"Jacobs Creek, PA 15448
(40.133137, -79.741633)"
MD,Silver Spring,20901,"Silver Spring, MD 20901
(39.020211, -77.009764)"
FL,Clearwater,33756,"Clearwater, FL 33756
(27.945621, -82.788189)"
WI,Madison,53711,"Madison, WI 53711
(43.026007, -89.43939)"
AR,Nashville,71852,"Nashville, AR 71852
(34.006371, -93.864801)"
IL,Carol Stream,60188,"Carol Stream, IL 60188
(41.916511, -88.13389)"
KS,Valley Center,67147,"Valley Center, KS 67147
(37.857831, -97.316016)"
NH,Merrimack,03054,"Merrimack, NH 03054
(42.857362, -71.51436)"
GA,Fairmount,30139,"Fairmount, GA 30139
(34.434075, -84.701632)"
PA,West Chester,19380,"West Chester, PA 19380
(39.987441, -75.599334)"
FL,Jacksonville,32205,"Jacksonville, FL 32205
(30.30609, -81.723012)"
NY,Endicott,13760,"Endicott, NY 13760
(42.119277, -76.063761)"
FL,Bonita Springs,34135,"Bonita Springs, FL 34135
(26.355009, -81.763678)"
CA,Highland,92346,"Highland, CA 92346
(34.123358, -117.193375)"
NE,Papillion,68046,"Papillion, NE 68046
(41.13885, -96.05067)"
CA,Costa Mesa,92626,"Costa Mesa, CA 92626
(33.680292, -117.907909)"
IL,Saint Anne,60964,"Saint Anne, IL 60964
(41.042172, -87.737594)"
FL,Fort Lauderdale,33314,"Fort Lauderdale, FL 33314
(26.068438, -80.224105)"
TX,Mansfield,76063,"Mansfield, TX 76063
(32.578382, -97.131634)"
CA,Menlo Park,94025,"Menlo Park, CA 94025
(37.453057, -122.182022)"
NY,Port Ewen,12466,"Port Ewen, NY 12466
(41.906048, -73.981399)"
PA,Morgantown,19543,"Morgantown, PA 19543
(40.168956, -75.892401)"
PA,Downingtown,19335,"Downingtown, PA 19335
(40.022981, -75.719561)"
CA,Garden Grove,92841,"Garden Grove, CA 92841
(33.78727, -117.978971)"
IL,Olympia Fields,60461,"Olympia Fields, IL 60461
(41.5176, -87.691491)"
WA,Seattle,98117,"Seattle, WA 98117
(47.687571, -122.379354)"
IA,Grimes,50111,"Grimes, IA 50111
(41.683934, -93.789256)"
MN,Saint Paul,55118,"Saint Paul, MN 55118
(44.89895, -93.105741)"
CO,Denver,80219,"Denver, CO 80219
(39.696096, -105.034969)"
CA,Indio,92201,"Indio, CA 92201
(33.711551, -116.236141)"
FL,Tampa,33635,"Tampa, FL 33635
(28.029203, -82.609813)"
WA,Puyallup,98375,"Puyallup, WA 98375
(47.103797, -122.321062)"
WA,Auburn,98002,"Auburn, WA 98002
(47.305093, -122.216415)"
NY,Center Moriches,11934,"Center Moriches, NY 11934
(40.803541, -72.795143)"
OK,Okmulgee,74447,"Okmulgee, OK 74447
(35.651974, -95.988809)"
SC,Summerville,29485,"Summerville, SC 29485
(32.970587, -80.176647)"
NY,Le Roy,14482,"Le Roy, NY 14482
(42.982287, -77.976211)"
CA,Nevada City,95959,"Nevada City, CA 95959
(39.316417, -120.953153)"
MD,Dunkirk,20754,"Dunkirk, MD 20754
(38.739804, -76.651474)"
GA,Jackson,30233,"Jackson, GA 30233
(33.291902, -83.977249)"
OR,Eugene,97402,"Eugene, OR 97402
(44.056548, -123.191955)"
PA,Sayre,18840,"Sayre, PA 18840
(41.979023, -76.510157)"
NC,Charlotte,28206,"Charlotte, NC 28206
(35.254783, -80.824083)"
WI,La Farge,54639,"La Farge, WI 54639
(43.607392, -90.643388)"
MD,Brookeville,20833,"Brookeville, MD 20833
(39.194543, -77.056053)"
WI,Grafton,53024,"Grafton, WI 53024
(43.327163, -87.938668)"
CA,Forest Knolls,94933,"Forest Knolls, CA 94933
(38.012837, -122.688011)"
CA,San Diego,92106,"San Diego, CA 92106
(32.722892, -117.231456)"
VA,Martinsville,24112,"Martinsville, VA 24112
(36.701041, -79.863353)"
VA,South Hill,23970,"South Hill, VA 23970
(36.737951, -78.173704)"
FL,Marathon,33050,"Marathon, FL 33050
(24.741743, -81.001901)"
GA,Alpharetta,30004,"Alpharetta, GA 30004
(34.133522, -84.292664)"
OH,Youngstown,44512,"Youngstown, OH 44512
(41.029452, -80.66571)"
PA,Pipersville,18947,"Pipersville, PA 18947
(40.425103, -75.114414)"
NC,Goldsboro,27530,"Goldsboro, NC 27530
(35.384001, -78.039197)"
MI,Grand Rapids,49506,"Grand Rapids, MI 49506
(42.943891, -85.616721)"
GA,Rex,30273,"Rex, GA 30273
(33.582621, -84.27465)"
IL,Bloomington,61704,"Bloomington, IL 61704
(40.477367, -88.944615)"
ID,Boise,83716,"Boise, ID 83716
(43.604511, -115.861197)"
NY,New York,10035,"New York, NY 10035
(40.798236, -73.932194)"
CT,W Hartford,06117,"W Hartford, CT 06117
(41.789928, -72.749178)"
VA,Herndon,20170,"Herndon, VA 20170
(38.979271, -77.381169)"
WA,Everson,98247,"Everson, WA 98247
(48.904379, -122.330242)"
CA,Sacramento,95822,"Sacramento, CA 95822
(38.513021, -121.495324)"
NC,Wrightsville Beach,28480,"Wrightsville Beach, NC 28480
(34.212135, -77.798685)"
OR,Coos Bay,97420,"Coos Bay, OR 97420
(43.350712, -124.180842)"
NM,Loving,88256,"Loving, NM 88256
(32.202909, -103.975827)"
WA,Bothell,98021,"Bothell, WA 98021
(47.792368, -122.212105)"
NC,Mooresville,28115,"Mooresville, NC 28115
(35.581093, -80.787995)"
NY,Vernon,13476,"Vernon, NY 13476
(43.08415, -75.514002)"
MA,Sterling,01564,"Sterling, MA 01564
(42.440281, -71.769168)"
OR,Portland,97213,"Portland, OR 97213
(45.537521, -122.600376)"
NY,Purling,12470,"Purling, NY 12470
(42.282257, -74.024364)"
NY,Buffalo,14223,"Buffalo, NY 14223
(42.973445, -78.845988)"
NC,Laurinburg,28353,"Laurinburg, NC 28353
(34.77, -79.46)"
TX,Frisco,75034,"Frisco, TX 75034
(33.127248, -96.855555)"
IN,Edinburgh,46124,"Edinburgh, IN 46124
(39.364494, -85.941157)"
VT,Stowe,05672,"Stowe, VT 05672
(44.476364, -72.705388)"
PA,Ambler,19002,"Ambler, PA 19002
(40.178532, -75.211988)"
PA,Lancaster,17603,"Lancaster, PA 17603
(40.02461, -76.342387)"
MD,Potomac,20854,"Potomac, MD 20854
(39.038266, -77.203413)"
CT,East Hartford,06108,"East Hartford, CT 06108
(41.778311, -72.620113)"
CT,Waterbury,06708,"Waterbury, CT 06708
(41.552034, -73.063965)"
FL,Saint Petersburg,33707,"Saint Petersburg, FL 33707
(27.757258, -82.720236)"
RI,Providence,02909,"Providence, RI 02909
(41.817798, -71.449051)"
MI,South Boardman,49680,"South Boardman, MI 49680
(44.640868, -85.256721)"
MD,Olney,20832,"Olney, MD 20832
(39.152328, -77.073205)"
DC,Washington,20002,"Washington, DC 20002
(38.904734, -76.988642)"
TX,Fort Worth,76137,"Fort Worth, TX 76137
(32.863673, -97.289799)"
ME,Bangor,04401,"Bangor, ME 04401
(44.831413, -68.821019)"
LA,Monroe,71202,"Monroe, LA 71202
(32.432164, -92.076397)"
FL,Tampa,33618,"Tampa, FL 33618
(28.071373, -82.498872)"
MA,Wayland,01778,"Wayland, MA 01778
(42.352355, -71.356892)"
MA,North Adams,01247,"North Adams, MA 01247
(42.696556, -73.09857)"
NC,Sunbury,27979,"Sunbury, NC 27979
(36.428234, -76.585354)"
CA,San Diego,92128,"San Diego, CA 92128
(32.99986, -117.073175)"
GA,Stockbridge,30281,"Stockbridge, GA 30281
(33.554092, -84.211189)"
CT,South Glastonbury,06073,"South Glastonbury, CT 06073
(41.65971, -72.570587)"
VA,Salem,24153,"Salem, VA 24153
(37.293169, -80.088868)"
PA,Mechanicsburg,17050,"Mechanicsburg, PA 17050
(40.248393, -77.011481)"
KY,Louisville,40205,"Louisville, KY 40205
(38.223485, -85.682857)"
PA,Philadelphia,19139,"Philadelphia, PA 19139
(39.961704, -75.22974)"
OH,Youngstown,44512,"Youngstown, OH 44512
(41.029452, -80.66571)"
NY,Cohocton,14826,"Cohocton, NY 14826
(42.490952, -77.496964)"
NJ,New Brunswick,08901,"New Brunswick, NJ 08901
(40.48739, -74.444453)"
NE,Omaha,68138,"Omaha, NE 68138
(41.169986, -96.13544)"
NY,Port Crane,13833,"Port Crane, NY 13833
(42.190693, -75.776648)"
TX,Orange,77630,"Orange, TX 77630
(30.086238, -93.810175)"
MD,Frederick,21702,"Frederick, MD 21702
(39.461767, -77.448244)"
WI,Milwaukee,53216,"Milwaukee, WI 53216
(43.086727, -87.976064)"
NC,Fayetteville,28301,"Fayetteville, NC 28301
(35.070995, -78.885023)"
SC,Simpsonville,29681,"Simpsonville, SC 29681
(34.772136, -82.234393)"
NC,Smithfield,27577,"Smithfield, NC 27577
(35.505294, -78.349483)"
MO,Saint Louis,63119,"Saint Louis, MO 63119
(38.588208, -90.351101)"
MA,New Bedford,02740,"New Bedford, MA 02740
(41.636061, -70.938743)"
SC,Timmonsville,29161,"Timmonsville, SC 29161
(34.112514, -79.938002)"
CA,Lompoc,93436,"Lompoc, CA 93436
(34.624957, -120.42032)"
NJ,Secaucus,07094,"Secaucus, NJ 07094
(40.784818, -74.062792)"
CA,Antelope,95843,"Antelope, CA 95843
(38.715607, -121.364445)"
WI,Sauk City,53583,"Sauk City, WI 53583
(43.260283, -89.770542)"
VA,Fredericksburg,22405,"Fredericksburg, VA 22405
(38.31737, -77.421352)"
IL,Flossmoor,60422,"Flossmoor, IL 60422
(41.538878, -87.684751)"
OH,Cincinnati,45238,"Cincinnati, OH 45238
(39.111266, -84.610187)"
RI,Pascoag,02859,"Pascoag, RI 02859
(41.967779, -71.730678)"
NJ,Flemington,08822,"Flemington, NJ 08822
(40.518926, -74.856353)"
HI,Honolulu,96825,"Honolulu, HI 96825
(21.291605, -157.693128)"
NJ,Jackson,08527,"Jackson, NJ 08527
(40.119851, -74.328492)"
CA,Garden Grove,92840,"Garden Grove, CA 92840
(33.786208, -117.93292)"
FL,Panama City,32404,"Panama City, FL 32404
(30.191885, -85.526994)"
TX,The Colony,75056,"The Colony, TX 75056
(33.073224, -96.892814)"
CT,Branford,06405,"Branford, CT 06405
(41.281929, -72.804025)"
ME,Waldoboro,04572,"Waldoboro, ME 04572
(44.108855, -69.370265)"
MI,Martin,49070,"Martin, MI 49070
(42.539591, -85.631423)"
CA,Agoura Hills,91301,"Agoura Hills, CA 91301
(34.132842, -118.760077)"
FL,Melbourne,32940,"Melbourne, FL 32940
(28.227977, -80.7031)"
OH,Euclid,44123,"Euclid, OH 44123
(41.601861, -81.525366)"
NY,Stony Brook,11790,"Stony Brook, NY 11790
(40.903493, -73.125725)"
AZ,Phoenix,85008,"Phoenix, AZ 85008
(33.465313, -111.994608)"
PA,Perkasie,18944,"Perkasie, PA 18944
(40.38383, -75.2424)"
WA,Toledo,98591,"Toledo, WA 98591
(46.444012, -122.800917)"
ME,Columbia Falls,04623,"Columbia Falls, ME 04623
(44.680589, -67.756606)"
WA,Tacoma,98418,"Tacoma, WA 98418
(47.223022, -122.447436)"
GA,Kennesaw,30144,"Kennesaw, GA 30144
(34.038975, -84.590699)"
IA,Ankeny,50021,"Ankeny, IA 50021
(41.728114, -93.577855)"
NY,New York,10023,"New York, NY 10023
(40.774705, -73.980101)"
NV,Reno,89523,"Reno, NV 89523
(39.529494, -119.904167)"
WV,Charleston,25312,"Charleston, WV 25312
(38.453964, -81.653701)"
TX,Fort Worth,76179,"Fort Worth, TX 76179
(32.8862, -97.414151)"
AL,Mobile,36610,"Mobile, AL 36610
(30.735355, -88.077977)"
TX,Lancaster,75134,"Lancaster, TX 75134
(32.621616, -96.785453)"
KS,Shawnee Mission,66202,"Shawnee Mission, KS 66202
(39.0232, -94.667124)"
CA,Chico,95926,"Chico, CA 95926
(39.74539, -121.845089)"
TX,Dripping Springs,78620,"Dripping Springs, TX 78620
(30.223679, -98.119536)"
CT,East Hampton,06424,"East Hampton, CT 06424
(41.563306, -72.506557)"
WI,Manitowoc,54220,"Manitowoc, WI 54220
(44.09877, -87.709705)"
MO,Dexter,63841,"Dexter, MO 63841
(36.780439, -89.974364)"
IL,Chicago,60630,"Chicago, IL 60630
(41.971261, -87.759611)"
UT,West Jordan,84084,"West Jordan, UT 84084
(40.621652, -111.961537)"
NJ,Hazlet,07730,"Hazlet, NJ 07730
(40.424165, -74.179095)"
FL,Tampa,33611,"Tampa, FL 33611
(27.891079, -82.505517)"
NH,Wolfeboro,03894,"Wolfeboro, NH 03894
(43.603004, -71.183336)"
IL,Chicago,60643,"Chicago, IL 60643
(41.700445, -87.662381)"
CT,Thomaston,06787,"Thomaston, CT 06787
(41.670686, -73.084926)"
PA,Le Raysville,18829,"Le Raysville, PA 18829
(41.845212, -76.176649)"
TX,Houston,77017,"Houston, TX 77017
(29.686359, -95.255671)"
CT,Simsbury,06070,"Simsbury, CT 06070
(41.876814, -72.819582)"
MD,Bethesda,20817,"Bethesda, MD 20817
(38.998099, -77.143306)"
CA,Perris,92570,"Perris, CA 92570
(33.791884, -117.3011)"
TN,Cornersville,37047,"Cornersville, TN 37047
(35.324875, -86.844102)"
CA,Garden Grove,92840,"Garden Grove, CA 92840
(33.786208, -117.93292)"
NY,Brooklyn,11226,"Brooklyn, NY 11226
(40.646154, -73.956721)"
NC,Wilmington,28403,"Wilmington, NC 28403
(34.221905, -77.88106)"
PA,Slatington,18080,"Slatington, PA 18080
(40.73296, -75.625169)"
NY,Canton,13617,"Canton, NY 13617
(44.58107, -75.1409)"
IL,Morris,60450,"Morris, IL 60450
(41.371257, -88.434506)"
NV,Henderson,89014,"Henderson, NV 89014
(36.060617, -115.059879)"
VA,Fairfax,22030,"Fairfax, VA 22030
(38.844553, -77.337993)"
NJ,Plainfield,07060,"Plainfield, NJ 07060
(40.616787, -74.422268)"
WI,Ontario,54651,"Ontario, WI 54651
(43.723002, -90.574145)"
WA,Seattle,98103,"Seattle, WA 98103
(47.672491, -122.343577)"
AL,Roanoke,36274,"Roanoke, AL 36274
(33.17738, -85.365661)"
VT,Milton,05468,"Milton, VT 05468
(44.651584, -73.143897)"
ID,Winchester,83555,"Winchester, ID 83555
(46.207937, -116.633796)"
NJ,Voorhees,08043,"Voorhees, NJ 08043
(39.845368, -74.9571)"
FL,Gainesville,32608,"Gainesville, FL 32608
(29.599968, -82.407157)"
CA,Salinas,93907,"Salinas, CA 93907
(36.771091, -121.664391)"
CO,Denver,80249,"Denver, CO 80249
(39.817918, -104.724585)"
NY,Buffalo,14224,"Buffalo, NY 14224
(42.836052, -78.749996)"
NC,Black Mountain,28711,"Black Mountain, NC 28711
(35.591022, -82.300511)"
WA,Gig Harbor,98335,"Gig Harbor, WA 98335
(47.300296, -122.612932)"
AZ,Phoenix,85048,"Phoenix, AZ 85048
(33.306535, -112.032816)"
PA,Old Forge,18518,"Old Forge, PA 18518
(41.369866, -75.73965)"
PA,Sewickley,15143,"Sewickley, PA 15143
(40.567663, -80.146615)"
UT,Salt Lake City,84107,"Salt Lake City, UT 84107
(40.657894, -111.883531)"
NY,Bayside,11361,"Bayside, NY 11361
(40.76347, -73.7738)"
FL,Tallahassee,32304,"Tallahassee, FL 32304
(30.449001, -84.335217)"
CA,Elk Grove,95758,"Elk Grove, CA 95758
(38.424655, -121.438065)"
PA,Quakertown,18951,"Quakertown, PA 18951
(40.447495, -75.348961)"
SC,Florence,29505,"Florence, SC 29505
(34.135826, -79.728682)"
NY,Hollis,11423,"Hollis, NY 11423
(40.716566, -73.76856)"
OR,Portland,97219,"Portland, OR 97219
(45.456622, -122.705771)"
ID,Fruitland,83619,"Fruitland, ID 83619
(43.98436, -116.910472)"
TX,Aubrey,76227,"Aubrey, TX 76227
(33.265377, -96.983739)"
NY,Bergen,14416,"Bergen, NY 14416
(43.071797, -77.984041)"
FL,Miami,33147,"Miami, FL 33147
(25.85085, -80.23763)"
CA,Garden Grove,92845,"Garden Grove, CA 92845
(33.78303, -118.026739)"
CA,Palmdale,93550,"Palmdale, CA 93550
(34.539869, -118.091953)"
CT,Bristol,06010,"Bristol, CT 06010
(41.682254, -72.933289)"
MI,Harrison Township,48045,"Harrison Township, MI 48045
(42.586408, -82.833556)"
WA,Everett,98203,"Everett, WA 98203
(47.943014, -122.227707)"
MD,Potomac,20854,"Potomac, MD 20854
(39.038266, -77.203413)"
PA,Malvern,19355,"Malvern, PA 19355
(40.048146, -75.533811)"
TX,Katy,77449,"Katy, TX 77449
(29.832639, -95.72936)"
LA,New Orleans,70130,"New Orleans, LA 70130
(29.937113, -90.071558)"
OH,Cincinnati,45215,"Cincinnati, OH 45215
(39.232931, -84.460094)"
MT,Billings,59105,"Billings, MT 59105
(45.84366, -108.472695)"
CT,Colchester,06415,"Colchester, CT 06415
(41.558411, -72.343462)"
GA,Albany,31707,"Albany, GA 31707
(31.59163, -84.197477)"
CA,Santa Rosa,95404,"Santa Rosa, CA 95404
(38.458384, -122.675588)"
NY,New York,10002,"New York, NY 10002
(40.715712, -73.987053)"
NH,Greenville,03048,"Greenville, NH 03048
(42.749392, -71.770689)"
CA,Costa Mesa,92627,"Costa Mesa, CA 92627
(33.646667, -117.917058)"
CA,El Cajon,92019,"El Cajon, CA 92019
(32.779792, -116.901491)"
FL,Bartow,33830,"Bartow, FL 33830
(27.887524, -81.809659)"
NY,Seneca Falls,13148,"Seneca Falls, NY 13148
(42.913822, -76.783976)"
GA,Savannah,31401,"Savannah, GA 31401
(32.067437, -81.092901)"
NC,Greensboro,27405,"Greensboro, NC 27405
(36.111968, -79.745494)"
CA,Cerritos,90703,"Cerritos, CA 90703
(33.867623, -118.068782)"
MD,Laurel,20708,"Laurel, MD 20708
(39.053112, -76.838248)"
MD,Oxon Hill,20745,"Oxon Hill, MD 20745
(38.804118, -76.995481)"
PA,Philadelphia,19144,"Philadelphia, PA 19144
(40.033294, -75.173807)"
NY,Hector,14841,"Hector, NY 14841
(42.521222, -76.852936)"
ME,Damariscotta,04543,"Damariscotta, ME 04543
(44.035128, -69.495723)"
VA,Chesterfield,23832,"Chesterfield, VA 23832
(37.404209, -77.589336)"
MI,Muskegon,49441,"Muskegon, MI 49441
(43.191862, -86.272098)"
