"fiscal_year","budget_unit","budget_unit_title","account_code","description","_1st_rev_subacct_title","_2nd_rev_subacct_title","approved_amount","revenues_to_date","balance_remaining"
"19","272000","BAY CITY WATER","38101","INTEREST INCOME-PROGRAM","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","172.04","-172.04"
"19","105010","LIQUOR BOARD","39090","OTHER MISC-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","1800","900","900"
"19","142018","LAND MGMT-FARM LEASES","39215","GENERAL RENTS","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","30042.9","-30042.9"
"19","411000","PUBLIC SAFETY","32890","OTHER FED CAP GRANTS","T-INTERGOVERNMENTAL REV","T-FED CAP GRANTS REV","0","17750","-17750"
"18","200000","SANITARY ADMINISTRATION","39354","WORKMEN'S COMPENSATION","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","0","0"
"18","200000","SANITARY ADMINISTRATION","39356","MATERIALS SALES","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","365.33","-365.33"
"19","657090","SECT 5311-CAPITAL GRANTS","32710","FED DOT/FTA CAP GRANTS","T-INTERGOVERNMENTAL REV","T-FED CAP GRANTS REV","25480","9774.39","15705.61"
"19","228000","BNR/ENR SWR RESTRICTED","35710","PWA/BEN ASSMT INSTALLMTS","T-CHARGES FOR SERVICES","T-SWR,WTR,SOLID WASTE SRV","0","172486.35","-172486.35"
"19","142000","PARK MAINTENANCE","39090","OTHER MISC-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","1249.3","-1249.3"
"18","200200","KNSG WW TREATMENT","38760","PROCEEDS/INSURANCE CLAIMS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","0","0"
"19","110000","SHERIFF'S OFFICE","39390","OTHER MISC-NON-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","175","-175"
"18","200200","KNSG WW TREATMENT","39090","OTHER MISC-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"19","880010","OPEB TRUST-QAC BOE","38101","INTEREST INCOME-PROGRAM","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","2206.04","-2206.04"
"19","320010","BAY BRIDGE AIRPORT OPERAT","36583","TRANSIENT TIE DOWNS","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","1500","550","950"
"18","200300","KNSG WW SHOP","38710","PROCEEDS/SALE CAP ASSETS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","0","0"
"18","200900","KNSG WW CAPITAL CONSTRCTN","32715","FED EPA CAP GRANT","T-INTERGOVERNMENTAL REV","T-FED CAP GRANTS REV","0","0","0"
"18","200900","KNSG WW CAPITAL CONSTRCTN","33205","ST COMMUNITY DEV OP GRANT","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"18","200900","KNSG WW CAPITAL CONSTRCTN","33590","OTHER STATE OP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"18","200900","KNSG WW CAPITAL CONSTRCTN","33705","STATE CAP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE CAP GRANTS REV","0","0","0"
"18","200900","KNSG WW CAPITAL CONSTRCTN","33790","OTHER STATE CAP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE CAP GRANTS REV","0","0","0"
"18","200900","KNSG WW CAPITAL CONSTRCTN","34505","CONTR CAP-DEVELOPR EXACTN","T-INTERGOVERNMENTAL REV","T-DONATED CAP CONTR REV","0","0","0"
"18","200900","KNSG WW CAPITAL CONSTRCTN","35735","INSPECTION FEES","T-CHARGES FOR SERVICES","T-SWR,WTR,SOLID WASTE SRV","0","0","0"
"18","200900","KNSG WW CAPITAL CONSTRCTN","36340","P & REC LATE FEES","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","0","0","0"
"18","200900","KNSG WW CAPITAL CONSTRCTN","38101","INTEREST INCOME-PROGRAM","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","0","0"
"18","200900","KNSG WW CAPITAL CONSTRCTN","39090","OTHER MISC-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"18","200900","KNSG WW CAPITAL CONSTRCTN","39700","T-PROCEEDS/LONG TERM DEBT",,,"0","0","0"
"18","200900","KNSG WW CAPITAL CONSTRCTN","39701","PROCEEDS OF LOANS","T-PROCEEDS/LONG TERM DEBT",,"0","0","0"
"18","200900","KNSG WW CAPITAL CONSTRCTN","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"0","0","0"
"18","201000","KNSG WW NON-OPERATING","38710","PROCEEDS/SALE CAP ASSETS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","0","0"
"19","225000","RESTRICTED FUND-SEWER","38105","INTEREST-PENALTIES","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","445.01","-445.01"
"18","202900","SO.KI WW CAP PROJ/CONSTR","33705","STATE CAP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE CAP GRANTS REV","0","0","0"
"18","202900","SO.KI WW CAP PROJ/CONSTR","34505","CONTR CAP-DEVELOPR EXACTN","T-INTERGOVERNMENTAL REV","T-DONATED CAP CONTR REV","0","0","0"
"19","155055","TOURISM","39090","OTHER MISC-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","1762","-1762"
"18","202900","SO.KI WW CAP PROJ/CONSTR","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"0","0","0"
"19","800000","AG TRANSFER TX EASEMTS","30504","AGRCLTR TRANSFR TX-SHARED","T-TAXES-STATE SHARED REV",,"250000","36585.8","213414.2"
"18","204000","SKI WW ADMINISTRATION","35702","SANITATION/WASTE-USER FEE","T-CHARGES FOR SERVICES","T-SWR,WTR,SOLID WASTE SRV","0","0","0"
"18","204000","SKI WW ADMINISTRATION","35735","INSPECTION FEES","T-CHARGES FOR SERVICES","T-SWR,WTR,SOLID WASTE SRV","0","0","0"
"18","204000","SKI WW ADMINISTRATION","38101","INTEREST INCOME-PROGRAM","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","0","0"
"18","204000","SKI WW ADMINISTRATION","38105","INTEREST-PENALTIES","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","0","0"
"18","204000","SKI WW ADMINISTRATION","39090","OTHER MISC-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"18","210010","KNSG WTR ADMINISTRATION","32215","FED EMERG MGMT/FEMA","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"19","228000","BNR/ENR SWR RESTRICTED","38101","INTEREST INCOME-PROGRAM","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","1327.89","-1327.89"
"19","645010","SR CARE-CASE MANAGER","33145","ST ELDERLY OP GRANT","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","80000","10993","69007"
"19","111000","DETENTION CENTER","33590","OTHER STATE OP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","16500","22320","-5820"
"18","210010","KNSG WTR ADMINISTRATION","38710","PROCEEDS/SALE CAP ASSETS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","0","0"
"18","210010","KNSG WTR ADMINISTRATION","38725","PROCEEDS/SALE EASEMENTS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","0","0"
"18","210010","KNSG WTR ADMINISTRATION","39090","OTHER MISC-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"18","210100","KNSG WTR DISTRIBUTION","38760","PROCEEDS/INSURANCE CLAIMS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","0","0"
"19","320010","BAY BRIDGE AIRPORT OPERAT","39361","TRUCK TO PLANE 100 LL","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","16000","8572.98","7427.02"
"18","211210","KNSG WTR NON OPERATING","38851","GAIN/LOSS-DISPOSAL C.ASST","T-MISCELLANEOUS REV","T-GAIN/LOSS-DISPSL/C.ASST","0","0","0"
"18","212900","SO.KI WTR CAP PROJ/CONSTR","34505","CONTR CAP-DEVELOPR EXACTN","T-INTERGOVERNMENTAL REV","T-DONATED CAP CONTR REV","0","0","0"
"19","440100","UNITED COMMUNITIES- RES","35104","IMPACT FEE SERV CHG","T-CHARGES FOR SERVICES","T-GEN GOV-SERV CHGS","3000","2464.32","535.68"
"19","228000","BNR/ENR SWR RESTRICTED","38103","INTEREST-BENEFIT ASSMTS","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","22218.98","-22218.98"
"19","621030","FAMILY CAREGIVER-ASSISTNC","32140","FED DEPT OF AGING OP GR","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","3812","0","3812"
"18","225000","RESTRICTED FUND-SEWER","39900","T-OTHER NON-OPERATING REV",,,"0","0","0"
"19","320010","BAY BRIDGE AIRPORT OPERAT","36577","PAVED TIE DOWN RENT","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","30553","12777.25","17775.75"
"19","278000","SKI ASSESSMENTS","38101","INTEREST INCOME-PROGRAM","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","20.44","-20.44"
"19","475000","IMPACT FEES 2007-P&REC","39939","FY19 PRIOR YEAR FUND BAL","T-OTHER NON-OPERATING REV",,"1253003","0","1253003"
"19","200000","SANITARY ADMINISTRATION","38101","INTEREST INCOME-PROGRAM","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","15000","12613.12","2386.88"
"19","110530","DESEMS - MEDICAL SERV","33137","MOBILE INTEGRATED HEALTH","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","24000","9692.06","14307.94"
"19","850010","OPEB TRUST-QA COUNTY","38101","INTEREST INCOME-PROGRAM","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","1317.77","-1317.77"
"19","678010","DOA SPECIAL REVENUE","39020","CONTR/DONATIONS-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","20000","14995.74","5004.26"
"18","262000","CLOVERFIELDS WATER","35710","PWA/BEN ASSMT INSTALLMTS","T-CHARGES FOR SERVICES","T-SWR,WTR,SOLID WASTE SRV","0","0","0"
"18","262000","CLOVERFIELDS WATER","38103","INTEREST-BENEFIT ASSMTS","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","0","0"
"18","262000","CLOVERFIELDS WATER","38105","INTEREST-PENALTIES","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","0","0"
"18","264000","CLOVERFIELDS SEWER","35710","PWA/BEN ASSMT INSTALLMTS","T-CHARGES FOR SERVICES","T-SWR,WTR,SOLID WASTE SRV","0","0","0"
"18","264000","CLOVERFIELDS SEWER","38103","INTEREST-BENEFIT ASSMTS","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","0","0"
"18","264000","CLOVERFIELDS SEWER","38105","INTEREST-PENALTIES","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","0","0"
"18","266000","CFIELDS SEWER HOOKUPS","38103","INTEREST-BENEFIT ASSMTS","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","0","0"
"18","266000","CFIELDS SEWER HOOKUPS","38105","INTEREST-PENALTIES","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","0","0"
"19","300000","BLUE HERON GOLF COURSE OP","36497","FOOD SALES-TAXABLE","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","25000","16039.57","8960.43"
"18","272000","BAY CITY WATER","35710","PWA/BEN ASSMT INSTALLMTS","T-CHARGES FOR SERVICES","T-SWR,WTR,SOLID WASTE SRV","0","0","0"
"19","330100","KENT NARROWS MARINA","37340","LATE FEES","T-CHARGES FOR SERVICES","T-HOUSING & PHA-SERV CHGS","0","300","-300"
"18","272000","BAY CITY WATER","38103","INTEREST-BENEFIT ASSMTS","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","0","0"
"18","272000","BAY CITY WATER","38105","INTEREST-PENALTIES","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","0","0"
"18","274000","BAY CITY SEWER","35710","PWA/BEN ASSMT INSTALLMTS","T-CHARGES FOR SERVICES","T-SWR,WTR,SOLID WASTE SRV","0","0","0"
"18","274000","BAY CITY SEWER","38103","INTEREST-BENEFIT ASSMTS","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","0","0"
"18","274000","BAY CITY SEWER","38105","INTEREST-PENALTIES","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","0","0"
"18","276000","BAY CITY HOOKUPS (W & WW)","38103","INTEREST-BENEFIT ASSMTS","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","0","0"
"18","276000","BAY CITY HOOKUPS (W & WW)","38105","INTEREST-PENALTIES","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","0.31","-0.31"
"18","300000","BLUE HERON GOLF COURSE OP","33180","ST RECREATION OP GRANT","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"19","621040","FAMILY CAREGIVER-RESPITE","32140","FED DEPT OF AGING OP GR","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","1674","0","1674"
"19","320010","BAY BRIDGE AIRPORT OPERAT","39215","GENERAL RENTS","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","14000","4220","9780"
"18","300000","BLUE HERON GOLF COURSE OP","38215","PROCEEDS/BOND PREMIUM","T-MISCELLANEOUS REV","T-INVESTMT INCOME-GEN RV","0","0","0"
"18","300000","BLUE HERON GOLF COURSE OP","38710","PROCEEDS/SALE CAP ASSETS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","0","0"
"19","155310","ECONOMIC DEVELOPMENT","39090","OTHER MISC-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","3603.35","-3603.35"
"19","142000","PARK MAINTENANCE","36356","RENTAL CHGS","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","10000","2820","7180"
"18","300000","BLUE HERON GOLF COURSE OP","39354","WORKMEN'S COMPENSATION","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","0","0"
"19","300000","BLUE HERON GOLF COURSE OP","36494","MERCHANDISE SALE-TAXABLE","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","15000","11369.96","3630.04"
"18","300000","BLUE HERON GOLF COURSE OP","39716","PROCEEDS OF 2016 BONDS","T-PROCEEDS/LONG TERM DEBT",,"0","0","0"
"19","320010","BAY BRIDGE AIRPORT OPERAT","36578","GRASS TIE DOWN RENT","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","5902","1165","4737"
"18","300090","B.HERON GOLF PROJ/CONSTR","33720","ST POS ENCUMB CAP-LOCAL","T-INTERGOVERNMENTAL REV","T-STATE CAP GRANTS REV","0","0","0"
"18","300090","B.HERON GOLF PROJ/CONSTR","33725","ST POS ENCUMB CAP-STATE","T-INTERGOVERNMENTAL REV","T-STATE CAP GRANTS REV","0","0","0"
"18","300090","B.HERON GOLF PROJ/CONSTR","39020","CONTR/DONATIONS-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"19","101520","STATE'S ATTORNEY","39090","OTHER MISC-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","120","-120"
"18","301010","B.HERON GOLF-NON OPERATNG","38215","PROCEEDS/BOND PREMIUM","T-MISCELLANEOUS REV","T-INVESTMT INCOME-GEN RV","0","0","0"
"18","301010","B.HERON GOLF-NON OPERATNG","38710","PROCEEDS/SALE CAP ASSETS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","0","0"
"18","301010","B.HERON GOLF-NON OPERATNG","38851","GAIN/LOSS-DISPOSAL C.ASST","T-MISCELLANEOUS REV","T-GAIN/LOSS-DISPSL/C.ASST","0","0","0"
"19","110042","REIMBURSABL SPECIAL EVENT","39090","OTHER MISC-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","15929.01","-15929.01"
"18","320010","BAY BRIDGE AIRPORT OPERAT","32215","FED EMERG MGMT/FEMA","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"19","655050","ACCESS TO JOBS-DRIVER","32135","FED DOT/FTA OP GRANTS","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","24187","7267","16920"
"19","621010","FAMILY CAREGIVER-ADMIN","32140","FED DEPT OF AGING OP GR","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","1896","0","1896"
"18","320010","BAY BRIDGE AIRPORT OPERAT","36580","AIRCRAFT OIL REV","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","0","0","0"
"19","320010","BAY BRIDGE AIRPORT OPERAT","39016","T-HANGAR RENT","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","190000","152389.71","37610.29"
"18","320010","BAY BRIDGE AIRPORT OPERAT","38215","PROCEEDS/BOND PREMIUM","T-MISCELLANEOUS REV","T-INVESTMT INCOME-GEN RV","0","0","0"
"18","320010","BAY BRIDGE AIRPORT OPERAT","38710","PROCEEDS/SALE CAP ASSETS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","0","0"
"19","654050","SECT 5311-DRIVR-EASTON","33135","STATE DOT OP GRANT","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","57063","23229","33834"
"18","320010","BAY BRIDGE AIRPORT OPERAT","39053","ADVERTISING REIMB","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"19","645040","SR CARE-CHORE SERVICES","33145","ST ELDERLY OP GRANT","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","35000","1789","33211"
"19","210010","KNSG WTR ADMINISTRATION","38101","INTEREST INCOME-PROGRAM","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","30000","26947.45","3052.55"
"19","682042","CHESAPEAKE HELPS","34190","OTHER OP GRANTS-PROG","T-INTERGOVERNMENTAL REV","T-OTHER OP GRANT REV","0","500","-500"
"18","320010","BAY BRIDGE AIRPORT OPERAT","39360","JET A FUEL SALES","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","0","0"
"18","320010","BAY BRIDGE AIRPORT OPERAT","39390","OTHER MISC-NON-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","0.16","-0.16"
"18","320010","BAY BRIDGE AIRPORT OPERAT","39716","PROCEEDS OF 2016 BONDS","T-PROCEEDS/LONG TERM DEBT",,"0","0","0"
"19","718000","CO-FUNDED CWF REVLV LOANS","38210","INTEREST INCOM-UNRESTRICT","T-MISCELLANEOUS REV","T-INVESTMT INCOME-GEN RV","0","249.86","-249.86"
"19","550010","CRITICAL AREA/FOREST CONS","35224","FOREST CONSERV/REFORESTAT","T-CHARGES FOR SERVICES","T-ZONING & SUBDIVISN CHGS","0","2391.44","-2391.44"
"18","320090","AIRPORT CAP PROJ/CONSTR","33705","STATE CAP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE CAP GRANTS REV","0","164.53","-164.53"
"18","320090","AIRPORT CAP PROJ/CONSTR","33730","ST AIRPORT CAP GRANT","T-INTERGOVERNMENTAL REV","T-STATE CAP GRANTS REV","0","0","0"
"18","320090","AIRPORT CAP PROJ/CONSTR","33790","OTHER STATE CAP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE CAP GRANTS REV","0","0","0"
"18","320090","AIRPORT CAP PROJ/CONSTR","38735","PROCEEDS//SALE INTANGIBLE","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","0","0"
"18","320090","AIRPORT CAP PROJ/CONSTR","39054","PUBLICATNS/BID DOCS REIMB","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"18","320090","AIRPORT CAP PROJ/CONSTR","39701","PROCEEDS OF LOANS","T-PROCEEDS/LONG TERM DEBT",,"0","0","0"
"18","321010","BAY BRIDGE AIRPORT NON OP","38215","PROCEEDS/BOND PREMIUM","T-MISCELLANEOUS REV","T-INVESTMT INCOME-GEN RV","0","0","0"
"18","321010","BAY BRIDGE AIRPORT NON OP","38710","PROCEEDS/SALE CAP ASSETS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","0","0"
"18","321010","BAY BRIDGE AIRPORT NON OP","38851","GAIN/LOSS-DISPOSAL C.ASST","T-MISCELLANEOUS REV","T-GAIN/LOSS-DISPSL/C.ASST","0","0","0"
"18","321010","BAY BRIDGE AIRPORT NON OP","39701","PROCEEDS OF LOANS","T-PROCEEDS/LONG TERM DEBT",,"0","0","0"
"18","330010","PUBLIC LANDINGS OPERATING","32215","FED EMERG MGMT/FEMA","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"19","330010","PUBLIC LANDINGS OPERATING","36366","ROMANCOKE PIER FEE","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","42000","39150.75","2849.25"
"18","330010","PUBLIC LANDINGS OPERATING","36367","SODAS/LANCE FOOD FEES","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","750","0","750"
"19","300000","BLUE HERON GOLF COURSE OP","36498","DRIVING RANGE FEES","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","30000","14795","15205"
"19","636010","SENIOR CENTERS-GENERAL","39215","GENERAL RENTS","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","3000","1642","1358"
"18","330010","PUBLIC LANDINGS OPERATING","38760","PROCEEDS/INSURANCE CLAIMS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","0","0"
"18","330010","PUBLIC LANDINGS OPERATING","39090","OTHER MISC-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"19","414000","RECREATION & PARKS","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"0","1379593","-1379593"
"19","992700","DOWNES, WILSON, BITTLE DI","30307","TAX DITCHES TAX","T-TAXES","T-OTHER LOCAL TAXES REV","1000","1000","0"
"18","330010","PUBLIC LANDINGS OPERATING","39390","OTHER MISC-NON-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","0","0"
"18","330010","PUBLIC LANDINGS OPERATING","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"0","0","0"
"18","330090","P.LNDGS CAP PROJ/CONSTR","32890","OTHER FED CAP GRANTS","T-INTERGOVERNMENTAL REV","T-FED CAP GRANTS REV","0","0","0"
"18","330090","P.LNDGS CAP PROJ/CONSTR","33590","OTHER STATE OP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"18","330090","P.LNDGS CAP PROJ/CONSTR","33705","STATE CAP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE CAP GRANTS REV","0","0","0"
"18","330090","P.LNDGS CAP PROJ/CONSTR","33715","ST ANTICIPATED CAP GRT","T-INTERGOVERNMENTAL REV","T-STATE CAP GRANTS REV","0","0","0"
"18","330090","P.LNDGS CAP PROJ/CONSTR","39054","PUBLICATNS/BID DOCS REIMB","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"18","330090","P.LNDGS CAP PROJ/CONSTR","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"0","0","0"
"19","227000","RESTRICTED FUNDS- WATER","38101","INTEREST INCOME-PROGRAM","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","26202.27","-26202.27"
"18","330100","KENT NARROWS MARINA","37340","LATE FEES","T-CHARGES FOR SERVICES","T-HOUSING & PHA-SERV CHGS","0","475","-475"
"18","330200","CENTREVILLE MARINA","37340","LATE FEES","T-CHARGES FOR SERVICES","T-HOUSING & PHA-SERV CHGS","0","100","-100"
"18","330300","DOMINION MARINA","37340","LATE FEES","T-CHARGES FOR SERVICES","T-HOUSING & PHA-SERV CHGS","0","225","-225"
"18","331010","PUBLIC LANDINGS NON-OPERA","38215","PROCEEDS/BOND PREMIUM","T-MISCELLANEOUS REV","T-INVESTMT INCOME-GEN RV","0","0","0"
"18","410000","GENERAL GOVERNMENT","30201","INCOME TAX","T-TAXES","T-LOCAL INCOME TAX REV","0","0","0"
"18","410000","GENERAL GOVERNMENT","30302","RECORDATION TX","T-TAXES","T-OTHER LOCAL TAXES REV","0","0","0"
"18","410000","GENERAL GOVERNMENT","30306","COUNTY TRANSFER TAX","T-TAXES","T-OTHER LOCAL TAXES REV","0","0","0"
"18","410000","GENERAL GOVERNMENT","30309","IDOT RECORDATION TAX","T-TAXES","T-OTHER LOCAL TAXES REV","0","0","0"
"18","410000","GENERAL GOVERNMENT","32890","OTHER FED CAP GRANTS","T-INTERGOVERNMENTAL REV","T-FED CAP GRANTS REV","0","0","0"
"18","410000","GENERAL GOVERNMENT","33205","ST COMMUNITY DEV OP GRANT","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"18","410000","GENERAL GOVERNMENT","33590","OTHER STATE OP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"18","410000","GENERAL GOVERNMENT","33705","STATE CAP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE CAP GRANTS REV","0","0","0"
"18","410000","GENERAL GOVERNMENT","33725","ST POS ENCUMB CAP-STATE","T-INTERGOVERNMENTAL REV","T-STATE CAP GRANTS REV","0","0","0"
"18","410000","GENERAL GOVERNMENT","34300","T-OTHER CAP GRANTS REV","T-INTERGOVERNMENTAL REV",,"0","0","0"
"18","410000","GENERAL GOVERNMENT","36356","RENTAL CHGS","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","0","0","0"
"18","410000","GENERAL GOVERNMENT","38214","INTEREST BOND-RELATED","T-MISCELLANEOUS REV","T-INVESTMT INCOME-GEN RV","0","0","0"
"18","410000","GENERAL GOVERNMENT","38720","PROCEEDS/SALE OF LAND/BLD","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","0","0"
"18","410000","GENERAL GOVERNMENT","38760","PROCEEDS/INSURANCE CLAIMS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","0","0"
"18","410000","GENERAL GOVERNMENT","39014","ENERGY SAV INCENTIVE PRG","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"18","410000","GENERAL GOVERNMENT","39090","OTHER MISC-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"18","410000","GENERAL GOVERNMENT","39390","OTHER MISC-NON-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","0","0"
"18","410000","GENERAL GOVERNMENT","39701","PROCEEDS OF LOANS","T-PROCEEDS/LONG TERM DEBT",,"0","0","0"
"18","410000","GENERAL GOVERNMENT","39702","PROCEEDS OF BONDS","T-PROCEEDS/LONG TERM DEBT",,"0","0","0"
