"project_name","date_received","meeting_date","meeting_time","meeting_location_place","meeting_location_address","meeting_location_city","meeting_location_zip","proposed_units","proposed_acres","sign_code","sign_year","locationdescription","taxmap_parcel","zoning","coordinates"
"Brown Property","2007-01-03T00:00:00.000","2007-01-24T00:00:00.000","1899-12-31T18:00:00","Pointers Run Elementary School (Cafeteria)","6600 S. Trotter Road","Clarksville","21029","11","24",,,"W SIDE CLARKSVILLE PIKE 2300' S OF RICHARDSON FARM LN","[TaxMap 34 Parcel 301]","RR-DEO","(39.1892, -76.9543)"
"JIN YOO","2012-08-22T00:00:00.000","2012-09-15T00:00:00.000","1899-12-31T10:00:00","MILLER PUBLIC LIBRARY","9421 FREDERICK ROAD","ELLICOTT CITY","21042",,,"C04","13","WINDFLOWER DR","[TaxMap 24 Parcel 1058]","R-20","(39.2609, -76.8563)"
"Holly House Farm","2015-12-11T00:00:00.000","2016-01-06T00:00:00.000","6:30 p.m.","Manor Woods Elem. School, Cafeteria","11575 Frederick Road","Ellicott City","21042",,"717.17","C09","16","W SIDE FOLLY QUARTER RD S OF FREDERICK RD","[TaxMap 23 Parcel 118]","RC-DEO","(39.2802, -76.9024)"
"Annette B. Mellor (COND USE) SchoolBusPark&Storage","2008-07-29T00:00:00.000","2008-09-13T00:00:00.000","1899-12-31T14:00:00","Savage Library","9525 Durness Lane","Savage","20723",,,"C05","9","WEST SIDE OF DUMHART ROAD, NORTH OF STANSFIELD ROAD.","[TaxMap 47 Parcel 148]","R-20","(39.1226, -76.8693)"
"Columbia Presbyterian Church (COND USE) Addition","2008-04-24T00:00:00.000","2008-05-16T00:00:00.000","1899-12-31T19:00:00","Offices of Columbia Presbyterian Church","10001 Route 108","Columbia","21044",,,"C28","8","S. SIDE OF MD RTE. 108","[TaxMap 30 Parcel 223]","R-20","(39.2366, -76.858)"
"Trotter Woods, Sec II","2015-09-16T00:00:00.000","2015-10-14T00:00:00.000","1899-12-31T18:00:00","Fifth District Volunteer Fire Dept.","5000 Signal Bell Lane","Clarksville","21029","9","3.93","R23","16","W SIDE OF TROTTER ROAD 600' N OF CLOVER LANE","[TaxMap 35 Parcel 21]","R-20","(39.2069, -76.9219)"
"Ellicott Heights","2011-02-01T00:00:00.000","2011-02-23T00:00:00.000","1899-12-31T18:00:00","Roger Carter Recreation Center","3676 Fels Lane","Ellicott City","21043","216","28.3","R15","11","W SIDE ELLICOTT MILLS DR AT MOUNT IDA DR","[TaxMap 25 Parcel 12],[TaxMap 25 Parcel 291],[TaxMap 25 Parcel 335],[TaxMap 25 Parcel 336]","POR,R-A-15,R-VH","(39.2713, -76.8045)"
"The Meadows Corporate Park","2013-01-17T00:00:00.000","2013-02-20T00:00:00.000","1899-12-31T18:00:00","Mayfield Woods Middle School","7950 Red Barn Way","Elkridge","21075","0","11.37","N08","13","S SIDE MEADOWRIDGE RD OPPOSITE HUNTSHIRE DR","[TaxMap  Parcel ],[TaxMap 37 Parcel 173],[TaxMap 37 Parcel 524]","CCT","(39.1915, -76.7745)"
"CONGEDO PROPERTY","2014-03-27T00:00:00.000","2014-04-28T00:00:00.000","1899-12-31T18:00:00","THE MEETING ROOM AT RIVER HILL POOL","6330 TROTTER ROAD","CLARKSVILLE","21029","8","5.8","R58","14","TROTTER RD N OF SUMMER SUNRISE DR","[TaxMap 35 Parcel 64]","R-ED","(39.1993, -76.9213)"
"DC-MSW Neighborhood Part of Lot 23","2013-11-07T00:00:00.000","2013-12-02T00:00:00.000","6:30PM","HCC   Student Services Hall Rm. 400","10901 Little Patuxent Parkway","Columbia","21044","0","16.1","T03","14","LITTLE PATUXENT PKWY W OF S ENTRANCE RD","[TaxMap 36 Parcel 452]","NT","(39.2111, -76.861)"
"Forest Venture II, LLC","2010-07-07T00:00:00.000","2010-08-02T00:00:00.000","1899-12-31T18:30:00","Ellicott City Senior Center","9401 Frederick Road","Ellicott City","21042",,,"C01","11","SOUTH OF BALTIMORE NATIONAL PIKE","[TaxMap 24 Parcel 1172],[TaxMap 24 Parcel 453],[TaxMap 24 Parcel 497],[TaxMap 24 Parcel 69],[TaxMap 24 Parcel 72]","B-1,B-2","(39.2784, -76.8577)"
"Hill Property","2015-06-04T00:00:00.000","2015-07-07T00:00:00.000","1899-12-31T18:00:00","St. Paul's Evangelical Lutheran Church","11795 Route 216","Fulton","20759","6","35","R05","16","S SIDE LIME KILN RD EAST OF MARLOW RD","[TaxMap 45 Parcel 59]","RR-DEO","(39.1484, -76.9478)"
"Linwood Center","2010-02-23T00:00:00.000","2010-03-24T00:00:00.000","7:00 p.m.","Linwood Center","3421 Martha Bush Drive","Ellicott City","21043","0","4.19","N03","10","TERMINUS OF MARTHA BUSH DRIVE","[TaxMap 25 Parcel 218],[TaxMap 25 Parcel 333]","CCT,POR","(39.2768, -76.8017)"
"7410 Grace Drive","2015-01-22T00:00:00.000","2015-02-24T00:00:00.000","1899-12-31T18:00:00","East Columbia Branch LIbrary","6600 Cradlerock Way","Columbia","21045","0","3.8387","N03","15","N SIDE OF GRACE DRIVE WEST OF CEDAR LANE","[TaxMap 35 Parcel 86]","POR","(39.1871, -76.897)"
"The Estates at Patapsco Park","2012-08-29T00:00:00.000","2012-10-02T00:00:00.000","6:00pm","Ellicott City Senior Center - Great Room","9401  Frederick Road","Ellicott City","21042","185","130.78","R10","13","TERMINUS OF RT 29 AT RT 99","[TaxMap 17 Parcel 38]","R-20,R-ED","(39.3047, -76.8231)"
"McKendree Springs","2007-11-14T00:00:00.000","2007-12-07T00:00:00.000","1899-12-31T19:00:00","Glenwood Community Center","2400 Route 97","Cooksville","21723","3","16.437","R38","8","W SIDE MCKENDREE RD S OF FREDERICK RD","[TaxMap 14 Parcel 128]","RC-DEO","(39.3102, -77.005)"
"Kim's Farm","2016-07-25T00:00:00.000","2016-08-24T00:00:00.000","1899-12-31T18:00:00","Miller Branch Library","9421 Frederick Road","Ellicott City","21042","2","1.29","R10","17","NORTH CORNER OF OLD MILL ROAD AND ROUTE 99","[TaxMap 17 Parcel 27]","R-20","(39.2986, -76.8556)"
"Pine Grove","2015-02-24T00:00:00.000","2015-03-31T00:00:00.000","1899-12-31T18:00:00","North Laurel Community Center","9411 Whiskey Bottom Road","Laurel","20723","4","1.84","R37","15","STANSFIELD RD W OF OLD SCAGGSVILLE RD","[TaxMap 47 Parcel 162]","R-SC","(39.1212, -76.8653)"
"Jonathan & Sonya Miller/ Shady Acres Ln","2016-06-09T00:00:00.000","2016-07-05T00:00:00.000","6:00 P.M.","Emmanuel United Methodist Church","10755 Scaggsville Road","Laurel","20723",,"3.41","C01","17","TERMINUS OF SHADY ACRES LN","[TaxMap 47 Parcel 120],[TaxMap 47 Parcel 838]","R-20","(39.1369, -76.8711)"
"KEANE PROPERTY","2012-04-30T00:00:00.000","2012-05-22T00:00:00.000","1899-12-31T06:00:00","West Friendship Volunteer Fire Department","12535 Old Frederick Road","Sykesville","21784","4","24.25","R36","12","E SIDE RT 32 N OF OLD FREDERICK RD","[TaxMap 9 Parcel 41]","RR-DEO","(39.3297, -76.9451)"
"Edward's Subdivision","2006-11-14T00:00:00.000","2006-12-05T00:00:00.000","1899-12-31T18:00:00","Columbia Presbyterian Church","10001 Route 108","Columbia","21044","3","1.76",,,"WATERLOO ROAD","[TaxMap 31 Parcel 250]","R-20","(39.2177, -76.8081)"
"Symphony Woods Park","2011-05-19T00:00:00.000","2011-06-16T00:00:00.000","1899-12-31T19:00:00","Columbia Association Board Room","10221 Wincopin Circle","Columbia","21044","0","17","V03","11","LITTLE PATUXENT PKWY W OF S ENTRANCE RD","[TaxMap 36 Parcel 452]","NT","(39.2111, -76.861)"
"H & G Properties","2008-02-19T00:00:00.000","2008-03-13T00:00:00.000","1899-12-31T18:00:00","St. Augustines - Library","5710 Furance Avenue","Elkridge","21075","33","5","R55","8","SW SIDE FURNACE AVE N OF RACE RD","[TaxMap 38 Parcel 429]","CAC-CLI","(39.2122, -76.7053)"
"Simpson Property","2016-11-03T00:00:00.000","2016-11-28T00:00:00.000","1899-12-31T18:30:00","Dayton Oaks Elementary School","4691 Ten Oaks Road","Dayton","21036","48","99.96","R22","17","GREEN BRIDGE RD","[TaxMap 27 Parcel 112],[TaxMap 27 Parcel 34],[TaxMap 27 Parcel 36],[TaxMap 27 Parcel P/O 98]","RR-DEO","(39.2308, -77.0006)"
"The K9 Connection","2014-01-31T00:00:00.000","2014-02-25T00:00:00.000","1899-12-31T18:00:00","The Bain Center","5470 Ruth Keeton Way","Columbia","21044",,,"C16","14","MANOR LANE","[TaxMap 29 Parcel 327]","RC-DEO","(39.24, -76.887)"
"McDonald's Corporation (CONDITIONAL USE)","2008-01-24T00:00:00.000","2008-02-19T00:00:00.000","1899-12-31T18:00:00","Homewood Suites Meeting Room","8320 Benson Drive","Columbia","21045",,,"C16","8","NORTHWEST CORNER OF POCOMOKE AVENUE AND WATERLOO ROAD","[TaxMap 43 Parcel 652]","M-2","(39.1682, -76.7835)"
"Pleasant Chase, Phase IV  (CANCELLED)","2007-03-12T00:00:00.000","2007-03-28T00:00:00.000","1899-12-31T18:00:00","Savage Library Meeting Room","9525 Durness Lane","Laurel","20723","41","9.5",,,"N SIDE HICKS RD","[TaxMap 43 Parcel 211],[TaxMap 43 Parcel 492],[TaxMap 43 Parcel 493],[TaxMap 43 Parcel 494],[TaxMap 43 Parcel 622]","R-SC","(39.1671, -76.7943)"
"Myers Property, Lots 1 thru 4","2012-09-24T00:00:00.000","2012-10-22T00:00:00.000","1899-12-31T18:30:00","Savage Branch Library","9525  Durness Lane","Laurel, Maryland","20723","4","1.25","R14","13","MISSION RD SOUTH OF REDONDO WAY","[TaxMap 42 Parcel 507],[TaxMap 42 Parcel 512]","R-12","(39.1584, -76.8166)"
"Lois Peters","2010-12-15T00:00:00.000","2011-01-06T00:00:00.000","6:30 p.m.","Grace Community Church","8200 Old Columbia Road","Fulton","20759",,,"C11","11","NORTH SIDE OF SCAGGSVILLE ROAD, ADJOINING RSERVOIR HIGH SCHOOL","[TaxMap 41 Parcel 476]","CCT","(39.15, -76.9125)"
"Church of God","2008-07-24T00:00:00.000","2008-08-18T00:00:00.000","1899-12-31T18:00:00","Church of God Office Building","7340 Long View Road","Columbia","21044","26","28.23","R06","9",,"[TaxMap 41 Parcel 179]","R-20","(39.1713, -76.8854)"
"Animal Medical Hospital at Glenwood","2016-02-09T00:00:00.000","2016-03-09T00:00:00.000","6:00 P.M.","Gary J. Authur Community Center","2400 Route 97","Cooksville","21723",,,"C10","16","SOUTHEAST CORNER OF MCKENDREE RD AND RT 97","[TaxMap 14 Parcel 217]","RR-DEO","(39.3016, -77.0194)"
"Franklin G. David ","1900-01-01T00:00:00.000","2013-09-16T00:00:00.000","1899-12-31T18:30:00","Howard County Library, East Columbia Branch","6600  Cradlerock Way","Columbia ","21045",,,"C03","14","HUNTING LANE EAST OF LONGVIEW","[TaxMap 41 Parcel 174]","R-20","(39.1783, -76.8819)"
"Morris Place","2009-07-08T00:00:00.000","2009-08-12T00:00:00.000","6:00 P.M.","Elkridge Library","6540 Washington Blvd.","Elkridge","21075","184","17.25","R02","10","WEST SIDE OF US RT 1 SOUTH SIDE OF CEMETERY LN","[TaxMap 43 Parcel 599]","CAC-CLI,CE-CLI","(39.1809, -76.7721)"
"WARFIELD'S WOODS","2014-08-26T00:00:00.000","2014-09-18T00:00:00.000","1899-12-31T18:00:00","MILLER BRANCH LIBRARY","9421 FREDERICK ROAD","ELLICOTT CITY","21042","34","9.13","R13","15","S SIDE OLD FREDERICK RD E OF WOODSTOCK RD","[TaxMap 10 Parcel 25],[TaxMap 16 Parcel 25]","R-SA-8","(39.3157, -76.8825)"
"6077 Meadowridge Road","2017-01-26T00:00:00.000","2017-02-23T00:00:00.000","1899-12-31T18:30:00","Elkridge Landing Middle School","7085 Montgomery Road","Elkridge","21075","8","3.76","R36","17","MEADOWRIDGE AT WESLEY LN","[TaxMap 37 Parcel 78]","R-SC","(39.2043, -76.7799)"
"Cherry Tree View","2010-05-18T00:00:00.000","2010-06-09T00:00:00.000","6:00 p.m ","Emmanual United Methodist Church - Followship Hall","10755 Scaggsville Road","Laurel","20723","11","6.541","R32","10","S SIDE SCAGGSVILLE RD OPPOSITE CREST RD","[TaxMap 46 Parcel 55]","R-20","(39.1424, -76.8905)"
"Michael&Donna Tilghman-COND. USE(Home Occ./Office)","2007-07-23T00:00:00.000","2007-08-15T00:00:00.000","1899-12-31T19:00:00","Savage Branch Library","9525 Durness Lane","Laurel","20723",,,"C04","8","SOUTH OF GORMAN ROAD AND WEST OF SHANTHA COURT","[TaxMap 47 Parcel 487]","R-SC","(39.1349, -76.8427)"
"NVH Property Holdings, LLC","2009-06-19T00:00:00.000","2009-07-20T00:00:00.000","1899-12-31T18:00:00","East Columbia Library","6600 Cradlerock Way","Columbia","21045",,,"C33","9","WEST OF WATERLOO ROAD, ABOUT 500' NORTH OF GOLDEN BELL WAY","[TaxMap 37 Parcel 240]","R-12","(39.204, -76.7966)"
"PRESERVE AT CLARKSVILLE LOTS 33 & 34","2008-12-23T00:00:00.000","2009-01-22T00:00:00.000","7:00 P.M.","PASTORAL CENTER ST. LOUIS CHURCH, ROOM 306","12500 CLARKSVILLE PIKE","CLARKSVILLE","21029","2","1.94","R21","9","SOUTH SIDE TEN OAKS RD E OF HEATHER GLEN WAY","[TaxMap 34 Parcel 77]","RR-DEO","(39.205, -76.9491)"
"Percival Property","2015-05-22T00:00:00.000","2015-06-22T00:00:00.000","1899-12-31T18:00:00","Glenwood Library","2350 Route 97","Cooksville","21723","4","11.4","R47","15","WEST SIDE OF RT 97 N OF OLD FREDERICK RD","[TaxMap 8 Parcel 237]","RC-DEO","(39.3461, -77.02)"
"MILL HAVEN, LOTS 5-7","2014-07-09T00:00:00.000","2014-08-06T00:00:00.000","1899-12-31T18:00:00","OAKLAND MILLS INTERFAITH CENTER","5885 ROBERT OLIVER PLACE","COLUMBIA","21045","3","1.36","R03","15","SW SIDE OAKLAND MILLS RD N OF SHADOW FALL TER","[TaxMap 36 Parcel 2]","R-12","(39.2161, -76.8394)"
"Standafer Property","2007-08-02T00:00:00.000","2007-09-10T00:00:00.000","1899-12-31T18:00:00","Oakland Mills Village Center","5851 Robert Oliver Place","Columbia","21045","2","1.094","R02","8","N SIDE OWEN BROWN RD 800' SW OF FORTY WINKS WAY","[TaxMap 36 Parcel 175]","R-20","(39.2011, -76.8533)"
"Goddard School","2013-01-07T00:00:00.000","2013-01-29T00:00:00.000","1899-12-31T18:30:00","The Goddard School","8866 Columbia 100 Parkway","Columbia","21045","0","0.98","N07","13","WATERLOO RD S OF MONTGOMERY RUN RD","[TaxMap 37 Parcel 286]","B-1","(39.2163, -76.8046)"
"Downtown Columbia Cultural Arts Center","2016-05-02T00:00:00.000","2016-05-26T00:00:00.000","1899-12-31T18:00:00","Kahler Hall","5440 Old Tucker Row","Columbia","21044","209","2.589","T05","16","LITTLE PATUXENT PKWY AT BROKEN LAND PKWY","[TaxMap 36 Parcel 307],[TaxMap 36 Parcel 338],[TaxMap 36 Parcel 399],[TaxMap 36 Parcel 452],[TaxMap 36 Parcel 519],[TaxMap 36 Parcel 527]","NT","(39.2058, -76.8619)"
"Lennox Park, Lots 640 and 641 (CANCELLED)","2008-06-25T00:00:00.000","2008-07-24T00:00:00.000","6:00 P.M.","Elkridge Library Meeting Room","6540 Washington Blvd","Elkridge","21075","1","0.45","R70","8","LENNOX PARK","[TaxMap 43 Parcel 329],[TaxMap 43 Parcel 698]",,"(39.1797, -76.756)"
"Cypress Springs","2013-08-19T00:00:00.000","2013-09-19T00:00:00.000","1899-12-31T18:00:00","ELKRIDGE LIBRARY MEETING ROOM","6540 WASHINGTON BLVD","ELKRIDGE","21075","2","0.88","R18","14","TERMINUS OF CYPRESS SPRINGS RD","[TaxMap 38 Parcel 46]","R-ED","(39.2154, -76.716)"
"Penkusky Property","2016-09-30T00:00:00.000","2016-11-02T00:00:00.000","1899-12-31T18:00:00","Bonnie Branch Middle School","4979 Ilchester Road","Ellicott City","21043","9","5.9","R18","17","BEECHWOOD RD  EAST OF BONNIE BRANCH","[TaxMap 31 Parcel 119]","R-ED","(39.2435, -76.7723)"
"Beth Shalom Congregation","2016-04-25T00:00:00.000","2016-05-23T00:00:00.000","6:00 p.m.","On-site, Beth Shalom Congregation","8070 Harriet Tubman Lane","Columbia","21044",,,"C14","16","S SIDE HARRIET TUBMAN LN NW OF FREETOWN RD","[TaxMap  Parcel ],[TaxMap 35 Parcel 256]","R-12","(39.1848, -76.8796)"
"New Life Mennonite Church","2009-11-18T00:00:00.000","2010-01-05T00:00:00.000","1899-12-31T19:00:00","New Life Mennonite Church","9580  Old Rt 108","Ellicott City ","21042",,,"C09","10","NORTH OF RT 108, 250 FEET EAST OF COLUMBIA RD","[TaxMap 30 Parcel 288]","R-20","(39.2403, -76.8431)"
"Steensen Property","2013-06-20T00:00:00.000","2013-07-23T00:00:00.000","1899-12-31T18:00:00","Miller Branch Library  Avalon Room","9421 Frederick road","ellicott city","21042","1","1.12","R04","14","ELLICOTT MILLS DR NORTH OF MAIN ST","[TaxMap 25 Parcel 157]","HC,R-VH","(39.2695, -76.8019)"
"Oak Hill Subdivision","2016-06-15T00:00:00.000","2016-07-18T00:00:00.000","1899-12-31T18:00:00","HCLS Miller Branch Library ","9421 Frederick Road","Ellicott City","21042","6","4.47","R03","17","OAK HILL DR","[TaxMap 30 Parcel 321],[TaxMap 30 Parcel 368]","R-20","(39.2457, -76.8491)"
"BRS Electric","2015-02-25T00:00:00.000","2015-03-25T00:00:00.000","1899-12-31T18:30:00","Lisbon Elementary School","15901 Frederick Road","Woodbine","21797","0","0.539","N05","15","SOUTH AVE WAY AT CHURCH ALY","[TaxMap 7 Parcel 235],[TaxMap 7 Parcel 304]","B-1,B-2","(39.3349, -77.0699)"
"G. Kent and Deborah Humphries","2013-04-16T00:00:00.000","2013-05-13T00:00:00.000","1899-12-31T18:00:00","ARC of Howard County","11735 Homewood Road","Ellicott City","21042",,,"C21","13","FOXSPUR CT EAST OF FARSIDE","[TaxMap  Parcel ],[TaxMap 29 Parcel 126]","RC-DEO","(39.2465, -76.9145)"
"Enterprise Homes Inc.","2017-10-16T00:00:00.000","2017-11-14T00:00:00.000","1899-12-31T18:00:00","Florence Bain 50+ Senior Center","5470 Ruth Keeton Way","Columbia","21044","300","17.81","R09","18","WILDE LAKE VILLAGE","[TaxMap 29 Parcel 262],[TaxMap 29 Parcel 263],[TaxMap 29 Parcel 271],[TaxMap 30 Parcel 272]","NT","(39.2191, -76.8804)"
"BRIGHTON ESTATES","2014-10-27T00:00:00.000","2014-11-21T00:00:00.000","1899-12-31T18:00:00","FIFTH DISTRICT VOLUNTEER FIRE DEPT","5000 SIGNAL BELL LANE","CLARKSVILLE","21029","3","10.48","R23","15","BRIGHTON DAM RD","[TaxMap 34 Parcel 308],[TaxMap 34 Parcel 432]","RR-DEO","(39.207, -76.9683)"
"Hansan Property","2007-10-11T00:00:00.000","2007-11-05T00:00:00.000","1899-12-31T18:00:00","Bethany Lane Baptist Church","3030 Bethany Lane","Ellicott City","21042","2","1.09","R25","8","W SIDE OF COVENTRY CT, 800' S OF BALT NAT'L PIKE","[TaxMap 23 Parcel 60]","R-20","(39.2786, -76.8744)"
"David and Cynthia Lynn T/A The Inn at Peralynna","2012-06-06T00:00:00.000","2012-06-28T00:00:00.000","1899-12-31T18:00:00","Florence Bain Senior Center","5470 Ruth Keeton Way","Columbia","21044",,,"C02","13",,"[TaxMap 29 Parcel 32]","R-20","(39.235, -76.8792)"
"Lisbon Commercial Center - CANCELLED","2012-02-22T00:00:00.000","2012-03-21T00:00:00.000","1899-12-31T06:00:00","Glenwood Library - CANCELLED","2350  Route 97","Cooksville","21723","0","5.85","N06","12","NORTH OF OLD FREDERICK ROAD, ABOUT 300' E. OF ITS INTERS. W/MADISON STREET","[TaxMap 7 Parcel 478]","B-2","(39.3478, -77.0661)"
"WHITEHEAD PROPERTY, PAR 345","2014-04-14T00:00:00.000","2014-05-27T00:00:00.000","1899-12-31T18:00:00","NORTH LAUREL COMMUNITY CENTER","9411 WHISKEY BOTTOM ROAD","LAUREL","20723","1","0.28","R60","14","COMMERCIAL ST","[TaxMap 47 Parcel 345],[TaxMap 47 Parcel 346]","R-12","(39.141, -76.8266)"
"Rizk Property","2016-12-13T00:00:00.000","2017-01-12T00:00:00.000","1899-12-31T18:00:00","Glenwood Branch Library","2350 Route 97","Cooksville","21723","4","18.61","R26","17","UNDERWOOD RD","[TaxMap 9 Parcel 75]","RC-DEO","(39.3348, -76.9797)"
"Woodbrook  Sec 2","2015-06-23T00:00:00.000","2015-07-21T00:00:00.000","1899-12-31T18:00:00","Elkridge Volunteer Fire Dept","6275 Old Washington Blvd","Elkridge","21075","8","2.14","R10","16","N SIDE WOODCREST DR 600' E OF WATERLOO RD","[TaxMap 37 Parcel 126],[TaxMap 37 Parcel 488],[TaxMap 37 Parcel 530]","R-SC","(39.2, -76.793)"
"MAPLE LAWN SOUTH","2014-04-22T00:00:00.000","2014-06-05T00:00:00.000","1899-12-31T18:00:00","NORTH LAUREL COMMUNITY CENTER","9411 WHISKEY BOTTOM ROAD","LAUREL","20723","177","91.25","R63","14","S SIDE SCAGGSVILLE RD E OF MURPHY RD","[TaxMap 46 Parcel 113]","R-ED-MXD-3","(39.1467, -76.9165)"
"Highs of Baltimore","2014-07-11T00:00:00.000","2014-08-18T00:00:00.000","6:00 P.M.","Lisbon Volunteer Fire Dept. Fire Hall","1330 Woodbine Road","Woodbine","21797",,,"C02","15","TERMINUS OF LISBON CENTER DR","[TaxMap 2 Parcel 82]","B-2","(39.3505, -77.0653)"
"Holiday Hills, Lots 117 & 118","2015-04-08T00:00:00.000","2015-05-04T00:00:00.000","1899-12-31T18:00:00","Central Branch Library","10375 LIttle Patuxent Parkway","Columbia","21044","2","1.003","R40","15","N SIDE HUNTING LN W OF LONG VIEW RD","[TaxMap 41 Parcel 174]","R-20","(39.1783, -76.8807)"
"Montgomery Road Property","2013-01-07T00:00:00.000","2013-02-04T00:00:00.000","6:00pm","Miller Branch Library","9421 Frederick Road","Ellicott City","21042","1","0.7","R36","13","W SIDE MONTGOMERY RD N OF WORTHINGTON WAY","[TaxMap 31 Parcel 564]","R-20","(39.2341, -76.7958)"
"Willow Nook","2017-10-10T00:00:00.000","2017-11-06T00:00:00.000","1899-12-31T18:00:00","Clarksville Middle School","6535 South Trotter Road","Clarksville","21029","1","1.15","R07","18","N SIDE OF GUILFORD RD W OF BRIGHT MEMORY DR","[TaxMap 35 Parcel 222]","R-20","(39.1898, -76.914)"
"Wall Property","2007-01-25T00:00:00.000","2007-01-29T00:00:00.000","1899-12-31T18:15:00","St. Paul's Episcopal Church","16457 Old Frederick Road","Mt Airy","21771","7","33.284",,,"W SIDE WATERSVILLE RD 1500' S OF BLOOMS LN","[TaxMap 2 Parcel 18]","RC-DEO","(39.3555, -77.0985)"
"Friendship PInes","2015-01-28T00:00:00.000","2015-03-11T00:00:00.000","1899-12-31T18:00:00","Circle D Farm","15535 Carrs Mill Road","Woodbine","21797","2","7.739","R32","15","FREDERICK RD AT MCKENDREE RT","[TaxMap 15 Parcel 51]","RC-DEO","(39.3141, -76.9979)"
"Barnsley Way Retail Center","2017-01-26T00:00:00.000","2017-02-28T00:00:00.000","1899-12-31T18:00:00","Mt. Hebron High School","9440 Old Frederick Road","Ellicott City","21042","0","2.84","N10","17","BARNSLEY WAY AT MARRIOTTSVILLE RD","[TaxMap 16 Parcel 249]","PEC","(39.3107, -76.8994)"
"Duplan Property","2013-10-25T00:00:00.000","2013-11-21T00:00:00.000","1899-12-31T18:00:00","Lisbon Volunteer Fire Company","1330  Woodbine Road","Woodbine","21797","2","6.8963","R26","14","JENNINGS CHAPEL AT JONES RD","[TaxMap 13 Parcel 87]","RC-DEO","(39.2862, -77.0935)"
"Trotter's Knoll  Sec 2","2016-06-22T00:00:00.000","2016-07-14T00:00:00.000","1899-12-31T18:00:00","Waterloo Elementary School","5940 Waterloo Road","Columbia","21045","19","8.9","R04","17","N. OF MD RT 100, WEST OF OLD MONTGOMERY ROAD","[TaxMap 31 Parcel 753],[TaxMap 37 Parcel 748],[TaxMap 37 Parcel 753]","R-SA-8","(39.2157, -76.7931)"
"Two Farms, Inc.","2012-04-30T00:00:00.000","2012-05-23T00:00:00.000","6:00 p.m.","North Laurel 50 Community Center","9411 Whiskey Bottom Road","Laurel","20723",,,"M08","12","WASHINGTON BLVD SOUTH OF DAVIS ST","[TaxMap 50 Parcel 263]","CAC-CLI","(39.1098, -76.8369)"
"Savage Towne Centre","2006-11-02T00:00:00.000","2006-11-20T00:00:00.000","1899-12-31T18:30:00","Courtyard Marriott - Fort Meade","2700 Hercules Road","Annapolis Junction","20701","260","10.9",,,"E SIDE DORSEY RUN RD S OF HENKELS LN","[TaxMap 48 Parcel 137],[TaxMap 48 Parcel 194]","TOD","(39.1246, -76.7947)"
"Edley Property (Cond Use)","2013-02-26T00:00:00.000","2013-03-23T00:00:00.000","1899-12-31T12:00:00","Savage Branch Library","9525 Durness Lane","Laurel","20723",,,"C17","13","JONES RD AT ROSE LANE","[TaxMap 42 Parcel 432]","R-12","(39.1539, -76.8139)"
"TROTTER CROSSING","2009-08-10T00:00:00.000","2009-09-03T00:00:00.000","1899-12-31T18:00:00","5th DISTRICT VOLUNTEER FIRE DEPT.","5000 SIGNAL BELL LANE","CLARKSVILLE","21029","5","2.701","R07","10","W SIDE TROTTER RD N OF TROTTER CROSSING LN","[TaxMap 35 Parcel 481],[TaxMap 35 Parcel 6]","R-20","(39.2149, -76.9208)"
"CENTENNIAL CHOICE","2014-10-15T00:00:00.000","2014-11-15T00:00:00.000","1899-12-31T15:30:00","MILLER BRANCH LIBRARY","9421 FREDERICK ROAD","ELLICOTT CITY","21043","3","1.8862","R21","15","W SIDE ST. JOHN'S LN S OF CRESTLEIGH RD","[TaxMap 24 Parcel 370]","R-20","(39.2586, -76.8252)"
"Hawes Property ","2012-02-15T00:00:00.000","2012-03-19T00:00:00.000","1899-12-31T18:00:00","Miller Library","9421 Frederick Road","Ellicott City","21042","8","5.08","R28","12","TERMINUS OF VIEW TOP RD","[TaxMap 24 Parcel 253]","R-20","(39.2651, -76.8204)"
"T-MOBILE COMMUNICAITONS NORTHEAST LLC","2009-12-14T00:00:00.000","2010-01-05T00:00:00.000","1899-12-31T19:00:00","HOWARD COUNTY LIBRARY, GLENWOOD BRANCH","2350 RT 97","COOKSVILLE","21738",,,"C11","10",,"[TaxMap 15 Parcel 117]",,"(39.2918, -76.9783)"
"Waskey Property","2011-11-17T00:00:00.000","2011-12-08T00:00:00.000","1899-12-31T19:00:00","Gorman Crossing Elementary","9999 Winter Sun Road","Laurel","20723","98","18.4","R15","12","EAST SIDE OF GORMAN ROAD, 1400' N OF SKYLARK BLVD","[TaxMap  Parcel ],[TaxMap 47 Parcel 4]","PSC","(39.1434, -76.8536)"
"Claude A & Darlene A Dent(COND USE)PARKING 3 BUSES","2008-04-09T00:00:00.000","2008-05-03T00:00:00.000","1899-12-31T14:00:00","Howard County Library - Savage Branch","9525 Durness Lane","Laurel","20723",,,"C26","8","WEST SIDE OF STANSFIELD ROAD ABOUT 100' N OF ITS INTERSECTION W/DUMHART RD","[TaxMap 47 Parcel 481]","R-20","(39.1226, -76.87)"
"Riverside Estate, Resub. of Lot 1(Mowrey Estates)","2007-01-09T00:00:00.000","2007-01-24T00:00:00.000","1899-12-31T18:00:00","(On Site)","11726 N. Newberry Drive","Columbia","21044","1","1.038",,,"NW QUADRANT NEWBERRY DR & JUDY LN","[TaxMap 41 Parcel 420]","R-20","(39.177, -76.8858)"
