"author","title","year_published","country","area_s","age_range","study_years","case_identification_method","case_criterion","sample_size","number_of_cases","asd_prevalence_estimate_per","confidence_interval_ci","male_female_sex_ratio","non_hispanic_white_hispanic","white_black_prevalence_ratio","diagnosis_age_range_months","diagnosis_mean_age_months","diagnosis_median_age_months","iq_score_70","adaptive_score_70","non_verbal_or_minimally_verbal","percentage_of_individual","autism_types_included","link_to_publication","cdc_calculated_values"
"Williams, E. et al.","Prevalence and characteristics of autistic spectrum disorders in the ALSPAC cohort","2008","England","Avon area in Southwest England","0 to 11","1991-2003","health records; education records","ICD-10; special education classification","14026","86","6.19","4.48 - 7.49","6.8",,,,,"81.9",,,,"14.7 (epilepsy); 33.8 (learning disability); 4.3 (CP)","ASD (childhood autism, atypical autism, Asperger syndrome, unspecified ASD)","https://www.ncbi.nlm.nih.gov/pubmed/18754916","none"
"Nicholas, et al.","Prevalence and Characteristics of Children with Autism-Spectrum Disorders","2008","USA","South Carolina","8","2000 & 2002","education records; health records","DSM-IV-TR; clinical interpretation","47726","295","6.2","5.6 - 7.0","3.1",,,,,"58","60",,,,"ASD (autistic disorder, Asperger syndrome, PDD-NOS)","https://www.sciencedirect.com/science/article/pii/S1047279707004632?via%3Dihub","none"
"Baron-Cohen, et al.","Prevalence of autism-spectrum conditions: UK school-based population study","2009","England","Cambridgeshire","5 to 9","2003-2004","education records; survey (unspecified)","ICD-10; autism test (ADOS, ADI-R) ; clinical interpretation","12197","116","15.7","9.9 - 24.6",,,,,,,,,,,"ASD (autism, Asperger syndrome, PDD-NOS, atypical autism)","https://www.ncbi.nlm.nih.gov/pubmed/19478287","number of cases"
"Autism and Developmental Disabilities Monitoring Network Surveillance Year 2006 Principal Investigators (CDC ADDM)","Prevalence of autism spectrum disorders - Autism and Developmental Disabilities Monitoring Network, United States, 2006","2009","USA","Alabama; Florida; Missouri; Pennsylvania; Wisconsin; Arizona; Colorado; Georgia; Maryland; North Carolina; South Carolina","8","2006","health records; education records","DSM-IV-TR; clinical interpretation","308038","2757","9.0","8.6 - 9.3","4.5",,,,,"50-66","41",,,,"autistic disorder, PDD-NOS (including atypical autism), Asperger syndrome","https://www.ncbi.nlm.nih.gov/pubmed/20023608/","none"
"Nicholas, et al.","Autism spectrum disorders in preschool-aged children: Prevalence and comparison to a school-aged population","2009","USA","South Carolina","4","2006","health records; education records; registry; service provider records","DSM-IV-TR","8156","65","8.0","6.1 - 9.9","4.7",,"1.5",,,"34","56",,,,"ASD (autistic disorder, PDD-NOS including atypical autism, Asperger syndrome)","https://www.ncbi.nlm.nih.gov/pubmed/19541501","IQ Score <70 (%)"
"Nassar, et al.","Autism spectrum disorders in young children: effect of changes in diagnostic practices","2009","Australia","Western Australia","2 to 8","2004","registry; service provider records; other (data from health records collected for a previous study)","DSM (not specified); clinical interpretation","419917","982","2.34","2.19 - 2.48",,,,,,,"56.2",,,,"ASD (autism, Asperger syndrome, PDD-NOS)","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3166636/","none"
"van Balkom, et al.","Prevalence of treated autism spectrum disorders in Aruba","2009","Caribbean","Aruba","0 to 13","1997-2003","health records","DSM-IV","13109","69","5.3","4.1 - 6.7",,,,,,,"42",,,,"ASD (autistic disorder, PDD-NOS, Rett, Asperger syndrome, childhood disintegrative disorder)","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3196319/","age range"
"Perera, et al,","Screening of 18-24-month-old children for autism in a semi-urban community in Sri Lanka","2009","Sri Lanka","A semi-urban community","1.5 to 2","2007","survey (in-person)","DSM-IV; clinical interpretation","374","4","10.7","4.17 - 27.17",,,,,,,,,,,"ASD (unspecified)","https://pubmed.ncbi.nlm.nih.gov/19401407/","CI"
"Kogan, et al.","Prevalence of parent-reported diagnosis of autism spectrum disorder among children in the US, 2007","2009","USA","Nationwide","3 to 17","2007","survey (phone)","parental report","77911","913","11.0","9.4 - 12.8","4.2","1.2","2",,,,,,,"32.75 (ADD/ADHD); 30.56 (anxiety); 12.16 (depression)","ASD (autism, Asperger syndrome, PDD, other ASD)","https://www.ncbi.nlm.nih.gov/pubmed/19805460","percent co-occurring conditions"
"Lazoff, et al.","Prevalence of pervasive developmental disorders among children at the English Montreal school board","2010","Canada","Montreal","6 to 17","2008","education records","special education classification","23635","187","7.91","6.78 - 9.04","5.4",,,,,,,,,,"PDD (autistic disorder, Asperger syndrome, PDD-NOS, childhood disintegrative disorder)","https://www.ncbi.nlm.nih.gov/pubmed/21070699","none"
"Posserud, et al.","The prevalence of autism spectrum disorders: impact of diagnostic instrument and non-response bias","2010","Norway","Bergen","7 to 9",,"survey (unspecified)","clinical interpretation; autism test (Kiddie-SADS, DISCO)","6609","14","8.7",,"7",,,,,,,,,,"ASD (autistic disorder, childhood autism, Asperger syndrome, PDD-NOS/atypical autism)","https://www.ncbi.nlm.nih.gov/pubmed/19551326","CI"
"Maenner, et al.","Trends in the prevalence of autism on the basis of special education data","2010","USA","Wisconsin",,"2002-2008","education records","special education classification","428030","3831","9","8.67 - 9.24",,,,,,,,,,,"autism","https://www.ncbi.nlm.nih.gov/pubmed/20974790","CI"
"Fernell, et al.","Autism spectrum disorder diagnoses in Stockholm preschoolers","2010","Sweden","Stockholm","6","2005-2008","health records; service provider records","DSM-IV; DSM-IV-TR","23566","147","6.2","5.2 - 7.2","5.1",,,,,,"35",,,"25 (ADHD); 7 (epilepsy); 0.7 (tuberous sclerosis); 0.7 (down syndrome); 24 (learning disability)","ASD (autistic disorder, Asperger syndrome, atypical autism, unspecified ASD)","https://www.ncbi.nlm.nih.gov/pubmed/20149593","IQ Score <70 (%)"
"Al-Farsi, et al.","Brief report: Prevalence of autistic disorders in the Sultate of Oman","2011","Oman","Nationwide","0 to 14","2009","health records","DSM-IV-TR","798913","113","0.14","0.12 - 0.17","3",,,,,,,,,,"ASD (not specified)","https://www.ncbi.nlm.nih.gov/pubmed/20809376","none"
"Boyle, et al.","Trends in the prevalence of developmental disabilities in US children, 1997-2008","2011","USA","Nationwide","3 to 17","1997-2008","other (government administraive data)","parental report",,"537","4.7",,"3.9","1.63","1.28",,,,,,,,"autism (not specified)","https://pubmed.ncbi.nlm.nih.gov/21606152/","sex ratio; non-hispanic white:hispanic and white:black autism prevalence ratio"
"King, et al.","Socioeconomic Status and the Increased Prevalence of Autism in California","2011","USA","California","6","2006","other (government administrative data); service provider records","ICD-9","4906926",,"4.9",,,,,,,"45.6",,,,,"ASD (not specified)","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3086778/","age range; mean diagnosis age (years to months)"
"Parner, et al.","A comparison of autism trends in Denmark and Western Australia","2011","Denmark","Nationwide","5 to 10","2004","registry","ICD-10","404816","2002","6.85","6.50 - 7.21","5",,,,,,,,,,"childhood autism, atypical autism, Asperger syndrome, other PDD, PDD-NOS","https://www.ncbi.nlm.nih.gov/pubmed/?term=A+comparison+of+autism+prevalence+trends+in+Denmark+and+Western+Australia","sex ratio"
"Parner, et al.","A comparison of autism trends in Denmark and Western Australia","2011","Australia","Western Australia","5 to 10","2004","registry","DSM-IV; DSM-IV-TR","152060","678","5.1","4.70 - 5.53","4.8",,,,,,,,,,"autistic disorder, Asperger syndrome, PDD-NOS (including atypical autism)","https://www.ncbi.nlm.nih.gov/pubmed/?term=A+comparison+of+autism+prevalence+trends+in+Denmark+and+Western+Australia","sex ratio"
"Chien, et al.","Prevalence and incidence of autism spectrum disorders among Prevalence and incidence of autism spectrum disorders among national health insurance enrollees in Taiwan from 1996 to 2005 health insurance enrollees in Taiwan from 1996 to 2005","2011","Taiwan","Nationwide","0 to 17","2005","other (government administrative data)","receipt of autism-specific services; ICD-9","229454","659","2.9","2.66 - 3.10",,,,,,,,,,,"ASD (infantile autism, disintegrative psychosis, other specified early childhood psychoses, unspecified psychoses with origin specific to childhood)","https://www.ncbi.nlm.nih.gov/pubmed/21460178","sample size; CI"
"Wingdham, et al.","Birth prevalence of autism spectrum disorders in the San Francisco Bay area by demographic and ascertainment source characteristics","2011","USA","San Francisco Bay Area","0 to 8","1994 & 1996","health records; service provider records","DSM-IV","80249","374","4.7","4.2 - 5.2","6.2","2.2","1.8",,,,,,,,"ASD (not specified)","https://www.ncbi.nlm.nih.gov/pubmed/21264681","none"
"Kim, et al.","Prevalence of autism spectrum disorders in total population sample","2011","South Korea","Ilsan district of Goyang City","7 to 12","2005-2009","survey (unspecified)","DSM-IV; autism test (ADOS, ADI-R); clinical interpretation","55266","201","26.4","19.1 - 33.7","3.4",,,,,,"37",,,,"ASD (PDD, autistic disorder, Asperger syndrome, PDD-NOS, Rett syndrome, childhood disintegrative disorder)","https://www.ncbi.nlm.nih.gov/pubmed/21558103","sex ratio; IQ Score <70 (%)"
"Paula, et al.","Brief report: prevalence of pervasive developmental disorder in Brazil: a pilot study","2011","Brazil","Atibaia","7 to 12",,"health records; education records","autism test (K-SADS, ADI-R); clinical interpretation","1470","4","2.72","1.76 - 3.68",,,,,,,,,,,"PDD (autistic disorder, childhood disintegrative disorder, PDD-NOS, Asperger syndrome)","https://www.ncbi.nlm.nih.gov/pubmed/21337063","none"
"Brugha, et al.","Epidemiology of autism spectrum disorders in adults in the community in England","2011","England","Nationwide","≥ 16","2007","survey (in-person)","autism test (ADOS-4)","7333","72","9.8","3.0 - 16.5",,,,,,,,,,,"ASD (not specified)","https://www.ncbi.nlm.nih.gov/pubmed/21536975","none"
"Mattila, et al.","Autism spectrum disorders according to DSM-IV-TR and comparison with DSM-5 draft criteria: an epidemiological study","2011","Finland","Northern Ostrobothnia","8",,"survey (unspecified)","autism test (ADR-R, ADOS); clinical interpretation; DSM-IV-TR","4422","37","8.4","6.1 - 11.5","1.8",,,,,,"35",,,,"ASD (not specified)","https://www.ncbi.nlm.nih.gov/pubmed/21621142","none"
"Pinborough-Zimmerman, et al.","Changes in administrative prevalence of autism spectrum disorders: contribution of special education from 2002-2008","2012","USA","Utah","8","2002-2008","health records; education records","special education classification; ICD-9","33757","432","13","11.8 - 14.2","4",,,,,,,,,,"ASD (not specified)","https://www.ncbi.nlm.nih.gov/pubmed/21538173","none"
"Lopez, et al.","The Arkansas Autism Developmental Disabilities Monitoring (AR ADDM) project: statewide autism surveillance in a rural state","2012","USA","Arkansas","8","2002","health records; education records","DSM-IV-TR; clinical interpretation","36472","252","6.9","6.1 - 7.8","3.7","2.6","1.3",,,,,,,,"ASD (autism, Asperger syndrome, PDD-NOS)","https://pubmed.ncbi.nlm.nih.gov/22479981/","none"
"Kočovská, et al.","The rising prevalence of autism: A perspective longitudinal study in the Faroe Islands","2012","Denmark","Faroe Islands","15 to 24","2009","survey (unspecified)","autism test (DISCO-11, ADOS); ICD-10; DSM-IV; other (Gillberg criteria); clinical interpretation","7128","67","9.4","7.3 - 11.9","2.7",,,,,,,,,,"childhood autism/autistic disorder, atypical autism/PDD-NOS, Asperger's disorder","https://www.ncbi.nlm.nih.gov/pubmed/22271195","none"
"Autism and Developmental Disabilities Monitoring Network Surveillance Year 2008 Principal Investigators (CDC ADDM)","Prevalence of autism spectrum disorders--Autism and developmental disabilities monitoring network, 14 sites, United States, 2008","2012","USA","Alabama; Arizona; Arkansas; Colorado; Florida; Maryland; Missouri; New Jersey; North Carolina; Pennsylvania; South Carolina; Utah; West Virginia; Wisconsin","8","2008","health records; education records","DSM-IV-TR","337093","3820","11.3","11.0 - 11.7",,"1.5","1.2",,,"53","38",,,,"ASD (autistic disorder, PDD-NOS/aytpical autism, Asperger syndrome)","https://www.ncbi.nlm.nih.gov/pubmed/22456193","none"
"Surén, et al.","Autism spectrum disorder, ADHD, epilepsy, and cerebral palsy in Norwegian children","2012","Norway","Nationwide","0 to 11","2010","registry","ICD-10","731318","2352","3.22","3.09 - 3.35","4.3",,,,,,,,,"17.3 (ADHD); 11.2 (epilepsy)","ASD (not specified)","https://pubmed.ncbi.nlm.nih.gov/22711729/","sex ratio; prevalence estimate; CI"
"Samadi, et al.","A national study of the prevalence of autism among five-year-old children in Iran","2012","Iran","Nationwide","5","2006-2009","education records","autism test (ADI-R)","1320000","826","0.63","0.58 - 0.67","4",,,,,,,,,,"ASD (autistic disorder)","https://www.ncbi.nlm.nih.gov/pubmed/21610190","CI"
"Isaksen, et al.","Observed prevalence of autism spectrum disorders in two Norwegian counties","2012","Norway","Oppland; Hedmark","6 to 12",,"education records; health records","autism test (ADI-R, ADOS-G); clinical interpretation","31015","158","5.1","4.3 - 5.9","4.27",,,,,,,,,,"ASD (childhood autism, atypical autism, Asperger syndrome)","https://www.ncbi.nlm.nih.gov/pubmed/22342070","none"
"Indring, et al.","Autism spectrum disorders in the Stockholm youth cohort: Design, prevalence, and validity","2012","Sweden","Stockholm County","0 to 17","2007","registry","ICD-9; ICD-10; DSM-IV; receipt of autism specific services","444154","5100","11.5","11.2 - 11.8","2.6",,,"12-228",,"96","43",,,,"ASD (not specified)","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3401114/","diagnosis median age and age range (years to months)"
"Lai, et al.","Gender and geographic differences in the prevalence of autism spectrum disorders in children: analysis of data from the national disability registry of Taiwan","2012","Taiwan","Nationwide","6 to 11","2010","registry","DSM-IV-TR; clinical interpretation","1538830","3893","2.53","2.45 - 2.61","6.6",,,,,,,,,,"ASD (not specified)","https://pubmed.ncbi.nlm.nih.gov/22245733/","CI"
"Nygren, et al.","The prevalence of autism spectrum disorders in toddlers: A population study of 2-year-old Swedish children","2012","Sweden","Gothenburg","2","2010","health records","DSM-IV-TR","6220","40","6.4","4.6 - 8.7","4",,,,,,,,,,"ASD (autism, atypical autism)","https://www.ncbi.nlm.nih.gov/pubmed/22048962","none"
"Pedersen, et al.","Prevalence of autism spectrum disorders in Hispanic and non-Hispanic white children","2012","USA","Arizona","8","2006","health  records; education records","DSM-IV-TR; clinician interpretation","41647","504","15","13.4 - 16.8",,"1.9",,,,,,,,,"ASD (not specified)","https://pubmed.ncbi.nlm.nih.gov/22351889/","none"
"Schieve, et al.","Parent-reported prevalence of autism spectrum disorders in US-born children: an assessment of changes within birth cohorts from the 2003 to the 2007 National Survey of Children's Health","2012","USA","Nationwide","7 to 17","2007","parental report","survey (phone)","56728",,"18.9",,,,,,,,,,,,"ASD (autism, Asperger syndrome, PDD, other autism spectrum disorder)","https://pubmed.ncbi.nlm.nih.gov/22476793/","none"
"Al-Ansari, et al.","Epidemiology of autistic disorder in Bahrain: prevalence and obstetric and familial characteristics","2013","Bahrain",,"2 to 27","2005","health records","clinical interpretation",,,"0.43",,"4",,,,,,,,"38",,"ASD (not specified)","https://pubmed.ncbi.nlm.nih.gov/24313037/","none"
"Davidovitch, et al.","Prevalence and incidence of autism spectrum disorder in an Israeli population","2013","Israel",,"1 to 12","2010","health records","DSM-IV; clinical interpretation","423524","2034","4.8","4.59 - 5.01","5.2",,,,"63.5",,,,,,"ASD (autistic disorder, Asperger syndrome, PDD-NOS)","https://www.ncbi.nlm.nih.gov/pubmed/22836322","none"
"Lai, et al.","Trends in the prevalence of childhood disability: analysis of data from the national disability registry of Taiwan, 2000-2011","2013","Taiwan","Nationwide","3 to 17","2011","registry","DSM-IV; DSM-IV-TR; clinical interpretation","3917643","8671","2.21","2.17 - 2.26",,,,,,,,,,,"ASD (not specified)","https://pubmed.ncbi.nlm.nih.gov/24021391/","CI"
"Saemunds, et al.","Prevalence of autism spectrum disorders in Icelandic birth cohort","2013","Iceland",,"11 to 15","2005-2009","service provider records","autism test (ADI-R, ADOS); clinical interpretation","22229","267","12","10.7 - 13.5","2.8",,,,,,"45",,,"7.1 (epilepsy)","ASD (childhood autism, Asperger syndrome)","https://www.ncbi.nlm.nih.gov/pubmed/23788511","IQ Score <70 (%)"
"Surén, et al.","Differences across counties in the registered prevalence of autism, ADHD, epilepsy and cerebral palsy in Norway","2013","Norway","Nationwide","0 to 12","2008-2011","registry","ICD-10","797356","3101","6",,"4.5",,,,,,,,,,"PDD","https://pubmed.ncbi.nlm.nih.gov/24084968/","case number"
"Taylor, et al.","Prevalence and incidence rates of autism in the UK: Time trend from 2004-2010 in children aged 8 years","2013","United Kingdom","Nationwide","8","2004-2010","health records","other (specialist reports from multidisiplinary diagnostic teams)","256278","616","2.4","2.22 - 2.60","5.1",,,,,,,,,,"ASD (not specified)","https://www.ncbi.nlm.nih.gov/pubmed/24131525","number of cases; sample size; prevalence estimate; CI"
"Blumberg, et al.","Changes in prevalence of parent-reported autism spectrum disorder in school-aged U.S. children: 2007 to 2011-2012","2013","USA","Nationwide","6 to 17","2011-2012","survey (phone)","parental report","65556","1393","20",,,,,,,,,,,,"ASD (not specified)","https://www.ncbi.nlm.nih.gov/pubmed/24988818","none"
"Autism and Developmental Disabilities Monitoring Network Surveillance Year 2010 Principal Investigators (CDC ADDM)","Prevalence of autism spectrum disorder among children aged 8 years - Autism and developmental disabilities monitoring network, 11 sites, United States, 2010","2014","USA","Alabama; Arizona; Arkansas; Colorado; Georgia; Maryland; Missouri; New Jersey; North Carolina; Utah; Wisconsin","8","2010","health records; education records","DSM-IV-TR","363749","5338","14.7","14.3 - 15.1","4.5","1.5","1.3",,,,"31",,,,"ASD (autistic disorder, PDD-NOS/atypical autism, PDD-NOS, Asperger syndrome)","https://www.ncbi.nlm.nih.gov/pubmed/24670961","none"
"Huang, et al.","Prevalence and early signs of autism spectrum disorder (ASD) among 18-36 month-old children of Tianjin in China","2014","China","Tianjin","1.5 to 3","2009-2011","survey (in-person)","DSM-IV","8000","22","2.75","1.6 - 3.9","4.5",,,,,,,,"72.7",,"ASD (not specified)","https://pubmed.ncbi.nlm.nih.gov/24961855/","sex ratio; study years"
"Kim, et al.","A comparison of DSM-IV pervasive developmental disorder and DSM-5 autism spectrum disorder prevalence in an epidemiologic sample","2014","South Korea","South Korea","7 to 12","2005-2006","survey (unspecified); registry","DSM-IV; DSM-5; clinical interpretation",,,"22","17.7 - 26.4",,,,,,,,,,,"ASD (not specified)","https://pubmed.ncbi.nlm.nih.gov/24745950/","study years"
"Ouellette-Kuntz, et al.","The changing prevalence of autism in three regions of Canada","2014","Canada","Newfoundland; Labrador; Prince Edward Island; Southeastern Ontario","2 to 14","2003-2010","health records; education records; service provider records","receipt of autism specific services","156569","1636","10.45","9.96 - 10.96",,,,"13-143 (newfoundland & Labrador); 19-164 (Prince Edward Island); 18-172 (Southeastern Ontario)",,"41 (Newfoundland & Labrador); 55 (Prince Edward Island); 56 (SE Ontario)",,,,,"autism (autistic disorder, Asperger syndrome)","https://www.ncbi.nlm.nih.gov/pubmed/23771514","sample size; number of cases; prevalence estimate; CI"
"Kakooza-Mwesige, et al.","Adaptation of the ""ten questions"" to screen for autism and other neurodevelopmental disorders in Uganda","2014","Uganda","Kampala District; Wakiso District","2 to 9","2010-2011","survey (in-person)","DSM-IV-TR","1169","8","12",,,,,,,,,,,,"ASD (not specified)","https://www.ncbi.nlm.nih.gov/pubmed/23536263","none"
"Russell, et al.","Prevalence of parent-reported ASD and ADHD in the UK: findings from the Millennium Cohort Study","2014","United Kindgom","England; Scotland; Wales; Northern Ireland","7","2008-2009","survey (unspecified)","parental report","14043","209","17","14.0 - 20.0","5",,,,,,,,,"19.9 (ADHD)","ASD (autism spectrum disorder, autistic disorder, Asperger syndrome)","https://pubmed.ncbi.nlm.nih.gov/23719853/#:~:text=1.7%20%25%20of%20children%20were%20reported,%25%20CI%200.2%2D0.5).","none"
"Zahorodny, et al.","Increasing autism prevalence in metropolitan New Jersey","2014","USA","New Jersey","8","2006","health records; education records","DSM-IV-TR; clinical interpretation","30570","533","17.4","15.9 - 18.9","5","2.66","2.66","9-102",,"48",,,,,"ASD (autism spectrum disorder, autistic disorder, Asperger syndrome, PDD-NOS)","https://pubmed.ncbi.nlm.nih.gov/23203404/","none"
"Sun, et al.","Parental concerns, socioeconomic status, and the risk of autism spectrum conditions in a population-based study","2014","United Kindgon","Cambridgeshire","5 to 9","2003-2004","survey (mail); education records","ICD-10; autism test (ADI-R, ADOS); clinical interpretation","3404","46","14","10.1 - 18.0","3.2",,,,,,,,,,"Autistic Spectrum Conditions (classic autism, Asperger syndrome, and PDD-NOS)","https://www.sciencedirect.com/science/article/pii/S0891422214003138","CI"
"Zablotsky, et al.","Estimated prevalence of autism and other developmental disabilities following questionnaire changes in the 2014 natiol health interview survey","2015","USA","Nationwide","3 to 17","2014","survey (in-person, phone)","parental report","13000",,"22.4",,,,,,,,,,,,"ASD (autism)","https://www.ncbi.nlm.nih.gov/pubmed/26632847","none"
"Atladottir, et al.","The increasing prevalence of reported diagnoses of childhood psychiatric disorders: a descriptive multinational comparison","2015","Denmark","Nationwide","0 to 21","2011","registry","ICD-8; ICD-10","1191012","13567","11.4","11.20 - 11.58",,,,,,,,,,,"ASD, childhood autism","https://pubmed.ncbi.nlm.nih.gov/24796725/","prevalence estimate; CI; age range"
"Atladottir, et al.","The increasing prevalence of reported diagnoses of childhood psychiatric disorders: a descriptive multinational comparison","2015","Finland","Nationwide","0 to 21","2011","registry","ICD-9; ICD-10","1079796","8088","7.5","7.32 - 7.65",,,,,,,,,,,"ASD, childhood autism","https://pubmed.ncbi.nlm.nih.gov/24796725/","prevalence estimate; CI; age range"
"Atladottir, et al.","The increasing prevalence of reported diagnoses of childhood psychiatric disorders: a descriptive multinational comparison","2015","Sweden","Nationwide","0 to 19","2011","registry","ICD-9; ICD-10","1797704","11887","6.6","6.49 - 6.73",,,,,,,,,,,"ASD, childhood autism","https://pubmed.ncbi.nlm.nih.gov/24796725/","prevalence estimate; CI; age range"
"Atladottir, et al.","The increasing prevalence of reported diagnoses of childhood psychiatric disorders: a descriptive multinational comparison","2015","Australia","Western Australia","0 to 20","2011","medical records; service provider records","ICD-9; ICD-10; DSM-IV","465724","2321","5","4.79 - 5.19",,,,,,,,,,,"ASD, childhood autism","https://pubmed.ncbi.nlm.nih.gov/24796725/","prevalence estimate; CI; age range"
"Delobel-Ayoub, et al.","Socioeconomic Disparities and Prevalence of Autism Spectrum Disorders and Intellectual Disability","2015","France","Haute-Garonne","8","2003-2012","registry","ICD-10",,"500","3.6","3.3 - 3.9","4.2",,,,,,"51.2",,,,"ASD (not specified)","https://pubmed.ncbi.nlm.nih.gov/26540408/","none"
"Idring, et al.","Changes in prevalence of autism spectrum disorders in 2001-2011: findings from the Stockholm youth cohort","2015","Sweden","Stockholm County","0 to 27","2011","registry","DSM-IV; ICD-9; ICD-10; receipt of autism-specific services","735096","11330","15.4","15.1 - 15. 7","2.4",,,,,,"25.6",,,,"ASD (not specified)","https://pubmed.ncbi.nlm.nih.gov/25475364/#:~:text=The%20corresponding%20proportion%20of%20cases,children%20aged%202%2D17%20years.","sex ratio; IQ score"
"Lundström, et al.","Autism phenotype versus registered diagnosis in Swedish children: prevalence trends over 10 years in general population samples","2015","Sweden","Nationwide",,,"registry","ICD-9; ICD-10","1078975","4620","4.2","4.16 - 4.41",,,,,,,,,,,"ASD (not specified)","https://pubmed.ncbi.nlm.nih.gov/25922345/","CI"
"Pelly, et al.","Incidence and cohort prevalence for autism spectrum disorders in the Avalon Peninsula, Newfoundland and Labrador","2015","Canada","Newfoundland; Labrador","4","2013","health records","DSM-IV-TR; clinical interpretation","2668","58","21.6","16.85 - 28.0",,,,,,,,,,,"ASD (autism spectrum disorder, autistic disorder, Asperger syndrome, PDD-NOS)","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4593414/","CI"
"Sun, et al.","Exploring the Underdiagnosis and Prevalence of Autism Spectrum Conditions in Beijing","2015","China","Xicheng Districy, Beijing","6 to 11",,"survey (mail)","autism test (ADOS, ADI-R); clinical interpretation","737","6","11.9","5.3 - 26.5",,,,,,,,,,,"autism spectrum conditions (ASC)","https://pubmed.ncbi.nlm.nih.gov/25952676/","none"
"van Bakel, et al.","Low but increasing prevalence of autism spectrum disorders in a French area from register-based data","2015","France","Haute-Garonne; Isere; Savoy; Upper-Savoy counties","7","1997-2003","registry","clinical interpretation","307751","1123","3.65","3.44 - 3.87","4.1",,,,,,"47",,,"4.7 (epilepsy); 0.8 (fragile X); <0.5 (tuberous sclerosis)","childhood autism, Asperger syndrome, and other ASDs (excluding Rett syndrome)","https://www.ncbi.nlm.nih.gov/pubmed/26048041","none"
"Van Naarden Braun, et al.","Trends in the prevalence of autism spectrum disorder, cerebral palsy, hearing loss, intellectual disability, and vision impairment, metropolitan atlanta, 1991-2010","2015","USA","Atlanta, GA","8","2010","health records; education records","DSM-IV-TR; clinical interpretation",,"752","15.5",,"4.6","1.7","1.3",,,,"35.7",,,,"ASD (not specified)","https://pubmed.ncbi.nlm.nih.gov/25923140/","none"
"Dekkers, et al.","Prevalence of autism spectrum disorders in Ecuador: A pilot study in Quito","2015","Ecuador","Quito","5 to 15",,"survey (in-person)","DSM-III; DSM-IV-TR; clinical interpretation","51453","57","1.1","0.86 - 1.43","4.7",,,,,,,,,,"ASD (classical autism, Aperger syndrome, PDD-NOS, childhood disintergrative disorder, Rett syndrome)","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4653240/","CI"
"Quinlan, et al.","Parental Age and Autism Spectrum Disorders Among New York City Children 0-36 Months of Age","2015","USA","New York City, NY",,,"registry ;other (government administrative data); education records","clinical interpretation","113364","493","4.3","4.0 - 4.8",,,,,,,,,,,"ASD (not specified)","https://pubmed.ncbi.nlm.nih.gov/25776271/","none"
"Samadi, et al.","Screening for Autism in Iranian Preschoolers: Contrasting M-CHAT and a Scale Developed in Iran","2015","Iran","Mahabad","2 to 5",,"survey (in-person; online)","autism test (ADI-R, ADOS)","2941","28","9.52","6.6 - 13.7",,,,,,,,,,,"ASD (not specified)","https://pubmed.ncbi.nlm.nih.gov/25911978/","none"
"Bakare, et al.","Neurodevelopmental delay among children under the age of three years at immunization clinics in Lagos State, Nigeria - Preliminary report","2016","Nigeria","Lagos State","0 to 3",,"survey (in-person)","ICD-10","3011","4","1.33","0.52 - 3.41",,,,,,,,,,,"autism spectrum disorder trait","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4850395/","CI"
"Boilson, et al.","Operationalisation of the European Protocol for Autism Prevalence (EPAP) for Autism Spectrum Disorder Prevalence Measurement in Ireland","2016","Ireland","Galway City; Waterford City; Cork","6 to 11",,"survey (mail)","DSM-IV-TR; clinical interpretation","5589","63","10","8.8 - 14.4",,,,,,,,,,,"autism, Asperger syndrome, Rett syndrone, childhood disintegrative disorder, PDD-NOS","https://pubmed.ncbi.nlm.nih.gov/27364514/","CI"
"Bourke, et al.","Population-Based Prevalence of Intellectual Disability and Autism Spectrum Disorders in Western Australia: A Comparison With Previous Estimates","2016","Australia","Western Australia","0 to 27","2010","registry; service provider records","DSM (not specified)",,"2307","4.1",,"4.1",,,,,,"70.7",,,,"ASD (not specified)","https://pubmed.ncbi.nlm.nih.gov/27227936/","age range"
"Chaaya, et al.","Prevalence of Autism Spectrum Disorder in Nurseries in Lebanon: A Cross Sectional Study","2016","Lebanon","Beirut; Mount-Lebanon","1.3 to 4",,"survey (in-person)","other (child fails 3 or more items in M-CHAT questionnaire)","998","263","15.3","7.7 - 22.9","1.2",,,,,,,,,,"ASD (not specified)","https://pubmed.ncbi.nlm.nih.gov/26362151/","none"
"Christensen, et al. (CDC ADDM)","Prevalence and characteristics of autism apectrum disorder among 4-year-old children in the Autism and Developmental Disabilities Monitoring Network","2016","USA","Arizona; Missouri; New Jersey; Utah; Wisconsin","4","2010","education records; health records","DSM-IV-TR; clinical interpretation","58467","783","13.4","12.5 - 14.4","3.5","0.9","1.2",,,"32","46",,,,"ASD (autistic disorder, Asperger syndrome, PDD-NOS)","https://www.ncbi.nlm.nih.gov/pubmed/26651088","none"
