"indicator","panel","panel_num","unit","unit_num","stub_name","stub_name_num","stub_label_num","stub_label","year","year_num","age","age_num","estimate","se","flag"
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Percent of poverty level","5","5.4","400% or more","2005-2008","5","2-19 years","0","11.6","1.4",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Percent of poverty level","5","5.4","400% or more","2007-2010","6","2-19 years","0","11.9","1.3",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Percent of poverty level","5","5.4","400% or more","2009-2012","7","2-19 years","0","11.5","1.3",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Percent of poverty level","5","5.4","400% or more","2011-2014","8","2-19 years","0","11.4","1.7",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Percent of poverty level","5","5.4","400% or more","2013-2016","9","2-19 years","0","12.2","1.8",
"Obesity among children and adolescents aged 2-19 years","2-19 years","1","Percent of population, crude","1","Percent of poverty level","5","5.4","400% or more","2015-2018","10","2-19 years","0","10.6","1.5",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex","1","1.1","Male","1988-1994","1","2-5 years","0.1","6.2","0.8",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex","1","1.1","Male","1999-2002","2","2-5 years","0.1","10","1.6",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex","1","1.1","Male","2001-2004","3","2-5 years","0.1","13.1","1.5",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex","1","1.1","Male","2003-2006","4","2-5 years","0.1","12.8","1.2",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex","1","1.1","Male","2005-2008","5","2-5 years","0.1","9.8","1.1",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex","1","1.1","Male","2007-2010","6","2-5 years","0.1","11.9","1.2",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex","1","1.1","Male","2009-2012","7","2-5 years","0.1","12","1.3",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex","1","1.1","Male","2011-2014","8","2-5 years","0.1","9.2","1.4",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex","1","1.1","Male","2013-2016","9","2-5 years","0.1","11.5","1.2",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex","1","1.1","Male","2015-2018","10","2-5 years","0.1","14.5","1.1",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex","1","1.2","Female","1988-1994","1","2-5 years","0.1","8.2","1",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex","1","1.2","Female","1999-2002","2","2-5 years","0.1","10.6","1.5",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex","1","1.2","Female","2001-2004","3","2-5 years","0.1","11.7","1.6",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex","1","1.2","Female","2003-2006","4","2-5 years","0.1","12.2","1.4",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex","1","1.2","Female","2005-2008","5","2-5 years","0.1","11.2","1.2",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex","1","1.2","Female","2007-2010","6","2-5 years","0.1","10.2","1.3",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex","1","1.2","Female","2009-2012","7","2-5 years","0.1","8.4","1.4",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex","1","1.2","Female","2011-2014","8","2-5 years","0.1","8.6","1.3",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex","1","1.2","Female","2013-2016","9","2-5 years","0.1","11.7","1.1",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex","1","1.2","Female","2015-2018","10","2-5 years","0.1","12.9","1.1",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Age","2","2.1","2-5 years","1988-1994","1","2-5 years","0.1","7.2","0.7",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Age","2","2.1","2-5 years","1999-2002","2","2-5 years","0.1","10.3","1.2",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Age","2","2.1","2-5 years","2001-2004","3","2-5 years","0.1","12.4","1.2",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Age","2","2.1","2-5 years","2003-2006","4","2-5 years","0.1","12.5","1",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Age","2","2.1","2-5 years","2005-2008","5","2-5 years","0.1","10.5","0.9",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Age","2","2.1","2-5 years","2007-2010","6","2-5 years","0.1","11.1","0.8",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Age","2","2.1","2-5 years","2009-2012","7","2-5 years","0.1","10.2","0.9",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Age","2","2.1","2-5 years","2011-2014","8","2-5 years","0.1","8.9","0.9",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Age","2","2.1","2-5 years","2013-2016","9","2-5 years","0.1","11.6","0.9",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Age","2","2.1","2-5 years","2015-2018","10","2-5 years","0.1","13.7","0.9",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.11","Not Hispanic or Latino: White only","1988-1994","1","2-5 years","0.1","5.2","0.8",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.11","Not Hispanic or Latino: White only","1999-2002","2","2-5 years","0.1","8.7","1.5",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.11","Not Hispanic or Latino: White only","2001-2004","3","2-5 years","0.1","10.2","1.7",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.11","Not Hispanic or Latino: White only","2003-2006","4","2-5 years","0.1","10.8","1.6",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.11","Not Hispanic or Latino: White only","2005-2008","5","2-5 years","0.1","9.3","1.3",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.11","Not Hispanic or Latino: White only","2007-2010","6","2-5 years","0.1","9","1.3",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.11","Not Hispanic or Latino: White only","2009-2012","7","2-5 years","0.1","6.4","1.2",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.11","Not Hispanic or Latino: White only","2011-2014","8","2-5 years","0.1","5.2","1.2","*"
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.11","Not Hispanic or Latino: White only","2013-2016","9","2-5 years","0.1","9.9","1.7",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.11","Not Hispanic or Latino: White only","2015-2018","10","2-5 years","0.1","12.4","1.4",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.12","Not Hispanic or Latino: Black or African American only","1988-1994","1","2-5 years","0.1","7.8","0.7",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.12","Not Hispanic or Latino: Black or African American only","1999-2002","2","2-5 years","0.1","8.8","1.5",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.12","Not Hispanic or Latino: Black or African American only","2001-2004","3","2-5 years","0.1","11","1.3",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.12","Not Hispanic or Latino: Black or African American only","2003-2006","4","2-5 years","0.1","14.9","1.3",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.12","Not Hispanic or Latino: Black or African American only","2005-2008","5","2-5 years","0.1","14","1.5",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.12","Not Hispanic or Latino: Black or African American only","2007-2010","6","2-5 years","0.1","15","2.1",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.12","Not Hispanic or Latino: Black or African American only","2009-2012","7","2-5 years","0.1","14.7","2",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.12","Not Hispanic or Latino: Black or African American only","2011-2014","8","2-5 years","0.1","10.4","1.5",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.12","Not Hispanic or Latino: Black or African American only","2013-2016","9","2-5 years","0.1","11.6","2.2",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.12","Not Hispanic or Latino: Black or African American only","2015-2018","10","2-5 years","0.1","12.5","2.3",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.13","Not Hispanic or Latino: Asian only","1988-1994","1","2-5 years","0.1",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.13","Not Hispanic or Latino: Asian only","1999-2002","2","2-5 years","0.1",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.13","Not Hispanic or Latino: Asian only","2001-2004","3","2-5 years","0.1",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.13","Not Hispanic or Latino: Asian only","2003-2006","4","2-5 years","0.1",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.13","Not Hispanic or Latino: Asian only","2005-2008","5","2-5 years","0.1",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.13","Not Hispanic or Latino: Asian only","2007-2010","6","2-5 years","0.1",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.13","Not Hispanic or Latino: Asian only","2009-2012","7","2-5 years","0.1",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.13","Not Hispanic or Latino: Asian only","2011-2014","8","2-5 years","0.1",,,"*"
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.13","Not Hispanic or Latino: Asian only","2013-2016","9","2-5 years","0.1",,,"*"
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.13","Not Hispanic or Latino: Asian only","2015-2018","10","2-5 years","0.1",,,"*"
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.21","Hispanic or Latino: All races","1988-1994","1","2-5 years","0.1",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.21","Hispanic or Latino: All races","1999-2002","2","2-5 years","0.1",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.21","Hispanic or Latino: All races","2001-2004","3","2-5 years","0.1",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.21","Hispanic or Latino: All races","2003-2006","4","2-5 years","0.1",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.21","Hispanic or Latino: All races","2005-2008","5","2-5 years","0.1",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.21","Hispanic or Latino: All races","2007-2010","6","2-5 years","0.1","15.3","1.3",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.21","Hispanic or Latino: All races","2009-2012","7","2-5 years","0.1","16.5","1.5",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.21","Hispanic or Latino: All races","2011-2014","8","2-5 years","0.1","15.6","1.6",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.21","Hispanic or Latino: All races","2013-2016","9","2-5 years","0.1","16.5","1.5",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.21","Hispanic or Latino: All races","2015-2018","10","2-5 years","0.1","19.3","2.3",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.22","Hispanic or Latino: Mexican: All races","1988-1994","1","2-5 years","0.1","12.3","1.1",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.22","Hispanic or Latino: Mexican: All races","1999-2002","2","2-5 years","0.1","13.1","2",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.22","Hispanic or Latino: Mexican: All races","2001-2004","3","2-5 years","0.1","17.7","2.9",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.22","Hispanic or Latino: Mexican: All races","2003-2006","4","2-5 years","0.1","16.7","2.3",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.22","Hispanic or Latino: Mexican: All races","2005-2008","5","2-5 years","0.1","14.1","1.5",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.22","Hispanic or Latino: Mexican: All races","2007-2010","6","2-5 years","0.1","14.6","1.5",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.22","Hispanic or Latino: Mexican: All races","2009-2012","7","2-5 years","0.1","15.7","2",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.22","Hispanic or Latino: Mexican: All races","2011-2014","8","2-5 years","0.1","15.3","2.1",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.22","Hispanic or Latino: Mexican: All races","2013-2016","9","2-5 years","0.1","15.1","1.4",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Race and Hispanic origin","3","3.22","Hispanic or Latino: Mexican: All races","2015-2018","10","2-5 years","0.1","17.3","2.8",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4",,"Male: Not Hispanic or Latino: Black or African America","1988-1994","1","2-5 years","0.1","7.9","1.1",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4",,"Male: Not Hispanic or Latino: Black or African America","1999-2002","2","2-5 years","0.1","8","1.8","*"
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4",,"Male: Not Hispanic or Latino: Black or African America","2001-2004","3","2-5 years","0.1","9.7","1.8",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4",,"Male: Not Hispanic or Latino: Black or African America","2003-2006","4","2-5 years","0.1","13.3","2.5",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4",,"Male: Not Hispanic or Latino: Black or African America","2005-2008","5","2-5 years","0.1","13.7","2.5",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4",,"Male: Not Hispanic or Latino: Black or African America","2007-2010","6","2-5 years","0.1","15.7","3",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4",,"Male: Not Hispanic or Latino: Black or African America","2009-2012","7","2-5 years","0.1","14.3","3.2","*"
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4",,"Male: Not Hispanic or Latino: Black or African America","2011-2014","8","2-5 years","0.1","9","2.3","*"
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4",,"Male: Not Hispanic or Latino: Black or African America","2013-2016","9","2-5 years","0.1","12.4","2.8",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4",,"Male: Not Hispanic or Latino: Black or African America","2015-2018","10","2-5 years","0.1","12.4","3.1",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.111","Male: Not Hispanic or Latino: White only","1988-1994","1","2-5 years","0.1","4.5","1.1","*"
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.111","Male: Not Hispanic or Latino: White only","1999-2002","2","2-5 years","0.1","8.2","1.9","*"
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.111","Male: Not Hispanic or Latino: White only","2001-2004","3","2-5 years","0.1","11.5","2.3","*"
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.111","Male: Not Hispanic or Latino: White only","2003-2006","4","2-5 years","0.1","11.1","2.2",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.111","Male: Not Hispanic or Latino: White only","2005-2008","5","2-5 years","0.1","7.4","1.7","*"
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.111","Male: Not Hispanic or Latino: White only","2007-2010","6","2-5 years","0.1","8.8","1.6",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.111","Male: Not Hispanic or Latino: White only","2009-2012","7","2-5 years","0.1","9.3","2","*"
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.111","Male: Not Hispanic or Latino: White only","2011-2014","8","2-5 years","0.1",,,"*"
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.111","Male: Not Hispanic or Latino: White only","2013-2016","9","2-5 years","0.1","9.3","2",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.111","Male: Not Hispanic or Latino: White only","2015-2018","10","2-5 years","0.1","12.4","1.8",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.113","Male: Not Hispanic or Latino: Asian only","1988-1994","1","2-5 years","0.1",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.113","Male: Not Hispanic or Latino: Asian only","1999-2002","2","2-5 years","0.1",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.113","Male: Not Hispanic or Latino: Asian only","2001-2004","3","2-5 years","0.1",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.113","Male: Not Hispanic or Latino: Asian only","2003-2006","4","2-5 years","0.1",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.113","Male: Not Hispanic or Latino: Asian only","2005-2008","5","2-5 years","0.1",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.113","Male: Not Hispanic or Latino: Asian only","2007-2010","6","2-5 years","0.1",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.113","Male: Not Hispanic or Latino: Asian only","2009-2012","7","2-5 years","0.1",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.113","Male: Not Hispanic or Latino: Asian only","2011-2014","8","2-5 years","0.1",,,"*"
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.113","Male: Not Hispanic or Latino: Asian only","2013-2016","9","2-5 years","0.1",,,"*"
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.113","Male: Not Hispanic or Latino: Asian only","2015-2018","10","2-5 years","0.1",,,"*"
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.121","Male: Hispanic or Latino: All races","1988-1994","1","2-5 years","0.1",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.121","Male: Hispanic or Latino: All races","1999-2002","2","2-5 years","0.1",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.121","Male: Hispanic or Latino: All races","2001-2004","3","2-5 years","0.1",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.121","Male: Hispanic or Latino: All races","2003-2006","4","2-5 years","0.1",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.121","Male: Hispanic or Latino: All races","2005-2008","5","2-5 years","0.1",,,"-"
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.121","Male: Hispanic or Latino: All races","2007-2010","6","2-5 years","0.1","17.7","1.6",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.121","Male: Hispanic or Latino: All races","2009-2012","7","2-5 years","0.1","17.9","2.1",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.121","Male: Hispanic or Latino: All races","2011-2014","8","2-5 years","0.1","16.7","2.4",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.121","Male: Hispanic or Latino: All races","2013-2016","9","2-5 years","0.1","16.7","2.6",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.121","Male: Hispanic or Latino: All races","2015-2018","10","2-5 years","0.1","22.3","3.4",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.122","Male: Hispanic or Latino: Mexican: All races","1988-1994","1","2-5 years","0.1","12.4","1.4",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.122","Male: Hispanic or Latino: Mexican: All races","1999-2002","2","2-5 years","0.1","14.1","2.1",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.122","Male: Hispanic or Latino: Mexican: All races","2001-2004","3","2-5 years","0.1","19.8","3.3",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.122","Male: Hispanic or Latino: Mexican: All races","2003-2006","4","2-5 years","0.1","18.8","2.8",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.122","Male: Hispanic or Latino: Mexican: All races","2005-2008","5","2-5 years","0.1","17.1","1.9",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.122","Male: Hispanic or Latino: Mexican: All races","2007-2010","6","2-5 years","0.1","19.1","1.8",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.122","Male: Hispanic or Latino: Mexican: All races","2009-2012","7","2-5 years","0.1","17.6","2.7",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.122","Male: Hispanic or Latino: Mexican: All races","2011-2014","8","2-5 years","0.1","14.5","3","*"
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.122","Male: Hispanic or Latino: Mexican: All races","2013-2016","9","2-5 years","0.1","13.1","2.9",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.122","Male: Hispanic or Latino: Mexican: All races","2015-2018","10","2-5 years","0.1","19.2","4.5",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.211","Female: Not Hispanic or Latino: White only","1988-1994","1","2-5 years","0.1","5.9","1",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.211","Female: Not Hispanic or Latino: White only","1999-2002","2","2-5 years","0.1","9","2","*"
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.211","Female: Not Hispanic or Latino: White only","2001-2004","3","2-5 years","0.1","9.1","2","*"
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.211","Female: Not Hispanic or Latino: White only","2003-2006","4","2-5 years","0.1","10.4","2",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.211","Female: Not Hispanic or Latino: White only","2005-2008","5","2-5 years","0.1","11.3","2",
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.211","Female: Not Hispanic or Latino: White only","2007-2010","6","2-5 years","0.1","9.2","2","*"
"Obesity among children and adolescents aged 2-19 years","2-5 years","2","Percent of population, crude","1","Sex and race and Hispanic origin","4","4.211","Female: Not Hispanic or Latino: White only","2009-2012","7","2-5 years","0.1",,,"*"
