"service_category","job_category","department","job_classification","ethnicity","age_group","sex"
"Safety Services","Technicians","SHERIFF'S OFFICE","SHERIFF'S SERGEANT","Asian","30 - 39","Male"
"Safety Services","Administrative Support","SHERIFF'S OFFICE","EXEC ASSISTANT I-CONF CLERICAL","Asian","40 - 49","Female"
"Safety Services","Professionals","SHERIFF'S OFFICE","PROGRAM MGR II","Not Specified","50 - 59","Male"
"Safety Services","Administrative Support","SHERIFF'S OFFICE","OFFICE SPECIALIST III","Hispanic/Latino","30 - 39","Male"
"Safety Services","Administrative Support","PROBATION DEPARTMENT","LAW ENFORCEMENT RECORDS TECH","White","50 - 59","Female"
"Safety Services","Administrative Support","PROBATION DEPARTMENT","JUSTICE SYSTEM CLERK I","Hispanic/Latino","50 - 59","Female"
"Safety Services","Administrative Support","PROBATION DEPARTMENT","LAW ENFORCEMENT RECORDS SPEC","Hispanic/Latino","50 - 59","Female"
"Safety Services","Administrative Support","PROBATION DEPARTMENT","JUSTICE SYSTEM CLERK II","Hispanic/Latino","50 - 59","Female"
"Safety Services","Administrative Support","PROBATION DEPARTMENT","Small Job Classification - Omitted for Privacy","Hispanic/Latino","40 - 49","Female"
"Safety Services","Administrative Support","PROBATION DEPARTMENT","JUSTICE SYSTEM CLERK II","Hispanic/Latino","40 - 49","Female"
"Safety Services","Administrative Support","PROBATION DEPARTMENT","JUSTICE SYSTEM CLERK II","Black/African American","40 - 49","Female"
"Safety Services","Administrative Support","PROBATION DEPARTMENT","SR OFFICE SPECIALIST","Hispanic/Latino","40 - 49","Female"
"Safety Services","Administrative Support","PROBATION DEPARTMENT","LAW ENFORCEMENT RECORDS TECH","Hispanic/Latino","40 - 49","Male"
"Safety Services","Administrative Support","PROBATION DEPARTMENT","LAW ENFORCEMENT CLERK","Hispanic/Latino","Over 60","Female"
"Safety Services","Administrative Support","PROBATION DEPARTMENT","SR OFFICE SPECIALIST","Black/African American","40 - 49","Female"
"Safety Services","Administrative Support","PROBATION DEPARTMENT","LAW ENFORCEMENT RECORDS TECH","Hispanic/Latino","30 - 39","Female"
"Safety Services","Administrative Support","PROBATION DEPARTMENT","LAW ENFORCEMENT RECORDS TECH","Hispanic/Latino","30 - 39","Female"
"Safety Services","Administrative Support","PROBATION DEPARTMENT","JUSTICE SYSTEM CLERK II","Hispanic/Latino","40 - 49","Female"
"Safety Services","Administrative Support","PROBATION DEPARTMENT","JUSTICE SYSTEM CLERK I","Hispanic/Latino","40 - 49","Female"
"Safety Services","Administrative Support","PROBATION DEPARTMENT","LAW ENFORCEMENT RECORDS TECH","Hispanic/Latino","40 - 49","Female"
"Safety Services","Administrative Support","PROBATION DEPARTMENT","LAW ENFORCEMENT RECORDS TECH","Not Specified","30 - 39","Female"
"Safety Services","Administrative Support","PROBATION DEPARTMENT","LAW ENFORCEMENT RECORDS TECH","Black/African American","40 - 49","Female"
"Safety Services","Administrative Support","PROBATION DEPARTMENT","LAW ENFORCEMENT RECORDS TECH","Asian","30 - 39","Female"
"Safety Services","Administrative Support","PROBATION DEPARTMENT","LAW ENFORCEMENT RECORDS TECH","Hispanic/Latino","30 - 39","Male"
"Safety Services","Administrative Support","PROBATION DEPARTMENT","ADMIN ASSISTANT","Asian","50 - 59","Female"
"Safety Services","Paraprofessionals","SHERIFF'S OFFICE","ACCOUNTANT ASSISTANT","Asian","50 - 59","Female"
"Safety Services","Administrative Support","SHERIFF'S OFFICE","ACCOUNT CLERK II","Asian","Over 60","Female"
"Safety Services","Administrative Support","SHERIFF'S OFFICE","ACCOUNT CLERK II","Asian","40 - 49","Female"
"Safety Services","Administrative Support","SHERIFF'S OFFICE","ACCOUNT CLERK II","Asian","50 - 59","Female"
"Safety Services","Paraprofessionals","SHERIFF'S OFFICE","ACCOUNTANT ASSISTANT","Asian","50 - 59","Female"
"Safety Services","Professionals","SHERIFF'S OFFICE","SR ACCOUNTANT","Asian","30 - 39","Male"
"Safety Services","Paraprofessionals","SHERIFF'S OFFICE","ACCOUNTANT ASSISTANT","Native Hawaiian/Oth Pac Island","40 - 49","Female"
"Safety Services","Protective Service Workers","SHERIFF'S OFFICE","SHERIFF'S TECHNICIAN","Hispanic/Latino","40 - 49","Female"
"Safety Services","Professionals","SHERIFF'S OFFICE","ACCOUNTANT II","Asian","30 - 39","Female"
"Safety Services","Professionals","SHERIFF'S OFFICE","ACCOUNTANT II","White","Under 30","Male"
"Safety Services","Administrative Support","SHERIFF'S OFFICE","ACCOUNT CLERK II","Asian","50 - 59","Female"
"Safety Services","Protective Service Workers","SHERIFF'S OFFICE","DEPUTY SHERIFF","Hispanic/Latino","50 - 59","Male"
"Safety Services","Administrative Support","SHERIFF'S OFFICE","Small Job Classification - Omitted for Privacy","White","50 - 59","Male"
"Safety Services","Administrative Support","SHERIFF'S OFFICE","Small Job Classification - Omitted for Privacy","White","50 - 59","Male"
"Safety Services","Professionals","SHERIFF'S OFFICE","CAPTAIN","Hispanic/Latino","40 - 49","Male"
"Safety Services","Administrative Support","SHERIFF'S OFFICE","EXEC ASSISTANT I","White","50 - 59","Female"
"Safety Services","Administrative Support","SHERIFF'S OFFICE","LAW ENFORCEMENT RECORDS TECH","Hispanic/Latino","50 - 59","Female"
"Safety Services","Technicians","SHERIFF'S OFFICE","SHERIFF'S SERGEANT","White","40 - 49","Male"
"Safety Services","Technicians","SHERIFF'S OFFICE","SHERIFF'S SERGEANT","Hispanic/Latino","40 - 49","Male"
"Safety Services","Protective Service Workers","SHERIFF'S OFFICE","DEPUTY SHERIFF","White","50 - 59","Male"
"Safety Services","Administrative Support","SHERIFF'S OFFICE","Small Job Classification - Omitted for Privacy","White","Over 60","Male"
"Safety Services","Technicians","SHERIFF'S OFFICE","SHERIFF'S SERGEANT","White","40 - 49","Male"
"Safety Services","Protective Service Workers","SHERIFF'S OFFICE","DEPUTY SHERIFF","White","40 - 49","Male"
"Safety Services","Technicians","SHERIFF'S OFFICE","SHERIFF'S SERGEANT","Hispanic/Latino","50 - 59","Male"
"Safety Services","Technicians","SHERIFF'S OFFICE","SHERIFF'S SERGEANT","Hispanic/Latino","40 - 49","Female"
"Safety Services","Administrative Support","SHERIFF'S OFFICE","LAW ENFORCEMENT RECORDS TECH","Asian","50 - 59","Male"
"Safety Services","Technicians","SHERIFF'S OFFICE","SHERIFF'S SERGEANT","White","40 - 49","Male"
"Safety Services","Technicians","SHERIFF'S OFFICE","SHERIFF'S SERGEANT","White","40 - 49","Male"
"Safety Services","Protective Service Workers","SHERIFF'S OFFICE","DEPUTY SHERIFF","White","40 - 49","Female"
"Safety Services","Technicians","SHERIFF'S OFFICE","SHERIFF'S SERGEANT","White","50 - 59","Male"
"Safety Services","Technicians","SHERIFF'S OFFICE","SHERIFF'S SERGEANT","Hispanic/Latino","40 - 49","Male"
"Safety Services","Technicians","SHERIFF'S OFFICE","SHERIFF'S SERGEANT","White","40 - 49","Male"
"Safety Services","Technicians","SHERIFF'S OFFICE","SHERIFF'S SERGEANT","White","40 - 49","Male"
"Safety Services","Technicians","SHERIFF'S OFFICE","SHERIFF'S SERGEANT","Asian","40 - 49","Male"
"Safety Services","Professionals","SHERIFF'S OFFICE","SHERIFF'S LIEUTENANT","Asian","30 - 39","Male"
"Safety Services","Technicians","SHERIFF'S OFFICE","SHERIFF'S SERGEANT","Hispanic/Latino","30 - 39","Male"
"Safety Services","Technicians","SHERIFF'S OFFICE","SHERIFF'S SERGEANT","Hispanic/Latino","40 - 49","Male"
"Safety Services","Professionals","SHERIFF'S OFFICE","MGMT ANALYST","White","40 - 49","Female"
"Safety Services","Protective Service Workers","SHERIFF'S OFFICE","DEPUTY SHERIFF","Hispanic/Latino","30 - 39","Male"
"Safety Services","Administrative Support","SHERIFF'S OFFICE","LAW ENFORCEMENT RECORDS TECH","White","50 - 59","Male"
"Safety Services","Technicians","SHERIFF'S OFFICE","SHERIFF'S SERGEANT","Hispanic/Latino","40 - 49","Male"
"Safety Services","Protective Service Workers","SHERIFF'S OFFICE","DEPUTY SHERIFF","White","30 - 39","Male"
"Safety Services","Technicians","SHERIFF'S OFFICE","SHERIFF'S SERGEANT","Asian","30 - 39","Male"
"Safety Services","Technicians","SHERIFF'S OFFICE","SHERIFF'S SERGEANT","White","30 - 39","Male"
"Safety Services","Technicians","SHERIFF'S OFFICE","SHERIFF'S SERGEANT","Black/African American","40 - 49","Male"
"Safety Services","Protective Service Workers","SHERIFF'S OFFICE","DEPUTY SHERIFF","White","30 - 39","Male"
"Safety Services","Protective Service Workers","SHERIFF'S OFFICE","DEPUTY SHERIFF","White","30 - 39","Female"
"Safety Services","Protective Service Workers","SHERIFF'S OFFICE","DEPUTY SHERIFF","Two or More Races","30 - 39","Male"
"Safety Services","Protective Service Workers","SHERIFF'S OFFICE","DEPUTY SHERIFF","White","30 - 39","Female"
"Safety Services","Protective Service Workers","SHERIFF'S OFFICE","DEPUTY SHERIFF","White","30 - 39","Male"
"Safety Services","Protective Service Workers","SHERIFF'S OFFICE","DEPUTY SHERIFF","Two or More Races","30 - 39","Female"
"Safety Services","Protective Service Workers","SHERIFF'S OFFICE","DEPUTY SHERIFF","Asian","30 - 39","Male"
"Safety Services","Protective Service Workers","SHERIFF'S OFFICE","DEPUTY SHERIFF","Hispanic/Latino","30 - 39","Male"
"Safety Services","Protective Service Workers","SHERIFF'S OFFICE","DEPUTY SHERIFF","Two or More Races","30 - 39","Male"
"Safety Services","Protective Service Workers","SHERIFF'S OFFICE","DEPUTY SHERIFF","White","30 - 39","Female"
"Safety Services","Protective Service Workers","SHERIFF'S OFFICE","DEPUTY SHERIFF","White","30 - 39","Female"
"Safety Services","Protective Service Workers","SHERIFF'S OFFICE","DEPUTY SHERIFF","Asian","40 - 49","Male"
"Safety Services","Administrative Support","SHERIFF'S OFFICE","LAW ENFORCEMENT RECORDS TECH","Hispanic/Latino","30 - 39","Male"
"Safety Services","Administrative Support","SHERIFF'S OFFICE","LAW ENFORCEMENT CLERK","Hispanic/Latino","40 - 49","Female"
"Safety Services","Protective Service Workers","SHERIFF'S OFFICE","DEPUTY SHERIFF","White","30 - 39","Male"
"Safety Services","Administrative Support","SHERIFF'S OFFICE","LAW ENFORCEMENT RECORDS TECH","White","Over 60","Female"
"Safety Services","Technicians","SHERIFF'S OFFICE","SHERIFF'S SERGEANT","White","40 - 49","Male"
"Other","Service Maintenance","PARKS & RECREATION","PARK MAINTENANCE WORKER II","Two or More Races","Over 60","Male"
"Other","Protective Service Workers","PARKS & RECREATION","PARK RANGER II","White","50 - 59","Male"
"Other","Service Maintenance","PARKS & RECREATION","SR PARK MAINTENANCE WORKER","White","30 - 39","Male"
"Other","Protective Service Workers","PARKS & RECREATION","PARK RANGER II","White","30 - 39","Male"
"Other","Protective Service Workers","PARKS & RECREATION","SR PARK RANGER","White","30 - 39","Male"
"Other","Service Maintenance","PARKS & RECREATION","PARK MAINTENANCE WORKER II","Native Hawaiian/Oth Pac Island","40 - 49","Male"
"Other","Protective Service Workers","PARKS & RECREATION","PARK RANGER I","White","Under 30","Male"
"Other","Administrative Support","PARKS & RECREATION","PARK SERVICES ATTENDANT","Not Specified","30 - 39","Female"
"Other","Technicians","PARKS & RECREATION","Small Job Classification - Omitted for Privacy","White","50 - 59","Male"
"Other","Technicians","PARKS & RECREATION","Small Job Classification - Omitted for Privacy","Two or More Races","40 - 49","Male"
"Other","Technicians","PARKS & RECREATION","Small Job Classification - Omitted for Privacy","Hispanic/Latino","30 - 39","Female"
"Other","Technicians","PARKS & RECREATION","Small Job Classification - Omitted for Privacy","Two or More Races","30 - 39","Male"
"Other","Technicians","PARKS & RECREATION","Small Job Classification - Omitted for Privacy","White","30 - 39","Male"
"Other","Professionals","PARKS & RECREATION","SENIOR PLANNER","White","Over 60","Female"
"Other","Technicians","PARKS & RECREATION","Small Job Classification - Omitted for Privacy","White","50 - 59","Male"
"Other","Professionals","PARKS & RECREATION","Small Job Classification - Omitted for Privacy","White","Over 60","Male"
"Other","Administrative Support","PARKS & RECREATION","ADMIN ASSISTANT","White","40 - 49","Female"
"Other","Professionals","PARKS & RECREATION","SENIOR PLANNER","White","40 - 49","Female"
"Other","Professionals","PARKS & RECREATION","Small Job Classification - Omitted for Privacy","White","40 - 49","Male"
"Other","Professionals","PARKS & RECREATION","Small Job Classification - Omitted for Privacy","Two or More Races","30 - 39","Male"
"Other","Professionals","PARKS & RECREATION","Small Job Classification - Omitted for Privacy","Black/African American","30 - 39","Female"
"Other","Professionals","PARKS & RECREATION","Small Job Classification - Omitted for Privacy","White","50 - 59","Female"
"Other","Paraprofessionals","PARKS & RECREATION","Small Job Classification - Omitted for Privacy","White","50 - 59","Male"
"Other","Professionals","PARKS & RECREATION","PROGRAM MGR I","White","50 - 59","Female"
"Other","Professionals","PARKS & RECREATION","Small Job Classification - Omitted for Privacy","Not Specified","30 - 39","Female"
"Other","Professionals","PARKS & RECREATION","Small Job Classification - Omitted for Privacy","White","40 - 49","Female"
"Other","Professionals","PARKS & RECREATION","Small Job Classification - Omitted for Privacy","White","50 - 59","Female"
"Other","Professionals","PARKS & RECREATION","Small Job Classification - Omitted for Privacy","Not Specified","Over 60","Female"
"Other","Professionals","PARKS & RECREATION","Small Job Classification - Omitted for Privacy","Two or More Races","40 - 49","Female"
"Other","Professionals","PARKS & RECREATION","Small Job Classification - Omitted for Privacy","White","30 - 39","Male"
"Other","Professionals","PARKS & RECREATION","Small Job Classification - Omitted for Privacy","Asian","30 - 39","Female"
"Other","Professionals","PARKS & RECREATION","Small Job Classification - Omitted for Privacy","White","40 - 49","Female"
"Other","Professionals","PARKS & RECREATION","Small Job Classification - Omitted for Privacy","White","Over 60","Female"
"Other","Professionals","PARKS & RECREATION","Small Job Classification - Omitted for Privacy","White","Under 30","Female"
"Other","Professionals","PARKS & RECREATION","PROGRAM MGR II","White","Over 60","Female"
"Other","Administrative Support","PARKS & RECREATION","ADMIN ASSISTANT","Not Specified","30 - 39","Male"
"Other","Professionals","PARKS & RECREATION","Small Job Classification - Omitted for Privacy","Not Specified","Under 30","Male"
"Other","Professionals","PARKS & RECREATION","Small Job Classification - Omitted for Privacy","Asian","Under 30","Female"
"Other","Officials and Administrators","PARKS & RECREATION","Small Job Classification - Omitted for Privacy","White","50 - 59","Female"
"Other","Administrative Support","PARKS & RECREATION","OFFICE SPECIALIST III","White","Over 60","Female"
"Other","Professionals","PARKS & RECREATION","Small Job Classification - Omitted for Privacy","Asian","Over 60","Female"
"Other","Paraprofessionals","PARKS & RECREATION","MGMT AIDE","Native Hawaiian/Oth Pac Island","50 - 59","Female"
"Other","Administrative Support","PARKS & RECREATION","OFFICE SPECIALIST III","Hispanic/Latino","Over 60","Female"
"Other","Professionals","PARKS & RECREATION","SR MGMT ANALYST","White","50 - 59","Female"
"Other","Officials and Administrators","PARKS & RECREATION","ADMIN SERVICES MGR II","White","Over 60","Male"
"Other","Administrative Support","PARKS & RECREATION","ACCOUNT CLERK II","Asian","Over 60","Female"
"Other","Professionals","PARKS & RECREATION","ADMIN SUPPORT OFFICER II","White","30 - 39","Male"
"Other","Administrative Support","PARKS & RECREATION","MESSENGER DRIVER","Asian","40 - 49","Male"
"Other","Professionals","PARKS & RECREATION","SR TRAINING & STAFF DEVELOPMNT","White","30 - 39","Female"
"Other","Professionals","PARKS & RECREATION","ACCOUNTANT III","Asian","50 - 59","Female"
"Other","Administrative Support","PARKS & RECREATION","ACCOUNT CLERK II","Asian","50 - 59","Female"
"Other","Professionals","PARKS & RECREATION","OFFICE MGMT COORD","Hispanic/Latino","Under 30","Female"
"Other","Administrative Support","PARKS & RECREATION","Small Job Classification - Omitted for Privacy","White","40 - 49","Female"
"Other","Professionals","PARKS & RECREATION","SR ACCOUNTANT","Asian","50 - 59","Female"
"Other","Administrative Support","PARKS & RECREATION","ACCOUNT CLERK II","Asian","50 - 59","Female"
"Other","Administrative Support","PARKS & RECREATION","OFFICE SPECIALIST III","Not Specified","Under 30","Female"
"Other","Administrative Support","PARKS & RECREATION","OFFICE SPECIALIST III","Asian","30 - 39","Male"
"Other","Professionals","PARKS & RECREATION","MGMT ANALYST","White","50 - 59","Female"
"Other","Professionals","PARKS & RECREATION","FINANCIAL ANALYST II","Asian","30 - 39","Male"
"Other","Skilled Craft Workers","PARKS & RECREATION","FLEET SERVICES MECHANIC","White","50 - 59","Male"
"Other","Service Maintenance","PARKS & RECREATION","Small Job Classification - Omitted for Privacy","White","50 - 59","Male"
"Other","Service Maintenance","PARKS & RECREATION","Small Job Classification - Omitted for Privacy","Hispanic/Latino","40 - 49","Male"
"Other","Skilled Craft Workers","PARKS & RECREATION","Small Job Classification - Omitted for Privacy","American Indian/Alaska Native","40 - 49","Male"
"Other","Service Maintenance","PARKS & RECREATION","STOREKEEPER","Asian","Under 30","Male"
"Other","Service Maintenance","PARKS & RECREATION","SR PARK MAINTENANCE WORKER","Hispanic/Latino","50 - 59","Male"
"Other","Service Maintenance","PARKS & RECREATION","SR PARK MAINTENANCE WORKER","White","50 - 59","Male"
"Other","Service Maintenance","PARKS & RECREATION","PARK MAINTENANCE WORKER II","Two or More Races","50 - 59","Male"
"Other","Service Maintenance","PARKS & RECREATION","SR PARK MAINTENANCE WORKER","Two or More Races","50 - 59","Male"
"Other","Service Maintenance","PARKS & RECREATION","PARK MAINTENANCE WORKER II","Black/African American","50 - 59","Male"
"Other","Service Maintenance","PARKS & RECREATION","SR PARK MAINTENANCE WORKER","Hispanic/Latino","40 - 49","Female"
"Other","Service Maintenance","PARKS & RECREATION","PARK MAINTENANCE WORKER II","Two or More Races","40 - 49","Male"
"Other","Service Maintenance","PARKS & RECREATION","PARK MAINTENANCE WORKER II","Hispanic/Latino","30 - 39","Male"
"Other","Service Maintenance","PARKS & RECREATION","PARK MAINTENANCE WORKER II","White","30 - 39","Male"
"Other","Service Maintenance","PARKS & RECREATION","PARK MAINTENANCE WORKER II","White","30 - 39","Male"
"Other","Service Maintenance","PARKS & RECREATION","PARK MAINTENANCE WORKER II","Two or More Races","30 - 39","Female"
"Other","Service Maintenance","PARKS & RECREATION","PARK MAINTENANCE WORKER II","White","Over 60","Male"
"Other","Service Maintenance","PARKS & RECREATION","PARK MAINTENANCE WORKER II","White","Under 30","Male"
"Other","Service Maintenance","PARKS & RECREATION","PARK MAINTENANCE WORKER II","Hispanic/Latino","30 - 39","Male"
"Other","Service Maintenance","PARKS & RECREATION","Small Job Classification - Omitted for Privacy","Two or More Races","Under 30","Male"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","White","50 - 59","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Asian","50 - 59","Female"
"Other","Paraprofessionals","COUNTY COUNSEL","SR PARALEGAL","Hispanic/Latino","50 - 59","Female"
"Other","Paraprofessionals","COUNTY COUNSEL","SR PARALEGAL","Hispanic/Latino","40 - 49","Female"
"Other","Administrative Support","COUNTY COUNSEL","LEGAL SECRETARY II","Hispanic/Latino","50 - 59","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Black/African American","50 - 59","Male"
"Other","Administrative Support","COUNTY COUNSEL","LEGAL SECRETARY II","Hispanic/Latino","50 - 59","Female"
"Other","Administrative Support","COUNTY COUNSEL","OFFICE SPECIALIST III","Asian","40 - 49","Female"
"Other","Paraprofessionals","COUNTY COUNSEL","SR PARALEGAL","Hispanic/Latino","Over 60","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","White","50 - 59","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","White","50 - 59","Female"
"Other","Administrative Support","COUNTY COUNSEL","LEGAL SECRETARY II","Hispanic/Latino","40 - 49","Female"
"Other","Administrative Support","COUNTY COUNSEL","LEGAL SECRETARY II","White","40 - 49","Female"
"Other","Paraprofessionals","COUNTY COUNSEL","Small Job Classification - Omitted for Privacy","White","50 - 59","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Not Specified","50 - 59","Male"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","White","40 - 49","Male"
"Other","Administrative Support","COUNTY COUNSEL","LEGAL SECRETARY II","White","50 - 59","Female"
"Other","Paraprofessionals","COUNTY COUNSEL","SR PARALEGAL","Hispanic/Latino","30 - 39","Female"
"Other","Administrative Support","COUNTY COUNSEL","LEGAL SECRETARY II","Not Specified","Over 60","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","White","30 - 39","Female"
"Other","Paraprofessionals","COUNTY COUNSEL","Small Job Classification - Omitted for Privacy","Not Specified","40 - 49","Female"
"Other","Paraprofessionals","COUNTY COUNSEL","SR PARALEGAL","White","30 - 39","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","White","40 - 49","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Asian","30 - 39","Male"
"Other","Administrative Support","COUNTY COUNSEL","LEGAL SECRETARY II","Not Specified","40 - 49","Female"
"Other","Administrative Support","COUNTY COUNSEL","LEGAL CLERK TRAINEE","Hispanic/Latino","30 - 39","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Asian","40 - 49","Female"
"Other","Administrative Support","COUNTY COUNSEL","OFFICE SPECIALIST III","Hispanic/Latino","50 - 59","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","White","30 - 39","Male"
"Other","Professionals","COUNTY COUNSEL","Small Job Classification - Omitted for Privacy","White","Under 30","Female"
"Other","Administrative Support","COUNTY COUNSEL","Small Job Classification - Omitted for Privacy","Not Specified","Under 30","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Not Specified","30 - 39","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Not Specified","40 - 49","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Not Specified","30 - 39","Female"
"Other","Paraprofessionals","COUNTY COUNSEL","SR PARALEGAL","Not Specified","Under 30","Female"
"Other","Paraprofessionals","COUNTY COUNSEL","PARALEGAL","Not Specified","Under 30","Female"
"Other","Paraprofessionals","COUNTY COUNSEL","PARALEGAL","Not Specified","Under 30","Female"
"Other","Administrative Support","COUNTY COUNSEL","LEGAL SECRETARY I","White","Under 30","Female"
"Other","Administrative Support","COUNTY COUNSEL","ADMIN ASSISTANT","Hispanic/Latino","Over 60","Female"
"Other","Officials and Administrators","COUNTY COUNSEL","Small Job Classification - Omitted for Privacy","White","Over 60","Male"
"Other","Officials and Administrators","COUNTY COUNSEL","Small Job Classification - Omitted for Privacy","White","Over 60","Male"
"Other","Professionals","COUNTY EXECUTIVE","Small Job Classification - Omitted for Privacy","Asian","Over 60","Female"
"Other","Administrative Support","COUNTY EXECUTIVE","SR EXECUTIVE ASSISTANT","Hispanic/Latino","50 - 59","Female"
"Other","Officials and Administrators","COUNTY EXECUTIVE","Small Job Classification - Omitted for Privacy","White","50 - 59","Female"
"Other","Officials and Administrators","COUNTY EXECUTIVE","Small Job Classification - Omitted for Privacy","White","Over 60","Female"
"Other","Officials and Administrators","COUNTY EXECUTIVE","Small Job Classification - Omitted for Privacy","Hispanic/Latino","50 - 59","Female"
"Other","Officials and Administrators","COUNTY EXECUTIVE","Small Job Classification - Omitted for Privacy","Hispanic/Latino","40 - 49","Female"
"Other","Officials and Administrators","COUNTY EXECUTIVE","Small Job Classification - Omitted for Privacy","Two or More Races","50 - 59","Female"
"Other","Administrative Support","COUNTY EXECUTIVE","SR EXECUTIVE ASSISTANT","Hispanic/Latino","50 - 59","Female"
"Other","Officials and Administrators","COUNTY EXECUTIVE","ADMIN SERVICES MGR II","Two or More Races","Over 60","Female"
"Other","Professionals","COUNTY EXECUTIVE","PROGRAM MGR I","Asian","50 - 59","Male"
"Other","Professionals","COUNTY EXECUTIVE","ACCOUNTANT II","Asian","Over 60","Female"
"Other","Administrative Support","COUNTY EXECUTIVE","SR EXECUTIVE ASSISTANT","White","40 - 49","Female"
"Other","Administrative Support","COUNTY EXECUTIVE","SR EXECUTIVE ASSISTANT","Two or More Races","40 - 49","Female"
"Other","Administrative Support","COUNTY EXECUTIVE","Small Job Classification - Omitted for Privacy","Hispanic/Latino","40 - 49","Female"
"Other","Administrative Support","COUNTY EXECUTIVE","SR EXECUTIVE ASSISTANT","Hispanic/Latino","40 - 49","Female"
"Other","Professionals","COUNTY EXECUTIVE","MGMT ANALYST","Asian","Over 60","Female"
"Other","Professionals","COUNTY EXECUTIVE","PROGRAM MGR II","Black/African American","50 - 59","Female"
"Other","Professionals","COUNTY EXECUTIVE","PROGRAM MGR I","Asian","40 - 49","Female"
"Other","Administrative Support","COUNTY EXECUTIVE","SR EXECUTIVE ASSISTANT","Hispanic/Latino","40 - 49","Female"
"Other","Professionals","COUNTY EXECUTIVE","Small Job Classification - Omitted for Privacy","White","40 - 49","Female"
"Other","Officials and Administrators","COUNTY EXECUTIVE","Small Job Classification - Omitted for Privacy","Hispanic/Latino","50 - 59","Male"
"Other","No EEO-4 Reporting","COUNTY EXECUTIVE","Small Job Classification - Omitted for Privacy","White","Over 60","Male"
"Other","Officials and Administrators","COUNTY EXECUTIVE","Small Job Classification - Omitted for Privacy","Asian","40 - 49","Male"
"Other","Professionals","COUNTY EXECUTIVE","SR MGMT ANALYST","Asian","30 - 39","Female"
"Other","Officials and Administrators","COUNTY EXECUTIVE","Small Job Classification - Omitted for Privacy","White","50 - 59","Male"
"Other","Officials and Administrators","COUNTY EXECUTIVE","Small Job Classification - Omitted for Privacy","Not Specified","50 - 59","Male"
"Other","Administrative Support","COUNTY EXECUTIVE","EXEC ASSISTANT I-CONF CLERICAL","Two or More Races","50 - 59","Female"
"Other","Professionals","COUNTY EXECUTIVE","ACCOUNTANT II","Hispanic/Latino","40 - 49","Female"
"Other","Professionals","COUNTY EXECUTIVE","PROGRAM MGR II","Asian","Under 30","Female"
"Other","Professionals","COUNTY EXECUTIVE","SR MGMT ANALYST","Not Specified","30 - 39","Male"
"Other","Professionals","COUNTY EXECUTIVE","PROGRAM MGR II","Hispanic/Latino","30 - 39","Female"
"Other","Professionals","COUNTY EXECUTIVE","Small Job Classification - Omitted for Privacy","White","40 - 49","Male"
"Other","Professionals","COUNTY EXECUTIVE","PROGRAM MGR II","White","30 - 39","Female"
"Other","Officials and Administrators","COUNTY EXECUTIVE","Small Job Classification - Omitted for Privacy","White","Over 60","Male"
"Other","Professionals","COUNTY EXECUTIVE","ACCOUNTANT I","Asian","30 - 39","Female"
"Other","Professionals","COUNTY EXECUTIVE","SR ACCOUNTANT","Asian","30 - 39","Female"
"Other","Professionals","COUNTY EXECUTIVE","MGMT ANALYST","White","Under 30","Female"
"Other","Service Maintenance","COUNTY EXECUTIVE","UTILITY WORKER","White","30 - 39","Male"
"Other","Administrative Support","COUNTY EXECUTIVE","SR EXECUTIVE ASSISTANT","Not Specified","30 - 39","Female"
"Other","Administrative Support","COUNTY EXECUTIVE","OFFICE SPECIALIST III-CONF CLR","White","30 - 39","Female"
"Other","Professionals","COUNTY EXECUTIVE","PROGRAM MGR II","White","30 - 39","Female"
"Other","Professionals","COUNTY EXECUTIVE","Small Job Classification - Omitted for Privacy","Asian","30 - 39","Male"
"Other","Paraprofessionals","COUNTY EXECUTIVE","Small Job Classification - Omitted for Privacy","Hispanic/Latino","Under 30","Male"
"Other","Professionals","COUNTY EXECUTIVE","Small Job Classification - Omitted for Privacy","White","40 - 49","Female"
