"order","date","subject_s","color","negatives","prints","slides","department","remarks"
"G0419","N/A","Various county personnel riding on a military helicopter","Color","0 (Size: N/A)","0 (Size: N/A)","30 (Size: 35mm)","N/A","Slides stored in Box 3"
"G0423","N/A","Flags - Santa Clara County, California State, United States (several versions), Mexican, Spanish","Color","0 (Size: N/A)","0 (Size: N/A)","12 (Size: 35mm)","N/A","Slides stored in Box 3"
"G0426","N/A","United States and California State flags at 1555 Berger Drive, San Jose; blossoms","Color","0 (Size: N/A)","0 (Size: N/A)","14 (Size: 35mm)","N/A","Slides stored in Box 3"
"G0432","N/A","Howard Campen, County Executive, in Board of Supervisors auditorium","Color","0 (Size: N/A)","0 (Size: N/A)","12 (Size: 35mm)","N/A","Slides stored in Box 3"
"G0433","N/A","Exterior of Administration Building","B&W; color","0 (Size: N/A)","0 (Size: N/A)","23 (Size: 35mm)","N/A","Slides stored in Box 3"
"G0434","N/A","Interior and exterior of old court house","Color","0 (Size: N/A)","0 (Size: N/A)","10 (Size: 35mm)","N/A","Slides stored in Box 3"
"G0435","N/A","Board of Supervisors in auditorium (circa 1960s)","Color","0 (Size: N/A)","0 (Size: N/A)","17 (Size: 35mm)","N/A","Slides stored in Box 3"
"G0436","N/A","Buildings - Sheriff's Office, County Jail, Superior Court, San Jose-Alviso Municipal Court, Juvenile Center","Color","0 (Size: N/A)","0 (Size: N/A)","12 (Size: 35mm)","N/A","Slides stored in Box 3"
"G0437","N/A","Buildings - San Jose Municipal Airport, County Service Center, Welfare Department, County Employees Credit Union, Criminal-Legal","Color","0 (Size: N/A)","0 (Size: N/A)","14 (Size: 35mm)","N/A","Slides stored in Box 3"
"G0439","N/A","County Crime Lab - Mrs. Halle","Color","0 (Size: N/A)","0 (Size: N/A)","7 (Size: 35mm)","N/A","Slides stored in Box 3"
"G0440","N/A","Antique San Jose Fire Engine","Color","0 (Size: N/A)","0 (Size: N/A)","5 (Size: 35mm)","N/A","Slides stored in Box 3"
"G0441","N/A","Division of Weights and Measures","Color","0 (Size: N/A)","0 (Size: N/A)","3 (Size: 35mm)","N/A","Slides stored in Box 3"
"G0443","N/A","Aerial photographs and elevated view of County Government Center","Color","0 (Size: N/A)","0 (Size: N/A)","18 (Size: 35mm)","N/A","Slides stored in Box 3"
"G0452","N/A","County Office Building - Building Inspector, Planning Commission, Recorder, Registrar, Engineer","B&W","6 (Size: 4x5)","5 (Size: 4x5)","0 (Size: N/A)","Planning Department","None"
"G0460","N/A","Unidentified building at Lincoln Street and Civic Center","B&W","0 (Size: N/A)","5 (Size: 4x5)","0 (Size: N/A)","Planning Department","None"
"G0461","N/A","Exterior of Juvenile Center","B&W","0 (Size: N/A)","1 (Size: 2.5x2.5)","0 (Size: N/A)","N/A","None"
"G0462","N/A","Exterior of San Jose City Hall (circa 1960)","B&W","0 (Size: N/A)","1 (Size: 2.5x2.5)","0 (Size: N/A)","N/A","None"
"G0466","N/A","Hotel St. James on First Street, San Jose","B&W","0 (Size: N/A)","1 (Size: 3x4.5)","0 (Size: N/A)","N/A","None"
"G0467","N/A","Scenic views along Sierra Road and Felter Road in East San Jose foothills & Roads","B&W","0 (Size: N/A)","3 (Size: 3.5x5)","0 (Size: N/A)","N/A","None"
"G0470","N/A","Sail boats on lake at unidentified County Park","B&W","0 (Size: N/A)","12 (Size: 4x5)","0 (Size: N/A)","N/A","None"
"G0479","N/A","Panoramic views of baylands","Color","0 (Size: N/A)","0 (Size: N/A)","24 (Size: 35mm)","Planning Department","Slides stored in Box 3"
"G0480","N/A","Baylands - vegetation, structures, people fishing along pier and shoreline","Color","0 (Size: N/A)","0 (Size: N/A)","32 (Size: 35mm)","Planning Department","Slides stored in Box 3"
"35","18289","Emma Alleghrini at desk","B&W","3 (Size: 4x5)","2 (Size: 2.5x3.5)","0 (Size: N/A)","Purchasing Department","None"
"G0043","18331","County Annex building (Personnel) on N. First Street","B&W","1 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","N/A","None"
"1416A","18415","Interior of old County Jail - kitchen, meat locker, holding tank","B&W","3 (Size: 4x5)","3 (Size: 4x5)","0 (Size: N/A)","Sheriff's Department","None"
"G0016","18892","Judge Leonard R. Avilla and court reporter & Superior Courts","B&W","3 (Size: 4x5)","3 (Size: 4x5)","0 (Size: N/A)","N/A","None"
"1416C","18937","Interior of old County Jail - kitchen, cell, shower","B&W","3 (Size: 4x5)","2 (Size: 4x5)","0 (Size: N/A)","Sheriff's Department","None"
"1416B","19049","Interior of old County Jail - Sheriff Houndbuckle, women's quarters","B&W","2 (Size: 4x5)","2 (Size: 4x5)","0 (Size: N/A)","Sheriff's Department","None"
"G0173","19052","Groundbreaking ceremony of new addition to Health Department building","B&W","2 (Size: 4x5)","3 (Size: 4x5)","0 (Size: N/A)","Health Department","None"
"G0227","19085","Recreation Hall handicraft shop at Elmwood (County Jail Farm)","B&W","2 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Sheriff's Department","None"
"G0454","19301","Construction progress of County Office Building","B&W","14 (Size: 120)","12 (Size: 3.5x3.5)","0 (Size: N/A)","Planning Department","None"
"G0453","19360","County Office Building","B&W","5 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Planning Department","None"
"G0228","19518","Conditions at Elmwood (County Jail Farm)","B&W","11 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Sheriff's Department","None"
"G0226","19549","Interior and Exterior of Elmwood (County Jail Farm)","B&W","9 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Sheriff's Department","None"
"G0455","19784","Commercial Development - Kaiser Center, Merry Mart, Style Mart","B&W","1 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Planning Department","None"
"G0099","20090","Portrait of Buck Hughston","B&W","1 (Size: 4x5)","1 (Size: 3x3)","0 (Size: N/A)","Central Service Department","None"
"G0456","20090","El Camino P-X Shopping Center in Santa Clara","B&W","1 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Planning Department","None"
"G0102","20149","Buck Hughston","B&W","1 (Size: 4x5)","1 (Size: 3x5)","0 (Size: N/A)","Central Service Department","None"
"G0457","20149","Roadside development - Nehi Farmer's Market, La Scola's Market","B&W","3 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Planning Department","None"
"G0090","20391","Portrait of Mr. J. Enochs","B&W","2 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Department of Public Works","Damaged negative - buckling emulsion"
"G0465","20429","Aerial photograph of County Office Building and surrounding area","B&W","0 (Size: N/A)","1 (Size: 11x14)","0 (Size: N/A)","Planning Department","11x14 print stored separately"
"167","20550","Identification photograph of William Meyer, Coroner / Public Administrator","B&W","4 (Size: 126; 4x5)","0 (Size: N/A)","0 (Size: N/A)","N/A","Damaged negative - buckling emulsion"
"G0298","20585","Jerry Ryan, Deputy County Executive, in Law Library","B&W","0 (Size: N/A)","2 (Size: 4x5; 5x7)","0 (Size: N/A)","N/A","Prints stored in Box 2"
"G0104","20603","Frank H. Thill, County Executive, at desk","B&W","7 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Office of the County Executive","Damaged negative - buckling emulsion"
"G0224","20638","Construction progress of new County Jail","B&W","2 (Size: 4x5)","2 (Size: 4x5)","0 (Size: N/A)","Sheriff's Department","Damaged negative - buckling emulsion"
"G0223","20642","Construction progress of new County Jail","B&W","1 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","Sheriff's Department","Damaged negative - buckling emulsion"
"G0222","20653","Construction progress of new County Jail","B&W","1 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","Sheriff's Department","Damaged negative - buckling emulsion"
"G0221","20661","Construction progress of new County Jail","B&W","1 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","Sheriff's Department","None"
"G0458","20663","Abandoned Italian restaurant on dirt road","B&W","1 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","Planning Department","None"
"G0220","20668","Construction progress of new County Jail","B&W","1 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","Sheriff's Department","None"
"G0450","20668","Construction progress of unidentified county building","B&W","4 (Size: 4x5)","4 (Size: 4x5)","0 (Size: N/A)","Planning Department","None"
"2308","20669","Aerial photograph of the bay showing the San Mateo and Dumbarton bridges, as well as Fremont and Milpitas","B&W","0 (Size: N/A)","1 (Size: 8x10)","0 (Size: N/A)","Planning Department","Print stored in Box 1"
"G0219","20680","Construction progress of new County Jail","B&W","1 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","Sheriff's Department","None"
"288","20695","Judge Edward M. Fellows flag presentation in Morgan Hill & Courts","B&W","2 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Jury Commissioner","None"
"G0459","20699","Model of proposed County Government Center on top of aerial photograph of the area","B&W","2 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","Planning Department","None"
"G0218","20708","Construction progress of new County Jail","B&W","1 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","Sheriff's Department","None"
"313","20715","Jerry Ryan, Deputy County Executive","B&W","1 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Office of the County Executive","None"
"314","20715","Ed Grossheider, Employees Manager","B&W","2 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","N/A","None"
"318","20716","Booth at County Fair selling items made by inmates at Elmwood (County Jail Farm)","B&W","2 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Sheriff's Department","None"
"G0463","20718","Aerial photograph of County Government Center - County Office Building and construction progress of San Jose City Hall","B&W","0 (Size: N/A)","3 (Size: 4x5, 8x10)","0 (Size: N/A)","Planning Department","Prints stored in Box 2"
"G0217","20724","Construction progress of new County Jail","B&W","1 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","Sheriff's Department","None"
"344","20739","Barracks and restroom at Elmwood (County Jail Farm)","B&W","4 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Sheriff's Department","Damaged negative - buckling emulsion"
"G0216","20743","Construction progress of new County Jail","B&W","1 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","Sheriff's Department","None"
"368","20752","Vernon Miller","B&W","2 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Office of the County Executive","None"
"G0215","20754","Construction progress of new County Jail","B&W","1 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","Sheriff's Department","None"
"G0214","20768","Construction progress of new County Jail","B&W","1 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","Sheriff's Department","None"
"412","20778","Groundbreaking ceremony of County Hospital & Valley Medical Center","B&W","13 (Size: 4x5)","4 (Size: 4x5)","0 (Size: N/A)","Hospital","None"
"419B","20778","Tony Nave, Clerk & Municipal Courts","B&W","1 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Municipal Court","None"
"420","20778","Judges - John P. Dempsey, Percy O'Conner, and Grandin H. Miller & Municipal Courts","B&W","2 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","N/A","None"
"463","20786","Construction progress of new County Jail","B&W","1 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","Sheriff's Department","None"
"464","20801","Construction progress of new County Jail","B&W","1 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","Sheriff's Department","None"
"465","20807","Construction progress of new wing of County Hospital & Valley Medical Center","B&W","1 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","Hospital","None"
"G0282","20821","Swearing in of Howard Campen, County Executive","B&W","0 (Size: N/A)","3 (Size: 8x10)","0 (Size: N/A)","Office of the County Executive","Prints stored in Box 2"
"497B","20823","Exterior of Recorder's Office building","B&W","2 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Office of the County Executive","None"
"497C","20823","Construction progress of new County Jail","B&W","3 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","Sheriff's Department","None"
"G0172","20824","Construction progress of new wing of County Hospital & Valley Medical Center","B&W","1 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","Hospital","None"
"504","20827","Swearing in of Supervisor Wesley L. Hubbard","B&W","0 (Size: N/A)","4 (Size: 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 1"
"G0106","20851","Portrait of Emma Alleghrini and another unidentified woman","B&W","4 (Size: 4x5)","6 (Size: 2.5x3.5)","0 (Size: N/A)","Purchasing Department","None"
"597","20862","Construction progress of new wing of County Hospital & Valley Medical Center","B&W","2 (Size: 4x5)","2 (Size: 4x5)","0 (Size: N/A)","Hospital","None"
"41","20864","Roy P. Emerson, Tax Collector (retired 1963)","B&W","2 (Size: 4x5)","2 (Size: 5x7; 8x10)","0 (Size: N/A)","Tax Collector","Prints stored in Box 1"
"594","20864","Construction progress of new County Jail","B&W","2 (Size: 4x5)","2 (Size: 4x5)","0 (Size: N/A)","Sheriff's Department","None"
"622","20871","Portrait of Judge William F. James & Superior Courts","B&W","3 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","N/A","Copy of photograph"
"G0468","20885","Vern's Bargain Bus Outlet (shoes and clothing) along road side","B&W","1 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","N/A","None"
"G0105","20890","Portrait of Frank H. Thill, County Executive","B&W","1 (Size: 120)","1 (Size: 3.5x4)","0 (Size: N/A)","Office of the County Executive","Damaged negative - buckling emulsion"
"693","20894","William Sauers","B&W","4 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","N/A","None"
"704","20899","Construction progress of new wing of County Hospital & Valley Medical Center","B&W","2 (Size: 4x5)","2 (Size: 4x5)","0 (Size: N/A)","Hospital","None"
"38","20907","Mr. Cox, former County Sealer","B&W","1 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Division of Weights and Measures","None"
"731B","20907","Aerial photographs of various rural and urban areas of county","B&W","23 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Engineering","None"
"G0448","20908","Roadside development near Alum Rock - Hancock Gasoline, Topsys Inn, Jan's Pottery, Jack's Auto Supply, Mayfair Market","B&W","10 (Size: 4x5)","10 (Size: 4x5)","0 (Size: N/A)","Planning Department","None"
"736","20912","Construction progress of new County Jail","B&W","2 (Size: 4x5)","2 (Size: 4x5)","0 (Size: N/A)","Sheriff's Department","None"
"762","20922","Construction progress of new wing of County Hospital & Valley Medical Center","B&W","2 (Size: 4x5)","2 (Size: 4x5)","0 (Size: N/A)","Hospital","None"
"G0225","20936","Tour of Elmwood (County Jail Farm)","B&W","6 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Sheriff's Department","Damaged negative - buckling emulsion"
"G0449","20942","Clay models of proposed County Government Center","B&W","12 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Planning Department","None"
"G0451","20949","County Office Building","B&W","3 (Size: 4x5)","3 (Size: 4x5, 11x14)","0 (Size: N/A)","Planning Department","11x14 print stored separately"
"G0464","20949","Construction progress of San Jose City Hall","B&W","0 (Size: N/A)","2 (Size: 4x5, 11x14)","0 (Size: N/A)","Planning Department","11x14 print stored separately"
"829","20950","Grand Jury member card & Courts","B&W","2 (Size: 4x5)","4 (Size: 2.5x4)","0 (Size: N/A)","Jury Commissioner","None"
"844A","20957","Judge Napoleon J. Menard, Hawley, and Smith & Superior Courts","B&W","2 (Size: 4x5)","2 (Size: 4x5)","0 (Size: N/A)","Office of the District Attorney","None"
"846","20957","Portrait of Judge Napoleon J. Menard in front of law books & Superior Courts","B&W","16 (Size: 35mm)","2 (Size: 4x5)","0 (Size: N/A)","N/A","Includes 16 contact prints"
"862","20963","Buildings at Elmwood (County Jail Farm)","B&W","22 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Sheriff's Department","None"
"879A","20968","County Government Center parking lot","B&W","1 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","N/A","None"
"879B","20971","Construction progress of new County Jail","B&W","3 (Size: 4x5)","3 (Size: 4x5)","0 (Size: N/A)","Sheriff's Department","None"
"881","20971","Construction progress of new wing of County Hospital & Valley Medical Center","B&W","2 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","Hospital","None"
"882","20974","Exterior of Recorder's Office and Board of Supervisors Auditorium","B&W","1 (Size: 4x5)","2 (Size: 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 1"
"943","20996","Construction progress of new wing of County Hospital & Valley Medical Center","B&W","2 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","Hospital","None"
"973","21004","Construction progress of new County Jail","B&W","1 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","Sheriff's Department","None"
"1416D","21013","Interior of old County Jail - kitchen, cell, cafeteria","B&W","10 (Size: 4x5)","7 (Size: 4x5)","0 (Size: N/A)","Sheriff's Department","None"
"1416E","21013","Exterior of old County Jail with wire showing","B&W","3 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","N/A","None"
"1059","21032","Construction progress of new wing of County Hospital & Valley Medical Center","B&W","2 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","Hospital","None"
"1154","21074","Construction progress of new wing of County Hospital & Valley Medical Center","B&W","2 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","Hospital","None"
"G0230","21076","Portrait of Hayden W. Pitman, Assessor","B&W","7 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","Office of the Assessor","Includes contact prints"
"1194B","21083","Construction progress of new County Jail","B&W","1 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","Sheriff's Department","None"
"1203","21087","Interior of new County Jail - Sheriff Hawley","B&W","3 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Sheriff's Department","None"
"1211","21090","Portrait of George B. Noll, Assessor","B&W","3 (Size: 35mm)","2 (Size: 4x5)","0 (Size: N/A)","Office of the Assessor","None"
"1223","21093","Swearing in of judges - Napoleon J. Menard, Raymond G. Callaghan, and Marshall S. Hall; group photograph of Superior Judges & Superior Courts","B&W","7 (Size: 4x5)","7 (Size: 4x5)","0 (Size: N/A)","Superior Court","None"
"1260","21103","Construction progress of new wing of County Hospital & Valley Medical Center","B&W","2 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","Hospital","None"
"1271","21107","Portrait of Judge William W. Jacka & Superior Courts","B&W","10 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","N/A","Includes contact prints"
"1272","21107","Portrait of Tony Nave, Clerk & Municipal Courts","B&W","8 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","Municipal Court","Includes contact prints"
"1287A","21110","Construction progress of Juvenile Center","B&W","1 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","N/A","None"
"1287B","21110","Construction progress of new County Jail","B&W","1 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","Sheriff's Department","None"
"G0196","21123","John Francisco, Controller - At desk and identification photograph, #164","B&W","5 (Size: 35mm; 4x5)","2 (Size: 2x3)","0 (Size: N/A)","Controller","None"
"1402A","21146","Construction progress of Juvenile Center","B&W","1 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","N/A","None"
"1402B","21146","Construction progress of new County Jail","B&W","1 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","Sheriff's Department","None"
"G0055","21156","Exterior of old County Jail","B&W","1 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","N/A","None"
"1448","21163","Construction progress of Juvenile Center","B&W","2 (Size: 4x5)","2 (Size: 4x5)","0 (Size: N/A)","N/A","None"
"1451","21164","Construction progress of new wing of County Hospital & Valley Medical Center","B&W","2 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","Hospital","None"
"G0288","21186","Portrait of Hayden W. Pitman, Assessor","B&W","0 (Size: N/A)","6 (Size: 4x5; 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 2"
"G0345","21186","Interior and exterior of old Juvenile Hall building","B&W","0 (Size: N/A)","6 (Size: 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 2"
"1554A","21193","Portrait of Judge Marse G. Del Mutolo in front of law books & Superior Courts","B&W","2 (Size: 4x5)","1 (Size: 2.5x3.5)","0 (Size: N/A)","N/A","None"
"1554B","21193","Portrait of Judge Napoleon J. Menard in front of law books & Superior Courts","B&W","9 (Size: 35mm; 4x5)","4 (Size: 4x5)","0 (Size: N/A)","N/A","None"
"1569A","21198","Construction progress of Juvenile Center","B&W","2 (Size: 4x5)","2 (Size: 4x5)","0 (Size: N/A)","N/A","None"
"1569B","21198","Construction progress of new County Jail","B&W","1 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","Sheriff's Department","None"
"1601","21207","Site of Communications Center","B&W","3 (Size: 4x5)","3 (Size: 4x5)","0 (Size: N/A)","Communications Department","None"
"1773A","21217","Crowded conditions - Treasurer","B&W","2 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","N/A","None"
"1773B","21217","Crowded conditions - Building Inspector and Fire Marshall","B&W","2 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","N/A","Damaged negative - buckling emulsion"
"1773C","21217","Crowded conditions - Data Processing Division","B&W","2 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","N/A","None"
"1773D","21217","Crowded conditions - Welfare Department","B&W","7 (Size: 4x5)","2 (Size: 4x5)","0 (Size: N/A)","N/A","Damaged negative - buckling emulsion"
"1773E","21217","Crowded conditions - Controller","B&W","5 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","N/A","Damaged negative - buckling emulsion"
"1773F","21217","Crowded conditions - Office of the Assessor","B&W","8 (Size: 4x5)","2 (Size: 4x5)","0 (Size: N/A)","N/A","Damaged negative - buckling emulsion"
"1724B","21233","Construction progress of County Jail","B&W","2 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","N/A","None"
"1724A","21234","Construction progress of Juvenile Center","B&W","2 (Size: 4x5)","2 (Size: 4x5)","0 (Size: N/A)","N/A","None"
"1744","21241","Judges filing & Courts","B&W","2 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Jury Commissioner","None"
"1758","21243","Board of Supervisor's Seal","B&W","3 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Office of the County Executive - Public Relations","None"
"G0204","21244","San Jose City Hall","B&W","4 (Size: 35mm; 4x5)","1 (Size: 8x10)","0 (Size: N/A)","N/A","Print stored in Box 1"
"G0212","21244","Construction progress of Juvenile Center","B&W","1 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","N/A","None"
"1775","21247","Floor plans of new County Jail","B&W","4 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Sheriff's Department","None"
"1831","21257","Board of Supervisor's Seal","B&W","1 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","N/A","None"
"1845","21262","Grand Jury member card & Courts","B&W","1 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","Jury Commissioner","None"
"1988","21276","Interior of old County Jail - cells, bathroom","B&W","10 (Size: 4x5)","8 (Size: 4x5)","0 (Size: N/A)","Sheriff's Department","None"
"G0310","21276","Portrait of Supervisor Oran L. Slaght","B&W","0 (Size: N/A)","7 (Size: 4x5; 5x7; 8x10)","0 (Size: N/A)","N/A","Prints stored in Box 2"
"1914","21279","1958 Grand Jury & Courts","B&W","4 (Size: 4x5)","1 (Size: 8x10)","0 (Size: N/A)","Jury Commissioner","Prints stored in Box 1"
"G0471","21279","Aerial photograph of downtown San Jose (near S. Market Street and W. San Fernado Street)","B&W","0 (Size: N/A)","1 (Size: 8x10)","0 (Size: N/A)","Planning Department","Print stored in Box 2"
"1934","21283","Crowded conditions - Tax Collector","B&W","9 (Size: 4x5)","2 (Size: 4x5)","0 (Size: N/A)","Tax Collector","Damaged negative - buckling emulsion"
"1975A","21291","Construction progress of Juvenile Center","B&W","1 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","N/A","None"
"1975B","21291","Construction progress of new County Jail","B&W","1 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","Sheriff's Department","None"
"2037","21304","Court room of Judge William W. Jacka & Superior Courts","B&W","4 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","Jury Commissioner","None"
"G0198","21306","John Francisco, Controller","B&W","2 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Controller","None"
"2049","21307","Dedication of new County Jail","B&W","134 (Size: 35mm; 4x5)","4 (Size: 4x5)","0 (Size: N/A)","Sheriff's Department","None"
"2079A","21314","Construction progress of Juvenile Center","B&W","2 (Size: 4x5)","2 (Size: 4x5)","0 (Size: N/A)","N/A","None"
"2079B","21314","Exterior of new County Jail","B&W","4 (Size: 4x5)","3 (Size: 4x5)","0 (Size: N/A)","Sheriff's Department","None"
"2100","21321","Construction progress of new wing of County Hospital & Valley Medical Center","B&W","3 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","Hospital","None"
"2143","21331","Aerial photographs of Almaden Expressway & Roads","B&W","25 (Size: 4x5)","10 (Size: 4x5)","0 (Size: N/A)","Office of the County Counsel","None"
"2150","21333","Judge William F. James and others & Superior Courts","B&W","4 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Jury Commissioner","None"
"2152","21333","Interior of old County Jail - women's quarters","B&W","7 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Sheriff's Department","None"
"2154","21334","New County Jail facilities","B&W","7 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Sheriff's Department","None"
"G0201","21348","Exterior of O'Connor Hospital","B&W","1 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","N/A","None"
"2242C","21361","Construction progress of new wing of County Hospital & Valley Medical Center","B&W","1 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","Hospital","None"
"2236","21362","Exterior of Recorder's Office building","B&W","3 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","N/A","None"
"2242A","21363","Construction progress of Juvenile Center","B&W","3 (Size: 4x5)","2 (Size: 4x5)","0 (Size: N/A)","N/A","None"
"2242B","21363","Exterior of new County Jail","B&W","1 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","Sheriff's Department","None"
"G0183","21367","Seated portrait and identification photograph of Phil Watson, #120","B&W","6 (Size: 35mm; 4x5)","0 (Size: N/A)","0 (Size: N/A)","N/A","None"
"2351","21403","Mr. Wine, Director of Civil Defense","B&W","3 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Civil Defense Office","None"
"G0029","21403","1958 Grand Jury member & Courts","B&W","2 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","N/A","None"
"2377","21408","Old County Hospital and new wing (for publication) & Valley Medical Center","B&W","4 (Size: 4x5)","2 (Size: 4x5)","0 (Size: N/A)","N/A","None"
"2428","21423","Aerial photographs of Neary Quarry, Los Altos Hills","B&W","15 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Office of the District Attorney","None"
"2486","21438","Interior of new County Jail showing improved conditions","B&W","4 (Size: 4x5)","4 (Size: 4x5)","0 (Size: N/A)","Sheriff's Department","None"
"2505","21445","Padded cell in psychiatric ward of new County Jail","B&W","3 (Size: 4x5)","3 (Size: 4x5)","0 (Size: N/A)","Sheriff's Department","None"
"2507","21446","Aerial photographs of Almaden area","B&W","32 (Size: 4x5)","4 (Size: 4x5)","0 (Size: N/A)","Office of the County Counsel","None"
"2521","21452","Interior and exterior of padded cell in County Jail","B&W","3 (Size: 4x5)","3 (Size: 4x5)","0 (Size: N/A)","Sheriff's Department","None"
