"grant_period","grant_number","recipient","project_title","amount","abstract","county","oregon_congressional_district","library_type"
"2015-2016","15-01-4p","Baker County Library District","Baker County Pre-K Links","42400.00","The Baker County Library District Pre-K Links projects will improve conditions for student success by increasing parental involvement with early learning activities. Identical, internet capable tablets will be placed in the public library and preschools, preloaded with early-learning applications that support the curriculum. A preliminary questionnaire will assess parents' information literacy skills regarding effective use of the internet to address family needs. Mandatory training prior to checking out a tablet will include instruction on how to use the device and learning apps, plus build skills in identifying online resources that target the needs indicated on the questionnaire. Changes in parental involvement will be tracked by the preschools, comparing attendance and participation levels pre and post project. Participating families will be registered for the Ready 2 Learn program to ensure an on-going connection with early learning resources and activities.","Baker","2","public"
"2015-2016","15-03-1p","Hood River County Library District","Odell Outreach: Reaching Out to Hood River County's Adult Spanish Speakers, Year 2","25319.00","Hood River County has a large and historically underserved Latino population, especially in the community of Odell in the Hood River Valley. Hood River County Library District improved service to Spanish speakers by expanding the hours and scope of its outreach specialist. In this second year of the project, the outreach specialist will continue to coordinate and deliver literacy services in the county with an emphasis on Odell.  She will build relationships with stakeholders and expand program offerings.","Hood River","2","public"
"2015-2016","15-04-2p","Ready to Learn Coalition","Ready to Learn, Year 3","183836.00","The objective of the Ready 2 Learn project is to address Oregon's 40/20/20 Vision by addressing pre-kindergarten education. Year two is managed by a program coordinator, with two part-time outreach staff workers.  A coalition of public libraries and partners in Union, Umatilla, Grant, Baker and Wallowa counties participates.  The libraries issue Ready 2 Learn cards to children ages 0-5.  Each time a book is checked out or a library program is attended, children accrue a minimum of $.02 per activity with the Oregon College Savings Plan. Libraries also send and hand out monthly newlsletters with early learning objectives to parents. Kindergarten Readiness Assessment scores will be compared with a group not participating as the project progresses.","multiple","2","public"
"2015-2016","15-05-4p","Josephine Community Libraries, Inc.","Expanding Opportunities Program, Year 3","70892.00","The Expanding Opportunities Program seeks to meet the needs of citizens looking to improve their lives in the areas of education, employability, and entrepreneurship; specifically by partnering with service providers and delivering information literacy workshops on resources available through the libraries. Year 1 of the program emphasized program setup and needs assessment. Year 2 is expanding offerings to meet the information literacy needs of the target audience. Year 3 will be about refining and replicating the program, and will include assessment of Year 3 partner needs, further development of the Library Ambassadors, development and delivery of four new presentations, exploration of new ideas for extending the reach of the library and mitigating the digital divide, and packaging of the program for replication.","Josephine","2 & 4","public"
"2015-2016","15-08-2e","Oregon Department of Geology & Mineral Industries","Historic Mining and Minerals Records","39962.00","Significant, often fragile historic mining records are scattered in small collections at historical societies, libraries, museums, and local and state government offices across Oregon. The information contained in these records is used to identify natural, industrial and physical hazards and natural resources. This project will: 1) conduct a pilot project to assemble and digitize files held by Baker County, by historical societies in western Jackson and Josephine counties, and Dept. of Oregon Geology and Mineral Industries' (DOGAMI) Mined Land Regulation and Reclamation Program 2) prepare metadata, organize and serve the files on the DOGAMI website and 3) prepare an inventory of such resources held by other historical societies, local libraries, etc.","statewide","statewide","special"
"2014-2015","14-08-1m","Pacific University Library","Washington County Oral Histories: A Planning Grant","36809.00","This project will survey Washington County’s existing oral history collections and plan for the curation of new oral histories. It will identify under-represented communities within the county whose experiences are not well documented, yet are of vital interest to preserve. The project will involve the communities themselves in selecting the most crucially important stories to record and preserve. Finally, this project will recommend a plan for preserving and making existing oral histories available online.","Washington","1","academic"
"2014-2015","14-07-2a","Oregon State University Libraries","Development and Management of Building Oregon: Architecture of Oregon and the Pacific Northwest","68635.00","OSU will create a web-based tool, optimized for use in a mobile environment that takes the University of Oregon’s Building Oregon: Architecture of Oregon and the Pacific Northwest collection, and makes it accessible to users in a mobile app, leveraging the tools and capabilities that the mobile environment provide.  Building Oregon is a traditional digital collection of approximately 20,000 images representing approximately 5,000 cultural properties from nearly 500 sites. Once the mobile tool has been created, OSU Libraries will release the framework on open source code repositories, like GitHub, for other libraries with digital collections to use to mount their own digital collections or repurpose existing digital collections in a mobile environment.","Benton","4","academic"
"2014-2015","14-01-2p","Albany Public Library, Lebanon Public Library, & Linn-Benton Community College","Linn County Cooperative Library System","67558.00","In the summer of 2012, the combined libraries of the cities of Albany and Lebanon as well as Linn-Benton Community College migrated their holdings and patron databases to a shared Evergreen ILS, and called its system the Linn Consortium. This project extends the shared ILS to include other interested public libraries within Linn County. The benefits of doing are several fold, including lowering maintenance costs, and sharing technical assistance.  This proposal also provides for consultation and assistance for libraries to establish a new or improved web presence, including a union catalog. Year two will enable patron-initiated requesting and courier service.","Linn","4","multiple"
"2014-2015","14-05-2m","Sage Library System","A Clean Slate: Increasing Cataloging Capacity in the Sage Library System","45471.00","The Sage Library System covers literally half of the state of Oregon, including over 70 libraries of various types. Unfortunately, the varying skills levels in the system, paired with recent growth in the consortium, has resulted in an inconsistent bibliographic database. This frustrates patrons who use the online catalog (http://catalog.sage.eou.edu) and makes it difficult for them to find what they want. Sage seeks funds to hire a fulltime Cataloging Specialist to train Sage members in cataloging.  They will also clear up database inconsistencies, and lay the groundwork for consistent cataloging so that Sage can better connect its patrons with the items they want.","multiple","2","multiple"
"2014-2015","14-02-1p","Hood River County Library District","Odell Outreach: Reaching Out to Hood River County's Adult Spanish Speakers","24072.00","Hood River County has a large and historically-underserved Spanish-speaking population, especially in the community of Odell in the Hood River Valley. Hood River County Library District will better serve Spanish-speakers by expanding the hours and scope of its outreach librarian. Currently shared half-time at another agency, this individual would be brought on full-time at the library for two years. With expanded hours, they would coordinate and deliver literacy services in the county with a special emphasis on Odell by bringing together stakeholders in literacy, expanding offerings, publicizing within the community, and bringing regular library service to Odell.","Hood River","2","public"
"2014-2015","14-04-1p","Ready to Learn Coalition","Project Ready to Learn, Year 2","168669.00","The objective of the Ready to Learn project is to address Oregon’s 40/20/20 Vision by addressing early childhood education. Year one of Project Ready to Learn is currently underway and being managed by a Program Coordinator, three Outreach Staff Workers and a coalition of public libraries and partners in Union, Umatilla, Grant, Baker and Wallowa Counties.  Ready to Learn library cards have been issued to families of children birth through age five.  Each time a book is checked out or a library program is attended children accrue $.02 per activity. The accumulated credits are being deposited into an Oregon College Savings Plan Account connecting early learning and kindergarten readiness with college attendance as an end goal. In addition to incentivizing library use, monthly newsletters and early learning objectives are the focus of programs of quarterly parent trainings. Kindergarten Readiness Assessment scores will be compared with non-Ready to Learn participants upon completion of the program.","multiple","2","public"
"2014-2015","14-06-2p","Coos Bay Public Library","Gadget Gallery","5400.00","As more digital library materials and services are offered, library staff find themselves falling behind the technology offered. The Gadget Gallery project will allow library staff to learn how to effectively use downloadable materials and in turn be able to train and assist patrons with these devices and materials.","Coos","4","public"
"2014-2015","14-30-1p","Astoria Public Library, Seaside Public Library, & Warrenton Community Library","Libraries ROCC! (Rural Outreach in Clatsop County), Phase 2, Year 2","100580.00","Working with the school districts, Seaside, Warrenton and Astoria Public Libraries will offer public library cards to all Clatsop County children regardless of residence location.  Staff will visit schools and work with the school district to issue children a library card at the public library of their choice for one full year. The libraries will share materials via interlibrary loan and hire a consultant to look for future avenues of cooperation to strengthen service. They will partner with community foundations and organizations to work towards sustainability.","Clatsop","1","public"
"2014-2015","14-03-4p","Josephine Community Libraries, Inc.","Expanding Opportunities Program, Year 2","68363.00","Josephine County has lower rates of high school and college graduates and higher rates of unemployment than the rest of the state. Business enterprises can use more support to succeed, grow, and hire more employees. The Expanding Opportunities Program seeks to meet the needs of Josephine County citizens looking to develop their prospects and improve their lives in the areas of education, employability, and entrepreneurship; specifically by partnering with local service providers and delivering information literacy training workshops on the resources and technology available through the library system. Year one of the program emphasizes program setup, needs assessment, and connection with partnering organizations. Year two will focus, refine, and grow the program offerings to meet the information literacy needs of the target audience.","Josephine","2 & 4","public"
"2014-2015","14-32-1p","St. Helens Public Library","Come to the Library: Serving Unserved Families in the St. Helens School District, Year 3","59665.00","Come to the Library extends programs, collections and services of the St. Helens Public Library to unserved families in the St. Helens School District. The Library will heavily subsidize family library card costs for the unserved, and send youth services staff to reach out to all children in the school district to encourage use of the library via afterschool programs, and off-site summer reading activities.","Columbia","1","public"
"2013-2014","13-08-1a","Portland State University","Oregon Public Speakers Preservation and Access Project","9932.00","Portland State University Library holds approximately 250 hours of original reel-to-reel audio recordings, representing over 200 public speaking events recorded on the Portland State campus from the 1950s through the 1970s. As primary documentation of the visits of noted public figures in government, foreign policy, education, science, the arts, and social activism, these unique recordings capture an important moments of contemporary culture.  At this time, however, this entire collection of recordings is entirely inaccessible. Playback in the original format may cause irreversible damage and loss due to the fragile nature of the medium. The goal of this project is to preserve these invaluable and unique resources through transfer to a digital format and to make them easily and freely accessible online to a broad range of users.","Multnomah","3","academic"
"2013-2014","13-10-2a","University of Oregon Libraries","Easy and Affordable Hosted Streaming Media for Libraries","47700.00","This project will utilize open source software to provide a centralized streaming media service that will allow students, faculty, and other patrons to remotely access sound recordings, musical scores, videos, poetry, performances, oral histories, and other media.  In accordance with the Association of Research Libraries Code of Best Practices in Fair Use for Academic and Research Libraries, and the Music Library Association’s Statement on Copyright Law and Fair Use in Music, digitization efforts will focus on course reserves, public domain materials, and materials in need of preservation.  The use of cloud-based computing allows this service to serve multiple institutions in a sustainable and cost-effective manner.","Lane","4","academic"
"2013-2014","13-02-1p","Cornelius Public Library","Expanding Latino Outreach, Year 2","4023.00","The Latino population in Cornelius has exceeded 50% and this population’s demand for library services is increasing far more quickly than staff resources. The Cornelius Library continues its efforts in year two to extend its successful Latino Outreach program.  The project offers a paid internship to a bilingual graduate student to work with the Cornelius Library Latino Outreach Coordinator to provide information, storytimes and special programs in the community. We will expand the reach of Spanish language library services to more of the community by creating  a simple, sustainable program to have paid interns offer basic library services to more agencies and people.","Washington","1","public"
"2013-2014","13-03-4p","Josephine Community Libraries, Inc.","Expanding Opportunities Program","61920.00","The Expanding Opportunities Program seeks to meet the needs of Josephine County citizens looking to develop their prospects and improve their lives in the areas of education, employability, and entrepreneurship; specifically by partnering with local organizations and providing training on the resources and technology available through the library system.","Josephine","2 & 4","public"
"2013-2014","13-04-2p","Multnomah County Library","Homework Help at Multnomah County Library, Year 2","158215.00","The goal of year two of Homework Help is to identify and evaluate the homework reference needs of students, educators, parents and librarians.  This information will help design an integrated homework help tool that will effectively respond to needs using new digital technologies. Biblio Schools and Bibliocommons are being considered for a platform.","Multnomah","3","public"
"2013-2014","13-05-1p","Oregon City Public Library","Early Oregon Voices: Digitizing Historic Oregon City Newspapers","22905.00","Early Oregon Voices: Digitizing Historic Oregon City Newspapers will digitize the early Oregon newspapers published in Oregon City from territorial days to 1922.  The project will contract with the Oregon Digital Newspaper Program (ODNP) at the University of Oregon to microfilm some recently discovered original papers, conserve and improve the readability of some existing microfilm and digitize the papers.  The papers will be added to the Historic Oregon Newspapers website and linked via the Library's homepage.","Clackamas","5","public"
"2013-2014","13-09-4p","Ready to Learn Coalition","Project Ready to Learn","189669.00","A coalition of public libraries, the Oregon College Savings Plan, professors, and an Educational Service District address readiness for Kindergarten. Partners will incentivize school readiness and provide measurable data on the impact that public library services have on early literacy development in a five-county area of Eastern Oregon. With the Savings Plan, partners will establish planning for college as a part of early learning.  Parents of children ages 0-5 will receive a “Ready to Learn Card” much like a library card. The card will generate an account in the Savings Plan for the child.  Every time the card is used $.02 will be credited to the child’s account. Test scores on entry to Kindergarten will be compared with non-participants.","multiple","2","public"
"2013-2014","13-30-1p","Astoria Public Library & Seaside Public Library","Libraries ROCC! (Rural Outreach in Clatsop County), Phase 2, Year 1","95040.00","Working with the school districts, Seaside and Astoria Public Libraries will offer public library cards to all Clatsop County children regardless of residence location.  Staff will visit schools and work with the school district to issue children a library card at the public library of their choice for one full year. The libraries will share materials via interlibrary loan and hire a consultant to look for future avenues of cooperation to strengthen service. They will partner with community foundations and organizations to work towards sustainability.","Clatsop","1","public"
"2013-2014","13-32-1p","St. Helens Public Library","Come to the Library: Serving Unserved Families in the St. Helens School District, Year 2","57340.00","Come to the Library extends programs, collections and services of the St. Helens Public Library to unserved families in the St. Helens School District. The Library will heavily subsidize family library card costs for the unserved, and send youth services staff to reach out to all children in the school district to encourage use of the library via afterschool programs, and off-site summer reading activities.","Columbia","1","public"
"2012-2013","12-04-5a","Oregon Health & Sciences University Library","Oregon National Primate Research Center Rare Book Digitization Project","15797.00","The Oregon National Primate Research Center's Isabel McDonald Library holds a collection of rare books on monkeys, apes and other non-human primates published between the 18th and early 20th centuries. The collection includes books owned by few libraries in the USA or worldwide. Many of these rare books are too fragile or valuable to permit interlibrary loan and are not available online. The ONPRC Library will collaborate with the OHSU Library's experienced digital collections personnel to digitize approximately ten books in the public domain that represent non-human primates as subjects of scientific study. Digitizing a selection of these books will preserve them for the future whilst making these hidden gems available to all interested parties in Oregon and around the world.","Multnomah","3","academic"
"2012-2013","12-06-4m","Oregon State University Libraries","Development and Management of Oregon's Tribal Archives, Year 2","19180.00","The second year of this project will address the need for in-depth archives and records management training for Oregon's nine federally recognized tribes. The need for this training will be met through the planning and implementation of a one-week institute that will cover basic and advanced concepts and requirements for tribes to establish or improve their archives and records management programs. The training will be based at Oregon State University and will be at no or low cost to tribal participants.","Benton","4","academic"
"2012-2013","12-07-5m","Pacific University Library","Washington County Heritage Online, Year 2","101075.00","Washington County has many organizations which collect and house materials about the county's history. The resources held by this plethora of cultural institutions lack any kind of central organization, which limits access. In addition, many of these collections consist of fragile or uncataloged groups of objects, and this increases the difficulty in accessing the items. Pacific University and Washington County Museum continue organizing these collections by building a unified digital collection of historic images related to this region - Washington County Heritage Online (WCHO). The focus of year two is to enhance partnerships with local organizations, continue digitization and metadata creation, promote WCHO, and ensure that WCHO can be both self-sustaining and expandable for the future.","Washington","1","academic"
"2012-2013","12-10-5a","University of Oregon Libraries","Access to Oregon Folklife Collections Project, Year 2","40573.00","In the second year of this multi-year project, the Archives of Northwest Folklore will improve access to Oregon Folklife Program (OFP) collections in a project that makes effective use of existing library technologies and programs, notably the Archivists' Toolkit (AT), a free and open-source data management system that facilitates publication of finding aids and catalog records, and Northwest Digital Archives (NWDA), an Orbis Cascade Alliance program that provides access to finding aids through an online database. The collections comprise fieldwork documentation generated by of the OFP, which was located at the Oregon Historical Society (OHS) until 2009, and replaced in 2011 as the state's public folklore organization by the Oregon Folklife Network (OFN), located at the University of Oregon. In this year of the project the Archives will use tools it developed during the first year to minimally reprocess collections, inventory and assess media materials, build a collections database, and publish finding aids and catalog records. The primary goal is to improve public access to Oregon folklife collections.","Lane","4","academic"
"2012-2013","12-11-5a","University of Oregon Libraries","Historic Oregonian Digitization","125742.00","The Oregonian is the paper of record for the state of Oregon. Access to its content is restricted by the ability to travel to a library and use microfilm. This content is vital and important for historical, educational, and economic purposes and should be available to all Oregonians. This project will digitize approximately 214,500 pages from the historic Oregonian (1906-1922) and provide free and open access through the Historic Oregon Newspapers website at http://oregonnews.uoregon.edu/.","Lane","4","academic"
"2012-2013","12-12-5a","University of Oregon Libraries","Oregon Women's Political History Collection Processing Project","13017.00","The several manuscript collections that together form the Oregon Women's Political History Collections constitute 284 linear feet of manuscript materials relating to women's political and activist work in Oregon in the latter half of the twentieth century. These collections contain correspondence, reports, photographs, financial papers, and publications and provide a window into the work of the women activists whose efforts focused on achieving equal human rights for all people in Oregon. Unprocessed, these collections are essentially hidden from researchers in Oregon and elsewhere that could benefit from access to these materials. The story of women's political work in Oregon in the mid-to-late twentieth century has not been fully told; these primary source documents, the sources necessary for the writing of history, are essential to that process. Staff will create and publish finding aids for access to this collection.","Lane","4","academic"
"2012-2013","12-13-1a","Western Oregon University Library","Cooperative Governors' Papers Project (Implementation Grant)","68344.00","A consortium of three public and private higher education libraries (Willamette University, Portland State University, and Western Oregon University) will identify, solicit, process, and preserve the non-official and personal papers of three of the Oregon governors since World War II. Information about the collections will be made available online and selected portions of the collections will be digitized for access and viewing on the Web. The scope of the proposal is all materials other than those collected by the Oregon State Archives in Salem. The first part of the project will endeavor to identify the locations and ownership of gubernatorial papers and to create a listing of whose papers are where. A second goal of the project is the cross training among the three institutions on the systematic processing of political papers. This will be followed by a small proof-of-concept project for processing and digitizing of select portions of the Straub collection to determine time and resources needed for a larger initiative that would encompass non-official gubernatorial papers across institutions.","Polk","5","academic"
"2012-2013","12-01-1p","Cornelius Public Library","Expanding Latino Outreach","9645.00","The Latino population in Cornelius has exceeded 50% and demand for library services is increasing far more quickly than staff resources. The Cornelius Library will develop a program to extend its successful Latino Outreach program using library school students. The project will offer a paid internship to a bilingual graduate student to work with the Cornelius Library Latino Outreach Coordinator to provide information, storytimes and special programs in the community. The program will expand the reach of Spanish language library services to more of the community by creating a simple, sustainable program to have paid interns offer basic library services to more agencies and people.","Washington","1","public"
"2012-2013","12-02-5p","Multnomah County Library","Homework Help @ Multnomah County Library","122055.00","In the first year of two, Homework Help will to identify and evaluate the homework reference needs of students, educators, parents, and librarians for the purpose of designing an integrated homework help tool that will effectively respond to young people's needs and experience using new digital technologies. A full-time Project Coordinator (part-time in year two), assisted by a Project Consultant, will help learn more about the online habits and behaviors of students ages eight and older.","Multnomah","3","public"
"2012-2013","12-03-3p","Multnomah County Library","Listos Para Aprender","45420.00","The goal of Listos Para Aprender is to make Multnomah County Library's present Spanish storytimes more culturally appropriate programs that enhance the development of literacy among young Spanish-speaking children ages three to five, and empower parents by raising their awareness about ways to help their children get ready for school. A newly hired part-time Bilingual Library Outreach Specialist (Project Coordinator) will conduct outreach to the Latino community and coordinate a pilot program at three neighborhood libraries serving large numbers of Spanish-speaking families (Troutdale, Midland, Kenton).","Multnomah","3","public"
"2012-2013","12-08-6p","Salem Public Library","Reaching Out: A Community Assessment Model","50700.00","Reaching Out: A Community Assessment Model will conduct a statistically valid survey of the library needs of the Salem community. The results of this survey will be used to chart the course of future library services and programs at Salem Public Library. A community assessment toolkit will be created that can be used by other libraries. This toolkit will include information that will help other libraries develop, implement and analyze their own community surveys, and will be made available through a website that will include information and online calculators, as well as suggestions for scaling the project to each community.","Marion","5","public"
"2012-2013","12-09-6p","Tualatin Public Library","Natural Resources: Mining the Knowledge and Talents of Older Adults","39853.00","Natural Resources seeks to tap older adults as a community resource in three areas: 1) to create an inventory of skills and talents of adults ages 55+ who are willing to lend their expertise to individuals and groups; 2) to provide intergenerational opportunities for learning by engaging adults to foster the love of reading in young children; and, 3) to gather feedback about current library services and make changes to improve the library experience for older adults.","Washington","1","public"
"2012-2013","12-30-1p","Astoria Public Library & Seaside Public Library","Libraries ROCC! (Rural Outreach in Clatsop County), Year 3","83300.00","Working with the school districts, Seaside and Astoria Public Libraries will offer public library cards to all Clatsop County children regardless of residence location.  Staff will visit schools and work with the school district to issue children a library card at the public library of their choice for one full year. The libraries will share materials via interlibrary loan and hire a consultant to look for future avenues of cooperation to strengthen service.","Clatsop","1","public"
"2012-2013","12-31-1p","East Linn County Public Libraries of Lebanon, Sweet Home, & Scio","Opening the Doors Wider: Serving the Unserved in East Linn County, Year 3","18649.00","Opening the Doors Wider is designed to develop new non-resident library patrons by offering them a discounted card for three consecutive years, with the discount decreasing over three years from 90% to 75% to 50%. During that time each library will use grant funds to complete the cost of the card, with the grant funds in part being used for programming and collection development that reflect the needs and interests of these new patrons. In addition, the three libraries request support to establish and maintain regular meetings that will insure that the discounted cards program is on target.","Linn","4","public"
"2012-2013","12-32-1p","St. Helens Public Library","Come to the Library: Serving Unserved Families in the St. Helens School District","65358.00","Come to the Library extends programs, collections and services of the St. Helens Public Library to unserved families in the St. Helens School District. The Library will heavily subsidize family library card costs for the unserved, and send youth services staff to reach out to all children in the school district to encourage use of the library via afterschool programs, and off-site summer reading activities.","Columbia","1","public"
"2012-2013","12-05-6o","Oregon Historical Society","Oregon History on the Road: Two Traveling Exhibits for Libraries","25396.00","The Oregon Historical Society will offer two traveling exhibits. The four objectives are to: 1) convert congruent panels of OHS's recent stationary exhibit, Landmark Legislation, into a traveling display that can be hosted with the full 16-panels or as a two-panel exhibit 2) convene an advisory group of three public librarians to serve as program advisors to develop a comprehensive list of relevant program options for local customization and implementation; 3) print 10,000 promotional bookmarks for shared use by hosting libraries; and 4) coordinate the loan schedule of the 32 panels that will comprise Landmark Legislation and Oregon: 150 Years of Statehood, 150 Million Years in the Making, to an estimated eight requesting libraries each month.","Multnomah","3","special"
"2011-2012","11-03-5a","Lewis and Clark College, Aubrey R. Watzek Library","Oregon Poetic Voices, Year 2","29803.00","This project will create a central archive of recorded poetry by Oregon poets that is accessible to the public. This archive is needed to provide wide-ranging access to Oregon's rich poetic heritage, to maintain a record of poetry in performance and a means for the interpretation of these poems, and to serve as a vital teaching tool for educators across the state. The goals in the second year of ""Oregon Poetic Voices"" will be to further develop and make permanent the program, to create additional recording ""studios"" across the state, and to greatly increase the number of recorded materials used for the project. This project will continue to develop and administer poetry workshops around the state; to continue to digitize existing recordings available to Lewis & Clark College Special Collections for which there is copyright clearance; and to continue to update and improve the web page (www.oregonpoeticvoices.org), which allows the state's poets, teachers, and students to have access to all the posted materials, and is also available for access by the visually impaired.","Multnomah","3","academic"
"2011-2012","11-08-4m","Oregon State University Libraries","Development and Management of Oregon's Tribal Archives","10795.00","This project will address the need for in-depth archives and records management training for Oregon's nine federally recognized Indian tribes. Establishing formal and sustainable archives and records management programs by the tribes has been difficult in part due to the lack of affordable and location-accessible training opportunities for tribal members with responsibilities for records. The need for this training will be met through the planning and implementation of a one-week institute that will cover the basic concepts and requirements for tribes to establish or improve their archives and records management programs. The training will be based in Oregon and will be at no or low cost to tribal participants.","statewide","statewide","academic"
"2011-2012","11-09-5m","Pacific University Library","Washington County Digital Library","107925.00","Washington County has many cultural organizations which are collecting or housing materials about the county's history. Use of these unique and valuable materials is limited due to the lack of easy accessibility to the dispersed and often fragile physical collections. Washington County Museum and Pacific University Library, in collaboration with libraries and historical societies throughout the county, propose to build a unified digital collection of historical images related to this region, to be called the Washington County Digital Library (WCDL). The first year objectives are to establish the administrative structure for a sustainable project, build the technical, digital, and metadata infrastructure for WCDL, access collections and develop criteria for digitization and digitize a core collection of 6000 images and build partner capacity through training on standard practices. This project will greatly increase public access to the visual history of Washington County.","Washington","1","academic"
"2011-2012","11-13-5a","University of Oregon Libraries","Oregon Folklife Collections Access Project","37401.00","This project will improve public access to Oregon folklife collections in the Randall V. Mills Archives of Northwest Folklore and the Oregon Folklife Network, formerly the Oregon Folklife Program. These resources document communities that are underrepresented in the cultural record of the region and underserved by cultural heritage organizations. The project will build on a previous collaboration between the Folklore Program and the UO Libraries to implement the Archivists' Toolkit and develop a database for 3,500 fieldwork collections. In the first year the Archives will complete three major activities: 1) Inventory and preservation survey of media materials in the Archives' collections; 2) Publication of findings aids and catalog records for these collections in Northwest Digital Archives (NWDA), and OCLC WorldCat; 3) Development of a Northwest Folklife Digital Collection.","Lane","4","academic"
"2011-2012","11-14-1a","Western Oregon University Library","Cooperative Governors' Papers Project: A Planning Grant","51268.00","A consortium of three public and private higher education libraries (Willamette University, Portland State University, and Western Oregon University) will cooperatively identify, solicit for donation, process, and preserve the non-official and personal papers of the 13 Oregon governors since World War II. Selected portions of the collections will be digitized for access and viewing on the Web. The scope of the proposal is all materials other than those collected by the Oregon State Archives in Salem. This project is an identification and proof-of-concept phase that would set the stage for a larger project dependent on the outcome of the discovery portion of this first effort.","Polk","5","academic"
"2011-2012","11-06-6m","Oregon Council of Teachers of English on behalf of Oregon Encyclopedia","Libraries as Community Research Centers","76430.00","Much of Oregon's community knowledge, history, and culture is undocumented. This is particularly true for ethnic minorities, women, and rural populations. This project will add to an authoritative publication, The Oregon Encyclopedia, which documents the history of these under-represented people. Through a series of workshops and meetings led by trained historians and hosted by public, academic, and school libraries, the Libraries as Community Research Centers project is committed to providing an opportunity for Oregon students to contribute entries to the Encyclopedia. By working with students, tribal members, teachers and librarians, public, academic and tribal libraries will be strengthened as centers for research. The meetings will also generate 120 Encyclopedia entries that will be posted to the OE web site (http://www.oregonencyclopedia.org/).","statewide","statewide","multiple"
"2011-2012","11-07-1o","Oregon Afterschool for Kids","Afterschool Resource Library Partnership","26500.00","The goal of this project is for OregonASK to form partnerships with six libraries throughout Oregon to increase the resources available to afterschool professionals. By increasing the resources available, the long term outcome would be to increase connections within the community and increase quality of programs offered to children and youth.","statewide","statewide","other"
"2011-2012","11-01-1p","Canby Public Library","Improving Library Services to Canby's Spanish Speaking Community","76903.00","As a key component of the library's comprehensive efforts to increase use of the library by members of the Canby area's Latino community, this grant would provide the Canby Public Library with a one year, fulltime Spanish bilingual librarian. The work of the project librarian will be focused in six different areas: 1) research and information gathering; 2) relationship building with community partners; 3) collection development; 4) marketing; 5) creation and implementation of library programming; and 6) mentoring and training of permanent library staff, so that the work undertaken is sustainable after the grant period has ended.","Clackamas","5","public"
"2011-2012","11-02-1p","Eugene Public Library","Story-Time-To-Go","38885.00","Story-Time-To-Go is a program with three components aimed at increasing early literacy among underserved children who are not able to access story times offered at the library. A team of trained volunteers will bring a weekly story time to locations where these children are, such as day cares or recreation centers, with an emphasis on reaching low-income preschool age children. The volunteers will use a Story-Time-To-Go kit compiled by trained library professionals; the kits will also be available for checkout by any cardholder, spreading the potential for early literacy development even further. To reach even more children, the library will offer a free Presenting Story Time class teaching the tools for leading effective story times.","Lane","4","public"
"2011-2012","11-04-4p","Multnomah County Library","D.I.Y. Intern Program - Toolkit for Success","50767.00","The goal of D.I.Y. Intern Program-Toolkit for Success is to develop a consistent internship program for Multnomah County Library and other public libraries that provides adequate support and guidance for interns and results in the delivery of effective library services to the public. A Project Consultant will work with an Advisory Committee of volunteer management specialists to create a comprehensive internship program at MCL, and to develop and distribute a toolkit of resources for use by other public libraries.","Multnomah","3","public"
"2011-2012","11-10-1p","Salem Public Library","Teen Library Creation Station","13500.00","As the Salem Public Library works to improve service to teens in the community by creating a Teen Library area and new services, it is clear that technology will be key to attracting and engaging teen users. To catch the attention of teens and generate new interest the library needs advanced and sophisticated programs, tools, and software. The goal of the Creation Station project is to enhance the new Teen Library with the addition of two high-end computing stations (one Mac; one PC) equipped with graphic design, web design, and photo, video, and music editing software where students can produce multi-media projects for academic, job-skill development, and personal applications. Objectives include assembling and equipping the two computer workstations, training staff and volunteers to assist users, marketing the Creation Stations to attract regular use, and fostering a community benefit by linking teens to organizations and businesses who would be interested in products developed at the stations.","Marion","5","public"
"2011-2012","11-11-3p","Tualatin Public Library","Kit & Kid-Oodles of Books","10675.00","The goal of Kit & Kid-Oodles of Books is to provide early literacy outreach services to daycare providers in Tualatin. Currently, these care centers are unable to attend early literacy programs at the library. They also have limited or no early literacy training. This grant would create a rotating collection of kits containing books and early literacy resources for children ages birth to age five. The library will hire an early literacy professional who will provide instruction for care providers on how to read to children, how to extend the story time experience, and how to impart early literacy messages through books, songs, and activities.","Washington","1","public"
"2011-2012","11-12-2y","Umatilla County Special Library District","Surfing Umatilla County","20000.00","Public libraries were identified in the 2010 Federal Communications Commission's National Broadband Plan, ""Connecting America"" as an important resource for access to introductory computer skills training. However, library staff is not always able to set aside the time to prepare materials for such training and it is offered ""on the fly"" if at all. To address this issue in Umatilla County, library staff at the Pendleton Public Library will prepare kits for teaching computer skills at a level sufficient to enable use of public Internet computers. Eleven kits will be prepared, one for each of the other libraries in Umatilla County. Pendleton Library staff will conduct ""train the trainer"" sessions for staff at the other libraries using the equipment available at each site. By the conclusion of this project, every library in Umatilla County will have the materials, knowledge and capacity to offer ongoing introductory computer training.","Umatilla","2","public"
"2011-2012","11-30-1p","Astoria Public Library & Seaside Public Library","Libraries ROCC! (Rural Outreach in Clatsop County), Year 2","79145.00","Working with the school districts, Seaside and Astoria Public Libraries will offer public library cards to all Clatsop County children regardless of residence location.  Staff will visit schools and work with the school district to issue children a library card at the public library of their choice for one full year. The libraries will share materials via interlibrary loan and hire a consultant to look for future avenues of cooperation to strengthen service.","Clatsop","1","public"
