"agency_sponsor","title","short_description","start_date_time","end_date_time","state","details","contact_name","phone","contact_email","web_link","calendar_link","map_location","city","audience_type","registration_deadline"
"Columbia Gorge Community College SBDC","Writing an Effective Business Plan-Columbia Gorge Community College SBDC","A well thought out Business Plan is the cornerstone of any business. Learn the essential elements needed to plan for or to continue a successful business . In addition, the comprehensive elements of a SWOT analysis will be studied.","2021-11-18T17:00:00.000","2021-11-18T20:00:00.000","PDT","Cost: $25",,,,"Register and Pay Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=140410153)",,,,,
"Lane Community College SBDC","Intro to Entrepreneurship-Lane Community College SBDC","Decide if running a business is right for you. Learn about...  evaluating your business idea, essential business topics, the importance of market analysis, how to create a business plan, analyzing your idea, and building financial projections.","2021-11-18T15:00:00.000","2021-11-18T17:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=1410057)",,,,,
"SCORE Portland ","Navigating Your Small Business through Financial Milestones-SCORE Portland ","Small Businesses face different financial challenges throughout each life stage of their business. From initial startup investments to deciding when is the right time to hire employees, business owners are constantly evaluating the impact of financial decisions.","2021-11-18T10:00:00.000","2021-11-18T11:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://portlandor.score.org/event/navigating-your-small-business-through-financial-milestones)",,,,,
"SCORE Portland ","Navigating Your Small Business through Financial Milestones-SCORE Portland ","Small Businesses face different financial challenges throughout each life stage of their business. From initial startup investments to deciding when is the right time to hire employees, business owners are constantly evaluating the impact of financial decisions.","2021-11-18T10:00:00.000","2021-11-18T11:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://portlandor.score.org/event/navigating-your-small-business-through-financial-milestones)",,,,,
"Blue Mountain Community College SBDC","HR for your Small Business-Blue Mountain Community College SBDC","This 2- hour course will cover today’s human resource function and will highlight essential basics when hiring employees. The session will be engaging and full of helpful information for employers to know about attracting, hiring, and retaining employees. The difference between 1099 contractors and employees, federal form 941, worker’s comp, and unemployment insurance will be defined, and a review of the reasons benefits, compensation, and consistent business practices are important.","2021-11-18T09:00:00.000","2021-11-18T11:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=10410022)",,,,,
"Secretary of State","Basics Notary Webinar","Free training to become a notary","2021-11-18T09:00:00.000","2021-11-18T12:00:00.000",,"Brush up your notary knowledge and get the answers to your questions by attending a webinar for current and future notaries public. This webinar is a comprehensive and thorough examination of notary basics: purpose, responsibilities and liabilities of a notary; how to notarize; notary certificates and the notary journal. ","Monique Bourque","971-701-5075","monique.bourque@oregon.gov","Notary seminar schedule (https://notsem.sos.state.or.us/)",,,"Salem",,
"Southern Oregon University SBDC","QuickBooks Series: Banking and QuickBooks Online-Southern Oregon University SBDC","This virtual class, over Zoom in our QuickBooks Series, will cover banking, credit cards, reconciliation, and deposits. This class will show how to setup a bank feed and utilize the bank feed features in depth. We will learn how to record deposits and the importance of timing of the deposits, the relationship between AR / AP, undeposited funds, and bank feeds. Also learning how to appropriately record income from 3rd party processing agents. We will touch on how Payroll often appears through the bank account, and how to anticipate accessing help recording those correctly. There will be a smaller discussion regarding how to record personal and business when combined in one account. ","2021-11-17T11:30:00.000","2021-11-17T13:30:00.000","PDT","Cost: $20",,,,"Register and Pay Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=91410038)",,,,,
"Secretary of State","Advanced Notary Webinar","Free advanced training for current notaries ONLY","2021-11-17T09:00:00.000","2021-11-17T12:00:00.000",,"Advanced notary public webinars are appropriate for those who are experienced, commissioned notaries. They do not meet the training qualifications for a notary application and will not help you to pass the exam. These advanced classes discuss employee notary issues, notario and elder abuse fraud, difficult certificates, and journaling witnesses, iPEN and RON notarizations among other topics.","Monique Bourque","971-701-5075","monique.bourque@oregon.gov","Notary seminar schedule (https://notsem.sos.state.or.us/)",,,"Salem",,
"Lane Community College SBDC","E-Commerce, Getting Started Selling Products Online-Lane Community College SBDC","Ebay, Etsy, Amazon, a website; With so many options to sell your products online it’s hard to know what is right for you.","2021-11-16T17:00:00.000","2021-11-16T19:00:00.000","PDT","Cost: $47",,,,"Register and Pay Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=1410049)",,,,,
"Mt. Hood Community College SBDC","How to Hire: Human Resources Fundamentals-Mt. Hood Community College SBDC","Learn the fundamentals of human resources in order to attract and retain high quality talent for your small business, including writing job descriptions, determining employee qualifications, beginning the recruiting process, and hiring best practices.","2021-11-16T14:00:00.000","2021-11-16T16:00:00.000","PDT","Cost: $60",,,,"Register and Pay Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=70410102)",,,,,
" U.S. Small Business Administration (SBA)"," SBA Celebrates Veteran-Owned Small Businesses-U.S. Small Business Administration (SBA)","Join the U.S. Small Business Administration (SBA) for a panel discussion with veteran and military spouse business owners as they share their small business success stories, how they pivoted during the pandemic, and what SBA resources they used to start and grow their businesses.","2021-11-16T11:00:00.000","2021-11-16T12:00:00.000","PDT","Cost: No Fee",,,,"Register Online (https://www.eventbrite.com/e/sba-celebrates-veteran-owned-small-businesses-registration-208142689387?utm_medium=email&utm_source=govdelivery)",,,,,
"Secretary of State","Basics Notary Webinar","Free training to become a notary","2021-11-16T09:00:00.000","2021-11-16T12:00:00.000",,"Brush up your notary knowledge and get the answers to your questions by attending a webinar for current and future notaries public. This webinar is a comprehensive and thorough examination of notary basics: purpose, responsibilities and liabilities of a notary; how to notarize; notary certificates and the notary journal. ","Monique Bourque","971-701-5075","monique.bourque@oregon.gov","Notary seminar schedule (https://notsem.sos.state.or.us/)",,,"Salem",,
"Mercy Corps Northwest (MCNW)","Funding Friday-Mercy Corps Northwest (MCNW)","Access to capital is vital for all small businesses and it provides a unique challenge during COVID‑19. The funding landscape is constantly changing. This short weekly webinar series will:  Provide details about new funding opportunities, Update you on modifications to existing sources of funding, Identify sources of funding that are not yet finalized, but will be available in the near future","2021-11-12T13:30:00.000","2021-11-12T14:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://nw.mercycorps.org/events/funding-friday-111221)",,,,,
"Columbia Gorge Community College SBDC","Developing your Business Brand-Columbia Gorge Community College SBDC","Learn to create a brand style guide to help you present your business consistently. Your visual brand acts as the guide to sharing your product or service both externally and internally and how you communicate your business effectively.","2021-11-12T13:00:00.000","2021-11-12T16:00:00.000","PDT","Cost: $25",,,,"Register Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=140410135)",,,,,
"Oregon Association of Minority Entrepreneurs (OAME) ","Oregon Association of Minority Entrepreneurs (OAME) ","Veterans Committee","2021-11-12T09:00:00.000","2021-11-12T10:00:00.000","PDT","Cost: No fee",,,,"Contact OAME (https://oame.org/contact-oame/)",,,,,
" Oregon Association of Minority Entrepreneurs (OAME)"," Oregon Association of Minority Entrepreneurs (OAME)","Contractors & AEPT Meeting","2021-11-12T07:30:00.000","2021-11-12T09:00:00.000","PDT","Cost: No fee",,,,"Contact OAME (https://oame.org/contact-oame/)",,,,,
"SCORE Portland ","hinking About Buying A Franchise, Now What?-SCORE Portland "," You’ll learn about: What it takes to succeed Qualities of a good franchise system Solidifying your financial plan Questions to ask franchisors and franchisees How to overcome roadblocks","2021-11-11T10:00:00.000","2021-11-11T11:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://readytalk.webcasts.com/starthere.jsp?ei=1502338&tp_key=a007a3ac08&sti=scoreeventpage)",,,,,
"Columbia Gorge Community College SBDC","Starting a New Business-Columbia Gorge Community College SBDC","Are you considering starting a business and don’t know where to start? This course will teach you about business registration, business structure, licensing and basic information needed to get your business started.","2021-11-10T17:00:00.000","2021-11-10T20:00:00.000","PDT","Cost: $25",,,,"Register and Pay Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=140410147)",,,,,
"Columbia Gorge Community College SBDC","Entendiendo estados financieros-Columbia Gorge Community College SBDC","En esta clase hablaremos de los estados financieros de tu negocio, como leerlos, como utilizarlos han la planeaciónde tu negocio y para comparar tu negocio con la industria en la que te encuentras.","2021-11-10T15:00:00.000","2021-11-10T17:00:00.000","PDT","Tarifa: Sin costo",,,,"Registro en línea (https://clients.oregonsbdc.org/workshop.aspx?ekey=140410164)",,,,,
"Mercy Corps Northwest (MCNW)","Consulting: Legal with Zac Padgett-Mercy Corps Northwest (MCNW)","Whether you need help deciding whether to form an LLC or corporation or can’t tell the difference between an independent contractor and an employee, a one-on-one consultation with a lawyer can help you navigate the legal issues your business might face.","2021-11-10T14:00:00.000","2021-11-10T14:50:00.000","PDT","Cost: $25",,,,"Register and Pay Online (https://nw.mercycorps.org/event/legalconsult-zac-111021)",,,,,
"Mt. Hood Community College SBDC","Get Found on Google: 5 SEO Secrets used by The Pros-Mt. Hood Community College SBDC","The average web user won't go past the first five listings on Google. 25% click on the first result they see. How do you get closer to the top position on the first page? It starts by learning how people are searching for your product or service. Learn what your potential customers type in Google and how to rank higher for those searches.","2021-11-10T14:00:00.000","2021-11-10T16:00:00.000","PDT","Cost: $60",,,,"Register and Pay Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=70410095)",,,,,
"The Small Business Administration (SBA) & Public Private Strategies Institute (PPSI)","Resources and Relief for Your Small Business - Community Navigators-The Small Business Administration (SBA) & Public Private Strategies Institute (PPSI)","-Learn more about COVID EIDL and how you can take advantage before December 31, 2021 -Discover tools and resources you can use to start and grow your business -Have your questions answered by SBA Leadership & small business experts -Learn how you can become a vaccine leader in your community -Get an update regarding programs and recent policy announcements made by the Biden-Harris Administration","2021-11-10T11:00:00.000","2021-11-10T12:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://publicprivatestrategies.zoom.us/webinar/register/WN_6YtZbqcIR2aPNuKfO5M8Zw?utm_medium=email&utm_source=govdelivery)",,,,,
"Mercy Corps Northwest (MCNW)","Consulting: Legal with Tom Turnbull-Mercy Corps Northwest (MCNW)","Whether you need help deciding whether to form an LLC or corporation or can’t tell the difference between an independent contractor and an employee, a one-on-one consultation with a lawyer can help you navigate the legal issues your business might face","2021-11-10T11:00:00.000","2021-11-10T11:50:00.000","PDT","Cost: $25",,,,"Register and Pay Online (https://nw.mercycorps.org/event/legalconsult-tom-111021)",,,,,
"Columbia Gorge Community College SBDC","Iniciando un carro de comida-Columbia Gorge Community College SBDC","¿Estás interesado en iniciar tu propio negocio? En esta clase hablaremos de los requisitos y como planear y administrar tu negocio de comida.","2021-11-10T09:00:00.000","2021-11-10T11:00:00.000","PDT","Costo: sin cargo",,,,"Registro en línea (https://clients.oregonsbdc.org/workshop.aspx?ekey=140410169)",,,,,
"Mt. Hood Community College SBDC","Increase Profits and Build Assets for your Business-Mt. Hood Community College SBDC","Learn Tips and Strategies on HOW to make your business profitable and keep the profits growing. Implement a practical financial plan for your business that guarantees profits and insulates against loss. Minimize day to day stress by planning ahead and building wealth.","2021-11-09T14:00:00.000","2021-11-09T15:30:00.000","PDT","Cost: $60",,,,"Register and Pay Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=70410104)",,,,,
"Mt. Hood Community College SBDC","Increase Profits and Build Assets for your Business-Mt. Hood Community College SBDC","Learn Tips and Strategies on HOW to make your business profitable and keep the profits growing. Implement a practical financial plan for your business that guarantees profits and insulates against loss. Minimize day to day stress by planning ahead and building wealth.","2021-11-09T14:00:00.000","2021-11-09T15:30:00.000","PDT","Cost: $60",,,,"Register and Pay Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=70410104)",,,,,
"U.S. Small Business Administration","WOSB Certification Eligibility and Application Process Webinar","Attention: Women in business! Register for upcoming webinars to learn how to get certified for the Women-Owned Small Business federal contracting program, what to do after you're certified and more. ","2021-11-09T12:00:00.000","2021-11-09T13:00:00.000","PDT","Cost: No Fee",,,,"Register Online (https://www.eventbrite.com/e/wosb-certification-eligibility-and-application-process-webinar-tickets-134537728969?utm_medium=email&utm_source=govdelivery)",,,,,
"SCORE Portland ","Don't Fly With Blinders On - Data Fundamentals for Small Businesses-SCORE Portland ","Tracking and monitoring a few key data elements can help us know exactly where we are and recognize right away when things are changing. If you aren't sure how to begin or take the next step in your analytics journey, this talk will help you get started and improve how you use data.","2021-11-09T10:00:00.000","2021-11-09T11:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://readytalk.webcasts.com/starthere.jsp?ei=1502595&tp_key=77e00440d5&sti=scoreeventpage)",,,,,
"Columbia Gorge Community College SBDC","Quickbooks Online 201-Columbia Gorge Community College SBDC","For intermediate QuickBook Online Users. If you have completed QB 101 or are slightly more than a “new user” of QuickBooks, this training will help expand your existing base of knowledge. Class includes lessons in fundamentals of accounting, reconciling bank accounts, inventory, and running reports.","2021-11-05T13:00:00.000","2021-11-05T16:00:00.000","PDT","Cost: $75",,,,"Register and Pay Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=140410144)",,,,,
"Chemeketa Community College SBDC","Meet Your Small Business Development Center-Chemeketa Community College SBDC","Are you just starting out on your business journey? Not sure if owning a business is right for you? Are you wondering where to find out what you need and where you can get expert help to begin? Join us for this brief introduction to business ownership. Find out about the classes and coaching services available through SBDC and our partner organizations. ","2021-11-05T12:00:00.000","2021-11-05T13:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=30410083)",,,,,
"Clackamas Community College SBDC Harmony West","Going Into Business-Clackamas Community College SBDC Harmony West","Remote class using Zoom-Find out what's involved to start and operate a business in Oregon so you can determine if entrepreneurship is the right fit for you. Set yourself up for success and learn about resources that can assist you with financing, researching, and management. This free course is offered by the Small Business Development Center at Clackamas Community College. Registration for this class ends on November 2, 2021!","2021-11-04T18:30:00.000","2021-11-04T21:30:00.000","PDT","Cost: No fee",,,,"Register Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=40410054)",,,,,
"SCORE Portland ","2021 Year-End Tax Planning for Your Business-SCORE Portland ","In this webinar you will learn: Year-end actions to reduce your 2021 tax bill Best business practices to avoid problems with the IRS Strategies for potential tax changes to come Necessary actions to get ready for 2022","2021-11-04T10:00:00.000","2021-11-04T11:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://readytalk.webcasts.com/starthere.jsp?ei=1500273&tp_key=7ca0cc4935&sti=scoreeventpage)",,,,,
"Secretary of State","Basics Notary Webinar","Free training to become a notary","2021-11-04T09:00:00.000","2021-11-04T12:00:00.000",,"Brush up your notary knowledge and get the answers to your questions by attending a webinar for current and future notaries public. This webinar is a comprehensive and thorough examination of notary basics: purpose, responsibilities and liabilities of a notary; how to notarize; notary certificates and the notary journal. ","Monique Bourque","971-701-5075","monique.bourque@oregon.gov","Notary seminar schedule (https://notsem.sos.state.or.us/)",,,"Salem",,
"Columbia Gorge Community College SBDC","Writing an Effective Business Plan-Columbia Gorge Community College SBDC","A well thought out Business Plan is the cornerstone of any business. Learn the essential elements needed to plan for or to continue a successful business . In addition, the comprehensive elements of a SWOT analysis will be studied.","2021-11-04T09:00:00.000","2021-11-04T12:00:00.000","PDT","Cost: $25",,,,"Register Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=140410152)",,,,,
"BOLI | Oregon Bureau of Labor and Industries","37th Annual Employment Law Conference-BOLI | Oregon Bureau of Labor and Industries"," 20+ sessions available – Twice the offerings of last year’s event. Click the link below (under Information) to visit our conference webpage and get the agenda with all the details!  100% virtual event | Participation requires high speed internet connectivity.  Registration includes attendance and links to conference materials. (Links to all sessions and materials will be sent to attendees prior to the event.)","2021-11-04T08:00:00.000","2021-11-05T17:00:00.000","PDT","COST: $350.00",,,,"Register Online (https://events.egov.com/eventreg/OR/registrant.htm?action=new&_event=bolis37thannualemploymentlawconference)",,,,,
"Central Oregon Community College SBDC","Preparándose para el lanzamiento-Central Oregon Community College SBDC","¿Le gustaría empezar su propio negocio? Asista a las clases en la cual aprenderán como tramitar los requisitos necesarios. Para más información, por favor llame a José Balcazar al teléfono 541-318-3701.","2021-11-03T18:00:00.000","2021-11-03T20:00:00.000","PDT","Costo: $29",,,,"Regístrese y pague aquí (https://clients.oregonsbdc.org/workshop.aspx?ekey=20410067)",,,,,
"Hispanic Metropolitan Chamber","Knowledge & Networking Event-Hispanic Metropolitan Chamber","Driving Diversity & Inclusion in Hiring                        ","2021-11-03T12:00:00.000","2021-11-03T13:00:00.000","PDT","Cost: Free for members & $25 for non-members",,,,"Register and Pay Online (https://www.eventbrite.com/e/knowledge-networking-event-driving-diversity-inclusion-in-hiring-tickets-188782221707)",,,,,
"Central Oregon Community College SBDC","Preparing for Launch-Central Oregon Community College SBDC","Do you have a great idea that you think could be a successful business, but just don't know how to get started? Cover the basics in this two-hour class and decide if running a business is for you. ","2021-11-03T11:00:00.000","2021-11-03T13:00:00.000","PDT","Cost: $29",,,,"Register and Pay Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=20410064)",,,,,
"Government Contract Assistance Program (GCAP)","Small Business Innovation Research (SBIR) Grants/Contracts Basics-Government Contract Assistance Program (GCAP)","Do you have an idea or concept that you believe the federal government and general public would be willing to procure? Have you struggled to get your idea down on paper to clearly articulate what it is you are proposing?","2021-11-03T09:00:00.000","2021-11-03T10:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://center-gateway.com/2/gateway/020000/events/62998?utm_medium=email&utm_source=govdelivery)",,,,,
"Secretary of State","Advanced Notary Webinar","Free advanced training for current notaries ONLY","2021-11-02T09:00:00.000","2021-11-02T12:00:00.000",,"Advanced notary public webinars are appropriate for those who are experienced, commissioned notaries. They do not meet the training qualifications for a notary application and will not help you to pass the exam. These advanced classes discuss employee notary issues, notario and elder abuse fraud, difficult certificates, and journaling witnesses, iPEN and RON notarizations among other topics.","Monique Bourque","971-701-5075","monique.bourque@oregon.gov","Notary seminar schedule (https://notsem.sos.state.or.us/)",,,"Salem",,
"U.S. Small Business Administration (SBA)","Federal Business Opportunities for Veterans-U.S. Small Business Administration (SBA)","Are you a veteran owned small business or a service disabled veteran owned small business? If so, federal contracting might be an opportunity for you! Come join the VBOC of the Pacific and the Hawaii Minority Business Development Agency Business Center for this kick off event to the National Veterans Small Business Week to find out if federal contracting is right for you!","2021-11-01T12:00:00.000","2021-11-01T13:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://www.sba.gov/events/1699403)",,,,,
"U.S. Small Business Administration (SBA)","Federal Business Opportunities for Veterans-U.S. Small Business Administration (SBA)","Are you a veteran owned small business or a service disabled veteran owned small business? If so, federal contracting might be an opportunity for you! Come join the VBOC of the Pacific and the Hawaii Minority Business Development Agency Business Center for this kick off event to the National Veterans Small Business Week to find out if federal contracting is right for you!","2021-11-01T12:00:00.000","2021-11-01T13:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://www.sba.gov/events/1699403)",,,,,
"U.S. Small Business Administration (SBA)","National Veterans Small Business Week-U.S. Small Business Administration (SBA)","The U.S. Small Business Administration (SBA) celebrates, connects, and empowers service member (including National Guard and Reserve), veteran, and military spouse entrepreneurs and business owners – past, present, and future – during National Veterans Small Business Week (NVSBW). NVSBW 2021 will take place on November 1-5, 2021.","2021-11-01T06:00:00.000","2021-11-01T14:30:00.000","PDT","Cost: No fee",,,,"Register Online (https://www.sba.gov/events/1698945)",,,,,
"U.S. Small Business Administration (SBA)","National Veterans Small Business Week-U.S. Small Business Administration (SBA)","View the list of virtual National Veterans Small Business Week events taking place across the country.","2021-11-01T06:00:00.000","2021-11-05T17:00:00.000","PDT","Cost: No fee",,,,"List of Virtual Events (https://www.sba.gov/events/find?dateRange=all&distance=200&pageNumber=1&q=nvsbw)",,,,,
"Mercy Corps Northwest (MCNW)","Funding Friday-Mercy Corps Northwest (MCNW)","Access to capital is vital for all small businesses and it provides a unique challenge during COVID‑19. The funding landscape is constantly changing. This short weekly webinar series will:  Provide details about new funding opportunities Update you on modifications to existing sources of funding Identify sources of funding that are not yet finalized, but will be available in the near future","2021-10-29T13:30:00.000","2021-10-29T14:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://nw.mercycorps.org/events/funding-friday-102921?utm_medium=email&utm_source=govdelivery)",,,,,
"Oregon Association of Minority Entrepreneurs (OAME)","Oregon Association of Minority Entrepreneurs (OAME)","Coffee and Issues Meeting","2021-10-29T07:00:00.000","2021-10-29T08:30:00.000","PDT","Cost: No fee",,,,"Contact OAME (https://oame.org/contact-oame/)",,,,,
"Mercy Corps Northwest (MCNW)","Women's Speed Mentoring 2021-Mercy Corps Northwest","Women's speed mentoring offers space for women business owners to consult with like-minded business experts to get advice that can help them take their business to the next level. The best part? All of our mentors are located in the Pacific Northwest and can help you understand the needs of your business from within the market.","2021-10-28T17:00:00.000","2021-10-28T20:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://nw.mercycorps.org/SpeedMentor21?utm_medium=email&utm_source=govdelivery)",,,,,
"U.S. Small Business Administration","WOSB Certification Eligibility and Application Process Webinar","Attention: Women in business! Register for upcoming webinars to learn how to get certified for the Women-Owned Small Business federal contracting program, what to do after you're certified and more. ","2021-10-28T12:00:00.000","2021-10-28T13:00:00.000","PDT","Cost: No Fee",,,,"Register Online (https://www.eventbrite.com/e/wosb-certification-eligibility-and-application-process-webinar-tickets-134537728969?utm_medium=email&utm_source=govdelivery)",,,,,
"U.S. Small Business Administration (SBA)","SBA Celebrates National Disability Employment Awareness Month-U.S. Small Business Administration (SBA)","Join the U.S. Small Business Administration (SBA) for an online panel discussion with disabled-owned small businesses as they share their small business stories and how they utilized SBA economic aid to pivot during the pandemic.","2021-10-28T10:00:00.000","2021-10-28T11:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://www.eventbrite.com/e/sba-celebrates-national-disability-employment-awareness-month-registration-192471837447?utm_medium=email&utm_source=govdelivery)",,,,,
"Secretary of State","Basics Notary Webinar","Free training to become a notary","2021-10-28T09:00:00.000","2021-10-28T12:00:00.000",,"Brush up your notary knowledge and get the answers to your questions by attending a webinar for current and future notaries public. This webinar is a comprehensive and thorough examination of notary basics: purpose, responsibilities and liabilities of a notary; how to notarize; notary certificates and the notary journal. ","Monique Bourque","971-701-5075","monique.bourque@oregon.gov","Notary seminar schedule (https://notsem.sos.state.or.us/)",,,"Salem",,
"SCORE Vancouver ","Organizational Development for Business Growth-SCORE Vancouver ","There is a new approach to organization development where everyone provides input – with the top setting vision and each department offering input so all parties both lead and own shares for their specific part of the mission. A “Continuous Improvement Organization” design will help your company work efficiently and achieve more.","2021-10-27T11:30:00.000","2021-10-27T13:00:00.000","PDT","Cost: No fee",,,,"Register Online (http://events.r20.constantcontact.com/register/event?llr=4aqaptcab&oeidk=a07eijohkws6597e720&utm_medium=email&utm_source=govdelivery)",,,,,
"The Small Business Administration (SBA) & Public Private Strategies Institute (PPSI)","Resources and Relief for Your Small Business - Veterans-The Small Business Administration (SBA) & Public Private Strategies Institute (PPSI)","-Learn more about COVID EIDL and how you can take advantage before December 31, 2021 -Discover tools and resources you can use to start and grow your business -Have your questions answered by SBA Leadership & small business experts -Learn how you can become a vaccine leader in your community -Get an update regarding programs and recent policy announcements made by the Biden-Harris Administration","2021-10-27T11:00:00.000","2021-10-27T12:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://publicprivatestrategies.zoom.us/webinar/register/WN_eOgtE0-WQlOEWZoKqHg_Lg?utm_medium=email&utm_source=govdelivery)",,,,,
"Hispanic Metropolitan Chamber","Latino Leadership Networking Event-Hispanic Metropolitan Chamber","Latino Leadership Networking Event","2021-10-26T17:30:00.000","2021-10-26T18:30:00.000","PDT","Cost: No fee",,,,"Register Online (https://us02web.zoom.us/meeting/register/tZEqdOiqrz0sE9FwzpOhmL4RXWyxHaIP5Fi-)",,,,,
"Secretary of State","Basics Notary Webinar","Free training to become a notary","2021-10-26T09:00:00.000","2021-10-26T12:00:00.000",,"Brush up your notary knowledge and get the answers to your questions by attending a webinar for current and future notaries public. This webinar is a comprehensive and thorough examination of notary basics: purpose, responsibilities and liabilities of a notary; how to notarize; notary certificates and the notary journal. ","Monique Bourque","971-701-5075","monique.bourque@oregon.gov","Notary seminar schedule (https://notsem.sos.state.or.us/)",,,"Salem",,
"Chemeketa Community College SBDC","Salem Capitol Connections-Chemeketa Community College SBDC","Salem Capitol Connections provides Oregon entrepreneurs with opportunities to connect with public and private entities that lead to sustainable business relationships and opportunities.","2021-10-26T07:30:00.000","2021-10-26T09:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=30410036)",,,,,
"Mercy Corps Northwest (MCNW)","How To Become A 2021 Holiday Market Vendor -Mercy Corps Northwest (MCNW)","The 8th annual Northwest Made Holiday Market will take place from November 26 to December 31, 2021 at shopnorthwestmade.org – offering entrepreneurs in Oregon and Southwest Washington a digital vending opportunity for their businesses. Whether this will be your first time vending at the market, or you're simply looking for a place to ask relevant questions, this webinar will help to get you set up for success.","2021-10-25T18:00:00.000","2021-10-25T19:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://nw.mercycorps.org/events/holiday-market-102521?utm_medium=email&utm_source=govdelivery)",,,,,
"SCORE Vancouver ","Growing Your Business - Managing Operations-SCORE Vancouver ","Simply stated: Improving operational performance and reducing operational costs lead to higher business profits. This free SCORE webinar will discuss the elements of Business Operations and the overall process of Identifying, Managing & Measuring Critical Operations.","2021-10-23T10:00:00.000","2021-10-23T11:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://vancouver.score.org/event/growing-your-business-managing-operations-0?utm_medium=email&utm_source=govdelivery)",,,,,
" Columbia Gorge Community College SBDC","Quickbooks Online 101 -Columbia Gorge Community College SBDC","For QuickBooks beginners. Learn how to use the most popular business accounting software program used by small businesses. If you have never used QuickBooks or are just starting to use the program, this training is for you! Class includes setting up company files, creating a chart of accounts, adding customers, jobs, and vendors. Also covers paying for expenses, invoicing, and receiving payments.","2021-10-22T13:00:00.000","2021-10-22T16:00:00.000","PDT","Fee: $75",,,,"Register and Pay Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=140410142&utm_medium=email&utm_source=govdelivery)",,,,,
"Chemeketa Community College SBDC","Ready, Set, Start Your Business-Chemeketa Community College SBDC","Are you ready to start your business? Not sure if you have everything in order or you don’t know what you don’t know?  Begin your business the right way. Come and learn about:   business structure  business registration  licensing  taxes  miscellaneous rules and regulations  The information presented can help you eliminate mistakes before they happen. This fast-paced class is the perfect first step!","2021-10-22T12:00:00.000","2021-10-22T13:30:00.000","PDT","Cost: $49",,,,"Register and Pay Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=30410076&utm_medium=email&utm_source=govdelivery)",,,,,
"Lane Community College SBDC","Intro to Entrepreneurship-Lane Community College SBDC","Learn about...  evaluating your business idea, essential business topics, the importance of market analysis, how to create a business plan, analyzing your idea, and building financial projections.","2021-10-21T17:30:00.000","2021-10-21T19:30:00.000","PDT","Cost: No fee",,,,"Register Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=1410056&utm_medium=email&utm_source=govdelivery)",,,,,
"Small Business Administration (SBA), The Federal Bureau of Investigations (FBI), and Small Business Development Center (SBDC","Cybersecurity tips for small businesses-Small Business Administration (SBA), The Federal Bureau of Investigations (FBI), and Small Business Development Center (SBDC","With cyber-attacks and breaches on the rise, it is important that we learn how they happen and how to avoid them.","2021-10-21T10:00:00.000","2021-10-21T11:30:00.000","PDT","Cost: No fee",,,,"Register Online (https://www.eventbrite.com/e/cybersecurity-tips-for-small-businesses-with-special-agent-phil-slinkard-tickets-166722380127?ref=estw&utm_medium=email&utm_source=govdelivery)",,,,,
