"overall_project_name","key_number","overall_description","overall_benefits","mntr_cd1","child_project_name","child_project_key_number","previous_project_cost","current_project_cost","previous_bid_opening_date","current_bid_opening_date","previous_completion_date","current_completion_date","create_date","region","opt","congressional_district","state_senate_district","state_representative_district"
"Murphy Road at U.S. Highway 97","17083",,,,"US97/MURPHY RD: BROOKSWOOD-PARRELL (BEND) PHASE 1","14215","25338849","24818096","5/23/2013","5/23/2013","5/1/2015","5/1/2015","3/29/2016","4","L","2","27","54"
"Murphy Road at U.S. Highway 97","17083",,,,"US97/Murphy Rd: Brookswood-Parrell (Bend) Phase 2","18270","6253002","6185278","11/20/2014","12/11/2014","12/15/2015","12/15/2015","8/22/2016","4","L","2","27","54"
"Murphy Road at U.S. Highway 97","17083","The U.S. 97 at Murphy Road project is located in Deschutes County at the south end of Bend.  The overall estimate of transportation improvements in the U.S. 97/Murphy Road area is $45 million.  The first functional project is estimated to cost $28.3 million and is mostly JTA funded.  The project will be constructed in two phases with the first one beginning in summer 2013 and the second beginning in fall 2014.  All other future projects in the area will be built using federal, state, local and private funding.<P>This first project will:</P><UL>
<LI>realign and extend Murphy Road from Parrell Road, overcrossing the Bend Parkway,  to Brookswood Blvd.,
</LI><LI>construct a fly-over connection from the new Murphy Road/Third Street intersection to southbound U.S. 97,
</LI><LI>and remove traffic signals at U.S. 97/Third Street and U.S. 97/Pinebrook Blvd.</LI></UL>","<P>The project will improve travel times, enhance freight mobility, reduce current and future congestion, and improve east-west connectivity, which is hampered by the at-grade crossings of the Bend Parkway, thereby allowing local trips to travel on city streets rather than on U.S. 97. The project will also provide enhanced bicycle and pedestrian access across U.S. 97, which is currently limited, and reduce safety problems.</P>
<P>U.S. 97 is a designated freight route and the only major north-south route in Oregon east of the Cascade Mountains. U.S. 97 plays a key role for travel to and within Central Oregon, and it also serves through traffic from California to Washington. ODOT has invested significant resources in improving U.S. 97 for freight and passenger travel, including building the Bend Parkway and the Redmond Reroute. Both of these projects created new alignments for U.S. 97 to offer a faster way for through traffic to travel through the region.</P>
<P>The southern section of the Bend Parkway was opened in 2001. Unlike the rest of the parkway, which features grade-separated interchanges, most of the intersections on the south end of the Parkway are at-grade with traffic signals. However, significant growth in the region-Bend was one of the fastest growing cities in the country for much of the last two decades-is adding pressure to an already congested transportation network. These at-grade intersections on the southern section of the Parkway slow travel and also create traffic conflicts and safety issues.  Recent planning efforts by ODOT and the City of Bend have determined that a new overcrossing should be built on U.S. 97 at Murphy Road. This would allow for removal of traffic signals on U.S. 97 at Pinebrook Boulevard and Third Street. The project will build out the transportation system in a rapidly-growing part of the region and allow for future economic development in the area by opening up access to undeveloped land within the city limits.</P>","The second of the first two phases of the Murphy Road Project, administered by ODOT, was completed December 15, 2015.  A third and final phase of the Murphy Road Project, administered by the City of Bend, will be completed fall 2016.  The final phase will construct a roundabout about the intersection of Murphy Road and Parrell Road.",,,,,,,,,,,,,,
"State Highway 140 between Klamath Falls and Nevada State Line","17082",,,,"OR140: BEATTY CURVES","12402","2866520","3197135","4/8/2010","4/8/2010","11/7/2010","11/7/2010","2/24/2015","4","S","2","28","56"
"State Highway 140 between Klamath Falls and Nevada State Line","17082",,,,"OR140:Antelope Creek-Odegaard Rd (Antelope Canyon)","16870","7207545","7207513","4/27/2017","5/4/2017","11/5/2018","11/5/2018","9/24/2019","4","S","2","28","56"
"State Highway 140 between Klamath Falls and Nevada State Line","17082",,,,"OR140 @ WASHBURN WAY (KLAMATH FALLS)","16240","647000","665111","5/10/2012","5/10/2012","10/18/2012","10/18/2012","8/26/2013","4","S","2","28","56"
"State Highway 140 between Klamath Falls and Nevada State Line","17082",,,,"OR140: WARNER CURVE CORRECTION (MP21)","15674","2572481","2580142","9/10/2009","9/10/2009","10/31/2010","10/31/2010","2/24/2015","4","S","2","28","55"
"State Highway 140 between Klamath Falls and Nevada State Line","17082",,,,"OR140: RITTER RD - DEER RUN RD (BLY MTN)","13828","31332857","30325453","5/1/2014","5/1/2014","11/15/2017","11/15/2017","11/21/2016","4","S","2","28","56"
"State Highway 140 between Klamath Falls and Nevada State Line","17082","The State Highway 140: Klamath Falls to the Nevada State Line projects are located in Klamath and Lake Counties.  The projects will realign or straighten curves and widen the highway and shoulders on multiple segments of Oregon 140.  One project will also install a new traffic signal at the end of the eastbound off-ramp on Oregon 140 at Washburn Way, and replace a signal pole at the intersection of Oregon 140 and Oregon 39.<P>OR140 @ Washburn Way (Klamath Falls) - shown in the past as ""OR 140/OR 39 Intersection Improvements (Klamath Falls)"" and ""OR 140: Signal Improvement (Klamath Falls)""<BR>
The OR 140 @ Washburn Way Project will install a traffic signal at the end of the east bound off ramp of Oregon 140 and Washburn Way. This work will eliminate capacity deficiencies within the ""last mile"" that will make it easier for industrial land to be developed north of the interchange.  The original scope of the OR 140/OR 39 Intersection Improvements (Klamath Falls) Project was scaled back and now only includes the replacement of a signal pole at this intersection, which is being included in the OR 140 @ Washburn Way Project.   </P>

<P>OR 140:  Ritter Road – Deer Run Road (Bly Mountain) Project (milepost 25.17 and 34.43)<BR>
The project will straighten curves, widen the roadway and shoulders, repave the 9.4-mile segment, remove obstacles in the clear zone (the area beyond the edge of the highway that allows a driver to stop safely or regain control of a vehicle that leaves the roadway), and upgrade guard rail and signage.</P>

<P>OR 140: Beatty Curves Project (milepost 41.70 – 42.70)<BR>
The project will straighten curves, widen the roadway and shoulders, remove obstacles in the clear zone, install new or upgraded guard rail and upgrade signs.</P>

<P>OR 140:  Warner Curve Project (milepost 20.8 to 21.23)<BR>
The project will realign curves, widen shoulders, upgrade guard rail and signing, and install a box culvert in Parsnip Creek to enhance fish passage.</P>

<P>OR 140 Klamath Falls - Lakeview Highway (Antelope Canyon) was shown before as OR 140 Corridor Improvements.   The project is located approximately 12 miles west of Lakeview, Oregon, and will improve 2 miles of OR 140 in the Antelope Canyon area (MP 83-85).  The roadway will be widened allowing paved shoulders, guardrails installed, and signs replaced.  The result of the project will be to improve the safety on this sect","<P>Oregon 140 is an important part of the State’s transportation system in south central Oregon.  It is a major truck route for freight from the Oregon coast to Nevada.  Keeping roads in good condition and providing for safe travel are critical parts of the Oregon Department of Transportation’s mission.</P>

<P>The sharp curves limit the length of trucks that can use this portion of Oregon 140.  There have been a number of crashes in the area including some fatalities and serious injuries.  The sharpness of the curve and excessive travel speeds seem to be common elements in the crashes. The long-term goal is to correct these sharp curves so the length restriction can be removed. This overall project is comprised of Six discrete projects.</P>","<P>OR 140 @ Washburn Way (Klamath Falls) - The project was completed in October 2012.</P>

<P>OR 140:  Warner Curve Project - The project was completed in November 2010.</P>

<P>OR 140: Beatty Curves Project -The project was completed in November 2010.</P>

<P>OR 140:  Ritter Road – Deer Run Road (Bly Mountain) Project - The construction contract was awarded to K & E Excavating of Salem, Oregon.  Work began in July 2014.  Construction is to be completed by the end of 2016.</P>

<P>OR 140: Klamath Falls - Lakeview Highway (Antelope Canyon) The refinement of the project scope began in August 2014.  The Design Acceptance Phased is scheduled to be completed mid-2015.  The bid opening and construction are planned in 2017.</P>

<P>Associated project K16870 was completed and open to traffic effective 11/14/18.</P>",,,,,,,,,,,,,,
"U.S. Highway 97: Crooked River Bridge to Redmond","17081",,,,"US97: CROOKED RIVER BRIDGE - REDMOND REROUTE","14551","5692000","5692000","6/4/2009","6/4/2009","12/31/2009","12/31/2009","2/24/2015","4","S","2","27","53"
"U.S. Highway 97: Crooked River Bridge to Redmond","17081","The U.S. 97: Crooked River Bridge to Redmond project is located in Deschutes County at the north end of Redmond and through Terrebonne. The project provides pavement preservation and safety and access improvements, including complete curb/sidewalk/drainage swale improvements through Terrebonne. The project paved five miles of U.S. 97 from the Crooked River Bridge to the Redmond Reroute. The project also widened substandard shoulders and improved intersection safety along US 97 at NW Wimp Way, NW Lower Bridge Way, and Barberry Lane. Finally, it relocated or closed several private drives on US 97 between NW Wimp Way and the south end of Terrebonne and improved pedestrian safety in Terrebonne by construction of curbs, gutters and sidewalks.","<P>U.S. 97 is a critical part of the state’s transportation system and is generally classified as an “Expressway.” U.S. 97 carries a high volume of freight and tourist traffic to and from the Washington and California borders. It is also an important highway for local commuter traffic.</P>
<P>Keeping roads in good condition and providing for safe travel are critical parts of the Oregon Department of Transportation’s (ODOT) mission. On “Expressways” and major freight corridors like U.S. 97, vehicles are generally traveling at high speeds. There are multiple intersections along the stretch of U.S. 97 north of Terrebonne that often cause a mixture of conflicting fast and slow traffic, which has been a safety issue for both travelers on U.S. 97 and people entering or exiting the highway. In addition, this five mile section of U.S. 97 was rutting and beginning to break apart, with potholes and de-lamination (where layers of the pavement begin separating). Such conditions allow water and ice to collect on the road surface, causing slippery road conditions and a serious safety issue, where potholes and de-lamination increase the rate of pavement degradation as well as presenting a safety hazard.</P>","The project was completed December 2009.",,,,,,,,,,,,,,
"Interstate 84 at U.S. Highway 97 Interchange (Biggs Junction)","17080",,,,"FFO - I-84 @ US97 INTERCHANGE (BIGGS JUNCTION)","16940","18829277","18389151","3/14/2013","3/14/2013","6/21/2015","6/21/2015","7/27/2015","4","S","2","30","59"
"US97: Spanish Hollow Creek & Trout Creek Bridges","17080",,,,"US97: Spanish Hollow Creek & Trout Creek bridges","19075","22020036","22395036","12/14/2017","12/21/2017","12/4/2020","12/4/2020","12/29/2020","4","S","2","29, 30","57, 59"
"Interstate 84 at U.S. Highway 97 Interchange (Biggs Junction)","17080","<P>This project will replace the US 97 bridges over Interstate 84 and the Union Pacific Railroad, and widen the US 97 roadway from one lane in each direction to two lanes in each direction plus a center median.  The acceleration lane for the westbound I-84 on ramp will be extended and all the interchange ramps will be realigned and widened to better accommodate the volume and size of the vehicles using this interchange.  An auxiliary lane will also be included along southbound US 97 from the Celilo-Wasco Spur/Biggs-Rufus Frontage Road/US 97 (Biggs Jct.) intersection south to the Spanish Hollow Creek Bridge.  Both ramp terminals and the Biggs Jct. intersection will be signalized and improvements to pedestrian safety at Biggs Jct. intersection will be provided by installing striped crosswalks and a pedestrian refuge island at the southeast corner of the intersection.</P>

<P>The scope of the project was expanded to include replacement of approximately five and a half miles of substandard median barrier on either side of the I-84/US 97 interchange.  This work will be funded by federal dollars.</P><P> A second project, the US97: Biggs Jct. - Spanish Hollow Creek and Trout Creek Bridges will extend the southbound acceleration lane of US 97 from the US30/US 97 intersection at the Biggs Jct. Interchange, and match into the US 97 climbing lane a half mile south of the interchange, providing a continuous two-lane section for the first two miles of US 97 south of Interstate 84.  Included in this project is the replacement of the existing two-lane US 97 Spanish Hollow Creek Bridge to a new three-lane, seismic resilient bridge.  This project will also seismically retrofit seven additional bridges along US 97, six within first seven miles south of Biggs Jct. along Spanish Hollow Creek and one at Trout Creek 19 miles north of Madras, OR.","<P>Interstate 84 at U.S. 97 (Biggs) Interchange is a major hub for transportation of freight by truck, as well as the intermodal connection point for the transfer of wheat from trucks on the highway to barges on the Columbia River. The interchange ramps and intersections are in a very tight area, such that the interchange cannot accommodate the majority of over-sized wind-tower loads that continue to be delivered to wind turbine projects in this region, causing costly out-of-direction travel. Biggs Junction, located immediately south of the interchange, has also experienced increased commercial development catering to highway traffic.</P>
<P>Traffic studies performed by the Oregon Department of Transportation indicate that if no improvements are made to this intersection, the consequence of high volumes of heavy truck traffic westbound will cause the congestion of vehicles to back-up onto the mainline of I-84. Traffic counts and vehicle classifications show that over 40% of the vehicles in the area are large trucks.</P>
<P>Because of the heavy truck traffic circulating throughout the project area and the existing restrictive ramp and intersection space, left and right-turns for vehicles from the off-ramps are contributing to high congestion and back-up problems. Intersections at the ramps are narrow and heavy vehicles turning onto US 97 cannot stay within the correct lanes, creating safety concerns at these stop-sign controlled intersections. Because these maneuvers require “gaps” in traffic from either direction, it is most likely the single largest contributor to the existing back-up problem on the I-84 eastbound off ramp.</P>
<P>For the US97: Biggs Jct. - Spanish Hollow Creek and Trout Creek Bridges project, this improvement will increase capacity on southbound US 97 into the Spanish Hollow Grade, and improve freight mobility within the interchange area.  It will also eliminate slow trucks from impacting the signalized intersection at Biggs Jct. and allow for","<P>The Interstate 84 @ US97 Interchange project was completed in July 2015. </P>
<P>The US97: Biggs Jct. - Spanish Hollow Creek and Trout Creek Bridges project is currently in the design phase.  The bid opening for the contract is scheduled for winter 2017 with construction to begin in 2018.  Construction will take two years.",,,,,,,,,,,,,,
"Interstate 5 Sexton Truck Climbing Lanes","17079",,,,"I-5: GLENDALE-HUGO PAVING & SEXTON CLIMBING LANE","16763","34198418","32436066","12/6/2012","12/6/2012","6/30/2015","6/30/2015","2/23/2015","3","S","4","V","V"
"Interstate 5 Sexton Truck Climbing Lanes","17079","<P>The Interstate 5 truck climbing lanes project encompasses three mountain passes in southern Douglas County and northern Josephine County. The project is designed to improve freeway operations by providing climbing lanes for trucks and other slow vehicles facing challenges on the steep grades.</P><P>The Interstate 5 truck climbing lanes project encompasses three mountain passes in southern Douglas County and northern Josephine County. The project is designed to improve freeway operations by providing a climbing lane for trucks and other slow vehicles facing challenges on the uphill section of Sexton pass.  The additional lane will allow the shoulder to be used as intended for disabled or emergency vehicles and will address safety and operational problems at these locations. The current project will gather initial design data on all three passes and construct the climbing lane in the northbound direction on Sexton Summit. Lanes will be constructed on the other passes as future funding allows. Project includes interstate maintenance paving work (non-JTA funding) from MP 81.5-67-1. </P>","<P>I-5 is the West Coast's major trade corridor and one of the top freight routes in the nation. As it passes through Douglas, Josephine, and Jackson counties in southern Oregon, I-5 travels through rugged mountain terrain with steep grades. Trucks traveling on I-5 in southern Oregon are slowed down significantly as they travel up these steep grades, often to 20 miles per hour or less. This causes safety problems and congestion, particularly when trucks pass other trucks or use the highway shoulder to crawl up the mountains. ODOT and the Federal Highway Administration have identified the need for truck climbing lanes at multiple locations in southern Oregon. The cost of addressing all the needs exceeds $100 million. ODOT will continue seeking funds for additional climbing lanes in Southern Oregon and will program projects in the Statewide Transportation Improvement Program when available.</P>","<P>The Sexton Mt. climbing lane has been constructed and is open to traffic. Work on the related interstate maintenance project will be stopped over the winter and will be completed by August 2014.</P>",,,,,,,,,,,,,,
"Interstate 5 Sutherlin Truck Climbing Lanes","17078","The Interstate 5 Sutherlin Truck Climbing Lanes project is located on Sutherlin Hill and Rice Hill in Douglas County. The project will add a southbound climbing lane dedicated to trucks and other slow moving vehicles at Sutherlin Hill and Rice Hill in Douglas County. <P>The Interstate 5 Sutherlin truck climbing lanes project is located on Sutherlin Hill and Rice Hill in Douglas County. The project is designed to improve freeway operations by providing climbing lanes for trucks and other slow vehicles facing challenges on the steep grades. The project will add a southbound and northbound climbing lane dedicated to trucks and other slow moving vehicles at Sutherlin Hill and and a southbound climbing lane at Rice Hill in Douglas County. It will also widen the outside shoulder to allow it to be used as intended for disabled or emergency vehicles. The project is being combined with an Interstate Maintenance paving project which will be constructed northbound and southbound between mile points 136.66 and 154.88.</P>","<P>The project is designed to improve freeway operations by providing climbing lanes for trucks and other slow vehicles facing challenges on the steep grades.</P>
<P>Interstate 5 is the West Coast’s major trade corridor and one of the top freight routes in the nation. As it passes through Douglas, Josephine, and Jackson counties in Southern Oregon, I-5 travels through rugged mountain terrain with steep grades. Trucks traveling on I-5 in Southern Oregon are slowed down significantly as they travel up these steep grades, often to 20 miles per hour or less.</P>
<P>This causes safety problems and congestion, particularly when trucks pass other trucks or use the highway shoulder to crawl up the mountains. ODOT and the Federal Highway Administration (FHWA) have identified the need for truck climbing lanes at multiple locations in Southern Oregon. The cost of addressing all the needs exceeds $100 million. ODOT has additional segments of climbing lanes planned for in the STIP and has requested a federal earmark for additional segments.</P>","<P>The project construction is complete. </P>",,,,,,,,,,,,,,
"Interstate 5 Sutherlin Truck Climbing Lanes","17078",,,,"I-5: SUTHERLIN HILL TRUCK CLIMBING LANE","14992","424000","424000","2/10/2011","2/10/2011",,,"11/28/2011","3","S","4","04","07"
"Interstate 5 Sutherlin Truck Climbing Lanes","17078",,,,"I-5: N OAKLAND INTCHGE-SUTHERLIN INTCHGE SEC","15138","122000","122000","2/10/2011","2/10/2011",,,"11/28/2011","3","S","4","04","07"
"Interstate 5 Sutherlin Truck Climbing Lanes","17078",,,,"FFO-I-5:ELKHEAD RD-SUTHERLIN PAVING&CLIMBING LANES","16971","13870241","13859690","2/8/2011","2/8/2011","7/10/2012","7/10/2012","2/23/2015","3","S","4","04","07"
"Interstate 5 at Fern Valley Road Interchange (Phoenix)","17077",,,,"FFO-I-5: FERN VALLEY INTERCHANGE, UNIT 2","12723","64913839","64913839","11/14/2013","11/14/2013","7/18/2017","7/18/2017","1/23/2018","3","S","2","03","05"
"Interstate 5 at Fern Valley Road Interchange (Phoenix)","17077","The Fern Valley Road Interchange is located in Phoenix. This project includes replacing the existing I-5 and Fern Valley Road interchange and replacing the Bear Creek Bridge west of the interchange.  <P>The continuing growth in Phoenix and southeast Medford and the large volume of trucks using the interchange is causing traffic to backup onto Interstate 5. The Fern Valley Road Interchange project includes replacing the existing I-5 and Fern Valley Road Interchange and replacing the Bear Creek Bridge west of the interchange. It will also widen Fern Valley Road to five lanes from its intersection of OR 99 to where it merges with North Phoenix Road and realigning and widening North Phoenix Road to five lanes at its intersection with South Phoenix Road. There will also be minimal improvements on OR 99 to include bicycle facilities and widening of Bolz Road between OR 99 and Fern Valley Road to handle the east bound traffic from OR 99.</P>","<P>The project will increase the capacity of the interchange, improve mobility, and improve safety.</P>
<P>The Fern Valley Interchange serves as a regionally significant interchange for the Rogue Valley and is the main link between the I-5 corridor and the City of Phoenix. The interchange is being put under pressure by continuing growth in Phoenix and southeast Medford. This continuing growth and the large volume of trucks using the interchange is causing traffic on the off-ramps to back up onto the freeway. With limited sight distance on the overcrossing structure and heavy traffic on Fern Valley Road there are not enough gaps for the traffic to turn onto the ramps, so vehicles make unsafe turns.</P>","<P>The project was let  in November 2013. Construction work is underway and is scheduled to be complete in fall 2016.</P>",,,,,,,,,,,,,,
"State Highway 62 Corridor Solutions Phase 3, Unit 2","17076",,,,"OR62: Corridor Solutions unit 2 phase 3 (Medford)","21083","300000","277384","9/30/2018","9/12/2018",,,"8/22/2022","3","S","2","03","04"
"State Highway 62 Corridor Solutions Phase 2, Unit 2","17076",,,,"BEAR CREEK GREENWAY: OR62 CONNECTION (MEDFORD)","18335","672300","727928",,,,,"4/12/2016","3","L","2","03","05"
"State Highway 62 Corridor Solutions Phase 2, Unit 2","17076",,,,"FFO-OR62: Corridor Solutions unit 2 phase 2 (Medfo","17188","34805339","35179339","12/15/2016","12/20/2016","9/25/2019","9/25/2019","8/22/2022","3","S","2","03","04"
"State Highway 62 Corridor Solutions Phase 2, Unit 2","17076",,,,"OR62: Corridor Solutions unit 2 (Medford)","13994","67411420","67411428","1/21/2016","2/11/2016","3/27/2019","3/27/2019","2/11/2019","3","S","2","03","04"
"State Highway 62 Corridor Solutions Phase 2, Unit 2","17076","The State Highway 62: Corridor Solution, Phase II project is located in Jackson County. This Phase will include a two-to-four lane bypass from Oregon 62 near the Poplar Drive/Bullock Road intersection to a terminus north of Vilas Road.<P>The OR 62: Corridor Solution, Unit II project is located in Jackson County.  This project of statewide significance will increase the capacity and improve the safety and air quality on OR 62 from Poplar Drive east to White City.  Unit II will include a four lane bypass from OR 62 near the Poplar Drive/Bullock Road intersection to a terminus south of White City.  This Unit will allow through traffic to use the expressway to avoid the Delta Waters/OR 62 intersection, which is currently experiencing severe congestion, and will include an overcrossing of Vilas Road.  This section of the corridor also has a higher than normal crash rate.  Staff worked with the projects' Citizens Advisory Committee and Project Development Team for direction to extend the northern terminus as far north as possible to maximize the public investment and minimize the impacts to property owners and businesses.  The northern terminus will be in the vicinity of the existing OR 62 and Agate Road intersection. The project has been divided into two phases. Phase 1 will extend from Poplar Drive to E. Vilas Road to the north. Phase 2 will extend from E. Vilas Road to Dutton Road in White City.</P>","<P>This project of statewide significance will increase the capacity and improve the safety and air quality on Oregon 62 from Poplar Drive east to White City.</P>
<P>Oregon 62 has an expressway designation from mile point 0 to 10 and is classified as a state highway and freight route from mile point 0 to the intersection of OR 140, at mile point 6.03.</P>
<P>This section of highway is approaching capacity from the I-5 interchange to the White City area. An Environmental Impact Statement (EIS) is being completed which will define the project corridor and preferred alternative for the project. Development along the proposed corridor is currently occurring at a rapid pace.</P>","<P>The project has been separated into two phases due to the need to prepare a land use goal exception (EFU) for the northerly portion of the project (Phase 2). The Final Environmental Impact Statement and Record of Decision for the OR 62: I-5 to Dutton Road has been approved and signed by FHWA.   The JTA phase of this project is scheduled to go to construction in early 2016.  Phase 1 (Poplar-Vilas) is scheduled to let in February 2016 and construction will begin shortly after.  Construction for Phase 2 (Vilas-Dutton) is scheduled to begin in Fall 2016.  Final project cost for child project 17188 is $37,120,147.95.  Cost savings $2,448,000 applied to new child project 21511.  Project is in design status and estimated Bid Let Date is September 2021.</P>",,,,,,,,,,,,,,
"State Highway 62 Corridor Solutions Phase 2, Unit 2","17076",,,,"HIGHWAY 62 CORRIDOR SOLUTIONS E.I.S.","13226","8189000","8191764",,,,,"12/6/2017","3","S","2","03","06"
"OR62: Corridor Solutions unit 2 (Medford) Phase 4","17076",,,,"OR62: Rogue Valley Expressway","21511","2125435","2399348","12/25/2020","9/23/2021","9/29/2022","9/29/2022","8/22/2022","3","S","2","02, 03, 28","04, 06, 55"
"State Highway 42 County Line Curves","17075",,,,"OR 42: COUNTY LINE CURVES PHASE 1","13787","13345265","12426665","3/20/2014","3/20/2014","4/8/2016","4/8/2016","11/28/2017","3","S","4","01","01"
"State Highway 42 County Line Curves","17075","The Oregon 42, County Line Curves project is located in the segment of the Coos Bay-Roseburg Highway (OR 42) between Coos and Douglas counties. The project is intended to improve safety through this remote, narrow section of the highway and improve mobility for trucks and passenger vehicles between Interstate 5 and the southern Oregon Coast.  The project has been combined with KN 17468 (Remote-Slater Paving) to better coordinate work in the same general area.The Oregon 42, County Line Curves project will address safety and mobility by way of curve reduction, scaling rock fall locations, and widening shoulders. The entire county line curve segment stretches from mile point 41.0 to mile point 46.0. However, straightening the entire segment would cost more than $300 million and require several new bridges and significant rock cuts and retaining walls. The current project focuses on a shorter section, between mile points 43.6 to 46.0, and will implement fixes within that section as funding allows. The project has also been combined with the Remote-Slater Paving project KN 17468).","Oregon 42 is the primary route between the South Coast and southbound Interstate 5. As a designated freight route, it provides access between the Oregon International Port of Coos Bay and I-5, the West Coast’s major trade corridor. The sharp curves and rock fall though the segment lead to frequent crashes the crash rate on this route is approximately three times that of other rural Oregon highways. This project will be the first step in addressing the curves through the county line segment.","Construction started in the spring of 2014 and is scheduled to be completed in 2016.",,,,,,,,,,,,,,
"Interstate 5 at Kuebler Road (Phase 2 Mill Creek)","17074",,,,"MILL CREEK CORPORATE CENTER-AUMSVILLE HWY (SALEM)","16857","5988520","3998271","3/26/2013","3/26/2013",,,"4/14/2015","2","L","5","10","19"
"Interstate 5 at Kuebler Road (Phase 2 Mill Creek)","17074","<P>The Interstate 5 at Kuebler Road, Phase II (Mill Creek) Project will improve 3,750 feet of Aumsville Highway SE within the Mill Creek Corporate Center (MCCC) boundary to a three-lane section including a center turn lane and bicycle and pedestrian facilities. In addition, the intersection at Kuebler Boulevard SE will be expanded requiring modifications to the traffic signal.</P><P>The Mill Creek Corporate Center (MCCC )is a partnership between the State of Oregon and the City of Salem to create a major employment center on agricultural land previously owned by the Oregon Department of Corrections in southeast Salem.</P><P>The City has adopted the necessary comprehensive plan and zoning designations to permit development of the agricultural property and has created an urban renewal area (URA) to assist with the completion of infrastructure improvements necessary to support the development.</P><P>The MCCC is approximately 650 acres in size, making it Oregon's largest industrial park along the Interstate 5 corridor. Over 200 acres of the park are already certified as a State industrial, &ldquo; shovel ready &rdquo; site. Development on a portion of the property is underway. When completed, the MCCC is expected to:</P><UL><LI>Create more than 5,000 “family wage” jobs in the MCCC;</LI><LI>Generate hundreds of millions in private investment in the local economy;</LI> <LI>Transfer 650 acres from public to private ownership; and</LI><LI>Create over 100 acres of wetlands and open space.</LI></UL><P>Access to I-5 is provided by Kuebler Boulevard SE. The URA has identified several transportation improvements that are necessary to provide an appropriate level of access to I-5. Within the MCCC area, Aumsville Highway SE is a major east-west route providing direct access to the property east of its intersection with Kuebler Boulevard SE. The existing Aumsville Highway SE is a substandard two-lane street with roadside ditches. It does not have sufficient existing capacity to support additional vehicular and freight traffic that will be generated by redevelopment.</P>","<P>These improvements will provide safe access to future tenants, employees, and users of the MCCC. The project will have the ancillary benefit of improving access and safety for major public facilities in the vicinity including the Marion County Jail, Department of Public Safety Standards and Training Center, and Corban University.</P>","<P>The Project is complete effective April 2015.  ODOT and the City of Salem completed the final acceptance walk-through.</P>",,,,,,,,,,,,,,
"Interstate 5 at Kuebler Road (Phase 1)","17073",,,,"FFO-I5@KUEBLER INTCHG-SOUTHBOUND RAMP IMPROVEMENTS","16858","16406568","16277060","3/12/2015","3/26/2015","7/15/2017","7/15/2017","7/16/2018","2","S","5","10","19"
"Interstate 5 at Kuebler Road (Phase 1)","17073",,,,"I-5: Kuebler Intchg phase 2 sound wall (Salem)","18156","4668541","4332648","11/3/2016","12/8/2016","2/28/2018","2/28/2018","9/4/2018","2","S","5","10","19"
"Interstate 5 at Kuebler Road 
(Phase 1)","17073","<P>The I-5 Kuebler Interchange project is located at the interchange of Interstate 5 at Kuebler Blvd. The project includes two phases:</P>
<P>Phase 1 will upgrade the existing interchange to support the area's planned expansion. The project is upgrading the interchange by adding new southbound on- and off-ramps and a third southbound lane between Kuebler Blvd. and Battle Creek Rd.</P><P> Phase 2 includes construction of a sound wall to mitigate noise impacts from I-5. ODOT will build a sound wall along the west side of I-5 between the Kuebler Blvd. interchange and the Battle Creek Rd. overcrossing.<P>","Kuebler Boulevard is a major east-west corridor for the City of Salem, and the interchange provides a critical link to Interstate 5. The Mill Creek Corporate Center (MCCC), located northeast of the interchange, is a partnership between the State of Oregon and the City of Salem to create a major employment center on agricultural land previously owned by the Oregon Department of Corrections in southeast Salem. The interchange does not have sufficient capacity to support additional vehicle and freight traffic that will be generated by the redevelopment. This project will improve capacity.","<P>Phase 1 (the interchange): The project went to bid in March of 2015. K&E Construction was the low bidder at $9,614,775. Construction is now underway, including relocation of the stream, and earthwork to build up the area where the new SB off-ramp and SB loop on-ramp will be relocated. Once this area comes up to final elevation it will be allowed to settle over the winter. Work on the rest of the SB on-ramp will continue intermittently through the winter as weather allows, with final grading, paving, and signal work completed in 2016. </P><P>Phase 2 (a sound wall along I-5 in the southwest quadrant of the interchange) is scheduled to be constructed in 2017 after the interchange is completed.</P>As of August 2018 both related projects are complete.</P>",,,,,,,,,,,,,,
"Beltline Highway (State Highway 69) at Delta Highway","17072",,,,"OR569 @ DELTA HIGHWAY ITS IMPROVEMENTS","16859","1474000","1486739","9/13/2012","9/13/2012","6/30/2013","6/30/2013","8/21/2018","2","S","4","07","13"
"Beltline Highway (State Highway 69) at Delta Highway","17072",,,,"OR569: Beltline at Delta Highway interchange","19490","21335523","20883953","4/4/2019","8/29/2019","1/31/2022","1/31/2022","5/31/2022","2","S","4","07","13"
