"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Public Call-In Number,Call-in Access Code,Agenda URL,Webinar/Webcast Link,Map Location,Owner,Agenda Upload,Weblink to Meeting Minutes/Summaries
Transportation Department,Oregon Freight Advisory Committee (OFAC),,03/16/2016 01:00:00 PM,03/16/2016 04:00:00 PM,"Chemeketa Center for Business and Industry, 626 High St NE", Salem,"The Oregon Freight Advisory Committee (OFAC) was appointed to advise the ODOT Director and Oregon Transportation Commission (OTC) on issues, policies and programs that impact multimodal freight mobility in Oregon. This includes identifying high-priority freight mobility projects for consideration in ODOT’s Statewide Transportation Improvement Programs (STIP) and for the ConnectOregon program. The Freight Advisory Committee also advises on transportation policy related to goods movement. ",,Roseann O'Laughlin,503-986-3525,roseann.olaughlin@odot.state.or.us,,,,,,,,,,http://www.oregon.gov/ODOT/TD/TP/OFAC/201603_Agenda.pdf,,,,,http://www.oregon.gov/ODOT/TD/TP/Pages/OFAC.aspx
Transportation Department,Motor Carrier Transportation Advisory Committee,Panel of state government and industry representatives,04/14/2016 08:30:00 AM,04/14/2016 11:30:00 AM,3930 Fairview Industrial Dr. SE 97302; 2nd Floor - Ashland Conf. Rm., Salem,"The committee is made up of representatives from the Oregon Department of Transportation, Oregon State Police, the trucking industry, and related industries.",,Tara Caton,,tara.l.caton@odot.state.or.us,,,,,,,,,,,,,,,
Transportation Department,Bicycle and Pedestrian Advisory Committee (OBPAC),OBPAC acts as a liaison between the public and ODOT on the bicycle and pedestrian transportation system.,04/20/2016 12:00:00 PM,04/20/2016 04:30:00 PM,Mill Creek Building 555 13th St NE, Salem,"This committee, appointed by the governor, acts as a liaison between the public and ODOT. They advise ODOT in the regulation of bicycle and pedestrian traffic and the establishment of bikeways and walkways. The committee meets quarterly in various locations around the state to listen to the views and concerns of interested citizens, local officials, and ODOT Region staff. ** This meeting will focus on Connect Oregon VI project review, the Modal Plan, Region 4 Bike and Pedestrian activities, Freight Mobility and Work Zones.**","Yes, non agenda items only",Sheila Lyons,(503) 986-3555,Sheila.A.Lyons@odot.state.or.us,,,,Amanda Tucker,(503) 986-3317,Amanda.R.Tucker@odot.state.or.us,,,,,,,,,https://www.oregon.gov/ODOT/HWY/BIKEPED/Pages/obpac.aspx
Transportation Department,Oregon Local Program Committee (OLPC),ODOT/FHWA/MPO/Local Agencies' Issues,04/29/2016 09:00:00 AM,04/29/2016 11:00:00 AM,"Marion County public Works, 5155 Silverton Rd. NE Bldg 1", Salem,"OLPC is a partnership with counties, cities, ODOT, MPO's and FHWA, which meets to improve policy, process and oversight in the delivery of the Local Federal Aid Program and other local street and road programs and projects administered through ODOT ** This meeting will discuss topics on reauthorization of the Federal Surface Transportation Act; Holding funds on projects between the 2nd and 3rd note; Acquisition of temporary easements to reconnect driveways and ADA ramps; Local Public Agency training needs on ADA; and Certification Training**",Yes,Julie Redden,(503) 986-3153,julie.k.redden@odot.state.or.us,,,,Julie Redden,(503) 986-3153,julie.k.redden@odot.state.or.us,,1-888-251-2909,868544,,,,,,https://www-auth.oregon.egov.com/ODOT/HWY/LGS/Pages/lpoc.aspx
Transportation Department,Public Transit Section - STF Discretionary Grant Review Panel,,05/03/2016 08:00:00 AM,05/03/2016 05:00:00 PM,"Mt. McLoughlin Conference Room, ODOT Mill Creek Building 555 13th Street NE",Salem OR,,,Cassie Mance,,Casandra.MANCE@odot.state.or.us,,,,,,,,,,,,,,,
Transportation Department,Transportation Safety Action Plan Policy Advisory Committee,,05/17/2016 01:00:00 PM,05/17/2016 04:30:00 PM,"Local Government Center, Room 306, 1201 Court St NE", Salem,"Development of the Transportation Safety Action Plan (TSAP) is guided by a Policy Advisory Committee (PAC) appointed by ODOT Director Matt Garrett. PAC membership includes all of the members of the Oregon Transportation Committee (appointed by the Governor) and also includes diverse stakeholders from around the state. The PAC is tasked with helping to guide development of a balanced Plan that represents the whole state. PAC agendas and other information will be available here prior to each meeting. Each meeting will include a period for public comment, and written public comment is also welcome to be submitted through ODOT staff. ",Yes,Nancy Murphy,503-986-4128,Nancy.E.Murphy@odot.state.or.us,,,,,,,,,,http://www.oregon.gov/ODOT/TD/TP/TSAP/201605_Agenda.pdf,,,,,http://www.oregon.gov/ODOT/TD/TP/Pages/tsappac.aspx
Transportation Department,Oregon Public Transportation Plan Policy Advisory Committee,,05/18/2016 01:00:00 PM,05/18/2016 04:30:00 PM,Roth's West Salem 1130 Wallace Rd NW, Salem,,Yes,Lucia Ramirez,,Lucia.L.RAMIREZ@odot.state.or.us,,,,,,,,,,http://www.oregon.gov/ODOT/TD/TP/docs/OPTP/OPTP_201605_Agenda.pdf,,,,,http://www.oregon.gov/ODOT/TD/TP/Pages/optp_pac.aspx
Transportation Department,Oregon Traffic Control Devices Committee,Bi-monthly meeting,05/20/2016 10:00:00 AM,05/20/2016 12:00:00 PM,Roth's IGA Conference Facility, Salem,"Sign Flags for Temporary Roll-up Signs; Guide to School Area Safety; OR217 Active Traffic Management Evaluation; Joint Meeting w/ITE, OTCDC ends at Noon and ITE begins at Noon (see Oregon ITE website)",Yes,Kathi McConnell,503-986-3609,kathleen.e.mcconnnell@odot.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/ODOT/HWY/TRAFFIC-ROADWAY/pages/traffic_control_devices_committee.aspx
Transportation Department,DMV STP Oversight Task Force,DMV Service Transformation Oversight Task Force meeting to get an update on teh progress of the program,05/26/2016 08:30:00 AM,05/26/2016 10:00:00 AM,"Oregon Deparment of Transportation Building, Gail L. Achterman Commission Room", Salem,"Meetings of the DMV STP Oversight Task Force are open to the public. The meeting site is accessible to people with disabilities. Accommodations will be provided to persons with disabilities, and alternate formats of printed material are available upon request. Please call (503) 947-4074 (or statewide relay 711) at least 48 hours prior to the meeting. ",,Lauren Mulligan,(503) 947-4072,lauren.e.mulligan@odot.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/ODOT/DMV/pages/STP/STP_Task_Force.aspx
Transportation Department,Bicycle and Pedestrian Advisory Committee (OBPAC),OBPAC acts as a liaison between the public and ODOT on the bicycle ad pedestrian tranportation system.,06/28/2016 11:00:00 AM,06/29/2016 01:30:00 PM,"Meeting starts at John B. Yeon State Park, cascade Locks and concludes in Hood River",Hood River,"This Committee, appointed by the governor, acts as a liaison between the public and ODOT. They advise ODOT in the regulation of bicycle and pedestrian traffic and the establishment of bikeways and walkways. 
The Oregon Bicycle and Pedestrian Advisory Committee will gather for its regular meeting at 11 a.m. at John B. Yeon State Park along the Historic Columbia River Highway State Trail in Cascade Locks on June 28, when members will begin their ride to Hood River. Along the way, the group will stop at Eagle Creek Overlook and discuss the latest on the Historic Columbia River Highway State Trail project. At a dinner meeting beginning at 7 p.m. at Friem Family Brewers, 707 Portway Ave., Suite 101 in Hood River, the committee will discuss the ConnectOregon IV program and receive other updates. On June 29, the group will meet at 8:00 a.m. in the lobby of the Comfort Suites, 2625 Cascade Ave., Hood River to discuss potential legislative packages and then ride around Hood River and Odell before adjourning.

Those who wish to provide comments should notify the chairperson at the meeting. General guidelines: provide written summaries when possible and limit comments to three minutes. If you bring written summaries or other materials to the meeting, please provide the chairperson with a copy prior to your testimony.
","Yes, non-agenda items only",Sheila Lyons,(503) 986-3555,Sheila.A.Lyons@odot.state.or.us,,,,Amanda Tucker,(503) 986-3317,Amanda.R.Tucker@odot.state.or.us,,,,,,,,,http://www.oregon.gov/ODOT/HWY/BIKEPED/Pages/obpac.aspx
Transportation Department,Public Transportation Advisory Committee (PTAC),,07/11/2016 01:00:00 AM,07/12/2016 05:00:00 PM,"Pendleton Convention Center 1601 Westgage Pendleton, Oregon 97801", Pendleton,"Two half-day meetings:
Monday, July 11 1:00pm - 5:00pm
Tuesday, July 12  8:30am - 12:00pm
",,Casandra Mance,,ptac@odot.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/ODOT/PT/Pages/stakeholders/ptac.aspx
Transportation Department,Oregon Freight Advisory Committee (OFAC),,07/13/2016 01:00:00 PM,07/13/2016 04:00:00 AM,"Port of Portland, St. Helens Conference Room, Airport Terminal", Portland,"
The Oregon Freight Advisory Committee (OFAC) was appointed to advise the ODOT Director and Oregon Transportation Commission (OTC) on issues, policies and programs that impact multimodal freight mobility in Oregon. This includes identifying high-priority freight mobility projects for consideration in ODOT’s Statewide Transportation Improvement Programs (STIP) and for the ConnectOregon program. The Freight Advisory Committee also advises on transportation policy related to goods movement.  ",,Roseann O'Laughlin,503-986-3525,roseann.olaughlin@odot.state.or.us,,,,,,,,,,http://www.oregon.gov/ODOT/TD/TP/OFAC/201607_Agenda.pdf,,,,,http://www.oregon.gov/ODOT/TD/TP/Pages/OFAC.aspx
Transportation Department,Motor Carrier Transportation Advisory Committee,Panel of state government and industry representatives,07/14/2016 08:30:00 AM,07/14/2016 11:30:00 AM,3930 Fairveiw Industrial Dr. SE 97302; 2nd Floor - Ashland Conf. Rm., Salem,"The committee is made up of representatives from the Oregon Department of Transportation, Oregon State Police, the trucking industry, and related industries.",,Tara Caton,,Tara.L.Caton@odot.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/ODOT/MCT/pages/mctac.aspx
Transportation Department,Winter Recreation Advisory Committee,,07/20/2016 08:30:00 AM,07/20/2016 09:00:00 AM,455 Airport Road Building K,Salem,The WRAC meets throughout the year to advise the Department of Transportation on matters related to the winter recreation parking (Sno-Park) program.,,Karen Morrison,,karen.j.morrison@odot.state.or.us,,,,,,,,,,,,,,,
Transportation Department,Oregon Public Transportation Plan Policy Advisory Committee,,07/26/2016 01:00:00 PM,07/26/2016 04:30:00 PM,"Chemeketa Center for Business and Industry, 626 High St NE", Salem,,Yes,Lucia Ramirez,,Lucia.L.RAMIREZ@odot.state.or.us,,,,,,,,,,http://www.oregon.gov/ODOT/TD/TP/docs/OPTP/OPTP_201607_Agenda.pdf,,,,,http://www.oregon.gov/ODOT/TD/TP/Pages/optp_pac.aspx
Transportation Department,Speed Zone Review Panel Hearing,Hear City of Portland's Proposed Experimental Method on Speed Zoning,08/16/2016 09:00:00 AM,08/16/2016 11:00:00 AM,"ODF&W, Commission Room, 4034 Fairview Industrial Drive ",Salem,City of Portland's proposal for an experimental alternative speed zoning method; ODOT's recommendation to extend 55 mph south of Klamath Falls.,Yes,Kathi McConnell,503-986-3609,kathleen.e.mcconnell@odot.state.or.us,,,,Kathi McConnell,503-986-3609,kathleen.e.mcconnell@odot.state.or.us,,,,,,,,,
Transportation Department,Oregon Public Transportation Plan Policy Advisory Committee,,08/22/2016 01:00:00 PM,08/22/2016 04:30:00 PM,"Chemeketa Center for Business and Industry, 626 High St NE", Salem,,Yes,Lucia Ramirez,,Lucia.L.RAMIREZ@odot.state.or.us,,,,,,,,,,http://www.oregon.gov/ODOT/TD/TP/docs/OPTP/OPTP_201608_Agenda.pdf,,,,,http://www.oregon.gov/ODOT/TD/TP/Pages/optp_pac.aspx
Transportation Department,Bicycle and Pedestrian Advisory Committee (OBPAC),OBPAC acts a liaison between the public and ODOT on the bicycle and pedestrian transportation system.,08/23/2016 09:30:00 AM,08/23/2016 03:00:00 PM,"ODOT Mill Creek Building, 555 13th St. NE Room Mt. McLoughlin", Salem,"This committee, appointed by the governor, acts as a liaison between the public and ODOT. They advise ODOT in the regulation of bicycle and pedestrian traffic and the establishment of bikeways and walkways. The committee meets quarterly in various locations around the state to listen to the views and concerns of interested citizens, local officials and ODOT Region staff. ** This meeting will focus on updates to STIP Enhance; Connect Oregon; Urban Design Initiative; Modal Plan Work Plan Update; CMAQ in the Legislative session","Yes, non-agenda items only",Sheila Lyons,(503) 986-3555,Sheila.A.Lyons@odot.state.or.us,,,,Amanda Tucker,(503) 986.3317,Amanda.R.Tucker@odot.state.or.us,,,,http://www.oregon.gov/ODOT/HWY/BIKEPED/docs/OBPAC_Agenda/OBPAC%20agenda%20Aug%202016.pdf,,,,,http://www.oregon.gov/ODOT/HWY/BIKEPED/Pages/obpac.aspx
Transportation Department,Motor Carrier Transportation Advisory Committee,Panel of state government and industry representatives,09/08/2016 08:30:00 AM,09/08/2016 11:30:00 AM,3930 Fairview Industrial Drive SE, Salem,"The committee is made up of representatives from the Oregon Department of Transportation, Oregon State Police, the trucking industry, and related industries.",,Tara Caton,,Tara.L.Caton@odot.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/ODOT/MCT/pages/mctac.aspx
Transportation Department,Public Transportation Advisory Committee Meeting,,09/12/2016 08:00:00 AM,09/12/2016 05:00:00 PM,ODOT Region 2 Campus Building X 885 Airport Rd. SE, Salem,,,Cassandra Mance,,Casandra.MANCE@odot.state.or.us,,,,,,,true,,,,,,,,http://www.oregon.gov/ODOT/PT/Pages/stakeholders/ptac.aspx
Transportation Department,Oregon Public Transportation Plan Listening Meeting,Seeking feedback,09/14/2016 10:00:00 AM,09/14/2016 12:00:00 PM,ODOT Region 5 Headquarters 3012 Island Avenue, La Grande,"Public transportation connects many communities in Oregon, provides options for travelers, and often serves as the only way for people to get where they need to go. The Oregon Public Transportation Plan (OPTP) will provide a statewide vision and policy foundation for decisions about public transportation in and between Oregon communities. This plan will not identify projects or local investments, but it will set priorities and policies to guide future decisions and investments by state and local agencies. 

ODOT is inviting public transportation providers, local government staff and officials, interest groups, the public, and other interested parties to discuss challenges and opportunities for public transportation at meetings around the state in September and October or by participating in an online open house. The draft vision and goals for the plan will be shared. Feedback will help to inform plan development and the future of public transportation in Oregon. The online open house will accept comments from Sept. 7 to Oct. 28 and can be accessed through the project website at www.oregon.gov/ODOT/TD/TP/Pages/optp.aspx 

Space is limited! To register, please RSVP at https://www.eventbrite.com/e/oregon-public-transportation-plan-listening-meeting-region-5-tickets-27310923708
",Yes,Brooke Jordan,503-986-3510,brooke.jordan@odot.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/ODOT/TD/TP/Pages/optp.aspx
Transportation Department,Oregon Traffic Control Devices Committee,Bi-monthly meeting,09/16/2016 09:00:00 AM,09/16/2016 12:00:00 PM,"ODOT TLC Bldg., 4040 Fairview Industrial Dr. SE", Salem,"Guide to School Area Safety; Pedestrian Hybrid Beacons; ODOT Research Project, Smart Red Clear Extention to Reduce Red Light Running Crashes; NCUTCD/AASHTO June Meeting Update.",Yes,Kathleen McConnell,503-986-3609,kathleen.e.mcconnell@odot.state.or.us,,http://transnet.odot.state.or.us/hwy/techserv/Pages/TLC.aspx/,,Kathleen McConnell,503-986-3609,kathleen.e.mcconnell@odot.state.or.us,true,1.415.655.0381,540-418-275# ,,https://join.me/oregondot (https://join.me/oregondot%20),,,,http://www.oregon.gov/ODOT/HWY/TRAFFIC-ROADWAY/pages/traffic_control_devices_committee.aspx
Transportation Department,DMV Service Transformation Program Oversight Task Force field trip,Task force field trip,09/20/2016 09:00:00 AM,09/20/2016 10:15:00 AM,"North Salem DMV Field Office, 3809 Center Street NE", Salem,Field trip of the DMV Service Transformation Program Oversight Taskforce to take a tour of the North Salem DMV field office. This field trip is not open to the public. ,,Lauren Mulligan,503-947-4072,lauren.e.mulligan@odot.state.or.us,,,,,,,,,,,,,,,
Transportation Department,Oregon Freight Advisory Committee (OFAC),,09/20/2016 01:00:00 PM,09/20/2016 04:00:00 PM,"Chemeketa Center for Business and Industry, 626 High St NE", Salem,"The Oregon Freight Advisory Committee (OFAC) was appointed to advise the ODOT Director and Oregon Transportation Commission (OTC) on issues, policies and programs that impact multimodal freight mobility in Oregon. This includes identifying high-priority freight mobility projects for consideration in ODOT’s Statewide Transportation Improvement Programs (STIP) and for the ConnectOregon program. The Freight Advisory Committee also advises on transportation policy related to goods movement. ",,Roseann O'Laughlin,503-986-3525,roseann.olaughlin@odot.state.or.us,,,,,,,,,,http://www.oregon.gov/ODOT/TD/TP/OFAC/201609_Agenda.pdf,,,,,http://www.oregon.gov/odot/td/tp/pages/ofac.aspx
Transportation Department,Oregon Public Transportation Plan Listening Meeting,,09/21/2016 10:00:00 AM,09/21/2016 12:00:00 PM,ODOT Region 4 Headquarters 63055 N. Highway 97, Bend,"Public transportation connects many communities in Oregon, provides options for travelers, and often serves as the only way for people to get where they need to go. The Oregon Public Transportation Plan (OPTP) will provide a statewide vision and policy foundation for decisions about public transportation in and between Oregon communities. This plan will not identify projects or local investments, but it will set priorities and policies to guide future decisions and investments by state and local agencies. 

ODOT is inviting public transportation providers, local government staff and officials, interest groups, the public, and other interested parties to discuss challenges and opportunities for public transportation at meetings around the state in September and October or by participating in an online open house. The draft vision and goals for the plan will be shared. Feedback will help to inform plan development and the future of public transportation in Oregon. The online open house will accept comments from Sept. 7 to Oct. 28 and can be accessed through the project website at www.oregon.gov/ODOT/TD/TP/Pages/optp.aspx 

Space is limited! Please RSVP at https://www.eventbrite.com/e/oregon-public-transportation-plan-listening-meeting-region-4-tickets-27311016987
",Yes,Brooke Jordan  ,503-986-3510,brooke.jordan@odot.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/ODOT/TD/TP/Pages/optp.aspx
Transportation Department,Rail Advisory Commitee Meeting,,09/27/2016 09:00:00 AM,09/27/2016 04:00:00 PM,Portland International Airport St. Helens A Room 7000 NE Airport Way, Portland,,,Kathy Holmes,503.986.5174,Kathy.C.HOLMES@odot.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/ODOT/RAIL/Pages/RailAdvisoryCommittee.aspx
Transportation Department,Rail Advisory Committee Meeting,,09/27/2016 09:00:00 AM,09/27/2016 04:00:00 PM,Portland International Airport St. Helens A Room 7000 NE Airport Way,Portland,,,Kathy Holmes,,kathy.c.holmes@odot.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/ODOT/RAIL/Pages/RailAdvisoryCommittee.aspx
Transportation Department,Oregon Public Transportation Plan Listening Meeting,,09/27/2016 10:00:00 AM,09/27/2016 12:00:00 PM,ODOT Rogue Valley Area Office 100 Antelope Road,White City,"Public transportation connects many communities in Oregon, provides options for travelers, and often serves as the only way for people to get where they need to go. The Oregon Public Transportation Plan (OPTP) will provide a statewide vision and policy foundation for decisions about public transportation in and between Oregon communities. This plan will not identify projects or local investments, but it will set priorities and policies to guide future decisions and investments by state and local agencies. 

ODOT is inviting public transportation providers, local government staff and officials, interest groups, the public, and other interested parties to discuss challenges and opportunities for public transportation at meetings around the state in September and October or by participating in an online open house. The draft vision and goals for the plan will be shared. Feedback will help to inform plan development and the future of public transportation in Oregon. The online open house will accept comments from Sept. 7 to Oct. 28 and can be accessed through the project website at www.oregon.gov/ODOT/TD/TP/Pages/optp.aspx

Space is limited! Please RSVP at https://www.eventbrite.com/e/oregon-public-transportation-plan-listening-meeting-region-3-tickets-27311124308
",Yes,Brooke Jordan,503-986-4227,brooke.jordan@odot.state.or.us,,,,,,,,,,,,,,,www.oregon.gov/ODOT/TD/TP/Pages/optp.aspx (http://www.oregon.gov/ODOT/TD/TP/Pages/optp.aspx)
Transportation Department,Public Transportation Advisory Commitee Meeting (PTAC),,10/10/2016 01:00:00 PM,10/10/2016 04:00:00 PM,Ride Connection 9955 NE Glisan Street, Portland,,,Cassie Mance,503.986.3669,Casandra.MANCE@odot.state.or.us,,,,,,,,,,,,,,,https://www.oregon.gov/ODOT/PT/Pages/stakeholders/ptac.aspx
Transportation Department,Bicycle and Pedestrian Advisory Committee (OBPAC),OBPAC acts as a liaison between the public and ODOT on the bicycle and pedestrian transportation system.,10/11/2016 02:30:00 PM,10/11/2016 05:00:00 PM,Bend Hawthorne Transit Station,Bend,"This committee, appointed by the governor, acts as a liaison between the public and ODOT. They advise ODOT in the regulation of bicycle and pedestrian traffic and the establishment of bikeways and walkways. The committee meets quarterly in various locations around the state to listen to the views and concerns of interested citizens, local officials, and ODOT Region staff. ** This meeting will focus on sharing information on the ADA Transition Plan comments; an update to the Modal Plan work; a report on the Oregon Transportation Committee Workshop; and an update from Oregon Freight Advisory Committee and the Public Transportation Advisory Committee. Public comment will be limited to non-agenda items.**","Yes, non-agenda items only",Sheila Lyons,(503) 986-3555,Sheila.A.Lyons@odot.state.or.us,,,,Amanda Tucker,(503) 986-3317,Amanda.R.Tucker@odots.state.or.us,,,,,,,,,http://www.oregon.gov/ODOT/HWY/BIKEPED/Pages/obpac.aspx%20
Transportation Department,Oregon Public Transportation Plan Listening Meeting,,10/13/2016 10:00:00 AM,10/13/2016 12:00:00 PM,ODOT Region 1 Headquarters 123 NW Flanders Street, Portland,"Public transportation connects many communities in Oregon, provides options for travelers, and often serves as the only way for people to get where they need to go. The Oregon Public Transportation Plan (OPTP) will provide a statewide vision and policy foundation for decisions about public transportation in and between Oregon communities. This plan will not identify projects or local investments, but it will set priorities and policies to guide future decisions and investments by state and local agencies. 

ODOT is inviting public transportation providers, local government staff and officials, interest groups, the public, and other interested parties to discuss challenges and opportunities for public transportation at meetings around the state in September and October or by participating in an online open house. The draft vision and goals for the plan will be shared. Feedback will help to inform plan development and the future of public transportation in Oregon. The online open house will accept comments from Sept. 7 to Oct. 28 and can be accessed through the project website at www.oregon.gov/ODOT/TD/TP/Pages/optp.aspx

Space is limited! Please RSVP at https://www.eventbrite.com/e/oregon-public-transportation-plan-listening-meeting-region-1-tickets-27311175461
",Yes,Brooke Jordan,503-986-3510,brooke.jordan@odot.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/ODOT/TD/TP/Pages/optp.aspx
Transportation Department,Oregon Public Transportation Plan Listening Meeting,,10/18/2016 01:00:00 PM,10/18/2016 03:00:00 PM,Chemeketa Center for Business and Industry 626 High Street NE, Salem,"Public transportation connects many communities in Oregon, provides options for travelers, and often serves as the only way for people to get where they need to go. The Oregon Public Transportation Plan will provide a statewide vision and policy foundation for decisions about public transportation in and between Oregon communities. This plan will not identify projects or local investments, but it will set priorities and policies to guide future decisions and investments by state and local agencies. 

ODOT is inviting public transportation providers, local government staff and officials, interest groups, the public, and other interested parties to discuss challenges and opportunities for public transportation at meetings around the state in September and October or by participating in an online open house. The draft vision and goals for the plan will be shared. Feedback will help to inform plan development and the future of public transportation in Oregon. The online open house will accept comments from Sept. 7 to Oct. 28 and can be accessed through the project website at www.oregon.gov/ODOT/TD/TP/Pages/optp.aspx 

Space is limited! Please RSVP: https://www.eventbrite.com/e/oregon-public-transportation-plan-listening-meeting-region-2-tickets-27311244668",,Brooke Jordan,503-986-3510,Brooke.JORDAN@odot.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/ODOT/TD/TP/Pages/optp.aspx
Transportation Department,Winter Recreation Advisory Committee,,10/19/2016 08:30:00 AM,10/19/2016 09:30:00 AM,455 Airport Road Building K,Salem,The WRAC meets throughout the year to advise the Department of Transportation on matters related to the winter recreation parking (Sno-Park) program.,,Karen Morrison,,karen.j.morrison@odot.state.or.us,,,,,,,,,,,,,,,
Transportation Department,Oregon Local Program Committee - OLPC,ODOT/FHWA/MPO/Local Agencies’ Issues,10/28/2016 09:00:00 AM,10/28/2016 11:00:00 AM,"Marion County Public Works, 5155 Silverton Road NE, Bld 1",Salem,"OLPC is a partnership with counties, cities, ODOT, MPOs and FHWA, which meets to improve policy, process and oversight in the delivery of the Local Federal Aid Program and other local street and road programs and projects administered through ODOT ( This meeting will discuss Roundabouts; update on the Active Transportation Section of ODOT; Region 1 and 2 Local Project Delivery Workshop Feedback; State Funded Local Projects, Guidance, IGA and Projects in the 2015-18  STIP; and an update on the Certification Program of ODOT.)",Yes,Julie Redden,(503) 986 -3153,Julie.K.REDDEN@odot.state.or.us,,,,Julie Redden,(503) 986-3153,Julie.K.REDDEN@odot.state.or.us,,888-251-2909,868544,https://www.oregon.gov/ODOT/HWY/LGS/Meeting%20Materials/October%2028%20AGENDA.pdf,,,,,https://www.oregon.gov/ODOT/HWY/LGS/Pages/lpoc.aspx
Transportation Department,Oregon Public Transportation Plan Policy Advisory Committee,,11/08/2016 01:00:00 PM,11/08/2016 04:30:00 PM,"Chemeketa Center for Business and Industry, 626 High St NE", Salem,,Yes,Lucia Ramirez,,Lucia.L.Ramirez@odot.state.or.us,,,,,,,,,,http://www.oregon.gov/ODOT/TD/TP/docs/OPTP/OPTP_201611_Agenda.pdf,,,,,http://www.oregon.gov/ODOT/TD/TP/Pages/optp_pac.aspx
Transportation Department,Oregon Freight Advisory Committee (OFAC),,11/09/2016 01:00:00 PM,11/09/2016 04:00:00 PM,"Port of Portland St. Helens Conference Room, Main Terminal, Portland Airport", Portland,,,Roseann O'Laughlin,503-986-3525,Roseann.Olaughlin@odot.state.or.us,,,,,,,,,,http://www.oregon.gov/ODOT/TD/TP/OFAC/201611_Agenda.pdf,,,,,http://www.oregon.gov/ODOT/TD/TP/Pages/OFAC.aspx
Transportation Department,Motor Carrier Transportation Advisory Committee ,Panel of state government and industry representatives,11/10/2016 08:30:00 AM,11/10/2016 11:30:00 AM,3930 Fairview Industrial Drive SE, Salem,"The committee is made up of representatives from the Oregon Department of Transportation, Oregon State Police, the trucking industry, and related industries.",,Tara Caton,,tara.l.caton@odot.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/odot/mct/pages/mctac.aspx
Transportation Department,Public Transportation Advisory Committee (PTAC) Meeting,,11/14/2016 01:00:00 PM,11/14/2016 04:30:00 PM,"885 Airport Rd. SE, Building X (ODOT, Region 2 Campus)", Salem,,,Casandra Mance,,ptac@odot.state.or.us,,http://www.oregon.gov/ODOT/PT/stakeholders/ptac/maps/Airport%20Rd%20facility%20map.pdf,,,,,,,,,,,,,http://www.oregon.gov/ODOT/PT/Pages/stakeholders/ptac.aspx
Transportation Department,Speed Zone Review Panel Hearing,Hear contested speed zone cases,11/30/2016 09:00:00 AM,11/30/2016 12:00:00 PM,"ODOT Motor Carrier Bldg., 3930 Fairview Industrial Drive ", Salem,The City of Silverton is contesting recent speed recommendation on Cascade Highway South (OR213).  Another topic that will be discussed is a proposed engineering report to investigate raising truck speeds on some interstates.,Yes,Kathleen McConnell,503-986-3609,kathleen.e.mcconnell@odot.state.or.us,,http://www.oregon.gov/ODOT/MCT/Pages/contact_us.aspx,,Kathleen McConnell,503-986-3609,kathleen.e.mcconnell@odot.state.or.us,,,,,,,,,
Transportation Department,Governor's Advisory Committee on DUII,,12/02/2016 09:00:00 AM,12/02/2016 12:00:00 PM,4190 Aumsville Hwy. SE, Salem,DPSST Building,Yes,Daniel Estes,503.986.4183,daniel.d.estes@odot.state.or.us,,,,Daniel Estes,503.986.4183 or 711,,,1-877-402-9753,1365981,,,,,,
