Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Webinar/Webcast Link,Public Call-In Number,Call-in Access Code,Agenda URL,Owner,Agenda Upload,Map Location,Weblink to Meeting Minutes/Summaries,Agenda Download,2010 House Districts,2010 Senate Districts,Counties
Simplified Urban Growth Boundary Rulemaking Advisory Committee,Minor rulemaking amendments,10/25/2018 01:00:00 PM,10/25/2018 03:00:00 PM,"635 Capitol Street, Basement Hearing Room", Salem,Yes,Casaria Taylor,503-934-0065,casaria.taylor@state.or.us,,https://goo.gl/maps/i6MFF3E3bet,,Katie Lahey,503-934-0401,katie.lahey@state.or.us,,,,,,,,,,660-038_RACMtg1.pdf (https://data.oregon.gov/views/gs36-7t8m/files/f2f811e9-3c65-43a5-a6c5-a9f5e98c432b?download=true&filename=660-038_RACMtg1.pdf),,,
Solar Rulemaking Advisory Committee,Rulemaking advisory committee meeting,10/04/2018 10:30:00 AM,10/04/2018 02:30:00 PM,"288 NE Norton Lane, Chemeketa Community College", McMinnville,yes,Casaria Taylor,503-934-0065,casaria.taylor@state.or.us,,"https://www.google.com/maps/place/288+NE+Norton+Ln,+McMinnville,+OR+97128/@45.2015058,-123.1661793,17z/data=!3m1!4b1!4m5!3m4!1s0x54954f354c1b5bd3:0x4b12fd24b923e5b8!8m2!3d45.2015058!4d-123.1639906",,,,,,https://zoom.us/j/807759527,,,,,,,,Draft Agenda - Meeting 1.pdf (https://data.oregon.gov/views/gs36-7t8m/files/519ee9b7-f7c7-4dc7-b109-9b485ec5d2fe?download=true&filename=Draft%20Agenda%20-%20Meeting%201.pdf),,,
Territorial Sea Plan Working Group on Rocky Shores,A meeting of an Ocean Policy Advisory Council subcommittee to discuss amendments to Part 3 of the TSP.,09/10/2018 09:00:00 AM,09/10/2018 12:00:00 PM,"Department of Land Conservation and Development, Basement Hearing Room",Salem,Yes,Andy Lanier,5032062291,Andy.lanier@state.or.us,,,,,,,true,https://zoom.us/j/977488603,1 888 683 5191,,https://www.oregonocean.info/index.php/opac-documents/workinggroups/tspwg-p3/2018-9-10-tsp-rocky-shores-working-group/1757-tsp3-draft-agenda-materials-9-10-2018,,,,https://www.oregonocean.info/,,,,
Citizen Involvement Advisory Committee,ORS 197 established the state´s Citizen Involvement Advisory Committee (CIAC) to advise LCDC and local governments on matters pertaining to citizen involvement.,09/06/2018 09:00:00 AM,09/06/2018 12:00:00 PM,"Agriculture Building, 635 Capitol St., Ste. 250", Salem,yes,Sadie Carney,503-934-0036,sadie.carney@state.or.us,,https://www.oregon.gov/ODA/shared/Documents/Publications/Administration/DirectionsODA.pdf,http://www.oregon.gov/LCD/pages/citizeninvolvement.aspx#Meeting_Schedule,,,,,https://zoom.us/j/133701906,1 888 683 5191,,,,,,,,,,
Territorial Sea Plan Working Group on Rocky Shores,A meeting of an Ocean Policy Advisory Council subcommittee to discuss amendments to Part 3 of the TSP.,07/31/2018 01:00:00 PM,07/31/2018 04:00:00 PM,"Department of Land Conservation and Development, Basement Hearing Room",Salem,Yes,Andy Lanier,,Andy.lanier@state.or.us,,,,,,,true,https://zoom.us/j/977488603 (https://zoom.us/j/977488603%20),1 855 880 1246 ,977 488 603,,,,,https://www.oregonocean.info/,,,,
Citizen Involvement Advisory Committee,ORS 197 established the state´s Citizen Involvement Advisory Committee (CIAC) to advise LCDC and local governments on matters pertaining to citizen involvement.,06/07/2018 09:00:00 AM,06/07/2018 12:00:00 PM,"Agriculture Building, 635 Capitol St., Ste. 250",Salem,yes,Sadie Carney,503-934-0036,Sadie.carney@state.or.us,,https://www.oregon.gov/ODA/shared/Documents/Publications/Administration/DirectionsODA.pdf,http://www.oregon.gov/LCD/pages/citizeninvolvement.aspx#Meeting_Schedule,,,,true,https://zoom.us/j/133701906,1 888 683 5191,,,,,,,,,,
TSP Rocky Shores Working Group Meeting,TSP Rocky Shores Working Group Meeting.  To work on amendment to Part III of the TSP.,05/08/2018 01:00:00 PM,05/08/2018 04:00:00 PM,"DLCD Office, Second Floor Conference Room.  635 Capitol St NE, Suite 150", Salem,Yes,Andy Lanier,503-206-2291,Andy.lanier@state.or.us,,,,,,,true,https://zoom.us/j/977488603 (https://zoom.us/j/977488603%20),,,,,,,http://oregonocean.info/,,,,
Ocean Policy Advisory Council,Meeting of the Ocean Policy Advisory Council,04/26/2018 09:30:00 AM,04/26/2018 04:00:00 PM,Coos History Museum, Coos Bay,Yes,Andy Lanier,5032062291,Andy.lanier@state.or.us,,,,,,,,,,,,,,,http://www.oregonocean.info/OPAC,,,,
TSP Rocky Shores Public Meeting,Public meeting of the Rocky Shores Working Group (TSP Part 3),04/16/2018 09:00:00 AM,04/16/2018 12:00:00 PM,Newport Aquarium, Newport,Yes,Andy Lanier,,Andy.lanier@state.or.us,,,,,,,,,,,,,,,http://www.oregonocean.info/index.php/tsp-rocky-shores-amendment,,,,
TSP Rocky Shores Public Meeting,Public meeting for the Amendment of the Rocky Shores Management Strategy (TSP Part 3).,04/02/2018 09:00:00 AM,04/02/2018 12:00:00 PM,"Department of Land Conservation and Development, 635 Capitol St NE, Suite 150", Salem,Yes,Andy Lanier,,Andy.lanier@state.or.us,,,,,,,true,https://zoom.us/j/977488603,,,http://www.oregonocean.info/index.php/opac-documents/workinggroups/tspwg-p3/2018-4-2-tsp-rocky-shores-working-group/1697-tsprswg-agenda-2-4-2018/file,,,,http://www.oregonocean.info/index.php/tsp-rocky-shores-amendment,,,,
Citizen Involvement Advisory Committee,ORS 197 established the state´s Citizen Involvement Advisory Committee (CIAC) to advise LCDC and local governments on matters pertaining to citizen involvement. ,03/15/2018 09:00:00 AM,03/15/2018 12:00:00 PM,"Agriculture Building, 635 Capitol St., Ste. 250", Salem,yes,Sadie Carney,503-934-0036,sadie.carney@state.or.us,,https://www.oregon.gov/ODA/shared/Documents/Publications/Administration/DirectionsODA.pdf,http://www.oregon.gov/LCD/pages/citizeninvolvement.aspx#Meeting_Schedule,,,,true,https://zoom.us/j/133701906,1 888 683 5191,,,,,,,,,,
TSP Rocky Shores Public Meeting,Public Scoping meeting for the Amendment of the Rocky Shores Management Strategy (TSP Part 3),03/13/2018 05:00:00 PM,03/13/2018 07:00:00 PM,"Chetco Community Public Library, Myrtlewood Room, 405 Alder Street", Brookings,Yes,Andy Lanier,,Andy.lanier@state.or.us,,,,,,,,,,,http://www.oregonocean.info/index.php/ocean-documents/opac/workinggroups/tspwg-p3/tsp-part-3-outreach-materials/1640-tsprs-faq,,,,http://www.oregonocean.info/index.php/tsp-rocky-shores-amendment,,,,
TSP Rocky Shores Public Meeting,Public Scoping meeting for the Amendment of the Rocky Shores Management Strategy (TSP Part 3),03/13/2018 09:30:00 AM,03/13/2018 11:30:00 AM,"Coos Bay Public Library, 525 Anderson Avenue", Coos Bay,Yes,Andy Lanier,,Andy.lanier@state.or.us,,,,,,,,,,,http://www.oregonocean.info/index.php/ocean-documents/opac/workinggroups/tspwg-p3/tsp-part-3-outreach-materials/1640-tsprs-faq,,,,http://www.oregonocean.info/index.php/tsp-rocky-shores-amendment,,,,
TSP Rocky Shores Public Meeting,Public Scoping meeting for the Amendment of the Rocky Shores Management Strategy (TSP Part 3),03/08/2018 05:30:00 PM,03/08/2018 07:30:00 PM,"Tillamook People's Utility District, Public Meeting Room, 1115 Pacific Ave", Tillamook,Yes,Andy Lanier,,Andy.lanier@state.or.us,,,,,,,,,,,http://www.oregonocean.info/index.php/ocean-documents/opac/workinggroups/tspwg-p3/tsp-part-3-outreach-materials/1640-tsprs-faq,,,,http://www.oregonocean.info/index.php/tsp-rocky-shores-amendment,,,,
TSP Rocky Shores Public Meeting,Public Scoping meeting for the Amendment of the Rocky Shores Management Strategy (TSP Part 3),03/08/2018 09:00:00 AM,03/08/2018 11:00:00 AM,"Tolovana Inn, Warren Meeting Room, 3400 S Hemlock St", Cannon Beach,Yes,Andy Lanier,,Andy.lanier@state.or.us,,,,,,,,,,,http://www.oregonocean.info/index.php/ocean-documents/opac/workinggroups/tspwg-p3/tsp-part-3-outreach-materials/1640-tsprs-faq,,,,http://www.oregonocean.info/index.php/tsp-rocky-shores-amendment,,,,
TSP Rocky Shores Public Meeting,Public Scoping meeting for the Amendment of the Rocky Shores Management Strategy (TSP Part 3),03/06/2018 05:00:00 PM,03/06/2018 07:00:00 PM,"Pringle Hall Meeting Room, 606 Church Street SE,",Salem,Yes,Andy Lanier,,Andy.lanier@state.or.us,,,,,,,,,,,http://www.oregonocean.info/index.php/ocean-documents/opac/workinggroups/tspwg-p3/tsp-part-3-outreach-materials/1640-tsprs-faq,,,,http://www.oregonocean.info/index.php/tsp-rocky-shores-amendment,,,,
TSP Rocky Shores Public Meeting,Public Scoping meeting for the Amendment of the Rocky Shores Management Strategy (TSP Part 3),03/01/2018 03:00:00 PM,03/01/2018 05:00:00 PM,"Portland State Office Building, Room 1A, 800 NE Oregon Street", Portland,Yes,Andy Lanier,,Andy.lanier@state.or.us,,,,,,,,,,,http://www.oregonocean.info/index.php/ocean-documents/opac/workinggroups/tspwg-p3/tsp-part-3-outreach-materials/1640-tsprs-faq,,,,http://www.oregonocean.info/index.php/tsp-rocky-shores-amendment,,,,
TSP Rocky Shores Public Meeting,Public Scoping meeting for the Amendment of the Rocky Shores Management Strategy (TSP Part 3),02/27/2018 05:00:00 PM,02/27/2018 07:00:00 PM,"Agate Beach Inn, Cove Room, 3019 N. Coast Highway", Newport,Yes,Andy Lanier,,Andy.lanier@state.or.us,,,,,,,,,,,http://www.oregonocean.info/index.php/ocean-documents/opac/workinggroups/tspwg-p3/tsp-part-3-outreach-materials/1640-tsprs-faq,,,,http://www.oregonocean.info/index.php/tsp-rocky-shores-amendment,,,,
TSP Rocky Shores Public Meeting,Public Scoping meeting for the Amendment of the Rocky Shores Management Strategy (TSP Part 3),02/22/2018 06:30:00 PM,02/22/2018 08:30:00 PM,"University of Oregon, Baker Downtown Center, 975 High Street", Eugene,Yes,Andy Lanier,,Andy.lanier@state.or.us,,,,,,,,,,,http://www.oregonocean.info/index.php/ocean-documents/opac/workinggroups/tspwg-p3/tsp-part-3-outreach-materials/1640-tsprs-faq,,,,http://www.oregonocean.info/index.php/tsp-rocky-shores-amendment,,,,
TSP Rocky Shores Working Group Meeting,Working Group to make recommendations to the Ocean Policy Advisory Council on amendments to the Territorial Sea Plan,01/30/2018 01:00:00 PM,01/30/2018 04:00:00 PM,Basement Hearing Room Oregon Dept. of Land Conservation and Development  635 Capitol Street NE,Salem,Yes. Scheduled for 3:45pm.,Andy Lanier,5039340072,Andy.lanier@state.or.us,,,,,,,true,https://zoom.us/j/977488603,,,,,,,http://oregonocean.info,,,,
TSP Rocky Shores Working Group Meeting,Working Group to make recommendations to the Ocean Policy Advisory Council on amendments to the Territorial Sea Plan,01/08/2018 09:00:00 AM,01/08/2018 12:00:00 PM,Basement Hearing Room Oregon Dept. of Land Conservation and Development  635 Capitol Street NE, Salem,Yes.  Scheduled for 11:45am,Andy Lanier,503-934-0072,Andy.lanier@state.or.us,,,,Andy Lanier,5032062291,,true,https://zoom.us/j/977488603,,,,,,,http://oregonocean.info,,,,
Citizen Involvement Advisory Committee,ORS 197 established the state´s Citizen Involvement Advisory Committee (CIAC) to advise LCDC and local governments on matters pertaining to citizen involvement.,12/06/2017 10:00:00 AM,12/06/2017 12:00:00 PM,"635 Capitol St., Ste. 250", Salem,yes,Sadie Carney,503-934-0036,sadie.carney@state.or.us,,https://www.oregon.gov/ODA/shared/Documents/Publications/Administration/DirectionsODA.pdf,http://www.oregon.gov/LCD/pages/citizeninvolvement.aspx#Meeting_Schedule,,,,true,https://zoom.us/j/133701906,1 888 683 5191,,,,,,,,,,
Ocean Policy Advisory Council,,11/01/2017 10:00:00 AM,11/01/2017 04:30:00 PM,Holiday Inn Express , Astoria,Yes,Andy Lanier,503-934-0072,Andy.Lanier@state.or.us,,,,,,,true,https://zoom.us/j/782409222,1 855 880 1246,,http://oregonocean.info/index.php/ocean-documents/opac/meetings-1/2017-11-1/1592-opac-draft-agenda-nov12017-wdaelectionsnotice/file,,,,http://oregonocean.info/index.php/opac-menu,,,,
Metropolitan Transportation Planning Rulemaking,The Department of Land Conservation and Development (DLCD) is initiating a Rulemaking Advisory Committee (RAC) to advise the department in the development of amendments t existing rules.,10/17/2017 10:00:00 AM,10/17/2017 12:30:00 PM,"Basement Hearing Room, 635 Capitol Street", Salem,yes,Cody Meyer,503-934-0005,cody.meyer@state.or.us,,https://www-auth.oregon.egov.com/ODOT/Pages/contact_us.aspx,https://www-auth.oregon.egov.com/LCD/Pages/Metro_TPR.aspx#Advisory_Committee_Meetings,,,,,https://zoom.us/j/669707990,,,https://www-auth.oregon.egov.com/LCD/docs/rulemaking/TPR_2017/TPR-RAC2_Agenda.pdf,,,,https://www-auth.oregon.egov.com/LCD/Pages/Metro_TPR.aspx#Advisory_Committee_Meetings,,,,
Citizen Involvement Advisory Committee (CIAC),,12/07/2016 09:00:00 AM,12/07/2016 11:00:00 AM,"Agriculture Building - Ste. 250 Conference Room, 635 Capitol St. NE", Salem,Yes,Casaria Taylor,503-934-0065,casaria.taylor@state.or.us,,http://www.oregon.gov/ODA/shared/Documents/Publications/Administration/DirectionsODA.pdf,,,,,,,,,,,,,http://www.oregon.gov/LCD/pages/citizeninvolvement.aspx#Meeting_Schedule,,,,
Land Conservation and Development Commission (LCDC),,11/17/2016 08:00:00 AM,11/18/2016 05:00:00 PM,"Deschutes County Expo Center - North Sister Main Hall, 3800 SW Airport Way", Redmond,Yes,Amie Abbott,503-934-0045,amie.abbott@state.or.us,,http://www.expo.deschutes.org/,,Amie Abbott,503-934-0045,amie.abbott@state.or.us,,,,,,,,,http://www.oregon.gov/LCD/Pages/meetings.aspx#LCDC,,,,
Citizen Involvement Advisory Committee (CIAC,,09/22/2016 08:00:00 AM,09/22/2016 05:00:00 PM,"Agriculture Building - Basement Hearing Room, 635 Capitol St. NE", Salem,Yes,Casaria Taylor,503-934-0065,casaria.taylor@state.or.us,,http://www.oregon.gov/ODA/shared/Documents/Publications/Administration/DirectionsODA.pdf,,,,,,,,,,,,,http://www.oregon.gov/LCD/Pages/meetings.aspx#LCDC,,,,
Land Conservation and Development Commission (LCDC),,09/22/2016 08:00:00 AM,09/23/2016 05:00:00 PM,"Agriculture Building - Basement Hearing Room, 635 Capitol St. NE", Salem,Yes,Amie Abbott,503-934-0045,amie.abbott@state.or.us,,http://www.oregon.gov/ODA/shared/Documents/Publications/Administration/DirectionsODA.pdf,,Amie Abbott,503-934-0045,amie.abbott@state.or.us,,,,,,,,,http://www.oregon.gov/LCD/Pages/meetings.aspx#LCDC,,,,
Citizen Involvement Advisory Committee (CIAC),,08/03/2016 09:00:00 AM,08/03/2016 11:00:00 AM,"Agriculture Building - Ste. 250 Conference Room, 635 Capitol St. NE", Salem,Yes,Casaria Taylor,503-934-0065,casaria.taylor@state.or.us,,http://www.oregon.gov/ODA/shared/Documents/Publications/Administration/DirectionsODA.pdf,,,,,,,,,,,,,http://www.oregon.gov/LCD/pages/citizeninvolvement.aspx#Meeting_Schedule,,,,
Land Conservation and Development Commission (LCDC),,07/21/2016 08:00:00 AM,07/22/2016 05:00:00 PM,"Port of Morrow/Riverfront Center - Riverfront Room, 2 Marine Drive", Boardman,Yes,Amie Abbott,503-934-0045,amie.abbott@state.or.us,,http://www.portofmorrow.com/contact.htm,,Amie Abbott,503-934-0045,amie.abbott@state.or.us,,,,,,,,,http://www.oregon.gov/LCD/Pages/meetings.aspx#LCDC,,,,
Citizen Involvement Advisory Committee (CIAC,,06/01/2016 09:00:00 AM,06/01/2016 11:00:00 AM,"Agriculture Building - Ste. 250 Conference Room, 635 Capitol St. NE", Salem,Yes,Casaria Taylor,503-934-0065,casaria.taylor@state.or.us,,http://www.oregon.gov/ODA/shared/Documents/Publications/Administration/DirectionsODA.pdf,,,,,,,,,,,,,http://www.oregon.gov/LCD/pages/citizeninvolvement.aspx#Meeting_Schedule,,,,
Land Conservation and Development Commission (LCDC),,05/19/2016 08:00:00 AM,05/20/2016 05:00:00 PM,"Linn County Fair & Expo Center, 3700 Knox Butte Rd", Albany,Yes,Amie Abbott,503-934-0045,amie.abbott@state.or.us,,http://www.lcfairexpo.com/facilities.conference.html,,Amie Abbott,503-934-0045,amie.abbott@state.or.us,,,,,,,,,http://www.oregon.gov/LCD/Pages/meetings.aspx#LCDC,,,,
Citizen Invovlement Advisory Committee (CIAC),,04/06/2016 09:00:00 AM,04/06/2016 11:00:00 AM,"Agriculture Building - Ste. 250 Conference Room, 635 Capitol St. NE", Salem,Yes,Casaria Taylor,503-934-0065,casaria.taylor@state.or.us,,http://www.oregon.gov/ODA/shared/Documents/Publications/Administration/DirectionsODA.pdf,,,,,,,,,,,,,http://www.oregon.gov/LCD/pages/citizeninvolvement.aspx#Meeting_Schedule,,,,
Land Conservation and Development Commission (LCDC),,03/10/2016 08:00:00 AM,03/11/2016 05:00:00 PM,"Curry County Event Center, 29392 Ellensburg Ave.", Gold Beach,Yes,Amie Abbott,503-934-0045,amie.abbott@state.or.us,,http://www.curryfair.com/,,Amie Abbott,503-934-0045,amie.abbott@state.or.us,,,,,,,,,http://www.oregon.gov/LCD/Pages/meetings.aspx#LCDC,,,,
Citizen Involvement Advisory Committee (CIAC),,02/03/2016 09:00:00 AM,02/03/2016 11:00:00 AM,"Agriculture Building, Ste. 250 Conference Room, 635 Capitol St.", Salem,Yes,Casaria Taylor,503-934-0065,casaria.taylor@state.or.us,,http://www.oregon.gov/ODA/shared/Documents/Publications/Administration/DirectionsODA.pdf,,,,,,,,,,,,,http://www.oregon.gov/LCD/pages/citizeninvolvement.aspx#Meeting_Schedule,,,,
Land Conservation and Development Commission (LCDC),,01/13/2016 01:00:00 PM,01/14/2016 05:00:00 PM,"Medford Library, 205 South Central", Medford,Yes,Amie Abbott,503-934-0045,amie.abbott@state.or.us,,http://jcls.org/,,Amie Abbott,503-934-0045,amie.abbott@state.or.us,,,,,http://www.oregon.gov/LCD/docs/meetings/lcdc/011416/Agenda_LCDC_Jan_2016.pdf,,,,http://www.oregon.gov/LCD/Pages/meetings.aspx#LCDC,,,,
Citizen Involvement Advisory Committee,December meeting of the CIAC,12/11/2012 10:00:00 AM,,"635 Capitol St NE, Basement Conf Room D", Salem,,Casaria Tuttle,,casaria.r.tuttle@state.or.us,,,,,,,,,,,,jon.dunsmore@state.or.us,,,,,,,
TSPAC Meeting,TSPAC Meeting,11/13/2012 10:00:00 AM,11/13/2012 03:00:00 PM,TBD, Salem,,Paul Klarin,,paul.klarin@state.or.us,,,,,,,,,,,,jon.dunsmore@state.or.us,,,,,,,
Citizen Involvement Advisory Committee,November meeting of the CIAC,11/06/2012 10:00:00 AM,,"635 Capitol St NE, Basement Conf Room D", Salem,,Casaria Tuttle,,casaria.r.tuttle@state.or.us,,,,,,,,,,,,jon.dunsmore@state.or.us,,,,,,,
TSPAC Meeting,TSPAC Meeting,10/09/2012 10:00:00 AM,10/09/2012 03:00:00 PM,"Newport, Location TBD", Newport,,Paul Klarin,,paul.klarin@state.or.us,,,,,,,,,,,,jon.dunsmore@state.or.us,,,,,,,
TSPAC Meeting,TSPAC Fisheries Subcommittee,09/20/2012 01:00:00 PM,09/20/2012 04:00:00 PM,"Newport, Location TBD", Newport,,Paul Klarin,,paul.klarin@state.or.us,,,,,,,,,,,,jon.dunsmore@state.or.us,,,,,,,
Citizen Involvement Advisory Committee,September meeting of the CIAC,09/20/2012 10:00:00 AM,,"635 Capitol St NE, Basement Conf Room D", Salem,,Casaria Tuttle,,casaria.r.tuttle@state.or.us,,,,,,,,,,,,jon.dunsmore@state.or.us,,,,,,,
TSPAC Meeting,TSPAC Energy Subcommittee,09/17/2012 10:00:00 AM,09/17/2012 03:00:00 PM,"Hallmark Inn, 744 Southwest Elizabeth Street Newport, OR 97365", Newport,,Rebecca Oneil,,Rebecca.Oneil@odoe.state.or.us,,,,,,,,,,,,jon.dunsmore@state.or.us,,,,,,,
TSPAC Meeting,TSPAC Ecological Resources Subcommittee,09/07/2012 01:00:00 PM,09/07/2012 05:00:00 PM,"ODFW, 2040 SE Marine Science Drive Newport, Oregon 97365", Newport,,Caren E. Braby,,Caren.E.Braby@state.or.us,,,,,,,,,,,,jon.dunsmore@state.or.us,,,,,,,
TSPAC Meeting,TSPAC Visual Resources Subcommittee,09/06/2012 10:00:00 AM,09/06/2012 05:00:00 PM,"Yachats Commons, 441 Hwy 101 N, Yachats, OR", Yachats,,Andy Lanier,,andy.lanier@state.or.us,,,,,,,,,,,,jon.dunsmore@state.or.us,,,,,,,
TSPAC Meeting,TSPAC Full Committee Meeting,08/09/2012 10:00:00 AM,08/09/2012 03:00:00 PM,"CCBI, 626 High St. NE Salem, OR 97301", Salem,,Paul Klarin,,paul.klarin@state.or.us,,,,,,,,,,,,jon.dunsmore@state.or.us,,,,,,,
TSPAC Meeting,TSPAC Part 5 Language Subcommittee,08/08/2012 01:00:00 PM,08/08/2012 04:00:00 PM,"Land Board Room, Department of State Lands, 775 Summer St. NE, Suite 100, Salem OR ", Salem,,Paul Klarin,,paul.klarin@state.or.us,,,,,,,,,,,,jon.dunsmore@state.or.us,,,,,,,
TSPAC Fisheries Subcommittee Meeting,TSPAC Meeting,08/07/2012 12:30:00 PM,08/07/2012 04:00:00 PM,"Oregon Department of Fish and Wildlife 2040 SE Marine Science Drive Newport, Oregon 97365", Newport,,Paul Klarin,,paul.klarin@state.or.us,,,,,,,,,,,,jon.dunsmore@state.or.us,,,,,,,
Citizen Involvement Advisory Committee,Auguest meeting of the CIAC,08/07/2012 10:00:00 AM,,"635 Capitol St NE, Basement Conf Room D", Salem,,Casaria Tuttle,,casaria.r.tuttle@state.or.us,,,,,,,,,,,,jon.dunsmore@state.or.us,,,,,,,
TSPAC Meeting,TSPAC Ecological Resources Subcommittee,08/06/2012 01:00:00 PM,08/06/2012 04:00:00 PM,"Oregon Department of Fish and Wildlife 2040 SE Marine Science Drive Newport, Oregon 97365", Newport,,Caren E. Braby,,Caren.E.Braby@state.or.us,,,,,,,,,,,,jon.dunsmore@state.or.us,,,,,,,
TSPAC Meeting,TSPAC Energy Subcommittee Meeting,08/02/2012 01:00:00 PM,08/02/2012 04:00:00 PM,"Oregon Dept. of Energy, 625 Marion St. NE", Salem,,Rebecca O'Neil ,,Rebecca.Oneil@state.or.us,,,,,,,,,,,,jon.dunsmore@state.or.us,,,,,,,
TSPAC Meeting,TSPAC Visual Resources Subcommittee,08/01/2012 01:00:00 PM,08/01/2012 03:30:00 PM,"Department of Land Conservation and Development Office, 810 S.W. Alder Street, Unit B, Newport, OR", Newport,,Andy Lanier,,andy.lanier@state.or.us,,,,,,,,,,,,jon.dunsmore@state.or.us,,,,,,,
Citizen Involvement Advisory Committee,June meeting of the CIAC,06/12/2012 10:00:00 AM,,"635 Capitol St NE, Basement Conf Room D", Salem,,Casaria Tuttle,,casaria.r.tuttle@state.or.us,,,,,,,,,,,,jon.dunsmore@state.or.us,,,,,,,
TSPAC Fishing Resources subcommittee,TSPAC Fishing Resources subcommittee,06/08/2012 01:00:00 PM,,"2040 SE Marine Science Drive Newport, OR 97365", Newport,,Paul Klarin,,paul.klarin@state.or.us,,,,,,,,https://www4.gotomeeting.com/join/662301359,1-877-214-5637,259902,,jon.dunsmore@state.or.us,,,,,,,
TSPAC Visual Resources Subcommitee Meeting,TSPAC Visual Resources Subcommitee Meeting,06/06/2012 01:00:00 PM,,"810 SW Alder St, Ste B, Newport OR", Newport,,Andy Lanier,,andy.lanier@state.or.us,,,,,,,,,,,,jon.dunsmore@state.or.us,,,,,,,
TSPAC Meeting,TSPAC Meeting,05/29/2012 09:00:00 AM,,"Oregon Department of Fish and Wildlife Commission Room 3406 Cherry Avenue Salem, Oregon 97303", Salem,,Paul Klarin,,paul.klarin@state.or.us,,,,,,,,,,,,jon.dunsmore@state.or.us,,,,,,,
TSPAC Recreational Resources Subcommittee ,TSPAC Recreational Resources Subcommittee ,05/23/2012 01:00:00 PM,,"635 Capitol St NE, Basement Hearing Room", Salem,,Paul Klarin,,paul.klarin@state.or.us,,,,,,,,,,,,jon.dunsmore@state.or.us,,,,,,,
TSPAC Visual Resources Subcommittee ,TSPAC Visual Resources Subcommittee ,05/23/2012 08:00:00 AM,,"635 Capitol St NE, Basement Hearing Room", Salem,,Andy Lanier,,andy.lanier@state.or.us,,,,,,,,https://www1.gotomeeting.com/join/517205441,,,,jon.dunsmore@state.or.us,,,,,,,
TSPAC Ecological Subcommittee ,TSPAC Ecological Subcommittee ,05/22/2012 03:00:00 PM,,"Oregon Department of Fish and Wildlife 2040 SE Marine Science Drive Newport, Oregon 97365", Newport,,Paul Klarin,,paul.klarin@state.or.us,,,,,,,,,888-476-6128,652352,,jon.dunsmore@state.or.us,,,,,,,
TSPAC TSP Part 5 Revisions Subcommittee ,TSPAC TSP Part 5 ,05/21/2012 09:00:00 AM,,635 Capitol St NE, Salem,,Paul Klarin,,paul.klarin@state.or.us,,,,,,,,,,,,jon.dunsmore@state.or.us,,,,,,,
Citizen Involvement Advisory Committee,May meeting of the CIAC,05/08/2012 10:00:00 AM,,"635 Capitol St NE, Basement Conf Room D", Salem,,Casaria Tuttle,,casaria.r.tuttle@state.or.us,,,,,,,,,,,,jon.dunsmore@state.or.us,,,,,,,
TSPAC Meeting,TSPAC Meeting,05/08/2012 09:30:00 AM,,"635 Capitol St NE, Basement Hearing Room", Salem,,Paul Klarin,,paul.klarin@state.or.us,,,,,,,,,,,,jon.dunsmore@state.or.us,,,,,,,
OPAC Meeting,OPAC Meeting,04/09/2012 09:00:00 AM,04/09/2012 04:00:00 PM,"Best Western Agate Beach Inn, 3019 N. Coast Highway, Newport OR", Newport,,Andy Lanier,,andy.lanier@state.or.us,,,,,,,,,,,,jon.dunsmore@state.or.us,,,,,,,
TSPWG Public Work Session,TSPWG Public Work Session,03/22/2012 09:30:00 AM,03/22/2012 04:30:00 PM,"Best Western Agate Beach Inn, 3019 N. Coast Highway, Newport OR", Newport,,Paul Klarin,,paul.klarin@state.or.us,,,,,,,,,,,,jon.dunsmore@state.or.us,,,,,,,
TSPWG Public Work Session,TSPWG Public Work Session,03/06/2012 05:30:00 PM,,"Kiawanda Community Center, Pacific City", Tillamook,,Paul Klarin,,paul.klarin@state.or.us,,,,,,,,,,,,jon.dunsmore@state.or.us,,,,,,,
Citizen Involvement Advisory Committee,March meeting of the CIAC,03/06/2012 10:00:00 AM,,"635 Capitol St NE, Basement Conf Room D", Salem,,Casaria Tuttle,,casaria.r.tuttle@state.or.us,,,,,,,,,,,,jon.dunsmore@state.or.us,,,,,,,
Local Officials Advisory Committee,February meeting of the LOAC,02/13/2012 01:30:00 PM,,"635 Capitol St NE, Basement Conf Room D", Salem,,Casaria Tuttle,,casaria.r.tuttle@state.or.us,,http://www.oregon.gov/ODA/docs/pdf/ag_map.pdf,,,,,,,,,,jon.dunsmore@state.or.us,,,,,,,
Citizen Involvement Advisory Committee,February meeting of the CIAC,02/07/2012 10:00:00 AM,02/07/2012 03:00:00 PM,"635 Capitol Street, Basement Hearing Room", Salem,,Casaria Tuttle,503-373-0050 x322,casaria.r.tuttle@state.or.us,http://www.oregon.gov/LCD/meetings.shtml#Citizen_Involvement,,,,,,,,1-877-771-7176,792566,,jon.dunsmore@state.or.us,,,,,,,
