"agency","report_name","report_number","month","year","contract_audit","url","type","supp_doc_name1","supp_doc_num1","support_doc_url1","supp_doc_name2","supp_doc_num2","support_doc_url2","supp_doc_name3","supp_doc_num3","support_doc_url3","supp_doc_name4","supp_doc_num4","support_doc_url4","supp_doc_name5","supp_doc_num5","support_doc_url5","supp_doc_name6","supp_doc_num6","support_doc_url6","supp_doc_name7","supp_doc_num7","support_doc_url7","day"
"Massage Therapists, State Board of","Status of 1998 Audit Recommendations: as Reported by State Agencies","1999-38","11","1999","false","6710588",,,,,,,,,,,,,,,,,,,,,,,"17"
"Multi-Agency","Federal Compliance Report and Internal Control Report: For the Fiscal Year Ended June 30, 1998","1999-21","5","1999","false","6710572",,,,,,,,,,,,,,,,,,,,,,,"15"
"Optometry, Oregon Board of","For the Year Ended June 30, 1998","1999-10","3","1999","false","6710563",,,,,,,,,,,,,,,,,,,,,,,"16"
"Parks and Recreation Department, Oregon","Management of State Park Resources","1999-28","8","1999","false","6710579",,,,,,,,,,,,,,,,,,,,,,,"9"
"Parks and Recreation Department, Oregon","Status of 1998 Audit Recommendations: as Reported by State Agencies","1999-38","11","1999","false","6710588",,,,,,,,,,,,,,,,,,,,,,,"17"
"Parks and Recreation Department, Oregon","Review of the Department's Relationship with the Oregon State Parks Trust","1999-27","8","1999","false","6710578",,,,,,,,,,,,,,,,,,,,,,,"8"
"Revenue, Department of","Status of 1998 Audit Recommendations: as Reported by State Agencies","1999-38","11","1999","false","6710588",,,,,,,,,,,,,,,,,,,,,,,"17"
"SAIF Corporation","For the Years Ended December 31, 1998, and 1997","1999-34","10","1999","false","6710585",,,,,,,,,,,,,,,,,,,,,,,"18"
"Southern Curry Cemetery Maintenance District","Special Review","1999-01","1","1999","false","6710593",,,,,,,,,,,,,,,,,,,,,,,"15"
"Student Assistance Commission","Oregon State Scholarship Commission: Change of Administrator","1999-20","5","1999","false","6710571",,,,,,,,,,,,,,,,,,,,,,,"14"
"Student Assistance Commission","Oregon State Scholarship Commission: July 1, 1997 to June 30, 1998","1999-26","7","1999","false","6710577",,,,,,,,,,,,,,,,,,,,,,,"16"
"Tax Practitioners, Oregon State Board of","State Board of Tax Services Examiners: Change of Administrator Audit","1999-41","12","1999","false","6710591",,,,,,,,,,,,,,,,,,,,,,,"28"
"Transportation, Oregon Department of","General Computer Controls","1999-33","10","1999","false","6710584",,,,,,,,,,,,,,,,,,,,,,,"17"
"Transportation, Oregon Department of","Status of 1998 Audit Recommendations: as Reported by State Agencies","1999-38","11","1999","false","6710588",,,,,,,,,,,,,,,,,,,,,,,"17"
"Transportation, Oregon Department of","Oregon Transportation Infrastructure Fund July 1, 1997 to June 30, 1998","1999-22","6","1999","false","6710573",,,,,,,,,,,,,,,,,,,,,,,"23"
"Treasurer, Office of the State","Oregon Short-Term: Fund For the Years Ended June 30, 1999, and 1998","1999-32","9","1999","false","6710583",,,,,,,,,,,,,,,,,,,,,,,"17"
"Women, Commission for","Status of 1998 Audit Recommendations: as Reported by State Agencies","1999-38","11","1999","false","6710588",,,,,,,,,,,,,,,,,,,,,,,"17"
"Youth Authority, Oregon","Status of 1998 Audit Recommendations: as Reported by State Agencies","1999-38","11","1999","false","6710588",,,,,,,,,,,,,,,,,,,,,,,"17"
"Youth Authority, Oregon","Youth Juvenile Justice System Review","1999-04","3","1999","false","6710557",,,,,,,,,,,,,,,,,,,,,,,"10"
"Administrative Services, Department of","Year 2000 Management Review","2000-06","2","2000","false","6710690",,,,,,,,,,,,,,,,,,,,,,,"18"
"Administrative Services, Department of","Oregon State Payroll System Application Control Review","2000-14","3","2000","false","6710697",,,,,,,,,,,,,,,,,,,,,,,"21"
"Administrative Services, Department of","Change of Director","2000-28","8","2000","false","6710672",,,,,,,,,,,,,,,,,,,,,,,"20"
"Administrative Services, Department of","Review of Qualified Rehabilitation Facilities","2000-30","9","2000","false","6710674",,,,,,,,,,,,,,,,,,,,,,,"4"
"Children's Trust Fund of Oregon","For the Year Ended June 30, 1999","2000-05","2","2000","false","6710689",,,,,,,,,,,,,,,,,,,,,,,"17"
"Consumer and Business Services, Department of","Change of Director","2000-20","5","2000","false","6710666",,,,,,,,,,,,,,,,,,,,,,,"27"
"Driver and Motor Vehicles Services","Driver and Motor Vehicle Services Change of Director Audit","2000-03","1","2000","false","6710687",,,,,,,,,,,,,,,,,,,,,,,"11"
"Economic and Community Development Department, Oregon","Special Public Works Fund July 1, 1998, to June 30, 1999","2000-24","7","2000","false","6710670",,,,,,,,,,,,,,,,,,,,,,,"18"
"Economic and Community Development Department, Oregon","Water Fund July 1, 1998, to June 30, 1999","2000-25","7","2000","false","6710671",,,,,,,,,,,,,,,,,,,,,,,"19"
"Education, Oregon Department of","Database Initiative Project","2000-39","11","2000","false","6710678",,"Management Letter","581-2000-06-01","6710684",,,,,,,,,,,,,,,,,,,"8"
"Energy, Oregon Department of","Small Scale Energy Loan Program For the Years Ended June 30, 1999 and 1998","2000-12","3","2000","false","6710695",,,,,,,,,,,,,,,,,,,,,,,"19"
"Fish and Wildlife, Department of","Commercial Fisheries Regulation","2000-10","3","2000","false","6710693",,,,,,,,,,,,,,,,,,,,,,,"17"
"Forestry, Department of","Preliminary Risk Assessments of Department Operations","2000-08","2","2000","false","6710691",,,,,,,,,,,,,,,,,,,,,,,"19"
"Geology and Mineral Industries, Department of","Change of Director Review","2000-18","4","2000","false","6710664",,,,,,,,,,,,,,,,,,,,,,,"25"
"Housing and Community Services Department","For the Years Ended June 30, 1999 and 1998","2000-04","2","2000","false","6710688",,,,,,,,,,,,,,,,,,,,,,,"16"
"Housing and Community Services Department","For the Years Ended June 30, 2000 and 1999","2000-49","12","2000","false","6710682",,,,,,,,,,,,,,,,,,,,,,,"12"
"Human Services, Department of","Change of Administrator Audits","2000-37","10","2000","false","6710677",,,,,,,,,,,,,,,,,,,,,,,"7"
"Insurance Pool Governing Board","Insurance Pool Governing Board: Family Health Insurance Assistance Program","2000-29","8","2000","false","6710673",,,,,,,,,,,,,,,,,,,,,,,"30"
"Legislative Audit Committee","Report to the Legislative Audit Committee: December 13, 2000","2000-42","12","2000","false","6710681",,,,,,,,,,,,,,,,,,,,,,,"11"
"Lottery Commission, Oregon State","July 1, 1998 to June 30, 1999","2000-01","1","2000","false","6710685",,,,,,,,,,,,,,,,,,,,,,,"9"
"Lottery Commission, Oregon State","Lottery Retailer Oversight","2000-32","10","2000","false","6710675",,,,,,,,,,,,,,,,,,,,,,,"5"
"Military Department, Oregon","Change of Director","2000-21","6","2000","false","6710667",,,,,,,,,,,,,,,,,,,,,,,"28"
"Multi-Agency","Federal Compliance Report and Internal Control Report: For The Fiscal Year Ended June 30, 1999","2000-09","2","2000","false","6710692",,,,,,,,,,,,,,,,,,,,,,,"20"
"Police, Department of Oregon","Personnel Allocation and Deployment","2000-22","6","2000","false","6710668",,,,,,,,,,,,,,,,,,,,,,,"16"
"Private Health Partnerships, Office of","Insurance Pool Governing Board: Family Health Insurance Assistance Program","2000-29","8","2000","false","6710673",,,,,,,,,,,,,,,,,,,,,,,"30"
"Public Employees Retirement System","July 1, 1998 to June 30, 1999","2000-16","4","2000","false","6710662",,,,,,,,,,,,,,,,,,,,,,,"23"
"Public Employees Retirement System","Information Technology Application Control Review","2000-23","6","2000","false","6710669",,,,,,,,,,,,,,,,,,,,,,,"17"
"Revenue, Department of","Application Controls Review","2000-19","6","2000","false","6710665",,,,,,,,,,,,,,,,,,,,,,,"26"
"Student Assistance Commission","Oregon State Scholarship Commission: Year Ended June 30, 1999","2000-15","4","2000","false","6710661",,,,,,,,,,,,,,,,,,,,,,,"22"
"Transportation, Oregon Department of","Driver and Motor Vehicle Services Change of Director Audit","2000-03","1","2000","false","6710687",,,,,,,,,,,,,,,,,,,,,,,"11"
"Transportation, Oregon Department of","Oregon Transportation Infrastructure Fund For the Years Ended June 30, 1999 and 1998","2000-13","3","2000","false","6710696",,,,,,,,,,,,,,,,,,,,,,,"20"
"Treasurer, Office of the State","Oregon Short-Term Fund: For the Years Ended June 30, 2000 and 1999","2000-36","10","2000","false","6710676",,,,,,,,,,,,,,,,,,,,,,,"6"
"Treasurer, Office of the State","Evaluation of General Computer Controls","2000-50","12","2000","false","6710683",,,,,,,,,,,,,,,,,,,,,,,"13"
"University System, Oregon","Oregon State University Review of Selected Operations","2000-40","12","2000","false","6710679",,,,,,,,,,,,,,,,,,,,,,,"9"
"Veterans' Affairs, Department of","July 1, 1998 to June 30, 1999","2000-02","1","2000","false","6710686",,,,,,,,,,,,,,,,,,,,,,,"10"
"Veterans' Affairs, Department of","Special Review of the Oregon Veterans' Home","2000-17","4","2000","false","6710663",,,,,,,,,,,,,,,,,,,,,,,"24"
"Water Resources Department","Change of Director Audit","2000-41","12","2000","false","6710680",,,,,,,,,,,,,,,,,,,,,,,"10"
"Watershed Enhancement Board","Grant Administration Practices","2000-11","3","2000","false","6710694",,,,,,,,,,,,,,,,,,,,,,,"18"
"Administrative Services, Department of","Oregon State Payroll System Follow Up","2001-17","5","2001","false","6710649",,,,,,,,,,,,,,,,,,,,,,,"19"
"Administrative Services, Department of","Information Resources Management Division Review","2001-33","8","2001","false","6710596",,,,,,,,,,,,,,,,,,,,,,,"13"
"Administrative Services, Department of","Data Center General Controls Review","2001-50","11","2001","false","6710613",,"Management Letter","107-2001-10-05","6710626",,,,,,,,,,,,,,,,,,,"20"
"Architect Examiners, State Board of","Change of Administrator Review","2001-44","10","2001","false","6710607",,,,,,,,,,,,,,,,,,,,,,,"14"
"Asian Affairs, Commission on","Change of Director Audit","2001-29","7","2001","false","6710658",,,,,,,,,,,,,,,,,,,,,,,"9"
"Beef Council, Oregon","For the Year Ended June 30, 2001","2001-47","10","2001","false","6710610",,,,,,,,,,,,,,,,,,,,,,,"17"
"Black Affairs, Oregon Commission on","Change of Director","2001-39","9","2001","false","6710602",,,,,,,,,,,,,,,,,,,,,,,"19"
"Blind, Oregon Commission for the","Change of Director Audit","2001-41","10","2001","false","6710604",,,,,,,,,,,,,,,,,,,,,,,"11"
"Children's Trust Fund of Oregon","For the Year Ended June 30, 2001","2001-48","11","2001","false","6710611",,,,,,,,,,,,,,,,,,,,,,,"18"
"Disabilities Commission, Oregon","Change of Director","2001-40","10","2001","false","6710603",,,,,,,,,,,,,,,,,,,,,,,"10"
"Economic and Community Development Department, Oregon","Evaluation of Performance Measurement Practices","2001-15","4","2001","false","6710647",,,,,,,,,,,,,,,,,,,,,,,"17"
"Economic and Community Development Department, Oregon","Special Public Works Fund July 1, 1999, to June 30, 2000","2001-21","6","2001","false","6710652",,,,,,,,,,,,,,,,,,,,,,,"22"
"Economic and Community Development Department, Oregon","Water Fund July 1, 1999, to June 30, 2000","2001-26","6","2001","false","6710656",,,,,,,,,,,,,,,,,,,,,,,"26"
"Energy, Oregon Department of","Small Scale Energy Loan Program For the Two Years Ended June 30, 2000 and 1999","2001-11","3","2001","false","6710644",,,,,,,,,,,,,,,,,,,,,,,"28"
"Environmental Quality, Department of","Change of Director Audit","2001-49","11","2001","false","6710612",,"Management Letter","340-2001-10-01","6710631",,,,,,,,,,,,,,,,,,,"19"
"Environmental Quality, Department of","Broad-Based Risk Assessment",,"10","2001","false",,,"Management Letter","340-2001-10-02","6710632",,,,,,,,,,,,,,,,,,,"30"
"Housing and Community Services Department","Comprehensive Annual Financial Report Proprietary Fund Type Enterprise Funds For the Year Ended June 30, 2001","2001-57","12","2001","false","6710620",,,,,,,,,,,,,,,,,,,,,,,"27"
"Human Services, Department of","Evaluation of General Computer Controls","2001-55","12","2001","false","6710618",,,,,,,,,,,,,,,,,,,,,,,"25"
"Human Services, Department of","Oregon Health Division Drinking Water Program","2001-03","1","2001","false","6710639",,,,,,,,,,,,,,,,,,,,,,,"26"
"Human Services, Department of","Food Stamp Management Information System Application Control Review","2001-23","6","2001","false","6710653",,,,,,,,,,,,,,,,,,,,,,,"23"
"Human Services, Department of","Adult and Family Services Division: Change of Administrator Audit","2001-32","8","2001","false","6710595",,"Management Letter","461-2001-04-01","6710635",,,,,,,,,,,,,,,,,,,"12"
"Human Services, Department of","Change of Director Audit","2001-35","8","2001","false","6710598",,"Management Letter","410-2001-06-01","6710633",,,,,,,,,,,,,,,,,,,"15"
"Human Services, Department of","Security Controls for Computer Applications","2001-37","8","2001","false","6710600",,,,,,,,,,,,,,,,,,,,,,,"17"
"Justice, Oregon Department of","Division of Child Support: Receipting Unit Special Review","2001-08","2","2001","false","6710641",,,,,,,,,,,,,,,,,,,,,,,"25"
"Lands, Department of State","Change of Director Audit","2001-13","3","2001","false","6710646",,"Management Letter","141-2001-03-01","6710629",,,,,,,,,,,,,,,,,,,"26"
"Lands, Department of State","Trust Property Section Internal Controls Review","2001-56","12","2001","false","6710619",,"Management Letter","141-2001-12-01","6710630",,,,,,,,,,,,,,,,,,,"26"
"Legislative Audit Committee","Report to the Legislative Audit Committee","2001-46","10","2001","false","6710609",,,,,,,,,,,,,,,,,,,,,,,"16"
"Liquor Control Commission, Oregon","Review of Inventory Management and License and Permit Regulation","2001-24","6","2001","false","6710654",,,,,,,,,,,,,,,,,,,,,,,"24"
"Lottery Commission, Oregon State","July 1, 1999, to June 30, 2000","2001-04","2","2001","false","6710640",,,,,,,,,,,,,,,,,,,,,,,"23"
"Multi-Agency","Federal Compliance Report and Internal Control Report: For The Fiscal Year Ended June 30, 2000","2001-12","2","2001","false","6710645",,,,,,,,,,,,,,,,,,,,,,,"29"
"Parks and Recreation Department, Oregon","Change of Director Audit","2001-02","1","2001","false","6710638",,,,,,,,,,,,,,,,,,,,,,,"23"
"Parks and Recreation Department, Oregon","Change of Director Review","2001-31","8","2001","false","6710594",,"Management Letter","622-2001-07-01","6710636",,,,,,,,,,,,,,,,,,,"11"
"Psychologist Examiners, State Board of","Change of Director Audit","2001-38","9","2001","false","6710601",,,,,,,,,,,,,,,,,,,,,,,"18"
"Public Employees Retirement System","Comprehensive Annual Financial Report For the Year Ended June 30, 2001","2001-58","12","2001","false","6710621",,,,,,,,,,,,,,,,,,,,,,,"28"
"Public Employees Retirement System","Change of Director Review","2001-52","11","2001","false","6710615",,"Management Letter","459-2001-11-01","6710634",,,,,,,,,,,,,,,,,,,"22"
"SAIF Corporation","For the Years Ended December 31, 2000 and 1999","2001-43","10","2001","false","6710606",,,,,,,,,,,,,,,,,,,,,,,"13"
"Student Assistance Commission","Change of Director Review","2001-07","2","2001","false","6710660",,,,,,,,,,,,,,,,,,,,,,,"24"
"Teacher Standards and Practices Commission","Special Review","2001-34","8","2001","false","6710597",,,,,,,,,,,,,,,,,,,,,,,"14"
"Transportation, Oregon Department of","Change of Director Audit","2001-42","10","2001","false","6710605",,"Management Letter","730-2001-07-01","6710637",,,,,,,,,,,,,,,,,,,"12"
"Transportation, Oregon Department of","Oregon Transportation Infrastructure Fund For the Years Ended June 30, 2000 and 1999","2001-10","2","2001","false","6710643",,,,,,,,,,,,,,,,,,,,,,,"27"
"Transportation, Oregon Department of","Data Center General Controls Review","2001-51","11","2001","false","6710614",,"Management Letter","107-2001-10-05","6710626",,,,,,,,,,,,,,,,,,,"21"
"Treasurer, Office of the State","Change of Director Audit","2001-16","4","2001","false","6710648",,,,,,,,,,,,,,,,,,,,,,,"18"
"Treasurer, Office of the State","Oregon Short-Term Fund: For the Years ended June 30, 2001, and 2000","2001-45","10","2001","false","6710608",,,,,,,,,,,,,,,,,,,,,,,"15"
"University System, Oregon","Hatfield Marine Science Center Loss of Funds","2001-30","7","2001","false","6710659",,,,,,,,,,,,,,,,,,,,,,,"10"
"University System, Oregon","University of Oregon Review of Selected Operations","2001-27","6","2001","false","6710657",,,,,,,,,,,,,,,,,,,,,,,"27"
"University System, Oregon","Review of the Valley Library Expansion Project","2001-53","12","2001","false","6710616",,,,,,,,,,,,,,,,,,,,,,,"23"
"Veterans' Affairs, Department of","July 1, 1999, through June 30, 2000","2001-09","2","2001","false","6710642",,,,,,,,,,,,,,,,,,,,,,,"26"
"Veterans' Affairs, Department of","Comprehensive Annual Financial Report For the Fiscal Years Ended June 30, 2001 and June 30, 2000","2001-54","12","2001","false","6710617",,,,,,,,,,,,,,,,,,,,,,,"24"
"Women, Commission for","Change of Director Audit","2001-25","6","2001","false","6710655",,,,,,,,,,,,,,,,,,,,,,,"25"
"Youth Authority, Oregon","Change of Director","2001-19","5","2001","false","6710650",,,,,,,,,,,,,,,,,,,,,,,"20"
"Administrative Services, Department of","Statewide Systems Development Review","2002-13","3","2002","false","4673734",,"Management Letter","107-2001-10-04","6710625",,,,,,,,,,,,,,,,,,,"29"
"Administrative Services, Department of","Statewide Systems Development Review","2002-13","3","2002","false","4673734",,"Management Letter","107-2001-10-01","6710622","Management Letter","107-2001-10-02","4673281","Management Letter","107-2001-10-03","6710624","Management Letter","107-2001-10-04","4673283","Management Letter","107-2001-10-06","6710627","Management Letter","107-2001-10-07","4673285",,,,"29"
"Administrative Services, Department of","State Agency Energy Conservation 2001","2002-32","9","2002","false","4673848",,,,,,,,,,,,,,,,,,,,,,,"6"
"Administrative Services, Department of","Audit of Agencies Spending Measure 66 Funds: from July 1, 1999 to June 30, 2001","2002-46","12","2002","false","4674055",,,,,,,,,,,,,,,,,,,,,,,"31"
"Beef Council, Oregon","For the Year Ended June 30, 2002","2002-38","10","2002","false","4673951",,,,,,,,,,,,,,,,,,,,,,,"12"
"Columbia River Gorge Commission","July 1, 2000, to June 30, 2001","2002-05","2","2002","false","4673717",,,,,,,,,,,,,,,,,,,,,,,"6"
"Construction Contractors Board","Change of Administrator Audit","2002-01","1","2002","false","4673660",,,,,,,,,,,,,,,,,,,,,,,"2"
"Corrections, Department of","Statewide Systems Development Review","2002-13","3","2002","false","4673734",,"Management Letter","107-2001-10-06","4673284",,,,,,,,,,,,,,,,,,,"29"
"Corrections, Department of","Change of Director Audit","2002-34","10","2002","false","4673894",,"Management Letter","291-2002-10-01","4673301",,,,,,,,,,,,,,,,,,,"8"
"Counselors and Therapists, Oregon Board of Licensed Professional","Change of Administrator Audit","2002-26","6","2002","false","4673828",,"Management Letter","833-2002-06-01","4673606",,,,,,,,,,,,,,,,,,,"12"
"Courts: Circuit, Justice and Municipal","Unitary Assessments","2002-18","4","2002","false","4673810",,,,,,,,,,,,,,,,,,,,,,,"5"
"Deschutes County","Deschutes County Delinquent Youth Demonstration Project","2002-29","6","2002","false","4673835",,,,,,,,,,,,,,,,,,,,,,,"28"
"Economic and Community Development Department, Oregon","Special Public Works Fund July 1, 2000, to June 30, 2001","2002-16","4","2002","false","4673740",,,,,,,,,,,,,,,,,,,,,,,"3"
"Economic and Community Development Department, Oregon","Water Fund July 1, 2000, to June 30, 2001","2002-20","5","2002","false","4673814",,,,,,,,,,,,,,,,,,,,,,,"7"
"Education, Oregon Department of","Special Review--Personnel","2002-23","5","2002","false","4673823",,"Management Letter","581-2002-05-01","4673601",,,,,,,,,,,,,,,,,,,"10"
"Education, Oregon Department of","Kindergarten Through 12th Grade Cost Survey","2002-45","12","2002","false","4673992",,"Management Letter","581-2002-12-01","4673602",,,,,,,,,,,,,,,,,,,"17"
"Emergency Management, Oregon","Use of 9-1-1 Telephone Tax for Emergency Communications","2002-41","11","2002","false","4673958",,,,,,,,,,,,,,,,,,,,,,,"13"
"Employment, Oregon Department of","Statewide Systems Development Review","2002-13","3","2002","false","4673734",,"Management Letter","107-2001-10-03","6710624",,,,,,,,,,,,,,,,,,,"29"
"Employment, Oregon Department of","Change of Director Audit","2002-31","9","2002","false","4673838",,,,,,,,,,,,,,,,,,,,,,,"5"
"Energy, Oregon Department of","Small Scale Energy Loan Program For the Years Ended June 30, 2001 and 2000","2002-19","5","2002","false","4673811",,,,,,,,,,,,,,,,,,,,,,,"6"
"Environmental Quality, Department of","Audit of Agencies Spending Measure 66 Funds: from July 1, 1999 to June 30, 2001","2002-46","12","2002","false","4674055",,,,,,,,,,,,,,,,,,,,,,,"31"
"Fish and Wildlife, Department of","Change of Director Review","2002-12","2","2002","false","4673733",,"Management Letter","635-2002-02-01","4673603",,,,,,,,,,,,,,,,,,,"12"
"Forestry, Department of","Audit of Agencies Spending Measure 66 Funds: from July 1, 1999 to June 30, 2001","2002-46","12","2002","false","4674055",,,,,,,,,,,,,,,,,,,,,,,"31"
"Housing and Community Services Department","Audit of Agencies Spending Measure 66 Funds: from July 1, 1999 to June 30, 2001","2002-46","12","2002","false","4674055",,,,,,,,,,,,,,,,,,,,,,,"31"
"Housing and Community Services Department","Comprehensive Annual Financial Report Enterprise Funds for the Year Ended June 30, 2002","2002-47","11","2002","false","4674075",,,,,,,,,,,,,,,,,,,,,,,"20"
"Human Services, Department of","Oregon Medical Assistance Program Encounter Data Review","2002-02","1","2002","false","4673682",,,,,,,,,,,,,,,,,,,,,,,"3"
"Human Services, Department of","Oregon Health Plan Eligibility Review","2002-03","1","2002","false","4673713",,,,,,,,,,,,,,,,,,,,,,,"4"
"Human Services, Department of","Statewide Systems Development Review","2002-13","3","2002","false","4673734",,"Management Letter","107-2001-10-02","4673281",,,,,,,,,,,,,,,,,,,"29"
"Human Services, Department of","Seniors and People with Disabilities: Change of Administrator Audit","2002-15","4","2002","false","4673737",,,,,,,,,,,,,,,,,,,,,,,"2"
"Human Services, Department of","Change of Administrator Review","2002-17","4","2002","false","4673789",,"Management Letter","333-2002-04-01","4673303",,,,,,,,,,,,,,,,,,,"4"
"Human Services, Department of","Institutional Pharmacy Costs","2002-25","6","2002","false","4673827",,"Management Letter","410-2002-06-01","4673599",,,,,,,,,,,,,,,,,,,"11"
"Human Services, Department of","Contracting Practices","2002-43","11","2002","false","4673961",,"Management Letter","410-2002-12-01","4673600",,,,,,,,,,,,,,,,,,,"15"
"Investigators, Oregon Board of","Change of Director Audit","2002-27","6","2002","false","4673830",,"Management Letter","113-2002-06-01","4673297",,,,,,,,,,,,,,,,,,,"13"
"Judicial Department, Oregon","Statewide Systems Development Review","2002-13","3","2002","false","4673734",,"Management Letter","107-2001-10-01","4673280",,,,,,,,,,,,,,,,,,,"29"
"Judicial Department, Oregon","Unitary Assessments","2002-18","4","2002","false","4673810",,,,,,,,,,,,,,,,,,,,,,,"5"
"Land Conservation and Development, Department of","Change of Director Audit","2002-22","6","2002","false","4673821",,"Management Letter","660-2002-04-01","4673604",,,,,,,,,,,,,,,,,,,"9"
"Liquor Control Commission, Oregon","Statewide Systems Development Review","2002-13","3","2002","false","4673734",,"Management Letter","107-2001-10-07","4673285",,,,,,,,,,,,,,,,,,,"29"
"Lottery Commission, Oregon State","July 1, 2000, to June 30, 2001","2002-08","2","2002","false","4673722",,"Management Letter","177-2002-02-01",,,,,,,,,,,,,,,,,,,,"8"
"Lottery Commission, Oregon State","Video Lottery System Application Controls Review","2002-33","10","2002","false","4673849",,,,,,,,,,,,,,,,,,,,,,,"7"
"Lottery Commission, Oregon State","Administrative Expense Audit","2002-40","11","2002","false","4673954",,,,,,,,,,,,,,,,,,,,,,,"14"
"Multi-Agency","Federal Compliance Report and Internal Control Report: For The Year Ending June 30, 2001","2002-10","2","2002","false","4673731",,,,,,,,,,,,,,,,,,,,,,,"10"
"Parks and Recreation Department, Oregon","Audit of Agencies Spending Measure 66 Funds: from July 1, 1999 to June 30, 2001","2002-46","12","2002","false","4674055",,,,,,,,,,,,,,,,,,,,,,,"31"
"Parole and Post-Prison Supervision, Board of","Change of Director Audit","2002-14","4","2002","false","4673735",,"Management Letter","255-2002-03-01","4673300",,,,,,,,,,,,,,,,,,,"1"
"Police, Department of Oregon","Payroll Audit","2002-11","3","2002","false","4673732",,,,,,,,,,,,,,,,,,,,,,,"11"
"Police, Department of Oregon","Use of 9-1-1 Telephone Tax for Emergency Communications","2002-41","11","2002","false","4673958",,,,,,,,,,,,,,,,,,,,,,,"13"
"Police, Department of Oregon","Audit of Agencies Spending Measure 66 Funds: from July 1, 1999 to June 30, 2001","2002-46","12","2002","false","4674055",,,,,,,,,,,,,,,,,,,,,,,"31"
"Public Employees Retirement System","Benefit Calculation Audit","2002-35","10","2002","false","4673946",,,,,,,,,,,,,,,,,,,,,,,"9"
"Revenue, Department of","Unitary Assessments","2002-18","4","2002","false","4673810",,,,,,,,,,,,,,,,,,,,,,,"5"
"SAIF Corporation","For the Years Ended December 31, 2001 and 2000","2002-36","10","2002","false","4673948",,,,,,,,,,,,,,,,,,,,,,,"10"
"SAIF Corporation","Statutory Basis Financial Statements For the Years Ended December 31, 2001","2002-37","10","2002","false","4673950","Financial Audit",,,,,,,,,,,,,,,,,,,,,,"11"
"Student Assistance Commission","Year Ended June 30, 2001","2002-07","2","2002","false","4673720",,,,,,,,,,,,,,,,,,,,,,,"7"
"Transportation, Oregon Department of","Motor Carrier Transportation Division: Truck Weight Enforcement Program","2002-09","2","2002","false","4673730",,,,,,,,,,,,,,,,,,,,,,,"9"
"Transportation, Oregon Department of","Statewide Systems Development Review","2002-13","3","2002","false","4673734",,"Management Letter","107-2001-10-04","4673283",,,,,,,,,,,,,,,,,,,"29"
"Transportation, Oregon Department of","Department of Administrative Services: Statewide Systems Development Review","2002-13","3","2002","false","4673734",,"Management Letter","107-2001-10-04","6710625",,,,,,,,,,,,,,,,,,,"29"
"Transportation, Oregon Department of","Oregon Transportation Infrastructure Fund For the Years Ended June 30, 2001 and 2000","2002-21","5","2002","false","4673817",,,,,,,,,,,,,,,,,,,,,,,"8"
"Treasurer, Office of the State","Review of Internal Controls July 1, 2000 to June 30, 2001","2001-36","12","2002","false","6710599",,,,,,,,,,,,,,,,,,,,,,,"16"
"Treasurer, Office of the State","Oregon Short-Term Fund For the Years Ended June 30, 2002, and 2001","2002-30","8","2002","false","4673836",,,,,,,,,,,,,,,,,,,,,,,"4"
"Treasurer, Office of the State","Review of Internal Controls July 1, 2001 to June 30, 2002","2002-42","12","2002","false","4673960",,"Management Letter","170-2002-10-01","4673298",,,,,,,,,,,,,,,,,,,"14"
"Watershed Enhancement Board","Audit of Agencies Spending Measure 66 Funds: from July 1, 1999 to June 30, 2001","2002-46","12","2002","false","4674055",,,,,,,,,,,,,,,,,,,,,,,"31"
"Youth Authority, Oregon","Deschutes County Delinquent Youth Demonstration Project","2002-29","6","2002","false","4673835",,,,,,,,,,,,,,,,,,,,,,,"28"
"Youth Authority, Oregon","Evaluation of Juvenile Justice Information System General and Application Controls","2002-44","11","2002","false","4673976",,,,,,,,,,,,,,,,,,,,,,,"16"
"Administrative Services, Department of","Follow-Up Review of Internal Auditing Functions: in State Agencies","2003-09","3","2003","false","4669846",,,,,,,,,,,,,,,,,,,,,,,"22"
"Administrative Services, Department of","Seasonal vs. Temporary Employees","2003-11","3","2003","false","4676944",,,,,,,,,,,,,,,,,,,,,,,"17"
"Administrative Services, Department of","Information Resources Management Division Follow Up","2003-20","6","2003","false","4677059",,,,,,,,,,,,,,,,,,,,,,,"26"
"Administrative Services, Department of","Surplus Property: Financial Controls Audit","2003-29","8","2003","false","4677088",,,,,,,,,,,,,,,,,,,,,,,"8"
"Administrative Services, Department of","Two-Way Radio Communications: Opportunities Exist to Strengthen Planning and Coordination","2003-39","11","2003","false","4677381",,,,,,,,,,,,,,,,,,,,,,,"18"
"Agriculture, Department of","Risk Assessment of Controls Over Receipting, Handling and Disbursement of Cash",,"7","2003","false",,,"Management Letter","603-2003-07-01","6888639",,,,,,,,,,,,,,,,,,,"2"
"Agriculture, Department of","Change of Director Review",,"4","2003","false",,,"Management Letter","603-2003-04-01","6888640",,,,,,,,,,,,,,,,,,,"18"
"Aviation, Oregon Department of","Expenditure Audit Fiscal Year 2002","2003-30","8","2003","false","4677089",,,,,,,,,,,,,,,,,,,,,,,"9"
"Bar, Oregon State","Professional Liability Fund: For the Years Ended December 31, 2002, and 2001","2003-22","7","2003","false","4677061",,,,,,,,,,,,,,,,,,,,,,,"1"
