"full_library_name","address","county","type_of_library","mailing_address","phone_number","fax_number","email_address","website","library_system_membership","geo_address","full_address"
"Langlois Library District","48234 HIGHWAY 101, LANGLOIS OR 97450-9730","Curry","Public","PO Box 277, Langlois, OR 97450","(541) 348-2066","(541) 348-2066","langloislibrary@gmail.com","http://www.langloispubliclibrary.org","NONE",,
"River Road Santa Clara Volunteer Library","105 Oakleigh Lane, Eugene, OR 97404","Lane","Volunteer","105 Oakleigh Lane, Eugene, OR 97404","(541) 607-1882",,"rrscvl@live.com","http://rrscvollib.org",,"POINT (-123.119696 44.07799)","POINT (-123.119696 44.07799)"
"Deschutes Public Library System - Sunriver Library","56855 Venture Lane, Sunriver, OR 97707","Deschutes","Public","56855 Venture Lane, Sunriver, OR 97707","(541) 312-1080","(541) 593-9286",,"http://www.deschuteslibrary.org/sunriver/","NONE","POINT (-121.434899 43.86631)","POINT (-121.434899 43.86631)"
"Tillamook Bay Community College","4301 Third Street, Tillamook, OR 97141","Tillamook","Academic","4301 Third Street, Tillamook, OR 97141","503-842-8222 ext. 1720","503 842 8334",,"http://tillamookbaycc.edu/library/",,"POINT (-123.813465 45.456913)","POINT (-123.813465 45.456913)"
"Coquille Indian Tribe Library","495 Miluk Dr., Coos Bay, OR 97420","Coos","Tribal","3050 Tremont Blvd., North Bend, OR 97459","541-751-2004","541-888-2418","bridgettwheeler@coquilletribe.org","http://www.coquilletribe.org/",,"POINT (-124.294023 43.358036)","POINT (-124.294023 43.358036)"
"Union Carnegie Public Library","182 N Main St, Union, OR 97883","Union","Public","PO Box 928, Union, OR 97883","(541) 562-5811","(541) 562-2028","library@cityofunion.com","https://cityofunion.com/directory/city-library/","NONE","POINT (-117.865489 45.209771)","POINT (-117.865489 45.209771)"
"Multnomah County Library - Hollywood Library","4040 NE Tillamook St, Portland, OR 97212","Multnomah","Public",,"503-988-5123",,,,"NONE","POINT (-122.62154 45.537781)","POINT (-122.62154 45.537781)"
"Lake Oswego Public Library","706 4th St, Lake Oswego, OR 97034","Clackamas","Public","706 4th St, Lake Oswego, OR 97034","(503) 636-7628","(503) 635-4171","loref@ci.oswego.or.us","http://lakeoswegolibrary.org","LINCC","POINT (-122.667008 45.424114)","POINT (-122.667008 45.424114)"
"University Of Oregon - Architecture & Allied Arts Branch Library","200 Lawrence Hall, Eugene, OR 97403-5429","Lane","Academic",,"541-346-3637","541-346-2205",,"http://library.uoregon.edu/aaa/staff.html",,"POINT (-123.098805 44.057669)","POINT (-123.098805 44.057669)"
"State Library of Oregon","250 Winter St. NE, Salem, OR 97301","Marion","Special","250 Winter St. NE, Salem, OR 97301","(503) 378-5030","(503) 585-8059",,"http://www.oregon.gov/OSL/",,"POINT (-123.031504 44.940029)","POINT (-123.031504 44.940029)"
"Ukiah Public-School Library","201 Hill St, Ukiah, OR 97880","Umatilla","Public","PO Box 218, Ukiah, OR 97880","(541) 427-3735","(541) 427-3432",,"http://ukiahlibrary.weebly.com/","UCSLD","POINT (-118.933315 45.135629)","POINT (-118.933315 45.135629)"
"Hood River County Library District - Parkdale Branch Library","7300 Clear Creek Road, Parkdale, OR 97041","Hood River","Public","502 State St, Hood River, OR 97031","541-352-6502",,"info@hoodriverlibrary.org","http://www.hoodriverlibrary.org/","NONE","POINT (-121.596931 45.51879)","POINT (-121.596931 45.51879)"
"Deschutes Public Library System - Downtown Bend Library","601 NW Wall St, Bend, OR 97703","Deschutes","Public",,"541-617-7050","541-617-7059",,"http://www.deschuteslibrary.org/bend/","NONE","POINT (-121.316272 44.057079)","POINT (-121.316272 44.057079)"
"National Railway Historical Society Library - Pacific Northwest Chapter","503 NW Irving St, Portland, OR 97209-3715","Multnomah","Special","800 NW 6th Ave, Room 1, Portland, OR 97209-3715","(503) 226-6747","(503) 230-0572","library@pnwc-nrhs.org","http://www.pnwc-nrhs.org/library_main.html",,"POINT (-122.67557 45.528104)","POINT (-122.67557 45.528104)"
"Lewis And Clark College - Aubrey R. Watzek Library","615 S Palatine Hill Road, Portland, OR 97219-7899",,"Academic",,"503-768-7274","503-768-7282",,"http://library.lclark.edu",,"POINT (-122.672562 45.450485)","POINT (-122.672562 45.450485)"
"Sweet Home Public Library","1101 13th Ave, Sweet Home, OR 97386","Linn","Public","1101 13th Ave, Sweet Home, OR 97386","(541) 367-5007","(541) 367-3754","mdazey@sweethomeor.gov","https://www.sweethomeor.gov/","NONE","POINT (-122.728944 44.39636)","POINT (-122.728944 44.39636)"
"Curry Public Library District","94341 3rd Street, Gold Beach, OR 97444","Curry","Public","94341 3rd Street, Gold Beach, OR 97444","(541) 247-7246","(541) 247-4411","currylibrary@cplib.net","http://www.currypubliclibrary.org","NONE","POINT (-124.415583 42.41264)","POINT (-124.415583 42.41264)"
"Jackson County Library Services - Applegate Branch Library","18485 North Applegate Road, Applegate, OR 97527-9459","Jackson","Public",,"(541) 846-7346","(541) 846-7346","info@jcls.org","http://www.jcls.org","NONE","POINT (-123.176513 42.258026)","POINT (-123.176513 42.258026)"
"Southwestern Oregon Community College - Library","1988 Newmark, Coos Bay, OR 97420-2912","Coos","Academic",,"541-888-7270",,"library@socc.edu","http://www.socc.edu/library/",,"POINT (-124.255202 43.391675)","POINT (-124.255202 43.391675)"
"Cannon Beach Library","131 N. Hemlock, Cannon Beach, OR 97110","Clatsop","Volunteer","PO Box 486, Cannon Beach, OR 97110","(503) 436-1391",,"info@cannonbeachlibrary.org","https://www.cannonbeachlibrary.org",,"POINT (-123.960879 45.897084)","POINT (-123.960879 45.897084)"
"State of Oregon Law Library","1163 State St., 2850 Broadway St. NE, Salem, OR 97303","Marion","Special","1163 State St., Salem, OR 97301","(503) 986-5640",,"state.law.library@ojd.state.or.us","http://oregon.gov/soll",,"POINT (-123.027797 44.937175)","POINT (-123.027797 44.937175)"
"Planetree Health Resource Center","200 E. 4th St., The Dalles, OR 97058","Wasco","Special","200 E. 4th St., The Dalles, OR 97058","(541) 296-8444",,,"http://www.mcmc.net/PlanetreeResources/Default.aspx?blrb=PlanetreeServices.aspx",,"POINT (-121.184134 45.600513)","POINT (-121.184134 45.600513)"
"Dallas Public Library","950 Main St, Dallas, OR 97338","Polk","Public","950 Main St, Dallas, OR 97338","(503) 623-2633","(503) 623-7357","dalref@ccrls.org","http://www.ci.dallas.or.us/library","CCRLS","POINT (-123.316666 44.919998)","POINT (-123.316666 44.919998)"
"Forest Grove City Library","2114 Pacific Ave, Forest Grove, OR 97116","Washington","Public","2114 Pacific Ave, Forest Grove, OR 97116","(503) 992-3247","(503) 992-3333","info@forestgrove-or.gov","https://www.forestgrove-or.gov/library","WCCLS","POINT (-123.109846 45.51966)","POINT (-123.109846 45.51966)"
"Wallowa Public Library","201 E 1st St, Wallowa, OR 97885","Wallowa","Public","PO Box 486, Wallowa, OR 97885","(541) 886-4265","541-886-4565","wallowapubliclibrary@gmail.com","http://galepages.com/wallowa","NONE","POINT (-117.527758 45.570181)","POINT (-117.527758 45.570181)"
"Rogue Community College - Library","3345 Redwood Highway, Grants Pass, OR 97527-9298",,"Academic",,"541-956-7152","541-471-3588",,"http://go.roguecc.edu/department/rcc-libraries",,"POINT (-123.394917 42.414629)","POINT (-123.394917 42.414629)"
"Oregon State University - Valley Library","121 The Valley Library, Corvallis, OR 97331","Benton","Academic","121 The Valley Library, Corvallis, OR 97331-4501","541-737-3411","541-737-3453",,"http://osulibrary.oregonstate.edu/",,"POINT (-92.586395 34.548388)","POINT (-92.586395 34.548388)"
"Dora Public Library","56125 Goldbrick Rd, Myrtle Point, OR 97458","Coos","Public","56125 Goldbrick Rd, Myrtle Point, OR 97458","(541) 572-6009","(541) 572-3084","dorapublic@gmail.com","https://dorapubliclibrary.org/","CCLSD","POINT (-123.95013 43.144584)","POINT (-123.95013 43.144584)"
"Port Orford Public Library","1421 Oregon St, Port Orford, OR 97465","Curry","Public","PO Box 130, Port Orford, OR 97465","(541) 332-5622","(541) 332-2140","polibrary2012@gmail.com","http://www.polibrary.org","NONE","POINT (-124.497397 42.750164)","POINT (-124.497397 42.750164)"
"Joseph Public Library","201 N Main St, Joseph, OR 97846","Wallowa","Public","PO Box 15, Joseph, OR 97846","(541) 432-0141","(541) 432-3832","josephpl@eoni.com","https://www.josephoregon.org/index.php/city-services/library","NONE","POINT (-117.2299 45.353517)","POINT (-117.2299 45.353517)"
"Lebanon Public Library","55 Academy Street, Lebanon, OR 97355","Linn","Public","55 Academy Street, Lebanon, OR 97355","(541) 258-4926",,"libraryinfo@ci.lebanon.or.us","http://www.ci.lebanon.or.us/library","NONE","POINT (-122.908307 44.544247)","POINT (-122.908307 44.544247)"
"Deschutes Public Library System - Redmond Library","827 SW Deschutes Ave., Redmond, OR 97756","Deschutes","Public","827 SW Deschutes Ave., Redmond, OR 97756","(541) 312-1050","(541) 548-6358",,"http://www.deschuteslibrary.org/redmond/","NONE","POINT (-121.177261 44.273544)","POINT (-121.177261 44.273544)"
"Alvadore Community Library","90829 Alvadore Road, Alvadore, OR 97448","Lane","Volunteer","PO BOX 36, Junction City, OR 97409","(541) 461-4933",,,,,"POINT (-123.264147 44.12654)","POINT (-123.264147 44.12654)"
"Multnomah County Library - Holgate Library","7905 SE Holgate Blvd, Portland, OR 97206","Multnomah","Public",,"503-988-5123",,,,"NONE","POINT (-122.582112 45.490254)","POINT (-122.582112 45.490254)"
"Beaverton City Library - Murray Scholls","11200 SW Murray Scholls Place Suite 102, Beaverton, OR 97007-9702","Washington","Public","11200 SW Murray Scholls Place Suite 102, Beaverton, OR 97007-9702","503-644-2197 option 6","(503) 350-3645","librarymail@beavertonoregon.gov","http://www.beavertonlibrary.org","WCCLS","POINT (-122.828523 45.438454)","POINT (-122.828523 45.438454)"
"Jefferson Public Library","150 N 2nd Suite B, Jefferson, OR 97352","Marion","Public","PO Box 1068, Jefferson, OR 97352","(541) 327-3826","(541) 327-3120","jeffpl@ccrls.org","https://jeffersonpubliclibrary.org/","CCRLS","POINT (-123.010224 44.717906)","POINT (-123.010224 44.717906)"
"Pilot Rock Public Library","144 N. Alder Pl, Pilot Rock, OR 97868","Umatilla","Public","PO Box 520, Pilot Rock, OR 97868","(541) 443-3285","(541) 443-2253","pilotrockpl@centurytel.net","http://www.pilotrockpubliclibrary.weebly.com","UCSLD","POINT (-118.833701 45.483085)","POINT (-118.833701 45.483085)"
"Dufur School/Community Library","802 NE Fifth St, Dufur, OR 97021","Wasco","Public","802 NE 5th, Dufur, OR 97021","(541) 467-2509","(541) 467-2589","sarah.tierney@dufur.k12.or.us","http://www.dufur.k12.or.us","NONE","POINT (-121.124682 45.454903)","POINT (-121.124682 45.454903)"
"George Fox University - Portland Center Library","12753 SW 68th Avenue, Portland, OR 97223-8355",,"Academic",,"503-554- 6130","503-554-6134",,"http://library.georgefox.edu/",,"POINT (-122.746863 45.428239)","POINT (-122.746863 45.428239)"
"Garden Home Community Library","7475 SW Oleson Rd, Portland, OR 97223","Washington","Public","7475 SW Oleson Rd, Portland, OR 97223","(503) 245-9932",,,"http://gardenhomelibrary.org/","WCCLS","POINT (-122.752313 45.466735)","POINT (-122.752313 45.466735)"
"McMinnville Public Library - McMinnville Public Library Bookmobile","225 NW Adams, McMinnville, OR 97128","Yamhill","Public",,"(503) 435-5550",,"libref@mcminnvilleoregon.gov","http://www.maclibrary.org","CCRLS","POINT (-123.199131 45.209384)","POINT (-123.199131 45.209384)"
"Klamath County Library - Bly Branch Library","61100 Metler St., Bly, OR 97622","Klamath","Public","PO Box 366, Bly, OR 97622","(541) 353-2299","(541) 353-2299","blystaff@klamathlibrary.org","http://www.klamathlibrary.org","NONE","POINT (-121.044294 42.394247)","POINT (-121.044294 42.394247)"
"Washington County Cooperative Library Services","111 NE Lincoln St., MS# 58, Hillsboro, OR 97124","Washington","Public","111 NE Lincoln St, MS# 58, Hillsboro, OR 97124","(503) 846-3222","(503) 846-3220","webmaster@wccls.org","http://www.wccls.org","WCCLS","POINT (-122.989303 45.523946)","POINT (-122.989303 45.523946)"
"Dayville City Library","1 Park Lane, Dayville, OR 97825","Grant","Volunteer","PO Box 321, Dayville, OR 97825","(541) 987-2188",,"dville@ortelco.net",,,"POINT (-119.534234 44.466743)","POINT (-119.534234 44.466743)"
"Jackson County Library Services - Talent Branch Library","101 Home St, Talent, OR 97540","Jackson","Public","PO Box 597, Talent, OR 97540","(541) 535-4163","(541) 535-4163","info@jcls.org","http://www.jcls.org","NONE","POINT (-122.789489 42.245038)","POINT (-122.789489 42.245038)"
"Coos County Library Service District","525 W Anderson Ave, Coos Bay, OR 97420","Coos","Public","525 West Anderson Ave, Coos Bay, OR 97420","541-269-1101","(541) 269-7567",,"http://www.cooslibraries.org","CCLSD","POINT (-124.217207 43.367189)","POINT (-124.217207 43.367189)"
"Tillamook County Library - Pacific City Branch Library","6200 Camp St, Cloverdale, OR 97135","Tillamook","Public",,"5039656163",,,,"NONE","POINT (-123.960996 45.204806)","POINT (-123.960996 45.204806)"
"Roseburg Public Library","1409 NE Diamond Lake Blvd., Ste. 100, Roseburg, OR 97470","Douglas","Public","1409 NE Diamond Lake Blvd., Ste. 100, Roseburg, OR 97470","(541) 492-7050",,"library@cityofroseburg.org","http://www.cityofroseburg.org/departments/library/","NONE","POINT (-123.340611 43.213576)","POINT (-123.340611 43.213576)"
"Baker County Public Library - Huntington Branch Library","55 E. Jefferson, Huntington, OR 97907","Baker","Public","PO BOX 130, Huntington, OR 97907","(541) 869-2440","(541) 869-2440","huntington@bakerlib.org",,"NONE","POINT (-117.266963 44.349732)","POINT (-117.266963 44.349732)"
"Linfield University Libraries - Nicholson Library","900 S Baker St, McMinnville, OR 97128-6894",,"Academic",,"503-883-2261","503-883-2566",,"https://www.linfield.edu/linfield-libraries/",,"POINT (-123.200574 45.203272)","POINT (-123.200574 45.203272)"
"O'Brien Memorial Library","54745 McKenzie River Dr., Rainbow, OR 97413","Lane","Volunteer","P.O. Box 291, Blue River, OR 97413","(541) 228-5385",,"OBrienLibrary@gmail.com","https://www.obrienlibrary.org/","NONE","POINT (-122.225406 44.169313)","POINT (-122.225406 44.169313)"
"Weston Public Library","108 E Main St, Weston, OR 97886","Umatilla","Public","PO Box 550, Weston, OR 97886","(541) 566-2378",,"wcolibrary@cityofwestonoregon.com","http://westonpubliclibrary.com","UCSLD","POINT (-118.424765 45.813582)","POINT (-118.424765 45.813582)"
"McMinnville Public Library","225 NW Adams St, McMinnville, OR 97128","Yamhill","Public","225 NW Adams St, McMinnville, OR 97128","(503) 435-5555",,"libref@mcminnvilleoregon.gov","https://www.mcminnvilleoregon.gov/library","CCRLS","POINT (-123.199131 45.209384)","POINT (-123.199131 45.209384)"
"Douglas County Law Library","Justice Building - Room 305, 1036 SE Douglas Street, Roseburg, OR 97470","Douglas","Special","Justice Building - Room 305, 1036 SE Douglas Street, Roseburg, OR 97470","(541) 440-4341",,"dclawlib@co.douglas.or.us","http://www.co.douglas.or.us/lawlib/",,"POINT (-123.341529 43.210272)","POINT (-123.341529 43.210272)"
"Klamath County Library - Sprague River Branch Library","Sprague River Hwy, 23402 Sprague River Rd, Sprague River, OR 97639","Klamath","Public","PO Box 29, Sprague River, OR 97639","(541) 533-2769","(541) 533-2769","spragueriverstaff@klamathlibrary.org","http://www.klamathlibrary.org","NONE","POINT (-121.504198 42.455306)","POINT (-121.504198 42.455306)"
"Oregon Trail Library District - OTLD Heppner Branch","444 Main St, Heppner, OR 97836","Morrow","Public","PO Box 325, Heppner, OR 97836","541-676-9964","541-676-5900","asherman@otld.org","https://www.otld.org/","NONE","POINT (-119.553391 45.356838)","POINT (-119.553391 45.356838)"
"Klamath County Library - South Suburban Branch Library","3625 Summers Lane, Klamath Falls, OR 97603","Klamath","Public",,"(541) 273-3679","(541) 273-3679","ssubstaff@klamathlibrary.org","http://www.klamathlibrary.org","NONE","POINT (-121.737694 42.193271)","POINT (-121.737694 42.193271)"
"Multnomah County Library - St. Johns Library","7510 N Charleston Ave, Portland, OR 97203","Multnomah","Public",,"503-988-5123",,,,"NONE","POINT (-122.751464 45.590111)","POINT (-122.751464 45.590111)"
"Cedar Mill Community Library - Bethany Branch Library","15325 NW Central Drive Suite J-8, Portland, OR 97229","Washington","Public",,"(503) 617-7323",,,"http://library.cedarmill.org/",,"POINT (-122.835084 45.554547)","POINT (-122.835084 45.554547)"
"Walla Walla University - Portland Campus Library","10345 SE Market, Portland, OR 97216-2998",,"Academic",,"503-251-6115","503-251-6249",,"https://www.wallawalla.edu/academics/libraries/portland-library/",,"POINT (-122.556328 45.511574)","POINT (-122.556328 45.511574)"
"Driftwood Public Library","801 SW Hwy 101, Lincoln City, OR 97367","Lincoln","Public","801 SW Hwy 101 #201, Lincoln City, OR 97367","(541) 996-2277",,"librarian@driftwoodlib.org","http://www.driftwoodlib.org","LCLD","POINT (-87.983491 41.548108)","POINT (-87.983491 41.548108)"
"Lake County Library District","26 S. G St., Lakeview, OR 97630","Lake","Public","26 S. G St., Lakeview, OR 97630","(541) 947-6019","(541) 947-2346","info@lakecountylibrary.org","http://www.lakecountylibrary.org","NONE","POINT (-120.34702 42.188937)","POINT (-120.34702 42.188937)"
"The Dalles-Wasco County Library","722 Court St, The Dalles, OR 97058","Wasco","Public","722 Court St, The Dalles, OR 97058","(541) 296-2815","(541) 296-4179","jwavrunek@ci.the-dalles.or.us","http://wascocountylibrary.com","WCLSD","POINT (-121.185594 45.599333)","POINT (-121.185594 45.599333)"
"Southern Oregon University","1290 Ashland St, Ashland, OR 97520-5076","Jackson","Academic","1250 Siskiyou Blvd, Ashland, OR 97520-5076","541-552-6441","541-552-6429",,"http://hanlib.sou.edu",,"POINT (-122.694861 42.185462)","POINT (-122.694861 42.185462)"
"Umatilla Public Library","700 6th St, Umatilla, OR 97882","Umatilla","Public","PO Box 820, Umatilla, OR 97882","(541) 922-5704","(541) 922-5708","library@umatilla-city.org","https://www.umatilla-city.org/library","UCSLD","POINT (-119.344693 45.917184)","POINT (-119.344693 45.917184)"
"Reed College - E. V. Hauser Memorial Library","3203 SE Woodstock Blvd, Portland, OR 97202-8199","Multnomah","Academic",,"503-777-7702","503-777-7786",,"https://library.reed.edu/",,"POINT (-122.63001 45.479231)","POINT (-122.63001 45.479231)"
"Multnomah County Library - Capitol Hill Library","10723 SW Capitol Hwy, Portland, OR 97219","Multnomah","Public",,"503.988.5123",,,,"NONE","POINT (-122.725015 45.447853)","POINT (-122.725015 45.447853)"
"Jackson County Library Services - Eagle Point Branch Library","239 West Main St, Eagle Point, OR 97524","Jackson","Public","PO Box 459, Eagle Point, OR 97524","(541) 826-3313","(541) 826-3313","info@jcls.org","http://www.jcls.org","NONE","POINT (-122.80489 42.473605)","POINT (-122.80489 42.473605)"
"Fossil Public Library","401 Main St, Fossil, OR 97830","Wheeler","Public","PO Box 467, Fossil, OR 97830","(541) 763-2046","(541) 763-2124","libraryfossil46@gmail.com",,"NONE","POINT (-120.213708 45.0004)","POINT (-120.213708 45.0004)"
"Portland State University Library - Branford P. Millar Library","1875 SW Park Avenue, Portland, OR 97201","Multnomah","Academic","PO Box 1151, Portland, OR 97207-1151","503-725-5874","503-725-4524",,"https://library.pdx.edu/",,"POINT (-122.68563 45.511431)","POINT (-122.68563 45.511431)"
"Tillamook County Library - Bay City Branch Library","5525 B St, Bay City, OR 97107","Tillamook","Public",,"503-337-0231",,,,"NONE","POINT (-123.89065 45.524594)","POINT (-123.89065 45.524594)"
"Josephine Community Library District - Williams Branch Library","20695 Williams Highway, Williams, OR 97544","Josephine","Public","200 NW C Street, Grants Pass, OR 97526","541-846-7020",,,"http://www.josephinelibrary.org","NONE","POINT (-123.273781 42.21893)","POINT (-123.273781 42.21893)"
"University of Oregon - UO Portland Library and Learning Commons","70 NW Couch St, Portland, OR 97209","Multnomah","Academic","70 NW Couch St, Portland, OR 97209","(503) 412-3671","(503) 412-3670","pdxlib@uoregon.edu","http://library.uoregon.edu/portland/index.html",,"POINT (-122.671154 45.523873)","POINT (-122.671154 45.523873)"
"Nyssa Public Library","319 Main St., Nyssa, OR 97913","Malheur","Public","319 Main St, Nyssa, OR 97913","(541) 372-2978","(541) 372-0206","nyssalibrary@nyssacity.org","http://www.nyssacity.org/nyssa-library.html","NONE","POINT (-116.997344 43.876781)","POINT (-116.997344 43.876781)"
"Sherwood Public Library","22560 SW Pine St, Sherwood, OR 97140","Washington","Public","22560 SW Pine St, Sherwood, OR 97140","(503) 625-6688","(503) 625-4254","askusSPL@wccls.org","http://www.sherwoodoregon.gov/library","WCCLS","POINT (-122.840448 45.356468)","POINT (-122.840448 45.356468)"
"Sheridan Public Library","142 NW Yamhill Street, Sheridan, OR 97378-1843","Yamhill","Public","PO Box 248, Sheridan, OR 97378-1843","(503) 843-3420","(503) 843-2561","ggorham@cityofsheridanor.com","https://www.cityofsheridanor.com/library","CCRLS","POINT (-123.395805 45.100298)","POINT (-123.395805 45.100298)"
"Corvallis-Benton County Public Library - Alsea Community Library","19192 Alsea Hwy, Alsea, OR 97324","Benton","Public","19192 Alsea Hwy, Alsea, OR 97324","(541) 487-5061","(541) 487-5061",,"http://www.cbcpl.net","NONE","POINT (-123.59386 44.382325)","POINT (-123.59386 44.382325)"
"Estacada Public Library","825 NW Wade, Estacada, OR 97023","Clackamas","Public","825 NW Wade St., Estacada, OR 97023","(503) 630-8273",,"eslibrary@lincc.org","https://www.cityofestacada.org/library","LINCC","POINT (-122.337943 45.297152)","POINT (-122.337943 45.297152)"
"Klamath Tribal Library","501 Chiloquin Blvd., Chiloquin, OR 97624","Klamath","Tribal","PO Box 436, Chiloquin, OR 97624","(541) 783-2219",,,,,"POINT (-121.874112 42.57562)","POINT (-121.874112 42.57562)"
"Mosier Valley Library","203 3rd St, Mosier, OR 97040","Wasco","Volunteer","PO Box 525, Mosier, OR 97040","541-478-3495",,,,,"POINT (-121.077274 45.175055)","POINT (-121.077274 45.175055)"
"Siuslaw Public Library District","1460 9th St, Florence, OR 97439","Lane","Public","1460 9th Street, Florence, OR 97439","(541) 997-3132","(541) 997-6473","ref@siuslawlibrary.org","http://www.siuslawlibrary.info/","NONE","POINT (-124.104617 43.974658)","POINT (-124.104617 43.974658)"
"Bandon Public Library","1204 11th St SW, Bandon, OR 97411","Coos","Public","1204 11th St SW, Bandon, OR 97411","(541) 347-3221","(541) 347-9363",,"https://www.cityofbandon.org/general/page/library","CCLSD","POINT (-124.429748 43.11347)","POINT (-124.429748 43.11347)"
"Ontario Community Library","388 SW 2nd Ave, Ontario, OR 97914","Malheur","Public","388 SW 2nd Ave, Ontario, OR 97914","(541) 889-6371","(541) 889-4279","malheurlibrarystaff@yahoo.com","http://www.ontariocommunitylibrary.org/","NONE","POINT (-116.968141 44.025617)","POINT (-116.968141 44.025617)"
"C. Giles Hunt Memorial Library","210 E Central Ave, Sutherlin, OR 97479","Douglas","Public","210 E Central Ave, Sutherlin, OR 97479","(541) 459-9161",,"SutherlinLibrary@gmail.com","https://www.sutherlinlibrary.org/","NONE","POINT (-123.311094 43.390493)","POINT (-123.311094 43.390493)"
"Tigard Public Library","13500 SW Hall Blvd, Tigard, OR 97223","Washington","Public","13500 SW Hall Blvd, Tigard, OR 97223","(503) 684-6537","(503) 598-7515",,"http://www.tigard-or.gov/library","WCCLS","POINT (-122.765724 45.421846)","POINT (-122.765724 45.421846)"
"Sherman County Public/School Library","65912 High School Loop, Moro, OR 97039","Sherman","Public","65912 High School Loop, Moro, OR 97039","(541) 565-3279","(541) 565-3319","mmartin@sherman.k12.or.us","http://shermancountypsl.weebly.com/","NONE","POINT (-120.741619 45.473106)","POINT (-120.741619 45.473106)"
"Jackson County Genealogy Library","3405 South Pacific Highway, Medford, OR 97501","Jackson","Special","3405 South Pacific Highway, Medford, OR 97501","(541) 512-2340",,"reception@rvgslibrary.org","http://www.rvgslibrary.org",,"POINT (-122.835708 42.289444)","POINT (-122.835708 42.289444)"
"Oregon State University Library - Cascades Campus Library","1500 SW Chandler Ave, Tykeson Hall 202, Bend, OR 97702","Deschutes","Academic","1500 SW Chandler Ave, Bend, OR 97702","(541) 322-2079",,,"http://www.osucascades.edu/library",,"POINT (-121.333579 44.042144)","POINT (-121.333579 44.042144)"
"Klamath County Library - Senior Center Branch Library","2045 Arthur Street, Klamath Falls, OR 97603","Klamath","Public","126 South Third Street, Klamath Falls, OR 97601","(541) 205-8220",,"seniorcenterstaff@klamathlibrary.org","http://www.klamathlibrary.org","NONE","POINT (-121.748697 42.209432)","POINT (-121.748697 42.209432)"
"Waldport Public Library","460 NW Hemlock, Waldport, OR 97394","Lincoln","Public","PO Box 1357, Waldport, OR 97394","(541) 563-5880","(541) 563-6237","waldportlibrary@waldportlibrary.org","http://www.waldportlibrary.org","LCLD","POINT (-124.065931 44.426931)","POINT (-124.065931 44.426931)"
"Fern Ridge Library District","88026 Territorial Rd, Veneta, OR 97487","Lane","Public","PO Box 397, Veneta, OR 97487","(541) 935-7512","(541) 935-8013","staff@fernridgelibrary.org","http://www.fernridgelibrary.org","NONE","POINT (-123.351575 44.046522)","POINT (-123.351575 44.046522)"
"Mount Angel Abbey","1 Abbey Drive, Saint Benedict, OR 97373-9999","Marion","Academic",,"503-845-3102",,,"http://www.mountangelabbey.org/library",,"POINT (-122.774968 45.056123)","POINT (-122.774968 45.056123)"
"Yachats Public Library","560 W 7th St., Yachats, OR 97498","Lincoln","Public","PO Box 817, Yachats, OR 97498","(541) 547-3741","(541) 547-3741","yachatspl@actionnet.net","http://www.yachatsoregon.org","NONE","POINT (-124.107005 44.314455)","POINT (-124.107005 44.314455)"
"Lane County Law Library","125 East 8th Avenue, Public Service Building, Eugene, OR 97401","Lane","Special","125 East 8th Avenue, Public Service Building, Eugene, OR 97401","(541) 682-4337","(541) 682-4315","lclawlib@co.lane.or.us","http://www.lanecounty.org/lawlibrary",,"POINT (-123.090442 44.050993)","POINT (-123.090442 44.050993)"
"Deschutes Public Library System - La Pine Library","16425 1st St, La Pine, OR 97739","Deschutes","Public","16425 1st St, La Pine, OR 97739","541-312-1090","541-536-0752",,"http://www.deschuteslibrary.org/lapine/","NONE","POINT (-121.505098 43.674573)","POINT (-121.505098 43.674573)"
"University Of Oregon - John E. Jaqua Law Library","1515 Agate St, Eugene, OR 97403","Lane","Academic","1515 Agate St, 1221 University of Oregon, Eugene, OR 97403-1221","541-346-3088","541-346-1669","lawcirc@uoregon.edu","http://libweb.uoregon.edu/law/",,"POINT (-123.06966 44.045914)","POINT (-123.06966 44.045914)"
"Lane Library District","64 W. Oregon Ave., Creswell, OR 97426","Lane","Public","PO Box  366, Creswell, OR 97426","(541) 895-3053","(541) 895-3507","service.desk@creswell-library.org","http://www.creswell-library.org","NONE","POINT (-123.019653 43.91785)","POINT (-123.019653 43.91785)"
"Lakeside Public Library","915 N Lake, Lakeside, OR 97449","Coos","Public","PO Box R, Lakeside, OR 97449","(541) 759-4432","(541) 759-4752","cyoung@coastlinelibrarynetwork.org","http://www.cooslibraries.org","CCLSD","POINT (-124.173881 43.575929)","POINT (-124.173881 43.575929)"
"Lincoln County Library District - Siletz Public Library","255 SE S Gaither St, Siletz, OR 97380","Lincoln","Public","P.O. Box 130, Siletz, OR 97380","(541) 444-2855","(541) 444-2855","siletz@siletzlibrary.org","http://www.siletzpubliclibrary.org","LCLD","POINT (-123.918035 44.721106)","POINT (-123.918035 44.721106)"
"Multnomah County Library - Rockwood Library","17917 SE Stark St, Portland, OR 97233","Multnomah","Public",,"503-988-5123",,,,"NONE","POINT (-122.478984 45.519153)","POINT (-122.478984 45.519153)"
