"year","quarter","locationabbr","locationdesc","topicdesc","policytopic","datasource","setting","title","status","citation","statusaltvalue","datatype","comments","enacteddate","effectivedate","geolocation","displayorder","policytypeid","healthtopicid","policytopicid","settingid","provisionid"
"2010","1","NJ","New Jersey","Obesity","Appropriations","DNPAO","Community","Local Streets Speed Limits","Dead","A884","3","Text","(Abstract - Outlines criteria municipalities are to consider when establishing  speed limits for local streets. ), (BillHistory - 01/12/2010 - INTRODUCED.;01/12/2010 - To ASSEMBLY Committee on TRANSPORTATION, PUBLIC WORKS AND INDEPENDENT AUTHORITIES.;01/25/2010 - Withdrawn from further consideration.)",,,"(40.130570048, -74.273691288)","28","LEG","002OB","002APP","002COM","2973"
"2009","1","MO","Missouri","Nutrition","Appropriations","DNPAO","School/After School","Physical Education","Dead","S521","3","Text","(Abstract - Creates physical education requirements for sixth through twelfth graders.), (BillHistory - 02/25/2009 - INTRODUCED.;03/03/2009 - To SENATE Committee on EDUCATION.)",,,"(38.635790776, -92.566300053)","2","LEG","001NUT","002APP","004SAS","782"
"2010","1","MS","Mississippi","Nutrition","Appropriations","DNPAO","Restaurant/Retail","Certified Farmers' Markets","Enacted","R12239","1","Text","(Abstract - Amends rules concerning certified farmers' markets.  Conforms rules to recent legislative action implementing an exemption for certain food products sold at farmers' markets certified by the Department. ), (BillHistory - )","2010-01-01T00:00:00.000",,"(32.745510099, -89.538030825)","2","REG","001NUT","002APP","006RES","3368"
"2014","4","NJ","New Jersey","Physical Activity","Appropriations","DNPAO","Community","Administrative Rules for Fees","Enacted","20399","1","Text","(Abstract - Adds the “promotion of public transportation use” as a criterion to award state grants to infrastructure projects and real estate development in the state.), (BillHistory - )","2014-12-15T00:00:00.000","2015-01-20T00:00:00.000","(40.130570048, -74.273691288)","48","REG","003PA","002APP","002COM","6786"
"2010","1","MI","Michigan","Physical Activity","Physical Education Requirements","DNPAO","Community","Physical Education","Dead","S1341","3","Text","(Abstract - Requires certain minimum amount of physical education and health education. ), (BillHistory - 05/20/2010 - INTRODUCED.;05/20/2010 - To SENATE Committee on EDUCATION.)",,,"(44.661319543001, -84.71439027)","61","LEG","003PA","036PER","002COM","2789"
"2010","1","AR","Arkansas","Obesity","Appropriations","DNPAO","Community","2010 Community Development Block Grant","Enacted","R5760","1","Text","(Abstract - Establishes the 2010 Community Development Block Grant (CDBG) Disaster Program. ), (BillHistory - )","2010-01-01T00:00:00.000",,"(34.748650124, -92.274490743)","28","REG","002OB","002APP","002COM","3297"
"2010","1","SC","South Carolina","Obesity","Appropriations","DNPAO","Community","Real Property Owned and Leased by the Department","Enacted","R3117","1","Text","(Abstract - Sets use restrictions for DNR owned and leased property. Sets rules for use of trails for hiking and biking.), (BillHistory - )","2010-01-01T00:00:00.000",,"(33.998821303, -81.045371207)","28","REG","002OB","002APP","002COM","3439"
"2009","1","WV","West Virginia","Nutrition","Appropriations","DNPAO","Community","Awareness Program","Dead","H3099","3","Text","(Abstract - Conducts a program to increase awareness and consumption of locally produced foods.), (BillHistory - 03/12/2009 - INTRODUCED.;03/12/2009 - To HOUSE Committee on AGRICULTURE.)",,,"(38.665510202, -80.712640135)","2","LEG","001NUT","002APP","002COM","674"
"2010","1","MO","Missouri","Nutrition","Appropriations","DNPAO","Community","Local Food Sales Permits","Dead","S1015","3","Text","(Abstract - Relates to local food sales permits. ), (BillHistory - 02/25/2010 - INTRODUCED.;03/04/2010 - To SENATE Committee on AGRICULTURE, FOOD PRODUCTION AND OUTDOOR RESOURCES.;03/17/2010 - Hearing cancelled.;03/24/2010 - Hearing conducted.)",,,"(38.635790776, -92.566300053)","2","LEG","001NUT","002APP","002COM","2847"
"2009","1","PA","Pennsylvania","Obesity","Appropriations","DNPAO","Community","Parks","Dead","S185","3","Text","(Abstract - Amends the Conservation and Natural Resources Act of 1995. Further provides, in the Department of Conservation and Natural Resources, for parks.), (BillHistory - 02/02/2009 - INTRODUCED.;02/02/2009 - To SENATE Committee on ENVIRONMENTAL RESOURCES AND ENERGY.)",,,"(40.793730152, -77.860700294)","28","LEG","002OB","002APP","002COM","1197"
"2011","1","ME","Maine","Nutrition","Appropriations","DNPAO","Community","Farm and Fish School Program","Dead","LR585","3","Text","(Abstract - Establishes the Maine Farm and Fish to School Program.   ), (BillHistory - 01/13/2011 - FILED.)",,,"(45.254228894001, -68.985031336)","2","LEG","001NUT","002APP","002COM","3967"
"2002","1","DC","District of Columbia","Nutrition","Farmers Markets","DNPAO","Community","An Act Making Appropriations   <br>","Enacted","PR719","1","Text","(Abstract - Appropriates monies to the Senior Farmers' Market Program.), (BillHistory - Bill History Unavailable)","2002-01-01T00:00:00.000",,"(38.890371385, -77.031961127)","9","LEG","001NUT","016FAM","002COM","5673"
"2011","1","NJ","New Jersey","Physical Activity","Disparities/Equity","DNPAO","Community","Bicycles, Forfeited","Dead","A3758","3","Text","(Abstract - Authorizes donation of forfeited bicycles to charities.  ), (BillHistory - 01/24/2011 - FILED.;02/03/2011 - INTRODUCED.;02/03/2011 - To ASSEMBLY Committee on LAW AND PUBLIC SAFETY.)",,,"(40.130570048, -74.273691288)","53","LEG","003PA","013DEQ","002COM","4255"
"2010","1","MS","Mississippi","Obesity","Sugar Sweetened Beverages","DNPAO","Community","Sweetened Beverages and Syrups Tax","Dead","S3109","3","Text","(Abstract - Enacts the Sweetened Beverages and Syrups Tax Law. ), (BillHistory - 02/04/2010 - INTRODUCED.;02/04/2010 - To SENATE Committee on FINANCE.;02/24/2010 - Died in committee.)",,,"(32.745510099, -89.538030825)","43","LEG","002OB","046SSB","002COM","2882"
"2009","1","MA","Massachusetts","Nutrition","Medical Care","DNPAO","Community","Bicyclists and Road Laws","Dead","HD2517","3","Text","(Abstract - Relates to the law of the road and bicyclists.), (BillHistory - 01/07/2009 - FILED.;01/19/2009 - Assigned HOUSE Bill No. 3321.)",,,"(42.27687047, -72.082690675)","16","LEG","001NUT","026MEC","002COM","272"
"2009","1","LA","Louisiana","Obesity","Appropriations","DNPAO","Community","Income Tax Credit","Dead","H871","3","Text","(Abstract - Increases the tax credit for rehabilitation of certain owner-occupied residential or mixed use structures.), (BillHistory - 05/06/2009 - INTRODUCED.;05/07/2009 - To HOUSE Committee on WAYS AND MEANS.)",,,"(31.312660644, -92.445680071)","28","LEG","002OB","002APP","002COM","895"
"2010","1","MI","Michigan","Nutrition","Appropriations","DNPAO","Community","Cottage Food Operation","Dead","S1403","3","Text","(Abstract - Allows sale of certain foods produced by a cottage food operation. ), (BillHistory - 06/23/2010 - INTRODUCED.;06/23/2010 - To SENATE Committee on AGRICULTURE AND BIOECONOMY.)",,,"(44.661319543001, -84.71439027)","2","LEG","001NUT","002APP","002COM","2790"
"2013","1","OR","Oregon","Nutrition","Agriculture and Farming","DNPAO","Community","Uses Authorized in Forest Zones","Enacted","35184","1","Text","(Abstract - Promotes farm use as a protected use of land in zoning requirements.), (BillHistory - )","2013-01-01T00:00:00.000","2013-01-01T00:00:00.000","(44.567449424, -120.155031326)","10","REG","001NUT","017AGF","002COM","6608"
"2010","1","MO","Missouri","Nutrition","Appropriations","DNPAO","Restaurant/Retail","Local Foods Initiative","Dead","S926","3","Text","(Abstract - Creates the Local Foods Initiative to encourage market opportunities for food produced close to its point of consumption. ), (BillHistory - 02/09/2010 - INTRODUCED.;02/11/2010 - To SENATE Committee on AGRICULTURE, FOOD PRODUCTION AND OUTDOOR RESOURCES.)",,,"(38.635790776, -92.566300053)","2","LEG","001NUT","002APP","006RES","2852"
"2009","1","MN","Minnesota","Obesity","Appropriations","DNPAO","Community","Human Services","Dead","S519","3","Text","(Abstract - Relates to human services, clarifies use of senior nutrition appropriations and client contributions. ), (BillHistory - 02/09/2009 - INTRODUCED.;02/09/2009 - To SENATE Committee on FINANCE.)",,,"(46.355648736, -94.794200503)","28","LEG","002OB","002APP","002COM","2825"
"2011","1","FL","Florida","Obesity","Initiatives and Programs","DNPAO","Community","Chronic Diseases<br>","Dead","S526","3","Text","(Abstract - ""Creates the chronic disease prevention and health promotion program and the state-level program for chronic disease prevention. Requires the Department of Health (“Department”) support the creation of public health programs at the state and community levels in order to reduce the incidence of mortality and morbidity from chronic diseases for which risk factors, including being overweight or obese, physical inactivity, and poor diet and nutrition habits, among other things, can be identified. Requires the Department promote programs for people at every stage of their lives to increase physical fitness and encourage healthy behavior changes by: (1) working with school health advisory committees in each school district to encourage the physical activity of students, staff, and teachers; (2) developing public and private partnerships that allow the public to easily access recreational facilities and public land areas that are suitable for physical activity; (3) collaborating with the Department of education in recognizing nationally accepted best practices for improving physical education in schools. Requires the Department promote healthy lifestyles to reduce the rate of obesity and encourage weight control and weight reduction through programs that are directed towards all residents of this state by: (1) using all appropriate media to promote maximum public awareness of the latest research on healthy lifestyles and chronic diseases and disseminating relevant information relating to wellness, physical activity, and nutrition;(2) providing technical assistance, training, and resources on healthy lifestyles and chronic diseases to people or entities that request such assistance; (3) developing, implementing, and using all available research methods to collect data, including, but not limited to, population-specific data, and tracking the incidence and effects of weight gain, obesity, and related chronic diseases; (4) entering into partnerships with the department of education, local communities, school districts, and other entities to encourage schools in the state to promote activities during and after school to help students meet a minimum goal of 30 minutes of physical fitness activities per day; and (5) collaborating with other state agencies to develop policies and strategies for preventing and treating obesity, which must be incorporated into programs administered by each agency and must include promoting healthy lifestyles among the employees of each agency. Requires the Department promote regular health visits during a person's lifetime, including annual physical examinations that include measuring body mass index and vital signs, among other things.  Allows  each state agency to conduct employee wellness programs in buildings and on lands owned or leased by the state. Requires the Department to serve as a model for the development and implementation of employee wellness programs that may include physical fitness, healthy nutrition, self-management of disease, wellness and fitness education, and behavioral change elements. ""), (BillHistory - 10/12/2011PREFILED; 11/02/2011To SENATE Committee on HEALTH REGULATION; 11/02/2011Referred to SENATE Committee on BUDGET; 01/10/2012INTRODUCED; 01/10/2012; To SENATE Committee on HEALTH REGULATION; 01/10/2012Referred to SENATE Committee on BUDGET; 03/09/2012In SENATE. Died in committee.)","2012-01-01T00:00:00.000",,"(28.932040377, -81.928960539)","46","LEG","002OB","053INP","002COM","5615"
"2010","1","WA","Washington","Obesity","Body Mass Index (BMI)","DNPAO","Community","Fiscal Reform","Dead","H3070","3","Text","(Abstract - Provides fiscal reform.), (BillHistory - 01/22/2010 - INTRODUCED.;01/22/2010 - To HOUSE Committee on FINANCE.;03/15/2010 - 2010 FIRST SPECIAL SESSION ACTION.;03/15/2010 - By Order of Resolution -  Reintroduced and retained in present status.)",,,"(47.522278629, -120.47001079)","29","LEG","002OB","006BMI","002COM","631"
"2010","1","NY","New York","Physical Activity","Safe Routes to Schools","DNPAO","School/After School","Charter Schools","Dead","S6468","3","Text","(Abstract - Relates to the establishment, organization, and administration of charter schools. ), (BillHistory - 01/16/2010 - INTRODUCED.;01/16/2010 - To SENATE Committee on EDUCATION.)",,,"(42.827001032, -75.543970427)","64","LEG","003PA","041SRS","004SAS","3067"
"2009","1","NY","New York","Obesity","Access to Drinking Water","DNPAO","Community","Nutrition and Fitness Website","Dead","A5476","3","Text","(Abstract - Creates a nutrition and fitness website.), (BillHistory - 02/13/2009 - INTRODUCED.;02/13/2009 - To ASSEMBLY Committee on HEALTH.)",,,"(42.827001032, -75.543970427)","33","LEG","002OB","014ADW","002COM","461"
"2011","1","RI","Rhode Island","Obesity","Appropriations","DNPAO","Community","Supplemental Nutrition Program","Enacted","R4421","1","Text","(Abstract - Addresses the Fiscal Year 2011 State Plan of Operations and Administration of the Special Supplemental Nutrition Program (WIC and Farmers' Market Services) which includes the Farmers' Market Nutrition Program and revisions to WIC vendor policies.  ), (BillHistory - )","2011-01-01T00:00:00.000",,"(41.708280193, -71.522470314)","28","REG","002OB","002APP","002COM","4843"
"2007","1","VT","Vermont","Nutrition","Farmers Markets","DNPAO","Community","House Joint Resolution <br>","Enacted","HJR42","1","Text","(Abstract - Recognizes the importance of farmers' markets in Vermont. ), (BillHistory - Bill History Unavailable)","2007-01-01T00:00:00.000",,"(43.625381239, -72.517640791)","9","LEG","001NUT","016FAM","002COM","5757"
"2009","1","HI","Hawaii","Obesity","Appropriations","DNPAO","Community","Loan Guaranty Program","Dead","H837","3","Text","(Abstract - Allows Hawaii housing finance and development corporation to guarantee loans to developers for the purpose of developing transit-oriented development projects that include affordable housing.), (BillHistory - 01/26/2009 - INTRODUCED.;01/28/2009 - To HOUSE Committee on TRANSPORTATION.)",,,"(21.304850435, -157.857749403)","28","LEG","002OB","002APP","002COM","163"
"2009","1","MN","Minnesota","Nutrition","Agriculture and Farming","DNPAO","Community","Agriculture","Dead","S1943","3","Text","(Abstract - Relates to agriculture, creates a commission on local foods, requires a report.), (BillHistory - 03/30/2009 - INTRODUCED.;03/30/2009 - To SENATE Committee on AGRICULTURE AND VETERANS.)",,,"(46.355648736, -94.794200503)","10","LEG","001NUT","017AGF","002COM","1782"
"2011","1","MT","Montana","Obesity","Incentives","DNPAO","Restaurant/Retail","Soft Drink and Sugared Beverage Excise Tax","Dead","D1204","3","Text","(Abstract - Implements soft drink and sugared beverage excise tax, relates to sales taxation. ), (BillHistory - 12/02/2010 - Draft request received.;12/03/2010 - Draft on Hold.)",,,"(47.066528972, -109.424420645)","38","LEG","002OB","029INC","006RES","2891"
"2011","1","NY","New York","Obesity","Appropriations","DNPAO","Community","Prelicensing Drivers Education Course","Dead","A7653","3","Text","(Abstract - Adds a bicycle, in-line skater, skateboarder and scooter rider safety component to the pre-licensing driver's education course.  ), (BillHistory - 05/12/2011 - INTRODUCED.;05/12/2011 - To ASSEMBLY Committee on TRANSPORTATION.)",,,"(42.827001032, -75.543970427)","28","LEG","002OB","002APP","002COM","4354"
"2011","1","NY","New York","Physical Activity","Bicycling","DNPAO","Community","Prelicensing Drivers Education Course","Dead","A7653","3","Text","(Abstract - Adds a bicycle, in-line skater, skateboarder and scooter rider safety component to the pre-licensing driver's education course.  ), (BillHistory - 05/12/2011 - INTRODUCED.;05/12/2011 - To ASSEMBLY Committee on TRANSPORTATION.)",,,"(42.827001032, -75.543970427)","50","LEG","003PA","005BIK","002COM","4354"
"2011","1","MA","Massachusetts","Nutrition","Farm Direct Foods","DNPAO","Restaurant/Retail","Farmers Markets","Dead","HD3345","3","Text","(Abstract - Relates to farmers markets.   ), (BillHistory - 01/21/2011 - FILED.;01/21/2011 - Assigned HOUSE Bill No. 2840)",,,"(42.27687047, -72.082690675)","8","LEG","001NUT","015FDF","006RES","4059"
"2009","1","MA","Massachusetts","Obesity","Disparities/Equity","DNPAO","Community","School Nutrition","Dead","HD638","3","Text","(Abstract - Relates to school nutrition. ), (BillHistory - 01/07/2009 - FILED.;01/19/2009 - Assigned HOUSE Bill No. 2092.)",,,"(42.27687047, -72.082690675)","32","LEG","002OB","013DEQ","002COM","2693"
"2009","1","GA","Georgia","Nutrition","Initiatives and Programs","DNPAO","Early Care and Education","Group Day Care Homes","Enacted","R5327","1","Text","(Abstract - Amends rules regarding record keeping and reporting, operations, health, safety and activities, food services and nutrition of each group day care home.), (BillHistory - )","2009-01-01T00:00:00.000",,"(32.839681093, -83.627580346)","26","REG","001NUT","053INP","001ECE","2388"
"2009","1","MA","Massachusetts","Physical Activity","Physical Activity Requirements","DNPAO","School/After School","School Nutrition","Dead","HD638","3","Text","(Abstract - Relates to school nutrition. ), (BillHistory - 01/07/2009 - FILED.;01/19/2009 - Assigned HOUSE Bill No. 2092.)",,,"(42.27687047, -72.082690675)","60","LEG","003PA","035PAR","004SAS","2693"
"2009","1","MI","Michigan","Physical Activity","Bicycling","DNPAO","Community","Bicycle Safety","Dead","S531","3","Text","(Abstract - Provides component in driver training courses on safety for bicyclists on the road.), (BillHistory - 05/05/2009 - INTRODUCED.;05/05/2009 - To SENATE Committee on TRANSPORTATION.)",,,"(44.661319543001, -84.71439027)","50","LEG","003PA","005BIK","002COM","1348"
"2009","1","MO","Missouri","Nutrition","Appropriations","DNPAO","Community","Healthy Food Pilot Program","Dead","H32","3","Text","(Abstract - Requires, subject to appropriations, the Department of Health and Senior Services to establish an access to healthy food pilot program.), (BillHistory - 12/02/2008 - PREFILED.;01/07/2009 - INTRODUCED.;02/05/2009 - To HOUSE Special Committee on CHILDREN AND FAMILIES.)",,,"(38.635790776, -92.566300053)","2","LEG","001NUT","002APP","002COM","1994"
"2009","1","TN","Tennessee","Nutrition","Farm Direct Foods","DNPAO","Community","Food and Food Products","Dead","H1930","3","Text","(Abstract - Relates to food and food products, clarifies that certain homemade foods may be sold at farmers' markets, exempts preparer and seller of such foods from certain food regulations.), (BillHistory - 02/25/2009 - INTRODUCED.;03/02/2009 - To HOUSE Committee on AGRICULTURE.)",,,"(35.68094058, -85.774490914)","8","LEG","001NUT","015FDF","002COM","1753"
"2009","1","NH","New Hampshire","Nutrition","Appropriations","DNPAO","Community","Fee on Certain Beverages","Dead","LSR2433","3","Text","(Abstract - Establishes a fee on certain beverages.), (BillHistory - 09/29/2009 - FILED.;12/21/2009 - Assigned Bill Number: H 1679.)",,,"(43.655950113, -71.50036092)","2","LEG","001NUT","002APP","002COM","427"
"2010","1","TN","Tennessee","Nutrition","Healthier Food Retail and Food Deserts","DNPAO","Restaurant/Retail","Public Funds and Financing","Dead","H3094","3","Text","(Abstract - Enacts the Tennessee Food Desert Relief Act. ), (BillHistory - 01/27/2010 - INTRODUCED.;02/01/2010 - To HOUSE Committee on FINANCE, WAYS AND MEANS.;03/02/2010 - In HOUSE Committee on FINANCE, WAYS AND MEANS:  Referred to Subcommittee on BUDGET.)",,,"(35.68094058, -85.774490914)","12","LEG","001NUT","021HFR","006RES","1803"
"2009","1","HI","Hawaii","Nutrition","Incentives","DNPAO","Community","General Excise Tax and Exemption","Dead","S1081","3","Text","(Abstract - Provides a general excise tax exemption for food.), (BillHistory - 01/26/2009 - INTRODUCED.;01/30/2009 - To SENATE Committee on WAYS AND MEANS.)",,,"(21.304850435, -157.857749403)","17","LEG","001NUT","029INC","002COM","2265"
"2009","1","IA","Iowa","Nutrition","Appropriations","DNPAO","Community","Administrative Structure of the Department","Enacted","R8240","1","Text","(Abstract - Reflects the current structure of the Department and aligns Bureaus with their appropriate Division. Addresses farmers' market nutrition programs and these programs relationship to the WIC program.), (BillHistory - )","2009-01-01T00:00:00.000",,"(42.469400913, -93.816490556)","2","REG","001NUT","002APP","002COM","2324"
"2009","1","MA","Massachusetts","Physical Activity","Bicycling","DNPAO","School/After School","Transportation System Modernization","Dead","H4047","3","Text","(Abstract - Modernizes the transportation system of the Commonwealth.), (BillHistory - 04/06/2009 - INTRODUCED.;04/06/2009 - New Text of  S 2024.)",,,"(42.27687047, -72.082690675)","50","LEG","003PA","005BIK","004SAS","1325"
"2011","1","NY","New York","Obesity","Food Restrictions","DNPAO","Restaurant/Retail","Sale Or Use of High Fructose Corn Syrup","Dead","A2562","3","Text","(Abstract - Prohibits the sale or the use of high-fructose corn syrup in any food products.  ), (BillHistory - 01/19/2011 - INTRODUCED.;01/19/2011 - To ASSEMBLY Committee on HEALTH.)",,,"(42.827001032, -75.543970427)","35","LEG","002OB","020FOR","006RES","4307"
"2009","1","MT","Montana","Obesity","Food Restrictions","DNPAO","Community","Funding for Community Gardens","Dead","D760","3","Text","(Abstract - Relates to funding for community gardens.), (BillHistory - 02/03/2009 - Draft ready for delivery.)",,,"(47.066528972, -109.424420645)","35","LEG","002OB","020FOR","002COM","929"
"2009","1","MA","Massachusetts","Obesity","Appropriations","DNPAO","Community","Student Nutrition and Wellness","Dead","HD1736","3","Text","(Abstract - Relates to student nutrition and wellness. ), (BillHistory - 01/07/2009 - FILED.;01/19/2009 - Assigned HOUSE Bill No. 446.)",,,"(42.27687047, -72.082690675)","28","LEG","002OB","002APP","002COM","2689"
"2009","1","MA","Massachusetts","Obesity","Appropriations","DNPAO","School/After School","Physical Education","Dead","HD1272","3","Text","(Abstract - Improves quality physical education.), (BillHistory - 01/07/2009 - FILED.)",,,"(42.27687047, -72.082690675)","28","LEG","002OB","002APP","004SAS","268"
"2010","1","MA","Massachusetts","Physical Activity","Public Safety","DNPAO","Community","Economic Development Incentive Program (EDIP)","Enacted","R9643","1","Text","(Abstract - Changes the Economic Development Incentive Program (EDIP) by expanding and delineating the types of projects that could be certified projects under the EDIP program. Concerns funding for development projects in blighted areas.), (BillHistory - )","2010-01-01T00:00:00.000",,"(42.27687047, -72.082690675)","62","REG","003PA","039SAF","002COM","3345"
"2011","1","UT","Utah","Nutrition","Appropriations","DNPAO","Restaurant/Retail","Short Title - Locally Produced Agriculture","Dead","H396","3","Text","(Abstract - (Short Title) Relates to locally produced agricultural products.   ), (BillHistory - 02/05/2011 - INTRODUCED.)",,,"(39.360700171, -111.587130635)","2","LEG","001NUT","002APP","006RES","4686"
"2010","1","VT","Vermont","Nutrition","Healthier Food Retail and Food Deserts","DNPAO","Community","Soft Drinks","Dead","H660","3","Text","(Abstract - Proposes to impose the sales tax on soft drinks. ), (BillHistory - 01/28/2010 - INTRODUCED.;01/29/2010 - To HOUSE Committee on WAYS AND MEANS.)",,,"(43.625381239, -72.517640791)","12","LEG","001NUT","021HFR","002COM","1264"
"2009","1","MA","Massachusetts","Physical Activity","Public Transportation","DNPAO","Community","Transportation System Modernization","Dead","H4047","3","Text","(Abstract - Modernizes the transportation system of the Commonwealth.), (BillHistory - 04/06/2009 - INTRODUCED.;04/06/2009 - New Text of  S 2024.)",,,"(42.27687047, -72.082690675)","63","LEG","003PA","040TRS","002COM","1325"
"2011","1","CA","California","Nutrition","Farm Direct Foods","DNPAO","Community","Food and Agriculture<br>","Enacted","20182","1","Text","(Abstract - Creates rules by which producers or farmers may sell agricultural products directly to consumers, including at farmers markets.  Includes rules for direct to consumer sales for fruits, vegetables and nuts.  ), (BillHistory - )","2011-01-01T00:00:00.000",,"(37.638640123, -120.999999538)","8","REG","001NUT","015FDF","002COM","6044"
"2011","1","ME","Maine","Nutrition","Correctional Facilities Farms Programs","DNPAO","Community","State Prison Vegetable Garden Requirements","Dead","LR1854","3","Text","(Abstract - Requires vegetable gardens at state prisons.   ), (BillHistory - 01/13/2011 - FILED.;02/18/2011 - Assigned House Paper number 513 and LD 685)",,,"(45.254228894001, -68.985031336)","11","LEG","001NUT","018CFP","002COM","3963"
"2013","3","PA","Pennsylvania","Nutrition","Initiatives and Programs","DNPAO","Community","Hunger Action Month","Enacted","SR194","1","Text","(Abstract - ""Recognizes September 2013 as Hunger Action Month, promoting food banks and the recognition of the abundance of food insecurity in the state.""), (BillHistory - 09/25/2013 FILED.09/25/2013 INTRODUCED.09/25/2013 Passed SENATE.)","2013-09-25T00:00:00.000","2013-09-25T00:00:00.000","(40.793730152, -77.860700294)","26","LEG","001NUT","053INP","002COM","6633"
"2009","1","MA","Massachusetts","Obesity","Food Restrictions","DNPAO","Community","School Nutrition","Dead","HD638","3","Text","(Abstract - Relates to school nutrition. ), (BillHistory - 01/07/2009 - FILED.;01/19/2009 - Assigned HOUSE Bill No. 2092.)",,,"(42.27687047, -72.082690675)","35","LEG","002OB","020FOR","002COM","2693"
"2011","1","GA","Georgia","Nutrition","Media Campaigns","DNPAO","Community","Legislative Resolution","Enacted","SR627","1","Text","(Abstract - Urges the Department of Community Health to implement a public information campaign about folic acid consumption.   ), (BillHistory - 04/14/2011 - INTRODUCED.;04/14/2011 - In SENATE.  Read third time.  Passed SENATE.)","2011-01-01T00:00:00.000",,"(32.839681093, -83.627580346)","19","LEG","001NUT","031MDC","002COM","3730"
"2009","1","NY","New York","Physical Activity","Public Safety","DNPAO","Community","Empire State Housing Investment Fund Act","Dead","A9115","3","Text","(Abstract - Establishes the empire state housing investment fund act of 2009.), (BillHistory - 09/04/2009 - INTRODUCED.;09/04/2009 - To ASSEMBLY Committee on HOUSING.)",,,"(42.827001032, -75.543970427)","62","LEG","003PA","039SAF","002COM","1146"
"2013","1","MA","Massachusetts","Physical Activity","Public Transportation","DNPAO","Community","Smart Growth Zoning Overlay District","Enacted","10236","1","Text","(Abstract - ""Requires that development projects zoned for smart growth development be located within half a mile from commuter rail, and must be mixed-use.""), (BillHistory - )","2013-01-01T00:00:00.000",,"(42.27687047, -72.082690675)","63","REG","003PA","040TRS","002COM","6622"
"2009","1","NJ","New Jersey","Nutrition","Appropriations","DNPAO","School/After School","Nutritional Information","Dead","A4059","3","Text","(Abstract - Requires boards of education to provide certain nutritional information for food and beverage items offered for sale in school cafeterias.), (BillHistory - 06/04/2009 - FILED.;06/08/2009 - INTRODUCED.;06/08/2009 - To ASSEMBLY Committee on EDUCATION.)",,,"(40.130570048, -74.273691288)","2","LEG","001NUT","002APP","004SAS","1667"
"2011","1","CT","Connecticut","Nutrition","Appropriations","DNPAO","Community","Breastfeeding in Public","Dead","H6077","3","Text","(Abstract - Concerns breastfeeding in public, makes clear that the act of breastfeeding an infant in public does not constitute the crime of public indecency.   ), (BillHistory - 01/24/2011 - INTRODUCED.;01/25/2011 - To JOINT Committee on JUDICIARY.;04/15/2011 - Failed Joint Favorable deadline.)",,,"(41.56266102, -72.649840952)","2","LEG","001NUT","002APP","002COM","3622"
"2010","1","WA","Washington","Obesity","Liability and Indemnity","DNPAO","Community","Tax Increases","Enacted","BI10","1","Text","(Abstract - Provides for the repealing of tax increases on certain processed foods, bottled water, candy, and carbonated beverages enacted by the 2010 legislature. ), (BillHistory - Initiative approved by voters 11/02/2010)","2010-01-01T00:00:00.000",,"(47.522278629, -120.47001079)","39","LEG","002OB","030LAI","002COM","3491"
"2011","1","NH","New Hampshire","Nutrition","Appropriations","DNPAO","Community","Definition of Local","Dead","LSR2226","3","Text","(Abstract - Relates to the definition of local for the purpose of selling fruits and vegetables.   ), (BillHistory - 06/02/2011 - FILED.)",,,"(43.655950113, -71.50036092)","2","LEG","001NUT","002APP","002COM","4249"
"2010","1","NY","New York","Nutrition","Correctional Facilities Farms Programs","DNPAO","Work Place","Advisory Committee on Public Wellness","Dead","S8186","3","Text","(Abstract - Establishes the advisory committee on public wellness to assist health insurers and employers in establishing wellness programs for insureds and employees. ), (BillHistory - 06/15/2010 - INTRODUCED.;06/15/2010 - To SENATE Committee on RULES.)",,,"(42.827001032, -75.543970427)","11","LEG","001NUT","018CFP","005WKP","3076"
"2009","1","TN","Tennessee","Nutrition","Nutrition Standards","DNPAO","School/After School","Education","Dead","S421","3","Text","(Abstract - Relates to education, allows the sale of 12 ounce products in middle schools. ), (BillHistory - 02/10/2009 - INTRODUCED.;02/12/2009 - To SENATE Committee on EDUCATION.;03/10/2009 - From SENATE Committee on EDUCATION:  Recommend passage.;03/19/2009 - In SENATE.  Read third time.  Passed SENATE.  *****To HOUSE.)",,,"(35.68094058, -85.774490914)","6","LEG","001NUT","010NUS","004SAS","3178"
"2011","1","MA","Massachusetts","Nutrition","Access to Healthy Foods","DNPAO","Community","Foods Containing Artificial Trans Fat","Dead","SD868","3","Text","(Abstract - Relates to foods containing artificial trans fat.   ), (BillHistory - 01/21/2011 - FILED.;01/21/2011 - Assigned SENATE Bill No. 1164)",,,"(42.27687047, -72.082690675)","1","LEG","001NUT","001AHF","002COM","4093"
"2009","1","MA","Massachusetts","Physical Activity","Public Transportation","DNPAO","Community","Renewal Communities and Smart Growth Zoning","Dead","SD1296","3","Text","(Abstract - Relates to renewal communities and smart growth zoning.), (BillHistory - 01/07/2009 - FILED.;01/19/2009 - Assigned SENATE Bill No. 103.)",,,"(42.27687047, -72.082690675)","63","LEG","003PA","040TRS","002COM","1875"
"2011","1","MN","Minnesota","Physical Activity","Safe Routes to Schools","DNPAO","School/After School","Transportation","Dead","S1439","3","Text","(Abstract - Relates to transportation, establishes and appropriates money for a safe routes to school program, authorizes the sale and issuance of state bonds.   ), (BillHistory - 05/18/2011 - INTRODUCED.;05/18/2011 - To SENATE Committee on TRANSPORTATION.)",,,"(46.355648736, -94.794200503)","64","LEG","003PA","041SRS","004SAS","4141"
