"projectid","address","project_name","prior_site_name","street_number","street_name","neighborhood","developer","status","year_complete","project_type","permit_type","zoning","pb_special_permit","building_permit","total_gfa","lot_area","far","use_type","total_of_units","of_affordable_units","hotelrooms","parking_spaces","note","latlong","latitude","longitude"
"731","201-203 Concord Turnpike","Tempo at Alewife Station Phases 3/4","","201-203","Concord Turnpike","North Cambridge","Criterion Development Partners","Complete","2020","New Construction","Planning Board Special Permit","SP-4A","PB326","BLDM-070311-2018","160881","166468","1.95","Residential","181","25",,"See note","Includes demolition of existing motel and bowling alley. First two phases complete and include 149 units. 239 parking spaces included in prior phases. Total project GFA is 324,440.","(42.399565, -71.1490979999999)","42.3996","-71.1491"
"674","100/110 North First Street","Building W","","100/110","North First Street","East Cambridge","DivcoWest","Complete","2020","New Construction","Planning Board Special Permit","NP/PUD-6","PB179","21038/21042","16395","20743","2.66","Retail","0","None",,"0","FAR for overall Cambridge Crossing development. Certificate of Occupancy for 100 North First Street dated 10/15/2020.","(42.3720009999999, -71.0755)","42.372","-71.0755"
"397","32 Quincy Street","Harvard Fogg Museum Addition","","32","Quincy Street","Mid-Cambridge","Harvard College","Complete","2014","Addition/Alteration","Board of Zoning Appeals","C-3","N/A","1210153-038829","204000","184924","2.08","Museum","0","None",,"See note","FAR based on entire parcel and includes several existing buildings. Parking allocate from Harvard University pool.","(42.3741868979998, -71.1144443809999)","42.3742","-71.1144"
"366","622-38 Massachusetts Avenue","Holmes Building","","622-38","Massachusetts Avenue","Cambridgeport","Hunneman Management","Complete","2013","Change of Use","Planning Board Special Permit","BB/CSOD","PB133",,"26650","32823","3.9","Residential","21","3",,"See note","Conversion of second floor from commercial to residential use. Toital project includes 93 units and 80 parking spaces.","(42.365066722, -71.1034584089999)","42.3651","-71.1035"
"295","2 Leighton Street","Ava North Point incl. 5 Glassworks Ave.","","2","Leighton Street","East Cambridge","Avalon Bay","Complete","2018","New Construction","Planning Board Special Permit","NP/PUD-6","PB175","BLDM-042391-2016","241779","247431","3.77","Residential","265","31",,"212","FAR includes Phase I building and 10 Glassworks Avenue. Unknown amount of retail space will included in building.","(42.3703935998, -71.0744786369999)","42.3704","-71.0745"
"371","50 Rogers Street",,"","50","Rogers Street","East Cambridge","Alexandria Real Estate","Complete","2021","Addition/Alteration","Planning Board Special Permit","IA-1/PUD-3A","PB243","22027","132231","40000","3.75","Residential","136","44",,"102","Shared site with 161 First Street, which includes a renovated office building.","(42.3658059999999, -71.078202)","42.3658","-71.0782"
"384","40 Acorn Park Drive","Discovery Park Garage B","","40","Acorn Park Drive","North Cambridge","Bulfinch Company","Complete","2019","New Construction","Planning Board Special Permit","SD-4","PB198","BLDC-072303-2018","141745","1154420","0.61","Parking Garage","0","None",,"380","Above ground garage not counted toward Discovery Park FAR.  Parking services multiple buildings at Discovery Park.","(42.3989313956998, -71.1477676229999)","42.3989","-71.1478"
"697","1785-1791 Massachusetts Avenue","Frost Terrace","","1785-1791","Massachusetts Avenue","Agassiz","Capstone Communities LLC","Complete","2021","New Construction/Alteration","Comprehensive Permit","B","N/A","33413/33918/34026","40253","22068","1.82","Residential","40","40",,"3","Includes rehab of existing residential structures and replacement of existing house. Additional building permit 34030.","(42.3861879999999, -71.118767)","42.3862","-71.1188"
"385","603 Concord Avenue","Acorn Holdings Concord Ave. Phase I","","603","Concord Avenue","Cambridge Highlands","AbodeZ Acorn LLC","Complete","2015","New Construction","Planning Board Special Permit","BA/AOD-5","PB269","BLDC-005490-2013","64189","29034","2.21","Residential","61","7",,"77","61 residential and 16 retail spaces","(42.3889607389, -71.144505953)","42.389","-71.1445"
"325","7 Temple Street","YWCA Site","","7","Temple Street","Mid-Cambridge","Cambridge Affordable Hsg. Corp","Complete","2015","New Construction","Comprehensive Permit","BB/O-3/CSOD","N/A","BLDM-008282-2013","96161","36990","2.59","Residential","40","40",,"33","Formerly 5 Temple Street. Parking spaces serve a total of 66 units on-site; 42 new units and 24 existing units.","(42.3665710542, -71.1043479679999)","42.3666","-71.1043"
"406","18 White Street",,"","18","White Street","North Cambridge","Ben Rogan","Complete","2014","New Construction","As of Right","BC","N/A","BLDM-007372-2013","9979","5080","1.96","Residential","8","None",,"8",,"(42.3888947005, -71.1182920589999)","42.3889","-71.1183"
"631","95 Fawcett Street",,"","95","Fawcett Street","Cambridge Highlands","95 Fawcett LLC","Complete","2021","New Construction","Planning Board Special Permit","O-1/AOD-4","PB309","BLDM-054801-2017","52852","20522","2.58","Residential","44","5",,"44","Existing warehouse demolished.","(42.3922809999998, -71.1464189999999)","42.3923","-71.1464"
"232","250 Kendall Street","Watermark 2","","250","Kendall Street","East Cambridge","Twining Properties","Complete","2013","New Construction","Planning Board Special Permit","O-3/PUD-3","PB141","412055-030080","148949","48106","3","Residential","144","17",,"See note","144 parking spaces allocated from Cambridge Research Park 350 Third Street parking garage.","(42.363567138, -71.082262513)","42.3636","-71.0823"
"695","265 Broadway","Squirrelwood Phase 1","","265","Broadway","The Port/Area IV","Just-A-Start Corporation","Complete","2020","New Construction","Comprehensive Permit","C-1","N/A","32298","6400","59638","1.36","Residential","6","6",,"See note","One of three new buildings at Linwood Court site. Project adds 4 parking spaces to pool.  There will be 45 spaces for 88 units, including nearby Squirrel Brand Apartments. Also known as 54 Market Street.  FAR and lot area for entire project.","(42.3681229999999, -71.0966169999999)","42.3681","-71.0966"
"395","262 Msgr. O'Brien Highway","The Ivy Residents","","262","Msgr. O'Brien Highway","East Cambridge","YIHE Group","Complete","2018","New Construction","Large Project Review","SD-1","N/A","	BLDM-030215-2015","64222","19078","3.37","Residential","55","6",,"56",,"(42.3734405177998, -71.081920854)","42.3734","-71.0819"
"312","159 First Street","Axiom Cambridge","","159","First Street","East Cambridge","Urban Spaces","Complete","2015","New Construction","Planning Board Special Permit","IA-1/BA/PUD-4B","PB231","BLDM-002316-2013","126000","29999","4.2","Residential","115","13",,"79","Also known as 33 Rogers Street. 64 spaces located on-site and 15 spaces located off-site.","(42.3661407135, -71.078419244)","42.3661","-71.0784"
"686","165 Main Street","NoMa Phase 4 Podium","","165","Main Street","East Cambridge","MIT","Complete","2019","New Construction","Planning Board Special Permit","O-3A, PUD-3","PB302","BLDC-075743-2018","0","74736","5.55","Residential","0","None",,"See note","FAR includes existing One Broadway and new 165 Main Street, including new residential garage.  Project is podium for Phase 4 new residential tower. No GFA. Related parking in Phase 5. Formerly 1 Broadway.","(42.3625129949, -71.082756376)","42.3625","-71.0828"
"684","1 Broadway","NoMa Existing Building Phases 1-3","","1","Broadway","East Cambridge","MIT","Complete","2021","New Construction","Planning Board Special Permit","O-3A, PUD-3","PB302","BLDC-060080-2017","33822","41536","5.55","Retail","0","None",,"See note","FAR includes existing One Broadway and new 165 Main Street. Phase 1-3 include new supermarket, loading dock, Main Street retail update. Parking is in reconfigured existing garage reduced from 316 spaces to 293.","(42.3625129949, -71.082756376)","42.3625","-71.0828"
"353","126 Charles Street",,"","126","Charles Street","East Cambridge","1st Charles LLC/Glanz Properties","Complete","2011","Alteration/Change of Use","Planning Board Special Permit","C-1","PB249","1110150-015766","7593","5000","0.66","Residential","8","None",,"10",,"(42.3675555149999, -71.0820719169999)","42.3676","-71.0821"
"360","50/60 Binney Street",,"","50/60","Binney Street","East Cambridge","Alexandria Real Estate","Complete","2017","New Construction","Planning Board Special Permit","IA-1/PUD-3A","PB243","BLDC-018436-2014","467512","63844","7.59","Office/R&D","0","None",,"421","Garage totals 899 spaces with 421 allocated to 50/60 Binney Street, 302 to 215 First Street, 136 to 100 Binney Street, 15 to 41 Linsky Way, and 25 to 161 First Street.","(42.3649661923, -71.0792594779999)","42.365","-71.0793"
"331","610 Main Street","Pfizer Phase 1/South Building","","610","Main Street","The Port/Area IV","MITIMCO","Complete","2014","New Construction","Planning Board Special Permit","IB","PB238","112013-026869","180053","210215","2.75","Office/R&D","0","None",,"380","FAR includes Phase I building. 650 Parking spaces in underground garage. 380 spaces shared with 700 Main St. 270 spaces allocated to Phase II.","(42.3618402207998, -71.0944427459999)","42.3618","-71.0944"
"629","35 Cottage Park Avenue","Tyler Green Court Phase 1","","35","Cottage Park Avenue","North Cambridge","Tyler Court Limited Partnership","Complete","2015","New Construction","Planning Board Special Permit","SD-2","PB276","BLDM-020171-2014","70387","130079","0.639","Residential","57","7",,"61",,"(42.3984010982999, -71.1335109329999)","42.3984","-71.1335"
"386","100 Pacific Street",,"","100","Pacific Street","Cambridgeport","100 Pacific Street Trust","Complete","2013","New Construction","As of Right","SD-8","N/A","1111148-038572","19545","10008","1.95","Residential","11","1",,"11",,"(42.360746714, -71.103515005)","42.3607","-71.1035"
"698","2050 Massachusetts Avenue","Russell Apartments/North Cambridge Senior Center","","2050","Massachusetts Avenue","North Cambridge","Cambridge Housing Authority","Complete","2019","Alteration","Comprehensive Permit","BA-2","N/A","BLDC-065301-2017","171","15234","2.9","Residential","1","1",,"0","Infill project will insert floor into two story space to create an additional unit in existing building.  No change to existing parking.","(42.390942, -71.122881)","42.3909","-71.1229"
"618","192 Raymond Street",,"","192","Raymond Street","Neighborhood 9","Raymond Street Realty Trust","Complete","2016","New Construction","As of Right","C-2","N/A","BLDM-022666-2015","8200","6278","1.3","Residential","8","0",,"8",,"(42.3890463031998, -71.128646024)","42.389","-71.1286"
"615","223 Concord Turnpike","Vox on 2","","223","Concord Turnpike","North Cambridge","CPC-T, LP","Complete","2014","New Construction","Planning Board Special Permit","SD-4A","PB254","1111207-016780","253620","173909","1.46","Residential","227","26",,"227",,"(42.400003863, -71.150612257)","42.4","-71.1506"
"628","165 Cambridgepark Drive","Fuse Apartments Phase 1","","165","Cambridgepark Drive","North Cambridge","Hines Interests Limited","Complete","2015","New Construction","Planning Board Special Permit","O-2A/AOD-6","PB272","BLDM-009426-2013","168000","119274","2.35","Residential","149","17",,"138","FAR for all project phases.","(42.3953600162, -71.147417335)","42.3954","-71.1474"
"710","212 Hampshire Street",,"former Ryles Jazz Club","212","Hampshire Street","Mid-Cambridge","212 Hampshire St LLC c/o Ninoj Pradhan","Complete","2020","Alteration/Change of Use","Board of Zoning Appeals","BA","N/A","32832","9219","4322","2.1","Residential","8","TBD",,"0","Former site of Ryles Jazz club.","(42.373133, -71.100431)","42.3731","-71.1004"
"373","270 Third Street","Vivo Apartments","","270","Third Street","East Cambridge","Alexandria Real Estate","Complete","2015","New Construction","Planning Board Special Permit","IA-1/PUD-4B","PB243","BLDM-020260-2014","91122","17435","4.47","Residential","91","27",,"76","Parking allocated from 75-125 Binney Street garage.","(42.3659489241998, -71.0820951639999)","42.3659","-71.0821"
"398","130 Cambridgepark Drive",,"","130","Cambridgepark Drive","North Cambridge","The Hanover Company","Complete","2017","New Construction","Planning Board Special Permit","O-2A/AOD-6","PB279","BLDM-031440-2015","213321","102013","2.1","Residential","213","25",,"216","120 spaces located on-site, 28 dedicated and 68 shared spaces located in 140 Cambridgepark Drive garage.","(42.3936697908998, -71.1450265849999)","42.3937","-71.145"
"391","42-54 Bay State Road",,"","42-54","Bay State Road","Neighborhood 9","BSR LLC","Complete","2012","New Construction","Board of Zoning Appeals","C-1A","N/A","212118-009990","13215","5891","2.24","Residential","10","None",,"10","Also BZA #10165.","(42.387230771, -71.1395299549999)","42.3872","-71.1395"
"740","40-54 Market Street","Squirrelwood Phase 2","","40-54","Market Street","The Port/Area IV","Just-A-Start Corporation","Complete","2021","New Construction","Comprehensive Permit","C-1","N/A","32294/32295","18452","59638","1.36","Residential","17","17",,"See note","Includes two of three new buildings at Linwood Court site. Project adds 4 parking spaces to pool.  There will be 45 spaces for 88 units, including nearby Squirrel Brand Apartments. Other address is 265 Broadway.  FAR and lot area for entire project.","(42.3681229999999, -71.0966169999999)","42.3681","-71.0966"
"334","22 Water Street","Zinc","","22","Water Street","East Cambridge","Catamount Holdings LLC","Complete","2015","New Construction","Planning Board Special Permit","NP/PUD-6","PB247","BLDC-002865-2013","408225","104673","4.62","Residential","392","45",,"351",,"(42.3729031239998, -71.078478566)","42.3729","-71.0785"
"362","119-135 Harvey Street",,"former Harvey Street Lumber Yard","119-135","Harvey Street","North Cambridge","Young Investments LLC","Complete","2013","New Construction","Planning Board Special Permit","SD-2","PB258","1012188-027999","26517","53035","0.84","Residential","20","2",,"20",,"(42.397724306, -71.133922204)","42.3977","-71.1339"
"367","181 Massachusetts Avenue","Novartis Expansion","","181","Massachusetts Avenue","The Port/Area IV","Novartis","Complete","2015","Addition/Alteration","Planning Board Special Permit","SD-15","PB265","612325-027729","572663","163618","3.5","Office/R&D","46","TBD",,"458",,"(42.3610031341998, -71.095934653)","42.361","-71.0959"
"666","671-675 Concord Avenue","Finch Building","","671-675","Concord Avenue","Cambridge Highlands","HRI","Complete","2020","New Construction","Comprehensive Permit",,"N/A","BLDM-072847-2018","124027","48186","2.89","Residential","98","98",,"67","Includes replacement of commercial structures.","(42.3903269999999, -71.150227)","42.3903","-71.1502"
"340","7 Cameron Avenue","aka 2419 Massachusetts Avenue","former Rounder Record","7","Cameron Avenue","North Cambridge","Oaktree Acorn LLC","Complete","2013","New Construction","Planning Board Special Permit","BA-2","PB239","810310-015541","49993","25997","1.75","Residential","37","4",,"38",,"(42.3978765319998, -71.1302167719999)","42.3979","-71.1302"
"689","85 First Street","Parcel D","","85","First Street","East Cambridge","Urban Spaces LLC","Complete","2019","New Construction","Planning Board Special Permit","IA-1/BA/PUD-4B","PB231A","BLDC-072867-2018","9800","76227","2.35","Retail","0","None",,"11","FAR includes earlier phases at 150 First and 65 Bent Streets and 4 buildings in this phase. Project replaces existing commercial structure.","(42.3682069999998, -71.077741)","42.3682","-71.0777"
"687","3 Brookline Place","Auburn Court Addition","","3","Brookline Place","Cambridgeport","HRI","Complete","2017","New Construction","Comprehensive Permit","CRDD","N/A","BLDM-047719-2016","11025","67745","1.46","Residential","8","8",,"See note","Infill addition to Auburn Court. FAR includes existing development. Parking provided in existing Auburn Court pool.","(42.3612699999998, -71.1032699999999)","42.3613","-71.1033"
"316","124 Rindge Avenue","Phase 2","former St. John's Church","124","Rindge Avenue","North Cambridge","120 Realty Trust","Complete","2014","Addition/Alteration","Planning Board Special Permit","B","PB203","1212050-039665","21189","100068","0.76","Residential","16","2",,"See note","FAR based on Phases 1A, 1B, and 2. Project incldues 97 parking spaces for 63 units across all project phases. Parking in Phase 1A.","(42.391986686, -71.1300457509999)","42.392","-71.13"
"359","60 Acorn Park Drive","200 Discovery Park/Forrester Building","","60","Acorn Park Drive","North Cambridge","Bulfinch Company","Complete","2011","New Construction","Planning Board Special Permit","SD-4","PB198",,"235000","1154420","0.61","Lab/R&D","0","None",,"See note","FAR is for entire Discovery Park development. Parking allocated from Discovery Park inventory.","(42.3982606060001, -71.148749476)","42.3983","-71.1487"
"667","50 York Street","St. Patricks Apartment Replacment","","50","York Street","Wellington Harrington","Just-A-Start","Complete","2019","New Construction","Comprehensive Permit","C-1","N/A","BLDM-065327-2017","22417","32535","0.71","Residential","16","16",,"See note","Replacement of 16 unit affordable residential building destroyed by fire in 2016 under amendment to 1991 comprehensive permit. 28 parking spaces shared across development with other buildings.","(42.3694856515, -71.09197263)","42.3695","-71.092"
"632","1699 Massachusetts Avenue",,"former Changsho Parking Lot","1699","Massachusetts Avenue","Agassiz","Lotus Harvard Enterprise","Complete","2019","New Construction","Board of Zoning Appeals","BA-2/B/NMAOD","N/A","BLDM-055098-2017","29138","13044","2.26","Residential","17","2",,"20","Project includes 16 units in multifamily structure and single famly at rear of parcel. Single family bldg permit in August 2018. Formerly used as parking lot.","(42.383105, -71.1191929999999)","42.3831","-71.1192"
"604","215 Msgr. O'Brien Highway","Fairfield Inn","","215","Msgr. O'Brien Highway","East Cambridge","Pro Con Inc","Complete","2015","New Construction","Large Project Review","SD-1","N/A","BLDC-008152-2013","50368","12478","4.04","Hotel","0","None","123","55",,"(42.3729443633, -71.079677434)","42.3729","-71.0797"
"614","80-90 Fawcett Street","Atmark","","80-90","Fawcett Street","Cambridge Highlands","CCF/O'Connor","Complete","2014","New Construction","Planning Board Special Permit","O-1/AOD-4","PB255","212195-017996","466361","197173","2.37","Residential","429","49",,"402","Project was in two phases with Phase 1 complete in 2013 with 90 units, 10 affordable and all parking.","(42.3912099659998, -71.14594827)","42.3912","-71.1459"
"725","4 Broad Canal Way","NoMA Phase 5","","4","Broad Canal Way","East Cambridge","MIT","Complete","2021","New Construction","Planning Board Special Permit","O-3A, PUD-3","PB302","17488","6418","41536","5.55","Retail","0","None",,"See note","Parking included in other project phases.","(42.363066, -71.0828609999999)","42.3631","-71.0829"
"679","238 Main Street","18 Hayward St/Building 3","","238","Main Street","MIT / Area 2","MIT","Complete","2021","New Construction","Planning Board Special Permit","C-3B MXD/PUD 5","PB303","BLDC-078181-2019","380201","60594","4.48","Office/R&D","0","None",,"See note","Site incorporates existing building at 238 Main Street. Parking at 25 Hayward Street garage. FAR for entire MIT Kendall Square SoMa project area including retained buildings.","(42.362093, -71.084705)","42.3621","-71.0847"
"606","79 JFK Street","Harvard JFK School Expansion","","79","JFK Street","West Cambridge","Harvard University","Complete","2017","Addition","Planning Board Special Permit","C-3","PB293","BLDC-026899-2015","76862","126655","2.51","Institutional","0","None",,"See note","FAR includes existing building on-site. 129 spaces to be allocated from Harvard campus pool.","(42.3709835351998, -71.121744777)","42.371","-71.1217"
"651","425 Massachusetts Avenue","Phase 1/Market Central","","425","Massachusetts Avenue","The Port/Area IV","Watermark Central Venture","Complete","2019","New Construction","Planning Board Special Permit","BB/BA/C-1","PB321","BLDC-071299-2018","132909","38773","6.5","Residential","144","29",,"125","86 parking spaces below grade on-site. 39 off-site at 65 Bishop Allen Dr. 5 spaces for car-sharing. 14,479 GFA retail exempt from FAR. 5 Columbia St. has separate permit. Total project includes 259 units, 45 affordable, and 179,255 SF residential.","(42.3637459999999, -71.100256)","42.3637","-71.1003"
"399","240 Sidney Street","Chroma","","240","Sidney Street","Cambridgeport","Dinosaur Capital","Complete","2016","New Construction","Planning Board Special Permit","SD-8A","PB278","BLDM-018346-2014","96431","54130","1.78","Residential","96","11",,"106",,"(42.3568176774, -71.1059792169999)","42.3568","-71.106"
"363","5 Western Avenue","Multiservice Center","former Police Station","5","Western Avenue","Riverside","Cambridge Housing Authority","Complete","2013","Change of Use","Planning Board Special Permit","BA/CSOD","PB260","312113-044789","59676","12980","4.33","Government","0","None",,"13",,"(42.365315815, -71.105467149)","42.3653","-71.1055"
"404","1868 Massachusetts Avenue","Porter Loft","","1868","Massachusetts Avenue","Neighborhood 9","1868 Mass Ave LLC","Complete","2019","New Construction","Large Project Review","BC/C-1","N/A","BLDC-021553-2014","34848","13325","1.24","Hotel","0","None","50","32","Existing retail building demolished. 47 total on-site spaces include 15 spaces to be used by Lesley University. Was planned for housing.","(42.3878939399998, -71.119704162)","42.3879","-71.1197"
