Last Name ,First Name,Title,Year,Location (Name of Site),Location,Interior/ Exterior ,Category,Police Neighborhood Regions,Police Response Districts,cambridge_neighborhoods,cambridge_cdd_zoning,Census Blocks 2010,cambridge_zipcodes
Hamrol,Lloyd,"""Gate House"" (blue)",1986,"Front Park, between Land Blvd and Cambridge Pkwy",,Exterior ,Sculpture ,,,,,,
Fichter,David,"""Education is Liberation: Rosa Parks""",1985,School/ Graham and Parks School,,Interior ,Mural,,,,,,
Shores,Robin,Untitled (bollard with thinking figure one arm),1981,School/ Longfellow Building,,Exterior ,Sculpture ,,,,,,
Lord,Madeleine,"""Revolutionary Figures"" (three soldiers)",1987,Fort Washington Park,,Exterior ,Sculpture ,,,,,,
Powell,John,"""Dana Park Quotes"" (Binstock)",2007,Dana Park,,Exterior ,Sculpture ,,,,,,
Houck,Lisa,"""This is Where We Saw the Eclipse""",1995,Cambridge Senior Center ,,Interior ,Mural ,,,,,,
Zeigler,Mel,"""Taking Note"" (Movement ""10 Seconds"")",2013,School/ CRLS,,Interior,Sculture,,,,,,
Katayama,Toshihiro,"""Porter Square Landscape Design"" (portrait panel)",2006,Porter Square Plaza,,Exterior ,Sculpture ,,,,,,
Webb,Nancy,Untitled (Insects) (small medallion with flower imagery),1992,Charles Park at Cambridgeside Place and Land Blvd,,Exterior ,Sculpture ,,,,,,
Reimann,William,Untitled (column with red-winged blackbird),1998,Corporal Burns park,,Exterior ,Sculpture ,,,,,,
Webb,Nancy,Untitled (Insects) (small high-relief medallion with earwig),1992,Charles Park at Cambridgeside Place and Land Blvd,,Exterior ,Sculpture ,,,,,,
Kepes,Juliet,"Untitled (round landing bird, 1 left of small bird)",1980,Clarendon Avenue Park,,Exterior ,Sculpture ,,,,,,
Webb,Nancy,Untitled (Insects) (small high-relief medallion with ladybug),1992,Charles Park at Cambridgeside Place and Land Blvd,,Exterior ,Sculpture ,,,,,,
Reimann,William,Untitled (column with canada goose),1998,Corporal Burns park,,Exterior ,Sculpture ,,,,,,
Harries/Heder ,"Mags, Lajos",“Drawn Water” (valve plate at CRLS),2002,School/ Cambridge Ringe & Latin High School,,Exterior,Sculpture ,,,,,,
Taho,Ritsuko,"""Multicultural Manifestoes"" (small column on island, NW on Magazine St near intersection)",1997,"Carl Barron Plaza, Central Square",,Exterior ,Sculpture ,,,,,,
Rosenberg,Lilli Ann,"""Celebrating the Marshland"" (seagull)",1982,Library/ Central Square,,Exterior ,Sculpture ,,,,,,
Glier,Michael,"""Town Green"" (3rd floor East wal, next to reception deskl)",2004,City Hall Annex,,Interior ,Mural ,,,,,,
Mandel,Mike,"""Sidewalk Histories"" (Simplex)",2010,Brookline Street ,,Exterior ,Sculpture ,,,,,,
Coogan,Jay,"""Stop-Action-Frieze"" (blue figure running w/ red soccer ball)",1997,"Frisoli Youth Center, interior",,Interior ,Sculpture ,,,,,,
Simun,Konstantin,"""Fokin Memorial""",2001,One Brattle Square,,Exterior ,Sculpture ,,,,,,
"Reynolds, Helmuth","Jock, Suzanne","""Vellucci Plaza Design""",2006,"Vellucci Plaza, Inman Square",,Exterior ,Sculpture ,,,,,,
Houck,Lisa,"""One Seasonal Cycle in a Temperate Zone"" (winter)",1995,Cambridge Senior Center ,,Interior ,Mural ,,,,,,
Judelson,David,Untitled (Pearl St entrance),1979,Library/ Central Square ,,Exterior ,Sculpture ,,,,,,
Pinto,Jody,"""New Palmer""",2008,Palmer St. Harvard Square,,Exterior ,Sculpture ,,,,,,
Kepes,"Gyorgy, Juliet","""Owls"" (yellow background)",1958,School/ Morse ,,Interior,Sculpture ,,,,,,
Coogan,Jay,Untitled (sleeping white cat),2005,"Donnelly Field, Frisoli Youth Center",,Exterior ,Sculpture,,,,,,
Fair,Tory,"""Hopscotch""",2007,Greene-Rose Heritage Park,,Exterior ,Sculpture ,,,,,,
Webb,Nancy,Untitled (Insects) (1 of 2 casts of small oval high-relief medallion with insect),1992,Charles Park at Cambridgeside Place and Land Blvd,,Exterior ,Sculpture ,,,,,,
Cauthen,Gene,"""Park Bench Group""",1985,Columbia Street at Pine Street Tot Lot,,Exterior ,Sculpture ,,,,,,
Wainwright,William,"""Never Green Tree""",1987,Lechmere Canal Park,,Exterior ,Sculpture ,,,,,,
Levine,Edward,"""Floating Stones""",1992,Roethlisberger Park,,Exterior ,Sculpture ,,,,,,
Harries/Heder,"Mags, Lajos",“Drawn Water” (cast iron pipe and framing circle),2002,Water Purification Facility Walter Sullivan Water Facility,,Exterior ,Sculpture ,,,,,,
Zeigler,Mel,"""Taking Note"" (Salsa Sidestep)",2013,School/ CRLS,,Interior,Sculture,,,,,,
Phillips,David,"""Stone Work""",1980,Riverside Press Park,,Exterior ,Sculpture ,,,,,,
Zeigler,Mel,"""Taking Note"" (Heat Transfer)",2013,School/ CRLS,,Interior,Sculture,,,,,,
Taho,Ritsuko,"""Multicultural Manifestoes"" (small column on island, S on Mass Ave near T entrance)",1997,"Carl Barron Plaza, Central Square",,Exterior ,Sculpture ,,,,,,
Webb,Nancy,Untitled (Insects) (large medallion with flower imagery),1992,Charles Park at Cambridgeside Place and Land Blvd,,Exterior ,Sculpture ,,,,,,
Davis,Taylor,"""Bus Shelter""",2006,"Russell Field, Rindge Ave",,Exterior ,Sculpture,,,,,,
Galston,Beth,"""Shadow Walk"" (formerly ""Sun Arc"")",1984/1996,Greene-Rose Heritage Park,,Exterior ,Sculpture ,,,,,,
Powell,John,"""Dana Park Quotes"" (Allston)",2007,Dana Park,,Exterior ,Sculpture ,,,,,,
Phillips,David,"""Levitated Stone"" (1 large frog bronze)",2004,Dana Park,,Exterior ,Sculpture ,,,,,,
Judelson,David,"""Brickworker and Ballplayer"" (brickworker)",1983,Rindge Field,,Exterior ,Sculpture ,,,,,,
Coogan,Jay,"""Stop-Action-Frieze"" (blue figure reaching up)",1997,"Frisoli Youth Center, interior",,Interior ,Sculpture ,,,,,,
O'Neil,Nancy,"Untitled (level 3-4 right, 4 keys, Astrolabe, and computers)",1996,School/ Baldwin,,Interior ?,Sculpture ,,,,,,
Baring-Gould,Laura,"""Water For All"" (community garden)",2013,Neville Manor Community Gardens,,Exterior,Sculpture,,,,,,
Gillick,Liam,"""The Librarian Speaks""",2009,Library/ Cambridge Main Public Library  ,,Exterior ,Sculpture,,,,,,
O'Neil,Nancy,"Untitled (level sub-1 right, flying dove and Algonquian wampum belt)",1996,School/ Baldwin,,Interior ?,Sculpture ,,,,,,
Webb,Nancy,Untitled (Insects) (small medallion with flower imagery),1992,Charles Park at Cambridgeside Place and Land Blvd,,Exterior ,Sculpture ,,,,,,
Kepes,"Gyorgy, Juliet","""Owls"" (blue background)",1958,School/ Morse ,,Interior,Sculpture ,,,,,,
Coogan,Jay,"""Stop-Action-Frieze"" (red figure at blue dance barre)",1997,"Frisoli Youth Center, interior",,Interior ,Sculpture ,,,,,,
Reimann,William,Untitled (column with cardinal),1998,Corporal Burns park,,Exterior ,Sculpture ,,,,,,
Harries/Heder ,"Mags, Lajos",“Drawn Water” (valve plate at Cambridgeport School),2002,School/ Cambridgeport Elementary School,,Exterior,Sculpture ,,,,,,
Gunther,Virgina,"""Flag Gate""",1997,Minuteman Commuter Bikeway entrance (Alewife),,Exterior ,Sculpture ,,,,,,
Reimann,William,Untitled (Dudley St. East column),2000,Reverend Thomas J. Williams Park,,Exterior ,Sculpture ,,,,,,
Reimann,William,Untitled (column with black capped chickadee),1998,Corporal Burns park,,Exterior ,Sculpture ,,,,,,
Harries/Heder ,"Mags, Lajos",“Drawn Water” (valve plate at Fletcher Maynard Academy),2002 (replaced in 2008),School/ Fletcher-Maynard Elementary Academy,,Exterior,Sculpture ,,,,,,
Webb,Nancy,Untitled (Insects) (small sculpture of insect),1992,Charles Park at Cambridgeside Place and Land Blvd,,Exterior ,Sculpture ,,,,,,
Coogan,Jay,"""Stop-Action-Frieze"" (red figure playing boardgame w/ blue board)",1997,"Frisoli Youth Center, interior",,Interior ,Sculpture ,,,,,,
Webb,Nancy,Untitled (Insects) (small medallion with flower imagery),1992,Charles Park at Cambridgeside Place and Land Blvd,,Exterior ,Sculpture ,,,,,,
Coogan,Jay,"""Stop-Action-Frieze"" (blue figure w/ braid running)",1997,"Frisoli Youth Center, interior",,Interior ,Sculpture ,,,,,,
Phillips,David,"""Beach Fragments"" (stones & music staff)",1986,Lechmere Canal Park,,Exterior ,Sculpture ,,,,,,
Dorrien,Carlos,"""Alewife Portals"" (proper left, closer to Alewife Station Access Rd)",1997,Minuteman Commuter Bikeway (Alewife),,Exterior ,Sculpture ,,,,,,
Houck,Lisa,"""Scientific Observations of the Square""",1995,Cambridge Senior Center,,Interior ,Sculpture,,,,,,
McKie,Judy ,“Alley Cats” (back),2005,Library/ Valente Garden,,Exterior ,Sculpture ,,,,,,
O'Neil,Nancy,"Untitled (level 2-3 left, night heron and animal tracks)",1996,School/ Baldwin,,Interior ?,Sculpture ,,,,,,
Conley,Alston,"""Room of Maps""",1983,School/ Longfellow ,,Interior ,Mural,,,,,,
Uchida,Bart,"""Rose Arbor""",2004,Squirrel Brand Park,,Exterior ,Sculpture ,,,,,,
Glier,Michael,"""Town Green"" (1st floor South wall)",2004,City Hall Annex,,Interior ,Mural ,,,,,,
Webb,Nancy,Untitled (Insects) (small medallion with flower imagery),1992,Charles Park at Cambridgeside Place and Land Blvd,,Exterior ,Sculpture ,,,,,,
Hurley,Arnold,"""Project Adventure""",1983,School/ Fletcher-Maynard Academy ,,Interior ,Mural,,,,,,
Driscoll,Ellen,"""Filament/Firmament"" (upper level, glass & woven cables)",2010,Library/ Cambridge Main Public Library  ,,Interior ,Sculpture ,,,,,,
Selvage,Nancy,"""Water Wall""",2007,Trolley Square,,Exterior ,Sculpture ,,,,,,
Ryerson,Mitch,"""Front Desk""",1988,Library/ Boudreau Branch,,Interior ,Sculpture ,,,,,,
Reimann,William,Untitled (Norris St. West column),2000,Reverend Thomas J. Williams Park,,Exterior ,Sculpture ,,,,,,
Thurston,Randal,"""Yerxa Road Underpass"" (South side birds)",2006,Yerxa Road Underpass (under Fitchburg commuter rail line),,Exterior ,Sculpture ,,,,,,
Katayama,Toshihiro,"""Porter Square Landscape Design"" (long wall panel)",2006,Porter Square Plaza,,Exterior ,Sculpture ,,,,,,
Rosenberg,Lilli Ann,"""Celebrating the Marshland""",1982,Library/ Central Square,,Exterior ,Sculpture ,,,,,,
Webb,Nancy,Untitled (Insects) (small sculpture of insect on a leaf),1992,Charles Park at Cambridgeside Place and Land Blvd,,Exterior ,Sculpture ,,,,,,
Lichtman,Linda,Untitled,1980,Library/ Central Square Branch Library,,Interior,Sculpture,,,,,,
Webb,Nancy,Untitled (Insects) (small medallion with butterly hovering over mum flower),1992,Charles Park at Cambridgeside Place and Land Blvd,,Exterior ,Sculpture ,,,,,,
Webb,Nancy,Untitled (Insects) (small medallion with flower imagery),1992,Charles Park at Cambridgeside Place and Land Blvd,,Exterior ,Sculpture ,,,,,,
Coogan,Jay,"""Stop-Action-Frieze"" (yellow figure w/ green paddle)",1997,"Frisoli Youth Center, interior",,Interior ,Sculpture ,,,,,,
Mandel,Mike,"""Sidewalk Histories"" (Tom & Joe)",2010,Brookline Street ,,Exterior ,Sculpture ,,,,,,
Taho,Ritsuko,"""Multicultural Manifestoes"" (small column on island, N on Mass Ave near intersection)",1997,"Carl Barron Plaza, Central Square",,Exterior ,Sculpture ,,,,,,
Coogan,Jay,"""Stop-Action-Frieze"" (blue figure in black wheelchair w/ green ball)",1997,"Frisoli Youth Center, interior",,Interior ,Sculpture ,,,,,,
Phillips,David,"""Spiral"" (boulder with bronze spiral and inlay)",1997,Quincy Square,,Exterior ,Sculpture ,,,,,,
Phillips,David,"""Beach Fragments"" (hexagon)",1986,Lechmere Canal Park,,Exterior ,Sculpture ,,,,,,
Cauthen,Gene,"""Pole Climbers""",1986,Columbia Street Park Clement Morgan Park,,Exterior ,Sculpture ,,,,,,
Turre,Michele,"""Cambridge and its Watershed""",1983,Cambridge Water Department Office,,Interior ,Mural,,,,,,
Webb,Nancy,Untitled (Insects) (small high-relief medallion with 2 ants),1992,Charles Park at Cambridgeside Place and Land Blvd,,Exterior ,Sculpture ,,,,,,
Reimann,William,Untitled (ground paver with turtles),1998,Corporal Burns park,,Exterior ,Sculpture ,,,,,,
Zeigler,Mel,"""Taking Note"" (Path)",2013,School/ CRLS,,Interior,Sculture,,,,,,
Harries/Heder ,"Mags, Lajos",“Drawn Water” (valve plate at Tobin School),2002,School/ Tobin Montessori Elementary School,,Exterior,Sculpture ,,,,,,
Rosenberg,Lilli Ann,Untitled (boy with hat),1995,School/ Haggerty,,Interior ,Sculpture ,,,,,,
Rosenberg,Lilli Ann,Untitled (square Eclipse),1995,School/ Haggerty,,Interior,Sculpture,,,,,,
Harries/Heder ,"Mags, Lajos",“Drawn Water” (valve plate at Andrew Peabody School),2002,School/ Andrew Peabody Elementary School,,Exterior,Sculpture ,,,,,,
Webb,Nancy,Untitled (Insects) (large medallion with dandelions and insects),1992,Charles Park at Cambridgeside Place and Land Blvd,,Exterior ,Sculpture ,,,,,,
Judelson,David,Untitled (interior lobby),1979,Library/ Central Square ,,Interior ,Sculpture ,,,,,,
Kepes,Gyorgy,"""Geometric Pattern""",1957,School/ Morse ,,Interior ,Sculpture ,,,,,,
Thurston,Randal,"""Yerxa Road Underpass"" (North side birds)",2006,Yerxa Road Underpass (under Fitchburg commuter rail line),,Exterior ,Sculpture ,,,,,,
Glier,Michael,"""Town Green"" (2nd floor West wall)",2004,City Hall Annex,,Interior ,Mural ,,,,,,
Powell,John,"""Dana Park Quotes"" (Orne)",2007,Dana Park,,Exterior ,Sculpture ,,,,,,
Kepes,Juliet,Untitled (owl),1980,Clarendon Avenue Park,,Exterior ,Sculpture ,,,,,,
Webb,Nancy,Untitled (Insects) (small medallion with flower imagery),1992,Charles Park at Cambridgeside Place and Land Blvd,,Exterior ,Sculpture ,,,,,,
Katayama,Toshihiro,"""Porter Square Landscape Design"" (landscape panel)",2006,Porter Square Plaza,,Exterior ,Sculpture ,,,,,,
Coogan,Jay,Untitled (running black cat),2005,"Donnelly Field, Frisoli Youth Center",,Exterior ,Sculpture,,,,,,
Bell,Roberley,"""Here and There"" (""c"" curve gourd)",2008,Costa Lopez Taylor Park and Community Garden,,Exterior ,Sculpture ,,,,,,
Mandel,Mike,"""Sidewalk Histories"" (Clark & Sons)",2010,Brookline Street ,,Exterior ,Sculpture ,,,,,,
Powell,John,"""Dana Park Quotes"" (Bergman)",2007,Dana Park,,Exterior ,Sculpture ,,,,,,
Galvez,Daniel,"""Crossroads""",1986,Pearl Street Parking Garage,,Exterior ,Mural,,,,,,
Phillips,David,"""Levitated Stone"" (3 small frog bronzes)",2004,Dana Park,,Exterior ,Sculpture ,,,,,,
Ukeles,Mierle,“Turnaround/Surround” (Galaxy),2001,Danehy Park,,Exterior ,Sculpture ,,,,,,
Hamrol,Lloyd,"""Gate House"" (yellow)",1986,"Front Park, between Land Blvd and Cambridge Pkwy",,Exterior ,Sculpture ,,,,,,
Houck,Lisa,"""One Seasonal Cycle in a Temperate Zone"" (autumn)",1995,Cambridge Senior Center ,,Interior ,Mural ,,,,,,
Simonds,Nancy,"""Beacon of Color""",2011,First Street Garage,,Exterior ,Mural,,,,,,
Reimann,William,Untitled (column with kingfisher),1998,Corporal Burns park,,Exterior ,Sculpture ,,,,,,
Webb,Nancy,Untitled (Insects) (small sculpture of large insect),1992,Charles Park at Cambridgeside Place and Land Blvd,,Exterior ,Sculpture ,,,,,,
Jonas ,"Paul, Ramirez","""Taylor Square""",2005,Taylor Square,,Exterior ,Sculpture ,,,,,,
Katayama,Toshihiro,"""Porter Square Landscape Design"" (boulders)",2006,Porter Square Plaza,,Exterior ,Sculpture ,,,,,,
Webb,Nancy,Untitled (Insects) (small medallion with insect on blade of grass),1992,Charles Park at Cambridgeside Place and Land Blvd,,Exterior ,Sculpture ,,,,,,
Reimann,William,Untitled (column with black crown night heron),1998,Corporal Burns park,,Exterior ,Sculpture ,,,,,,
Reimann,William,Untitled (column with least tern),1998,Corporal Burns park,,Exterior ,Sculpture ,,,,,,
Reimann,William,Untitled (colulmn with great blue heron),1998,Corporal Burns park,,Exterior ,Sculpture ,,,,,,
Harries/Heder ,"Mags, Lajos",“Drawn Water” (valve plate at Haggerty School),2002,School/ Haggerty Elementary School,,Exterior,Sculpture ,,,,,,
