"fiscal_year","service","department_name","division_name","category","description","amount","fund"
"2023","General Government","Election Commission","Administration","Other Ordinary Maintenance","Professional and Technical Services","98575","General Fund"
"2023","General Government","Election Commission","Administration","Other Ordinary Maintenance","Rentals and Leases","12725","General Fund"
"2023","General Government","Election Commission","Administration","Travel & Training","Travel/Train. (out of State) Sum","1500","General Fund"
"2023","General Government","Employee Benefits","Collective Bargaining","Salaries & Wages","Misc. Additional Comp","141690","General Fund"
"2023","General Government","Employee Benefits","Collective Bargaining","Travel & Training","Judgments","30000","General Fund"
"2023","General Government","Employee Benefits","Insurance","Other Ordinary Maintenance","Administration & Gen Supplies","20000","General Fund"
"2023","General Government","Employee Benefits","Other Post-Employment Benefits","Salaries & Wages","Health Insurance","2000000","General Fund"
"2023","General Government","Executive","Diversity","Salaries & Wages","Temporary Salaries/Wages","20495","General Fund"
"2023","General Government","Executive","Diversity","Other Ordinary Maintenance","Food and Food Service Supplies","5500","General Fund"
"2023","General Government","Executive","Diversity","Other Ordinary Maintenance","Professional and Technical Services","3000","General Fund"
"2023","General Government","Executive","Domestic & Gender-Based Violence Prevention Initiative","Salaries & Wages","Medicare","2040","General Fund"
"2023","General Government","Executive","Domestic & Gender-Based Violence Prevention Initiative","Travel & Training","Travel/Training (in State) Sum.","200","General Fund"
"2023","General Government","Executive","Housing Liaison","Salaries & Wages","Medicare","6010","General Fund"
"2023","General Government","Executive","Housing Liaison","Salaries & Wages","Temporary Salaries/Wages","50000","General Fund"
"2023","General Government","Executive","Leadership","Salaries & Wages","Dental Insurance","13590","General Fund"
"2023","General Government","Executive","Leadership","Salaries & Wages","Pensions","171630","General Fund"
"2023","General Government","Executive","Leadership","Other Ordinary Maintenance","Communication","1950","General Fund"
"2023","General Government","Executive","Leadership","Travel & Training","Dues & Subscriptions","38000","General Fund"
"2023","General Government","Executive","Office of Equity and Inclusion","Salaries & Wages","Dental Insurance","3020","General Fund"
"2023","General Government","Executive","Office of Equity and Inclusion","Other Ordinary Maintenance","Administration & Gen Supplies","1000","General Fund"
"2023","General Government","Executive","Office of Equity and Inclusion","Other Ordinary Maintenance","Professional and Technical Services","250000","General Fund"
"2023","General Government","Executive","Public Information Office","Salaries & Wages","Dental Insurance","6040","General Fund"
"2023","General Government","Executive","Public Information Office","Salaries & Wages","Misc. Additional Comp","10800","General Fund"
"2023","General Government","Executive","Public Information Office","Other Ordinary Maintenance","Communication","161650","General Fund"
"2023","General Government","Executive","Public Information Office","Travel & Training","Dues & Subscriptions","1230","General Fund"
"2023","General Government","Finance","Administration","Salaries & Wages","Dental Insurance","1510","General Fund"
"2023","General Government","Finance","Administration","Salaries & Wages","Misc. Additional Comp","2700","General Fund"
"2023","General Government","Finance","Administration","Other Ordinary Maintenance","Professional and Technical Services","262700","General Fund"
"2023","General Government","Finance","Administration","Travel & Training","Travel/Train. (out of State) Sum","2000","General Fund"
"2023","General Government","Finance","Assessing","Salaries & Wages","Longevity/Salaries & Wages","2000","General Fund"
"2023","General Government","Finance","Assessing","Salaries & Wages","Overtime Salaries/Wages","5000","General Fund"
"2023","General Government","Finance","Assessing","Other Ordinary Maintenance","Communication","12500","General Fund"
"2023","General Government","Finance","Assessing","Travel & Training","Travel/Train. (out of State) Sum","3650","General Fund"
"2023","General Government","Finance","Auditing","Salaries & Wages","Dental Insurance","6040","General Fund"
"2023","General Government","Finance","Auditing","Salaries & Wages","Longevity/Salaries & Wages","2000","General Fund"
"2023","General Government","Finance","Auditing","Salaries & Wages","Pensions","95350","General Fund"
"2023","General Government","Finance","Auditing","Salaries & Wages","Permanent Salaries/Wages","405875","General Fund"
"2023","General Government","Finance","Auditing","Other Ordinary Maintenance","Other Supplies","1400","General Fund"
"2023","General Government","Finance","Budget","Salaries & Wages","Dental Insurance","6040","General Fund"
"2023","General Government","Finance","Budget","Salaries & Wages","Permanent Salaries/Wages","461690","General Fund"
"2023","General Government","Finance","Budget","Other Ordinary Maintenance","Administration & Gen Supplies","3000","General Fund"
"2023","General Government","Finance","Budget","Other Ordinary Maintenance","Food and Food Service Supplies","1250","General Fund"
"2023","General Government","Finance","Budget","Other Ordinary Maintenance","Professional and Technical Services","16100","General Fund"
"2023","General Government","Finance","General Services","Salaries & Wages","Permanent Salaries/Wages","71435","General Fund"
"2023","General Government","Finance","General Services","Other Ordinary Maintenance","Communication","236250","General Fund"
"2023","General Government","Finance","Information Technology","Salaries & Wages","Dental Insurance","54360","General Fund"
"2023","General Government","Finance","Information Technology","Salaries & Wages","Misc. Additional Comp","99685","General Fund"
"2023","General Government","Finance","Information Technology","Other Ordinary Maintenance","Communication","140000","General Fund"
"2023","General Government","Finance","Information Technology","Other Ordinary Maintenance","Professional and Technical Services","627000","General Fund"
"2023","General Government","Finance","Information Technology","Travel & Training","Travel/Training (in State) Sum.","65000","General Fund"
"2023","General Government","Finance","Personnel","Salaries & Wages","Dental Insurance","4530","General Fund"
"2023","General Government","Finance","Personnel","Salaries & Wages","Medicare","2825","General Fund"
"2023","General Government","Finance","Personnel","Salaries & Wages","Pensions","190700","General Fund"
"2023","General Government","Finance","Personnel","Salaries & Wages","Temporary Salaries/Wages","33970","General Fund"
"2023","General Government","Finance","Personnel","Other Ordinary Maintenance","Communication","1300","General Fund"
"2023","General Government","Finance","Personnel","Other Ordinary Maintenance","Other Supplies","2500","General Fund"
"2023","General Government","Finance","Personnel","Other Ordinary Maintenance","Professional and Technical Services","350000","General Fund"
"2023","General Government","Finance","Personnel","Travel & Training","Travel/Train. (out of State) Sum","30000","General Fund"
"2023","General Government","Finance","Purchasing","Salaries & Wages","Health Insurance","223370","General Fund"
"2023","General Government","Finance","Purchasing","Other Ordinary Maintenance","Administration & Gen Supplies","6525","General Fund"
"2023","General Government","Finance","Purchasing","Other Ordinary Maintenance","Other Purchased Services","4000","General Fund"
"2023","General Government","Finance","Purchasing","Travel & Training","Travel/Training (in State) Sum.","1500","General Fund"
"2023","General Government","Finance","Revenue","Salaries & Wages","Longevity/Salaries & Wages","2000","General Fund"
"2023","General Government","Finance","Revenue","Salaries & Wages","Temporary Salaries/Wages","146000","General Fund"
"2023","General Government","Finance","Revenue","Other Ordinary Maintenance","Food and Food Service Supplies","4200","General Fund"
"2023","General Government","Finance","Revenue","Travel & Training","Travel/Train. (out of State) Sum","300","General Fund"
"2023","General Government","Finance","Treasury","Salaries & Wages","Dental Insurance","4530","General Fund"
"2023","General Government","Finance","Treasury","Salaries & Wages","Misc. Additional Comp","8100","General Fund"
"2023","General Government","Finance","Treasury","Salaries & Wages","Pensions","57210","General Fund"
"2023","General Government","Finance","Treasury","Other Ordinary Maintenance","Other Purchased Services","105400","General Fund"
"2023","General Government","Law","Administration","Salaries & Wages","Dental Insurance","25720","General Fund"
"2023","General Government","Law","Administration","Salaries & Wages","Permanent Salaries/Wages","1859060","General Fund"
"2023","General Government","Law","Administration","Other Ordinary Maintenance","Communication","2500","General Fund"
"2023","General Government","Law","Administration","Other Ordinary Maintenance","Repairs and Maint (Supplies)","1700","General Fund"
"2023","General Government","Law","Administration","Travel & Training","Travel/Train. (out of State) Sum","4305","General Fund"
"2023","General Government","Mayor","Administration","Salaries & Wages","Temporary Salaries/Wages","90000","General Fund"
"2023","General Government","Mayor","Administration","Other Ordinary Maintenance","Administration & Gen Supplies","1000","General Fund"
"2023","General Government","Mayor","Administration","Other Ordinary Maintenance","Other Supplies","10000","General Fund"
"2023","General Government","Mayor","Administration","Other Ordinary Maintenance","Professional and Technical Services","10000","General Fund"
"2023","General Government","Public Celebrations","Arts and Culture","Salaries & Wages","Health Insurance","36850","General Fund"
"2023","General Government","Public Celebrations","Arts and Culture","Salaries & Wages","Pensions","19070","General Fund"
"2023","General Government","Public Celebrations","Cambridge Arts Council","Salaries & Wages","Health Insurance","141030","General Fund"
"2023","General Government","Public Celebrations","Cambridge Arts Council","Salaries & Wages","Pensions","114420","General Fund"
"2023","General Government","Public Celebrations","Cambridge Arts Council","Other Ordinary Maintenance","Other Property Related Services","12500","General Fund"
"2023","General Government","Public Celebrations","Cambridge Arts Council","Other Ordinary Maintenance","Professional and Technical Services","253000","General Fund"
"2023","General Government","Public Celebrations","Events","Other Ordinary Maintenance","Administration & Gen Supplies","2550","General Fund"
"2023","General Government","Public Celebrations","Events","Other Ordinary Maintenance","Other Purchased Services","25000","General Fund"
"2023","Public Safety","Animal Commission","Administration","Salaries & Wages","Dental Insurance","1510","General Fund"
"2023","Public Safety","Animal Commission","Administration","Salaries & Wages","Medicare","1570","General Fund"
"2023","Public Safety","Animal Commission","Administration","Salaries & Wages","Overtime Salaries/Wages","6600","General Fund"
"2023","Public Safety","Animal Commission","Administration","Salaries & Wages","Permanent Salaries/Wages","105560","General Fund"
"2023","Public Safety","Animal Commission","Administration","Other Ordinary Maintenance","Repairs and Maint (Supplies)","2100","General Fund"
"2023","Public Safety","Community Safety","Administration","Salaries & Wages","Dental Insurance","9060","General Fund"
"2023","Public Safety","Community Safety","Administration","Salaries & Wages","Pensions","114420","General Fund"
"2023","Public Safety","Community Safety","Administration","Other Ordinary Maintenance","Communication","8150","General Fund"
"2023","Public Safety","Community Safety","Administration","Travel & Training","Dues & Subscriptions","3000","General Fund"
"2023","Public Safety","Electrical","Administration","Salaries & Wages","Dental Insurance","6820","General Fund"
"2023","Public Safety","Electrical","Administration","Salaries & Wages","Medicare","7155","General Fund"
"2023","Public Safety","Electrical","Administration","Salaries & Wages","Misc. Additional Comp","2000","General Fund"
"2023","Public Safety","Electrical","Administration","Salaries & Wages","Temporary Salaries/Wages","64470","General Fund"
"2023","Public Safety","Electrical","Administration","Other Ordinary Maintenance","Communication","6000","General Fund"
"2023","Public Safety","Electrical","Administration","Other Ordinary Maintenance","Other Supplies","500","General Fund"
"2023","Public Safety","Electrical","Administration","Other Ordinary Maintenance","Repairs and Maint (Services)","3000","General Fund"
"2023","Public Safety","Electrical","Administration","Other Ordinary Maintenance","Vehicle Supplies","20275","General Fund"
"2023","Public Safety","Electrical","Administration","Travel & Training","Travel/Train. (out of State) Sum","470","General Fund"
"2023","Public Safety","Emergency Communications","Communications Center","Salaries & Wages","Health Insurance","1055880","General Fund"
"2023","Public Safety","Emergency Communications","Communications Center","Salaries & Wages","Overtime Salaries/Wages","535000","General Fund"
"2023","Public Safety","Emergency Communications","Communications Center","Other Ordinary Maintenance","Professional and Technical Services","33900","General Fund"
"2023","Public Safety","Emergency Communications","Communications Center","Other Ordinary Maintenance","Repairs and Maint (Supplies)","1500","General Fund"
"2023","Public Safety","Emergency Communications","Public Safety IT","Salaries & Wages","Dental Insurance","22650","General Fund"
"2023","Public Safety","Emergency Communications","Public Safety IT","Salaries & Wages","Misc. Additional Comp","40500","General Fund"
"2023","Public Safety","Emergency Communications","Public Safety IT","Other Ordinary Maintenance","Other Property Related Services","21000","General Fund"
"2023","Public Safety","Emergency Communications","Public Safety IT","Other Ordinary Maintenance","Repairs and Maint (Services)","80000","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Dental Insurance","85340","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Dental Insurance","28690","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Dental Insurance","24160","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Dental Insurance","22650","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Health Insurance","565790","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Health Insurance","423860","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Health Insurance","412160","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Health Insurance","366400","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Longevity/Salaries & Wages","243840","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Longevity/Salaries & Wages","235100","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Longevity/Salaries & Wages","244085","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Medicare","30285","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Medicare","28825","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Medicare","30245","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Misc. Additional Comp","1246075","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Misc. Additional Comp","524250","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Misc. Additional Comp","429825","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Misc. Additional Comp","437355","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Overtime Salaries/Wages","55695","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Overtime Salaries/Wages","41720","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Overtime Salaries/Wages","34485","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Overtime Salaries/Wages","62810","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Pensions","768075","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Pensions","525525","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Pensions","687225","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Pensions","687225","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Permanent Salaries/Wages","1342975","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Permanent Salaries/Wages","1384125","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Permanent Salaries/Wages","1432970","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Communication","52000","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Energy","17000","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Energy","61000","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Food and Food Service Supplies","480","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Food and Food Service Supplies","345","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Other Property Related Services","1000","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Other Property Related Services","800","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Other Purchased Services","4000","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Other Purchased Services","250","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Other Supplies","500","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Other Supplies","1460","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Rentals and Leases","247000","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Repairs and Maint (Services)","2000","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Repairs and Maint (Services)","900","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Repairs and Maint (Services)","250","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Repairs and Maint (Supplies)","2500","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Repairs and Maint (Supplies)","1800","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Repairs and Maint (Supplies)","2200","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Repairs and Maint (Supplies)","1300","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Vehicle Supplies","5000","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Vehicle Supplies","1200","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Other Ordinary Maintenance","Vehicle Supplies","2800","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Travel & Training","Judgments","450000","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Extraordinary Expenditures","Additional Equipment","5000","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Extraordinary Expenditures","Additional Equipment","5000","General Fund"
"2023","Public Safety","Inspectional Services","Board of Zoning Appeal","Salaries & Wages","Overtime Salaries/Wages","3000","General Fund"
"2023","Public Safety","Inspectional Services","Board of Zoning Appeal","Other Ordinary Maintenance","Communication","35000","General Fund"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","Salaries & Wages","Dental Insurance","45400","General Fund"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","Salaries & Wages","Misc. Additional Comp","55560","General Fund"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","Other Ordinary Maintenance","Other Supplies","24675","General Fund"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","Travel & Training","Dues & Subscriptions","4225","General Fund"
"2023","Public Safety","Inspectional Services","Weights & Measures","Other Ordinary Maintenance","Communication","1250","General Fund"
"2023","Public Safety","Inspectional Services","Weights & Measures","Other Ordinary Maintenance","Repairs and Maint (Supplies)","625","General Fund"
"2023","Public Safety","License Commission","Administration","Salaries & Wages","Health Insurance","249380","General Fund"
"2023","Public Safety","License Commission","Administration","Salaries & Wages","Pensions","152560","General Fund"
"2023","Public Safety","License Commission","Administration","Other Ordinary Maintenance","Educational Supplies","1000","General Fund"
"2023","Public Safety","License Commission","Administration","Other Ordinary Maintenance","Repairs and Maint (Supplies)","1800","General Fund"
"2023","Public Safety","License Commission","Consumers' Council","Salaries & Wages","Medicare","835","General Fund"
"2023","Public Safety","License Commission","Consumers' Council","Salaries & Wages","Permanent Salaries/Wages","145275","General Fund"
"2023","Public Safety","License Commission","Consumers' Council","Travel & Training","Travel/Train. (out of State) Sum","1500","General Fund"
"2023","Public Safety","Police","Administration","Salaries & Wages","Dental Insurance","7550","General Fund"
"2023","Public Safety","Police","Administration","Salaries & Wages","Longevity/Salaries & Wages","50935","General Fund"
"2023","Public Safety","Police","Administration","Salaries & Wages","Medicare","5120","General Fund"
"2023","Public Safety","Police","Administration","Salaries & Wages","Overtime Salaries/Wages","28900","General Fund"
"2023","Public Safety","Police","Administration","Salaries & Wages","Pensions","411895","General Fund"
"2023","Public Safety","Police","Administration","Other Ordinary Maintenance","Administration & Gen Supplies","19050","General Fund"
"2023","Public Safety","Police","Administration","Other Ordinary Maintenance","Other Property Related Services","600","General Fund"
"2023","Public Safety","Police","Administration","Other Ordinary Maintenance","Professional and Technical Services","8000","General Fund"
"2023","Public Safety","Police","Administration","Other Ordinary Maintenance","Repairs and Maint (Supplies)","43000","General Fund"
"2023","Public Safety","Police","Commissioner's Office","Salaries & Wages","Dental Insurance","4530","General Fund"
"2023","Public Safety","Police","Commissioner's Office","Salaries & Wages","Misc. Additional Comp","6000","General Fund"
"2023","Public Safety","Police","Commissioner's Office","Other Ordinary Maintenance","Food and Food Service Supplies","18000","General Fund"
"2023","Public Safety","Police","Commissioner's Office","Travel & Training","Dues & Subscriptions","25000","General Fund"
"2023","Public Safety","Police","Criminal Investigations","Salaries & Wages","Longevity/Salaries & Wages","635425","General Fund"
"2023","Public Safety","Police","Criminal Investigations","Salaries & Wages","Overtime Salaries/Wages","506350","General Fund"
"2023","Public Safety","Police","Criminal Investigations","Other Ordinary Maintenance","Other Supplies","5600","General Fund"
"2023","Public Safety","Police","Family and Social Justice","Salaries & Wages","Longevity/Salaries & Wages","279115","General Fund"
"2023","Public Safety","Police","Family and Social Justice","Salaries & Wages","Permanent Salaries/Wages","2882885","General Fund"
"2023","Public Safety","Police","Family and Social Justice","Other Ordinary Maintenance","Other Supplies","24650","General Fund"
"2023","Public Safety","Police","Patrol","Salaries & Wages","Dental Insurance","188750","General Fund"
"2023","Public Safety","Police","Patrol","Salaries & Wages","Longevity/Salaries & Wages","1099580","General Fund"
"2023","Public Safety","Police","Planning, Budget & Personnel","Salaries & Wages","Medicare","10190","General Fund"
"2023","Public Safety","Police","Planning, Budget & Personnel","Salaries & Wages","Permanent Salaries/Wages","688600","General Fund"
"2023","Public Safety","Police","Procedural Justice","Salaries & Wages","Dental Insurance","3020","General Fund"
"2023","Public Safety","Police","Procedural Justice","Salaries & Wages","Medicare","4540","General Fund"
"2023","Public Safety","Police","Professional Standards","Salaries & Wages","Health Insurance","186520","General Fund"
"2023","Public Safety","Police","Professional Standards","Salaries & Wages","Medicare","16370","General Fund"
"2023","Public Safety","Police","Professional Standards","Salaries & Wages","Permanent Salaries/Wages","854640","General Fund"
"2023","Public Safety","Police","Tactical Operations","Salaries & Wages","Health Insurance","136630","General Fund"
"2023","Public Safety","Police","Tactical Operations","Other Ordinary Maintenance","Food and Food Service Supplies","5400","General Fund"
"2023","Public Safety","Police","Tactical Operations","Travel & Training","Travel/Train. (out of State) Sum","15000","General Fund"
"2023","Public Safety","Police","Technical Services","Salaries & Wages","Longevity/Salaries & Wages","30745","General Fund"
"2023","Public Safety","Police","Technical Services","Salaries & Wages","Overtime Salaries/Wages","20000","General Fund"
"2023","Public Safety","Police","Traffic Enforcement","Salaries & Wages","Dental Insurance","25670","General Fund"
"2023","Public Safety","Police","Traffic Enforcement","Salaries & Wages","Medicare","33975","General Fund"
"2023","Public Safety","Police","Traffic Enforcement","Salaries & Wages","Pensions","687225","General Fund"
"2023","Public Safety","Police","Traffic Enforcement","Other Ordinary Maintenance","Other Supplies","6500","General Fund"
"2023","Public Safety","Police","Training","Salaries & Wages","Overtime Salaries/Wages","220000","General Fund"
"2023","Public Safety","Police","Training","Salaries & Wages","Temporary Salaries/Wages","600000","General Fund"
"2023","Public Safety","Police","Training","Other Ordinary Maintenance","Other Supplies","117235","General Fund"
"2023","Public Safety","Police Review and Advisory Board","Administration","Other Ordinary Maintenance","Communication","300","General Fund"
"2023","Public Safety","Traffic, Parking and Transportation","Administration","Salaries & Wages","Dental Insurance","6040","Parking Fund"
"2023","Public Safety","Traffic, Parking and Transportation","Administration","Salaries & Wages","Health Insurance","112750","Parking Fund"
"2023","Public Safety","Traffic, Parking and Transportation","Administration","Salaries & Wages","Misc. Additional Comp","10800","Parking Fund"
"2023","Public Safety","Traffic, Parking and Transportation","Administration","Salaries & Wages","Overtime Salaries/Wages","22000","Parking Fund"
"2023","Public Safety","Traffic, Parking and Transportation","Administration","Other Ordinary Maintenance","Administration & Gen Supplies","15750","Parking Fund"
"2023","Public Safety","Traffic, Parking and Transportation","Administration","Other Ordinary Maintenance","Communication","73000","Parking Fund"
"2023","Public Safety","Traffic, Parking and Transportation","Administration","Other Ordinary Maintenance","Other Property Related Services","10000","Parking Fund"
"2023","Public Safety","Traffic, Parking and Transportation","Administration","Other Ordinary Maintenance","Other Supplies","140000","Parking Fund"
"2023","Public Safety","Traffic, Parking and Transportation","Administration","Other Ordinary Maintenance","Repairs and Maint (Services)","2500","Parking Fund"
"2023","Public Safety","Traffic, Parking and Transportation","Administration","Other Ordinary Maintenance","Vehicle Supplies","30000","Parking Fund"
"2023","Public Safety","Traffic, Parking and Transportation","Administration","Travel & Training","Judgments","37000","Parking Fund"
"2023","Public Safety","Traffic, Parking and Transportation","Administration","Travel & Training","Travel/Train. (out of State) Sum","15935","Parking Fund"
"2023","General Government","City Clerk","Administration","Salaries & Wages","Dental Insurance","20510","General Fund"
"2023","Public Safety","Police","Patrol","Salaries & Wages","Overtime Salaries/Wages","908550","General Fund"
"2023","General Government","City Clerk","Administration","Salaries & Wages","Medicare","14595","General Fund"
"2023","General Government","City Clerk","Administration","Salaries & Wages","Misc. Additional Comp","17200","General Fund"
"2023","Public Safety","Police","Patrol","Salaries & Wages","Overtime Salaries/Wages","1365650","General Fund"
"2023","Public Safety","Police","Patrol","Salaries & Wages","Pensions","2461355","General Fund"
"2023","Public Safety","Police","Patrol","Salaries & Wages","Permanent Salaries/Wages","6883405","General Fund"
"2023","General Government","City Clerk","Administration","Other Ordinary Maintenance","Administration & Gen Supplies","17490","General Fund"
"2023","General Government","City Clerk","Administration","Other Ordinary Maintenance","Repairs and Maint (Supplies)","1000","General Fund"
"2023","General Government","City Clerk","Administration","Travel & Training","Dues & Subscriptions","620","General Fund"
"2023","General Government","City Clerk","Administration","Travel & Training","Travel/Training (in State) Sum.","700","General Fund"
"2023","General Government","City Council","Administration","Salaries & Wages","Dental Insurance","25670","General Fund"
"2023","General Government","City Council","Administration","Salaries & Wages","Health Insurance","26080","General Fund"
"2023","General Government","City Council","Administration","Salaries & Wages","Longevity/Salaries & Wages","2000","General Fund"
"2023","General Government","City Council","Administration","Salaries & Wages","Medicare","1765","General Fund"
"2023","General Government","City Council","Administration","Salaries & Wages","Misc. Additional Comp","21600","General Fund"
"2023","General Government","City Council","Administration","Salaries & Wages","Permanent Salaries/Wages","196375","General Fund"
"2023","General Government","City Council","Administration","Other Ordinary Maintenance","Administration & Gen Supplies","9000","General Fund"
"2023","General Government","City Council","Administration","Other Ordinary Maintenance","Food and Food Service Supplies","30000","General Fund"
"2023","General Government","City Council","Administration","Other Ordinary Maintenance","Professional and Technical Services","15000","General Fund"
"2023","General Government","City Council","Administration","Travel & Training","Travel/Training (in State) Sum.","2500","General Fund"
"2023","General Government","Election Commission","Administration","Salaries & Wages","Dental Insurance","1510","General Fund"
"2023","General Government","Election Commission","Administration","Salaries & Wages","Health Insurance","88940","General Fund"
"2023","General Government","Election Commission","Administration","Salaries & Wages","Health Insurance","199490","General Fund"
"2023","General Government","Election Commission","Administration","Salaries & Wages","Medicare","1195","General Fund"
"2023","General Government","Election Commission","Administration","Salaries & Wages","Medicare","950","General Fund"
"2023","General Government","Election Commission","Administration","Salaries & Wages","Misc. Additional Comp","5760","General Fund"
"2023","General Government","Election Commission","Administration","Salaries & Wages","Misc. Additional Comp","8900","General Fund"
"2023","General Government","Election Commission","Administration","Salaries & Wages","Pensions","114420","General Fund"
"2023","General Government","Election Commission","Administration","Salaries & Wages","Permanent Salaries/Wages","160925","General Fund"
"2023","General Government","Election Commission","Administration","Salaries & Wages","Temporary Salaries/Wages","83065","General Fund"
"2023","General Government","Election Commission","Administration","Salaries & Wages","Temporary Salaries/Wages","78245","General Fund"
"2023","General Government","Election Commission","Administration","Other Ordinary Maintenance","Administration & Gen Supplies","6000","General Fund"
"2023","General Government","Election Commission","Administration","Other Ordinary Maintenance","Administration & Gen Supplies","5000","General Fund"
"2023","General Government","Election Commission","Administration","Other Ordinary Maintenance","Administration & Gen Supplies","4000","General Fund"
"2023","General Government","Election Commission","Administration","Other Ordinary Maintenance","Communication","14550","General Fund"
"2023","General Government","Election Commission","Administration","Other Ordinary Maintenance","Communication","41600","General Fund"
"2023","General Government","Election Commission","Administration","Other Ordinary Maintenance","Communication","44600","General Fund"
"2023","General Government","Election Commission","Administration","Other Ordinary Maintenance","Food and Food Service Supplies","150","General Fund"
"2023","General Government","Election Commission","Administration","Other Ordinary Maintenance","Food and Food Service Supplies","300","General Fund"
"2023","General Government","Election Commission","Administration","Other Ordinary Maintenance","Other Property Related Services","300","General Fund"
