"name","street_address","phone","email","website","category","description","identifying_as","year_opened","business_type","nonprofit_status"
"The Little Blue Bakery","30 Cambridgepark Drive","","thelittlebluebakery@gmail.com","https://www.littlebluebakery.com","Restaurants, Bars, Cafes & Caterers","Neighborhood food truck serving delicious sandwiches, coffees, sweets and smiles","Woman","2017","Sole proprietor","For profit"
"Artifact Soapworks","","","info@artifactsoapworks.com","https://www.artifactsoapworks.com","Gift, Novelty & Specialty Goods","Unique vegetarian/vegan artisanal soaps and related bath products.","Black/African/African-American, Multi-racial, Woman","2002","Online, Home-based","For profit"
"Black Sheep Market","101 Magazine Street","617-945-1156","","https://blacksheepbagelcafe.com/market","Specialty Food Stores","A market specializing in locally made foods with fresh pastries and coffee.","Latino/Latina/Latinx, Woman","2021","Brick-and-mortar","For profit"
"BodyZen Muscular Therapy","","617-906-7557","derek@bodyzenmusculartherapy.com","http://www.bodyzenmusculartherapy.com","Acupuncture & Massage","Specifically designed massage therapy to meet clients' needs. Offering sports injury treatment/prevention, pain management alternative, treatment for chronic conditions, and relaxation.","LGBTQ+","2020","Home-based, Sole proprietor","For profit"
"Chipper Confections","","","chipper@charitableconfections.org","https://chipperconfections.storenvy.com/","Arts, Crafts & Maker Spaces","Sugar and chocolate art, classes, and exhibitions for a cause - 5% of all proceeds go to our partners at Pure Water for the World.","Woman","2016","Online, Home-based, Sole proprietor","For profit"
"Equity Intelligence Consulting","","857-251-0843","chris@promotingequity.com","https://www.promotingequity.com","Coaching & Consulting","Equity Intelligence, LLC. is a certified minority-owned business enterprise. We are a boutique professional diversity, equity, and inclusion training consultancy that is passionate about promoting equity in the workforce located in the heart of Kendall Square, Cambridge MA. We tailor solutions for your short - and long-term projects by hiring women and minority professionals to provide direct support and/or training.","Black/African/African-American, Woman","2020","Home-based, Sole proprietor","For profit"
"Fresh Pond Ballet","","","ninaralonso@gmail.com","https://www.freshpondballet.com","Dance Companies & Studios","Classical ballet studio","Woman","1987","Home-based","For profit"
"Helen Kobek, Accent Modification","","617-492-2340","helenkobek1@gmail.com","https://helenkobek.com","Education & Tutoring","Accent modification for non-native English speakers, and for native English speakers who want to change a regional accent.","Woman","2000","Online, Home-based, Sole proprietor","For profit"
"Joyce Singer Licensed Acupuncturist","","617-653-7275","joycepsinger@gmail.com","https://joycepsinger.com","Acupuncture & Massage","I've been in private practice in Cambridge MA for 40+ years.  I studied with Dr. James Tin Yau So and Ted Kaptchuk. I am licensed by the Board of Registration in Medicine as a Licensed Acupuncturist (MA) and a member of our state organization, Acupuncture Society of Massachusetts (ASM).","Woman","1980","Brick-and-mortar, Home-based, Sole proprietor","For profit"
"Little Star of Ours Daycare","","857-242-1813","littlestarofours@gmail.com","https://LittleStarofOurs.com","Education & Tutoring","Little Star of Ours daycare provides the highest quality of childcare for Infants, Toddlers, and Preschoolers. Our mission at Little Star of Ours is to provide a safe, loving, and nurturing environment where each child is welcomed into our family. In addition, we proudly foster a multicultural environment with bilingual educators and Spanish immersion.","Latino/Latina/Latinx, Woman","2016","Home-based","For profit"
"Mona Lisa Pizza & Grill","1621 Cambridge Street","617-491-1888","monalisapizza3@gmail.com","https://www.monlisacambridge.com","Restaurants, Bars, Cafes & Caterers","Takeout and delivery Italian food","Egyptian",,"Brick-and-mortar","For profit"
"New Chapter Home Improvement LLC","","617-299-2229","info@newchapterhi.com","https://www.newchapterhi.com","Construction & Home Improvement","We specialize in commercial, industrial and residential painting, property maintenance, and federal contracts.","Black/African/African-American, Woman","2013","Sole proprietor","For profit"
"Nomad","1771 Massachusetts Avenue","617-497-6677","nomadcambridge@mac.com","https://www.nomadcambridge.com","Clothing Stores & Fashion","Boutique offering clothing, jewelry, home goods, folk art, gifts from around the world and around the corner.","Woman","1990","Brick-and-mortar, Online","For profit"
"O Positive Coaching & HR Services, LLC","","","contact@opositivecoach.com","https://opositivecoach.com","Coaching & Consulting","Executive and career coaching for senior leaders and professionals in biotech/pharma, healthcare, higher ed, and tech.","Asian/Asian-American, Woman","2011","Online","For profit"
"Pita Cambridge","12 Springfield Street","617-945-1214","pitacambridge@gmail.com","https://www.pitacambridge.com","Restaurants, Bars, Cafes & Caterers","Serving fresh, authentic Mediterranean and Moroccan food cooked-to-order","Moroccan",,"Brick-and-mortar, Online","For profit"
"Rachel Tine Photography","","617-299-0062","racheltine@gmail.com","https://www.racheltinephotography.com","Photographers","Providing artistic photography with a smile","LGBTQ+, Woman","2012","Sole proprietor","For profit"
"Serene Earth Acupuncture","47 Third Street, Suite 2F","781-366-0881","info@sereneearth.com","https://sereneearth.com","Acupuncture & Massage","Acupuncture services for the relief of pain and anxiety","Asian/Asian-American, Woman","2011","Brick-and-mortar","For profit"
"Spira Yoga Shala","","","info@spirayogashala.com","https://www.spirayogashala.com","Yoga & Pilates Studios","Learn to heal from trauma, chronic stress, and how to develop a self-care routine for yourself.","LGBTQ+, Woman","2020","Online, Home-based, Sole proprietor","For profit"
"Tamaryn Design","","","info@tamaryndesign.com","https://tamaryndesign.com","Arts, Crafts & Maker Spaces","Textile/fashion designer using sustainable and reclaimed materials, natural dyes and textiles.","Woman","2015","Online, Home-based, Sole proprietor","For profit"
"Untangle Your Money, LLC","","","hello@untangleyourmoney.com","https://untangleyourmoney.com","Finance & Financial Planning","Untangle Your Money provides compassionate and judgement-free financial coaching services, without financial jargon. Financial coaching focuses on finance fundamentals — budgeting, cash flow, and setting financial goals such as paying down debt or saving up for a big goal. If your money is making you feel overwhelmed, daunted, confused, frustrated, worried, or ashamed, then let us be your guide and help you get organized in a way that is sustainable and customized to you!","Woman","2021","Online, Home-based, Sole proprietor","For profit"
"Headlines Unisex Barbershop","1111 Cambridge Street","617-945-1469","Lance.Woodson75@gmail.com","https://www.headlinesunisexbarbershop.com/","Hair, Nail & Skin Care Services","A modern unisex barbershop located in Cambridge, MA","Black/African/African-American","2016","Brick-and-mortar","For profit"
"Messenger Express, Inc.","45 Prospect Street","617-388-2026","messengerexpress617@mail.com","https://www.messengerexpress.net","Courier, Shipping & Delivery Services","Pickup and Delivery Services, Open 24/7, 365 days a year. Same day delivery.","Black/African/African-American","1984","Sole proprietor","For profit"
"Amaya Bros Comics","357 Cambridge Street","617-714-4108","Amayabroscomics@gmail.com","https://amayabroscomics.com/","Gift, Novelty & Specialty Goods","the Amaya Bros. Comics store hopes to bring both comics, sports memorabillia, and trading card supplies to the Cambridge and Greater Boston area.","Latino/Latina/Latinx, Portuguese Descent (Azores, Brazil, Cape Verde, Madeira, Portugal)","2021","Brick-and-mortar, Online","For profit"
"Cambridge Naturals","23 White Street","617-492-4452","","https://www.cambridgenaturals.com","Specialty Food Stores","We offer a curated selection of delightful products including supplements, body care, specialty + organic groceries, bulk herbs and spices and other zero waste goods, and so much more!","Woman","1974","Brick-and-mortar, Online","For profit"
"Neetu Singhal","2 Carver Street","339-970-1603","neetusinghal2023@gmail.com","https://www.neetusinghal.com","Arts, Crafts & Maker Spaces","Painting, jewelry, and sculpture","Asian/Asian-American","2021","Online","For profit"
"Sorensen Partners | Architects + Planners, Inc.","","617-299-9401","info@sorensenpartners.com","https://www.sorensenpartners.com","Architectural & Engineering Services","Working with dynamic institutions to define, plan, and design facilities that build culture.","Latino/Latina/Latinx, Woman","2012","Brick-and-mortar, Online","For profit"
"New England Pet Company","","617-721-2213","newenglandpet@gmail.com","https://www.nepets.net","Pet Care Services & Goods","Dog walking and home pet care","Woman","2015","Sole proprietor","For profit"
"Diversity Development","321A Western Avenue","617-319-1202","rcheek@diversitydevelopment.com","https://www.diversitydevelopment.com/","Coaching & Consulting","Develops diversity and inclusion plans for projects, businesses, and government","American Indian/Alaska Native, Black/African/African-American, Latino/Latina/Latinx, Indigenous","1998","Brick-and-mortar, Online, Sole proprietor","For profit"
"Ali Mischke, BCSI, RYT","2464 Massachusetts Avenue, Suite 315A","617-257-6857","ali.mischke@yahoo.com","https://www.ambodyboston.com","Medical Practitioners & Health Organizations","Structural Integration with Ali Mischke. Helping you find ease, power, and playfulness in your body and mind.","LGBTQ+, Woman","2011","Sole proprietor","For profit"
