"department","subject","contents","url","timestamp"
"Community Services","New Adoption Records Privacy Tool Now Available","COMMUNITY SERVICES--New Adoption Records Privacy Tool Now Available
----------------------------------------------------
Adoptions can be an emotional, sensitive issue. People who have been adopted or birth parents may want to control how their identifying information is shared or may wish to protect their adoption record information.

To help people protect or control their private information, a new web portal is now available for filling out disclosure vetoes and contact notices with the Province’s Disclosure Program. The website also has printable versions of the forms to download, fill out and send through email or regular mail.

“We want people who wish to protect their privacy to have a choice of how they use the privacy tools,” said Karla MacFarlane, Minister of Community Services. “Recognizing that this is a deeply personal and emotional matter, Disclosure Program staff are also available to discuss options with anyone impacted by the new legislation. I encourage Nova Scotians to reach out with questions or concerns or just to talk it through.”

A disclosure veto is a document stating an adopted person or a birth parent does not wish to share information that can identify them. A contact notice lets people share information that can identify them and set parameters around if or how they choose to be contacted.

New legislation that takes effect this spring will allow adopted children, once they turn 19, and birth parents to access adoption information if they want to. The change will apply to all adoption records. It is important to note that under the new legislation, people who have previously indicated they want to keep their information private are still required to fill out a privacy tool.

Quotes:
 “We are excited about the potential of the online adoption disclosure tool. This will give adoptees, birth parents and families impacted by adoption another avenue to access important information. We continue to be excited about the steps taken to modernize the disclosure system here in Nova Scotia and this will have a positive impact on many people.”
     - Scott Pyke, Administrator, Nova Scotia Adoptee Advocacy Group

Additional Resources:
The Adoption Records Act:
https://nslegislature.ca/sites/default/files/legc/PDFs/annual%20statutes/2021%20Spring/c001.pdf

More information on the changes to accessing adoption records is available at: https://novascotia.ca/adoption-records-changes/

Adopted people, birth parents and others affected by the changes can get more information or file a disclosure veto or contact notice by contacting the Disclosure Program: 902-424-2755 / 1-833-424-2755 (toll-free) / disclosureprogram@novascotia.ca / Disclosure Program, 2131 Gottingen Street - 3rd Floor, Halifax, NS B3K 5Z7

-30-

Media Contact: Christina Deveau
               Cell: 902-456-8798
               Email: Christina.Deveau@novascotia.ca","https://novascotia.ca/news/release/?id=20220120001","2022-01-20T09:56:00.000"
"COVID - 19 / Seniors and Long-Term Care","Postes rémunérés à court terme à pourvoir immédiatement dans le domaine des soins de longue durée","COVID-19/AÎNÉS ET SOINS DE LONGUE DURÉE-- Postes rémunérés à court terme à pourvoir immédiatement dans le domaine des soins de longue durée  
----------------------------------------------------------
On demande aux travailleurs de la santé qui ne font pas partie de la population active à l'heure actuelle de pourvoir à des postes dans les établissements de soins de longue durée en raison des pénuries de main-d'oeuvre causée par la pandémie de COVID-19 et les postes vacants.

« Nos employés ont fait un travail incroyable et de grands sacrifices au cours des 20 derniers mois, affirme Barbara Adams, ministre des Aînés et des Soins de longue durée. Ils méritent plus que notre respect. Ils méritent un répit des heures supplémentaires et des congés annulés, et nos proches méritent de recevoir des soins de personnes qui ne sont pas poussés au-delà de leurs capacités pour offrir des soins. »

Des postes temporaires à court et à long termes sont à pourvoir maintenant. 

L'organisme Health Association Nova Scotia fait partenariat avec le ministère des Aînés et des Soins de longue durée pour recruter des gens qui disposent des compétences et de la formation nécessaires et qui sont à la retraite ou qui ne travaillent pas actuellement dans le secteur, ainsi que des gens qui travaillent à temps partiel qui souhaitent travailler à temps plein de façon temporaire.
 
Les établissements de soins de longue durée partout dans la province ont besoin de travailleurs de la santé, y compris des auxiliaires en soins continus, des infirmières autorisées, des infirmières auxiliaires autorisées, des ergothérapeutes et des physiothérapeutes. 

Health Association Nova Scotia coordonne les efforts au nom des établissements et du gouvernement. Pour en savoir plus et pour présenter une demande d'emploi, consultez le http://www.healthassociation.ns.ca/sites/base/pages/continuingcarerecruitment (en anglais seulement) . Chaque personne qui présente une demande recevra un appel de suivi de l'organisme. 

Faits en bref
-- Les postes à court terme sont financés grâce aux postes actuellement vacants dans le système des soins continus. 
-- Les efforts de recrutement de nouveaux employés et d'appui aux employés actuels sont financés dans le cadre d'une stratégie générale de 57 millions de dollars visant à trouver des solutions et à renforcer la main-d'oeuvre dans le secteur des soins continus.

Ressources supplémentaires 

Communiqué de presse sur l'investissement dans le secteur des soins continus : https://novascotia.ca/news/release/?id=20211208001

Document intitulé « A Healthy Nova Scotia: Solutions for Continuing Care » : https://beta.novascotia.ca/documents/improving-continuing-care-investments-support-workers-and-expand-care-seniors (en anglais seulement)

Lettre de mandat de la ministre des Aînés et des Soins de longue durée : https://novascotia.ca/exec_council/letters-2021/ministerial-mandate-letter-2021-SLTC.pdf (en anglais seulement)  

-30-

Renseignements : Ligne médias – COVID-19 
                 902-424-3310
                 COVID19media@novascotia.ca","https://novascotia.ca/news/release/?id=20220119007","2022-01-19T15:09:00.000"
"COVID - 19 / Seniors and Long-Term Care","Short-Term Paid Positions Available Immediately in Long-Term Care","COVID-19/SENIORS/LONG-TERM CARE--Short-Term Paid Positions Available Immediately in Long-Term Care
---------------------------------------------------------
Healthcare workers not currently in the workforce are being asked to fill positions in long-term care facilities to address staffing shortages caused by the COVID-19 pandemic and ongoing vacancies.

“Our workers have done a tremendous job and sacrificed so much over the past 20 months,” said Seniors and Long-Term Care Minister Barbara Adams. “They deserve more than our respect. They deserve relief from overtime and cancelled days off, and our loved ones deserve to be served by people who are not stretched beyond their capacity to provide care.”

Temporary, short-term and long-term paid positions are available now.

Health Association Nova Scotia is partnering with the Department of Seniors and Long-Term Care to recruit people with needed skills and training who are retired or not currently working in the sector, as well as those who are working on a part-time basis and can move to full-time hours on a temporary basis.

Long-term care facilities in communities throughout the province are looking for healthcare workers, including continuing care assistants, registered nurses, licensed practical nurses, occupational therapists and physiotherapists.

Health Association Nova Scotia is co-ordinating the effort on behalf of facilities and the government. More information, including how to apply, is available at: https://www.healthassociation.ns.ca/sites/base/pages/continuingcarerecruitment . All applicants will receive a follow-up call from the association.

Quick Facts:
-- the short-term positions are being funded through current vacancies in the continuing care system
-- efforts to recruit new staff and support current staff are being done through a broad $57 million strategy to find solutions and build a larger workforce for the continuing care sector

Additional Resources:
News release on $57 million investment in continuing care sector: https://novascotia.ca/news/release/?id=20211208001

The overview document A Healthy Nova Scotia: Solutions for Continuing Care is available at: https://beta.novascotia.ca/documents/improving-continuing-care-investments-support-workers-and-expand-care-seniors

Mandate letter of the Minister of Seniors and Long-Term Care: https://novascotia.ca/exec_council/letters-2021/ministerial-mandate-letter-2021-SLTC.pdf

-30-

Media Contact: COVID-19 Media Line
               902-424-3310
               Email: COVID19media@novascotia.ca","https://novascotia.ca/news/release/?id=20220119006","2022-01-19T15:08:00.000"
"Health and Wellness / COVID - 19","11 nouvelles hospitalisations, cinq congés, trois décès","COVID-19/SANTÉ ET MIEUX-ÊTRE--11 nouvelles hospitalisations, cinq congés, trois décès  
----------------------------------------------------------------
Aujourd'hui 19 janvier, la Nouvelle-Écosse signale que 11 personnes supplémentaires ont été hospitalisées et cinq personnes ont reçu leur congé de l'hôpital.

La Nouvelle-Écosse signale également trois décès liés à la COVID-19 :
-- un homme dans la soixantaine dans le secteur du centre,
-- un octogénaire dans le secteur du centre,
-- une octogénaire dans le secteur du centre.

À l’heure actuelle, 83 personnes sont hospitalisées en raison de la COVID-19 et reçoivent des soins spécialisés dans des unités particulières. De ce nombre, 12 sont aux soins intensifs. Les personnes hospitalisées sont âgées de 29 à 100 ans et l’âge moyen est de 69 ans. La durée moyenne du séjour à l’hôpital pour les personnes atteintes de la COVID-19 est de six jours et demi.

Les hospitalisations en raison de la COVID-19 dans des unités spéciales comprennent maintenant des gens qui ont contracté la maladie après leur admission à l’hôpital et qui ont ensuite été transférés à l’unité de traitement de la COVID-19. Ce changement dans la présentation de l’information reflète mieux la situation dans les hôpitaux, mais il ne change pas les chiffres totaux qui ont été fournis.

Parmi les 83 personnes hospitalisées, 77 ont été admises durant la vague Omicron.

Parmi les personnes hospitalisées :
-- 12 (14,5 %) ont reçu une troisième dose du vaccin contre la COVID-19;
-- 51 (61,4 %) sont entièrement vaccinées (deux doses);
-- 3 (3,6 %) n’ont reçu qu’une seule dose;
-- 17 (20,5 %) ne sont pas vaccinées.

Il est important de noter que moins de 10 % des gens de la Nouvelle-Écosse ne sont pas vaccinés.

Il y a également deux autres groupes de personnes à l’hôpital à cause de la COVID-19 :
-- 66 personnes ont reçu un résultat positif au test de dépistage à leur arrivée à l'hôpital, mais ont été admises pour un autre problème de santé, ou elles ont été admises à cause de la COVID-19 mais n'ont plus besoin de soins spécialisés;
-- 107 personnes ont contracté la COVID-19 après avoir été admises à l’hôpital.

Vaccination

Au 18 janvier, 1 979 992 doses du vaccin contre la COVID-19 ont été administrées. En Nouvelle-Écosse, 90,7 % des gens ont reçu leur première dose et 83 % ont reçu leur deuxième dose.

En outre, 38,6 % des gens de 18 ans et plus ont reçu une dose de rappel et 11,4 % ont pris rendez-vous pour recevoir leur dose de rappel. 

Cas et dépistage

Le 18 janvier, les laboratoires de la Régie de la santé de la Nouvelle-Écosse ont analysé 4 232 tests. On signale 527 cas supplémentaires de COVID-19 confirmés en laboratoire.

Il y a 267 cas dans le secteur du centre, 144 dans le secteur de l'est, 49 dans le secteur du nord et 67 dans le secteur de l'ouest.

Aujourd'hui, on estime qu'il y a 5 374 cas actifs de COVID-19 en Nouvelle-Écosse.

Éclosions dans les hôpitaux et les établissements de soins de longue durée
La Régie signale une nouvelle éclosion dans une unité à l'hôpital régional Cape Breton. Moins de cinq patients dans chaque établissement ont contracté la COVID-19. Tous les patients sont surveillés de près et d'autres mesures de contrôle et de prévention des infections sont mises en place. 

La Province signale sept éclosions dans des établissements de soins de longue durée :
-- trois employés au North Queens Nursing Home à Caledonia;
-- six employés et trois résidents au Shoreham Village à Chester;
-- quatre employés et 10 résidents au Oakwood Terrace à Dartmouth;
-- 14 employés et six résidents au Saint Vincent’s Nursing Home à Halifax; 
-- quatre employés au Wynn Park Villa à Truro;
-- deux employés et un résident au Cedarstone Enhanced Care à Truro;  
-- trois employés au Harbourstone à Sydney.

La Santé publique travaillent avec les établissements pour freiner la transmission. Des restrictions et des mesures sanitaires accrues ont été imposées.

Faits en bref
-- L'état d'urgence a été déclaré le 22 mars 2020 en vertu de la loi sur la gestion des urgences (Emergency Management Act) et a été prolongé jusqu'au 23 janvier 2022.

Ressources supplémentaires
Des renseignements exacts et à jour, une affiche sur la bonne manière de se laver les mains et des fiches d'information se trouvent au https://novascotia.ca/coronavirus/fr.

Des renseignements sur les restrictions provinciales qui sont entrées en vigueur le 22 décembre et les autres mesures de santé publique visant à ralentir la propagation de la COVID-19 se trouvent au https://novascotia.ca/coronavirus/restrictions-and-guidance/fr. 

Des renseignements supplémentaires sur les cas de COVID-19, le test de dépistage et les vaccins se trouvent au https://novascotia.ca/coronavirus/data/ (en anglais seulement) 

Renseignements au sujet de la Santé publique et de sa démarche de communication par message texte avec les personnes présentant un cas positif de COVID-19 et leurs contacts étroits : https://www.nshealth.ca/news/public-health-notifying-positive-covid-19-cases-text-advising-notify-close-contacts (en anglais seulement) 

Gouvernement du Canada :  https://canada.ca/le-coronavirus ou 1-833-784-4397 (sans frais)

-30-","https://novascotia.ca/news/release/?id=20220119005","2022-01-19T14:55:00.000"
"Health and Wellness / COVID - 19","11 New Hospital Admissions, Five Discharges, Three Deaths","COVID-19/HEALTH/WELLNESS--11 New Hospital Admissions, Five Discharges, Three Deaths 
----------------------------------------------------------------
Today, January 19, Nova Scotia is reporting 11 new hospital admissions and five discharges.

Nova Scotia is also reporting three deaths related to COVID-19:
-- a man in his 60s in Central Zone
-- a man in his 80s in Central Zone
-- a woman in her 80s in Central Zone

There are 83 people in hospital who were admitted due to COVID-19 and are receiving specialized care in a COVID-19 designated unit. That includes 12 people in ICU. The age range of those in hospital is 29-100 years old. The average age is 69 and the average length of stay of people admitted to hospital due to COVID-19 is 6.5 days.

COVID-19 hospitalizations in COVID-19 designated units now include people who contracted COVID-19 after being admitted to the hospital and were later transferred to a COVID-19 unit. This change better reflects the hospital situation. This does not change the overall totals that have been reported.

Of the 83 people in hospital, 77 were admitted during the Omicron wave.

The vaccination status of those in hospital is:
-- 12 (14.5 per cent) people have had a third dose of COVID-19 vaccine
-- 51 (61.4 per cent) are fully vaccinated (two doses)
-- 3 (3.6 per cent) are partially vaccinated
-- 17 (20.5 per cent) are unvaccinated.

It is important to note that less than 10 per cent of Nova Scotians are unvaccinated.

There are also two other groups of people in hospital related to COVID-19:
-- 66 people who were identified as positive upon arrival at hospital but were admitted for another medical reason, or were admitted for COVID-19 but no longer require specialized care
-- 107 people who contracted COVID-19 after being admitted to hospital.

Vaccine Coverage:

As of January 18, 1,979,992 doses of COVID-19 vaccine have been administered. Of those, 90.7 per cent of Nova Scotians have received their first dose, and 83.2 per cent have received their second dose.

As well, 38.6 per cent of Nova Scotians 18 and older have received a booster dose and 11.4 per cent have booked a booster dose appointment. 

Cases and Testing:

On January 18, Nova Scotia Health Authority (NSHA) labs completed 4,232 tests. An additional 527 new lab-confirmed cases of COVID-19 are being reported.

There are 267 cases in Central Zone, 144 cases in Eastern Zone, 49 cases in Northern Zone and 67 cases in Western Zone.

As of today, there are an estimated 5,374 active cases of COVID-19 in Nova Scotia.

Hospital and Long-Term Care Outbreaks:

The NSHA is reporting a new outbreak in a ward at Cape Breton Regional Hospital. Fewer then five patients at each facility have tested positive. All patients are being closely monitored and other infection prevention and control measures are being put in place. 

The Province is reporting seven outbreaks in long-term care facilities:
-- three staff at North Queens Nursing Home in Caledonia
-- six staff and three residents at Shoreham Village in Chester
-- four staff and 10 residents at Oakwood Terrace in Dartmouth
-- 14 staff and six residents at Saint Vincent’s Nursing Home in Halifax
-- four staff at Wynn Park Villa in Truro
-- two staff and one resident at Cedarstone Enhanced Care in Truro 
--three staff at Harbourstone in Sydney

Public health is working with the facilities to prevent further spread. Increased public health measures and restrictions are in place.

Quick Facts:
-- a state of emergency was declared under the Emergency Management Act on March 22, 2020, and has been extended to January 23, 2022

Additional Resources:
Nova Scotians can find accurate, up-to-date information, handwashing posters and fact sheets at: https://novascotia.ca/coronavirus

Information on provincewide restrictions that took effect December 22 and other public health measures to help slow the spread of COVID-19 is available at: https://novascotia.ca/coronavirus/restrictions-and-guidance/

More information on COVID-19 case data, testing and vaccines is available at: https://novascotia.ca/coronavirus/data/

More information about public health text notifications of positive COVID-19 cases and close contacts is available here: https://www.nshealth.ca/news/public-health-notifying-positive-covid-19-cases-text-advising-notify-close-contacts

Government of Canada: https://canada.ca/coronavirus or 1-833-784-4397 (toll-free)

-30-","https://novascotia.ca/news/release/?id=20220119004","2022-01-19T14:55:00.000"
"Office of Equity and Anti-Racism Initiatives","Commentaires invités au sujet d'une loi sur l'équité et l'antiracisme","ÉQUITÉ ET INITIATIVES ANTIRACISTES--Commentaires invités au sujet d'une loi sur l'équité et l'antiracisme
------------------------------------------------------
On invite les gens de la Nouvelle-Écosse à soumettre leurs commentaires au sujet d'un projet de loi sur l'équité et l'antiracisme qui est en cours de rédaction par un comité formé de tous les partis.

La consultation aura lieu en janvier et en février sous forme de groupes de discussion avec des organismes communautaires, des séances ouvertes virtuelles ainsi qu'un forum et un sondage en ligne. Le projet de loi sera déposé lors de la séance du printemps de l'Assemblée législative.

Des séances ouvertes virtuelles de consultation auront lieu le 22 janvier et le 27 janvier de 13 h à 14 h 30. D'autres séances seront ajoutées en février. Pour en savoir davantage au sujet du projet de loi et pour répondre au sondage et soumettre des commentaires, consultez le https://www.oeaengagement.ca/equity-and-anti-racism-legislation. (Le sondage sera disponible en français sous peu.)

Pour vous inscrire à une séance de consultation ou pour soumettre vos commentaires par courriel ou par téléphone, envoyez un courriel à l'adresse correspondenceoea@novascotia.ca ou composez le 902-471-4351.

Ressources supplémentaires 
Site Web de l'Office de l'équité et des initiatives antiracistes : https://beta.novascotia.ca/government/equity-and-anti-racism-initiatives (en anglais seulement)  

Compte Facebook de l'Office de l'équité et des initiatives antiracistes : https://www.facebook.com/NSOfficeofEquity

Compte Twitter de l'Office de l'équité et des initiatives antiracistes : https://twitter.com/NSEquity  

-30-

Renseignements : Chad Lucas
                 902-478-7302
                 Chad.Lucas@novascotia.ca","https://novascotia.ca/news/release/?id=20220119003","2022-01-19T10:07:00.000"
"Office of Equity and Anti-Racism Initiatives","Feedback Open on Equity, Anti-Racism Legislation","EQUITY/ANTI-RACISM INITIATIVES--Feedback Open on Equity, Anti-Racism Legislation
-----------------------------------------------------------
Nova Scotians are invited to give their feedback on proposed equity and anti-racism legislation being developed by an all-party committee.

Engagement is taking place throughout January and February through focus groups with community organizations, open virtual sessions, and an online forum and survey. The bill will be introduced in the spring session of the legislature.

Open virtual engagement sessions will be held on January 22 and January 27 from 1 to 2:30 pm. More sessions will be added in February. Nova Scotians can learn more about the proposed legislation and give feedback by taking a survey or submitting a comment at https://www.oeaengagement.ca/equity-and-anti-racism-legislation 

To register for an engagement session or to give input via email or phone, contact correspondenceoea@novascotia.ca or 902-471-4351.

Additional Resources:
Office of Equity and Anti-Racism Initiatives website: https://beta.novascotia.ca/government/equity-and-anti-racism-initiatives  

Office of Equity and Anti-Racism Initiatives Facebook: https://www.facebook.com/NSOfficeofEquity

Office of Equity and Anti-Racism Initiatives Twitter: https://twitter.com/NSEquity  

-30-

Media Contact: Chad Lucas
               Cell: 902-478-7302
               Email: chad.lucas@novascotia.ca","https://novascotia.ca/news/release/?id=20220119002","2022-01-19T10:06:00.000"
"Public Works","Upgrades to Legislative TV Control Room","PUBLIC WORKS--Upgrades to Legislative TV Control Room
-------------------------------------------------------
The Province is investing $1.9 million to renovate the Legislative TV Control Room in Province House.  

The control room provides audio and video services for House of Assembly sessions, press conferences, meetings and official record keeping for the Nova Scotia Legislature.

“Our provincial legislature is the heart of our democratic process where laws are debated and passed, spending decisions are made and where Nova Scotia’s elected officials represent the voice of their constituents,” said Public Works Minister Kim Masland. “These upgrades will help ensure Province House is accessible and transparent to all Nova Scotians.”

The upgrades include:
-- a new expanded control room that meets accessibility requirements for barrier-free access
-- upgrades to the electrical and mechanical ventilation system, soundproofing and a new air-conditioning unit for climate-control of equipment
-- upgrades to the audio and video equipment that will allow the capability to broadcast Main Chamber and Red Chamber sessions simultaneously; currently only one can be broadcast at a time.

A tender for the control room renovations will be issued soon. The renovations are expected to be completed this spring.

Quick Facts:
-- the existing control room was installed about 25 years ago and does not meet current accessibility standards 
-- the Province’s accessibility strategy, Access by Design 2030, outlines how to achieve an accessible province by 2030 by providing persons with disabilities with equitable access to programs, services, information and infrastructure

Additional Resources:
For more information on the Nova Scotia Legislature, go to: https://nslegislature.ca/

Access by Design 2030: https://novascotia.ca/accessibility/access-by-design/ 
 
-30-

Media contact: Deborah Bayer
               Cell: 902-225-4982
               Email: Deborah.Bayer@novascotia.ca","https://novascotia.ca/news/release/?id=20220119001","2022-01-19T09:00:00.000"
"Labour, Skills and Immigration","Nouveaux fournisseurs de services d’aide à l’emploi pour le Cap-Breton","TRAVAIL, COMPÉTENCES ET IMMIGRATION--Nouveaux fournisseurs de services d’aide à l’emploi pour le Cap-Breton 
-----------------------------------------------------------------
Un plus grand nombre de citoyens du Cap-Breton auront accès à un service centralisé de recherche d’emploi et de conseils en carrière avec le YMCA du Cap Breton et le Conseil de développement économique de la Nouvelle-Écosse (CDENE) qui élargissent leur prestation de services d’aide à l’emploi.

Les gens d’Arichat, de Chéticamp, d’Inverness, de Port Hawkesbury, de St. Peter’s et de Sydney auront accès à des services en ligne ou en personne dès ce mois-ci, soit trois mois plus tôt que prévu. 

« En cherchant de nouveaux fournisseurs permanents pour combler le vide laissé par la fermeture d’un fournisseur de services, nous voulions réellement que les services d’aide à l’emploi et le financement connexe restent au Cap-Breton, a déclaré Jill Balser, ministre du Travail, des Compétences et de l’Immigration. Nous sommes heureux que 23 nouveaux postes de services d’aide à l’emploi viennent s’ajouter à l’effectif actuel pour contribuer à la prestation de services au Cap-Breton et pour aider les gens de cette région dans leurs efforts pour acquérir des compétences et profiter des occasions d’emploi. »

Le YMCA du Cap-Breton et le CDENE sont les candidats qui ont été choisis à la suite d’une déclaration d’intérêt lancée par le Ministère en octobre. Voici les critères de sélection des nouveaux fournisseurs :
-- une solide connaissance du marché du travail au Cap-Breton;
-- une connaissance, acquise par l’expérience dans les services, des collectivités à servir, y compris une connaissance du milieu géographique, du contexte socioéconomique et du marché du travail
-- la capacité d’établir de nouveaux rapports dans la collectivité;
-- la capacité d’offrir tous les services en anglais et en français;
-- une expérience confirmée et concrète de la gestion de contrats et d’ententes de financement conclus avec le gouvernement; 
-- un plan précis de lancement des services qui décrit les activités et le calendrier nécessaires pour que les services d’aide à l’emploi soient à la disposition du public (virtuellement et en personne) au moment convenu dans le plan;
-- de l’expérience dans la transition réussie de clients déplacés, dans la mise en place de nouveaux points de prestation de services et dans la gestion de changements importants.

Les possibilités d’emploi, notamment à titre de professionnels en développement de carrière auprès du YMCA du Cap-Breton et du CDENE, sont affichées ici : https://novascotiaworks.ca .  

Citations
« Le CDENE est très heureux de s’associer au Ministère pour l’expansion de nos services d’aide à l’emploi dans les régions d’Arichat et de Chéticamp. Nous offrons des services d’aide à l’emploi en français et en anglais dans les régions acadiennes de Clare et d’Argyle depuis plus de 20 ans, alors l’ajout de ces deux régions acadiennes du Cap-Breton où nous fournissons déjà divers services de développement économique nous permettra de répondre encore mieux aux besoins de ces collectivités. »
     – Julie Oliver, directrice générale, Conseil de développement économique de la Nouvelle-Écosse 

« Le YMCA du Cap-Breton administre des services d’aide à l’emploi depuis plus de 30 ans; il offre une gamme intégrée de services d’aide à l’emploi pour aider les gens du Cap-Breton à comprendre le marché du travail provincial, à s’y préparer et à répondre à ses besoins. Nos centres offrent aussi des services pour aider les entreprises à recruter, à administrer et à développer le talent dont elles ont besoin pour être plus productives dans l’économie locale. L’essence-même du YMCA, en tant qu’organisme, est de s’engager à bâtir des collectivités en santé au moyen d’un fort sentiment d’appartenance. Avec l’élargissement des services, les centres de services d’aide à l’emploi de Port Hawkesbury, d’Inverness et de St. Peter’s appartiennent maintenant à la famille des Centres de Nouvelle-Écosse au travail du YMCA du Cap-Breton; il en est de même de nos centres qui existent déjà à Sydney, à Glace Bay et à New Waterford. » 
     – Sabrina Vatcher, directrice générale, YMCA du Cap-Breton

Faits en bref
-- L’investissement annuel total pour élargir la prestation des services d’aide à l’emploi dans la région du Cap-Breton est de 1 839 118 $.
-- Le Ministère a mis un terme à son entente de financement avec Island Employment le 21 novembre 2021 après que le Bureau de l'ombudsman a découvert « un abus ou une mauvaise gestion patente de fonds ou de biens publics » chez Island Employment. 

Ressources supplémentaires
Rapport annuel du Bureau de l'ombudsman : https://ombudsman.novascotia.ca/sites/default/files/documents/annual_reports/OmbudsAR-2020-2021%20FR.pdf 

Pour utiliser les services de Nouvelle-Écosse au travail ou pour trouver un centre de services : https://novascotiaworks.ca 

-30-

Renseignements : Monica MacLean
                         Travail, Compétences et Immigration
                         Cellulaire : 902-220-0358
                         Monica.MacLean@novascotia.ca","https://novascotia.ca/news/release/?id=20220118006","2022-01-18T15:29:00.000"
"Labour, Skills and Immigration","New Employment Services Providers for Cape Breton","LABOUR/SKILLS/IMMIGRATION--New Employment Services Providers for Cape Breton
-----------------------------------------------------------------
More Cape Bretoners will have access to a one-stop job search and career-advice resource as the YMCA Cape Breton and le Conseil de développement économique de la Nouvelle-Écosse (CDÉNÉ) expand their delivery of employment services.

People in Arichat, Chéticamp, Inverness, Port Hawkesbury, St. Peter’s and Sydney will have access to their services online or in person starting this month, about three months earlier than expected.

“In looking for new, permanent providers to fill a gap left by a service provider’s closure, we were committed to making sure that employment services and funding remained in Cape Breton,” said Jill Balser, Minister of Labour, Skills and Immigration. “We’re pleased that an additional 23 employment service positions will be added to support the delivery of services in Cape Breton and further support Cape Bretoners as they acquire skills and connect with job opportunities.”

The YMCA Cape Breton and CDÉNÉ were the successful applicants to an expression of interest issued by the Department in October. The criteria used to select the new providers included:
-- in-depth knowledge of the labour market in Cape Breton
-- knowledge – gained through service experience – of the specific communities to be served, including geographic, socioeconomic and labour market knowledge
-- the ability to build new relationships in the community
-- the ability to offer all services in both English and French
-- demonstrated, effective experience managing government contracts and funding agreements
-- a defined service start-up plan, outlining the activities and timelines to ensure employment assistance services are available to the public (both virtually and in person) by the service start-up date
-- experience successfully transitioning displaced clients, setting up new service delivery locations and managing significant change.

Employment opportunities for career practitioners and other positions with the YMCA Cape Breton and CDÉNÉ are available at: https://novascotiaworks.ca 

Quotes:
“CDÉNÉ is very pleased to partner with the Department in the expansion of our employment services to the Arichat and Chéticamp regions. We have been providing employment services in French and English in the Acadian regions of Clare and Argyle for over 20 years, so adding these two Acadian regions of Cape Breton where we already provide various services in economic development will enable us to further respond to the needs of these communities.”
     - Julie Oliver, Executive Director, le Conseil de développement économique de la Nouvelle-Écosse

“The YMCA of Cape Breton has been administering employment services for more than 30 years, offering an integrated bundle of employment services to help Cape Bretoners understand, prepare for and meet the needs of the provincial labour market. Our centres also provide services to support businesses in recruiting, managing and developing the talent they require to be more productive in the local economy. At its very core, the YMCA as an organization is committed to building healthy communities through the power of belonging. With this expansion of services, Port Hawkesbury, Inverness and St. Peter’s employment centres now belong to the YMCA Cape Breton family of Nova Scotia Works Centres along with our existing centres in Sydney, Glace Bay and New Waterford.”
     - Sabrina Vatcher, CEO, YMCA Cape Breton

Quick Facts:
-- the total annual investment to expand employment service delivery in the Cape Breton region is $1,839,118
-- the Department ended its funding agreement with Island Employment on November 21, 2021, after the Office of the Ombudsman found “a misuse or gross mismanagement of public funds or assets” at Island Employment

Additional Resources:
Office of the Ombudsman 2020-21 Annual Report: https://ombudsman.novascotia.ca/sites/default/files/documents/annual_reports/OmbudsAR-2020-2021.pdf

To access Nova Scotia Works services online or find a centre visit: https://novascotiaworks.ca

-30-

Media Contact: Monica MacLean
                         Labour, Skills and Immigration
                         Cell: 902-220-0358
                         Email: Monica.MacLean@novascotia.ca","https://novascotia.ca/news/release/?id=20220118005","2022-01-18T15:27:00.000"
