"program","name","services_and_programs","civic_address","community","postal_code","phone","fax","email","website","geocoded_column"
"Youth Services","Valley Youth Project","LGBTQ Youth Support;  facilitate twice-monthly drop-ins, with time for discussion and activities;  classroom workshops for youth","236 Belcher Street (drop-ins)","Kentville","B4N 0A6",,,"valleyyouthproject@gmail.com","https://valleyyouthproject.wordpress.com/","236 Belcher Street (drop-ins)
Kentville, NS B4N 0A6
(45.084772, -64.48196)"
"Transition Houses; Domestic Violence Support; Second-Stage Housing","MacAdam House","MacAdam House is located in Glace Bay and provides access to second-stage housing for women leaving abusive relationships.","Glace Bay","Glace Bay",,"24 Hour Help Line: (902) 539-2945; Toll Free 1-800-563-2945; Outreach phone: (902) 562-3045",,"cbtranshouse@ns.aliantzinc.ca","http://thans.ca/get-help/find-a-shelter/cape-breton-transition-house/",
"Men's Programs","CornerStone Cape Breton Association","Men's therapeutic/ educational Domestic Violence Counselling Program, clients must be a minimum of 19 years of age to enter into the program.","329 George Street","Sydney","B1P 1J7","(902) 567-0979",,"connect@cornerstonecb.ca","http://www.cornerstonecb.ca/","329 George Street
Sydney, NS B1P 1J7
(46.140104, -60.193166)"
"Heath Centres; Health Services","Mental Health and Addictions- Cumberland Health Authority","Mental Health Promotion, Illness Prevention, Community Education, Advocacy: The Community Education Program can provide clients and those close to them with information about mental health concerns such as depression, medication use, anxiety, and stress management. Many of these programs are offered in partnership with other community agencies;  Mental Health: A caring, dedicated and experienced Mental Health Services team serves the communities of Cumberland County. Our team works in partnership with community organizations, individuals and their families to provide support and treatment for a wide range of mental health needs. We serve all age groups.  The main centre is located at 33 Havelock Street in Amherst with satellite clinics held at the health care centres in Parrsboro, Pugwash and Springhill. Visits to homes, schools and other community locations are available as appropriate.","33 Havelock St","Amherst","B4H 4W1","(902) 667-3879","(902) 667-5959",,"https://mha.nshealth.ca/en/clinics/cumberland-mental-health-services#info","33 Havelock St
Amherst, NS B4H 4W1
(45.833689, -64.209927)"
"Legal Support","New Start Society","New Start offers individual and group counselling to help people move away from abuse and towards respect. We work with people to develop self-respect and respect for others. People are invited to identify what they prefer in their relationships and how to move towards creating the relationships they prefer.

New Start is a self-referral counselling agency that invites men to share their stories through individual or individual counselling. 

Everyone has hopes and dreams for their relationships. New Start helps men to create respectful relationships with the people they care deeply about.","45 Alderney Drive, Suite 900","Dartmouth","B2Y 2N6","(902) 423-4675","(902) 431-3033","info@newstartcounselling.ca","http://www.newstartcounselling.ca/","45 Alderney Drive, Suite 900
Dartmouth, NS B2Y 2N6
(44.665168, -63.569365)"
"Women's Centres; Aboriginal Health Services; Health Centres","Jane Paul Indigenous Women's Resource Centre","Offers a non-judgemental environment who assists Aboriginal women in harm reduction caused by addictions and sexual violence.","440 George Street","Sydney",,"(902) 539-5890",,"jpcdirector@nsnwa.net","https://www.facebook.com/janepaulcentre","440 George Street
Sydney, NS 
(46.137785, -60.192406)"
"Support and Referrals; Support for Sex Workers","Ally Centre of Cape Breton","Offers a range of public education to schools, workplaces, community organizations and healthcare providers; Runs the S.W.E.E.P project  (Sex Workers Encouraging and Empowering Peers).","150 Bentinck Street","Sydney","B1P 4W4","(902) 567-1766",,"christine.porter@bellaliant.com","https://www.allycentreofcapebreton.com/","150 Bentinck Street
Sydney, NS B1P 4W4
(46.136444, -60.193095)"
"Men's Programs","Bridges Institute","Offers men and their families services to address issues of violence in their relationships.  The Institute uses an approach that integrates narrative therapy and restorative justice. Bridges offers individual, group, couple and family conversations.","676 Prince St","Truro","B2N 1G6","(902) 897-6665","(902) 897-0569","bridges@bridgesinstitute.org","http://www.bridgesinstitute.org/","676 Prince St
Truro, NS B2N 1G6
(45.365096, -63.280853)"
"Transition Houses; Domestic Violence Support; Support Services; Counselling","Harbour House (Bridgewater)","Offers shelter and counseling to women as they transition and explore options for their lives, support groups, school programs, and has outreach workers who work with women throughout Lunenburg and Queens at 9 different locations. Offers an integrated array of other services.","Bridgewater","Bridgewater","B4V 2W9","24 Hour Help Line:  543-3999 Toll-free: 1-888-543-3999",,"thw@harbour-house.ca","http://harbour-house.ca/",
"Transition Houses; Domestic Violence Support; Support Services; Counselling","Harbour House (Lunenburg)","Offers shelter and counseling to women as they transition and explore options for their lives, support groups, school programs, and has outreach workers who work with women throughout Lunenburg and Queens at 9 different locations. Offers an integrated array of other services.","Lunenburg","Lunenburg","B4V 2W9","24 Hour Help Line:  543-3999 Toll-free: 1-888-543-3999",,"thw@harbour-house.ca","http://harbour-house.ca/",
"Transition Houses; Domestic Violence Support; Support Services; Counselling","Harbour House (Queen's County)","Offers shelter and counseling to women as they transition and explore options for their lives, support groups, school programs, and has outreach workers who work with women throughout Lunenburg and Queens at 9 different locations. Offers an integrated array of other services.","Queen's County","Queen's County","B4V 2W9","24 Hour Help Line:  543-3999 Toll-free: 1-888-543-3999",,"thw@harbour-house.ca","http://harbour-house.ca/",
"Women's Centres","We’koqma’q Family Healing Centre","One of two Shelters in Nova Scotia designed to serve First Nation People.  Culturally relevant holistic programming available to all First Nation men, women and children who have experienced family violence.","We’koqma’q First Nation","Whycocomagh","B0E 3M0","(902) 756-3440; toll-free: 1-800-565-3440",,,"http://thans.ca/shelters/waycobah-family-healing-centre/",
"Legal Supports","Legal Information Society of Nova Scotia (LISNS)","Online legal information on a variety of topics, and information about other legal information resources in Nova Scotia; legal information in audio format; laywer referral;","1741 Brunswick Street","Halifax","B3J 3X8","(902) 455-3135; toll-free:  1-800-665-9779",,"questions@legalinfo.org ; https://www.legalinfo.org/form/38-contact-us","https://www.legalinfo.org/","1741 Brunswick Street
Halifax, NS B3J 3X8
(44.647204, -63.577039)"
"Health Services; Youth Services","Red Door","Outreach education related to healthy sexuality; Support for relationships, sexual orientation and gender identity","10 Webster Street, Suite 203","Kentville","B4N 1H4","(902) 679-1411",,"info@thereddoor.ca","www.thereddoor.ca","10 Webster Street, Suite 203
Kentville, NS B4N 1H4
(45.078099, -64.494777)"
"Women's Centres; Sex Workers; Sexual Health; Youth Servicess","Stepping Stone","Outreach team provides information; the bad date list; provides peer support, referrals to in-house staff when necessary, as well as other support organizations such as MOSH, Mainline, Avalon, and more.","9 Ferguson Road","Dartmouth","B3A 4J8","(902) 420-0103",,"alex.macdonnell@steppingstonens.ca","http://steppingstonens.ca/","9 Ferguson Road
Dartmouth, NS B3A 4J8
(44.680974, -63.596972)"
"Youth Services","Phoenix Youth & Community Centre","Phoenix provides arts, recreation, and leadership programming to any youth connected with our agency.  We encourage creative expression and recognize that young people learn through experiences. We connect youth with services in the community and provide services directly, depending on the needs of each youth. These services are available within our locations and specifically through the LE@P (Learn and Explore at Phoenix) program.

LE@P (Learn and Explore at Phoenix) is available to all Phoenix youth and offers a variety of opportunities to try new things, build skills, get involved in the community and benefit therapeutically by having some fun! LE@P is driven by youth and seeks to be highly inclusive. The diverse activities offered through LE@P are often made possible through collaborations with people and agencies.

Youth and families in Mulgrave Park are welcome to participate in a variety of programs at Phoenix Youth and Community Centre. From summer  pre-employability programs to seniors events, after school programs to special celebrations, there is something for the whole community:

After School Programming
Girl’s Group
“It’s More Than a Game” Basketball Program
Summer programming
Inter-generational programs
Family Nights
Community Kitchens
Support for community events
Phoenix listens and connects youth and families with the services they need, either at Phoenix or in the larger community.","Mulgrave Park, 123 & 133 Jarvis Lane","Halifax","B3K3J1","(902) -877-0276 or (902) 444-3401",,"pycc@phoenixyouth.ca","phoenixyouth.ca",
"Legal Support; Housing","Elizabeth Fry Society of Mainland Nova Scotia","Programs include understanding ange; healthy relationships; boundaries for women; conflict management; effective communication; transitioning safely into the community. All programs were developed by The Elizabeth Fry Society of Mainland Nova Scotia and designed specifically for women.","85 Queen Street","Dartmouth","B2Y 1G7","(902) 454-5041",,"ed@efrymns.ca","http://efrymns.ca/","85 Queen Street
Dartmouth, NS B2Y 1G7
(44.668161, -63.565096)"
"Youth Services; Family Services","Cumberland Early Intervention Program","Promote potential in families who have children with special needs or behavioural challenges through support, education, advocacy and partnerships.  Parenting Journey Home Visitor/ CEIP.","141 Victoria Street East","Amherst","B4H 1X9","(902) 667-8244","(902) 667-0661","http://www.cumberlandeip.ca/contact","http://www.cumberlandeip.ca/programs/earlyintervention","141 Victoria Street East
Amherst, NS B4H 1X9
(45.835893, -64.211235)"
"Health Services","Pictou County Centre for Sexual Health","Provide sexual and reproductive health information, education and resources as well as referrals","279 Foord Street","Stellarton","B0K 1S0","(902) 695 3366",,"director@pcshc.ca","http://shns.ca/member-centres/pictou-county-centre-for-sexual-health/","279 Foord Street
Stellarton, NS B0K 1S0
(45.557602, -62.660182)"
"Health Services","Cape Breton Centre for Sexual Health","Provide sexual and reproductive health information, education and resources as well as referrals","Cape Breton","Cape Breton","(902) 919-4900",,,"cbcforsexualhealth@gmail.com","https://www.facebook.com/Cape-Breton-Centre-for-Sexual-Health-887431781392027/",
"Legal Support; Legal Aid","Elizabeth Fry Society of Cape Breton","Provides a place for women to talk, develop friendships, build interpersonal skills, receive emotional support, increase confidence and share information.","12 Cecelia Levatte Crescent","Sydney","B1N 3K3","902-539-6165","(902) 539-1683","efrycb@eastlink.ca","https://www.efrycb.com/home.html",
"Youth Services; Counselling","Split Rock Learning Centre Association","Provides housing related services including:

Intake with individuals seeking support related to acquiring or maintaining housing in Yarmouth
Providing a local list of landlords
Mediating with landlords (when appropriate) when issues arise between tenant and landlord
One-on-one support surrounding budgeting for those living on a fixed/limited budget","474 Perry Road","Yarmouth","B0W 1L0","(902) 761-2136",,,,"474 Perry Road
Yarmouth, NS B0W 1L0
(44.021196, -65.900216)"
"Referral services; Information","South House Sexual and Gender Resource Centre","Referal services; information; safe space","1443 Seymour Street","Halifax","B3H 3M6","902-494-2432",,"outreach@southhousehalifax.ca","southhousehalifax.ca","1443 Seymour Street
Halifax, NS B3H 3M6
(44.638789, -63.589568)"
"Legal Support; Victim Services","Victim Services (Provincial)","Referrals","277 Pleasant Street, 3rd Floor","Dartmouth","B2Y 4B7","(902) 424-3309","(902) 424-2056",,"http://novascotia.ca/just/victim_services/","277 Pleasant Street, 3rd Floor
Dartmouth, NS B2Y 4B7
(44.655643, -63.549798)"
"Health Services","Sheet Harbor Sexual Health Centre","Referrals, advocacy and support counselling on all your sexual and reproductive health matters.","Eastern Shore Memorial Hospital, 22637, Highway 7","Sheet Harbour","B0J 3B0","(902) 885-3693",,"sheetharbourshc@hotmail.com","http://shns.ca/member-centres/sheet-harbour-sexual-health-centre/",
"Health Services","Sipekne’katik Health Centre","Responsible for the overall health and well-being of all the Sipekne’katik community members.   Referrals.","522 Church Street, Indian Brook","Sipekne’katik","B0N 2H0","(902) 758-2063","(902) 758-2379","info@sipeknekatik.ca","http://sipeknekatik.ca/centre-services/",
"Legal Support","Valley Restorative Justice","Restorative Justice Program; Community Service Orders; Public Information And Awareness; Restorative Approaches In Schools Project ( RAISP ); Healing Approaches To Senior Abuse ( HASA )","136 Exhibition St","Kentville","B4N 3X7","902-679-0650; Toll Free: 1-888-679-0650","902-679-0860","valleyrj@ns.sympatico.ca","http://valleyrestorativejustice.org/","136 Exhibition St
Kentville, NS B4N 3X7
(45.084065, -64.499778)"
"Restorative Justice","Survivors of Abuse Recovering","S.O.A.R. is committed to increasing the awareness of the community of the impact of childhood sexual abuse on the individual, the family and the community.",,"Kentville","B4N 2E1","Voicemail: 902-679-7337; toll-free: 1-877-679-SOAR (7627)",,"info@survivorsofabuserecovering.ca","https://survivorsofabuserecovering.ca/","
Kentville, NS B4N 2E1
(45.07998, -64.49487)"
"Men's Programs; Men's Violence Programs","New Leaf","School programs ""presenting on healthy relationships, sexual harassment, bullying and dating violence""; collaborating with referral sources and scheduling appointments; travelling to schools; counselling one on one with adolescent males. New Leaf""provides an opportunity for men to take responsibility for their abusive behaviour and to effect social change so that the underlying power imbalances no longer exist. to provide support, and to mentor males to ensure real and long term change in their attitudes and behaviours towards females and perception of themselves.'","1870 Main Street, Suite 2","Westville","B0K 2A0","(902) 396-2440","(902) 396-2441",,"http://www.newleafpictoucounty.ca/","1870 Main Street, Suite 2
Westville, NS B0K 2A0
(45.559314, -62.71289)"
"Second-Stage  Housing","Holly House","Second-stage housing","1 Tulip Street","Dartmouth","B3A 2S3","(902) 454-5041",,"ed@efrymns.ca","http://efrymns.ca/","1 Tulip Street
Dartmouth, NS B3A 2S3
(44.670758, -63.569405)"
"Women's Centres; Sexual Assault Services","Antigonish Women's Resource Centre and Sexual Assault Services Association","Services for women and adolescent girls; Information; crisis intervention; short-term and ongoing support that includes problem-solving and emotional support; advocacy; accompaniment; referrals; skill development and volunteer opportunities; alternative measures and student placement opportunities; referrals; outreach services; Sexual Assault Nurse Examiner (SANE) Program; support groups for survivors of sexual trauma; health services; advocacy and accompaniment; information and support.","219 Main Street, 204 Kirk Place","Antigonish","B2G 2C1","(902) 863-6221","(902) 867-1144","info@awrcsasa.ca","http://awrcsasa.ca/",
"Health Services; Youth Services","Riverview Youth Health Centre (YHC)","Services: health eduction, health promotion and prevention, clinical services, referrals to other health and community services (i.e. – mental health, addiction services, etc.)
Provides information and resource material on topics such as sexuality, healthy lifestyles, violence and abuse, relationships, self-esteem, stress, birth control, nutrition, STI's, smoking, drugs, and alcohol.","57 Coxheath Road","Sydney River","B1R 1R4","(902) 563-8596","(902) 563-8620",,"https://cbvrce.ca/rv/index.php/students/youth-health-centre","57 Coxheath Road
Sydney River, NS B1R 1R4
(46.115764, -60.234387)"
"Health Services","Avalon Sexual Assault Centre","Sexual Assault Nurse Examiner (S.A.N.E.) program; counselling; community education/legal and professional training;","1526 Dresden Row, Suite 401","Halifax","B3J 3K3","(902) 422-4240","(902) 422-4628","info@avaloncentre.ca","http://avaloncentre.ca/","1526 Dresden Row, Suite 401
Halifax, NS B3J 3K3
(44.64338, -63.578136)"
"Women's Centres; Legal Support; Domestic Violence Support; Support Services","LEA Place Women's Resource Centre","Sexual assault service development; support counseling and crisis intervention; violence prevention; court accompaniment; systems navigation; one on one counseling; crisis management; community-based services","22709 Highway 7","Sheet Harbour","B0J 3B0","(902) 885-2668","(902) 885-2629","program@leaplace.com","http://www.leaplace.com/","22709 Highway 7
Sheet Harbour, NS B0J 3B0
(44.917726, -62.529859)"
"Health Services; Youth Services; Women's Centres","Women's Place Resource Centre","Sexual Violence navigator, staff available to provide information on resources, emotional support, refer to appropriate community services and offer programs that empower and support women.","298 Marshall Street","Annapolis Royal","B0S 1A0","(902) 363-2030","(902) 363-2030","womensplace@eastlink.ca","http://wprc.ddns.net/joomla/","298 Marshall Street
Annapolis Royal, NS B0S 1A0
(44.94577, -65.069151)"
"Women's Centres; Counselling; Sexual Violence Navigator; Domestic Violence Support","Pictou County Women's Resource and Sexual Assault Centre","Sexual violence navigator; Individual Support Counselling and Crisis Intervention; Sexual Violence Group Counselling;  Information and Referral","503 South Frederick Street","New Glasgow","B2H 3P3","(902) 755-4647; Text support: (902) 921-4647",,"info@womenscentre.ca","http://www.womenscentre.ca/","503 South Frederick Street
New Glasgow, NS B2H 3P3
(45.57872, -62.643361)"
"Transition Houses; Domestic Violence Support; Support Services","Tearmann Society (Antigonish)","shelter to women in physically, emotionally, and/or sexually abusive relationships
food, shelter, and basic personal needs for women and their children
a child care program which recognizes the children are in a crisis too and provides services to meet their needs
skilled and supportive staff to provide information, referrals, counselling, and support groups
shelter 24 hours a day, 7 days a week, to a 6 week maximum.","New Glasgow","New Glasgow","B2H 5E2","(902) 752-0132; 1-888-831-0330",,"info@tearmann.ca; outreach@tearmann.ca","http://tearmann.ca/",
"Transition Houses; Domestic Violence Support; Support Services","Tearmann Society (New Glasgow)","shelter to women in physically, emotionally, and/or sexually abusive relationships
food, shelter, and basic personal needs for women and their children
a child care program which recognizes the children are in a crisis too and provides services to meet their needs
skilled and supportive staff to provide information, referrals, counselling, and support groups
shelter 24 hours a day, 7 days a week, to a 6 week maximum.","New Glasgow","New Glasgow","B2H 5E2","(902) 752-0132; 1-888-831-0330",,"info@tearmann.ca; outreach@tearmann.ca","http://tearmann.ca/",
"Transition Houses; Domestic Violence Support; Support Services","Tearmann Society (Pictou)","shelter to women in physically, emotionally, and/or sexually abusive relationships
food, shelter, and basic personal needs for women and their children
a child care program which recognizes the children are in a crisis too and provides services to meet their needs
skilled and supportive staff to provide information, referrals, counselling, and support groups
shelter 24 hours a day, 7 days a week, to a 6 week maximum.","New Glasgow","New Glasgow","B2H 5E2","(902) 752-0132; 1-888-831-0330",,"info@tearmann.ca; outreach@tearmann.ca","http://tearmann.ca/",
"Transition Houses; Domestic Violence Support; Support Services","Tearmann Society (Guysborough)","shelter to women in physically, emotionally, and/or sexually abusive relationships
food, shelter, and basic personal needs for women and their children
a child care program which recognizes the children are in a crisis too and provides services to meet their needs
skilled and supportive staff to provide information, referrals, counselling, and support groups
shelter 24 hours a day, 7 days a week, to a 6 week maximum.","New Glasgow","New Glasgow","B2H 5E2","(902) 752-0132; 1-888-831-0330",,"info@tearmann.ca; outreach@tearmann.ca","http://tearmann.ca/",
"Health Services; Counselling","St FX Health and Counselling","STI testing; Sexual Assault Nurse Examiner; Sexual Assault and Sexual Violence Support; councellor; referals","Health Centre, Bloomfield Centre Room 305","Antigonish","B2G 2W5","(902) 867-5601",,"hblackbu@stfx.ca","http://sites.stfx.ca/health_and_counselling/health_care_services",
"Transition Houses; Aboriginal Health Services; Domestic Violence Support; Support Services","Waycobah Family Healing Centre (Cape Breton Island)","Support and information to women, men, and children to enable them to develop and maintain a healthful and violent-free lifestyle; Individual and Group Counselling for women, men, and children; Outreach services to women, men, and children; Referral and follow-up to other social services programs; Community Education in Family Violence Intervention, Treatment, and Prevention","178 Subdivision Rd, 178 Subdivision Rd, Whycocomagh","Whycocomagh","B0E 3M0","24 Hour Help Line: (902) 756-3440; Toll-free: 1-800-565-3440",,,"https://thans.ca/shelters/waycobah-family-healing-centre/",
"Transition Houses; Aboriginal Health Services; Domestic Violence Support; Support Services","Waycobah Family Healing Centre  (Paq’tnkek First Nation)","Support and information to women, men, and children to enable them to develop and maintain a healthful and violent-free lifestyle; Individual and Group Counselling for women, men, and children; Outreach services to women, men, and children; Referral and follow-up to other social services programs; Community Education in Family Violence Intervention, Treatment, and Prevention","178 Subdivision Rd, 178 Subdivision Rd, Whycocomagh","Whycocomagh","B0E 3M0","24 Hour Help Line: (902) 756-3440; Toll-free: 1-800-565-3440",,,"https://thans.ca/shelters/waycobah-family-healing-centre/",
"Women's Centre","Second Story Women's Centre","Support; crisis support; referrals; accompaniment; social advocacy; outreach","18 Dufferin Street","Lunenburg","B0J 2C0","(902) 640-3044",,"info@secondstory.ca","https://www.secondstory.ca/","18 Dufferin Street
Lunenburg, NS B0J 2C0
(44.378886, -64.318055)"
"Support and Referral","Maggie's Place - A Resource Centre for Families - Truro","Support; referrals; general information","1027 Prince Street","Truro","B2N 1H7","(902) 895-0200",,"colchester@maggiesplace.ca","http://www.maggiesplace.ca/colchester/home/","1027 Prince Street
Truro, NS B2N 1H7
(45.363977, -63.270407)"
"Sexual Assault Centre; Men's Programs; Counselling","Colchester Sexual Assault Centre","The CSAC offers many helpful programs and services including one-on-one confidential, gender-sensitive counselling and emotional support to sexual assault and sexual abuse survivors and their family and friends. See programs and services for more information.

Located in Truro, Nova Scotia, the CSAC's services are available, but not limited to, individuals in the counties of Colchester, Cumberland, East Hants and Pictou.","35 Commercial Street, Suite 403","Truro","B2N 3H9","(902) 897-4366",,"info@colchestersac.ca","http://www.colchestersac.ca/","35 Commercial Street, Suite 403
Truro, NS B2N 3H9
(45.365965, -63.286556)"
"Legal Support; Aboriginal Services","Mi’kmaq Legal Support Network (serving Cape Breton)","The Mi’kmaq Legal Support Network has 2 Aboriginal Victim Support Workers who can assist a victim through the court process, provide court prep and help with victim impact statements. One worker serves Cape Breton and the other serves Mainland Nova Scotia. Services are free of charge.","29 Medicine Trail Rd.","Eskasoni","B1W 1G4","(902) 379-2042; toll-free: 1-877-379-2042","(902) 379-2047",,,"29 Medicine Trail Rd.
Eskasoni, NS B1W 1G4
(45.940711, -60.625932)"
"Legal Support; Aboriginal Services","Mi’kmaq Legal Support Network (serving Mainland Nova Scotia)","The Mi’kmaq Legal Support Network has 2 Aboriginal Victim Support Workers who can assist a victim through the court process, provide court prep and help with victim impact statements. One worker serves Cape Breton and the other serves Mainland Nova Scotia. Services are free of charge.","19 Chruch Street","Truro","B2N 6N4","(902) 895-1141",,,,
"Family Resource Centre; Youth Services","South Shore Family Resource Association (SSFRA)","The South Shore Family Resource Association (SSFRA) provides free programming to families with children prenatal to eighteen + in Lunenburg, Queens, Shelburne and Digby Counties.
Programs vary from site-to-site. Programming is delivered through four Family Resource Centres and numerous outreach sites, which are located throughout the South Shore and Digby County of Nova Scotia.","821 King Street, Unit 11","Shelburne","B4V 1B7","(902) 543-3119","(902) 543-1828","heather@southshorefamilyresource.org","https://www.southshorefamilyresource.org/","821 King Street, Unit 11
Shelburne, NS B4V 1B7
(44.381264, -64.522621)"
"Employment, health, education, housing, seniors, and justice programs, as well as victim services for female and male survivors and their families.","Mi'kmaw Native Friendship Centre","The Victim Support Navigator provides awareness, prevention and intervention regarding violence and sexual violence against urban aboriginal women by implementing culture, workshops and various activities. To broaden the awareness of violence against aboriginal women and the many lives that are taken by violence, we would advocate for the families and victims for instance by organizing memorials and vigils for families that lost a love one due to violence. It gives the sense of healing for the families and community by coming together to honour the life of that person.","2158 Gottingen St","Halifax","B3K 3B1","(902) 420-1576","(902) 423-6130","https://mymnfc.com/2020/01/contact-mnfc/","http://www.mymnfc.com/","2158 Gottingen St
Halifax, NS B3K 3B1
(44.652562, -63.584191)"
"Sexual Assault Centre;","Willow House","The Willow House Navigator has the training and experienced needed to guide and support victims of sexual assault while they journey through the medical, social and justice system.

24/7 support line
Supportive counselling
Access to clinical therapy
Advocacy
Assessment
Referral to agencies and organizations
Assistance in navigating the social and criminal justice system
Group sessions
Public education","Sydney","Sydney","B1P 6H4","24/7 SUPPORT LINES
Domestic Violence: (902) 539-2945; Toll free: 1-800-563-2945
Sexual Assault : (902) 270-5167; (902) 270-5536; Toll Free: 1-844-314-5167",,"cbtranshouse@ns.aliantzinc.ca","https://transitionhousefoundation.com/",
"Restorative Justice; Legal Support","Tri-County Restorative Justice","Tri-County Restorative Justice  supports victims and ensures courtesy, compassionate and respectful treatment in a safe environment.","10 Starrs Road, Provincial Building","Yarmouth","B5A 2T1","(902) 742-8262","(902) 742-1937","rjyvon@ns.aliantzinc.ca","http://tricountyrestorativejustice.com/","10 Starrs Road, Provincial Building
Yarmouth, NS B5A 2T1
(43.846675, -66.11437)"
"Transition Houses; Domestic Violence Support; Support Services","Third Place Transition House (Colchester County)","Tri-County Restorative Justice supports victims and ensures courtesy, compassionate and respectful treatment in a safe environment.","Truro","Truro","B2N 5Z5","Support line: 902-893-3232; Toll-Free Crisis line: 1-800-565-4878; Women’s Outreach: 902-895-9740",,"https://www.thirdplaceth.ca/contact/","http://www.thirdplaceth.ca/",
"Transition Houses; Domestic Violence Support; Support Services","Third Place Transition House (Truro)","Tri-County Restorative Justice supports victims and ensures courtesy, compassionate and respectful treatment in a safe environment.","Truro","Truro","B2N 5Z5","Support line: 902-893-3232; Toll-Free Crisis line: 1-800-565-4878; Women’s Outreach: 902-895-9740",,"https://www.thirdplaceth.ca/contact/","http://www.thirdplaceth.ca/",
"Transition Houses; Domestic Violence Support; Support Services","Third Place Transition House (East Hants)","Tri-County Restorative Justice supports victims and ensures courtesy, compassionate and respectful treatment in a safe environment.","Truro","Truro","B2N 5Z5","Support line: 902-893-3232; Toll-Free Crisis line: 1-800-565-4878; Women’s Outreach: 902-895-9740",,"https://www.thirdplaceth.ca/contact/","http://www.thirdplaceth.ca/",
"Heath Centres; Health Services","Acadia First Nation Community Health Center - Gold River","Various health services to the members of Acadia First Nation and their families.","311 Beech Hill Road","Chester Baisn","B0J 1K0","(902) 627-1245","(902) 627-1361","grfrontdesk@acadiaband.ca","https://acadiafirstnation.ca/health.html","311 Beech Hill Road
Chester Baisn, NS B0J 1K0
(44.561346, -64.339208)"
"Heath Centres; Health Services","Acadia First Nation Community Health Center - Yarmouth","Various health services to the members of Acadia First Nation and their families.","10534 Hwy #3","Yarmouth","B5A 5J7","(902) 742-4337","(902) 742-4824","marlarobinson-pyne@acadiaband.ca","https://acadiafirstnation.ca/health.html","10534 Hwy #3
Yarmouth, NS B5A 5J7
(43.832921, -66.08445)"
"Legal Support; Victim Services","Victim Services (serving Pictou, Guysborough, Antigonish, Colchester & Cumberland Counties)","Victim Services offers a range of services to help victims of crime in Nova Scotia, including support and assistance as your case moves through the criminal justice system; Criminal Injuries Counselling Program; Victim Impact Statement Program; information  If you are a victim of intimate partner violence / domestic violence / family violence / sexual violence, and are looking for information about crisis services as well as legal services and court services.   Serving: Pictou, Guysborough, Antigonish, Colchester & Cumberland Counties","290 West River Road","New Glasgow","B0K 1H0","(902) 485-3580; Toll Free: 1-800-565-7912",,,"https://novascotia.ca/just/victim_Services/","290 West River Road
New Glasgow, NS B0K 1H0
(45.680624, -62.726123)"
"Legal Support, Victim Services","Victim Services - Kentville with sub-offices in Bridgewater and Yarmouth","Victim Services offers a range of services to help victims of crime in Nova Scotia.  If you are a victim of intimate partner violence / domestic violence / family violence / sexual violence, and are looking for information about crisis services as well as legal services and court services.  Serving: Annapolis, Kings, Hants, Lunenburg, Queens, Shelburne, Yarmouth & Digby Counties.","49 Cornwallis Street, Suite 204","Kentville","B4N 2E3","(902) 679-6201; Toll Free: 1-800-565-1805",,,"https://novascotia.ca/just/victim_Services/contact.asp","49 Cornwallis Street, Suite 204
Kentville, NS B4N 2E3
(45.078237, -64.494186)"
"Legal Support, Victim Services","Victim Services - Child Victim/Witness Program","Victim Services offers a range of services to help victims of crime in Nova Scotia.  If you are a victim of intimate partner violence / domestic violence / family violence / sexual violence, and are looking for information about crisis services as well as legal services and court services.","49 Cornwallis Street, Suite 204","Kentville","B4N 2E3","(902) 679-6201; Toll Free: 1-800-565-1805",,,"https://novascotia.ca/just/victim_Services/contact.asp","49 Cornwallis Street, Suite 204
Kentville, NS B4N 2E3
(45.078237, -64.494186)"
"Legal Support; Victim Services","Victim Services - Child Victim/Witness Program","Victim Services offers a range of services to help victims of crime in Nova Scotia.  If you are a victim of intimate partner violence / domestic violence / family violence / sexual violence, and are looking for information about crisis services as well as legal services and court services.  Serving  Annapolis, Kings, Hants, Lunenburg, Queens, Shelburne, Yarmouth & Digby Counties","49 Cornwallis Street, Suite 204","Kentville","B4N 2E3","(902) 679-6201
Toll Free: 1-800-565-1805",,"http://novascotia.ca/just/victim_Services/contact.asp","http://novascotia.ca/just/victim_Services/contact.asp","49 Cornwallis Street, Suite 204
Kentville, NS B4N 2E3
(45.078237, -64.494186)"
"Legal Support; Victim Services","Victim Services - Sydney","Victim Services offers a range of services to help victims of crime in Nova Scotia.  If you are a victim of intimate partner violence / domestic violence / family violence / sexual violence, and are looking for information about crisis services as well as legal services and court services.  Serving: Guysborough, Cape Breton, Richmond, Inverness & Victoria Counties","136 Charlotte Street, 4th floor, Suite 9","Sydney","B1P 1C3","(902) 563-3655; Toll Free: 1-800-565-0071",,,"http://novascotia.ca/just/victim_Services/contact.asp","136 Charlotte Street, 4th floor, Suite 9
Sydney, NS B1P 1C3
(46.141693, -60.19616)"
"Victim Services; Legal Support","Victim Services - Western Region","Victim Services Programs; Provincial Victim Services Program; Child Victim/Witness Program; Criminal Injuries Counselling Program; Victim Impact Statement Program","49 Cornwallis Street, Suite 204","Kentville","B4N 2E3","(902) 679-6201; Toll Free: 1-800-565-1805",,,"http://novascotia.ca/just/victim_Services/contact.asp","49 Cornwallis Street, Suite 204
Kentville, NS B4N 2E3
(45.078237, -64.494186)"
