"age_group","year","disease","number_of_cases","rate_per_100_000_population"
"25-39","2015","Pneumococcal Disease Invasive","6","3.5"
"0-4","2015","Group A Streptococcal Disease Invasive -> Severe","0","0"
"15-24","2016","Shigellosis","1","0.9"
"All","2016","Typhoid","1","0.1"
"15-24","2016","Group B Streptococcal Disease of the Newborn","0","0"
"15-24","2015","Tetanus","0","0"
"All","2016","Listeriosis - Invasive","4","0.4"
"0-4","2016","Hepatitis A","3","6.8"
"All","2016","Acquired Immune Deficiency Syndrome","1","0.1"
"0-4","2015","Meningococcal Disease Invasive","0","0"
"All","2016","Syphilis - Infectious","18","1.9"
"40-59","2016","Listeriosis - Invasive","2","0.7"
"40-59","2016","Acute Flaccid Paralysis","0","0"
"All","2015","Botulism","0","0"
"15-24","2015","West Nile Virus","0","0"
"60+","2015","Vancomycin Resistant Enterococcus","4","1.6"
"15-24","2016","Methicillin Resistant Staphylococcus Aureus","32","28.2"
"0-4","2016","Botulism","0","0"
"5 to 14","2016","Botulism","0","0"
"25-39","2015","Shellfish Poisoning","0","0"
"60+","2015","Syphilis - Non-Infectious or Stage Pending","5","2"
"25-39","2016","Hepatitis C","144","82.5"
"15-24","2016","Cyclosporiasis","0","0"
"60+","2016","Giardiasis","23","9.1"
"All","2016","Shellfish Poisoning","0","0"
"15-24","2015","Cryptosporidiosis","5","4.4"
"5 to 14","2015","Legionellosis","0","0"
"25-39","2015","Campylobacteriosis","26","15.1"
"All","2016","Haemophilus influenzae Type b Invasive Disease","0","0"
"All","2016","Methicillin Resistant Staphylococcus Aureus","570","60"
"15-24","2016","Tuberculosis","1","0.9"
"60+","2015","Gonorrhea","1","0.4"
"All","2016","Lyme Disease - Confirmed","165","17.4"
"All","2015","Acute Flaccid Paralysis","0","0"
"60+","2015","Syphilis - Infectious","0","0"
"60+","2016","Typhoid","1","0.4"
"5 to 14","2015","Malaria","0","0"
"60+","2015","Group B Streptococcal Disease of the Newborn","0","0"
"0-4","2016","Creutzfeldt-Jakob Disease - Classic","0","0"
"25-39","2015","Acquired Immune Deficiency Syndrome","2","1.2"
"40-59","2016","Hepatitis A","3","1.1"
"60+","2015","Lyme Disease - Confirmed","51","20.7"
"60+","2016","Acquired Immune Deficiency Syndrome","0","0"
"40-59","2016","Clostridium difficile","186","67.9"
"All","2015","Haemophilus influenzae Type b Invasive Disease","0","0"
"All","2015","Hepatitis C","357","37.9"
"40-59","2015","Typhoid","0","0"
"5 to 14","2015","Syphilis - Non-Infectious or Stage Pending","0","0"
"25-39","2016","Methicillin Resistant Staphylococcus Aureus","43","24.6"
"5 to 14","2016","Human Immunodeficiency Virus","0","0"
"0-4","2016","Pneumococcal Disease Invasive","7","16"
"60+","2016","Salmonellosis","41","16.1"
"25-39","2015","Giardiasis","19","11"
"25-39","2016","Group A Streptococcal Disease Invasive -> Severe","3","1.7"
"40-59","2015","Hepatitis B - Acute","4","1.4"
"All","2016","Creutzfeldt-Jakob Disease - Classic","1","0.1"
"0-4","2015","Mumps","0","0"
"60+","2015","Salmonellosis","58","23.6"
"5 to 14","2015","Lyme Disease - Probable","11","12.3"
"40-59","2016","Influenza","68","32.2"
"25-39","2016","Campylobacteriosis","43","24.6"
"0-4","2016","Cryptosporidiosis","2","4.6"
"15-24","2015","Hepatitis B - Chronic","0","0"
"40-59","2016","Cryptosporidiosis","7","2.6"
"40-59","2016","Giardiasis","36","13.1"
"25-39","2015","Group B Streptococcal Disease of the Newborn","0","0"
"40-59","2015","Meningococcal Disease Invasive","0","0"
"60+","2016","Acute Flaccid Paralysis","0","0"
"60+","2016","Pneumococcal Disease Invasive","21","8.3"
"0-4","2015","Group A Streptococcal Disease Invasive -> non-Severe","0","0"
"5 to 14","2015","Lyme Disease - Confirmed","12","13.4"
"60+","2016","Shellfish Poisoning","0","0"
"25-39","2015","Haemophilus influenzae Type b Invasive Disease","0","0"
"25-39","2015","Vancomycin Resistant Enterococcus","0","0"
"0-4","2016","Syphilis - Infectious","0","0"
"25-39","2016","Haemophilus influenzae Type b Invasive Disease","0","0"
"0-4","2016","Giardiasis","2","4.6"
"25-39","2015","Cryptosporidiosis","7","4.1"
"15-24","2016","Acute Flaccid Paralysis","0","0"
"15-24","2015","Group A Streptococcal Disease Invasive -> non-Severe","0","0"
"60+","2015","Typhoid","0","0"
"60+","2015","Botulism","0","0"
"5 to 14","2015","Group A Streptococcal Disease Invasive -> non-Severe","2","2.2"
"60+","2016","Group B Streptococcal Disease of the Newborn","0","0"
"All","2015","Pneumococcal Disease Invasive","52","5.5"
"25-39","2015","Gonorrhea","53","30.8"
"0-4","2015","Verotoxigenic E.coli","2","4.6"
"40-59","2015","Hepatitis B - Chronic","3","1.1"
"60+","2016","Influenza","179","70.5"
"15-24","2015","Human Immunodeficiency Virus","4","3.5"
"5 to 14","2016","Chlamydia","6","6.7"
"40-59","2015","Haemophilus influenzae Type b Invasive Disease","0","0"
"15-24","2016","Hepatitis A","0","0"
"60+","2016","Pertussis","2","0.8"
"5 to 14","2016","Giardiasis","5","5.6"
"60+","2015","Pneumococcal Disease Invasive","25","10.2"
"0-4","2015","Botulism","0","0"
"0-4","2016","Acute Flaccid Paralysis","0","0"
"25-39","2016","Botulism","0","0"
"5 to 14","2016","Hepatitis B - Chronic","1","1.1"
"25-39","2016","Acquired Immune Deficiency Syndrome","0","0"
"5 to 14","2015","West Nile Virus","0","0"
"5 to 14","2016","Rubella","0","0"
"15-24","2015","Clostridium difficile","41","35.7"
"5 to 14","2015","Shellfish Poisoning","0","0"
"All","2016","Lyme Disease - Probable","161","17"
"0-4","2015","Malaria","0","0"
"0-4","2015","Cyclosporiasis","0","0"
"5 to 14","2016","Salmonellosis","9","10"
"0-4","2015","Pneumococcal Disease Invasive","3","7"
"60+","2016","Group A Streptococcal Disease Invasive -> Severe","2","0.8"
"5 to 14","2015","Chlamydia","16","17.9"
"All","2015","Creutzfeldt-Jakob Disease - Classic","0","0"
"0-4","2015","Vancomycin Resistant Enterococcus","0","0"
"25-39","2015","Influenza","17","9.9"
"40-59","2016","West Nile Virus","0","0"
"60+","2015","Methicillin Resistant Staphylococcus Aureus","414","168.2"
"40-59","2016","Pneumococcal Disease Invasive","28","10.2"
"All","2016","Meningitis - Bacterial","0","0"
"25-39","2016","Giardiasis","24","13.8"
"All","2015","Methicillin Resistant Staphylococcus Aureus","625","66.3"
"60+","2016","Tuberculosis","0","0"
"25-39","2016","Listeriosis - Invasive","0","0"
"40-59","2015","Hepatitis C","103","37.1"
"0-4","2015","Methicillin Resistant Staphylococcus Aureus","15","34.8"
"5 to 14","2015","Campylobacteriosis","4","4.5"
"5 to 14","2015","Botulism","0","0"
"All","2016","Group A Streptococcal Disease Invasive -> Severe","7","0.7"
"0-4","2015","Typhoid","0","0"
"40-59","2016","Cyclosporiasis","0","0"
"All","2016","Hepatitis C","299","31.5"
"25-39","2015","Syphilis - Non-Infectious or Stage Pending","12","7"
"5 to 14","2015","Group A Streptococcal Disease Invasive -> Severe","0","0"
"60+","2015","Creutzfeldt-Jakob Disease - Classic","0","0"
"60+","2016","Creutzfeldt-Jakob Disease - Classic","1","0.4"
"40-59","2016","Shigellosis","7","2.6"
"25-39","2015","Methicillin Resistant Staphylococcus Aureus","45","26.1"
"0-4","2015","Hepatitis B - Acute","0","0"
"25-39","2015","Salmonellosis","30","17.4"
"40-59","2015","Salmonellosis","54","19.5"
"All","2015","Shigellosis","5","0.5"
"5 to 14","2015","Acute Flaccid Paralysis","0","0"
"5 to 14","2015","Gonorrhea","0","0"
"40-59","2016","Malaria","4","1.5"
"5 to 14","2016","Hepatitis C","0","0"
"15-24","2015","Verotoxigenic E.coli","1","0.9"
"15-24","2015","Chlamydia","1948","1695.8"
"60+","2015","Tuberculosis","1","0.4"
"60+","2016","Haemophilus influenzae Type b Invasive Disease","0","0"
"5 to 14","2015","Meningococcal Disease Invasive","1","1.1"
"60+","2015","Verotoxigenic E.coli","0","0"
"25-39","2016","Cryptosporidiosis","6","3.4"
"0-4","2015","Clostridium difficile","19","44.1"
"All","2015","Syphilis - Infectious","43","4.6"
"All","2015","Meningitis - Bacterial","0","0"
"60+","2016","Vancomycin Resistant Enterococcus","11","4.3"
"All","2016","Hepatitis B - Chronic","13","1.4"
"0-4","2016","Gonorrhea","0","0"
"60+","2016","Lyme Disease - Probable","69","27.2"
"25-39","2016","Meningococcal Disease Invasive","0","0"
"25-39","2016","Typhoid","0","0"
"15-24","2016","Salmonellosis","17","15"
"5 to 14","2016","Group A Streptococcal Disease Invasive -> Severe","0","0"
"All","2015","Hepatitis B - Chronic","9","1"
"40-59","2015","Vancomycin Resistant Enterococcus","0","0"
"15-24","2015","Malaria","1","0.9"
"60+","2015","Acquired Immune Deficiency Syndrome","0","0"
"All","2015","Gonorrhea","133","14.1"
"0-4","2015","Syphilis - Infectious","0","0"
"40-59","2016","Hepatitis C","79","28.8"
"0-4","2015","Tetanus","0","0"
"5 to 14","2015","Salmonellosis","7","7.8"
"60+","2016","Listeriosis - Invasive","2","0.8"
"15-24","2015","Lyme Disease - Probable","9","7.8"
"All","2015","Tetanus","0","0"
"40-59","2015","Tuberculosis","1","0.4"
"25-39","2016","Meningitis - Bacterial","0","0"
"15-24","2016","Shellfish Poisoning","0","0"
"5 to 14","2016","Vancomycin Resistant Enterococcus","0","0"
"15-24","2016","Gonorrhea","86","75.8"
"25-39","2016","Cyclosporiasis","2","1.1"
"0-4","2015","Gonorrhea","0","0"
"5 to 14","2016","Cyclosporiasis","0","0"
"0-4","2016","Pertussis","19","45.3"
"0-4","2016","Campylobacteriosis","10","22.8"
"60+","2016","Methicillin Resistant Staphylococcus Aureus","366","144.1"
"60+","2015","Influenza","574","233.2"
"15-24","2016","Chlamydia","1967","1734.7"
"60+","2016","Rubella","0","0"
"60+","2015","Hepatitis B - Chronic","1","0.4"
"15-24","2015","Botulism","0","0"
"5 to 14","2016","Legionellosis","0","0"
"0-4","2016","Tetanus","0","0"
"15-24","2016","Influenza","10","8.8"
"60+","2015","Shigellosis","1","0.4"
"60+","2015","Pertussis","1","0.4"
"15-24","2015","Cyclosporiasis","0","0"
"5 to 14","2016","Tuberculosis","0","0"
"0-4","2016","Shellfish Poisoning","0","0"
"All","2015","Syphilis - Non-Infectious or Stage Pending","28","3"
"40-59","2016","Rubella","0","0"
"60+","2016","Human Immunodeficiency Virus","1","0.4"
"25-39","2015","Clostridium difficile","70","40.7"
"60+","2016","Hepatitis C","25","9.8"
"5 to 14","2015","Typhoid","0","0"
"All","2016","Group B Streptococcal Disease of the Newborn","3","0.3"
"15-24","2015","Salmonellosis","12","10.4"
"0-4","2016","Legionellosis","0","0"
"15-24","2015","Meningococcal Disease Invasive","5","4.4"
"25-39","2015","West Nile Virus","0","0"
"All","2015","Acquired Immune Deficiency Syndrome","3","0.3"
"15-24","2015","Syphilis - Non-Infectious or Stage Pending","4","3.5"
"25-39","2016","Shigellosis","1","0.6"
"All","2015","Pertussis","110","11.7"
"40-59","2015","Shellfish Poisoning","0","0"
"15-24","2016","Vancomycin Resistant Enterococcus","0","0"
"All","2015","Chlamydia","2860","303.3"
"0-4","2016","Chlamydia","2","4.6"
"All","2015","Salmonellosis","169","17.9"
"All","2015","Lyme Disease - Confirmed","124","13.1"
"60+","2015","Human Immunodeficiency Virus","0","0"
"15-24","2016","Acquired Immune Deficiency Syndrome","0","0"
"5 to 14","2016","Shigellosis","0","0"
"5 to 14","2016","Creutzfeldt-Jakob Disease - Classic","0","0"
"All","2016","Botulism","0","0"
"15-24","2016","Hepatitis C","50","44.1"
"5 to 14","2016","Typhoid","0","0"
"40-59","2015","Campylobacteriosis","53","19.1"
"0-4","2016","Listeriosis - Invasive","0","0"
"60+","2015","Hepatitis C","31","12.6"
"15-24","2015","Rubella","0","0"
"60+","2016","Legionellosis","1","0.4"
"40-59","2015","Lyme Disease - Probable","35","12.6"
"All","2016","Cyclosporiasis","2","0.2"
"15-24","2015","Hepatitis C","76","66.2"
"60+","2016","Verotoxigenic E.coli","0","0"
"40-59","2016","Meningococcal Disease Invasive","1","0.4"
"15-24","2016","Listeriosis - Invasive","0","0"
"25-39","2016","Malaria","1","0.6"
"All","2015","West Nile Virus","0","0"
"60+","2016","Hepatitis B - Acute","2","0.8"
"40-59","2016","Verotoxigenic E.coli","0","0"
"All","2015","Lyme Disease - Probable","130","13.8"
"5 to 14","2015","Tetanus","0","0"
"40-59","2015","Lyme Disease - Confirmed","34","12.3"
"5 to 14","2016","Syphilis - Infectious","0","0"
"5 to 14","2015","Giardiasis","1","1.1"
"15-24","2015","Pneumococcal Disease Invasive","2","1.7"
"25-39","2015","Malaria","2","1.2"
"0-4","2015","Tuberculosis","0","0"
"15-24","2016","Giardiasis","10","8.8"
"60+","2016","Syphilis - Non-Infectious or Stage Pending","3","1.2"
"All","2015","Typhoid","0","0"
"25-39","2016","Gonorrhea","91","52.2"
"0-4","2016","Salmonellosis","7","16"
"5 to 14","2015","Methicillin Resistant Staphylococcus Aureus","13","14.6"
"All","2015","Tuberculosis","6","0.6"
"15-24","2015","Hepatitis A","0","0"
"0-4","2015","Acquired Immune Deficiency Syndrome","0","0"
"All","2016","Clostridium difficile","874","92"
"60+","2016","Tetanus","0","0"
"25-39","2016","Human Immunodeficiency Virus","4","2.3"
"60+","2015","Meningococcal Disease Invasive","1","0.4"
"25-39","2016","Verotoxigenic E.coli","0","0"
"5 to 14","2015","Clostridium difficile","14","15.7"
"25-39","2015","Typhoid","0","0"
"40-59","2015","Cryptosporidiosis","4","1.4"
"25-39","2015","Meningococcal Disease Invasive","0","0"
"25-39","2015","Hepatitis B - Chronic","5","2.9"
"15-24","2016","Meningococcal Disease Invasive","2","1.8"
"40-59","2015","Influenza","66","23.8"
"60+","2016","Syphilis - Infectious","1","0.4"
"All","2015","Hepatitis A","1","0.1"
"40-59","2016","Chlamydia","97","35.4"
"0-4","2016","Hepatitis B - Acute","0","0"
"15-24","2015","Vancomycin Resistant Enterococcus","0","0"
"All","2015","Cryptosporidiosis","17","1.8"
"60+","2015","Lyme Disease - Probable","54","21.9"
"60+","2016","Malaria","0","0"
"5 to 14","2016","Influenza","19","21.2"
"15-24","2016","Campylobacteriosis","20","17.6"
"0-4","2016","Group B Streptococcal Disease of the Newborn","3","6.8"
"40-59","2016","Lyme Disease - Confirmed","47","17.2"
"60+","2016","Shigellosis","0","0"
"All","2016","Influenza","325","34.2"
"60+","2015","Malaria","0","0"
"40-59","2015","Syphilis - Non-Infectious or Stage Pending","5","1.8"
"0-4","2016","Rubella","0","0"
"15-24","2015","Group A Streptococcal Disease Invasive -> Severe","0","0"
"5 to 14","2016","Cryptosporidiosis","3","3.3"
"40-59","2016","Legionellosis","0","0"
"0-4","2015","West Nile Virus","0","0"
"0-4","2016","Hepatitis B - Chronic","0","0"
"5 to 14","2015","Syphilis - Infectious","0","0"
"All","2015","Group A Streptococcal Disease Invasive -> non-Severe","15","1.6"
"25-39","2015","Lyme Disease - Confirmed","11","6.4"
"25-39","2016","Salmonellosis","21","12"
"0-4","2015","Pertussis","31","71.9"
"25-39","2015","Meningitis - Bacterial","0","0"
"40-59","2015","Clostridium difficile","165","59.5"
"40-59","2016","Human Immunodeficiency Virus","6","2.2"
"5 to 14","2015","Cryptosporidiosis","0","0"
"All","2016","Mumps","1","0.1"
"60+","2015","Hepatitis A","0","0"
"All","2016","Hepatitis A","11","1.2"
"15-24","2015","Listeriosis - Invasive","0","0"
"15-24","2016","Cryptosporidiosis","6","5.3"
"25-39","2015","Cyclosporiasis","0","0"
"0-4","2016","Vancomycin Resistant Enterococcus","0","0"
"All","2016","Pneumococcal Disease Invasive","66","7"
"40-59","2015","Chlamydia","80","28.8"
"25-39","2015","Chlamydia","806","468.3"
"0-4","2015","Haemophilus influenzae Type b Invasive Disease","0","0"
"All","2016","Salmonellosis","139","14.6"
"40-59","2016","Tuberculosis","0","0"
"60+","2015","Acute Flaccid Paralysis","0","0"
"0-4","2015","Shigellosis","0","0"
"40-59","2016","Syphilis - Non-Infectious or Stage Pending","7","2.6"
"40-59","2016","Group A Streptococcal Disease Invasive -> non-Severe","4","1.5"
"40-59","2016","Vancomycin Resistant Enterococcus","2","0.7"
"25-39","2016","Clostridium difficile","75","43"
"40-59","2016","Pertussis","5","1.8"
"5 to 14","2016","Mumps","0","0"
"60+","2015","Shellfish Poisoning","0","0"
"0-4","2016","Acquired Immune Deficiency Syndrome","0","0"
"5 to 14","2016","Listeriosis - Invasive","0","0"
"15-24","2015","Campylobacteriosis","31","27"
"5 to 14","2015","Shigellosis","0","0"
"25-39","2015","Pertussis","12","7"
"40-59","2016","Mumps","0","0"
"60+","2016","Hepatitis B - Chronic","2","0.8"
"25-39","2015","Legionellosis","0","0"
"0-4","2016","Group A Streptococcal Disease Invasive -> Severe","1","2.3"
"All","2016","Tuberculosis","2","0.2"
"40-59","2015","Botulism","0","0"
"25-39","2016","Acute Flaccid Paralysis","0","0"
"25-39","2015","Tetanus","0","0"
"25-39","2016","Legionellosis","0","0"
"15-24","2016","Creutzfeldt-Jakob Disease - Classic","0","0"
"15-24","2016","Syphilis - Infectious","3","2.6"
"All","2016","Malaria","6","0.6"
"15-24","2015","Group B Streptococcal Disease of the Newborn","0","0"
"All","2015","Vancomycin Resistant Enterococcus","4","0.4"
"40-59","2016","Campylobacteriosis","54","19.7"
"15-24","2016","West Nile Virus","0","0"
"All","2016","Shigellosis","10","1.1"
"All","2015","Group A Streptococcal Disease Invasive -> Severe","10","1.1"
"All","2016","Group A Streptococcal Disease Invasive -> non-Severe","12","1.3"
"40-59","2016","Shellfish Poisoning","0","0"
"60+","2016","Gonorrhea","3","1.2"
"0-4","2016","Typhoid","0","0"
"All","2015","Group B Streptococcal Disease of the Newborn","3","0.3"
"60+","2016","Clostridium difficile","552","217.3"
"5 to 14","2016","Shellfish Poisoning","0","0"
"60+","2016","Hepatitis A","1","0.4"
"15-24","2016","Botulism","0","0"
"25-39","2016","Tetanus","0","0"
"All","2015","Rubella","0","0"
"25-39","2016","Group B Streptococcal Disease of the Newborn","0","0"
"5 to 14","2016","Meningococcal Disease Invasive","0","0"
"25-39","2015","Acute Flaccid Paralysis","0","0"
"15-24","2016","Typhoid","0","0"
"60+","2015","Meningitis - Bacterial","0","0"
"60+","2015","Chlamydia","8","3.3"
"0-4","2016","Group A Streptococcal Disease Invasive -> non-Severe","0","0"
"25-39","2015","Human Immunodeficiency Virus","10","5.8"
"25-39","2015","Listeriosis - Invasive","1","0.6"
"40-59","2015","Acute Flaccid Paralysis","0","0"
"5 to 14","2016","Clostridium difficile","14","15.6"
"25-39","2016","Chlamydia","853","488.9"
"0-4","2015","Syphilis - Non-Infectious or Stage Pending","2","4.6"
"5 to 14","2016","Pertussis","18","20.1"
"5 to 14","2016","Meningitis - Bacterial","0","0"
"15-24","2016","Rubella","0","0"
"0-4","2015","Cryptosporidiosis","0","0"
"All","2016","Meningococcal Disease Invasive","4","0.4"
"5 to 14","2015","Cyclosporiasis","0","0"
"All","2016","Campylobacteriosis","170","17.9"
"15-24","2016","Human Immunodeficiency Virus","5","4.4"
"15-24","2015","Influenza","9","7.8"
"All","2016","Hepatitis B - Acute","10","1.1"
"0-4","2016","Hepatitis C","1","2.3"
"15-24","2016","Pertussis","10","8.8"
"All","2016","Legionellosis","1","0.1"
"All","2015","Clostridium difficile","812","86.1"
"40-59","2015","Cyclosporiasis","2","0.7"
"25-39","2015","Hepatitis C","147","85.4"
"40-59","2015","West Nile Virus","0","0"
"40-59","2016","Typhoid","0","0"
"60+","2015","Listeriosis - Invasive","5","2"
"40-59","2015","Human Immunodeficiency Virus","3","1.1"
"All","2015","Influenza","718","76.1"
"5 to 14","2015","Vancomycin Resistant Enterococcus","0","0"
"0-4","2016","Haemophilus influenzae Type b Invasive Disease","0","0"
"25-39","2016","Shellfish Poisoning","0","0"
"5 to 14","2015","Hepatitis B - Chronic","0","0"
"25-39","2016","Creutzfeldt-Jakob Disease - Classic","0","0"
"0-4","2015","Group B Streptococcal Disease of the Newborn","3","7"
"All","2015","Human Immunodeficiency Virus","17","1.8"
"40-59","2015","Giardiasis","35","12.6"
"5 to 14","2016","Syphilis - Non-Infectious or Stage Pending","0","0"
"15-24","2016","Tetanus","0","0"
"5 to 14","2016","Hepatitis A","2","2.2"
"0-4","2015","Campylobacteriosis","8","18.6"
"40-59","2015","Verotoxigenic E.coli","0","0"
"40-59","2016","Botulism","0","0"
"15-24","2015","Gonorrhea","59","51.4"
"15-24","2016","Hepatitis B - Chronic","0","0"
"25-39","2015","Group A Streptococcal Disease Invasive -> Severe","3","1.7"
"0-4","2016","Methicillin Resistant Staphylococcus Aureus","12","27.3"
"5 to 14","2015","Pneumococcal Disease Invasive","1","1.1"
"0-4","2015","Human Immunodeficiency Virus","0","0"
"All","2015","Hepatitis B - Acute","9","1"
"5 to 14","2016","Hepatitis B - Acute","0","0"
"All","2015","Campylobacteriosis","155","16.4"
"25-39","2016","Group A Streptococcal Disease Invasive -> non-Severe","3","1.7"
"40-59","2015","Methicillin Resistant Staphylococcus Aureus","105","37.8"
"15-24","2015","Haemophilus influenzae Type b Invasive Disease","0","0"
"0-4","2015","Shellfish Poisoning","0","0"
"40-59","2016","Creutzfeldt-Jakob Disease - Classic","0","0"
"15-24","2015","Tuberculosis","1","0.9"
"0-4","2016","Shigellosis","1","2.3"
"5 to 14","2016","Acute Flaccid Paralysis","0","0"
"40-59","2015","Meningitis - Bacterial","0","0"
"60+","2015","Group A Streptococcal Disease Invasive -> non-Severe","6","2.4"
"60+","2015","Tetanus","0","0"
"5 to 14","2016","Methicillin Resistant Staphylococcus Aureus","12","13.4"
"40-59","2015","Group A Streptococcal Disease Invasive -> non-Severe","3","1.1"
"40-59","2016","Methicillin Resistant Staphylococcus Aureus","104","38"
"15-24","2016","Meningitis - Bacterial","0","0"
"5 to 14","2015","Rubella","0","0"
"5 to 14","2016","Acquired Immune Deficiency Syndrome","0","0"
"15-24","2015","Methicillin Resistant Staphylococcus Aureus","31","27"
"0-4","2016","Lyme Disease - Probable","4","9.1"
"All","2016","Tetanus","0","0"
"5 to 14","2015","Creutzfeldt-Jakob Disease - Classic","0","0"
"5 to 14","2016","Campylobacteriosis","9","10"
"15-24","2017","Botulism","0","0"
"25-39","2017","Group A Streptococcal Disease Invasive -> non-Severe","7","3.9"
"All","2017","Clostridium difficile","927","97.2"
"0-4","2017","Lyme Disease - Confirmed","8","18.7"
"All","2017","Chlamydia","2988","313.3"
"25-39","2017","Listeriosis - Invasive","0","0"
"All","2017","Pneumococcal Disease Invasive","49","5.1"
"0-4","2017","Clostridium difficile","24","56.1"
"25-39","2017","Lyme Disease - Probable","22","12.3"
"5 to 14","2017","Gonorrhea","0","0"
