"fund_name","revenue_category","org_description","object_description","original_budget","revised_budget","fiscal_year","id"
"General Fund","Other Revenue","Genl Fd PD Revenue","Restitution","1152.00","1152.00","2016","2016-1001-410-80020-00000000-00000000-4550"
"General Fund","Other Taxes","Genl Fd GG Revenue","Tax BTU Franchise","191746.00","191746.00","2016","2016-1001-100-80010-00000000-00000000-4155-"
"General Fund","Other Taxes","Genl Fd GG Revenue","Tax Natural Gas Franchise","585800.00","585800.00","2016","2016-1001-100-80010-00000000-00000000-4150"
"General Fund","Other Taxes","Genl Fd GG Revenue","Tax Oil & Gas Franchise","27849.00","27849.00","2016","2016-1001-100-80010-00000000-00000000-4151"
"General Fund","Other Taxes","Genl Fd GG Revenue","Tax Telecable Franchise","1032823.00","1032823.00","2016","2016-1001-100-80010-00000000-00000000-4152"
"General Fund","Other Taxes","Genl Fd GG Revenue","Tax Telephone Franchise","570000.00","570000.00","2016","2016-1001-100-80010-00000000-00000000-4153"
"General Fund","Other Taxes","Genl Fd GG Revenue","Tax Use of Streets","49191.00","49191.00","2016","2016-1001-100-80010-00000000-00000000-4154"
"General Fund","Rents and Royalties","Genl Fd Adamson Lagoon","Rentals","30000","30000","2016","2016-1001-530-81125-AQ733   -00000000-4510"
"General Fund","Rents and Royalties","Genl Fd GG Revenue","P&DS Mineral Interest Royalty","5212.00","5212.00","2016","2016-1001-100-80010-00000000-00000000-4474"
"General Fund","Rents and Royalties","Genl Fd Lincoln Center","Rentals Lincoln Center","25000.00","25000.00","2016","2016-1001-530-81125-CT850   -00000000-4516"
"General Fund","Rents and Royalties","Genl Fd PARD Revenue","Rentals Ball fields","60000.00","60000.00","2016","2016-1001-530-80060-00000000-00000000-4515"
"General Fund","Rents and Royalties","Genl Fd PARD Revenue","Rentals Equipment Nontaxable","1061.00","1061.00","2016","2016-1001-530-80060-00000000-00000000-4525"
"General Fund","Rents and Royalties","Genl Fd PARD Revenue","Rentals Miscellaneous","11012.00","11012.00","2016","2016-1001-530-80060-00000000-00000000-4529"
"General Fund","Rents and Royalties","Genl Fd PARD Revenue","Rentals Park Pavilions","37000.00","37000.00","2016","2016-1001-530-80060-00000000-00000000-4517"
"General Fund","Rents and Royalties","Genl Fd PARD Revenue","Rentals WPC Amphitheater","12000.00","12000.00","2016","2016-1001-530-80060-00000000-00000000-4519"
"General Fund","Rents and Royalties","Genl Fd Southwood Pool","Rentals Southwood Pool","10000.00","10000.00","2016","2016-1001-530-81125-AQ731   -00000000-4511"
"General Fund","Rents and Royalties","Genl Fd SW Center   Teen","Rentals SW Center","25000.00","25000.00","2016","2016-1001-530-81125-CT840   -00000000-4518"
"General Fund","Rents and Royalties","Genl Fd Thomas Pool","Rentals Thomas Park Pool","2500.00","2500.00","2016","2016-1001-530-81125-AQ732   -00000000-4512"
"General Fund","Sales Tax","Genl Fd GG Revenue","Tax Local Sales Tax","27592000.00","27592000.00","2016","2016-1001-100-80010-00000000-00000000-4120"
"General Fund","Sales Tax","Genl Fd GG Revenue","Tax Mixed Drink","627016","627016","2016","2016-1001-100-80010-00000000-00000000-4140"
"General Fund","Transfers In-CIP","Genl Fd Non Dept Revenue","Transfer In Streets CIP Fd","636956","636956","2016","2016-1001-910-89000-00000000-00000000-4879"
"General Fund","Utility Transfer","Genl Fd GG Revenue","Utility Transfer Electric","6893217.00","6893217.00","2016","2016-1001-100-80010-00000000-00000000-4750"
"General Fund","Utility Transfer","Genl Fd GG Revenue","Utility Transfer Sanitation","722034.00","722034.00","2016","2016-1001-100-80010-00000000-00000000-4751"
"General Fund","Utility Transfer","Genl Fd GG Revenue","Utility Transfer Wastewater","1358261.00","1358261.00","2016","2016-1001-100-80010-00000000-00000000-4752"
"General Fund","Utility Transfer","Genl Fd GG Revenue","Utility Transfer Water","1501405.00","1501405.00","2016","2016-1001-100-80010-00000000-00000000-4753"
"General Govt Projects Fund","Bond Proceeds","Gen Govt CIP Fd Non Dept Rev","Proceeds Certificates of Oblig","2250000.00","2250000.00","2016","2016-4137-910-89000-00000000-00000000-4050"
"General Govt Projects Fund","Bond Proceeds","Gen Govt CIP Fd Non Dept Rev","Proceeds General Oblig Bonds","4185000.00","4185000.00","2016","2016-4137-910-89000-00000000-00000000-4040"
"General Govt Projects Fund","Investment Earnings","Gen Govt CIP Fd Non Dept Rev","Investment Income","20000.00","20000.00","2016","2016-4137-910-89000-00000000-00000000-4030"
"General Govt Projects Fund","Misc Non-Operating","Gen Govt CIP Fd Non Dept Rev","Misc Nonoperating Revenue","10000.00","10000.00","2016","2016-4137-910-89000-00000000-00000000-4790-"
"Hotel Tax Fund","Hotel Tax","Hotel Tax Fd Non Dept Rev","Tax Hotel/Motel","5502000.00","5502000.00","2016","2016-3121-910-89000-00000000-00000000-4130"
"Hotel Tax Fund","Investment Earnings","Hotel Tax Fd Non Dept Rev","Investment Income","40000.00","40000.00","2016","2016-3121-910-89000-00000000-00000000-4030"
"Juvenile Case Manager Fee Fund","Fines & Penalties","Juv Mgr Fd Revenue","Court Municipal Court Fees","73056.00","73056.00","2016","2016-3009-300-80015-00000000-00000000-4415"
"Juvenile Case Manager Fee Fund","Investment Earnings","Juv Mgr Fd Revenue","Investment Income","1033.00","1033.00","2016","2016-3009-300-80015-00000000-00000000-4030"
"Memorial Cem Endowment Fund","Charges for Services","Mem Endow Fd Non Dept Rev","Sales Cemetery Plots","119922","119922","2016","2016-3352-910-89000-00000000-00000000-4260"
"Memorial Cem Endowment Fund","Investment Earnings","Mem Endow Fd Non Dept Rev","Investment Income","5000.00","5000.00","2016","2016-3352-910-89000-00000000-00000000-4030"
"Memorial Cemetery Fund","Charges for Services","Mem Cem Fd Non Dept Rev","Sales Cemetery Plots","243478","243478","2016","2016-3350-910-89000-00000000-00000000-4260"
"Memorial Cemetery Fund","Investment Earnings","Mem Cem Fd Non Dept Rev","Investment Income","5000.00","5000.00","2016","2016-3350-910-89000-00000000-00000000-4030"
"Neighborhood Park Zone 10 Fund","Contribution Revenue","Neigh Pk Zone 10 Non Dept Rev","Contributions/Donations Misc","26682.00","26682.00","2016","2016-4180-910-89000-00000000-00000000-4572"
"Neighborhood Park Zone 10 Fund","Investment Earnings","Neigh Pk Zone 10 Non Dept Rev","Investment Income","889.00","889.00","2016","2016-4180-910-89000-00000000-00000000-4030"
"Neighborhood Park Zone 12 Fund","Contribution Revenue","Neigh Pk Zone 12 Non Dept Rev","Contributions/Donations Misc","1910.00","1910.00","2016","2016-4182-910-89000-00000000-00000000-4572"
"Neighborhood Park Zone 12 Fund","Investment Earnings","Neigh Pk Zone 12 Non Dept Rev","Investment Income","64.00","64.00","2016","2016-4182-910-89000-00000000-00000000-4030"
"Neighborhood Park Zone 13 Fund","Contribution Revenue","Neigh Pk Zone 13 Non Dept Rev","Contributions/Donations Misc","6446.00","6446.00","2016","2016-4183-910-89000-00000000-00000000-4572"
"Neighborhood Park Zone 13 Fund","Investment Earnings","Neigh Pk Zone 13 Non Dept Rev","Investment Income","215.00","215.00","2016","2016-4183-910-89000-00000000-00000000-4030"
"Neighborhood Park Zone 14 Fund","Contribution Revenue","Neigh Pk Zone 14 Non Dept Rev","Contributions/Donations Misc","7162.00","7162.00","2016","2016-4184-910-89000-00000000-00000000-4572"
"Neighborhood Park Zone 14 Fund","Investment Earnings","Neigh Pk Zone 14 Non Dept Rev","Investment Income","239.00","239.00","2016","2016-4184-910-89000-00000000-00000000-4030"
"Neighborhood Park Zone 15 Fund","Contribution Revenue","Neigh Pk Zone 15 Non Dept Rev","Contributions/Donations Misc","56898.00","56898.00","2016","2016-4185-910-89000-00000000-00000000-4572"
"Neighborhood Park Zone 15 Fund","Investment Earnings","Neigh Pk Zone 15 Non Dept Rev","Investment Income","1897.00","1897.00","2016","2016-4185-910-89000-00000000-00000000-4030"
"Neighborhood Park Zone 24 Fund","Contribution Revenue","Neigh Pk Zone 24 Non Dept Rev","Contributions/Donations Misc","1194.00","1194.00","2016","2016-4194-910-89000-00000000-00000000-4572"
"Neighborhood Park Zone 24 Fund","Investment Earnings","Neigh Pk Zone 24 Non Dept Rev","Investment Income","40.00","40.00","2016","2016-4194-910-89000-00000000-00000000-4030"
"Neighborhood Park Zone 26 Fund","Contribution Revenue","Neigh Pk Zone 26 Non Dept Rev","Contributions/Donations Misc","25863.00","25863.00","2016","2016-4196-910-89000-00000000-00000000-4572"
"Neighborhood Park Zone 26 Fund","Investment Earnings","Neigh Pk Zone 26 Non Dept Rev","Investment Income","862.00","862.00","2016","2016-4196-910-89000-00000000-00000000-4030"
"Neighborhood Park Zone 3 Fund","Contribution Revenue","Neigh Pk Zone 3 Non Dept Rev","Contributions/Donations Misc","6764.00","6764.00","2016","2016-4173-910-89000-00000000-00000000-4572"
"Neighborhood Park Zone 3 Fund","Investment Earnings","Neigh Pk Zone 3 Non Dept Rev","Investment Income","225.00","225.00","2016","2016-4173-910-89000-00000000-00000000-4030"
"Neighborhood Park Zone 4 Fund","Contribution Revenue","Neigh Pk Zone 4 Non Dept Rev","Contributions/Donations Misc","14658.00","14658.00","2016","2016-4174-910-89000-00000000-00000000-4572"
"Neighborhood Park Zone 4 Fund","Investment Earnings","Neigh Pk Zone 4 Non Dept Rev","Investment Income","489.00","489.00","2016","2016-4174-910-89000-00000000-00000000-4030"
"Neighborhood Park Zone 5 Fund","Contribution Revenue","Neigh Pk Zone 5 Non Dept Rev","Contributions/Donations Misc","525.00","525.00","2016","2016-4175-910-89000-00000000-00000000-4572"
"Neighborhood Park Zone 5 Fund","Investment Earnings","Neigh Pk Zone 5 Non Dept Rev","Investment Income","18.00","18.00","2016","2016-4175-910-89000-00000000-00000000-4030"
"Neighborhood Park Zone 7 Fund","Contribution Revenue","Neigh Pk Zone 7 Non Dept Rev","Contributions/Donations Misc","21486.00","21486.00","2016","2016-4177-910-89000-00000000-00000000-4572"
"Neighborhood Park Zone 7 Fund","Investment Earnings","Neigh Pk Zone 7 Non Dept Rev","Investment Income","716.00","716.00","2016","2016-4177-910-89000-00000000-00000000-4030"
"Neighborhood Park Zone 8 Fund","Contribution Revenue","Neigh Pk Zone 8 Non Dept Rev","Contributions/Donations Misc","1377.00","1377.00","2016","2016-4178-910-89000-00000000-00000000-4572"
"Neighborhood Park Zone 8 Fund","Investment Earnings","Neigh Pk Zone 8 Non Dept Rev","Investment Income","46.00","46.00","2016","2016-4178-910-89000-00000000-00000000-4030"
"Neighborhood Park Zone 9 Fund","Contribution Revenue","Neigh Pk Zone 9 Non Dept Rev","Contributions/Donations Misc","1751.00","1751.00","2016","2016-4179-910-89000-00000000-00000000-4572"
"Neighborhood Park Zone 9 Fund","Investment Earnings","Neigh Pk Zone 9 Non Dept Rev","Investment Income","58.00","58.00","2016","2016-4179-910-89000-00000000-00000000-4030"
"Northgate Parking Fund","Fines & Penalties","NG Pkg Fd Revenue","Fines/Penalties Parking","216584.00","216584.00","2016","2016-5202-450-80035-00000000-00000000-4436"
"Northgate Parking Fund","Investment Earnings","NG Pkg Fd Revenue","Investment Income","1355.00","1355.00","2016","2016-5202-450-80035-00000000-00000000-4030"
"Northgate Parking Fund","Misc Non-Operating","NG Pkg Fd Revenue","Misc Nonoperating Revenue","7611.00","7611.00","2016","2016-5202-450-80035-00000000-00000000-4790"
"Northgate Parking Fund","Parking Revenue","NG Pkg Fd Revenue","Sales Access Card Fee","3511.00","3511.00","2016","2016-5202-450-80035-00000000-00000000-4240"
"Northgate Parking Fund","Parking Revenue","NG Pkg Fd Revenue","Sales Garage Daily","463365.00","463365.00","2016","2016-5202-450-80035-00000000-00000000-4242"
"Northgate Parking Fund","Parking Revenue","NG Pkg Fd Revenue","Sales Garage Leases Taxable","225488.00","225488.00","2016","2016-5202-450-80035-00000000-00000000-4241"
"Northgate Parking Fund","Parking Revenue","NG Pkg Fd Revenue","Sales Parking Lot Meters","371181.00","371181.00","2016","2016-5202-450-80035-00000000-00000000-4243"
"Northgate Parking Fund","Parking Revenue","NG Pkg Fd Revenue","Sales Street Meters","127731.00","127731.00","2016","2016-5202-450-80035-00000000-00000000-4231"
"Parks Projects Fund","Charges for Services","Parks CIP Fd Non Dept Rev","PARD Recreation Programs","85000.00","85000.00","2016","2016-4138-910-89000-00000000-00000000-4480"
"Parks Projects Fund","Investment Earnings","Parks CIP Fd Non Dept Rev","Investment Income","15000.00","15000.00","2016","2016-4138-910-89000-00000000-00000000-4030"
"Police Seizure Fund","Intergovernmental","Police Seizure Fd Revenue","Other Intergovtal Entitlements","15000.00","15000.00","2016","2016-3115-410-80020-00000000-00000000-4635"
"Police Seizure Fund","Investment Earnings","Police Seizure Fd Revenue","Investment Income","200.00","200.00","2016","2016-3115-410-80020-00000000-00000000-4030"
"Property & Casualty Ins Fund","Investment Earnings","P&C Ins Fd Revenue","Investment Income","12329.00","12329.00","2016","2016-2221-100-80010-00000000-00000000-4030"
"Property & Casualty Ins Fund","Other Revenue","P&C Ins Fd Revenue","Subrogation Recovered","5000.00","5000.00","2016","2016-2221-100-80010-00000000-00000000-4686"
"Property & Casualty Ins Fund","Premiums - City","P&C Ins Fd Revenue","Ins Premiums Property/Casualty","999428.00","999428.00","2016","2016-2221-100-80010-00000000-00000000-4680"
"Public, Ed & Gov't Fee Fund","Investment Earnings","PEG Fd Non Dept Rev","Investment Income","914.00","914.00","2016","2016-3353-910-89000-00000000-00000000-4030"
"Public, Ed & Gov't Fee Fund","Other Taxes","PEG Fd Non Dept Rev","Tax Telecable Franchise","206142.00","206142.00","2016","2016-3353-910-89000-00000000-00000000-4152"
"R E Meyer Fd","Investment Earnings","R E Meyer Fd Non Dept Rev","Investment Income","2200.00","2200.00","2016","2016-3354-910-89000-00000000-00000000-4030"
"Solid Waste Fund","Investment Earnings","Solid Waste Fd Revenue","Investment Income","408590.00","408590.00","2016","2016-5214-440-80040-00000000-00000000-4030"
"Solid Waste Fund","Misc Non-Operating","Solid Waste Fd Revenue","Collection Service Fees","1400.00","1400.00","2016","2016-5214-440-80040-00000000-00000000-4020"
"Solid Waste Fund","Other Revenue","Solid Waste Fd Revenue","Other Fees Nontaxable","3122","3122","2016","2016-5214-440-80040-00000000-00000000-4285"
"Solid Waste Fund","Other Revenue","Solid Waste Fd Revenue","Other Fees Taxable","21434","21434","2016","2016-5214-440-80040-00000000-00000000-4284"
"Solid Waste Fund","Other Revenue","Solid Waste Fd Revenue","Sales Other Recycling","11442.00","11442.00","2016","2016-5214-440-80040-00000000-00000000-4250"
"Solid Waste Fund","Other Revenue","Solid Waste Fd Revenue","Sales State Surcharge","1061.00","1061.00","2016","2016-5214-440-80040-00000000-00000000-4234"
"Solid Waste Fund","Rents and Royalties","Solid Waste Fd Revenue","Rentals Rolloff Container Ntax","14775.00","14775.00","2016","2016-5214-440-80040-00000000-00000000-4521"
"Solid Waste Fund","Rents and Royalties","Solid Waste Fd Revenue","Rentals Rolloff Containers Tax","987.00","987.00","2016","2016-5214-440-80040-00000000-00000000-4520"
"Solid Waste Fund","Sales - Commercial","Solid Waste Fd Revenue","Sales Commercial Nontaxable","584239.00","584239.00","2016","2016-5214-440-80040-00000000-00000000-4221"
"Solid Waste Fund","Sales - Commercial","Solid Waste Fd Revenue","Sales Commercial Taxable","2628726.00","2628726.00","2016","2016-5214-440-80040-00000000-00000000-4220"
"Solid Waste Fund","Sales - Residential","Solid Waste Fd Revenue","Sales Residential Nontaxable","27135.00","27135.00","2016","2016-5214-440-80040-00000000-00000000-4211"
"Solid Waste Fund","Sales - Residential","Solid Waste Fd Revenue","Sales Residential Taxable","5430743.00","5430743.00","2016","2016-5214-440-80040-00000000-00000000-4210"
"Streets Projects Fund","Bond Proceeds","Streets CIP Fd Non Dept Rev","Proceeds Certificates of Oblig","14550000.00","14550000.00","2016","2016-4139-910-89000-00000000-00000000-4050"
"Streets Projects Fund","Bond Proceeds","Streets CIP Fd Non Dept Rev","Proceeds General Oblig Bonds","4600000.00","4600000.00","2016","2016-4139-910-89000-00000000-00000000-4040"
"Streets Projects Fund","Charges for Services","Streets CIP Fd Non Dept Rev","Spec Assmnts/Impact Fees","100000","100000","2016","2016-4139-910-89000-00000000-00000000-4560"
"Streets Projects Fund","Intergovernmental","Streets CIP Fd Non Dept Rev","Other Intergovtal Reimb Costs","850000.00","850000.00","2016","2016-4139-910-89000-00000000-00000000-4636"
"Streets Projects Fund","Investment Earnings","Streets CIP Fd Non Dept Rev","Investment Income","50000.00","50000.00","2016","2016-4139-910-89000-00000000-00000000-4030"
"Streets Projects Fund","Misc Non-Operating","Streets CIP Fd Non Dept Rev","Misc Nonoperating Revenue","100000.00","100000.00","2016","2016-4139-910-89000-00000000-00000000-4790-"
"Truancy Prevention Fee Fund","Fines & Penalties","Truancy Fd Revenue","Court Truancy Prevention","12749.00","12749.00","2016","2016-3010-300-80015-00000000-00000000-4420"
"Truancy Prevention Fee Fund","Investment Earnings","Truancy Fd Revenue","Investment Income","36.00","36.00","2016","2016-3010-300-80015-00000000-00000000-4030"
"TX Ave Cemetery Endowment Fund","Charges for Services","Tx Ave Cem Fd Non Dept Rev","Sales Cemetery Plots","10000","10000","2016","2016-3351-910-89000-00000000-00000000-4260"
"TX Ave Cemetery Endowment Fund","Investment Earnings","Tx Ave Cem Fd Non Dept Rev","Investment Income","5460.00","5460.00","2016","2016-3351-910-89000-00000000-00000000-4030"
"Unemployment Insurance Fund","Investment Earnings","Unempl Ins Fd Revenue","Investment Income","900.00","900.00","2016","2016-2224-100-80010-00000000-00000000-4030"
"Unemployment Insurance Fund","Premiums - City","Unempl Ins Fd Revenue","Ins Premiums Unemployment","31836.00","31836.00","2016","2016-2224-100-80010-00000000-00000000-4682"
"Utility Customer Service Fund","Interdept Charges","UCS Fd Revenue","Charges Interdept Utility Fund","2176425.00","2176425.00","2016","2016-2226-300-80015-00000000-00000000-4663"
"Utility Customer Service Fund","Investment Earnings","UCS Fd Revenue","Investment Income","693.00","693.00","2016","2016-2226-300-80015-00000000-00000000-4030"
"Utility Customer Service Fund","Other Revenue","UCS Fd Revenue","Misc Operating Revenues","152445.00","152445.00","2016","2016-2226-300-80015-00000000-00000000-4590"
"Utility Customer Service Fund","Other Revenue","UCS Fd Revenue","Sales Other WSUD","2411.00","2411.00","2016","2016-2226-300-80015-00000000-00000000-4251"
"Wastewater Fund","Charges for Services","WW Fd Revenue","Sales Sewer Taps","252350","252350","2016","2016-5213-520-80055-00000000-00000000-4233"
"Wastewater Fund","Investment Earnings","WW Fd Revenue","Investment Income","25750.00","25750.00","2016","2016-5213-520-80055-00000000-00000000-4030"
"Wastewater Fund","Misc Non-Operating","WW Fd Revenue","Misc Nonoperating Revenue","1000.00","1000.00","2016","2016-5213-520-80055-00000000-00000000-4790"
"Wastewater Fund","Sales - Commercial","WW Fd Revenue","Sales Commercial Nontaxable","2506073.00","2506073.00","2016","2016-5213-520-80055-00000000-00000000-4221"
"Wastewater Fund","Sales - Residential","WW Fd Revenue","Sales Residential Nontaxable","12054333.00","12054333.00","2016","2016-5213-520-80055-00000000-00000000-4211"
"Wastewater Fund","Transfers In-CIP","WW Fd Revenue","Transfer In Wastewater CIP Fd","7758055","7758055","2016","2016-5213-520-80055-00000000-00000000-4892"
"Wastewater Projects Fund","Investment Earnings","WW CIP Fd Non Dept Rev","Investment Income","5000.00","5000.00","2016","2016-4239-910-89000-00000000-00000000-4030"
"Water Fund","Charges for Services","Water Fd Revenue","Sales Water Taps","345050","345050","2016","2016-5212-510-80050-00000000-00000000-4232"
"Water Fund","Investment Earnings","Water Fd Revenue","Investment Income","21218.00","21218.00","2016","2016-5212-510-80050-00000000-00000000-4030"
"Water Fund","Misc Non-Operating","Water Fd Revenue","Sale of Scrap Metal","17042.00","17042.00","2016","2016-5212-510-80050-00000000-00000000-4781"
"Water Fund","Other Revenue","Water Fd Revenue","Other Fees Connect Fees","103000","103000","2016","2016-5212-510-80050-00000000-00000000-4283"
"Water Fund","Rents and Royalties","Water Fd Revenue","Lease Income","7269","7269","2016","2016-5212-510-80050-00000000-00000000-4775"
"Water Fund","Sales - Commercial","Water Fd Revenue","Sales Commercial Nontaxable","6165025.00","6165025.00","2016","2016-5212-510-80050-00000000-00000000-4221"
"Water Fund","Sales - Residential","Water Fd Revenue","Sales Residential Nontaxable","8243000.00","8243000.00","2016","2016-5212-510-80050-00000000-00000000-4211"
"Water Fund","Transfers In-CIP","Water Fd Revenue","Transfer In Water CIP Fd","13628485","13628485","2016","2016-5212-510-80050-00000000-00000000-4891"
"Water Projects Fund","Bond Proceeds","Water CIP Fd Non Dept Rev","Proceeds Certificates of Oblig","8910000.00","8910000.00","2016","2016-4238-910-89000-00000000-00000000-4050"
"Water Projects Fund","Investment Earnings","Water CIP Fd Non Dept Rev","Investment Income","10000.00","10000.00","2016","2016-4238-910-89000-00000000-00000000-4030"
"West Med Dist TIRZ #18","Ad Valorem Taxes","W Med TIRZ #18 ND Revenue","Tax Current Ad Valorem","181562.00","181562.00","2016","2016-3141-910-89000-00000000-00000000-4110"
"West Med Dist TIRZ #18","Investment Earnings","W Med TIRZ #18 ND Revenue","Investment Income","2500.00","2500.00","2016","2016-3141-910-89000-00000000-00000000-4030"
"Wolf Pen Creek TIF Fund","Investment Earnings","WPC TIF Fd Non Dept Revenue","Investment Income","4500.00","4500.00","2016","2016-3127-910-89000-00000000-00000000-4030"
"Workers' Compensation Ins Fund","Investment Earnings","WC Ins Fd Revenue","Investment Income","9100.00","9100.00","2016","2016-2223-100-80010-00000000-00000000-4030"
"Workers' Compensation Ins Fund","Other Revenue","WC Ins Fd Revenue","Misc Operating Revenues","500.00","500.00","2016","2016-2223-100-80010-00000000-00000000-4590"
"Workers' Compensation Ins Fund","Other Revenue","WC Ins Fd Revenue","Subrogation Recovered","500.00","500.00","2016","2016-2223-100-80010-00000000-00000000-4686"
"Workers' Compensation Ins Fund","Premiums - City","WC Ins Fd Revenue","Ins Premiums Workers Comp","549514.00","549514.00","2016","2016-2223-100-80010-00000000-00000000-4684"
"Community Development Fund","CD Grants","Com Dev Fd Revenue","Grants Federal CDBG","1274634.00","1274634.00","2017","2017-3122-450-80035-00000000-00000000-4611"
"Community Development Fund","CD Grants","Com Dev Fd Revenue","Grants Federal HOME Grants","1119897.00","1119897.00","2017","2017-3122-450-80035-00000000-00000000-4612"
"Community Development Fund","CD Grants","Com Dev Fd Revenue","Recaptured Funds CD Grant","2386996.00","2386996.00","2017","2017-3122-450-80035-00000000-00000000-4640"
"Community Development Fund","CD Grants","Com Dev Fd Revenue","Recaptured Funds HOME Grant","33930.00","33930.00","2017","2017-3122-450-80035-00000000-00000000-4641"
"Community Park Zone A Fund","Contribution Revenue","Com Pk Zone A Non Dept Rev","Contributions/Donations Misc","78000.00","78000.00","2017","2017-4160-910-89000-00000000-00000000-4572"
"Community Park Zone A Fund","Investment Earnings","Com Pk Zone A Non Dept Rev","Investment Income","1104.00","1104.00","2017","2017-4160-910-89000-00000000-00000000-4030"
"Community Park Zone B Fund","Contribution Revenue","Com Pk Zone B Non Dept Rev","Contributions/Donations Misc","200000.00","200000.00","2017","2017-4161-910-89000-00000000-00000000-4572"
"Community Park Zone B Fund","Investment Earnings","Com Pk Zone B Non Dept Rev","Investment Income","4931.00","4931.00","2017","2017-4161-910-89000-00000000-00000000-4030"
"Community Park Zone C Fund","Contribution Revenue","Com Pk Zone C Non Dept Rev","Contributions/Donations Misc","5000.00","5000.00","2017","2017-4162-910-89000-00000000-00000000-4572"
"Community Park Zone C Fund","Investment Earnings","Com Pk Zone C Non Dept Rev","Investment Income","207.00","207.00","2017","2017-4162-910-89000-00000000-00000000-4030"
"Court Security Fee Fund","Fines & Penalties","Court Secur Fd Revenue","Court Municipal Court Fees","57872.00","57872.00","2017","2017-3006-300-80015-00000000-00000000-4415"
"Court Security Fee Fund","Investment Earnings","Court Secur Fd Revenue","Investment Income","150.00","150.00","2017","2017-3006-300-80015-00000000-00000000-4030"
"Court Technology Fee Fund","Fines & Penalties","Court Tech Fd Revenue","Court Municipal Court Fees","77783.00","77783.00","2017","2017-3005-300-80015-00000000-00000000-4415"
"Court Technology Fee Fund","Investment Earnings","Court Tech Fd Revenue","Investment Income","2234.00","2234.00","2017","2017-3005-300-80015-00000000-00000000-4030"
"Debt Service Fund","Ad Valorem Taxes","Debt Svc Fd Non Dept Rev","Tax Current Ad Valorem","15029437.00","15029437.00","2017","2017-1151-910-89000-00000000-00000000-4110"
"Debt Service Fund","Ad Valorem Taxes","Debt Svc Fd Non Dept Rev","Tax Delinquent Ad Valorem","60000.00","60000.00","2017","2017-1151-910-89000-00000000-00000000-4111"
"Debt Service Fund","Ad Valorem Taxes","Debt Svc Fd Non Dept Rev","Tax Penal/Interest Ad Valorem","40000.00","40000.00","2017","2017-1151-910-89000-00000000-00000000-4112"
"Debt Service Fund","Investment Earnings","Debt Svc Fd Non Dept Rev","Investment Income","25000.00","25000.00","2017","2017-1151-910-89000-00000000-00000000-4030"
"Drainage Utility Fund","Investment Earnings","Drainage Fd Revenue","Investment Income","12000.00","12000.00","2017","2017-3912-440-80040-00000000-00000000-4030"
"Drainage Utility Fund","Sales - Commercial","Drainage Fd Revenue","Sales Commercial Nontaxable","446500.00","446500.00","2017","2017-3912-440-80040-00000000-00000000-4221-"
"Drainage Utility Fund","Sales - Residential","Drainage Fd Revenue","Sales Residential Nontaxable","1827600.00","1827600.00","2017","2017-3912-440-80040-00000000-00000000-4211-"
"East Med Dist TIRZ #19","Ad Valorem Taxes","E Med TIRZ #19 ND Revenue","Tax Current Ad Valorem","2921.00","2921.00","2017","2017-3140-910-89000-00000000-00000000-4110"
"East Med Dist TIRZ #19","Investment Earnings","E Med TIRZ #19 ND Revenue","Investment Income","50.00","50.00","2017","2017-3140-910-89000-00000000-00000000-4030-"
"Economic Development Fund","Investment Earnings","ED Fd Revenue","Investment Income","2000.00","2000.00","2017","2017-1002-100-80010-00000000-00000000-4030"
"Efficiency Time Payment Fund","Fines & Penalties","Eff Time Pmt Fd Revenue","Court Time Pmt Fee/Efficiency","4831.00","4831.00","2017","2017-1008-300-80015-00000000-00000000-4418"
"Efficiency Time Payment Fund","Investment Earnings","Eff Time Pmt Fd Revenue","Investment Income","275.00","275.00","2017","2017-1008-300-80015-00000000-00000000-4030"
"Electric Fund","Charges for Services","Elec Rev Street/Hiway Lighting","Sales Security Lights","97920","97920","2017","2017-5211-500-80045-00000000-444     -4230"
"Electric Fund","Fines & Penalties","Elec Rev Forfeited Discounts","Forfeitures Discounts Penalty","1454520.00","1454520.00","2017","2017-5211-500-80045-00000000-450     -4541"
"Electric Fund","Investment Earnings","Electric Fd Revenue","Investment Income","75000.00","75000.00","2017","2017-5211-500-80045-00000000-00000000-4030"
"Electric Fund","Misc Non-Operating","Elec Rev Misc Revenues","Misc Nonoperating Revenue","15000.00","15000.00","2017","2017-5211-500-80045-00000000-457.2   -4790"
"Electric Fund","Misc Non-Operating","Electric Fd Revenue","Collection Service Fees","10000.00","10000.00","2017","2017-5211-500-80045-00000000-00000000-4020"
"Electric Fund","Misc Non-Operating","Electric Fd Revenue","Sale of Scrap Metal","40000.00","40000.00","2017","2017-5211-500-80045-00000000-00000000-4781"
"Electric Fund","Other Revenue","Elec Rev Misc Service Rev","Misc Operating Revenues","196972.00","196972.00","2017","2017-5211-500-80045-00000000-451     -4590"
"Electric Fund","Other Revenue","Elec Rev Other Sales to Public","Other Fees","26520.00","26520.00","2017","2017-5211-500-80045-00000000-445     -4280"
"Electric Fund","Other Revenue","Electric Fd Revenue","Other Fees Connect Fees","276176","276176","2017","2017-5211-500-80045-00000000-00000000-4283"
"Electric Fund","Rents and Royalties","Electric Fd Revenue","Other Fees Pole Contact & Use","242711","242711","2017","2017-5211-500-80045-00000000-00000000-4282"
