"the_geom","block_face","globalidte","globalid","globalid_1","ns_ew","street_1","from_sor_1","to_nore_1","side_1","location_i","total_sp_1","spaces_by_","space_reg","order_","metered","limits","reg_code","definition","enforce_be","enforce_en","enforce_da","meter_rate","permit_typ","notes","feet","enforcebeg","enforceend","parkingt"
"MULTILINESTRING ((-122.26597543799056 37.7997937202427, -122.26582279446083 37.799733176237964))","130724","{FAD24DBD-05B8-4704-85AF-4AF5C99893C5}","{045405A1-901B-4456-836A-8D77F762A35C}","{045405A1-901B-4456-836A-8D77F762A35C}_3","E-W","11th","MADISON","JACKSON","North","11th from MADISON to JACKSON , North","12.0","2.0","Meter","3.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"49.3055412242","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26612163251485 37.799851705333715, -122.26597543799056 37.7997937202427))","130724","{FAD24DBD-05B8-4704-85AF-4AF5C99893C5}","{045405A1-901B-4456-836A-8D77F762A35C}","{045405A1-901B-4456-836A-8D77F762A35C}_4","E-W","11th","MADISON","JACKSON","North","11th from MADISON to JACKSON , North","12.0","2.0","Yellow Curb","4.0",,,,,,,,,,,"47.2222482081","","",
"MULTILINESTRING ((-122.2664054219912 37.79996426474856, -122.26629577632256 37.7999207761783))","130724","{FAD24DBD-05B8-4704-85AF-4AF5C99893C5}","{045405A1-901B-4456-836A-8D77F762A35C}","{045405A1-901B-4456-836A-8D77F762A35C}_6","E-W","11th","MADISON","JACKSON","North","11th from MADISON to JACKSON , North","12.0","1.0","Handicapped","6.0",,,,,,,,,,,"35.4165421765","","",
"MULTILINESTRING ((-122.26622887159684 37.79974119284169, -122.2664833346724 37.79984271772207))","130668","{62D0D9D4-F2B0-4E03-B498-DAEBAF39F85A}","{A9B1D13A-EAF4-4ADC-9D0A-8F125D98D8DA}","{A9B1D13A-EAF4-4ADC-9D0A-8F125D98D8DA}_1","E-W","11th","JACKSON","MADISON","South","11th from JACKSON to MADISON , South","6.0","2.0","White Curb","1.0",,,,,,,,,,,"82.291533982","","",
"MULTILINESTRING ((-122.26432941896283 37.79922006707056, -122.26415771408114 37.7991622809421))","731627","{A6FE0A06-E57A-499C-892A-AC4E9BC34649}","{B529C85E-D5BB-4628-85E7-6F4B99AC917E}","{B529C85E-D5BB-4628-85E7-6F4B99AC917E}_1","E-W","11th","OAK","MADISON","North","11th from OAK to MADISON , North","10.0","0.0","No Parking","1.0",,,,,,,,,,,"53.8879279304","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26467720841373 37.799334291530634, -122.26456192104767 37.79929016193105))","731627","{A6FE0A06-E57A-499C-892A-AC4E9BC34649}","{B529C85E-D5BB-4628-85E7-6F4B99AC917E}","{B529C85E-D5BB-4628-85E7-6F4B99AC917E}_3","E-W","11th","OAK","MADISON","North","11th from OAK to MADISON , North","0.0","2.0","White Curb","3.0",,,,,,,,,,,"36.9828343275","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26480781329008 37.799379699215706, -122.26467720841373 37.799334291530634))","731627","{A6FE0A06-E57A-499C-892A-AC4E9BC34649}","{B529C85E-D5BB-4628-85E7-6F4B99AC917E}","{B529C85E-D5BB-4628-85E7-6F4B99AC917E}_4","E-W","11th","OAK","MADISON","North","11th from OAK to MADISON , North","10.0","2.0","Meter","4.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"41.1985422","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26522279710618 37.79952072243537, -122.26497593647284 37.799437645883344))","731627","{A6FE0A06-E57A-499C-892A-AC4E9BC34649}","{B529C85E-D5BB-4628-85E7-6F4B99AC917E}","{B529C85E-D5BB-4628-85E7-6F4B99AC917E}_6","E-W","11th","OAK","MADISON","North","11th from OAK to MADISON , North","10.0","2.0","Yellow Curb","6.0",,,,,,,,,,,"77.4741949048","","",
"MULTILINESTRING ((-122.26408135279813 37.79989618604434, -122.26376033892524 37.79977064856492))","130834","{26F3EDB3-CA6A-47F2-A322-9E39227E9E93}","{F27FF5E0-7F62-4339-B6FA-250777D94FCA}","{F27FF5E0-7F62-4339-B6FA-250777D94FCA}_1","E-W","12th","OAK","MADISON","North","12th from OAK to MADISON , North","9.0","0.0","Bus Stop","1.0",,,,,,,,,,,"103.401422603","","",
"MULTILINESTRING ((-122.26436325041476 37.79985329956634, -122.26477224185604 37.800011977499864))","130772","{C42E4F97-B594-4923-89AD-D689302E31D9}","{69A3F518-2BFF-4721-B18D-1C73E21EDF0A}","{69A3F518-2BFF-4721-B18D-1C73E21EDF0A}_2","E-W","12th","MADISON","OAK","South","12th from MADISON to OAK , South","12.0","6.0","Meter","2.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"131.536733737","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26420263793017 37.79979098605333, -122.26436325041476 37.79985329956634))","130772","{C42E4F97-B594-4923-89AD-D689302E31D9}","{69A3F518-2BFF-4721-B18D-1C73E21EDF0A}","{69A3F518-2BFF-4721-B18D-1C73E21EDF0A}_3","E-W","12th","MADISON","OAK","South","12th from MADISON to OAK , South","12.0","2.0","White Curb","3.0",,,,,,,,,,,"51.655048466","","",
"MULTILINESTRING ((-122.26383556833879 37.799648570280624, -122.2640123621766 37.79971716290259))","130772","{C42E4F97-B594-4923-89AD-D689302E31D9}","{69A3F518-2BFF-4721-B18D-1C73E21EDF0A}","{69A3F518-2BFF-4721-B18D-1C73E21EDF0A}_5","E-W","12th","MADISON","OAK","South","12th from MADISON to OAK , South","12.0","2.0","Meter","5.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"56.8594518845","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26523294627225 37.800192457235646, -122.2654345929007 37.800272081863504))","130990","{CB358AA2-9C6B-496D-A5F8-FB09ECDAB7FC}","{25D022CC-B05F-4FD4-AA3C-921C810DC06A}","{25D022CC-B05F-4FD4-AA3C-921C810DC06A}_3","E-W","12th","JACKSON","MADISON","South","12th from JACKSON to MADISON , South","10.0","2.0","White Curb","3.0",,,,,,,,,,,"65.0759307298","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.2651102720102 37.80014401636497, -122.26523294627225 37.800192457235646))","130990","{CB358AA2-9C6B-496D-A5F8-FB09ECDAB7FC}","{25D022CC-B05F-4FD4-AA3C-921C810DC06A}","{25D022CC-B05F-4FD4-AA3C-921C810DC06A}_4","E-W","12th","JACKSON","MADISON","South","12th from JACKSON to MADISON , South","10.0","2.0","Meter","4.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"39.5898248656","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26511071520648 37.8002956729623, -122.26497100112869 37.8002401952547))","131049","{ABAA2FAF-36BE-44B3-A3C7-13A0F5A1404F}","{947B420D-2E40-4ED2-981D-7ACB15D4ED73}","{947B420D-2E40-4ED2-981D-7ACB15D4ED73}_1","E-W","12th","MADISON","JACKSON","North","12th from MADISON to JACKSON , North","11.0","1.0","Yellow Curb","1.0",,,,,,,,,,,"45.1390393491","","",
"MULTILINESTRING ((-122.26745310996857 37.80108301796134, -122.26766114368921 37.80116315876889))","131411","{2C7CF851-2978-4883-88E5-C93CC8B5CB95}","{3BFE1432-AE3B-4870-ADBE-82F33AD221A6}","{3BFE1432-AE3B-4870-ADBE-82F33AD221A6}_3","E-W","12th","HARRISON","ALICE","South","12th from HARRISON to ALICE , South","12.0","3.0","Meter","3.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"66.8143314133","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26766114368921 37.80116315876889, -122.26791511987788 37.80126099785264))","131411","{2C7CF851-2978-4883-88E5-C93CC8B5CB95}","{3BFE1432-AE3B-4870-ADBE-82F33AD221A6}","{3BFE1432-AE3B-4870-ADBE-82F33AD221A6}_2","E-W","12th","HARRISON","ALICE","South","12th from HARRISON to ALICE , South","12.0","3.0","Yellow Curb","2.0",,,,,,,,,,,"81.5696046648","","",
"MULTILINESTRING ((-122.26880072692393 37.80175904001629, -122.26850951983002 37.801643249093104))","131643","{348F3794-A1E2-42B7-BDD0-9CBD33012573}","{A66B0640-D75A-451F-89EB-18EF580A678E}","{A66B0640-D75A-451F-89EB-18EF580A678E}_1","E-W","12th","HARRISON","WEBSTER","North","12th from HARRISON to WEBSTER , North","10.0","0.0","Bus Stop","1.0",,,,,,,,,,,"94.1080028752","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26912476280425 37.80188450733187, -122.26895222517116 37.80181927892396))","131643","{348F3794-A1E2-42B7-BDD0-9CBD33012573}","{A66B0640-D75A-451F-89EB-18EF580A678E}","{A66B0640-D75A-451F-89EB-18EF580A678E}_3","E-W","12th","HARRISON","WEBSTER","North","12th from HARRISON to WEBSTER , North","10.0","2.0","Yellow Curb","3.0",,,,,,,,,,,"55.2181594776","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26929767381255 37.80179994911461, -122.26948928060621 37.801875298383784))","131594","{E52A0FF6-EAFF-4DE0-80C0-17F0AE85087A}","{A512BE03-E057-41B3-AA54-7380AD6F2A1E}","{A512BE03-E057-41B3-AA54-7380AD6F2A1E}_2","E-W","12th","WEBSTER ST","HARRISON","South","12th from WEBSTER ST to HARRISON , South","14.0","4.0","White Curb","2.0",,,,,,,,,,,"61.7844255744","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.27043512601523 37.80224369067749, -122.27070415147078 37.80234888820713))","131787","{7A218DB7-A44B-4F81-93EB-679DE990DBCB}","{E34DD688-AE08-40AF-85D6-71984B96F257}","{E34DD688-AE08-40AF-85D6-71984B96F257}_2","E-W","12th","FRANKLIN","WEBSTER ST","South","12th from FRANKLIN to WEBSTER ST , South","13.0","4.0","Meter","2.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"86.6517267361","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.2703071142906 37.802193633658845, -122.27043512601523 37.80224369067749))","131787","{7A218DB7-A44B-4F81-93EB-679DE990DBCB}","{E34DD688-AE08-40AF-85D6-71984B96F257}","{E34DD688-AE08-40AF-85D6-71984B96F257}_3","E-W","12th","FRANKLIN","WEBSTER ST","South","12th from FRANKLIN to WEBSTER ST , South","13.0","2.0","Yellow Curb","3.0",,,,,,,,,,,"41.2320148503","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.2699247896474 37.802199279781014, -122.26968951175294 37.80210761165346))","131846","{4AFE928F-A449-45DA-BFD9-647437FC6325}","{D85ABC0C-5082-4890-8142-69F0B6278576}","{D85ABC0C-5082-4890-8142-69F0B6278576}_1","E-W","12th","WEBSTER","FRANKLIN","North","12th from WEBSTER to FRANKLIN , North","9.0","0.0","Bus Stop","1.0",,,,,,,,,,,"75.7283992784","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.27048857335367 37.80241831003765, -122.2702835212921 37.80233906668095))","131846","{4AFE928F-A449-45DA-BFD9-647437FC6325}","{D85ABC0C-5082-4890-8142-69F0B6278576}","{D85ABC0C-5082-4890-8142-69F0B6278576}_4","E-W","12th","WEBSTER","FRANKLIN","North","12th from WEBSTER to FRANKLIN , North","9.0","3.0","Meter","4.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"65.8958078597","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.27071960360108 37.80250800485812, -122.27063199808742 37.80247407713687))","131846","{4AFE928F-A449-45DA-BFD9-647437FC6325}","{D85ABC0C-5082-4890-8142-69F0B6278576}","{D85ABC0C-5082-4890-8142-69F0B6278576}_7","E-W","12th","WEBSTER","FRANKLIN","North","12th from WEBSTER to FRANKLIN , North","9.0","0.0","No Parking","7.0",,,,,,,,,,,"28.164505442","","",
"MULTILINESTRING ((-122.27057178671936 37.80245066562724, -122.27048857335367 37.80241831003765))","131846","{4AFE928F-A449-45DA-BFD9-647437FC6325}","{D85ABC0C-5082-4890-8142-69F0B6278576}","{D85ABC0C-5082-4890-8142-69F0B6278576}_5","E-W","12th","WEBSTER","FRANKLIN","North","12th from WEBSTER to FRANKLIN , North","9.0","1.0","White Curb","5.0",,,,,,,,,,,"26.773092702","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.2719411461991 37.80297656387782, -122.27154739478392 37.802825683266704))","132058","{3D05AB1D-2F3B-4988-8361-5D9A216FF563}","{7C15931E-DA26-4B6E-8618-B8D84F170538}","{7C15931E-DA26-4B6E-8618-B8D84F170538}_4","E-W","12th","FRANKLIN","BROADWAY","North","12th from FRANKLIN to BROADWAY , North","9.0","0.0","Bus Stop","4.0",,,,,,,,,,,"126.331346333","","",
"MULTILINESTRING ((-122.2725523977436 37.80321941881516, -122.27209654935334 37.803037314608794))","132424","{F9A6755D-32E2-42AF-B5FF-67E0C1841797}","{38CE68FF-0BBB-4D72-BC52-67E0ECE33495}","{38CE68FF-0BBB-4D72-BC52-67E0ECE33495}_1","E-W","12th","BROADWAY","CLAY","North","12th from BROADWAY to CLAY , North","23.0","0.0","Bus Stop","1.0",,,,,,,,,,,"147.45067835","","",
"MULTILINESTRING ((-122.27427447734274 37.803905801948034, -122.27396805085836 37.80378436175402))","132424","{F9A6755D-32E2-42AF-B5FF-67E0C1841797}","{38CE68FF-0BBB-4D72-BC52-67E0ECE33495}","{38CE68FF-0BBB-4D72-BC52-67E0ECE33495}_6","E-W","12th","BROADWAY","CLAY","North","12th from BROADWAY to CLAY , North","23.0","5.0","Meter","6.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"98.9585556302","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.27396805085836 37.80378436175402, -122.27374390020452 37.80369228159267))","132424","{F9A6755D-32E2-42AF-B5FF-67E0C1841797}","{38CE68FF-0BBB-4D72-BC52-67E0ECE33495}","{38CE68FF-0BBB-4D72-BC52-67E0ECE33495}_5","E-W","12th","BROADWAY","CLAY","North","12th from BROADWAY to CLAY , North","23.0","3.0","Yellow Curb","5.0",,,,,,,,,,,"72.9241067444","","",
"MULTILINESTRING ((-122.2722513858739 37.80294540850193, -122.27238369403732 37.80299816247153))","132373","{1549F91D-0FE4-4B96-9D84-F65FEA3272BA}","{103B1795-A7AC-4E21-9332-44F20CFC4A02}","{103B1795-A7AC-4E21-9332-44F20CFC4A02}_5","E-W","12th","CLAY","BROADWAY","South","12th from CLAY to BROADWAY , South","30.0","1.0","White Curb","5.0",,,,,,,,,,,"42.7805056531","","",
"MULTILINESTRING ((-122.27126803137023 37.803421560352334, -122.27145987419237 37.80349621357837))","132294","{4E2C8B2E-AB91-45B8-8399-0F8941F44650}","{4504FED3-C0F9-4B6A-B0E7-AF2BF70B1776}","{4504FED3-C0F9-4B6A-B0E7-AF2BF70B1776}_2","E-W","13th","BROADWAY","FRANKLIN","South","13th from BROADWAY to FRANKLIN , South","11.0","3.0","Yellow Curb","2.0",,,,,,,,,,,"61.7324327218","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.27079698537794 37.80338869490287, -122.27054347895987 37.80328917096227))","132330","{35864E29-B2E1-44BC-BB62-35D89B9CCEF3}","{E4EC8602-606D-4159-B682-433D634AE445}","{E4EC8602-606D-4159-B682-433D634AE445}_2","E-W","13th","FRANKLIN","BROADWAY","North","13th from FRANKLIN to BROADWAY , North","12.0","4.0","Meter","2.0","Y","1-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"81.7158629894","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.2709714714438 37.803457196039446, -122.27079698537794 37.80338869490287))","132330","{35864E29-B2E1-44BC-BB62-35D89B9CCEF3}","{E4EC8602-606D-4159-B682-433D634AE445}","{E4EC8602-606D-4159-B682-433D634AE445}_3","E-W","13th","FRANKLIN","BROADWAY","North","13th from FRANKLIN to BROADWAY , North","12.0","2.0","Yellow Curb","3.0",,,,,,,,,,,"56.2441631949","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.2715273058224 37.803675406844874, -122.27138083225873 37.80361718635693))","132330","{35864E29-B2E1-44BC-BB62-35D89B9CCEF3}","{E4EC8602-606D-4159-B682-433D634AE445}","{E4EC8602-606D-4159-B682-433D634AE445}_6","E-W","13th","FRANKLIN","BROADWAY","North","13th from FRANKLIN to BROADWAY , North","12.0","0.0","No Parking","6.0",,,,,,,,,,,"47.3307617153","","",
"MULTILINESTRING ((-122.27012690439209 37.80297345108304, -122.27025959536181 37.80302580235959))","132095","{FCB228FF-762E-403C-A750-DC39313C7C88}","{60223DF7-B5C1-4F0B-9B28-6FC980A1CD4E}","{60223DF7-B5C1-4F0B-9B28-6FC980A1CD4E}_2","E-W","13th","FRANKLIN","WEBSTER ST","South","13th from FRANKLIN to WEBSTER ST , South","9.0","1.0","White Curb","2.0",,,,,,,,,,,"42.813857377","","",
"MULTILINESTRING ((-122.26988155179775 37.80287956602734, -122.27012407213151 37.80297345142737))","132095","{FCB228FF-762E-403C-A750-DC39313C7C88}","{60223DF7-B5C1-4F0B-9B28-6FC980A1CD4E}","{60223DF7-B5C1-4F0B-9B28-6FC980A1CD4E}_3","E-W","13th","FRANKLIN","WEBSTER ST","South","13th from FRANKLIN to WEBSTER ST , South","9.0","3.0","Yellow Curb","3.0",,,,,,,,,,,"77.9620867646","","",
"MULTILINESTRING ((-122.26982016778773 37.80285570968627, -122.26988155179778 37.80287956602734))","132095","{FCB228FF-762E-403C-A750-DC39313C7C88}","{60223DF7-B5C1-4F0B-9B28-6FC980A1CD4E}","{60223DF7-B5C1-4F0B-9B28-6FC980A1CD4E}_4","E-W","13th","FRANKLIN","WEBSTER ST","South","13th from FRANKLIN to WEBSTER ST , South","9.0","1.0","White Curb","4.0",,,,,,,,,,,"19.7477890441","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.2684968400275 37.802494195722346, -122.26817505369566 37.80237155856714))","131947","{5922EAC8-6042-403F-A1CE-E8FCCCC50CFA}","{F6683742-AE00-4F97-B928-25B3A57050ED}","{F6683742-AE00-4F97-B928-25B3A57050ED}_2","E-W","13th","HARRISON","WEBSTER","North","13th from HARRISON to WEBSTER , North","11.0","5.0","Meter","2.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"103.137128871","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26902046526983 37.80269950033767, -122.26875081245794 37.80259971596784))","131947","{5922EAC8-6042-403F-A1CE-E8FCCCC50CFA}","{F6683742-AE00-4F97-B928-25B3A57050ED}","{F6683742-AE00-4F97-B928-25B3A57050ED}_4","E-W","13th","HARRISON","WEBSTER","North","13th from HARRISON to WEBSTER , North","11.0","3.0","Meter","4.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"85.9625268605","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26885317969602 37.80248200278466, -122.26910550731509 37.80257737563596))","131896","{3AF00BF1-98F0-4342-9D9E-576B83A8CCBB}","{1F387C7C-8469-4118-AC8D-877A38CA7001}","{1F387C7C-8469-4118-AC8D-877A38CA7001}_2","E-W","13th","WEBSTER ST","HARRISON","South","13th from WEBSTER ST to HARRISON , South","13.0","4.0","Meter","2.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"80.7499872786","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26868628388499 37.802414214632954, -122.26885317969602 37.80248200278466))","131896","{3AF00BF1-98F0-4342-9D9E-576B83A8CCBB}","{1F387C7C-8469-4118-AC8D-877A38CA7001}","{1F387C7C-8469-4118-AC8D-877A38CA7001}_3","E-W","13th","WEBSTER ST","HARRISON","South","13th from WEBSTER ST to HARRISON , South","13.0","2.0","Yellow Curb","3.0",,,,,,,,,,,"54.1691706039","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26556324418151 37.80118449490531, -122.2656300950526 37.801210696707734))","131315","{32A66E69-1A55-4392-B062-7BAF26F9EE82}","{FC82F333-8519-48C0-B001-D5B54BDF5B01}","{FC82F333-8519-48C0-B001-D5B54BDF5B01}_1","E-W","13th","JACKSON","MADISON","South","13th from JACKSON to MADISON , South","7.0","0.0","No Parking","1.0",,,,,,,,,,,"21.5424046827","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26534482769887 37.80109617134585, -122.26550592093085 37.80116202735226))","131315","{32A66E69-1A55-4392-B062-7BAF26F9EE82}","{FC82F333-8519-48C0-B001-D5B54BDF5B01}","{FC82F333-8519-48C0-B001-D5B54BDF5B01}_3","E-W","13th","JACKSON","MADISON","South","13th from JACKSON to MADISON , South","7.0","0.0","No Parking","3.0",,,,,,,,,,,"52.3572123732","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26448175616702 37.80076053659678, -122.26435879333582 37.800713071127106))","731588","{A9811690-5112-4052-8BD0-E69759BBDA5C}","{8CE79BD0-6525-4661-98B2-E9CA72EC4AD2}","{8CE79BD0-6525-4661-98B2-E9CA72EC4AD2}_1","E-W","13th","MADISON","OAK","South","13th from MADISON to OAK , South","12.0","0.0","No Parking","1.0",,,,,,,,,,,"39.5075826218","","",
"MULTILINESTRING ((-122.2667780045435 37.80267460309372, -122.26653125614142 37.80257832809627))","132050","{1B537ABD-E787-4268-808F-7343C6B70E03}","{9AA8A7F3-D73B-47E8-9711-BA0A1BF606DE}","{9AA8A7F3-D73B-47E8-9711-BA0A1BF606DE}_2","E-W","14th","ALICE","HARRISON","North","14th from ALICE to HARRISON , North","9.0","3.0","Meter","2.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"79.4421053767","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26696347998548 37.802749584972396, -122.26677800454344 37.80267460309374))","132050","{1B537ABD-E787-4268-808F-7343C6B70E03}","{9AA8A7F3-D73B-47E8-9711-BA0A1BF606DE}","{9AA8A7F3-D73B-47E8-9711-BA0A1BF606DE}_3","E-W","14th","ALICE","HARRISON","North","14th from ALICE to HARRISON , North","9.0","2.0","Yellow Curb","3.0",,,,,,,,,,,"60.1409468181","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26710768445615 37.80265041298822, -122.2674820246979 37.80279659466367))","131991","{5EAF266D-1E3F-4AF0-88CA-CB661D56462C}","{ED08AA47-31CC-4CA8-8E0C-F31B58797D02}","{ED08AA47-31CC-4CA8-8E0C-F31B58797D02}_2","E-W","14th","HARRISON","ALICE","South","14th from HARRISON to ALICE , South","13.0","6.0","Meter","2.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"120.540786123","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26655556640775 37.80243480406512, -122.26682075054273 37.80254106137712))","131991","{5EAF266D-1E3F-4AF0-88CA-CB661D56462C}","{ED08AA47-31CC-4CA8-8E0C-F31B58797D02}","{ED08AA47-31CC-4CA8-8E0C-F31B58797D02}_4","E-W","14th","HARRISON","ALICE","South","14th from HARRISON to ALICE , South","13.0","3.0","Meter","4.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"85.8307232498","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26785036213907 37.80309172860097, -122.26764338848756 37.80301144244501))","132234","{89931F0E-83E8-4056-99DC-66D24D97EB08}","{4CDFA832-D896-4B53-8BF5-7886B897B7B6}","{4CDFA832-D896-4B53-8BF5-7886B897B7B6}_1","E-W","14th","HARRISON","WEBSTER","North","14th from HARRISON to WEBSTER , North","13.0","2.0","Yellow Curb","1.0",,,,,,,,,,,"66.5607829228","","",
"MULTILINESTRING ((-122.26867972811853 37.80342190530324, -122.26859146745267 37.803386948151))","132234","{89931F0E-83E8-4056-99DC-66D24D97EB08}","{4CDFA832-D896-4B53-8BF5-7886B897B7B6}","{4CDFA832-D896-4B53-8BF5-7886B897B7B6}_4","E-W","14th","HARRISON","WEBSTER","North","14th from HARRISON to WEBSTER , North","13.0","1.0","No Parking","4.0",,,,,,,,,,,"28.4998751562","","",
"MULTILINESTRING ((-122.2702320861955 37.80402028218893, -122.27010225061012 37.80397053248752))","132555","{2A1CE138-E7BB-449A-8DBA-0E5055C8CCB5}","{3C175724-9F8F-4175-99F1-030AC09CDB7D}","{3C175724-9F8F-4175-99F1-030AC09CDB7D}_2","E-W","14th","FRANKLIN","BROADWAY","North","14th from FRANKLIN to BROADWAY , North","9.0","2.0","Meter","2.0","Y","30-min",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"41.6557356796","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.27041914380034 37.804094462474026, -122.2702320861955 37.80402028218893))","132555","{2A1CE138-E7BB-449A-8DBA-0E5055C8CCB5}","{3C175724-9F8F-4175-99F1-030AC09CDB7D}","{3C175724-9F8F-4175-99F1-030AC09CDB7D}_3","E-W","14th","FRANKLIN","BROADWAY","North","14th from FRANKLIN to BROADWAY , North","9.0","2.0","White Curb","3.0",,,,,,,,,,,"60.4166666625","","",
"MULTILINESTRING ((-122.27225473189871 37.804811797641065, -122.2712543069093 37.80440600168511))","731548","{B42B34B9-5E7F-4A27-91C4-D6B574203F34}","{5578A701-2BC2-4937-91F5-9DD6A88CA5A1}","{5578A701-2BC2-4937-91F5-9DD6A88CA5A1}_1","E-W","14th","BROADWAY","CLAY","North","14th from BROADWAY to CLAY , North","9.0","0.0","Bus Stop","1.0",,,,,,,,,,,"324.608528115","","",
"MULTILINESTRING ((-122.27276645719674 37.80501864429864, -122.27261412717907 37.804957573675765))","731548","{B42B34B9-5E7F-4A27-91C4-D6B574203F34}","{5578A701-2BC2-4937-91F5-9DD6A88CA5A1}","{5578A701-2BC2-4937-91F5-9DD6A88CA5A1}_4","E-W","14th","BROADWAY","CLAY","North","14th from BROADWAY to CLAY , North","9.0","1.0","White Curb","2.0",,"3-min",,,,,,,,,"49.30795689","","",
"MULTILINESTRING ((-122.27342352877577 37.80528239678493, -122.27329278184338 37.80523078929804))","731548","{B42B34B9-5E7F-4A27-91C4-D6B574203F34}","{5578A701-2BC2-4937-91F5-9DD6A88CA5A1}","{5578A701-2BC2-4937-91F5-9DD6A88CA5A1}_7","E-W","14th","BROADWAY","CLAY","North","14th from BROADWAY to CLAY , North","9.0","2.0","City Council Staff","7.0",,,,,,,,,,,"42.1893350978","","",
"MULTILINESTRING ((-122.27329278184338 37.80523078929804, -122.27318697924244 37.80518723484111))","731548","{B42B34B9-5E7F-4A27-91C4-D6B574203F34}","{5578A701-2BC2-4937-91F5-9DD6A88CA5A1}","{5578A701-2BC2-4937-91F5-9DD6A88CA5A1}_6","E-W","14th","BROADWAY","CLAY","North","14th from BROADWAY to CLAY , North","9.0","1.0","Mayor's Vehicle Only","6.0",,,,,,,,,,,"34.4360576151","","",
