"fiscal_year","request","dp_department","dv_division","bb_dp_dept","department_name","bb_sa_sort","service_area","or_org_number","org_number_and_name","fd_fund_number","fund_fund_numer","fund_number","fund_name","fund_number_and_name","fund_fund_number_and_name","pj_project","project_name","pg_program_number","program_number_and_name","order_account_category","category_name","expenditure_type","rev_or_exp","acct_number_and_name","ac_account_number","value"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV301 - Public Works Director and Administration","DP21 - Oakland Public Works","Oakland Public Works","DV2100","Administration","OR_30181","30181 - Management Information Systems","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1001288","1001288 - PWA OVERHEAD CLEARING","PG_AD01","AD01 - ADMINISTRATION-TO BE ALLOCATED","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58725 - Prior Year Adjustments: Salary & Benefits","AC_58725","-262.77"
"2015-2016","Existing","DP1000 - Police Department","DV1020 - Bureau of Investigation","DP13 - Police Department","Police Department","DV1304","Bureau of Investigation","OR_102610","102610 - Criminalistics","FD_2112","Fund 2112","2112","Department of Justice","2112 - Department of Justice","Fund 2112 - Department of Justice","PJ_G411930","PJ_G411930","PG_PS05","PS05 - CRIMINALISTICS","02 - Civilian Overtime","Civilian Overtime","Personnel Expenditures","Expense","51231 - Civilian: Comp Time Earned 1.5x","AC_51231","-261.29"
"2015-2016","Existing","DP750 - Human Services Department","DV781 - Administration Division","DP17 - Human Services","Human Services","DV1700","Administration","OR_78111","78111 - Department of Human Services: Administration","FD_7780","Fund 7780","7780","Oakland Redevelopment Agency Projects (ORA)","7780 - Oakland Redevelopment Agency Projects (ORA)","Fund 7780 - Oakland Redevelopment Agency Projects (ORA)","PJ_S64300","PJ_S64300","PG_SC22","SC22 - FOSTERING SAFE AND HEALTHY COMMUNITIES","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58726 - Prior Year Adjustments: O & M","AC_58726","-260"
"2015-2016","Existing","DP070 - City Auditor","DV071 - City Auditor","DP05 - City Auditor","City Auditor","DV0500","Auditing","OR_07111","07111 - City Auditor","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000006","1000006 - DP070 Administrative Project","PG_CONV","PG_CONV","01 - Civilian Salaries","Civilian Salaries","Personnel Expenditures","Expense","51111 - Civilian: Regular","AC_51111","17271.39"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2102","Design & Construction ","OR_30232","30232 - Construction Mgmt and Material Testing","FD_3100","Fund 3100","3100","Sewer Service Fund","3100 - Sewer Service Fund","Fund 3100 - Sewer Service Fund","PJ_1000147","1000147 - BUS IMPV DIST-NCR 1010-C138410","PG_CONV","PG_CONV","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58726 - Prior Year Adjustments: O & M","AC_58726","-255"
"2015-2016","Existing","DP610 - Oakland Public Library Department","DV613 - Branch and Youth","DP15 - Oakland Public Library","Oakland Public Library","DV1501","Branch Library Services","OR_61335","61335 - M.L. King Jr. Branch","FD_2241","Fund 2241","2241","Measure Q-Library Services Retention & Enhancement","2241 - Measure Q-Library Services Retention & Enhancement","Fund 2241 - Measure Q-Library Services Retention & Enhancement","PJ_1000013","1000013 - DP610 Administrative Project","PG_NB17","NB17 - BRANCH LIBRARY SERVICES","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58725 - Prior Year Adjustments: Salary & Benefits","AC_58725","-249.12"
"2015-2016","Existing","DP1000 - Police Department","DV1010 - Office of the Chief of Police","DP13 - Police Department","Police Department","DV1300","Office of the Chief of Police","OR_101110","101110 - Office of Chief: Administration","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000689","1000689 - PWA DESIGN - ADMINSTRATION","PG_PS01","PS01 - AGENCY-WIDE ADMINISTRATION","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58726 - Prior Year Adjustments: O & M","AC_58726","-245.18"
"2015-2016","Existing","DP840 - Planning and Building Department","DV844 - Engineering and Inspections","DP20 - Planning & Building","Planning & Building","DV2005","Livable Neighborhood Code Enforcement Services","OR_84469","84469 - Building Codes: Other","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000188","1000188 - NCR PROJECT DEV 2108-G83200","PG_0000","PG_0000","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58725 - Prior Year Adjustments: Salary & Benefits","AC_58725","-242.96"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30235","30235 - Surveying","FD_2216","Fund 2216","2216","Measure BB - Alameda County Transportation Commission Sales Tax","2216 - Measure BB - Alameda County Transportation Commission Sales Tax","Fund 2216 - Measure BB - Alameda County Transportation Commission Sales Tax","PJ_1000679","1000679 - TRAFFIC SIG MGMT-MEASURE BB","PG_NB33","NB33 - TRANSPORTATION & PEDESTRIAN SAFETY","01 - Civilian Salaries","Civilian Salaries","Personnel Expenditures","Expense","51111 - Civilian: Regular","AC_51111","-239.02"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2102","Design & Construction ","OR_30232","30232 - Construction Mgmt and Material Testing","FD_2140","Fund 2140","2140","California Department of Transportation","2140 - California Department of Transportation","Fund 2140 - California Department of Transportation","PJ_C471910","PJ_C471910","PG_IN06","IN06 - PROJECT DELIVERY","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58725 - Prior Year Adjustments: Salary & Benefits","AC_58725","-237.55"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV305 - Infrastructure Operations","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30534","30534 - Infrastructure Maint: Street Sidewalk","FD_2230","Fund 2230","2230","State Gas Tax","2230 - State Gas Tax","Fund 2230 - State Gas Tax","PJ_1000010","1000010 - DP300 Administrative Project","PG_IN04","IN04 - STREETS & SIDEWALKS MGMT & DEVELOPMENT","09 -  Allowances & Premiums","Allowances & Premiums","Personnel Expenditures","Expense","51421 - Incentive and Special","AC_51421","-234.5"
"2015-2016","Existing","DP1000 - Police Department","DV1020 - Bureau of Investigation","DP13 - Police Department","Police Department","DV1304","Bureau of Investigation","OR_102350","102350 - Youth and School Services Section","FD_2113","Fund 2113","2113","Department of Justice - COPS Hiring","2113 - Department of Justice - COPS Hiring","Fund 2113 - Department of Justice - COPS Hiring","PJ_1000760","1000760 - 2013 COPS HIRING PROGRAM","PG_PS11","PS11 - PATROL AREA 1","07 - Sworn Retirement","Sworn Retirement","Personnel Expenditures","Expense","51612 - Sworn: Retirement Accrual","AC_51612","-233.17"
"2015-2016","Existing","DP1000 - Police Department","DV1080 - Bureau of Field Operations","DP13 - Police Department","Police Department","DV1301","Bureau of Field Operations 1","OR_108010","108010 - District Command Administration","FD_2252","Fund 2252","2252","Measure Z - Violence Prevention and Public Safety Act of 2014","2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","Fund 2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","PJ_1001323","1001323 - MEASURE Z-OPD","PG_PS01","PS01 - AGENCY-WIDE ADMINISTRATION","07 - Sworn Retirement","Sworn Retirement","Personnel Expenditures","Expense","51612 - Sworn: Retirement Accrual","AC_51612","-233.17"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV306 - Facilities Environment","DP21 - Oakland Public Works","Oakland Public Works","DV2106","Parks, Grounds & Medians Maintenance","OR_30651","30651 - Park Building Maintenance: Administration","FD_4400","Fund 4400","4400","City Facilities","4400 - City Facilities","Fund 4400 - City Facilities","PJ_1000010","1000010 - DP300 Administrative Project","PG_IN02","IN02 - FACILITIES MANAGEMENT & DEVELOPMENT","02 - Civilian Overtime","Civilian Overtime","Personnel Expenditures","Expense","51221 - Civilian: Court Overtime","AC_51221","-231.76"
"2015-2016","Existing","DP610 - Oakland Public Library Department","DV613 - Branch and Youth","DP15 - Oakland Public Library","Oakland Public Library","DV1501","Branch Library Services","OR_61335","61335 - M.L. King Jr. Branch","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000013","1000013 - DP610 Administrative Project","PG_NB17","NB17 - BRANCH LIBRARY SERVICES","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58725 - Prior Year Adjustments: Salary & Benefits","AC_58725","-230.18"
"2015-2016","Existing","DP1000 - Police Department","DV1020 - Bureau of Investigation","DP13 - Police Department","Police Department","DV1304","Bureau of Investigation","OR_102350","102350 - Youth and School Services Section","FD_2113","Fund 2113","2113","Department of Justice - COPS Hiring","2113 - Department of Justice - COPS Hiring","Fund 2113 - Department of Justice - COPS Hiring","PJ_1000760","1000760 - 2013 COPS HIRING PROGRAM","PG_PS11","PS11 - PATROL AREA 1","08 - Sworn Fringe Benefits","Sworn Fringe Benefits","Personnel Expenditures","Expense","51614 - Sworn: Fringe Benefits Accrual","AC_51614","-225.9"
"2015-2016","Existing","DP1000 - Police Department","DV1080 - Bureau of Field Operations","DP13 - Police Department","Police Department","DV1301","Bureau of Field Operations 1","OR_108010","108010 - District Command Administration","FD_2252","Fund 2252","2252","Measure Z - Violence Prevention and Public Safety Act of 2014","2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","Fund 2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","PJ_1001323","1001323 - MEASURE Z-OPD","PG_PS01","PS01 - AGENCY-WIDE ADMINISTRATION","08 - Sworn Fringe Benefits","Sworn Fringe Benefits","Personnel Expenditures","Expense","51614 - Sworn: Fringe Benefits Accrual","AC_51614","-225.9"
"2015-2016","Existing","DP610 - Oakland Public Library Department","DV612 - Main Library Services","DP15 - Oakland Public Library","Oakland Public Library","DV1503","Literacy Programs","OR_61213","61213 - Literacy","FD_2148","Fund 2148","2148","California Library Services","2148 - California Library Services","Fund 2148 - California Library Services","PJ_G490910","PJ_G490910","PG_NB19","NB19 - LITERACY PROGRAMS","03 - Civilian Retirement","Civilian Retirement","Personnel Expenditures","Expense","51611 - Civilian: Retirement Accrual","AC_51611","-222.25"
"2015-2016","Existing","DP1000 - Police Department","DV1070 - Bureau of Field Operations New","DP13 - Police Department","Police Department","DV1302","Bureau of Field Operations 2","OR_107510","107510 - Traffic Operations","FD_2172","Fund 2172","2172","Alameda County: Vehicle Abatement Authority","2172 - Alameda County: Vehicle Abatement Authority","Fund 2172 - Alameda County: Vehicle Abatement Authority","PJ_1000008","1000008 - DP1000 Administrative Project","PG_PS14","PS14 - TRAFFIC OPERATIONS","09 -  Allowances & Premiums","Allowances & Premiums","Personnel Expenditures","Expense","51421 - Incentive and Special","AC_51421","-219.68"
"2015-2016","Existing","DP1000 - Police Department","DV1070 - Bureau of Field Operations New","DP13 - Police Department","Police Department","DV1302","Bureau of Field Operations 2","OR_107510","107510 - Traffic Operations","FD_2252","Fund 2252","2252","Measure Z - Violence Prevention and Public Safety Act of 2014","2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","Fund 2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","PJ_1000754","1000754 - MEASURE Y - OPD","PG_CONV","PG_CONV","07 - Sworn Retirement","Sworn Retirement","Personnel Expenditures","Expense","51612 - Sworn: Retirement Accrual","AC_51612","-218.74"
"2015-2016","Existing","DP080 - Finance Department","DV082 - Controller's Office","DP09 - Finance Department","Finance Department","DV0902","Controller","OR_08211","08211 - Accounting:  Administration","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000969","1000969 - CLEAN CREEKS CA-H578","PG_0000","PG_0000","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58726 - Prior Year Adjustments: O & M","AC_58726","-216.41"
"2015-2016","Existing","DP1000 - Police Department","DV1070 - Bureau of Field Operations New","DP13 - Police Department","Police Department","DV1302","Bureau of Field Operations 2","OR_107510","107510 - Traffic Operations","FD_2252","Fund 2252","2252","Measure Z - Violence Prevention and Public Safety Act of 2014","2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","Fund 2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","PJ_1000754","1000754 - MEASURE Y - OPD","PG_CONV","PG_CONV","08 - Sworn Fringe Benefits","Sworn Fringe Benefits","Personnel Expenditures","Expense","51614 - Sworn: Fringe Benefits Accrual","AC_51614","-211.91"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2102","Design & Construction ","OR_30233","30233 - Project Management","FD_3100","Fund 3100","3100","Sewer Service Fund","3100 - Sewer Service Fund","Fund 3100 - Sewer Service Fund","PJ_1000689","1000689 - PWA DESIGN - ADMINSTRATION","PG_IN06","IN06 - PROJECT DELIVERY","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58726 - Prior Year Adjustments: O & M","AC_58726","-210.5"
"2015-2016","Existing","DP5000 - Oakland Parks and Recreation Department","DV502 - OPR: Area One","DP16 - Oakland Parks & Recreation","Oakland Parks & Recreation","DV1605","Area V - Aquatics / Boating","OR_502350","502350 - Boating","FD_1820","Fund 1820","1820","OPRCA Self Sustaining Revolving Fund","1820 - OPRCA Self Sustaining Revolving Fund","Fund 1820 - OPRCA Self Sustaining Revolving Fund","PJ_1000012","1000012 - DP5000 Administrative Project","PG_IN11","IN11 - AQUATICS BOATING","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58725 - Prior Year Adjustments: Salary & Benefits","AC_58725","-202.53"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30242","30242 - Streets and Structures","FD_2211","Fund 2211","2211","Measure B: Local Streets & Roads","2211 - Measure B: Local Streets & Roads","Fund 2211 - Measure B: Local Streets & Roads","PJ_1001010","1001010 - MLK WAY STREETSCAPE","PG_NB33","NB33 - TRANSPORTATION & PEDESTRIAN SAFETY","01 - Civilian Salaries","Civilian Salaries","Personnel Expenditures","Expense","51511 - Civilian: Paid Leave Charge","AC_51511","-191.42"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV305 - Infrastructure Operations","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30522","30522 - Electrical Services: Maintenance","FD_2211","Fund 2211","2211","Measure B: Local Streets & Roads","2211 - Measure B: Local Streets & Roads","Fund 2211 - Measure B: Local Streets & Roads","PJ_1000010","1000010 - DP300 Administrative Project","PG_IN15","IN15 - TRAFFIC SIGNAL MANAGEMENT & MAINT","17 - Overhead Allocations","Overhead Allocations","Non-Personnel Expenditures","Expense","58521 - Overhead: Departmental Cost Allocation","AC_58521","-191.12"
"2015-2016","Existing","DP1000 - Police Department","DV1070 - Bureau of Field Operations New","DP13 - Police Department","Police Department","DV1302","Bureau of Field Operations 2","OR_107410","107410 - Support Operations","FD_2112","Fund 2112","2112","Department of Justice","2112 - Department of Justice","Fund 2112 - Department of Justice","PJ_G411930","PJ_G411930","PG_CONV","PG_CONV","02 - Civilian Overtime","Civilian Overtime","Personnel Expenditures","Expense","51231 - Civilian: Comp Time Earned 1.5x","AC_51231","-183.44"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30265","30265 - Traffic Safety Program","FD_2216","Fund 2216","2216","Measure BB - Alameda County Transportation Commission Sales Tax","2216 - Measure BB - Alameda County Transportation Commission Sales Tax","Fund 2216 - Measure BB - Alameda County Transportation Commission Sales Tax","PJ_1001161","1001161 - MEASURE BB STS-ROAD CATEGORY","PG_NB33","NB33 - TRANSPORTATION & PEDESTRIAN SAFETY","10 -  Misc. Personnel Adjustments","Misc. Personnel Adjustments","Personnel Expenditures","Expense","51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)","AC_51911","-172.44"
"2015-2016","Existing","DP750 - Human Services Department","DV783 - Policy and Planning","DP17 - Human Services","Human Services","DV1705","Policy & Planning","OR_78311","78311 - Policy and Planning","FD_2159","Fund 2159","2159","State of California Other","2159 - State of California Other","Fund 2159 - State of California Other","PJ_1001494","1001494 - HSD/CDCR GSW CALTRANS FY1516","PG_SC22","SC22 - FOSTERING SAFE AND HEALTHY COMMUNITIES","03 - Civilian Retirement","Civilian Retirement","Personnel Expenditures","Expense","51611 - Civilian: Retirement Accrual","AC_51611","-170.93"
"2015-2016","Existing","DP1000 - Police Department","DV1020 - Bureau of Investigation","DP13 - Police Department","Police Department","DV1304","Bureau of Investigation","OR_102320","102320 - Homicide","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1001182","1001182 - 172ND POLICE ACADEMY","PG_PS03","PS03 - CRIMINAL INVESTIGATIONS","06 - Sworn Overtime","Sworn Overtime","Personnel Expenditures","Expense","51214 - Sworn: Overtime","AC_51214","-169.83"
"2015-2016","Existing","DP1000 - Police Department","DV1080 - Bureau of Field Operations","DP13 - Police Department","Police Department","DV1301","Bureau of Field Operations 1","OR_108120","108120 - District Area 2","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000008","1000008 - DP1000 Administrative Project","PG_PS09","PS09 - POLICE TRAINING","02 - Civilian Overtime","Civilian Overtime","Personnel Expenditures","Expense","51231 - Civilian: Comp Time Earned 1.5x","AC_51231","-169.83"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2102","Design & Construction ","OR_30211","30211 - Engineering and Construction: Admin","FD_2415","Fund 2415","2415","Development Service Fund","2415 - Development Service Fund","Fund 2415 - Development Service Fund","PJ_1000010","1000010 - DP300 Administrative Project","PG_CONV","PG_CONV","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58725 - Prior Year Adjustments: Salary & Benefits","AC_58725","-169.56"
"2015-2016","Existing","DP1000 - Police Department","DV1070 - Bureau of Field Operations New","DP13 - Police Department","Police Department","DV1302","Bureau of Field Operations 2","OR_107510","107510 - Traffic Operations","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000008","1000008 - DP1000 Administrative Project","PG_PS11","PS11 - PATROL AREA 1","02 - Civilian Overtime","Civilian Overtime","Personnel Expenditures","Expense","51221 - Civilian: Court Overtime","AC_51221","-166.49"
"2015-2016","Existing","DP1000 - Police Department","DV1010 - Office of the Chief of Police","DP13 - Police Department","Police Department","DV1300","Office of the Chief of Police","OR_101112","101112 - Public Information","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000008","1000008 - DP1000 Administrative Project","PG_PS01","PS01 - AGENCY-WIDE ADMINISTRATION","01 - Civilian Salaries","Civilian Salaries","Personnel Expenditures","Expense","51511 - Civilian: Paid Leave Charge","AC_51511","-165.89"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30235","30235 - Surveying","FD_2216","Fund 2216","2216","Measure BB - Alameda County Transportation Commission Sales Tax","2216 - Measure BB - Alameda County Transportation Commission Sales Tax","Fund 2216 - Measure BB - Alameda County Transportation Commission Sales Tax","PJ_1000679","1000679 - TRAFFIC SIG MGMT-MEASURE BB","PG_IN06","IN06 - PROJECT DELIVERY","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58725 - Prior Year Adjustments: Salary & Benefits","AC_58725","-155.82"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30243","30243 - Right of Way Management","FD_2415","Fund 2415","2415","Development Service Fund","2415 - Development Service Fund","Fund 2415 - Development Service Fund","PJ_1000652","1000652 - RIGHT OF WAY INSPECTIONS 2415","PG_IN05","IN05 - ENGINEERING PLANNING & DESIGN","02 - Civilian Overtime","Civilian Overtime","Personnel Expenditures","Expense","51221 - Civilian: Court Overtime","AC_51221","-151.22"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV305 - Infrastructure Operations","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30534","30534 - Infrastructure Maint: Street Sidewalk","FD_3100","Fund 3100","3100","Sewer Service Fund","3100 - Sewer Service Fund","Fund 3100 - Sewer Service Fund","PJ_1000010","1000010 - DP300 Administrative Project","PG_IN04","IN04 - STREETS & SIDEWALKS MGMT & DEVELOPMENT","09 -  Allowances & Premiums","Allowances & Premiums","Personnel Expenditures","Expense","51421 - Incentive and Special","AC_51421","-144.31"
"2015-2016","Existing","DP840 - Planning and Building Department","DV842 - City Planning and Zoning","DP20 - Planning & Building","Planning & Building","DV2004","General Plan, Zoning Update & Strategic Analysis","OR_84211","84211 - Planning","FD_2415","Fund 2415","2415","Development Service Fund","2415 - Development Service Fund","Fund 2415 - Development Service Fund","PJ_1001542","1001542 - OBRA LEAS UT-CITY 5671-P294110","PG_SC09","SC09 - GENERAL PLAN, ZONING UPDATE & STRATEGIC ANALYSIS","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58725 - Prior Year Adjustments: Salary & Benefits","AC_58725","-137.55"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2102","Design & Construction ","OR_30232","30232 - Construction Mgmt and Material Testing","FD_2415","Fund 2415","2415","Development Service Fund","2415 - Development Service Fund","Fund 2415 - Development Service Fund","PJ_1000010","1000010 - DP300 Administrative Project","PG_IN06","IN06 - PROJECT DELIVERY","02 - Civilian Overtime","Civilian Overtime","Personnel Expenditures","Expense","51211 - Civilian: Holiday Overtime","AC_51211","-136.64"
"2015-2016","Existing","DP1000 - Police Department","DV1070 - Bureau of Field Operations New","DP13 - Police Department","Police Department","DV1301","Bureau of Field Operations 1","OR_107110","107110 - Police Area 1","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000790","1000790 - DEEMED APPROVED","PG_PS13","PS13 - SPECIAL OPERATIONS","04 - Civilian Fringe Benefits","Civilian Fringe Benefits","Personnel Expenditures","Expense","51613 - Civilian: Fringe Benefits Accrual","AC_51613","-135.84"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30235","30235 - Surveying","FD_2116","Fund 2116","2116","Department of Transportation","2116 - Department of Transportation","Fund 2116 - Department of Transportation","PJ_1000629","1000629 - HSIP CYCLE 6 - MADISON","PG_NB33","NB33 - TRANSPORTATION & PEDESTRIAN SAFETY","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58725 - Prior Year Adjustments: Salary & Benefits","AC_58725","-132.19"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2102","Design & Construction ","OR_30232","30232 - Construction Mgmt and Material Testing","FD_2140","Fund 2140","2140","California Department of Transportation","2140 - California Department of Transportation","Fund 2140 - California Department of Transportation","PJ_C459010","PJ_C459010","PG_NB33","NB33 - TRANSPORTATION & PEDESTRIAN SAFETY","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58725 - Prior Year Adjustments: Salary & Benefits","AC_58725","-130.61"
"2015-2016","Existing","DP1000 - Police Department","DV1020 - Bureau of Investigation","DP13 - Police Department","Police Department","DV1304","Bureau of Investigation","OR_102350","102350 - Youth and School Services Section","FD_2113","Fund 2113","2113","Department of Justice - COPS Hiring","2113 - Department of Justice - COPS Hiring","Fund 2113 - Department of Justice - COPS Hiring","PJ_1000760","1000760 - 2013 COPS HIRING PROGRAM","PG_PS11","PS11 - PATROL AREA 1","05 - Sworn  Salaries","Sworn  Salaries","Personnel Expenditures","Expense","51512 - Sworn: Paid Leave Charge","AC_51512","-126.42"
"2015-2016","Existing","DP1000 - Police Department","DV1080 - Bureau of Field Operations","DP13 - Police Department","Police Department","DV1301","Bureau of Field Operations 1","OR_108010","108010 - District Command Administration","FD_2252","Fund 2252","2252","Measure Z - Violence Prevention and Public Safety Act of 2014","2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","Fund 2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","PJ_1001323","1001323 - MEASURE Z-OPD","PG_PS01","PS01 - AGENCY-WIDE ADMINISTRATION","05 - Sworn  Salaries","Sworn  Salaries","Personnel Expenditures","Expense","51512 - Sworn: Paid Leave Charge","AC_51512","-126.42"
"2015-2016","Existing","DP1000 - Police Department","DV1070 - Bureau of Field Operations New","DP13 - Police Department","Police Department","DV1302","Bureau of Field Operations 2","OR_107510","107510 - Traffic Operations","FD_2252","Fund 2252","2252","Measure Z - Violence Prevention and Public Safety Act of 2014","2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","Fund 2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","PJ_1000754","1000754 - MEASURE Y - OPD","PG_CONV","PG_CONV","05 - Sworn  Salaries","Sworn  Salaries","Personnel Expenditures","Expense","51512 - Sworn: Paid Leave Charge","AC_51512","-118.59"
"2015-2016","Existing","DP1000 - Police Department","DV1070 - Bureau of Field Operations New","DP13 - Police Department","Police Department","DV1301","Bureau of Field Operations 1","OR_107110","107110 - Police Area 1","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000790","1000790 - DEEMED APPROVED","PG_PS13","PS13 - SPECIAL OPERATIONS","03 - Civilian Retirement","Civilian Retirement","Personnel Expenditures","Expense","51611 - Civilian: Retirement Accrual","AC_51611","-115.01"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30235","30235 - Surveying","FD_2216","Fund 2216","2216","Measure BB - Alameda County Transportation Commission Sales Tax","2216 - Measure BB - Alameda County Transportation Commission Sales Tax","Fund 2216 - Measure BB - Alameda County Transportation Commission Sales Tax","PJ_1000679","1000679 - TRAFFIC SIG MGMT-MEASURE BB","PG_NB33","NB33 - TRANSPORTATION & PEDESTRIAN SAFETY","04 - Civilian Fringe Benefits","Civilian Fringe Benefits","Personnel Expenditures","Expense","51613 - Civilian: Fringe Benefits Accrual","AC_51613","-113.15"
