"company_name","address","swam_type","swam_cert","expiration_date","designation","vendor","contact_name","email","contact_numbers","nigp_code_1","nigp_code_2","nigp_code_3","nigp_code_4","nigp_code_5","nigp_code_6","nigp_code_7","nigp_code_8","nigp_code_9","nigp_code_10","nigp_code_11","nigp_code_12"
"KTL COMMUNICATIONS, LLC","5055 SEMINARY RD 1220 ALEXANDRIA 22311","MS","709442","12/20/2017","Micro-Business","105181","AMIR KHAN","AMIR@KH-COMMUNICATIONS.COM","(P) (703) 662-0465 / (F)","96175 TRANSLATIONS",,,,,,,,,,,
"ELITE SERVICES","913 OLD BUCKROE ROAD HAMPTON 23663","MS","691803","12/11/2017","Micro-Business","102332","BRYAN A. SEARS","eliteserv@cox.net","(P) (757)927-0721 / (F)","91200 CONSTRUCTION - GENERAL",,,,,,,,,,,
"SYNAPSE TECHNOLOGIES, INC.","236 CLEARFIELD AVENUE, SUITE 216 VIRGINIA BEACH 23462","S","648425","12/31/2017","Micro-Business","HCS","CESAR A.  GONZALES","CGONZALES@SYNTECH.NET","(P) (757)605-9100 / (F) (757)605-9105","92031 INSTALLATION AND SUPPORT OF COMPUTER RELATED EQUIPMENT","92047 COMPUTER SUPPORT SERVICES","88380 TELEPHONE SWITCH",,,,,,,,,
"Fitness Distributors Inc.","14601 Estates Court Lanexa 23089","WS","671285","11/13/2017",,"98632","Cora Conte","cora@fitnessdistributors.net","(P) (804) 966-8294 / (F)","34595 Wipes for safety equipment","43500 Germicides, cleaners & related sanitation products for health care personnel. Skin cleaners, antimicrobials.","47520 Cleaning for infectious body fluids","48540 & 48546 Disinfectants, spray & powder. dispensers and holders for paper towels.","57830 Disaster survival equipment & supplies","61524 Cleaners, hand (pre-moistened towelettes)","80500 Sporting goods, athletic equipment.","93111 Athletic & sporting goods equipment.",,,,
"SEAFORD TRANSFER INC.","143 FREEDOM BLVD. YORKTOWN 23692","WS","664252","12/17/2017",,"HCS","KATHRYN P. MOORE","KPMOORE@SEAFORDTRANSFER.COM","(P) (757)898-8019 / (F) (757)898-0783","96256 MOVING SERVICES","96286 TRANSPORTATION OF GOODS (FREIGHT)",,,,,,,,,,
"CDIS INC","P O BOX 4155 HAMPTON 23664","WS","669593","12/20/2016",,"103584","R.B. BURROUGHS","CBURROUGHS@CDISCORP.COM","(P) (757)696-0683 / (F) (757)851-0950","90728 COMPUTER INTERGRATION","83835 COMMUNICATIONS SYSTEMS, INTEGRATED (INCLUDES TELEPHONE, CLOCK, INTERCOM, ETC.)","83885 TELECOMMUNICATION PARTS AND ACCESSORIES (NOT OTHERWISE CLASSIFIED)","20931 COMPUTER AIDED DESIGN",,,,,,,,
"RTB CONSTRUCTION, LLC","2301 KENSTOCK DR. #103 VIRGINIA BEACH 23454","WS","687886","12/11/2017","Micro-Business","106043","JEANIE PENDER","JEANIE@RTBCONSTRUCTION.NET","(P) (757)510-5753 / (F) (757)495-3575","77000 ROOFING   77009  ROOFING   77077  ROOFING   14560  ROOFING   91066  ROOFING   91473  ROOFING",,,,,,,,,,,
"Carpe Diem of USA, Inc. dba Claud's Lawn Care","P.O. Box 7206 Portsmouth 23707","MS","8501","10/30/2017","Micro-Business","9413","Anthony Claud","landscapeac@aol.com","(P) 399-3800 / (F) 399-0800","595 Nursery stock, equipment and supplies (trees, ornamental and shade)","918 Consulting services (landscape consulting services)","988 Roadside, grounds, recreational and park area services (grounds maintenance - mowing, edging, planting (not trees), trimming, and  landscaping including design, fertilizing, planting, etc. but not grounds maintenance or tree trimming services.",,,,,,,,,
"Ram Services, L.L.C.","102 North Hope Street Hampton 23663","MS","648152","10/29/2017",,"35981","Richard Gill","ramservices2@aol.com","(P) 728-0070 / (F) 728-9337","31 Air conditioning, heating and ventilating: Equipment, parts and accessories (HVAC/R)",,,,,,,,,,,
"Business Interiors & Moving Services","5652 E. Virginia Beach Blvd. Norfolk 23502","MS","675681","12/22/2017",,"92266","Spencer Upshur","officefurniture@bizinteriors.net","(P) 651-5544 / (F) 466-0068","42564 Quality new/used office furniture","96256 Commercial moving services",,,,,,,,,,
"Peoples Diabetc Clinic & Pharmacy","1145 Kilby Drive, Chesapeake, VA 23320","WS","716433","11/9/2018","Micro-Busines",,"Anna Peoples","acpeoples@cox.net","(P)(757) 548-0365/(F)(757) 548-0365","26900 Pharmacy","94800 Health Clinic","94832 Dietician Services","94836 Exercise Program Services","94848 Health Care Services (Not Otherwise Classified)","94855 Medical and Laboratory Services (Non-Physician","94872 Pharmaceutical Services",,,,,
"Air, Land & Sea Heavy Equipment Services, Inc.","P.O. Box 9385 Chesapeake 23321","MS","691631","11/22/2017","Micro-Business","101544","Wayne Jones","wjones10@cox.net","(P) (757) 955-8452 / (F) (703) 542-3250","97500 Heavy Equipment Services","15538 Office Trailers and General Construction Services","2000 AG Equipment Services","91814 Heavy Equipment Procurement","91896 Heavy Equipment Evaluations",,,,,,,
"Jones Mechanical H & C, Inc.","3900 Stumpy Lake Lane Virginia Beach 23456","MS","696742","10/23/2017","Micro-Business","101904","Bernard Jones Sr.","info@jonesmechanical.net","(P) 759-1146 / (F) 757-417-1711","3156 HVAC Design Build","3167 HVAC","91036 HVAC Maintenance","91450 Heating & Ventilation & Air","94155 HVAC Cleaning","93667 Refrigeration","55705 Air conditioning and heating","96242 Heating and related services","82000 Steam and hot water boilers",,,
"PEACOCK BUSINESS SOLUTIONS, LLC dba PEACOCK BUSINESS SOLUTIONS, LLC","201 Production Dr Yorktown 23693","WS","692378","11/12/2017","Micro-Business","103516","Lindie D. Yardley","lindie@peacockbiz.com","(P) (757) 595-2602 / (F) (757) 595-2611","96657 MULTIPURPOSE PRINTING SHOP","3752 IMPRINTED PROMOTIONAL ITEMS",,,,,,,,,,
"COUSINS & ASSOCIATES, INC.","P.O. BOX 597 HEATHSVILLE 22473","WS","648284","10/23/2017","Micro-Business","106487","SUSAN COUSINS","scousins@cousinsassociates.com","(P) (804)339-1643 / (F) (815)572-9784","91875 MANAGEMENT CONSULTING","20868 PROJECT MANAGEMENT","20969 PROJECT MANAGEMENT  IT CONSULTING",,,,,,,,,
"Faithful Hauling LLC","116 Kincaid Lane
Hampton, VA 23666","MS","713861","10/19/2019",,,"Troy Ward","troyward14years@yahoo.com","(P) (757) 755-5847","484220 Dump trucking (e.g., gravel, sand, top soil)",,,,,,,,,,,
"Multi Textiles, Inc","500 Lincoln St., Portsmouth, VA 23704","MS","671208","6/15/2018","Micro-Business",,"Randall Halcomb","randall.halcomb@multitextiles.com","(P)(757) 515-2211","20032 Hospital Wear, Patient","20034 Hospital Wear, Professional","20049 Prisoner Uniforms","20086 Uniforms","85056 Reusable Bed Underpads","85060 Reusable Bed Underpads","85064 Linen Products - Sheets and Pillow Cases","85092 Linen Products - Towels",,,,
"OPN-DOOR COMMUNICATIONS LLC","PO BOX 9505 HAMPTON 23666","MS","672652","3/24/2020","Micro-Business","89938","VICKIE R. WILLIAMS","vickierwilliams@opndoor.com","(P) (757)816-4478 / (F)","91838 EDUCATIONAL AND TRAINING CONSULTING","96105 ALTERNATIVE DISPUTE RESOLUTION/MEDIATION","20866 PROFESSIONAL:COMPUTER TRAINING, HOSPITAL/PHARMACY, LEGAL","20967 PROFESSIONAL HOSPITAL/PHARMACY, LEGAL , COMPUTER TRAINING ETC","47549 INSTRUCTIONAL AIDS AND TRAINING PROGRAMS","92435 IN-SERVICE TRAINING (EMPLOYEES)","95290 TRAINING AND INSTRUCTION",,,,,
"Diversity Graphic Solutions LLC","P. O. Box 3468 Hampton 23663","MS","683297","2/9/2019","Micro-Business","97915","E","ELLEN SORRELL","(P) 593-1086 / (F) 722-7780","Local Contact: Ellen Sorrell, Vice President/Solutions Consultant","80 Badges, emblems, name tags, plates and jewelry","200 Clothing, athletic, casual, dress, uniform, weather-related, work (apparel and clothing accessories)","37 Amusement, decorations, entertainment, toys, etc. (promotional products)","255 Decals and stamps","310 Envelopes-plain or printed (envelope printing)","395 Forms continuous: computer paper, form labels, snap-out forms and folders","615 Office supplies, general","966 Printing and related services",,,
"Global Green Termite & Pest Control","2711 Build America Drive  Hampton 23666","MS","686932","3/27/2020","Micro-Business","99819","Karieem William Koon Sr.","contact@globalgreenpest.com","(P) 757-218-3206 / (F)","91059 PEST CONTROL",,,,,,,,,,,
"USA CONSTRUCTION ENTERPRISES INC.","159 LITTLE FLORIDA RD POQUOSON, VA   23662","S","714040","4/9/2018","Micro-Business",,"SHARON FIRTH","STFTLF@GMAIL.COM","(P) (757)880-5674/(F) (757)659-0621","91400  CLASS A CONTRACTOR/MASONRY",,,,,,,,,,,
"TUSKEGEE CONTRACTING, LLC","15 N. Mallory Street, Hampton, VA 23663","MS","699290","6/16/2018",,,"JEFFERY RAYFORD","info@tuskegeecontracting.com","(P) (75)723-3989/(F) (757)224-8068","90900  BUILDING CONSTRUCTION SERVICES, NEW (INCL. MAINTENANCE AND REPAIR SERVICES)","91400  CONSTRUCTION SERVICES, TRADE (NEW CONSTRUCTION)","91200  CONSTRUCTION SERVICES, GENERAL (INCL. MAINTENANCE AND REPAIR SERVICES)",,,,,,,,,
"Dee's Contracting, Inc","P. O. Box 408, Newport News, VA 23607","MS","719400","12/3/2019","Micro-Business",,"Deaitra Bullock-Diggs","deedeediggs@hotmail.com","(P)(757) 714-9306","91200 Construction/General Contractor",,,,,,,,,,,
"NXL CONSTRUCTION COMPANY, INC.�","114 EAST CARY STREET, SUITE 200 RICHMOND, VA   23219","MS","626437","6/30/2019","Micro-Business",,"Nico Deleon","cwhitney@nxl.com","(P)  (804)644-4600/ (F) (804)644-4674","92500  PROFESSIONAL ENGINEERING SERVICES","92586  SURVEYING SERVICES (NOT AERIAL OR RESEARCH)","91275  QUALITY CONTROL TESTING SERVICES FOR CONSTRUCTION","95826  CONSTRUCTION MANAGEMENT SERVICES",,,,,,,,
"Tactical Office Solutions, Inc. dba Tactical Office Solutions","2 Eaton Street, Suite 805 Hampton 23669","MS","652120","4/18/2020",,"102672","Pablo  Gonzalez","pablo@tosoffice.com","(P) (757) 262-6976 / (F) (757) 565-6088","42500 OFFICE FURNITURE;","Lee Ann Zeleskinar-Office Manager  (757) 565-6060; leeann@tosoffice.com",,,,,,,,,,
"Colonial Scientific","P.O. Box 71528 Richmond 23255","S","9730","2/27/2020",,"52125","Mike Rinko","mike@colonialscientific.com","(P) (804) 553-0244 / (F) (804) 553-0272","17500 CHEMICAL LABORATORY EQUIPMENT AND SUPPLIES","49500 LABORATORY AND FIELD EQUIPMENT AND SUPPLIES: BIOLOGY, BOTANY, GEOLOGY, MICROBIOLOGY, ZOOLOGY, ETC.","49300 LABORATORY EQUIPMENT AND ACCESSORIES: BIOCHEMISTRY, CHEMISTRY, ENVIRONMENTAL SCIENCE, ETC.","75500 ROAD AND HIGHWAY EQUIPMENT AND PARTS: ASPHALT AND CONCRETE HANDLING AND PROCESSING","88500 WATER AND WASTEWATER TREATING CHEMICALS","47500 HOSPITAL, SURGICAL AND RELATED MEDICAL ACCESSORIES AND SUNDRY ITEMS","19300 CLINICAL LABORATORY REAGENTS AND TESTS(BLOOD GROUPING, DIAGNOSTIC, DRUG MONITORING, ETC.)","41500 FURNITURE: LABORATORY","43000 GASES, CONTAINERS, EQUIPMENT: LABORATORY, MEDICAL, AND WELDING",,,
"THE LIVAS GROUP, INC.�","246 W. FREEMASON STREET, NORFOLK, VA  23510","MS","723155","12/9/2019",,,"WILLIAM H MILLIGAN III","wmilligan3rd@livasgroup.com","(P) (757)627-0896/ (F) (757)640-1389","90600  ARCHITECTURAL SERVICE",,,,,,,,,,,
"GLOJAM ENTERPRIZE, LLC�","3419 VIRGINIA BEACH BLVD #141, VIRGINIA BEACH, VA   23452","MS","626895","5/1/2019",,,"GLORIA SAUNDERS","DAWN43@GLOJAMENTERPRIZE.COM","(P)(757)474-2143/(F)(757)474-2147","65834  PIPES, CONCRETE","21038  CULVERT, CONCRETE","65860  PVC","65841  PIPE, FIBERGLASS","48500  JANITORIAL SUPPLIES, GENERAL LINE","48576  RECYCLED JANITORIAL SUPPLIES","07519  CLEANING AND WASHING EQUIPMENT, STEAM, COLD AND HOT WATER PRESSURE AND JET TYPES, PORTABLE AND STATIONARY (ALSO SEE 075-49)","99882  RAGS","34500  FIRST AID AND SAFETY EQUIPMENT SUPPLIES(EXCEPT NUCLEAR AND WELDING)","34087  TRAINING EQUIPMENT AND SUPPLIES, FIRE AND SAFETY",,
"AMC SPECIALTY, INC.","4565 PROGRESS ROAD, SUITE A-3 NORFOLK 23502","S","655694","3/1/2020",,,"TOM CUNNINGHAM","AMCSPECIALTY@PEOPLEPC.COM","(P) (757)855-1525 / (F) (757)855-1526","98836�GROUNDS MAINTENANCE: MOWING, EDGING, PLANT (NOT TREE) TRIMMING, ETC.","98852 LANDSCAPING (INCLUDING DESIGN, FERTILIZING, PLANTING, ETC., BUT NOT GROUNDS MAINTENANCE OR TREE TRIMMING SERVICES)","98856 LITTER REMOVAL SERVICES (INCLUDING BEACH CLEANING) (FOR BUILDINGS SEE 910-27)","98889 WEED AND VEGETATION CONTROL (INCLUDING AQUATIC WEED CONTROL)",,,,,,,,
"J HARDY ENTERPRISES LLC","107 CRYSTAL COVE APT. E, HAMPTON, VA   23666","S","707804","1/23/2018",,,"JAMES HARDY","J_hardy79@yahoo.com","(P)(757)879-0308/(F)(757)864-0965","51500  LAWN CARE SERVICE",,,,,,,,,,,
"YVETTE KANOE DRIVER","938 MOYER RD NEWPORT NEWS, VA   23608","MS","710615","9/21/2019","Micro-Business",,"YVETTE KANOE DRIVER","yvettescreations003@gmail.com","(P)  (757)727-8221/ (F) (757)727-8222","453220  GIFT BASKETS / EVENT DECORATOR",,,,,,,,,,,
"BUCKINGHAM GREENERY, INC.","P. O. BOX 140 BUCKINGHAM, VA   23921","MS","10835","8/19/2017",,,"LISA M. LANN","GREENERY@BUCKINGHAMGREENERY.COM","(P)(434)969-4711/(F)(434)969-4544","59561  PLANTS, INDOOR",,,,,,,,,,,
"3DIF, LLC","47 EAST QUEENS WAY # 204F, HAMPTON, VA   23669","WS","694199","6/23/2018","Micro-Business","101564","Indy Victoria Freeman/Darryl Postell","indy.freeman@sdif.com; info@3dif.com; darryl.postell@3dif.com","(P) (757)905-0631","91800  CONSULTING SERVICES","91806  ADMINISTRATIVE CONSULTING","91820  BUSINESS CONSULTING, SMALL","91885  PERSONNEL/EMPLOYMENT CONSULTING (HUMAN RESOURCES)","91879  MINORITY AND SMALL BUSINESS CONSULTING","91875  MANAGEMENT CONSULTING","91871  IT CONSULTING","91835  DISADVANTAGE BUSINESS ENTERPRISE (DBE) AND HISTORICALLY","92026  DESKTOP PUBLISHING SERVICES","96190  WRITING SERVICES, ALL KINDS (INCLUDING RESUMES","03778  SOUVENIRS: PROMOTIONAL, ADVERTISING, ETC.",
"Saunders Contracting Services, Inc.","210 Challenger Way Hampton 23666","WS","665278","2/22/2020","Micro-Business","4907","Angela Saunders Cutler","acutler@saunderscontracting.com","(P) (757)766-5600 / (F) (757) 766-5603","91400 Electrical Contracting",,,,,,,,,,,
"JAG TREE SERVICES LLC","132 MILL POINT DRIVE HAMPTON, VA   23669","MS","721151","11/18/2019","Micro-Business",,"MICHAEL BROWN, JR","mikejr@jagtreeservices.com","(P) (757)510-3610","94700  TREE REMOVAL / STUMP GRINDING",,,,,,,,,,,
"Verville Ventures Consulting, LLC DBA:Integrity Energy Solutions & Technology","P.O. Box 2275, Chesapeake, VA 23327","S","715386","43247","Micro-Business",,"Justin Verville","jverville@integrityenergyus.com","(P)(757) 332-0537","92500 Engineering Services, Professional",,,,,,,,,,,
"JLM ENTERPRISES OF VIRGINIA, INC. DBA WALKER'S CARPETS & INTERIORS","8501 BROOK ROAD GLEN ALLEN 23060","S","669743","4/14/2020",,"105669","JAY MASHAW","JAY@WALKERSCARPETS.COM","(P) (804)262-3636 / (F) (804)262-0084","36000 COMMERCIAL FLOORING CONRTACTOR",,,,,,,,,,,
"World Class Solutions Inc. dba DAS Medical Equipment and Supplies","2815 Huntington Ave., Newport News, VA 23607","WS","652982","3/14/2020","Micro-Business","78631","Sharon D. Owens","info@worldclassmarketinginc.com","(P) (757) 223-5721 / (F) (757) 223-6220","99867 MEDICAL AND DENTAL EQUIPMENT AND SUPPLIES","47500 HOSPITAL, SURGICAL, AND RELATED MEDICAL ACCESSORIES AND SUNDRY ITEMS","17500 CHEMICAL LABORATORY EQUIPMENT AND SUPPLIES","21730 ENTERAL ADMINISTRATION SYSTEMS (FOR TUBE FEEDING, ETC.)","47555 MEDICAL EXAMINATION EQUIPMENT AND SUPPLIES","96684 SILK SCREEN PRINTING","96278 SEWING, EMBROIDER, EMBOSSING AND ALTERATION SERVICES","20137 EMBLEMS, BRAIDS, AND PATCHES (FOR CAPS AND UNIFORMS) (INCLUDING CHEVRONS, EPAULETTES AND SHOULDER BOARDS)","20117 BAGS AND CLOTHING","20010  ATHLETIC CLOTHING","34579 REFLECTIVE SAFETY APPAREL AND ACCESSORIES (SEE 345-08 FOR NON-REFLECTIVE TYPE)",
"Dominion Sitework, Inc.","3630 Geo. Wash. Memorial Hwy. F-3 Yorktown 23693","S","9969","2/3/2020","Micro-Business","35409","Mark C. Mills","kmills@dominionsitework.com","(P) (757) 867-7003 / (F) (757) 867-7104","91240 SITE & UTILITY CONTRACTING TO INCLUDE EARTHWORK, UTILITIES, SITE CONCRETE, ASPHALT PAVING & ATHLETIC FIELD CONSTRUCTION","910 Building maintenance and repair services","912 Construction services (site & utility contracting, earthwork, utilities, site concrete, asphalt paving & athletic field construction)",,,,,,,,,
"Isle of Wight Suppliers","15521 Strawberry Plains Rd., Ivor, VA 23866","WS","725901","7/12/2022","Micro-Business",,"Barbara Doherty","IOWSuppliers@gmail.com","(P)7578978674/(F)7578978516","67000 Plumbing Supply",,,,,,,,,,,
"Countryside Gardens Inc.","220 E. Mercury Blvd. Hampton 23669","WS","662425","8/28/2022","Micro-Business","53937","Tish Llaneza","tish@countrysidegardens.biz","(P) (757) 722-9909 / (F) (757) 722-9915","59537 HORTICULTURE SPECIALTIES","59566 SHRUBBERY FLOWERING","59565 SHRUBBERY EVERGREEN","59561 PLANTS INDOORS","59535 GROUNDCOVERS AND VINES","59552 PERENNIALS","59555 PLANT FOOD","59530 FOUNTAINS STATUES DECORATIVE LAWN AND GARDEN","59588 VASES FLOWERPOTS POTTERY","59577 TROPICALS","3443 GIFTS",
"ABATE PEST CONTROL","350 BRIGHTWOOD AVE., HAMPTON, VA 23661","MS","652574","2/12/2019","Micro-Business",,"DONALD IRBY","doirby@hotmail.com","(P)7572872695","91059 TERMITE & PEST CONTROL","98872",,,,,,,,,,
"IMAGE BUSINESS INTERIORS, L.L.C.","332 N GREAT NECK ROAD, SUITE 105 VIRGINIA BEACH 23454","WS","666053","2/24/2020",,"105460","CARRIE L. SETLIFF","CARRIE@IMAGEBUSINESSINTERIORS.COM","(P) (757)962-9810 / (F) (757)965-4072","42500 OFFICE FURNITURE","41000 FURNITURE: HEALTH CARE AND HOSPITAL FACILITY","41500 FURNITURE: LABORATORY","42000 FURNITURE: CAFETERIA, CHAPEL, DORMITORY, HOUSEHOLD, LIBRARY, LOUNGE, SCHOOL","42500 FURNITURE: OFFICE","93145 FURNITURE INSTALLATION AND RECONFIGURATION SERVICES (INCLUDING SYSTEMS FURNITURE","93146 FURNITURE, OFFICE, MAINTENANCE AND REPAIR (INCLUDES REFINISHING AND REUPHOLSTERING)","90652 INTERIOR DESIGN, SPACE PLANNING, AND EXHIBITS/DISPLAYS","96248 INTERIOR DESIGN/DECORATOR SERVICES",,,
"CJMPA CONSULTING GROUP, LLC","908 COVENANT STREET, NORFOLK, VA   23504","MS","708208","6/21/2020",,,"�CYNTHIA JEWELL","cjmpanet@outlook.com","(P) (757)975-2926","91800  CONSULTING SERVICES","92460  NOT FOR CREDIT WORKSHOP & SEMINARS","95277  RESEARCH & EVALUATION","95800  MANAGEMENT SERVICES","95816  BUSINESS MANAGEMENT SERVICES","95823  COMPUTER MANAGEMENT SERVICES","95868  SUPPORT SERVICES","96110  BUSINESS PLAN DEV. SERVICES","96151  LOBBY SERVICES","96153  MARKETING SERVICES",,
"AXIS GLOBAL ENTERPRISES, INC.","2824 SHIPPS CORNER ROAD, VIRGINIA BEACH, VA   23453","MS","687110","4/4/2019",,,"ROSS VIERRA","accounting@axisge.com","ROSS VIERRA","96861  PAVEMENT MARKING SERVICES (INCLUDING REMOVAL OF MARKINGS)","96861  PAVEMENT MARKING SERVICES (INCLUDING REMOVAL OF MARKINGS)","91371  MAINTENANCE AND REPAIR, HIGHWAY AND ROAD","91395  PAVING/RESURFACING, HIGHWAY AND ROAD","91065  REMODELING AND ALTERATIONS","91276  STRIPING STREETS, PARKING FACILITIES, LANE DIVISIONS, ETC. (PAINT)","91428  CLEANING, INTERIOR/EXTERIOR, NEW CONSTRUCTION","91336  CONSTRUCTION, PARKING LOT AND ALLEY","80196  SIGNS, TRAFFIC, SOLAR POWERED, LED, FLASHING, PROGRAMMABLE","80187  SIGNS, OVERHEAD (TRAFFIC)","91846  FEASIBILITY STUDIES (CONSULTING)",
"Sound Home Solutions LLC; DBA: Durham Painting and House Washing","21 Sacramento Drive, Apt. 13E, Hampton, VA 23666",,"726163","8/16/2022",,,"Carlton Lee Durham, Sr.","soundhomesolutionsllc@gmail.com","(P) (757) 291-2244/(757)224-6495","93000 Painting","63570 Pressure washing",,,,,,,,,,
"TERRYWORLDWIDE, LLC","1100 Exploration Way, Suite 302L, Hampton, VA 23666","MS","710884","9/21/2019","Micro-Business",,"TERRY WILLIS / EVELYN HOWELL","Terry@terryworldwide.com","(P) (313)974-8341/ (F)  (757)227-3775","91800  CONSULTING SERVICES",,,,,,,,,,,
"Ziegler Plumbing & Sewer, Inc. dba Ziegler Plumbing & Sewer, Inc.","15324-A Warwick Boulevard Newport News 23608","WS","667640","1/18/2020","Micro-Business","39261","Theresa Siebels","THERESA@ZIEGLERPLUMBING.COM","(P) (757) 877-2054 / (F) (757) 877-1888","91468 Plumbing","91060 Plumbing maintenance","93400 Plumbing equipment maintenance","93464 Plumbing equip/fixture repair","91068 Septic maintenance",,,,,,,
"Jo-Kell, Inc.","1716 Lambert Court Chesapeake 23320","WS","6563","3/15/2020",,"91077","Susan H. Kelly","suzy@jokell.com","(P) (757) 523-2900 / (F) (757) 523-0903","28500 Electrical equipment & supplies (except cable/wire)",,,,,,,,,,,
"Global One Logistics dba Global One Logistics","51 Nathan Street Hampton 23669","MS","667678","2/27/2020","Micro-Business","100694","Theresa Jackson","theresa@global1logistics.com","(P) (757) 850-9752 / (F) (757) 727-0480","20855 DISTRIBUTOR OF INDUSTRIAL MATERIAL AND SUPPLIES","20956 RFID","20810 INVENTORY AND ASSET MANAGEMENT AND SUPPLIES","20031 HAZARDOUS ENVIRONMENT CLOTHING","28550 LAMPS: FLUORESCENT, INCANDESCENT, MERCURY VAPOR, QUARTZ AND SODIUM VAPOR","17587 THERMOMETERS, GENERAL LABORATORY TYPE","17532 FILTERING APPARATUS AND FILTERS FOR LIQUIDS","20442 EXPANSION/ACCELERATOR BOARDS: HARD DRIVE CONTROLLER CARDS, MEMORY, PROCESSOR, SCSI, VIDEO CARDS",,,,
"Environmental Graphic Design International, LLC","852 Tidewater Dr, Suite A, Norfolk, VA 23504","MS","703299","2/13/2018","Micro-Business",,"William Perry","egd@egdinternational.com","(P)(757) 235-7727/ (F)(757) 201-6996","05200 ART OBJECTS","80100 SIGNS, SIGN MATERIALS, SIGN MAKING EQUIPMENT, AND RELATED SUPPLIES",,"90600 ARCHITECTURAL SERVICES, PROFESSIONAL","90700 Signage / Graphic Design","91800 CONSULTING SERVICES","96600 PRINTING AND RELATED SERVICES",,,,,
"ULTIMATE CLEANING GROUP LLC","31 TANGLEWOOD DR, HAMPTON, VA   23666","MS","722779","9/7/2019",,,"JAMEL GREY","mel@ultimatecleaninggroup.com","(P)(757)517-0058/(F)(757)517-0056","91039�JANITORIAL/CUSTODIAL SERVICES",,,,,,,,,,,
"HAMILTON CONSULTING SOLUTIONS CORP (HCSC)","2305 TRESCOTT WAY, SUITE 100, CHESAPEAKE, VA 23323","WS","669510","6/24/2017",,,"Patricia Hamilton","HAMILTONP@HAMILTON-CSC.COM","(P) (757)558-2442/ (F) (757)487-0021","91875  MANAGEMENT CONSULTING","92000  DATA PROCESSING, COMPUTER, PROGRAMMING, AND SOFTWARE SERVICES","91300  CONSTRUCTION SERVICES, HEAVY (INCL. MAINTENANCE AND REPAIR SERVICES)","90900  BUILDING CONSTRUCTION SERVICES, NEW (INCL. MAINTENANCE AND REPAIR SERVICES)","76000  ROAD AND HIGHWAY EQUIPMENT: EARTH HANDLING, GRADING, MOVING, PACKING, ETC.","75000  ROAD AND HIGHWAY BUILDING MATERIALS (NOT ASPHALTIC)","74500  ROAD AND HIGHWAY BUILDING MATERIALS (ASPHALTIC)","33000  FENCING","15500  BUILDINGS AND STRUCTURES: FABRICATED AND PREFABRICATED",,,
"God's Wisdom & Knowledge Bookstore","846 Ditchley Road, Kilmarnock, VA 22482","WS","690041","2/20/2020","Micro-Business",,"Midred Reid","mildredreid61@yahoo.com","(P)(804) 435-0615/(F)(804) 435-0615","71510 Books, Magazines,Phamplets","71512 Books, Dictionaries, reference","71582 Religious Publications and books","99818 Books All Typess",,,,,,,,
"PHASE 3 ELECTRICAL CONTRACTING LLC","1311 34TH ST NEWPORT NEWS, VA   23607","MS","722480","2/14/2020","Micro-Business",,"YAHSHADDAI WEEKES","phase3ele@gmail.com","(P) (757)715-1586","91438  ELECTRICAL",,,,,,,,,,,
"SOFTWARE ENGINEERING SERVICES, INC","P.O. Box 1393 Yorktown 23692","S","688315","3/3/2020","Micro-Business","49034","Stephanie  Jackson","jacksonsm@sesi-va.com","(P) (757) 890-2997 / (F) (757) 890-3110","92000 DATA PROCESSING, COMPUTER, AND SOFTWARE SERVICES","91828 COMPUTER HARDWARE CONSULTING","91829 COMPUTER SOFTWARE CONSULTING","91830 COMPUTER SOFTWARE CONSULTING","92029 FACILITIES MANAGEMENT SERVICES, COMPUTER","92031 INSTALLATION OF COMPUTERS, PERIPHERALS, AND RELATED EQUIPMENT (INCLUDING SOFTWARE)","92040 PROGRAMMING SERVICES, COMPUTER","92047 SUPPORT SERVICES, COMPUTER","93921 COMPUTERS MAINTENANCE AND REPAIR","95823 COMPUTER MANAGEMENT SERVICES","99829 COMPUTERS, PARTS AND SUPPLIES",
"INDOOR AIR TECHNOLOGIES, INC.","33 WEST MAIN STREET VICTOR 14564","WS","658552","1/27/2020",,"102128","REBECCA MELTON","REBECCA@INDOORAIRTECHNOLOGIES.COM","(P) (804)451-1912 / (F)  (585)924-2135","91004 AIR DUCT CLEANING",,,,,,,,,,,
"PEARL'S INCORPORATED","2100 ALUMINUM AVENUE #110, HAMPTON, VA   236","WS","688247","12/8/2019",,,"SALLY KROB","pearlsinc@hotmail.com","(P) (757)722-1907/ (F) (757)723-3317","36000  COMMERCIAL FLOOR COVERING","87090  WINDOW COVERINGS",,,,,,,,,,
"Pape and Company, Incorporated",,"WS","656423","4/24/2020",,,"Karen Pape","karen@papeandco.com","(P)(434) 975-6640/ (F)(434) 975-6641","94615 Real Estate Appraisal",,,,,,,,,,,
"REDDICK QUALITY CONCRETE SERVICES, INC�","5700 ROANOKE AVE., NEWPORT NEWS, VA   23605","MS","658196","12/29/2017",,,"WILLIAM REDDICK","reddickqcswr@gmail.com","(P) (757)435-6926/(F) (757)223-0227","15015",,,,,,,,,,,
"Data-Tronix, Inc.","406 Aberdeen Rd., Hampton, VA 23661","MS","714339","6/16/2020",,,"Marvin Jackson","info@data-tronix.com","(P)(757) 826-7149/(F) (757) 838-6186","60000 Office equipment sale and service",,,,,,,,,,,
