"last_name","first_name","position","location_1","state","room_","area","work_phone","division","section"
"Murphy","James","Judge","555 Harrison St
,  ","IL","402","312","325-9000","Domestic Violence",
"Martin","Patricia","Presiding Judge","1100 Hamilton Ave
,  ","IL","8004","312","433-4756","Child Protection",
"Delort","Mathias","Judge","50 Washington St
,  ","IL","2803","312","603-3893","Chancery",
"Hyman","Michael","Judge","50 Washington St
,  ","IL","2405","312","603-3343","Chancery",
"Brooks","Rodney","Judge","1100 Hamilton Ave
,  ","IL","G036S","312","433-4757","Juvenile Justice",
"Howse","Nathaniel","Judge","160 LaSalle St
,  ","IL","S1910","312","793-5400","Appellate",
"Taylor","Bill","Judge","50 Washington St
,  ","IL","2007","312","603-5902","Law","Individual Commercial Calendar"
"Mendoza","Patricia","Judge","1100 Hamilton Ave
,  ","IL","G030N","312","433-4757","Juvenile Justice",
"Lacy","William","Judge","2600 California Ave
,  ","IL","604","773","674-3183","Criminal",
"Ford","Nicholas","Judge","2600 California Ave
,  ","IL","702","773","674-3167","Criminal",
"Senechalle","Robert","Judge","1500 Maybrook Dr
,  ","IL","127","708","865-6060","Municipal","District 4"
"Gillespie","Pamela","Judge","50 Washington St
,  ","IL","1111","312","603-4532","Municipal","District 1"
"Smith","Terence","Judge","10220 76th Ave
,  ","IL","203A","708","974-6535","Municipal","District 5"
"Kelley","Thomas","Judge","50 Washington St
,  ","IL","407","312","603-7414","Domestic Relation",
"Harmening","Edward","Judge","50 Washington St
,  ","IL","1301","312","603-6132","Municipal","District 1"
"Callahan","John","Judge","50 Washington St
,  ","IL","1803","312","603-5943","Probate",
"Coghlan","Mary","Presiding Judge","50 Washington St
,  ","IL","1803","312","603-7545","Probate",
"Panozzo","Kathleen","Judge","16501 Kedzie Pkwy
,  ","IL","104","708","232-4170","Municipal","District 6"
"Berman","Andrew","Judge","1100 Hamilton Ave
,  ","IL","G028N","312","433-4757","Juvenile Justice",
"O'Brien","William","Judge","5600 Old Orchard Rd
,  ","IL","219","847","470-7200","Criminal","District 2"
"Hennelly","Thomas","Judge","2600 California Ave
,  ","IL","205","773","674-7419","Criminal",
"Zelezinski","Frank","Supervising Judge","16501 Kedzie Pkwy
,  ","IL","108","708","232-4170","Municipal","District 6"
"Evans","Timothy","Chief Judge","50 Washington St
,  ","IL","2600","312","603-6000",,
"Rooney","Jean","Judge","50 Washington St
,  ","IL","2802","312","603-3900","Chancery",
"Wolfson","Lauretta","Judge","50 Washington St
,  ","IL","1107","312","603-4533","Municipal","District 1"
"Moreland","Caroline","Judge","50 Washington St
,  ","IL","400","312","603-2600","Municipal","District 1"
"Powell","Joan","Judge","50 Washington St
,  ","IL","2506","312","603-6005","Law","Individual General Calendar"
"Carr","John","Judge","50 Washington St
,  ","IL","1603A","312","603-4841","Domestic Relation",
"Coleman-John","Bonita","Judge","16501 Kedzie Pkwy
,  ","IL","202","708","232-4306","Domestic Relation",
"Kipperman","Carol","Judge","1500 Maybrook Dr
,  ","IL","289","708","865-6060","Municipal","District 4"
"Johnson","Moira","Judge","50 Washington St
,  ","IL","1903","312","603-3009","Domestic Relation",
"Jones","Sidney","Judge","50 Washington St
,  ","IL","1306","312","603-4197","Municipal","District 1"
"Ryan","Jim","Judge","555 Harrison St
,  ","IL","304","312","325-9000","Municipal","District 1"
"Bender","Michael","Judge","50 Washington St
,  ","IL","CL24","312","603-1260","Domestic Relation",
"Sutker-Dermer","Shelley","Presiding Judge","5600 Old Orchard Rd
,  ","IL","219","847","470-7200","Criminal","District 2"
"Goldberg","Allen","Judge","50 Washington St
,  ","IL","2303","312","603-6078","Law","Individual Commercial Calendar"
"Schleifer","Andrea","Judge","50 Washington St
,  ","IL","CL24","312","603-1260","Domestic Relation",
"Stephenson","Domenica","Judge","2600 California Ave
,  ","IL","3A15","773","674-3160","Criminal",
"Brennan","Margaret","Judge","50 Washington St
,  ","IL","2574","312","603-6334","Law","Tax & Miscellaneous Remedy"
"Savage","Drella","Judge","50 Washignton St
,  ","IL","2201","312","603-6064","Law","Motions"
"Hoffenberg","Earl","Judge","5600 Old Orchard Rd
,  ","IL","219","847","470-7200","Municipal","District 2"
"Ball-Reed","Patrice","Judge","555 Harrison St
,  ","IL","201","312","325-9000","Domestic Violence",
"Connors","Maureen","Judge","160 LaSalle St
,  ","IL","S-1705","312","793-5422","Appellate",
"Jean-Baptiste","Lionel","Judge","50 Washington St
,  ","IL","400","312","603-2600","Municipal","District 1"
"Varga","James","Judge","50 Washington St
,  ","IL","2606","312","603-4206","Law","Jury"
"Quinn","Marguerite","Judge","5600 Old Orchard Rd
,  ","IL","219","847","470-7200","Municipal","District 2"
"Haracz","David","Judge","50 Washington St
,  ","IL","3004","312","603-4605","Domestic Relation",
"Burke","Kathleen","Judge","10220 76th Ave
,  ","IL","101B","708","974-6534","Municipal","District 5"
"McGrath","Brigid","Judge","50 Washington St
,  ","IL","1907","312","603-5941","Law","Individual Commercial Calendar"
"Lyons","Thomas","Judge","50 Washington St
,  ","IL","1301","312","603-6132","Municipal","District 1"
"Fein","Roger","Judge","5600 Old Orchard Rd
,  ","IL","219","847","470-7200","Municipal","District 2"
"Stuart","Jane","Judge","50 Washington St
,  ","IL","1804","312","603-5943","Probate",
"Dooling","Deborah","Judge","50 Washington St
,  ","IL","2404","312","603-6017","Law","Jury"
"Kubalanza","Joan","Judge","1100 Hamilton Ave
,  ","IL","G009AW","312","433-4756","Child Protection",
"Linn","James","Judge","2600 California Ave
,  ","IL","700","773","674-3164","Criminal",
"Flanagan","Kathy","Supervising Judge","50 Washington St
,  ","IL","2210","312","603-6066","Law","Motions"
"Sullivan","Susan","Judge","50 Washington St
,  ","IL","400","312","603-2600","Municipal","District 1"
"Reynolds","Jeanne","Judge","5600 Old Orchard Rd
,  ","IL","203","847","470-7420","Domestic Relation","District 2"
"Budzinski","Elizabeth","Judge","50 Washington St
,  ","IL","2010","312","603-5932","Law","Jury"
"Phelps Felton","Donna","Judge",,"IL","109","847","818-2286","Municipal","District 3"
"Bourgeois","Adam","Judge","2600 California Ave
,  ","IL","102","773","674-3072","Municipal","District 1"
"Mills","Martha","Supervising","50 Washington St
,  ","IL","CL24","312","603-1260","Domestic Relation",
"Horan","Kevin","Judge","50 Washington St
,  ","IL","400","312","603-2600","Municipal","District 1"
"Simpson","Douglas","Judge","50 Washington St
,  ","IL","1301","312","603-6132","Municipal","District 1"
"Vilkelis","Peter","Judge","1100 Hamilton Ave
,  ","IL",,"312","433-4756","Child Protection",
"Kaplan","James","Judge","50 Washington St
,  ","IL","400","312","603-2600","Municipal","District 1"
"Chevere","Gloria","Judge","155 51st St
,  ","IL","Br. 34","773","373-8878","Municipal","District 1"
"Gainer","Thomas","Judge","2600 California Ave
,  ","IL","302","773","674-7410","Criminal",
"White","Alexander","Supervising Judge","50 Washington St
,  ","IL","2503","312","603-5533","Law","Tax & Miscellaneous Remedy"
"Jackson","Marianne","Judge","1100 Hamilton Ave
,  ","IL","G032N","312","433-4757","Juvenile Justice",
"Hall","Sophia","Judge","50 Washington St
,  ","IL","2301","312","603-3733","Chancery",
"Betar","Samuel","Judge",,"IL","106","847","818-2286","Domestic Relation",
"Axelrood","Larry","Judge","5600 Old Orchard Rd
,  ","IL","219","847","470-7200","Municipal","District 2"
"Curcio","Lisa","Judge","50 Washington St
,  ","IL","1503","312","603-4852","Chancery",
"Orr","Marcia","Judge","5600 Old Orchard Rd
,  ","IL","219","847","470-7200","Municipal","District 2"
"Gaughan","Vincent","Judge","2600 California Ave
,  ","IL","500","773","674-3190","Criminal",
"Claps","Joseph","Judge","2600 California Ave
,  ","IL","704","773","674-3170","Criminal",
"Tourtelot","John","Judge","1500 Maybrook Dr
,  ","IL","144","708","865-6060","Municipal","District 4"
"Maki","William","Presiding Judge",,"IL",,"847","818-2287","Municipal","District 3"
"McDonough","Martin","Judge","16501 Kedzie Pkwy
,  ","IL","204Q","708","232-4170","Municipal","District 6"
"Kuriakos Ciesil","Maria","Judge","2600 California Ave
,  ","IL","100","773","674-2881","Municipal","District 1"
"Murray","James","Judge","50 Washington St
,  ","IL","2005","312","603-6343","Law","Tax & Miscellaneous Remedy"
"Turner","Valarie","Judge","16501 Kedzie Pkwy
,  ","IL","101","708","232-4170","Municipal","District 6"
"Sheehan","Kevin","Judge","2600 California Ave
,  ","IL","308","773","674-7434","Criminal",
"Desierto","Israel","Judge","2600 California Ave
,  ","IL","102","773","674-3072","Municipal","District 1"
"Leeming","Pamela","Judge","1500 Maybrook Dr
,  ","IL",,"708","865-6060","Municipal","District 4"
"O'Neill Burke","Eileen","Judge","50 Washington St
,  ","IL","1401","312","603-4371","Municipal","District 1"
"Higgins","Rosemary","Judge","2600 California Ave
,  ","IL","206","773","674-7416","Criminal",
"Perivolidis","Arthur","Judge","50 Washington St
,  ","IL","1809A","312","603-4463","Probate",
"Quinn","Robert","Judge","50 Washington St
,  ","IL","1502","312","603-1980","Chancery","Mortgage Foreclosure/Mechanics` Lien"
"Wolfson","Lori","Judge","1100 Hamilton Ave
,  ","IL","G034S","312","433-4757","Juvenile Justice",
"Brosnahan","Janet","Judge","10220 76th Ave
,  ","IL","205A","708","974-6535","Municipal","District 5"
"Hynes","John","Judge","10220 76th Ave
,  ","IL","110A","708","974-6797","Municipal","District 5"
"Moltz","Martin","Judge","50 Washington St
,  ","IL","1301","312","603-6132","Municipal","District 1"
"Harris","Sheldon","Judge","160 LaSalle St
,  ","IL","N1711","312","793-4483","Appellate",
"Brennan","Daniel","Judge","50 Washington St
,  ","IL","2403","312","603-4181","Chancery",
"Carroll","Thomas","Judge","50 Washington St
,  ","IL","400","312","603-2600","Municipal","District 1"
"Wilson","Thaddeus","Judge","2600 California Ave
,  ","IL","303","773","674-7449","Criminal",
"Katz","Nancy","Judge","50 Washington St
,  ","IL","1902","312","603-5921","Domestic Relation",
"Jordan","Edward","Judge","50 Washington St
,  ","IL","1601","312","603-4845","Domestic Relation",
"Bernstein","Jeanne","Judge","50 Washington St
,  ","IL","3002","312","603-6667","Domestic Relation",
"Murray","Leonard","Judge","50 Washington St
,  ","IL","1406","312","603-4867","Municipal","District 1"
"Tailor","Sanjay","Judge","50 Washington St
,  ","IL","2407","312","603-6037","Law","Individual Commercial Calendar"
"Pierce","Daniel","Supervising Judge","50 Washington St
,  ","IL","2307","312","603-4804","Law","Individual Commercial Calendar"
"Lampkin","Bertina","Judge","160 LaSalle St
,  ","IL","S1505","312","793-5408","Appellate",
"Rogers","Patrick","Judge","50 Washington St
,  ","IL","1111","312","603-4532","Municipal","District 1"
"Flannigan","Ellen","Judge","555 Harrison St
,  ","IL","4400","312","325-9000","Domestic Violence",
"Marisie","Jill","Judge",,"IL","201","847","818-2286","Municipal","District 3"
"Mason","Mary","Judge","50 Washington St
,  ","IL","2510","312","603-6032","Chancery",
"Araujo","Mauricio","Judge","555 Harrison St
,  ","IL","4400","312","325-9000","Domestic Violence",
"Panici","Luciano","Judge","16501 Kedzie Pkwy
,  ","IL","204","708","232-4170","Municipal","District 6"
"Goebel","Steven","Judge","2600 California Ave
,  ","IL","3A15","773","674-3160","Criminal",
"Gubin","Deborah","Judge","50 Washington St
,  ","IL","400","312","603-2600","Municipal","District 1"
"Scully","George","Judge","50 Washington St
,  ","IL","1301","312","603-6132","Municipal","District 1"
"Murphy","Patrick","Judge","10220 76th Ave
,  ","IL","106A","708","974-6838","Domestic Relation","District 5"
"Steffen","Ketki","Judge","555 Harrison St
,  ","IL","4400","312","325-9000","Domestic Violence",
"Delehanty","Maureen","Judge","1100 Hamilton Ave
,  ","IL",,"312","433-4756","Child Protection",
"Kelly","Carol","Judge","1100 Hamilton Ave
,  ","IL","G024N","312","433-4757","Juvenile Justice",
"Wheatley","Arthur","Judge","50 Washington St
,  ","IL","400","312","603-2600","Municipal","District 1"
"Etchingham","James","Judge",,"IL","101","847","818-2286","Municipal","District 3"
"O'Donnell","Ann","Judge","5555 Grand Ave
,  ","IL","BR. 50","773","804-6140","Municipal","District 1"
"Zwick","Susan","Judge","50 Washington St
,  ","IL","2609","312","603-7834","Law","Jury"
"Walsh","Neera","Judge","2600 California Ave
,  ","IL","3A15","773","674-3160","Criminal",
"Ryan","Kristyna","Judge","1500 Maybrook Dr
,  ","IL","288","708","865-6060","Municipal","District 4"
"Greenblatt","Joel","Judge",,"IL","202","847","818-2286","Municipal","District 3"
"Calabrese","Anthony","Judge","727 111th St
,  ","IL",,"773","982-3058","Municipal","District 1"
"Bellows","Carole","Acting Presiding Judge","50 Washington St
,  ","IL","1602","312","603-4823","Domestic Relation",
"Hubbard","Arnette","Judge","50 Washington St
,  ","IL","2001","312","603-5915","Law","Jury"
"Kirby","John","Judge","50 Washington St
,  ","IL","2203","312","603-6062","Law",
"Collins","Ann","Judge","50 Washington St
,  ","IL","2802","312","603-3900","Chancery",
