"fiscal_year","service","department","program","expense_category","recommended_amount","approved_amount","fund","fund_type","description","expense_type"
"2013","General Government","Administration","City Manager","Pension Expenses","0","97045","General Fund","Tax Supported Funds","Retirement - Employer","Personnel Cost"
"2019","General Government","Administration","City Manager","Sal/Spc Comp/OT","0","611658","General Fund","Tax Supported Funds","Regular Salaries","Personnel Cost"
"2017","General Government","Administration","City Manager","Other","0","3250","General Fund","Tax Supported Funds","Retiree Health Savings","Personnel Cost"
"2021","General Government","Administration","City Manager","Workers Comp","0","31350","General Fund","Tax Supported Funds","Workers Compensation","Personnel Cost"
"2016","General Government","Administration","City Manager","Office Supp&Exp","0","3075","General Fund","Tax Supported Funds","Communications","Operating Expense"
"2021","General Government","Finance","Purchasing","Sal/Spc Comp/OT","0","12929.4","General Fund","Tax Supported Funds","Contract Labor","Personnel Cost"
"2017","General Government","Administration","City Manager","Other","0","-40895","General Fund","Tax Supported Funds","Projected Excess Appropriation","Operating Expense"
"2017","General Government","Administration","City Manager","Workers Comp","0","38924","General Fund","Tax Supported Funds","Workers Compensation","Personnel Cost"
"2020","General Government","Administration","City Manager","Sal/Spc Comp/OT","0","52810","General Fund","Tax Supported Funds","Regular Salaries-Bi-Weekly","Personnel Cost"
"2019","General Government","Administration","City Manager","OPEB PreFund","0","68587","General Fund","Tax Supported Funds","Retiree Medical Prefunding","Personnel Cost"
"2020","General Government","Administration","City Manager","OPEB PreFund","0","70645","General Fund","Tax Supported Funds","Retiree Medical Prefunding","Personnel Cost"
"2021","Operating Departments","Transportation","Transportation Operations","Capital","0","15000","Municipal Bus Lines Fund","Non-Tax Supported Funds","IT Equipment - Software","Operating Expense"
"2014","General Government","Administration","City Manager","Health Benefits","0","56485","General Fund","Tax Supported Funds","Health","Personnel Cost"
"2013","General Government","Administration","City Manager","Retiree Medical P","0","116280","General Fund","Tax Supported Funds","Retiree Insurance","Personnel Cost"
"2019","General Government","Administration","City Manager","Sal/Spc Comp/OT","0","9600","General Fund","Tax Supported Funds","Regular Salaries-Other","Personnel Cost"
"2019","General Government","Administration","City Manager","Office Supp&Exp","0","3075","General Fund","Tax Supported Funds","Communications","Operating Expense"
"2017","General Government","Administration","City Manager","Payroll Taxes","0","31196","General Fund","Tax Supported Funds","FICA","Personnel Cost"
"2021","Operating Departments","Public Works","HouseholdHazardous-CalCycleHHW","Contract Services","0","44121.5","Operating Grants Fund","Non-Tax Supported Funds","Other Contractual Services","Operating Expense"
"2019","General Government","Administration","City Manager","Payroll Taxes","0","27093","General Fund","Tax Supported Funds","FICA","Personnel Cost"
"2021","General Government","Non-Departmental","W Wash Landscape Maint Dist #2","Office Supp&Exp","0","4200","Special Assessment & Districts","Non-Tax Supported Funds","Utilities - Water","Operating Expense"
"2020","General Government","Administrative Services","City Clerk","Contract Services","0","8235","General Fund","Tax Supported Funds","Other Contractual Services","Operating Expense"
"2020","General Government","Administrative Services","City Clerk","Contract Services","0","5000","General Fund","Tax Supported Funds","Consulting Services","Operating Expense"
"2019","General Government","Administration","City Manager","Travel/Trng/Dues","0","2850","General Fund","Tax Supported Funds","Special Events & Meetings","Operating Expense"
"2020","General Government","Administrative Services","City Clerk","Sal/Spc Comp/OT","0","24769","General Fund","Tax Supported Funds","Regular Salaries-Bi-Weekly","Personnel Cost"
"2020","Public Safety","Police","Office of the Chief","Sal/Spc Comp/OT","0","88792","General Fund","Tax Supported Funds","Regular Salaries-Bi-Weekly","Personnel Cost"
"2020","Public Safety","Fire","Fire Suppression","Sal/Spc Comp/OT","0","473060","General Fund","Tax Supported Funds","Regular Salaries-Bi-Weekly","Personnel Cost"
"2020","Operating Departments","Public Works","Streets","Sal/Spc Comp/OT","0","100300","General Fund","Tax Supported Funds","Regular Salaries-Bi-Weekly","Personnel Cost"
"2020","General Government","Non-Departmental","Non-Departmental","Other","0","652466","General Fund","Tax Supported Funds","Appropriated Reserve","Operating Expense"
"2020","Operating Departments","Community Development","Building Safety","Sal/Spc Comp/OT","0","58285","General Fund","Tax Supported Funds","Regular Salaries-Bi-Weekly","Personnel Cost"
"2020","Public Safety","Police","Operating Bureaus","Sal/Spc Comp/OT","0","1987395","General Fund","Tax Supported Funds","Regular Salaries-Bi-Weekly","Personnel Cost"
"2020","Public Safety","Fire","Office of the Chief","Sal/Spc Comp/OT","0","208058","General Fund","Tax Supported Funds","Regular Salaries-Bi-Weekly","Personnel Cost"
"2020","Operating Departments","Public Works","Engineering","Sal/Spc Comp/OT","0","47828","General Fund","Tax Supported Funds","Regular Salaries-Bi-Weekly","Personnel Cost"
"2017","General Government","Administration","City Manager","Travel/Trng/Dues","0","2700","General Fund","Tax Supported Funds","Memberships & Dues","Operating Expense"
"2015","General Government","Administration","City Manager","Other","0","4680","General Fund","Tax Supported Funds","Cell Phone Allowance","Personnel Cost"
"2018","General Government","Administration","City Manager","Travel/Trng/Dues","0","1500","General Fund","Tax Supported Funds","Special Events & Meetings","Operating Expense"
"2020","Operating Departments","Public Works","Engineering","Travel/Trng/Dues","0","2000","General Fund","Tax Supported Funds","Training & Education","Operating Expense"
"2020","General Government","Information Technology","Graphic Services","Other O&M","0","91900","General Fund","Tax Supported Funds","Rental of Equipment","Operating Expense"
"2020","Operating Departments","Transportation","Transportation Operations","Repair-Maint","0","15500","Municipal Bus Lines Fund","Non-Tax Supported Funds","R&M - Equipment","Operating Expense"
"2020","Operating Departments","Public Works","Wastewater Maintenance","Office Supp&Exp","0","1000","Sewer Enterprise Fund","Non-Tax Supported Funds","Office Expense","Operating Expense"
"2020","Public Safety","Fire","Emergency Medical Services","Other O&M","0","42170","General Fund","Tax Supported Funds","Ambulance Operator Program Exp","Operating Expense"
"2020","Operating Departments","Public Works","Tree Maintenance","Office Supp&Exp","0","8700","General Fund","Tax Supported Funds","Small Tools & Equipment","Operating Expense"
"2020","Operating Departments","Public Works","Streets","Office Supp&Exp","0","200","General Fund","Tax Supported Funds","Office Expense","Operating Expense"
"2020","General Government","Information Technology","Graphic Services","Repair-Maint","0","21500","General Fund","Tax Supported Funds","R&M - Equipment","Operating Expense"
"2020","Operating Departments","Public Works","Building Maintenance","Contract Services","0","915563.33","General Fund","Tax Supported Funds","Other Contractual Services","Operating Expense"
"2020","Operating Departments","Public Works","Streets","Other O&M","0","8500","General Fund","Tax Supported Funds","Uniforms","Operating Expense"
"2020","Operating Departments","Parks Recreation & Comm Svs","Pool and Aquatics Programs","Capital","0","50750.92","General Fund","Tax Supported Funds","Departmental Special Equipment","Operating Expense"
"2020","Operating Departments","Community Development","Economic Development","Contract Services","0","117220.01","General Fund","Tax Supported Funds","Farmer's Market","Operating Expense"
"2020","Operating Departments","Parks Recreation & Comm Svs","Veteran's Memorial Complex","Contract Services","0","331347.02","General Fund","Tax Supported Funds","Other Contractual Services","Operating Expense"
"2020","Operating Departments","Community Development","Community Development Admin","Contract Services","0","28374.13","General Fund","Tax Supported Funds","Other Contractual Services","Operating Expense"
"2020","General Government","City Attorney","City Attorney","Legal Services","0","1458981.55","General Fund","Tax Supported Funds","Legal Services - Land Use","Operating Expense"
"2020","Operating Departments","Transportation","Transportation Admin","Contract Services","0","3162730.61","Municipal Bus Lines Fund","Non-Tax Supported Funds","Other Contractual Services","Operating Expense"
"2020","Operating Departments","Public Works","Tree Maintenance","Office Supp&Exp","0","26643.3","General Fund","Tax Supported Funds","Departmental Special Supplies","Operating Expense"
"2020","General Government","Finance","Purchasing","Repair-Maint","0","6425","General Fund","Tax Supported Funds","R&M - Equipment","Operating Expense"
"2017","General Government","Administration","City Manager","Public Notices/Ad","0","2040","General Fund","Tax Supported Funds","Advertising and Public Relatio","Operating Expense"
"2021","General Government","Administration","City Manager","Other","0","3250","General Fund","Tax Supported Funds","Retiree Health Savings","Personnel Cost"
"2015","General Government","Administration","City Manager","Contract Services","0","5000","General Fund","Tax Supported Funds","Other Contractual Services","Operating Expense"
"2014","General Government","Administration","City Manager","Workers Comp","0","48519","General Fund","Tax Supported Funds","Workers Compensation","Personnel Cost"
"2020","Operating Departments","Parks Recreation & Comm Svs","PR&CS Administrative Division","Contract Services","0","19620","General Fund","Tax Supported Funds","Other Contractual Services","Operating Expense"
"2020","General Government","Finance","Central Stores","Central Stores","0","1525000","Central Stores Fund","Non-Tax Supported Funds","Central Stores","Operating Expense"
"2020","General Government","Administrative Services","Human Resources","Office Supp&Exp","0","6512.8","General Fund","Tax Supported Funds","Departmental Special Supplies","Operating Expense"
"2020","Operating Departments","Transportation","Transportation Operations","Contract Services","0","564026.25","Municipal Bus Lines Fund","Non-Tax Supported Funds","Other Contractual Services","Operating Expense"
"2020","Public Safety","Fire","Emergency Medical Services","Travel/Trng/Dues","0","14200","General Fund","Tax Supported Funds","Training & Education","Operating Expense"
"2020","Operating Departments","Community Development","Rental Assistance","Contract Services","0","120500","Section 8 Fund","Non-Tax Supported Funds","Housing Services","Operating Expense"
"2020","Operating Departments","Transportation","Equipment Replacement","Cap-Rolling Stock","0","3131442.7","Equipment Replacement Fund","Non-Tax Supported Funds","Auto-Rolling Stock & Equipment","Operating Expense"
"2020","Operating Departments","Community Development","Building Safety","Contract Services","0","1795932.2","General Fund","Tax Supported Funds","Other Contractual Services","Operating Expense"
"2020","Operating Departments","Public Works","Building Maintenance","Repair-Maint","0","146757.46","General Fund","Tax Supported Funds","R&M - Building","Operating Expense"
"2020","General Government","Information Technology","Information Technology","Repair-Maint","0","1454082.69","General Fund","Tax Supported Funds","R&M - Equipment","Operating Expense"
"2020","General Government","Administrative Services","City Clerk","Contract Services","0","117000","General Fund","Tax Supported Funds","Election Services","Operating Expense"
"2020","General Government","Non-Departmental","Non-Departmental","Contract Services","0","89264.08","General Fund","Tax Supported Funds","Other Contractual Services","Operating Expense"
"2020","Operating Departments","Community Development","Admin Supply and Services","Contract Services","0","330684.93","Culver City Housing Authority","Non-Tax Supported Funds","Other Contractual Services","Operating Expense"
"2021","General Government","Administration","City Manager","Other O&M","0","120","General Fund","Tax Supported Funds","Employee Recognition Events","Operating Expense"
"2020","General Government","Finance","Finance Administration","Contract Services","0","402696.72","General Fund","Tax Supported Funds","Other Contractual Services","Operating Expense"
"2020","General Government","Information Technology","Information Technology","Office Supp&Exp","0","23157.52","General Fund","Tax Supported Funds","Departmental Special Supplies","Operating Expense"
"2020","Operating Departments","Transportation","Bus Tire Lease (P)","Capital","0","171995.37","Municipal Bus Lines Fund","Non-Tax Supported Funds","Departmental Special Equipment","Operating Expense"
"2020","Operating Departments","Community Development","Advance Planning","Contract Services","0","3276487.91","General Fund","Tax Supported Funds","Other Contractual Services","Operating Expense"
"2020","Operating Departments","Parks Recreation & Comm Svs","Community Events & Excursions","Office Supp&Exp","0","12911","General Fund","Tax Supported Funds","Departmental Special Supplies","Operating Expense"
"2020","Operating Departments","Community Development","Housing Protections","Contract Services","0","2169649.29","Culver City Housing Authority","Non-Tax Supported Funds","Housing Services","Operating Expense"
"2015","General Government","Administration","City Manager","Office Supp&Exp","0","3628","General Fund","Tax Supported Funds","Office Expense","Operating Expense"
"2021","General Government","Non-Departmental","W Wash Landscape Maint Dist #1","Contract Services","0","46512","Special Assessment & Districts","Non-Tax Supported Funds","Other Contractual Services","Operating Expense"
"2016","General Government","Administration","City Manager","Retiree Medical P","0","100000","General Fund","Tax Supported Funds","Retiree Insurance","Personnel Cost"
"2017","General Government","Administration","City Manager","Office Supp&Exp","0","542","General Fund","Tax Supported Funds","Departmental Special Supplies","Operating Expense"
"2021","General Government","Administration","City Manager","Other","0","20700","General Fund","Tax Supported Funds","Auto Allowance","Personnel Cost"
"2019","General Government","Administration","City Manager","Liability Reserve","0","23686.5","General Fund","Tax Supported Funds","Liability Reserve Charge","Operating Expense"
"2020","General Government","Administration","City Manager","Travel/Trng/Dues","0","1000","General Fund","Tax Supported Funds","Training & Education","Operating Expense"
"2016","General Government","Administration","City Manager","Payroll Taxes","0","30944","General Fund","Tax Supported Funds","FICA","Personnel Cost"
"2018","General Government","Administration","City Manager","Other","0","1500","General Fund","Tax Supported Funds","Mgt Health Ben","Personnel Cost"
"2017","General Government","Administration","City Manager","OPEB PreFund","0","64040","General Fund","Tax Supported Funds","Retiree Medical Prefunding","Personnel Cost"
"2017","General Government","Administration","City Manager","Payroll Taxes","0","214","General Fund","Tax Supported Funds","State Disability Insurance","Personnel Cost"
"2021","General Government","Administration","City Manager","Office Supp&Exp","0","3600","General Fund","Tax Supported Funds","Office Expense","Operating Expense"
"2013","General Government","Administration","City Manager","Travel/Trng/Dues","0","2570","General Fund","Tax Supported Funds","Memberships & Dues","Operating Expense"
"2014","General Government","Administration","City Manager","Other","0","16200","General Fund","Tax Supported Funds","Auto Allowance","Personnel Cost"
"2020","General Government","Administration","City Manager","Other","0","2600","General Fund","Tax Supported Funds","Retiree Health Savings","Personnel Cost"
"2018","General Government","Administration","City Manager","OPEB PreFund","0","67242","General Fund","Tax Supported Funds","Retiree Medical Prefunding","Personnel Cost"
"2013","General Government","Administration","City Manager","Office Supp&Exp","0","3500","General Fund","Tax Supported Funds","Office Expense","Operating Expense"
"2018","General Government","Administration","City Manager","Sal/Spc Comp/OT","0","20800","General Fund","Tax Supported Funds","Regular Salaries-Bi-Weekly","Personnel Cost"
"2017","General Government","Administration","City Manager","Other O&M","0","150","General Fund","Tax Supported Funds","Employee Recognition Events","Operating Expense"
"2017","General Government","Administration","City Manager","Sal/Spc Comp/OT","0","665326","General Fund","Tax Supported Funds","Regular Salaries","Personnel Cost"
"2019","General Government","Administration","City Manager","Other O&M","0","120","General Fund","Tax Supported Funds","Employee Recognition Events","Operating Expense"
"2018","General Government","Administration","City Manager","Other","0","35520","General Fund","Tax Supported Funds","Deferred Compensation","Personnel Cost"
"2020","General Government","Administration","City Manager","Travel/Trng/Dues","0","2828","General Fund","Tax Supported Funds","Subscriptions","Operating Expense"
"2020","General Government","Administration","City Manager","Payroll Taxes","0","9769","General Fund","Tax Supported Funds","Medicare","Personnel Cost"
"2016","General Government","Administration","City Manager","Pension Expenses","0","157334","General Fund","Tax Supported Funds","Retirement - Employer","Personnel Cost"
"2018","General Government","Administration","City Manager","Travel/Trng/Dues","0","2700","General Fund","Tax Supported Funds","Memberships & Dues","Operating Expense"
"2021","Operating Departments","Community Development","Economic Development","Public Notices/Ad","0","1031.26","General Fund","Tax Supported Funds","Public Notices","Operating Expense"
"2021","General Government","Administration","City Manager","Office Supp&Exp","0","2120","General Fund","Tax Supported Funds","Communications","Operating Expense"
"2018","General Government","Administration","City Manager","Office Supp&Exp","0","200","General Fund","Tax Supported Funds","Departmental Special Supplies","Operating Expense"
"2014","General Government","Administration","City Manager","Other","0","2600","General Fund","Tax Supported Funds","Retiree Health Savings","Personnel Cost"
"2013","General Government","Administration","City Manager","Other","0","4680","General Fund","Tax Supported Funds","Cell Phone Allowance","Personnel Cost"
"2016","General Government","Administration","City Manager","Travel/Trng/Dues","0","6000","General Fund","Tax Supported Funds","Conferences & Conventions","Operating Expense"
"2017","General Government","Administration","City Manager","Other","0","4680","General Fund","Tax Supported Funds","Cell Phone Allowance","Personnel Cost"
"2019","General Government","Administration","City Manager","Other","0","4680","General Fund","Tax Supported Funds","Cell Phone Allowance","Personnel Cost"
"2016","General Government","Administration","City Manager","Travel/Trng/Dues","0","1500","General Fund","Tax Supported Funds","Special Events & Meetings","Operating Expense"
"2015","General Government","Administration","City Manager","Office Supp&Exp","0","3570","General Fund","Tax Supported Funds","Communications","Operating Expense"
"2016","General Government","Administration","City Manager","Office Supp&Exp","0","200","General Fund","Tax Supported Funds","Departmental Special Supplies","Operating Expense"
"2021","General Government","Administration","City Manager","Other","0","14040","General Fund","Tax Supported Funds","Deferred Compensation","Personnel Cost"
"2014","General Government","Administration","City Manager","Retiree Medical P","0","94118","General Fund","Tax Supported Funds","Retiree Insurance","Personnel Cost"
"2020","General Government","Administration","City Manager","Office Supp&Exp","0","4000","General Fund","Tax Supported Funds","Office Expense","Operating Expense"
"2018","General Government","Administration","City Manager","Contract Services","0","131494","General Fund","Tax Supported Funds","Other Contractual Services","Operating Expense"
"2016","General Government","Administration","City Manager","Other O&M","0","150","General Fund","Tax Supported Funds","Employee Recognition Events","Operating Expense"
"2021","Operating Departments","Transportation","Transportation Operations","Office Supp&Exp","0","3435","Municipal Bus Lines Fund","Non-Tax Supported Funds","Utilities - Electrical","Operating Expense"
"2022","General Government","Non-Departmental","Non-Departmental","Equip Maint Chgs","0","86450","General Fund","Tax Supported Funds","Equip Maint Expenses","Operating Expense"
"2015","General Government","Administration","City Manager","Travel/Trng/Dues","0","2700","General Fund","Tax Supported Funds","Memberships & Dues","Operating Expense"
"2015","General Government","Administration","City Manager","Office Supp&Exp","0","200","General Fund","Tax Supported Funds","Departmental Special Supplies","Operating Expense"
"2020","Operating Departments","Parks Recreation & Comm Svs","Rec and Enrichment Programs","Contract Services","0","679820","General Fund","Tax Supported Funds","Other Contractual Services","Operating Expense"
"2014","General Government","Administration","City Manager","Office Supp&Exp","0","3500","General Fund","Tax Supported Funds","Office Expense","Operating Expense"
"2020","General Government","Administration","City Manager","Pension Expenses","0","66217","General Fund","Tax Supported Funds","Retirement - Employer","Personnel Cost"
"2017","General Government","Administration","City Manager","Liability Reserve","0","5865","General Fund","Tax Supported Funds","Liability Reserve Charge","Operating Expense"
"2021","General Government","Administration","City Manager","Liability Reserve","0","10084","General Fund","Tax Supported Funds","Liability Reserve Charge","Operating Expense"
"2014","General Government","Administration","City Manager","Travel/Trng/Dues","0","2570","General Fund","Tax Supported Funds","Memberships & Dues","Operating Expense"
"2020","General Government","Administration","City Manager","Sal/Spc Comp/OT","0","5400","General Fund","Tax Supported Funds","Longevity Pay","Personnel Cost"
"2021","Operating Departments","Public Works","Refuse Collection - Admin","Contract Services","0","1369","Refuse Disposal Fund","Non-Tax Supported Funds","Medical Services","Operating Expense"
"2014","General Government","Administration","City Manager","Payroll Taxes","0","37561","General Fund","Tax Supported Funds","FICA","Personnel Cost"
"2021","General Government","Administration","City Manager","Pension Expenses","0","143177","General Fund","Tax Supported Funds","Retirement-Unfunded Liability","Personnel Cost"
"2015","General Government","Administration","City Manager","Travel/Trng/Dues","0","15756","General Fund","Tax Supported Funds","Subscriptions","Operating Expense"
"2021","General Government","Finance","Purchasing","Capital","0","1375","General Fund","Tax Supported Funds","Furniture & Furnishings","Operating Expense"
"2015","General Government","Administration","City Manager","Workers Comp","0","32375","General Fund","Tax Supported Funds","Workers Compensation","Personnel Cost"
"2016","General Government","Administration","City Manager","Sal/Spc Comp/OT","0","19000","General Fund","Tax Supported Funds","Regular Salaries-Bi-Weekly","Personnel Cost"
"2021","General Government","Administration","City Manager","Sal/Spc Comp/OT","0","9600","General Fund","Tax Supported Funds","Regular Salaries-Other","Personnel Cost"
"2017","General Government","Administration","City Manager","Retiree Medical P","0","100000","General Fund","Tax Supported Funds","Retiree Insurance","Personnel Cost"
"2021","General Government","Administration","City Manager","Public Notices/Ad","0","5965.63","General Fund","Tax Supported Funds","Advertising and Public Relatio","Operating Expense"
"2021","General Government","Finance","Treasury","Sal/Spc Comp/OT","0","488288","General Fund","Tax Supported Funds","Regular Salaries","Personnel Cost"
"2018","General Government","Administration","City Manager","Other O&M","0","120","General Fund","Tax Supported Funds","Employee Recognition Events","Operating Expense"
"2020","General Government","Administration","City Manager","Retiree Medical P","0","113790","General Fund","Tax Supported Funds","Retiree Insurance","Personnel Cost"
"2021","General Government","Administrative Services","Human Resources","Contract Services","0","40000","General Fund","Tax Supported Funds","Consulting Services","Operating Expense"
"2020","General Government","Administration","City Manager","Other","0","4680","General Fund","Tax Supported Funds","Cell Phone Allowance","Personnel Cost"
"2014","General Government","Administration","City Manager","Other","0","4680","General Fund","Tax Supported Funds","Cell Phone Allowance","Personnel Cost"
"2016","General Government","Administration","City Manager","Health Benefits","0","75900","General Fund","Tax Supported Funds","Health","Personnel Cost"
"2015","General Government","Administration","City Manager","Health Benefits","0","67505","General Fund","Tax Supported Funds","Health","Personnel Cost"
"2016","General Government","Administration","City Manager","Travel/Trng/Dues","0","2700","General Fund","Tax Supported Funds","Memberships & Dues","Operating Expense"
"2021","General Government","Administration","City Manager","Contract Services","0","206336","General Fund","Tax Supported Funds","Other Contractual Services","Operating Expense"
"2015","General Government","Administration","City Manager","Other","0","16200","General Fund","Tax Supported Funds","Auto Allowance","Personnel Cost"
"2014","General Government","Administration","City Manager","Payroll Taxes","0","8784","General Fund","Tax Supported Funds","Medicare","Personnel Cost"
"2021","General Government","Administration","City Manager","Payroll Taxes","0","11687","General Fund","Tax Supported Funds","Medicare","Personnel Cost"
"2019","General Government","Administration","City Manager","Office Supp&Exp","0","500","General Fund","Tax Supported Funds","Departmental Special Supplies","Operating Expense"
"2018","General Government","Administration","City Manager","Sal/Spc Comp/OT","0","1200","General Fund","Tax Supported Funds","Longevity Pay","Personnel Cost"
"2016","General Government","Administration","City Manager","Sal/Spc Comp/OT","0","1200","General Fund","Tax Supported Funds","Longevity Pay","Personnel Cost"
"2018","General Government","Administration","City Manager","Travel/Trng/Dues","0","6830","General Fund","Tax Supported Funds","Conferences & Conventions","Operating Expense"
"2016","General Government","Administration","City Manager","Sal/Spc Comp/OT","0","3000","General Fund","Tax Supported Funds","Regular Salaries-Other","Personnel Cost"
"2020","General Government","Administration","City Manager","Payroll Taxes","0","31681","General Fund","Tax Supported Funds","FICA","Personnel Cost"
"2015","General Government","Administration","City Manager","Liability Reserve","0","14704","General Fund","Tax Supported Funds","Liability Reserve Charge","Operating Expense"
"2019","General Government","Administration","City Manager","Travel/Trng/Dues","0","6830","General Fund","Tax Supported Funds","Conferences & Conventions","Operating Expense"
"2016","General Government","Administration","City Manager","OPEB PreFund","0","64040","General Fund","Tax Supported Funds","Retiree Medical Prefunding","Personnel Cost"
"2016","General Government","Administration","City Manager","Payroll Taxes","0","210","General Fund","Tax Supported Funds","State Disability Insurance","Personnel Cost"
"2020","General Government","Administration","City Manager","Other","0","14040","General Fund","Tax Supported Funds","Deferred Compensation","Personnel Cost"
"2013","General Government","Administration","City Manager","Travel/Trng/Dues","0","5468","General Fund","Tax Supported Funds","Conferences & Conventions","Operating Expense"
"2013","General Government","Administration","City Manager","Travel/Trng/Dues","0","1000","General Fund","Tax Supported Funds","Special Events & Meetings","Operating Expense"
"2021","General Government","Administration","City Manager","Payroll Taxes","0","251","General Fund","Tax Supported Funds","State Disability Insurance","Personnel Cost"
"2017","General Government","Administration","City Manager","Sal/Spc Comp/OT","0","19000","General Fund","Tax Supported Funds","Regular Salaries-Bi-Weekly","Personnel Cost"
"2019","General Government","Administration","City Manager","Other","0","14040","General Fund","Tax Supported Funds","Deferred Compensation","Personnel Cost"
"2017","General Government","Administration","City Manager","Contract Services","0","164939","General Fund","Tax Supported Funds","Other Contractual Services","Operating Expense"
"2020","General Government","Administration","City Manager","Sal/Spc Comp/OT","0","9600","General Fund","Tax Supported Funds","Regular Salaries-Other","Personnel Cost"
"2019","General Government","Administration","City Manager","Workers Comp","0","17708.5","General Fund","Tax Supported Funds","Workers Compensation","Personnel Cost"
"2020","General Government","Administration","City Manager","Contract Services","0","183065","General Fund","Tax Supported Funds","Other Contractual Services","Operating Expense"
"2014","General Government","Administration","City Manager","Office Supp&Exp","0","3570","General Fund","Tax Supported Funds","Communications","Operating Expense"
"2021","General Government","Administration","City Manager","Other","0","1500","General Fund","Tax Supported Funds","Mgt Health Ben","Personnel Cost"
"2013","General Government","Administration","City Manager","Travel/Trng/Dues","0","1000","General Fund","Tax Supported Funds","Training & Education","Operating Expense"
"2021","General Government","Administration","City Manager","Travel/Trng/Dues","0","2800","General Fund","Tax Supported Funds","Memberships & Dues","Operating Expense"
"2019","General Government","Administration","City Manager","Retiree Medical P","0","104510","General Fund","Tax Supported Funds","Retiree Insurance","Personnel Cost"
"2013","General Government","Administration","City Manager","Sal/Spc Comp/OT","0","629692","General Fund","Tax Supported Funds","Regular Salaries","Personnel Cost"
"2017","General Government","Administration","City Manager","Pension Expenses","0","147152","General Fund","Tax Supported Funds","Retirement - Employer","Personnel Cost"
"2020","General Government","Administration","City Manager","Office Supp&Exp","0","2120","General Fund","Tax Supported Funds","Communications","Operating Expense"
"2016","General Government","Administration","City Manager","Liability Reserve","0","14898","General Fund","Tax Supported Funds","Liability Reserve Charge","Operating Expense"
"2019","General Government","Administration","City Manager","Other","0","1500","General Fund","Tax Supported Funds","Mgt Health Ben","Personnel Cost"
"2019","General Government","Administration","City Manager","Contract Services","0","246490","General Fund","Tax Supported Funds","Other Contractual Services","Operating Expense"
"2021","General Government","Administration","City Manager","Travel/Trng/Dues","0","2428","General Fund","Tax Supported Funds","Subscriptions","Operating Expense"
"2013","General Government","Administration","City Manager","Contract Services","0","7000","General Fund","Tax Supported Funds","Other Contractual Services","Operating Expense"
"2021","Projects","Projects","Projects","Capital","0","627875.34","Municipal Bus Lines Fund","Non-Tax Supported Funds","Improvements other than Bldg","Operating Expense"
"2016","General Government","Administration","City Manager","Office Supp&Exp","0","3500","General Fund","Tax Supported Funds","Office Expense","Operating Expense"
"2021","General Government","Administration","City Manager","Retiree Medical P","0","92209","General Fund","Tax Supported Funds","Retiree Insurance","Personnel Cost"
"2020","General Government","Administration","City Manager","Health Benefits","0","73734","General Fund","Tax Supported Funds","Health","Personnel Cost"
"2021","General Government","Administration","City Manager","Sal/Spc Comp/OT","0","812638","General Fund","Tax Supported Funds","Regular Salaries","Personnel Cost"
"2015","General Government","Administration","City Manager","OPEB PreFund","0","58720","General Fund","Tax Supported Funds","Retiree Medical Prefunding","Personnel Cost"
"2021","General Government","Administration","City Manager","Health Benefits","0","86182","General Fund","Tax Supported Funds","Health","Personnel Cost"
"2018","General Government","Administration","City Manager","Office Supp&Exp","0","3075","General Fund","Tax Supported Funds","Communications","Operating Expense"
"2021","Operating Departments","Public Works","Building Maintenance","Contract Services","0","100","General Fund","Tax Supported Funds","Medical Services","Operating Expense"
"2021","General Government","Administration","City Manager","Office Supp&Exp","0","450","General Fund","Tax Supported Funds","Departmental Special Supplies","Operating Expense"
"2020","General Government","Administration","City Manager","Payroll Taxes","0","259","General Fund","Tax Supported Funds","State Disability Insurance","Personnel Cost"
"2019","General Government","Administration","City Manager","Other","0","16200","General Fund","Tax Supported Funds","Auto Allowance","Personnel Cost"
"2015","General Government","Administration","City Manager","Payroll Taxes","0","31350","General Fund","Tax Supported Funds","FICA","Personnel Cost"
"2017","General Government","Administration","City Manager","Other","0","17680","General Fund","Tax Supported Funds","Deferred Compensation","Personnel Cost"
"2021","General Government","Non-Departmental","W Wash Landscape Maint Dist #2","Contract Services","0","22030","Special Assessment & Districts","Non-Tax Supported Funds","Other Contractual Services","Operating Expense"
"2013","General Government","Administration","City Manager","Other","0","2600","General Fund","Tax Supported Funds","Retiree Health Savings","Personnel Cost"
"2015","General Government","Administration","City Manager","Retiree Medical P","0","104214","General Fund","Tax Supported Funds","Retiree Insurance","Personnel Cost"
"2020","General Government","Administration","City Manager","Other O&M","0","120","General Fund","Tax Supported Funds","Employee Recognition Events","Operating Expense"
"2019","General Government","Administration","City Manager","Health Benefits","0","71972","General Fund","Tax Supported Funds","Health","Personnel Cost"
"2018","General Government","Administration","City Manager","Sal/Spc Comp/OT","0","575364","General Fund","Tax Supported Funds","Regular Salaries","Personnel Cost"
"2021","Operating Departments","Parks Recreation & Comm Svs","Pool and Aquatics Programs","Capital","0","2385.75","General Fund","Tax Supported Funds","Departmental Special Equipment","Operating Expense"
"2016","General Government","Administration","City Manager","Travel/Trng/Dues","0","20720","General Fund","Tax Supported Funds","Subscriptions","Operating Expense"
"2014","General Government","Administration","City Manager","Travel/Trng/Dues","0","1000","General Fund","Tax Supported Funds","Special Events & Meetings","Operating Expense"
