"fiscal_year","department","program","expense_category","expense_type","adopted_budget_amount","revised_budget_amount","encumbrances_amount","actuals_amount","total_obligations_amount","fund_code","org_code","department_code"
"2020","Police","Operating Bureaus","Retiree Medical P","Personnel Cost","1679470","1679470","0","1687285.5","1687285.5","101","10140200","40"
"2021","Community Development","Non-Departmental","Transfers","Transfers","0","817225","0","817225","817225","476","47616100","50"
"2019","Parks Recreation & Comm Svs","CC Nature Park Trail","Repair-Maint","Operations/Maintenance","0","140080.82","0","140080.82","140080.82","414","41430907","30"
"2023","Community Development","Admin Supply and Services","Other O&M","Operations/Maintenance","0","20000","0","0","0","476","47650710","50"
"2022","Non-Departmental","W Wash Landscape Maint Dist #2","Office Supp&Exp","Operations/Maintenance","5500","5500","711.82","4788.18","5500","425","42516520","16"
"2019","Fire","Emergency Medical Services","Retiree Medical P","Personnel Cost","62300","62300","0","53256.03","53256.03","101","10145300","45"
"2019","Parks Recreation & Comm Svs","Culver City After School Progr","Sal/Spc Comp/OT","Personnel Cost","225909","245909","0","233886.65","233886.65","101","10130233","30"
"2021","Non-Departmental","Non-Departmental","Transfers","Transfers","686120","1382655","0","619000","619000","101","10116100","16"
"2019","Administration","Art Fund","Sal/Spc Comp/OT","Personnel Cost","0","0","0","280","280","413","41310400","10"
"2021","Administrative Services","City Clerk","Capital","Capital/Other","0","1500","0","750","750","101","10122300","22"
"2020","Administrative Services","Art Fund","Other O&M","Operations/Maintenance","6000","11265","0","6752.85","6752.85","413","41322400","22"
"2019","Parks Recreation & Comm Svs","Veteran's Memorial Complex","Public Notices/Ad","Operations/Maintenance","2000","0","0","0","0","101","10130110","30"
"2021","Community Development","Mortgage Assistance Program","Contract Services","Operations/Maintenance","0","1250","0","0","0","476","47650730","50"
"2019","Parks Recreation & Comm Svs","Camp Programs","Other O&M","Operations/Maintenance","2466","0","0","0","0","101","10130212","30"
"2020","Finance","General Accounting","Contract Services","Operations/Maintenance","3000","13000","0","10518.71","10518.71","101","10114200","14"
"2019","Community Development","Neighborhood Preservation","Office Supp&Exp","Operations/Maintenance","1175","1175","0","949.14","949.14","101","10150500","50"
"2019","Parks Recreation & Comm Svs","Youth Center","Other O&M","Operations/Maintenance","787","0","0","0","0","101","10130260","30"
"2019","Fire","Fire Suppression","Retiree Medical P","Personnel Cost","832040","832040","0","747197.06","747197.06","101","10145200","45"
"2019","City Attorney","City Attorney - Risk Mgt","Claims/Settlemnts","Operations/Maintenance","750000","750000","0","2682838.61","2682838.61","309","30913400","13"
"2020","Public Works","Food Rescue Grant","Public Notices/Ad","Operations/Maintenance","0","52000","0","0","0","202","20260470","60"
"2021","City Attorney","City Attorney - Risk Mgt","Claims/Settlemnts","Operations/Maintenance","1000000","1000000","0","1570129.83","1570129.83","309","30913400","13"
"2023","Finance","Purchasing","Workers Comp","Personnel Cost","0","0","0","-887.17","-887.17","203","20314500","14"
"2019","Fire","Fire Suppression","Sal/Spc Comp/OT","Personnel Cost","7122319","7205211","0","7815927.3","7815927.3","101","10145200","45"
"2015","Parks Recreation & Comm Svs","Parks and Playgrounds Programs","Repair-Maint","Operations/Maintenance","350","350","0","0","0","101","10130211","30"
"2023","Public Works","Graffiti Abatement","Office Supp&Exp","Operations/Maintenance","0","0","1450","0","1450","101","10160250","60"
"2019","Administration","City Council","Retiree Medical P","Personnel Cost","60420","60420","0","49883.36","49883.36","101","10110000","10"
"2021","Parks Recreation & Comm Svs","Senior Nutrition - CII & 3B","Payroll Taxes","Personnel Cost","1118","1118","0","0","0","414","41430415","30"
"2022","Police","Operating Bureaus","Contract Services","Operations/Maintenance","4138519","4230837.02","20936.12","4019322.02","4040258.14","101","10140200","40"
"2023","Community Development","Economic Development","Other","Personnel Cost","0","0","0","4862","4862","101","10150120","50"
"2023","Administration","City Manager","Contract Services","Operations/Maintenance","0","0","136994.5","12790","149784.5","101","10110100","10"
"2022","Non-Departmental","W Wash Landscape Maint Dist #3","Contract Services","Operations/Maintenance","6200","6715.63","1031.26","3945.12","4976.38","425","42516530","16"
"2023","Information Technology","IT Public Safety","Other","Personnel Cost","0","0","0","443.08","443.08","101","10124300","24"
"2022","Information Technology","Information Technology","Capital","Capital/Other","200000","258924.01","4108.46","244674.02","248782.48","307","30724100","24"
"2012","Comm Improve Programs","Historic Structures Rehab","Contract Services","Operations/Maintenance","5000","5000","0","0","0","481","48155450","55"
"2019","Police","Office of the Chief","Retiree Medical P","Personnel Cost","62010","62010","0","50567.28","50567.28","101","10140100","40"
"2019","Public Works","Electrical Maintenance","Capital","Capital/Other","70000","72400","0","20006.45","20006.45","101","10160240","60"
"2019","Parks Recreation & Comm Svs","Culver City After School Progr","Payroll Taxes","Personnel Cost","17288","17288","0","3391.25","3391.25","101","10130233","30"
"2021","Projects","Projects","Contract Services","Operations/Maintenance","208954.78","208954.78","0","0","0","418","41880000","CP"
"2022","Non-Departmental","Non-Departmental","Travel/Trng/Dues","Operations/Maintenance","85552","85552","49.95","65762.84","65812.79","101","10116100","16"
"2019","Finance","General Accounting","Retiree Medical P","Personnel Cost","52870","52870","0","50290.32","50290.32","101","10114200","14"
"2021","Public Works","Streets","Office Supp&Exp","Operations/Maintenance","335610","346155.44","0","342561.37","342561.37","101","10160210","60"
"2023","Public Works","Tree Maintenance","Workers Comp","Personnel Cost","0","0","0","-1334","-1334","101","10160220","60"
"2020","Public Works","Mobility & Traffic Engineering","Office Supp&Exp","Operations/Maintenance","4000","34000","0","2638.31","2638.31","101","10160170","60"
"2020","Fire","Fire Suppression","Travel/Trng/Dues","Operations/Maintenance","25810","25810","0","21151.51","21151.51","101","10145200","45"
"2022","Community Development","Rental Assistance","Capital","Capital/Other","0","11207.53","0","11207.53","11207.53","426","42650510","50"
"2023","Community Development","Admin Supply and Services","Office Supp&Exp","Operations/Maintenance","0","5000","0","0","0","476","47650710","50"
"2023","Fire","Emergency Medical Services","Office Supp&Exp","Operations/Maintenance","0","-103648.55","4260.86","2809.79","7070.65","101","10145300","45"
"2020","Parks Recreation & Comm Svs","Culver City After School Progr","Contract Services","Operations/Maintenance","1750","2412","0","1270","1270","101","10130233","30"
"2019","Fire","Communications","Retiree Medical P","Personnel Cost","7610","7610","0","3867.38","3867.38","101","10145700","45"
"2020","Information Technology","Information Technology","Capital","Capital/Other","7000","109756","0","3559","3559","412","41224100","24"
"2021","Fire","Emergency Management Performan","Travel/Trng/Dues","Operations/Maintenance","0","2647.54","0","0","0","414","41445904","45"
"2020","Community Development","Neighborhood Preservation","Other O&M","Operations/Maintenance","0","60000","0","0","0","476","47650760","50"
"2021","Parks Recreation & Comm Svs","Youth Center","Other O&M","Operations/Maintenance","800","800","0","0","0","101","10130260","30"
"2023","Fire","Fire Suppression","Office Supp&Exp","Operations/Maintenance","0","-4480","16085.04","7612.83","23697.87","101","10145200","45"
"2021","Fire","Office of the Chief","Contract Services","Operations/Maintenance","10000","10000","0","10000","10000","101","10145100","45"
"2021","Transportation","Para Transit Services","Travel/Trng/Dues","Operations/Maintenance","1000","1000","0","0","0","411","41170420","70"
"2019","Public Works","Hyperion Plant Debt Service","Contract Services","Operations/Maintenance","0","0","0","1500","1500","204","20460310","60"
"2021","Non-Departmental","Non-Departmental","Ins Premiums","Operations/Maintenance","626443","626443","0","0","0","101","10116100","16"
"2019","Parks Recreation & Comm Svs","Culver City After School Progr","Other O&M","Operations/Maintenance","1188","0","0","0","0","101","10130233","30"
"2022","Transportation","AQMD-Rideshare","Other O&M","Operations/Maintenance","35000","35000","0","0","0","410","41070600","70"
"2022","Public Works","Building Maintenance","Office Supp&Exp","Operations/Maintenance","170045","168545","53.49","216051.5","216104.99","101","10160230","60"
"2022","Public Works","Graffiti Abatement","Health Benefits","Personnel Cost","32685","32685","0","15601.9","15601.9","101","10160250","60"
"2023","Public Works","Mobility & Traffic Engineering","Workers Comp","Personnel Cost","0","0","0","-5036.58","-5036.58","101","10160170","60"
"2019","Public Works","Engineering","Repair-Maint","Operations/Maintenance","0","0","0","673.56","673.56","101","10160150","60"
"2023","City Clerk","City Clerk","Contract Services","Operations/Maintenance","0","37000","2252.52","0","2252.52","101","10111100","11"
"2020","Community Development","Rental Assistance","Contract Services","Operations/Maintenance","217500","220993.96","0","93959.22","93959.22","426","42650510","50"
"2023","Public Works","Building Maintenance","Office Supp&Exp","Operations/Maintenance","0","0","6288.83","11143.3","17432.13","101","10160230","60"
"2019","Parks Recreation & Comm Svs","Recreation Division","Office Supp&Exp","Operations/Maintenance","7264","7264","0","5459.17","5459.17","101","10130200","30"
"2023","Community Development","Economic Development","Office Supp&Exp","Operations/Maintenance","0","0","9589.01","410.99","10000","101","10150120","50"
"2022","Projects","Projects","Office Supp&Exp","Operations/Maintenance","0","50000","0","0","0","475","47580000","CP"
"2020","Transportation","Para Transit Services","Sal/Spc Comp/OT","Personnel Cost","109515","109515","0","127125.2","127125.2","411","41170420","70"
"2022","Fire","Community Risk Reduction","Capital","Capital/Other","0","900","0","900","900","101","10145600","45"
"2023","Parks Recreation & Comm Svs","Senior and Social Services","Office Supp&Exp","Operations/Maintenance","0","11200","3595.2","6076.48","9671.68","101","10130400","30"
"2022","Projects","Projects","Capital","Capital/Other","3208500","15534052.56","78324.26","2343452.17","2421776.43","434","43480000","CP"
"2023","Public Works","Building Maintenance","Repair-Maint","Operations/Maintenance","0","0","13234.69","2911.59","16146.28","101","10160230","60"
"2022","Public Works","Electrical Maintenance","Other O&M","Operations/Maintenance","5000","5000","253.01","3888.33","4141.34","101","10160240","60"
"2019","Public Works","Maintenance Operations","Retiree Medical P","Personnel Cost","42370","42370","0","41531.14","41531.14","101","10160200","60"
"2020","City Attorney","City Attorney","Office Supp&Exp","Operations/Maintenance","20238","20238","0","19665.69","19665.69","101","10113100","13"
"2020","Finance","Purchasing","Capital","Capital/Other","0","0","0","0","0","101","10114500","14"
"2021","Community Development","Housing Protections","Repair-Maint","Operations/Maintenance","0","250000","0","0","0","476","47650890","50"
"2019","Administration","Art Fund","Pension Expenses","Personnel Cost","0","0","0","9.8","9.8","413","41310400","10"
"2020","Parks Recreation & Comm Svs","Recreation Division","Contract Services","Operations/Maintenance","0","3200","0","950","950","101","10130200","30"
"2021","Transportation","Transportation Operations","Sal/Spc Comp/OT","Personnel Cost","9688887","9688887","0","7987184.28","7987184.28","203","20370200","70"
"2021","Fire","Emergency Management Performan","Sal/Spc Comp/OT","Personnel Cost","0","8166.75","0","8166.75","8166.75","414","41445904","45"
"2023","Police","Operating Bureaus","Travel/Trng/Dues","Operations/Maintenance","0","0","68696.41","21844.43","90540.84","101","10140200","40"
"2023","Public Works","Wastewater Maintenance","Travel/Trng/Dues","Operations/Maintenance","0","0","0","315","315","204","20460300","60"
"2021","Non-Departmental","Higuera St Lndscp/Lghtng Dist","Sal/Spc Comp/OT","Personnel Cost","5746","5746","0","0","0","425","42516545","16"
"2015","Public Works","Used Oil Block Grant","Office Supp&Exp","Operations/Maintenance","0","0","0","0","0","414","41460904","60"
"2021","Community Development","Rental Assistance Payments","Contract Services","Operations/Maintenance","0","50000","0","0","0","476","47650720","50"
"2021","Parks Recreation & Comm Svs","Youth Mentoring Program","Payroll Taxes","Personnel Cost","1345","1345","0","2.5","2.5","101","10130270","30"
"2021","Parks Recreation & Comm Svs","Senior and Social Services","Sal/Spc Comp/OT","Personnel Cost","655774","645774","0","605330.39","605330.39","101","10130400","30"
"2020","Parks Recreation & Comm Svs","Camp Programs","Office Supp&Exp","Operations/Maintenance","34785","35696.52","0","10600.67","10600.67","101","10130212","30"
"2020","Police","Operating Bureaus","Cap-Rolling Stock","Capital/Other","610000","610000","0","413834.91","413834.91","101","10140200","40"
"2022","Projects","Projects","Capital","Capital/Other","322915.12","497915.12","0","47454.49","47454.49","428","42880000","CP"
"2021","Community Development","Neighborhood Preservation","Other O&M","Operations/Maintenance","0","60000","0","0","0","476","47650760","50"
"2013","Community Development","Rental Assistance","Public Notices/Ad","Operations/Maintenance","288","288","0","0","0","426","42650510","50"
"2021","Community Development","Homeless Rental Assistance Pro","Other O&M","Operations/Maintenance","0","30000","0","0","0","476","47650725","50"
"2020","Parks Recreation & Comm Svs","Pool and Aquatics Programs","Other O&M","Operations/Maintenance","4300","4300","0","1288.68","1288.68","101","10130220","30"
"2019","Public Works","Streets","Retiree Medical P","Personnel Cost","133290","133290","0","114857.25","114857.25","101","10160210","60"
"2019","Community Development","Current Planning","Retiree Medical P","Personnel Cost","101090","101090","0","97307.07","97307.07","101","10150200","50"
"2023","Transportation","Transportation Operations","Workers Comp","Personnel Cost","0","0","0","-68661.75","-68661.75","203","20370200","70"
"2020","Community Development","Building Safety","Contract Services","Operations/Maintenance","604632","1795932.2","0","1556027.24","1556027.24","101","10150150","50"
"2022","Non-Departmental","Non-Departmental","Other O&M","Operations/Maintenance","412550","495129.12","49705.59","674531.4","724236.99","101","10116100","16"
"2019","Parks Recreation & Comm Svs","Parks Division","Retiree Medical P","Personnel Cost","61510","61510","0","56030.2","56030.2","101","10130300","30"
"2020","Parks Recreation & Comm Svs","Senior and Social Services","Contract Services","Operations/Maintenance","93884","108349.86","0","79848.99","79848.99","101","10130400","30"
"2019","Community Development","Neighborhood Preservation","Other O&M","Operations/Maintenance","0","0","0","-872","-872","101","10150500","50"
"2020","Non-Departmental","Non-Departmental","Office Supp&Exp","Operations/Maintenance","225000","225000","0","220450.18","220450.18","310","31016100","16"
"2022","Projects","Projects","Capital","Capital/Other","321917.57","572917.57","0","117239.37","117239.37","431","43180000","CP"
"2022","Community Development","Advance Planning","Contract Services","Operations/Maintenance","1500","1032601.68","10213","401789.97","412002.97","101","10150400","50"
"2023","Public Works","Refuse Collection - Admin","Office Supp&Exp","Operations/Maintenance","0","0","0","4617.06","4617.06","202","20260400","60"
"2023","Projects","Projects","Capital","Capital/Other","0","-22000","220546.53","28345.54","248892.07","203","20380000","CP"
"2022","Community Development","Rent Stabilization","Contract Services","Operations/Maintenance","401900","434308.25","49623.57","168517.38","218140.95","101","10150550","50"
"2023","Fire","Fire Suppression","Contract Services","Operations/Maintenance","0","3000","5657","15000","20657","101","10145200","45"
"2023","Public Works","Transfer Station - Admin","Contract Services","Operations/Maintenance","0","0","61288.69","5313.88","66602.57","202","20260410","60"
"2022","Public Works","Public Works Admin","Contract Services","Operations/Maintenance","100000","425464.36","434.36","117095.13","117529.49","101","10160100","60"
"2021","Public Works","Tree Maintenance","Other O&M","Operations/Maintenance","2100","2100","0","1205.68","1205.68","101","10160220","60"
"2023","Administrative Services","Human Resources","Office Supp&Exp","Operations/Maintenance","0","0","1107.03","332.96","1439.99","101","10122100","22"
"2023","Transportation","Equipment Maintenance","Repair-Maint","Operations/Maintenance","0","0","136757.65","42611.95","179369.6","308","30870400","70"
"2020","Community Development","Housing Protections","Repair-Maint","Operations/Maintenance","0","150000","0","0","0","476","47650890","50"
"2021","Parks Recreation & Comm Svs","Senior and Social Services","Payroll Taxes","Personnel Cost","52347","52347","0","44663.29","44663.29","101","10130400","30"
"2021","Parks Recreation & Comm Svs","Comm Events-Fiesta La Ballona","Contract Services","Operations/Maintenance","5000","5000","0","0","0","101","10130285","30"
"2023","Parks Recreation & Comm Svs","Parks and Playgrounds Programs","Office Supp&Exp","Operations/Maintenance","0","0","56.71","379.26","435.97","101","10130211","30"
"2020","Parks Recreation & Comm Svs","Youth Center","Contract Services","Operations/Maintenance","3560","5560","0","3000","3000","101","10130260","30"
"2014","Parks Recreation & Comm Svs","Recreation Division","Repair-Maint","Operations/Maintenance","1000","1000","0","0","0","101","10130200","30"
"2019","Public Works","Building Maintenance","Retiree Medical P","Personnel Cost","64580","64580","0","70056.22","70056.22","101","10160230","60"
"2019","Community Development","Economic Development","Retiree Medical P","Personnel Cost","78690","78690","0","64120.16","64120.16","101","10150120","50"
"2023","Fire","Fire Suppression","Repair-Maint","Operations/Maintenance","0","-12699.49","8353.02","3158.4","11511.42","101","10145200","45"
"2021","Comm Improve Programs","Cardiff Prkg Structure","Contract Services","Operations/Maintenance","305000","305000","0","296849.86","296849.86","475","47555310","55"
"2019","Public Works","Tree Maintenance","Retiree Medical P","Personnel Cost","31430","31430","0","32910.1","32910.1","101","10160220","60"
"2020","Parks Recreation & Comm Svs","Pool and Aquatics Programs","Contract Services","Operations/Maintenance","45857","45857","0","15370.6","15370.6","101","10130220","30"
"2021","Community Development","Admin Supply and Services","Repair-Maint","Operations/Maintenance","0","5000","0","0","0","476","47650710","50"
"2019","Administrative Services","Human Resources","Retiree Medical P","Personnel Cost","42960","42960","0","21695.45","21695.45","101","10122100","22"
"2021","Projects","Projects","Office Supp&Exp","Operations/Maintenance","49022.49","49022.49","0","0","0","423","42380000","CP"
"2021","Finance","Purchasing","Office Supp&Exp","Operations/Maintenance","9380","6880","0","7204.61","7204.61","101","10114500","14"
"2019","Parks Recreation & Comm Svs","Veteran's Memorial Complex","Other O&M","Operations/Maintenance","3000","0","0","0","0","101","10130110","30"
"2021","Transportation","AQMD-Rideshare","Other O&M","Operations/Maintenance","35000","35000","0","0","0","410","41070600","70"
"2019","Information Technology","Graphic Services","Retiree Medical P","Personnel Cost","16910","16910","0","16297.53","16297.53","101","10124200","24"
"2021","Public Works","Refuse Collection - Admin","Public Notices/Ad","Operations/Maintenance","30000","28075","0","22923.89","22923.89","202","20260400","60"
"2020","Information Technology","Information Technology","Repair-Maint","Operations/Maintenance","103710","241121","0","63483.38","63483.38","412","41224100","24"
"2020","Projects","Projects","Capital","Capital/Other","1880000","4786643.84","0","1894629.4","1894629.4","434","43480000","CP"
"2022","Police","Operating Bureaus","Repair-Maint","Operations/Maintenance","170000","177664.67","8523.13","147067.76","155590.89","101","10140200","40"
"2015","Parks Recreation & Comm Svs","Recreation Division","Public Notices/Ad","Operations/Maintenance","250","250","0","0","0","101","10130200","30"
"2021","Public Works","Electrical Maintenance","Office Supp&Exp","Operations/Maintenance","7810","7810","0","7981.37","7981.37","101","10160240","60"
"2019","Community Development","Community Development Admin","Other O&M","Operations/Maintenance","1367","1367","0","694.47","694.47","101","10150100","50"
"2023","Fire","Communications","Repair-Maint","Operations/Maintenance","0","0","2866","525.56","3391.56","101","10145700","45"
"2019","Projects","Projects","Contract Services","Operations/Maintenance","3001","3701","0","700","700","423","42380000","CP"
"2019","Public Works","Maintenance Operations","Office Supp&Exp","Operations/Maintenance","6860","6860","0","4874.56","4874.56","101","10160200","60"
"2015","Fire","Communications","Equip Maint Chgs","Operations/Maintenance","9225","9225","0","0","0","101","10145700","45"
"2020","Transportation","Transportation Operations","Other","Personnel Cost","357950","357950","0","239024.78","239024.78","203","20370200","70"
"2021","Fire","Fire - SAFER Grant","Transfers","Transfers","425000","425000","0","0","0","414","41445909","45"
"2019","Parks Recreation & Comm Svs","Veteran's Memorial Complex","Retiree Medical P","Personnel Cost","7610","7610","0","7547.01","7547.01","101","10130110","30"
"2022","Administrative Services","City Clerk","Office Supp&Exp","Operations/Maintenance","23624","23768.12","681.92","13502.01","14183.93","101","10122300","22"
"2019","Finance","Purchasing","Retiree Medical P","Personnel Cost","12600","12600","0","11681.05","11681.05","101","10114500","14"
"2019","Community Development","Neighborhood Preservation","Sal/Spc Comp/OT","Personnel Cost","535460","543303","0","468654.69","468654.69","101","10150500","50"
"2023","Comm Improve Programs","Cardiff Prkg Structure","Office Supp&Exp","Operations/Maintenance","0","0","3000","0","3000","475","47555310","55"
"2023","Projects","Projects","Capital","Capital/Other","0","0","41905.9","0","41905.9","475","47580000","CP"
"2023","Transportation","Transportation Operations","Contract Services","Operations/Maintenance","0","0","106538.61","16696.88","123235.49","203","20370200","70"
"2023","Parks Recreation & Comm Svs","Sports Programs","Contract Services","Operations/Maintenance","0","0","108422.2","69174","177596.2","101","10130240","30"
"2023","Public Works","Wastewater Maintenance","Contract Services","Operations/Maintenance","0","0","228423.05","8004.15","236427.2","204","20460300","60"
"2019","Parks Recreation & Comm Svs","Culver City After School Progr","Pension Expenses","Personnel Cost","7906","7906","0","8186.12","8186.12","101","10130233","30"
"2020","Public Works","Food Rescue Grant","Capital","Capital/Other","0","52000","0","0","0","202","20260470","60"
"2023","Community Development","Advance Planning","Office Supp&Exp","Operations/Maintenance","0","0","45.21","0","45.21","101","10150400","50"
"2023","Transportation","Equipment Maintenance","Workers Comp","Personnel Cost","0","0","0","-19643.92","-19643.92","308","30870400","70"
"2023","Information Technology","Information Technology","Office Supp&Exp","Operations/Maintenance","0","0","23.73","0","23.73","101","10124100","24"
"2020","Non-Departmental","W Wash Landscape Maint Dist #2","Contract Services","Operations/Maintenance","25150","36465.46","0","24246.14","24246.14","425","42516520","16"
"2022","Public Works","Engineering","Capital","Capital/Other","0","2973.26","0","66.09","66.09","101","10160150","60"
"2023","Projects","Projects","Capital","Capital/Other","0","160000","323164.5","0","323164.5","428","42880000","CP"
"2020","Public Works","Food Rescue Grant","Travel/Trng/Dues","Operations/Maintenance","0","4000","0","0","0","202","20260470","60"
"2019","Transportation","Equipment Maintenance","Equip Maint Chgs","Operations/Maintenance","45000","45000","0","40994.33","40994.33","308","30870400","70"
"2020","Transportation","Transportation Capital","Capital","Capital/Other","1042495","6116977.05","0","-837095.26","-837095.26","203","20370300","70"
"2021","Projects","Projects","Contract Services","Operations/Maintenance","0","0","0","0","0","203","20380000","CP"
"2021","Non-Departmental","Landscape Maint Dist #1","Other O&M","Operations/Maintenance","4167","4167","0","0","0","425","42516543","16"
"2023","Parks Recreation & Comm Svs","RSVP","Workers Comp","Personnel Cost","0","0","0","-128.33","-128.33","101","10130430","30"
"2023","Community Development","Rent Stabilization","Contract Services","Operations/Maintenance","0","0","114050.6","0","114050.6","101","10150550","50"
"2019","Parks Recreation & Comm Svs","Senior Nutrition - CI","Office Supp&Exp","Operations/Maintenance","750","690","0","486.53","486.53","414","41430410","30"
"2023","Projects","Projects","Capital","Capital/Other","0","753434","302085.66","496.21","302581.87","418","41880000","CP"
"2020","Public Works","Food Rescue Grant","Equip Maint Chgs","Operations/Maintenance","0","30000","0","0","0","202","20260470","60"
"2020","Public Works","Wastewater Maintenance","Repair-Maint","Operations/Maintenance","100000","100000","0","41868.7","41868.7","204","20460300","60"
"2012","Comm Improve Programs","Cultural Affairs-Children'","Office Supp&Exp","Operations/Maintenance","1000","1000","0","0","0","481","48155446","55"
"2023","Projects","Projects","Cap-Rolling Stock","Capital/Other","0","524106.89","1047101.86","87162.01","1134263.87","307","30780000","CP"
"2019","Public Works","Engineering","Other O&M","Operations/Maintenance","500","500","0","402.5","402.5","101","10160150","60"
"2022","Administrative Services","City Clerk","Contract Services","Operations/Maintenance","48235","131597","0","0","0","101","10122300","22"
"2013","Community Development","Building Safety","Repair-Maint","Operations/Maintenance","0","0","0","0","0","101","10150150","50"
"2021","Public Works","Graffiti Abatement","Contract Services","Operations/Maintenance","3000","3000","0","0","0","101","10160250","60"
"2012","Transportation","Transportation Operations","Public Notices/Ad","Operations/Maintenance","4000","4000","0","0","0","203","20370200","70"
"2012","Community Development","Admin Supply and Services","Other O&M","Operations/Maintenance","1000","1000","0","0","0","476","47650710","50"
"2022","Transportation","Para Transit Services","Cost Allocation","Operations/Maintenance","0","0","0","20009.92","20009.92","411","41170420","70"
"2022","Information Technology","Information Technology","Other O&M","Operations/Maintenance","478","478","0","478","478","101","10124100","24"
"2021","Public Works","Wastewater Maintenance","Repair-Maint","Operations/Maintenance","100000","100000","0","3013.58","3013.58","204","20460300","60"
"2022","Parks Recreation & Comm Svs","Senior and Social Services","Capital","Capital/Other","0","6058.24","0","6658.24","6658.24","101","10130400","30"
"2016","Community Development","Art Fund","Other O&M","Operations/Maintenance","0","0","0","0","0","413","41350600","50"
"2022","Public Works","Recycling","Capital","Capital/Other","0","0","0","5235.9","5235.9","414","41460905","60"
"2015","Transportation","Transportation Admin","Repair-Maint","Operations/Maintenance","500","500","0","0","0","203","20370100","70"
"2021","Public Works","Refuse Collection - Admin","Ins Premiums","Operations/Maintenance","36595","36595","0","0","0","202","20260400","60"
"2023","Parks Recreation & Comm Svs","Parks Division","Office Supp&Exp","Operations/Maintenance","0","0","2402.48","6270.94","8673.42","101","10130300","30"
"2020","Public Works","Food Rescue Grant","Contract Services","Operations/Maintenance","0","24857","0","0","0","202","20260470","60"
"2022","Public Works","Refuse Collection - Admin","Capital","Capital/Other","461000","500737.73","2554.4","454770.29","457324.69","202","20260400","60"
"2023","Transportation","Bus Stop Furnishings (P)","Capital","Capital/Other","0","0","2506","0","2506","203","20370309","70"
"2020","Administrative Services","Art Fund","Office Supp&Exp","Operations/Maintenance","750","16941","0","13856.75","13856.75","413","41322400","22"
"2023","City Attorney","City Attorney - Risk Mgt","Workers Comp","Personnel Cost","0","0","0","-912.58","-912.58","309","30913400","13"
"2020","Public Works","CicLAvia - Open Streets 2018","Contract Services","Operations/Maintenance","0","120000","0","119102.87","119102.87","414","41460912","60"
"2023","Public Works","Public Works Admin","Workers Comp","Personnel Cost","0","0","0","-4924.92","-4924.92","101","10160100","60"
"2023","Comm Improve Programs","Interim Housing - Homekey","Contract Services","Operations/Maintenance","0","2099019","0","0","0","476","47655920","55"
"2023","Police","Operating Bureaus","Office Supp&Exp","Operations/Maintenance","0","-5000","111341.72","3004.22","114345.94","101","10140200","40"
"2021","Transportation","Transportation Operations","Ins Premiums","Operations/Maintenance","861732","861732","0","522540.61","522540.61","203","20370200","70"
"2020","Community Development","Current Planning","Other O&M","Operations/Maintenance","7000","7000","0","6170","6170","101","10150200","50"
"2021","Community Development","Rental Assistance","Travel/Trng/Dues","Operations/Maintenance","3774","3774","0","0","0","426","42650510","50"
"2020","Community Development","Economic Development","Public Notices/Ad","Operations/Maintenance","5000","5000","0","825.01","825.01","101","10150120","50"
"2023","Non-Departmental","Non-Departmental","Contract Services","Operations/Maintenance","0","-18900","72876.1","36790.37","109666.47","101","10116100","16"
"2015","Parks Recreation & Comm Svs","Prop A (Parks Div)","Payroll Taxes","Personnel Cost","401","401","0","0","0","414","41430906","30"
"2020","Parks Recreation & Comm Svs","Disability","Sal/Spc Comp/OT","Personnel Cost","28500","28500","0","7340.76","7340.76","427","42730440","30"
"2020","Information Technology","Graphic Services","Office Supp&Exp","Operations/Maintenance","145220","145220","0","91637.6","91637.6","101","10124200","24"
"2020","Administrative Services","City Clerk","Repair-Maint","Operations/Maintenance","1000","1000","0","430.46","430.46","101","10122300","22"
"2022","Community Development","Advance Planning","Office Supp&Exp","Operations/Maintenance","2000","16300","22.99","5309.97","5332.96","101","10150400","50"
"2019","Parks Recreation & Comm Svs","Senior and Social Services","Sal/Spc Comp/OT","Personnel Cost","604049","639311","0","625367","625367","101","10130400","30"
"2021","Fire","Emergency Medical Services","Repair-Maint","Operations/Maintenance","4330","0","0","0","0","101","10145300","45"
"2023","Administrative Services","Risk Management","Contract Services","Operations/Maintenance","0","0","131470.97","59976","191446.97","309","30922200","22"
"2022","Fire","Office of the Chief","Contract Services","Operations/Maintenance","10000","10000","0","10000","10000","101","10145100","45"
"2020","Fire","Fire Prevention & Safety Grant","Office Supp&Exp","Operations/Maintenance","0","0","0","0","0","414","41445908","45"
"2019","Projects","Projects","Contract Services","Operations/Maintenance","0","23490.24","0","23396.02","23396.02","419","41980000","CP"
"2022","Public Works","Mobility & Traffic Engineering","Contract Services","Operations/Maintenance","184000","291025","18750.32","29602.6","48352.92","101","10160170","60"
"2023","Administrative Services","Cultural Affairs-Art Fund","Workers Comp","Personnel Cost","0","0","0","-483.58","-483.58","101","10122400","22"
"2022","Non-Departmental","Non-Departmental","Equip Maint Chgs","Operations/Maintenance","0","86450","0","0","0","101","10116100","16"
"2022","Transportation","Transportation Operations","Contract Services","Operations/Maintenance","619265","671295.53","330052.47","224587.74","554640.21","203","20370200","70"
"2023","Public Works","Mobility & Traffic Engineering","Contract Services","Operations/Maintenance","0","0","50","0","50","101","10160170","60"
