"organization_city_agency","street_address_mailing_address","city","state","postcode","year_surveyed","total_vounteers","youth_volunteers","adult_volunteers","older_adult_volunteers","organization_type","interest_areas","special_populations_served","boroughs_served","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"Crossover B.C. Community Health Center","85-12 101st Avenue","Ozone Park","NY","11416","2019","12","2","8","2","Faith-based institution","Advocacy and organizing, Faith-based, Human services, Food insecurities","Immigrants and/or refugees, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","BK, QN","QUEENS","40.681899","-73.854296","409","32","52","4188935","4090840027","Woodhaven"
"Cru","2 Washington ST, 17th Floor","New York","NY","10017","2019","40","0","40","0","Community-based organization, Faith-based institution","Children and youth related, Faith-based","Youth (17 or under)","BK, MN, SI, QN","MANHATTAN","40.705137","-74.015585","101","1","13","1087080","1000157501","Battery Park City-Lower Manhattan"
"Cypress Hills Fulton Street Senior Citizens Center, Inc.","3208 Fulton Street, Ground Level","Brooklyn","NY","11208","2019","5","0","0","5","Community-based organization, Senior Citizens Center","Advocacy and organizing, Arts and culture, Education and literacy, Senior Services","Older adults (60 or older)","BK, QN","BROOKLYN","40.682337","-73.876771","305","37","1178","3092631","3041400013","Cypress Hills-City Line"
"Dance to Unite, Inc.","222 West 14th Street","New York","NY","10011","2019","60","5","43","12","Community-based organization","Arts and culture, Children and youth related, Education and literacy","Low-income populations, Youth (17 or under)","BK, MN, BX","MANHATTAN","40.738915","-74.000559","102","3","77","1067572","1006187501","West Village"
"Dance/ NYC","218 East 18th St., Ground Floor","New York","NY","10003","2019","69","10","59","0","Not for Profit","Advocacy and organizing, Arts and culture, Immigrants and/or refugees, Justice-related, People with disabilities","Immigrants and/or refugees, People with disabilities, Dance Community","All Boroughs","MANHATTAN","40.735518","-73.98474","106","2","48","1019574","1008980046","Gramercy"
"Department of Education - Division of Family and Community Engagement","52 Chambers Street","New York","NY","10007","2019","27000","0","27000","0","City agency","Education and literacy","Youth (17 or under), NYC's 1.1 million students","All Boroughs","MANHATTAN","40.713814","-74.00557","101","1","31","1079146","1001220001","SoHo-TriBeCa-Civic Center-Little Italy"
"Department of Social Services","150 Greenwich Street","New York","NY","10006","2019","2730","0","0","0","City agency","Employment and workforce development, Health and medicine, Homeless and shelter, Human services, Immigrants and/or refugees, LGBTQIA+, Legal services, People with disabilities, Senior Services, Women's issues","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women","BK, MN, SI, QN","MANHATTAN","40.710511","-74.012524","101","1","13","1088795","1000580001","Battery Park City-Lower Manhattan"
"Diana H. Jones Innovative Senior Center - Riseboro Community Partnership, Inc.","9 Noll Street","Brooklyn","NY","11206","2019","22","0","0","22","Community-based organization","Advocacy and organizing, Arts and culture, Civic engagement (voting, voter registration), Education and literacy, Health and medicine, Homeless and shelter, Human services, Immigrants and/or refugees, Senior Services","Older adults (60 or older)","BK","BROOKLYN","40.700163","-73.935675","304","34","391","3387594","3031450100","Bushwick South"
"DOROT","171 West 85 Street","New York","NY","10024","2019","5885","1770","3514","601","Community-based organization","Senior Services","Older adults (60 or older)","MN","MANHATTAN","40.786591","-73.974513","107","6","169","1032139","1012160003","Upper West Side"
"DREAM","1991 Second avenue","New York","NY","10029","2019","212","2","200","10","Community-based organization","Children and youth related, Education and literacy","Youth (17 or under)","MN, BX","MANHATTAN","40.788221","-73.944214","111","8","164","1000000","1016520001","East Harlem South"
"Drew Gardens - Educational and Recreational","1070 East Tremont Avenue, Boston Road  Bronx street","The Bronx","NY","10460","2019","100","0","0","0","Community-based organization, Volunteer-led group, Community Garden ,","Arts and culture, Children and youth related, Education and literacy, Employment and workforce development, Environment and sustainability, Faith-based, Health and medicine, Human rights, Justice-related, LGBTQIA+, People with disabilities, Senior Services, Women's issues","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","BX","BRONX","40.840036","-73.87889","206","17","60",,,"Crotona Park East"
"Dyckman Senior Center","3754 10th Ave","New York","NY","10039","2019","12","0","0","12","Senior Center","Senior Services","Older adults (60 or older)","MN","MANHATTAN","40.860844","-73.921587","112","10","299","1080032","1022160001","Marble Hill-Inwood"
"Earth Matter NY, Inc.","179 Rivington Street #4","New York","NY","10002","2019","2500","500","0","0","Community-based organization","Advocacy and organizing, Animals, Arts and culture, Children and youth related, Education and literacy, Employment and workforce development, Environment and sustainability, Justice-related","Justice-involved individuals, Low-income populations, Older adults (60 or older), Women, Youth (17 or under)","All Boroughs","MANHATTAN","40.718858","-73.984362","103","1","1402","1087316","1003480056","Lower East Side"
"East Harlem Council for Human Services, Inc.","2265 Third Avenue","New York","NY","10035","2019","14","0","6","8","Community-based organization, Federally Qualified Health Center","Children and youth related, Health and medicine, Human services, Senior Services","Immigrants and/or refugees, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","All Boroughs","MANHATTAN","40.802487","-73.936689","111","8","194","1054630","1017880001","East Harlem North"
"East Harlem Tutorial Program","2035 Second Avenue","New York","NY","10029","2019","248","78","159","11","Community-based organization","Education and literacy","Immigrants and/or refugees, Low-income populations, Youth (17 or under)","MN","MANHATTAN","40.789659","-73.943154","111","8","170","1052390","1016540026","East Harlem South"
"Ecumenical Community Development Organization","443 W 125th Street","New York","NY","10027","2019","35","0","12","15","Community-based organization","Children and youth related, Education and literacy, Housing assistance","Low-income populations, Older adults (60 or older), Youth (17 or under)","MN","MANHATTAN","40.812652","-73.955623","109","7","20901","1087339","1019660049","Morningside Heights"
"Edible Schoolyard NYC","20 Jay Street, Suite M9","Brooklyn","NY","11201","2019","354","0","0","0","Non profit","Children and youth related, Education and literacy, Environment and sustainability, Food education","Low-income populations","BK, MN, BX","BROOKLYN","40.704313","-73.986587","302","33","21","3000010","3000190001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"Educational Alliance's Manny Cantor Center","197 East Broadway","New York","NY","10002","2019","1191","100","972","119","Community-based organization","Advocacy and organizing, Arts and culture, Children and youth related, Civic engagement (voting, voter registration), Education and literacy, Employment and workforce development, Immigrants and/or refugees, Senior Services","Immigrants and/or refugees, Low-income populations, Older adults (60 or older), Women, Youth (17 or under)","MN","MANHATTAN","40.714211","-73.988302","103","1","6","1003704","1002850029","Lower East Side"
"El Puente","211 South 4 Street","Brooklyn","NY","11211","2019","50","20","20","20","Community-based organization","Children and youth related, Education and literacy, Environment and sustainability, Human rights","Low-income populations, Youth (17 or under)","BK","BROOKLYN","40.710686","-73.959655","301","34","523","3063295","3024330001","North Side-South Side"
"Elite Community Foundation","21810 Merrick Blvd. #130202","Laurelton","NY","11413","2019","13","0","11","2","Community-based organization","Children and youth related, Education and literacy, Employment and workforce development, Health and medicine, Homeless and shelter, Human services, Immigrants and/or refugees, Senior Services, Women's issues","Homeless, Immigrants and/or refugees, Low-income populations, Military/ veteran families, Older adults (60 or older), Women, Youth (17 or under)","QN","QUEENS","40.679584","-73.751072","413","31","358","4279950","4130120020","Laurelton"
"Elmcor's Golden Phoenix Club Two","95-18 Northern Blvd.","Jackson Heights","NY","11372","2019","10","0","0","10","Community-based organization","Senior Services","Older adults (60 or older)","QN","QUEENS","40.756866","-73.872861","403","21","375","4042344","4017100010","North Corona"
"Emergency Shelter Network - Subsidiary of New York Disaster Interfaith Services","4 W 43 Street, Suite 407","New York","NY","10036","2019","1492","0","0","0","Community-based organization","Advocacy and organizing, Faith-based, Homeless and shelter","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women","BK, MN, BX, QN","MANHATTAN","40.754371","-73.980932","105","4","96","1034201","1012580042","Midtown-Midtown South"
"Encore Community Services","239 West 49th Street","New York","NY","10019","2019","4381","0","0","0","Community-based organization","Human services, Senior Services","Immigrants and/or refugees, LGBTQIA+, Low-income populations, Older adults (60 or older)","MN","MANHATTAN","40.761143","-73.985312","105","3","125","1024789","1010210009","Midtown-Midtown South"
"Espoir, Inc.","212 East 117th Street, Suite 2B","New York","NY","10035","2019","5","0","5","0","Community-based organization","Immigrants and/or refugees","Immigrants and/or refugees","All Boroughs","MANHATTAN","40.798396","-73.938997","111","8","188","1052594","1016660041","East Harlem North"
"Every Day is a Miracle","2427 MORRIS AVE","The Bronx","NY","10468","2019","150","75","75","50","Community-based organization, Faith-based institution","Education and literacy, Environment and sustainability, Human services, Immigrants and/or refugees, Justice-related, FOOD RELIEF EFFORT","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","BX","BRONX","40.861113","-73.900217","205","14","239","2014036","2031840059","Fordham South"
"Faith in New York","103-04 39TH Ave. Suite 105,","Corona","NY","11368","2019","30","0","15","15","Community-based organization","Advocacy and organizing, Civic engagement (voting, voter registration), Faith-based, Immigrants and/or refugees, Justice-related","Immigrants and/or refugees, Justice-involved individuals, Low-income populations, Older adults (60 or older), Women","All Boroughs","QUEENS","40.750707","-73.862941","403","21","405","4044402","4017700113","North Corona"
"Family Care Certified Services A Division of Tri-Borough Health Systems","1414 Utica Ave","Brooklyn","NY","11203","2019","5","0","5","0","Private Agency","Senior Services, Home Care","Low-income populations, Older adults (60 or older), Youth (17 or under)","BK, QN","BROOKLYN","40.638198","-73.928947","317","45","932","3106431","3047840035","East Flatbush-Farragut"
"Family Services Network of New York","1420 Bushwick Ave","Brooklyn","NY","11207","2019","25","0","25","0","Community-based organization","Emergency management and disaster response, Immigrants and/or refugees","Immigrants and/or refugees, LGBTQIA+, Low-income populations, Women, People living with HIV AIDS, IDU, HCV","BK","BROOKLYN","40.684318","-73.909056","304","37","403","3080067","3034440022","Bushwick South"
"Family2Family Community Project","1854 Cedar Avenue, 5-0","The Bronx","NY","10453","2019","100","20","70","10","Community-based organization, Volunteer-led group","Advocacy and organizing, Senior Services, Community Gardening, Healthy Eating & Exerciseg","Low-income populations, Youth (17 or under)","MN, BX","BRONX","40.853739","-73.919209","205","16","247","2009239","2028810040","University Heights-Morris Heights"
"Far Rockaway/ Arverne Nonprofit Coalition (FRANC)","c/o 443 Beach 54 St.","Arverne","NY","11692","2019","10","0","0","0","Coalition of CBOs /FBO","Children and youth related, Education and literacy, Emergency management and disaster response, Employment and workforce development, Faith-based, Health and medicine","Justice-involved individuals, Youth (17 or under)","QN","QUEENS","40.596517","-73.784697","414","31","97203","4436448","4160020001","Hammels-Arverne-Edgemere"
"Father's Alive In The Hood, Inc.","155-40 Linden blvd","Queens","NY","11434","2019","30","15","13","2","Community-based organization, Volunteer-led group","Advocacy and organizing, Children and youth related, Fatherlessness","Justice-involved individuals, Low-income populations, Youth (17 or under)","BK, QN","QUEENS","40.687166","-73.7918","412","28","274","4264114","4121860042","Baisley Park"
"Filter Addict, Inc.","200 Vesey street 24th floor","New York","NY","10281","2019","2","0","2","0","Community-based organization","Children and youth related","Low-income populations, Youth (17 or under)","MN, SI","MANHATTAN","40.714447","-74.015493","101","1","31703","1000059","1000160140","Battery Park City-Lower Manhattan"
"Fire Department City of New York","9 Metrotech Center","Brooklyn","NY","11201","2019","27841","18654","0","0","City agency","Emergency management and disaster response","Immigrants and/or refugees, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","All Boroughs","BROOKLYN","40.69486","-73.984674","302","33","15","3058187","3020470011","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"Food Bank For New York City","39 Broadway, 10th Floor,","New York","NY","10006","2019","25112","0","0","0","Community-based organization","Hunger/Poverty","Homeless, Low-income populations, Older adults (60 or older), Women, Youth (17 or under)","All Boroughs","MANHATTAN","40.706251","-74.012952","101","1","13","1000803","1000200004","Battery Park City-Lower Manhattan"
"Footsteps","114 John St","New York","NY","10272","2019","98","0","0","0","Community-based organization","Advocacy and organizing, Children and youth related, Education and literacy, Employment and workforce development, Human rights, Human services, Justice-related, LGBTQIA+, Legal services","Justice-involved individuals, LGBTQIA+, Low-income populations, formerly ultra-Orthodox Jews","BK, MN, BX","MANHATTAN","40.707641","-74.00576","101","1","1502","1001126","1000690032","Battery Park City-Lower Manhattan"
"For My People Empowerment, Inc.","P.O. BOX 328","The Bronx","NY","10467","2019","15","8","5","2","Community-based organization, Volunteer-led group","Emergency management and disaster response","Immigrants and/or refugees, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women","BX",,,,,,,,,
"Forestdale, Inc.","67-35 112th Street","Forest Hills","NY","11375","2019","50","5","40","5","Community-based organization","Children and youth related, Employment and workforce development, Human services, LGBTQIA+, Women's issues","Justice-involved individuals, Low-income populations, Women, Youth (17 or under)","BK, QN","QUEENS","40.729354","-73.842599","406","29","747","4441126","4022060006","Forest Hills"
"Fort Greene Albany Neighborhood Center","196 Albany Avenue","Brooklyn","NY","11213","2019","16","0","3","13","Non-Profit Senior services","Senior Services","Older adults (60 or older)","BK","BROOKLYN","40.67388","-73.938974","308","36","343","3031082","3012300044","Crown Heights North"
"Fort Greene Council - Christopher Blenman Neighborhood Center","720 East New York Avenue","Brooklyn","NY","11203","2019","9","0","0","13","Senior Center","Senior Services","Older adults (60 or older)","BK","BROOKLYN","40.662289","-73.938916","309","41","87401","3106612","3047950016","Prospect Lefferts Gardens-Wingate"
"Fort Greene Council, Inc. - Hugh Gilroy Neighborhood Senior Center","447 Kingsborough 4th Walk 2nd Floor","Brooklyn","NY","11233","2019","15","0","0","15","Community-based organization","Senior Services","Older adults (60 or older)","BK","BROOKLYN","40.675242","-73.924931","308","41","307","3035751","3013440175","Crown Heights North"
"Fort Greene Park Conservancy, Inc.","85 South Oxford Street","Brooklyn","NY","11217","2019","593","0","0","0","Community-based organization","Arts and culture, Environment and sustainability","All of the above","BK","BROOKLYN","40.686918","-73.973563","302","35","181","3059350","3021180011","Fort Greene"
"Fort Greene Strategic Neighborhood Action Partnership","324 Myrtle Avenue","Brooklyn","NY","11205","2019","30","2","28","0","Community-based organization","Education and literacy, Employment and workforce development, Human services","Immigrants and/or refugees, Low-income populations, Older adults (60 or older), Women","BK","BROOKLYN","40.693255","-73.973524","302","35","183","3058286","3020720023","Fort Greene"
"Fort Independence Senior Center","3350 Bailey Ave","The Bronx","NY","10463","2019","10","0","0","10","Community-based organization","Arts and culture, Civic engagement (voting, voter registration), Human services, Senior Services","Low-income populations, Older adults (60 or older)","BX","BRONX","40.880093","-73.900742","208","14","277","2086835","2032610102","Van Cortlandt Village"
"Foundation for a Drug Free World","56-03 214th Street","Bayside","NY","11364","2019","60","2","40","18","Community-based organization","Children and youth related, Education and literacy, Health and medicine","Immigrants and/or refugees, Justice-involved individuals, Low-income populations, Military/ veteran families, Youth (17 or under)","All Boroughs","QUEENS","40.750312","-73.76475","411","23","1399","4160171","4074430001","Bayside-Bayside Hills"
"Frederick Douglass Senior Center - Social Club","830 Amsterdam Avenue","New York","NY","10025","2019","11","0","0","12","Community-based organization","Advocacy and organizing, Civic engagement (voting, voter registration), Emergency management and disaster response, Environment and sustainability, Health and medicine, Human rights, Senior Services","Homeless, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities","MN","MANHATTAN","40.79703","-73.9686","107","7","187","1000000","1018720029","Upper West Side"
"Free Arts NYC","1431 Broadway, 7th floor","New York","NY","10018","2019","2500","0","0","0","Community-based organization","Arts and culture, Children and youth related, Education and literacy, Mentorship","Low-income populations, Youth (17 or under)","All Boroughs","MANHATTAN","40.754531","-73.987086","105","3","113","1022561","1009930007","Midtown-Midtown South"
"Friends of Corlears Hook Park","575 Grand Street, #E901","New York","NY","10002","2019","97","45","37","15","Community-based organization","Environment and sustainability","None","MN","MANHATTAN","40.713708","-73.97914","103","2","202","1083401","1002630008","Lower East Side"
"Friends of Gerritsen Beach Library","2808 Gerritsen Avenue","Brooklyn","NY","11229","2019","20","5","3","12","Volunteer-led group","Advocacy and organizing, Children and youth related, Education and literacy","Older adults (60 or older), Youth (17 or under), All library patrons","BK","BROOKLYN","40.591563","-73.923725","315","46","628","3343823","3089230920","Sheepshead Bay-Gerritsen Beach-Manhattan Beach"
"Friends of MacDonald Park","112-20 72 Dr, Apt A29","Forest Hills","NY","11375","2019","120","60","40","20","Volunteer-led group","Advocacy and organizing, Environment and sustainability, NYC Parks Stewardship","Older adults (60 or older), Youth (17 or under)","QN","QUEENS","40.720418","-73.837577","406","29","75701","4432149","4022520010","Forest Hills"
"Friends of Mosholu Parkland","3400 Reservoir Oval East","The Bronx","NY","10467","2019","50","13","32","5","Community-based organization, Volunteer-led group","Advocacy and organizing, Arts and culture, Children and youth related, Civic engagement (voting, voter registration), Education and literacy, Employment and workforce development, Environment and sustainability, Health and medicine, Homeless and shelter, Human rights, Human services, Immigrants and/or refugees, LGBTQIA+, People with disabilities, Senior Services","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","BX","BRONX","40.878889","-73.87581","207","11","423","2018218","2033430185","Norwood"
"Friends of Tremont Park","2020 Grand Concourse, 3C","The Bronx","NY","10457","2019","197","16","0","0","Volunteer-led group","Advocacy and organizing, Arts and culture, Children and youth related, Civic engagement (voting, voter registration), Environment and sustainability, Health and medicine","Low-income populations","BX","BRONX","40.851598","-73.904265","205","15","23502","2007749","2028120017","Mount Hope"
"Friends Shelter","15 Rutherford Place","New York","NY","10011","2019","80","0","60","20","Faith-based institution","Homeless and shelter","Homeless","MN","MANHATTAN","40.733652","-73.985051","106","2","48","1082121","1008970016","Gramercy"
"GallopNYC","8803 70th Road","Queens","NY","11375","2019","1898","261","1550","60","Community-based organization","Children and youth related, People with disabilities","Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Youth (17 or under)","BK, BX, QN","QUEENS","40.707987","-73.853575","406","29","645","4095312","4038970001","Forest Hills"
"Garra (formerly Cidadão Global)","PO Box 4183","Sunnyside","NY","11104","2019","10","0","8","2","Community-based organization","Advocacy and organizing, Civic engagement (voting, voter registration), Immigrants and/or refugees, Legal services","Immigrants and/or refugees, Low-income populations, Brazilian immigrant women","BK, MN, QN",,,,,,,,,
"Gay Men's Health Crisis (GMHC)","307 West 38th Street","New York","NY","10018","2019","1500","0","0","0","Community-based organization","Advocacy and organizing, Employment and workforce development, Health and medicine, Human services, LGBTQIA+, Legal services","Homeless, Immigrants and/or refugees, LGBTQIA+, Low-income populations, Older adults (60 or older), People with disabilities, Women","MN","MANHATTAN","40.754946","-73.992175","104","3","115","1013643","1007620025","Clinton"
"Generation Citizen","110 Wall Street","New York","NY","10005","2019","200","0","0","0","Community-based organization, Education","Civic Education","Youth (17 or under)","All Boroughs","MANHATTAN","40.704638","-74.006694","101","1","7","1000872","1000370008","Battery Park City-Lower Manhattan"
"Girl Scouts of Greater NY","40 Wall Street, Suite 708","New York","NY","10005","2019","3637","0","3381","256","Community-based organization","Children and youth related","Homeless, LGBTQIA+, Low-income populations, Military/ veteran families, People with disabilities, Women, Youth (17 or under)","All Boroughs","MANHATTAN","40.706625","-74.009875","101","1","7","1001018","1000430002","Battery Park City-Lower Manhattan"
"Girls on the Run NYC","81 Prospect Street","Brooklyn","NY","11201","2019","700","0","695","5","Community-based organization","Children and youth related","Youth (17 or under)","All Boroughs","BROOKLYN","40.700663","-73.987536","302","33","21","3000163","3000640025","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"Glow Community Center","133-29 41st avenue 1st floor","Flushing","NY","11355","2019","78","71","5","2","Community-based organization, Community Center","Advocacy and organizing, Arts and culture, Children and youth related, Civic engagement (voting, voter registration), Education and literacy, Employment and workforce development, Immigrants and/or refugees, Legal services","Immigrants and/or refugees, Low-income populations, Older adults (60 or older), Women, Youth (17 or under)","QN","QUEENS","40.757835","-73.830295","407","20","871","4000000","4050377507","Flushing"
"God Bless You All, Inc.","9517 67TH AVE","REGO PARK","NY","11374","2019","7","0","7","0","College and/or university","Homeless and shelter, Human services, People with disabilities, Senior Services","Homeless, Low-income populations, Older adults (60 or older), People with disabilities, Women, Youth (17 or under), People with HIV","BX, QN","QUEENS","40.721929","-73.857011","406","29","711","4074611","4031530027","Forest Hills"
"God's Love We Deliver","166 Avenue of the Americas","New York","NY","10013","2019","17000","0","0","0","Community-based organization","providing medically tailored meals to people living with serious illnesses","people living with serious illness","All Boroughs","MANHATTAN","40.725619","-74.003976","102","3","49","1007816","1005040043","SoHo-TriBeCa-Civic Center-Little Italy"
"Goddard Riverside Community Center - Star Learning Center","26 West 84th Street","New York","NY","10024","2019","268","0","0","0","Community-based organization","Children and youth related, Education and literacy","Youth (17 or under)","All Boroughs","MANHATTAN","40.784358","-73.971224","107","6","169","1081040","1011970046","Upper West Side"
"GOH Productions","309 E 4th St","New York","NY","10009","2019","15","2","9","4","Community-based organization","Arts and culture, Children and youth related, Education and literacy, Environment and sustainability","Immigrants and/or refugees, Low-income populations, Older adults (60 or older), Women, Youth (17 or under)","BK, MN, QN","MANHATTAN","40.722118","-73.979754","103","2","2601","1004423","1003740065","Lower East Side"
"Good Shepherd Services","305 7th Avenue","New York","NY","10001","2019","133","0","0","0","Community-based organization","Employment and workforce development, Human services, Justice-related, Foster Care","Justice-involved individuals, LGBTQIA+, Low-income populations, Youth (17 or under)","BK, MN, BX","MANHATTAN","40.746817","-73.993655","105","3","95","1015060","1008037502","Midtown-Midtown South"
"Gowanus Canal Conservancy","232 3rd Street","Brooklyn","NY","11215","2019","1632","905","689","38","Community-based organization","Environment and sustainability","Justice-involved individuals, Low-income populations, Youth (17 or under)","BK","BROOKLYN","40.674909","-73.987671","306","39","119","3337594","3009800008","Park Slope-Gowanus"
"Grand Street Settlement","80 Pitt Street","New York","NY","10002","2019","2329","0","0","20","Community-based organization","Children and youth related, Education and literacy, Employment and workforce development, LGBTQIA+, Senior Services","LGBTQIA+, Low-income populations, Older adults (60 or older), Women, Youth (17 or under)","BK, MN","MANHATTAN","40.718328","-73.98245","103","2","2201","1084357","1003380001","Lower East Side"
"Great Kills Neighborhood Center","11 Sampson Avenue","Staten Island","NY","10308","2019","52","0","0","52","Senior Center","Senior Services","Older adults (60 or older)","SI","STATEN IS","40.552619","-74.149806","503","51","14605","5062569","5046240500","Great Kills"
"Greater Flushing Chamber of Commmerce","135 32 38th ave Suite 25","Flushing","NY","11354","2019","50","30","15","5","Community-based organization","Advocacy and organizing, Health &  Wellness","Small Businesses and Community Outreach","QN","QUEENS","40.760399","-73.831899","407","20","871","4112307","4049750001","Flushing"
"Greenbelt Conservancy","200 Nevada Avenue","Staten Island","NY","10306","2019","339","100","200","39","City agency, Not-for-profit","Education and literacy, Environment and sustainability","LGBTQIA+, Low-income populations, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","SI","STATEN IS","40.584575","-74.123779","502","50","181","5112436","5009390001","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill"
"Greenpoint Reformed Church Hunger Program","136 Milton Street","Brooklyn","NY","11222","2019","225","30","180","15","Community-based organization","Environment and sustainability, Homeless and shelter, Human services","Immigrants and/or refugees, LGBTQIA+, Low-income populations, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","BK","BROOKLYN","40.729376","-73.955224","301","33","565","3064901","3025660032","Greenpoint"
"Greenpoint Spartans, Inc.","235 Berry Street","Brooklyn","NY","11249","2019","10","0","10","0","Volunteer-led group","Children and youth related","Low-income populations, Youth (17 or under)","BK","BROOKLYN","40.715504","-73.962354","301","34","553","3062611","3023800004","North Side-South Side"
"Greenwich House Center on the Square","20 Washington Square North","New York","NY","10011","2019","80","10","0","70","senior center","Senior Services","Homeless, LGBTQIA+, Low-income populations, Older adults (60 or older), People with disabilities","MN","MANHATTAN","40.731781","-73.997705","102","1","63","1008851","1005510008","West Village"
"Greenwich House JCW Senior Center","27 Barrow St.","New York","NY","10014","2019","7","0","0","8","Community-based organization","Advocacy and organizing, Arts and culture, Health and medicine, Human services, Senior Services","Older adults (60 or older)","MN","MANHATTAN","40.7325","-74.003078","102","3","67","1010159","1005900056","West Village"
"GrowNYC","PO Box 2327","New York","NY","10272","2019","657","0","0","0","Community-based organization","Environment and sustainability","All New Yorkers","All Boroughs",,,,,,,,,
"Grupo Juego y Lectura de Sunset Park","411 64th street","Brooklyn","NY","11220","2019","18","12","6","0","Volunteer-led group","Education and literacy","Immigrants and/or refugees, Low-income populations, People with disabilities, Women, Youth (17 or under)","BK","BROOKLYN","40.638262","-74.020221","307","38","122","3144119","3058090070","Sunset Park West"
"Habitat for Humanity New York City","111 John Street, 23rd Floor","New York","NY","10038","2019","3345","196","3005","144","Community-based organization","Advocacy and organizing, Homeless and shelter, Affordable Housing","Low-income populations, for low- to moderate-income, community centers, co-ops","All Boroughs","MANHATTAN","40.707671","-74.005764","101","1","1502","1001167","1000750030","Battery Park City-Lower Manhattan"
"Hamilton - Madison House","253 South Street, 2FL","New York","NY","10002","2019","130","0","30","100","Community-based organization","Advocacy and organizing, Arts and culture, Children and youth related, Education and literacy, Human services, Immigrants and/or refugees, People with disabilities, Senior Services, Census","Immigrants and/or refugees, Low-income populations, Older adults (60 or older), People with disabilities, Youth (17 or under)","All Boroughs","MANHATTAN","40.710001","-73.990553","103","1","6","1085945","1002480015","Lower East Side"
"HANAC - Angelo Petromelis Senior Center","13-28 123rd Street","College Point","NY","11356","2019","25","0","0","0","Community-based organization","Advocacy and organizing, Arts and culture, Children and youth related, Civic engagement (voting, voter registration), Education and literacy, Employment and workforce development, Environment and sustainability, Human rights, Human services, Immigrants and/or refugees, Legal services, Senior Services","Immigrants and/or refugees, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women","QN","QUEENS","40.786179","-73.844772","407","19","947","4096960","4039970035","College Point"
"HANAC - Ravenswood Senior Center","34-35A 12th St.","Astoria","NY","11106","2019","20","0","0","20","Community-based organization","Senior Services","Older adults (60 or older)","QN",,,,,,,,,
"HANAC, Inc.","27-40 Hoyt Avenue South","Astoria","NY","11102","2019","44","0","0","0","Community-based organization","Advocacy and organizing, Arts and culture, Children and youth related, Civic engagement (voting, voter registration), Education and literacy, Employment and workforce development, Health and medicine, Human rights, Human services, Immigrants and/or refugees, Legal services, Senior Services","Homeless, Immigrants and/or refugees, Justice-involved individuals, Low-income populations, Older adults (60 or older), People with disabilities, Youth (17 or under)","MN, BX, QN","QUEENS","40.771857","-73.9198","401","22","69","4537921","4008390001","Old Astoria"
"HarborLAB","53-21 Vernon Boulevard","Long Island City","NY","11101","2019","75","0","0","0","Volunteer-led group","Children and youth related, Education and literacy, Environment and sustainability","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","All Boroughs","QUEENS","40.740155","-73.954871","402","26","1","4459315","4000380008","Hunters Point-Sunnyside-West Maspeth"
"Harlem Dowling - West Side Center","2139 Adam Clayton Powell, Jr. Blvd.","New York","NY","10027","2019","12","3","6","3","Community-based organization","Children and youth related, Human services, People with disabilities","Immigrants and/or refugees, LGBTQIA+, Low-income populations, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","MN, QN","MANHATTAN","40.81014","-73.947461","110","9","224","1090253","1019110061","Central Harlem North-Polo Grounds"
"Harlem Educational Activities Fund (HEAF)","2090 Seventh Avenue, 10th Floor","New York","NY","10027","2019","528","0","523","5","Community-based organization","Children and youth related, Education and literacy","Low-income populations, Youth (17 or under)","BK, MN, BX, QN","MANHATTAN","40.808639","-73.948582","110","9","222","1058640","1019300030","Central Harlem South"
