"fiscal_year_2","source_2","council_member_2","legal_name_2","ein_2","status_2","amount_2","agency_2","program_name_2","street_address_1_2","street_address_2_2","zip_code_2","purpose_of_funds_2","fiscal_conduit_name_2","fc_ein_2","location_1_2","borough","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"2011","Local","CC","Northside Center for Child Development, Inc.","13-1656679","Cleared","115000.00","DYCD","After School and Summer Programs","1301 Fifth Avenue",,"10029","To pay part of the salaries of Northside's After School/Summer Program at 1301 5th Avenue.",,,"1301 Fifth Avenue
New York, NY 10029
(40.797083518851295, -73.94902438367971)","MANHATTAN","40.797221","-73.948963","11","9","17402","1078884","1016160001","East Harlem South                                                          "
"2011","Youth","Crowley","Maggie's Little Theater at St. Margaret Parish","11-1723800","Cleared","3000.00","DYCD",,"66-05 79th Place",,"11379","Parish-based community theater group open to all, regardless of religious affiliation. We foster a love of theater through exposure to all aspects of theater production both onstage and behind the scenes.",,,"66-05 79th Place
Middle Village, NY 11379
(40.71568325506024, -73.87304289463168)","QUEENS   ","40.715426","-73.87306","5","30","65703","4071901","4030700032","Middle Village                                                             "
"2011","Youth","Koo","American Cancer Society","16-0743902","Cleared","5714.00","DYCD","Asian Initiaitives","41-60 Main Street, Suite 307",,"11355","To fund their program intended to provide support services to newly diagnosed cancer patients and to hire a bi-lingual Patient Care Specialist to facilitate the program.",,,"41-60 Main Street, Suite 307
Flushing, NY 11355
(40.75601784807435, -73.82858940672338)","QUEENS   ","40.756477","-73.828725","7","20","849","4467591","4051210020","Flushing                                                                   "
"2011","Local","CC","Structured Employment Economic Development Corporation (Seedco) ","13-2875743","Pending","50000.00","DSBS",,"915 Broadway, 17th Floor",,"10010","To place 150 people in jobs and provide loans and technical assistance to 5 small business.",,,"915 Broadway, 17th Floor
New York, NY 10010
(40.74062498674009, -73.98947362825095)","MANHATTAN","40.739644","-73.989654","5","2","52","1016226","1008490070","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"2013","Infant Mortality Reduction",,"Bronx Health Link","13-4045022","Pending","125606.00","DOHMH",,"198 East 161st Street",,"10451",,,,"198 East 161st Street
Bronx, NY 10451
(40.82636281720619, -73.92115662319924)","BRONX    ","40.826354","-73.921024","4","16","61","2099027","2024430094","East Concourse-Concourse Village                                           "
"2010","Transportation - Operating Costs",,"Catholic Charities Neighborhood Services, Inc.","11-2047151  ","Pending","6100.48","DFTA","Seaside Senior Center","191 Joralemon Street",,"11201","Senior Center transportation costs",,,"191 Joralemon Street
Brooklyn, NY 11201
(40.69266960433043, -73.9917354160587)","BROOKLYN ","40.692671","-73.991785","2","33","9","3002244","3002550008","Brooklyn Heights-Cobble Hill                                               "
"2011","Youth","Dromm","Lefrak City Youth and Adult Activities Association, Inc.","11-3106422","Cleared","29964.00","DYCD",,"97-30 57th Avenue, Suite 18D",,"11368","Tutorial and recreational services to LeFrak youth ages 5-13.",,,"97-30 57th Avenue, Suite 18D
Corona, NY 11368
(40.73740812617711, -73.86301048389804)","QUEENS   ","40.737458","-73.863022","4","21","455","4047319","4019180065","Corona                                                                     "
"2012","Local","Arroyo","Riverside Symphony, Inc.","133168350-","Cleared","3500.00","DCA",,"225 West 99th Street",,"10025-5014","To funfd the Music Memory program which  is designed to help children Listen and respond actively to music, Acquire knowledge of music terms, and  Learn about composers.",,,"225 West 99th Street
New York, NY 10025-5014
(40.79638843415395, -73.96974165440108)",,,,,,,,,
"2012","Local","Fidler","New Way Circus Center, Inc.","113271895-","Cleared","3500.00","DYCD",,"3100 Brighton 3rd Street","Suite 21 E","11235","Welcome to Arts On Stage NY (AOSNY), school time educational programs offering Curriculum-Based Theater Field Trips  In-School Circus WORKSHOPS for school groups in New York. AOSNY- a division of the New Way Circus Center- is a nonprofit 501Â© 3 arts and cultural organization -insures that children in diverse communities experience the beauty of the performing arts through education and entertainment._x000D_
_x000D_
AOSNY is an essential part of education, creating a partnership for teaching  learning. ARTS ON STAGE NY- enrich our childrenâs lives and learning.
_x000D_
Mission â artistically, culturally and educationally enrich the minds of children through live, professional theater productions. To stimulate, encourage, educate, and promote interest in live theater without regard to socio-economic, geographic, or intellectual barriers. World-class performances will inspire and affect childrenâs lives.
_x000D_
AOSNY PROGRAMS:_x000D_
Enrich the quality of life in our diverse communities.
_x000D_
Offer every student equal opportunity for educational and cultural enrichment.
_x000D_
They stimulate creativity, develop problem solving skills, encourage, educate and promote an interest in arts through live professional theater field trips.
_x000D_
Implement theatrical plays, music, dance, visual arts, drama, multimedia technology and audience etiquette.
They tie into reading, writing, math, science and social studies, helping students to improve academic skills.
_x000D_
Include a variety of multicultural performances from Africa, Latin America, Asia, Russia, the Caribbean, Mexico, and Native- American. In addition, the season is filled with classical literature such as âHarriet Tubmanâ, âI Have a Dream- the story of Dr. Martin Luther Kingâ, and âA Christmas Carolâ. Study guides are available using the DOE Blueprint Strands._x000D_
Education - key to SUCCESS.  WHY ARTS ON STAGE NY? WHY NOW?_x000D_
Curriculum-Based Theater Field Trips -improve academic skills. In-School Circus Workshops âfight child obesity  diabetes.",,,"3100 Brighton 3rd Street
Brooklyn, NY 11235
(40.57642323882311, -73.9641082433186)","BROOKLYN ","40.576498","-73.96411","13","48","36001","3245056","3086850010","Brighton Beach                                                             "
"2010","Food Pantries","Brooklyn","Reaching-Out Community Services, Inc.","11-3615625","Pending","5000.00","DYCD",,"7708 New Utrecht Avenue",,"11214","To support the local food pantry.",,,"7708 New Utrecht Avenue
Brooklyn, NY 11214
(40.61389798778407, -74.00051279906467)","BROOKLYN ","40.614008","-74.000454","11","43","182","3161389","3062470030","Bensonhurst West                                                           "
"2011","DoVE",,"Trinity Healing Center, Inc.","20-3235905","Cleared","21875.00","MISC",,"411 46th Street",,"11220",,,,"411 46th Street
Brooklyn, NY 11220
(40.648534566480265, -74.00986743211273)","BROOKLYN ","40.648381","-74.009687","7","38","80","3011532","3007470001","Sunset Park West                                                           "
"2011","CASA","Brewer","American Museum of Natural History","13-6162659","Cleared","20000.00","DCA","Public School 166M -  Richard Rodgers School of the Arts and Technology","Central Park West at 79 Street",,"10024",,,,"Central Park West at 79 Street
New York, NY 10024
(40.770667589607136, -73.9786516109229)",,,,,,,,,
"2011","Local","Vann","Tenant Association of Marcy Houses","30-0409169","Cleared","1000.00","MISC",,"544 Park Avenue, Suite 5D",,"11206","To support tenant organizing activities and family day event for residents and the surrounding community.",,,"544 Park Avenue, Suite 5D
Brooklyn, NY 11206
(40.69715032688742, -73.95281159177253)","BROOKLYN ","40.697108","-73.953713","3","33","1237","3048482","3017370001","Bedford                                                                    "
"2012","Local","Levin","George Westinghouse High School","136400434-","Cleared","2500.00","DOE",,"105 Tech Place",,"11201","Arts Programs entitled Dancing Classrooms and Town Hall.",,,"105 Tech Place
Brooklyn, NY 11201
(40.69494488906457, -73.98611465337558)","BROOKLYN ","40.694926","-73.986015","2","33","13","3348041","3001310001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"2011","Local","CC","Lower East Side Girls Club, The","13-3942063","Cleared","25000.00","DYCD",,"56 East First Street",,"10003","To support POP program and offer alternative activities to violence.",,,"56 East First Street
New York, NY 10003
(40.7237142007819, -73.98941516522308)","MANHATTAN","40.723711","-73.989465","3","2","3602","1087561","1004430049","East Village                                                               "
"2010","Transportation - Operating Costs",,"Family Care Services","13-3213081 ","Pending","6100.48","DFTA","Home Delivered Meals (Vns)","355 East 149th Street ",,"10455","Senior Center transportation costs",,,"355 East 149th Street
Bronx, NY 10455
(40.81649725454474, -73.91920509439564)","BRONX    ","40.816474","-73.919197","1","17","65","2000855","2023280001","Melrose South-Mott Haven North                                             "
"2012","Local","Dromm","Asian Community United Society, Inc.","264164117-","Cleared","7000.00","DYCD",,"1884 86th Street",,"11214","Our Human Service Program provide case management for the enrollment of Food Stamp, Public Housing, Public Assistance, Home Energy Assistance Program, Heartshare Energy Program, and Free Wireless Cellphone for Elderly.  In this program, we also do letter translation, 311 interpretation and application assistance.  This program is free of charge to the general public and it is run monday to friday.",,,"1884 86th Street
Brooklyn, NY 11214
(40.60601093358713, -74.00065669058932)","BROOKLYN ","40.606125","-74.000792","11","47","278","3166705","3063710053","Bensonhurst West                                                           "
"2012","Local","Quinn","New York City Community Chorus at Holy Apostles","760843120-","Cleared","3000.00","DCA",,"35 West 8th Street","3B","10011","This is a program of free choral training and free public concerts.",,,"35 West 8th Street
New York, NY 10011
(40.733022183785124, -73.99811160924645)","MANHATTAN","40.733068","-73.99825","2","3","63","1009444","1005720061","West Village                                                               "
"2011","Local","Rose","Staten Island Chamber of Commerce Foundation, Inc.","13-4069282","Cleared","3000.00","DSBS",,"130 Bay Street",,"10301","Fund their 7 Habits of Effective People Signature program for business people of SI.",,,"130 Bay Street
Staten Island, NY 10301
(40.63910311756414, -74.07572439056133)","STATEN IS","40.639002","-74.075691","1","49","3","5000021","5000050010","West New Brighton-New Brighton-St. George                                  "
"2011","IOI","Bronx","New York Legal Assistance Group","13-3505428","Cleared","86750.00","DYCD",,"450 West 33rd Street, 11th Floor",,"10001","Immigrant Related Legal Services",,,"450 West 33rd Street, 11th Floor
New York, NY 10001
(40.75366162435756, -73.99900193805541)","MANHATTAN","40.753574","-73.998838","4","3","103","1085401","1007299001","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"2009","Elected Officials",,"Bronx Community Board #2 Restoration","13-6400434","Cleared","10000.00","BXCB",,,,,,,,"Bronx, NY
(40.825740000300925, -73.92324999988745)",,,,,,,,,
"2012","Local","CC","Child Mind Institute","800478843-","Cleared","250000.00","DOE",,"445 Park Avenue",,"10022-4378","Funds will support Teacher-Child Interaction Training (TCIT). The project aims to provide teachers in public schools with a specific set of skills so they can better manage disruptive behaviors in the classroom. ",,,"445 Park Avenue
New York, NY 10022-4378
(40.761206936183385, -73.97085315853838)",,,,,,,,,
"2011","Local","Ignizio","Service Corps of Retired Executives (SCORE)","13-3541647","Cleared","3000.00","DSBS",,"1550 Richmond Road",,"10304","Subsidize general operating expenses for conducting small business consulting services.",,,"1550 Richmond Road
Staten Island, NY 10304
(40.592592237231216, -74.10073432127048)","STATEN IS","40.592511","-74.10084","2","50","9602","5048637","5033020001","Old Town-Dongan Hills-South Beach                                          "
"2012","Local","Rodriguez","Minerva Mirabal, Inc.","522338321-","Cleared","4000.00","HPD",,"839 Riverside Drive Apt 2F",,"10032","We provide different housing services included repairs needed thru HP Action, HPD enforcement and 311 assistance, DHCRs complaint for repairs, rent overcharge, lease violation, succession rights, housing and section 8s advice.",,,"839 Riverside Drive Apt 2F
New York, NY 10032
(40.83618341376615, -73.94662542306901)","MANHATTAN","40.836368","-73.946613","12","7","247","1063289","1021350013","Washington Heights South                                                   "
"2011","Infant Mortality Reduction",,"Christopher Rose Community Empowerment Campaign, Inc.","11-3423612","Cleared","18606.94","DOHMH",,"772 Vermont Street",,"11207",,,,"772 Vermont Street
Brooklyn, NY 11207
(40.660571786386214, -73.8900473197866)","BROOKLYN ","40.660922","-73.890241","5","42","1128","3096541","3043000045","East New York (Pennsylvania Ave)                                           "
"2012","Local","Williams","Harmony Program, City University of New York","050606695-","Cleared","3500.00","CUNY",,"535 East 80th St","6th Floor","10075","The Harmony Program addresses a shortage of both well-trained music teachers and music education opportunities for economically disadvantaged children in New York City. ",,,"535 East 80th St
New York, NY 10075
(40.77125236325071, -73.9479384332318)","MANHATTAN","40.771681","-73.948986","8","5","136","1050871","1015777504","Yorkville                                                                  "
"2011","Local","Jackson","United Federation of Black Community Organizations (UFBCO), Inc.","13-2783581","Cleared","3500.00","ACS",,"474 West 159th Street",,"10032","UFBCO Child Development Center.",,,"474 West 159th Street
New York, NY 10032
(40.833503434118825, -73.93976359598543)","MANHATTAN","40.833655","-73.94007","12","7","239","1062503","1021080023","Washington Heights South                                                   "
"2011","HIV/AIDS Faith Based Initiative",,"United Methodist Church ""Broadway Temple""","13-6165690","Pending","6400.00","DOHMH",,"4111 Broadway",,"10033",,,,"4111 Broadway
New York, NY 10033
(40.84515228642161, -73.93880318935307)","MANHATTAN","40.845128","-73.938763","12","10","263","1063501","1021420133","Washington Heights South                                                   "
"2011","Local","Mealy","City Harvest, Inc.","13-3170676","Cleared","3500.00","DYCD",,"575 Eighth Avenue, 4th Floor",,"10018","To provide food distribution to the community programs.",,,"575 Eighth Avenue, 4th Floor
New York, NY 10018
(40.75488470231744, -73.99153756521224)","MANHATTAN","40.754952","-73.991467","4","3","115","1013644","1007620033","Clinton                                                                    "
"2011","Local","Palma","MFY Legal Services, Inc.","13-2622748","Cleared","5000.00","DYCD",,"299 Broadway, 4th Floor",,"10007","These funds will support free legal services to low-income New Yorkers.",,,"299 Broadway, 4th Floor
New York, NY 10007
(40.715017756758584, -74.00564792785195)","MANHATTAN","40.715046","-74.005591","1","1","33","1001648","1001500031","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"2011","HIV/AIDS Communities of Color",,"Exponents, Inc.","13-3572677","Cleared","15170.06","DOHMH",,"151 West 26th Street, 3rd Floor",,"10001",,,,"151 West 26th Street, 3rd Floor
New York, NY 10001
(40.74557671931416, -73.99318332452589)","MANHATTAN","40.745428","-73.992872","5","3","95","1015034","1008020008","Midtown-Midtown South                                                      "
"2010","CASA","Foster","Citizens Advice Bureau, Inc., The","13-3254484","Pending","20000.00","DCA","Girls Prep Charter School of the Bronx","2054 Morris Avenue","681 Kelly Street, Rm 205, Bronx, NY 10455","10453",,,,"2054 Morris Avenue
Bronx, NY 10453
(40.85334247808521, -73.9053825148053)","BRONX    ","40.853493","-73.905278","5","14","241","2092406","2031690001","Mount Hope                                                                 "
"2011","Legal Services for the Working Poor",,"Church Avenue Merchants Block Association (CAMBA)","11-2480339","Cleared","239674.00","MISC",,"1720 Church Avenue, 2nd Floor",,"11226",,,,"1720 Church Avenue, 2nd Floor
Brooklyn, NY 11226
(40.64912064501755, -73.96371096179683)","BROOKLYN ","40.649339","-73.963307","14","40","512","3341487","3050970085","Flatbush                                                                   "
"2010","Transportation - Operating Costs",,"Jamaica Service Program for Older Adults, Inc. (JSPOA)","51-0204121  ","Pending","6100.48","DFTA","Foster Laurie Senior Center","162-04 Jamaica Avenue",,"11432","Senior Center transportation costs",,,"162-04 Jamaica Avenue
Jamaica, NY 11432
(40.704351797491086, -73.79769769501695)","QUEENS   ","40.704268","-73.797827","12","27","44601","4215622","4101020002","Jamaica                                                                    "
"2012","Local","Rodriguez","Comite de Prevencian de Alcoholismo y Drogadiccian","061662368-","Cleared","5000.00","DOHMH",,"54 West 94th Street  5D",,"10025","We provide services to offer help and services for those addicted to alchol and other drugs. We also help those dealing with addiction, including families and children of addicts to cope with these issues.",,,"54 West 94th Street 5D
New York, NY 10025
(40.791046441115554, -73.96732781618351)","MANHATTAN","40.791112","-73.967422","7","6","177","1031657","1012070050","Upper West Side                                                            "
"2012","Aging","Gentile","St. Rosalia-Regina Pacis Neighborhood Improvement Association, Inc.","112697931-","Cleared","79750.00","DFTA",,"6614 11th Avenue",,"11219-5901","To support senior activities and programs in South Brooklyn.",,,"6614 11th Avenue
Brooklyn, NY 11219-5901
(40.62772056737441, -74.00691597191326)",,,,,,,,,
"2012","Cultural After-School Adventure (CASA) ","Comrie","Queens Symphony Orchestra","112106191-","CBO Defunded","0.00","DCA","IS 59Q","65-30 Kissena Blvd ",,"11367",,,,"65-30 Kissena Blvd
Flushing, NY 11367
(40.73606110525328, -73.81482589172403)","QUEENS   ","40.736707","-73.814703","8","24","809","4141870","4065170001","Kew Gardens Hills                                                          "
"2011","Aging","Brewer","Selfhelp Community Services, Inc.","13-1624178","Cleared","3500.00","DFTA",,"520 Eighth Avenue, 5th Floor",,"10018","Support expansion to serve 1,000 needy seniors.",,,"520 Eighth Avenue, 5th Floor
New York, NY 10018
(40.75379652266196, -73.9922570228357)","MANHATTAN","40.753612","-73.992417","5","3","109","1083624","1007860001","Midtown-Midtown South                                                      "
"2011","CASA","Ulrich","Queens Museum of Art","11-2278998","Cleared","20000.00","DCA","Public School 114Q - Belle Harbor School","New York City Building / Flushing Meadows Park","82-01 101 Avenue, Queens, NY 11416","11368",,,,"New York City Building / Flushing Meadows Park
Corona, NY 11368
(40.74605999956947, -73.85822999981451)",,,,,,,,,
"2012","Local","Cabrera","Gospel Mission Pentecostal Church, Inc.","327425524-","CBO Defunded","0.00","DYCD",,"1661 WEEKS AVENUE",,"10457","Free GED preparation program that will supply students with study materials and assist them in registering to take the GED test.",,,"1661 WEEKS AVENUE
BRONX, NY 10457
(40.843333023899106, -73.90772974530176)","BRONX    ","40.843279","-73.907707","4","15","22902","2007382","2027930018","Mount Hope                                                                 "
"2012","HIV/AIDS Faith Based Initiative",,"Mount Paran Baptist Church","113099533-","Cleared","6400.00","DOHMH",,"1665 Broadway ",,"11207",,,,"1665 Broadway
Brooklyn, NY 11207
(40.684304028046625, -73.91279542398223)","BROOKLYN ","40.68431","-73.912914","4","37","401","3079400","3034260009","Bushwick South                                                             "
"2011","Aging","Foster","Concourse Village Special Adult Center","13-1977533","Cleared","21000.00","DFTA",,"773 Concourse Village East",,"10451","Sewing class, exercise classes, trips, lectures and games.",,,"773 Concourse Village East
Bronx, NY 10451
(40.822667118878165, -73.92013665112505)","BRONX    ","40.823081","-73.919839","4","16","61","2093926","2024430170","East Concourse-Concourse Village                                           "
"2010","Transportation - Operating Costs",,"Convent Avenue Baptist Church","13-2780116","Pending","6100.48","DFTA","Hamilton Grange Senior Center","420 West 145th Street",,"10031","Senior Center transportation costs",,,"420 West 145th Street
New York, NY 10031
(40.82446686786118, -73.94591707335913)","MANHATTAN","40.824436","-73.945733","9","7","227","1060948","1020500042","Hamilton Heights                                                           "
"2011","Local","Weprin","Queens Symphony Orchestra, Inc.","11-2106191","Cleared","5000.00","DCA",,"70-31 84th Street, Building 38",,"11385","funds will be used to offset expense associated with several of their music programs in the borough.",,,"70-31 84th Street, Building 38
Glendale, NY 11385
(40.70961283136245, -73.86539865738263)","QUEENS   ","40.709662","-73.865413","5","30","637","4092494","4038090120","Glendale                                                                   "
"2009","Youth","Sears","Renaissance Charter School, The","11-3550391","Cleared","5214.00","DYCD",,"35-59 81st Street",,"11372","To fund supplemental arts and after-school programs.",,,"35-59 81st Street
Jackson Heights, NY 11372
(40.750502578374956, -73.88531853210088)","QUEENS   ","40.751311","-73.885533","3","25","283","4029691","4012810038","Jackson Heights                                                            "
"2011","CASA","Quinn","Roundabout Theatre Company, Inc.","13-6192346","Cleared","20000.00","DCA","Public School 111M","231 West 39th Street, Suite 1200","440 West 53rd Street, New York, NY 10019","10018",,,,"231 West 39th Street, Suite 1200
New York, NY 10018
(40.754749804013045, -73.98973892115367)","MANHATTAN","40.754576","-73.989363","5","3","113","1014499","1007890021","Midtown-Midtown South                                                      "
"2011","IOI","Brooklyn","Erasmus Neighborhood Federation","11-2490986","Cleared","25000.00","DYCD",,"814 Rogers Avenue",,"11226","Legal Services",,,"814 Rogers Avenue
Brooklyn, NY 11226
(40.65090508928978, -73.95251598236092)","BROOKLYN ","40.650932","-73.952509","17","40","822","3116918","3050900055","Prospect Lefferts Gardens-Wingate                                          "
"2012","Local","CC","St. Rosalia-Regina Pacis Neighborhood Improvement Association, Inc.","112697931-","Cleared","125000.00","DYCD",,"6614 11th Avenue",,"11219-5901","To provide services during the critical afterschool and out-of-school time hours that support our mission to build strong children, strong families and strong communities. NIA programs are designed to promote constructive academic, physical and social growth, encourage family/child interaction and communication, assist with cultural adjustments of immigrant students, and support the needs of Brooklyns working/struggling/ immigrant families, especially those adversely affected  by our economic downturn and acculturation issues.",,,"6614 11th Avenue
Brooklyn, NY 11219-5901
(40.62772056737441, -74.00691597191326)",,,,,,,,,
"2011","Local","Seabrook","Department of Sanitation","13-6400434","Government","15000.00","DSNY",,"125 Worth Street",,"10013","To purchase garbage receptacles for Council District 12.",,,"125 Worth Street
New York, NY 10013
(40.71549904528821, -74.00271219519871)","MANHATTAN","40.715428","-74.002673","1","1","31","1001831","1001680032","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"2011","Local","Rose","African Refuge, Inc.","01-0873188","Cleared","5000.00","DYCD",,"185 Park Hill Avenue",,"10304","Fund their after-school program for tutoring, sports, leadership development, etc. and their arts program on Saturdays.",,,"185 Park Hill Avenue
Staten Island, NY 10304
(40.61443612486405, -74.08229242096694)","STATEN IS","40.614116","-74.082395","1","49","40","5106233","5029220150","Grymes Hill-Clifton-Fox Hills                                              "
"2010","CASA","Ulrich","Queens Theatre in the Park, Inc.","11-3381629","Pending","20000.00","DCA","Middle School 137Q","Flushing Meadows Corona Park, PO Box 520069","109-15 98th Street, Queens, NY 11417","11352",,,,"Flushing Meadows Corona Park, PO Box 520069
Flushing, NY 11352
(40.74602999998467, -73.82616999984549)","QUEENS   ","40.742377","-73.842157","81","21","38302",,,"park-cemetery-etc-Queens                                                   "
"2012","Boro","Manhattan Delegation","Medicare Rights Center, Inc.","133505372-","Cleared","3500.00","DFTA",,"520 8th Avenue North Wing 3rd Floor",,"10018","Medicare Rights will work with community-based organizations throughout Manhattan to counsel seniors and their families on Medicare and to enroll eligible individuals in needed public benefits.",,,"520 8th Avenue North Wing 3rd Floor
New York, NY 10018
(40.75379652266196, -73.9922570228357)","MANHATTAN","40.753612","-73.992417","5","3","109","1083624","1007860001","Midtown-Midtown South                                                      "
"2012","Cultural After-School Adventure (CASA) ","Dromm","Midtown Management Group, Inc.","133192793-","Cleared","20000.00","DCA","Public School 69","630 9th Avenue Ste. 802",,"10036",,,,"630 9th Avenue Ste. 802
NY, NY 10036
(40.7599835298872, -73.99141665969353)","MANHATTAN","40.760038","-73.991449","4","3","121","1024982","1010350001","Clinton                                                                    "
"2012","Local","Rose","Region 7 District 31 NYC Department of Education","136400434-","Cleared","2000.00","DOE",,"715 Ocean Terrace",,"10301","$500 is to be allocated to the Parent Teacher Associations (PTAs) of the following public schools in District 31:
1) CURTIS HIGH SCHOOL
2) MCKEE HIGH SCHOOL
3) CONCORD HIGH SCHOOL
4) PORT RICHMOND HIGH SCHOOL
",,,"715 Ocean Terrace
Staten Island, NY 10301
(40.6074294834401, -74.10152342867468)","STATEN IS","40.608517","-74.102078","2","50","177","5113169","5006830001","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   "
"2010","CASA","Sanders, Jr","Reversing the Projections","75-3260289","Pending","20000.00","DYCD","Public School 253Q","113-35 Farmers Boulevard ","1307 Central Avenue, Far Rockaway, NY 11691","11412",,,,"113-35 Farmers Boulevard
St. Albans, NY 11412
(40.698371305996204, -73.7624262850278)","QUEENS   ","40.698506","-73.762513","12","27","526","4235658","4109880006","St. Albans                                                                 "
"2011","Aging","James","Brooklyn Community Housing and Services","11-2549027","Cleared","10000.00","DFTA",,"105 Carlton Avenue",,"11205","Housing programs for formerly homeless women, children, and men in Brooklyn.",,,"105 Carlton Avenue
Brooklyn, NY 11205
(40.69448623482964, -73.9730924703913)","BROOKLYN ","40.694581","-73.973188","2","35","18501","3257033","3020440013","Fort Greene                                                                "
"2011","Youth","Gentile","Brooklyn Extreme Flag Football, Inc.","26-0789598","Pending","4000.00","DYCD",,"1065 60th Street",,"11219","To support free youth sports activities in the 43rd Council District.",,,"1065 60th Street
Brooklyn, NY 11219
(40.63182147582802, -74.00345358210046)","BROOKLYN ","40.632033","-74.003808","12","38","214","3347323","3057090051","Borough Park                                                               "
"2012","Local","Nelson","Brooklyn Housing and Family Services, Inc.","112412584-","Cleared","13000.00","HPD",,"415 Albemarle Road",,"11218-2351","Brooklyn Housing and Family Services (BHFS) will provide housing services to tenants, homeowners and owners of multiple dwellings. BHFS will insure that tenants are provided with services and buildings are properly maintained. BHFS will assist tenants facing eviction. ",,,"415 Albemarle Road
Brooklyn, NY 11218-2351
(40.64550915711396, -73.97638398901853)",,,,,,,,,
"2011","Youth","Lander","Parkville Youth Organization, Inc.","11-2204831","Cleared","3500.00","DYCD",,"1249 74th Street",,"11228","To provide after-school sports activities and create a safe and healthy environment for children and teens in Brooklyn.",,,"1249 74th Street
Brooklyn, NY 11228
(40.621461286050476, -74.00768938885847)","BROOKLYN ","40.621586","-74.00791","10","43","200","3158826","3061990058","Dyker Heights                                                              "
"2011","Youth","Vallone, Jr","Federation of Hellenic Societies of Greater New York","11-2931965","Cleared","3500.00","DYCD",,"22-51 29th Street",,"11105","After school and weekend dance instruction program.",,,"22-51 29th Street
Astoria, NY 11105
(40.775748973397185, -73.9129727927326)","QUEENS   ","40.775766","-73.912982","1","22","115","4017593","4008440013","Steinway                                                                   "
"2011","Local","Crowley","Middle Village Volunteer Ambulance Corps, Inc.","11-2330754","Cleared","4000.00","FDNY",,"P.O.Box 5",,"11379","Support for ambulance corps including equipment maintenance, fuel, insurance and medical supplies.","Greater Ridgewood Youth Council, Inc.","11-2518141","P.O.Box 5
Middle Village, NY 11379
(40.71908000004214, -73.88246999979049)",,,,,,,,,
"2011","Youth","Mendez","Notes in Motion, Inc.","32-0005633","Cleared","3500.00","DYCD",,"77 Bleecker Street, 318",,"10012","After-School Performance and Dance program in Public School 63M.",,,"77 Bleecker Street, 318
New York, NY 10012
(40.726735922800344, -73.99620504654433)","MANHATTAN","40.726634","-73.996042","2","1","5501","1084761","1005320020","West Village                                                               "
"2012","Aging","Ignizio","Jewish Community Center of Staten Island, Inc.","135562256-","Cleared","3500.00","DFTA","Beatrice Victor Senior Olympics","1466 Manor Road",,"10314","The Beatrice Victor Senior Olympics (BVSO) is a 6-day series of 21 physical, intellectual, and social competitive activities provided to Staten Island residents who are at least 50 years of age. The JCC of SI serves as the fiscal conduit for BVSO.",,,"1466 Manor Road
Staten Island, NY 10314
(40.59747297205385, -74.12385437507879)","STATEN IS","40.594454","-74.125677","2","50","181","5141743","5009550100","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   "
"2011","Local","Ulrich","Greater Woodhaven Development Corporation","11-2508190","Cleared","35000.00","DSBS",,"84-01 Jamaica Avenue",,"11421","To remove graffiti vandalism throughout Council District 32.",,,"84-01 Jamaica Avenue
Woodhaven, NY 11421
(40.692518935573325, -73.85979940119263)","QUEENS   ","40.692356","-73.86063","9","32","12","4181530","4088530123","Woodhaven                                                                  "
"2012","Youth","Chin","Indochina Sino-American Senior Citizen Center Inc","133584616-","Cleared","5000.00","DYCD",,"170 Forsyth Street 2nd Floor",,"10002-1385","To help develop its support group program and to sustain the program for the long term and enhance its effectiveness in addressing the familiesâ needs.",,,"170 Forsyth Street 2nd Floor
New York, NY 10002-1385
(40.72114573302226, -73.99137385249534)",,,,,,,,,
"2009","Local","Dilan","Fiorentino Plaza Tenant Association","51-0477952","Cleared","10000.00","MISC",,"250 Broadway",,"10007","To provide an operating enhancement for the tenant association.",,,"250 Broadway
New York, NY 10007
(40.71279643134619, -74.00748254479174)","MANHATTAN","40.712982","-74.007301","1","1","21","1001408","1001240024","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"2011","Local","Sanders, Jr","Margert Community Corporation","11-2534700","Cleared","30500.00","DYCD",,"325 Beach 37th Street",,"11691","To provide support for youth initiatives.",,,"325 Beach 37th Street
Far Rockaway, NY 11691
(40.59586658109657, -73.76974676634626)","QUEENS   ","40.59534","-73.769617","14","31","992","4301751","4158270025","Hammels-Arverne-Edgemere                                                   "
"2011","Local","Rose","Young Men's Christian Association of Greater New York - Staten Island Branch","13-1624228","Cleared","5000.00","DYCD",,"5 West 63rd Street, 6th Floor ",,"10023","To provide funds for teen night program which is free access to YMCA facilities.",,,"5 West 63rd Street, 6th Floor
Staten Island, NY 10023
(40.77063622243261, -73.98020435412667)","MANHATTAN","40.770689","-73.980465","7","6","149","1027468","1011160024","Lincoln Square                                                             "
