"requirements","opportunity_id","content_id","summary","category_description","title","display_url","recurrence_type","street_address","_2nd_address","city","state","postcode","country","website","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
,"Afterschool Enrichment Program Instructors","<p> </p>

<p>About Hosh</p>

<p><a href=""http://www.hoshyoga.org/"">Hosh Yoga</a> and <a href=""http://www.hoshseniors.org/"">Hosh Kids</a>, are health and wellness non-profit programs based in Brooklyn, New York, committed to making people's lives better by healing bodies and minds through movement. </p>","Hosh Kids is need of enrichment instructors to support its programs at school day and afterschool programs in Brooklyn.","Education","Hosh Yoga","/opportunities/9743","ongoing","55 Nassau Avenue",,"brooklyn","NY","11222","US","http://www.centronyc.org/index.htm","BROOKLYN","40.72332","-73.952205","301","33","569","3066006","3026440045","Greenpoint"
"<ul>
	<li>Community</li>
	<li>Seniors</li>
</ul>

<p>&nbsp;</p>

<p>&nbsp;</p>","Unique Opportunities","<p>Occasionally DFTA seeks volunteers for short-term, one-time or special projects throughout New York City.  Each project will vary in skills needed and length of service. As these opportunities arise, volunteers are contacted to determine if a match is possible.</p>

<p>To be considered for this program, complete an application at <a href=""http://www.nyc.gov/aging/volunteer"">www.nyc.gov/aging/volunteer</a> and click on the DFTA Volunteer application link.</p>

<p> </p>","Volunteers for short-term, one-time service.
This Opportunity is not scheduled for a particular day.
Indoors/Outdoors.","Communities and Neighbors","New York City Department for the Aging (DFTA)","/opportunities/9907","ongoing","55 Nassau Ave",,"brooklyn","NY","11222","US","http://www.nyc.gov/aging","BROOKLYN","40.72332","-73.952205","301","33","569","3066006","3026440045","Greenpoint"
"<p><strong>Qualifications:</strong></p>

<p>&nbsp;</p>

<ul>
	<li>Comfortable building relationships with the community and Red Cross.</li>
</ul>

<ul>
	<li>Working knowledge of Red Cross servcies and programs (training available).</li>
</ul>

<ul>
	<li>Dedicated to promoting the Red Cross mission.</li>
</ul>

<ul>
	<li>Willing to train and involve other volunteers.</li>
</ul>

<ul>
	<li>Valid driver&#39;s license or access to reliable transportation. (travel expenses not reimbursed)</li>
	<li>Bi-lingual a plus, but not required.</li>
</ul>

<ul>
	<li>Comfortable with public speaking and presenting before large audiences.</li>
</ul>

<ul>
	<li>Ability to use discretion and act in a professional manner at all times.</li>
</ul>

<p>&nbsp;</p>

<p><strong>Location:</strong>&nbsp;Midtown West, Manhattan (Hell&#39;s Kitchen)</p>","Community Relations Ambassador","<p>The Greater New York Region is looking for public advocates to promote the programs, services and activities provided to the community. These advocates will serve as local figureheads for the Red Cross in their community and surrounding neighborhoods.</p>

<p> </p>

<p><strong>Please read the entire description to see if your qualified for this position.</strong></p>

<p> </p>

<p>There is no specific <strong>time commitment</strong>, however the region is seeking candidates that are flexible to attend meetings in the community and can serve in the role for a minimum of<strong> three years</strong>.</p>

<p> </p>

<p><strong>Description:</strong></p>

<p> </p>

<ul>
	<li>Attending community meetings and events to show Red Cross presence and, when possible,<strong> report out on activities and services</strong>.</li>
</ul>

<ul>
	<li>Identify opportunities for the <strong>Red Cross to collaborate</strong> with your community (events held by schools, faith-based organizations, local elected officials, etc.).</li>
</ul>

<ul>
	<li>Help <strong>connect Red Cross with groups, individuals and/or local businesses</strong> that may provide opportunities to host blood drives, hold emergency preparedess presentations, recruit volunteers, etc.</li>
</ul>

<ul>
	<li><strong>Represent the Red Cross</strong> at high visibility events including local street fairs, tabling events and large transportation sites.</li>
</ul>

<ul>
	<li><strong>Keep the Red Cross informed </strong>of local news and information that may be of interest through social media, local newspapers, etc.</li>
</ul>

<ul>
	<li>Though not required, availability to deploy during large-scale disasters to provide visibility and presence within the community.</li>
</ul>

<ul>
	<li>Working knowledge and understanding of the Community Relations Department's large-scale disaster plan (training to be provided).</li>
</ul>

<ul>
	<li>Help promote and provide trainings associated with the Community Preparedness Training partnership between Greater New York and Governor Andrew Cuomo.</li>
</ul>

<p> </p>

<p><strong>What's in it for you?</strong></p>

<p> </p>

<ul>
	<li>Help better prepare your community through promotion of Red Cross services.</li>
</ul>

<ul>
	<li>Gain greater knowledge of events, news and groups in your community.</li>
</ul>

<ul>
	<li>Be directly involved in helping your community should disaster occur.</li>
</ul>

<ul>
	<li>Raise your profile in the community as a trusted leader, spokesperson, advocate and point of contact for the American Red Cross.</li>
</ul>","The Greater New York Region is looking for public advocates to promote the programs, services and activities provided to the community. These advocates will serve as local figureheads for the Red Cross in their community and surrounding neighborhoods.","Emergency Preparedness and Response","American Red Cross in Greater New York (NYC)","/opportunities/9919","ongoing","2 Lafayette Street","11th Fl.","New York","NY","10007","US","http://www.nyc.gov/aging","MANHATTAN","40.713723","-74.003586","101","1","31","1001672","1001550001","SoHo-TriBeCa-Civic Center-Little Italy"
"<p><strong>Volunteers must be 16 years of age and older,</strong>demonstrate great customer service skills, outgoing, reliable, flexible and willing to work hard.</p>

<p>Ability to follow directions, work independantly as well as be a teamplayer.</p>

<p>Must speak English; bi-lingual, Spanish, Yiddish, Chinese, Arabic a plus!</p>

<p>&nbsp;</p>","Summer Volunteer Positions","<p>Great volunters with excellent customer service and team spirit are needed in the hospital.</p>

<p>Volunteer roles range from office support to deliveries to greeting patients and visitors to friendly visiting and more.</p>","Dedicated Volunteers are needed to assist healthcare professionals in patient care areas, emergency room, support offices, as Ambassadors, and many other roles,throughout the hospital and Family Health Centers.",,"NYU Langone Hospital-Brooklyn","/opportunities/11107","ongoing","333 East 115th St.",,"New York","NY","10029","US","http://sspnyc.org/mentors/","MANHATTAN","40.795741","-73.936919","111","8","188","1052905","1016870017","East Harlem North"
"<p><strong>Qualifications:</strong></p>

<ul>
	<li>Comfortable presenting an interactive curriculum to youth in grades 3-5 (ages 8-11) in a variety of settings including the classroom</li>
</ul>

<ul>
	<li>Working knowledge of, or a strong desire to learn, emergency preparedness</li>
</ul>

<ul>
	<li>Strong organizational skills and ability to follow through with minimum supervision</li>
</ul>

<ul>
	<li>Excellent communication skills, including public speaking</li>
</ul>

<ul>
	<li>Dynamic personality that relates well to youth in the target age group</li>
</ul>

<ul>
	<li>Reliable, punctual with good time management skills</li>
</ul>

<ul>
	<li>Ability to complete reports and conduct follow up calls with sites in a timely manner</li>
</ul>

<ul>
	<li>Ability to problem solve and be flexible with program changes</li>
</ul>

<ul>
	<li>Ability to arrange transportation to pick up materials if needed, and to travel to event location</li>
</ul>

<ul>
	<li>Presenters may need to work with school administrators, teachers and parents. They may also need to work with community partners, including faith-based organizations, civic assocations, elected officials, and youth organizations such as the YMCA, Boys &amp; Girls Club, Boy Scouts and Girl Scouts.</li>
</ul>","""The Pillowcase Project"" Volunteer Presenter","<p>The <strong>Pillowcase Project</strong> is a national preparedness education program that teaches emergency-preparedness education to youth in grades 3-5 in school and after-school settings. In a highly interactive, one hour format, the program addresses home fire safety, local hazards and coping skills and teaches children how to make their own personal emergency kit in a Red Cross/Disney branded pillowcase supplied by the program.</p>

<p>Presenters deliver a fun and highly interactive 40-60 minute presentation in school classrooms and other settings throughout the community. </p>

<p><strong>Watch an exciting video:</strong> <a href=""http://youtu.be/6LDgOzirFlk"">http://youtu.be/6LDgOzirFlk</a></p>

<p><strong>Time Committment: </strong>Presentations are delivered during <span>weekdays or on weekends</span> and require a <span>minimum 2 hour time commitment </span>which does not include travel time; 1 hour presentation plus time for set-up and clean up.</p>

<p><span>Initial training requires a minimum of 8-12</span> hours to complete.</p>

<p><strong>Key Responsibilities:</strong></p>

<p>In order to successfully fullfill the following duties, volunteers must complete the required training (see Training Section).</p>

<ul>
	<li>Deliver The Pillowcase Project presentations to youth in school classrooms and throughout the community</li>
</ul>

<ul>
	<li>Work in a team to build The Pillowcase Project throughout the community</li>
</ul>

<ul>
	<li>After each presentation, ensure all reporting data is collected and distributed to staff in a timely manner</li>
</ul>

<ul>
	<li>May assist with community outreach to schedule presentations at sites</li>
</ul>

<ul>
	<li>May assist in reaching key groups within the community, such as military families, at-risk youth, etc</li>
</ul>

<ul>
	<li>May mentor new presenters to help build a team of experienced youth preparedness presenters</li>
</ul>

<ul>
	<li>May be required to attend, either by phone or in person, meetings or conference calls to discuss program updates</li>
</ul>

<ul>
	<li>Other duties as agreed to between the presenter and The Pillowcase Project Regional Manager</li>
</ul>

<p>-------------------------------------------------------------------------------</p>

<p><strong>Training:</strong></p>

<p>Numerous tools have been developed for this program including a standardized curriculum, workbook, quizzes and activities which have been carefully constructed with the help of curriculum and hazard experts. Many tools for presenters have been developed to foster consistency and fidelity to the program goals and objectives.</p>

<ul>
	<li>Basic Instructor Fundamentals (BIF), 60-75 minutes online course</li>
</ul>

<ul>
	<li>The Pillowcase Project Training Part 1 (online or instructor led), 60-90 minute course</li>
</ul>

<ul>
	<li>The Pillowcase Project Training Part 2 (in person ""teach-backs"")</li>
</ul>

<p>-------------------------------------------------------------------------------</p>

<p><strong>What's in it for you?</strong></p>

<ul>
	<li>Enhance presentation, facilitation and negotiation skills</li>
</ul>

<ul>
	<li>Build knowledge about emergency preparedness and Red Cross services</li>
</ul>

<ul>
	<li>Depending on presenter's skills and willingness, may reach out to various community and youth groups to help promote program</li>
</ul>

<ul>
	<li>For those volunteers who are pursuing a career in education or working with children, this position offers experience teaching in classroom settings and working with youth representing a wide range of demographics</li>
</ul>","The Pillowcase Project is a preparedness education program which teaches children in grades 3 to 5 (ages 8 to 11) personal family preparedness, awareness of local hazards, basic coping skills and home fire safety.","Emergency Preparedness and Response","American Red Cross in Greater New York (NYC)","/opportunities/9921","ongoing","520 W 49th St",,"New York","NY","10019","US","http://www.hoshyoga.org/fellowship/","MANHATTAN","40.764578","-73.993509","104","3","129","1080966","1010770043","Clinton"
"<p>A commitment to inclusion and working together in good spirits.&nbsp;</p>","Build Novel Boats With Us!","<p>HarborLAB will be making an Irish currach from a vinyl billboard ad, an Ethiopian tankwa from invasive phragmites, and more! Come join us! </p>

<p>This project is open to all skill levels! But we especially need:</p>

<p>* Boat builders</p>

<p>* Carpenters and woodworkers </p>

<p>* Handy folks </p>

<p>* Engineers </p>

<p> </p>

<p>* Students/Interns </p>

<p> </p>

<p>* Naturalists </p>

<p> </p>

<p>We will make reed boats from invasive phragmites gathered from parks under the direction of conservationists; faux leather hulled boats from reclaimed wood and used vinyl billboard ads; plastic bottle boats from recycling streams, and more! </p>

<p>Our boats will be showcased at events and used to explore the estuary. </p>","Make boats from different cultures and for eco-education, using invasive plants and reused materials!",,"HarborLAB","/opportunities/9979","ongoing","520 W 49th St",,"New York","NY","10019","US","http://www.hoshyoga.org/fellowship/","MANHATTAN","40.764578","-73.993509","104","3","129","1080966","1010770043","Clinton"
"<p><strong>Volunteer requirements:</strong></p>

<ul>
	<li>Must be at least 21</li>
	<li>Good English speaking + written skills</li>
	<li>Willing to work as part of a collaborative team</li>
	<li>Available to donate
	<ul>
		<li>1 weekday morning, afternoon, evening or weekend shift a week</li>
		<li>1 overnight shift a month</li>
	</ul>
	</li>
	<li>No experience necessary!&nbsp;</li>
</ul>","Volunteer Peer Counselors Needed for NYC 24-Hr Suicide Prevention Hotline","<p>Samaritans of New York operates the city’s 24-hour suicide prevention hotline. Last year, we answered over 75,000 hotline calls. Samaritans is part of a well-established international network of 400 centers in 42 countries where over 20,000 volunteers provide crisis response and emotional support services to people who are in distress, depressed and suicidal.</p>

<p><strong>Samaritans is currently accepting applicants for the October 2019 Hotline Training Class. If you are interested in becoming a Samaritans volunteer, please contact us to attend the upcoming orientation for this class on:</strong></p>

<p><strong>Tuesday, August 20<br />
Wednesday, August 28<br />
Thursday, September 5</strong></p>

<p><strong>Samaritans greatest priority at this time is to find qualified applicants who are available to work weekday mornings or afternoons. Those applicants will receive preferential treatment. </strong></p>

<p><em>To receive a Volunteer Information packet, please email <strong>newvolunteer@samaritansnyc.org </strong>with the <strong>following information:</strong></em></p>

<p><em>-your full name</em></p>

<p><em>-phone number</em></p>

<p><em>-residential street address</em></p>

<p><strong><em>Or:</em></strong></p>

<p><em>-</em><em>Inquire through our website: <strong>http://samaritansnyc.org/volunteer-2/</strong></em></p>

<p><strong><em>- </em></strong><em>Call <strong>212-673-3041</strong> to receive a Volunteer Information Packet by mail</em></p>

<p><em>We look forward to hearing from you!</em></p>","You'll make a significant impact on Samaritans 24-hour emotional support hotline.  Volunteers love the personal satisfaction that comes with helping individuals that truly need and appreciate your compassion and support.","Communities and Neighbors","Samaritans of New York","/opportunities/10014","ongoing","53-21 Vernon Boulevard",,"LIC","NY","11101","US","http://www.hoshkids.org","QUEENS","40.740155","-73.954871","402","26","1","4459315","4000380001","Hunters Point-Sunnyside-West Maspeth"
"<p>Under 18: Proof&nbsp;of MMR, 2 PPD tests, Orientation</p>

<p>18:+ Proof of MMR, 2 PPD test, Orientation, Background check</p>","Summer Volunteer","<p>The New Jewish Home, Manhattan Division has a wide variety of opportunities for high school and college students to volunteer with over the summer vacation.</p>

<p><strong>Please apply online at the following link: <a href=""https://www.volgistics.com/ex/portal.dll/ap?AP=1114206372"">https://www.volgistics.com/ex/portal.dll/ap?AP=1114206372</a></strong></p>

<p>Please mention Volunteer Match &amp; Summer Volunteering in your application</p>

<p>Opportunities vary and we will try our best to meet your interest</p>

<p>Opportunities include but not limited to:</p>

<p>Recreation Assistant (Bingo, Games, Exercise, Arts &amp; Crafts, Nail Spa)<br />
Library Assistant (upkeep of shelving, assisting book selections, assisting computer users)<br />
Clerical/Office Assistant</p>

<p>If you have any questions - Please contact Jessica at JSinovoi@jewishhome.org</p>","The New Jewish Home Manhattan Division has summer opportunities for college students to volunteers.

Please apply online at the following link: https://www.volgistics.com/ex/portal.dll/ap?ap=1114206372

Please mention NYC Service &amp; Summer Volunteering in your application",,"The New Jewish Home, Manhattan","/opportunities/10159","ongoing","Samaritans",,"Manhattan","NY","10003","US","http://www.nyc.gov/aging",,,,,,,,,
"<ul>
	<li>10 or more years business experience</li>
	<li>Ability to use email, and search the Internet,&nbsp;</li>
	<li>Willingness to participate in an orientation program - (approximately 10 four hour sessions )</li>
	<li>Availability &nbsp;for mentoring 12 or more hours a month</li>
	<li>A desire to want to give back in a meaningful way to the business community</li>
</ul>","Business Mentor","<p>SCORE, is a national business mentoring organization with 300+ offices and 11,000+ volunteers. SCORE was founded in 1964 by the US Small Business Administration (SBA). SCORE 's mission is to provide FREE one-on-one confidential business counseling and affordable, skills-based workshops to small business owners and those wishing to start a business.</p>

<p>SCORE NYC is the NY metro area local chapter. We have five convenient offices located in Brooklyn, Bronx and Manhattan. Annually, SCORE NYC assists over 5,000 clients and conducts in excess of 8,000 client mentoring sessions.SCORENYC is actively recruiting VOLUNTEERS in these areas:</p>

<p><strong>Certified Primary Mentors    </strong>10+ years of experience required as a senior executive or the owner of a business with broad-based experience AND able to volunteer 120 hours per year or more.</p>

<p><strong>Professional Specialists </strong>such as an accountant, patent or trademark attorney, insurance broker, social media expert, restaurateur or retailer who can bring specific expertise to the business community.</p>

<p>PLUS volunteers with expertise in the area of Human Resourses, Marketing, Graphic Arts, Event Planning, and Community Outreach.  </p>

<p>READY TO TAKE THE NEXT STEP</p>

<p>Email:  humanresources@scorenyc.org</p>

<p>Please include your resume or career summary, contact info, and availability </p>","Do you have years of operational business experience?

Do you enjoy sharing your business knowledge with others?

Do you have the time to mentor another entrepreneur?

If the answer is YES ,  join our team at SCORE NYC as a Volunteer Business Mentor.",,"Score NYC","/opportunities/10188","ongoing","120 West 106th st",,"New York","NY","10025","US","http://www.harborlab.org","MANHATTAN","40.799905","-73.96447","107","7","189","1081582","1018600020","Upper West Side"
"<p><strong>Hours &amp; Location</strong>: Volunteer hours are from 10:30am to 12:30pm, Monday through Saturday. Volunteers may choose the frequency of their commitment, from a one-time experience to a regular weekly route. The Meal Delivery Program operates out of the Upper East Side location.&nbsp;</p>

<p>We welcome individual, community and corporate groups to volunteer with us!</p>

<p>If you are interested in this opportunity, please e-mail us at<strong>:&nbsp; </strong>volunteer@carterburdencenter.org&nbsp;</p>","Saturday - Meal Delivery volunteers","<p> </p>

<p>Carter Burden Network promotes the well-being of seniors 60 and older through a continuum of services, advocacy, arts and culture, health and wellness and volunteer programs, all oriented to individual, family and community needs. We are dedicated to supporting the efforts of older people to live safely and with dignity.</p>

<p>Volunteers are an integral component of the Carter Burden Network's 40+ years of success.  </p>

<p>The <em>Carter Burden Luncheon Club &amp; Senior Program</em> is looking for eager and passionate volunteers to deliver meals to our Upper East Side home bound senior clients. It is a great opportunity to check up on the senior and converse with them. You're not just delivering a meal, but also a smile!</p>

<p>Please visit  <a href=""http://www.burdencenter.org/"">www.carterburdennetwork.org</a> to learn more. </p>

<p>If you are interested in this opportunity, please e-mail us at<strong>:  </strong>volunteer@carterburdencenter.org </p>","The Carter Burden Network is seeking volunteers to help deliver meals to our Upper East Side homebound seniors.",,"Carter Burden Network","/opportunities/10286","ongoing","312 East 109th Street",,"New York","NY","10029","US","http://www.newyorkcity.score.org","MANHATTAN","40.792306","-73.94048","111","8","170","1074278","1016800045","East Harlem South"
"<ul>
	<li>Ability to write high-engagement social media content that reflects SCORE&#39;s brand</li>
	<li>Excellent communication skills</li>
	<li>Collaborate with Marketing and Clients to develop a variety of content marketing materials</li>
	<li>Produce error-free content that adheres to SCORE&#39;s guidelines</li>
	<li>Ability to work well in a team setting</li>
	<li>Simultaneously manage multiple projects with short deadlines</li>
</ul>","Workshop Committee Volunteer","<p>We are the Workshop Committee for one of the largest chapters of SCORE, a national non-profit organization dedicated to supporting small businesses.  We are in need of a copywriter who can:</p>

<ul>
	<li>Connect with our client base through multiple channels</li>
	<li>Be part of a team responsible for coordinating workshop / events</li>
	<li>repurpose marketing materials for multiple channels of communication</li>
	<li>create / archive workshop descriptions and speaker profiles</li>
	<li>craft direct E-mail pieces for our ""Constant Contact"" application</li>
</ul>

<p>We meet bi-monthly to schedule / promote approximately 150 workshops per year.  Occasionally there are additions and changes with speakers and venues, so flexibility is critical for success in this position.</p>

<p>We are looking for a candidate who is creative, innovative and able to easily adapt to rapid changes in our workshop schedule. The ideal candidate will be comfortable working in a collaborative environment and using data to make marketing / editing decision.  We are focused on providing a best-in-class client experience and you will have a significant role in helping us achieve that goal.</p>","We are in need of a copywriter / workshop volunteer.",,"Score NYC","/opportunities/10190","ongoing","26 Federal Plaza","31st floor - Room 3100","New York","NY","10278","US","http://www.samaritansnyc.org/volunt.html","MANHATTAN","40.716015","-74.004744","101","1","31","1001674","1001560050","SoHo-TriBeCa-Civic Center-Little Italy"
"<p>10 or more hours a week available to volunteer</p>

<p>Clear speaking voice, with good command of English</p>

<p>Basic computer skills</p>

<p>Desire to join a team and give back to the business community</p>","Administrative Assistant","<p>SCORE, is a national business mentoring organization with 300+ offices and 11,000+ volunteers. SCORE was founded in 1964 by the US Small Business Administration (SBA). SCORE 's mission is to provide FREE one-on-one confidential business counseling and affordable, skills-based workshops to small business owners and those wishing to start a business.</p>

<p>SCORE NYC is the NY metro area local chapter. We have five convenient offices located in Brooklyn, Bronx and Manhattan. Annually, SCORE NYC assists over 5,000 clients and conducts in excess of 8,000 client mentoring sessions.</p>

<p>SCORE NYC's volunteer team includes over 80 members with a wide variety of industry experience.</p>

<p>This position is to offer administrative support to all volunteers. </p>","We have an immediate opening for an administrative assistant to support this non-profit organization that mentors small businesses and start-ups. This is a key role because it is often the first point of contact for clients and volunteers visiting or calling into our main offices.",,"Score NYC","/opportunities/10191","ongoing","26 Federal Plaza","31st floor - Room 3100","New York","NY","10278","US","http://Jewishhome.org","MANHATTAN","40.716015","-74.004744","101","1","31","1001674","1001560050","SoHo-TriBeCa-Civic Center-Little Italy"
"<p>Friendly and able to work with strangers. Must be able to comunicate your passion for jewelry - making to others with less experience. Position can be once a week, every two weeks or even once a month.&nbsp;</p>","Volunteer to Teach Making Jewelry","<p>The NYPL's Morris Park Library is looking for a volunteer to teach jewelry making classes, once each week for 1 or 2 hours.</p>

<p>Would you like to share your passion with othres? Day and or time can be flexible. Supplies will be provided.</p>

<p>Please contact Volunteer Manager, Maura Muller at mauramuller@nypl.org to discuss. </p>","Are you crafty? Do you make bracelets, rings or earrings? Would you like to show others how to make jewelry?",,"New York Public Library","/opportunities/10195","ongoing","26 Federal Plaza","31st floor - Room 3100","New York","NY","10278","US","http://www.newyorkcity.score.org","MANHATTAN","40.716015","-74.004744","101","1","31","1001674","1001560050","SoHo-TriBeCa-Civic Center-Little Italy"
"<p>Volunteers are needed Monday - Sunday from 10:30am to 1pm.</p>

<p>We welcome individual, community and corporate groups to volunteer with us!</p>

<p>For more information, please e-mail us at:</p>

<p>volunteer@carterburdencenter.org</p>","Come serve meals to seniors in Upper Manhattan/East Harlem!","<p>Carter Burden Network promotes the well-being of seniors 60 and older through a continuum of services, advocacy, arts and culture, health and wellness and volunteer programs, all oriented to individual, family and community needs.</p>

<p>Every day, seniors gather to socialize and enjoy a hot meal. The Carter Burden Network prides itself on serving restaurant-style meals made in our own kitchens and served on-site to our participants. Volunteers work both in the kitchen and dining room in food preparation, meal distribution, and cleaning capacities.</p>

<p><strong>Volunteers are needed Monday - Sunday from 10:30am to 1pm.</strong></p>

<p>Please visit  <a href=""http://www.burdencenter.org/"">www.carterburdencenter.org</a> to learn more. </p>

<p><strong>For more information, please e-mail us at:</strong></p>

<p>volunteer@carterburdencenter.org</p>","Seniors gather to socialize &amp; enjoy a hot meal daily. The Carter Burden Network prides itself on serving restaurant-style meals made in our own kitchens &amp; served on-site to our participants. Volunteers work in the kitchen &amp; dining room in food preparation, meal distribution, &amp; cleaning capacities.",,"Carter Burden Network","/opportunities/10285","ongoing","985 Morris Park Avenue",,"Bronx","NY","10462","US","http://www.newyorkcity.score.org","BRONX","40.847909","-73.856708","211","13","252","2045398","2041260040","Van Nest-Morris Park-Westchester Square"
"<p>Some data entry and/or office experience helpful, but not necessary.</p>","Data Entry/Office Helper Volunteer Needed!","<p>In order to help support our programs, data entry assistance is needed to track clients/help track progress and for reporting purposes. Other office duties may include assisting with mailings, filing, other administrative tasks to help support our Development office.</p>

<p> </p>

<p>Training provided. Hours are flexible; 2 - 5 hours per week (between Monday and Fridays between 10 - 4 pm).</p>","We have a great need for a Data Entry/Office Help Volunteer.

This Volunteer will assist mostly with data entry help and other light office duties -- some filing, helping with mailings, etc for our Development office.",,"Little Sisters of the Assumption Family Health Service","/opportunities/10987","ongoing","414 W145th St",,"New York","NY","10025","US","http://www.littlesistersfamily.org","MANHATTAN","40.824395","-73.945632","109","7","227","1060950","1020500048","Hamilton Heights"
"<p>EXPERINCE WITH A VIDEO CAMERA SUGGESTED BUT NOT NECESSARY - WE WILL TEACH YOU HOW YOU WORK THE CAMERA,</p>","FILM PERSON","<p>FILM PERSON IS REPONSIBLE FOR FILMING HOME GAMES AND SCOUTING OUR UPCOMING OPPONENTS IN ORDER TO SHOW TO THE TEAM FOR THE UPCOMING GAME</p>","FILM HOME GAMES AND FILM OUR OPPONENTS FOR SCOUTING PURPOSES",,"NEW YORK CITY LIONS YOUTH FOOTBALL LEAGUE","/opportunities/11553","ongoing","1 Centre Street","Suite 2312","New York","NY","10007","US","https://goo.gl/forms/unuyEpj2ST4hpKq92","MANHATTAN","40.713001","-74.004181","101","1","29","1001394","1001210001","Chinatown"
"<p>Mentor Intake: Application - You will be asked to complete an application and provide at least 3 references. Interview - You will be invited to participate in an interview process that includes an interview with our Volunteer Coordinator, followed by a second interview with our Director of Volunteer Services. The purpose of these interviews is to give you a basic orientation, get to know you better and to assess whether this program is right for you and to ensure an appropriate match. Screening - You will be asked to consent to criminal background, child abuse, and DMV checks, and TB and drug testing. Training ? You are required to participate in a 7 hour new mentor training. This is very helpful information which will give you confidence and the know-how to navigate any challenges that may come up.</p>","Mentoring with at-risk youth","<p>Establish a long-term one-on-one relationship with a youth who is in need of a role model, friend and caring adult. Share your world with a youngster by taking him to a baseball game, bringing him to a family cookout, helping him write a poem or taking him fishing for the first time. You might encourage him to aim for college, introduce him to the world of work or listen to his dreams, his hopes and his fears. Our youth come from all 5 Boroughs in NYC, but please note that most Mentoring opportunities take place on our campus in Dobbs Ferry, NY. After a Mentoring relationship is established for a minimum of 3 months special trips off campus maybe approved.</p>","One to one relationship with a youth who is in need of a role model.",,"The Children's Village","/opportunities/10289","ongoing","351 East 74th Street",,"New York","NY","10021","US","https://www.nypl.org/locations/morris-park","MANHATTAN","40.76962","-73.956197","108","5","134","1044930","1014490020","Lenox Hill-Roosevelt Island"
"<p>If you would like to be considered for our School Year 2019-20&nbsp;program, please visit <a href=""https://www.goddard.org/grcc/volunteer/starlearning/"">https://www.goddard.org/grcc/volunteer/starlearning/</a> and fill out the Tutor Application: School Year.&nbsp;</p>

<p>Volunteers must be at least in 10th grade of high school. &nbsp;</p>

<p>&nbsp;</p>","Tutors Needed Grades 2-12","<p>The Star Learning Center is one of over 25 programs of Goddard Riverside Community Center, a leading social services organization in Manhattan. Star is seeking volunteer tutors for our 2019-20 School Year Program, which runs from October through mid-May. Tutors working with high school students taking NYS Regents exams continue into June.</p>

<p>Located on West 84th Street in Manhattan, Star provides one-to-one tutoring for underserved students from 2nd to 12th grade. About 65% of students come from families where Spanish is the primary language spoken at home. Each tutor must be able to commit a two-hour block of time once a week to be matched with a child. Tutors complete a written application form and interview. If matched with a student, the tutor receives an orientation to the Center and to the student before starting.</p>

<p>Tutoring takes place Monday through Friday afternoons. We have evening hours until 7 pm on Mondays and Wednesdays. The full schedule appears on the application.</p>

<p>Interested individuals should visit our web page at https://www.goddard.org/grcc/volunteer/starlearning/ and click on the link for the Tutoring Application: School Year. </p>

<p>Star operates both a School Year and a Summer Program, with separate application processes for each. Approximately 250 students come to Star for weekly tutoring each year. Star also supports its students and families through advocacy, outreach and connection to other Goddard programs that allow each student to reach his or her full potential.</p>

<p>While academics are the major focus at Star, we are concerned about each child and family involved in our program.  It is part of every tutor’s job to try and build a student’s confidence and nurture a love of learning. </p>","Star Learning Center, a program of Goddard Riverside Community Center, is seeking volunteer tutors for the 2019-20 School Year. Located on the UWS of Manhattan, Star provides one-to-one tutoring to underserved children from across NYC. Tutors work with the same student once a week for 2 hours.","Education","Goddard Riverside Community Center","/opportunities/10407","ongoing","1 Echo Hills",,"Dobbs Ferry","NY","10522","US","Http://www.carterburdencenter.org",,,,,,,,,
"<p>Must be at least 18 years of age. &nbsp;Have at-least a High School Diploma;&nbsp;an associate&rsquo;s or bachelor&rsquo;s degree related to a health or fitness field, such as exercise science, kinesiology, or physical education.&nbsp;Prior experience working as a fitness instructor with individuals and groups.</p>

<p>&nbsp;</p>","Fitness Instructor","<p><strong>1) </strong>Explain and enforce safety rules and regulations governing sports, recreational activities, and the use of exercise equipment, if any.<br />
<br />
<strong>2) </strong>Offer alternatives during classes to accommodate different levels of fitness of students.<br />
<br />
<strong>3) </strong>Plan routines, choose appropriate music, and choose different movements for each set of muscles, depending on students' capabilities and limitations.<br />
<br />
<strong>4) </strong>Observe students and inform them of corrective measures necessary for skill improvement.<br />
<br />
<strong>5) </strong>Teach proper breathing techniques used during physical exertion.</p>

<p><strong>6) </strong>Evaluate individuals' abilities, needs, and physical conditions, and develop suitable training programs to meet any special requirements.</p>

<p><strong>7)</strong> Plan physical education programs to promote development of participants' physical attributes and social skills.<br />
<br />
<strong>8)</strong> Provide students with information and resources regarding nutrition, weight control, and lifestyle issues.<br />
<br />
<br />
<br />
 </p>","To deliver a varied, fun, safe, and beneficial fitness program to all students of varying ability. Instruct or coach groups or individuals in exercise activities and the fundamentals of sports. Demonstrate techniques and methods of participation.",,"Rise Up & Walk Youth Outreach Center Inc","/opportunities/10436","ongoing","2090 Adam Clayton Powell Blvd","1st Floor","New York","NY","10027","US","http://www.carterburdennetwork.org","MANHATTAN","40.808639","-73.948582","110","9","222","1058640","1019300030","Central Harlem South"
