"agency","mbpo_organization_dfta_fy_14","brief_program_description","new_applicant","requested_funding","recommended_funding","program_name","address","city","state","zip","borough","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"DOE","Nuyorican Poets Caf̩ Inc.","The Nuyorican Poets Caf̩ will teach arts managers, educators and community leaders how to create slam poetry programs that empower adolescent artists and that gice voice to students and young adults who do not otherwise have access to literary or performance opportunities. ","No","20000.00","3000.00","The Nuyorican Poets Caf̩'s Poetic Outreach Project","236 East 3rd Street","New York","NY","10009","MANHATTAN","40.722274","-73.982048","3","2","2202","1004592","1003850023","Lower East Side                                                            "
"DPR","Outstanding Renewal Enterprises, Inc.","The East River Park Gardening and Beautification project will offer the local community to become stewards of their green open space by cultivating and improving the planted areas of ERP, a 59-acre waterfront park that stretches from East 12th Street to Montgomery Street.","No","5000.00","0.00","East River Park Gardening and Beautification","P.O. Box 20488","New York","NY","10009",,,,,,,,,
"DFTA","Federation of Protestant Welfare Agencies","Our project is Witnessing History: Senior Stories, Student Scribes, which brought high-school students and eldery seniors together to foster inter-generational understanding and literacy skills. Last year, with the support of the Manhattan Community Grants Program, we were able to continue the program and build on its success.","No","7500.00","3000.00","Witnessing History: Senior Stories, Student Scribes","281 Park Avenue South","New York","NY","10010","MANHATTAN","40.739391","-73.986933","5","2","68","1018009","1008770089","Gramercy                                                                   "
"DFTA","Institute for the Puerto Rican/Hispanic Elderly, Inc.","The IPR/HE Bilingual Hotline & Emergency Case Assistance Program, established more than 20 years ago, responds to immediate critical needs of Hispanic and other ethnic/racial minority seniors, and their families, which threaten their safety, health and wellbeing, and home security. Seniors and/or family caregivers/companions are able to call or walk-in at various IPR/HE sites around Manhattan and connect with a highly trained culturally and linguistically competent case worker.","No","50000.00","9200.00","The Bilingual Hotline","105 East 22nd Street, Rm. 711","New York","NY","10010","MANHATTAN","40.739265","-73.986215","5","2","68","1018010","1008780001","Gramercy                                                                   "
"DOE","City Year, Inc. ","City Year New York's afterschool programs provide safe, educational environments, facilitated by 57 idealistic AmeriCorps membrs for 200 unduplicated middle and elementary school youth in five of East Harlem's most underserved schools: Central Park East Middle School, PS57, PS206, PS50, and PS83.","No","5000.00","3000.00","In- School and On-Track in East Harlem","20 West 22nd Street, 3rd Fl.","New York","NY","10010","MANHATTAN","40.741253","-73.990978","5","3","58","1015540","1008230055","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"DOE","New Alternatives for Children, Inc.","NAC's programs have demonstrated that with appropriate interventions and specialized services, urban birth families with significant can safely care for their medically fragile children. Leading to enormous savings in public dollars, while empowering children to learn, attain higher education, gain employment, and contribute to their communities. ","No","20000.00","3000.00","Educational Services (College Bound)","37 West 26th Street","New York","NY","10010","MANHATTAN","40.744179","-73.989902","5","3","58","1015634","1008280009","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"DOE","PENCIL, Inc.","Grant will support the PENCIL partnership programs work in Manhattan. The partnership works to increase student achievement by focusing on five key areas that are proven to increase student achievement; school leadership; family engagement; college and career readiness; student engagement; and school infrastructure. ","No","9500.00","3000.00","PENCIL Partnership Program - Manhattan","30 West 26th Street, 5th Fl. ","New York","NY","10010","MANHATTAN","40.744102","-73.989762","5","3","58","1015629","1008270064","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"DPR","CEC Stuyvesant Cove, Inc.","Family Days is a summer long series of free outdoor art, music, and ecology oriented events at Solar One. The program allow families to experience beauty and diversity in their urban environment and learn about NYC's native plants and animals. ","No","7500.00","0.00","Solar One's Family Days","24-20 FDR Drive Service Road East","New York","NY","10010","MANHATTAN","40.736274","-73.97468","6","4","62",,,"Murray Hill-Kips Bay                                                       "
"DPR","Madison Square Park Conservancy, Inc. ","The conservancy plans four seasonal planting in 52 standalone planters and planting beds surrounding General Worth monument. The project includes the purchasing of horticultural supplies and the planting of bulbs during the fall that will bloom the following spring and summer. ","No","5000.00","0.00","Worth Square Beautification Project","11 Madison Avenue, 28th Fl.","New York","NY","10010","MANHATTAN","40.741617","-73.987449","5","2","56","1088910","1008547501","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"DOHMH","Community Health Project, Inc.","Providing prescriptions and lab tests regardless of cost is critical to providing quality healthcare to our adolescent patients, the majority of whom are extremely marginalized.","No","10000.00","0.00","Health Outreach to Teens (HOTT)","356 West 18th Street","New York","NY","10011","MANHATTAN","40.742905","-74.00227","4","3","83","1013088","1007410063","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"DFTA","Visiting Neighbors, Inc. ","Visiting Neighbors provides vital support services to frail seniors who cannot afford to pay privately for care, but who are just above eligibility levels for Medicaid-funded services. The main services VN provides are friendly visiting, providing relieve to seniors isolation and loneliness which often contribute to illness, depression and accidents. We also do escorts to medical appointments, health advocacy, referrals, help with errands in-home safety checks, telephone reassurance and emergency preparedness.","No","15000.00","10000.00","Support Services to Frail Elderly","80 Eighth Avenue, #412","New York","NY","10011","MANHATTAN","40.739851","-74.002439","4","3","81","1013711","1007640001","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"DOE","Eyebeam Atelier","Digital Day Camp is a summer intensive program for high school youth. The program provides a hands-on learning experience in gaming, electronics, coding, fashion and music with professional artists, technologists and designers. Students will produce final projects that incorporate their new knowledge of both hardware and software tools and present at a free and public reception on August 2, at Eyebeam.","No","5000.00","3000.00","Digital Day Camp","540 West 21st Street","New York","NY","10011","MANHATTAN","40.74697","-74.006475","4","3","99","1076121","1006920053","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"DOE","PS 11 - The William T. Harris School","PS 11 is committed to ensuring the student body has a firm graps on the math and science fundamentals that will lead to college and career readiness. Grant would fund enhancements to our STEM programs. ","Yes","5000.00","0.00","STEM Expansion Project","320 West 21st Street","New York","NY","10011","MANHATTAN","40.744349","-74.000253","4","3","89","1013260","1007440024","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"DOHMH","Love Heals, Inc.","The Leadership Empowerment and Awareness Program for Girls addresses negative sexual and reproductive health outcomes among young women of color in New York City.","Yes","10000.00","4000.00","Leadership Empowerment and Awareness Program for Girls","2 Fifth Avenue, #2Q","New York","NY","10011","MANHATTAN","40.731921","-73.996608","2","1","63","1008850","1005510001","West Village                                                               "
"DOHMH","Transgender Legal Defense & Education Fund, Inc.","The Name Change Project provides legal name changes to Transgender Community Members in Manhattan and elsewhere in NYC by matching them with trained lawyers at private lawfirms to represent them for free during the name change process.","Yes","5000.00","4000.00","The Name Change Project","151 West 19th Street, Suite 1103","New York","NY","10011","MANHATTAN","40.741058","-73.99603","4","3","87","1014726","1007950012","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"DOHMH","Friends In Deed, Inc.","Friends in Deed Continuum Support Program is a combination of services designed to support the emotional and spiritual needs of adults in the NYC Metro area dealing with a life-threatening physical illlness.","Yes","5000.00","0.00","Friends In Deed Continuum Support Program","594 Broadway, Suite 706","New York","NY","10012","MANHATTAN","40.72496","-73.997157","2","1","43","1007944","1005110012","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"DFTA","VISIONS/Services for the Blind - Visually Impaired","VISIONS Center on Aging is the first city-funded center for older adults who are blind in New York City. The center features accessible programs including presentations, exercise, arts, computer training, photography, social services, and a library and radio station. Information is produced in Braille, large print, by email and on audiotapes.","No","15000.00","8000.00","VISIONS Center on Aging","500 Greenwich Street","New York","NY","10013","MANHATTAN","40.725363","-74.009214","2","3","37","1076084","1005957501","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"DOE","Day One NY, Inc.","Day One will conduct co-educational workshops for 500 young people and professionals who work with youth, and will respond to calls from constituents for legal assistance and counseling throughout New York City.","No","10000.00","0.00","Day One","P.O. Box 1507, Canal Street Station","New York","NY","10013",,,,,,,,,
"DOE","Fund for the City of New York (Cafeteria Culture) ","The Arts+Action Cafeteria Waste Reduction program is a 3-month school residency program for grades K-8 at PS 7 M and Global Technical Prep in East Harlem. The program provides urgently needed school cafeteria food and food packaging waste reduction, recycling, and composting education.","Yes","15000.00","0.00","Cafeteria Culture, ARTS+ACTION Cafeteria Waste Reduction Program (PS7 & Global Technical Prep in East Harlem)","121 Avenue of Americas, 6th Fl.","New York","NY","10013","MANHATTAN","40.723903","-74.00469","2","3","37","1083493","1004777501","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"DOE","Tribeca Film Institute","Tribeca Film Institute requests support for Our City, My story, an annual screening of New York City's best student-made films during the Tribeca Film festival. Since its inception in 2005, over 2,500 young people have contributed to this annual evet, which aims to highlight and celebrate the tremendous work our city's young filmmakers are producing.","No","3000.00","0.00","Our City, My Story","375 Greenwich Street","New York","NY","10013","MANHATTAN","40.719704","-74.010242","1","1","39","1002114","1001877501","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"DOHMH","Federation Employment and Guidance Service, Inc.","Support requested for employment and counselingservices for DV victims to help them and their families overcome barriers that that place them at greater risk of continued or increased violence and long-term poverty.","No","20000.00","3000.00","Center for Women and Famalies","315 Hudson Street","New York","NY","10013","MANHATTAN","40.72631","-74.00749","2","3","37","1010362","1005970012","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"DOHMH","God's Love We Deliver, Inc. ","God's Love We Deliver proposes to use the grant to meet partial costs for the provision of 9,025 home-delivered meals for persons living with HIV/AIDS and other life-altering illnesses.","No","25000.00","7500.00","Home-Delivered Meals for Seriously Ill People","166 Avenue of the Americas","New York","NY","10013","MANHATTAN","40.725619","-74.003976","2","3","49","1007816","1005040043","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"DPR","Mary Miss/City as Living Laboratory","1000 Steps (B/CaLL) is an initiative by City as Living Laboratory to educate, spark dialogue, and promote action for sustainable urban life through art/science/community collaboration. ","Yes","5000.00","0.00","Broadway: 1000 Steps","349 Greenwich Street, #5","New York","NY","10013","MANHATTAN","40.718559","-74.010433","1","1","39","1002032","1001807511","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"DOHMH","The Door - A Center of Alternatives, Inc.","The Door has been the DYCD-designated Manhattan's Drop-In-center for runaway and homeless youth since 2009.  Young people have immediate access to crisis councelors and emergency food, clothing, and hygiene services.","No","15000.00","5000.00","Runaway and Homeless Youth Drop-In Center ","121 Avenue of the Americas","New York","NY","10013","MANHATTAN","40.723903","-74.00469","2","3","37","1083493","1004777501","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"DOC","The Center for Alternative Sentencing & Employment","The Manhattan Short-Term Alternatives and Referral to Treatment (START) program will provide 2,040 individuals charged with misdemeanors with targeted short-term services that support reductions in jail days and recidivism. ","No","15000.00","4060.00","The Manhattan Short-Term Alternatives and Referral to Treatment (START) Program","346 Broadway, 3rd Fl. West","New York","NY","10013","MANHATTAN","40.716696","-74.004163","1","1","31","1001835","1001700006","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"DOE","The River Project, Inc. ","The River Project offers hands-on, scientific field trips in Manhattan along the hudson River. Field Trips introduce students to marine science and issues of urban ecology through informative lectures on waterway-related topics, and hadns-on activities at the Picnic House at Pier 40, Pier 61 and Pier 25.","Yes","5500.00","0.00","Environmental Field Trip Program","Pier 40 @ Houston Street","New York","NY","10014","MANHATTAN","40.728613","-74.012137","2","3","69",,,"West Village                                                               "
"DOHMH","Gilda's Club New York City","Gilda's club NYC Teens Connect program is a coed, weekly support group designed for NYC-based teens ages 13-17 who have been impacted by cancer in any way.","No","4800.00","4000.00","Teens Connect: A Program to support Teens living with Cancer in their Family","195 West Houston Street",,,"10014","MANHATTAN","40.728457","-74.003879","2","3","37","1008124","1005200028","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"DOHMH","The Momentum Project, Inc.","The Momentum Project is requesting 4,500 ($2250 per Manhattan site) for our Supplemental Food &  Nutrition program.  The overall purpose of the program is to continue to successfully meet the basic food and nutrition needs of persons living with HIV AIDS and other serious illnesses and to provide a low threshhold gateway to critical services.","No","4500.00","4500.00","Supplemental Food & Nutrition Program for Manhattan Residents in Need of Food Security","154 Christopher Street-Suite 2D","New York","NY","10014",,,,,,,,,
"DOC","Legal Action Center","Reentry Civil Servies Project in Manhattan increases opportunities in employment, vocational training and licensing for low-income individuals with criminal records. We accomplish our goals by helping individuals obtain their New York State criminal record and understand its contents as well as correcting the prevalent errors that can prevent employment.","Yes","10000.00","4060.00","Criminal Justice Re-entry Project","225 Varick Street, 4th Fl.","New York","NY","10014","MANHATTAN","40.729165","-74.00525","2","3","67","1009758","1005810063","West Village                                                               "
"DPR","Children's Museum of the Arts, Inc.","Free Art Island Outpose is a free weekly family art program on Governors Island. Program activities include artist-led workshops in a variety of disciplines, selfiguided art stations, art installations, art exhibits, and screening of child-made films. ","No","4000.00","0.00","Free Art Island Post","103 Charlton Street","New York","NY","10014","MANHATTAN","40.7274","-74.008006","2","3","37","1010378","1005980058","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"DFTA","City Harvest, Inc. ","City Harvest is the world's first and New York City's only food rescue organization, dedicated to feeding the city's hungry seniors, children and families by collecting excess food that would otherwise go to waste. There were more than 800,000 visits by seniors to agencies in Manhattan last year.","No","15000.00","12500.00","Emergency Food Distribution","6 East 32nd Street, 5th Fl.","New York","NY","10016","MANHATTAN","40.746958","-73.985059","5","4","74","1017003","1008610072","Midtown-Midtown South                                                      "
"DFTA","JBI International, Inc.","This unique program enriches the quality of life of people who are visually impaired, blind, and reading disabled by broadening access to and expanding JBI's free library of Audio, Braille and Large Print publications and by reaching out to and responding to the needs of the rapidly growing population of seniors suffering from age-related vision loss.","No","25000.00","7500.00","Access to the written word for the visually impaired and blind","110 East 30th Street","New York","NY","10016","MANHATTAN","40.744277","-73.982522","5","2","72","1018288","1008850082","Murray Hill-Kips Bay                                                       "
"DOE","Fight for Sight, Inc.","Fight for Sight (FFS) Focus on Vision Research (FVR) will be a program in city schools one per borough for high achieving youth, and will offer students insight into current trends in eye and vision research and guidance in planning for a successful research career. The most promising students will garner laboratory experience by participating in an intensive spring practicum.","Yes","5000.00","0.00","Focus on Vision Research (FVR)","381 Park Avenue South, Suite 809","New York","NY","10016","MANHATTAN","40.742534","-73.984641","5","2","68","1018159","1008820085","Gramercy                                                                   "
"DOE","LD Resources Foundation, Inc.","LD Resources Foundation provides access to the most up-to-date technology to low-income college students with learning disabilites.","Yes","2000.00","0.00","Assistive Technology for College-Bound Students with Learning Disabilities","31 East 32nd Street, Suite 607","New York","NY","10016","MANHATTAN","40.746352","-73.983572","5","2","74","1017017","1008620026","Midtown-Midtown South                                                      "
"DOE","PS 116 Manhattan","Our school currently provides curriculum chess to our Kindergarden to our Grade 2 students for one period a week during the school day. ","Yes","5000.00","0.00","Curriculum Chess","210 East 33rd Street","New York","NY","10016","MANHATTAN","40.744838","-73.978116","6","2","70","1020080","1009130007","Murray Hill-Kips Bay                                                       "
"DOE","Publicolor, Inc.","Publicolor begins its work by forming after-school Paint Clubs in low-performing inner city public schools. PAINT club participants transform their own underachieving institutional looking schools from dreary and hopeless to vibrant and stimulating learning environments. ","No","9000.00","3000.00","Paint Club","149 Madison Avenue, Suite 1201","New York","NY","10016","MANHATTAN","40.746333","-73.983991","5","2","74","1016997","1008610057","Midtown-Midtown South                                                      "
"DOE","Reach Out and Read of Greater New York, Inc. ","Reach Out and read serves over 270,000 in the greater New York City region including over 58,000 at 38 hospitals and clinics in manhattan. The program is a pedeatric-based intervention that adresses the literacy need of the City's youngest and neediest populations. ","No","20000.00","3000.00","Reach Out and Read of Greater New York School Readiness Project","30 East 33rd Street, 6th Fl.","New York","NY","10016","MANHATTAN","40.746983","-73.983193","5","2","74","1017020","1008620045","Midtown-Midtown South                                                      "
"DOE","Screen Actors Guild Foundation","Performing Artists for Literacy in Schools is part of the Screen Actors Guild Foundation's award-winning children's literacy initiative. This national program is comprised of 2,200 performing artists who volunteer to read aloud to 60,000 children each month in Title I schools, shelters, and hospitals.","Yes","4000.00","3000.00","Expanding BookPALS' Reach in Early Education ICT Classrooms","260 Madison Avenue, 7th Fl.","New York","NY","10016","MANHATTAN","40.750707","-73.980828","5","4","82","1017230","1008680016","Murray Hill-Kips Bay                                                       "
"DOE","Spanish Theatre Repertory Company, Ltd.","The Dignidad program promotes pride as well as self-esteem by exposing and introducing Latino, as well as non-Latino students, to classic and contemporary Spanish-language plays that inspire positive self-awareness, challenge cultural perceptions and promote cultural exchange.","No","10000.00","0.00","Dignidad! Repertorio's Education Outreach Program","138 East 27th Street","New York","NY","10016","MANHATTAN","40.741886","-73.982599","6","2","68","1018151","1008820060","Gramercy                                                                   "
"DOE","The Dance Ring, Inc. - (dba NY Theatre Ballet)","New York Theatre Ballet's Ballet School NY offers after-school dace classes in its Children's Division for 150 students each year. During the coming year, 25 or more of the children will attend on LIFT scholarships. They are provided with class attire and costumes; trasportaion as needed for them and escorting adults; tutoring; mentoring; books; and clothing.","No","10000.00","3000.00","LIFT Community Services Program","30 East 31st Street","New York","NY","10016","MANHATTAN","40.745729","-73.984056","5","2","74","1016971","1008600057","Midtown-Midtown South                                                      "
"DFTA","Citymeals-on-Wheels","Citymeals delivers food to homebound elderly on weekends and on holidays when their local meal providers are otherwise closed. These box deliveries consist of three shelf stable meals to be consumed over the long holiday weekend. This grant will fund the delivery of 3,380 boxes and over 10,000 meals specifically to the homebound elderly of Manhattan prior to the long Labor Day weekend at the beginning of September 2013.","No","25000.00","10000.00","Labor Day Boxes","355 Lexington Avenue ","New York","NY","10017","MANHATTAN","40.750245","-73.976909","6","4","80","1036147","1012950023","Murray Hill-Kips Bay                                                       "
"DOHMH","The Single Parent Resource center, Inc.","SPRC provides direct, on-sight education and support services to a racially and ethnically diverse population of more than 2,000 single parent families anually, including parents who are seeking re-unification with their children after separation due to substance abuse, incarceration, and/or homelessness.","Yes","9600.00","0.00","The Single Parent Resource Center's Strengthening Families Program","228 East 45th Street, 5th Fl.","New York","NY","10017","MANHATTAN","40.752355","-73.972266","6","4","90","1037578","1013180033","Turtle Bay-East Midtown                                                    "
"DPR","Friends of Dag Hammarskjold Plaza ","The project would introduce recycling of disposibles to Hammarskjold Plaza and make leaf-collection and garden composing more effective. The organization will provide the initial 4 recycling recepticles, build compost bins, and plant more native species while engaging and educating the public in the proces. ","No","6385.00","0.00","Renew, Recycle, Go Green","224 East 47th Street, Rm. 339","New York","NY","10017","MANHATTAN","40.753634","-73.971418","6","4","90","1037605","1013200034","Turtle Bay-East Midtown                                                    "
"DOC","Center for Court Innovation","Times Square Ink and Dads United for Parenting, two on-site programs, serve non-custodial, under- and unemployed fathers, many of whom have a history of court involvement and/or incarceration.","No","5000.00","4060.00","Times Square Ink/Dads United for Parenting","520 - 8th Avenue, 18th Fl.","New York","NY","10018",,,,,,,,,
"DFTA","Jewish Association for Services for the Aged","St. Martin's Tower NORC Supportive Services Program works to provide social services, educational and recreational activities, and healthcare services to adults 55 years and older who live in St. Martin's Tower, as well as their families, and the immediate surrounding community on the Upper West Side.","No","6500.00","5000.00","St. Martin's Tower NORC-SSP","247 West 37th Street, 9th Fl.","New York","NY","10018","MANHATTAN","40.753475","-73.990594","5","3","109","1014454","1007870011","Midtown-Midtown South                                                      "
"DFTA","Jewish Association for Services for the Aged","JASA Club 76 provides a wide variety of programs and services including physical fitness classes, health and wellness activities, drama workshop, and educational lectures of interest to the senior participants, creative art classes, parties, special events, trips, information and referrals for social services, case assistance and entitlement counseling.","No","5000.00","5000.00","JASA Club 76 Senior Center","247 West 37th Street, 9th Fl.","New York","NY","10018","MANHATTAN","40.753475","-73.990594","5","3","109","1014454","1007870011","Midtown-Midtown South                                                      "
"DFTA","Jewish Association for Services for the Aged","The mission of the JASA 1199 NORC SSP is to enable seniors to remain in the homes and community ofr as long as they can with the support they need to be safe, healthy and active citizens. 1199 NORC-SSP was established to provide a variety of social service programs to adults age 60 and over residing the East Harlem community.","No","10000.00","5000.00","1199 Plaza NORC Program","247 West 37th Street, 9th Fl.","New York","NY","10018","MANHATTAN","40.753475","-73.990594","5","3","109","1014454","1007870011","Midtown-Midtown South                                                      "
"DFTA","Jewish Association for Services for the Aged","Franklin Plaza NORC program provides social services, recreatioinal/educational and healthcare services to older adults, 55 years and older, residing at Franklin Plaza Apartments Inc, and within the immediate East Harlem community.","No","5000.00","3000.00","Franklin Plaza NORC","247 West 37th Street, 9th Fl.","New York","NY","10018","MANHATTAN","40.753475","-73.990594","5","3","109","1014454","1007870011","Midtown-Midtown South                                                      "
"DFTA","Jewish Association for Services for the Aged","Sundays at JASA is an educational program involving the humanities, music, art and literature. It is designed for older adults to enjoy high caliber classes and lectures. There are two semesters each year for a total of 26 weeks during which twenty-seven courses are offered.","No","5000.00","3000.00","Sundays at JASA","247 West 37th Street, 9th Fl.","New York","NY","10018","MANHATTAN","40.753475","-73.990594","5","3","109","1014454","1007870011","Midtown-Midtown South                                                      "
"DFTA","Medicare Rights Center, Inc.","During 2013-14, the Medicare Rights Center will reach an estimated 6,500 older Manhattan residents and those with disabilities, their families, and the professionals serving them through counseling sessions, community-based presentations, and assistance enrolling into Medicare low-income programs. The coming year is critical for ensuring that older New Yorkers and those with disabilities can transition seamlessly from the new statewide health insurance exchange to Medicare and navigate new managed long-term care plans.","No","20000.00","8500.00","Medicare Beneficiary Low-Income Enrollment and Counseling","520 Eighth Avenue North Wing, 3rd Fl.","New York","NY","10018","MANHATTAN","40.753612","-73.992417","5","3","109","1083624","1007860001","Midtown-Midtown South                                                      "
"DOE","ArtsConnection, Inc.","Arts Connection is a comprehensive arts-in-education, bringing art to public schools. 165 professional teaching artists provide in-depth instruction in theater, dace, music, and visual arts to students at 100+ schools. ","No","5000.00","3000.00","High 5 Tickets to the Arts","520 Eighth Avenue, Suite 321","New York","NY","10018","MANHATTAN","40.753612","-73.992417","5","3","109","1083624","1007860001","Midtown-Midtown South                                                      "
"DOE","America SCORES New York","America SCORES NY hires, trains, and supports public school teachers in providing a holistic after-school youth development program to students in W. Harlem/Hamilton Heights. Curriculum supports sports, creative writing, and neighborhood advocacy. ","No","5000.00","3000.00","Literacy in Action: Engaging Students in Literacy, Healthy Activities & Community","520 8th Avenue, Suite 201C","New York","NY","10018","MANHATTAN","40.753612","-73.992417","5","3","109","1083624","1007860001","Midtown-Midtown South                                                      "
"DOE","Center for Arts Education, Inc.","Parents As Art Partners is a school-based initiative that increases parent engagement and opportunities for student success in school through high-quality family arts workshops . The program operates in schools across NYC and three in Manhattan. ","No","5000.00","3000.00","Manhattan Parents as Arts Partners","266 West 37th Street, 9th Fl.","New York","NY","10018","MANHATTAN","40.753632","-73.991009","5","3","109","1083624","1007860001","Midtown-Midtown South                                                      "
"DOE","Chess-in-the-Schools, Inc. ","Chess-in-the-school scholastic tournaments offer high-level chess competition in NYC. Held at public schools throughout NYC, the events draw children from kindergartens through high school. ","No","10000.00","3000.00","Manhattan Borough President's Cup","520 Eighth Avenue, Floor 2","New York","NY","10018","MANHATTAN","40.753612","-73.992417","5","3","109","1083624","1007860001","Midtown-Midtown South                                                      "
"DOE","Girls Write Now, Inc. ","GWN's flagship Mentoring Program operates by a model we have remained true to since inception: weekly pairings between professional women writers and teenage girls, bolstered by monthly, genre-based workshops, public readings, and annual publication.","No","5000.00","5000.00","Girls Write Now Mentoring Program","247 West  37th , Suite 1800",,,"10018",,,,,,,,,
"DOE","Settlement Housing Fund","Semiperm's Book Club for Kids program encourages children to read in a creative and fun environment. With the support of dedicated volunteers, and with the participation of parents, the Book Club provides up to 12 elementary and middle school children from the P.S. 75 school zone wiht one-on-one reading mentors.","Yes","2760.00","3000.00","Semiperm Book Club for Kids","247 West  37th Street, 4th Fl.","New York","NY","10018","MANHATTAN","40.753475","-73.990594","5","3","109","1014454","1007870011","Midtown-Midtown South                                                      "
"DOE","The Horticultural Society of New York","Initiated in 1989, Apple Seed is an interdisciplinary program currently serving 434 very low-income students at 5 elementary schools in West, Central, and East Harlem. Typically, our instructors provide 10 weekly, 60-minute sessions during school hours. Some schools, however, request as much as 30 weekly sessions; others perfer us to conduct an on-site, after-school program. ","Yes","10000.00","3000.00","Apple Seed","148 West 37th Street, 13th Fl.","New York","NY","10018","MANHATTAN","40.752465","-73.988237","5","3","109","1015249","1008120069","Midtown-Midtown South                                                      "
"DOHMH","Adaptive Design Association, Inc. ","ADA will construct aprox. 600 customized adaptions for 300 children with disabilities, so they can participate more fully at home, schools and commumity life.","No","3500.00","3500.00","Adaptive Equipment for Children with Disabilities","313 West 36th Street","New York","NY","10018","MANHATTAN","40.753769","-73.993189","4","3","111","1013596","1007600032","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"DOHMH","MCCNY Charities, Inc.","Funds will be used to support MCCNY LGBTQI Mental health Clinic.  Services provided include mental health counseling and screening, brief intervention and referrrals, mental health first aid, substance abuse counseling, enhanced HIV testing and entitlement assistence. ","No","10000.00","4000.00","LGBTQI Mantal Health Clinic","446 West 36th Street","New York","NY","10018","MANHATTAN","40.755509","-73.997387","4","3","111","1012876","1007330062","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"DOHMH","New Destiny Housing Corporation","Housing Link works with families and individuals using the city's homeless shelters to scape domestic violence, individuals who are at risk of homelessness because of domestic violence, and providers who offer services to victims of abuse.  Housinglink annually assists at least 2300 survivors and advocates through its helpline and workshops. ","No","5000.00","0.00","HousingLink","12 West 37th Street","New York","NY","10018","MANHATTAN","40.750639","-73.983899","5","4","84","1015942","1008380058","Midtown-Midtown South                                                      "
"DOHMH","New York Council on Adoptable Children ","COAC request $10,000 for Helping Hands a support program for HIV Positive parents and their families that helps plan for their children's future care.","No","10000.00","4500.00","Helping Hands","589 Eight Avenue, 15th Fl.","New York","NY","10018",,,,,,,,,
"DOHMH","New York Youth at Risk","The Youth At Risk Young Parents Division helps young parents age 15-24 from disadvantaged backgrounds - including youth who have been in foster care adopt parenting practices that will enable them to inpart values to their children that will the family to break generational cycles of poverty, limited education, and chronic unemployment.","No","5000.00","4500.00","Youth at Risk Young Parents Division Co-Parenting Program","25 West 36th Street, 8th Fl.","New York","NY","10018","MANHATTAN","40.750258","-73.98487","5","4","84","1015927","1008380027","Midtown-Midtown South                                                      "
"DOHMH","Rauschenbusch Metro Ministries","HKFP aims to create a more food secure community through collaborative farming, nutrition education (workshops and youth after-school programs) and a Community Supported Agriculture Program (Afordable Fresh Produce).","Yes","4983.00","0.00","Food Program Enhancement Project","410 West 40th Street","New York","NY","10018","MANHATTAN","40.757332","-73.99403","4","3","115","1013005","1007370043","Clinton                                                                    "
"DPR","CHEKPEDS, Inc.","Dyer Avenue Greening consists of converting underused lanes of traffic and parking at the entrance of the Lincoln Tunnel in green space. ","No","9500.00","0.00","Dyer Avenue Greening","438 West 38th Street, Suite 12B","New York","NY","10018","MANHATTAN","40.756624","-73.996185","4","3","111","1012981","1007350060","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"DFTA","Encore Community Services","Encore Community Services was one of only four nonprofit organizations in Manhattan awarded a contract from the NYC Department for the Aging to deliver meals to homebound seniors living on the Westside of midtown. This contract transformed the operation of Encore's meal preparation and service delivery systems in therms of dramatically increasing the quantity, quality and choices of meals procided to seniors, in addition to significantly expanding its catchment area.","No","9500.00","9500.00","Home-Delivered Meals","239 West 49th Street","New York","NY","10019","MANHATTAN","40.761143","-73.985312","5","3","125","1024789","1010210009","Midtown-Midtown South                                                      "
"DFTA","Housing Conservation Coordinators, Inc.","HCC provides free legal and advocacy services to lower income seniors on a range of matters, including landlord/tenant, consumer debt, benefit and disability, immigration and domestic violence/elder abuse and end of life matters such as wills, powers of attorney, health care proxies, directives and living wills.","No","25000.00","9000.00","Senior Legal Services and Advocacy Project","777 Tenth Avenue","New York","NY","10019","MANHATTAN","40.766197","-73.990701","4","3","135","1088298","1010817503","Clinton                                                                    "
