"bronx_condominium_property_boro_block_lot","bronx_condominium_property_condo_section","bronx_condominium_property_address","borough","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","bronx_condominium_property_neighborhood","bronx_condominium_property_building_classification","bronx_condominium_property_total_units","bronx_condominium_property_year_built","bronx_condominium_property_gross_sqft","bronx_condominium_property_est_gross_income","bronx_condominium_property_gross_income_per_sqft","bronx_condominium_property_full_market_value","bronx_condominium_property_market_value_per_sqft","_comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_est_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_dist_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_est_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_dist_from_coop_in_miles"
"2-05857-7501","19-R1","5775 MOSHOLU AVENUE
Bronx, New York 
(40.905590353715, -73.898171971109)","2","10471","40.905496","-73.897969","8","11","345","2084943","2058577501","North Riverdale-Fieldston-Riverdale                                        ","RIVERDALE","R4-ELEVATOR","68","1962","71146","1067190","15","4230003","59","2-03612-0013","2155 VIRGIL PLACE
Bronx, New York 
(40.822348788595, -73.850239575603)","CASTLE HILL/UNIONPORT","D1-ELEVATOR","79","1982","65520","1272181","19.42","3590000","55","6.2","2-05909-0825","600 246 STREET
Bronx, New York 
(40.892626839154, -73.909948914284)","RIVERDALE","D3-ELEVATOR","403","1958","443283","8181864","18.46","33300000","75","1.2"
"2-04340-7502","17-R1","2385 BARKER AVENUE
Bronx, New York 
(40.861122633991, -73.869482994582)","2","10467","40.860836","-73.869467","11","15","33201","2049876","2043407502","Bronxdale                                                                  ","BRONXDALE","R4-ELEVATOR","122","1960","127290","837568","6.58","2570010","20.19","2-04338-0012","660 THWAITES PLACE
Bronx, New York 
(40.858845897175, -73.869087756)","BRONXDALE","D1-ELEVATOR","108","1954","137350","904026","6.58","2780000","20.24","0.15","2-04337-0064","620 REISS PLACE
Bronx, New York 
(40.858184477605, -73.870607879687)","BRONXDALE","D1-ELEVATOR","74","1959","86527","623376","7.2","1910000","22.07","0.15"
"2-05789-7501","32-R1","3220 FAIRFIELD AVENUE
Bronx, New York 
(40.884571986031, -73.913586510145)","2","10463","40.884844","-73.913472","8","11","297","2088687","2057897501","Spuyten Duyvil-Kingsbridge                                                 ","RIVERDALE","R4-ELEVATOR","32","1989","30743","476516","15.5","1940002","63","2-05851-2105","6425 BROADWAY
Bronx, New York 
(40.825576999979, -73.918448999722)","RIVERDALE","D3-ELEVATOR","55","1974","48100","746149","15.51","3030000","63","1.55","2-05907-0348","3725 BLACKSTONE AVENUE
Bronx, New York 
(40.888932645311, -73.911592854676)","RIVERDALE","D1-ELEVATOR","42","1968","41803","582915","13.94","2310000","55","0.3"
"2-03311-7501","34-R1","3130 GRAND
Bronx, New York 
(40.825576999979, -73.918448999722)","2",,,,,,,,,,"BEDFORD PARK/NORWOOD","R9-CONDOPS","110","1968","79920","852746","10.67","2880000","36","2-03307-0072","3010 GRAND
Bronx, New York 
(40.825576999979, -73.918448999722)","BEDFORD PARK/NORWOOD","D7-ELEVATOR","96","1963","106146","1142428","10.76","3860000","36.4","0.15","2-03285-0019","2976 MARION AVENUE
Bronx, New York 
(40.869575835091, -73.883264102385)","BEDFORD PARK/NORWOOD","D1-ELEVATOR","62","1950","67930","653295","9.62","2210000","32.5","0.4"
"2-05923-7501","6-R1","4455 DOUGLAS AVENUE
Bronx, New York 
(40.888921447901, -73.91687613153)","2","10471","40.888974","-73.916845","8","11","309","2096857","2059237501","North Riverdale-Fieldston-Riverdale                                        ","RIVERDALE","R4-ELEVATOR","177","1955","292370","5116475","17.5","20799991","71","2-05909-0825","600 246 STREET
Bronx, New York 
(40.892626839154, -73.909948914284)","RIVERDALE","D3-ELEVATOR","403","1958","443283","8181864","18.46","33300000","75","0.3","2-05722-0475","2600 NETHERLAND AVENUE
Bronx, New York 
(40.87884073942, -73.916759477415)","RIVERDALE","D7-ELEVATOR","608","1975","844578","14462885","17.12","58800000","70","0.85"
"2-03944-7501","2-R1","9 METROPOLITAN OVAL
Bronx, New York 
(40.838863175254, -73.859930005413)","2","10462","40.838831","-73.860067","9","18","21001","2096779","2039447501","Parkchester                                                                ","PARKCHESTER","R4-ELEVATOR","3857","1955","3801490","31134203","8.19","95600027","25.1","2-03895-0001","1500 NOBLE AVENUE
Bronx, New York 
(40.836597959481, -73.871325612634)","PARKCHESTER","D1-ELEVATOR","238","1965","265625","2239219","8.43","7380000","27.8","0.65",,,,,,,,,,,,
"2-03944-7501","2-R2","1722 PURDY STREET
Bronx, New York 
(40.840785931745, -73.854287730012)","2","10462","40.841133","-73.85455","9","18","21001","2096762","2039627501","Parkchester                                                                ","PARKCHESTER","R4-ELEVATOR","128","1955","109764","898967","8.19","2759988","25.1","2-03895-0001","1500 NOBLE AVENUE
Bronx, New York 
(40.836597959481, -73.871325612634)","PARKCHESTER","D1-ELEVATOR","238","1965","265625","2239219","8.43","7380000","27.8","0.9",,,,,,,,,,,,
"2-05643-7501","60-R1","190 FORDHAM STREET
Bronx, New York 
(40.847701570132, -73.784352831672)","2","10464","40.847655","-73.784647","10","13","516","2082595","2056437501","Pelham Bay-Country Club-City Island                                        ","CITY ISLAND","R2-WALK-UP","16","1897","16605","180994","10.9","637998","38.4","2-05388-0009","1564 MAYFLOWER AVENUE
Bronx, New York 
(40.842512864572, -73.834697854936)","SCHUYLERVILLE/PELHAM BAY","C1-WALK-UP","13","1931","10100","92516","9.16","305000","30.2","2.65","2-05394-0014","1527 PLYMOUTH AVENUE
Bronx, New York 
(40.842555432655, -73.832017700828)","SCHUYLERVILLE/PELHAM BAY","C1-WALK-UP","23","1931","17400","189567","10.89","668000","38.4","2.6"
"2-02516-7501","73-R1","1209 NELSON AVENUE
Bronx, New York 
(40.837850419607, -73.92532146511)","2","10452","40.837764","-73.92534","4","16","199","2113542","2025167501","Highbridge                                                                 ","HIGHBRIDGE/MORRIS HEIGHTS","R4-ELEVATOR","28","2005","24262","396198","16.33","1609988","66","2-02474-0051","845 WALTON AVENUE
Bronx, New York 
(40.826293794275, -73.924682760231)","MELROSE/CONCOURSE","C1-WALK-UP","20","1910","17750","292343","16.47","1190000","67","0.75","2-02691-0122","1022 REV JAMES POLITE AVE
Bronx, New York 
(40.823906296766, -73.898833754444)","MORRISANIA/LONGWOOD","D1-ELEVATOR","68","2003","29175","312464","10.71","882000","30.2","1.7"
"2-05745-7501","28-R1","2521 PALISADE AVENUE
Bronx, New York 
(40.880759467455, -73.922278885436)","2","10463","40.881059","-73.922066","8","11","29301","2087530","2057457501","Spuyten Duyvil-Kingsbridge                                                 ","RIVERDALE","R4-ELEVATOR","36","1986","62350","779375","12.5","2929999","47","2-03156-0141","210 181 STREET
Bronx, New York 
(40.825576999979, -73.918448999722)","FORDHAM","D7-ELEVATOR","78","1955","78750","764368","9.71","2520000","32","2.3","2-05792-0430","530 236 STREET
Bronx, New York 
(40.886395819768, -73.908274631718)","RIVERDALE","D7-ELEVATOR","86","1954","103392","1327517","12.84","4990000","48.3","0.75"
"2-04174-7501","66-R1","1600 PARKVIEW AVENUE
Bronx, New York 
(40.845108325511, -73.826716542014)","2","10461","40.84531","-73.826884","10","13","26602","2046202","2041747501","Pelham Bay-Country Club-City Island                                        ","SCHUYLERVILLE/PELHAM BAY","R4-ELEVATOR","21","2003","16688","260332","15.6","1059999","64","2-04153-0008","1632 HUTCH RIVER PARKWAY
Bronx, New York 
(40.825576999979, -73.918448999722)","SCHUYLERVILLE/PELHAM BAY","D1-ELEVATOR","44","2002","41800","652916","15.62","2660000","64","0.5",,,,,,,,,,,,
