"queens_cooperatives_comparable_properties_boro_block_lot","queens_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","queens_cooperatives_comparable_properties_neighborhood","queens_cooperatives_comparable_properties_building_classification","queens_cooperatives_comparable_properties_total_units","queens_cooperatives_comparable_properties_year_built","queens_cooperatives_comparable_properties_gross_sqft","queens_cooperatives_comparable_properties_est_gross_income","queens_cooperatives_comparable_properties_gross_income_per_sqft","queens_cooperatives_comparable_properties_full_market_value","queens_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_est_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_dist_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_est_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_dist_from_coop_in_miles"
"4-11466-0025","88 32 155 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11414","40.665862","-73.846602","10","32","6201","4435022","4114660025","Lindenwood-Howard Beach                                                    ","HOWARD BEACH","C6-WALK-UP","80","1958","74104","896000","12.09","2520000","34","4-12311-0050","156 01 NORTH CONDUIT AVEN
Queens, NY 
(40.749436300045, -73.797299799846)","SPRINGFIELD GARDENS","C9-WALK-UP","46","1972","31365","565076","18.02","2110000","67","3.55","4-11545-0026","94 20 ALBERT ROAD
Queens, NY 
(40.749436300045, -73.797299799846)","OZONE PARK","C1-WALK-UP","36","1967","20646","321230","15.56","1090000","53","0.45"
"4-06690-0001","78 31 147 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4","11367","40.719834","-73.815955","8","24","77904","4144767","4066900001","Kew Gardens Hills                                                          ","FLUSHING-SOUTH","C6-WALK-UP","60","1949","43345","533580","12.31","1500000","34.6","4-06672-0058","79 04 147 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-SOUTH","C9-WALK-UP","45","1948","33921","417481","12.31","1170000","34.5","0.1","4-06683-0036","147 15 75 ROAD
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-SOUTH","C9-WALK-UP","36","1951","28690","354437","12.35","996000","34.7","0.35"
"4-01188-0055","60 11
Queens, NY 
(40.749436300045, -73.797299799846)","4",,,,,,,,,,"WOODSIDE","D4-ELEVATOR","130","1962","131412","2069739","15.75","7000000","53","4-01304-0021","40 19 72 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","ELMHURST","D1-ELEVATOR","50","1965","30618","718143","23.45","2970000","97","0.6","4-01305-0001","73 01 73 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","ELMHURST","D1-ELEVATOR","40","1950","25000","515218","20.61","1930000","77","0.65"
"4-02112-0001","63 61 99 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4",,,,,,,,,,"REGO PARK","D4-ELEVATOR","100","1947","115800","1621200","14","5050000","43.6","4-02121-0051","102 45 62 ROAD
Queens, NY 
(40.749436300045, -73.797299799846)","FOREST HILLS","D1-ELEVATOR","122","1956","103400","1515611","14.66","5120000","49.5","0.25","4-02139-0026","68 64
Queens, NY 
(40.749436300045, -73.797299799846)","FOREST HILLS","D1-ELEVATOR","112","1941","132960","2467803","18.56","9230000","69","0.6"
"4-01290-0013","37 16 80 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4",,,,,,,,,,"JACKSON HEIGHTS","D4-ELEVATOR","44","1921","56840","775866","13.65","2420000","42.6","4-02102-0001","64 33 98 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","REGO PARK","D7-ELEVATOR","302","1938","312876","4380264","14","13600000","43.5","2","4-02117-0001","99 19 66 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","REGO PARK","D7-ELEVATOR","312","1939","338016","4049211","11.98","11400000","33.7","2.2"
"4-00198-0019","47 25 40 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4",,,,,,,,,,"SUNNYSIDE","D4-ELEVATOR","54","1939","48000","655200","13.65","2040000","42.5","4-00184-0009","41 29 41 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","SUNNYSIDE","D1-ELEVATOR","50","1937","40800","532470","13.05","1660000","40.7","0.4","4-00184-0014","41 19 41 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","SUNNYSIDE","D1-ELEVATOR","49","1937","40800","635900","15.59","2150000","53","0.4"
"4-00654-0024","24 75 38 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4",,,,,,,,,,"ASTORIA","C6-WALK-UP","49","1929","29328","369532","12.6","1040000","35.5","4-00649-0009","31 77 36 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","ASTORIA","C1-WALK-UP","24","1927","21240","264862","12.47","744000","35","0.55","4-00664-0005","28 35 41 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","ASTORIA","C1-WALK-UP","35","1931","28980","434160","14.98","1470000","51","0.2"
"4-05023-0024","143 40 ROOSEVELT AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11354","40.761368","-73.822998","7","20","855","4113657","4050230024","Flushing                                                                   ","FLUSHING-NORTH","D4-ELEVATOR","91","1962","89776","1131000","12.6","3180000","35.4","4-05025-0001","144 15 41 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-NORTH","D1-ELEVATOR","111","1962","129838","1629941","12.55","4580000","35.3","0.15","4-05049-0027","41 40 PARSONS BOULEVARD
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-NORTH","D1-ELEVATOR","50","1954","40000","511352","12.78","1590000","39.8","0.15"
"4-06494-0003","69 42 JEWEL AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","4",,,,,,,,,,"FLUSHING-SOUTH","C6-WALK-UP","280","1950","227464","2957035","13","9210000","40.5","4-06793-0126","154 02 71 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-SOUTH","C9-WALK-UP","180","1952","147558","1923050","13.03","5990000","40.6","0.85","4-07452-0033","201 01
Queens, NY 
(40.749436300045, -73.797299799846)","BAYSIDE","C9-WALK-UP","14","1948","12785","170648","13.35","531000","41.5","3.05"
"4-01238-0025","52 30 39 DRIVE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11377","40.747172","-73.91107","2","26","251","4431299","4012380025","Woodside                                                                   ","WOODSIDE","D4-ELEVATOR","442","1963","441929","5104279","11.55","14300000","32.4","4-00903-0007","26 45 9 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","ASTORIA","D1-ELEVATOR","108","1972","131250","2092491","15.94","7070000","54","2.15","4-15960-0060","40 22 BEACH CHANNEL DRIVE
Queens, NY 
(40.749436300045, -73.797299799846)","ARVERNE","D3-ELEVATOR","353","1972","334586","6500000","19.43","13800000","41.2","12.6"
"4-09836-0022","164 20 HIGHLAND AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11432","40.710365","-73.799515","8","24","44602","4210417","4098360022","Jamaica                                                                    ","JAMAICA","D4-ELEVATOR","165","1958","115312","1450000","12.57","4070000","35.3","4-09950-0009","182 30 WEXFORD TERRACE
Queens, NY 
(40.749436300045, -73.797299799846)","JAMAICA ESTATES","D1-ELEVATOR","218","1964","184896","3173629","17.16","11900000","64","1.05","4-09954-0066","185 01 HILLSIDE AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","JAMAICA ESTATES","D1-ELEVATOR","125","1961","95040","1517251","15.96","5130000","54","1.2"
"4-04742-0022","158 06 CROSS ISLAND PKWY
Queens, NY 
(40.749436300045, -73.797299799846)","4","11357","40.78587","-73.804119","7","19","1029","4443386","4047420022","Whitestone                                                                 ","WHITESTONE","C6-WALK-UP","12","1951","10700","146066","13.65","455000","42.5","4-04229-0012","23 39 125 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","COLLEGE POINT","C1-WALK-UP","12","1950","10200","139354","13.66","434000","42.5","2.1","4-04292-0060","119 58 27 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","COLLEGE POINT","C1-WALK-UP","30","1966","17493","226320","12.94","705000","40.3","2.4"
"4-09714-0152","141 60 84 ROAD
Queens, NY 
(40.749436300045, -73.797299799846)","4","11435","40.712731","-73.816274","8","24","22002","4207809","4097140152","Briarwood-Jamaica Hills                                                    ","BRIARWOOD","D4-ELEVATOR","79","1955","68796","965000","14.03","3010000","43.8","4-09712-0151","141 40 84 DRIVE
Queens, NY 
(40.749436300045, -73.797299799846)","BRIARWOOD","D1-ELEVATOR","72","1952","55722","849192","15.24","2870000","52","0.2","4-09710-0094","139 21 86 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","BRIARWOOD","D1-ELEVATOR","60","1959","38394","648468","16.89","2420000","63","0.25"
"4-04747-0038","157 58 17 ROAD
Queens, NY 
(40.749436300045, -73.797299799846)","4","11357","40.782606","-73.803703","7","19","1029","4107653","4047470038","Whitestone                                                                 ","WHITESTONE","C6-WALK-UP","11","1961","4200","76500","18.21","286000","68","4-05964-0001","28 16
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-NORTH","C1-WALK-UP","24","1950","14379","259942","18.08","972000","68","0.9","4-06268-0001","204 02 43 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","BAYSIDE","C9-WALK-UP","27","1948","20400","375392","18.4","1400000","69","2.1"
"4-05315-0001","193 15 37 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11358","40.762658","-73.78895","11","19","1139","4120088","4053150001","Auburndale                                                                 ","FLUSHING-NORTH","C6-WALK-UP","11","1951","10612","144800","13.64","451000","42.5","4-04229-0012","23 39 125 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","COLLEGE POINT","C1-WALK-UP","12","1950","10200","139354","13.66","434000","42.5","3","4-06227-0338","211 01 42 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","BAYSIDE","C9-WALK-UP","54","1951","44928","613927","13.66","1910000","42.5","0.8"
"4-01580-0037","86 25 DONGAN AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11373","40.740868","-73.878543","4","25","471","4039444","4015800037","Elmhurst                                                                   ","ELMHURST","D4-ELEVATOR","31","1937","24444","283550","11.6","797000","32.6","4-01516-0049","42 29 JUDGE STREET
Queens, NY 
(40.749436300045, -73.797299799846)","ELMHURST","D1-ELEVATOR","41","1941","32070","446736","13.93","1390000","43.3","0.25","4-01518-0044","42 54 JUDGE STREET
Queens, NY 
(40.749436300045, -73.797299799846)","ELMHURST","D1-ELEVATOR","41","1939","32550","549284","16.88","2050000","63","0.15"
"4-01280-0051","35 47 80 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4",,,,,,,,,,"JACKSON HEIGHTS","C6-WALK-UP","11","1917","13420","174460","13","543000","40.5","4-01282-0191","37 14 72 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","JACKSON HEIGHTS","C1-WALK-UP","16","1926","10208","142912","14","445000","43.6","0.5","4-01282-0193","37 18 72 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","JACKSON HEIGHTS","C1-WALK-UP","16","1926","10208","165369","16.2","559000","55","0.5"
"4-03254-0020","2 STATION SQUARE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11375","40.719241","-73.845325","6","29","737","4077888","4032540020","Forest Hills                                                               ","FOREST HILLS","C6-WALK-UP","32","1930","22450","364000","16.21","1230000","55","4-03205-0024","68 50 BURNS STREET
Queens, NY 
(40.749436300045, -73.797299799846)","FOREST HILLS","D1-ELEVATOR","20","1931","24408","396813","16.26","1340000","55","0.4","4-03329-0064","118 53 METROPOLITAN AVENU
Queens, NY 
(40.749436300045, -73.797299799846)","KEW GARDENS","C1-WALK-UP","19","1926","11562","188437","16.3","637000","55","0.95"
"4-07648-0002","224 02
Queens, NY 
(40.825439241686, -72.940573126082)","4",,,,,,,,,,"OAKLAND GARDENS","C6-WALK-UP","168","1948","132300","1766200","13.35","5500000","41.6","4-07452-0033","201 01
Queens, NY 
(40.749436300045, -73.797299799846)","BAYSIDE","C9-WALK-UP","14","1948","12785","170648","13.35","531000","41.5","1.25","4-07453-0033","202 01
Queens, NY 
(40.827777078143, -72.939210978884)","BAYSIDE","C9-WALK-UP","14","1948","12785","170648","13.35","531000","41.5","1.2"
"4-01291-0064","37 21 80 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4",,,,,,,,,,"JACKSON HEIGHTS","D4-ELEVATOR","101","1928","83000","1079000","13","3360000","40.5","4-01312-0010","72 10 41 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","ELMHURST","D1-ELEVATOR","143","1955","128535","1745606","13.58","5440000","42.3","0.5","4-01292-0069","37 15 81 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","JACKSON HEIGHTS","D1-ELEVATOR","59","1925","49862","787238","15.79","2660000","53","0.05"
"4-08441-0001","73 43 255 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4","11004","40.74847","-73.718098","13","23","155102","4460922","4084410001","Glen Oaks-Floral Park-New Hyde Park                                        ","GLEN OAKS","C6-WALK-UP","188","1948","145244","0","0","6950000","47.9","4-05295-0047","36 03 168 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-NORTH","C1-WALK-UP","16","1928","12580","149031","11.85","419000","33.3","4.3","4-06691-0011","79 04 149 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-SOUTH","C9-WALK-UP","42","1950","30981","351640","11.35","912000","29.4","5.5"
"4-06669-0007","144 04 77 ROAD
Queens, NY 
(40.749436300045, -73.797299799846)","4","11367","40.720801","-73.818268","8","24","77904","4144355","4066690007","Kew Gardens Hills                                                          ","FLUSHING-SOUTH","C6-WALK-UP","36","1948","40480","500330","12.36","1410000","34.8","4-06277-0002","42 11 CORPORAL KENNEDY ST
Queens, NY 
(40.749436300045, -73.797299799846)","BAYSIDE","C9-WALK-UP","219","1951","208345","2574475","12.36","7230000","34.7","3.65","4-06021-0029","198 39 JORDAN STREET
Queens, NY 
(40.749436300045, -73.797299799846)","BAYSIDE","C1-WALK-UP","42","1924","36000","459036","12.75","1430000","39.7","3.65"
"4-03233-0001","6 BURNS STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4",,,,,,,,,,"FOREST HILLS","D4-ELEVATOR","122","1920","90141","1465700","16.26","4960000","55","4-03205-0024","68 50 BURNS STREET
Queens, NY 
(40.749436300045, -73.797299799846)","FOREST HILLS","D1-ELEVATOR","20","1931","24408","396813","16.26","1340000","55","0.3","4-03173-0055","103 11 68 DRIVE
Queens, NY 
(40.749436300045, -73.797299799846)","REGO PARK","D1-ELEVATOR","80","1957","84174","1440619","17.11","5390000","64","0.45"
"4-01506-0062","41 67 JUDGE STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4","11373","40.744967","-73.881953","4","25","26902","4037224","4015060062","Elmhurst                                                                   ","ELMHURST","D4-ELEVATOR","123","1963","100332","1163851","11.6","3270000","32.6","4-01475-0001","87 10 37 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","JACKSON HEIGHTS","D1-ELEVATOR","88","1954","100000","1217908","12.18","3420000","34.2","0.3","4-01448-0032","87 07 35 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","JACKSON HEIGHTS","D1-ELEVATOR","84","1951","79012","916724","11.6","2580000","32.7","0.55"
"4-07347-0007","47 28 215 PLACE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11361","40.756816","-73.765521","11","19","1441","4451659","4073470020","Bayside-Bayside Hills                                                      ","BAYSIDE","C6-WALK-UP","39","1950","29450","496200","16.85","1850000","63","4-07117-0006","194 05 67 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","FRESH MEADOWS","C9-WALK-UP","411","1950","410788","6920088","16.85","25900000","63","1.3","4-06266-0001","205 02 42 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","BAYSIDE","C9-WALK-UP","27","1948","20400","336886","16.51","1140000","56","0.7"
"4-02874-0055","86 05 60 ROAD
Queens, NY 
(40.749436300045, -73.797299799846)","4","11373","40.730248","-73.872786","6","29","687","4065248","4028740055","Rego Park                                                                  ","MIDDLE VILLAGE","D4-ELEVATOR","68","1964","57816","858600","14.85","2900000","50","4-02474-0021","51 25 VAN KLEECK STREET
Queens, NY 
(40.749436300045, -73.797299799846)","ELMHURST","D1-ELEVATOR","76","1960","65000","965288","14.85","3260000","50","0.6","4-03078-0065","62 65 SAUNDERS STREET
Queens, NY 
(40.749436300045, -73.797299799846)","REGO PARK","D1-ELEVATOR","107","1941","101304","1503691","14.84","4680000","46.2","0.35"
"4-09807-0073","89 23 171 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4","11432","40.709653","-73.789958","12","27","462","4209830","4098070073","Jamaica                                                                    ","JAMAICA","D4-ELEVATOR","141","1962","154252","1888000","12.24","5310000","34.4","4-09834-0056","175 21 88 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","JAMAICA","D1-ELEVATOR","110","1963","100947","1301859","12.9","4050000","40.1","0.2","4-09793-0033","89 29 163 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","JAMAICA","D1-ELEVATOR","96","1961","79572","1065032","13.38","3320000","41.7","0.45"
"4-01531-0021","78 06 46 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11373","40.740429","-73.886797","4","25","485","4461962","4015310021","Elmhurst-Maspeth                                                           ","ELMHURST","D4-ELEVATOR","56","1966","35700","414120","11.6","1160000","32.5","4-01492-0032","81 31 BAXTER AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","ELMHURST","D7-ELEVATOR","53","1963","33600","525820","15.65","1780000","53","0.5","4-01459-0040","35 65 85 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","JACKSON HEIGHTS","D7-ELEVATOR","66","1957","48300","733472","15.19","2480000","51","0.8"
"4-08446-0001","73 43 260 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4","11004","40.75012","-73.716196","13","23","155102","4461117","4084460001","Glen Oaks-Floral Park-New Hyde Park                                        ","GLEN OAKS","C6-WALK-UP","192","1948","145656","0","0","6970000","47.9","4-06793-0126","154 02 71 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-SOUTH","C9-WALK-UP","180","1952","147558","1923050","13.03","5990000","40.6","5.3","4-06227-0338","211 01 42 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","BAYSIDE","C9-WALK-UP","54","1951","44928","613927","13.66","1910000","42.5","3.1"
"4-07847-0001","229 01 GRAND CENTRAL PARK
Queens, NY 
(40.749436300045, -73.797299799846)","4",,,,,,,,,,"OAKLAND GARDENS","C6-WALK-UP","68","1950","55374","739255","13.35","2300000","41.5","4-07452-0033","201 01
Queens, NY 
(40.749436300045, -73.797299799846)","BAYSIDE","C9-WALK-UP","14","1948","12785","170648","13.35","531000","41.5","1.8","4-07453-0033","202 01
Queens, NY 
(40.827777078143, -72.939210978884)","BAYSIDE","C9-WALK-UP","14","1948","12785","170648","13.35","531000","41.5","1.75"
"4-02382-0020","52 15 65 PLACE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11378","40.732986","-73.900081","5","30","515","4055033","4023820020","Maspeth                                                                    ","MASPETH","D4-ELEVATOR","78","1955","105140","1114480","10.6","2890000","27.5","4-03087-0007","65 44 SAUNDERS STREET
Queens, NY 
(40.749436300045, -73.797299799846)","REGO PARK","D1-ELEVATOR","98","1941","104778","1308001","12.48","3680000","35.1","2.25","4-03087-0033","96 09 66 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","REGO PARK","D1-ELEVATOR","66","1939","78384","802085","10.23","1910000","24.37","2.25"
"4-06144-0001","201 02 35 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11361","40.765307","-73.785866","11","19","1133","4135988","4061440001","Bayside-Bayside Hills                                                      ","BAYSIDE","C6-WALK-UP","14","1949","11124","156960","14.11","489000","44","4-06595-0010","137 02 JEWEL AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-SOUTH","C9-WALK-UP","24","1949","20920","294887","14.1","918000","43.9","3.3","4-06595-0032","139 06 JEWEL AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-SOUTH","C9-WALK-UP","24","1949","20920","294887","14.1","918000","43.9","3.3"
"4-03333-0016","84 51 BEVERLY ROAD
Queens, NY 
(40.749436300045, -73.797299799846)","4","11415","40.707307","-73.829908","9","29","136","4079580","4033330016","Kew Gardens                                                                ","KEW GARDENS","D4-ELEVATOR","130","1941","156510","2294436","14.66","7760000","49.6","4-03105-0028","61 61 WOODHAVEN BOULEVARD
Queens, NY 
(40.749436300045, -73.797299799846)","REGO PARK","D1-ELEVATOR","101","1960","73770","1081693","14.66","3660000","49.6","2.55","4-03117-0017","89 10 63 DRIVE
Queens, NY 
(40.749436300045, -73.797299799846)","REGO PARK","D1-ELEVATOR","36","1957","23100","344846","14.93","1170000","51","2.2"
"4-02086-0050","97 40 62 DRIVE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11374","40.732805","-73.860517","6","29","71701","4431952","4020860050","Rego Park                                                                  ","REGO PARK","D4-ELEVATOR","1098","1955","1076000","13450000","12.5","37800000","35.1","4-03175-0001","104 20 QUEENS BOULEVARD
Queens, NY 
(40.749436300045, -73.797299799846)","REGO PARK","D3-ELEVATOR","1327","1960","1741458","31096281","17.86","116000000","67","0.8","4-02086-0040","62 60 99 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","REGO PARK","D7-ELEVATOR","419","1960","503000","3355914","6.67","7110000","14.14","0"
"4-01312-0043","41 42 73 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4",,,,,,,,,,"ELMHURST","D4-ELEVATOR","83","1965","76278","1121286","14.7","3790000","49.7","4-01301-0010","40 33 69 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","WOODSIDE","D1-ELEVATOR","104","1964","76230","1286418","16.88","4810000","63","0.2","4-01307-0023","67 14 41 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","WOODSIDE","D7-ELEVATOR","90","1964","71700","1119665","15.62","3790000","53","0.25"
"4-01455-0030","94 11 34 ROAD
Queens, NY 
(40.749436300045, -73.797299799846)","4","11372","40.753749","-73.873322","3","21","273","4035803","4014550030","Jackson Heights                                                            ","JACKSON HEIGHTS","D4-ELEVATOR","81","1959","72324","835342","11.55","2350000","32.5","4-01475-0001","87 10 37 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","JACKSON HEIGHTS","D1-ELEVATOR","88","1954","100000","1217908","12.18","3420000","34.2","0.45","4-01448-0032","87 07 35 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","JACKSON HEIGHTS","D1-ELEVATOR","84","1951","79012","916724","11.6","2580000","32.7","0.35"
"4-03322-0024","118 60 METROPOLITAN AVENU
Queens, NY 
(40.749436300045, -73.797299799846)","4","11415","40.706576","-73.833257","9","29","134","4433887","4033220024","Kew Gardens                                                                ","KEW GARDENS","D4-ELEVATOR","148","1954","141000","2031000","14.4","6870000","48.7","4-03321-0018","83 10 118 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","KEW GARDENS","D1-ELEVATOR","79","1954","74118","1067498","14.4","3320000","44.8","0.1","4-03171-0001","101 01 BOOTH STREET
Queens, NY 
(40.749436300045, -73.797299799846)","REGO PARK","D1-ELEVATOR","62","1954","61242","876046","14.3","2960000","48.3","1.7"
"4-01443-0001","82 06 34 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11372","40.753742","-73.884858","3","25","283","4035442","4014430001","Jackson Heights                                                            ","JACKSON HEIGHTS","D4-ELEVATOR","48","1928","39162","509106","13","1580000","40.3","4-01456-0046","35 53 82 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","JACKSON HEIGHTS","D1-ELEVATOR","47","1938","46854","647048","13.81","2010000","42.9","0.15","4-01456-0029","35 54 83 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","JACKSON HEIGHTS","D1-ELEVATOR","48","1937","46854","649384","13.86","2020000","43.1","0.15"
"4-16129-0001","1 50 BEACH 77 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4","11692","40.587442","-73.804154","14","32","94203","4457807","4161290001","Hammels-Arverne-Edgemere                                                   ","HAMMELS","D4-ELEVATOR","554","1968","545213","7983000","14.64","16900000","31","4-15780-0100","20 28 SEAGIRT BOULEVARD
Queens, NY 
(40.749436300045, -73.797299799846)","FAR ROCKAWAY","D7-ELEVATOR","260","1952","220201","3174794","14.42","10700000","48.6","2.7","4-15815-0220","20 55 SEAGIRT BOULEVARD
Queens, NY 
(40.749436300045, -73.797299799846)","FAR ROCKAWAY","D1-ELEVATOR","402","1952","322584","4500530","13.95","14000000","43.4","2.6"
"4-01264-0035","77 11 35 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11372","40.751328","-73.889124","3","25","287","4029130","4012640035","Jackson Heights                                                            ","JACKSON HEIGHTS","D4-ELEVATOR","97","1941","112760","1308016","11.6","3680000","32.6","4-01570-0001","88 10 WHITNEY AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","ELMHURST","D1-ELEVATOR","60","1939","55553","699689","12.59","1970000","35.5","0.9","4-01570-0046","43 31 ITHACA STREET
Queens, NY 
(40.749436300045, -73.797299799846)","ELMHURST","D1-ELEVATOR","59","1941","59000","750935","12.73","2340000","39.7","0.9"
"4-03312-0001","107 01 PARK LANE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11363","40.774129","-73.751892","11","19","1483",,,"Douglas Manor-Douglaston-Little Neck                                       ","KEW GARDENS","D4-ELEVATOR","152","1935","209844","3022000","14.4","10200000","48.6","4-03321-0018","83 10 118 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","KEW GARDENS","D1-ELEVATOR","79","1954","74118","1067498","14.4","3320000","44.8","0.25","4-03080-0001","63 07 SAUNDERS STREET
Queens, NY 
(40.749436300045, -73.797299799846)","REGO PARK","D1-ELEVATOR","60","1939","62400","858571","13.76","2670000","42.8","2"
"4-02237-0001","110 17 QUEENS BOULEVARD
Queens, NY 
(40.749436300045, -73.797299799846)","4","11375","40.719854","-73.840356","6","29","75702","4052585","4022370001","Forest Hills                                                               ","FOREST HILLS","D4-ELEVATOR","410","1965","524895","7610977","14.5","25700000","49","4-03175-0001","104 20 QUEENS BOULEVARD
Queens, NY 
(40.749436300045, -73.797299799846)","REGO PARK","D3-ELEVATOR","1327","1960","1741458","31096281","17.86","116000000","67","0.6","4-02086-0040","62 60 99 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","REGO PARK","D7-ELEVATOR","419","1960","503000","3355914","6.67","7110000","14.14","1.35"
"4-06227-0088","210 50 41 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11361","40.763265","-73.774314","11","19","1129","4137452","4062270088","Bayside-Bayside Hills                                                      ","BAYSIDE","D4-ELEVATOR","72","1963","73000","1168000","16","3950000","54","4-05958-0030","23 50 WATERS EDGE DRIVE
Queens, NY 
(40.749436300045, -73.797299799846)","BAYSIDE","D1-ELEVATOR","121","1969","146525","2365393","16.14","8000000","55","1.25","4-05022-0018","143 18 38 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-NORTH","D1-ELEVATOR","109","1971","80241","1281976","15.98","4330000","54","2.65"
