"bronx_cooperatives_comparable_properties_boro_block_lot","bronx_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","bronx_cooperatives_comparable_properties_neighborhood","bronx_cooperatives_comparable_properties_building_classification","bronx_cooperatives_comparable_properties_total_units","bronx_cooperatives_comparable_properties_year_built","bronx_cooperatives_comparable_properties_gross_sqft","bronx_cooperatives_comparable_properties_estimated_gross_income","bronx_cooperatives_comparable_properties_gross_income_per_sqft","bronx_cooperatives_comparable_properties_estimated_expense","bronx_cooperatives_comparable_properties_expense_per_sqft","bronx_cooperatives_comparable_properties_net_operating_income","bronx_cooperatives_comparable_properties_full_market_value","bronx_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_estimated_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_estimated_expense","comparable_rental_1_expense_per_sqft","comparable_rental_1_net_operating_income","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_distance_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_estimated_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_estimated_expense","comparable_rental_2_expense_per_sqft","comparable_rental_2_net_operating_income","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_distance_from_coop_in_miles","comparable_rental_3_boro_block_lot","comparable_rental_3_address","comparable_rental_3_neighborhood","comparable_rental_3_building_classification","comparable_rental_3_total_units","comparable_rental_3_year_built","comparable_rental_3_gross_sqft","comparable_rental_3_estimated_gross_income","comparable_rental_3_gross_income_per_sqft","comparable_rental_3_estimated_expense","comparable_rental_3_expense_per_sqft","comparable_rental_3_net_operating_income","comparable_rental_3_full_market_value","comparable_rental_3_market_value_per_sqft","comparable_rental_3_distance_from_coop_in_miles"
"2-04293-0010","2080 BARNES AVENUE
Bronx, NY 
(40.853641056481, -73.863863209565)","2","10462","40.853081","-73.863894","11","13","228","2048829","2042930010","Pelham Parkway                                                             ",,,,,"127000","1443990","11.37","995680","7.84","448310","2883000","22.7","2-04292-0024","2132 WALLACE AVENUE
Bronx, NY 
(40.854201470271, -73.864786369012)","PELHAM PARKWAY SOUTH","D7-ELEVATOR","184","1929","175806","2117376","12.04","839386","4.77","1277990","5643000","32.1","0.05","2-04286-0004","2070 BRONX PARK
Bronx, NY 
(40.840428613926, -73.878408419305)","PELHAM PARKWAY SOUTH","D1-ELEVATOR","104","1928","129000","1288710","9.99","786900","6.1","501810","3133000","24.29","0.26","2-04291-0024","2131 WALLACE AVENUE","PELHAM PARKWAY SOUTH","D7-ELEVATOR","187","1929","178,126","2,141,075","12.02","1,156,038","6.49","985,037","5,181,000","29.09","0.09"
"2-02522-0109","1383 PLIMPTON AVENUE
Bronx, NY 
(40.842210247634, -73.923238725882)","2","10452","40.84214","-73.923275","4","16","211","2003396","2025220109","Highbridge                                                                 ",,,,,"19250","236775","12.3","109918","5.71","126857","438000","22.75","2-02457-0050","1279 SHERIDAN AVENUE
Bronx, NY 
(40.835836233179, -73.915014781989)","MELROSE/CONCOURSE","D1-ELEVATOR","27","1924","30800","383419","12.45","210872","6.85","172547","1157000","37.56","0.62","2-02816-0045","1355 MORRIS AVENUE
Bronx, NY 
(40.836804253596, -73.912058777868)","MELROSE/CONCOURSE","C1-WALK-UP","45","1924","36085","307805","8.53","199911","5.54","107894","645000","17.87","0.7",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"2-02717-0070","1020 TIFFANY STREET
Bronx, NY 
(40.823975791037, -73.894832946697)","2","10459","40.824283","-73.894856","2","17","12701","2005688","2027170070","Hunts Point                                                                ",,,,,"10055","148211","14.74","77524","7.71","70687","398000","39.58","2-02643-0018","736 152 STREET
Bronx, NY 
(40.815863596574, -73.907369765739)","MORRISANIA/LONGWOOD","C7-WALK-UP","18","1909","13265","195599","14.75","119308","8.99","76291","355000","26.76","0.97","2-02690-0105","954 PROSPECT AVENUE
Bronx, NY 
(40.822659392538, -73.900329907402)","MORRISANIA/LONGWOOD","C4-WALK-UP","12","1904","12495","181224","14.5","103718","8.3","77506","378000","30.25","0.33","2-02376-0049","3009 3 AVENUE","MORRISANIA/LONGWOOD","C7-WALK-UP","12","1905","11,022","162,490","14.74","85,026","7.71","77,464","535,000","48.54","1.1"
"2-02850-0040","1770 TOWNSEND AVENUE
Bronx, NY 
(40.847784728295, -73.911105568787)","2","10453","40.84781","-73.911109","5","14","22701","2008213","2028500040","Mount Hope                                                                 ",,,,,"44440","499061","11.23","281305","6.33","217756","1403000","31.57","2-02869-0034","45 TREMONT AVENUE
Bronx, NY 
(40.851401170486, -73.90846852967)","HIGHBRIDGE/MORRIS HEIGHTS","C7-WALK-UP","51","1926","56849","471744","8.3","277624","4.88","194120","1054000","18.54","0.31","2-02791-0044","1707 TOPPING AVENUE
Bronx, NY 
(40.844230629079, -73.905852752565)","MOUNT HOPE/MOUNT EDEN","C7-WALK-UP","33","1924","30653","344162","11.23","194058","6.33","150104","967000","31.55","0.34","2-02854-0064","2003 WALTON AVENUE","MOUNT HOPE/MOUNT EDEN","C1-WALK-UP","49","1925","55,350","870,460","15.73","407,722","7.37","462,738","3,124,000","56.44","0.4"
"2-04251-0011","1874 PELHAM PARKWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","2","10461","40.85552","-73.830415","10","13","300","2047812","2042510011","Pelham Bay-Country Club-City Island                                        ",,,,,"85218","1138512","13.36","493412","5.79","645100","4280000","50.22","2-04178-0010","3555 BRUCKNER BOULEVARD
Bronx, NY 
(40.825576999979, -73.918448999722)","SCHUYLERVILLE/PELHAM BAY","D3-ELEVATOR","142","1960","112000","1480347","13.22","642987","5.74","837360","4411000","39.38","0.51","2-04178-0005","3565 BRUCKNER BOULEVARD
Bronx, NY 
(40.825576999979, -73.918448999722)","SCHUYLERVILLE/PELHAM BAY","D1-ELEVATOR","49","1931","38250","528092","13.81","253759","6.63","274333","1809000","47.29","0.51",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"2-02663-0004","1218 BOSTON ROAD
Bronx, NY 
(40.829839156022, -73.901913808846)","2","10456","40.829951","-73.901803","3","17","151","2004742","2026630004","Morrisania-Melrose                                                         ",,,,,"14516","127450","8.78","86080","5.93","41370","247000","17.02","2-02971-0014","1384 PROSPECT AVENUE
Bronx, NY 
(40.831227753964, -73.896802306874)","MORRISANIA/LONGWOOD","C1-WALK-UP","11","1904","14400","126393","8.78","85397","5.93","40996","245000","17.01","0.25","2-02971-0012","1382 PROSPECT AVENUE
Bronx, NY 
(40.831125719771, -73.896833737853)","MORRISANIA/LONGWOOD","C1-WALK-UP","11","1904","14400","126393","8.78","85399","5.93","40994","245000","17.01","0.25","2-02971-0010","1380 PROSPECT AVENUE","MORRISANIA/LONGWOOD","C1-WALK-UP","11","1904","14,400","126,393","8.78","85,397","5.93","40,996","245,000","17.01","0.25"
"2-03277-0002","389 194 STREET
Bronx, NY 
(40.863329163633, -73.889816467632)","2",,,,,,,,,,,,,,"13475","176927","13.13","85297","6.33","91630","492000","36.51","2-03277-0014","2656 DECATUR AVENUE
Bronx, NY 
(40.864044879438, -73.889596273764)","BEDFORD PARK/NORWOOD","C1-WALK-UP","23","1910","22000","333260","15.15","156079","7.09","177181","921000","41.86","0","2-03055-0012","530 187 STREET
Bronx, NY 
(40.856771018168, -73.889922251082)","BELMONT","C1-WALK-UP","17","1910","12320","161774","13.13","77958","6.33","83816","554000","44.97","0.55","2-03031-0029","2362 WEBSTER AVENUE","BATHGATE","C1-WALK-UP","26","1917","19,613","221,627","11.3","128,465","6.55","93,162","585,000","29.83","0.52"
"2-03253-0221","3065 SEDGWICK AVENUE
Bronx, NY 
(40.876445887368, -73.899824192972)","2","10468","40.87645","-73.899767","8","14","273","2015566","2032530221","Van Cortlandt Village                                                      ",,,,,"75390","807427","10.71","460633","6.11","346794","2150000","28.52","2-03343-0126","3320 RESERVOIR OVAL
Bronx, NY 
(40.877000183457, -73.876047771332)","BEDFORD PARK/NORWOOD","D1-ELEVATOR","73","1959","75821","749500","9.89","455499","6.01","294001","1739000","22.94","1.33","2-04319-0045","2157 HOLLAND AVENUE
Bronx, NY 
(40.85510987047, -73.865776406203)","PELHAM PARKWAY SOUTH","D1-ELEVATOR","73","1930","73842","877055","11.88","504913","6.84","372142","2375000","32.16","2.31",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"2-02421-0013","270 162 STREET
Bronx, NY 
(40.82645700183, -73.91782103863)","2",,,,,,,,,,,,,,"10675","101840","9.54","66185","6.2","35655","212000","19.86","2-02421-0022","300 162 STREET
Bronx, NY 
(40.82614144905, -73.916853688303)","MELROSE/CONCOURSE","C1-WALK-UP","21","1931","16575","158155","9.54","102806","6.2","55349","328000","19.79","0","2-02421-0011","904 MORRIS AVENUE
Bronx, NY 
(40.826042135602, -73.918159849018)","MELROSE/CONCOURSE","C7-WALK-UP","27","1931","16782","235136","14.01","123918","7.38","111218","732000","43.62","0","2-02422-0010","272 EAST 163 STREET","MELROSE/CONCOURSE","C7-WALK-UP","21","1912","13,235","194,820","14.72","118,837","8.98","75,983","524,000","39.59","0.06"
"2-03343-0076","3245 PERRY AVENUE
Bronx, NY 
(40.875813496168, -73.87630549726)","2","10467","40.875766","-73.876304","7","11","423","2018168","2033430076","Norwood                                                                    ",,,,,"41000","504300","12.3","267320","6.52","236980","1502000","36.63","2-03320-0025","2933 GRAND
Bronx, NY 
(40.825576999979, -73.918448999722)","BEDFORD PARK/NORWOOD","D1-ELEVATOR","42","1927","40986","414095","10.1","226597","5.53","187498","1083000","26.42","0.57","2-03324-0025","51 MOSHOLU PARKWAY
Bronx, NY 
(40.879219416478, -73.88308230934)","BEDFORD PARK/NORWOOD","D1-ELEVATOR","42","1940","45934","445229","9.69","273742","5.96","171487","927000","20.18","0.53","2-05907-0348","3725 BLACKSTONE AVENUE","RIVERDALE","D1-ELEVATOR","42","1968","41,803","630,807","15.09","222,392","5.32","408,415","2,453,000","58.68","1.93"
"2-04289-0015","762 BRADY AVENUE
Bronx, NY 
(40.852347163045, -73.865311010733)","2","10462","40.851946","-73.864897","11","13","22404","2048800","2042890015","Pelham Parkway                                                             ",,,,,"54184","623116","11.5","297470","5.49","325646","2089000","38.55","2-04285-0010","2036 CRUGER AVENUE
Bronx, NY 
(40.851373130657, -73.866758916347)","MORRIS PARK/VAN NEST","D1-ELEVATOR","43","1937","43854","453012","10.33","271895","6.2","181117","1127000","25.7","0.05","2-04287-0055","2095 CRUGER AVENUE
Bronx, NY 
(40.853158654271, -73.866768643077)","PELHAM PARKWAY SOUTH","D1-ELEVATOR","42","1939","53400","536590","10.05","276307","5.17","260283","1331000","24.93","0.14","2-04322-0025","2182 BARNES AVENUE","PELHAM PARKWAY SOUTH","D1-ELEVATOR","71","1930","65,862","814,088","12.36","436,593","6.63","377,495","2,391,000","36.3","0.3"
"2-03100-0018","765 GARDEN STREET
Bronx, NY 
(40.825576999979, -73.918448999722)","2","10460","40.849834","-73.884113","6","15","393","2012788","2031000018","Belmont                                                                    ",,,,,"17600","182160","10.35","113696","6.46","68464","426000","24.2","2-03099-0006","743 182 STREET
Bronx, NY 
(40.850058089353, -73.885969751409)","BELMONT","C1-WALK-UP","20","1913","19750","215772","10.93","135607","6.87","80165","496000","25.11","0.09","2-03119-0007","2116 CROTONA PARKWAY
Bronx, NY 
(40.846247830163, -73.883732726692)","EAST TREMONT","C1-WALK-UP","22","1931","19668","192252","9.77","118759","6.04","73493","435000","22.12","0.27",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"2-03627-0030","825 MORRISON AVENUE
Bronx, NY 
(40.820736499268, -73.872662106285)","2","10473","40.82084","-73.872649","9","17","28","2092725","2036270030","Soundview-Castle Hill-Clason Point-Harding Park                            ",,,,,"256750","2762630","10.76","1763873","6.87","998757","6188000","24.1","2-02712-0040","901 FOX STREET
Bronx, NY 
(40.819848780353, -73.893948409709)","MORRISANIA/LONGWOOD","D1-ELEVATOR","25","1913","32994","371265","11.25","232028","7.03","139237","897000","27.19","1.03","2-02713-0002","955 163 STREET
Bronx, NY 
(40.821021276082, -73.89565834556)","MORRISANIA/LONGWOOD","D7-ELEVATOR","104","1982","148828","1602028","10.76","1022326","6.87","579702","3592000","24.14","1.08","2-02712-0028","931 FOX STREET","MORRISANIA/LONGWOOD","D7-ELEVATOR","43","1929","47,826","490,399","10.25","299,130","6.25","191,269","1,191,000","24.9","1.03"
"2-02638-0001","872 TRINITY AVENUE
Bronx, NY 
(40.821755548015, -73.906401029473)","2","10456","40.821842","-73.906389","3","16","133","2091950","2026380001","Morrisania-Melrose                                                         ",,,,,"292000","3407640","11.67","2286360","7.83","1121280","7179000","24.59","2-02724-0005","975 SIMPSON STREET
Bronx, NY 
(40.822078429909, -73.892911569022)","MORRISANIA/LONGWOOD","D3-ELEVATOR","236","1981","320721","3744149","11.67","2511711","7.83","1232438","7891000","24.6","0.62","2-02713-0002","955 163 STREET
Bronx, NY 
(40.821021276082, -73.89565834556)","MORRISANIA/LONGWOOD","D7-ELEVATOR","104","1982","148828","1602028","10.76","1022326","6.87","579702","3592000","24.14","0.48","2-02460-0001","900 GRAND CONCOURSE","MELROSE/CONCOURSE","D7-ELEVATOR","301","1923","276,550","4,156,980","15.03","2,452,472","8.87","1,704,508","11,729,000","42.41","0.95"
"2-05403-0025","3321 BRUCKNER BOULEVARD
Bronx, NY 
(40.825576999979, -73.918448999722)","2","10461","40.842087","-73.826163","10","13","264","2074929","2054030025","Schuylerville-Throgs Neck-Edgewater Park                                   ",,,,,"57994","600818","10.36","384500","6.63","216318","1346000","23.21","2-04172-0007","3070 ROBERTS AVENUE
Bronx, NY 
(40.846050678162, -73.82906447339)","SCHUYLERVILLE/PELHAM BAY","D1-ELEVATOR","43","1929","46494","453917","9.76","235580","5.07","218337","1221000","26.26","0.21","2-04176-0034","3065 ROBERTS AVENUE
Bronx, NY 
(40.84607038499, -73.829175654092)","SCHUYLERVILLE/PELHAM BAY","D1-ELEVATOR","54","1929","57000","668610","11.73","367650","6.45","300960","1782000","31.26","0.33","2-04170-0001","3015 ROBERTS AVENUE","SCHUYLERVILLE/PELHAM BAY","D1-ELEVATOR","49","1928","54,000","559,662","10.36","357,798","6.63","201,864","1,256,000","23.26","0.34"
"2-05906-0331","3720 INDEPENDENCE AVENUE
Bronx, NY 
(40.888435686198, -73.913060215948)","2","10463","40.888508","-73.913069","8","11","30701","2085786","2059060331","North Riverdale-Fieldston-Riverdale                                        ",,,,,"72594","917588","12.64","446453","6.15","471135","2805000","38.64","2-05796-0129","3660 OXFORD AVENUE
Bronx, NY 
(40.887600254178, -73.90868609313)","RIVERDALE","D3-ELEVATOR","77","1967","106934","1415876","13.24","765281","7.16","650595","4322000","40.42","0.22","2-05798-0077","545 236 STREET
Bronx, NY 
(40.886549999277, -73.908922599141)","RIVERDALE","D7-ELEVATOR","64","1939","90025","1137489","12.64","554033","6.15","583456","3531000","39.22","0.19","2-05793-0467","3555 OXFORD AVENUE","RIVERDALE","D1-ELEVATOR","57","1960","72,553","888,992","12.25","335,602","4.63","553,390","2,772,000","38.21","0.24"
"2-04337-0018","2244 BRONX PARK
Bronx, NY 
(40.858407355419, -73.870870264965)","2","10467","40.856629","-73.875725","27","15","334",,,"park-cemetery-etc-Bronx                                                    ",,,,,"65071","737905","11.34","405848","6.24","332057","1595000","24.51","2-04337-0032","2245 BARKER AVENUE
Bronx, NY 
(40.858489766871, -73.869559698168)","BRONXDALE","D1-ELEVATOR","50","1959","57678","546211","9.47","338570","5.87","207641","1233000","21.38","0","2-04340-0078","2275 BARKER AVENUE
Bronx, NY 
(40.859256814028, -73.869542413623)","BRONXDALE","D1-ELEVATOR","60","1928","58510","663226","11.34","232532","3.97","430694","1727000","29.52","0.11","2-04338-0006","655 PELHAM PARKWAY NORTH","BRONXDALE","D1-ELEVATOR","86","1931","78,358","1,014,365","12.95","460,533","5.88","553,832","3,693,000","47.13","0.06"
"2-03175-0010","55 190 STREET
Bronx, NY 
(40.86302792518, -73.898419606109)","2",,,,,,,,,,,,,,"55440","663062","11.96","364684","6.58","298378","1901000","34.29","2-03175-0001","75 190 STREET
Bronx, NY 
(40.862902623674, -73.898127235928)","FORDHAM","D1-ELEVATOR","54","1942","48600","587031","12.08","326900","6.73","260131","1655000","34.05","0","2-03175-0007","65 190 STREET
Bronx, NY 
(40.86296527441, -73.898273420979)","FORDHAM","D1-ELEVATOR","56","1942","47373","586500","12.38","321198","6.78","265302","1680000","35.46","0","2-03190-0056","2501 MORRIS AVENUE","FORDHAM","D1-ELEVATOR","63","1960","69,800","475,226","6.81","272,359","3.9","202,867","1,188,000","17.02","0.06"
"2-05788-0074","3210 ARLINGTON AVENUE
Bronx, NY 
(40.884260624073, -73.912382508222)","2","10463","40.88445","-73.912359","8","11","297","2084113","2057880074","Spuyten Duyvil-Kingsbridge                                                 ",,,,,"80735","950251","11.77","539310","6.68","410941","2626000","32.53","2-05703-0192","3063 GODWIN TERRACE
Bronx, NY 
(40.879285259289, -73.905927434245)","KINGSBRIDGE/JEROME PARK","C7-WALK-UP","70","1925","64490","824827","12.79","445626","6.91","379201","2533000","39.28","0.49","2-05705-0036","225 NAPLES TERRACE
Bronx, NY 
(40.879801939585, -73.905106351493)","KINGSBRIDGE/JEROME PARK","C1-WALK-UP","66","1926","53482","629252","11.77","357120","6.68","272132","1739000","32.52","0.49","2-05703-0209","3025 GODWIN TERRACE","KINGSBRIDGE/JEROME PARK","C1-WALK-UP","65","1926","65,250","715,469","10.97","399,124","6.12","316,345","1,485,000","22.76","0.49"
"2-03252-0340","120 GALE PLACE
Bronx, NY 
(40.884610770733, -73.892471923253)","2","10463","40.884846","-73.892873","8","11","281","2015493","2032520340","Van Cortlandt Village                                                      ",,,,,"351827","3412722","9.7","1876997","5.33","1535725","9104000","25.88","2-03681-0001","2001 STORY AVENUE
Bronx, NY 
(40.824675513051, -73.855564651268)","CASTLE HILL/UNIONPORT","D3-ELEVATOR","355","1973","421833","5268694","12.49","2897993","6.87","2370701","15895000","37.68","4.56","2-02822-0019","1749 GRAND
Bronx, NY 
(40.825576999979, -73.918448999722)","MOUNT HOPE/MOUNT EDEN","D7-ELEVATOR","279","1924","423500","3550820","8.38","2394784","5.65","1156036","6182000","14.6","2.79","2-03642-0001","880 THIERIOT AVENUE","SOUNDVIEW","D3-ELEVATOR","317","1968","352,866","3,715,679","10.53","2,156,011","6.11","1,559,668","9,686,000","27.45","4.56"
"2-03627-0040","820 BOYNTON AVENUE
Bronx, NY 
(40.820116404128, -73.87619412647)","2","10473","40.82007","-73.87622","9","17","28","2092723","2036270040","Soundview-Castle Hill-Clason Point-Harding Park                            ",,,,,"256750","2762630","10.76","1763873","6.87","998757","6188000","24.1","2-02712-0040","901 FOX STREET
Bronx, NY 
(40.819848780353, -73.893948409709)","MORRISANIA/LONGWOOD","D1-ELEVATOR","25","1913","32994","371265","11.25","232028","7.03","139237","897000","27.19","1.03","2-02713-0002","955 163 STREET
Bronx, NY 
(40.821021276082, -73.89565834556)","MORRISANIA/LONGWOOD","D7-ELEVATOR","104","1982","148828","1602028","10.76","1022326","6.87","579702","3592000","24.14","1.08","2-02712-0028","931 FOX STREET","MORRISANIA/LONGWOOD","D7-ELEVATOR","43","1929","47,826","490,399","10.25","299,130","6.25","191,269","1,191,000","24.9","1.03"
"2-05953-0550","5600 NETHERLAND AVENUE
Bronx, NY 
(40.904351291388, -73.906294899245)","2","10471","40.904441","-73.906291","8","11","323",,,"North Riverdale-Fieldston-Riverdale                                        ",,,,,"395000","5620850","14.23","2820300","7.14","2800550","19412000","49.14","2-05864-0516","6555 BROADWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","RIVERDALE","D1-ELEVATOR","73","1961","62570","923960","14.77","334594","5.35","589366","2882000","46.06","0.45","2-05904-0267","600 239 STREET
Bronx, NY 
(40.889579457198, -73.911174785847)","RIVERDALE","D1-ELEVATOR","90","1956","98681","1350943","13.69","701622","7.11","649321","4290000","43.47","1.31",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"2-05856-0378","6485 BROADWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","2","10471","40.905352","-73.896457","8","11","345","2091886","2058560378","North Riverdale-Fieldston-Riverdale                                        ",,,,,"127000","1480820","11.66","673100","5.3","807720","4631000","36.46","2-03363-0001","4250 VAN CORTLANDT PARK
Bronx, NY 
(40.896646152603, -73.876553676617)","WOODLAWN","D7-ELEVATOR","54","1941","61634","725309","11.77","388690","6.31","336619","2151000","34.9","1.24","2-05845-1799","5400 FIELDSTON ROAD
Bronx, NY 
(40.901548992376, -73.901753307327)","RIVERDALE","D1-ELEVATOR","127","1939","151500","1750318","11.55","784441","5.18","965877","4048000","26.72","0.28",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"2-03363-0058","4200 HERKIMER PLACE
Bronx, NY 
(40.895656848282, -73.875704597299)","2","10470","40.89581","-73.875714","12","11","44901","2018738","2033630058","Woodlawn-Wakefield                                                         ",,,,,"39959","331663","8.3","185825","4.65","145838","858000","21.47","2-03363-0001","4250 VAN CORTLANDT PARK
Bronx, NY 
(40.896646152603, -73.876553676617)","WOODLAWN","D7-ELEVATOR","54","1941","61634","725309","11.77","388690","6.31","336619","2151000","34.9","0.06","2-03393-0044","4385 VIREO AVENUE
Bronx, NY 
(40.901165293626, -73.862816716908)","WOODLAWN","D1-ELEVATOR","65","1953","51408","601392","11.7","283662","5.52","317730","2013000","39.16","0.67","2-03397-0029","529 EAST 235 STREET","WOODLAWN","D3-ELEVATOR","53","1938","52,599","606,184","11.52","315,977","6.01","290,207","1,862,000","35.4","0.65"
"2-02410-0031","318 151 STREET
Bronx, NY 
(40.818300393346, -73.92031358746)","2",,,,,,,,,,,,,,"6948","94006","13.53","54472","7.84","39534","219000","31.52","2-02285-0064","461 140 STREET
Bronx, NY 
(40.809904619543, -73.920675358185)","MOTT HAVEN/PORT MORRIS","C1-WALK-UP","20","1905","13235","179005","13.53","104499","7.9","74506","493000","37.25","0.55","2-02285-0067","451 140 STREET
Bronx, NY 
(40.809989155852, -73.920879112364)","MOTT HAVEN/PORT MORRIS","C1-WALK-UP","20","1902","13235","179005","13.53","103814","7.84","75191","498000","37.63","0.55","2-02285-0066","455 EAST 140 STREET","MOTT HAVEN/PORT MORRIS","C1-WALK-UP","20","1902","13,235","179,005","13.53","103,815","7.84","75,190","498,000","37.63","0.55"
"2-03080-0082","2076 BELMONT AVENUE
Bronx, NY 
(40.848149767129, -73.890113706979)","2","10457","40.848179","-73.890123","6","15","373","2012339","2030800082","East Tremont                                                               ",,,,,"14850","155480","10.47","98307","6.62","57173","355000","23.91","2-03099-0006","743 182 STREET
Bronx, NY 
(40.850058089353, -73.885969751409)","BELMONT","C1-WALK-UP","20","1913","19750","215772","10.93","135607","6.87","80165","496000","25.11","0.26","2-03111-0010","2125 SOUTHERN BOULEVARD
Bronx, NY 
(40.846768928149, -73.88384038006)","EAST TREMONT","C7-WALK-UP","41","1931","31190","312306","10.01","198350","6.36","113956","694000","22.25","0.27",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"2-05953-0240","5900 ARLINGTON AVENUE
Bronx, NY 
(40.907705655725, -73.906621038864)","2","10471","40.908632","-73.906499","8","11","323","2086321","2059530240","North Riverdale-Fieldston-Riverdale                                        ",,,,,"407920","5857731","14.36","3295994","8.08","2561737","17739000","43.49","2-05907-0348","3725 BLACKSTONE AVENUE
Bronx, NY 
(40.888932645311, -73.911592854676)","RIVERDALE","D1-ELEVATOR","42","1968","41803","630807","15.09","222392","5.32","408415","2453000","58.68","1.3","2-05796-0129","3660 OXFORD AVENUE
Bronx, NY 
(40.887600254178, -73.90868609313)","RIVERDALE","D3-ELEVATOR","77","1967","106934","1415876","13.24","765281","7.16","650595","4322000","40.42","1.39",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"2-02711-0021","921 TIFFANY STREET
Bronx, NY 
(40.820144051176, -73.894949653186)","2","10459","40.820212","-73.894924","2","17","87","2097216","2027110021","Longwood                                                                   ",,,,,"14000","151900","10.85","86522","6.18","65378","405000","28.93","2-02700-0001","911 165 STREET
Bronx, NY 
(40.823881120135, -73.89687133112)","MORRISANIA/LONGWOOD","C9-WALK-UP","18","1989","12730","144995","11.39","84145","6.61","60850","391000","30.71","0.35","2-04305-0004","1110 LYDIG AVENUE
Bronx, NY 
(40.854853609905, -73.856587287864)","PELHAM PARKWAY SOUTH","C1-WALK-UP","15","1952","14400","195840","13.6","101808","7.07","94032","622000","43.19","3.12",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"2-03252-0052","3965 SEDGWICK AVENUE
Bronx, NY 
(40.882662017829, -73.890040487355)","2","10463","40.882587","-73.889936","8","11","281","2095200","2032520052","Van Cortlandt Village                                                      ",,,,,"425070","3991487","9.39","2628990","6.18","1362497","8093000","19.04","2-04347-0007","2324 BOSTON ROAD
Bronx, NY 
(40.8599324848, -73.867191510629)","PELHAM PARKWAY NORTH","D1-ELEVATOR","322","1963","337570","3169406","9.39","2006231","5.94","1163175","6909000","20.47","1.97","2-03142-0001","2010 VALENTINE AVENUE
Bronx, NY 
(40.850282871762, -73.90065969534)","FORDHAM","D7-ELEVATOR","354","1973","375225","4291816","11.44","2823485","7.52","1468331","9429000","25.13","2.32",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"2-03398-0044","4380 VIREO AVENUE
Bronx, NY 
(40.901068587196, -73.862781437345)","2","10470","40.901183","-73.862761","12","11","45102","2019824","2033980044","Woodlawn-Wakefield                                                         ",,,,,"109206","1461176","13.38","774271","7.09","686905","4556000","41.72","2-04087-0033","1541 WILLIAMSBRIDGE ROAD
Bronx, NY 
(40.825576999979, -73.918448999722)","MORRIS PARK/VAN NEST","D3-ELEVATOR","125","1928","107340","1438693","13.4","726466","6.77","712227","4723000","44","3.76","2-05780-0940","3900 GREYSTONE AVENUE
Bronx, NY 
(40.88950389842, -73.904451506606)","RIVERDALE","D1-ELEVATOR","127","1928","134703","1515163","11.25","801013","5.95","714150","4599000","34.14","2.28",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"2-05785-0284","5620 SYLVAN AVENUE
Bronx, NY 
(40.903854199732, -73.898308862437)","2","10471","40.903959","-73.898333","8","11","345","2084836","2058522124","North Riverdale-Fieldston-Riverdale                                        ",,,,,"80120","935802","11.68","421431","5.26","514371","2970000","37.07","2-05754-0090","225 232 STREET
Bronx, NY 
(40.88038240123, -73.904333150882)","KINGSBRIDGE/JEROME PARK","D1-ELEVATOR","96","1929","87510","1031120","11.78","466325","5.33","564795","2156000","24.64","0.33","2-05795-0537","3555 NETHERLAND AVENUE
Bronx, NY 
(40.886372374526, -73.910726409353)","RIVERDALE","D1-ELEVATOR","55","1939","60792","714186","11.75","298924","4.92","415262","1969000","32.39","0.19",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
