"business_name","address","industry_group","type","telephone","cross_streets","zip_code","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"Art of Shaving","Lexington Passage","Pers. & Prof. Services","Barber Shop","212-682-0248","Grand Central Terminal",,"MANHATTAN","40.752101","-73.977604","5","4","92",,"1012800001","Turtle Bay-East Midtown"
"Grand Central Optical Co.","Lexington Passage","Pers. & Prof. Services","Optical/Eyewear","212-599-1221","Grand Central Terminal",,"MANHATTAN","40.752101","-73.977604","5","4","92",,"1012800001","Turtle Bay-East Midtown"
"L'Occitane","Lexington Passage","Pers. & Prof. Services","Health & Beauty","212-557-6754","Grand Central Terminal",,"MANHATTAN","40.752101","-73.977604","5","4","92",,"1012800001","Turtle Bay-East Midtown"
"Capital One Bank","Lexington Passage","Financial Services","Full-Service Branch","212-682-3049","Grand Central Terminal",,"MANHATTAN","40.752101","-73.977604","5","4","92",,"1012800001","Turtle Bay-East Midtown"
"Swatch","Lexington Passage","AA&F","Acc., Jewelry & Watches","212-297-9192","Grand Central Terminal",,"MANHATTAN","40.752101","-73.977604","5","4","92",,"1012800001","Turtle Bay-East Midtown"
"Chase ATM","Lower Level","Financial Services","Bank (ATM Only)",,"Grand Central Terminal",,"MANHATTAN","40.752101","-73.977604","5","4","92",,"1012800001","Turtle Bay-East Midtown"
"Dahlia","Lower Level","Misc. Retail","Florist","212-697-5090","Grand Central Terminal",,"MANHATTAN","40.752101","-73.977604","5","4","92",,"1012800001","Turtle Bay-East Midtown"
"Leather Spa","Lower Level","Pers. & Prof. Services","Shoe Care/Repair","212-499-7488","Grand Central Terminal",,"MANHATTAN","40.752101","-73.977604","5","4","92",,"1012800001","Turtle Bay-East Midtown"
"Hudson News ","Lower Level","Misc. Retail","Newsstand",,"Grand Central Terminal",,"MANHATTAN","40.752101","-73.977604","5","4","92",,"1012800001","Turtle Bay-East Midtown"
"Oyster Bar and Grill","Lower Level","Food & Drink","Restaurant","212-490-6650","Grand Central Terminal",,"MANHATTAN","40.752101","-73.977604","5","4","92",,"1012800001","Turtle Bay-East Midtown"
"In Build-out","Lower Level Dining Concourse","In Build-out","In Build-out",,"Grand Central Terminal",,"MANHATTAN","40.752101","-73.977604","5","4","92",,"1012800001","Turtle Bay-East Midtown"
"Café Spice ","Lower Level Dining Concourse","Food & Drink","Quick-Serve Eatery","646-227-1300","Grand Central Terminal",,"MANHATTAN","40.752101","-73.977604","5","4","92",,"1012800001","Turtle Bay-East Midtown"
"In Build-out","Lower Level Dining Concourse","Food & Drink","Quick-Serve Eatery","212-983-9444","Grand Central Terminal",,"MANHATTAN","40.752101","-73.977604","5","4","92",,"1012800001","Turtle Bay-East Midtown"
"Chirping Chicken","Lower Level Dining Concourse","Food & Drink","Quick-Serve Eatery","212-661-4059","Grand Central Terminal",,"MANHATTAN","40.752101","-73.977604","5","4","92",,"1012800001","Turtle Bay-East Midtown"
"Ciao Bella Gelato","Lower Level Dining Concourse","Food & Drink","Quick-Serve Eatery","212-867-5311","Grand Central Terminal",,"MANHATTAN","40.752101","-73.977604","5","4","92",,"1012800001","Turtle Bay-East Midtown"
"Dishes","Lower Level Dining Concourse","Food & Drink","Quick-Serve Eatery","212-808-5511","Grand Central Terminal",,"MANHATTAN","40.752101","-73.977604","5","4","92",,"1012800001","Turtle Bay-East Midtown"
"Eata Pita","Lower Level Dining Concourse","Food & Drink","Quick-Serve Eatery","212-297-2500","Grand Central Terminal",,"MANHATTAN","40.752101","-73.977604","5","4","92",,"1012800001","Turtle Bay-East Midtown"
"Feng Shui","Lower Level Dining Concourse","Food & Drink","Quick-Serve Eatery","212-338-6810","Grand Central Terminal",,"MANHATTAN","40.752101","-73.977604","5","4","92",,"1012800001","Turtle Bay-East Midtown"
"Magnolia Bakery","Lower Level Dining Concourse","Food & Drink","Specialty Food Store",,"Grand Central Terminal",,"MANHATTAN","40.752101","-73.977604","5","4","92",,"1012800001","Turtle Bay-East Midtown"
"Golden Krust Patties","Lower Level Dining Concourse","Food & Drink","Quick-Serve Eatery","646-487-2003","Grand Central Terminal",,"MANHATTAN","40.752101","-73.977604","5","4","92",,"1012800001","Turtle Bay-East Midtown"
"Hale and Hearty Soups","Lower Level Dining Concourse","Food & Drink","Quick-Serve Eatery","212-983-2845","Grand Central Terminal",,"MANHATTAN","40.752101","-73.977604","5","4","92",,"1012800001","Turtle Bay-East Midtown"
"Junior's","Lower Level Dining Concourse","Food & Drink","Restaurant","212-983-5257","Grand Central Terminal",,"MANHATTAN","40.752101","-73.977604","5","4","92",,"1012800001","Turtle Bay-East Midtown"
"Little Pie Company","Lower Level Dining Concourse","Food & Drink","Specialty Food Store","212-983-3538","Grand Central Terminal",,"MANHATTAN","40.752101","-73.977604","5","4","92",,"1012800001","Turtle Bay-East Midtown"
"Manhattan Chili Company","Lower Level Dining Concourse","Food & Drink","Quick-Serve Eatery","212-682-6644","Grand Central Terminal",,"MANHATTAN","40.752101","-73.977604","5","4","92",,"1012800001","Turtle Bay-East Midtown"
"Masato Sushi","Lower Level Dining Concourse","Food & Drink","Quick-Serve Eatery","212-972-3688","Grand Central Terminal",,"MANHATTAN","40.752101","-73.977604","5","4","92",,"1012800001","Turtle Bay-East Midtown"
"Mendy's Kosher Deli","Lower Level Dining Concourse","Food & Drink","Quick-Serve Eatery","212-856-9399","Grand Central Terminal",,"MANHATTAN","40.752101","-73.977604","5","4","92",,"1012800001","Turtle Bay-East Midtown"
"New York Pretzel","Lower Level Dining Concourse","Food & Drink","Quick-Serve Eatery","516-384-5282","Grand Central Terminal",,"MANHATTAN","40.752101","-73.977604","5","4","92",,"1012800001","Turtle Bay-East Midtown"
"Paninoteca Italiana","Lower Level Dining Concourse","Food & Drink","Quick-Serve Eatery","212-490-8531","Grand Central Terminal",,"MANHATTAN","40.752101","-73.977604","5","4","92",,"1012800001","Turtle Bay-East Midtown"
"Caffe Pepe Rosso","Lower Level Dining Concourse","Food & Drink","Quick-Serve Eatery","212-867-6054","Grand Central Terminal",,"MANHATTAN","40.752101","-73.977604","5","4","92",,"1012800001","Turtle Bay-East Midtown"
"Two Boots","Lower Level Dining Concourse","Food & Drink","Quick-Serve Eatery","212-557-7992","Grand Central Terminal",,"MANHATTAN","40.752101","-73.977604","5","4","92",,"1012800001","Turtle Bay-East Midtown"
"Zaro's Bakery","Lower Level Dining Concourse","Food & Drink","Quick-Serve Eatery","212-292-0160","Grand Central Terminal",,"MANHATTAN","40.752101","-73.977604","5","4","92",,"1012800001","Turtle Bay-East Midtown"
"Zocalo","Lower Level Dining Concourse","Food & Drink","Restaurant","212-687-5666","Grand Central Terminal",,"MANHATTAN","40.752101","-73.977604","5","4","92",,"1012800001","Turtle Bay-East Midtown"
"The Beverage Bar","Shuttle Passage","Food & Drink","Quick-Serve Eatery","646-865-0314","Grand Central Terminal",,"MANHATTAN","40.752101","-73.977604","5","4","92",,"1012800001","Turtle Bay-East Midtown"
"Hudson News ","Shuttle Passage","Misc. Retail","Newsstand",,"Grand Central Terminal",,"MANHATTAN","40.752101","-73.977604","5","4","92",,"1012800001","Turtle Bay-East Midtown"
"Chase ATM","Shuttle Passage","Financial Services","Bank (ATM Only)","Currency Exchange","Grand Central Terminal",,"MANHATTAN","40.752101","-73.977604","5","4","92",,"1012800001","Turtle Bay-East Midtown"
"Francesco's","Shuttle Passage","Pers. & Prof. Services","Hair Salon","212-682-3157","Grand Central Terminal",,"MANHATTAN","40.752101","-73.977604","5","4","92",,"1012800001","Turtle Bay-East Midtown"
"Hot & Crusty","Shuttle Passage","Food & Drink","Quick-Serve Eatery","212-687-6054","Grand Central Terminal",,"MANHATTAN","40.752101","-73.977604","5","4","92",,"1012800001","Turtle Bay-East Midtown"
"New York Transit Museum","Shuttle Passage","Misc. Retail","Gifts/Souvenirs","212-878-0106","Grand Central Terminal",,"MANHATTAN","40.752101","-73.977604","5","4","92",,"1012800001","Turtle Bay-East Midtown"
"Posman Books","Shuttle Passage","Misc. Retail","Bookstore","212-983-1111","Grand Central Terminal",,"MANHATTAN","40.752101","-73.977604","5","4","92",,"1012800001","Turtle Bay-East Midtown"
"Pylones","Shuttle Passage","Misc. Retail","Home Furnishings","212-867-0969","Grand Central Terminal",,"MANHATTAN","40.752101","-73.977604","5","4","92",,"1012800001","Turtle Bay-East Midtown"
"Rite Aid","Shuttle Passage","Pers. & Prof. Services","Pharmacy","212-972-8269","Grand Central Terminal",,"MANHATTAN","40.752101","-73.977604","5","4","92",,"1012800001","Turtle Bay-East Midtown"
"Zaro's Bread Basket","Shuttle Passage","Food & Drink","Specialty Food Store",,"Grand Central Terminal",,"MANHATTAN","40.752101","-73.977604","5","4","92",,"1012800001","Turtle Bay-East Midtown"
"Bank of America","200 Park Ave ","Financial Services","Full-Service Branch","212-949-0102","between 44th - 45th St (indoors)","10166","MANHATTAN","40.754162","-73.976557","5","4","92","1085735","1012809010","Turtle Bay-East Midtown                                                    "
"Dreyfus","200 Park Ave ","Financial Services","Full-Service Branch","212-922-6500","between 44th - 45th St (indoors)","10166","MANHATTAN","40.754162","-73.976557","5","4","92","1085735","1012809010","Turtle Bay-East Midtown                                                    "
"Citibank","200 Park Ave ","Financial Services","Full-Service Branch",,"between 44th - 45th St (indoors)","10166","MANHATTAN","40.754162","-73.976557","5","4","92","1085735","1012809010","Turtle Bay-East Midtown                                                    "
"Martin & Sons","200 Park Ave ","Misc. Retail","Newsstand",,"between 44th - 45th St (indoors)","10166","MANHATTAN","40.754162","-73.976557","5","4","92","1085735","1012809010","Turtle Bay-East Midtown                                                    "
"Gramercy Park Floral Shop","200 Park Ave ","Misc. Retail","Florist",,"between 44th - 45th St (indoors)","10166","MANHATTAN","40.754162","-73.976557","5","4","92","1085735","1012809010","Turtle Bay-East Midtown                                                    "
"Cucina Café","200 Park Ave ","Food & Drink","Restaurant","212-682-2211","between 44th - 45th St (indoors)","10166","MANHATTAN","40.754162","-73.976557","5","4","92","1085735","1012809010","Turtle Bay-East Midtown                                                    "
"Swarovski","200 Park Ave ","AA&F","Acc., Jewelry & Watches","212-867-4152","between 44th - 45th St (indoors)","10166","MANHATTAN","40.754162","-73.976557","5","4","92","1085735","1012809010","Turtle Bay-East Midtown                                                    "
"Cucina & Co","200 Park Ave ","Food & Drink","Quick-Serve Eatery","212-682-2700","between 44th - 45th St (indoors)","10166","MANHATTAN","40.754162","-73.976557","5","4","92","1085735","1012809010","Turtle Bay-East Midtown                                                    "
"NYSC","200 Park Ave ","Pers. & Prof. Services","Fitness Club","212-682-4440","between 44th - 45th St (indoors)","10166","MANHATTAN","40.754162","-73.976557","5","4","92","1085735","1012809010","Turtle Bay-East Midtown                                                    "
"Links of London","200 Park Ave ","AA&F","Acc., Jewelry & Watches","212-867-0258","between 44th - 45th St (indoors)","10166","MANHATTAN","40.754162","-73.976557","5","4","92","1085735","1012809010","Turtle Bay-East Midtown                                                    "
"Godiva Chocolatier","200 Park Ave ","Food & Drink","Specialty Food Store","212-697-9150","between 44th - 45th St (indoors)","10166","MANHATTAN","40.754162","-73.976557","5","4","92","1085735","1012809010","Turtle Bay-East Midtown                                                    "
"Grand Café ","230 Park Ave ","Food & Drink","Quick-Serve Eatery","212-883-6789","between 45th - 46th St","10169","MANHATTAN","40.754508","-73.975951","5","4","92","1036185","1013000001","Turtle Bay-East Midtown                                                    "
"Lea","230 Park Ave ","Food & Drink","Restaurant",,"between 45th - 46th St","10169","MANHATTAN","40.754508","-73.975951","5","4","92","1036185","1013000001","Turtle Bay-East Midtown                                                    "
"Bobby Van's Steakhouse","230 Park Ave ","Food & Drink","Restaurant","212-867-5490","at 46th St","10169","MANHATTAN","40.754508","-73.975951","5","4","92","1036185","1013000001","Turtle Bay-East Midtown                                                    "
"Subway","237 Park Ave","Food & Drink","Quick-Serve Eatery",,"between 45th - 46th St.","10017","MANHATTAN","40.753904","-73.975514","5","4","92","1036186","1013000014","Turtle Bay-East Midtown                                                    "
"Hatsuhana","237 Park Ave","Food & Drink","Restaurant","212-661-3400","between 45th - 46th St","10017","MANHATTAN","40.753904","-73.975514","5","4","92","1036186","1013000014","Turtle Bay-East Midtown                                                    "
"Xerox","245 Park Ave ","Pers. & Prof. Services","Printing/Shipping","212-716-4000","between 46th - 47th St ","10017","MANHATTAN","40.754826","-73.975683","5","4","92","1036205","1013010001","Turtle Bay-East Midtown                                                    "
"Audi","250 Park Ave ","Misc. Retail","Automotive","212-370-2834","between 46th - 47th St","10017","MANHATTAN","40.755018","-73.975568","5","4","94","1035405","1012820034","Midtown-Midtown South                                                      "
"Chase Bank","277 Park Ave","Financial Services","Bank (ATM Only)",,"between 47th-48th St","10172","MANHATTAN","40.755564","-73.975138","5","4","92","1076268","1013027501","Turtle Bay-East Midtown                                                    "
"Chase Bank","277 Park Ave ","Financial Services","Full-Service Branch","212-888-3400","between 47th-48th St","10172","MANHATTAN","40.755564","-73.975138","5","4","92","1076268","1013027501","Turtle Bay-East Midtown                                                    "
"E Trade Financial ","300 Park Ave ","Financial Services","Full-Service Branch","866-789-0716 ext. 0089","between 49th - 50th St","10022","MANHATTAN","40.756802","-73.974271","5","4","102","1081146","1012850036","Midtown-Midtown South                                                      "
"Signature Bank","300 Park Ave ","Financial Services","Full-Service Branch","646-822-1636","between 49th - 50th St","10022","MANHATTAN","40.756802","-73.974271","5","4","102","1081146","1012850036","Midtown-Midtown South                                                      "
"Charles Schwab","300 Park Ave ","Financial Services","Other Financial Services","212-308-4748","between 49th - 50th St","10022","MANHATTAN","40.756802","-73.974271","5","4","102","1081146","1012850036","Midtown-Midtown South                                                      "
"Capital One Bank","320 Park Ave","Financial Services","Full-Service Branch","212-755-5055","between 49th - 50th St","10022","MANHATTAN","40.75745","-73.973798","5","4","102","1035464","1012860035","Midtown-Midtown South                                                      "
"First Republic Bank","320 Park Ave ","Financial Services","Full-Service Branch","646-282-3440","between 50th - 51st St","10022","MANHATTAN","40.75745","-73.973798","5","4","102","1035464","1012860035","Midtown-Midtown South                                                      "
"Bank of America","345 Park Ave ","Financial Services","Full-Service Branch","212-355-4436","between 51st - 52nd St","10154","MANHATTAN","40.758171","-73.973246","5","4","100","1036460","1013060001","Turtle Bay-East Midtown                                                    "
"AT&T","350 Park Ave ","Misc. Retail","Elec. & Telecom.",,"between 51st - 52nd St","10022","MANHATTAN","40.758224","-73.973231","5","4","102","1035473","1012870033","Midtown-Midtown South                                                      "
"Valley National Bank","350 Park Ave ","Financial Services","Full-Service Branch","212-220-0871","between 51st - 52nd St","10022","MANHATTAN","40.758224","-73.973231","5","4","102","1035473","1012870033","Midtown-Midtown South                                                      "
"Fidelity Investments","350 Park Ave ","Financial Services","Other Financial Services","800-662-6008","between 51st - 52nd St","10022","MANHATTAN","40.758224","-73.973231","5","4","102","1035473","1012870033","Midtown-Midtown South                                                      "
"Chase","360 Park Ave","Financial Services","Full-Service Branch","212-527-3600","between 52nd - 53rd St","10022","MANHATTAN","40.758531","-73.973011","5","4","102","1035713","1012880033","Midtown-Midtown South                                                      "
"American Express Travel Services","374 Park Ave ","Pers. & Prof. Services","Travel Services","212-223-8123","between 52nd - 53rd St","10022","MANHATTAN","40.758915","-73.972733","5","4","102","1035713","1012880033","Midtown-Midtown South                                                      "
"Central Parking System","375 Park Ave ","Parking","Parking Lots & Garages",,"on 53rd St","10022","MANHATTAN","40.758786","-73.972801","5","4","100","1036465","1013070001","Turtle Bay-East Midtown                                                    "
"Dishes","399 Park Ave. ","Food & Drink","Quick-Serve Eatery","212-421-5511","between 53rd-54th St","10022","MANHATTAN","40.759541","-73.972245","5","4","100","1071457","1013087502","Turtle Bay-East Midtown                                                    "
"Citibank","399 Park Ave. ","Financial Services","Full-Service Branch","212-559-7299","between 53rd-54th St","10022","MANHATTAN","40.759541","-73.972245","5","4","100","1071457","1013087502","Turtle Bay-East Midtown                                                    "
"Tequilaville","14 Vanderbilt Ave ","Food & Drink","Restaurant","212-563-7440","between 42nd - 43rd St","10017","MANHATTAN","40.752839","-73.978066","5","4","94","1035350","1012770027","Midtown-Midtown South                                                      "
"Central Café","16 Vanderbilt Ave","Food & Drink","Quick-Serve Eatery","212-6878-6700","between 42nd - 43rd St","10017","MANHATTAN","40.752894","-73.97803","5","4","94","1035350","1012770027","Midtown-Midtown South                                                      "
"La Fonda Del Sol","33 Vanderbilt Ave ","Food & Drink","Restaurant","212-867-6767","between 42nd - 43rd St","10017","MANHATTAN","40.753353","-73.977683","5","4","92","1085630","1012800010","Turtle Bay-East Midtown                                                    "
"Ammos","52 Vanderbilt Ave ","Food & Drink","Restaurant","212-922-9999","between 44th - 45th St","10017","MANHATTAN","40.754036","-73.977214","5","4","94","1035375","1012790045","Midtown-Midtown South                                                      "
"Blake & Todd","52 Vanderbilt Ave ","Food & Drink","Quick-Serve Eatery","212-883-0010","between 44th - 45th St","10017","MANHATTAN","40.754036","-73.977214","5","4","94","1035375","1012790045","Midtown-Midtown South                                                      "
"Fedex Office","230 Park Ave","Pers. & Prof. Services","Printing/Shipping","212-949-2534","on Vanderbilt Ave","10017","MANHATTAN","40.754508","-73.975951","5","4","92","1036185","1013000001","Turtle Bay-East Midtown                                                    "
"Duane Reade","230 Park Ave ","Misc. Retail","Pharmacy","212-682-0139","between 45th - 46th St","10169","MANHATTAN","40.754508","-73.975951","5","4","92","1036185","1013000001","Turtle Bay-East Midtown                                                    "
"Devon & Blakely","250 Park Ave ","Food & Drink","Quick-Serve Eatery","212-661-0101","on 47th St and Vanderbilt","10177","MANHATTAN","40.755018","-73.975568","5","4","94","1035405","1012820034","Midtown-Midtown South                                                      "
"Roche Bobois Paris","200 Madison Ave","Misc. Retail","Home Furnishings","212-889-5304 ","between 35th-36th St","10016","MANHATTAN","40.748528","-73.982413","5","4","82","1017122","1008650014","Murray Hill-Kips Bay                                                       "
"New York Sports Club","200 Madison Ave ","Pers. & Prof. Services","Fitness Club","212-686-1144","between 35th - 36th St","10016","MANHATTAN","40.748528","-73.982413","5","4","82","1017122","1008650014","Murray Hill-Kips Bay                                                       "
"Starbucks","200 Madison Ave ","Food & Drink","Quick-Serve Eatery","212-684-6873","between 35th - 36th St","10016","MANHATTAN","40.748528","-73.982413","5","4","82","1017122","1008650014","Murray Hill-Kips Bay                                                       "
"Chase","260 Madison Ave ","Financial Services","Full-Service Branch","212-779-1036","between 38th - 39th St","10016","MANHATTAN","40.750707","-73.980828","5","4","82","1017230","1008680016","Murray Hill-Kips Bay                                                       "
"Duane Reade","260 Madison Ave ","Pers. & Prof. Services","Pharmacy",,"between 38th - 39th St","10016","MANHATTAN","40.750707","-73.980828","5","4","82","1017230","1008680016","Murray Hill-Kips Bay                                                       "
"Staples Copy & Print Shop","261 Madison Ave","Pers. & Prof. Services","Printing/Shipping","212-697-2615","between 38th - 39th St","10016","MANHATTAN","40.750806","-73.98073","6","4","82","1017231","1008680025","Murray Hill-Kips Bay                                                       "
"Fed Ex Office Ship Center","261 Madison Ave","Pers. & Prof. Services","Printing/Shipping",,"between 38th-39th St","10016","MANHATTAN","40.750806","-73.98073","6","4","82","1017231","1008680025","Murray Hill-Kips Bay                                                       "
"Signature","261 Madison Ave ","Financial Services","Full-Service Branch","646-822-1500","between 38th-39th St","10016","MANHATTAN","40.750806","-73.98073","6","4","82","1017231","1008680025","Murray Hill-Kips Bay                                                       "
"Salute!","270 Madison Ave ","Food & Drink","Restaurant","212-213-3440","between 39th - 40th St","10016","MANHATTAN","40.751124","-73.980525","5","4","82","1017588","1008690016","Murray Hill-Kips Bay                                                       "
"Rainbow","270 Madison Ave ","AA&F","Women's Apparel","212-448-0025","between 39th - 40th St","10016","MANHATTAN","40.751124","-73.980525","5","4","82","1017588","1008690016","Murray Hill-Kips Bay                                                       "
"Chipotle","274 Madison Ave ","Food & Drink","Quick-Serve Eatery","212-689-1245","between 39th - 40th St","10016","MANHATTAN","40.751248","-73.980434","5","4","82","1017598","1008690058","Murray Hill-Kips Bay                                                       "
"McDonalds","280 Madison Ave ","Food & Drink","Quick-Serve Eatery","212-619-1848","between 39th-40th St","10016","MANHATTAN","40.751432","-73.980301","5","4","82","1017599","1008690061","Murray Hill-Kips Bay                                                       "
"Verona Deli","265 Madison Ave","Food & Drink","Quick-Serve Eatery","212-532-3040 ","between 39th-40th St","10016","MANHATTAN","40.750866","-73.980319","6","4","82","1017591","1008690024","Murray Hill-Kips Bay                                                       "
"Mulligan's Pub","267 Madison Ave","Food & Drink","Bars & Lounges","212- 286-0207 ","between 39th-40th St","10016","MANHATTAN","40.751116","-73.980507","6","4","82","1017590","1008690022","Murray Hill-Kips Bay                                                       "
"Madison Garden Nail Salon","267 Madison Ave ","Pers. & Prof. Services","Nail Salon","212-370-4151","between 39th-40th St","10016","MANHATTAN","40.751116","-73.980507","6","4","82","1017590","1008690022","Murray Hill-Kips Bay                                                       "
"Vacant","269 Madison Ave ","Vacant","Vacant","212-684-4848","between 39th-40th St","10016","MANHATTAN","40.751179","-73.98046","6","4","82","1017589","1008690020","Murray Hill-Kips Bay                                                       "
"Dig Inn Seasonal Market","275 Madison Ave ","Food & Drink","Quick-Serve Eatery",,"between 39th-40th St","10016","MANHATTAN","40.751261","-73.979868","6","4","82","1017597","1008690054","Murray Hill-Kips Bay                                                       "
"Valley National Bank","275 Madison Ave ","Financial Services","Full-Service Branch","212-867-6242","between 39th-40th St","10016","MANHATTAN","40.751261","-73.979868","6","4","82","1017597","1008690054","Murray Hill-Kips Bay                                                       "
"4-Food","286 Madison Ave ","Food & Drink","Quick-Serve Eatery",,"between 40th - 41st St","10017","MANHATTAN","40.751728","-73.980084","5","4","82","1035316","1012750014","Murray Hill-Kips Bay                                                       "
"Britches of New York","290 Madison Ave ","AA&F","Men's Apparel","212-685-2208","between 40th - 41st St","10017","MANHATTAN","40.751835","-73.980005","5","4","82","1035317","1012750016","Murray Hill-Kips Bay                                                       "
"Park Ave Liquor Shop","292 Madison Ave ","Misc. Retail","Wine & Liquor Store","212-685-2442","between 40th - 41st St","10017","MANHATTAN","40.75189","-73.979965","5","4","82","1035322","1012750059","Murray Hill-Kips Bay                                                       "
"Liberty Travel","298 Madison Ave ","Pers. & Prof. Services","Travel Services","212-689-5600","between 40th - 41st St","10017","MANHATTAN","40.752052","-73.979846","5","4","82","1035322","1012750059","Murray Hill-Kips Bay                                                       "
"Hallmark","281 Madison Ave ","Misc. Retail","Greeting Cards & Stationary","212-697-2971","between 39th-40th St","10016","MANHATTAN","40.751659","-73.980109","5","4","82","1035318","1012750023","Murray Hill-Kips Bay                                                       "
"O'Henry's Film Works/Doi Camera","283 Madison Ave","Misc. Retail","Art & Photography Supplies","(212) 599-9312?","between 40th - 41st St","10017","MANHATTAN","40.751706","-73.980073","5","4","82","1035318","1012750023","Murray Hill-Kips Bay                                                       "
"Pret A Manger","287 Madison Ave","Food & Drink","Quick-Serve Eatery","212-867-0400","between 40th - 41st St","10017","MANHATTAN","40.751805","-73.980005","5","4","82","1035318","1012750023","Murray Hill-Kips Bay                                                       "
"Riflessi","289 Madison Ave","AA&F","Men's Apparel","212-679-4875","between 40th - 41st St","10017","MANHATTAN","40.751852","-73.979969","5","4","82","1035318","1012750023","Murray Hill-Kips Bay                                                       "
"Heavenly Burger","291 Madison Ave","Food & Drink","Restaurant","212-685-6250","between 40th - 41st St","10017","MANHATTAN","40.751901","-73.979933","5","4","82","1035318","1012750023","Murray Hill-Kips Bay                                                       "
"Aerosoles","293 Madison Ave","AA&F","Unisex Footwear","212-661-1271","between 40th - 41st St","10017","MANHATTAN","40.751948","-73.979896","5","4","82","1035318","1012750023","Murray Hill-Kips Bay                                                       "
"Starbucks","295 Madison Ave ","Food & Drink","Quick-Serve Eatery","212-922-9126","between 40th - 41st St","10017","MANHATTAN","40.751997","-73.979864","5","4","82","1035321","1012750050","Murray Hill-Kips Bay                                                       "
"Fragance and Beauty Outlet","301 Madison Ave ","Misc. Retail","Health & Beauty",,"between 41st - 42nd St","10017","MANHATTAN","40.752282","-73.979654","5","4","82","1035331","1012760022","Murray Hill-Kips Bay                                                       "
"Pera","303 Madison Ave ","Food & Drink","Restaurant","212-878-6301","between 41st - 42nd St","10017","MANHATTAN","40.752337","-73.979615","5","4","82","1035335","1012760042","Murray Hill-Kips Bay                                                       "
"T-Mobile","307 Madison Ave ","Misc. Retail","Elec. & Telecom.","212-687-4800","between 41st - 42nd St","10017","MANHATTAN","40.752444","-73.979535","5","4","82","1035336","1012760051","Murray Hill-Kips Bay                                                       "
"Food Exchange","309 Madison Ave ","Food & Drink","Quick-Serve Eatery","212-697-0400","between 41st - 42nd St","10017","MANHATTAN","40.752499","-73.979496","5","4","82","1035336","1012760051","Murray Hill-Kips Bay                                                       "
"Ann Taylor ","330 Madison Ave ","AA&F","Women's Apparel","212-949-0008","between 42nd - 43rd St","10017","MANHATTAN","40.753383","-73.978871","5","4","94","1035348","1012770014","Midtown-Midtown South                                                      "
"Bread and Company","317 Madison Ave ","Food & Drink","Quick-Serve Eatery",,"between 42nd - 43rd St","10017","MANHATTAN","40.753001","-73.978936","5","4","94","1035349","1012770014","Midtown-Midtown South                                                      "
"Shoe Mania","331 Madison Ave","AA&F","Unisex Footwear","212-557-6627","between 42nd - 43rd St","10017","MANHATTAN","40.753375","-73.978849","5","4","94","1035352","1012770027","Midtown-Midtown South                                                      "
"Easy Spirit","331 Madison Ave ","AA&F","Unisex Footwear","212-286-8726","between 42nd - 43rd St","10017","MANHATTAN","40.753375","-73.978849","5","4","94","1035352","1012770027","Midtown-Midtown South                                                      "
"Verizon Wireless","340 Madison Ave ","Misc. Retail","Elec. & Telecom.",,"between 43rd - 44th St","10017","MANHATTAN","40.753869","-73.978513","5","4","94","1035357","1012780014","Midtown-Midtown South                                                      "
"PNC Bank","340 Madison Ave ","Financial Services","Full-Service Branch","212-856-6100","between 43rd - 44th St","10017","MANHATTAN","40.753869","-73.978513","5","4","94","1035357","1012780014","Midtown-Midtown South                                                      "
"Starbucks","344 Madison Ave ","Food & Drink","Quick-Serve Eatery",,"between 44th - 45th St","10017","MANHATTAN","40.754011","-73.978409","5","4","94","1035357","1012780014","Midtown-Midtown South                                                      "
"Van Laak","340 Madison Ave","AA&F","Men's Apparel","21112-867-4041","between 43rd - 44th St","10017","MANHATTAN","40.753869","-73.978513","5","4","94","1035357","1012780014","Midtown-Midtown South                                                      "
"Coach","342 Madison Ave ","AA&F","Unisex Footwear","212-599-4777","between 44th - 45th St","10017","MANHATTAN","40.75394","-73.978463","5","4","94","1035357","1012780014","Midtown-Midtown South                                                      "
"Alden Shoes","344 Madison Ave ","AA&F","Men's Footwear","212-687-3023","between 44th - 45th St","10017","MANHATTAN","40.754011","-73.978409","5","4","94","1035357","1012780014","Midtown-Midtown South                                                      "
"Bank of America","335 Madison Ave ","Financial Services","Full-Service Branch","646-358-1660","between 43rd - 44th St","10017","MANHATTAN","40.753715","-73.9786","5","4","94","1035360","1012780020","Midtown-Midtown South                                                      "
"Daffy's","335 Madison Ave","AA&F","Unisex Apparel","212-557-4422","between 43rd - 44th St","10017","MANHATTAN","40.753715","-73.9786","5","4","94","1035360","1012780020","Midtown-Midtown South                                                      "
"Brooks Brothers ","346 Madison Ave ","AA&F","Men's Apparel","212-682-8800","between 44th - 45th St","10017","MANHATTAN","40.754198","-73.978275","5","4","94","1035370","1012790017","Midtown-Midtown South                                                      "
"Paul Stuart ","350 Madison Ave ","AA&F","Men's Apparel","212-682-0320","between 44th - 45th St","10017","MANHATTAN","40.754374","-73.978145","5","4","94","1035377","1012790057","Midtown-Midtown South                                                      "
"Nine West","341 Madison Ave ","AA&F","Women's Footwear","212-370-9107","between 44th - 45th St","10017","MANHATTAN","40.754066","-73.977986","5","4","94","1035372","1012790024","Midtown-Midtown South                                                      "
