"development","tds","building","borough","house","street","address","city","state","zip_code","bin","block","lot","borough_block_lot","census_tract_2010","neighborhood_tabulation_area","neighborhood_tabulation_area_1","community_district","city_council_district","state_assembly_district","state_senate_district","us_congressional_district","latitude","longitude"
"BREUKELEN","56","7","BROOKLYN","108-35","FLATLANDS AVENUE","108-35 FLATLANDS AVENUE","BROOKLYN","NY","11236","3321346","8158","205","3081580205","982","BK50","Canarsie","18","42","60","19","8","40.6497486657741","-73.892026853887"
"BREUKELEN","56","7","BROOKLYN","108-37","FLATLANDS AVENUE","108-37 FLATLANDS AVENUE","BROOKLYN","NY","11236","3321346","8158","205","3081580205","982","BK50","Canarsie","18","42","60","19","8","40.650139507715","-73.8920680310419"
"BREUKELEN","56","7","BROOKLYN","108-39","FLATLANDS AVENUE","108-39 FLATLANDS AVENUE","BROOKLYN","NY","11236","3321346","8158","205","3081580205","982","BK50","Canarsie","18","42","60","19","8","40.6499546024069","-73.8920324204373"
"BREUKELEN","56","7","BROOKLYN","108-41","FLATLANDS AVENUE","108-41 FLATLANDS AVENUE","BROOKLYN","NY","11236","3321346","8158","205","3081580205","982","BK50","Canarsie","18","42","60","19","8","40.6501339772056","-73.89192086077"
"BREUKELEN","56","8","BROOKLYN","719","EAST 103RD STREET","719 EAST 103RD STREET","BROOKLYN","NY","11236","3321517","8191","1","3081910001","982","BK50","Canarsie","18","42","58","19","8","40.647719044587","-73.89709857169"
"BREUKELEN","56","8","BROOKLYN","103-12","GLENWOOD ROAD","103-12 GLENWOOD ROAD","BROOKLYN","NY","11236","3321517","8191","1","3081910001","982","BK50","Canarsie","18","42","58","19","8","40.6480470857975","-73.8972379857915"
"BREUKELEN","56","9","BROOKLYN","104-06","GLENWOOD ROAD","104-06 GLENWOOD ROAD","BROOKLYN","NY","11236","3321516","8191","1","3081910001","982","BK50","Canarsie","18","42","58","19","8","40.6484340493752","-73.8966822157048"
"BREUKELEN","56","9","BROOKLYN","716","EAST 105TH STREET","716 EAST 105TH STREET","BROOKLYN","NY","11236","3321516","8191","1","3081910001","982","BK50","Canarsie","18","42","58","19","8","40.6485354847975","-73.8962392546879"
"BREUKELEN","56","10","BROOKLYN","106-08","GLENWOOD ROAD","106-08 GLENWOOD ROAD","BROOKLYN","NY","11236","3321518","8193","1","3081930001","982","BK50","Canarsie","18","42","60","19","8","40.6496450300965","-73.8948054656198"
"BREUKELEN","56","10","BROOKLYN","106-06","GLENWOOD ROAD","106-06 GLENWOOD ROAD","BROOKLYN","NY","11236","3321518","8193","1","3081930001","982","BK50","Canarsie","18","42","60","19","8","40.6494455228943","-73.8947797691164"
"BREUKELEN","56","10","BROOKLYN","106-04","GLENWOOD ROAD","106-04 GLENWOOD ROAD","BROOKLYN","NY","11236","3321518","8193","1","3081930001","982","BK50","Canarsie","18","42","60","19","8","40.6494429907441","-73.8949986278297"
"BREUKELEN","56","10","BROOKLYN","106-02","GLENWOOD ROAD","106-02 GLENWOOD ROAD","BROOKLYN","NY","11236","3321518","8193","1","3081930001","982","BK50","Canarsie","18","42","60","19","8","40.6494233691661","-73.8952067495173"
"BREUKELEN","56","11","BROOKLYN","718","EAST 108TH STREET","718 EAST 108TH STREET","BROOKLYN","NY","11236","3321519","8193","1","3081930001","982","BK50","Canarsie","18","42","60","19","8","40.649700002655","-73.893931350649"
"BREUKELEN","56","11","BROOKLYN","716","EAST 108TH STREET","716 EAST 108TH STREET","BROOKLYN","NY","11236","3321519","8193","1","3081930001","982","BK50","Canarsie","18","42","60","19","8","40.6496920488991","-73.8941968603908"
"BREUKELEN","56","11","BROOKLYN","714","EAST 108TH STREET","714 EAST 108TH STREET","BROOKLYN","NY","11236","3321519","8193","1","3081930001","982","BK50","Canarsie","18","42","60","19","8","40.6498641986123","-73.894189410658"
"BREUKELEN","56","11","BROOKLYN","712","EAST 108TH STREET","712 EAST 108TH STREET","BROOKLYN","NY","11236","3321519","8193","1","3081930001","982","BK50","Canarsie","18","42","60","19","8","40.6500117948127","-73.8942250556006"
"BREUKELEN","56","12","BROOKLYN","711","EAST 108TH STREET","711 EAST 108TH STREET","BROOKLYN","NY","11236","3321344","8158","205","3081580205","982","BK50","Canarsie","18","42","60","19","8","40.6503728375547","-73.8936798760641"
"BREUKELEN","56","12","BROOKLYN","713","EAST 108TH STREET","713 EAST 108TH STREET","BROOKLYN","NY","11236","3321344","8158","205","3081580205","982","BK50","Canarsie","18","42","60","19","8","40.65038352561","-73.8934179475761"
"BREUKELEN","56","12","BROOKLYN","715","EAST 108TH STREET","715 EAST 108TH STREET","BROOKLYN","NY","11236","3321344","8158","205","3081580205","982","BK50","Canarsie","18","42","60","19","8","40.6502332311545","-73.8934181888546"
"BREUKELEN","56","12","BROOKLYN","717","EAST 108TH STREET","717 EAST 108TH STREET","BROOKLYN","NY","11236","3321344","8158","205","3081580205","982","BK50","Canarsie","18","42","60","19","8","40.650055576357","-73.8933825947951"
"BREUKELEN","56","13","BROOKLYN","998","WILLIAMS AVENUE","998 WILLIAMS AVENUE","BROOKLYN","NY","11207","3321347","8158","205","3081580205","982","BK50","Canarsie","18","42","60","19","8","40.650653892863","-73.8924575445598"
"BREUKELEN","56","13","BROOKLYN","996","WILLIAMS AVENUE","996 WILLIAMS AVENUE","BROOKLYN","NY","11207","3321347","8158","205","3081580205","982","BK50","Canarsie","18","42","60","19","8","40.6506295501474","-73.8927266718572"
"BREUKELEN","56","13","BROOKLYN","994","WILLIAMS AVENUE","994 WILLIAMS AVENUE","BROOKLYN","NY","11207","3321347","8158","205","3081580205","982","BK50","Canarsie","18","42","60","19","8","40.6508044352632","-73.8927228034276"
"BREUKELEN","56","13","BROOKLYN","992","WILLIAMS AVENUE","992 WILLIAMS AVENUE","BROOKLYN","NY","11207","3321347","8158","205","3081580205","982","BK50","Canarsie","18","42","60","19","8","40.6509574962368","-73.8927584356623"
"BREUKELEN","56","14","BROOKLYN","671","EAST 105TH STREET","671 EAST 105TH STREET","BROOKLYN","NY","11236","3321414","8174","1","3081740001","982","BK50","Canarsie","18","42","60","19","8","40.6493829654322","-73.8963513294492"
"BREUKELEN","56","14","BROOKLYN","105-13","GLENWOOD ROAD","105-13 GLENWOOD ROAD","BROOKLYN","NY","11236","3321414","8174","1","3081740001","982","BK50","Canarsie","18","42","60","19","8","40.6496946053172","-73.896483593267"
"BREUKELEN","56","15","BROOKLYN","106-03","GLENWOOD ROAD","106-03 GLENWOOD ROAD","BROOKLYN","NY","11236","3321413","8174","1","3081740001","982","BK50","Canarsie","18","42","60","19","8","40.6498199867466","-73.8957116177675"
"BREUKELEN","56","15","BROOKLYN","106-05","GLENWOOD ROAD","106-05 GLENWOOD ROAD","BROOKLYN","NY","11236","3321413","8174","1","3081740001","982","BK50","Canarsie","18","42","60","19","8","40.6499812060826","-73.8957041901983"
"BREUKELEN","56","15","BROOKLYN","106-07","GLENWOOD ROAD","106-07 GLENWOOD ROAD","BROOKLYN","NY","11236","3321413","8174","1","3081740001","982","BK50","Canarsie","18","42","60","19","8","40.6501424765607","-73.8957541671656"
"BREUKELEN","56","15","BROOKLYN","106-09","GLENWOOD ROAD","106-09 GLENWOOD ROAD","BROOKLYN","NY","11236","3321413","8174","1","3081740001","982","BK50","Canarsie","18","42","60","19","8","40.6501640932933","-73.8954850472193"
"BREUKELEN","56","16","BROOKLYN","107-17","GLENWOOD ROAD","107-17 GLENWOOD ROAD","BROOKLYN","NY","11236","3321412","8174","1","3081740001","982","BK50","Canarsie","18","42","60","19","8","40.650311958473","-73.8948902978049"
"BREUKELEN","56","16","BROOKLYN","107-19","GLENWOOD ROAD","107-19 GLENWOOD ROAD","BROOKLYN","NY","11236","3321412","8174","1","3081740001","982","BK50","Canarsie","18","42","60","19","8","40.6504731810265","-73.8948864565908"
"BREUKELEN","56","16","BROOKLYN","107-21","GLENWOOD ROAD","107-21 GLENWOOD ROAD","BROOKLYN","NY","11236","3321412","8174","1","3081740001","982","BK50","Canarsie","18","42","60","19","8","40.6506399039765","-73.8949220720941"
"BREUKELEN","56","17","BROOKLYN","651","EAST 108TH STREET","651 EAST 108TH STREET","BROOKLYN","NY","11236","3331299","8158","1","3081580001","982","BK50","Canarsie","18","42","60","19","8","40.6511245208489","-73.8945142183401"
"BREUKELEN","56","17","BROOKLYN","653","EAST 108TH STREET","653 EAST 108TH STREET","BROOKLYN","NY","11236","3331299","8158","1","3081580001","982","BK50","Canarsie","18","42","60","19","8","40.6511434223022","-73.8942666253983"
"BREUKELEN","56","17","BROOKLYN","655","EAST 108TH STREET","655 EAST 108TH STREET","BROOKLYN","NY","11236","3331299","8158","1","3081580001","982","BK50","Canarsie","18","42","60","19","8","40.6509821964838","-73.8942668809093"
"BREUKELEN","56","17","BROOKLYN","657","EAST 108TH STREET","657 EAST 108TH STREET","BROOKLYN","NY","11236","3331299","8158","1","3081580001","982","BK50","Canarsie","18","42","60","19","8","40.6508127270701","-73.8942169199066"
"BREUKELEN","56","18","BROOKLYN","974","WILLIAMS AVENUE","974 WILLIAMS AVENUE","BROOKLYN","NY","11207","3331300","8158","1","3081580001","982","BK50","Canarsie","18","42","60","19","8","40.6512630370614","-73.893441957216"
"BREUKELEN","56","18","BROOKLYN","972","WILLIAMS AVENUE","972 WILLIAMS AVENUE","BROOKLYN","NY","11207","3331300","8158","1","3081580001","982","BK50","Canarsie","18","42","60","19","8","40.6514953175873","-73.8934487619507"
"BREUKELEN","56","18","BROOKLYN","970","WILLIAMS AVENUE","970 WILLIAMS AVENUE","BROOKLYN","NY","11207","3331300","8158","1","3081580001","982","BK50","Canarsie","18","42","60","19","8","40.6516921068566","-73.893491503336"
"BREUKELEN","56","18","BROOKLYN","968","WILLIAMS AVENUE","968 WILLIAMS AVENUE","BROOKLYN","NY","11207","3331300","8158","1","3081580001","982","BK50","Canarsie","18","42","60","19","8","40.651738863702","-73.8938179272489"
"BREUKELEN","56","19","BROOKLYN","621","EAST 105TH STREET","621 EAST 105TH STREET","BROOKLYN","NY","11236","3321415","8174","1","3081740001","982","BK50","Canarsie","18","42","60","19","8","40.6502068562026","-73.8973094607895"
"BREUKELEN","56","19","BROOKLYN","105-12","FARRAGUT ROAD","105-12 FARRAGUT ROAD","BROOKLYN","NY","11236","3321415","8174","1","3081740001","982","BK50","Canarsie","18","42","60","19","8","40.6505130329187","-73.897445326332"
"BREUKELEN","56","20","BROOKLYN","106-02","FARRAGUT ROAD","106-02 FARRAGUT ROAD","BROOKLYN","NY","11236","3321407","8174","1","3081740001","982","BK50","Canarsie","18","42","60","19","8","40.6506516666438","-73.8966574532555"
"BREUKELEN","56","20","BROOKLYN","106-12","FARRAGUT ROAD","106-12 FARRAGUT ROAD","BROOKLYN","NY","11236","3321407","8174","1","3081740001","982","BK50","Canarsie","18","42","60","19","8","40.6507039889453","-73.8971058527829"
"BREUKELEN","56","21","BROOKLYN","106-22","FARRAGUT ROAD","106-22 FARRAGUT ROAD","BROOKLYN","NY","11236","3321408","8174","1","3081740001","982","BK50","Canarsie","18","42","60","19","8","40.650880094046","-73.8962495682416"
"BREUKELEN","56","21","BROOKLYN","107-02","FARRAGUT ROAD","107-02 FARRAGUT ROAD","BROOKLYN","NY","11236","3321408","8174","1","3081740001","982","BK50","Canarsie","18","42","60","19","8","40.6512053975361","-73.8963818133314"
"BREUKELEN","56","22","BROOKLYN","107-12","FARRAGUT ROAD","107-12 FARRAGUT ROAD","BROOKLYN","NY","11236","3321409","8174","1","3081740001","982","BK50","Canarsie","18","42","60","19","8","40.651387106951","-73.896046716422"
"BREUKELEN","56","22","BROOKLYN","620","EAST 108TH STREET","620 EAST 108TH STREET","BROOKLYN","NY","11236","3321409","8174","1","3081740001","982","BK50","Canarsie","18","42","60","19","8","40.6513265863766","-73.8956019132201"
"BREUKELEN","56","23","BROOKLYN","619","EAST 108TH STREET","619 EAST 108TH STREET","BROOKLYN","NY","11236","3331298","8158","1","3081580001","982","BK50","Canarsie","18","42","60","19","8","40.6516215580433","-73.8951147131985"
"BREUKELEN","56","23","BROOKLYN","617","EAST 108TH STREET","617 EAST 108TH STREET","BROOKLYN","NY","11236","3331298","8158","1","3081580001","982","BK50","Canarsie","18","42","60","19","8","40.6519441264755","-73.8952433712244"
"BREUKELEN","56","24","BROOKLYN","932","WILLIAMS AVENUE","932 WILLIAMS AVENUE","BROOKLYN","NY","11207","3331302","8158","1","3081580001","982","BK50","Canarsie","18","42","60","19","8","40.6520362567312","-73.8943603070069"
"BREUKELEN","56","24","BROOKLYN","930","WILLIAMS AVENUE","930 WILLIAMS AVENUE","BROOKLYN","NY","11207","3331302","8158","1","3081580001","982","BK50","Canarsie","18","42","60","19","8","40.6522439398778","-73.8943635666507"
"BREUKELEN","56","24","BROOKLYN","928","WILLIAMS AVENUE","928 WILLIAMS AVENUE","BROOKLYN","NY","11207","3331302","8158","1","3081580001","982","BK50","Canarsie","18","42","60","19","8","40.6524325346799","-73.8944099103239"
"BREUKELEN","56","24","BROOKLYN","926","WILLIAMS AVENUE","926 WILLIAMS AVENUE","BROOKLYN","NY","11207","3331302","8158","1","3081580001","982","BK50","Canarsie","18","42","60","19","8","40.6524514251004","-73.8941515493615"
"BREUKELEN","56","25","BROOKLYN","569","EAST 108TH STREET","569 EAST 108TH STREET","BROOKLYN","NY","11236","3331297","8158","1","3081580001","982","BK50","Canarsie","18","42","60","19","8","40.6522158274266","-73.8957451563348"
"BREUKELEN","56","25","BROOKLYN","567","EAST 108TH STREET","567 EAST 108TH STREET","BROOKLYN","NY","11236","3331297","8158","1","3081580001","982","BK50","Canarsie","18","42","60","19","8","40.6525464146108","-73.8956764686612"
"BREUKELEN","56","26","BROOKLYN","908","WILLIAMS AVENUE","908 WILLIAMS AVENUE","BROOKLYN","NY","11207","3331301","8158","1","3081580001","982","BK50","Canarsie","18","42","60","19","8","40.652807285618","-73.8949295516962"
"BREUKELEN","56","26","BROOKLYN","906","WILLIAMS AVENUE","906 WILLIAMS AVENUE","BROOKLYN","NY","11207","3331301","8158","1","3081580001","982","BK50","Canarsie","18","42","60","19","8","40.6530204372423","-73.8949363918921"
"BREUKELEN","56","26","BROOKLYN","904","WILLIAMS AVENUE","904 WILLIAMS AVENUE","BROOKLYN","NY","11207","3331301","8158","1","3081580001","982","BK50","Canarsie","18","42","60","19","8","40.6532008302187","-73.89497916327"
"BREUKELEN","56","26","BROOKLYN","902","WILLIAMS AVENUE","902 WILLIAMS AVENUE","BROOKLYN","NY","11207","3331301","8158","1","3081580001","982","BK50","Canarsie","18","42","60","19","8","40.6532197096791","-73.8947064476874"
"BREUKELEN","56","27","BROOKLYN","553","EAST 108TH STREET","553 EAST 108TH STREET","BROOKLYN","NY","11236","3331294","8158","1","3081580001","982","BK50","Canarsie","18","42","60","19","8","40.6526455636092","-73.8962241447206"
"BREUKELEN","56","27","BROOKLYN","543","EAST 108TH STREET","543 EAST 108TH STREET","BROOKLYN","NY","11236","3331294","8158","1","3081580001","982","BK50","Canarsie","18","42","60","19","8","40.6529788832305","-73.8961554547254"
"BREUKELEN","56","28","BROOKLYN","523","EAST 108TH STREET","523 EAST 108TH STREET","BROOKLYN","NY","11236","3331291","8158","1","3081580001","982","BK50","Canarsie","18","42","60","19","8","40.6530934411313","-73.8968774433166"
"BREUKELEN","56","28","BROOKLYN","254","STANLEY AVENUE","254 STANLEY AVENUE","BROOKLYN","NY","11207","3331291","8158","1","3081580001","982","BK50","Canarsie","18","42","60","19","8","40.6534225047884","-73.8970141748604"
"BREUKELEN","56","29","BROOKLYN","276","STANLEY AVENUE","276 STANLEY AVENUE","BROOKLYN","NY","11207","3331295","8158","1","3081580001","982","BK50","Canarsie","18","42","60","19","8","40.653475057477","-73.8958623370458"
"BREUKELEN","56","29","BROOKLYN","274","STANLEY AVENUE","274 STANLEY AVENUE","BROOKLYN","NY","11207","3331295","8158","1","3081580001","982","BK50","Canarsie","18","42","60","19","8","40.653475302024","-73.8961327817514"
"BREUKELEN","56","29","BROOKLYN","272","STANLEY AVENUE","272 STANLEY AVENUE","BROOKLYN","NY","11207","3331295","8158","1","3081580001","982","BK50","Canarsie","18","42","60","19","8","40.6534432423842","-73.8963770393442"
"BREUKELEN","56","29","BROOKLYN","270","STANLEY AVENUE","270 STANLEY AVENUE","BROOKLYN","NY","11207","3331295","8158","1","3081580001","982","BK50","Canarsie","18","42","60","19","8","40.6536461577283","-73.8963948881295"
"BREUKELEN","56","30","BROOKLYN","874","WILLIAMS AVENUE","874 WILLIAMS AVENUE","BROOKLYN","NY","11207","3331296","8158","1","3081580001","982","BK50","Canarsie","18","42","60","19","8","40.6536517057396","-73.8952247559775"
"BREUKELEN","56","30","BROOKLYN","872","WILLIAMS AVENUE","872 WILLIAMS AVENUE","BROOKLYN","NY","11207","3331296","8158","1","3081580001","982","BK50","Canarsie","18","42","60","19","8","40.6538675871244","-73.8952280043339"
"BREUKELEN","56","30","BROOKLYN","870","WILLIAMS AVENUE","870 WILLIAMS AVENUE","BROOKLYN","NY","11207","3331296","8158","1","3081580001","982","BK50","Canarsie","18","42","60","19","8","40.6540753005141","-73.8952635593328"
"BREUKELEN","56","30","BROOKLYN","330","STANLEY AVENUE","330 STANLEY AVENUE","BROOKLYN","NY","11207","3331296","8158","1","3081580001","982","BK50","Canarsie","18","42","60","19","8","40.6541220579309","-73.895597172149"
"BREVOORT","65","1","BROOKLYN","292","RALPH AVENUE","292 RALPH AVENUE","BROOKLYN","NY","11233","3325154","1688","1","3016880001","381","BK61","Crown Heights North","3","41","55","25","8","40.6795599907052","-73.922386110538"
"BREVOORT","65","1","BROOKLYN","1871","FULTON STREET","1871 FULTON STREET","BROOKLYN","NY","11233","3325154","1688","1","3016880001","381","BK61","Crown Heights North","3","41","55","25","8","40.6792794828616","-73.9226519370621"
"BREVOORT","65","2","BROOKLYN","1865","FULTON STREET","1865 FULTON STREET","BROOKLYN","NY","11233","3325174","1688","1","3016880001","381","BK61","Crown Heights North","3","41","55","25","8","40.67918719847","-73.9231672536462"
"BREVOORT","65","2","BROOKLYN","1853","FULTON STREET","1853 FULTON STREET","BROOKLYN","NY","11233","3325174","1688","1","3016880001","381","BK61","Crown Heights North","3","41","55","25","8","40.6793572882876","-73.923519570938"
"BREVOORT","65","3","BROOKLYN","1839","FULTON STREET","1839 FULTON STREET","BROOKLYN","NY","11233","3333515","1688","1","3016880001","381","BK61","Crown Heights North","3","41","55","25","8","40.6792566559752","-73.9242440655664"
"BREVOORT","65","3","BROOKLYN","1831","FULTON STREET","1831 FULTON STREET","BROOKLYN","NY","11233","3333515","1688","1","3016880001","381","BK61","Crown Heights North","3","41","55","25","8","40.679416554301","-73.924600860392"
"BREVOORT","65","4","BROOKLYN","333","PATCHEN AVENUE","333 PATCHEN AVENUE","BROOKLYN","NY","11233","3333516","1688","1","3016880001","381","BK61","Crown Heights North","3","41","55","25","8","40.679624642206","-73.9251271343142"
"BREVOORT","65","4","BROOKLYN","331","PATCHEN AVENUE","331 PATCHEN AVENUE","BROOKLYN","NY","11233","3333516","1688","1","3016880001","381","BK61","Crown Heights North","3","41","55","25","8","40.6798945752784","-73.9249159899141"
"BREVOORT","65","5","BROOKLYN","1841","FULTON STREET","1841 FULTON STREET","BROOKLYN","NY","11233","3325172","1688","1","3016880001","381","BK61","Crown Heights North","3","41","55","25","8","40.67973760528","-73.9240810146769"
"BREVOORT","65","5","BROOKLYN","329","PATCHEN AVENUE","329 PATCHEN AVENUE","BROOKLYN","NY","11233","3325172","1688","1","3016880001","381","BK61","Crown Heights North","3","41","55","25","8","40.6799569254892","-73.9243953529609"
"BREVOORT","65","6","BROOKLYN","1851","FULTON STREET","1851 FULTON STREET","BROOKLYN","NY","11233","3325173","1688","1","3016880001","381","BK61","Crown Heights North","3","41","55","25","8","40.6797616613584","-73.9234783837467"
"BREVOORT","65","6","BROOKLYN","274","RALPH AVENUE","274 RALPH AVENUE","BROOKLYN","NY","11233","3325173","1688","1","3016880001","381","BK61","Crown Heights North","3","41","55","25","8","40.6799042661989","-73.923367779959"
"BREVOORT","65","7","BROOKLYN","254","RALPH AVENUE","254 RALPH AVENUE","BROOKLYN","NY","11233","3325169","1688","1","3016880001","381","BK61","Crown Heights North","3","41","55","25","8","40.6803991580203","-73.9234808057709"
"BREVOORT","65","7","BROOKLYN","324","BAINBRIDGE STREET","324 BAINBRIDGE STREET","BROOKLYN","NY","11233","3325169","1688","1","3016880001","381","BK61","Crown Heights North","3","41","55","25","8","40.6806896129118","-73.9234838188451"
"BREVOORT","65","8","BROOKLYN","311","PATCHEN AVENUE","311 PATCHEN AVENUE","BROOKLYN","NY","11233","3325168","1688","1","3016880001","381","BK61","Crown Heights North","3","41","55","25","8","40.6804398473978","-73.9244875566815"
"BREVOORT","65","8","BROOKLYN","322","BAINBRIDGE STREET","322 BAINBRIDGE STREET","BROOKLYN","NY","11233","3325168","1688","1","3016880001","381","BK61","Crown Heights North","3","41","55","25","8","40.6807148646665","-73.9242630147398"
"BREVOORT","65","9","BROOKLYN","309","PATCHEN AVENUE","309 PATCHEN AVENUE","BROOKLYN","NY","11233","3325175","1688","1","3016880001","381","BK61","Crown Heights North","3","41","55","25","8","40.6803719349151","-73.9250243497344"
"BREVOORT","65","9","BROOKLYN","307","PATCHEN AVENUE","307 PATCHEN AVENUE","BROOKLYN","NY","11233","3325175","1688","1","3016880001","381","BK61","Crown Heights North","3","41","55","25","8","40.6805810418655","-73.9253085848728"
"BREVOORT","65","10","BROOKLYN","291","PATCHEN AVENUE","291 PATCHEN AVENUE","BROOKLYN","NY","11233","3333523","1688","1","3016880001","381","BK61","Crown Heights North","3","41","55","25","8","40.6810531441447","-73.9254131763763"
"BREVOORT","65","10","BROOKLYN","300","BAINBRIDGE STREET","300 BAINBRIDGE STREET","BROOKLYN","NY","11233","3333523","1688","1","3016880001","381","BK61","Crown Heights North","3","41","55","25","8","40.6813281728031","-73.9252020240791"
"BREVOORT","65","11","BROOKLYN","320","BAINBRIDGE STREET","320 BAINBRIDGE STREET","BROOKLYN","NY","11233","3325167","1688","1","3016880001","381","BK61","Crown Heights North","3","41","55","25","8","40.6811744354263","-73.9243621175893"
"BREVOORT","65","11","BROOKLYN","302","BAINBRIDGE STREET","302 BAINBRIDGE STREET","BROOKLYN","NY","11233","3325167","1688","1","3016880001","381","BK61","Crown Heights North","3","41","55","25","8","40.6813912016028","-73.9246664261095"
"BREVOORT","65","12","BROOKLYN","326","BAINBRIDGE STREET","326 BAINBRIDGE STREET","BROOKLYN","NY","11233","3325170","1688","1","3016880001","381","BK61","Crown Heights North","3","41","55","25","8","40.6812547696557","-73.9237892689946"
"BREVOORT","65","12","BROOKLYN","340","BAINBRIDGE STREET","340 BAINBRIDGE STREET","BROOKLYN","NY","11233","3325170","1688","1","3016880001","381","BK61","Crown Heights North","3","41","55","25","8","40.6815170566577","-73.9235781227771"
"BREVOORT","65","13","BROOKLYN","234","RALPH AVENUE","234 RALPH AVENUE","BROOKLYN","NY","11233","3325171","1688","1","3016880001","381","BK61","Crown Heights North","3","41","55","25","8","40.6813589593749","-73.9227349815808"
"BREVOORT","65","13","BROOKLYN","342","BAINBRIDGE STREET","342 BAINBRIDGE STREET","BROOKLYN","NY","11233","3325171","1688","1","3016880001","381","BK61","Crown Heights North","3","41","55","25","8","40.6815731858718","-73.9230459813832"
"BRONX RIVER","32","1","BRONX","1455","HARROD AVENUE","1455 HARROD AVENUE","BRONX","NY","10472","2098986","3886","2","2038860002","62","BX08","West Farms-Bronx River","9","18","85","32","15","40.8356905589248","-73.8755326417918"
"BRONX RIVER","32","2","BRONX","1435","HARROD AVENUE","1435 HARROD AVENUE","BRONX","NY","10472","2092911","3886","2","2038860002","62","BX08","West Farms-Bronx River","9","18","85","32","15","40.8350250628373","-73.8753594122567"
"BRONX RIVER","32","3","BRONX","1635","EAST 174TH STREET","1635 EAST 174TH STREET","BRONX","NY","10472","2092902","3886","2","2038860002","62","BX08","West Farms-Bronx River","9","18","85","32","15","40.8343215115223","-73.8752461354621"
"BRONX RIVER","32","4","BRONX","1460","BRONX RIVER AVENUE","1460 BRONX RIVER AVENUE","BRONX","NY","10472","2092905","3886","2","2038860002","62","BX08","West Farms-Bronx River","9","18","85","32","15","40.8356381930313","-73.8766605835461"
"BRONX RIVER","32","5","BRONX","1609","EAST 174TH STREET","1609 EAST 174TH STREET","BRONX","NY","10472","2092908","3886","2","2038860002","62","BX08","West Farms-Bronx River","9","18","85","32","15","40.8342971095968","-73.8763437290047"
"BRONX RIVER","32","6","BRONX","1440","BRONX RIVER AVENUE","1440 BRONX RIVER AVENUE","BRONX","NY","10472","2092904","3886","2","2038860002","62","BX08","West Farms-Bronx River","9","18","85","32","15","40.8355167234932","-73.8775190979107"
"BRONX RIVER","32","7","BRONX","1575","EAST 174TH STREET","1575 EAST 174TH STREET","BRONX","NY","10472","2092906","3886","2","2038860002","62","BX08","West Farms-Bronx River","9","18","85","32","15","40.8347464354129","-73.8771471553531"
"BRONX RIVER","32","8","BRONX","1595","EAST 174TH STREET","1595 EAST 174TH STREET","BRONX","NY","10472","2092907","3886","2","2038860002","62","BX08","West Farms-Bronx River","9","18","85","32","15","40.8341293700507","-73.876965268449"
"BRONX RIVER","32","9","BRONX","1420","BRONX RIVER AVENUE","1420 BRONX RIVER AVENUE","BRONX","NY","10472","2092903","3886","2","2038860002","62","BX08","West Farms-Bronx River","9","18","85","32","15","40.8348731914853","-73.8783626240528"
"BRONX RIVER ADDITION","157","11","BRONX","1350","MANOR AVENUE","1350 MANOR AVENUE","BRONX","NY","10472","2027475","3866","31","2038660031","56","BX08","West Farms-Bronx River","9","18","85","32","15","40.8334316835003","-73.8772872194693"
"BRONX RIVER ADDITION","157","12","BRONX","1630","EAST 174TH STREET","1630 EAST 174TH STREET","BRONX","NY","10472","2027550","3868","33","2038680033","62","BX08","West Farms-Bronx River","9","18","85","32","15","40.8339281097051","-73.8752754176232"
"BROWN","325","1","BROOKLYN","1634","SAINT MARKS AVENUE","1634 SAINT MARKS AVENUE","BROOKLYN","NY","11233","3324683","1460","1","3014600001","363","BK79","Ocean Hill","16","41","55","20","8","40.6730518877914","-73.9125847544853"
"BROWN","325","2","BROOKLYN","333","HOPKINSON AVENUE","333 HOPKINSON AVENUE","BROOKLYN","NY","11233","3394308","1460","1","3014600001","363","BK79","Ocean Hill","16","41","55","20","8","40.67282500757","-73.9135443305862"
"BROWNSVILLE","16","1","BROOKLYN","284","SUTTER AVENUE","284 SUTTER AVENUE","BROOKLYN","NY","11212","3326514","3544","1","3035440001","912","BK81","Brownsville","16","41","55","20","9","40.6669435411638","-73.9095986904981"
"BROWNSVILLE","16","2","BROOKLYN","292","SUTTER AVENUE","292 SUTTER AVENUE","BROOKLYN","NY","11212","3326516","3544","1","3035440001","912","BK81","Brownsville","16","41","55","20","9","40.6670100612382","-73.9092325260005"
"BROWNSVILLE","16","2","BROOKLYN","296","SUTTER AVENUE","296 SUTTER AVENUE","BROOKLYN","NY","11212","3326516","3544","1","3035440001","912","BK81","Brownsville","16","41","55","20","9","40.6669028899838","-73.9090285640383"
"BROWNSVILLE","16","2","BROOKLYN","300","SUTTER AVENUE","300 SUTTER AVENUE","BROOKLYN","NY","11212","3326516","3544","1","3035440001","912","BK81","Brownsville","16","41","55","20","9","40.6670556466878","-73.9088844765633"
"BROWNSVILLE","16","3","BROOKLYN","308","SUTTER AVENUE","308 SUTTER AVENUE","BROOKLYN","NY","11212","3326517","3544","1","3035440001","912","BK81","Brownsville","16","41","55","20","9","40.6670977454672","-73.9084937501768"
"BROWNSVILLE","16","4","BROOKLYN","553","ROCKAWAY AVENUE","553 ROCKAWAY AVENUE","BROOKLYN","NY","11212","3326513","3544","1","3035440001","912","BK81","Brownsville","16","41","55","20","9","40.6665399260883","-73.9096111855719"
