"sr","request_date","site_street_address","borocode","community_board","block","lot","violation","permit","homeowner_contractor","attempt","violation_issue_date","assigned_date","inspection_date","pass_fail","reason_for_failure","car_needed_y_n","date_results_are_mailed","expedited","vdd","postcode","borough","latitude","longitude","council_district","census_tract","bin","bbl","nta"
"1-1-1614352911","2018-09-07T00:00:00.000","1435 RICHMOND AVENUE","5","2","1544","29","15321","S042018239A04","C","1","2015-01-28T00:00:00.000","2018-09-21T00:00:00.000","2018-10-11T00:00:00.000","Pass",,"false","2018-11-08T00:00:00.000","false",,"10314","STATEN IS","40.613268","-74.158503","50","29104","5030659","5015440029","New Springville-Bloomfield-Travis"
"1-1-1614352885","2018-09-07T00:00:00.000","1429 RICHMOND AVENUE","5","2","1544","31","15322","S042018239A03","C","1","2015-01-28T00:00:00.000","2018-09-21T00:00:00.000","2018-10-12T00:00:00.000","Pass",,"false","2019-01-28T00:00:00.000","false",,"10314","STATEN IS","40.613356","-74.15842","50","29104","5030660","5015440031","New Springville-Bloomfield-Travis"
"Called In","2018-09-07T00:00:00.000","122 HUDSON STREET","1","1","190","16","21810","M042018164A00","C","2","2008-04-16T00:00:00.000","2018-09-17T00:00:00.000","2018-09-26T00:00:00.000","Pass",,"false","2018-10-17T00:00:00.000","true",,"10013","MANHATTAN","40.72005","-74.008553","1","33","1002165","1001900016","SoHo-TriBeCa-Civic Center-Little Italy"
"1-1-1614440174","2018-09-07T00:00:00.000","971 MADISON AVENUE","1","8","1390","7501","26906","M042018235A00","C","2","2017-08-21T00:00:00.000","2018-10-03T00:00:00.000","2018-10-10T00:00:00.000","Fail – 4+ Family/Commercial","NO EXP JOINT, NO JOINT SEALER","true","2018-11-01T00:00:00.000","false",,"10021","MANHATTAN","40.774223","-73.963643","4","130","1041721","1013907501","Upper East Side-Carnegie Hill"
"1-1-1614632962","2018-09-07T00:00:00.000","1923 HAIGHT AVENUE","2","11","4271","25","28801","X042018243A02","H","2","2014-12-05T00:00:00.000","2018-10-01T00:00:00.000","2018-10-02T00:00:00.000","Pass",,"false","2018-10-11T00:00:00.000","false",,"10461","BRONX","40.852098","-73.855047","13","250","2093269","2042710025","Pelham Parkway"
"1-1-1614585701","2018-09-07T00:00:00.000","724 ROSEDALE AVENUE","2","9","3595","16","31285","X042018248A02","H","1","2016-11-16T00:00:00.000","2018-10-04T00:00:00.000","2018-10-10T00:00:00.000","Fail – 4+ Family/Commercial","1,3,6C","false","2018-11-05T00:00:00.000","false",,"10473","BRONX","40.819434","-73.866347","18","20","2022036","2035950016","Soundview-Castle Hill-Clason Point-Harding Park"
"1-1-1614705597","2018-09-07T00:00:00.000","3011 RANDALL AVENUE","2","10","5433","61","32589","X012018208A36","C","1","2017-11-17T00:00:00.000","2018-10-04T00:00:00.000","2018-10-10T00:00:00.000","Fail – 4+ Family/Commercial","6","false","2018-11-05T00:00:00.000","false",,"10465","BRONX","40.827214","-73.819604","13","162","2076985","2054330061","Schuylerville-Throgs Neck-Edgewater Park"
"1-1-1614311645","2018-09-07T00:00:00.000","563   48 STREET","3","7","766","48","39073","B042018235A05","C","1","2002-06-27T00:00:00.000","2018-09-24T00:00:00.000","2018-09-27T00:00:00.000","Pass",,"false","2018-10-04T00:00:00.000","false",,"11220","BROOKLYN","40.645444","-74.007841","38","96","3012310","3007660048","Sunset Park East"
"1-1-1614600976","2018-09-07T00:00:00.000","164-04   86 STREET","4","10","14079","7","48545","Q042018250A11","H","1","2009-02-19T00:00:00.000","2018-09-24T00:00:00.000","2018-09-28T00:00:00.000","Pass",,"false","2018-10-04T00:00:00.000","false",,"11414","QUEENS","40.649577","-73.844254","32","892","4294514","4140790007","Lindenwood-Howard Beach"
"1-1-1614633434","2018-09-07T00:00:00.000","191-16  114 ROAD","4","12","11008","12","55917","Q042018242A10","H","1","2011-06-23T00:00:00.000","2018-09-24T00:00:00.000","2018-09-26T00:00:00.000","Fail – 4+ Family/Commercial","EXP.JNT,JNT.Seal","false","2018-10-04T00:00:00.000","false",,"11412","QUEENS","40.6974","-73.761723","27","526","4236251","4110080012","St. Albans"
"1-1-1614644041","2018-09-07T00:00:00.000","62-64 SAUNDERS STREET","4","6","3079","76","68542","Q042018234A15","C","1","2014-05-02T00:00:00.000","2018-10-01T00:00:00.000","2018-10-03T00:00:00.000","Fail – 4+ Family/Commercial","EXP.JNT.","true","2018-10-22T00:00:00.000","false",,"11374","QUEENS","40.730663","-73.86659","29","687","4072062","4030790076","Rego Park"
"1-1-1614607245","2018-09-07T00:00:00.000","22-42   93 STREET","4","3","1069","31","68951","Q042014191A30","C","1","2014-06-09T00:00:00.000","2018-09-24T00:00:00.000","2018-10-01T00:00:00.000","Fail – 4+ Family/Commercial","1,6C","false","2018-10-22T00:00:00.000","false",,"11369","QUEENS","40.769212","-73.877437","21","347","4023353","4010690031","Jackson Heights"
"1-1-1614730871","2018-09-07T00:00:00.000","31-50   93 STREET","4","3","1404","29","72444","Q042018213A23","C","1","2015-07-27T00:00:00.000","2018-10-01T00:00:00.000","2018-10-03T00:00:00.000","Pass",,"false","2018-10-22T00:00:00.000","false",,"11369","QUEENS","40.759483","-73.875668","21","351","4034125","4014040029","Jackson Heights"
"1-1-1614581817","2018-09-07T00:00:00.000","60-27   74 STREET","4","5","2844","74","78069","Q042018250A17",,"1","2016-12-14T00:00:00.000","2018-09-27T00:00:00.000","2018-10-02T00:00:00.000","Pass",,"false","2018-10-22T00:00:00.000","false",,"11379","QUEENS","40.723208","-73.88657","30","669","4064361","4028440074","Middle Village"
"1-1-1614623991","2018-09-07T00:00:00.000","22 BREVOORT PLACE","3","3","2021","17","81655","B042018227A23","H","1","2016-03-03T00:00:00.000","2018-09-24T00:00:00.000","2018-10-25T00:00:00.000","Pass",,"false","2018-11-09T00:00:00.000","false",,"11216","BROOKLYN","40.680041","-73.954598","36","247","3057909","3020210017","Crown Heights North"
"1-1-1614631417","2018-09-07T00:00:00.000","58-26  214 STREET","4","11","7464","15","84844","Q012018221B66","C","1","2017-11-14T00:00:00.000","2018-09-24T00:00:00.000","2018-09-29T00:00:00.000","Pass",,"false","2018-10-22T00:00:00.000","false",,"11364","QUEENS","40.748381","-73.76392","23","1399","4160753","4074640015","Bayside-Bayside Hills"
"1-1-1614700342","2018-09-07T00:00:00.000","191 PULASKI STREET","3","3","1772","57","85803","B012017131A54","C","1","2016-09-15T00:00:00.000","2018-12-06T00:00:00.000","2018-12-06T00:00:00.000","Pass",,"false","2018-12-31T00:00:00.000","false",,"11206","BROOKLYN","40.693003","-73.943774","36","261","3049391","3017720057","Bedford"
"1-1-1614487585","2018-09-07T00:00:00.000","86-29  254 STREET","4","13","8636","57","86063","Q042018247A07","H","2","2018-02-14T00:00:00.000","2018-09-24T00:00:00.000","2018-09-28T00:00:00.000","Pass",,"false","2018-10-11T00:00:00.000","false",,"11426","QUEENS","40.731806","-73.71219","23","1617","4176169","4086360057","Bellerose"
"1-1-1614600933","2018-09-07T00:00:00.000","14-36 BEACH CHANNEL DRIVE","4","14","15525","19","86188","Q042018218A04","C","1","2018-03-14T00:00:00.000","2018-09-24T00:00:00.000","2018-10-17T00:00:00.000","Fail – 4+ Family/Commercial","1","false","2018-11-01T00:00:00.000","false",,"11691","QUEENS","40.609268","-73.753783","31","103201","4297810","4155250019","Far Rockaway-Bayswater"
"1-1-1614293819","2018-09-07T00:00:00.000","7316 AVENUE U","3","18","8433","41","91397","B042018247A23","C","1","2018-01-02T00:00:00.000","2018-09-24T00:00:00.000","2018-09-29T00:00:00.000","Fail – 4+ Family/Commercial","no exp jnt","false","2018-10-29T00:00:00.000","false",,"11234","BROOKLYN","40.620873","-73.905821","46","700","3237751","3084330041","Georgetown-Marine Park-Bergen Beach-Mill Basin"
"1-1-1614293819/BC Email","2018-09-07T00:00:00.000","8302   11 AVENUE","3","10","6022","38","92062","B042018247A23","C","1","2018-01-18T00:00:00.000","2018-09-11T00:00:00.000","2018-09-11T00:00:00.000","Fail – 4+ Family/Commercial","need to install expansion joint","true","2018-09-14T00:00:00.000","true",,"11228","BROOKLYN","40.61836","-74.016634","43","166","3152655","3060220038","Dyker Heights"
"1-1-1608768953","2018-09-07T00:00:00.000","2534 EAST    2 STREET","3","13","7217","21","93370","B042018235A06","C","1","2018-06-11T00:00:00.000","2018-10-25T00:00:00.000","2018-11-09T00:00:00.000","Pass",,"false","2019-06-25T00:00:00.000","false",,"11223","BROOKLYN","40.587741","-73.967813","47","37401","3195774","3072170021","Gravesend"
"1-1-1614607440","2018-09-07T00:00:00.000","169   72 STREET","3","10","5889","57","93886","B042018218A27","H","2","2018-07-12T00:00:00.000","2018-10-01T00:00:00.000","2018-10-05T00:00:00.000","Fail – 4+ Family/Commercial","6C,no exp jnt","false","2019-03-01T00:00:00.000","false",,"11209","BROOKLYN","40.634455","-74.030863","43","36","3146489","3058890057","Bay Ridge"
"1-1-1614762111","2018-09-07T00:00:00.000","1890 WEST   10 STREET","3","11","6670","44","94048","B042018250A04","C","1","2018-07-23T00:00:00.000","2018-12-10T00:00:00.000","2018-12-19T00:00:00.000","Pass",,"false","2019-02-07T00:00:00.000","false",,"11223","BROOKLYN","40.601216","-73.982268","47","406","3177845","3066700044","Bensonhurst East"
"1-1-1614663730","2018-09-07T00:00:00.000","318 VAN SICKLEN STREET","3","15","7122","18","94284","B042018248A21","C","1","2018-08-06T00:00:00.000","2018-09-24T00:00:00.000","2018-09-27T00:00:00.000","Pass",,"false","2018-10-29T00:00:00.000","false",,"11223","BROOKLYN","40.596398","-73.975104","47","398","3192592","3071220018","Gravesend"
"1-1-1614547811","2018-09-07T00:00:00.000","1444 TAYLOR AVENUE","2","9","3900","23","999999999","X042018247A16","H","1","9999-09-09T00:00:00.000","2018-10-01T00:00:00.000","2018-10-09T00:00:00.000","Fail – 4+ Family/Commercial","1,6C, NO EXP JOINT","false","2019-01-31T00:00:00.000","false",,"10460","BRONX","40.836311","-73.866158","18","218","2028249","2039000023","West Farms-Bronx River"
"Phone Call","2017-09-07T00:00:00.000","717 RENSSELAER AVENUE","5","3","6844","1","5715","S042006191009","C","1","2003-10-14T00:00:00.000","2017-09-12T00:00:00.000","2017-09-12T00:00:00.000","Pass",,"false","2017-10-13T00:00:00.000","true",,"10312","STATEN IS","40.539958","-74.198063","51","20804","5083744","5068440001","Rossville-Woodrow"
"1-1-1483875466","2017-09-07T00:00:00.000","2093 AMSTERDAM AVENUE","1","12","2110","68","14954","M042017230A09","C","2","1999-05-30T00:00:00.000","2017-10-16T00:00:00.000","2017-11-02T00:00:00.000","Fail – 4+ Family/Commercial","6A, 6C, missing expansion joints & warning tiles","false","2017-12-21T00:00:00.000","false",,"10032","MANHATTAN","40.836987","-73.939009","10","24301","1062621","1021100068","Washington Heights South"
"1-1-1457832006","2017-09-07T00:00:00.000","1863 COLDEN AVENUE","2","11","4126","10","30130","X042017244A04","C","1","2016-01-19T00:00:00.000","2017-09-28T00:00:00.000","2017-09-28T00:00:00.000","Pass","NA","false","2017-10-17T00:00:00.000","true","2017-10-17T00:00:00.000","10462","BRONX","40.849249","-73.857197","13","252","2045379","2041260010","Van Nest-Morris Park-Westchester Square"
"1-1-1457832095","2017-09-07T00:00:00.000","2554 MACLAY AVENUE","2","10","4002","20","31778","X042017244A05","C","2","2017-03-13T00:00:00.000","2017-10-23T00:00:00.000","2017-10-27T00:00:00.000","Pass",,"false","2017-12-01T00:00:00.000","false","2017-12-01T00:00:00.000","10461","BRONX","40.842631","-73.847658","13","200","2042402","2040020020","Van Nest-Morris Park-Westchester Square"
"Phone Call","2017-09-07T00:00:00.000","37-32 89 STREET","4","3","1476","21","45227","Q042017244A16","H","1","2008-01-02T00:00:00.000","2017-09-12T00:00:00.000","2017-09-14T00:00:00.000","Fail – 4+ Family/Commercial","EXP. JNT , AND SEALER MISSING","false","2017-09-29T00:00:00.000","true",,"11372","QUEENS","40.749631","-73.877668","21","277","4036303","4014760021","Jackson Heights"
"1-1-1457578059","2017-09-07T00:00:00.000","88-33 214 STREET","4","13","10672","7","48570","Q012017109B63","C","1","2009-02-20T00:00:00.000","2017-10-23T00:00:00.000","2017-10-28T00:00:00.000","Pass",,"false","2017-11-16T00:00:00.000","false","2017-11-16T00:00:00.000","11427","QUEENS","40.725573","-73.751221","23","552","4228683","4106720007","Queens Village"
"1-1-1457769677","2017-09-07T00:00:00.000","5 MONROE PLACE","3","2","237","45","55849","B042017243A09","C","1","2008-11-24T00:00:00.000","2017-10-19T00:00:00.000","2017-10-20T00:00:00.000","Fail – 4+ Family/Commercial","TRIP HAZARD REMAINS","false","2017-11-14T00:00:00.000","false",,"11201","BROOKLYN","40.696829","-73.992326","33","502","3001900","3002370045","Brooklyn Heights-Cobble Hill"
"1-1-1457577150","2017-09-07T00:00:00.000","91-11 70 AVENUE","4","6","3208","36","67998","Q042014254A12","C","1","2014-04-02T00:00:00.000","2017-10-23T00:00:00.000","2017-11-04T00:00:00.000","Pass",,"false","2017-12-01T00:00:00.000","false","2017-11-30T00:00:00.000","11375","QUEENS","40.711675","-73.852842","29","729","4076717","4032080036","Forest Hills"
"1-1-1457943767","2017-09-07T00:00:00.000","27-19 CLEARVIEW EXPRESSWAY","4","11","5987","42","75024","Q042017132A08","C","1","2016-04-11T00:00:00.000","2017-10-10T00:00:00.000","2017-10-17T00:00:00.000","Pass","NA","false","2018-03-14T00:00:00.000","true","2018-03-12T00:00:00.000","11360","QUEENS","40.774317","-73.783952","19","1093","4133248","4059870042","Bayside-Bayside Hills"
"1-1-1457543947","2017-09-07T00:00:00.000","350 JEFFERSON AVENUE","3","3","1835","9","79343","B042016159A17","C","1","2015-04-27T00:00:00.000","2017-10-23T00:00:00.000","2017-10-26T00:00:00.000","Pass",,"false","2017-11-14T00:00:00.000","false","2017-11-14T00:00:00.000","11221","BROOKLYN","40.684027","-73.943497","36","267","3052415","3018350009","Bedford"
"1-1-1457838618","2017-09-07T00:00:00.000","475 1 STREET","3","6","1074","63","80369","B042017235A16","C","1","2015-09-14T00:00:00.000","2017-10-23T00:00:00.000","2017-10-25T00:00:00.000","Pass",,"false","2017-11-14T00:00:00.000","false","2017-11-14T00:00:00.000","11215","BROOKLYN","40.671276","-73.976629","39","157","3025100","3010740063","Park Slope-Gowanus"
"1-1-1457543941","2017-09-07T00:00:00.000","447 JEFFERSON AVENUE","3","3","1831","70","81482","B042016159A14","C","1","2016-02-29T00:00:00.000","2017-10-23T00:00:00.000","2017-10-26T00:00:00.000","Pass",,"false","2017-11-14T00:00:00.000","false","2017-11-14T00:00:00.000","11221","BROOKLYN","40.684448","-73.939985","36","275","3052182","3018310070","Stuyvesant Heights"
"1-1-1457818249","2017-09-07T00:00:00.000","130-11 60 AVENUE","4","7","6355","54","81736","Q042017230A26","C","1","2017-07-07T00:00:00.000","2017-10-23T00:00:00.000","2017-11-14T00:00:00.000","Pass",,"false","2017-12-19T00:00:00.000","false","2017-12-19T00:00:00.000","11355","QUEENS","40.744152","-73.835505","20","80301","4139032","4063550054","Queensboro Hill"
"1-1-1457739512","2017-09-07T00:00:00.000","94 HARMAN STREET","3","4","3285","35","85969","B042017242A27","C","1","2016-09-19T00:00:00.000","2017-10-23T00:00:00.000","2017-10-27T00:00:00.000","Pass","Joint sealer","true","2017-11-13T00:00:00.000","false","2017-11-13T00:00:00.000","11221","BROOKLYN","40.695623","-73.923061","34","419","3075028","3032850035","Bushwick South"
"1-1-1457999344","2017-09-07T00:00:00.000","625 ST MARKS AVENUE","3","8","1219","77","86049","B042017242A15","H","1","2016-09-22T00:00:00.000","2017-10-23T00:00:00.000","2017-10-28T00:00:00.000","Fail – 4+ Family/Commercial","1, 6B","true","2017-11-13T00:00:00.000","false",,"11216","BROOKLYN","40.675333","-73.952239","36","315","3030696","3012190077","Crown Heights North"
"1-1-1457769459","2017-09-07T00:00:00.000","118 STATE STREET","3","2","275","7503","86645","B012017198A83","C","1","2016-11-18T00:00:00.000","2017-10-19T00:00:00.000","2017-11-01T00:00:00.000","Fail – 4+ Family/Commercial","DEFECTS REMAIN & GAS INSTALLATION","true","2017-11-21T00:00:00.000","false",,"11201","BROOKLYN","40.691282","-73.995464","33","7","3391796","3002757503","Brooklyn Heights-Cobble Hill"
"1-1-1302050561","2016-09-07T00:00:00.000","84 BOWERY","1","3","203","20","9886","M042016245A12","H","1","1997-03-12T00:00:00.000","2016-10-20T00:00:00.000","2016-10-25T00:00:00.000","Pass",,"false","2016-12-07T00:00:00.000","false","2016-12-07T00:00:00.000","10013","MANHATTAN","40.717064","-73.99557","1","41","1002608","1002030020","SoHo-TriBeCa-Civic Center-Little Italy"
"1-1-1301668421","2016-09-07T00:00:00.000","914 MANOR ROAD","5","2","753","33","12121","S042016250A09","H","1","2012-04-27T00:00:00.000","2014-08-22T00:00:00.000","2016-09-13T00:00:00.000","Fail – 4+ Family/Commercial","1,3","false","2016-10-07T00:00:00.000","false","2017-01-27T00:00:00.000","10314","STATEN IS","40.604297","-74.12078","50","18702","5019276","5007530033","New Springville-Bloomfield-Travis"
"1-1-1301624425","2016-09-07T00:00:00.000","11 MOSELY AVENUE","5","3","6243","8","12750","S042016244A09","H","2","2012-08-16T00:00:00.000","2016-09-19T00:00:00.000","2016-09-20T00:00:00.000","Pass",,"false","2016-10-28T00:00:00.000","false","2016-10-28T00:00:00.000","10312","STATEN IS","40.538771","-74.177121","51","17005","5080360","5062430008","Annadale-Huguenot-Prince's Bay-Eltingville"
"1-1-1301813764","2016-09-07T00:00:00.000","87 WILLOW WOOD LANE","5","3","4500","311","16019","S042016243A00","C","1","2016-06-27T00:00:00.000","2016-09-19T00:00:00.000","2016-09-22T00:00:00.000","Pass",,"false","2016-11-07T00:00:00.000","false","2016-11-07T00:00:00.000","10308","STATEN IS","40.559605","-74.143077","51","14606","5061237","5045000311","Great Kills"
"1-1-1301882679","2016-09-07T00:00:00.000","98 LEXINGTON AVENUE","5","1","1043","125","16283","S042016244A11","C","1","2016-08-01T00:00:00.000","2016-09-19T00:00:00.000","2016-09-19T00:00:00.000","Pass",,"false","2016-11-07T00:00:00.000","false","2016-11-07T00:00:00.000","10302","STATEN IS","40.628995","-74.134756","49","213","5024598","5010430125","Port Richmond"
"Community Outreach","2016-09-07T00:00:00.000","84-41 169 STREET","4","8","9861","13","29984","Q012012339022","C","1","2002-10-10T00:00:00.000","2016-09-12T00:00:00.000","2016-09-13T00:00:00.000","Pass",,"false","2016-10-07T00:00:00.000","true","2016-10-07T00:00:00.000","11432","QUEENS","40.715309","-73.795341","24","456","4210935","4098610013","Briarwood-Jamaica Hills"
"Phone Call","2016-09-07T00:00:00.000","1945 NARRAGANSETT AVENUE","2","11","4277","13","30379","S042013281004","C","1","2016-03-04T00:00:00.000","2014-11-26T00:00:00.000","2016-09-20T00:00:00.000","Pass",,"false","2016-09-28T00:00:00.000","false","2016-09-28T00:00:00.000","10461","BRONX","40.855162","-73.85072","13","288","2048683","2042770013","Pelham Parkway"
"Community Outreach","2016-09-07T00:00:00.000","94-05 ALSTYNE AVENUE","4","4","1603","87","46526","Q042016251A14","H","1","2008-05-30T00:00:00.000","2016-09-12T00:00:00.000","2016-09-14T00:00:00.000","Pass",,"false","2016-10-07T00:00:00.000","true","2016-10-07T00:00:00.000","11373","QUEENS","40.742602","-73.870059","25","463","4040129","4016030087","Elmhurst"
"1-1-1301656199","2016-09-07T00:00:00.000","85-58 PARSONS BOULEVARD","4","8","9735","36","47979","Q042008354006","C","1","2008-11-06T00:00:00.000","2016-10-11T00:00:00.000","2016-10-20T00:00:00.000","Pass",,"false","2016-10-31T00:00:00.000","false","2016-10-31T00:00:00.000","11432","QUEENS","40.710623","-73.805852","24","230","4208407","4097350036","Briarwood-Jamaica Hills"
"1-1-1301712039","2016-09-07T00:00:00.000","89-26 210 PLACE","4","13","10575","52","51841","Q042016179A07","H","1","2010-06-17T00:00:00.000","2016-10-13T00:00:00.000","2016-10-14T00:00:00.000","Fail – 4+ Family/Commercial","Joint Sealers Missing","false","2016-10-31T00:00:00.000","false",,"11427","QUEENS","40.721314","-73.754192","23","492","4225603","4105750052","Jamaica Estates-Holliswood"
"1-1-1302043654","2016-09-07T00:00:00.000","80-23 162 STREET","4","8","6857","28","57320","Q042012094005","C","1","2011-12-14T00:00:00.000","2016-10-11T00:00:00.000","2016-10-20T00:00:00.000","Pass",,"false","2016-10-31T00:00:00.000","false","2016-10-31T00:00:00.000","11432","QUEENS","40.720467","-73.805321","24","1265","4148485","4068570028","Pomonok-Flushing Heights-Hillcrest"
"1-1-1302043760","2016-09-07T00:00:00.000","208-19 42 AVENUE","4","11","6219","28","59941","Q042016238A03","H","1","2012-05-17T00:00:00.000","2016-10-11T00:00:00.000","2016-10-14T00:00:00.000","Fail – 4+ Family/Commercial","1,3,6A, No Exp. Jnts","false","2016-11-01T00:00:00.000","false",,"11361","QUEENS","40.761507","-73.776605","19","1467","4137287","4062190028","Bayside-Bayside Hills"
"1-1-1302050731","2016-09-07T00:00:00.000","105-15 191 STREET","4","12","10885","20","61334","Q042016244A14","H","1","2012-07-05T00:00:00.000","2016-10-11T00:00:00.000","2016-10-12T00:00:00.000","Pass",,"false","2016-11-01T00:00:00.000","false","2016-11-01T00:00:00.000","11412","QUEENS","40.705487","-73.766095","27","504","4232881","4108850020","Hollis"
"Community Outreach","2016-09-07T00:00:00.000","169-23 90 AVENUE","4","12","9803","1","62805","Q042015324A39","C","1","2012-08-23T00:00:00.000","2016-09-12T00:00:00.000","2016-09-13T00:00:00.000","Pass",,"false","2016-09-21T00:00:00.000","true","2016-09-21T00:00:00.000","11432","QUEENS","40.708495","-73.791365","27","460",,,"Jamaica"
"1-1-1301902851","2016-09-07T00:00:00.000","105-06 193 STREET","4","12","10886","26","66497","Q042016095A05","H","2","2013-10-11T00:00:00.000","2016-10-11T00:00:00.000","2016-10-12T00:00:00.000","Pass",,"false","2016-11-25T00:00:00.000","true","2016-11-25T00:00:00.000","11412","QUEENS","40.705967","-73.76442","27","504","4232906","4108860026","Hollis"
"Community Outreach","2016-09-07T00:00:00.000","144-42 73 AVENUE","4","8","6663","24","67244","Q012015215C43","C","1","2014-01-28T00:00:00.000","2016-09-12T00:00:00.000","2016-09-13T00:00:00.000","Pass",,"false","2016-10-07T00:00:00.000","true","2016-10-07T00:00:00.000","11367","QUEENS","40.725","-73.819617","24","77907","4144146","4066630024","Kew Gardens Hills"
"1-1-1301805080","2016-09-07T00:00:00.000","140-39 69 ROAD","4","8","6497","46","73024","Q042016147A05","C","1","2015-08-31T00:00:00.000","2016-10-11T00:00:00.000","2016-10-20T00:00:00.000","Pass",,"false","2016-11-04T00:00:00.000","false","2016-11-04T00:00:00.000","11367","QUEENS","40.73047","-73.824621","24","809","4141661","4064970046","Kew Gardens Hills"
"1-1-1301839926","2016-09-07T00:00:00.000","131 JAVA STREET","3","1","2540","55","73862","B042013095032","C","1","2012-09-27T00:00:00.000","2016-10-17T00:00:00.000","2016-11-17T00:00:00.000","Pass",,"false","2016-12-01T00:00:00.000","false","2016-12-01T00:00:00.000","11222","BROOKLYN","40.731503","-73.955753","33","565","3064444","3025400055","Greenpoint"
"1-1-1301896622","2016-09-07T00:00:00.000","25-26 41 STREET","4","1","684","55","74966","Q042016239A13","C","1","2016-03-18T00:00:00.000","2016-10-11T00:00:00.000","2016-10-13T00:00:00.000","Pass",,"false","2016-11-29T00:00:00.000","false","2016-11-29T00:00:00.000","11103","QUEENS","40.767192","-73.911217","22","143","4011409","4006840055","Astoria"
"1-1-1301849123","2016-09-07T00:00:00.000","27-30 167 STREET","4","7","4918","20","75435","Q042016242A07","H","1","2016-05-16T00:00:00.000","2016-10-11T00:00:00.000","2016-10-18T00:00:00.000","Fail – 4+ Family/Commercial","No Jnt. Seal","false","2016-11-04T00:00:00.000","false",,"11358","QUEENS","40.771589","-73.797746","19","1141","4111314","4049180020","Murray Hill"
"1-1-1301864337","2016-09-07T00:00:00.000","79-06 68 ROAD","4","5","3799","10","76368","Q042016236A14","C","1","2016-07-11T00:00:00.000","2016-10-11T00:00:00.000","2016-10-15T00:00:00.000","Fail – 4+ Family/Commercial","No Exp. Jnts","true","2016-12-01T00:00:00.000","false",,"11379","QUEENS","40.710472","-73.872856","30","621","4092244","4037990010","Middle Village"
"1-1-1301826368","2016-09-07T00:00:00.000","108-31 37 DRIVE","4","3","1777","43","76738","Q042016236A10","H","1","2016-08-11T00:00:00.000","2016-10-11T00:00:00.000","2016-10-21T00:00:00.000","Pass",,"false","2016-11-28T00:00:00.000","false","2016-11-28T00:00:00.000","11368","QUEENS","40.753234","-73.859622","21","401","4044677","4017770043","North Corona"
"1-1-1301903122","2016-09-07T00:00:00.000","927 LORIMER STREET","3","1","2644","32","79876","B042016145A36","H","1","2015-07-27T00:00:00.000","2016-10-17T00:00:00.000","2016-11-25T00:00:00.000","Pass",,"false","2016-12-15T00:00:00.000","false","2016-12-15T00:00:00.000","11222","BROOKLYN","40.724099","-73.952006","33","569","3065995","3026440032","Greenpoint"
"1-1-1301955667","2016-09-07T00:00:00.000","6423 11 AVENUE","3","10","5745","1","82366","B042016153A41","C","1","2016-04-11T00:00:00.000","2016-09-28T00:00:00.000","2016-10-01T00:00:00.000","Fail – 4+ Family/Commercial","No Trunc Dome","true","2016-10-21T00:00:00.000","false",,"11219","BROOKLYN","40.629058","-74.005483","38","212","3141989","3057450001","Dyker Heights"
"1-1-1301959681","2016-09-07T00:00:00.000","322 STATE STREET","3","2","176","21","83012","B042016237A00","C","1","2016-04-28T00:00:00.000","2016-10-17T00:00:00.000","2016-11-16T00:00:00.000","Pass",,"false","2016-12-21T00:00:00.000","false","2016-12-21T00:00:00.000","11201","BROOKLYN","40.688657","-73.987228","33","43","3000622","3001760021","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"1-1-1302185271","2016-09-07T00:00:00.000","140 MAPLE STREET","3","9","5032","14","83273","B042016219A01","C","1","2016-05-06T00:00:00.000","2016-10-17T00:00:00.000","2016-11-02T00:00:00.000","Pass","keyspan work present also","false","2016-12-01T00:00:00.000","false","2016-12-01T00:00:00.000","11225","BROOKLYN","40.660488","-73.956009","40","800","3114911","3050320014","Prospect Lefferts Gardens-Wingate"
"1-1-1301956751","2016-09-07T00:00:00.000","133 EAST 32 STREET","3","17","4903","54","84589","B042016243A18","C","1","2016-06-30T00:00:00.000","2016-10-17T00:00:00.000","2016-10-28T00:00:00.000","Pass",,"false","2016-12-07T00:00:00.000","false","2016-12-07T00:00:00.000","11226","BROOKLYN","40.647675","-73.947308","45","824","3110124","3049030054","Erasmus"
"1-1-1301956761","2016-09-07T00:00:00.000","129 EAST 32 STREET","3","17","4903","56","84590","B042016243A19","C","1","2016-06-30T00:00:00.000","2016-10-17T00:00:00.000","2016-10-28T00:00:00.000","Pass",,"false","2016-12-07T00:00:00.000","false","2016-12-07T00:00:00.000","11226","BROOKLYN","40.647746","-73.947315","45","824","3110126","3049030056","Erasmus"
"1-1-1301825813","2016-09-07T00:00:00.000","930 EAST 96 STREET","3","18","8145","38","84622","B042016242A28","C","1","2016-06-30T00:00:00.000","2016-09-21T00:00:00.000","2016-10-19T00:00:00.000","Pass","NA","false","2016-10-28T00:00:00.000","false","2016-10-28T00:00:00.000","11236","BROOKLYN","40.647305","-73.906112","46","970","3228984","3081450038","Canarsie"
"Community Outreach","2016-09-07T00:00:00.000","29 OLGA PLACE","5","2","3036","22","999999999","S042016244A00","C","2","9999-09-09T00:00:00.000","2016-09-12T00:00:00.000","2016-09-12T00:00:00.000","Pass",,"false","2016-09-27T00:00:00.000","true",,"10305","STATEN IS","40.603739","-74.076753","50","2002","5044862","5030360022","Grasmere-Arrochar-Ft. Wadsworth"
