"brooklyn_condominium_property_boro_block_lot","brooklyn_condominium_property_condo_section","brooklyn_condominium_property_address","borough","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","brooklyn_condominium_property_neighborhood","brooklyn_condominium_property_building_classification","brooklyn_condominium_property_total_units","brooklyn_condominium_property_year_built","brooklyn_condominium_property_gross_sqft","brooklyn_condominium_property_est_gross_income","brooklyn_condominium_property_gross_income_per_sqft","brooklyn_condominium_property_full_market_value","brooklyn_condominium_property_market_value_per_sqft","_comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_est_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_dist_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_est_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_dist_from_coop_in_miles"
"3-01781-7501","1536-R1","794 DE KALB AVENUE
Brooklyn, New York 
(40.692144734221, -73.944432421634)","3","11221","40.69218","-73.94428","3","36","261","3389351","3017817501","Bedford                                                                    ","BEDFORD STUYVESANT","R2-WALK-UP","32","2006","23344","722169","30.9","3500000","150","3-02145-0018","440 BERRY STREET
Brooklyn, New York 
(42.433188999772, -78.748646000413)","WILLIAMSBURG-SOUTH","D9-ELEVATOR","66","1995","58430","2208654","37.8","11100000","190","1.65",,,,,,,,,,,,
"3-01104-7504","1229-R1","372 15 STREET
Brooklyn, New York 
(40.662982988644, -73.984031603735)","3","11215","40.662925","-73.98387","7","39","149","3350114","3011047504","Park Slope-Gowanus                                                         ","PARK SLOPE SOUTH","R2-WALK-UP","30","2004","34417","774382","22.5","3459999","101","3-00177-0034","397 ATLANTIC AVENUE
Brooklyn, New York 
(42.433188999772, -78.748646000413)","BOERUM HILL","C1-WALK-UP","13","2004","14800","333422","22.53","1490000","101","1.75",,,,,,,,,,,,
"3-01053-7501","1128-R1","279 PROSPECT AVENUE
Brooklyn, New York 
(40.663359548874, -73.989189943661)","3","11215","40.663386","-73.989269","7","39","141","3325161","3010537501","Park Slope-Gowanus                                                         ","PARK SLOPE SOUTH","R4-ELEVATOR","20","0","43348","545549","12.59","2050003","47.3","3-01388-0048","935 EASTERN PARKWAY
Brooklyn, New York 
(40.669346752202, -73.937342590174)","CROWN HEIGHTS","D1-ELEVATOR","17","2000","34430","275440","8","778000","22.6","2.7",,,,,,,,,,,,
"3-01097-7502","722-R1","163 PROSPECT PARK
Brooklyn, New York 
(40.7006146148, -73.98515416828)","3","11215","40.661354","-73.96968","55","39","177","3000000","3011170001","park-cemetery-etc-Brooklyn                                                 ","PARK SLOPE","R2-WALK-UP","25","1999","8800","128480","14.6","508993","58","3-00964-0047","297 1 STREET
Brooklyn, New York 
(40.674339713769, -73.982895413126)","PARK SLOPE","C1-WALK-UP","20","1991","34000","497080","14.62","1970000","58","0.8",,,,,,,,,,,,
"3-01131-7501","1656-R1","35 UNDERHILL AVENUE
Brooklyn, New York 
(40.67989651097, -73.964913498403)","3","11238","40.679913","-73.964938","8","35","203","3423483","3011317501","Prospect Heights                                                           ","PROSPECT HEIGHTS","R4-ELEVATOR","39","2005","72356","1591832","22","7109993","98","3-03512-0001","663 HOWARD AVENUE
Brooklyn, New York 
(40.66594467795, -73.91936484805)","BROWNSVILLE","D1-ELEVATOR","122","1983","85370","1612883","18.89","4550000","53","2.55",,,,,,,,,,,,
"3-08810-7505","1837-R1","2784 12 STREET
Brooklyn, New York 
(40.577979494487, -73.979630659176)","3",,,,,,,,,,"SHEEPSHEAD BAY","R4-ELEVATOR","14","2006","11844","272412","23","1219998","103","3-06107-0033","378 93 STREET
Brooklyn, New York 
(40.617851526451, -74.031048499223)","BAY RIDGE","D1-ELEVATOR","12","2003","10555","315172","29.9","1530000","145","4.55","3-07124-0044","61 VILLAGE ROAD
Brooklyn, New York 
(40.594185871312, -73.97271562889)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","11","2005","14500","319000","22","1430000","99","1.2"
"3-06622-7501","1303-R1","1642 9 STREET
Brooklyn, New York 
(40.608840796017, -73.964157403583)","3",,,,,,,,,,"GRAVESEND","R4-ELEVATOR","21","2004","18571","419704","22.6","1880002","101","3-00042-0018","254 WATER STREET
Brooklyn, New York 
(40.702970948925, -73.983701985909)","DOWNTOWN-FULTON FERRY","D8-ELEVATOR","26","2002","28358","639651","22.56","2860000","101","6.6","3-00376-0023","104 LUQUER STREET
Brooklyn, New York 
(40.677927708998, -74.001388024292)","CARROLL GARDENS","D1-ELEVATOR","22","2003","24150","603750","25","2760000","114","5"
"3-06579-7502","1916-R1","143 AVENUE
Brooklyn, New York 
(42.433188999772, -78.748646000413)","3",,,,,,,,,,"GRAVESEND","R4-ELEVATOR","11","2005","25487","349936","13.73","1438946","56","3-01148-0020","802 BERGEN STREET
Brooklyn, New York 
(40.677943132024, -73.961254820824)","CROWN HEIGHTS","D1-ELEVATOR","32","2001","28912","377441","13.05","1420000","49.1","4.65",,,,,,,,,,,,
"3-01755-7502","1943-R1","886 MYRTLE AVENUE
Brooklyn, New York 
(40.695628944126, -73.946767918661)","3","11206","40.69562","-73.947025","3","36","25901","3388856","3017557502","Bedford                                                                    ","BEDFORD STUYVESANT","R0-CONDOMINIUM","16","2006","11808","0","0","527502","44.7","3-01041-0011","204 14 STREET
Brooklyn, New York 
(40.605018539187, -74.00996868818)","PARK SLOPE SOUTH","C1-WALK-UP","20","1915","15140","293602","19.39","1310000","87","3","3-03044-0029","165 MESEROLE STREET
Brooklyn, New York 
(40.708169057316, -73.942541294527)","WILLIAMSBURG-EAST","C1-WALK-UP","39","1930","17460","321532","18.42","1310000","75","0.95"
"3-02241-7531","1246-R1","150 MIDDLETON STREET
Brooklyn, New York 
(40.702964386195, -73.951070962249)","3","11206","40.702899","-73.951224","1","33","509","3350159","3022417531","Williamsburg                                                               ","WILLIAMSBURG-CENTRAL","R4-ELEVATOR","14","2004","25452","341056","13.4","1279997","50","3-00714-0044","4018 5 AVENUE
Brooklyn, New York 
(40.650632160367, -74.004642380768)","SUNSET PARK","C7-WALK-UP","32","1906","25600","398000","15.55","1620000","63","4.55",,,,,,,,,,,,
"3-02131-7502","908-R1","416 BEDFORD AVENUE
Brooklyn, New York 
(40.709640922695, -73.964040274593)","3","11249","40.709718","-73.964002","1","34","549","3346313","3021317502","North Side-South Side                                                      ","WILLIAMSBURG-SOUTH","R4-ELEVATOR","11","2001","11178","155374","13.9","616003","55","3-02132-0016","158 BROADWAY
Brooklyn, New York 
(42.433188999772, -78.748646000413)","WILLIAMSBURG-SOUTH","D7-ELEVATOR","13","2002","24949","347290","13.92","1380000","55","0.1",,,,,,,,,,,,
"3-02223-7503","1450-R1","796 WYTHE AVENUE
Brooklyn, New York 
(40.69978401775, -73.959420950523)","3","11249","40.699836","-73.959438","1","33","537","3388251","3022237503","Williamsburg                                                               ","WILLIAMSBURG-CENTRAL","R4-ELEVATOR","12","2005","16950","296625","17.5","1210002","71","3-03333-0033","1349 GATES AVENUE
Brooklyn, New York 
(40.695282660523, -73.916429825963)","BUSHWICK","D9-ELEVATOR","62","2004","53853","575688","10.69","1630000","30.3","2.25",,,,,,,,,,,,
"3-08717-7501","355-R1","1151 BRIGHTON BEACH AVENU
Brooklyn, New York 
(40.577612181508, -73.955345379489)","3","11235","40.577521","-73.955301","13","48","61004","3245670","3087177501","Brighton Beach                                                             ","BRIGHTON BEACH","R9-CONDOPS","83","1937","61980","461751","7.45","1420000","22.91","3-08688-0079","3094 BRIGHTON 5 STREET
Brooklyn, New York 
(40.577106813652, -73.962327767615)","BRIGHTON BEACH","D1-ELEVATOR","43","1929","52200","388920","7.45","1190000","22.8","0.4",,,,,,,,,,,,
"3-01900-7508","1360-R1","111 SKILLMAN STREET
Brooklyn, New York 
(40.695040470328, -73.957169089617)","3","11205","40.695177","-73.957216","3","33","1237","3054756","3019007508","Bedford                                                                    ","BEDFORD STUYVESANT","R4-ELEVATOR","12","2003","17274","231471","13.4","869996","50","3-01766-0047","614 MARCY AVENUE
Brooklyn, New York 
(40.693451285362, -73.948865604836)","BEDFORD STUYVESANT","D1-ELEVATOR","50","2001","10090","209872","20.8","938000","93","0.35",,,,,,,,,,,,
"3-02147-7505","628-R1","134 9 STREET
Brooklyn, New York 
(40.672435452014, -73.99311447055)","3","11215","40.672348","-73.992869","6","39","121",,,"Park Slope-Gowanus                                                         ","WILLIAMSBURG-SOUTH","R4-ELEVATOR","36","1997","45801","801517","17.5","3259995","71","3-02139-0014","190 8 STREET
Brooklyn, New York 
(40.671380548515, -73.989160354469)","WILLIAMSBURG-SOUTH","C1-WALK-UP","41","1917","25924","452373","17.45","1840000","71","0.1",,,,,,,,,,,,
"3-08723-7501","233-R1","200 CORBIN PLACE
Brooklyn, New York 
(40.577301723257, -73.953987016394)","3","11235","40.577241","-73.953962","13","48","61002","3245729","3087237501","Brighton Beach                                                             ","BRIGHTON BEACH","R9-CONDOPS","118","1961","133505","1081390","8.1","3320000","24.87","3-05163-0048","835 OCEAN AVENUE
Brooklyn, New York 
(40.642225625432, -73.959488112757)","FLATBUSH-CENTRAL","D1-ELEVATOR","72","1953","88820","794290","8.94","2620000","29.5","4.6",,,,,,,,,,,,
"3-01897-7508","1912-R1","609 MYRTLE AVENUE
Brooklyn, New York 
(40.694213999146, -73.959575401055)","3","11205","40.69419","-73.959608","3","33","1237","3392142","3018977508","Bedford                                                                    ","BEDFORD STUYVESANT","R4-ELEVATOR","18","2005","20620","440404","21.36","1970000","96","3-01957-0030","50 GREENE AVENUE
Brooklyn, New York 
(40.686143923001, -73.970581220006)","FORT GREENE","D5-ELEVATOR","41","1932","35872","778717","21.71","3480000","97","0.9","3-01093-0038","150 PROSPECT PARK
Brooklyn, New York 
(40.7005649454, -73.985264658099)","PARK SLOPE","D1-ELEVATOR","30","1921","35298","788262","22.33","3520000","100","2.3"
"3-02264-7518","1287-R1","268 WALLABOUT STREET
Brooklyn, New York 
(40.70024570142, -73.952298854296)","3","11206","40.700248","-73.952481","1","33","531","3388748","3022647518","Bedford                                                                    ","WILLIAMSBURG-CENTRAL","R4-ELEVATOR","28","2005","32523","712904","21.92","3189996","98","3-01169-0009","381 FLATBUSH AVENUE
Brooklyn, New York 
(40.690186960239, -73.981476250374)","PROSPECT HEIGHTS","C7-WALK-UP","50","1924","35700","539761","15.12","2200000","62","1.95",,,,,,,,,,,,
"3-01058-7501","90-R1","180 STERLING PLACE
Brooklyn, New York 
(40.676464843176, -73.972128419967)","3","11217","40.676531","-73.972276","6","39","159","3024401","3010587501","Park Slope-Gowanus                                                         ","PARK SLOPE","R2-WALK-UP","16","1915","11732","178326","15.2","724998","62","3-01088-0035","704 8 AVENUE
Brooklyn, New York 
(40.666939505785, -73.978283225614)","PARK SLOPE","C1-WALK-UP","13","1920","13531","205921","15.22","838000","62","0.7","3-01058-0042","229 ST JOHN'S PLACE
Brooklyn, New York 
(40.675853277909, -73.972519167928)","PARK SLOPE","C1-WALK-UP","19","1910","14205","228460","16.08","929000","65","0"
"3-02238-7504","1376-R1","532 BROADWAY
Brooklyn, New York 
(42.433188999772, -78.748646000413)","3","11206","40.704978","-73.949412","1","33","509","3388252","3022387504","Williamsburg                                                               ","WILLIAMSBURG-EAST","R4-ELEVATOR","35","0","61764","1445277","23.4","6459990","105","3-02145-0018","440 BERRY STREET
Brooklyn, New York 
(42.433188999772, -78.748646000413)","WILLIAMSBURG-SOUTH","D9-ELEVATOR","66","1995","58430","2208654","37.8","11100000","190","0.95",,,,,,,,,,,,
"3-02469-7501","1544-R1","24 DUNHAM PLACE
Brooklyn, New York 
(40.710940336675, -73.967504173557)","3","11249","40.711407","-73.967331","1","33","549","3388875","3024697501","North Side-South Side                                                      ","WILLIAMSBURG-SOUTH","R4-ELEVATOR","22","0","13881","380339","27.4","1840000","133","3-01149-0006","677 CLASSON AVENUE
Brooklyn, New York 
(40.677105851114, -73.959226051565)","CROWN HEIGHTS","C1-WALK-UP","16","1990","6100","166917","27.4","809000","133","2.45",,,,,,,,,,,,
"3-02241-7529","1237-R1","119 LORIMER STREET
Brooklyn, New York 
(40.702381573939, -73.950585368909)","3","11206","40.702286","-73.950702","1","33","509","3350160","3022417529","Williamsburg                                                               ","WILLIAMSBURG-CENTRAL","R4-ELEVATOR","14","2004","26950","415030","15.4","1906758","71","3-06782-0026","2120 OCEAN AVENUE
Brooklyn, New York 
(40.610081747554, -73.953535175497)","MADISON","C1-WALK-UP","20","2005","26750","556400","20.8","2490000","93","6.4",,,,,,,,,,,,
"3-01984-7501","1678-R1","13 IRVING PLACE
Brooklyn, New York 
(40.684698363327, -73.960105022335)","3","11238","40.684506","-73.960093","2","35","231","3390208","3019847501","Clinton Hill                                                               ","CLINTON HILL","R2-WALK-UP","16","2006","11725","321265","27.4","1560002","133","3-01149-0006","677 CLASSON AVENUE
Brooklyn, New York 
(40.677105851114, -73.959226051565)","CROWN HEIGHTS","C1-WALK-UP","16","1990","6100","166917","27.4","809000","133","0.5",,,,,,,,,,,,
"3-07437-7503","1862-R1","2570 17 STREET
Brooklyn, New York 
(40.584783725662, -73.985940392559)","3",,,,,,,,,,"SHEEPSHEAD BAY","R4-ELEVATOR","16","2005","38257","0","0","3361408","88","3-06683-0052","1965 7 STREET
Brooklyn, New York 
(42.433188999772, -78.748646000413)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","35","1931","25075","379025","15.12","1070000","42.7","1.2","3-08470-1018","5905 STRICKLAND AVENUE
Brooklyn, New York 
(40.609047457105, -73.914120999897)","MILL BASIN","D9-ELEVATOR","98","2000","107569","4433111","41.2","22300000","207","2.4"
"3-06135-7501","118-R1","9921 4 AVENUE
Brooklyn, New York 
(40.613262920295, -74.033242485548)","3","11209","40.613232","-74.033295","10","43","162","3253462","3061357501","Bay Ridge                                                                  ","BAY RIDGE","R4-ELEVATOR","52","1987","47420","663880","14","2629984","55","3-08688-0079","3094 BRIGHTON 5 STREET
Brooklyn, New York 
(40.577106813652, -73.962327767615)","BRIGHTON BEACH","D1-ELEVATOR","43","1929","52200","388920","7.45","1190000","22.8","4.45",,,,,,,,,,,,
"3-02263-7503","1202-R1","717 BEDFORD AVENUE
Brooklyn, New York 
(40.699259935427, -73.957040857447)","3","11206","40.699278","-73.957069","1","33","531","3378363","3022637503","Bedford                                                                    ","WILLIAMSBURG-CENTRAL","R2-WALK-UP","12","2002","20931","280475","13.4","1050008","50","3-02593-0022","114 CALYER STREET
Brooklyn, New York 
(40.727151658288, -73.956131597072)","GREENPOINT","C1-WALK-UP","11","2005","16000","230080","14.38","912000","57","1.9","3-02132-0016","158 BROADWAY
Brooklyn, New York 
(42.433188999772, -78.748646000413)","WILLIAMSBURG-SOUTH","D7-ELEVATOR","13","2002","24949","347290","13.92","1380000","55","0.8"
"3-01426-7501","535-R1","645 LEFFERTS AVENUE
Brooklyn, New York 
(40.663059894412, -73.939936059048)","3","11203","40.663053","-73.939615","9","41","331","3038418","3014267501","Crown Heights South                                                        ","FLATBUSH-NORTH","R2-WALK-UP","22","1925","30700","337700","11","1190010","38.8","3-04630-0001","1068 WINTHROP STREET
Brooklyn, New York 
(40.661195210966, -73.92427750326)","FLATBUSH-NORTH","C1-WALK-UP","42","1926","30560","378620","12.39","1250000","40.9","0.85","3-04627-0031","270 92 STREET
Brooklyn, New York 
(40.619491664988, -74.033564335263)","FLATBUSH-NORTH","C1-WALK-UP","35","1920","36000","305795","8.49","1010000","28.1","0.75"
"3-07404-7502","1749-R1","2736 OCEAN AVENUE
Brooklyn, New York 
(40.594654754006, -73.950623156485)","3","11229","40.594444","-73.950482","15","48","592","3391749","3074047502","Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ","SHEEPSHEAD BAY","R4-ELEVATOR","14","2005","21306","558901","26.2","2709998","127","3-06591-0007","1410 10 STREET
Brooklyn, New York 
(40.610651671385, -73.984079769701)","OCEAN PARKWAY-NORTH","D9-ELEVATOR","46","1997","29430","1380215","46.9","6940000","236","1.55",,,,,,,,,,,,
"3-02230-7505","1196-R1","5 LYNCH STREET
Brooklyn, New York 
(40.699735219971, -73.957669052375)","3","11249","40.699706","-73.957675","1","33","537","3378336","3022307505","Williamsburg                                                               ","WILLIAMSBURG-CENTRAL","R4-ELEVATOR","11","2004","32400","560520","17.3","2279999","70","3-02181-0025","86 ROSS STREET
Brooklyn, New York 
(40.703612295233, -73.963656377936)","WILLIAMSBURG-CENTRAL","C1-WALK-UP","38","1993","91200","1746480","19.15","7810000","86","0.4",,,,,,,,,,,,
"3-02262-7506","1350-R1","417 FLUSHING AVENUE
Brooklyn, New York 
(40.698787113377, -73.958352553859)","3","11205","40.698765","-73.958357","1","33","537","3389358","3022627506","Williamsburg                                                               ","WILLIAMSBURG-CENTRAL","R4-ELEVATOR","16","0","16303","370730","22.74","1660001","102","3-02264-0063","563 FLUSHING AVENUE
Brooklyn, New York 
(40.699577374022, -73.952227564707)","WILLIAMSBURG-CENTRAL","D1-ELEVATOR","14","2004","28158","386844","13.74","1530000","54","0.3",,,,,,,,,,,,
"3-02241-7530","1242-R1","146 MIDDLETON STREET
Brooklyn, New York 
(40.702887877695, -73.951185724999)","3","11206","40.702844","-73.951311","1","33","509","3350162","3022417530","Williamsburg                                                               ","WILLIAMSBURG-CENTRAL","R4-ELEVATOR","14","2004","23692","364856","15.4","1480000","62","3-00714-0044","4018 5 AVENUE
Brooklyn, New York 
(40.650632160367, -74.004642380768)","SUNSET PARK","C7-WALK-UP","32","1906","25600","398000","15.55","1620000","63","4.55",,,,,,,,,,,,
"3-05891-7502","265-R1","7123 3 AVENUE
Brooklyn, New York 
(42.433188999772, -78.748646000413)","3","11209","40.633828","-74.026816","10","43","68","3146517","3058917502","Bay Ridge                                                                  ","BAY RIDGE","R9-CONDOPS","18","0","16737","139084","8.31","458000","27.4","3-05861-0053","6820 RIDGE BOULEVARD
Brooklyn, New York 
(42.433188999772, -78.748646000413)","BAY RIDGE","C1-WALK-UP","24","1916","26700","221851","8.31","731000","27.4","0.35",,,,,,,,,,,,
"3-04414-7501","468-R1","148 COZINE AVENUE
Brooklyn, New York 
(40.654503135711, -73.886416219833)","3","11207","40.654556","-73.886344","5","42","1104","3335422","3044147501","East New York                                                              ","EAST NEW YORK","R2-WALK-UP","56","1990","52920","493392","9.32","1609978","30.4","3-02145-0018","440 BERRY STREET
Brooklyn, New York 
(42.433188999772, -78.748646000413)","WILLIAMSBURG-SOUTH","D9-ELEVATOR","66","1995","58430","2208654","37.8","11100000","190","5.7",,,,,,,,,,,,
"3-02134-7501","1396-R1","446 KENT AVENUE
Brooklyn, New York 
(40.709206408116, -73.968524902445)","3","11249","40.70899","-73.968483","1","33","547","3387991","3021347501","North Side-South Side                                                      ","WILLIAMSBURG-SOUTH","R4-ELEVATOR","75","2003","83525","2831497","33.9","14200000","170","3-02145-0018","440 BERRY STREET
Brooklyn, New York 
(42.433188999772, -78.748646000413)","WILLIAMSBURG-SOUTH","D9-ELEVATOR","66","1995","58430","2208654","37.8","11100000","190","0.15",,,,,,,,,,,,
"3-04868-7501","338-R1","260 LINDEN BOULEVARD
Brooklyn, New York 
(40.652643726794, -73.949351651428)","3","11226","40.652671","-73.949099","17","40","818","3108501","3048687501","Erasmus                                                                    ","FLATBUSH-EAST","R2-WALK-UP","58","0","68514","815316","11.9","2869991","41.9","3-07052-0014","2914 28 STREET
Brooklyn, New York 
(40.575152880535, -73.994259277938)","CONEY ISLAND","D1-ELEVATOR","178","1975","149954","1784273","11.9","5040000","33.6","5.9",,,,,,,,,,,,
"3-02224-7502","718-R1","29 HEYWARD STREET
Brooklyn, New York 
(40.699916613416, -73.958916008785)","3","11249","40.699992","-73.958757","1","33","537","3060965","3022247502","Williamsburg                                                               ","WILLIAMSBURG-CENTRAL","R4-ELEVATOR","12","1999","22844","358650","15.7","1459998","64","3-00814-0020","334 53 STREET
Brooklyn, New York 
(40.645493705234, -74.015543228629)","SUNSET PARK","C1-WALK-UP","12","1983","9180","70686","7.7","200000","21.79","4.85",,,,,,,,,,,,
"3-06133-7501","1125-R1","9935 SHORE ROAD
Brooklyn, New York 
(42.433188999772, -78.748646000413)","3","11209","40.612981","-74.036497","10","43","5602","3156067","3061337501","Bay Ridge                                                                  ","BAY RIDGE","R4-ELEVATOR","24","2004","30793","514243","16.7","2090001","68","3-00714-0044","4018 5 AVENUE
Brooklyn, New York 
(40.650632160367, -74.004642380768)","SUNSET PARK","C7-WALK-UP","32","1906","25600","398000","15.55","1620000","63","3.05",,,,,,,,,,,,
"3-02240-7509","1018-R1","57 LORIMER STREET
Brooklyn, New York 
(40.701290882528, -73.952279563437)","3","11206","40.701216","-73.952358","1","33","531","3348850","3022407509","Bedford                                                                    ","WILLIAMSBURG-CENTRAL","R4-ELEVATOR","16","0","24787","518048","20.9","2319996","94","3-02249-0005","429 MARCY AVENUE
Brooklyn, New York 
(40.700928506011, -73.951240269614)","WILLIAMSBURG-CENTRAL","D1-ELEVATOR","14","2005","31000","775000","25","3474000","112","0.15",,,,,,,,,,,,
"3-01173-7501","245-R1","806 WASHINGTON AVENUE
Brooklyn, New York 
(42.433188999772, -78.748646000413)","3","11238","40.67391","-73.963027","8","35","207","3029405","3011737501","Prospect Heights                                                           ","PROSPECT HEIGHTS","R9-CONDOPS","14","1910","8392","159448","19","649000","77","3-01158-0021","180 PROSPECT PLACE
Brooklyn, New York 
(40.678041013696, -73.970843317586)","PROSPECT HEIGHTS","C1-WALK-UP","16","1931","15480","245990","15.89","1000000","65","0.35","3-01173-0058","427 ST JOHN'S PLACE
Brooklyn, New York 
(40.673784822112, -73.963720292354)","PROSPECT HEIGHTS","C1-WALK-UP","16","1912","16104","198346","12.32","609000","37.8","0"
"3-00180-7501","1409-R1","560 STATE STREET
Brooklyn, New York 
(42.433188999772, -78.748646000413)","3","11217","40.685343","-73.978683","2","33","39","3388494","3001807501","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ","BOERUM HILL","R2-WALK-UP","39","1990","42550","1348835","31.7","6539995","154","3-02145-0018","440 BERRY STREET
Brooklyn, New York 
(42.433188999772, -78.748646000413)","WILLIAMSBURG-SOUTH","D9-ELEVATOR","66","1995","58430","2208654","37.8","11100000","190","1.75",,,,,,,,,,,,
"3-05381-7501","169-R1","542 DAHILL ROAD
Brooklyn, New York 
(40.634271515606, -73.978915095387)","3","11218","40.634219","-73.978891","12","39","478","3256673","3053817501","Borough Park                                                               ","BOROUGH PARK","R2-WALK-UP","22","0","17751","253839","14.3","1009996","57","3-05595-0014","922 42 STREET
Brooklyn, New York 
(40.643916650791, -73.996335340136)","BOROUGH PARK","C1-WALK-UP","27","1924","32000","456204","14.26","1400000","43.8","1.05",,,,,,,,,,,,
"3-06653-7501","1494-R1","355 KINGS HIGHWAY
Brooklyn, New York 
(42.433188999772, -78.748646000413)","3","11223","40.604764","-73.976959","11","44","424","3388769","3066537501","Bensonhurst East                                                           ","GRAVESEND","R4-ELEVATOR","28","2003","54201","1035239","19.1","4209998","78","3-06911-0006","2629 CROPSEY AVENUE
Brooklyn, New York 
(40.581338573306, -73.985731991852)","GRAVESEND","D1-ELEVATOR","106","1987","75586","1445516","19.12","4080000","54","1.25",,,,,,,,,,,,
"3-06134-7501","273-R1","336 99 STREET
Brooklyn, New York 
(40.613942339746, -74.034299549777)","3","11209","40.613921","-74.034224","10","43","5602","3156078","3061347501","Bay Ridge                                                                  ","BAY RIDGE","R2-WALK-UP","15","1983","10971","136040","12.4","511001","46.6","3-06093-0029","92 PARROTT PLACE
Brooklyn, New York 
(40.616302291862, -74.023030700778)","BAY RIDGE","C1-WALK-UP","12","1978","9369","115950","12.38","436000","46.5","0.6",,,,,,,,,,,,
"3-02264-7515","1313-R1","298 WALLABOUT STREET
Brooklyn, New York 
(40.700397758986, -73.950894351706)","3","11206","40.700406","-73.951035","1","33","531","3388750","3022647515","Bedford                                                                    ","WILLIAMSBURG-CENTRAL","R4-ELEVATOR","20","2005","32291","779827","24.15","3489999","108","3-06782-0026","2120 OCEAN AVENUE
Brooklyn, New York 
(40.610081747554, -73.953535175497)","MADISON","C1-WALK-UP","20","2005","26750","556400","20.8","2490000","93","6.2",,,,,,,,,,,,
"3-01376-7501","1510-R1","273 ALBANY AVENUE
Brooklyn, New York 
(40.671276746078, -73.93920247693)","3","11213","40.671322","-73.939225","8","35","339","3388744","3013767501","Crown Heights North                                                        ","CROWN HEIGHTS","R2-WALK-UP","13","1906","8136","126921","15.6","515999","63","3-01281-0007","1593 BEDFORD AVENUE
Brooklyn, New York 
(40.667922981047, -73.956046614651)","CROWN HEIGHTS","C1-WALK-UP","16","1905","13200","205656","15.58","836000","63","0.95","3-01281-0009","1589 BEDFORD AVENUE
Brooklyn, New York 
(40.668063874842, -73.956002937575)","CROWN HEIGHTS","C1-WALK-UP","16","1905","13200","205656","15.58","836000","63","0.95"
"3-07638-7503","1346-R1","1733 OCEAN AVENUE
Brooklyn, New York 
(40.619745834001, -73.955160284382)","3","11230","40.619736","-73.955251","14","48","760","3387941","3076387503","Midwood                                                                    ","MIDWOOD","R4-ELEVATOR","15","2005","24167","490590","20.3","2189995","91","3-02593-0022","114 CALYER STREET
Brooklyn, New York 
(40.727151658288, -73.956131597072)","GREENPOINT","C1-WALK-UP","11","2005","16000","230080","14.38","912000","57","7.4",,,,,,,,,,,,
"3-00900-7501","1864-R1","320 23 STREET
Brooklyn, New York 
(40.658591389224, -73.991924495047)","3","11215","40.657985","-73.99082","7","38","147","3391195","3009007501","Sunset Park West                                                           ","SUNSET PARK","R2-WALK-UP","16","2006","12950","323750","25","1449998","112","3-02558-0062","113 GREENPOINT AVENUE
Brooklyn, New York 
(40.730108424358, -73.95556600461)","GREENPOINT","C1-WALK-UP","16","1930","12560","289759","23.07","1290000","103","5.3","3-02785-0037","47 MAUJER STREET
Brooklyn, New York 
(40.710401206454, -73.949368051738)","WILLIAMSBURG-EAST","C1-WALK-UP","14","2006","13810","323746","23.44","1450000","105","4.2"
"3-05634-7501","12-R1","1225 49 STREET
Brooklyn, New York 
(40.636022543458, -73.993732026338)","3","11219","40.635933","-73.993605","12","44","220","3137439","3056347501","Borough Park                                                               ","BOROUGH PARK","R4-ELEVATOR","16","1929","20044","325715","16.25","1320001","66","3-05351-0008","58 CHURCH AVENUE
Brooklyn, New York 
(40.642156748841, -73.980885615848)","BOROUGH PARK","C1-WALK-UP","20","1930","13500","219090","16.23","891000","66","0.75","3-05602-0030","1017 44 STREET
Brooklyn, New York 
(40.641608071081, -73.995399804518)","BOROUGH PARK","D1-ELEVATOR","40","1924","28000","379120","13.54","1070000","38.2","0.4"
"3-01625-7501","445-R1","172 STUYVESANT AVENUE
Brooklyn, New York 
(40.689568866307, -73.933406980572)","3","11221","40.689509","-73.933367","3","36","291","3044271","3016257501","Stuyvesant Heights                                                         ","BEDFORD STUYVESANT","R2-WALK-UP","18","0","22659","305783","13.49","1150002","51","3-02593-0022","114 CALYER STREET
Brooklyn, New York 
(40.727151658288, -73.956131597072)","GREENPOINT","C1-WALK-UP","11","2005","16000","230080","14.38","912000","57","2.8","3-06115-0151","125 95 STREET
Brooklyn, New York 
(40.617037115709, -74.036964044268)","BAY RIDGE","C1-WALK-UP","14","2002","16500","225749","13.68","895000","54","7.3"
