"organization_name","address","city","state","postcode","main_phone","discipline","council_district","community_board","borough","latitude","longitude","census_tract","bin","bbl","nta"
"Asian CineVision, Inc.","115 West 30th Street","New York","NY","10001","(212) 989-1422","Film/Video/Audio","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.747582","-73.990324","101","1015161","1008060026","Midtown-Midtown South"
"Asian Cultural Council, Inc.","6 West 48th Street","New York","NY","10036","(212) 843-0367","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #3","Manhattan Community Board #5","Manhattan","40.757426","-73.978465","96","1034487","1012630043","Midtown-Midtown South"
"Asian United And Cultural Exchange Council Inc","185 Bedford Avenue","New Hyde Park","NY","11040","(347) 234-9329","Folk Arts","Queens Council District #20","Queens Community Board #7","Queens","40.557646","-73.913097","91601",,,"Breezy Point-Belle Harbor-Rockaway Park-Broad Channel"
"Association for Cultural Equity, Inc.","425 E 25th Street","New York","NY","10010","(212) 268-4623","Folk Arts","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.737878","-73.97688","62","1069579","1009620100","Murray Hill-Kips Bay"
"Association for Development of Dramatic Arts, Inc.","301 East 57th St., 3rd Fl.","New York","NY","10022","(212) 583-2706 x15","Theater","Manhattan Council District #1","Manhattan Community Board #3","Manhattan","40.759264","-73.96517","108","1039997","1013500001","Turtle Bay-East Midtown"
"Association for the Advancement of Creative Musicians, New York City Chapter, Inc.","P.O. Box 187","New York","NY","10108","(212) 594-7121","Music","Manhattan Council District #2","Manhattan Community Board #4","Manhattan",,,,,,
"Association of Dominican Classical Artists, Inc.","699 East 137 Street","Bronx","NY","10454","(917) 331-6122","Multi-Discipline, Performing","Bronx Council District #8","Bronx Community Board #1","Manhattan",,,,,,
"Association of Hispanic Arts, Inc.","1702 Lexington Avenue","New York","NY","10029","(212) 876-1242","Other","Manhattan Council District #8","Manhattan Community Board #11","Manhattan","40.792608","-73.946027","172","1052054","1016340056","East Harlem South"
"Astoria Big Band","161 Sixth Avenue, 14th floor","New York","NY","10013","(212) 691-6969 x13","Music",,"Manhattan Community Board #1","Manhattan","40.725677","-74.003976","37","1007822","1005050031","SoHo-TriBeCa-Civic Center-Little Italy"
"Astoria Music Society, Inc.","22-70 23rd Street","Astoria","NY","11105","(718) 721-8311","Music","Queens Council District #22","Queens Community Board #1","Queens","40.778324","-73.917575","101","4019527","4008780066","Steinway"
"Astoria Performing Arts Center","Kaufman Astoria Studios","Astoria","NY","11106","(917) 566-0969","Theater","Queens Council District #22","Queens Community Board #1","Queens","40.757447","-73.923921","57",,,"Astoria"
"At Hand Theatre Company, Inc.","214 West 122nd Street #2","New York","NY","10027","(646) 334-8352","Theater","Queens Council District #26","Queens Community Board #2","Queens",,,,,,
"Athena Theatre","1224 St. Nicholas Avenue","New York","NY","10032","(818) 642-6294","Theater","Manhattan Council District #4","Manhattan Community Board #8","Manhattan","40.843094","-73.938269","253","1063062","1021280003","Washington Heights South"
"Atlantic Avenue Local Development Corporation","494 Atlantic Avenue","Brooklyn","NY","11217","(212) 710-0010","Multi-Discipl, Perf & Non-Perf","Brooklyn Council District #33","Brooklyn Community Board #2","Brooklyn","40.685711","-73.981716","39","3000977","3001850014","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"Atlantic Theater Company","76 Ninth Avenue, Suite #313","New York","NY","10011-5226","(212) 691-5919","Theater","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.741915","-74.004659","83","1013043","1007390001","Hudson Yards-Chelsea-Flatiron-Union Square"
"Audience Development Committee, Inc.","P.O. Box 30","New York","NY","10027","(212) 368-6906","Theater","Manhattan Council District #9","Manhattan Community Board #10","Manhattan",,,,,,
"Audience, Inc.","39 Avenue A","New York","NY","10009","(646) 351-9859","Film/Video/Audio","Brooklyn Council District #33","Brooklyn Community Board #6","Manhattan","40.723502","-73.985403","3002","1077953","1004300010","East Village"
"Australian Aboriginal Theatre Initiative","60 2nd Avenue","New York","NY","10003","(212) 533-0889","Theater","Manhattan Council District #2","Manhattan Community Board #3","Manhattan","40.725827","-73.989678","38","1006165","1004450004","East Village"
"Autonomedia, Inc.","P.O. Box 568 Williamsburgh Station","Brooklyn","NY","11211","(718) 963-2603","Literature","Brooklyn Council District #33","Brooklyn Community Board #1","Brooklyn",,,,,,
"Avant Media Performance, Inc.","113 South 2nd Street, #1B","Brooklyn","NY","11211","(212) 372-3326","Multi-Discipline, Performing","Brooklyn Council District #34","Brooklyn Community Board #1","Brooklyn","40.71364","-73.96307","551","3389057","3024057501","North Side-South Side"
"Ayazamana Cultural Center","32-22 48 Street","Long Island City","NY","11103","(646) 229-5867","Multi-Discipline, Performing","Queens Council District #26","Queens Community Board #2","Queens","40.755597","-73.912925","161","4013136","4007230047","Astoria"
"Azure Ensemble","c/o Susan Glaser, Steinhardt School, NYU","New York","NY","10012","(212) 222-3067","Music","Manhattan Council District #9","Manhattan Community Board #7","Manhattan",,,,,,
"BAM Local Development Corporation","80 Hansen Place","Brooklyn","NY","11217","(718) 907-4411","Multi-Discipl, Perf & Non-Perf","Brooklyn Council District #35","Brooklyn Community Board #2","Brooklyn",,,,,,
"BCA Development Corporation","1738 Hone Avenue","Bronx","NY","10461","(718) 401-9558",,,,"Bronx","40.848065","-73.854058","254","2044837","2041040001","Van Nest-Morris Park-Westchester Square"
"BCT Brooklyn Children's Theatre, Inc.","135 Prospect Park SW #B7","New York","NY","11218","(917) 397-4228","Theater","Brooklyn Council District #39","Brooklyn Community Board #1","Brooklyn","40.656017","-73.973683","171","3121890","3052570045","Windsor Terrace"
"BHRAGS Home Care","9805 Foster ave","Brooklyn","NY","11236","(347) 314-1057","Multi-Discipline, Non-Perform","Brooklyn Council District #42","Brooklyn Community Board #18","Brooklyn","40.648926","-73.90479","1098","3228718","3081310005","East New York"
"BJHI INC","3603 QUENTIN RD","BROOKLYN","NY","11234","(347) 434-3973","Film/Video/Audio","Brooklyn Council District #46","Brooklyn Community Board #18","Brooklyn","40.614729","-73.936687","646","3212428","3077090009","Georgetown-Marine Park-Bergen Beach-Mill Basin"
"BRIC Arts Media Bklyn","647 Fulton Street","Brooklyn","NY","11217","(718) 683-5600","Multi-Discipl, Perf & Non-Perf","Brooklyn Council District #35","Brooklyn Community Board #2","Brooklyn","40.688236","-73.979212","33","3058597","3020950001","Fort Greene"
"BROOKLYN FILMSHOP INC","104 Sullivan St","New York","NY","10012","(203) 559-9994","Film/Video/Audio","Manhattan Council District #3","Manhattan Community Board #2","Manhattan","40.725748","-74.002976","49","1007813","1005040034","SoHo-TriBeCa-Civic Center-Little Italy"
"Babycastles Studio Inc.","145 W 14th Street","New York","NY","10011","(774) 593-3038","New Media","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.737921","-73.998156","81","1014518","1007900010","Hudson Yards-Chelsea-Flatiron-Union Square"
"Bailey's Cafe","324 Malcolm X Boulevard","Brooklyn","NY","11233","(347) 721-2152","Multi-Discipl, Perf & Non-Perf","Brooklyn Council District #36","Brooklyn Community Board #3","Brooklyn","40.681747","-73.928835","297","3047513","3016810047","Crown Heights North"
"Baja Musical Arts Initiative, Inc.","601 W 26TH ST SUITE 325-257","New York City","NY","10001","(646) 996-9467","Music","Manhattan Council District #3","Manhattan Community Board #3","Bronx",,,,,,
"Balance Dance Theatre","181 East 91st Street","Brooklyn","NY","11212","(718) 624-6414","Multi-Discipline, Performing","Brooklyn Council District #35","Brooklyn Community Board #2","Brooklyn","40.660317","-73.927009","882","3099867","3046100055","Rugby-Remsen Village"
"Balinese American Dance Theatre","23 West 35th Street, 2nd Floor","New York","NY","10001","(646) 361-9183","Dance","Manhattan Council District #3","Manhattan Community Board #5","Manhattan","40.749544","-73.985109","84","1015894","1008370028","Midtown-Midtown South"
"Ballet Ambassadors, Inc.","160 West 71st Street, Ste. 18A","New York","NY","10023","(212) 600-0018","Dance","Manhattan Council District #6","Manhattan Community Board #7","Manhattan","40.777537","-73.981189","157","1029778","1011420064","Lincoln Square"
"Ballet Folklorico Mexicano de Nueva York","24-36 83rd Street","East Elmhurst","NY","11370","(917) 940-6733","Dance","Queens Council District #22","Queens Community Board #3","Queens","40.76394","-73.885959","329","4023960","4010940022","Jackson Heights"
"Ballet Hispanico of New York, Inc.","167 West 89 Street","New York","NY","10024","(212) 362-6710 x23","Dance","Manhattan Council District #6","Manhattan Community Board #7","Manhattan","40.78917","-73.972525","173","1081050","1012200107","Upper West Side"
"Ballet Next, Inc.","243 West 60th Street","New York","NY","10023","(212) 203-0409","Dance","Manhattan Council District #6","Manhattan Community Board #7","Manhattan","40.771824","-73.988974","147","1030315","1011527502","Lincoln Square"
"Ballet Orchestra of New York City","438 East 76th Street #4-C","New York","NY","10021","(212) 988-2148","Music","Manhattan Council District #5","Manhattan Community Board #8","Manhattan","40.769984","-73.953168","132","1045938","1014700030","Lenox Hill-Roosevelt Island"
"Ballet Tech Foundation, Inc.","890 Broadway, 8th Floor","New York","NY","10003","(212) 777-7710 x314","Dance","Manhattan Council District #2","Manhattan Community Board #5","Manhattan","40.738604","-73.989911","52","1016163","1008487502","Hudson Yards-Chelsea-Flatiron-Union Square"
"Ballet Theatre Foundation, Inc.","890 Broadway, 3rd Floor","New York","NY","10003","(212) 477-3030 x1188","Dance","Manhattan Council District #2","Manhattan Community Board #5","Manhattan","40.738604","-73.989911","52","1016163","1008487502","Hudson Yards-Chelsea-Flatiron-Union Square"
"BalletCollective Inc.","850 Amsterdam Ave 14F","New York","NY","10025","(646) 337-1254","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #7","Manhattan Community Board #7","Manhattan","40.797587","-73.967801","187","1056510","1018730031","Upper West Side"
"Ballroom Basix USA Inc.","178 E 117th Street","New York","NY","10035","(212) 876-8660","Dance","Manhattan Council District #8","Manhattan Community Board #11","Bronx",,,,,,
"Ballroom Basix USA, Inc.","178 E. 117th St","New York","NY","10035","(212) 876-8660","Dance","Manhattan Council District #8","Manhattan Community Board #11","Bronx",,,,,,
"Bang Group, Inc.","131 Perry Street, Ste. 1A","New York","NY","10014","(212) 337-9565","Dance","Manhattan Council District #3","Manhattan Community Board #2","Manhattan","40.734943","-74.007516","75","1011864","1006330028","West Village"
"Bang on a Can, Inc.","80 Hanson Place, Ste. 701","Brooklyn","NY","11217","(718) 852-7755","Music","Brooklyn Council District #35","Brooklyn Community Board #2","Brooklyn","40.685488","-73.974421","35","3057479","3020030034","Fort Greene"
"Bangladesh Institute of Performing Arts, Inc.","40-25 68th Street","Woodside","NY","11377","(917) 674-4746","Folk Arts","Queens Council District #26","Queens Community Board #1","Queens","40.745706","-73.897109","263","4535463","4013000116","Woodside"
"Bangladeshi American Community Development and Youth Services","181 Forbell Street","Brooklyn","NY","11208","(718) 235-1700","Multi-Discipl, Perf & Non-Perf","Brooklyn Council District #37","Brooklyn Community Board #5","Brooklyn","40.678595","-73.864102","1188","3094520","3042060015","Cypress Hills-City Line"
"Barbad Chamber Orchestra, Inc.","PO Box 216, Lenox Hill Station","New York","NY","10021","(212) 414-7691","Music","Manhattan Council District #6","Manhattan Community Board #7","Manhattan",,,,,,
"Bardekova Ensemble","2965 Marion Avenue 3G","New York","NY","10458","(718) 933-6221","Music","Bronx Council District #11","Bronx Community Board #7","Bronx","40.869159","-73.883993","415","2016732","2032920001","Bedford Park-Fordham North"
"Bargemusic, Ltd.","Fulton Ferry Landing","Brooklyn","NY","11201","(718) 624-4061","Music","Brooklyn Council District #33","Brooklyn Community Board #2","Brooklyn","40.70309","-73.994875","21","3000000","3000250001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"Barrow Group, Inc.","312 West 36th Street, Apt. 4W","New York","NY","10018","(201) 709-5720","Theater","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.753755","-73.9932","111","1080495","1007590049","Hudson Yards-Chelsea-Flatiron-Union Square"
"Bartlett Foundation, Inc.","120  51 200 th Street","ST Albans","NY","11412","(212) 470-6559","Multi-Discipline, Performing","Queens Council District #27","Queens Community Board #12","Queens",,,,,,
"Bartow-Pell Landmark Fund","895 Shore Road","Bronx","NY","10464","(718) 885-1461","Museum","Bronx Council District #13","Bronx Community Board #10","Bronx","40.875733","-73.80166","504","2097423","2056500001","park-cemetery-etc-Bronx"
"Baryshnikov Dance Foundation, Inc.","450 West 37th Street, Suite 501","New York","NY","10018","(646) 731-3201","Multi-Discipline, Performing","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.756058","-73.996759","111","1087066","1007347502","Hudson Yards-Chelsea-Flatiron-Union Square"
"Batoto Yetu, Inc.","12 Sylvan Terrace","New York","NY","10032","(646) 240-4161","Dance","Manhattan Council District #7","Manhattan Community Board #9","Manhattan","40.834682","-73.93934","24301","1062558","1021090063","Washington Heights South"
"Battered Women's Safe Territory -an Opportunity to Progress, Inc.","94 Bentwood Drive","Waterbury","NY","6705","(203) 768-3841","Multi-Discipline, Non-Perform","Bronx Council District #16","Bronx Community Board #5","Bronx",,,,,,
"Battery Dance Corporation","380 Broadway, Fifth Floor","New York","NY","10013","(212) 219-3910","Dance","Manhattan Council District #1","Manhattan Community Board #1","Manhattan","40.718112","-74.002958","31","1002317","1001950001","SoHo-TriBeCa-Civic Center-Little Italy"
"Battleworks Dance Company","P.O. Box 16","New York","NY","10012","(718) 312-8718","Dance","Manhattan Council District #3","Manhattan Community Board #2","Manhattan",,,,,,
"Bayside Glee Club, Inc.","51-17 Reeder Street","Elmhurst","NY","11373","(718) 424-5769","Music","Queens Council District #19","Queens Community Board #4","Queens","40.738106","-73.878263","473","4038776","4015490055","Elmhurst"
"Bayside Historical Society","208 Totten Avenue","Bayside","NY","11359","(718) 352-1548","Humanities","Queens Council District #19","Queens Community Board #11","Queens","40.792442","-73.777563","999","4539849","4059170001","Ft. Totten-Bay Terrace-Clearview"
"Beam Center, Inc.","47 Bergen Street","Brooklyn","NY","11201","(347) 470-6747","Multi-Discipline, Non-Perform","Brooklyn Council District #33","Brooklyn Community Board #2","Brooklyn","40.687112","-73.991407","43","3001236","3001930040","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"Bedford Stuyvesant Restoration Corporation","1368 Fulton Street","Brooklyn","NY","11216","(718) 636-6931","Multi-Discipl, Perf & Non-Perf","Brooklyn Council District #36","Brooklyn Community Board #3","Brooklyn","40.680175","-73.945717","247","3053786","3018620014","Crown Heights North"
"Bedlam, Inc.","603 West 115th Street,","New York","NY","10025","(646) 784-1029","Theater","Manhattan Council District #6","Manhattan Community Board #7","Manhattan","40.807517","-73.964795","205","1057379","1018960065","Morningside Heights"
"Behind the Book, Inc.","216 West 135th Street, Ground Floor","New York","NY","10030","(212) 222-3627","Literature","Manhattan Council District #8","Manhattan Community Board #7","Manhattan","40.815595","-73.944411","228","1058844","1019400039","Central Harlem North-Polo Grounds"
"Believe In Me","1123 Broadway","New York","NY","10010","(646) 336-1500",,,,"Manhattan","40.743254","-73.989123","58","1015618","1008270028","Hudson Yards-Chelsea-Flatiron-Union Square"
"Bella Voce, Inc.","659 85th Street","Brooklyn","NY","11228","(917) 501-0338","Music","Brooklyn Council District #43","Brooklyn Community Board #10","Brooklyn","40.619946","-74.021991","140","3152918","3060280069","Dyker Heights"
"Belladonna Series, Inc.","925 Bergen St","Brooklyn","NY","11238","(917) 474-2003","Literature","Brooklyn Council District #35","Brooklyn Community Board #8","Brooklyn","40.676979","-73.956557","305","3330648","3011420060","Crown Heights North"
"Beta Israel of North America Cultural Foundation, Inc.","PO Box 470","New York","NY","10030","(212) 284-6942","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #1","Manhattan Community Board #1","Manhattan",,,,,,
"Beth Morrison Projects","666 Ocean Avenue #D1","Brooklyn","NY","11226","(646) 682-7181","Music","Manhattan Council District #4","Manhattan Community Board #8","Brooklyn","40.646568","-73.960354","51001","3117610","3051230016","Flatbush"
"Big Apple Circus, Ltd.","One MetroTech Center-North","New York","NY","11201","(212) 268-2500 x148","Theater","Manhattan Council District #3","Manhattan Community Board #5","Brooklyn","40.694059","-73.985741","11","3000000","3001420100","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"Big Apple Greeter, Inc.","1 Centre Street","New York","NY","10007","(212) 669-3146","Other","Manhattan Council District #1","Manhattan Community Board #1","Manhattan","40.713001","-74.004181","29","1001394","1001210001","Chinatown"
"Big Apple Performing Arts, Inc.","676A 9th Avenue, Suite 405","New York","NY","10036","(212) 344-1777 x11","Music","Manhattan Council District #1","Manhattan Community Board #1","Manhattan","40.761457","-73.990412","127","1025074","1010370062","Clinton"
"Big Art Group, Inc.","P.O. Box 1034","New York","NY","10276","(646) 479-4363","Multi-Discipline, Performing","Manhattan Council District #3","Manhattan Community Board #2","Manhattan",,,,,,
"Big Dance Theater, Inc.","303 Clinton Street","Brooklyn","NY","11231","(646) 717-0585","Theater","Brooklyn Council District #39","Brooklyn Community Board #2","Manhattan",,,,,,
"Big Tree Productions, Inc.","42 Horatio Street, #9","New York","NY","10014","(212) 633-0016","Dance","Manhattan Council District #3","Manhattan Community Board #2","Manhattan","40.738744","-74.005019","77","1078217","1006260032","West Village"
"Biko Transformation Center","1474 Bushwick Avenue","Brooklyn","NY","11207","(718) 455-5963","Multi-Discipline, Performing","Brooklyn Council District #37","Brooklyn Community Board #4","Brooklyn","40.683397","-73.907438","403","3080316","3034560036","Bushwick South"
"Billie Holiday Theatre, Inc.","P.O. Box 470131","Brooklyn","NY","11247","(718) 636-0918 x11","Theater","Brooklyn Council District #36","Brooklyn Community Board #3","Brooklyn",,,,,,
"Bindlestiff Family Variety Arts, Inc.","P.O. Box 386","New York","NY","10009","(718) 963-2918","Multi-Discipline, Performing","Brooklyn Council District #33","Brooklyn Community Board #1","Brooklyn",,,,,,
"Black American Heritage Foundation","94-20 Guy Brewer Boulevard, Room 3D08","Jamaica","NY","11451","(212) 366-6900 x201","Multi-Discipl, Perf & Non-Perf","Queens Council District #27","Queens Community Board #12","Queens","40.702532","-73.795578","246","4215630","4101040043","Jamaica"
"Black Experimental Theatre","P.O. Box 1902","New York","NY","10013","(646) 623-3488","Theater","Manhattan Council District #2","Manhattan Community Board #2","Manhattan",,,,,,
"Black Moon Theatre Company, Inc.","104 Greenpoint Avenue, #4L","Brooklyn","NY","11222","(347) 268-3276","Theater","Brooklyn Council District #33","Brooklyn Community Board #1","Manhattan",,,,,,
"Black Spectrum Theatre Company, Inc.","119-07 Merrick Boulevard, 2nd Floor","Jamaica","NY","11434","(718) 723-1800","Theater","Queens Council District #27","Queens Community Board #12","Queens","40.685612","-73.772853","426","4268835","4124060180","St. Albans"
"Black Women's Blueprint","P.O. Box 24713","Brooklyn","NY","11202","(347) 533-9102","Multi-Discipl, Perf & Non-Perf","Brooklyn Council District #35","Brooklyn Community Board #9","Brooklyn",,,,,,
"Blackberry Productions, Inc.","170 West 136th Street, Ste. 4C","New York","NY","10030","(212) 694-6698","Multi-Discipline, Performing","Manhattan Council District #7","Manhattan Community Board #9","Manhattan","40.81553","-73.942179","228","1058295","1019200059","Central Harlem North-Polo Grounds"
"Blank Forms INC.","468 Grand Ave.","Brooklyn","NY","11238","(347) 463-6316","Multi-Discipline, Performing","Brooklyn Council District #35","Brooklyn Community Board #2","Brooklyn","40.682028","-73.961551","201","3335113","3020140035","Clinton Hill"
"Blessed Unrest Theatre, Inc.","530 W. 45th Street, #4G","New York","NY","10036","(212) 713-0163","Theater","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.762132","-73.995473","129","1088825","1010737502","Clinton"
"Bloomingdale School of Music, Inc.","323 West 108th Street","New York","NY","10025","(212) 663-6021 x23","Music","Manhattan Council District #9","Manhattan Community Board #7","Manhattan","40.803236","-73.968308","195","1057302","1018930010","Morningside Heights"
"Blue Coyote Theater Group, Inc.","380 Broadway, 4th Floor","New York","NY","10013","(646) 242-6260","Theater","Manhattan Council District #1","Manhattan Community Board #1","Manhattan","40.718112","-74.002958","31","1002317","1001950001","SoHo-TriBeCa-Civic Center-Little Italy"
"Blue Heron Theatre, Inc.","645 West End Avenue, Suite 7B","New York","NY","10025","(212) 787-0422","Theater","Manhattan Council District #6","Manhattan Community Board #7","Manhattan","40.792388","-73.975316","179","1034102","1012510062","Upper West Side"
"Blue Mountains Projects, Inc","10 South Street","New York","NY","10004","(917) 623-3315","Visual Arts","Manhattan Council District #1","Manhattan Community Board #1","Manhattan","40.701695","-74.011631","9","1000003","1000020002","Battery Park City-Lower Manhattan"
"Blue Pipa, Inc.","68-39 Harrow Street","Forest Hills","NY","11375","(718) 459-1730","Music","Queens Council District #29","Queens Community Board #6","Queens","40.717143","-73.853122","709","4076410","4032000048","Forest Hills"
"Bnos Yakov Educational Center","638 Bedford Avenue","Brooklyn","NY","11211","(718) 963-1212 x101","Multi-Discipl, Perf & Non-Perf","Brooklyn Council District #33","Brooklyn Community Board #1","Brooklyn","40.702169","-73.958946","537","3332990","3022100038","Williamsburg"
"Bohemian Benevolent and Literary Assocation of the City of New York","Bohemian National Hall","New York","NY","10021","(212) 988-1733","Theater","Manhattan Council District #5","Manhattan Community Board #8","Manhattan",,,,,,
"Bombazo Dance Co., Inc.","P.O. Box 182","Bronx","NY","10462","(718) 319-8652","Dance","Bronx Council District #18","Bronx Community Board #9","Bronx",,,,,,
"Bon Shen Ling, the Tibetan Bon Education Fund","65-55 Maurice Avenue","Woodside","NY","11377","(212) 222-0756","Humanities","Queens Council District #30","Queens Community Board #2","Queens","40.73496","-73.899775","243","4055104","4023850019","Elmhurst-Maspeth"
"Bond Street Theatre Coalition, Ltd.","2 Bond Street, #4R","New York","NY","10012","(212) 254-4614","Multi-Discipline, Performing","Manhattan Council District #1","Manhattan Community Board #2","Manhattan","40.726901","-73.994631","5502","1008504","1005300067","West Village"
"Booklyn, Inc.","140 58th Street","Brooklyn","NY","11220","(718) 383-9621","Visual Arts","Brooklyn Council District #38","Brooklyn Community Board #7","Brooklyn","40.645338","-74.022864","18","3414976","3057780001","Sunset Park West"
"Boricua Festival Committee, Inc.","313 97th Street, #1B","Brooklyn","NY","11209","(718) 492-7129","Music","Brooklyn Council District #38","Brooklyn Community Board #7","Brooklyn","40.615625","-74.033804","5601","3155738","3061220001","Bay Ridge"
"Born Dancing.Inc.","812 W181 Street","New York","NY","10033","(347) 256-3306","Dance","Manhattan Council District #10","Manhattan Community Board #12","Manhattan","40.851053","-73.938829","265","1064299","1021770105","Washington Heights South"
"Borough of Manhattan Community College Performing Arts Center, Inc.","199 Chambers Street, Room #S110C","New York","NY","10007","(212) 220-1459","Multi-Discipline, Performing","Manhattan Council District #2","Manhattan Community Board #1","Manhattan","40.716838","-74.012117","39","1066406","1001420050","SoHo-TriBeCa-Civic Center-Little Italy"
"Boundless Theatre Company Inc.","41-21 42nd st","Sunnyside","NY","11104","(347) 724-3640","Theater","Queens Council District #26","Queens Community Board #2","Manhattan",,,,,,
"Bowery Arts and Science","310 Bowery, 2nd Floor","New York","NY","10012","(212) 614-0504","Literature","Manhattan Council District #1","Manhattan Community Board #3","Manhattan","40.724804","-73.992373","5502","1008202","1005210077","West Village"
"Bowne House Historical Society, Inc.","37-01 Bowne St.","Flushing","NY","11354","(718) 359-0528","Architecture/Design","Queens Council District #20","Queens Community Board #7","Queens","40.762853","-73.825247","865","4113403","4050130006","Flushing"
"Box Turtle Press/Attitude Art, Inc.","94 Franklin Street","New York","NY","10013","(646) 246-3652","Literature","Manhattan Council District #1","Manhattan Community Board #1","Manhattan","40.7182","-74.005141","33","1001924","1001757504","SoHo-TriBeCa-Civic Center-Little Italy"
"Boys & Girls Harbor, Inc.","1 East 104th Street","New York","NY","10029","(212) 427-2244 x583","Multi-Discipline, Performing","Manhattan Council District #8","Manhattan Community Board #11","Manhattan","40.792888","-73.951826","168","1051499","1016100001","East Harlem South"
"Boys' Club of New York, Inc.","287 10th Street","New York","NY","10009","(212) 677-1102","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #2","Manhattan Community Board #3","Queens",,,,,,
"Braata Productions","11805 200th St","Saint Albans","NY","11412","(917) 668-2209","Folk Arts","Queens Council District #27","Queens Community Board #12","Queens","40.693062","-73.751909","376","4272042","4126290003","St. Albans"
"Brave New World Repertory Theatre, Inc.","303 Westminster Road","Brooklyn","NY","11218","(917) 660-4660","Theater","Brooklyn Council District #40","Brooklyn Community Board #14","Brooklyn","40.641295","-73.967271","1522","3118328","3051430102","Flatbush"
"Brazilian Endowment for the Arts, Inc.","240E 52nd street","New York","NY","10022","(212) 371-1556","Music","Manhattan Council District #5","Manhattan Community Board #5","Manhattan","40.756658","-73.968879","98","1038479","1013250035","Turtle Bay-East Midtown"
"Bread & Roses Cultural Project, Inc.","322 West 48th Street, 6th floor","New York","NY","10036","(212) 767-0025 x2","Multi-Discipline, Non-Perform","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.761399","-73.987896","127","1025108","1010380043","Clinton"
"Break A Leg Productions, Inc.","PO Box 20503","New York","NY","10017","(212) 330-0406","Theater","Manhattan Council District #4","Manhattan Community Board #6","Manhattan",,,,,,
"Breakthru Education, Inc.","235 Lincoln Place","New York","NY","11217","(718) 614-2289","Theater","Brooklyn Council District #39","Brooklyn Community Board #6","Brooklyn","40.675041","-73.9728","159","3024463","3010590050","Park Slope-Gowanus"
"Brecht Forum","388 Atlantic Avenue","Brooklyn","NY","11217","(212) 242-4201 x14","Other","Manhattan Council District #3","Manhattan Community Board #2","Manhattan",,,,,,
"Brick Theater, Inc.","P.O. Box 1851","New York","NY","10101","(917) 640-2119","Theater","Brooklyn Council District #33","Brooklyn Community Board #1","Brooklyn",,,,,,
"Bridge, Inc.","290 Lenox Avenue, 3rd Floor","New York","NY","10027","(212) 663-3000","Visual Arts","Manhattan Council District #8","Manhattan Community Board #7","Manhattan","40.807457","-73.945704","200","1053487","1017220069","Central Harlem South"
"Bridging Education and Art Together, Inc.","44-02 23rd St #301","Long Island City","NY","11101","(718) 937-2328","Multi-Discipline, Performing","Queens Council District #26","Queens Community Board #2","Bronx",,,,,,
"Brighton Ballet Theater Company, Inc.","2001 Oriental Boulevard","Brooklyn","NY","11235","(718) 769-9161","Dance","Brooklyn Council District #48","Brooklyn Community Board #15","Brooklyn","40.578497","-73.9349","616","3326937","3087600060","Sheepshead Bay-Gerritsen Beach-Manhattan Beach"
"Brighton Neighborhood Association, Inc.","1121 Brighton Beach Avenue","Brooklyn","NY","11235","(718) 891-0800","Multi-Discipl, Perf & Non-Perf","Brooklyn Council District #47","Brooklyn Community Board #13","Brooklyn","40.57781","-73.956255","61004","3245642","3087160061","Brighton Beach"
"Bring to Light","200 East 10th Street","New york","NY","10003","(646) 345-1581","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #3","Manhattan Community Board #1","Brooklyn",,,,,,
"Broadway Dance Lab","433 West 34th St.","New York","NY","10001","(646) 325-5389","Dance","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.753991","-73.997726","111","1012858","1007320016","Hudson Yards-Chelsea-Flatiron-Union Square"
"Broadway Housing Communities, Inc.","583 Riverside Drive","New York","NY","10031","(212) 568-2030","Visual Arts","Manhattan Council District #7","Manhattan Community Board #9","Manhattan","40.821383","-73.957164","22301","1059949","1020020002","Manhattanville"
"Broadway League Foundation, Inc.","729 Seventh Avenue, 5th Flr","New York","NY","10019","(212) 764-1122","Theater","Manhattan Council District #4","Manhattan Community Board #5","Manhattan","40.760103","-73.983973","125","1022699","1010017501","Midtown-Midtown South"
"Broadways Babies Fund, Inc","336 W 37th St Suite 500","New York","NY","10018","(804) 200-2421","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.754573","-73.99324","111","1013604","1007600063","Hudson Yards-Chelsea-Flatiron-Union Square"
