"type","name","location","contact_information","postcode","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"Community Garden","Diamante Garden merged with existing Block and School Association","306-310 E. 118th Street, New York, NY 10035","212-788-7900 or conyc@cenyc.org","10035","MANHATTAN","40.798107","-73.936371","11","8","188","1000000","1016890047","East Harlem North                                                          "
"NYCHA","Campos Plaza Community Center","611 East 13th St. New York, N. Y. 10009","(212) 677-1801 or sansano@universitysettlement.org","10009","MANHATTAN","40.728579","-73.978114","3","2","28","1077502","1003960010","Lower East Side                                                            "
"NYCHA","Chelsea/Elliott Community Center","441 West 26th St New York, N. Y. 10001","(212) 760-9800 or dpaulson@hudsonguild.org","10001","MANHATTAN","40.749196","-74.001815","4","3","97","1012827","1007240010","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"NYCHA","Clinton Community Center","120 East 110th St New York, N. Y. 10029","(212) 876-1240","10029","MANHATTAN","40.795119","-73.945194","11","8","172","1078931","1016370001","East Harlem South                                                          "
"NYCHA","Corsi Community Center","307 E 116th St New York, N. Y. 10029","212 828-6756","10029","MANHATTAN","40.796935","-73.93759","11","8","188","1079357","1016880045","East Harlem North                                                          "
"NYCHA","Drew Hamilton Community Center","220 West 143rd Street New York, N.Y. 10030","(212) 368-0759","10030","MANHATTAN","40.8208","-73.94113","10","9","232","1086084","1020280016","Central Harlem North-Polo Grounds                                          "
"NYCHA","East River Community Center","404 E 105th St New York, N.Y. 10029","(212) 348-1220 or kburke@scanny.org","10029","MANHATTAN","40.788859","-73.940367","11","8","162","1083941","1016960001","East Harlem South                                                          "
"NYCHA","Grant Community Center","1301 Amsterdam Avenue New York, N. Y. 10027","(646) 387-8849","10027","MANHATTAN","40.811994","-73.957264","9","7","20901","1084095","1019640001","Morningside Heights                                                        "
"NYCHA","Harlem River Community Center","2627 7th Ave New York, N. Y. 10039","(212) 690-4024 or wallace.duprey@nycha.nyc.gov","10039","MANHATTAN","40.825565","-73.936197","10","9","236","1060197","1020160060","Central Harlem North-Polo Grounds                                          "
"NYCHA","Holmes/Isaacs Community Center.","1792 First Avenue New York, NY 10128","(212)360-7620 or gmorris@isaacscenter.org","10128","MANHATTAN","40.781149","-73.946242","8","5","152","1076333","1015730020","Yorkville                                                                  "
"NYCHA","Manhattanville Community Center","530 West 133rd St New York, N. Y. 10027","(212) 491-3377","10027","MANHATTAN","40.818127","-73.954478","9","7","219","1084130","1019840001","Manhattanville                                                             "
"NYCHA","Seward Park Extension Community Center","56 Essex Street New York, N.Y. 10002","(212) 460-8163 or lee.trot@nycha.nyc.gov","10002","MANHATTAN","40.716838","-73.989077","3","1","18","1083429","1003510001","Chinatown                                                                  "
"NYCHA","Smith Community Center","50 Madison Street New York, N. Y. 10038","(212) 349-3724 or vickimehmel@hmhonline.org","10038","MANHATTAN","40.711958","-73.997825","3","1","25","1077420","1001110100","Chinatown                                                                  "
"NYCHA","Washington Community Center","1775 Third Avenue New York, N. Y. 10029","(212) 828-6111 or mac@concretesafaris.org","10029","MANHATTAN","40.786574","-73.948303","11","8","15602","1079203","1016470001","East Harlem South                                                          "
