"program_type","program","site_name","borough_community","agency","contact_number","grade_level_age_group","location_1","number_and_street_address","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"Youth Employment, NDA Youth Employment","Youth Employment","Afrikan Poetry Theatre ","Queens","Afrikan Poetry Theatre","718.523.3312","MS/HS","176 03 Jamaica Avenue
Queens, NEW YORK 11432
(40.71311535449, -73.792820999789)","176-03 Jamaica Avenue","11432","40.707941","-73.784233","12","27","468","4209975","4098120008","Jamaica                                                                    "
"Youth Employment, NDA Youth Employment","Youth Employment","Italian American Civil Rights League (Italian American Civil)","Brooklyn","Italian American Civil Rights League (Italian American Civil)","718.642.2180","HS","1460 Pennsylvania Avenue
Brooklyn, NEW YORK 11239
(40.646077795287, -73.879950181902)","1460 Pennsylvania Avenue","11239","40.646068","-73.879786","5","42","105804","3340241","3044520020","Starrett City                                                              "
"Youth Employment, NDA Youth Employment","Youth Employment","Jacob A. Riis Neighborhood Settlement, Inc.","Queens","Jacob A. Riis Neighborhood Settlement, Inc.","718.784.7447","HS","10 25 41st Avenue
Queens, NEW YORK 11101
(40.745702449808, -73.938669029252)","10-25 41st Avenue","11101","40.755488","-73.945328","1","26","25","4433386","4004700100","Queensbridge-Ravenswood-Long Island City                                   "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Simpson Street Development Association, Inc.","Bronx","Simpson Street Development Association, Inc.","718-589-1510","14 to 21","997 163rd Street
Bronx, NEW YORK 10459
(40.821012282861, -73.893418024476)","997 East 163rd Street","10459","40.820985","-73.893398","2","17","159","2099787","2027240001","Hunts Point                                                                "
"Youth Employment, NDA Youth Employment","Youth Employment","Flatbush Development Corporation","Brooklyn","Flatbush Development Corporation","718.859.3800","MS/HS","1616 Newkirk Avenue
Brooklyn, NEW YORK 11226
(40.63599627408, -73.962302128878)","1616 Newkirk Avenue","11226","40.63604","-73.962241","14","40","518","3121203","3052370006","Flatbush                                                                   "
"Youth Employment, NDA Youth Employment","Youth Employment","Queens Community Resource Center ","Queens","Covenant House/Under 21","718.725.9851","HS","159 17 Hillside Avenue
Queens, NEW YORK 11432
(40.71311535449, -73.792820999789)","159-17 Hillside Avenue","11432","40.707793","-73.802545","8","24","44602","4209068","4097690089","Jamaica                                                                    "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","National Society for Hebrew Day School","Brooklyn","National Society for Hebrew Day School","718-252-4446 ","14 to 21","1545 Coney Island Avenue
Brooklyn, NEW YORK 11230
(40.6198266572, -73.96413986613)","1545 Coney Island Avenue","11230","40.619583","-73.964181","14","44","768","3329237","3067310001","Midwood                                                                    "
"Youth Employment, NDA Youth Employment","Youth Employment","Flatbush Development Corp.","Brooklyn","Flatbush Development Corporation                            ","718.859.4763",,"1616 Newkirk Avenue
Brooklyn, NEW YORK 11226
(40.63599627408, -73.962302128878)","1616 Newkirk Avenue","11226","40.63604","-73.962241","14","40","518","3121203","3052370006","Flatbush                                                                   "
"Youth Employment, NDA Youth Employment","Youth Employment","Youth Employment Program ","Bronx","Mosholu Montefiore Community Center, Inc.","718.652-1471","HS","3400 Reservoir Oval
Bronx, NEW YORK 10467
(40.878775054922, -73.875633562586)","3400 Reservoir Oval","10467","40.878889","-73.87581","7","11","423","2018218","2033430185","Norwood                                                                    "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","St. Nicholas Neighborhood Preservation Corporation","Brooklyn","St. Nicholas Neighborhood Preservation Corporation","718-599-9224 ","14 to 21","185 Brooklyn
NEW YORK,  11211
(40.711589765256, -73.958176750756)","850Grand Street Rm 185","11211","40.712184","-73.939722","1","34","485","3325733","3030160001","Bushwick South                                                             "
"Youth Employment, NDA Youth Employment","Youth Employment","Rockaway Development & Revitalization Corporation","Queens","Rockaway Development & Revitalization Corporation","718.327.5300","HS","1920 Mott Avenue
Queens, NEW YORK 11691
(40.603879525424, -73.752178931552)","1920 Mott Avenue","11691","40.603907","-73.752262","14","31","103202","4457760","4155590012","Far Rockaway-Bayswater                                                     "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","CIS 117","Bronx","Community Association of Progressive Dominicans - Bronx","718-716-4021","14 to 21","1865 Morris Avenue
Bronx, NEW YORK 10453
(40.848548418407, -73.908435068196)","1865 Morris Avenue","10453","40.848516","-73.908427","5","14","23301","2007902","2028270001","Mount Hope                                                                 "
"Youth Employment, NDA Youth Employment","Youth Employment","STEPS, Inc ","New York","Support For Training and Educational Services, Inc.","212.831.9080",,"1325 5th Avenue
New York, NEW YORK 10029
(40.797578953153, -73.948664533901)","1325 5th Avenue","10029","40.797706","-73.948608","11","9","17402","1086046","1016170001","East Harlem South                                                          "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Research Foundation of CUNY - LaGuardia CC","Queens","Research Foundation of CUNY - LaGuardia CC","718-482-5340","14 to 21","29 10 Thomson Avenue
Queens, NEW YORK 11101
(40.745702449808, -73.938669029252)","29-10 Thomson Avenue Rm C","11101","40.745216","-73.937602","2","26","1","4003516","4002730001","Hunters Point-Sunnyside-West Maspeth                                       "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Vannguard Urban Improvement Association, Inc. - Vulnerable Youth","Brooklyn","Vannguard Urban Improvement Association, Inc. - Vulnerable Youth","718-453-3330","14 to 21","613 619 Throop Avenue
Brooklyn, NEW YORK 11216
(40.680758670876, -73.949267750906)","613-619 Throop Avenue , 3rd Fl.","11216","40.680919","-73.940518","3","36","273","3053556","3018560001","Stuyvesant Heights                                                         "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","SCO Family of Services","Brooklyn","SCO Family of Services","718-788-3500 ","14 to 21","345 43rd Street
Brooklyn, NEW YORK 11232
(40.651038320789, -74.009513156888)","345 43rd Street","11232","40.651013","-74.009514","7","38","82","3337160","3007230025","Sunset Park West                                                           "
"Youth Employment, NDA Youth Employment","Youth Employment","William H. Taft High School - H.S. 410 ","Bronx","Woodycrest Center For Human Development","718.992.2178","All grades","240 172nd Street
Bronx, NEW YORK 10457
(40.84038797721, -73.910881644448)","240 East 172nd Street","10457","40.840422","-73.91091","4","16","225","2007806","2028170002","East Concourse-Concourse Village                                           "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Phipps Community Education Center","Bronx","Phipps Community Development","718-542-0109","14 to 21","1030 178thStreet
Bronx, NEW YORK 10460
(40.841345048101, -73.880303879158)","1030 East 178thStreet","10460",,,,,,,,
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Chinese American Planning Council - Queens ","Queens","Chinese American Planning Council - Queens ","718-358-8899  ","14 to 21","136 18 39th Avenue
Queens, NEW YORK 11354
(40.768620220647, -73.827190280707)","136-18 39th Avenue 8th flr","11354","40.76033","-73.829831","7","20","871","4112492","4049800011","Flushing                                                                   "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Church Avenue Merchants Block Association, Inc.","Brooklyn","Church Avenue Merchants Block Association, Inc.","718-462-2597 ","14 to 21","1957 Nostrand Ave
Brooklyn, NEW YORK 11210
(40.63792479299, -73.948168194715)","1957 Nostrand Ave","11210","40.637711","-73.948159","17","45","788","3113780","3049940023","Flatbush                                                                   "
"Youth Employment, NDA Youth Employment","Youth Employment","Lt. Joseph P. Kennedy Jr. Memorial Community Center","New York","Catholic Charities Community Service, Archdiocese of N.Y.","212.371.1000","HS","34 134th Street
New York, NEW YORK 10037
(40.812765068123, -73.939817555307)","34 West 134th Street","10037","40.812702","-73.939645","10","9","212","1083984","1017300016","Central Harlem North-Polo Grounds                                          "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Bnos Menachem School","Brooklyn","Henry Street Settlement, Inc. - Brooklyn ","718-493-1100","14 to 21","739 New York Avenue
Brooklyn, NEW YORK 11203
(40.655871401895, -73.947172803351)","739 East New York Avenue","11203","40.662347","-73.938285","9","41","87401","3038483","3014280047","Prospect Lefferts Gardens-Wingate                                          "
"Youth Employment, NDA Youth Employment","Youth Employment","ECDO Community Partnership Center ","New York","Ecumenical Community Development Organization","212.678.0037","HS","413 125th Street
New York, NEW YORK 10027
(40.811640915587, -73.95464737557)","413 West 125th Street","10027","40.81168","-73.954703","9","7","20901","1059548","1019660066","Morningside Heights                                                        "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Queens Community House, Inc.","Queens","Queens Community House, Inc.","718-592-5757 ","14 to 21","108 25 62nd Drive
Queens, NEW YORK 11375
(40.72070726303, -73.846284296083)","108-25 62nd Drive","11375","40.73591","-73.850212","6","29","745","4432108","4021590002","Forest Hills                                                               "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Brooklyn Neighborhood Improvement Association","Brooklyn","Brooklyn Neighborhood Improvement Association","718-773-4116","14 to 21","1482 St Johns Place
Brooklyn, NEW YORK 11213
(40.670470593603, -73.929356130187)","1482 St. Johns Place , Ste. 1F","11213","40.670505","-73.92964","8","41","349","3037114","3013850028","Crown Heights North                                                        "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Community Association of Progressive Dominicans - Manhattan","Manhattan","Community Association of Progressive Dominicans - Manhattan","212-781-4955","14 to 21","2268 Amsterdam Avenue
Manhattan, NEW YORK 10032
(40.842949903797, -73.934721049241)","2268 Amsterdam Avenue","10032","40.842691","-73.934876","12","10","253","1063105","1021290045","Washington Heights South                                                   "
"Youth Employment, NDA Youth Employment","Youth Employment","Rafael Academy School ","Bronx","Simpson Street Development Association, Inc.","718.589.1510","MS/HS","977 Fox Street
Bronx, NEW YORK 10459
(40.822428225918, -73.89392410103)","977 Fox Street","10459","40.822443","-73.893902","2","17","159","2005660","2027140004","Hunts Point                                                                "
"Youth Employment, NDA Youth Employment","Youth Employment","Claremont Neighborhood Centers, Inc.","Bronx","Claremont Neighborhood Centers, Inc.","718.588.1000","All grades","489 169th Street
Bronx, NEW YORK 10456
(40.833009438875, -73.905735217316)","489 East 169th Street","10456","40.832965","-73.905669","3","16","14701","2092082","2029100001","Claremont-Bathgate                                                         "
"Youth Employment, NDA Youth Employment","Youth Employment","Police Athletic League #1A (PAL) ","Brooklyn","Police Athletic League, Inc.","212.477.9450",,"127 Pennsylvania Avenue
Brooklyn, NEW YORK 11207
(40.674740211809, -73.896576353025)","127 Pennsylvania Avenue","11207","40.674814","-73.896606","5","37","1198","3083515","3036870001","East New York                                                              "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Catholic Charities Neighborhood Services, Inc.","Brooklyn","Catholic Charities Neighborhood Services, Inc.","718-875-8801   ","14 to 21","200 Gold Street
Brooklyn, NEW YORK 11201
(40.698288822006, -73.983097400318)","200 Gold Street","11201","40.698184","-73.983079","2","33","15","3000197","3001090001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Youth Employment, NDA Youth Employment","Youth Employment","Southeast Bronx Neighborhood Center, Inc. (SEBNC)","Bronx","Southeast Bronx Neighborhood Center, Inc. (SEBNC)","718.542.2727","All grades","751 163rd Street
Bronx, NEW YORK 10456
(40.822935441102, -73.903938061911)","751 East 163rd Street","10456","40.822935","-73.904021","3","16","133",,,"Morrisania-Melrose                                                         "
"Youth Employment, NDA Youth Employment","Youth Employment","Boys & Girls Harbor, Inc","New York","Boys & Girls Harbor, Inc","212.427.2244",,"1 104th Street
New York, NEW YORK 10029
(40.792983387231, -73.952000317419)","1 East 104th Street","10029","40.792888","-73.951826","11","8","168","1051499","1016100001","East Harlem South                                                          "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Henry Street Settlement, Inc. - Vulnerable Youth","Manhattan","Henry Street Settlement, Inc. - Vulnerable Youth","212-254-3100","14 to 21","265 Henry Street
Manhattan, NEW YORK 10002
(40.713875617781, -73.984342988978)","265 Henry Street ,","10002","40.713857","-73.984532","3","1","202","1079627","1002880078","Lower East Side                                                            "
