"primaryprojecttype","subtype","projectstatus","startdateactual","finishdateactual","projectsitename","projectsiteaddress","acronym","co2e_mt_calculated","postcode","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"Other","Retro-commissioning","Survey",,,"Queens Vocational and Technical High School","37-02 47th Avenue",,,"11101","QUEENS   ","40.742205","-73.928219","2","26","189","4003259","4002280020","Hunters Point-Sunnyside-West Maspeth                                       "
"Lighting System Upgrade","Retrofit","Completed","12-Sep-11","2-Dec-11","NYPD Central Repair Shop","53-15 5bth Street","NYPD","98.39",,,,,,,,,,
"Other","Photovoltaic","Substantially Completed","24-Oct-11","22-Feb-12","Sunrise Yard","88-20 Pitkin Ave and Linden Blvd","DOT","22.7","11417","QUEENS   ","40.673779","-73.847572","10","32","58",,,"Ozone Park                                                                 "
"Comprehensive","Retrofit","Design",,,"Staten Island 3 District","2 Muldoon Ave Staten Island","DSNY","264.6","10309","STATEN IS","40.575017","-74.196645","3","51","228","5158124","5059000500","New Springville-Bloomfield-Travis                                          "
"HVAC System Upgrade","Retrofit","Design",,,"Mario Merola Building","851 Grand Concourse Bronx NY","DFMC","777.76","10451","BRONX    ","40.825999","-73.923131","4","8","63","2002869","2024680001","West Concourse                                                             "
"Comprehensive","Retrofit","Design",,,"Queens Vocational and Technical High School","37-02 47th Avenue","DOE","495.79","11101","QUEENS   ","40.742205","-73.928219","2","26","189","4003259","4002280020","Hunters Point-Sunnyside-West Maspeth                                       "
"Lighting System Upgrade","Retrofit","Design",,,"Studio Museum In Harlem - 144 West 125th Street","144 West 125th Street  NY, NY  10027","DCLA","53.29","10027","MANHATTAN","40.808523","-73.947278","10","9","222","1057819","1019090009","Central Harlem South                                                       "
"Lighting System Upgrade","Retrofit","Substantially Completed","1-Jul-11","14-Dec-11","K009 - P.S. 9K Teunis G. Bergen School Lighting","80 Underhill Ave","DOE","68.25","11238","BROOKLYN ","40.678297","-73.965541","8","35","205","3028204","3011450026","Prospect Heights                                                           "
"Lighting System Upgrade","Retrofit","Design",,,"J.H.S.220K John J. Pershing","4812 9th Avenue","DOE",,"11220","BROOKLYN ","40.640545","-74.000731","12","38","108","3012824","3007780023","Sunset Park East                                                           "
"Comprehensive","Retrofit","Design",,,"J.H.S.142X John Philip Sousa Middle School","3750 Baychester Avenue","DOE","268.4","10466","BRONX    ","40.884953","-73.840524","12","12","484","2066190","2049350001","Eastchester-Edenwald-Baychester                                            "
"Comprehensive","Retrofit","Design",,,"P.S.131K","4305 Fort Hamilton Parkway","DOE","64.16","11219","BROOKLYN ","40.641157","-73.993482","12","39","224","3136085","3056030001","Borough Park                                                               "
"HVAC System Upgrade","Retrofit","Install","17-Jan-12",,"NYPD Forensic Investigation Division","150-18 Jamaica Avenue Queens NY","NYPD","804.2","11432","QUEENS   ","40.702202","-73.804163","12","27","240","4215603","4100920006","Jamaica                                                                    "
"Comprehensive","Retrofit","Design",,,"Co-op City Educational Campus","850 Baychester Ave","DOE","860.45","10475","BRONX    ","40.875894","-73.833863","10","12","46201","2116161","2051410150","Co-op City                                                                 "
"Comprehensive","Retrofit","Design",,,"NYPD 72nd Precinct","830 4th Avenue Brooklyn NY 11232","NYPD","23.76","11232","BROOKLYN ","40.65815","-74.00044","7","38","101","3009843","3006680029","Sunset Park West                                                           "
"Lighting System Upgrade","Retrofit","Cancelled","8-Apr-11","31-May-11","Queens Museum","Flushing Meadows Corona Park","DCLA",,"11368","QUEENS   ","40.742377","-73.842157","81","21","38302",,,"park-cemetery-etc-Queens                                                   "
"Energy Audit","None","Completed",,,"The Daniel Muctatel School","1500 E 92 Street Brooklyn, NY","DOE","73.31","11236","BROOKLYN ","40.635015","-73.897262","18","46","1008","3232559","3082560001","Canarsie                                                                   "
"Energy Audit","None","Completed","6-Feb-12","15-Jun-12","Manhattan 3 District Garage","South Street &Pier 36 New York NY 10002","DSNY","259.46",,,,,,,,,,
"Energy Audit","None","Completed","14-Apr-11","8-May-12","M099 Academy of Environmental Science Secondary Shool","410 East 100th Street","DOE","79.16","10029","MANHATTAN","40.785671","-73.942548","11","8","162","1052998","1016930001","East Harlem South                                                          "
"Other","Retro-commissioning","Survey",,,"Twin Parks Upper School","2055 Mapes Ave","DOE",,"10460","BRONX    ","40.845878","-73.886184","6","15","371","2012957","2031090001","East Tremont                                                               "
"Energy Audit","None","Completed","16-Aug-11","12-Dec-11","Queens Civil Court","89-17 Sutphin Boulevard","DCAS",,"11435","QUEENS   ","40.703617","-73.808685","12","24","240","4448759","4096800001","Jamaica                                                                    "
"Energy Audit","None","In Progress",,,"Q191 Mayflower","85-15 258th Street","DOE",,"11001","QUEENS   ","40.734318","-73.709137","13","23","157903","4180083","4088010014","Glen Oaks-Floral Park-New Hyde Park                                        "
"Energy Audit","None","Completed","21-Jan-11","11-May-11","Brooklyn North Narcotics Division","245 Glenmore Ave","NYPD","113.17","11207","BROOKLYN ","40.672361","-73.901617","5","37","1144","3083636","3036980032","East New York (Pennsylvania Ave)                                           "
"Lighting System Upgrade","Retrofit","Design",,,"P.S. 181 Brooklyn","1023 New York Avenue","DOE","133.2","11203","BROOKLYN ","40.648215","-73.946374","17","45","856","3327776","3049040010","East Flatbush-Farragut                                                     "
"HVAC System Upgrade","Solar Thermal","Design",,,"Engine Company 266","92-20 Rockaway Beach","FDNY","1.7","11694","QUEENS   ","40.570817","-73.854379","14","32","928",,,"Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      "
"Other","Retro-commissioning","Survey",,,"P.S. 115 Daniel Mucatel School","1500 East 92 Street","DOE",,"11236","BROOKLYN ","40.635015","-73.897262","18","46","1008","3232559","3082560001","Canarsie                                                                   "
"Other","Retro-commissioning","Survey",,,"Q092 - PS 92Q","99-01 34 Avenue","DOE",,"11368","QUEENS   ","40.755418","-73.869017","3","21","377","4042496","4017140018","North Corona                                                               "
"Energy Audit","None","Completed","15-Aug-12",,"X101- MS X101- Edward R. Byrne","2750 Lafayette Avenue","DOE","0","10465","BRONX    ","40.827471","-73.829753","10","13","152","2080231","2055470001","Schuylerville-Throgs Neck-Edgewater Park                                   "
"Energy Audit","Retrofit","In Progress","9-Aug-12",,"M661","240 2nd Avenue","DOE","0","10003","MANHATTAN","40.732716","-73.984665","6","2","48","1020416","1009210064","Gramercy                                                                   "
"Lighting System Upgrade","Retrofit","Completed","8-Sep-11","5-Dec-11","Energy Efficient lighting at FDNY-Engine Company 71","720 Melrose Ave Bronx, NY","FDNY","30.63","10455","BRONX    ","40.820422","-73.915778","1","17","69","2001400","2023770001","Melrose South-Mott Haven North                                             "
"Energy Audit","None","Completed","13-Oct-10","3-Jun-11","K302 - IS 302K Rafael Cordero Middle School","350 Linwook St","DOE","147.7",,,,,,,,,,
"Energy Audit","None","Completed","3-Mar-11","3-Apr-12","J.H.S.142X John Philip Sousa Middle School","3750 Baychester Avenue","DOE","254.33","10466","BRONX    ","40.884953","-73.840524","12","12","484","2066190","2049350001","Eastchester-Edenwald-Baychester                                            "
"Energy Audit","None","Completed","16-Aug-11","19-Jan-12","Excelsior Building","133-137 Centre Street","DCAS","69.66","10013","MANHATTAN","40.717036","-74.000747","1","1","31","1002358","1001970017","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"Lighting System Upgrade","Retrofit","Completed","17-Sep-08","2-Jun-09","Bronx East 6 Garage","807 EAST 175TH STREET, 800 East 176th Street","DSNY","119.18","10460","BRONX    ","40.841043","-73.890374","6","17","367","2097276","2029530021","East Tremont                                                               "
"Other","Retro-commissioning","Survey",,,"PS 9K Teunis G. Bergen School","80 Underhill Ave","DOE",,"11238","BROOKLYN ","40.678297","-73.965541","8","35","205","3028204","3011450026","Prospect Heights                                                           "
"Lighting System Upgrade","Retrofit","Completed","19-Jan-11","15-Dec-11","14K250 - 108 Montrose Avenue","108 Montrose Avenue","DOE","88.18","11206","BROOKLYN ","40.707104","-73.945475","1","34","505","3071199","3030600001","East Williamsburg                                                          "
"Lighting System Upgrade","Retrofit","Completed","6-Jun-08","10-Jun-09","P.S. 246X (Poe Ctr)/P.S. 310X/Ms 118X","2641 Grand Concourse","DOE","66.7","10468","BRONX    ","40.865593","-73.894758","7","14","401","2013830","2031680027","Bedford Park-Fordham North                                                 "
"Comprehensive","Retrofit","Design",,,"Kingsborough Community College, T-2 Building","2111 Oriental Blvd","CUNY","57.81","11235","BROOKLYN ","40.578119","-73.932585","15","48","616","3397342","3087600060","Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             "
"Lighting System Upgrade","Retrofit","Completed","5-Sep-08","13-Jan-10","Park West High School","525 WEST 50TH STREET","DOE","89.09","10019","MANHATTAN","40.765184","-73.992953","4","3","135","1083802","1010790029","Clinton                                                                    "
"HVAC System Upgrade","Retrofit","Substantially Completed","14-May-12",,"Betts Avenue Boiler Room - 57-73 53rd Avenue","58-73 53rd Avenue","DSNY","150.44","11377","QUEENS   ","40.734136","-73.909403","2","30","243","4462505","4023610268","Elmhurst-Maspeth                                                           "
"Energy Audit","None","In Progress","2-Aug-12",,"X121- PS 121- Throop","2750 Throop Avenue Bronx NY","DOE","0","10469","BRONX    ","40.86608","-73.850982","11","13","348","2054253","2045260001","Allerton-Pelham Gardens                                                    "
"Other","Retro-commissioning","Survey",,,"P.S.81K Thaddeus Stevens School","990 Dekalb Avenue","DOE",,"11221","BROOKLYN ","40.693161","-73.935765","3","36","289","3043248","3016020019","Stuyvesant Heights                                                         "
"Energy Audit","Retrofit","In Progress","18-Jul-12",,"K279 - Herman Schreiber","1076 East 104th Street","DOE","0","11236","BROOKLYN ","40.644139","-73.892192","18","46","986","3326733","3082300001","Canarsie                                                                   "
"Lighting System Upgrade","Retrofit","Completed","31-May-11","28-Sep-11","Staten Island 1"," 539 Jersey St.","DSNY","104.8","10301","STATEN IS","40.636097","-74.084519","1","49","11","5106487","5000340001","West New Brighton-New Brighton-St. George                                  "
"Comprehensive","Retrofit","Cancelled","1-Jan-12",,"Jamaica Center for Arts","161-04 Jamaica Avenue","DCLA",,"11432","QUEENS   ","40.704025","-73.798437","12","27","44601","4215617","4101010011","Jamaica                                                                    "
"Other","Retro-commissioning","Survey",,,"A. Philip Randolph Campus High School","443 West 135 Street","DOE",,"10031","MANHATTAN","40.818188","-73.950356","9","9","21703","1059409","1019570078","Manhattanville                                                             "
"Lighting System Upgrade","Retrofit","Substantially Completed","24-Oct-11","15-Mar-12","Wakefield Branch","4100 Lowerre Place","NYPL","15.48","10466","BRONX    ","40.891052","-73.859841","12","12","420","2063175","2048320020","Williamsbridge-Olinville                                                   "
"Other","Retro-commissioning","Survey",,,"New Explorations into Science Technology and Math (NEST) High School","111 Columbia Street","DOE",,"10002","MANHATTAN","40.718895","-73.979308","3","2","2201","1004070","1003350001","Lower East Side                                                            "
"Energy Audit","None","Completed","16-Aug-11","14-Dec-11","Sun Building","280 Broadway","DCAS",,"10007","MANHATTAN","40.714417","-74.006089","1","1","31","1079215","1001530001","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"Comprehensive","Retrofit","Design",,,"Bronx Concourse Plaza","198 East 161st Street","DCAS","314.72","10451","BRONX    ","40.826354","-73.921024","4","16","61","2099027","2024430094","East Concourse-Concourse Village                                           "
"Other","Cogen","Survey",,,"Flushing Meadows Aquatic Center","Flushing Meadows Park","DPR","727.96","11368","QUEENS   ","40.742377","-73.842157","81","21","38302",,,"park-cemetery-etc-Queens                                                   "
"Lighting System Upgrade","Retrofit","Completed","12-Jul-10","10-Sep-10","Human Resources Administration - 30 Thornton Street","731 Flushing Avenue, 30 Thornton Street","HRA","67.82","11206","BROOKLYN ","40.700565","-73.943321","1","33","507","3061504","3022760012","Bedford                                                                    "
"Other","Retrofit","Survey",,,"Museum Of Jewish Heritage","18 First Place","DCLA",,"10280","MANHATTAN","40.706319","-74.018276","1","1","31704","1084594","1000160010","Battery Park City-Lower Manhattan                                          "
"Energy Audit","None","Completed","7-Oct-10","19-May-11","Q20 - PS 20Q John Bowne","142-30 Barclay Ave","DOE","291.94","11355","QUEENS   ","40.758689","-73.824832","7","20","855","4114657","4050470001","Flushing                                                                   "
"Energy Audit","None","Completed","15-Feb-11","19-Apr-12","Queens Vocational and Technical High School","37-02 47th Avenue","DOE","141","11101","QUEENS   ","40.742205","-73.928219","2","26","189","4003259","4002280020","Hunters Point-Sunnyside-West Maspeth                                       "
"Energy Audit","None","Completed","13-Apr-11","4-May-12","JHS 43M","509 West 129th St","DOE","51.39",,,,,,,,,,
"Lighting System Upgrade","Retrofit","Completed","1-Apr-11","30-Sep-11"," Engine Co. 211- Lighting Upgrade","26 Hooper Street","FDNY","45.41","11249","BROOKLYN ","40.701506","-73.962398","1","33","539","3060298","3022030016","Williamsburg                                                               "
"Other","Retro-commissioning","Proposed",,,"P.S.68X The Bronx School","4011 Monticello Avenue","DOE",,"10466","BRONX    ","40.891732","-73.838471","12","12","426","2067852","2049860081","Woodlawn-Wakefield                                                         "
"Lighting System Upgrade","Retrofit","Design",,,"Academy of Environmental Science Secondary HS / Renaissance School of the Arts","410 East 100th Street","DOE",,"10029","MANHATTAN","40.785671","-73.942548","11","8","162","1052998","1016930001","East Harlem South                                                          "
"HVAC System Upgrade","Solar Thermal","Design",,,"Engine Company 329","402 Beach 169 Street","FDNY","1.7","11695","QUEENS   ","40.566034","-73.881874","84","32","918","4307098","4163250001","park-cemetery-etc-Queens                                                   "
"Lighting System Upgrade","Retrofit","Completed","15-Jul-11","5-Nov-11","5 Dubois Avenue","5 Dubois Avenue","DOT","24.23",,,,,,,,,,
"HVAC System Upgrade","Retrofit","Install","14-Jun-12",,"Brooklyn High School of the Arts","345 Dean Street","DOE","23.32","11217","BROOKLYN ","40.683559","-73.98027","2","33","39","3001190","3001920013","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Other","Retro-commissioning","Survey",,,"P.S.21Q Edward Hart School","147-36 26th Avenue","DOE",,"11354","QUEENS   ","40.774512","-73.819284","7","19","1047","4108665","4048030001","Murray Hill                                                                "
"Comprehensive","Retrofit","Cancelled",,,"122nd Precinct","2320 Hylan Blvd","NYPD","7.13","10306","STATEN IS","40.5743","-74.105888","2","50","11202","5107580","5039060001","New Dorp-Midland Beach                                                     "
"Comprehensive","Retrofit","Design",,,"A. Philip Randolph Campus High School","443 West 135 Street","DOE",,"10031","MANHATTAN","40.818188","-73.950356","9","9","21703","1059409","1019570078","Manhattanville                                                             "
"Energy Audit","None","Completed","3-Feb-11","23-Nov-11","P.S.307K Daniel Hale Williams School","209 York Street","DOE","55.7","11201","BROOKLYN ","40.701343","-73.982314","2","33","21","3000158","3000560007","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Other","Retro-commissioning","Survey",,,"Q125 - JHS 125Q Thom J. McCann Woodside","46-02 47 Ave","DOE",,"11377","QUEENS   ","40.741131","-73.918945","2","26","235","4052874","4022840006","Hunters Point-Sunnyside-West Maspeth                                       "
"Energy Audit","None","In Progress",,,"Q011- PS 011- Kathryn Phelan","54-25 Skillman Avenue","DOE",,"11377","QUEENS   ","40.745244","-73.90872","2","26","251","4552510","4012390001","Woodside                                                                   "
"Lighting System Upgrade","Retrofit","Completed","13-May-08","9-Mar-09","P.S. 15X(Inst For Enviro)/P.S. 91X Mini/I.S. 206B (Ann Merser)","2195 Andrews Ave","DOE","90.41",,,,,,,,,,
"Energy Audit","None","In Progress","15-Feb-12","15-May-12","Borden Avenue Shelter","21-10 Borden Avenue","DHS","84.54","11101","QUEENS   ","40.740367","-73.949566","2","26","1","4000526","4000680002","Hunters Point-Sunnyside-West Maspeth                                       "
"Energy Audit","None","Completed","27-Oct-10","3-Aug-11","Brooklyn Supreme Court","292-360 AdamsSt","DFMC","2151.65",,,,,,,,,,
"Lighting System Upgrade","Retrofit","Completed","23-Jun-09","2-Feb-10","Totten Intermediate School (I.S. 34R)","Academy St. & Yetman Ave., 528 Academy Avenue","DOE","94.19",,,,,,,,,,
"Lighting System Upgrade","Retrofit","Completed","12-Feb-10","24-Nov-10","Group 5 - 71st/76th/90th/94th/77 Annex Pcts","211 UNION AVE","NYPD","91.94","11211","BROOKLYN ","40.70654","-73.950399","1","34","527","3063633","3024650100","North Side-South Side                                                      "
"Other","Retro-commissioning","Survey",,,"P.S. / I.S. 54 (X054)","2703 Webster Ave","DOE",,"10458","BRONX    ","40.864527","-73.887829","7","15","40502","2113630","2032780014","Bedford Park-Fordham North                                                 "
"Comprehensive","Retrofit","Design",,,"P.S. 115 Daniel Mucatel School","1500 East 92 Street","DOE","73.31","11236","BROOKLYN ","40.635015","-73.897262","18","46","1008","3232559","3082560001","Canarsie                                                                   "
"HVAC System Upgrade","Retrofit","Design",,,"Central Building","10 Grand Army Plaza","BPL","832.88","11238","BROOKLYN ","40.672833","-73.969069","55","35","177","3029665","3011830002","park-cemetery-etc-Brooklyn                                                 "
"Lighting System Upgrade","Retrofit","Completed","17-Dec-10","11-Apr-11","Andrew Heiskell Library","40 West 20th Street","NYPL","26.63","10011","MANHATTAN","40.740246","-73.992324","5","3","54","1076145","1008217501","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"Energy Audit","None","Completed","16-Feb-11","12-Apr-12","I.S.131X Albert Einstein","885 Bolton Avenue","DOE","95.1","10473","BRONX    ","40.823526","-73.859662","9","18","42","2103869","2036440001","Soundview-Castle Hill-Clason Point-Harding Park                            "
"Lighting System Upgrade","Retrofit","Completed","23-Jun-09","2-Feb-10","I.S. 51R","20 Houston St.","DOE","92.93",,,,,,,,,,
"Other","Retro-commissioning","Survey",,,"P.S.68X The Bronx School","4011 Monticello Avenue","DOE",,"10466","BRONX    ","40.891732","-73.838471","12","12","426","2067852","2049860081","Woodlawn-Wakefield                                                         "
"HVAC System Upgrade","Retrofit","Install",,,"Queensborough Community College, Medical Arts Building","222-05 56th Avenue","CUNY","273.65","11364","QUEENS   ","40.75349","-73.757957","11","23","138501","4439440","4074900002","Oakland Gardens                                                            "
"Energy Audit","None","Completed","3-Feb-11","10-Nov-11","PS 68X The Bronx School","4011 Monticello Avenue","DOE","101.91","10466","BRONX    ","40.891732","-73.838471","12","12","426","2067852","2049860081","Woodlawn-Wakefield                                                         "
"Energy Audit","None","In Progress",,,"R031 - PS 031 William T. Davis","55 Layton Avenue","DOE","0","10301","STATEN IS","40.641595","-74.085135","1","49","9","5001150","5000490182","West New Brighton-New Brighton-St. George                                  "
"Energy Audit","None","In Progress","21-Aug-12",,"K287- Bailey K. Ashford","50 Navy Street","DOE","0","11201","BROOKLYN ","40.697901","-73.98054","2","35","23","3000203","3001110001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Energy Audit","None","Completed","26-Oct-10","9-Jun-11","Q092 - PS 92Q","99-01 34 Avenue","DOE","36.28","11368","QUEENS   ","40.755418","-73.869017","3","21","377","4042496","4017140018","North Corona                                                               "
"Energy Audit","None","Completed","21-Oct-10","25-May-11","Q125 - JHS 125Q Thom J. McCann Woodside","46-02 47 Ave","DOE","79.69","11377","QUEENS   ","40.741131","-73.918945","2","26","235","4052874","4022840006","Hunters Point-Sunnyside-West Maspeth                                       "
"Lighting System Upgrade","Retrofit","Completed","10-Jan-11","29-Sep-11","Ranaqua Garage And Shops - 1 Bronx River Pkwy"," 1 Bronx River Pkwy","DPR","54.15",,,,,,,,,,
"Lighting System Upgrade","Retrofit","Install",,,"48-01 58th Road Queens NY  11378","58-01 48th Street Queens NY 11378","DSNY","15.64","11378","QUEENS   ","40.720809","-73.922145","5","30","219",,,"Hunters Point-Sunnyside-West Maspeth                                       "
"Other","Photovoltaic","Substantially Completed","30-Nov-11","22-Feb-12","Queens 3 East - Photovoltaic","153-67 146th Avenue","DSNY","22.21","11434","QUEENS   ","40.664629","-73.784675","13","31","306","4433112","4150010073","Springfield Gardens South-Brookville                                       "
"HVAC System Upgrade","Retrofit","Completed",,"13-May-10","NYPD Shop # 1","11 Front Street Brooklyn NY","NYPD","136.02","11201","BROOKLYN ","40.702563","-73.992913","2","33","21","3000080","3000350021","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Comprehensive","Retrofit","Design",,,"I.S.238Q Susan B Anthony School","88-15 182nd Street","DOE","170.25","11423","QUEENS   ","40.713094","-73.780468","12","27","470","4212425","4099190006","Jamaica                                                                    "
"Energy Audit","None","Completed","7-Apr-11","14-Feb-12","K220 JHS 220K John J. Pershing","4812 9th Ave","DOE","48.9","11220","BROOKLYN ","40.640545","-74.000731","12","38","108","3012824","3007780023","Sunset Park East                                                           "
"Energy Audit","None","In Progress","21-Aug-12",,"K321- William Penn","180 Seventh Avenue","DOE","0","11215","BROOKLYN ","40.67146","-73.977783","6","39","155","3337516","3009710028","Park Slope-Gowanus                                                         "
"Other","Photovoltaic","Substantially Completed","14-Dec-11","7-Mar-12","48th Precinct - Photovoltaic","450 Cross Bronx Expressway","NYPD","13.51","10457","BRONX    ","40.844149","-73.900604","6","15","165","2009509","2029070010","Claremont-Bathgate                                                         "
"Other","Retro-commissioning","Survey",,,"P.S.111X Seton Falls School","3740 Baychester Avenue","DOE",,"10466","BRONX    ","40.884343","-73.840254","12","12","484","2065992","2049160001","Eastchester-Edenwald-Baychester                                            "
"Lighting System Upgrade","Retrofit","Completed","1-Apr-11","30-Apr-11","Metropolitan Museum","1000 Fifth Avenue Manhattan","DCLA","291.41","10028","MANHATTAN","40.778633","-73.962546","64","6","143","1083810","1011110001","park-cemetery-etc-Manhattan                                                "
"Lighting System Upgrade","Retrofit","Completed","20-May-09","28-Jan-10","66th Precinct","5822 16TH AVENUE","NYPD","12.23","11204","BROOKLYN ","40.62583","-73.990943","12","44","242","3397270","3055020043","Borough Park                                                               "
"Lighting System Upgrade","Retrofit","Install","15-Aug-12",,"K093 - P.S. 093 William H. Prescott","31 New York Avenue","DOE","54.44","11216","BROOKLYN ","40.679097","-73.94684","3","36","247","3053993","3018680007","Crown Heights North                                                        "
"Energy Audit","None","Completed","20-Jan-11","10-May-11","Fresh Kills Landfill - SI 3 DG; RBS","600 West Service Rd","DSNY","264.6","10314","STATEN IS","40.583094","-74.192896","2","50","228","5156879","5026850100","New Springville-Bloomfield-Travis                                          "
"Energy Audit","None","Survey","8-Aug-12",,"K329- Surfside","2929 West 30th Street","DOE","0","11224","BROOKLYN ","40.574607","-73.996292","13","47","342","3189517","3070510001","Seagate-Coney Island                                                       "
"Other","Retro-commissioning","Survey",,,"26th Street Repair Garage","640 West 26th Street","DSNY",,"10001","MANHATTAN","40.751183","-74.006594","4","3","99","1012267","1006700050","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"Energy Audit","None","Completed","10-Dec-10","30-Jun-11","Queens West 2,3,4,6 District Garage","58-00 52nd Road","DSNY","0","11377","QUEENS   ","40.734943","-73.909723","2","30","243",,,"Elmhurst-Maspeth                                                           "
"Lighting System Upgrade","Retrofit","Completed","6-Jun-08","10-Aug-09","P.S. 246X (Poe Ctr)/P.S. 310X/Ms 118X","260 West Kingsbridge Road","DOE","54.8","10463","BRONX    ","40.872895","-73.905244","7","14","269","2096486","2032390041","Kingsbridge Heights                                                        "
"Other","Retro-commissioning","Survey",,,"Academy of Environmental Science Secondary HS / Renaissance School of the Arts","410 East 100th Street",,,"10029","MANHATTAN","40.785671","-73.942548","11","8","162","1052998","1016930001","East Harlem South                                                          "
"Other","Retro-commissioning","Survey",,,"P.S.39X","965 Longwood Avenue",,,"10459","BRONX    ","40.817512","-73.898212","2","17","87","2005616","2027100001","Longwood                                                                   "
"Lighting System Upgrade","Retrofit","Cancelled",,,"Flushing Town Hall - 137-35 Northern Blvd","137-35 Northern Blvd","DCLA","23.3","11354","QUEENS   ","40.763478","-73.829992","7","20","869","4112147","4049600001","Flushing                                                                   "
"HVAC System Upgrade","Retrofit","Completed","28-Apr-09","29-Jun-09","NYBG - Operations Building","2800 Southern Blvd Visitor's Center, 2667 Dr. Theodore Kazimiroff Blvd","DCLA","7.89","10458","BRONX    ","40.865064","-73.883913","6","15","397",,,"Belmont                                                                    "
"Other","Photovoltaic","Substantially Completed","16-Dec-11","24-Feb-12","R&T Repair Shop","48-34 35th Street","FDNY","13.51","11101","QUEENS   ","40.740165","-73.930693","2","26","199","4003451","4002540001","Hunters Point-Sunnyside-West Maspeth                                       "
"Other","Retro-commissioning","Survey",,,"Haupt Conservatory","2740 Dr. Theodore Kazimiroff Blvd","DCLA",,"10458","BRONX    ","40.864493","-73.883936","6","15","334","2113012","2032720001","park-cemetery-etc-Bronx                                                    "
"Lighting System Upgrade","Retrofit","Install","12-Sep-11",,"Municipal Building - 1 Centre Street","1 Centre Street","DCAS","629.54","10007","MANHATTAN","40.713001","-74.004181","1","1","29","1001394","1001210001","Chinatown                                                                  "
"Lighting System Upgrade","Retrofit","Design",,,"Central Park Zoo","76 Central Park, 830 5th Avenue","DPR","69.55","10000","MANHATTAN","40.782295","-73.965126","64","6","143","1000000","1011110001","park-cemetery-etc-Manhattan                                                "
"Lighting System Upgrade","Retrofit","Completed","11-May-09","30-Jun-09","P.S. 109X (Sedgwick)","1771 Popham Avenue","DOE","30.81","10453","BRONX    ","40.851414","-73.918533","5","14","20502","2094549","2028770393","University Heights-Morris Heights                                          "
"Other","Retro-commissioning","Survey",,,"Metropolitan Museum of Art","1000 Fifth Avenue","DCLA",,"10028","MANHATTAN","40.778633","-73.962546","64","6","143","1083810","1011110001","park-cemetery-etc-Manhattan                                                "
"Comprehensive","Retrofit","Design",,,"Leonard Covello Senior Center","312 East 109th Street","DFTA","30.61","10029","MANHATTAN","40.792306","-73.94048","11","8","170","1074278","1016800045","East Harlem South                                                          "
"Lighting System Upgrade","Retrofit","Substantially Completed","1-Nov-11","27-Mar-12","Brooklyn Botanic Garden","1000 Washington Avenue","DCLA","30.67","11225","BROOKLYN ","40.666949","-73.961679","55","35","177","3337842","3011830001","park-cemetery-etc-Brooklyn                                                 "
"Other","Retro-commissioning","Survey",,,"P.S. 044 Thomas C. Brown","80 Maple Parkway","DOE",,"10303","STATEN IS","40.63179","-74.156439","1","49","231","5027641","5012180001","Mariner's Harbor-Arlington-Port Ivory-Graniteville                         "
"Other","Retro-commissioning","Completed",,,"St. Mary's Rec Center","450 St. Ann's Avenue","DPR","0","10455","BRONX    ","40.811972","-73.914275","1","8","37","2003692","2025570001","Mott Haven-Port Morris                                                     "
"Comprehensive","Retrofit","Cancelled",,,"East Harlem Multi-Service Ctr","413 East 120 Street","HRA","267.2","10035","MANHATTAN","40.798371","-73.932987","11","8","192","1054888","1018080008","East Harlem North                                                          "
"Energy Audit","None","Completed","2-Feb-11","30-Jun-11","Manhattan Detention Complex (Bernard B. Kerik Complex)","125 White St","DOC",,"10013","MANHATTAN","40.716715","-74.000346","1","1","29","1088394","1001670001","Chinatown                                                                  "
"Energy Audit","None","In Progress",,,"Q205 - PS 205 Alexander Graham Bell","75-25 Bell Blvd","DOE",,"11364","QUEENS   ","40.737678","-73.756791","11","23","129103","4164007","4077530001","Oakland Gardens                                                            "
"Energy Audit","None","Completed","13-Oct-10","27-May-11","K135 - PS 135 Sheldon A. Brookner","686 Linden Blvd","DOE","7.4","11203","BROOKLYN ","40.653643","-73.933053","17","41","870","3102005","3046730001","East Flatbush-Farragut                                                     "
"HVAC System Upgrade","Retrofit","Design","1-Nov-10",,"Bronx Community College - Phase 1 HVAC Upgrade","2155 University Avenue","CUNY","2246.61","10453","BRONX    ","40.857899","-73.909307","7","14","255","2014731","2032170060","Kingsbridge Heights                                                        "
"Comprehensive","Retrofit","Design",,,"Central Park Zoo","76 Central Park, 830 5th Avenue","DPR","247.36","10000","MANHATTAN","40.782295","-73.965126","64","6","143","1000000","1011110001","park-cemetery-etc-Manhattan                                                "
