"datasetinformation_agency","uid","name","description","type","category","legislativecompliance_datasetfromtheopendataplan","url","update_datemadepublic","update_updatefrequency","last_data_updated_date","legislativecompliance_candatasetfeasiblybeautomated","update_automation","legislativecompliance_hasdatadictionary","legislativecompliance_containsaddress","legislativecompliance_geocoded","legislativecompliance_existsexternallyll1102015","legislativecompliance_externalfrequencyll1102015","legislativecompliance_removedrecords","visits","row_count","column_count","parent_uid","derived_view"
"Department of Education (DOE)","jkk2-3xzd","2015-2016 Discharge Reporting School Level - HS","This report provides data regarding students enrolled in New York City schools during the 2015-2016 school year, according to the guidelines set by Local Law 2011/042.
At the citywide, borough and district levels, the DOE is required to report discharge, transfer and graduation counts by grade level (middle school only), cohort (high school only) and disability status. At the school level, the DOE is required to report discharge and transfer counts by grade level (middle school only), cohort (high school only), disability status broken down by, age as of 12/31 of the previous calendar year age, race/ethnicity, and gender.","dataset","Education","Yes","https://data.cityofnewyork.us/d/jkk2-3xzd","June 28, 2019","Historical data","2019-06-28T14:41:36.000","No","No","Yes","No","N/A","N/A","N/A","No","149","12383","6",,"false"
"Taxi and Limousine Commission (TLC)","hiik-hmf3","TLC Approved LabCorp Patient Services Drug Test Locations (Map)","List of TLC approved LabCorp Drug Test Locations. For inquiries about the contents of this dataset, please email tlccompliance@tlc.nyc.gov","map","Transportation","No","https://data.cityofnewyork.us/d/hiik-hmf3","11/14/2017","As needed","2022-01-26T21:12:07.000","No","No","Yes","Yes","Yes","No","N/A","Yes","387359","40",,"pe54-wf39","true"
"Mayor's Office for Economic Opportunity","y9si-s7ab","Verified Locations for NYC City-Funded Social Service Contracts - Sites","Service delivery location.","dataset","City Government","NO","https://data.cityofnewyork.us/d/y9si-s7ab","1/29/2021","Annually","2021-05-13T19:33:43.000","No","No","Yes","Yes","Yes","Yes","Annually","No","401","5635","40",,"false"
"Department of Finance (DOF)","w6yt-hctp","DOF: Condominium Comparable Rental Income – Brooklyn – FY 2009/2010","The Department of Finance (DOF) is required by NY State law to value condominiums or cooperatives as if they were residential rental apartment buildings. DOF uses income information from rental properties similar in physical features and location to the condominiums or cooperatives. DOF applies this income data to the condominium or cooperative to determine its value in the same way DOF values rental apartment buildings.  This report includes information at a condominium suffix level which represents a subdivision of the condominium since DOF values condominiums at a suffix level. A condominium may have more than one suffix.

Each record in this report for the subject condominium represents a condominium suffix which is a subdivision of a condominium.  Some condominiums may have more than a single suffix. DOF uses this information to value condominiums annually based on state law.  Each suffix identifies up to three comparable rentals included in this report.","dataset",,"No","https://data.cityofnewyork.us/d/w6yt-hctp","10/7/2011","Historical data","2017-09-11T16:50:35.000","No","No","Yes","Yes","Yes","Yes","Annually","No","648","423","46",,"false"
"Department of Consumer and Worker Protection (DCWP)","w7w3-xahh","Legally Operating Businesses","This data set features businesses/individuals holding a DCA license so that they may legally operate in New York City. Note: Sightseeing guides and temporary street fair vendors are not included in this data set.</br>
<b>*Due to COVID-19 pandemic, DCA extended certain license expiration dates and renewal application deadlines which are not reflected in this data set. For more information, visit <a href=""https://www1.nyc.gov/site/dca/businesses/licenses.page"">nyc.gov/BusinessToolbox</a>.</b>","dataset","Business","No","https://data.cityofnewyork.us/d/w7w3-xahh","2/22/2016","Weekly","2022-08-19T20:36:03.000","Yes","Yes","Yes","Yes","Yes","No","N/A","Yes","53484","275635","36",,"false"
"Department of Education (DOE)","8vk5-fzts","2020 - 2021 Diversity Report","Report on Demographic Data in New York City Public Schools, 2020-21Enrollment counts are based on the November 13 Audited Register for 2020.
Categories with total enrollment values of zero were omitted.
Pre-K data includes students in 3-K.
Data on students with disabilities, English language learners, and student poverty status are as of March 19, 2021. 
Due to missing demographic information in rare cases and suppression rules, demographic categories do not always add up to total enrollment and/or citywide totals.
NYC DOE ""Eligible for free or reduced-price lunch” counts are based on the number of students with families who have qualified for free or reduced-price lunch or are eligible for Human Resources Administration (HRA) benefits.
English Language Arts and Math state assessment results for students in grade 9 are not available for inclusion in this report, as the spring 2020 exams did not take place.
Spring 2021 ELA and Math test results are not included in this report for K-8 students in 2020-21. Due to the COVID-19 pandemic’s complete transformation of New York City’s school system during the 2020-21 school year, and in accordance with New York State guidance, the 2021 ELA and Math assessments were optional for students to take. As a result, 21.6% of students in grades 3-8 took the English assessment in 2021 and 20.5% of students in grades 3-8 took the Math assessment. These participation rates are not representative of New York City students and schools and are not comparable to prior years, so results are not included in this report. 
Dual Language enrollment includes English Language Learners and non-English Language Learners. 
Dual Language data are based on data from STARS; as a result, school participation and student enrollment in Dual Language programs may differ from the data in this report. STARS course scheduling and grade management software applications provide a dynamic internal data system for school use; while standard course codes exist, data are not always consistent from school to school.
This report does not include enrollment at District 75 & 79 programs. Students enrolled at Young Adult Borough Centers are represented in the 9-12 District data but not the 9-12 School data.
“Prior Year” data included in Comparison tabs refers to data from 2019-20. “Year-to-Year Change” data included in Comparison tabs indicates whether the demographics of a school or special program have grown more or less similar to its district or attendance zone (or school, for special programs) since 2019-20. Year-to-year changes must have been at least 1 percentage point to qualify as “More Similar” or “Less Similar”; changes less than 1 percentage point are categorized as “No Change”. 
The admissions method tab contains information on the admissions methods used for elementary, middle, and high school programs during the Fall 2020 admissions process. Fall 2020 selection criteria are included for all programs with academic screens, including middle and high school programs. Selection criteria data is based on school-reported information. Fall 2020 Diversity in Admissions priorities is included for applicable middle and high school programs. Note that the data on each school’s demographics and performance includes all students of the given subgroup who were enrolled in the school on November 13, 2020. Some of these students may not have been admitted under the admissions method(s) shown, as some students may have enrolled in the school outside the centralized admissions process (via waitlist, over-the-counter, or transfer), and schools may have changed admissions methods over the past few years. Admissions methods are only reported for grades K-12.
""3K and Pre-Kindergarten data are reported at the site level. See below for definitions of site types included in this report. Additionally, please note that this report excludes all students at District 75 sites, reflecting slightly lower enrollment than our total of 60,265 students","dataset","Education","Yes","https://data.cityofnewyork.us/d/8vk5-fzts",,"Annually","2022-03-04T23:38:00.000","No","No","Yes","No","N/A","Yes","Annually","No","721","2484","8",,"false"
"Office of the Comptroller (COMPTROLLER)","p3e6-t4zv","Office of The Comptroller: NYC Employee Retirement System (NYCERS) Holdings Data","This dataset sets forth the holdings NYC Employee Retirement System (NYCERS) (both equity and fixed income) of the identified pension/retirement system as of the close of the fiscal year.","dataset","City Government","Yes","https://data.cityofnewyork.us/d/p3e6-t4zv","11/29/2018","Annually","2022-03-23T15:18:35.000","No","No","Yes","No","N/A","No","N/A","No","1095","196381","25",,"false"
"Department of Health and Mental Hygiene (DOHMH)","2xir-kwzz","DOHMH Beach Water Quality Data","Water quality sample results collected by the Department of Health and Mental Hygiene at all New York City Beaches. These water quality results are used by the Department to determine the status (open, advisory, closed) of Beaches.","dataset","Health","YES","https://data.cityofnewyork.us/d/2xir-kwzz","6/14/2016","Weekly","2022-08-22T14:23:28.000","Yes","Yes","Yes","No","N/A","Yes","As Needed","No","2979","25147","6",,"false"
"Department of Parks and Recreation (DPR)","82zj-84is","Forestry Planting Spaces","Record of Forestry planting spaces for NYC Parks & Recreation. 

Tree Points and Planting Spaces form the basis of ForMS 2.0’s data inventory and are the core entities that all Service Requests, Inspections, and Work Orders are associated to.  The system has built-in rules to ensure that every Tree Point has a Planting Space and each Planting Space can have no more than one active Tree Point at a given time.  Locations that have had one tree removed and another tree replanted will appear in ForMS 2.0 as a single Planting Space associated with one retired Tree Point (that has a removal Work Order) and one active Tree Point.

User guide: https://docs.google.com/document/d/1PVPWFi-WExkG3rvnagQDoBbqfsGzxCKNmR6n678nUeU/edit?usp=sharing

Data dictionary: https://docs.google.com/spreadsheets/d/1yMfZgcsrvx9M0b3-ZdEQ3WCk2dFxgitCWytTrJSwEAs/edit?usp=sharing","dataset","Environment","YES","https://data.cityofnewyork.us/d/82zj-84is","3/8/2017","As needed","2022-08-01T14:34:24.000","Yes","Yes","Yes","Yes","Yes","Yes","N/A","Yes","1660","1011402","44",,"false"
"Department of Housing Preservation and Development (HPD)","hq68-rnsi","Affordable Housing Production by Project","The Department of Housing Preservation and Development (HPD) reports on buildings, units, and projects that began after January 1, 2014 and are counted towards the Housing New York or Housing Our Neighbors plan. The Affordable Housing Production by Project file presents this data by project, and includes project-level data, such as senior units, but does not include building-level data. The unit counts are provided for each project, rather than by building. For additional documentation, including a data dictionary, review the attachments in the “About this Dataset” section of the Primer landing page.","dataset","Housing & Development","No","https://data.cityofnewyork.us/d/hq68-rnsi","12/20/2016","Quarterly","2022-05-09T15:27:42.000","No","No","Yes","No","N/A","No","N/A","No","14298","3185","19",,"false"
"Department of Sanitation (DSNY)","xw3j-2yxf","DSNY Garages","Location of DSNY garages. Essential to DSNY operations are our 59 garages across the five boroughs. This structure enables the Department’s uniformed personnel to efficiently perform regular duties – and quickly execute emergency response. For more information about DSNY garages, see: https://www1.nyc.gov/assets/dsny/site/about/dsny-garage-locations","dataset","Environment","No","https://data.cityofnewyork.us/d/xw3j-2yxf",,"Monthly","2022-08-28T10:03:17.000","Yes","Yes","Yes","Yes","Yes","Yes","Monthly","N/A","769","81","18",,"false"
"Fire Department of New York City (FDNY)","ssq6-fkht","Bureau of Fire Prevention - Inspections","This dataset contains permit and Bureau of Fire Prevention inspection information by account holder. Each building may have more than one permit holder. Each permit holder may have multiple permits in multiple buildings.","dataset","Public Safety","No","https://data.cityofnewyork.us/d/ssq6-fkht","11/14/2017","Quarterly","2019-03-07T17:37:08.000","No","No","Yes","Yes","Yes","No","N/A","Yes","6962","400618","20",,"false"
"Taxi and Limousine Commission (TLC)","yhuu-4pt3","Street Hail Livery (SHL) Permits","<b>PLEASE NOTE:</b> This dataset, which includes all TLC authorized Street Hail Livery Permits, is updated every day in the evening between 4-7pm. Please check the 'Last Update Date' field to make sure the list has updated successfully. 'Last Update Date'  should show either today or yesterday's date, depending on the time of day. If the list is outdated, please download the list from the most recent link below. 
http://www1.nyc.gov/assets/tlc/downloads/datasets/tlc_street_hail_livery_permits.csv

This is a list of NYC TLC authorized Street Hail Livery Permits. This list is accurate to the date and time represented in the Last Date Updated and Last Time Updated fields. For inquiries about the contents of this dataset, please email licensinginquiries@tlc.nyc.gov.  Reason Code: G – Good Standing, A – Problem with Permit, B – Problem with Base and C – Problem with Vehicle.","dataset","Transportation","Yes","https://data.cityofnewyork.us/d/yhuu-4pt3","12/8/2014","Daily","2022-08-28T18:59:22.000","Yes","Yes","Yes","Yes","No","No","N/A","No","99763","4767","20",,"false"
"Department of Buildings (DOB)","3h2n-5cm9","DOB Violations","Violations that have been issued by the Department of Buildings. There may also be an ECB violation. (https://data.cityofnewyork.us/Housing-Development/DOB-ECB-Violations/6bgk-3dad)","dataset","Housing & Development","Yes","https://data.cityofnewyork.us/d/3h2n-5cm9","12/11/2015","Every weekday","2022-08-25T22:31:25.000","Yes","Yes","Yes","Yes","No","No","N/A","No","59902","2254910","18",,"false"
"Taxi and Limousine Commission (TLC)","pvkv-25ck","Historical Medallion  Vehicles - Authorized","This list contains historical information on the status of current medallion vehicles authorized to operate in New York City. This list is accurate to the date and time represented in the Last Date Updated and Last Time Updated fields. For inquiries about the contents of this dataset, please email licensinginquiries@tlc.nyc.gov. To view the latest list please visit https://data.cityofnewyork.us/Transportation/Medallion-Vehicles-Authorized/rhe8-mgbb/data.","dataset","Transportation","No","https://data.cityofnewyork.us/d/pvkv-25ck","10/20/2017","Historical data","2017-06-19T19:26:34.000","No","No","Yes","No","N/A","No","N/A","No","4200","17052889","16",,"false"
"Department of Parks and Recreation (DPR)","c5vm-g2dk","Parks Permit Areas","● One line of data represents a single geographic area for which an event permit can be requested in the Citywide Event Management System (CEMS).
● Data was digitized in desktop GIS in consultation with borough permit offices.
● Data is updated when changes are requested by the borough permit offices.
● Along with this dataset, the Athetlic Facilities dataset are sent to CEMS
● Spaces not outlined in this dataset are not available for permitting","dataset","Recreation","Yes","https://data.cityofnewyork.us/d/c5vm-g2dk","12/30/2019","Monthly","2022-08-06T13:03:22.000","Yes","Yes","Yes","No","N/A","N/A","N/A","Yes","399","3290","18",,"false"
"Department of Youth and Community Development (DYCD)","w3c6-35wg","Community District Breakdowns","Demographic statistics broken down by community districts","dataset","City Government","NO","https://data.cityofnewyork.us/d/w3c6-35wg","7/27/2011","As needed","2013-06-21T19:50:36.000","No","No","Yes","No","N/A","No","N/A","No","4513","59","45",,"false"
"Department of Transportation (DOT)","yh4a-g3fj","Bicycle Parking","The dataset contains a list of bicycle racks.","map","Transportation","No","https://data.cityofnewyork.us/d/yh4a-g3fj","5/13/2019","Annually","2022-07-01T18:43:28.000","Yes","Yes","Yes","No","N/A","No","N/A","No","3132",,,,"false"
"Campaign Finance Board (CFB)","vyxt-abab","2009 Campaign Payments","A listing of public funds payments for candidates for City office during the 2009","dataset","City Government","No","https://data.cityofnewyork.us/d/vyxt-abab","9/13/2011","Historical data","2021-02-07T05:32:27.000","Yes","No","Yes","No","N/A","Yes","Historical","No","481","196","11",,"false"
"Taxi and Limousine Commission (TLC)","5tub-eh45","Street Hail Livery (SHL) Drivers - Active","<b>PLEASE NOTE:</b> This dataset, which includes all TLC Licensed Drivers who are in good standing and able to drive, is updated every day in the evening between 4-7pm. Please check the 'Last Update Date' field to make sure the list has updated successfully. 'Last Update Date'  should show either today or yesterday's date, depending on the time of day. If the list is outdated, please download the most recent list from the link below. 
http://www1.nyc.gov/assets/tlc/downloads/datasets/tlc_shl_drivers_active.csv

NYC TLC licensed drivers that are currently active, in good standing and authorized to operate Street Hail Livery (SHL) vehicles. This list is accurate to the date and time represented in the Last Date Updated and Last Time Updated fields. For inquiries about the contents of this dataset, please email licensinginquiries@tlc.nyc.gov.","dataset","Transportation","No","https://data.cityofnewyork.us/d/5tub-eh45","8/25/2014","Daily","2022-08-28T19:10:17.000","Yes","Yes","Yes","No","N/A","No","N/A","No","205581","161691","7",,"false"
"Department of Environmental Protection (DEP)","zkky-n5j3","Current Reservoir Levels","The daily capacity and percent of capacity filled for each of the City's reservoirs.","dataset","Environment","Yes","https://data.cityofnewyork.us/d/zkky-n5j3","10/17/2017","Monthly","2022-08-08T19:03:30.000","No","No","Yes","No","N/A","Yes","Daily","No","23167","1704","25",,"false"
"Department of Education (DOE)","gcx5-axug","2017 - 2018 2018 NYC School Survey Student Data","2017 - 2018 2018 NYC School Survey Student Data","file","Education","NO","https://data.cityofnewyork.us/d/gcx5-axug","08/15/2018","Annually","2018-08-15T16:57:01.000","No","No","Yes","No","N/A","No","N/A","No","574",,,,"false"
"Department of Health and Mental Hygiene (DOHMH)","9jgj-bmct","DOHMH Indoor Environmental Complaints","Indoor Environmental Complaints 

This data is largely received via complaints to 311; Each record represents a single complaint; This data can be used to help determine if the DOHMH has received an environmental complaint from a particular address; The listing of a particular address does not indicate that a condition or violation was found, only that a complaint was made to DOHMH","dataset","Health","YES","https://data.cityofnewyork.us/d/9jgj-bmct","4/25/2018","Daily","2022-08-28T13:55:35.000","Yes","Yes","Yes","Yes","Yes","No","N/A","No","6891","69010","19",,"false"
"Department of Transportation (DOT)","qt6m-xctn","Street Sign Work Orders","DOT manages approximately 1,000,000 signs on the streets of New York.  This dataset contains current and historical signs, including regulatory, warning, guide and parking.","dataset","Transportation","YES","https://data.cityofnewyork.us/d/qt6m-xctn","11/17/2020","Monthly","2022-08-03T01:41:21.000","Yes","Yes","Yes","No","N/A","No","N/A","No","2970","12837799","25",,"false"
"Department of Education (DOE)","k2zg-756q","2019 NYC School Survey - Student","Every year, all parents, all teachers, and students in grades 6 - 12 take the NYC School Survey. The survey ranks among the largest surveys of any kind ever conducted nationally. 
Survey results provide insight into a school's learning environment and contribute a measure of diversification that goes beyond test scores on the Progress Report. NYC School Survey results contribute 10% - 15% of a school's Progress Report grade (the exact contribution to the Progress Report is dependant on school type). Survey questions assess the community's opinions on academic expectations, communication, engagement, and safety and respect. School leaders can use survey results to better understand their own school's strengths and target areas for improvement. 

The NYC School Survey helps school leaders understand what key members of the school community say about the learning environment at each school. The information captured by the survey is designed to support a dialogue among all members of the school community about how to make the school a better place to learn.","dataset","Education","No","https://data.cityofnewyork.us/d/k2zg-756q","January 14, 2021","Annually","2021-01-14T16:55:56.000","No","No","Yes","No","No","N/A","N/A","No","527","1829","11",,"false"
"Department of Information Technology & Telecommunications (DoITT)","3nxf-gbay","Day Care Center","Day Care Center","map","City Government","NO","https://data.cityofnewyork.us/d/3nxf-gbay","11/18/2014","As needed","2014-11-18T00:37:42.000","No","No","No","No","N/A","No","N/A","No","1765",,,,"false"
"Fire Department of New York City (FDNY)","32y8-s55c","FDNY Line Of Duty Deaths","Rank, Name, Unit and Date of FDNY Member deaths","dataset","Public Safety","NO","https://data.cityofnewyork.us/d/32y8-s55c","2/4/2013","Annually","2013-02-04T16:25:33.000","No","No","Yes","No","N/A","No","N/A","No","17463","1169","4",,"false"
"Police Department (NYPD)","dufe-vxb7","NYPD Use of Force: Subjects","Dataset containing information related to non-NYPD Subjects involved in Force Incidents.
</p>

The Threat, Resistance, or Injury (TRI) Report is the primary means by which the NYPD records use of force incidents. All reportable instances of force – whether used by a member of the Department, or against the member – are recorded on a TRI Report. Data provided here are a result of the information captured on TRI Reports.  Each record corresponds to a non-NYPD subject involved in a force incident.  The data can be used to explore the various categories of force incidents and when and in which precinct they occurred. For any given incident, there may be one or more members of service involved.  Since NYPD policy requires two-person patrols, most incidents will have at least two members. The data is used to populate the public facing Force Dashboard. (https://app.powerbigov.us/view?r=eyJrIjoiOGNhMjVhYTctMjk3Ny00MTZjLTliNDAtY2M2ZTQ5YWI3N2ViIiwidCI6IjJiOWY1N2ViLTc4ZDEtNDZmYi1iZTgzLWEyYWZkZDdjNjA0MyJ9).","dataset","Public Safety","Yes","https://data.cityofnewyork.us/d/dufe-vxb7",,"Quarterly","2022-07-15T15:02:39.000","No","No","Yes","No","N/A","N/A","Quarterly","No","492","17514","8",,"false"
"Department of Parks and Recreation (DPR)","hxay-3qcw","New York City Water Trail (Kayak and Canoe Launch Sites)","The New York City Water Trail connects New York City’s rivers, creeks, and waterways together for paddling enthusiasts. Use this data to find launch sites on the water trail for kayaks and other openwater rowing craft","href","Recreation","NO","https://data.cityofnewyork.us/d/hxay-3qcw","6/19/2014","As needed","2014-06-17T17:32:20.000","Yes","No","Yes","No","N/A","Yes","As-Needed","Yes","764",,,,"false"
"Department of Information Technology & Telecommunications (DoITT)","a9we-mtpn","NYC Wi-Fi Hotspot Locations","NYC Wi-Fi Hotspot Locations Wi-Fi Providers: 
CityBridge, LLC (Free Beta): LinkNYC 1 gigabyte (GB), Free Wi-Fi Internet Kiosks
Spot On Networks (Free) NYC HOUSING AUTHORITY (NYCHA) Properties
Fiberless (Free): Wi-Fi access on Governors Island Free - up to 5 Mbps for users as the part of Governors Island Trust Governors Island Connectivity Challenge
AT&T (Free): Wi-Fi access is free for all users at all times. 
Partners: In several parks, the NYC partner organizations provide publicly accessible Wi-Fi. Visit these parks to learn more information about their Wi-Fi service and how to connect. 
Cable (Limited-Free): In NYC Parks provided by NYC DoITT Cable television franchisees. 
ALTICEUSA previously known as “Cablevision” and SPECTRUM previously known as “Time Warner Cable” (Limited Free) Connect for 3 free 10 minute sessions every 30 days or purchase a 99 cent day pass through midnight. Wi-Fi service is free at all times to Cablevision’s Optimum Online and Time Warner Cable broadband subscribers. 
Wi-Fi Provider: Chelsea Wi-Fi (Free) Wi-Fi access is free for all users at all times. 
Chelsea Improvement Company has partnered with Google to provide Wi-Fi a free wireless Internet zone, a broadband region bounded by West 19th Street, Gansevoort Street, Eighth Avenue, and the High Line Park. 
Wi-Fi Provider: Downtown Brooklyn Wi-Fi (Free) 
The Downtown Brooklyn Partnership - the New York City Economic Development Corporation to provide Wi-Fi to the area bordered by Schermerhorn Street, Cadman Plaza West, Flatbush Avenue, and Tillary Street, along with select public spaces in the NYCHA Ingersoll and Whitman Houses. 
Wi-Fi Provider: Manhattan Downtown Alliance Wi-Fi (Free) 
Lower Manhattan Several public spaces all along Water Street, Front Street and the East River Esplanade south of Fulton Street and in several other locations throughout Lower Manhattan. 
Wi-Fi Provider: Harlem Wi-Fi (Free) 
The network will extend 95 city blocks, from 110th to 138th Streets between Frederick Douglass Boulevard and Madison Avenue is the free outdoor public wireless network. 
Wi-Fi Provider: Transit Wireless (Free) 
Wi-Fi Services in the New York City subway system is available in certain underground stations. For more information visit http://www.transitwireless.com/stations/. 
Wi-Fi Provider: Public Pay Telephone Franchisees (Free) 
Using existing payphone infrastructure, the City of New York has teamed up with private partners to provide free Wi-Fi service at public payphone kiosks across the five boroughs at no cost to taxpayers. 
Wi-Fi Provider: New York Public Library 
Using Wireless Internet Access (Wi-Fi): All Library locations offer free wireless access (Wi-Fi) in public areas at all times the libraries are open. 
Connecting to the Library's Wireless Network 
•You must have a computer or other device equipped with an 802.11b-compatible wireless card. 
•Using your computer's network utilities, look for the wireless network named ""NYPL."" 
•The ""NYPL"" wireless network does not require a password to connect. 
Limitations and Disclaimers Regarding Wireless Access 
•The Library's wireless network is not secure. Information sent from or to your laptop can be captured by anyone else with a wireless device and the appropriate software, within three hundred feet. 
•Library staff is not able to provide technical assistance and no guarantee can be provided that you will be able to make a wireless connection. 
•The Library assumes no responsibility for the safety of equipment or for laptop configurations, security, or data files resulting from connection to the Library's network","map","Social Services","NO","https://data.cityofnewyork.us/d/a9we-mtpn","9/16/2014","As needed","2019-09-26T16:24:15.000","No","No","Yes","No","N/A","No","N/A","Yes","36234",,,,"false"
"Other","vsnr-94wk","Citi Bike System Data","Data to solve Citi Bike's Big Idea.","href","NYC BigApps","Yes","https://data.cityofnewyork.us/d/vsnr-94wk","5/7/2014","As needed","2014-05-06T15:24:49.000","","No","N/A","No","N/A","","","","15928",,,,"false"
"Department of Housing Preservation and Development (HPD)","wz6d-d3jb","Bedbug Reporting","Property owners are required to obtain bedbug infestation history from tenants or a dwelling unit owner. This dataset captures the bedbug infestation history as reported by the property owner. 
</p>
Local Law 69 of 2017 requires that all multiple dwelling property owners must attempt to obtain the bed bug infestation history from the tenant or unit owner, including whether eradication measures were employed for a bedbug infestation.  The information reported in this file is self-reported information filed annually by property owners. Once the Bed Bug Annual Report has been filed, the property owner is required to either provide the filing receipt to each tenant (upon commencement of a new lease and with each lease renewal) OR post the filing receipt in a prominent location in the building. In addition, the property owner must either distribute to each tenant or post the DOHMH Preventing and Getting Rid of Bedbugs Safely guide, which provides information on the prevention, detection, and removal of bedbugs.  Each record in the file represents a filing completed. If a property has submitted two records for the same period, the second filing is the active final submission for the period.","dataset","Housing & Development","Yes","https://data.cityofnewyork.us/d/wz6d-d3jb","4/10/2020","Monthly","2022-08-18T18:20:23.000","Yes","Yes","Yes","Yes","Yes","N/A","N/A","N/A","2797","257515","21",,"false"
"Department of Finance (DOF)","9rz4-mjek","Tax Lien Sale Lists","Properties with tax and/or water liens that are potentially eligible to be included in the next lien sale.</p>Tax Lien Sale Lists : Properties with tax, water liens and other charges  that are potentially eligible to be included in the next lien sale plus tax liens which were eventually sold.","dataset","City Government","Yes","https://data.cityofnewyork.us/d/9rz4-mjek","3/15/2016","Every 6 months","2022-01-13T19:34:51.000","Yes","Yes","Yes","Yes","No","Yes","As Needed","Yes","31852","163123","13",,"false"
"Department of Sanitation (DSNY)","rv63-53db","DSNY Frequencies","Citywide DSNY frequency boundaries for collection operation (refuse, recycling, organics, bulk items). These boundaries are sub-divisions of DSNY sections.","dataset","City Government","No","https://data.cityofnewyork.us/d/rv63-53db",,"Monthly","2022-08-28T10:06:00.000","Yes","No","Yes","No","N/A","Yes","Monthly","No","1044","610","12",,"false"
"Department of Parks and Recreation (DPR)","29bw-z7pj","2005 Street Tree Census","Citywide street tree data from the 2005 Street Tree Census, conducted partly by volunteers organized by NYC Parks & Recreation. Trees were inventoried by address, and were collected from 2005-2006. Data collected includes tree species, diameter, condition.","dataset","Environment","NO","https://data.cityofnewyork.us/d/29bw-z7pj","6/2/2016","Historical data","2017-10-10T20:48:10.000","No","No","Yes","Yes","Yes","No","N/A","Yes","3704","592372","63",,"false"
"Department of Parks and Recreation (DPR)","vjbm-hsyr","Parks Trails","Location of paths or trails in designated Forever Wild areas of NYC Parks.","dataset","Environment","YES","https://data.cityofnewyork.us/d/vjbm-hsyr","10/9/2018","As needed","2022-08-06T13:00:35.000","Yes","No","Yes","No","N/A","No","N/A","No","2430","3847","11",,"false"
"Department of Housing Preservation and Development (HPD)","34zf-iv73","Local Law 44 - Wage Information","The Wage Information data table includes information about borrower legal entities and contractors that have and have not provided the wage information required by Local Law 44. This is part of the <a <a href='https://data.cityofnewyork.us/browse?Data-Collection_Data-Collection=HPD+Local+Law+44'>Housing Projects Receiving City Financial Assistance (Local Law 44) collection of data tables</a>.","dataset","Housing & Development","YES","https://data.cityofnewyork.us/d/34zf-iv73","01/23/2018","Quarterly","2022-05-27T16:02:02.000","No","No","Yes","No","N/A","No","N/A","No","1595","21276","7",,"false"
"Department of Correction (DOC)","erra-pzy8","Inmate Assault on Staff","Inmate assaults on staff (uniform staff only; incidents resulting in UOF only).","dataset","Public Safety","Yes","https://data.cityofnewyork.us/d/erra-pzy8","6/2/2016","Monthly","2022-08-01T19:29:11.000","Yes","Yes","Yes","No","N/A","No","N/A","No","1190","6076","5",,"false"
"Department of Youth and Community Development (DYCD)","6bic-qvek","Zip code breakdowns","Demographic statistics broken down by zip code
Update Schedule: As required","dataset","City Government","NO","https://data.cityofnewyork.us/d/6bic-qvek","10/10/2011","As needed","2013-06-26T17:12:56.000","No","No","Yes","No","N/A","No","N/A","No","11999","236","46",,"false"
"Mayor's Office of Climate Resiliency","kubx-z7zd","NYC Recovery & Resiliency Projects Map - Points","Completed, ongoing, and planned recovery and resiliency projects throughout New York City.","map","City Government","YES","https://data.cityofnewyork.us/d/kubx-z7zd","11/21/2017","As needed","2017-11-21T14:49:07.000","No","No","Yes","No","N/A","No","N/A","Yes","818",,,,"false"
"Department of City Planning (DCP)","tqmj-j8zm","Borough Boundaries","GIS data: Boundaries of Boroughs (water areas excluded).

All previously released versions of this data are available at <a href=""https://www1.nyc.gov/site/planning/data-maps/open-data/bytes-archive.page?sorts[year]=0"">BYTES of the BIG APPLE- Archive</a>","map","City Government","No","https://data.cityofnewyork.us/d/tqmj-j8zm","1/31/2013","Quarterly","2022-08-15T16:28:07.000","Yes","No","Yes","No","N/A","Yes","Quarterly","No","87205",,,,"false"
"Department of Health and Mental Hygiene (DOHMH)","knr6-vurn","Collisions involving vehicles managed by Department of Health and Mental Hygiene (DOHMH)","The total number of City-vehicle operated vehicles that are managed by DOHMH that were involved in collisions involving injury or property damage for the citywide fleet reported in the citywide collision reporting system (CRASH). New York State MV-104 reports are required whenever a collision occurs involving death, or other personal injury, or property damage over $1,000. Collisions are tracked and reported regardless of whether or not the driver was at fault and whether or not the vehicle was in motion. Collisions involving City vehicles occur whenever a City vehicle strikes (or is struck by) a second vehicle, pedestrian, bicyclist or fixed object","dataset","Health","No","https://data.cityofnewyork.us/d/knr6-vurn","10/9/2018","Annually","2022-02-15T21:59:02.000","Yes","No","Yes","No","No","No","N/A","N/A","1935","85","7",,"false"
