"_","name","license_no","business_address","city_or_town","state","zip_code","phone_no","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","effective_date"
,"T & R TOBACCO SALES CO INC","SJ-02826","20307 LINDEN BLVD","SAINT ALBANS","NY","11412","(718) 525-4283","40.695277","-73.749268","412","27","530","4238587","4110750006","St. Albans","2020-09-10T00:00:00.000"
,"THE KOGER CO INC","AJ-00343","635-37 MORRIS PARK AVE","BRONX","NY","10460","(718) 597-5555","40.844657","-73.868389","211","15","220","2042496","2040110023","East Tremont","2020-09-10T00:00:00.000"
,"TRUE PINLESS INC","SJ-03500","3805 20TH AVE","ASTORIA","NY","11105","(718) 746-0008","40.77688","-73.90225","401","22","12301","4616405","4008110001","Steinway","2020-09-10T00:00:00.000"
,"WELLSPRING CORP","SJ-03026","54 LUDLOW ST","NEW YORK","NY","10002","(212) 529-5454","40.716657","-73.990101","103","1","16","1004026","1003100010","Chinatown","2020-09-10T00:00:00.000"
,"BELL TRADING INC","AJ-03374","593 JERUSALEM AVE","UNIONDALE","NY","11553","(516) 483-3444",,,,,,,,,"2020-09-10T00:00:00.000"
,"C AND S WHOLESALE GROCERS INC","AJ-03402","1500 CORPORATE BLVD","NEWBURGH","NY","12550","(603) 354-7307",,,,,,,,,"2020-09-10T00:00:00.000"
,"HAROLD LEVINSON ASSOCIATES, LLC","AJ-03491","21 BANFI PLAZA","FARMINGDALE","NY","11735","(631) 962-2400",,,,,,,,,"2020-09-10T00:00:00.000"
,"MCLANE EASTERN INC","AJ-02990","2828 MCLANE RD","BALDWINSVILLE","NY","13027","(254) 742-3424",,,,,,,,,"2020-09-10T00:00:00.000"
,"MOUNTAIN CANDY & CIGAR CO INC","AJ-03373","40 LAKE ST","SOUTH FALLSBURG","NY","12779","(845) 434-5674",,,,,,,,,"2020-09-10T00:00:00.000"
,"SUPER VALUE DISTRIBUTORS, INC.","SJ-03436","395 MEACHAM AVE","ELMONT","NY","11003","(516) 502-4560",,,,,,,,,"2020-09-10T00:00:00.000"
,"C AND S WHOLESALE GROCERS INC","AJ-03490","100 KING SPRING RD","WINDSOR LOCKS","CT","06096","(603) 354-7307",,,,,,,,,"2020-09-10T00:00:00.000"
,"CONSUMER PRODUCT DISTRIBUTORS, LLC","AJ-03337","705 MEADOW ST","CHICOPEE","MA","01013","(413) 888-1250",,,,,,,,,"2020-09-10T00:00:00.000"
,"CORE-MARK MIDCONTINENT, INC.","AJ-03453","100 WEST END ROAD, PO BOX 1450","HANOVER TOWNSHIP","PA","18706","(570) 823-6865",,,,,,,,,"2020-09-10T00:00:00.000"
,"ITG BRANDS, LLC","SJ-03493","714 GREEN VALLEY RD","GREENSBORO","NC","27408","(336) 335-7479",,,,,,,,,"2020-09-10T00:00:00.000"
,"JAY'S DISTRIBUTOR'S INC","SJ-03252","3900 W SIDE AVE","NORTH BERGEN","NJ","07047","(201) 601-2311",,,,,,,,,"2020-09-10T00:00:00.000"
,"MCLANE EASTERN INC","AJ-03394","932 MAPLE ST","HOPKINTON","NH","03229","(254) 742-3424",,,,,,,,,"2020-09-10T00:00:00.000"
,"MCLANE EASTERN INC","AJ-03481","43 VALLY VIEW BUSINESS PARK","JESSUP","PA","18434","(254) 742-3424",,,,,,,,,"2020-09-10T00:00:00.000"
,"PLAINFIELD TOBACCO & CANDY CO INC","AJ-03332","25 VAN DYKE AVE","NEW BRUNSWICK","NJ","08901","(732) 296-8900",,,,,,,,,"2020-09-10T00:00:00.000"
,"SUNRISE WHOLESALERS INC","SJ-03350","751 TONNELE AVE","JERSEY CITY","NJ","07307","(201) 653-1112",,,,,,,,,"2020-09-10T00:00:00.000"
,"SUPER FOOD SERVICES, INC.","AJ-03488","4067 COUNTY ROAD 130","BELLEFONTAINE","OH","43311","(937) 599-1110",,,,,,,,,"2020-09-10T00:00:00.000"
,"SUPER FOOD SERVICES, INC.","AJ-03499","4228 S 72ND ST","OMAHA","NE","68127","(402) 537-6662",,,,,,,,,"2020-09-10T00:00:00.000"
,"WAKEFERN FOOD CORP","SJ-03455","355 DAVIDSONS MILL RD","JAMESBURG","NJ","08831","(732) 521-8611",,,,,,,,,"2020-09-10T00:00:00.000"
,"1705 SUNSHINE WHOLESALE INC","SJ-03370","7804 20TH AVE","BROOKLYN","NY","11214","(718) 232-6968","40.609026","-73.993668","11","47","274","3162262","3062620039","Bensonhurst West","2021-09-03T00:00:00.000"
,"53RD QUEENS BEER INC","SJ-03417","10409 53RD AVE","CORONA","NY","11368","(718) 760-8009","40.741715","-73.856546","4","21","439","4047833","4019430096","Corona","2021-09-03T00:00:00.000"
,"A & G WHOLESALE CANDY/PAPERBAG, INC.","SJ-03176","511 WHITTIER ST","BRONX","NY","10474","(718) 293-0010","40.810989","-73.882689","2","17","93","2006856","2027690112","Hunts Point","2021-09-03T00:00:00.000"
,"A & H TOBACCO WHOLESALE, INC.","SJ-03451","264-B BUTLER STREET","BROOKLYN","NY","11217","(718) 875-1771","40.681221","-73.984616","6","33","127","3006607","3004120021","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","2021-09-03T00:00:00.000"
,"AIR KING TRADING, INC.","SJ-03448","415 DEVOE AVE","BRONX","NY","10460","(718) 824-6400","40.84058","-73.877031","6","15","220","2042419","2040030032","East Tremont","2021-09-03T00:00:00.000"
,"AMERICAN TOBACCO CORP","SJ-03464","272 WAKEMAN PL","BROOKLYN","NY","11220","(917) 254-9574","40.638445","-74.025308","10","43","70","3344061","3058410037","Bay Ridge","2021-09-03T00:00:00.000"
,"AMSTERDAM TOBACCO CO INC","SJ-03495","1614 AMSTERDAM AVE","NEW YORK","NY","10031","(212) 862-5860","40.821789","-73.950143","9","7","225","1061737","1020710032","Hamilton Heights","2021-09-03T00:00:00.000"
,"BAY RIDGE TOBACCO DISTRIBUTORS INC","SJ-02897","9225 5TH AVE","BROOKLYN","NY","11209","(718) 745-3011","40.617567","-74.029572","10","43","160","3155321","3061090016","Bay Ridge","2021-09-03T00:00:00.000"
,"BENGAL WHOLESALE COMPANY INC","SJ-03246","1024 CONEY ISLAND AVE","BROOKLYN","NY","11230","(718) 434-6296","40.63269","-73.966901","14","40","482","3128203","3054290024","Flatbush","2021-09-03T00:00:00.000"
,"BM WHOLESALE CORP","SJ-03501","6947 COOPER AVE","GLENDALE","NY","11385","(646) 912-5785","40.701442","-73.881406","5","30","629","4090368","4037050006","Glendale","2021-09-03T00:00:00.000"
,"BRONX TRADING CO., INC.","SJ-03425","1375 SEABURY AVE","BRONX","NY","10461","(718) 931-6448","40.837404","-73.842662","10","13","96","2027255","2038470018","Westchester-Unionport","2021-09-03T00:00:00.000"
,"CANDY STAR INC","SJ-03429","932 UTICA AVE","BROOKLYN","NY","11203","(917) 328-8810","40.650465","-73.930256","17","45","860","3102839","3046970031","East Flatbush-Farragut","2021-09-03T00:00:00.000"
,"CIGARETTES PLUS INC","SJ-03438","3855 9TH AVE","NEW YORK","NY","10034","(212) 569-9710","40.863117","-73.917474","12","10","299","1064482","1021870001","Marble Hill-Inwood","2021-09-03T00:00:00.000"
,"CJS WHOLESALERS INC","SJ-03482","152 W 36TH ST","NEW YORK","NY","10018","(212) 629-3400","40.751806","-73.988588","5","3","109","1015233","1008110062","Midtown-Midtown South","2021-09-03T00:00:00.000"
,"CROWN USA DISTRIBUTOR INC","SJ-03347","1217 JEROME AVE","BRONX","NY","10452","(718) 293-1921","40.836439","-73.922356","4","16","199","2003083","2025060062","Highbridge","2021-09-03T00:00:00.000"
,"DAN JAY TOBACCO CORP","SJ-03023","854 RALPH AVE","BROOKLYN","NY","11236","(718) 385-1454","40.653306","-73.920872","17","41","864","3102450","3046850020","Rugby-Remsen Village","2021-09-03T00:00:00.000"
,"FAST SERVICE WHOLESALE OF NY, INC.","SJ-03151","5504 3RD AVE","BROOKLYN","NY","11220","(718) 871-8749","40.64477","-74.017578","7","38","22","3014868","3008290034","Sunset Park West","2021-09-03T00:00:00.000"
,"GLOBAL WHOLESALE INC.","SJ-03478","12109 JAMAICA AVE","RICHMOND HILL","NY","11418","(718) 433-7343","40.700443","-73.828689","9","29","144","4193744","4092750063","Richmond Hill","2021-09-03T00:00:00.000"
,"GLOBE WHOLESALE TOBACCO DIST INC","AJ-00713","5406 3RD AVE","BROOKLYN","NY","11220","(718) 439-7478","40.645292","-74.017041","7","38","22","3014503","3008210040","Sunset Park West","2021-09-03T00:00:00.000"
,"JNJ CITRO CORP","SJ-03423","4564 162ND ST","FLUSHING","NY","11358","(718) 886-9499","40.7548","-73.804756","7","20","1191","4530449","4054400072","East Flushing","2021-09-03T00:00:00.000"
,"M POGGI & CO INC","SJ-00830","293 SMITH ST","BROOKLYN","NY","11231","(929) 484-9796","40.681977","-73.993672","6","39","75","3007056","3004290005","Carroll Gardens-Columbia Street-Red Hook","2021-09-03T00:00:00.000"
,"NICE ENTERPRISE CORP","SJ-03440","51-18 GRAND AVENUE","MASPETH","NY","11378","(718) 784-4400","40.717967","-73.917282","5","30","535","4439290","4026110136","Maspeth","2021-09-03T00:00:00.000"
,"PRAMUKH 89 INC.","SJ-03494","13202 89TH AVE","JAMAICA","NY","11418","(516) 787-3200","40.70033","-73.819485","9","29","14202","4438600","4093610020","Richmond Hill","2021-09-03T00:00:00.000"
,"RAMS WHOLESALE CIGARETTE & PAPER PRODUCTS INC","SJ-03278","42 MELROSE ST","BROOKLYN","NY","11206","(347) 236-0657","40.698222","-73.935208","4","34","389","3326162","3031600021","Bushwick South","2021-09-03T00:00:00.000"
,"RIDGEWOOD TOBACCO & CANDY INC","SJ-03330","7704 CYPRESS AVE","GLENDALE","NY","11385","(516) 458-9865","40.695344","-73.898846","5","30","565","4549245","4035580003","Glendale","2021-09-03T00:00:00.000"
,"SA CIGARETTE CO INC","SJ-03485","840 SAINT ANNS AVE","BRONX","NY","10456","(718) 402-5639","40.821707","-73.909721","1","17","71","2004357","2026190001","Melrose South-Mott Haven North","2021-09-03T00:00:00.000"
,"SAM'S SURPRISES INC","SJ-03318","8103 NORTHERN BLVD","JACKSON HEIGHTS","NY","11372","(718) 446-3101","40.755486","-73.886147","3","25","327","4026956","4011770044","Jackson Heights","2021-09-03T00:00:00.000"
,"SUNRISE CANDY & TOBACCO CORP","AJ-00075","150 CRESCENT ST","BROOKLYN","NY","11208","(718) 235-5030","40.685717","-73.872846","5","37","117602","3091683","3041180042","Cypress Hills-City Line","2021-09-03T00:00:00.000"
,"T & R TOBACCO SALES CO INC","SJ-02826","20307 LINDEN BLVD","SAINT ALBANS","NY","11412","(718) 525-4283","40.695277","-73.749268","12","27","530","4238587","4110750006","St. Albans","2021-09-03T00:00:00.000"
,"THE KOGER CO INC","AJ-00343","635-37 MORRIS PARK AVE","BRONX","NY","10460","(718) 597-5555","40.844657","-73.868389","11","15","220","2042496","2040110023","East Tremont","2021-09-03T00:00:00.000"
,"TRUE PINLESS INC","SJ-03500","3805 20TH AVE","ASTORIA","NY","11105","(718) 746-0008","40.77688","-73.90225","1","22","12301","4616405","4008110001","Steinway","2021-09-03T00:00:00.000"
,"WELLSPRING CORP","SJ-03026","54 LUDLOW ST","NEW YORK","NY","10002","(212) 529-5454","40.716657","-73.990101","3","1","16","1004026","1003100010","Chinatown","2021-09-03T00:00:00.000"
,"BELL TRADING INC","AJ-03374","593 JERUSALEM AVE","UNIONDALE","NY","11553","(516) 483-3444",,,,,,,,,"2021-09-03T00:00:00.000"
,"C AND S WHOLESALE GROCERS INC","AJ-03402","1500 CORPORATE BLVD","NEWBURGH","NY","12550","(603) 354-7307",,,,,,,,,"2021-09-03T00:00:00.000"
,"HAROLD LEVINSON ASSOCIATES, LLC","AJ-03491","21 BANFI PLAZA","FARMINGDALE","NY","11735","(631) 962-2400",,,,,,,,,"2021-09-03T00:00:00.000"
,"MCLANE EASTERN INC","AJ-02990","2828 MCLANE RD","BALDWINSVILLE","NY","13027","(254) 770-2800",,,,,,,,,"2021-09-03T00:00:00.000"
,"MOUNTAIN CANDY & CIGAR CO INC","AJ-03373","40 LAKE ST","SOUTH FALLSBURG","NY","12779","(845) 434-5674",,,,,,,,,"2021-09-03T00:00:00.000"
,"SUPER VALUE DISTRIBUTORS, INC.","SJ-03436","395 MEACHAM AVE","ELMONT","NY","11003","(516) 502-4560",,,,,,,,,"2021-09-03T00:00:00.000"
,"C AND S WHOLESALE GROCERS INC","AJ-03490","100 KING SPRING RD","WINDSOR LOCKS","CT","6096","(603) 354-7307",,,,,,,,,"2021-09-03T00:00:00.000"
,"CONSUMER PRODUCT DISTRIBUTORS, LLC","AJ-03337","705 MEADOW ST","CHICOPEE","MA","1013","(413) 888-1250",,,,,,,,,"2021-09-03T00:00:00.000"
,"CORE-MARK MIDCONTINENT, INC.","AJ-03453","100 WEST END ROAD","HANOVER TOWNSHIP","PA","18706","(570) 823-6865",,,,,,,,,"2021-09-03T00:00:00.000"
,"ITG BRANDS, LLC","SJ-03493","714 GREEN VALLEY RD","GREENSBORO","NC","27408","(336) 335-7479",,,,,,,,,"2021-09-03T00:00:00.000"
,"MCLANE EASTERN INC","AJ-03394","932 MAPLE ST","HOPKINTON","NH","3229","(603) 746-8000",,,,,,,,,"2021-09-03T00:00:00.000"
,"MCLANE EASTERN INC","AJ-03481","43 VALLY VIEW BUSINESS PARK","JESSUP","PA","18434","(570) 330-8400",,,,,,,,,"2021-09-03T00:00:00.000"
,"PLAINFIELD TOBACCO & CANDY CO INC","AJ-03332","25 VAN DYKE AVE","NEW BRUNSWICK","NJ","8901","(732) 296-8900",,,,,,,,,"2021-09-03T00:00:00.000"
,"SUNRISE WHOLESALERS INC","SJ-03350","751 TONNELE AVE","JERSEY CITY","NJ","7307","(201) 653-1112",,,,,,,,,"2021-09-03T00:00:00.000"
,"SUPER FOOD SERVICES, INC.","AJ-03488","4067 COUNTY ROAD 130","BELLEFONTAINE","OH","43311","(937) 599-1110",,,,,,,,,"2021-09-03T00:00:00.000"
,"SUPER FOOD SERVICES, INC.","AJ-03499","4228 S 72ND ST","OMAHA","NE","68127","(402) 537-6662",,,,,,,,,"2021-09-03T00:00:00.000"
,"WAKEFERN FOOD CORP","SJ-03455","355 DAVIDSONS MILL RD","JAMESBURG","NJ","8831","(732) 521-8611",,,,,,,,,"2021-09-03T00:00:00.000"
