"id","name_of_business","short_description","address","city","state","zip","phone_number","which_type_of_business_is_this","business_website_or_other_url","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"165","Monsieur Brunold","Mens Clothing Store and Atelier","323 Lafayette Street","New York","NY","10012","(212) 219-8559","Service","http://www.monsieurbrunold.com/","MANHATTAN","40.725512","-73.994974","2","1","5502","1008221","1005220041","West Village                                                               "
"166","Leathernecks tatoo","Tatoo shop","667 Fifth Avenue","Brooklyn","NY","11215",,"Service","http://leatherneckstattoo.blogspot.com/","BROOKLYN ","40.662102","-73.992625","7","38","143","3017136","3008850004","Park Slope-Gowanus                                                         "
"167","The Children's General Store","Toy Store","168 East 91st Street","New York","NY","10128","(212) 426-4479","Retail","https://www.facebook.com/tcgstoys/","MANHATTAN","40.78223","-73.952206","8","5","14802","1077064","1015190042","Upper East Side-Carnegie Hill                                              "
"168","Oly's Hair Salon","Hair Salon","210 East 21st Street","New York","NY","10010","(212) 673-2800","Service","https://www.facebook.com/OlysHairSalonNYC/","MANHATTAN","40.73733","-73.983592","6","2","64","1019627","1009010052","Gramercy                                                                   "
"169","HNR Deli & Grocery","Bodega/Deli","1223 Church Avenue","Brooklyn","NY","11218","(718) 693-0234","Food and Beverage",,"BROOKLYN ","40.647449","-73.968162","14","40","506","3116395","3050730034","Flatbush                                                                   "
"170","Gnarly Eats","""Local Burger Joint with southern comfort twist""","447 7th Avenue","Brooklyn","NY","11215","(718) 360-1661","Food and Beverage","http://www.gnarlyeats.com","BROOKLYN ","40.66301","-73.984807","7","39","149","3026635","3011040005","Park Slope-Gowanus                                                         "
"171","Whisk","Kitchenware & Tabletop Store","933 Broadway","New York","NY","10010","(212) 477-8680","Retail","http://whisknyc.com","MANHATTAN","40.740317","-73.989474","5","2","56","1080767","1008500011","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"172","Bon Bon Hair Salon & Spa","Beauty Salon","571 3rd Avenue","New York","NY","10016","(212) 286-2266","Service","https://www.facebook.com/bon.hair1","MANHATTAN","40.748033","-73.976429","6","4","78","1020346","1009180060","Murray Hill-Kips Bay                                                       "
"173","Cook's Arts & Crafts Shoppe","""Family run Arts & Crafts shoppe serving the community since 1970.""","80-09 Myrtle Avenue","Glendale","NY","11385","(718) 366-6085","Retail","http://www.cookscrafts.com","QUEENS   ","40.702995","-73.868038","5","30","635","4093559","4038310007","Glendale                                                                   "
"174","Cupcake Market","Bakery","74 East 7th Street","New York","NY","10009",,"Food and Beverage","http://cupcakemarketnyc.com/","MANHATTAN","40.727364","-73.986683","3","2","38","1006278","1004480021","East Village                                                               "
"175","New Women Space","""Community event space with women and femme-led programming""","188 Woodpoint Road","Brooklyn","NY","11211","(443) 254-6563","Other","http://newwomenspace.com","BROOKLYN ","40.716335","-73.942037","1","34","477","3398004","3028837502","East Williamsburg                                                          "
"176","Park Slope Academy of Brazililan Jiu-Jitsu","Brazilian Jiu-Jitsu Academy, Instruction and Training","518 5th Avenue","Brooklyn","NY","11215","(718) 788-6990","Service","http://psabjj.com","BROOKLYN ","40.666686","-73.988389","6","39","141","3259662","3010340038","Park Slope-Gowanus                                                         "
"177","In the Marc barber","Barber shop","400 E 13th Street ","New York","NY",,"(212) 529-1900","Service","https://yelp.to/qTKq/Ys1CGZBx9C",,,,,,,,,
"178","Cheeky Sandwiches","""Low-key, New Orleans-style sandwich shop""","35 Orchard Sreet","New York","NY","10002","(646) 504-8132","Food and Beverage","http://cheeky-sandwiches.com",,,,,,,,,
"179","Major Lock & Glass","Locksmith and glass shop","6618 Fresh Pond Road","Ridgewood","NY","11385","(718) 821-7213","Service","http://www.majorlockglass.com","QUEENS   ","40.708537","-73.898112","5","30","587","4443093","4035270075","Ridgewood                                                                  "
"180","Stop One Supermarket","Deli","368 Van Brunt Street","Brooklyn","NY","11231","(718) 875-8848","Food and Beverage","http://instagram.com/stoponesupermarket","BROOKLYN ","40.677415","-74.012842","6","38","53","3008584","3005650025","Carroll Gardens-Columbia Street-Red Hook                                   "
"181","Eastern Queens Boxing Club","Boxing Club","218-14 Hillside Avenue","Queens Village","NY",,"(718) 776-6749","Service, ","http://www.facebook.com/eqbcny",,,,,,,,,
"182","UGC Eats","Coffee shop","1674 Park Avenue","New York","NY","10035",,"Food and Beverage","http://ugceats.com/","MANHATTAN","40.80047","-73.942387","11","9","184","1051691","1016230040","East Harlem North                                                          "
"183","Peter Cooper Shoe Repair","The Best Shoe Repair in Chelsea","239 East 24th Street","New York","NY","10010","(212) 889-4558","Service",,"MANHATTAN","40.738968","-73.981391","6","2","66","1019789","1009050023","Murray Hill-Kips Bay                                                       "
"390","Venus Laundromat","Laundomat","7022 13th Avenue","Brooklyn","NY","11228","(718) 238-4648","Service",,"BROOKLYN ","40.622978","-74.004665","10","43","196","3157032","3061660049","Dyker Heights                                                              "
"184","Healing Expressions Unlimited","""Licensed Massage Therapy, creative life coaching and healing arts""","40 Exchange Place","New York","NY","10005","(646) 286-2814","Service","http://www.healingeu.com","MANHATTAN","40.705939","-74.010283","1","1","9","1000825","1000250027","Battery Park City-Lower Manhattan                                          "
"185","Meurice Garment Care","""Dry Cleaning, Shirt Laundry, Interior Cleaning and more""","31 University Place","New York","NY","10003","(212) 475-2778","Service","http://www.garmentcare.com","MANHATTAN","40.731926","-73.99449","2","2","59","1009090","1005607501","West Village                                                               "
"186","Ayurveda Cafe","Vegetarian Indian restaurant","706 Amsterdam Avenue","New York","NY","10025","(212) 932-2400","Food and Beverage","http://theayurvedacafe.com","MANHATTAN","40.792922","-73.971202","7","6","183","1033678","1012420031","Upper West Side                                                            "
"187","Farafina","Cafe and Lounge","1813 Amsterdam Avenue","New York","NY","10031","(212) 281-2445","Food and Beverage","http://www.farafinacafeloungeharlem.com/","MANHATTAN","40.828204","-73.945427","9","7","231","1061564","1020640060","Hamilton Heights                                                           "
"188","Regal Finishing","Wood Refinisher","789 East 139th Street","Bronx","NY","10454","(718) 665-6320","Service","https://www.facebook.com/RegalFinishing/","BRONX    ","40.804517","-73.909903","1","17","19","2004019","2025910088","Mott Haven-Port Morris                                                     "
"189","Tournesol Wellness","""Integrative medical and healing arts haven""","26 East 36th Street","New York","NY","10016","(646) 395-1114","Service","http://www.tournesolwellness.com","MANHATTAN","40.748921","-73.981742","6","4","82","1017129","1008650053","Murray Hill-Kips Bay                                                       "
"190","Marine Park Hardware","Hardware store","3502 Avenue S","Brooklyn","NY","11234","(718) 375-1821","Retail","https://www.facebook.com/Marine-Park-Hardware-Corporation-100286580031174/","BROOKLYN ","40.609338","-73.931956","18","46","658","3240913","3085210038","Georgetown-Marine Park-Bergen Beach-Mill Basin                             "
"191","The Health Nuts","Natural Food Store and Deli","835 2nd Avenue","New York","NY","10017","(212) 490-2979","Food and Beverage","http://www.manhattanhealthfoodstore.com/","MANHATTAN","40.751493","-73.971003","6","4","90","1037574","1013180022","Turtle Bay-East Midtown                                                    "
"192","D Coluccio and Sons","""Great family run food business""","1214 60th Street","Brooklyn","NY","11219","(718) 436-6700","Retail","http://www.dcoluccioandsons.com/","BROOKLYN ","40.629837","-74.000205","12","44","192","3141268","3057180008","Borough Park                                                               "
"193","Naked Fitness Café","""Healthy food cafe/meal preps""","1756 East 174 Street","Bronx","NY","10472",,"Food and Beverage","http://www.lookbetternakedny.com","BRONX    ","40.834783","-73.869207","9","18","76","2124598","2038740047","West Farms-Bronx River                                                     "
"194","Gowanus Darkroom","""Community Darkroom for analog and digital photography""","160 7th Street","Brooklyn","NY","11215","(718) 788-1751","Service","http://gowanusdarkroom.com","BROOKLYN ","40.673331","-73.991395","6","39","121","3021770","3009960017","Park Slope-Gowanus                                                         "
"195","Bronx Alehouse","""Craft beer and comfort fare in a local pub""","216 West 238th Street","Bronx","NY","10462","(718) 601-0204","Food and Beverage","http://bronxalehouse.com","BRONX    ","40.884758","-73.899534","8","11","283","2016180","2032700054","Spuyten Duyvil-Kingsbridge                                                 "
"196","Atlantic ChipShop","""Fish and Chips, English pub""","129 Atlantic Avenue","Brooklyn","NY","11201",,"Food and Beverage","http://www.chipshopnyc.com/","BROOKLYN ","40.690623","-73.99572","2","33","7","3002742","3002750020","Brooklyn Heights-Cobble Hill                                               "
"197","WMA Karate","Karate studio","67 Atlantic Avenue","Brooklyn","NY","11201",,"Service","http://wmakarate.com","BROOKLYN ","40.69129","-73.998128","2","33","7","3002257","3002580105","Brooklyn Heights-Cobble Hill                                               "
"198","Nancy's Fashions","Clothing and accessories","3872 Broadway","New York","NY","10032","(212) 927-4228","Retail",,"MANHATTAN","40.836937","-73.942763","12","7","245","1062854","1021200008","Washington Heights South                                                   "
"199","Soccer Friends USA","""Soccer Program for Kids!""","10606 Queens Blvd","Forest Hills","NY","11375","(718) 261-2403","Service","http://www.soccerfriendsusa.com/","QUEENS   ","40.72212","-73.847335","6","29","711","4077479","4032370040","Forest Hills                                                               "
"200","Silver Blade Fencing Academy","Fencing club","1205 Avenue P","Brooklyn","NY","11229","(718) 483-6677","Other","http://www.silverbladefencing.com/index.php/home/","BROOKLYN ","40.610126","-73.961207","14","48","542","3181726","3067590052","Midwood                                                                    "
"201","KSW Trading Corp.","Silk Flower Wholesaler","5726 1st Avenue","Brooklyn","NY","11220","(718) 938-4333","Retail","http://www.ussilkflower.com/","BROOKLYN ","40.646312","-74.023427","7","38","18","3014854","3008270012","Sunset Park West                                                           "
"202","BodyTonic Pilates Gymnasium","Pilates Studio","150 5th Avenue","Brooklyn","NY","11217","(718) 622-6222","Service","http://www.body-tonic.com","BROOKLYN ","40.678171","-73.979281","6","39","131","3019357","3009460046","Park Slope-Gowanus                                                         "
"203","Shree Convenience Inc","Convenience Store","169-07 Hillside Avenue","Jamaica","NY","11432","(718) 740-0856","Food and Beverage",,"QUEENS   ","40.710787","-73.792848","8","24","458","4210573","4098440001","Jamaica Estates-Holliswood                                                 "
"204","Lana's Loft","""Women's Retail Clothing and Accessories. Alteration and Tailoring Services too!""","11404 Beach Channel Drive","Rockaway Beach","NY","11694","(718) 945-5885","Retail","http://www.facebook.com/lanasloftboutique","QUEENS   ","40.582261","-73.836599","14","32","938","4303759","4161660299","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      "
"205","Mandolino","Authentic Italian restaurant","137 East 13th Street","New York","NY","10003","(646) 234-4217","Food and Beverage","http://Mandolinonyc.com","MANHATTAN","40.733158","-73.988973","3","2","42","1087670","1005597502","East Village                                                               "
"206","Raw Organic Root","""Health Coach and Water Consultant""","8 West 126 Street","New York City","NY","10027","(929) 228-1077","Service","http://www.raworganicroot.com","MANHATTAN","40.80734","-73.942384","10","9","200","1000000","1017230031","Central Harlem South                                                       "
"207","Lucca Hill Custom Clothing","Men's Custom Clothes","1003 Avenue of the Americas","New York","NY","10018","(732) 768-5114","Retail","http://www.luccahill.com","MANHATTAN","40.751883","-73.986278","5","4","109","1015255","1008130031","Midtown-Midtown South                                                      "
"208","Kulushkat","Falafel","1137b Washington Avenue","Brooklyn","NY","11225",,"Food and Beverage","http://www.kulushkat.com","BROOKLYN ","40.661171","-73.960695","9","40","79801",,,"Prospect Lefferts Gardens-Wingate                                          "
"209","QED","""After-school for adults. Shows, classes, arts & crafts, screenings, lectures, events""","27-16 23rd Avenue","Astoria","NY","11105","(347) 451-3873","Other","https://qedastoria.com/","QUEENS   ","40.775899","-73.915062","1","22","97","4018044","4008530043","Steinway                                                                   "
"210","Panorama Restaurant","Restaurant","87-16 Astoria Blvd East","Elmhurst","NY","11370","(718) 505-9162","Food and Beverage","https://www.facebook.com/panoramarestaurant87/","QUEENS   ","40.764142","-73.882017","3","22","329","4000000","4010990060","Jackson Heights                                                            "
"211","Arturo's Restaurant","Italian Restaurant","1617 York Avenue","New York","NY","10028","(212) 535-4480","Food and Beverage","http://www.arturoscafe.com/","MANHATTAN","40.77546","-73.947477","8","5","14401","1050540","1015650022","Yorkville                                                                  "
"212","Inborn Tattoo","Tattoo Art shop","85 Ludlow Street","New York","NY","10002","(212) 387-8480","Service","http://inborntattoonyc.com/www/","MANHATTAN","40.718164","-73.989347","3","1","18","1005292","1004090023","Chinatown                                                                  "
"213","Brahman Yoga Harlem","Yoga Studio","501 West 145th Street","New York","NY","10031","(917) 994-7071","Service","http://www.Brahmanyoganyc.com","MANHATTAN","40.825414","-73.948009","9","7","229","1061939","1020770029","Hamilton Heights                                                           "
"214","Park Chemist","Pharmacy","164 5th Avenue","Brooklyn","NY","11217","(914) 843-7878","Retail","http://parkchemistsrx.com","BROOKLYN ","40.677828","-73.979511","6","39","131","3019364","3009460054","Park Slope-Gowanus                                                         "
"215","Soccer Friends USA","Soccer Classes for Children","106-06 Queens Boulevard","Forest Hills","NY","11375","(718) 261-2403","Service","http://www.soccerfriendsusa.com/","QUEENS   ","40.72212","-73.847335","6","29","711","4077479","4032370040","Forest Hills                                                               "
"216","Shanghai Heping","Restaurant","104 Mott Street","New York","NY","10013","(212) 925-1118","Food and Beverage","http://www.shanghaihepingnyc.com/","MANHATTAN","40.717423","-73.997374","2","1","41","1002617","1002040005","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"217","Poketown","Restaurant","177 Hester Street","New York","NY","10013","(646) 682-9651","Food and Beverage","http://poketownny.com/","MANHATTAN","40.71792","-73.997226","2","1","41","1003096","1002370029","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"218","Carol's Buns","Restaurant","139 East Broadway","New York","NY","10002","(212) 566-0203","Food and Beverage","http://www.carolsbun.com/","MANHATTAN","40.713926","-73.991574","3","1","6","1003573","1002830035","Lower East Side                                                            "
"219","Focus Beauty Hair Salon","Hair Salon","40 Bowery","New York","NY","10013","(212) 431-5387","Service",,"MANHATTAN","40.715601","-73.996476","3","1","29","1002433","1002020030","Chinatown                                                                  "
"220","Cutting Board","Restaurant","53 Bayard Street","New York","NY","10013","(212) 528-0188","Food and Beverage","http://www.cuttingboardnewyork.com/","MANHATTAN","40.715274","-73.997507","3","1","29","1001796","1001630028","Chinatown                                                                  "
"221","May Wah Vegetarian Market","""Asian vegeterian frozen foods & spices""","213 Hester Street","New York","NY","10013","(212) 334-4428","Food and Beverage","http://www.maywahnyc.com","MANHATTAN","40.718554","-73.999037","2","1","41","1003059","1002350001","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"222","Sam's Fried Ice Cream","Dessert","37B Orchard Street","New York","NY","10002","(646) 833-7538","Food and Beverage","http://samsfriedicecream.com","MANHATTAN","40.715801","-73.991436","3","1","16",,,"Chinatown                                                                  "
"223","Old Cove Integrators LLC","Home Automation Services","118 East 28th Street","New York","NY","10016","(212) 628-5300","Service","http://oldcovellc.com","MANHATTAN","40.742921","-73.983129","5","2","68","1018164","1008830014","Gramercy                                                                   "
"224","Hot Bialys Bagels","Bagel store","116-63 Queens Blvd","Forest Hills","NY","11375","(718) 544-0900","Food and Beverage",,"QUEENS   ","40.715955","-73.833309","6","29","75701","4052806","4022680023","Forest Hills                                                               "
"225","Irish Haven","Pub","5721 Fourth Avenue","Brooklyn","NY","11220","(718) 439-9893","Food and Beverage","https://www.facebook.com/pages/Irish-Haven/561356407382149","BROOKLYN ","40.64238","-74.016813","7","38","74","3337333","3008470001","Sunset Park West                                                           "
"226","Lucky Dog's Laundromat","Laundromat, Dry Cleaning, Tailoring & Alterations","6012 18th Avenue","Brooklyn","NY","11204","(718) 331-2319","Service",,"BROOKLYN ","40.621888","-73.987403","12","44","244","3328525","3055180043","Borough Park                                                               "
"227","Joe's Place Restaurant/Bar","""You Feel Like Home""","1841 Westchester Avenue","Bronx","NY","10472","(718) 918-2947","Food and Beverage","http://www.joesplacebronx.com","BRONX    ","40.832444","-73.864435","9","18","76","2027967","2038790006","West Farms-Bronx River                                                     "
"228","Queen's Vintage Palace","Vintage Clothing, Records and Sundries","1667 Amsterdam Avenue","New York","NY","10031","(917) 309-5968","Retail","https://www.facebook.com/QueensVintagePalace/","MANHATTAN","40.823551","-73.948823","9","7","227","1061246","1020580029","Hamilton Heights                                                           "
"229","Manhattanville Coffee","Coffee shop","142 Edgecombe Avenue","New York","NY","10030","(646) 781-9900","Food and Beverage","http://manhattanvillecoffee.com","MANHATTAN","40.821318","-73.944732","10","9","259","1060761","1020437503","Central Harlem North-Polo Grounds                                          "
"230","Zurilee","Restaurant and wood-fired pizza","755 Flatbush Avenue","Brooklyn","NY","11226","(718) 513-6084","Food and Beverage","https://zurileepizza.com","BROOKLYN ","40.654358","-73.959592","14","40","79602","3116190","3050640014","Prospect Lefferts Gardens-Wingate                                          "
"231","Martinez Dance Studio","""Lessons in Salsa, Argentine Tango, Latin Ballroom & American Ballroom Dancing""","38-12 30th Street","Long Island City","NY","11101","(718) 932-4344","Service","http://www.martinezdancestudios.com","QUEENS   ","40.753945","-73.933014","1","26","31","4004642","4003840021","Queensbridge-Ravenswood-Long Island City                                   "
"232","Cascalote Latin Bistro","Latin restaurant","2126 2nd Avenue","New York","NY","10029","(646) 351-6574","Food and Beverage","https://www.facebook.com/CascaloteLatinBistro/","MANHATTAN","40.79274","-73.94088","11","8","180","1052827","1016810003","East Harlem North                                                          "
"233","87st deli Inc","Sandwiches","1665 1st avenue","New York","NY","11001","(212) 831-4384","Food and Beverage",,,,,,,,,,
"234","Chasing Tails","""Bay ridge gem. Great and amazing staff. They take care and love all dogs""","911 66 street","Brooklyn","NY","11219",,"Service","http://chasingtailsny.com","BROOKLYN ","40.630504","-74.01065","10","38","120","3328854","3057500026","Sunset Park East                                                           "
"235","Beach Bistro 96","Brazilian traditional cuisine","95-19 Rockaway Beach Blvd","Rockaway Park","NY","11693","(718) 474-6000","Food and Beverage","http://www.beachbistro96.com","QUEENS   ","40.585436","-73.817751","14","32","94201","4303777","4161680041","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      "
"236","Dial Locksmith Corporation","Key Duplication, Locksmith","206 West 96 Street","New York","NY","10025","(212) 678-6260","Service",,"MANHATTAN","40.794193","-73.970725","7","6","183","1033706","1012430038","Upper West Side                                                            "
"237","Bagels on the Avenue","Bagel and sandwich shop","33-15 30th Avenue","Astoria","NY","11103","(718) 721-0600","Food and Beverage","http://bagelsontheaveny.com/","QUEENS   ","40.766065","-73.919576","1","22","6501","4009152","4006270043","Astoria                                                                    "
"238","Bnytech Inc laptop and computer repair","Laptops, projectors and Apple products repair in New York","481 8th Avenue Suite 549","New York","NY","10001","(212) 361-9979","Service","http://www.bnytech.com","MANHATTAN","40.752295","-73.993402","4","3","111","1013561","1007580037","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"239","Chiffon's Kosher Cake Center","Bakery/Pastry shop","430 Avenue P","Brooklyn","NY","11223","(718) 998-7530","Food and Beverage","http://www.shopchiffons.com","BROOKLYN ","40.608968","-73.971541","15","44","422","3175949","3066340001","Homecrest                                                                  "
"240","Da Ciro Brooklyn Trattoria E Pizzeria","Italian Restaurant","458-460 Myrtle Avenue","Brooklyn","NY","11205",,"Food and Beverage","http://www.DaCiroBrooklyn.com","BROOKLYN ","40.6933","-73.967159","2","35","195","3054816","3019030026","Clinton Hill                                                               "
"241","Jodi's Gym","Children's Gymnastics Studio","244 E 84th Street","New York","NY","10028","(212) 772-7633","Other","http://www.jodisgym.com/","MANHATTAN","40.77706","-73.95391","8","5","138","1048710","1015290027","Yorkville                                                                  "
"242","Pa-Nash","Restaurant","144-14 243rd Street","Rosedale","NY","11422","(718) 978-6094","Food and Beverage","http://www.panashnyc.com/","QUEENS   ","40.66018","-73.73947","13","31","654","4287998","4135490005","Rosedale                                                                   "
"243","The Door","Restaurant","163-07 Baisely Blvd","Jamaica","NY","11434","(718) 525-1083","Food and Beverage","http://thedoorrestaurant.nyc/",,,,,,,,,
"244","Sangria","Restaurant","95-41 Sutphin Blvd","Jamaica","NY","11435","(718) 291-7488","Food and Beverage","http://sangriatapasjamaica.com/16420","QUEENS   ","40.698212","-73.806328","12","28","208","4214514","4100270023","Jamaica                                                                    "
"245","Bright Eyes Vision Care","Eye Care/Vision","12221 Guy R Brewer Blvd","Jamaica","NY","11434","(718) 527-0550","Service","http://www.brighteyesvisioncare.net/","QUEENS   ","40.679005","-73.779899","12","27","284","4268327","4123800014","Baisley Park                                                               "
"246","Harlem Shake","""Fast-casual restaurant serving burgers, shakes and good times""","100 West 124 Street","New York","NY","10027","(212) 222-8300","Food and Beverage","http://www.harlemshakenyc.com","MANHATTAN","40.807293","-73.946455","10","9","222","1057790","1019080035","Central Harlem South                                                       "
"247","Tribeca Health & Fitness","gym","107 Chambers Street","New York","NY","10007","(212) 732-9466","Service","http://www.TribecaGym.com","MANHATTAN","40.715076","-74.008243","1","1","21","1001591","1001457501","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"248","San Marzano","Restaurant","117 2nd Avenue","New York","NY","10003","(212) 777-3600","Food and Beverage","http://sanmarzanonyc.com/","MANHATTAN","40.727894","-73.988191","3","2","38","1006651","1004620023","East Village                                                               "
"249","Work Hard. Train Harder! Fitness","""Fitness Studio providing personal training and group classes""","301 West 135th Street","New York","NY","10030","(872) 222-9485","Service","http://www.workhardtrainharder.com","MANHATTAN","40.81654","-73.946611","10","9","22102","1059461","1019600011","Central Harlem North-Polo Grounds                                          "
"250","Brooklyn Heights Deli","Deli","292 Henry Street","Brooklyn","NY","11201","(718) 643-1361","Food and Beverage","http://brooklynheightsdelibk.com/food-delivery-TW/brooklyn-heights-deli-brooklyn.26487.r?QueryStringValue=naBjkh0MsbYIefUaOVwkAg==","BROOKLYN ","40.69132","-73.995972","2","33","7","3002730","3002740040","Brooklyn Heights-Cobble Hill                                               "
"251","DAVES LIQUOR","""Family-owned store located in Far Rockaway for 15+yrs""","8704 Rockaway Beach Blvd","Far Rockaway","NY","11693","(718) 634-7591","Food and Beverage","https://www.facebook.com/Avoidhangoversstaydrunk/?hc_ref=PAGES_TIMELINE","QUEENS   ","40.587433","-73.81232","14","32","94202","4303426","4161210138","Hammels-Arverne-Edgemere                                                   "
"252","Namastuy Healing Collective","""Yoga studio - Healing center""","325 Lewis Avenue","Brooklyn","NY","11221",,"Other","http://www.namastuy.com","BROOKLYN ","40.684536","-73.935351","3","36","295","3045728","3016550005","Stuyvesant Heights                                                         "
"253","Ltauha","Restaurant","55-50 Myrtle Avenue","Ridgewood","NY","11385",,"Food and Beverage","http://www.ltauha.com/","QUEENS   ","40.700044","-73.90682","5","34","553","4085459","4035460056","Ridgewood                                                                  "
"254","Di Palo's Fine Foods","""Family-owned Italian market since 1925""","200 Grand Street","Manhattan","NY","10012",,"Retail","https://www.facebook.com/Di-Palos-127452200642761/","MANHATTAN","40.719144","-73.996739","2","1","41","1006992","1004710052","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"255","George Ranalli Architect","""Since 1977, award-winning architecture and design at every scope and scale""","1361 Amsterdam Avenue","New York","NY","10027","(212) 255-6263","Service","http://www.georgeranalli.com","MANHATTAN","40.814216","-73.95564","9","7","21303","1081781","1019670040","Manhattanville                                                             "
"256","Baby Fingers LLC","""Sign Language and Music classes for babies, toddlers, preschoolers, families"""," New York","New York","NY","10024","(212) 874-5978","Service","http://mybabyfingers.com",,,,,,,,,
"257","BREAD","Italian Café","40 Kenmare Street","New York","NY","10012",,"Food and Beverage","http://www.bread-nolita.com","MANHATTAN","40.720752","-73.995368","2","1","41",,,"SoHo-TriBeCa-Civic Center-Little Italy                                     "
"258","Tinkersphere","Technology and Electronics Hobby Supply Retail Store","304 East 5th Street","New York","NY","10003",,"Retail","http://tinkersphere.com/","MANHATTAN","40.726593","-73.988567","3","2","38","1006206","1004460009","East Village                                                               "
"331","Burger Club","Restaurant","3202 30th Avenue","Astoria","NY","11102",,"Food and Beverage","http://www.burger-club.com","QUEENS   ","40.766453","-73.92046","1","22","63","4008590","4006160133","Astoria                                                                    "
"259","Papi's Grill","Mexican restaurant","161 7th Avenue","Brooklyn","NY","11215","(917) 909-0589","Food and Beverage","http://www.papisgrillbrooklyn.com/","BROOKLYN ","40.672223","-73.977123","6","39","157","3025041","3010740001","Park Slope-Gowanus                                                         "
"260","Sal's","Greasy spoon with delicious sandwiches","810 Franklin","Brooklyn","NY","11225","(787) 203-2669","Food and Beverage",,,,,,,,,,
"261","The Ink Pad","Rubber Stamp/Craft Store","37 7th Avenue","New York","NY","10011","(212) 463-9876","Retail","http://theinkpadnyc.com","MANHATTAN","40.737718","-74.000281","2","3","71","1010598","1006080009","West Village                                                               "
"262","On The Move","Bicycle Shop","259 13th Street","Brooklyn","NY","11215","(718) 768-4998","Retail","http://onthemovenyc.com/","BROOKLYN ","40.667059","-73.988883","6","39","139","3023169","3010280048","Park Slope-Gowanus                                                         "
"263","Min-k","Clothing boutique","145 5th Avenue","New York","NY","11217","(718) 789-1329","Retail","https://minjikim.carbonmade.com","BROOKLYN ","40.678124","-73.979288","6","39","131","3019400","3009470009","Park Slope-Gowanus                                                         "
"264","Silvana","Restaurant, Bar, Live Music","300 West 116th Street","New York","NY","10026","(646) 692-4935","Food and Beverage","http://silvana-nyc.com","MANHATTAN","40.804505","-73.955593","10","9","20102","1055855","1018480053","Central Harlem South                                                       "
"369","I Love Foods","Supermarket","48-18 Broadway","Queens","NY","11103","(718) 956-0040","Retail","https://www.facebook.com/thenewilovefoodssupermarket/","QUEENS   ","40.755907","-73.912492","1","26","161","4013642","4007340038","Astoria                                                                    "
"265","Minton's Playhouse","Jazz Club, Bar, Restaurant","206 West 118th Street","New York","NY","10026","(212) 243-2222","Food and Beverage","http://mintonsharlem.com","MANHATTAN","40.804663","-73.951915","10","9","218","1058396","1019230038","Central Harlem South                                                       "
"266","Brooklyn Whiskers","Vegan bakery (with a kitty theme!)","760 Bushwick Avenue","Brooklyn","NY","11221","(718) 975-7044","Food and Beverage","http://www.brooklynwhiskersbakery.com/","BROOKLYN ","40.695666","-73.929293","4","34","393","3073429","3032290026","Bushwick South                                                             "
"267","Patrick J. Falci &a Daughters Inc.","Real estate sales","164-11 Northern Blvd","Flushing","NY","11358",,"Service","http://Falcianddaughters.com","QUEENS   ","40.760699","-73.80185","7","19","1171","4120511","4053390005","Murray Hill                                                                "
"268","Khalifa's Animal House","Dog Walking Company","121-A Hull Street","Brooklyn","NY","11233","(347) 331-4722","Service","http://khalifashouse.com",,,,,,,,,
"269","Woodwork","Soccer, sports bar with a great neighborhood vibe","538 Vanderbilt Avenue","Brooklyn","NY","11217","(718) 857-5777","Food and Beverage","http://woodworkbk.com","BROOKLYN ","40.680631","-73.967807","8","35","163",,,"Prospect Heights                                                           "
"270","Suzette LaValle Boutique","""Fresh Fashion Accessories Gifts and Home Items, at Affordable Prices""","726 Franklin Avenue","Brooklyn","NY","11238","(646) 281-4029","Retail","http://www.suzettelavalle.com","BROOKLYN ","40.673707","-73.956884","8","35","217","3029281","3011680053","Crown Heights North                                                        "
"271","Confectionary!","Vegan chocolate shop","440 East 9th Street","New York","NY","10009",,"Food and Beverage","https://www.facebook.com/pg/confectioneryNYC/about/?ref=page_internal","MANHATTAN","40.727775","-73.983916","3","2","32","1077642","1004360029","East Village                                                               "
"272","Mala Project","Modern Chinese","122 1st Avenue","New York","NY","10009",,"Food and Beverage","http://malaproject.nyc/","MANHATTAN","40.727188","-73.985572","3","2","32","1005815","1004350004","East Village                                                               "
"273","The Wayland","Bar","700 E 9th Street","New York","NY","10009",,"Food and Beverage","https://thewaylandnyc.com/","MANHATTAN","40.725224","-73.977848","3","2","2602","1004529","1003780009","Lower East Side                                                            "
"274","Hub Thai","Thai restaurant","105 Avenue Avenue","New York","NY","10009",,"Food and Beverage","http://hubthainyc.com/",,,,,,,,,
