"project_name","project_received_date","project_id_number_op","project_description_type","impacted_park_id_s","impacted_park_name_s","address_intersection","borough","multisite_project","sponsoring_agency_entity","primary_scope_of_work","impacted_parks_division_s","park_impact_type","contract_value_op","current_phase","scoping_initiated_kick_off_op","scoping_response_due_date_op","design_consultant_op","public_design_commission_approval_required","preliminary_public_design_commission_approval","final_public_design_commission_approval","mass_mailing_1_received_date","mass_mailing_2_received_date","mass_mailing_3_received_date","design_completion_date_op","construction_manager_op","construction_manager_company_op","construction_kickoff_op","expected_construction_end_date_op","actual_construction_end_date_op","contractor_for_construction_permit_firm_name","construction_permit_request_received_date","construction_permit_id","latest_site_visit","forestry_permit_status","forestry_permit_id_number","construction_permit_special_conditions","borough_approval_date","permit_issuance_date","permit_start_date","original_permit_expiration_date","latest_permit_extension_amendment_request_date","latest_permit_extension_amendment_issuance_date","latest_permit_expiration_date","permit_amendment_content","exploratory_permit_id","substantial_completion_date_op","final_inspection_date","latest_inspection_site_visit","punchlist_generated","conditional_letter_issued","final_acceptance_of_park_by_borough","final_acceptance_letter_date","created","modified","coordinates"
"WHEDco Development Staging at Melrose Commons Site 62","2018-02-26T00:00:00.000",,"WHEDco is seeking a construction permit to stage on parkland for their adjacent development. The site is at 163rd St & Melrose Ave. Parks Capital has an active capital project at the park. The land is currently owned by HPB and WHEDco is using the land for staging. Land transfer from HPD to Parks was scheduled to happen in March 2018, but did not.","X350;","A. Badillo Community Rose Garden;","163rd St & Melrose Ave, Bronx, NY","Bronx","Single Site","Parks - Planning","Private Development","Capital Projects;#Borough Forestry;#Planning and Parklands","Staging;#Partial Park Closure;#New Property",,"Final-Accepted (Closed Out)",,,,,,,,,,,,,,,,"Bronx Commons Builders LLC","2018-03-28T00:00:00.000","X350.20180501","2020-02-03T00:00:00.000","Approved","BX-43","The other contact is James Travis at JTravis@bfcnyc.com","2018-05-25T00:00:00.000",,"2018-08-17T00:00:00.000","2019-12-31T00:00:00.000","2020-08-03T00:00:00.000","2020-08-04T00:00:00.000","2020-09-01T00:00:00.000","E1 - Extension through 4/1/20
E2 - Extension through 9/1/20 to fix windows",,,"2020-09-09T00:00:00.000","2020-09-09T00:00:00.000",,,"2020-09-09T00:00:00.000","2020-09-09T00:00:00.000","2018-04-11T17:17:00.000","2020-09-09T14:35:00.000","40.824705, -73.912415"
"Above Grade Facility Hardening of Fan Plant 7207, Joralemon tunnel Fan Plant","2016-09-27T00:00:00.000","E-31682","Above Grade Facility Hardening of Fan Plant 7207, Joralemon tunnel Fan Plant","M005;","The Battery;","S Ferry Bus Loop","Manhattan","Single Site","MTA NYCT","Resiliency","Borough Operations;#Borough Forestry;#Conservancy","Staging;#Excavation",,"Final-Accepted (Closed Out)",,,,"No",,,,,,,,,,,,"Nagan Construction Inc.","2018-01-22T00:00:00.000","M005.20180219","2018-01-09T00:00:00.000",,,,"2018-04-02T00:00:00.000",,"2018-04-09T00:00:00.000","2019-07-28T00:00:00.000",,,,,,,,,,,"2020-01-06T00:00:00.000","2020-01-09T00:00:00.000","2018-02-19T14:13:00.000","2020-09-09T09:03:00.000","40.701622,-74.013623"
"Planting of New Trees In Soundview Park, Bronx","2020-09-02T00:00:00.000","D264004","Work Order 11, mitigation plantings for Hunts Point Interstate Access Improvements Phase 1","X118;","Soundview Park;",,"Bronx","Single Site","SDOT","Park Improvement/New Park","Central Forestry","Park Improvement",,"Permitting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2020-09-08T19:12:00.000","2020-09-08T19:48:00.000",
"Battery Park Wharf Rehabilitation","2016-09-07T00:00:00.000",,"Marine construction services for NYCEDC - Battery Park Wharf Rehabilitation; Re-establish the original structural capacity of the pile supported low-level relieving platform","M005;","The Battery;",,"Manhattan","Single Site","EDC","Retaining Wall/Seawall","Borough Operations;#Arts & Antiquities;#Planning and Parklands;#Other;#Conservancy","Other;#Park Improvement",,"Construction",,,,,,,,,,,,,,,,"D' Onofrio General Contractor Corp.","2016-09-26T00:00:00.000","M005.20161116; M005.20191104",,"Not Required",,,"2019-11-04T00:00:00.000","2016-11-16T00:00:00.000","2019-11-13T00:00:00.000","2020-01-31T00:00:00.000","2020-08-27T00:00:00.000","2020-09-08T00:00:00.000","2020-12-31T00:00:00.000","A1 - extension through 7/31/20
E2 - Extension through 12/31/20",,,,,,,,,"2017-11-09T13:41:00.000","2020-09-08T16:56:00.000","40.703454, -74.017626"
"Track Segments Replacement at Avenue S & McDonald Ave","2019-02-22T00:00:00.000","S-32176","Crane placement for one day of weekend work at McDonald Playground","B244;","McDonald Playground;","McDonald Ave between Ave S and Ave T","Brooklyn","Single Site","MTA NYCT",,"Borough Operations;#Borough Forestry","Staging",,"Presumed Complete",,,,,,,,,,,,,,,,"LK Comstock","2020-02-07T00:00:00.000","B244.20200305",,,,"Crane pick permitted the weekend of March 28th only. Without separate written authorization, after March 30th, only restoration work is permitted.",,,"2020-03-23T00:00:00.000","2020-04-23T00:00:00.000","2020-05-07T00:00:00.000","2020-05-14T00:00:00.000","2020-07-01T00:00:00.000","Extended to July 1 and additional staging added in.",,,,,,,,,"2020-03-05T16:40:00.000","2020-09-08T16:45:00.000","40.600397, -73.972648"
"3514 Surf Ave Controlled Access Zone on Boardwalk","2018-03-24T00:00:00.000",,"Per DOB requirements, the contractor is proposing a controlled access zone with yodock barriers and chain link fence on top, which would be installed on the boardwalk.","B169;","Coney Island Beach & Boardwalk;","3514 Surf Ave, Brooklyn","Brooklyn","Single Site","Parks - Planning","Private Development","Borough Operations;#Capital Projects;#Planning and Parklands","Staging",,"Final-Accepted (Closed Out)",,,,,,,,,,,,,,,,"Hudson Meridian Construction Group, LLC","2018-06-22T00:00:00.000","B169.20180702","2019-10-15T00:00:00.000","Not Required",,,"2018-04-19T00:00:00.000",,"2018-07-02T00:00:00.000","2019-05-31T00:00:00.000","2019-12-12T00:00:00.000","2019-12-13T00:00:00.000","2020-04-01T00:00:00.000","E1 - Extension through 9/30/19. Approved at site visit with Comm Maher on 6/4/19
E2 - Extension through 12/31/19. Approved at site visit with Jim Morris on 10/15.
E3 - Extension thru 4/1/20. Approved at site visit w Chris Yandoli & BC Maher on 12/12",,,,"2020-09-08T00:00:00.000",,,,,"2018-07-02T11:34:00.000","2020-09-08T16:22:00.000","40.571861, -74.000699"
"3514 Surf Avenue Boardwalk Ramps","2018-01-02T00:00:00.000",,"Developer has a project that will require existing ramps leading to the boardwalk to be closed and removed during the duration of the project. During construction, they will install new ramps leading to the boardwalk.  The ramps are located on West 35th St and West 36th St.","B169;","Coney Island Beach & Boardwalk;","3514 Surf Ave","Brooklyn","Single Site","Parks - Planning","Park Improvement/New Park","Borough Operations;#Capital Projects;#Planning and Parklands","Staging;#Partial Park Closure;#Park Improvement",,"Final-Accepted (Closed Out)",,,,"Yes",,"2019-01-03T00:00:00.000",,,,,,"Hudson Meridian Construction Group",,,,"Hudson Meridian",,"B169.20180129","2019-10-15T00:00:00.000","Not Required",,"Amendment 2 required a bond for $250,000. Bond # 20BSBHT6395.
Bond was returned to Maria Rosenfeld at Red Apple Realty on 9/8/20.","2018-01-31T00:00:00.000",,"2018-02-08T00:00:00.000","2018-04-30T00:00:00.000","2019-12-12T00:00:00.000","2019-12-13T00:00:00.000","2020-04-01T00:00:00.000","A2 - Inner ramp demolition and extension through 5/31
A3 - outer ramp demolition
A4 - Extension thru 9/30/19, approved at site visit with Comm Maher on 6/4/19.
A5 -  Extension thru 12/31/19, approved at site visit with Jim Morris on 10/15/19.
A6 - Extension thru 4/1/20, approved at site visit with Chris Yandoli and Marty Maher on 12/12",,,,,,,,,"2018-01-17T14:18:00.000","2020-09-08T15:55:00.000","40.572120, -74.000270"
"Belt Parkway Ramps: Installation of Keim Coating and Chain-Link Fence","2020-08-05T00:00:00.000","VN-84AX","Installation of Keim Coating and Chain-Link Fence for the Belt Parkway Ramps:","B210W;B166;","John J Carty Park;Belt Parkway/Shore Parkway;","Intersection of Along Fort Hamilton Parkway and 100 STREET, Brooklyn","Brooklyn","Single Site","MTA B&T","Bridge Component Rehabilitation","Borough Operations;#Capital Projects","Partial Park Closure;#Access-Only",,"Construction",,,,,,,,,,,,,,,,"El Sol Contracting & Construction","2020-08-14T00:00:00.000","CNYG.20200908",,,,"1. Construction permitted on streets north of 99th St. in J. J. Carty Park
2. A field meeting is required prior to permitting construction activities elsewhere in J.J. Carty Park. 
3. Construction activities permitted on Belt Parkway/Shore Parkway permitted no sooner than 10/12/2020, and must be performed at night with a flagger for any incidental bicycle or pedestrian traffic.","2020-09-08T00:00:00.000",,"2020-09-08T00:00:00.000","2021-01-31T00:00:00.000",,,,,,,,,,,,,"2020-08-06T10:54:00.000","2020-09-08T15:29:00.000","40.613263, -74.030153"
"Reconstruction of Beach Channel Drive from Beach 116 Street to Beach 124 Street","2016-05-05T00:00:00.000","SANDHW11","New roadway pavement, new curbs and concrete sidewalks and new drainage facilities. Includes total replanting of a small greenstreet QZ660; on tree transplant in Brackley Pk. Replacement of aging water mains and some sanitary sewer work within the project area are also included. Original scope included mill & repave with longer limits but this was cut down just to reconstruction area.","Q028;QZ660;QZ661;","Beach Channel Park;Greenstreet;Greenstreet;","Beach Channel Drive and Beach 116 St","Queens","Multi Site","DDC","Roadway Reconstruction","Borough Operations;#Borough Forestry","Park Improvement;#Other;#Sidewalk Closure",,"Construction",,,,,,,,,,,,,,,,"New York Asphalt","2018-04-20T00:00:00.000","QZ660.20180425","2019-08-27T00:00:00.000","Approved","QP18-218",,"2018-05-29T00:00:00.000",,"2018-05-30T00:00:00.000","2018-12-31T00:00:00.000","2020-08-24T00:00:00.000","2020-09-08T00:00:00.000","2020-12-31T00:00:00.000","Amendment 4: Sidewalk regrading at Tribute Park.  Mural to be protected. Amendment 3: Sidewalk work adjacent to Patricia A. Brackley Park. Amendment 2: Staging Area relocated to new location within Beach Channel Park: between Beach 118th and Beach 120th Streets.",,,,,,,,,"2016-06-24T13:58:00.000","2020-09-08T15:25:00.000","40.581815, -73.839725"
"Reconstruction of Westbourne Norton Drive","2016-03-29T00:00:00.000","HWQ1187/SAND1187/SEQ200595/QED1043","Roadway reconstruction: Norton Drive from Westbourne Ave. to Coldspring Road Waterloo Place from Mott Ave. to Westbourne Ave. Westbourne Ave. from Norton Drive to Harbour Court Bay Water Ave. from Norton Drive to Waterview Street",,,"Norton Drive & Westbourne Ave","Queens","Single Site","DDC","Roadway Reconstruction",,"No Parkland Impact",,"Presumed Complete",,,"EnTech",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2016-04-10T12:56:00.000","2020-09-08T10:30:00.000","40.609163, -73.768496"
"Combined Sewers, Tide Gate Outfall, and Water Main Work in Calamus Avenue, 69th Street, and 81st Street","2012-09-05T00:00:00.000","SE814","Combined Sewers, Tide Gate Outfall, and Water Main Work in Calamus Avenue, 69th Street, and 81st Street",,,"Maurice Avenue and 69th Street","Queens","Single Site","DDC","Sewer/Water Main","Borough Forestry;#Central Forestry","No Parkland Impact",,"Presumed Complete",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2020-09-08T10:16:00.000","2020-09-08T10:29:00.000","40.735203, -73.896109"
"Quarry Ballfield Renovation","2019-03-08T00:00:00.000",,"Quarry Ballfield Renovation","X263;","Quarry Ballfields;","Quarry Road and E 181 Street, Bronx","Bronx","Single Site","Parks - Partner Group","Park Improvement/New Park","Borough Operations;#Capital Projects","Staging;#Excavation;#Partial Park Closure;#Park Improvement",,"Construction",,,,,,,,,,,,,,,,"PitCCh In Foundation","2019-07-02T00:00:00.000","X263.20190703","2019-03-21T00:00:00.000","Not Required",,,"2019-06-26T00:00:00.000",,"2019-07-08T00:00:00.000","2019-10-15T00:00:00.000","2020-07-29T00:00:00.000","2020-07-30T00:00:00.000","2020-09-30T00:00:00.000","E1 - Extension through 11/30/10
E2 - extension through 4/30/20
E3 - extension through 7/31/20
E4 - extension through 9/30/20",,,,,,,,,"2019-07-04T15:53:00.000","2020-09-07T17:12:00.000","40.851277, -73.891851"
"Mullaly Rec Center Refurb","2018-08-16T00:00:00.000",,"Mullaly Rec Center Refurb","X034;","Mullaly Park;","1020 Jerome Ave, Bronx","Bronx","Single Site","Parks - Partner Group","Public Building","Borough Operations","Park Improvement;#Staging",,"Construction",,,,,,,,,,,"Consultant Designer","Urban Form Studio",,,,"Fara Construction","2019-10-30T00:00:00.000","X034.20191018","2018-08-16T00:00:00.000","Not Required",,,"2019-10-07T00:00:00.000",,"2019-11-11T00:00:00.000","2020-08-31T00:00:00.000","2020-08-27T00:00:00.000","2020-08-28T00:00:00.000","2021-01-31T00:00:00.000","E1 - Extension through 1/31/21",,,,,,,,,"2019-10-16T16:25:00.000","2020-09-07T17:11:00.000","40.831816, -73.925294"
"Install Sherman Creek Park Living Shoreline Project","2020-05-19T00:00:00.000",,"Install Sherman Creek Park Living Shoreline Project","M300;","Sherman Creek;","Intersection of Dyckman Street and 10th Avenue, Manhattan","Manhattan","Single Site","Parks - Partner Group","Park Improvement/New Park","Borough Operations;#Conservancy;#Natural Resources Group (NRG)","Staging",,"Construction",,,,,,,,,,,,,,,,"New York Restoration Project","2020-05-19T00:00:00.000","M300.20200526",,,,,"2020-05-27T00:00:00.000",,"2020-06-08T00:00:00.000","2020-09-30T00:00:00.000",,,"2020-09-30T00:00:00.000",,,,,,,,,,"2020-05-21T12:19:00.000","2020-09-07T17:08:00.000","40.859547, -73.922107"
"Debris Removal at Peter J. Sharp Boathouse","2019-04-18T00:00:00.000",,"Debris Removal at Peter J. Sharp Boathouse","M300;","Sherman Creek;","Harlem River Dr and 10th Avenue, Manhattan","Manhattan","Single Site","Parks - Partner Group","Environmental Improvement/Remediation","Borough Operations;#Environmental Remediation;#Conservancy;#Natural Resources Group (NRG)","Excavation;#Staging",,"Construction",,,,,,,,,,,,,,,,"Row New York","2019-07-30T00:00:00.000","M300.20190802",,"Not Required",,"i.	Vehicle use on the park pedestrian paths/bike paths is restricted. 
ii.	No heavy trucks should be staging near the boathouse. The pick-up truck and 20’ long trailer should be parked parallel to the storage container which is shown in Attachment B.","2019-08-02T00:00:00.000",,"2019-08-23T00:00:00.000","2019-11-30T00:00:00.000","2019-12-30T00:00:00.000","2020-01-07T00:00:00.000","2020-04-30T00:00:00.000","E1 - Extension through 1/31/20 due to SBS permit delays
E2 -  Extension through 4/30/20 due to SBS permit delays","M300.E.20200715",,,,,,,,"2019-08-02T13:13:00.000","2020-09-07T17:07:00.000","40.856517, -73.921724"
"Replace casters on sea rail sliding gate","2020-03-20T00:00:00.000",,"Replace casters on the existing sea rail sliding gate","B135;","Newtown Barge Playground;","5 Commercial Street, Brooklyn, NY","Brooklyn","Single Site","EDC","Retaining Wall/Seawall","Borough Operations;#Planning and Parklands","Staging;#Park Improvement",,"Permitting",,,,,,,,,,,,,,,,"Galvin Bros","2020-03-20T00:00:00.000","B135.20200320",,"Not Required",,,"2020-03-20T00:00:00.000",,"2020-03-25T00:00:00.000","2020-08-31T00:00:00.000",,,"2020-08-31T00:00:00.000",,,,,,,,,,"2020-03-20T16:10:00.000","2020-09-07T17:05:00.000","40.736101, -73.960410"
"Demo of House at 28-16 Edgewater Rd","2020-06-25T00:00:00.000",,"Demo of House at 28-16 Edgewater Rd","Q309;","Jamaica Bay Park;","28-16 Edgewater Rd Far Rockaway, NY 11691","Queens","Single Site","Parks - Partner Group","Park Improvement/New Park","Borough Operations;#Natural Resources Group (NRG)","Staging;#Excavation",,"Construction",,,,,,,,,,,,,,,,"Always First Demolition NYC","2020-06-25T00:00:00.000","Q309.20200625",,"Not Required",,,"2020-06-25T00:00:00.000",,"2020-06-29T00:00:00.000","2020-08-31T00:00:00.000","2020-08-24T00:00:00.000","2020-08-25T00:00:00.000","2020-10-31T00:00:00.000","E1 - extension through 10/31/20",,,,,,,,,"2020-06-25T17:01:00.000","2020-09-07T17:04:00.000","40.611378, -73.763203"
"Hudson Street Streetscape","2017-04-04T00:00:00.000","60402","Design-build reconstruction of Hudson Street from West Houston Street to Canal Street, Borough of Manhattan. Design elemetns include sidewalk extension, dedicated bicycle lane, planting beds and public amenities.","MZ198;","GREENSTREET;","Hudson St & Canal St, Manhattan","Manhattan","Multi Site","EDC","Roadway Reconstruction","Borough Operations;#Borough Horticulture;#Borough Forestry;#Central Forestry","Other",,"Permitting",,,"Sam Schwartz","Yes","2018-04-01T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2017-09-19T11:28:00.000","2020-09-14T16:32:00.000",
"Pier 42 Construction","2020-08-19T00:00:00.000",,"Pier 42 Construction","M369;","Pier 42;","Montgomery Street & South Street, Manhattan","Manhattan","Single Site","EDC","Park Improvement/New Park","Capital Projects;#Borough Operations;#Planning and Parklands","Staging;#Park Improvement;#Excavation",,"Permitting",,,,,,,,,,,"Project Manager","LiRO Engineers, Inc.",,,,"LiRO Engineers, Inc.","2020-08-14T00:00:00.000","M369.20200819",,,,,"2020-08-19T00:00:00.000",,"2020-09-01T00:00:00.000","2022-08-31T00:00:00.000",,,,,,,,,,,,,"2020-08-24T13:21:00.000","2020-09-07T17:02:00.000","40.710599, -73.980898"
"MCU Parking Lot Staging for Adjacent Development","2018-11-30T00:00:00.000",,"Install a construction fence and stage along the west curb line of the MCU parking lot","B336;","Abe Stark Skating Rink;","Surf Ave & W 20th St","Brooklyn","Single Site","Private Developer","Private Development","Borough Operations;#Revenue/Concession","Staging;#Sidewalk Closure",,"Construction",,,,,,,,,,,,,,,,"West 20th Construction LLC","2018-11-30T00:00:00.000","B336.20190206","2018-12-17T00:00:00.000","Not Required",,"i.	The fence cannot obstruct or take up parking spaces
ii.	The exit out of the parking lot along the west curb line (at W 20th St) must be maintained
iii.	Upon permit expiration, the property must either be restored in-kind with chain link fence or to a final treatment approved by the Borough
iv.	Permit expires when the land is no longer under Parks’ jurisdiction or when the future 20th Street construction begins","2019-01-23T00:00:00.000",,"2019-02-15T00:00:00.000","2019-09-30T00:00:00.000","2019-08-16T00:00:00.000","2019-09-16T00:00:00.000","2020-05-15T00:00:00.000","E1 - Extension through 5/15/2020",,,,,,,,,"2019-02-06T15:51:00.000","2020-09-07T17:01:00.000","40.574299, -73.986423"
"W 20th Street Extension","2020-04-01T00:00:00.000",,"W 20th Street Extension in Coney Island","B336;","Abe Stark Skating Rink;","W 20th St & Surf Ave, Coney Island","Brooklyn","Single Site","EDC","New Roadway/Road Extension","Borough Operations;#Borough Forestry;#Planning and Parklands;#Revenue/Concession","Staging;#Excavation",,"Permitting",,,,,,,,,,,,,,,,"Triumph Construction Corp",,,,,,,,,,,,,,,,,,,,,,,"2020-08-26T14:28:00.000","2020-09-07T17:00:00.000","40.574054, -73.986412"
"NYRR Mile Marker Installation","2019-11-01T00:00:00.000",,"NYRR Mile Marker Installation","X118;B057;B018;M042;","Soundview Park;Marine Park;Canarsie Park;Inwood Hill Park;",,"Bronx;#Brooklyn;#Manhattan","Multi Site","Parks - Partner Group","Park Improvement/New Park","Borough Operations;#Borough Forestry","Park Improvement;#Excavation",,"Construction",,,,"Yes",,"2019-10-21T00:00:00.000",,,,,,,,,,"Nela Visual","2019-11-19T00:00:00.000","CNYG.20191125","2019-11-08T00:00:00.000","Approved",,,"2019-11-08T00:00:00.000",,"2019-12-12T00:00:00.000","2020-02-28T00:00:00.000","2020-01-07T00:00:00.000","2020-01-07T00:00:00.000","2020-03-31T00:00:00.000",,,,,,,,,,"2019-11-08T11:56:00.000","2020-09-07T16:59:00.000",
"Install Timber Rail and Gate","2018-10-01T00:00:00.000",,"Install Timber Rail and Gate  for Soundview Ferry Landing","X088;","Pugsley Creek Park;",,"Bronx","Single Site","EDC","Park Improvement/New Park","Borough Operations;#Borough Forestry;#Planning and Parklands","Staging;#Park Improvement",,"Construction",,,,"Yes","2019-11-18T00:00:00.000","2019-11-18T00:00:00.000",,,,,,,,,,"City & County Paving","2019-11-27T00:00:00.000","X088.20191220; X088.20200203","2019-12-11T00:00:00.000","Approved",,,"2019-12-19T00:00:00.000",,"2020-01-06T00:00:00.000","2020-04-30T00:00:00.000",,,"2020-04-30T00:00:00.000",,,,,,,,,,"2019-12-21T12:34:00.000","2020-09-07T16:58:00.000","40.805501, -73.848757"
"Coney Island Amusements East Expansion Project","2020-01-21T00:00:00.000",,"Coney Island Amusements East Expansion Project","B587;","Park;","W 16th St & Boardwalk","Brooklyn","Single Site","EDC","Park Improvement/New Park","Borough Operations;#Borough Forestry;#Revenue/Concession;#Planning and Parklands","Staging;#Excavation;#Park Improvement;#Sidewalk Closure;#New Property",,"Construction",,,,,,,,,,,,,,,,"Central Amusement International","2020-05-12T00:00:00.000","B587.20200131; B587.20200515","2020-02-20T00:00:00.000","Pending",,"i.	At Site A, work may commence onsite only after Parks has approved a tree protection plan. 12 spaces for parking must be provided for Parks lifeguards. 
ii.	At Sites C, D, and E (street ends at W 12th, Stillwell, W 15th), one boardwalk access ramp must remain open to the public at all times. Security lighting must be added to the open boardwalk access ramps.
iii.	Emergency access must be maintained.
iv.	Access to the sewer manholes must be maintained for DEP. 
v.	Access under the boardwalk must be maintained for Parks","2020-02-21T00:00:00.000",,"2020-05-15T00:00:00.000","2020-07-31T00:00:00.000",,,"2020-07-31T00:00:00.000",,,,,,,,,,"2020-01-31T17:04:00.000","2020-09-07T16:56:00.000","40.573134, -73.982474"
"Controlled Access Zone for Parcel G Development","2019-11-11T00:00:00.000",,"Controlled Access Zone for Parcel G Development","Q471;","Hunter's Point South Park;","56th Ave & 2nd Street, Long Island City, NY","Queens","Single Site","Parks - Planning","Park Improvement/New Park","Borough Operations;#Borough Forestry;#Planning and Parklands","Staging;#Partial Park Closure;#Park Improvement",,"Construction",,,,,,,,,,,,,,,,"Gilbane Residential Construction","2019-11-11T00:00:00.000","Q471.20200601","2019-12-04T00:00:00.000","Approved",,,"2020-05-14T00:00:00.000",,"2020-06-01T00:00:00.000","2022-05-31T00:00:00.000",,,"2022-05-31T00:00:00.000",,,,,,,,,,"2019-12-21T12:15:00.000","2020-09-07T16:53:00.000","40.738950, -73.960041"
"WSFSSH Development - Construction and Park Restoration","2018-03-05T00:00:00.000",,"WSFSSH Development Adjacent to Anibal Aviles Playground – Construction and Park Restoration Phases","M200A;","Anibal Aviles Playground;","108th Street and Amsterdam and Columbus Avenue, Manhattan","Manhattan","Single Site","Parks - Planning","Park Improvement/New Park","Borough Operations;#Borough Forestry;#Central Forestry;#Planning and Parklands","Staging;#Excavation;#Partial Park Closure;#Park Improvement",,"Construction",,,,,,,,,,,,,,,,"Procida","2019-03-07T00:00:00.000","M200A.20190314","2019-02-20T00:00:00.000","Approved","WSP103MF18",,"2019-03-29T00:00:00.000",,"2019-04-01T00:00:00.000","2021-02-19T00:00:00.000",,,"2021-02-19T00:00:00.000",,,,,,,,,,"2019-03-14T11:19:00.000","2020-09-07T16:19:00.000","40.801306, -73.963214"
"Site Prep and Construction of Gilder Center","2018-08-01T00:00:00.000",,"Construction of AMNH's Gilder Center","M053;","Theodore Roosevelt Park;","415 Columbus Ave, New York","Manhattan","Single Site","DCulA","Public Building","Borough Operations;#Borough Forestry;#Capital Projects;#Legal/MOUs;#Environmental Review (EIS/EAS)","Staging;#Excavation;#Partial Park Closure;#Sidewalk Closure;#Park Improvement",,"Construction",,,,,,,,,,,,,,,,"Tishman Construction Corporation of New York dba AECOM Tishman","2018-08-10T00:00:00.000","M053.20180914; M053.20200908","2019-09-24T00:00:00.000","Approved","WSU318MF18",,"2020-09-03T00:00:00.000",,"2018-09-18T00:00:00.000","2020-09-17T00:00:00.000","2020-09-02T00:00:00.000","2020-09-08T00:00:00.000","2022-09-17T00:00:00.000","We issued two separate permits for this project.",,,,,,,,,"2018-09-06T16:11:00.000","2020-09-07T15:47:00.000","40.782015, -73.975222"
"Controlled Access Zone for 425 Grand Concourse","2019-07-01T00:00:00.000",,"Controlled Access Zone for 425 Grand Concourse","X106;","Garrison Playground;","425 Grand Concourse, Bronx","Bronx","Single Site","Parks - Planning","Park Improvement/New Park","Borough Operations;#Borough Forestry;#Capital Projects;#Planning and Parklands","Staging;#Park Improvement;#Partial Park Closure",,"Construction",,,,,,,,,,,,,,,,"Monadnock Construction","2019-12-09T00:00:00.000","X106.20191218",,"Approved",,,"2020-02-12T00:00:00.000",,"2020-02-13T00:00:00.000","2022-02-12T00:00:00.000",,,"2022-02-12T00:00:00.000",,,,,,,,,,"2019-12-18T14:35:00.000","2020-09-07T11:09:00.000","40.817261, -73.928434"
"Buckeye Pipeline at Bayside Site","2020-06-01T00:00:00.000",,"Buckeye Pipeline at Bayside Site","B529;","Bushwick Inlet Park;",,"Brooklyn","Single Site","Parks - Planning","Environmental Improvement/Remediation","Borough Operations;#Environmental Remediation;#Planning and Parklands","Staging;#Excavation",,"Permitting",,,,"No",,,,,,,,,,,,"Buckeye Partners , L.P.",,,,,,,,,,,,,,,,,,,,,,,"2020-09-07T10:41:00.000","2021-02-22T10:09:00.000",
"Gauging and Recovery of NAPL","2019-04-04T00:00:00.000","NYSDEC Site No. 224055","NatGrid Gauging and Recovery of NAPL","B529;","Bushwick Inlet Park;","North 11th St & Kent Ave, Brooklyn","Brooklyn","Single Site","Parks - Planning","Environmental Improvement/Remediation","Borough Operations;#Environmental Remediation;#Legal/MOUs;#Planning and Parklands","Excavation;#Staging",,"Construction",,,,,,,,,,,,,,,,"National Grid",,"B529.20190404",,"Not Required",,,,,"2019-05-06T00:00:00.000","2022-05-05T00:00:00.000",,,"2022-05-05T00:00:00.000",,,,,,,,,,"2019-04-08T11:46:00.000","2020-09-07T10:28:00.000","40.723313, -73.960546"
"Install Frank Stella Sculpture at NY Aquarium","2020-02-01T00:00:00.000",,"Install Frank Stella Sculpture","B080;","Asser Levy Park;","Surf Ave & W 10th St, Coney Island","Brooklyn","Single Site","DCulA","Park Improvement/New Park","Borough Operations;#Arts & Antiquities","Staging;#Excavation",,"Permitting",,,,"Yes","2020-05-18T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2020-05-27T11:00:00.000","2020-09-07T10:08:00.000","40.574857, -73.976822"
"Citi Bike expansion - Randall's Island","2020-08-07T00:00:00.000",,"Expansion of Citi Bike service to Randall's Island","M104;","Randall's Island Park;",,"Manhattan","Single Site","CDOT",,"Borough Operations;#Conservancy","Park Improvement",,"Permitting",,,,,,,,,,,,,,,,"Citi Bike, Lyft","2020-09-03T00:00:00.000","M104.20200904",,,,,"2020-09-04T00:00:00.000",,"2020-09-08T00:00:00.000","2020-10-31T00:00:00.000",,,,,,,,,,,,,"2020-08-14T12:51:00.000","2020-09-04T11:53:00.000","40.793054, -73.922675"
"Main Bridge Cable Inspection and Rehabilitation at the Robert F. Kennedy Bridge","2019-10-22T00:00:00.000","RK-20","Installation of a compressor in support of Main Bridge Cable Inspection and Rehabilitation at the Robert F. Kennedy Bridge","Q004;","Astoria Park;","Hoyt Ave N. and 19th St","Queens","Multi Borough","MTA B&T","Bridge Component Rehabilitation","Borough Operations","Staging",,"Construction",,,,,,,,,,,,,,,,"Skanska Koch","2020-08-20T00:00:00.000","CNYG.20200902",,"Not Required",,,"2020-08-26T00:00:00.000",,"2020-09-04T00:00:00.000","2020-12-04T00:00:00.000",,,,,,,,,,,,,"2020-09-02T18:36:00.000","2020-09-03T09:57:00.000","40.776600, -73.924163"
