"manhattan_cooperatives_comparable_properties_boro_block_lot","manhattan_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","manhattan_cooperatives_comparable_properties_neighborhood","manhattan_cooperatives_comparable_properties_building_classification","manhattan_cooperatives_comparable_properties_total_units","manhattan_cooperatives_comparable_properties_year_built","manhattan_cooperatives_comparable_properties_gross_sqft","manhattan_cooperatives_comparable_properties_est_gross_income","manhattan_cooperatives_comparable_properties_gross_income_per_sqft","manhattan_cooperatives_comparable_properties_full_market_value","manhattan_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_est_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_dist_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_est_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_dist_from_coop_in_miles"
"1-01336-0010","315 43 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"MIDTOWN EAST","D4-ELEVATOR","143","1928","94516","3048141","32.3","14800000","157","1-01320-0018","235 46 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","MIDTOWN EAST","D1-ELEVATOR","63","1938","49914","1609648","32.2","7800000","156","0.2","1-01393-0040","74 79 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (59-79)","D3-ELEVATOR","42","1899","62472","2542084","40.7","12800000","205","1.8"
"1-00771-0020","233 21 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"CHELSEA","D4-ELEVATOR","31","1920","20748","525000","25.3","2350000","113","1-00909-0043","220 29 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","MURRAY HILL","D9-ELEVATOR","82","1910","41094","1288032","31.3","6240000","152","0.95","1-01406-0054","993 LEXINGTON AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (59-79)","D7-ELEVATOR","39","1914","73396","2431171","33.1","11800000","161","2.6"
"1-00816-0062","36 15 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"FLATIRON","D0-ELEVATOR","12","1909","31272","950000","30.4","4600000","147","1-00773-0027","225 23 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","CHELSEA","D7-ELEVATOR","138","1930","66524","1703000","25.6","7610000","114","0.55","1-00798-0066","142 23 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","CHELSEA","D9-ELEVATOR","70","1989","48680","1832000","37.6","9210000","189","0.4"
"1-00444-0033","88 3 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"EAST VILLAGE","C6-WALK-UP","22","1900","8845","221125","25","988000","112","1-00445-0025","118 4 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","EAST VILLAGE","C1-WALK-UP","24","1900","8270","303114","36.7","1520000","184","0.05","1-00407-0032","224 AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","ALPHABET CITY","C7-WALK-UP","28","1905","15174","689181","45.4","3470000","229","0.6"
"1-01374-0069","785 5 AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","1","10022","40.764627","-73.972745","8","4","11401","1040765","1013740069","Upper East Side-Carnegie Hill                                              ","UPPER EAST SIDE (59-79)","D4-ELEVATOR","68","1963","174779","5299299","30.3","25700000","147","1-01581-0049","1596 YORK AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (79-96)","D8-ELEVATOR","237","1968","241983","7337151","30.3","35500000","147","1.5","1-01343-0049","956 2 AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","MIDTOWN EAST","D6-ELEVATOR","121","1959","115000","3388075","29.5","16400000","143","0.7"
"1-01889-0061","853 END AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER WEST SIDE (96-116)","D4-ELEVATOR","24","1910","26997","932206","34.5","4690000","174","1-01868-0059","256 97 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (96-116)","D1-ELEVATOR","24","1925","26334","882623","33.5","4280000","163","0.25","1-01876-0058","2733 BROADWAY
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (96-116)","D7-ELEVATOR","29","1925","28170","1000856","35.5","5030000","179","0.15"
"1-01195-0023","11 81 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER WEST SIDE (79-96)","D4-ELEVATOR","36","1908","46086","1239252","26.9","6000000","130","1-01229-0006","265 81 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (79-96)","D3-ELEVATOR","36","1900","41137","1106276","26.9","5360000","130","0.4","1-01248-0037","302 87 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (79-96)","D9-ELEVATOR","54","1914","47067","904931","19.23","4040000","86","0.55"
"1-01365-0020","60 SUTTON PLACE
Manhattan, NY 
(40.749883999647, -73.987976999939)","1","10022","40.758571","-73.9598","6","5","10601","1040645","1013707501","Turtle Bay-East Midtown                                                    ","MIDTOWN EAST","D4-ELEVATOR","368","1951","455000","12967500","28.5","62800000","138","1-01418-0021","1201 2 AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (59-79)","D6-ELEVATOR","547","1963","566083","19444197","34.3","97800000","173","0.55","1-01465-0021","1313 YORK AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (59-79)","D6-ELEVATOR","442","1966","400612","10594781","26.4","51300000","128","0.85"
"1-01210-0019","127 79 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER WEST SIDE (79-96)","D4-ELEVATOR","132","1926","123898","2656373","21.44","11900000","96","1-01200-0015","27 86 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (79-96)","D3-ELEVATOR","64","1926","126045","2702738","21.44","12100000","96","0.4","1-01200-0025","5 86 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (79-96)","D3-ELEVATOR","85","1937","116021","2804001","24.17","12500000","108","0.4"
"1-02039-0005","269 153 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"HARLEM-CENTRAL","C6-WALK-UP","15","1920","12705","139755","11","395000","31.1","1-01903-0062","1975 ADAM
Manhattan, NY 
(40.749883999647, -73.987976999939)","HARLEM-CENTRAL","C4-WALK-UP","20","1920","13940","154978","11.12","546000","39.2","1.75","1-01756-0008","9 131 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","HARLEM-CENTRAL","C4-WALK-UP","20","1926","10070","112326","11.15","380000","37.7","1.2"
"1-02179-0440","350 CABRINI BOULEVARD
Manhattan, NY 
(40.749883999647, -73.987976999939)","1","10040","40.856649","-73.937151","12","10","275","1064378","1021790440","Washington Heights North                                                   ","WASHINGTON HEIGHTS UPPER","D4-ELEVATOR","76","1935","91968","1600000","17.4","6510000","71","1-01205-0029","315 CENTRAL PARK
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (79-96)","D3-ELEVATOR","51","1911","109769","2280816","20.78","10200000","93","5.3","1-01236-0010","2401 BROADWAY
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (79-96)","D6-ELEVATOR","79","1924","164530","3268387","19.86","14600000","89","5.4"
"1-01585-0017","529 88 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER EAST SIDE (79-96)","C6-WALK-UP","20","1920","8805","260716","29.6","1260000","143","1-01507-0025","53 95 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (79-96)","C1-WALK-UP","18","1920","17580","574501","32.7","2780000","158","0.8","1-01562-0030","432 83 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (79-96)","C1-WALK-UP","20","1930","8345","256858","30.8","1240000","149","0.35"
"1-01502-0023","51 90 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER EAST SIDE (79-96)","D4-ELEVATOR","40","1928","51475","1438200","27.9","6970000","135","1-01585-0036","530 89 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (79-96)","D9-ELEVATOR","80","1920","48600","1435113","29.5","6950000","143","0.75","1-01518-0009","115 89 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (79-96)","D3-ELEVATOR","47","1924","52848","1392558","26.4","6750000","128","0.1"
"1-01009-0018","125 56 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"MIDTOWN WEST","D4-ELEVATOR","11","1924","9816","245400","25","1100000","112","1-01035-0005","353 44 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","MIDTOWN WEST","D1-ELEVATOR","28","1959","12864","349257","27.1","1690000","131","0.7","1-01025-0019","1691 BROADWAY
Manhattan, NY 
(40.749883999647, -73.987976999939)","MIDTOWN WEST","D9-ELEVATOR","31","1925","16500","421136","25.5","2040000","124","0.25"
"1-01056-0001","465 46 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"CLINTON","C6-WALK-UP","61","1920","59043","1335550","22.62","3770000","64","1-00495-0011","255 LAFAYETTE STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","LITTLE ITALY","C7-WALK-UP","102","1926","63587","1438050","22.62","6430000","101","2.65","1-01532-0034","222 87 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (79-96)","C5-WALK-UP","90","1920","57975","1464184","25.3","6540000","113","2.35"
"1-01604-0001","1170 5 AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","1","10029","40.789156","-73.954433","11","8","168","1051482","1016040001","East Harlem South                                                          ","UPPER EAST SIDE (96-110)","D4-ELEVATOR","60","1926","153064","3994970","26.1","19400000","127","1-01565-0035","430 86 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (79-96)","D6-ELEVATOR","133","1931","205967","5376180","26.1","26000000","126","0.95","1-01205-0029","315 CENTRAL PARK
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (79-96)","D3-ELEVATOR","51","1911","109769","2280816","20.78","10200000","93","0.8"
"1-01126-0050","32 74 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER WEST SIDE (59-79)","D4-ELEVATOR","14","1910","18569","603678","32.5","2920000","157","1-01127-0001","301 COLUMBUS AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (59-79)","D9-ELEVATOR","27","1900","32956","1084955","32.9","5260000","160","0.05","1-01120-0038","12 68 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (59-79)","D9-ELEVATOR","27","1900","10438","1113167","107","5600000","537","0.3"
"1-02136-0036","870 RIVERSIDE DRIVE
Manhattan, NY 
(40.749883999647, -73.987976999939)","1","10032","40.836686","-73.946797","12","7","247","1063310","1021360036","Washington Heights South                                                   ","WASHINGTON HEIGHTS LOWER","D4-ELEVATOR","37","1920","74879","1091735","14.58","3080000","41.1","1-02122-0069","3920 BROADWAY
Manhattan, NY 
(40.749883999647, -73.987976999939)","WASHINGTON HEIGHTS LOWER","D7-ELEVATOR","27","1910","45312","660631","14.58","2620000","58","0.3","1-02139-0145","720 170 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","WASHINGTON HEIGHTS LOWER","D1-ELEVATOR","53","1920","47814","752120","15.73","3060000","64","0.55"
"1-00150-0010","74 READE STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1","10007","40.715161","-74.006926","1","1","33","1077435","1001500010","SoHo-TriBeCa-Civic Center-Little Italy                                     ","CIVIC CENTER","D4-ELEVATOR","12","1915","17056","460512","27","2230000","131","1-00126-0013","53 PARK PLACE
Manhattan, NY 
(40.749883999647, -73.987976999939)","CIVIC CENTER","D5-ELEVATOR","116","1921","138600","3816911","27.5","18500000","133","0.2","1-00173-0017","74 LEONARD STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","CIVIC CENTER","D7-ELEVATOR","19","1920","23000","764408","33.2","3700000","161","0.15"
"1-01432-0036","236 78 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER EAST SIDE (59-79)","C6-WALK-UP","24","1910","11334","388755","34.3","1950000","172","1-01470-0029","1431A YORK AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (59-79)","C7-WALK-UP","21","1910","11300","388297","34.4","1950000","173","0.3","1-01431-0035","236 77 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (59-79)","C7-WALK-UP","17","1910","11409","404105","35.4","2030000","178","0.05"
"1-01970-0001","499 130 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"HARLEM-WEST","C6-WALK-UP","19","1901","11490","195330","17","552000","48","1-01987-0031","1484 AMSTERDAM AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","HARLEM-WEST","C7-WALK-UP","30","1905","15929","273083","17.14","1110000","70","0.2","1-02002-0019","619 135 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","HARLEM-WEST","C1-WALK-UP","20","1905","14260","180137","12.63","677000","47.5","0.4"
"1-01328-0018","233 54 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"MIDTOWN EAST","C6-WALK-UP","13","1900","6040","155530","25.8","754000","125","1-01326-0020","249 52 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","MIDTOWN EAST","C5-WALK-UP","15","1960","7040","181818","25.8","881000","125","0.1","1-01363-0047","944 1 AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","MIDTOWN EAST","C7-WALK-UP","21","1900","5849","593214","101","2980000","509","0.3"
"1-01334-0041","312 42 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"MIDTOWN EAST","D4-ELEVATOR","459","1929","261401","8435410","32.3","40900000","156","1-01336-0040","310 44 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","MIDTOWN EAST","D9-ELEVATOR","328","1929","206598","6366358","30.8","30800000","149","0.1","1-01375-0037","530 PARK AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (59-79)","D6-ELEVATOR","187","1941","190227","5651106","29.7","27400000","144","1.05"
"1-01145-0105","171 73 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER WEST SIDE (59-79)","C6-WALK-UP","11","1910","5525","173982","31.5","843000","153","1-01152-0057","244 61 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (59-79)","C1-WALK-UP","11","1900","10100","333900","33.1","1620000","160","0.65","1-01143-0046","132 72 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (59-79)","C7-WALK-UP","12","1900","8961","329262","36.7","1660000","185","0.1"
"1-01836-0031","407 CENTRAL PARK
Manhattan, NY 
(40.749883999647, -73.987976999939)","1","10000","40.782295","-73.965126","64","6","143","1000000","1011110001","park-cemetery-etc-Manhattan                                                ","MANHATTAN VALLEY","D4-ELEVATOR","28","1900","31500","598500","19","2430000","77","1-01842-0053","60 107 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","MANHATTAN VALLEY","D1-ELEVATOR","25","1940","25144","488621","19.43","1610000","64","0.3","1-01842-0057","66 107 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","MANHATTAN VALLEY","D1-ELEVATOR","25","1940","25144","488768","19.44","1610000","64","0.3"
"1-02072-0021","79 HAMILTON PLACE
Manhattan, NY 
(40.749883999647, -73.987976999939)","1","10031","40.822863","-73.950923","9","7","225","1061762","1020720021","Hamilton Heights                                                           ","HARLEM-UPPER","C6-WALK-UP","24","1910","22272","202675","9.1","572000","25.7","1-02087-0091","603 139 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","HARLEM-UPPER","C1-WALK-UP","21","1905","21885","248240","11.34","875000","40","0.2","1-02087-0088","607 139 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","HARLEM-UPPER","C1-WALK-UP","21","1905","21885","178880","8.17","549000","25.1","0.2"
"1-01630-0016","1620 LEXINGTON AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","1","10029","40.789895","-73.948004","11","8","166","1051882","1016300016","East Harlem South                                                          ","HARLEM-EAST","C6-WALK-UP","36","1930","19134","306144","16","865000","45.2","1-01680-0013","319 108 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","HARLEM-EAST","C1-WALK-UP","37","1940","22596","400684","17.73","1630000","72","0.45","1-01616-0039","88 111 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","HARLEM-EAST","C7-WALK-UP","30","1930","19884","389390","19.58","1740000","88","0.4"
"1-01245-0034","320 83 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER WEST SIDE (79-96)","D4-ELEVATOR","50","1940","38623","808765","20.94","3610000","93","1-01211-0052","158 81 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (79-96)","D3-ELEVATOR","38","1930","37251","780208","20.94","3490000","94","0.3","1-01253-0016","311 94 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (79-96)","D1-ELEVATOR","24","1930","22290","628390","28.2","2070000","93","0.6"
"1-00817-0085","568 6 AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","1","10011","40.738536","-73.995969","5","3","54","1015317","1008170085","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","FLATIRON","D4-ELEVATOR","121","1955","126300","3200000","25.3","14300000","113","1-01421-0005","205 66 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (59-79)","D7-ELEVATOR","257","1880","170424","4319084","25.3","19300000","113","2.55","1-00879-0027","143 23 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","GRAMERCY","D9-ELEVATOR","327","1928","101857","3039895","29.8","8580000","84","0.6"
"1-01451-0041","328 77 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER EAST SIDE (59-79)","C6-WALK-UP","16","1910","7585","207829","27.4","1010000","133","1-01458-0004","1158 1 AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (59-79)","C7-WALK-UP","13","1910","8100","241260","29.8","1170000","144","0.65","1-01456-0005","405 61 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (59-79)","C4-WALK-UP","17","1920","10925","344626","31.5","1670000","153","0.75"
"1-00379-0045","735 9 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"ALPHABET CITY","D0-ELEVATOR","12","1920","31500","661500","21","2960000","94","1-00377-0037","107 AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","ALPHABET CITY","D5-ELEVATOR","30","1900","14940","327903","21.95","926000","62","0.1","1-01509-0066","104 81 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (79-96)","D1-ELEVATOR","48","1900","40632","945367","23.27","4220000","104","3.6"
"1-01325-0024","963 2 AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","1","10022","40.755604","-73.968006","6","4","98","1038472","1013250024","Turtle Bay-East Midtown                                                    ","MIDTOWN EAST","D4-ELEVATOR","195","1960","206945","6398739","30.9","31000000","150","1-01325-0006","209 51 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","MIDTOWN EAST","D6-ELEVATOR","86","1958","71000","1078252","15.19","4390000","62","0","1-01558-0040","306 96 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (79-96)","D3-ELEVATOR","159","1962","149485","3291772","22.02","14700000","98","2.2"
"1-01498-0001","1050 5 AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","1","10028","40.781624","-73.960331","8","4","15002","1046845","1014980001","Upper East Side-Carnegie Hill                                              ","UPPER EAST SIDE (79-96)","D4-ELEVATOR","94","1960","190640","5645800","29.6","27400000","144","1-01584-0001","1658 YORK AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (79-96)","D7-ELEVATOR","180","1963","202322","6469907","32","31300000","155","0.8","1-01590-0036","85 END AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (79-96)","D6-ELEVATOR","175","1951","169386","4615998","27.3","22400000","132","0.95"
"1-01534-0010","213 88 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER EAST SIDE (79-96)","C6-WALK-UP","20","1920","10715","396455","37","1990000","186","1-01527-0013","227 81 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (79-96)","C7-WALK-UP","15","1910","10110","425734","42.1","2140000","212","0.35","1-01530-0036","224 85 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (79-96)","C4-WALK-UP","20","1910","9820","319000","32.5","1550000","158","0.2"
"1-00528-0037","29 BEDFORD STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1","10014","40.72925","-74.003612","2","3","67","1008394","1005280037","West Village                                                               ","GREENWICH VILLAGE-WEST","C6-WALK-UP","14","1910","8735","263185","30.1","1280000","147","1-00539-0041","167 BLEECKER STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","GREENWICH VILLAGE-CENTRAL","C7-WALK-UP","17","1900","9694","309699","31.9","1500000","155","0.25","1-00525-0027","112 HOUSTON STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","GREENWICH VILLAGE-CENTRAL","C4-WALK-UP","20","1900","10816","306194","28.3","1480000","137","0.2"
"1-00943-0001","686 2 AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","1","10016","40.746825","-73.97438","6","4","78","1021913","1009430001","Murray Hill-Kips Bay                                                       ","KIPS BAY","D4-ELEVATOR","83","1941","80000","3034400","37.9","15300000","191","1-00570-0008","6 13 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","GREENWICH VILLAGE-CENTRAL","D5-ELEVATOR","54","1900","49408","1794668","36.3","9020000","183","1.35","1-00818-0019","27 16 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","FLATIRON","D5-ELEVATOR","63","1907","41300","1630000","39.5","8200000","199","1.25"
"1-02175-0032","96 ARDEN STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1","10040","40.864258","-73.928636","12","10","287","1064223","1021750032","Washington Heights North                                                   ","WASHINGTON HEIGHTS UPPER","D4-ELEVATOR","60","1925","58904","720000","12.22","2710000","46","1-02175-0053","200 DYCKMAN STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","WASHINGTON HEIGHTS UPPER","D7-ELEVATOR","84","1926","74652","1109000","14.86","4400000","59","0.1","1-02112-0015","2187 AMSTERDAM AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","WASHINGTON HEIGHTS LOWER","D7-ELEVATOR","84","1929","84651","921664","10.89","3250000","38.4","1.75"
"1-01451-0038","334 77 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER EAST SIDE (59-79)","C6-WALK-UP","19","1910","10060","275644","27.4","1340000","133","1-01507-0025","53 95 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (79-96)","C1-WALK-UP","18","1920","17580","574501","32.7","2780000","158","1.05","1-01562-0030","432 83 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (79-96)","C1-WALK-UP","20","1930","8345","256858","30.8","1240000","149","0.35"
"1-01148-0021","125 76 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER WEST SIDE (59-79)","D4-ELEVATOR","28","1922","46118","1411210","30.6","6840000","148","1-01149-0033","370 COLUMBUS AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (59-79)","D9-ELEVATOR","56","1910","31125","1001291","32.2","4850000","156","0.05","1-01163-0017","235 71 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (59-79)","D3-ELEVATOR","33","1912","44604","1124913","25.2","5030000","113","0.3"
"1-00740-0047","328 17 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"CHELSEA","C6-WALK-UP","18","1900","12475","370000","29.7","1790000","143","1-00776-0009","251 26 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","CHELSEA","C7-WALK-UP","17","1901","10025","332000","33.1","1610000","161","0.5","1-00771-0063","246 22 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","CHELSEA","C4-WALK-UP","24","1920","11130","357000","32.1","1730000","155","0.3"
"1-01246-0029","505 END AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER WEST SIDE (79-96)","D4-ELEVATOR","68","1922","112000","2327360","20.78","10400000","93","1-01205-0029","315 CENTRAL PARK
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (79-96)","D3-ELEVATOR","51","1911","109769","2280816","20.78","10200000","93","0.6","1-01200-0025","5 86 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (79-96)","D3-ELEVATOR","85","1937","116021","2804001","24.17","12500000","108","0.5"
"1-01129-0045","20 77 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER WEST SIDE (59-79)","D4-ELEVATOR","31","1926","58723","1883246","32.1","9120000","155","1-01122-0047","30 70 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (59-79)","D7-ELEVATOR","35","1916","58361","998928","17.12","4060000","70","0.35","1-01150-0048","140 79 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (59-79)","D9-ELEVATOR","74","1914","75240","1863787","24.77","8330000","111","0.2"
"1-01527-0035","222 82 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER EAST SIDE (79-96)","D4-ELEVATOR","48","1950","44310","1284990","29","6230000","141","1-01552-0006","307 89 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (79-96)","D9-ELEVATOR","55","1973","31500","822497","26.1","3990000","127","0.45","1-01530-0034","230 85 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (79-96)","D9-ELEVATOR","55","1946","50852","1452791","28.6","7040000","138","0.15"
