"title","alternate_title","primary_artist_last","primary_artist_first","primary_artist_middle","secondary_artist_last","secondary_artist_first","secondary_artist_middle","artists_keyword","primary_architect_last","primary_architect_first","primary_architect_middle","secondary_architect_last","secondary_architect_first","secondary_architect_middle","landscape_architect_last","landscape_architect_first","landscape_architect_middle","architecture_firm","foundry","fabricator","date_created","date_created_approximation","date_dedicated","date_dedicated_approximation","artwork_type1","artwork_type2","material","location_name","address","city","state","zip_code","borough","subject_keyword","inscription","managing_city_agency","acquisition","pdc_records","latitude","longitude","block","lot"
"Cyrus Clark","NULL","Brown","Henry","Kirke","NULL","NULL","NULL","American","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1911","N","1911","N","Plaque","Monument/Memorial","Bronze, boulder","Riverside Park","Riverside Park at 83rd Street","New York","NY","10024","Manhattan","Civic planner","CYRUS CLARK / A MEMORIAL / OF HIS MANY YEARS DEVOTION / TO THE INTERESTS OF THE WEST SIDE / FROM / THE WEST END ASSOCIATION / HIS FRIENDS AND NEIGHBORS","Department of Parks and Recreation","Gift of the West End Association","563","40.787125","-73.981616","1254","2"
"William Cullen Bryant","NULL","Adams","Herbert","NULL","NULL","NULL","NULL","American","Hastings","Thomas","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Thomas Hastings, Carrere and Hastings","NULL","NULL","1911","N","1911","N","Statue, exedra","Monument/Memorial","Bronze, marble","Bryant Park","West 40th Street and Fifth Avenue","New York","NY","10018","Manhattan","American, Journalist, Poet, Author","WILLIAM CULLEN BRYANT / 1794-1878 / YET LET NO EMPTY GUST / OF PASSION FIND AN UTTERANCE IN THY LAY / A BLAST THAT WHIRLS THE DUST / ALONG THE HOWLING STREET AND DIES AWAY / BUT FEELINGS OF CALM POWER AND MIGHTY SWEEP, / LIKE CURRENTS JOURNEYING THROUGH THE / WINDLESS DEEP.","Department of Parks and Recreation","Gift of the William Cullen Bryant Memorial Committee","390, 1843","40.753435","-73.982798","1257","2"
"Edith G. Bowdoin ASPCA Horse Trough","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","M. McGrath and Co.","1912","N","1912","N","Basin","Monument/Memorial","Granite","Grand Army Plaza","East Drive and Grand Army Plaza","New York","NY","10019","Manhattan","Animals","West face: PRESENTED TO THE / A.S.P.C.A. / BY / EDITH G. BOWDOIN / 1912 East face: REDEDICATED TO THE HORSES / OF THE CITY OF NEW YORK / BY THE / CITY OF NEW YORK / PARKS & RECREATION / CENTRAL PARK CONSERVANCY / AND THE ASPCA / 2001","Department of Parks and Recreation","Gift of Edith Bowdoin","4118","40.765229","-73.973291","1111","1"
"Eleventh Milestone Marker","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","J&R Lamb Studios","NULL","NULL","1912","Y","1912","Y","Plaque, plinth","Marker","Granite, brass, brownstone","Roger Morris Park","West 160th Street and Jumel Terrace","New York","NY","10032","Manhattan","Milestone","11 MILES FROM / N. YORK / ON THE KINGSBRIDGE RD / IN 1769 AT 170TH STREET / IN 1819 AT 189TH STREET / THE CITY HISTORY CLUB / 1912","Department of Parks and Recreation","Gift of the City History Club of New York","649","40.834578","-73.938384","2106","1"
"Firemen's Memorial","NULL","Piccirilli","Attilio","NULL","NULL","NULL","NULL","Italian, American","Magonigle","Harold","Van Buren","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","J. Ward Co.","1912","N","1913","N","Sarcophagus, statues, bas-relief","Monument/Memorial","Granite, marble, bronze","Riverside Park","Riverside Drive & West 100th Street","New York","NY","10025","Manhattan","Firefighters","TO THE MEN OF THE FIRE DEPARTMENT / OF THE CITY OF NEW YORK / WHO DIED AT THE CALL OF DUTY / SOLDIERS IN A WAR THAT NEVER ENDS / THIS MEMORIAL IS DEDICATED / BY THE PEOPLE OF A GRATEFUL CITY / ERECTED MCMXII","Department of Parks and Recreation","Gift of Public Subscription and commissioned by the City of New York","451","40.798627","-73.973353","1897","1"
"Japanese Cherry Tree Tablet","NULL","Tokyo Fine Arts School","NULL","NULL","NULL","NULL","NULL","Japanese","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1912","N","1912","N","Plaque","Marker","Bronze","Sakura Park","West 122nd St and Riverside Drive","New York","NY","10027","Manhattan","Asian, Japanese, East Asian","SEPTEMBER 25, 1909 / TO GENERAL STEWART L. WOODFORD, / PRESIDENT, HUDSON- FULTON / CELEBRATION COMMISSION / DEAR SIR: / YOUR HONORABLE COMMISSION AND THE GOVERNMENT OF YOUR GREAT CITY HAVING GRACIOUSLY / SIGNIFIED TO THE UNDERSIGNED COMMITTEE OF JAPANESE RESIDENTS THEIR PLEASURE IN / PERMITTING US TO TAKE PART IN THE MOMENTOUS HUDSON-FULTON CELEBRATION BY ACCEPTING /OUR OFFERING OF TWENTY-ONE HUNDRED CHERRY TREES FROM JAPAN TO BE PLANTED ALONG YOUR /BEAUTIFUL AND UNIQUE RIVERSIDE DRIVE, WE BEG HEREBY TO TENDER THEM TO YOU IN THE FULLEST /AND WARMEST SPIRIT OF AFFECTION, GRATITUDE AND GOOD-WILL. / WHAT THE CHERRY TREE IS TO JAPAN WE WOULD WISH IT TO SYMBOLIZE TO YOU, THE EVER-LIVING / SPIRIT OF THE LAND BRINGING WITH EVERY SPRING A WORLD OF BLOSSOM AND JOY. ALONG THE / BANKS OF THE MIGHTY STREAM WHOSE DISCOVERER AND FIRST STREAM NAVIGATOR WE CELEBRATE / TO-DAY AND AROUND THE TOMB OF GENERAL GRANT, WHOSE MEMORY WE OF JAPAN HOLD DEAR, / MAY THE RIVER OF JAPANESE BLOOMS FLOW YEAR AFTER YEAR A FLOWERING WITNESS TO ALL TIME OF / OUR AFFECTION FOR NEW YORK AND THE UNITED STATES. / WE THANK YOU AND THE MUNICIPAL AUTHORITIES FOR THE PRECIOUS PRIVILEGE OF TAKING THIS  / HUMBLE PART IN THE GREAT AND HISTORIC CELEBRATION, AND FEELINGLY SUBSCRIBE OURSELVES. / KOKICHI MIDZUNO / JOKICHI TAKAMINE / RIOICHIRO ARAI / DAIJIRO USHIKUBO / KIKUSABURO FUKUI / COMMITTEE OF JAPANESE RESIDENTS OF NEW YORK / GIVEN TO THE CITY IN 1912","Department of Parks and Recreation","Gifted by The Japanese residents of the City of New York","652","40.813440","-73.963047","1994","1"
"John Purroy Mitchel Memorial Flagstaff (2)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Italian","Menconi","Raffaele","NULL","Menconi","Francesco","NULL","NULL","NULL","NULL","Lorenzo Rosario, Sc. Grandelli","Tiffany Studios","NULL","1912","N","1912","N","Flagstaff base","Monument/Memorial","Bronze","New York Public Library","476 5th Avenue","New York","NY","10018","Manhattan","Mayor, Politician, Veteran, War, World War I","Flagstaff (north): TO COMMEMORATE / JOHN PURROY MITCHEL / MAYOR / 1913 - 1917; Flagstaff (south): IN HONOR OF / MAJOR JOHN PURROY MITCHEL / DIED IN SERVICE / 1918","Department of Parks and Recreation","Gift of the Mitchel Memorial Committee","208, 2039","40.753355","73.981346","1257","1"
"Josephine Shaw Lowell","Lowell Memorial Fountain","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Platt","Charles","Adams","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1912","N","1912","N","Fountain","Monument/Memorial","Granite","Bryant Park","6th Avenue and West 41st Street","New York","NY","10018","Manhattan","Woman, Reformer, Philanthropist, Public Servant, Fountain","THIS FOUNTAIN COMMEMORATES / THE STRONG AND BEAUTIFUL CHARACTER OF / JOSEPHINE SHAW LOWELL / 1843-1905 / WIFE FOR ONE YEAR OF A PATRIOT SOLDIER / WIDOW AT TWENTY ONE / SERVANT OF NEW YORK STATE AND CITY / IN THEIR PUBLIC CHARITIES / SINCERE CANDID COURAGEOUS AND TENDER / BRINGING HELP AND HOPE TO THE FAINTING / AND INSPIRING OTHERS TO CONSECRATED LABORS/","Department of Parks and Recreation","Gift of The Josephine Shaw Lowell Memorial Committee","416","40.753993","-73.984119","1257","2"
"New Hampshire, U.S.S.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","The Gorham Company","NULL","NULL","1912","Y","1912","N","Plaque","Monument/Memorial","Bronze","Riverside Park","Riverside Drive at 152nd Street","New York","NY","10031","Manhattan","World War I, War","TO THE MEMBERS OF THE CREW OF THE UNITED / STATES SHIP NEW HAMPSHIRE WHO LOST THEIR / LIVES BY DROWNING IN THE NORTH RIVER NEAR / THE FOOT OF 157TH STREET ON OCTOBER 1ST, 1910 / [HONOR ROLL] / THIS MEMORIAL WAS PLACED HERE BY THEIR SHIPMATES","Department of Parks and Recreation","Gift of the Men of The U.S.S. ""New Hampshire""","596","40.831739","-73.949751","2101","55"
"U.S.S. Maine National Monument","The Maine Monument","Piccirilli","Attilio","NULL","Keck","Charles","NULL","Italian, American","Magonigle","Harold","Van Buren","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1912","N","1913","N","Pylon, statue, frieze, plaque","Monument/Memorial","Bronze, granite","Central Park","West 59th Street and Columbus Circle","New York","NY","10022","Manhattan","Allegorical, Maritime, Spanish-American War, equestrian, War","1) Front group, proper right: ATTILIO PICCIRILLI SCULPTOR /

2) Front group, proper left: HAROLD VAN BVREN MAGONIGLE FAIA ARCHITECT /

3) Front: TO / THE VALIANT SEAMEN / WHO PERISHED IN THE / MAINE / BY FATE UNWARNED / IN DEATH UNAFRAID /---/ MDCCCXCVIII / MCMXII /

4) Above rear group: TO THE FREEMEN / WHO DIED IN THE / WAR WITH SPAIN / THAT OTHERS / MIGHT BE FREE /---/ MDCCCXCVIII / MCMXII /

5) Below rear group: ERECTED THROUGH PUBLIC SUBSCRIPTION / BY THE NATIONAL MAINE MONUMENT COMMITTEE / JAMES GRANT WILSON --- CHAIRMAN / WILLIAM R HEARST --- GEORGE F SHRADY / JOHN W KELLER --- J EDWARD SIMMONS /

6) Plaque, proper right of rear group: IN MEMORY OF RT. REV. MSGR. JOHN P. CHIDWICK / CHAPLAIN IN CHIEF / UNITED SPANISH WAR VETERANS / CHAPLAIN, UNITED STATES NAVY, / IN SERVICE ON THE / BATTLESHIP MAINE / AT THE TIME OF HER DESTRUCTION. / DEDICATED BY / THE SPANISH WAR VETERANS / SEPTEMBER 15, 1935. /

7) Plaque, proper left of rear group: IN MEMORIAM /---/ U.S.S. MAINE / DESTROYED IN HAVANA HARBOR / FEBRUARY 15th 1898 / THIS TABLET IS CAST FROM METAL RECOVERED FROM THE U.S.S. MAINE /

8) Plaque, proper left of Pacific Ocean figure: ILLUMINATION PROVIDED / IN MEMORY OF / E. BARTLEY OSBORN / BY HIS LOVING WIFE / GLORIA / 1983 /","Department of Parks and Recreation","Gift of National Maine Monument Fund","21","40.768222","-73.981028","1111","1"
"Carl Schurz Memorial","NULL","Bitter","Karl","NULL","NULL","NULL","NULL","Austrian, American","Bacon","Henry","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Jno. Williams","Piccirilli Brothers","1913","N","1913","N","Statue, exedra","Monument/Memorial","Bronze, granite","Morningside Park","Morningside Drive and 116th Street","New York","NY","10026","Manhattan","German, Revolutionary, Politician, Journalist, Reformer, Veteran","CARL SCHURZ / SOLDIER - STATESMAN / PHILANTHROPIST / 1829 1906/","Department of Parks and Recreation","Gift of The Carl Schurz Memorial Association","415","40.805984","-73.959056","1850","1"
"Jerry McAuley Drinking Fountain","Greeley Square Fountain","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1913","N","1913","N","Fountain","Monument/Memorial","Granite","Greeley Square Park","Broadway and West 32nd Street","New York","NY","10001","Manhattan","Irish, Philanthropist, Fountain","TO THE MEMORY OF / JERRY MCAULEY / I WILL GIVE / TO HIM / THAT IS / ATHIRST / OF THE / FOUNTAIN / OF THE / WATER OF / LIFE FREELY /","Department of Parks and Recreation","Gifted by McAuley Committee of the New York City Rescue Mission","738","40.748833","-73.988222","834","1"
"John T. Brush Stairway","Highbridge Brush Stairway","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1913","N","1913","N","Plaque","Monument/Memorial","Bronze, concrete","Highbridge Park","Edgecomb Avenue and West 158th Street","New York","NY","10033","Manhattan","Athlete, Sports, football","THE / JOHN T. BRUSH / STAIRWAY / PRESENTED BY THE / NEW YORK / GIANTS","Department of Parks and Recreation","Gift of the  New York Giants baseball team","1712","40.832469","-73.939610","2106","1"
"Wireless Operators Memorial","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Hewitt","Edward","S.","Bottomley","Will","L.","NULL","NULL","NULL","Hewitt & Bottomley","NULL","NULL","1913","N","1915","N","Cenotaph, fountain, benches","Monument/Memorial","Granite","Battery Park","State Street and Pearl Street","New York","NY","10004","Manhattan","Maritime, War","ERECTED IN / MEMORY OF / WIRELESS / OPERATORS / LOST AT SEA / AT THE POST / OF DUTY","Department of Parks and Recreation","Gift of Veteran Wireless Operators Association","760","40.703167","-74.014583","3","1"
"Battery Park Cannon","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","J.V. & R.V. Lamb","NULL","NULL","1914","Y","1914","N","Artillery","Monument/Memorial","Iron, granite","Battery Park","State Street and Bridge Street","New York","NY","10004","Manhattan","Colonial, artillery, cannon","THIS ANCIENT CANNON / WAS EXHUMED IN 1892 ON THE SITE OF / NO.55 BROADWAY ON THE CORNER OF EXCHANGE ALLEY / OR THE HIGHWAY LEADING TO THE / FORTIFICATION CALLED OYSTER PASTY 1695-1783 / PRESENTED TO THE CITY OF NEW YORK BY / WILLIAM HENRY MAIRS / PLACED HERE BY THE CHILDREN OF / THE CITY HISTORY CLUB / 1914","Department of Parks and Recreation","Gift of William Henry Mairs; Children of the City History Club","1371","40.703735","-74.014513","3","1"
"Bear and Faun","Alfred Lincoln Seligman Fountain; Children's Playground Fountain","Walter","Edgar","NULL","NULL","NULL","NULL","American","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Roman Bronze Works","NULL","1914","N","1914","N","Fountain","Artwork","Bronze","Morningside Park","114th Street and Morningside Avenue","New York","NY","10026","Manhattan","Animals, Mythology, Fountain","NULL","Department of Parks and Recreation","Gift of National Highways Protective Association","516","40.804241","-73.958737","1850","1"
"Edvard Grieg Memorial","NULL","Asbjornsen","Sigvald","NULL","NULL","NULL","NULL","Norwegian","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Florentine Brotherhood, Chicago, Illinois","NULL","1914","N","1914","N","Bust, pedestal","Monument/Memorial","Bronze, granite","Prospect Park","NULL","Brooklyn","NY","11226","Brooklyn","Norwegian, Musician","Pedestal: GRIEG /---/ 1914 / 

Plaque: PRESENTED TO THE BOROUGH OF / BROOKLYN / BY THE NORWEGIAN SOCIETIES / 1914 /","Department of Parks and Recreation","Gift of The Norwegian Societies of Brooklyn","483","40.658596","-73.964108","1117","1"
"Fort Number Four Tablet","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Paul E. Cabaret and Co.","NULL","1914","N","1914","N","Plaque","Marker","Bronze","Fort Four Playground","Reservoir Avenue and University Avenue","Bronx","NY","10463","Bronx","American Revolutionary War, Colonial, War","FORT NUMBER FOUR / OF THE EXTERIOR DEFENSES OF / FORT WASHINGTON AND KING'S BRIDGE / CONSTRUCTED BY THE AMERICAN ARMY / UNDER GENERAL WASHINGTON / 1776 / --- / THE DAUGHTERS OF THE REVOLUTION / STATE OF NEW YORK / ERECTED THIS MEMORIAL / 1914","Department of Parks and Recreation","Gift of Daughters of the American Revolution","778","40.873806","-73.898732","3250","220"
"Eugene G. Putnam","NULL","Fuller","Virgil","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1915","N","1915","N","Fountain","Monument/Memorial","Granite","Veterans Park","Heberton Avenue and Vreeland Street","Staten Island","NY","10302","Staten Island","Public Servant, Education","1865-1913 / IN MEMORY OF / EUGENE G. PUTNAM / PRINCIPAL FOR 17 YEARS / OF PUBLIC SCHOOL 20 / PRESENTED BY HIS FRIENDS / IN SCHOOL AND COMMUNITY/","Department of Parks and Recreation","Gifted by pupils of P.S. 20","802","40.636838","-74.131655","1019","1"
"Isidor and Ida Straus","NULL","Lukeman","Augustus","NULL","NULL","NULL","NULL","American","Tracy","Evarts","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Jno. Williams Inc.","NULL","1915","N","1915","N","Statue, exedra","Monument/Memorial","Bronze, Deer Isle granite","Straus Park","Broadway and 106th Street","New York","NY","10025","Manhattan","Titanic, Jewish, German, Immigrant, Immigration, Philanthropist, Politician, public servant, Congressman","Bench inscription:
IN MEMORY OF ISIDOR AND IDA STRAUS / WHO WERE LOST AT SEA IN THE TITANIC DISASTER APRIL 15, 1912 / LOVELY AND PLEASANT WERE THEY IN THEIR LIVES AND IN / THEIR DEATH THEY WERE NOT DIVIDED. / II SAMUEL I-23 /

Bronze plaque:
ERECTED / BY VOLUNTARY CONTRIBUTIONS / FROM MANY FELLOW CITIZENS / AND ACCEPTED FOR THE / CITY OF NEW YORK BY / MAYOR / JOHN PURROY MITCHEL / AND / CABOT WARD / COMMISSIONER OF PARKS / A.D. MCMXV /","Department of Parks and Recreation","Gift of Public Subscription","740","40.801668","-73.968261","1878","1"
"Joan of Arc Memorial","NULL","Huntington","Anna","Vaughn Hyatt","NULL","NULL","NULL","Woman, American","Van Pelt","John","V.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1915","N","1915","N","Statue","Monument/Memorial","Bronze, granite","Riverside Park","Riverside Drive and West 93rd Street","New York","NY","10025","Manhattan","Women, Equestrian, French, France, woman, Saint, Religious leader","(ON BASE, UPPER FRONT)    JOAN OF ARC/ BORN AT DOMREMY FRANCE/ JANUARY 6, 1411/ BURNED AT THE STAKE IN ROUEN FRANCE/ MAY 30, 1431                                 
(ON BASE, LOWER FRONT) ERECTED BY / THE JOAN OF ARC STATUE COMMITTEE/IN THE CITY OF NEW YORK 1915","Department of Parks and Recreation","Gift of The Joan of Arc Statue Committee","868","40.794137","-73.976556","NULL","NULL"
"Joseph Rodman Drake","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Tiffany Studio","NULL","1915","N","1915","N","Monolith","Monument/Memorial","Bronze, marble","Joseph Rodman Drake Park","Hunts Point Avenue and Oak Point Avenue","Bronx","NY","10474","Bronx","Author, Poet","JOSEPH RODMAN DRAKE / 1795-1820 / GREEN BE THE TURF ABOVE THEE FRIEND OF / MY BETTER DAYS / NONE KNEW THEE BUT TO LOVE THEE / NORNAMED THEE BUT TO PRAISE / FITZ-GREENE HALLECK / ERECTED BY / THE BRONX SOCIETY OF ARTS AND SCIENCES / MAY 29, 1915","Department of Parks and Recreation","Gift of the Bronx Society of Arts and Sciences","849","40.810255","-73.882639","2272","170"
"Major Clarence T. Barrett Memorial","NULL","Fry","Sherry","Edmundson","NULL","NULL","NULL","American","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Roman Bronze Works, New York","NULL","1915","N","1915","N","Statue","Monument/Memorial","Bronze, Pink Tennessee marble","Barrett Triangle","Nick LaPorte Place and Stuyvesant Place","Staten Island","NY","10301","Staten Island","Landscape Architect, Armed Forces, Veteran, American Civil War, Public Servant, War","Pedestal (front, top): MEMORIAL TO MAJOR / CLARENCE T BARRETT /

Pedestal (rear, lower): ERECTED IN LOVING MEMORY OF / 1840--MAJOR CLARENCE T. BARRETT--1906 / A FAITHFUL ACTIVE CITIZEN OF / RICHMOND BOROUGH, / WHO SERVED WITH DISTINCTION / THROUGH THE CIVIL WAR. / A DESCENDANT OF / COLONEL JAMES BARRETT, / COMMANDER AT BATTLE OF CONCORD, / APRIL 1775. / LOYAL, HONEST, BRAVE AND TRUE /

Pedestal (side): PRESENTED BY / MRS. CLARENCE T. BARRETT /","Department of Parks and Recreation","Gift of Julia Olivia Hardin, trustee for Anna E. Hutchins Barrett","827","40.641828","-74.075896","NULL","NULL"
"Fort Hamilton D.A.R. Tablet","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Paul E. Cabaret & Co.","NULL","1916","N","1916","N","Plaque","Marker","Bronze, natural boulder","John Paul Jones Park","4th Avenue and 101st Street","Brooklyn","NY","11209","Brooklyn","American Revolutionary War, Colonial, War","TO COMMEMORATE / THE FIRST RESITANCE / MADE TO BRITISH ARMS / IN NEW YORK STATE / AUGUST 1776 / ERECTED BY THE / LONG ISLAND SOCIETY / DAUGHTERS OF THE REVOLUTION / A.D. 1916","Department of Parks and Recreation","Gift of The Daughters of the American Revolution","907","40.611583","-74.034028","6140","1"
"Fort Independence Park Tablet","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Paul E. Cabaret Co.","NULL","1916","N","1916","N","Plaque","Marker","Bronze, Somesound granite","Fort Independence Park","Sedgwick Avenue and Giles Place","Bronx","NY","10463","Bronx","American Revolutionary War, Colonial, War","FORT / INDEPENDENCE PARK / ""KING'S BRIDGE AND THE / HEIGHTS ADJACENT, OF THE / UTMOST IMPORTANCE TO THE / COMMUNICATION BETWEEN / NEW YORK AND THE MAIN / LAND, & TO THE SECURITY OF / THE HUDSON , WERE RECON- / NOITERED BY WASHINGTON / ON HORSE BACK ABOUT JUNE / 16, 1776. BY DIRECTION OF / THE COMMANDER IN CHIEF, / BREAST WORKS WERE THROWN / UP FOR DEFENCE OF THE / BRIDGE, AND AN ADVANCED / WORK (SUBSEQUENTLY CALL- / ED FORT INDEPENDENCE) / WAS BUILT BEYOND IT, ON / THE HILL NEAR THIS SPOT / COMMANDING SPYT DEN DEIVEL CREEK.""","Department of Parks and Recreation","Gift of Daughters of the American Revolution","884","40.881358","-73.896302","3246","25"
"George Washington Accompanied by Fame and Valor","NULL","MacNeil","Hermon","Atkins","NULL","NULL","NULL","American","White","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1916","N","1916","N","Statue","Monument/Memorial","Granite","Washington Square Park","Washington Square North","New York","NY","10012","Manhattan","President of the United States, American Revolutionary War, War, Colonial","NULL","Department of Parks and Recreation","Gift of Washington Arch Committee","814, 920","40.731247","-73.997010","549","1"
"Pulitzer Fountain","NULL","Bitter","Karl","NULL","Gruppe","Karl","NULL","Austrian, American","Hastings","Thomas","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1916","N","1916","N","Fountain","Artwork/Monument","Bronze, marble","Grand Army Plaza","Fifth Avenue and 59th Street","New York","NY","10019","Manhattan","Fountain, Journalism, Mythology","RESTORED IN 1936 BY D. EVERETT WAID ARCHITECT / REHABBED 7/25/56 / RESTORED IN THE 1980'S / AFTER BITTERS DIED, ABUNDANCE STATUE WAS COMPLETE BY ISIDORE
KONTI /","Department of Parks and Recreation","Gift of the Joseph Pulitzer Estate","736","40.764053","-73.973626","1274","34"
"Star of Hope","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Hastings","Thomas","NULL","NULL","NULL","NULL","NULL","NULL","NULL","The New York Edison Company","NULL","NULL","1916","N","1916","N","Flagpole","Monument/Memorial","Cast-iron, light bulbs","Madison Square Park","East 23rd Street between Madison Avenue and Broadway","New York","NY","10010","Manhattan","Christmas, Christmas Tree, Holidays","NULL","Department of Parks and Recreation","Gift of Minnie Dwight Rouland Trust Fund","734","40.741320","-73.988508","852","1"
"The Hiker","NULL","Newman","Allen","G.","NULL","NULL","NULL","American","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Jno. Williams, Inc.","NULL","1916","N","1916","N","Statue","Monument/Memorial","Bronze, North Jay granite","Tompkinsville Park","Victory Boulevard and Bay Street","Staten Island","NY","10301","Staten Island","Spanish-American War, War","Pedestal (north face): HIKER MONUMENT / ERECTED / IN COMMEMORATION OF / THE HEROES OF ALL WARS / IN WHICH / OUR BELOVED COUNTRY / WAS ENGAGED / FOR THE / PRINCIPLES OF DEMOCRACY / AND / A LASTING CIVILIZATION [---] JOSEPH S. DECKER COM. / NO. 20 DEPT. N.Y. UNITED / SPANISH WAR VETERANS /
Pedestal (south face): DEDICATED / TO / THE DAUGHTERS / OF THE / AMERICAN / REVOLUTION / 1776-1812 / 1848-1861-65 / 1898-1917-18 /
Pedestal (east face): DEDICATED / TO / OUR YOUNGER COMRADES / OF THE / AMERICAN LEGION / 1917-1918 / WHO SUCCESSFULLY / WAGED WAR ON FOREIGN SOIL / FOR / FREEDOM / PATRIOTISM / AND HUMANITY /
Pedestal (west face): DEDICATED / TO / OUR OLDER COMRADES / OF / ROBERT G. SHAW POST NO. 112 / GRAND ARMY OF / THE REPUBLIC / WHO BATTLED IN THE WAR/ THAT TRIED MEN'S SOULS / AND GAVE / TO FUTURE GENERATIONS / THE HERITAGE OF / A REUNITED COUNTRY / 1861-1865 /","Department of Parks and Recreation","Gifted through Public Subscription","349","40.637620","-74.076370","497","50"
"General Daniel Butterfield","NULL","Borglum","Gutzon","NULL","NULL","NULL","NULL","American","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Ludlow and Peabody","NULL","NULL","1917","N","1918","N","Statue","Monument/Memorial","Bronze, granite","Sakura Park","Riverside Drive and 122nd Street","New York","NY","10027","Manhattan","Military, American Civil War, War, Businessman","GUTZON BORGLUM / SCULPTOR 1917 / BUTTERFIELD / 1831-1901","Department of Parks and Recreation","Gift of Estate of Julia L. Butterfield","916","40.812695","40.812695","1994","1"
"Lafayette Memorial","NULL","French","Daniel","Chester","NULL","NULL","NULL","American","Bacon","Henry","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Gorham Co.","NULL","1917","N","1917","N","Stele, bas-relief","Monument/Memorial","Bronze, Milford pink granite","Prospect Park","9th Street and Prospect Park West","Brooklyn","NY","11215","Brooklyn","American Revolutionary War, Colonial, French, War","Front: THE MARQUIS DE LAFAYETTE [---] THIS MONUMENT WAS / ERECTED AND PRESENTED BY HENRY HARTEAU A DISTINGUISHED CITIZEN OF BROOKLYN TO BE AN / ENDURING TRIBUTE TO THE MEMORY OF ONE WHO AS / A FRIEND AND COMPANION OF THE IMMORTAL WASHINGTON FOUGHT TO ESTABLISH IN OUR COUNTRY / THOSE VITAL PRINCIPLES OF LIBERTY AND HUMAN / BROTHERHOOD WHICH HE AFTERWARD LABORED TO ESTABLISH IN HIS OWN

Rear: THIS MEMORIAL WAS UNVEILED AND DEDICATED BY / MARSHALL JOFFRE AND M. VIVANI OF THE FRENCH / WAR COMMISSION, MAY 10, 1917","Department of Parks and Recreation","Gift of Henry Harteau","832","40.664472","-73.976583","1117","1"
