"license_number","entity_name","telephone_number","shl_endorsed","building","street","city","state","zip","type_of_base","latitude","longitude","date","time","location"
"B01239","BEST DEAL PVT C/S INC","7187985555","No","757A","BURKE AVENUE","BRONX","NY","10467","LIVERY BASE","40.871551","-73.86485","2022-08-29T00:00:00.000","18:00:20","
,  
(40.871551, -73.86485)"
"B01243","EILAT TRANSPORTATION CORP","7183761122","Yes","1601","VOORHIES AVENUE","BROOKLYN","NY","11235","LIVERY BASE","40.604462","-73.97275","2022-08-29T00:00:00.000","18:00:20","
,  
(40.604462, -73.97275)"
"B01259","THE NEW BROOKLYN C/S INC","7183882828","No","390","BROADWAY  1FL","BROOKLYN","NY","11211","LIVERY BASE","40.709336","-73.95656","2022-08-29T00:00:00.000","18:00:20","
,  
(40.709336, -73.95656)"
"B01268","LAKEVIEW CARS INC.","7184420022","No","1113","VICTORY BOULEVARD","STATEN ISLAND","NY","10301","LIVERY BASE","40.617782","-74.101897","2022-08-29T00:00:00.000","18:00:20","
,  
(40.617782, -74.101897)"
"B01269","DIVISION CAR & LIMO INC.","7185995555","No","204","DIVISION AVENUE","BROOKLYN","NY","11211","LIVERY BASE","40.707198","-73.959392","2022-08-29T00:00:00.000","18:00:20","
,  
(40.707198, -73.959392)"
"B01273","PUERTO RICO CAR SERVICE INC.","7184435555","No","1072","BROADWAY","BROOKLYN","NY","11221","LIVERY BASE","40.694521","-73.931575","2022-08-29T00:00:00.000","18:00:20","
,  
(40.694521, -73.931575)"
"B01280","BENSONHURST RIDE INC.","7189461111","No","2134","86 STREET","BROOKLYN","NY","11214","LIVERY BASE","40.602721","-73.99516","2022-08-29T00:00:00.000","18:00:20","
,  
(40.602721, -73.99516)"
"B01282","NEW LOTS C/S INC","7182722222","No","603","NEW LOTS AVENUE","BROOKLYN","NY","11207","LIVERY BASE","40.664829","-73.886868","2022-08-29T00:00:00.000","18:00:20","
,  
(40.664829, -73.886868)"
"B01285","UNION RADIO DISPATCH INC","7182992001","No","69","FEATHERBED LANE","BRONX","NY","10452","LIVERY BASE","40.846629","-73.91736","2022-08-29T00:00:00.000","18:00:20","
,  
(40.846629, -73.91736)"
"B01288","NEW ELEGANTE CAR SVC INC","7183283333","No","1804","RANDALL AVENUE","BRONX","NY","10473","LIVERY BASE","40.816803","-73.862557","2022-08-29T00:00:00.000","18:00:20","
,  
(40.816803, -73.862557)"
"B01300","KENNEDY RAD DISP INC","2122348000","Yes","3696","BROADWAY","NEW YORK","NY","10031","LIVERY BASE","40.831241","-73.94661","2022-08-29T00:00:00.000","18:00:20","
,  
(40.831241, -73.94661)"
"B01306","R N D TRANSPORTATION, INC.","7183831500","No","135","GREENPOINT AVENUE","BROOKLYN","NY","11222","LIVERY BASE","40.730181","-73.954586","2022-08-29T00:00:00.000","18:00:20","
,  
(40.730181, -73.954586)"
"B01308","LIL'D DISPATCH INC.","3472341474","No","6202","NEW UTRECHT AVENUE","BROOKLYN","NY","11219","LIVERY BASE","40.607908","-74.00157","2022-08-29T00:00:00.000","18:00:20","
,  
(40.607908, -74.00157)"
"B01311","DISCOUNT CAR SVCE","7187400101","No","94-44","213 STREET","QUEENS VILLAGE","NY","11428","LIVERY BASE","40.71643","-73.74506","2022-08-29T00:00:00.000","18:00:20","
,  
(40.71643, -73.74506)"
"B01312","BROOKLYN RAD DISP INC","7183844444","No","232","METROPOLITAN AVENUE","BROOKLYN","NY","11211","LIVERY BASE","40.714797","-73.959738","2022-08-29T00:00:00.000","18:00:20","
,  
(40.714797, -73.959738)"
"B01315","V.I.T. CAR SERVICE, INC.","7189048057","No","1478","WHITE PLAINS ROAD","BRONX","NY","10462","LIVERY BASE","40.837752","-73.86334","2022-08-29T00:00:00.000","18:00:20","
,  
(40.837752, -73.86334)"
"B01318","LOWER EAST SIDE C/S CORP","2124777777","No","169","AVENUE C","NEW YORK","NY","10009","LIVERY BASE","40.726235","-73.977574","2022-08-29T00:00:00.000","18:00:20","
,  
(40.726235, -73.977574)"
"B01336","BAY EXPRESS CORP.","7182323434","No","2134","86 STREET","BROOKLYN","NY","11214","LIVERY BASE","40.602225","-73.99315","2022-08-29T00:00:00.000","18:00:20","
,  
(40.602225, -73.99315)"
"B01338","3210 WEBSTER AV PRESTIGE C/S","7187987700","Yes","3108","WEBSTER AVENUE","BRONX","NY","10467","LIVERY BASE","40.871011","-73.87645","2022-08-29T00:00:00.000","18:00:20","
,  
(40.871011, -73.87645)"
"B01339","R C AUDUBON SVC INC","2129238787","Yes","2224","AMSTERDAM AVENUE","NEW YORK","NY","10032","LIVERY BASE","40.838228","-73.937654","2022-08-29T00:00:00.000","18:00:20","
,  
(40.838228, -73.937654)"
"B01340","UNICAR COMPANY INC","7183284444","Yes","2112","WESTCHESTER AVENUE","BRONX","NY","10462","LIVERY BASE","40.82923","-73.871067","2022-08-29T00:00:00.000","18:00:20","
,  
(40.82923, -73.871067)"
"B01341","A NEW DAY RAD DISP INC","2122286666","No","84","CLINTON STREET","NEW YORK","NY","10002","LIVERY BASE","40.718549","-73.98515","2022-08-29T00:00:00.000","18:00:20","
,  
(40.718549, -73.98515)"
"B01346","ARECIBO C/S INC","7187836465","No","171","5 AVENUE","BROOKLYN","NY","11217","LIVERY BASE","40.677669","-73.97994","2022-08-29T00:00:00.000","18:00:20","
,  
(40.677669, -73.97994)"
"B01349","CAPRICORN LIMO SVC INC","7187293000","No","43-24","37TH STREET","LIC","NY","11101","LUXURY/LIMOUSINE","40.745178","-73.928076","2022-08-29T00:00:00.000","18:00:20","
,  
(40.745178, -73.928076)"
"B01362","AMERICAN BASE NO.1 INC.","7186656664","No","3077","3RD AVENUE","BRONX","NY","10451","LIVERY BASE","40.814476","-73.914387","2022-08-29T00:00:00.000","18:00:20","
,  
(40.814476, -73.914387)"
"B01364","NY ATLIXCO CAR SERVICE INC","7184245800","Yes","102-20","35 AVENUE","CORONA","NY","11368","LIVERY BASE","40.75458","-73.86581","2022-08-29T00:00:00.000","18:00:20","
,  
(40.75458, -73.86581)"
"B01367","ROYAL DISPATCH SERVICES, INC.","7187062200","No","32-72","GALE AVENUE","LIC","NY","11101","BLACK CAR BASE","40.744528","-73.92606","2022-08-29T00:00:00.000","18:00:20","
,  
(40.744528, -73.92606)"
"B01381","CLASSIC CAR SERVICE CORP.","7187281200","Yes","38-12","ASTORIA BOULEVARD","ASTORIA","NY","11103","LIVERY BASE","40.768741","-73.911531","2022-08-29T00:00:00.000","18:00:20","
,  
(40.768741, -73.911531)"
"B01391","ROSE 'N' DALE C/S INC","7189491655","No","143-55","243 STREET","ROSEDALE","NY","11422","LIVERY BASE","40.660823","-73.738945","2022-08-29T00:00:00.000","18:00:20","
,  
(40.660823, -73.738945)"
"B01406","GOTHAM CAR SERVICE INC.","7187881234","No","209","25TH STREET  2ND FLOOR","BROOKLYN","NY","11232","LIVERY BASE","40.681771","-73.98047","2022-08-29T00:00:00.000","18:00:20","
,  
(40.681771, -73.98047)"
"B01413","SFL INC","2123970004","No","48-50","34 STREET","LIC","NY","11101","LUXURY/LIMOUSINE","40.739253","-73.931942","2022-08-29T00:00:00.000","18:00:20","
,  
(40.739253, -73.931942)"
"B01417","NESHER EXPRESS CAR SERVICE 2 INC.","7188716800","No","2300 WEST","7TH STREET","BROOKLYN","NY","11223","LIVERY BASE","40.634321","-73.992234","2022-08-29T00:00:00.000","18:00:20","
,  
(40.634321, -73.992234)"
"B01424","EAGLE CAR & LIMO LTD.","7187452000","No","1709","79 STREET","BROOKLYN","NY","11214","LIVERY BASE","40.612363","-74.000396","2022-08-29T00:00:00.000","18:00:20","
,  
(40.612363, -74.000396)"
"B01432","TOVAR TRANSPORTATION INC","7189728877","No","5511","16 AVENUE","BROOKLYN","NY","11204","LIVERY BASE","40.627342","-73.98909","2022-08-29T00:00:00.000","18:00:20","
,  
(40.627342, -73.98909)"
"B01436","NEW PRONTO TRANSP INC","7184575777","Yes","41-09","49 STREET","L.I.C.","NY","11104","LIVERY BASE","40.746164","-73.91524","2022-08-29T00:00:00.000","18:00:20","
,  
(40.746164, -73.91524)"
"B01437","MERENGUE LIMO & C/S INC","7186585700","No","135-10","JAMAICA AVENUE","RICHMOND HILL","NY","11418","LIVERY BASE","40.70241","-73.817189","2022-08-29T00:00:00.000","18:00:20","
,  
(40.70241, -73.817189)"
"B01445","J T TRANSPORTATION CO INC","7184398899","No","775","60 STREET","BROOKLYN","NY","11220","LIVERY BASE","40.63578","-74.009774","2022-08-29T00:00:00.000","18:00:20","
,  
(40.63578, -74.009774)"
"B01452","AREAS TRANSP INC","7189673232","No","5230","ARTHUR KILL ROAD","STATEN ISLAND","NY","10307","LIVERY BASE","40.515342","-74.244236","2022-08-29T00:00:00.000","18:00:20","
,  
(40.515342, -74.244236)"
"B01454","FREEDOM LIMO & CAR SERVICE","7184525400","No","96","RALPH AVENUE","BROOKLYN","NY","11221","LIVERY BASE","40.686713","-73.923689","2022-08-29T00:00:00.000","18:00:20","
,  
(40.686713, -73.923689)"
"B01455","REPUBLICA CAR & LIMO SERVICE CORP.","7182716666","Yes","93-04","CORONA AVENUE","ELMHURST","NY","11373","LIVERY BASE","40.742387","-73.871082","2022-08-29T00:00:00.000","18:00:20","
,  
(40.742387, -73.871082)"
"B01466","FIVE STAR","7189400044","No","787","CONEY ISLAND AVENUE","BROOKLYN","NY","11218","LIVERY BASE","40.638265","-73.96821","2022-08-29T00:00:00.000","18:00:20","
,  
(40.638265, -73.96821)"
"B01469","BROTHERS CAR SERVICE, INC.","7182351100","No","241","CRESCENT STREET","BROOKLYN","NY","11208","LIVERY BASE","40.68342","-73.871853","2022-08-29T00:00:00.000","18:00:20","
,  
(40.68342, -73.871853)"
"B01470","AGUILA CAR & LIMO CORPORATION","7186998100","No","45-16","NATIONAL STREET","CORONA","NY","11368","LIVERY BASE","40.745662","-73.86428","2022-08-29T00:00:00.000","18:00:20","
,  
(40.745662, -73.86428)"
"B01479","PRATT CAR SERVICE INC","7187894900","No","175","TOMPKINS AVENUE","BROOKLYN","NY","11206","LIVERY BASE","40.693241","-73.945613","2022-08-29T00:00:00.000","18:00:20","
,  
(40.693241, -73.945613)"
"B01482","SHORE TRANSPORTATION INC","7186466666","No","3173","CONEY ISLAND AVENUE","BROOKLYN","NY","11235","LIVERY BASE","40.57861","-73.95948","2022-08-29T00:00:00.000","18:00:20","
,  
(40.57861, -73.95948)"
"B01485","FLAMINGO TRANSP. & LIMO. SERVICES INC.","7184934307","No","5924","GLENWOOD ROAD","BROOKLYN","NY","11234","LIVERY BASE","40.675021","-73.93308","2022-08-29T00:00:00.000","18:00:20","
,  
(40.675021, -73.93308)"
"B01492","MOBILE #1 CAR SERVICE INC.","7183838300","No","361","UNION AVENUE","BROOKLYN","NY","11211","LIVERY BASE","40.711192","-73.951373","2022-08-29T00:00:00.000","18:00:20","
,  
(40.711192, -73.951373)"
"B01509","BRUNWISH ENTERPRISES,LTD.","7183826868","No","2982","NOSTRAND AVENUE","BROOKLYN","NY","11229","LIVERY BASE","40.611528","-73.944318","2022-08-29T00:00:00.000","18:00:20","
,  
(40.611528, -73.944318)"
"B01510","JPAN TRANSPORTATION INC","7182063300","Yes","159-06","HILLSIDE AVENUE","JAMAICA","NY","11432","LIVERY BASE","40.707728","-73.8025","2022-08-29T00:00:00.000","18:00:20","
,  
(40.707728, -73.8025)"
"B01527","NEW FAMILY RAD DISP INC","2127497777","No","8","WEST  126 STREET  3 FLOOR","NEW YORK","NY","10027","LIVERY BASE","40.799069","-73.962505","2022-08-29T00:00:00.000","18:00:20","
,  
(40.799069, -73.962505)"
"B01534","METRO CAR SERVICE CORP.","7183881800","Yes","141","MAUJER ST","BROOKLYN","NY","11206","LIVERY BASE","40.713899","-73.95531","2022-08-29T00:00:00.000","18:00:20","
,  
(40.713899, -73.95531)"
"B01536","FIRST CLASS C/L SVC CORP","2123041111","Yes","4980","BROADWAY","NEW YORK","NY","10034","LIVERY BASE","40.868198","-73.91923","2022-08-29T00:00:00.000","18:00:20","
,  
(40.868198, -73.91923)"
"B01537","S.I. SPEED INC.","7182276666","No","16","GIFFORDS LANE","STATEN ISLAND","NY","10308","LIVERY BASE","40.551208","-74.150337","2022-08-29T00:00:00.000","18:00:20","
,  
(40.551208, -74.150337)"
"B01540","ROCKAWAY VIP SERVICE INC.","7186591111","No","122-21","ROCKAWAY BOULEVARD","SO. OZONE PARK","NY","11420","LIVERY BASE","40.675938","-73.815393","2022-08-29T00:00:00.000","18:00:20","
,  
(40.675938, -73.815393)"
"B01546","BELLE-ROCK OF BEACH CHANNEL INC.","7186348282","No","114-04","BEACH CHANNEL DRIVE","ROCKAWAY PARK","NY","11694","LIVERY BASE","40.580875","-73.828193","2022-08-29T00:00:00.000","18:00:20","
,  
(40.580875, -73.828193)"
"B01553","CITY LINE CAR SERVICE INC","7188485555","No","80-06","101 AVENUE","OZONE PARK","NY","11416","LIVERY BASE","40.680573","-73.858435","2022-08-29T00:00:00.000","18:00:20","
,  
(40.680573, -73.858435)"
"B01559","MUNKACS CAR SVC LTD","7188541267","No","4002","14 AVENUE","BROOKLYN","NY","11218","LIVERY BASE","40.638787","-73.984991","2022-08-29T00:00:00.000","18:00:20","
,  
(40.638787, -73.984991)"
"B01593","NOVAK GLOBAL, INC.","7185917000","Yes","77-35","164 STREET","FLUSHING","NY","11366","LIVERY BASE","40.723592","-73.804641","2022-08-29T00:00:00.000","18:00:20","
,  
(40.723592, -73.804641)"
"B01600","R & N CAR SERVICE INC.","7186582233","No","179-36","HILLSIDE AVENUE","JAMAICA","NY","11432","LIVERY BASE","40.712662","-73.78303","2022-08-29T00:00:00.000","18:00:20","
,  
(40.712662, -73.78303)"
"B01601","YOURS CAR SERVICE INC","7186805200","Yes","7205","3 AVENUE","BROOKLYN","NY","11209","LIVERY BASE","40.633303","-74.026743","2022-08-29T00:00:00.000","18:00:20","
,  
(40.633303, -74.026743)"
"B01606","LA MEXICANA EXPRESS INC.","7184375555","No","4611","5 AVENUE","BROOKLYN","NY","11220","LIVERY BASE","40.644713","-74.003866","2022-08-29T00:00:00.000","18:00:20","
,  
(40.644713, -74.003866)"
"B01614","R TRANSPORT INC","7188593400","Yes","1021","AVENUE H","BROOKLYN","NY","11230","LIVERY BASE","40.629493","-73.96644","2022-08-29T00:00:00.000","18:00:20","
,  
(40.629493, -73.96644)"
"B01616","H & B CAR AND LIMOUSINE, INC","7185072600","No","72-17","QUEENS BOULEVARD","WOODSIDE","NY","11377","LIVERY BASE","40.739709","-73.890955","2022-08-29T00:00:00.000","18:00:20","
,  
(40.739709, -73.890955)"
"B01623","JAMAICA EXPRESS CAR SERVICE INC.","7183221800","No","111-05","ROCKAWAY BOULEVARD","SOUTH OZONE PK","NY","11420","LIVERY BASE","40.677677","-73.827348","2022-08-29T00:00:00.000","18:00:20","
,  
(40.677677, -73.827348)"
"B01625","GLOBE CAR SERVICE INC","7188473500","No","112-06","101 AVENUE","RICHMOND HILL","NY","11419","LIVERY BASE","40.68813","-73.831491","2022-08-29T00:00:00.000","18:00:20","
,  
(40.68813, -73.831491)"
"B01626","LA NUEVA QUISQUEYA C/S INC","7182061616","No","87-38","148 STREET","JAMAICA","NY","11435","LIVERY BASE","40.706245","-73.80929","2022-08-29T00:00:00.000","18:00:20","
,  
(40.706245, -73.80929)"
"B01639","HIGH CLASS LIMO CAR SVCE CORP","2129261021","No","1700","JEROME AVE","BRONX","NY","10453","LIVERY BASE","40.834828","-73.945041","2022-08-29T00:00:00.000","18:00:20","
,  
(40.834828, -73.945041)"
"B01644","MUSIC EXPRESS/N.Y. INC","2127365405","No","674","CLIFTON AVENUE","CLIFTON","NJ","07011","LUXURY/LIMOUSINE","40.901484","-74.115919","2022-08-29T00:00:00.000","18:00:20","
,  
(40.901484, -74.115919)"
"B01653","ART'S PLACE INC.","7189342222","No","2077","EAST   16 STREET","BROOKLYN","NY","11229","LIVERY BASE","40.599389","-73.95554","2022-08-29T00:00:00.000","18:00:20","
,  
(40.599389, -73.95554)"
"B01667","NEW GOLDEN HORSE C/L SVC,INC.","7183589898","No","30-50","WHITESTONE EXPRESSWAY  101A","FLUSHING","NY","11354","LIVERY BASE","40.770532","-73.836442","2022-08-29T00:00:00.000","18:00:20","
,  
(40.770532, -73.836442)"
"B01678","G.T.N.Y. CAR SERVICE, INC.","2123042222","Yes","2320","HUGHES AVENUE","BRONX","NY","10458","LIVERY BASE","40.864581","-73.92253","2022-08-29T00:00:00.000","18:00:20","
,  
(40.864581, -73.92253)"
"B01699","DT BROOKLYN CAR AND LIMO SVC. INC.","7182308100","No","956","JAMAICA AVENUE","BROOKLYN","NY","11208","LIVERY BASE","40.687695","-73.972561","2022-08-29T00:00:00.000","18:00:20","
,  
(40.687695, -73.972561)"
"B01717","HIGH CLASS BRONX LIMO C/S CORP","7189331111","No","2269","HAMPDEN PLACE","BRONX","NY","10468","LIVERY BASE","40.861378","-73.91125","2022-08-29T00:00:00.000","18:00:20","
,  
(40.861378, -73.91125)"
"B01721","W.K. CAR & LIMO SERVICE INC","2122741166","No","1206","60TH STREET","BROOKLYN","NY","11219","LIVERY BASE","40.712007","-73.99515","2022-08-29T00:00:00.000","18:00:20","
,  
(40.712007, -73.99515)"
"B01726","SUPER CLASS RADIO DISP INC","7183672222","Yes","1831","GRAND CONCOURSE","BRONX","NY","10453","LIVERY BASE","40.847759","-73.907886","2022-08-29T00:00:00.000","18:00:20","
,  
(40.847759, -73.907886)"
"B01730","LUCKY EXPRESS CORPORATION","2122198886","No","47","LUDLOW STREET","NEW YORK","NY","10002","LIVERY BASE","40.71642","-73.99046","2022-08-29T00:00:00.000","18:00:20","
,  
(40.71642, -73.99046)"
"B01738","SAETA CAR SERVICE INC.","7184248282","No","80-01","31 AVENUE","EAST ELMHURST","NY","11370","LIVERY BASE","40.759078","-73.88774","2022-08-29T00:00:00.000","18:00:20","
,  
(40.759078, -73.88774)"
"B01742","AVALON TRANSPORTATION, LLC","7183611555","No","89","RIDGE RD","NORTH ARLINGTON","NJ","07031","LUXURY/LIMOUSINE","40.7846","-74.13671","2022-08-29T00:00:00.000","18:00:20","
,  
(40.7846, -74.13671)"
"B01743","TWO-WAY BLACK CARS AND RADIO GROUP TRANS INC","2126633333","No","2642","BROADWAY  3 FL","NEW YORK","NY","10025","LIVERY BASE","40.797215","-73.96941","2022-08-29T00:00:00.000","18:00:20","
,  
(40.797215, -73.96941)"
"B01745","AZUAY CORPORATION","7187384994","Yes","96-04","LIBERTY AVE","QUEENS","NY","11417","LIVERY BASE","40.68254","-73.8359","2022-08-29T00:00:00.000","18:00:20","
,  
(40.68254, -73.8359)"
"B01768","NEW SUPERIOR RADIO GRP CORP","7186180093","Yes","1748","EAST TREMONT AVENUE","BRONX","NY","10460","LIVERY BASE","40.808373","-73.929466","2022-08-29T00:00:00.000","18:00:20","
,  
(40.808373, -73.929466)"
"B01777","PREMIUM RADIO DISP & MULTI SVC","2126942222","Yes","425","EDGECOMBE AVENUE","NEW YORK","NY","10032","LIVERY BASE","40.82983","-73.94008","2022-08-29T00:00:00.000","18:00:20","
,  
(40.82983, -73.94008)"
"B01779","APEX CAR & LIMO SVCE INC","7185221313","No","903","CHERRY LN","NORTH WOODMERE","NY","11581","BLACK CAR BASE","40.672025","-73.999451","2022-08-29T00:00:00.000","18:00:20","
,  
(40.672025, -73.999451)"
"B01800","EMPIRE INTERNATIONAL LTD.","2017841200","No","225","MEADOWLANDS PARKWAY","SECAUCUS","NJ","07094","LUXURY/LIMOUSINE","40.78084","-74.080302","2022-08-29T00:00:00.000","18:00:20","
,  
(40.78084, -74.080302)"
"B01803","V.I.P. CONNECTION, INC.","7183926100","No","53-38","35 STREET","LIC","NY","11101","BLACK CAR BASE","40.735324","-73.938114","2022-08-29T00:00:00.000","18:00:20","
,  
(40.735324, -73.938114)"
"B01843","VINCENT'S LIMOUSINE SERVICE OF NEW YORK, INC.","7187290900","No","42-06","BROADWAY","ASTORIA","NY","11103","LUXURY/LIMOUSINE","40.757906","-73.917312","2022-08-29T00:00:00.000","18:00:20","
,  
(40.757906, -73.917312)"
"B01854","EUROPE LIMOUSINE SERVICE INC","2014773200","No","24","FARVIEW TERRACE","PARAMUS","NJ","07652","LUXURY/LIMOUSINE","40.922042","-74.069773","2022-08-29T00:00:00.000","18:00:20","
,  
(40.922042, -74.069773)"
"B01868","LIMO 4 LLC","2124444444","No","36-31","10TH STREET","LIC","NY","11106","LIVERY BASE","40.760313","-73.9412","2022-08-29T00:00:00.000","18:00:20","
,  
(40.760313, -73.9412)"
"B01871","ALPINE LIMOUSINE SERVICE, INC.","2013739599","No","1155","HILLSBORO MILE  SUITE 108","HILLSBORO BEACH","FL","33062","LUXURY/LIMOUSINE","40.901645","-74.070797","2022-08-29T00:00:00.000","18:00:20","
,  
(40.901645, -74.070797)"
"B01877","U.S.A. LIMO. INC.","7189444919","No","41 - 24","38 STREET","LIC","NY","11101","LUXURY/LIMOUSINE","40.638477","-73.983333","2022-08-29T00:00:00.000","18:00:20","
,  
(40.638477, -73.983333)"
"B01899","ALLSTATE PRIVATE CAR & LIMO,INC","2127411562","No","241","37 STREET  STE#1-4-B443","BROOKLYN","NY","11232","BLACK CAR BASE","40.678782","-73.98998","2022-08-29T00:00:00.000","18:00:20","
,  
(40.678782, -73.98998)"
"B01907","BEN'S LUXURY CAR & LIMOUSINE SERVICE INC","7184331212","No","43-33","35 STREET","LIC","NY","11101","LUXURY/LIMOUSINE","40.751982","-73.947523","2022-08-29T00:00:00.000","18:00:20","
,  
(40.751982, -73.947523)"
"B01913","MIRAGE LIMOUSINE SERVICE INC","7189377500","No","36 - 01","20 AVENUE  2ND FLOOR","ASTORIA","NY","11105","LUXURY/LIMOUSINE","40.777951","-73.90376","2022-08-29T00:00:00.000","18:00:20","
,  
(40.777951, -73.90376)"
"B01928","DISCOVER LIMO INC","7188517777","No","740","MYRTLE AVENUE","BROOKLYN","NY","11205","BLACK CAR BASE","40.62617","-73.994136","2022-08-29T00:00:00.000","18:00:20","
,  
(40.62617, -73.994136)"
"B01938","ALL STAR LIMOUSINE SERVICE, LTD.","6317531234","No","380","NEW HWAY","LINDENHURST","NY","11757","LUXURY/LIMOUSINE","40.717012","-73.406118","2022-08-29T00:00:00.000","18:00:20","
,  
(40.717012, -73.406118)"
"B01944","DAG NETWORK TRANSPORTATION,CORP","2122791700","No","1204","CONEY ISLAND AVENUE","BROOKLYN","NY","11230","LUXURY/LIMOUSINE","40.628184","-73.966085","2022-08-29T00:00:00.000","18:00:20","
,  
(40.628184, -73.966085)"
"B01949","FIRST CLASS OF NEW YORK INC.","7186436053","No","335","BOND STREET","BROOKLYN","NY","11231","BLACK CAR BASE","40.678782","-73.989979","2022-08-29T00:00:00.000","18:00:20","
,  
(40.678782, -73.989979)"
"B01958","ST.ALBANS-HOLLIS CAR SERVICE INC.","7187402196","No","200-10","HOLLIS AVENUE","ST. ALBANS","NY","11412","LIVERY BASE","40.705938","-73.75715","2022-08-29T00:00:00.000","18:00:20","
,  
(40.705938, -73.75715)"
"B01963","AFRO CAR SERVICE CORP","7183424200","No","73","HEGEMAN AVENUE","BROOKLYN","NY","11212","LIVERY BASE","40.65609","-73.90948","2022-08-29T00:00:00.000","18:00:20","
,  
(40.65609, -73.90948)"
"B01970","GRAFE STREET SERVICE CORP.","2123430300","No","282","AVENUE U","BROOKLYN","NY","11223","LUXURY/LIMOUSINE","40.596741","-73.973733","2022-08-29T00:00:00.000","18:00:20","
,  
(40.596741, -73.973733)"
"B01980","READY TO ROLL TRANSPORTATION, INC.","2127141900","No","865","EAST 138TH STREET","BRONX","NY","10454","LUXURY/LIMOUSINE","40.829521","-73.94488","2022-08-29T00:00:00.000","18:00:20","
,  
(40.829521, -73.94488)"
"B01984","NY 88 EXPRESS CORP.","7187060033","No","6506","11 AVENUE","BROOKLYN","NY","11219","LIVERY BASE","40.628543","-74.006362","2022-08-29T00:00:00.000","18:00:20","
,  
(40.628543, -74.006362)"
"B01985","LUXURY WORLDWIDE TRANSPORTATION, LLC","7188322600","No","209","25 STREET","BROOKLYN","NY","11232","BLACK CAR BASE","40.654091","-74.006819","2022-08-29T00:00:00.000","18:00:20","
,  
(40.654091, -74.006819)"
"B01995","NYMEX UNO EXECUTIVE SEDAN'S INC","7187861000","No","90-03","31 AVENUE","EAST ELMHURST","NY","11369","LIVERY BASE","40.760249","-73.878437","2022-08-29T00:00:00.000","18:00:20","
,  
(40.760249, -73.878437)"
"B02003","AVALON CORPORATE CAR,INC.","7184381100","No","41-24","38 STREET","LIC","NY","11101","BLACK CAR BASE","40.638477","-73.983333","2022-08-29T00:00:00.000","18:00:20","
,  
(40.638477, -73.983333)"
"B02005","CAR LINE TRANSPORTATION CORP.","7187292222","No","43-39","21 STREET  2 FLOOR","LIC","NY","11101","BLACK CAR BASE","40.749703","-73.945981","2022-08-29T00:00:00.000","18:00:20","
,  
(40.749703, -73.945981)"
"B02008","SCARSDALE TRIP SERVICE, INC.","9146942222","No","307","BOSTON POST ROAD","PORT CHESTER","NY","10573","LUXURY/LIMOUSINE","40.995225","-73.672196","2022-08-29T00:00:00.000","18:00:20","
,  
(40.995225, -73.672196)"
"B02016","PLANET LIMOUSINE LLC","5163541616","No","202","JERICHO TURNPIKE","FLORAL PARK","NY","11001","LUXURY/LIMOUSINE","40.728618","-73.703601","2022-08-29T00:00:00.000","18:00:20","
,  
(40.728618, -73.703601)"
"B02021","EASYRIDE CAR SERVICE INC.","7184445557","No","2982","NOSTRAND AVENUE","BROOKLYN","NY","11229","LIVERY BASE","40.611528","-73.944318","2022-08-29T00:00:00.000","18:00:20","
,  
(40.611528, -73.944318)"
"B02026","A RIDE FOR ALL LLC","7187067433","No","36-31","10TH STREET","LIC","NY","11106","LIVERY BASE","40.760313","-73.9412","2022-08-29T00:00:00.000","18:00:20","
,  
(40.760313, -73.9412)"
"B02027","PARIS LIMOUSINE SERVICE, CORP","7183961100","No","37-21","VERNON BOULEVARD","LIC","NY","11101","LUXURY/LIMOUSINE","40.759847","-73.943275","2022-08-29T00:00:00.000","18:00:20","
,  
(40.759847, -73.943275)"
"B02037","KINGSDALE DISPATCH INC","7187962222","No","3265","JOHNSON AVENUE","BRONX","NY","10463","LIVERY BASE","40.880379","-73.911322","2022-08-29T00:00:00.000","18:00:20","
,  
(40.880379, -73.911322)"
"B02050","MAZIN  CAR & LIMO SVC., LLC","7188450577","No","125-01","LIBERTY AVENUE","RICHMOND HILL","NY","11419","LIVERY BASE","40.688403","-73.819306","2022-08-29T00:00:00.000","18:00:20","
,  
(40.688403, -73.819306)"
"B02060","AMERICAN LIMOUSINE LLC","2015293610","No","365","RIFLE CAMP ROAD  SUITE 202","WOODLAND PARK","NJ","07424","LUXURY/LIMOUSINE","41.083191","-74.149513","2022-08-29T00:00:00.000","18:00:20","
,  
(41.083191, -74.149513)"
"B02067","GROUP AMERICAR TRANSPORTATION,LLC.","2126298833","No","718","3 AVENUE","BROOKLYN","NY","11232","BLACK CAR BASE","40.756839","-73.999141","2022-08-29T00:00:00.000","18:00:20","
,  
(40.756839, -73.999141)"
"B02093","V.J. CAR & LIMO SVC INC.","7186417777","No","104-08","123RD STREET","RICHMOND HILL","NY","11419","LIVERY BASE","40.691906","-73.82342","2022-08-29T00:00:00.000","18:00:20","
,  
(40.691906, -73.82342)"
"B02095","COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,LLC.","7187065500","No","191","HIGH STREET","WALTHAM","MA","02453","LUXURY/LIMOUSINE","40.739553","-73.936994","2022-08-29T00:00:00.000","18:00:20","
,  
(40.739553, -73.936994)"
