"brooklyn_cooperatives_comparable_properties_boro_block_lot","brooklyn_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","brooklyn_cooperatives_comparable_properties_neighborhood","brooklyn_cooperatives_comparable_properties_building_classification","brooklyn_cooperatives_comparable_properties_total_units","brooklyn_cooperatives_comparable_properties_year_built","brooklyn_cooperatives_comparable_properties_gross_sqft","brooklyn_cooperatives_comparable_properties_estimated_gross_income","brooklyn_cooperatives_comparable_properties_gross_income_per_sqft","brooklyn_cooperatives_comparable_properties_estimated_expense","brooklyn_cooperatives_comparable_properties_expense_per_sqft","brooklyn_cooperatives_comparable_properties_net_operating_income","brooklyn_cooperatives_comparable_properties_full_market_value","brooklyn_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_estimated_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_estimated_expense","comparable_rental_1_expense_per_sqft","comparable_rental_1_net_operating_income","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_distance_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_estimated_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_estimated_expense","comparable_rental_2_expense_per_sqft","comparable_rental_2_net_operating_income","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_distance_from_coop_in_miles","comparable_rental_3_boro_block_lot","comparable_rental_3_address","comparable_rental_3_neighborhood","comparable_rental_3_building_classification","comparable_rental_3_total_units","comparable_rental_3_year_built","comparable_rental_3_gross_sqft","comparable_rental_3_estimated_gross_income","comparable_rental_3_gross_income_per_sqft","comparable_rental_3_estimated_expense","comparable_rental_3_expense_per_sqft","comparable_rental_3_net_operating_income","comparable_rental_3_full_market_value","comparable_rental_3_market_value_per_sqft","comparable_rental_3_distance_from_coop_in_miles"
"3-07260-0028","2727 OCEAN PARKWAY
Brooklyn, NY 
(40.583102828046, -73.966654867772)","3","11235","40.582809","-73.967034","13","48","366","3196299","3072600028","Brighton Beach                                                             ","BRIGHTON BEACH","D4-ELEVATOR","174","1956","150000","2080500","13.87","769500","5.13","1311000","8640000","57.6","3-08665-0547","2911 BRIGHTON 5 STREET
Brooklyn, NY 
(40.580570859371, -73.963506077681)","BRIGHTON BEACH","D1-ELEVATOR","106","1963","100300","1388240","13.84","721835","7.2","666405","4393000","43.8","0.18","3-07238-0002","9 MURDOCK COURT
Brooklyn, NY 
(40.585626038791, -73.96899871783)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","180","1949","169632","2352663","13.87","869402","5.13","1483261","6479000","38.19","0.31","3-07237-0002","2775 SHORE PARKWAY
Brooklyn, NY 
(42.433188999772, -78.748646000413)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","120","1951","97,440","1,568,445","16.1","625,600","6.42","942,845","5,192,000","53.28","0.21"
"3-06709-0001","1602 AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3",,,,,,,,,,"MIDWOOD","D4-ELEVATOR","129","1941","149400","1489518","9.97","654372","4.38","835146","4796000","32.1","3-06706-0020","950 14 STREET
Brooklyn, NY 
(40.626245139372, -73.962581423736)","MIDWOOD","D1-ELEVATOR","88","1963","93078","1051781","11.3","609661","6.55","442120","2662000","28.6","0.15","3-06716-0042","1417 AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","MIDWOOD","D1-ELEVATOR","96","1926","96000","849655","8.85","420066","4.38","429589","2277000","23.72","0.19","3-06712-0066","1412 OCEAN AVENUE
Brooklyn, NY 
(40.627705724269, -73.956863986256)","MIDWOOD","D1-ELEVATOR","54","1936","66,150","659,324","9.97","417,790","6.32","241,534","1,485,000","22.45","0.16"
"3-05280-0047","112 2 STREET
Brooklyn, NY 
(40.677697865902, -73.991774392129)","3",,,,,,,,,,"WINDSOR TERRACE","D4-ELEVATOR","114","1940","149760","1627891","10.87","1003392","6.7","624499","3729000","24.9","3-05307-0045","70 DAHILL ROAD
Brooklyn, NY 
(40.645724928724, -73.981091594871)","KENSINGTON","D1-ELEVATOR","122","1934","149450","1101447","7.37","771162","5.16","330285","1958000","13.1","0.32","3-05317-0011","170 4 STREET
Brooklyn, NY 
(40.676513339023, -73.99276764366)","KENSINGTON","D1-ELEVATOR","71","1962","62400","896450","14.37","493664","7.91","402786","1980000","31.73","0.12",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"3-05095-0001","1409 ALBEMARLE ROAD
Brooklyn, NY 
(40.646674618568, -73.966301486921)","3","11226","40.646617","-73.966195","14","40","1522","3117031","3050950001","Flatbush                                                                   ","FLATBUSH-CENTRAL","D4-ELEVATOR","29","1938","30039","300017","9.99","154898","5.16","145119","906000","30.16","3-05121-0007","1722 ALBEMARLE ROAD
Brooklyn, NY 
(40.646902005582, -73.963333558425)","FLATBUSH-CENTRAL","D1-ELEVATOR","36","1937","37108","344855","9.29","203689","5.49","141166","839000","22.61","0.21","3-05120-0018","190 17 STREET
Brooklyn, NY 
(40.603810693227, -74.007526449658)","FLATBUSH-CENTRAL","D1-ELEVATOR","47","1934","47460","573167","12.08","363894","7.67","209273","1332000","28.07","0.17","3-05097-0060","105 BUCKINGHAM ROAD
Brooklyn, NY 
(40.64824817316, -73.964756934013)","FLATBUSH-CENTRAL","D1-ELEVATOR","61","1937","66,600","733,390","11.01","368,496","5.53","364,894","1,958,000","29.4","0.13"
"3-01902-0022","165 CLINTON AVENUE
Brooklyn, NY 
(40.692953760517, -73.968733817438)","3","11205","40.692793","-73.968735","2","35","195","3054797","3019020022","Clinton Hill                                                               ","CLINTON HILL","D4-ELEVATOR","61","1954","76200","1239012","16.26","666750","8.75","572262","3895000","51.12","3-01917-0045","266 WASHINGTON AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","CLINTON HILL","D3-ELEVATOR","114","1928","105360","1584511","15.04","849656","8.06","734855","5049000","47.92","0.14","3-02045-0053","62 CLERMONT AVENUE
Brooklyn, NY 
(40.695656362033, -73.971398455784)","FORT GREENE","D9-ELEVATOR","26","2005","35176","614880","17.48","331623","9.43","283257","2044000","58.11","0.24",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"3-07238-0042","2610 OCEAN PARKWAY
Brooklyn, NY 
(40.586355335546, -73.966541318593)","3","11235","40.586363","-73.966233","13","47","37401","3196062","3072380042","Gravesend                                                                  ","OCEAN PARKWAY-SOUTH","D4-ELEVATOR","56","1964","51800","786842","15.19","313390","6.05","473452","3254000","62.82","3-07238-0082","9 NIXON COURT
Brooklyn, NY 
(40.584929947208, -73.968887837998)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","120","1951","97440","1568445","16.1","617175","6.33","951270","6483000","66.53","0.05","3-07214-0039","621 AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","60","1949","58570","784221","13.39","306162","5.23","478059","2156000","36.81","0.18","3-07199-0005","20 OCEAN COURT
Brooklyn, NY 
(40.590174016073, -73.966647635164)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","65","1963","43,890","666,761","15.19","265,645","6.05","401,116","2,757,000","62.82","0.27"
"3-07268-0001","2885 12 STREET
Brooklyn, NY 
(40.576808780649, -73.979573892067)","3",,,,,,,,,,"CONEY ISLAND","D4-ELEVATOR","1760","1960","1736700","32215785","18.55","22472898","12.94","9742887","70057000","40.34","3-07055-0013","2950 24 STREET
Brooklyn, NY 
(40.574797359265, -73.990957409813)","CONEY ISLAND","D1-ELEVATOR","360","1972","380000","6646013","17.49","3181083","8.37","3464930","25001000","65.79","0.73","3-07014-0001","2428 NEPTUNE AVENUE
Brooklyn, NY 
(40.578166207029, -73.991882080373)","CONEY ISLAND","D1-ELEVATOR","172","1974","147000","2748900","18.7","1320060","8.98","1428840","8325000","56.63","0.73","3-06911-0006","2629 CROPSEY AVENUE
Brooklyn, NY 
(40.581338573306, -73.985731991852)","GRAVESEND","D1-ELEVATOR","106","1987","75,586","1,427,023","18.88","699,264","9.25","727,759","4,575,000","60.53","1.08"
"3-01777-0015","250 PULASKI STREET
Brooklyn, NY 
(40.693204675912, -73.94171156903)","3","11206","40.69323","-73.941668","3","36","281","3348297","3017770015","Stuyvesant Heights                                                         ","BEDFORD STUYVESANT","D4-ELEVATOR","66","1975","77740","984095","12.66","505478","6.5","478617","3203000","41.2","3-01799-0013","572 GREENE AVENUE
Brooklyn, NY 
(40.688806306965, -73.947421679156)","BEDFORD STUYVESANT","D1-ELEVATOR","84","1931","71884","1261861","17.55","694531","9.66","567330","2849000","39.63","0.4","3-01778-0089","41 KOSCIUSZKO STREET
Brooklyn, NY 
(40.690391978495, -73.953651904239)","BEDFORD STUYVESANT","D1-ELEVATOR","109","1959","86826","1396162","16.08","368142","4.24","1028020","1045000","12.04","0.63",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"3-01176-0032","408 ST JOHN'S PLACE
Brooklyn, NY 
(40.673873099011, -73.964414672881)","3","11238","40.673921","-73.964566","8","35","215","3029524","3011760032","Prospect Heights                                                           ","PROSPECT HEIGHTS","D4-ELEVATOR","36","1924","41800","784586","18.77","393338","9.41","391248","2812000","67.27","3-01179-0097","159 EASTERN PARKWAY
Brooklyn, NY 
(40.672155871843, -73.963919647188)","PROSPECT HEIGHTS","D1-ELEVATOR","72","1927","52140","1007760","19.33","478674","9.18","529086","3794000","72.77","0.05","3-01179-0116","171 EASTERN PARKWAY
Brooklyn, NY 
(40.672069314355, -73.963591445858)","PROSPECT HEIGHTS","D1-ELEVATOR","23","1929","12266","223227","18.2","118271","9.64","104956","755000","61.55","0.05",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"3-00259-0047","30 WILLOW PLACE
Brooklyn, NY 
(40.693145764041, -73.997863514126)","3","11201","40.693069","-73.997876","2","33","7","3002298","3002590047","Brooklyn Heights-Cobble Hill                                               ","BROOKLYN HEIGHTS","C6-WALK-UP","15","1900","13925","391929","28.15","148882","10.69","243047","1749000","125.6","3-00234-0050","112 WILLOW STREET
Brooklyn, NY 
(40.697807683421, -73.995646637483)","BROOKLYN HEIGHTS","C1-WALK-UP","12","1900","9450","258657","27.37","92490","9.79","166167","1155000","122.22","0.32","3-00274-0035","88 STATE STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","BROOKLYN HEIGHTS","C1-WALK-UP","14","1910","9504","276265","29.07","91761","9.65","184504","1385000","145.73","0.13",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"3-07423-0011","2425 HARING STREET
Brooklyn, NY 
(40.593373264322, -73.939499054956)","3","11235","40.593173","-73.939491","15","48","596","3203615","3074230011","Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ","SHEEPSHEAD BAY","D4-ELEVATOR","240","1953","242160","3252209","13.43","1368204","5.65","1884005","12483000","51.55","3-07422-0917","2440 29 STREET
Brooklyn, NY 
(40.575866953862, -73.995486224446)","SHEEPSHEAD BAY","D1-ELEVATOR","113","1961","117500","1443094","12.28","813915","6.93","629179","3990000","33.96","0.15","3-07422-0146","2835 OCEAN AVENUE
Brooklyn, NY 
(40.59216247823, -73.949955874325)","SHEEPSHEAD BAY","D1-ELEVATOR","200","1949","159996","2148300","13.43","1201982","7.51","946318","6270000","39.19","0.55","3-07308-0032","3280 NOSTRAND AVENUE
Brooklyn, NY 
(40.604189422494, -73.942647655171)","MADISON","D1-ELEVATOR","181","1961","186,257","2,966,960","15.93","1,477,890","7.93","1,489,070","10,163,000","54.56","0.78"
"3-00739-0032","570 44 STREET
Brooklyn, NY 
(40.647514057723, -74.005293310883)","3",,,,,,,,,,"SUNSET PARK","C6-WALK-UP","16","1914","14112","186278","13.2","94409","6.69","91869","631000","44.71","3-00719-0033","460 41 STREET
Brooklyn, NY 
(40.58952362598, -73.99560636338)","SUNSET PARK","C1-WALK-UP","16","1917","14240","200655","14.09","102828","7.22","97827","679000","47.68","0.21","3-00774-0004","4815 4 AVENUE
Brooklyn, NY 
(40.647449634805, -74.011417216372)","SUNSET PARK","C1-WALK-UP","12","1904","11172","137414","12.3","68868","6.16","68546","435000","38.94","0.25",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"3-06252-0042","7714 BAY PARKWAY
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3","11214","40.606704","-73.988882","11","44","270","3161648","3062520042","Bensonhurst West                                                           ","BENSONHURST","D4-ELEVATOR","47","1937","48000","593280","12.36","252960","5.27","340320","2155000","44.9","3-06253-0001","7705 BAY PARKWAY
Brooklyn, NY 
(42.433188999772, -78.748646000413)","BENSONHURST","D1-ELEVATOR","62","1953","65220","783661","12.02","423185","6.49","360476","2295000","35.19","0.11","3-06219-0029","7402 BAY PARKWAY
Brooklyn, NY 
(42.433188999772, -78.748646000413)","BENSONHURST","D1-ELEVATOR","65","1928","75000","926680","12.36","395026","5.27","531654","3367000","44.89","0.16","3-06621-0006","1602 10 STREET
Brooklyn, NY 
(40.609818735904, -73.963394687626)","GRAVESEND","D1-ELEVATOR","47","1931","45,600","581,924","12.76","302,738","6.64","279,186","1,694,000","37.15","0.33"
"3-00385-0060","95 WYCKOFF STREET
Brooklyn, NY 
(40.68576076322, -73.98999898871)","3","11201","40.685726","-73.989969","2","33","69","3005822","3003850060","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ","BOERUM HILL","C6-WALK-UP","12","1931","8782","194697","22.17","84746","9.65","109951","788000","89.73","3-00385-0029","122 BERGEN STREET
Brooklyn, NY 
(40.686083256249, -73.988926743576)","BOERUM HILL","C1-WALK-UP","14","1900","8400","162348","19.33","65830","7.84","96518","660000","78.57","0","3-00198-0065","303 BERGEN STREET
Brooklyn, NY 
(40.683305807784, -73.98156798279)","BOERUM HILL","C1-WALK-UP","11","1915","11000","262297","23.85","125789","11.44","136508","994000","90.36","0.51","3-00389-0013","322 BERGEN STREET
Brooklyn, NY 
(40.683119895232, -73.98124650338)","BOERUM HILL","C1-WALK-UP","12","1931","7,200","159,624","22.17","72,720","10.1","86,904","636,000","88.33","0.5"
"3-05268-0033","651 VANDERBILT STREET
Brooklyn, NY 
(40.654479118942, -73.973813569582)","3","11218","40.654057","-73.974823","7","39","50202","3122195","3052680033","Windsor Terrace                                                            ","WINDSOR TERRACE","D4-ELEVATOR","155","1963","162439","1523568","9.38","692176","4.26","831392","3366000","20.72","3-05287-0021","800 GREENWOOD AVENUE
Brooklyn, NY 
(40.652110497801, -73.973936718777)","WINDSOR TERRACE","D1-ELEVATOR","63","1941","67500","927400","13.74","421755","6.25","505645","3337000","49.44","0.22","3-05285-0001","50 OCEAN PARKWAY
Brooklyn, NY 
(40.650142253722, -73.975440172525)","WINDSOR TERRACE","D7-ELEVATOR","59","1937","67602","917807","13.58","513793","7.6","404014","2607000","38.56","0.25","3-05330-0024","217 7 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","KENSINGTON","D1-ELEVATOR","174","1951","146,066","1,885,594","12.91","1,005,458","6.88","880,136","5,412,000","37.05","0.58"
"3-08782-0007","2330 VOORHIES AVENUE
Brooklyn, NY 
(40.586580947985, -73.945658232594)","3","11235","40.586616","-73.945624","15","48","600","3247146","3087820007","Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ","SHEEPSHEAD BAY","D4-ELEVATOR","105","1962","109258","1614833","14.78","736399","6.74","878434","6059000","55.46","3-08805-0036","2790 COYLE STREET
Brooklyn, NY 
(40.58544918255, -73.934269961234)","SHEEPSHEAD BAY","D1-ELEVATOR","76","1961","73000","1120755","15.35","568057","7.78","552698","3794000","51.97","0.6","3-08782-0034","4750 BEDFORD AVENUE
Brooklyn, NY 
(40.586079784839, -73.944055539233)","SHEEPSHEAD BAY","D3-ELEVATOR","112","1964","105440","1557995","14.78","710733","6.74","847262","5844000","55.42","0","3-07458-0036","3255 SHORE PARKWAY
Brooklyn, NY 
(42.433188999772, -78.748646000413)","SHEEPSHEAD BAY","D1-ELEVATOR","76","1955","64,600","923,780","14.3","498,712","7.72","425,068","2,945,000","45.59","0.56"
"3-03077-0001","54 BOERUM STREET
Brooklyn, NY 
(40.705483887167, -73.947173663591)","3","11206","40.705512","-73.947161","1","34","491","3327971","3030770001","East Williamsburg                                                          ","WILLIAMSBURG-EAST","D4-ELEVATOR","772","1965","751412","10715135","14.26","6537284","8.7","4177851","28953000","38.53","3-02186-0001","555 WYTHE AVENUE
Brooklyn, NY 
(40.705035857796, -73.966460893803)","WILLIAMSBURG-CENTRAL","D3-ELEVATOR","647","1975","748308","10098934","13.5","5514178","7.37","4584756","30355000","40.56","0.81","3-01588-0001","157 MARCUS
Brooklyn, NY 
(42.433188999772, -78.748646000413)","BEDFORD STUYVESANT","D6-ELEVATOR","272","1976","290715","4145596","14.26","2238506","7.7","1907090","12457000","42.85","0.75","3-01785-0020","210 KOSCIUSZKO STREET
Brooklyn, NY 
(40.691170776996, -73.9463843632)","BEDFORD STUYVESANT","D1-ELEVATOR","101","1974","104,920","1,564,357","14.91","828,868","7.9","735,489","3,720,000","35.46","0.94"
"3-00264-0010","132 JORALEMON STREET
Brooklyn, NY 
(40.692950040845, -73.994025499159)","3","11201","40.692964","-73.993953","2","33","7","3002533","3002640010","Brooklyn Heights-Cobble Hill                                               ","BROOKLYN HEIGHTS","C6-WALK-UP","14","1900","8700","133314","15.32","23328","2.68","109986","755000","86.78","3-00216-0020","70 MIDDAGH STREET
Brooklyn, NY 
(40.70016556285, -73.99231291955)","BROOKLYN HEIGHTS","C1-WALK-UP","11","1900","9102","129734","14.25","54265","5.96","75469","515000","56.58","0.51","3-00263-0019","277 HENRY STREET
Brooklyn, NY 
(40.692178261626, -73.995504815284)","BROOKLYN HEIGHTS","C1-WALK-UP","14","1900","6345","116932","18.43","51818","8.17","65114","468000","73.76","0.07",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"3-01068-0037","9 PROSPECT PARK
Brooklyn, NY 
(40.700781920764, -73.990361072133)","3","11215","40.661354","-73.96968","55","39","177","3000000","3011170001","park-cemetery-etc-Brooklyn                                                 ","PARK SLOPE","D4-ELEVATOR","43","1929","120000","1933200","16.11","966000","8.05","967200","6591000","54.93","3-01078-0016","530 2 STREET
Brooklyn, NY 
(40.670711051002, -73.977282710454)","PARK SLOPE","D1-ELEVATOR","47","1920","39261","653750","16.65","364847","9.29","288903","2091000","53.26","0.28","3-01169-0019","214 STERLING PLACE
Brooklyn, NY 
(40.676145109919, -73.970860936377)","PROSPECT HEIGHTS","D1-ELEVATOR","35","1936","31000","451795","14.57","236190","7.62","215605","1375000","44.35","0.28",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"3-00208-0508","2 MONTAGUE TERRACE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3","11201","40.695547","-73.99744","2","33","301","3001519","3002080508","Brooklyn Heights-Cobble Hill                                               ","BROOKLYN HEIGHTS","D4-ELEVATOR","25","1917","54966","1310939","23.85","622765","11.33","688174","5011000","91.17","3-00247-0028","74 MONTAGUE STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","BROOKLYN HEIGHTS","D3-ELEVATOR","59","1912","54640","1261698","23.09","662715","12.13","598983","4356000","79.72","0.25","3-00242-0008","111 MONTAGUE STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","BROOKLYN HEIGHTS","D7-ELEVATOR","33","1902","32000","793249","24.79","348516","10.89","444733","3232000","101","0.25",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"3-00237-0008","161 HENRY STREET
Brooklyn, NY 
(40.695782755051, -73.993772598593)","3","11201","40.695759","-73.993826","2","33","502","3001882","3002370008","Brooklyn Heights-Cobble Hill                                               ","BROOKLYN HEIGHTS","D4-ELEVATOR","31","1906","51110","1106532","21.65","534100","10.45","572432","4196000","82.1","3-00237-0020","145 HENRY STREET
Brooklyn, NY 
(40.696294859157, -73.993523573907)","BROOKLYN HEIGHTS","D1-ELEVATOR","42","1922","40410","874770","21.65","377959","9.35","496811","3642000","90.13","0","3-00236-0007","75 PIERREPONT STREET
Brooklyn, NY 
(40.695649532469, -73.994588307022)","BROOKLYN HEIGHTS","D1-ELEVATOR","36","1925","25818","555648","21.52","245668","9.52","309980","2273000","88.04","0.09","3-00235-0046","136 HICKS STREET
Brooklyn, NY 
(40.697494602253, -73.994828916018)","BROOKLYN HEIGHTS","D9-ELEVATOR","46","1920","48,414","1,129,535","23.33","395,281","8.16","734,254","5,357,000","110.65","0.13"
"3-02100-0072","101 LAFAYETTE AVENUE
Brooklyn, NY 
(40.687275391457, -73.974093567735)","3","11217","40.687261","-73.974093","2","35","181","3058921","3021000072","Fort Greene                                                                ","FORT GREENE","D4-ELEVATOR","202","1931","134500","2386030","17.74","1096175","8.15","1289855","9301000","69.15","3-02100-0076","93 LAFAYETTE AVENUE
Brooklyn, NY 
(40.687226548276, -73.974510613358)","FORT GREENE","D1-ELEVATOR","78","1936","57460","1249953","21.75","643634","11.2","606319","4162000","72.43","0","3-01946-0004","379 WASHINGTON AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","CLINTON HILL","D5-ELEVATOR","86","1905","113924","2020566","17.74","928931","8.15","1091635","7872000","69.1","0.49","3-01917-0045","266 WASHINGTON AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","CLINTON HILL","D3-ELEVATOR","114","1928","105,360","1,584,511","15.04","849,656","8.06","734,855","5,049,000","47.92","0.43"
"3-08669-0073","3039 OCEAN PARKWAY
Brooklyn, NY 
(40.577109737578, -73.968021840707)","3","11235","40.576697","-73.96843","13","48","362","3244591","3086690073","Brighton Beach                                                             ","BRIGHTON BEACH","C6-WALK-UP","31","1925","28480","341475","11.99","155216","5.45","186259","1186000","41.64","3-08669-0093","2985 OCEAN PARKWAY
Brooklyn, NY 
(40.578276914446, -73.967757280617)","BRIGHTON BEACH","C1-WALK-UP","39","1922","34000","407788","11.99","236527","6.96","171261","1091000","32.09","0","3-08716-0080","3047 BRIGHTON 13 STREET
Brooklyn, NY 
(40.579359485036, -73.955902832961)","BRIGHTON BEACH","C1-WALK-UP","41","1926","30800","416251","13.51","155379","5.04","260872","1397000","45.36","0.61","3-08717-0017","3075 BRIGHTON 14 STREET
Brooklyn, NY 
(40.578227413196, -73.955681988431)","BRIGHTON BEACH","C1-WALK-UP","35","1928","25,200","367,668","14.59","194,796","7.73","172,872","1,194,000","47.38","0.65"
"3-07253-0001","2830 OCEAN PARKWAY
Brooklyn, NY 
(40.581204722363, -73.967724227278)","3","11235","40.581135","-73.967434","13","47","35601","3320735","3072530001","West Brighton                                                              ","CONEY ISLAND","D4-ELEVATOR","1557","1962","1800000","33390000","18.55","23292000","12.94","10098000","72611000","40.34","3-08719-0073","161 CORBIN PLACE
Brooklyn, NY 
(40.578078853004, -73.954129416858)","BRIGHTON BEACH","D5-ELEVATOR","63","1964","49600","964944","19.45","507317","10.23","457627","3105000","62.6","0.87","3-07014-0001","2428 NEPTUNE AVENUE
Brooklyn, NY 
(40.578166207029, -73.991882080373)","CONEY ISLAND","D1-ELEVATOR","172","1974","147000","2748900","18.7","1320060","8.98","1428840","8325000","56.63","1.2","3-07052-0014","2914 28 STREET
Brooklyn, NY 
(40.575152880535, -73.994259277938)","CONEY ISLAND","D1-ELEVATOR","178","1975","149,954","2,781,819","18.55","1,723,633","11.49","1,058,186","7,609,000","50.74","1.39"
"3-00238-0065","40 CLINTON STREET
Brooklyn, NY 
(40.69537538413, -73.991931928639)","3","11201","40.695374","-73.9919","2","33","502","3001936","3002380065","Brooklyn Heights-Cobble Hill                                               ","BROOKLYN HEIGHTS","D4-ELEVATOR","153","1964","116245","3091035","26.59","1174593","10.1","1916442","13858000","119.21","3-00236-0103","52 CLARK STREET
Brooklyn, NY 
(40.697726780722, -73.994156212372)","BROOKLYN HEIGHTS","D5-ELEVATOR","142","1928","79460","2625082","33.04","1318324","16.59","1306758","9714000","122.25","0.14","3-00221-0020","80 CRANBERRY STREET
Brooklyn, NY 
(40.699509473307, -73.992619178155)","BROOKLYN HEIGHTS","D6-ELEVATOR","137","1900","108780","2458853","22.6","985722","9.06","1473131","10766000","98.97","0.23","3-00237-0037","115 HENRY STREET
Brooklyn, NY 
(40.697259675244, -73.993054948951)","BROOKLYN HEIGHTS","D7-ELEVATOR","42","1921","31,692","947,093","29.88","376,744","11.89","570,349","4,273,000","134.83","0.05"
"3-06568-0033","1360 OCEAN PARKWAY
Brooklyn, NY 
(40.615528406624, -73.969156210971)","3","11230","40.615623","-73.968858","12","44","444","3172890","3065680033","Ocean Parkway South                                                        ","OCEAN PARKWAY-NORTH","D4-ELEVATOR","176","1964","174082","2344885","13.47","1225537","7.04","1119348","7413000","42.58","3-06568-0015","1314 OCEAN PARKWAY
Brooklyn, NY 
(40.61663257771, -73.969360065167)","OCEAN PARKWAY-NORTH","D1-ELEVATOR","65","1929","54600","771445","14.13","393649","7.21","377796","2486000","45.53","0","3-06542-0001","1201 OCEAN PARKWAY
Brooklyn, NY 
(40.619360848307, -73.969230360802)","OCEAN PARKWAY-NORTH","D1-ELEVATOR","56","1953","60780","818470","13.47","428116","7.04","390354","2585000","42.53","0.19","3-06587-0017","1420 OCEAN PARKWAY
Brooklyn, NY 
(40.614001485049, -73.968853660418)","OCEAN PARKWAY-NORTH","D1-ELEVATOR","60","1941","64,200","811,455","12.64","339,946","5.3","471,509","2,387,000","37.18","0.19"
"3-00285-0010","122 ATLANTIC AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3","11201","40.69059","-73.995658","6","39","45","3339351","3002850010","Carroll Gardens-Columbia Street-Red Hook                                   ","COBBLE HILL","C6-WALK-UP","14","1900","9615","266775","27.75","62156","6.46","204619","1474000","153.3","3-00291-0033","155 AMITY STREET
Brooklyn, NY 
(40.689015766905, -73.995272946075)","COBBLE HILL","C1-WALK-UP","16","1910","8000","232302","29.04","109046","13.63","123256","925000","115.63","0.05","3-00263-0045","20 SIDNEY PLACE
Brooklyn, NY 
(40.692407482192, -73.994512632422)","BROOKLYN HEIGHTS","C1-WALK-UP","26","1900","12024","436067","36.27","161687","13.45","274380","2023000","168.25","0.14","3-00284-0025","108 ATLANTIC AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","COBBLE HILL","C7-WALK-UP","12","1915","11,490","221,823","19.31","91,256","7.94","130,567","936,000","81.46","0.1"
"3-06495-0001","855 7 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3",,,,,,,,,,"OCEAN PARKWAY-NORTH","D4-ELEVATOR","131","1963","123271","1455831","11.81","554720","4.5","901111","5756000","46.69","3-06503-0051","505 ELMWOOD AVENUE
Brooklyn, NY 
(40.627467926682, -73.972428273732)","OCEAN PARKWAY-NORTH","D1-ELEVATOR","65","1938","71500","844135","11.81","464079","6.49","380056","2288000","32","0.17","3-05421-0006","665 OCEAN PARKWAY
Brooklyn, NY 
(40.63219382373, -73.97166657326)","OCEAN PARKWAY-NORTH","D1-ELEVATOR","53","1931","55500","646997","11.66","346669","6.25","300328","1782000","32.11","0.18","3-05423-0049","716 OCEAN PARKWAY
Brooklyn, NY 
(40.630899490022, -73.972056927531)","OCEAN PARKWAY-NORTH","D1-ELEVATOR","47","1931","54,500","525,469","9.64","239,848","4.4","285,621","1,693,000","31.06","0.21"
