"program_type","program","site_name","borough_community","agency","contact_number","grade_level_age_group","location_1","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"Family Support","Older Adult Program","Jewish Community Council of Greater Coney Island, Inc.","Brooklyn","Jewish Community Council of Greater Coney Island, Inc.","718.449.5000","Seniors","3001 37th Street
Brooklyn, NEW YORK 11224
(40.573273749724, -74.002490640031)",,,,,,,,,
"Family Support","Housing Assistance & Advocacy","Bedford Park ","Bronx","Citizens Advice Bureau, Inc.","718.293.0727","Adults","2925 Grand
Bronx, NEW YORK 10468
(40.867850652405, -73.899511666178)",,,,,,,,,
"Family Support","Older Adult Program","Aging In America Community Services, Inc","Bronx","Aging In America Community Services, Inc","718.409.7979","Seniors","1500 Pelham Parkway
Bronx, NEW YORK 10461
(40.85710649549, -73.843675159553)","10461","40.857026","-73.843125","11","13","296","2047109","2042220005","Pelham Parkway                                                             "
"Family Support","Older Adult Program","Natl Sorority Phi Delta Kappa, Beta Omicron Big Sr EASC Inc.","Queens","Natl Sorority Phi Delta Kappa, Beta Omicron Big Sr EASC Inc.","718.723.1119","Seniors","117 08 Merrick Boulevard
Queens, NEW YORK 11434
(40.676945262114, -73.775306901692)","11434","40.686925","-73.774756","12","27","282","4267990","4123670234","St. Albans                                                                 "
"Family Support","Older Adult Program","Council of Neighborhood Organizations, Inc.","Brooklyn","Council of Neighborhood Organizations, Inc.","718.853.0100","Seniors","3911 Fort Hamilton Parkway
Brooklyn, NEW YORK 11218
(40.64308126028, -73.990561184992)","11218","40.643053","-73.990649","12","39","224","3135280","3055850006","Borough Park                                                               "
"Family Support","Older Adult Program","St Matthews & St. Timonthys Neighborhood Center, Inc.","New York","St. Matthews & St. Timothys Neighborhood Center, Inc.","212.362.6750","Seniors","263 86th Street
New York, NEW YORK 10024
(40.788712841075, -73.977363025007)",,,,,,,,,
"Family Support","Housing Assistance & Advocacy","Flatbush Development Corporation","Brooklyn","Flatbush Development Corporation","718.859.3800","Adults","1616 Newkirk Avenue
Brooklyn, NEW YORK 11226
(40.63599627408, -73.962302128878)","11226","40.63604","-73.962241","14","40","518","3121203","3052370006","Flatbush                                                                   "
"Family Support","Fatherhood Initiative","Washington Houses Community Center ","New York ","Union Settlement Association","212.828.6113","16 to 24","237 104th Street
New York, NEW YORK 10029
(40.789924588094, -73.944769131203)",,,,,,,,,
"Family Support","Older Adult Program","COJO of Flatbush","Flatbush","Council of Jewish Organizations of Flatbush                 ","718.627.5602","Seniors","1658 Coney Island Ave
Flatbush, NEW YORK 11230
(40.616970915723, -73.963785333505)","11230","40.616964","-73.963703","12","44","454","3173147","3065730016","Ocean Parkway South                                                        "
"Family Support","Housing Assistance & Advocacy","Citizens Advice Bureau, Inc.","Bronx","Citizens Advice Bureau, Inc.","718.293.0727","Adults","632 Southern Boulevard
Bronx, NEW YORK 10455
(40.812893537386, -73.901332703215)","10455","40.812991","-73.90108","2","8","83","2004141","2026030150","Longwood                                                                   "
"Family Support","Older Adult Program","U.J. C. of the East Side","Lower East Side","United Jewish Council of the East Side, Inc.                ","212.233.6037","Seniors","235 Broadway
Lower East Side, NEW YORK 10002
(40.714321356872, -73.986610944442)","10279","40.712362","-74.007817","1","1","21","1087167","1001237501","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"Family Support","Older Adult Program","Ridgewood Bushwick Senior Citizen Housing","Brooklyn","Ridgewood Bushwick Senior Citizens Council","718.821.0254","Seniors","143 Himrod St
Brooklyn, NEW YORK 11221
(40.697299886504, -73.922662646575)","11221","40.697278","-73.922638","4","37","421","3393892","3032660045","Bushwick South                                                             "
"Family Support","Domestic Violence Program","Fannie Lou Hammer High School","Bronx","The Children’s Aid Society","212.503.6837","MS/HS","1021 Jennings Street
Bronx, NEW YORK 10464
(40.83092140207, -73.886333383789)","10460","40.83087","-73.88626","3","17","157","2010945","2030130001","Crotona Park East                                                          "
"Family Support","Housing Assistance & Advocacy","Stryckers Bay Neighborhood Council, Inc.","New York","Stryckers Bay Neighborhood Council, Inc.","212.874.7272","Adults","63 87th Street
New York, NEW YORK 10024
(40.787026471645, -73.971338792434)",,,,,,,,,
"Family Support","Parent Education and Family Support","Public School 261 - Philip Livingston Elementary School","Brooklyn","Fifth Avenue Committee, Inc.","718 624 3475",,"314 Pacific Street
Brooklyn, NEW YORK 11201
(40.687425557961, -73.988225455468)","11201","40.687466","-73.988288","2","33","43","3001070","3001880014","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Family Support","Older Adult Program","Mercy Houses","Bronx","Neighborhood Self-Help by Older Persons Projects, Inc.","718.542.0006","Seniors","644 232 Street
Bronx, NEW YORK 10466
(40.893237164413, -73.859331559099)",,,,,,,,,
"Family Support","Fatherhood Initiative","Project Bridge ","Brooklyn","Catholic Charities Neighborhood Services, Inc.","718.628.1905","16 to 24","52 Wilson Avenue
Brooklyn, NEW YORK 11237
(40.702590552559, -73.929089057738)","11237","40.702549","-73.928986","4","34","425","3072069","3031640026","Bushwick South                                                             "
"Family Support","Older Adult Program","Asian Americans for Equality","Flushing","Asian Americans for Equality                                ","718.961.0888","Seniors","133 04 39th Avenue
Flushing, NEW YORK 11354
(40.768620220647, -73.827190280707)","11354","40.75909","-73.834194","7","20","871","4112274","4049730006","Flushing                                                                   "
"Family Support","Parent Education and Family Support","Ralph Lincoln Service Center, Inc.","Brooklyn","Ralph Lincoln Service Center, Inc.","718.604.1358",,"261 Buffalo Avenue
Brooklyn, NEW YORK 11213
(40.67003864097, -73.92540014432)","11213","40.669991","-73.925427","8","41","359","3037201","3013870007","Crown Heights North                                                        "
"Family Support","HIV/AIDS Support Services","Davidson Community Center, Inc.","Bronx","Davidson Community Center, Inc.","718.731.6360",,"2038 Davidson Avenue
Bronx, NEW YORK 10453
(40.853748378517, -73.908539967339)","10453","40.853537","-73.908741","5","14","243","2008399","2028630028","University Heights-Morris Heights                                          "
"Family Support","Older Adult Program","Riverdale YM-YWHA","Bronx","Riverdale YM-YWHA","718.548.8200","Seniors","5625 Arlington Avenue
Bronx, NEW YORK 10471
(40.905054392366, -73.907145804678)","10471","40.905009","-73.907133","8","11","323","2086312","2059520374","North Riverdale-Fieldston-Riverdale                                        "
"Family Support","Domestic Violence Program","Edith and Carl Marks Jewish Community House of Bensonhurst","Brooklyn","Edith and Carl Marks Jewish Community House of Bensonhurst","718.331.6800",,"7802 Bay Parkway
Brooklyn, NEW YORK 11214
(40.606424326706, -73.989192742721)","11214","40.606369","-73.989235","11","44","270","3162352","3062640030","Bensonhurst West                                                           "
"Family Support","Older Adult Program","Jaime Towers","Bronx","Neighborhood Self-Help by Older Persons Projects, Inc.","718.542.0006","Seniors","2050 Seward Avenue
Bronx, NEW YORK 10473
(40.820490158387, -73.853089936926)","10473","40.820502","-73.853085","9","18","74","2092668","2035670001","Soundview-Castle Hill-Clason Point-Harding Park                            "
"Family Support","Fatherhood Initiative","Strive/East Harlem Employment Service, Inc. ","New York ","East Harlem Employment Services, Inc.","212.360.1100","16 to 24","240 123rd Street
New York, NEW YORK 10035
(40.801631007365, -73.935035566046)",,,,,,,,,
"Family Support","Older Adult Program","San Andres Church","Bronx","Neighborhood Self-Help by Older Persons Projects, Inc.","718.542.0006","Seniors","351 Soundview Avenue
Bronx, NEW YORK 10473
(40.813006954452, -73.857389981858)","10473","40.813278","-73.857646","9","18","2","2020476","2034730030","Soundview-Castle Hill-Clason Point-Harding Park                            "
"Family Support","Older Adult Program","Wayside Out Reach Development, Inc","Brooklyn","Wayside Out Reach Development, Inc","718.453.2700","Seniors","1746 60
Brooklyn, NEW YORK 11207
(40.670802431187, -73.893841150049)",,,,,,,,,
"Family Support","Fatherhood Initiative","Family and Community Support Services","Brooklyn","Family and Community Support Services","347.879.3367","16 to 24","124 Utica
Brooklyn, NEW YORK 11233
(40.677525932386, -73.930335168178)",,,,,,,,,
"Family Support","Fatherhood Initiative","Nursing Family Partnership ","Bronx","Visiting Nurse Service of New York","718.402.3900 ","16 to 24","489 491 East 153 Street
Bronx, NEW YORK 10454
(40.805846930092, -73.916285046518)",,,,,,,,,
"Family Support","Fatherhood Initiative","Friends of the Island Academy ","New York ","Friends of Island Academy","212.760.0755","16 to 24","330 38th Street
New York, NEW YORK 10018
(40.755442281976, -73.993381175372)",,,,,,,,,
"Family Support","Domestic Violence Program","Aging in America, Inc. ","Bronx","Aging In America Community Services, Inc.","718.409.7961",,"1500 Pelham Parkway
Bronx, NEW YORK 10461
(40.85710649549, -73.843675159553)","10461","40.857026","-73.843125","11","13","296","2047109","2042220005","Pelham Parkway                                                             "
"Family Support","Older Adult Program","Restoration Plaza ","Brooklyn","Institute For Puerto Rican Hispanic Elderly, Inc.","212.677.4181","Seniors","1368 Fulton Street
Brooklyn, NEW YORK 11216
(40.680167097693, -73.94592248315)","11216","40.680175","-73.945717","3","36","247","3053786","3018620014","Crown Heights North                                                        "
"Family Support","Housing Assistance & Advocacy","Audubon Partnership for Economic Development LDC","New York","Audubon Partnership for Economic Development LDC","212.544.2400","Adults","513 207th Street
New York, NEW YORK 10034
(40.864970711924, -73.919474891004)",,,,,,,,,
"Family Support","Older Adult Program","COJO of Flatbush","Flatbush","Council of Jewish Organizations of Flatbush                 ","718.627.5602","Seniors","1658 Coney Island Ave
Flatbush, NEW YORK 11230
(40.616970915723, -73.963785333505)","11230","40.616964","-73.963703","12","44","454","3173147","3065730016","Ocean Parkway South                                                        "
"Family Support","Fatherhood Initiative","Ralph Lincoln Service Center ","Brooklyn","Ralph Lincoln Service Center, Inc.","718.604.1358","16 to 24","261 Buffalo Avenue
Brooklyn, NEW YORK 11213
(40.67003864097, -73.92540014432)","11213","40.669991","-73.925427","8","41","359","3037201","3013870007","Crown Heights North                                                        "
"Family Support","Older Adult Program","Plaza Senior Center","Brooklyn","Ridgewood Bushwick Senior Citizens Council","718.821.0254","Seniors","297 Wilson Avenue
Brooklyn, NEW YORK 11237
(40.69707632239, -73.919286470077)","11237","40.697004","-73.919201","4","37","433","3346536","3033070004","Bushwick North                                                             "
"Family Support","Parent Education and Family Support","Columbus -Amsterdam Business Improvement District","New York","West Side Campaign Against Hunger Church of St. Paul","212.362.3662",,"263 96th Street
New York, NEW YORK 10024
(40.783625568166, -73.966539000574)",,,,,,,,,
"Family Support","Older Adult Program","Brooklyn Chinese American Association","Brooklyn","Brooklyn Chinese American Association","718.438.9312","Seniors","5010 8th Avenue
Brooklyn, NEW YORK 11220
(40.641053712241, -74.003818581755)","11220","40.640998","-74.003848","7","38","108","3013420","3007940042","Sunset Park East                                                           "
"Family Support","Older Adult Program","BCA Senior Center ","Brooklyn","Brooklyn Chinese American Association","718.438.9312","Seniors","6809 20th Avenue
Brooklyn, NEW YORK 11204
(40.614704025531, -73.987710397179)","11204","40.61468","-73.987765","11","47","258","3135071","3055790007","Bensonhurst West                                                           "
"Family Support","Older Adult Program","Carol Gardens","Bronx","Neighborhood Self-Help by Older Persons Projects, Inc.","718.542.0006","Seniors","880 Thieriot Avenue
Bronx, NEW YORK 10473
(40.823278882673, -73.86241277558)","10473","40.823093","-73.862394","9","18","42","2092758","2036420001","Soundview-Castle Hill-Clason Point-Harding Park                            "
"Family Support","Economic Development","Cypress Hills Local Development Corporation","Brooklyn","Cypress Hills Local Development Corporation","718.647.2800",,"3214 Fulton Street
Brooklyn, NEW YORK 11208
(40.682413520105, -73.876447583086)","11208","40.682465","-73.876328","5","37","1178","3092647","3041410014","Cypress Hills-City Line                                                    "
"Family Support","Older Adult Program","Vladeck Cares N.O.R.C. ","New York","Henry Street Settlement","212.766.9200","Seniors","351 Madison Street
New York, NEW YORK 10002
(40.713407305685, -73.982487365932)","10002","40.71334","-73.982772","3","2","202","1083404","1002670024","Lower East Side                                                            "
"Family Support","Older Adult Program","Jackson Heights Senior Center","Queens","Institute For Puerto Rican Hispanic Elderly, Inc.","212.677.4181","Seniors","75 01
Queens, NEW YORK 11373
(40.738710402563, -73.878351155182)",,,,,,,,,
"Family Support","Housing Assistance & Advocacy","163rd Street Improvement Council, Inc.","Bronx","163rd Street Improvement Council, Inc.","718.589.5080","Adults","1345 Franklin Avenue
Bronx, NEW YORK 10456
(40.832870242985, -73.901107176224)","10456","40.832877","-73.901087","3","16","149","2115487","2029310079","Morrisania-Melrose                                                         "
"Family Support","Older Adult Program","Yolanda Senior Center","Brooklyn","Ridgewood Bushwick Senior Citizens Council","718.821.0254","Seniors","78 Troutman
Brooklyn, NEW YORK 11206
(40.698803277888, -73.930954660269)",,,,,,,,,
"Family Support","Housing Assistance & Advocacy","AAFE Chinatown / Lower East Side","New York","Asian Americans for Equality","212.680.1374","Adults","108 Norfolk Street
New York, NEW YORK 10002
(40.718974773687, -73.987058941506)","10002","40.718954","-73.987056","3","1","1402","1075815","1003530052","Lower East Side                                                            "
"Family Support","Substance Abuse Education and Prevention","P.S. 19 ","Queens","Hellenic American Neighborhood Action Committee (HANAC)     ","718-204-1200","3rd through 5th","98 02 Roosevelet Avenue
Queens, NEW YORK 11368
(40.749678220374, -73.853040688577)",,,,,,,,,
"Family Support","HIV/AIDS Support Services","SEP at Worldwide Evangelical Church","Queens","AIDS Center of Queens County, Inc.","718.896.2500",,"113 02
Queens, NEW YORK 11405
(40.704669000074, -73.794258999553)",,,,,,,,,
"Family Support","Older Adult Program","Guardians of the Sick, Inc.","Brooklyn","Guardians of the Sick, Inc.","718.438.2020","Seniors","5216 11th Avenue
Brooklyn, NEW YORK 11219
(40.635910755078, -73.998398351425)","11219","40.635862","-73.998429","12","44","218","3138585","3056600050","Borough Park                                                               "
"Family Support","Housing Assistance & Advocacy","Catholic Charities Community Service, Archdiocese of N Y","New York","Catholic Charities Community Service, Archdiocese of N Y","212.371.1000","Adults","1011 First Avenue
New York, NEW YORK 10022
(40.757278332489, -73.963713878292)","10022","40.757271","-73.963692","6","5","108","1039972","1013480023","Turtle Bay-East Midtown                                                    "
"Family Support","Older Adult Program","ARC XVI FT. WASHINGTON INC.","New York","ARC XVI FT. WASHINGTON INC.","212.781.5700","Seniors","4111 Broadway
New York, NEW YORK 10033
(40.84516033875, -73.938788841624)","10033","40.845128","-73.938763","12","10","263","1063501","1021420133","Washington Heights South                                                   "
"Family Support","Older Adult Program","RAIN Boston Secor S.C.","Bronx","Regional Aid For Interim Needs, Inc. (R.A.I.N.)","718.892.5520","Seniors","3540 Bivona Street
Bronx, NEW YORK 10475
(40.883439744726, -73.833333313261)","10475","40.883026","-73.833227","12","12","46202","2093879","2052630070","Co-op City                                                                 "
"Family Support","Older Adult Program","AAFE Queens","Queens","Asian Americans for Equality","212.680.1374","Seniors","133 04 39th Avenue
Queens, NEW YORK 11354
(40.768620220647, -73.827190280707)","11354","40.75909","-73.834194","7","20","871","4112274","4049730006","Flushing                                                                   "
"Family Support","Fatherhood Initiative","Fortune Society","Queens","The Fortune Society, Inc.","347.510.3619","16 to 24","29 76 Northern Blvd
Queens, NEW YORK 11101
(40.745702449808, -73.938669029252)","11101","40.750433","-73.935323","1","26","171","4003410","4002390049","Hunters Point-Sunnyside-West Maspeth                                       "
"Family Support","Parent Education and Family Support","Make the Road New York -Queens","Queens","Make the Road New York","718-565-8500","17 and up","49 06 Skillman Avenue
Queens, NEW YORK 10302
(40.630833311108, -74.137734298699)","11377","40.74622","-73.915056","2","26","25301","4001161","4001340027","Hunters Point-Sunnyside-West Maspeth                                       "
"Family Support","Older Adult Program","Goodwin Senior Center","Brooklyn","Ridgewood Bushwick Senior Citizens Council","718.821.0254","Seniors","55 Goodwin Place
Brooklyn, NEW YORK 11221
(40.691613703909, -73.923798653094)","11221","40.691369","-73.923405","4","34","395","3319576","3032940042","Bushwick South                                                             "
"Family Support","Young Parent Education & Family Support","Brooklyn Child and Family Services ","Brooklyn","Brooklyn Child and Family Services","718 330-0845",,"44 60 Rockwell Place
Brooklyn, NEW YORK 11217
(40.682312101322, -73.979567188575)",,,,,,,,,
"Family Support","Older Adult Program","RAIN Multi Services for Seniors","Bronx","Regional Aid For Interim Needs, Inc.(R.A.I.N.)","718.892.5520","Seniors","2368 Westchester
Bronx, NEW YORK 10462
(40.836448853178, -73.847042267664)",,,,,,,,,
"Family Support","Housing Assistance & Advocacy","Catholic Charities Community Services-Washington Heights ","New York","Catholic Charities Community Service, Archdiocese of N Y","212.371.1000","Adults","4111 Broadway
New York, NEW YORK 10033
(40.84516033875, -73.938788841624)","10033","40.845128","-73.938763","12","10","263","1063501","1021420133","Washington Heights South                                                   "
"Family Support","Housing Assistance & Advocacy","Cooper Square Community Development & Business Association","New York","Cooper Square Community Development & Business Association","212.228.8210","Adults","61 4th Street
New York, NEW YORK 10003
(40.726940950792, -73.991133556521)",,,,,,,,,
"Family Support","Health Stat Initiative","Northern Manhattan Improvement Corporation","New York","Northern Manhattan Improvement Corporation","212.822.8344","All Ages","76 Wadsworth Ave
New York, NEW YORK 10033
(40.847051676059, -73.937044724943)","10033","40.847012","-73.93704","12","10","263","1063574","1021450051","Washington Heights South                                                   "
"Family Support","Older Adult Program","American Italian Coalition of Organizations, Inc.","Brooklyn","American Italian Coalition of Organizations, Inc.","718.256.3445","Seniors","138 Bay 20th Street
Brooklyn, NEW YORK 11214
(40.603729360661, -74.004003416594)","11214","40.603701","-74.004001","11","43","280","3167752","3064040042","Bath Beach                                                                 "
"Family Support","Parent Education and Family Support","P.S. 38 Pacific Elementary School ","Brooklyn","Fifth Avenue Committee, Inc.","718 624 3475",,"450 Pacific Street
Brooklyn, NEW YORK 11217
(40.68532070903, -73.982843647386)","11217","40.685264","-73.982639","2","33","39","3001183","3001910001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
