"type_of_business","business_type_other","company_name","company_description","street_address","apt_number","borough","postal_code","business_phone","contact_name","contact_title","contact_phone","contact_fax","location_1","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"Music Company",,"Sefarad Records & Management","Sefarad Records & Management promotes Judeo-Spanish, Middle Eastern, Flamenco, and French music and artists. The label has ten CD releases, one song book and two more CDs scheduled for release at the beginning of 2005. Our management company represents the various artists on the Sefarad Records label. We book The Ivory Consort, The Gerard Edery Ensemble, The Sons of Sepharad, The Minstrel and the Storyteller, as well as solo artists and smaller ensembles. Our programs include ""Flamenco Sepharad"", ""Music in the Land of Three Faiths"", ""Treasures of World Song"" and many more.","18 West 21st Street","Suite 801","Manhattan","10010","212-924-3746","Thia Knowlton","Manager","212-924-3746","212-924-3749","18 21st Street
Manhattan, NY 10010
(40.739815300726, -73.989553857544)","40.740619","-73.991379","5","3","54","1015504","1008220052","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"Magazine / Newspaper / Publishing","Newspaper","El Diario - La Prensa","Established in 1913, El Diario - La Prensa is the oldest Spanish-language daily newspaper in America and the #1 read newspaper in New York.  It's also the longest running and one of the most reputable Hispanic media organizations in the United States.","345 Hudson Street","13th Floor","Manhattan","10014","212-807-4600","Jorge Ayala","General Sales Manager","212-807-4608","212-807-4746","345 Hudson Street
Manhattan, NY 10014
(40.727478755408, -74.007313086992)","40.72754","-74.007295","2","3","37","1010378","1005980058","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"Cultural Center",,"El Taller Latino Americano","El Taller Latino American (The Latin American Workshop) is an Latin American arts and education organization located on the Upper West Side. Visit us to hear live music, and see art exhibits.","2710 Broadway","3rd Floor","Manhattan","10025","(212)655-9460","Franklin","Office Manager","(212)665-9460","(212)280-0680","2710 Broadway
Manhattan, NY 10025
(40.799563020733, -73.968182172111)","40.799558","-73.968299","7","7","191","1056574","1018750046","Upper West Side                                                            "
"PR / Communications / Marketing",,"Sur Communications LLC","Sur Communications LLC is a boutique public relations agency that specializes in the US Hispanic market from public relations to event planning to market research. We deliver on all fronts Creativity Expertise and Results.","740 West End Ave",,"New York","10025","201-650-1418","Maria Belen Reyfman","Partner and Director","201-650-1418","212-665-8494","740 End Ave
New York, NY 10025
(40.796850127631, -73.963725810598)","40.795352","-73.973126","7","6","183","1056059","1018680001","Upper West Side                                                            "
"Magazine / Newspaper / Publishing",,"Selecciones","Selecciones empowers the Hispanic family in the U.S. with content that is practical, informative and inspirational - providing news on extraordinary people, the latest trends and relevant service, all while celebrating the diversity of the Hipsanic experience.","260 Madison Ave.","5th Floor","Manhattan","10016","(212)850-7212","Rosanne Tifre","Associate Publisher","(212)850-7212","(212)850-7228","260 Madison Ave
Manhattan, NY 10016
(40.750576949797, -73.980907578826)","40.750707","-73.980828","5","4","82","1017230","1008680016","Murray Hill-Kips Bay                                                       "
"Magazine / Newspaper / Publishing",,"ImpreMedia","ImpreMedia is the #1 Spanish language newspaper and online news publisher in the United States. They provide marketers with effective multi-platform solutions in print and online to reach the rapidly growing and influential Latino market.","345 Hudson St.","13th Floor","Manhattan","10014","(212)807-4626","Erich Linker","SVP National Advertising","(212)807-4626","(212)807-4746","345 Hudson St
Manhattan, NY 10014
(40.727478755408, -74.007313086992)","40.72754","-74.007295","2","3","37","1010378","1005980058","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"Production Company",,"Newyoricanfilms","Newyoricanfilms develops and films its own independent projects.","77 Fulton Street","# 298","Manhattan","10038","212-393-9039","Ralph Nieves","Owner","917-589-4056","212-393-9047","77 Fulton Street
Manhattan, NY 10038
(40.709136981936, -74.005528281463)","40.708837","-74.005176","1","1","1501","1083353","1000940001","Battery Park City-Lower Manhattan                                          "
"Internet",,"NYMosaico","Online guide to Latin American and Latino culture in NYC.  Site is made up of event listings, articles, interviews, forum, photo galleries, and more!  ARTE . CULTURA . MUSICA . CINE . COMER Y BEBER ","236 Devoe St.","#2","Brooklyn","11211","646-265-5241","Claire Frisbie","Editor-in-Chief","646-265-5241","718-387-3560","236 Devoe St
Brooklyn, NY 11211
(40.713953656867, -73.941348930102)","40.713977","-73.941318","1","34","481","3330336","3029190118","East Williamsburg                                                          "
"Music Company",,"Tu Casa Entertainment Inc.","Multi-level Entertainment Company - Talent Management / Music Publishing / Marketing / TV  Film Casting","139 Norfolk Street","Storefront","Manhattan","10002","212-677-6370","Maribel Schumacher","President","212-677-6370","212-677-6448","139 Norfolk Street
Manhattan, NY 10002
(40.71997302114, -73.98655532117)","40.720071","-73.986515","3","1","3001","1004315","1003540027","Chinatown                                                                  "
"Other",,"Medialink","Medialink is a global leader in providing unique news and marketing media strategies and solutions that enable corporations and organizations to inform and educate their target audiences with maximum impact on television, radio, print and the Internet.","708 Third Avenue",,"Manhattan","10017","(212)682-8300","Laurence Moskowitz","Chairman, President & CEO","(212)682-8300","(212)682-5260","708 Third Avenue
Manhattan, NY 10017
(40.752370069933, -73.973323362724)","40.752328","-73.973324","6","4","92","1036177","1012990033","Turtle Bay-East Midtown                                                    "
"Cable Network",,"ESPN Deportes","ESPN Deportes is ESPN new 24-hour, Spanish-language sports network serving the U.S. Hispanic sports fans. ESPN Deportes telecasts a wide variety of domestic and international sports programming, including Major League Baseball, the NBA, the NFL, UEFA Champions League, Wimbledon, the French Open, IRL Indy Car Series, and more. ESPN Deportes also showcases a selection of Spanish-language sports and information shows, including a its own production of SportsCenter. Since launching on January 7, ESPN Deportes has secured distribution agreements with six of the ten largest cable operators in the U.S., including Adelphia, Cablevision, Charter, Cox, Insight, Cable One, and with the National Cable Television Cooperative (NCTC).  ESPN Deportes affiliates serve many of the largest U.S. Hispanic markets including Los Angeles, New York, Miami-Ft. Lauderdale, Houston, Dallas-Ft. Worth, San Antonio, Phoenix, Denver, and San Diego.","77 West 66th Street","21st Floor","Manhattan","10023","212-456-7777","Felix Perez","Director of Sales","212-456-0268","212-456-0236","77 66th Street
Manhattan, NY 10023
(40.773344208255, -73.980867928929)","40.773247","-73.980691","7","6","153","1082810","1011190008","Lincoln Square                                                             "
"Production Company",,"AfterDark CATV PROductions, Inc","CATV PRO is a multi-media, 501 c3 organization and producers of REBEL MEDIA. The programming concept of A.C.E.S. describes the various areas through which advocates and acivists address issues of social change and evolution. They include, but are not limited to, art, culture, entrepreneurs, education, and services. Our productions incorporate and feature alternative news and information from reliable independent news and information media sources around the world. Our links and networks focus on presenting perspective excluded from the traditional and mainstream sources on both P.E.G. Access TV and the Internet. Our programs reach every basic cable subcriber in a given market as well as being web streamed worldwide. CATV PRO also provides media production services to businesses and organzations  producing commercials, PSAs, industrial videos, and archival footage for marketing and public education purposes. ","1425 Bryant Avenue","Box 16","Bronx","10459","(646) 546-0206","Felix Leo Campos","President","(646) 546-0206",,"1425 Bryant Avenue
Bronx, NY 10459
(40.831174330358, -73.888317370965)","40.830702","-73.888569","3","17","123","2099622","2029940138","Crotona Park East                                                          "
"Advertising",,"Directo Hispano, Inc.","We help our clients to plan and execute their Hispanic direct marketing campaigns. We have a flexible business model that lets us give them the lowest Agency or project fee out there. In other words, they will have access to the leading Hispanic direct marketers, with substansial savings for their company.","436 E. 58th St.","Suite 3D","Manhattan","10022","(212)935-9353","Humberto Freydell","Partner","(212)935-9353",,"436 58th St
Manhattan, NY 10022
(40.758603896653, -73.961614941852)","40.758588","-73.961525","6","5","10601","1040547","1013690031","Turtle Bay-East Midtown                                                    "
"Production Company",,"The Latino Group","A production company formed by a group of Latino filmmakers in New York, whose mission is to help, support and foster innovative filmmaking by or about the Latino experience in the US.","107 Suffolk Street","Suite 311","Manhattan","10002","212-475-6601","Vlamyr Vizcaya","director","212-475-6601","877-764-4783","107 Suffolk Street
Manhattan, NY 10002
(40.719521874541, -73.985837319549)","40.718943","-73.986122","3","1","1402","1004301","1003530054","Lower East Side                                                            "
"Advertising",,"GlobalHue ","Mission statement: To provide ""Never the Expected"" marketing and advertising solutions to our client partners' business needs.","300 Park Avenue South","6th Floor","Manhattan","10010","(212)344-16111","Christopher Campos","EVP, Director of Client Services","(212)344-16111","(917)344-1616","300 Park Avenue
Manhattan, NY 10010
(40.739988278581, -73.986662938156)","40.739921","-73.986569","5","2","56","1016286","1008510035","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"PR / Communications / Marketing",,"Cindy Byram PR","Music PR company with focus on crossover media coverage from Latin to non-Latin. Specializes in artists from Spain and Latin America releasing CDs and touring in North America","49 West 27th St","#930","Manhattan","10001","212-545-7536","Cindy Byram","Director","201-400-4104","212-889-2771","49 27th St
Manhattan, NY 10001
(40.74487910835, -73.989594992225)","40.744911","-73.98974","5","3","58","1015676","1008290007","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"Other",,"Casita Maria Center for Arts and Education","The mission of the Casita Maria Center for the Arts and Education is to empower youth and their families by creating a culture of learning through high quality social, cultural, and educational opportunities.  For 75 years Casita Maria has responded to community needs.  Today we offer a wide range of after-school and in-school art and education programs; music, dance, theater, and other performances; and gallery exhibitions.","928 Simpson Street",,"Bronx","10459","718-589-2230","Sarah Calderon","Executive Director","718-589-2230","718-842-4622","928 Simpson Street
Bronx, NY 10459
(40.820629050188, -73.893030457108)","40.820579","-73.893128","2","17","89","2116211","2027230033","Hunts Point                                                                "
"Production Company",,"Silent Warrior Productions/The New Family Theater, LLC","A Latino-flavored film, stage, and multi-media production company. Projects range from two independent films recently showcased in the NY International Latino Film Festival: ""The STARSEED incident"" (Myztico Campo) and ""18B Justice"" (Ralph Nieves) to various stage projects such as original theater & spoken word pieces and revival presentations of Pinero works. Antone Pagan and Scott Morfee will present ""SHORT EYES"" for the 2004/05 season.","357 West 45th Street","# 2FE","Manhattan","10036","917-337-0164","Antone Pagan","President/Executive Artistic Director","917-337-0164","212-459-1910","357 45th Street
Manhattan, NY 10036
(40.759859591513, -73.989972121829)","40.759826","-73.989947","4","3","121","1085020","1010360005","Clinton                                                                    "
"Advertising",,"HispanicWorks","At HispanicWorks, we see the brand, not the Hispanic consumer, as the outsider. Our mission is to build bridges into the Hispanic community for our Client brands in a way that drives preference and generates revenue.","220 5th Ave","11th Floor","Manhattan","10001","(212)252-8800","William Ortiz","President","(212)252-8800","(212)252-0002","220 5th Ave
Manhattan, NY 10001
(40.743732570643, -73.988034005181)","40.74361","-73.988091","5","2","58","1015650","1008280035","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"Production Company",,"BigLou Films","Company Motto: No Flim Is A Small Film. Award winning Producer (Manito 10X Award Winning). Film & Digital Filmmaking, Video Production Services Film & Digital), Script Development (stage & film), Casting Services ,Location Scouting, Coaching for Actors, Editing Services, Video Taping, Music Video Production, and Consulting Services.","P.O. Box 918",,"Bronx","10455","347-879-6894","Lou Torres","CEO","917-208-8170","347-879-6894","918 Bronx
NY,  10455
(40.813535754971, -73.905355252043)",,,,,,,,
"Production Company",,"RiverFish Productions Inc.","RiverFish Productions Inc., is a New York City based multi-media company.  We specialize in television programming targeting the US Hispanic market in English.","30 West 61 Street",,"Manhattan","10023","212-489-9781","Isabel Rivera","President","212-489-9781","212-489-9781","30 61 Street
Manhattan, NY 10023
(40.76991996204, -73.982638958884)","40.769998","-73.982739","7","3","145","1027195","1011137501","Lincoln Square                                                             "
"Music Company",,"Mariachi Real De Mexico","Mariachi Real De Mexico is considered to be the ambassador of mariachi music in New York. They are also founders of the Mariachi Academy of New York. The first and only mariachi educational program in New York.","84-19 112th Street",,"Queens","11418","917-673-7101","Ramon Ponce","Director","917-673-7101",,"84 19 112th Street
Queens, NY 11418
(40.696370412365, -73.840310249918)","40.701893","-73.838639","9","32","130","4192329","4092100033","Richmond Hill                                                              "
"Theater",,"Thalia Spanish Theatre","It's always Hispanic Heritage Month at Thalia Spanish Theatre, the only bilingual Hispanic theatre in the borough of Queens.  Its mission is to celebrate the vibrancy and diversity of Spanish and Latin American culture and heritage with unique productions of theatre, music and dance.","41-17 Greenpoint Avenue",,"Queens","11104","718-729-3880","Kathryn Giaimo","Administrative Director","718-729-3880","718-729-3388","41 17 Greenpoint Avenue
Queens, NY 11104
(40.744893366636, -73.920541345307)","40.740108","-73.9238","2","26","18502","4002638","4001960001","Hunters Point-Sunnyside-West Maspeth                                       "
"PR / Communications / Marketing","P.R. Event Productions, Jingles, Publicity campaigns","Aurora Communications, Inc.","Premier Latina/woman owned firm specializing in producing special events production; publicity campaigns, music bookings and management, packaged information, scripts, jingles, articles, brochures, annual reports, position papers, creative copy.","4 East 107th Street","14C","Manhattan","10029","212-876-1936","Aurora Flores","President & Creative Director","646-345-7474","212-410-2999","4 107th Street
Manhattan, NY 10029
(40.794910278981, -73.950561021411)","40.794831","-73.950344","11","9","17401","1051514","1016120001","East Harlem South                                                          "
"Production Company",,"Wild(child)","Wild(child) offers elite editing, graphics, inferno/flame, and audio services for broadcast.","44 W. 28th St","14th Floor","Manhattan","10001","(212)725-5333","Alexandra Leal","Executive Producer","(212)725-5333","(212)725-2932","44 28th St
Manhattan, NY 10001
(40.745512259041, -73.989332821325)","40.745556","-73.989386","5","3","58","1015707","1008290068","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"Advertising",,"Hispanamerica","We believe Hispanic consumers deserve excellent brand experiences at all points of their relationship with a company, from acquisition through retention and winback.  Our mission is to build and maintain those consumer relationships for our clients.","49 W. 37th St.","13th Floor","Manhattan","10018","(212)994-0202","Beatriz Mallory","CEO & Chief Strategist","(212)994-0202","(212)994-0203","49 37th St
Manhattan, NY 10018
(40.751193299594, -73.985130416766)","40.751018","-73.984758","5","4","84","1015958","1008390009","Midtown-Midtown South                                                      "
"Production Company",,"Big Mama","Big Mama is a new company with a fresh attitude that emerged out of frequent requests by clients to work with South American and European directors for advertising commercials. Big Mama's goal is to provide clients with high quality work at a fraction of the cost by offering exceptional local directors, production and post-production as one package.","27 W. 24th Street","Suite 9D","Manhattan","10010","(212)431-4400","Lorenzo Benedick","Executive Producer","(212)431-4400","(212)431-4445","27 24th Street
Manhattan, NY 10010
(40.741372722233, -73.987050687716)","40.742718","-73.990292","5","3","58","1015595","1008260019","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"Advertising",,"Conill","Our purpose is to transform our clients' brands, businesses and reputations within the rapidly expnading U.S. Latino market.","375 Hudson St.","8th Floor","Manhattan","10014","(212)463-2500","Cynthia McFarlane","EVP/Managing Director","(212)463-2500","(212)463-2509","375 Hudson St
Manhattan, NY 10014
(40.728434198916, -74.007163149531)","40.728435","-74.007151","2","3","37","1010379","1005990064","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"Production Company",,"Hispanicspots.com","Hispanic Spots offers original production of commercials and corporate videos for the Hispanic and general market in Spanish and English We also provide adaptation of television radio print and internet advertising campaigns for the US Hispanic market Latin America and Spain and voice-over or subtitle Spanish programs into English or other languages Other services casting multilingual voice-overs and foreign accent narration dubbing translation transcription and subtitling.","5 West 36th Street","4th Floor","Manhattan","10018","212-489-6035","Julie H. Setbon","CEO","212-489-6035","212-202-4790","5 36th Street
Manhattan, NY 10018
(40.749853164796, -73.983869603502)","40.749898","-73.984011","5","4","84","1080728","1008380038","Midtown-Midtown South                                                      "
"Advertising",,"Winglatino","Winglatino generates ideas from the ""insight-out"".  There is no better way to connect brands with a moving target.","114 5th Avenue","11th Floor","Manhattan","10011","(212)500-9400","Jackie Bird","President/CEO","(212)500-9400","(212)500-9483","114 5th Avenue
Manhattan, NY 10011
(40.737716644778, -73.992355948259)","40.737696","-73.992397","5","3","54","1015394","1008180051","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"Cable Network",,"HITN-TV","Hispanic Information & Telecommunications Network TV began operations in 1987 as the first Hispanic public television network in the U.S.  Reaching an audience of 12.5 million, HITN-TV is the #1 distributed Spanish-language cable network in the U.S., and is the source for educational, enriching and empowering content (e3) for our nation's largest and fastest-growing minority group.","449 Broadway","3rd Fl","Manhattan","10013","212-966-5660","Jill Lewis","Director of Public Relations","212-966-5660","212-966-5725","449 Broadway
Manhattan, NY 10013
(40.720431675375, -74.00099843296)","40.720437","-74.001014","2","1","47","1003021","1002310036","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"Other",,"Emanon Entertainment, Inc.","Emanon Entertainment, Inc.is the product of an enterprising Latina, Rosalind Rodriguez. Emanon is a full service organization that fosters the continuous development of artist management, consulting and media divisions that cater to all aspects of the entertainment industry.  Early 2004 a catering division was created with new partner Chef Steve Paret their clients have been Nickelodeon, Convergence, model Heidi Klum, Comedy Central.","30-27 31 Street","Ste.4A","Queens","11102","718-204-8276","Rosalind Rodriguez / Steve Paret","President / CFO","718-204-8276","718-204-0668","30 27 31 Street
Queens, NY 11102
(40.771524024514, -73.926435450735)","40.766193","-73.921947","1","22","63","4444962","4006150126","Astoria                                                                    "
"Advertising",,"National Cable Communications","NCC is the nation's premiere Spot Cable advertising firm. NCC is the only company who represents every U.S. market and reaches virtually every wired cable home. We harness the enormous impact of every MSO's new technologies, products and services on behalf of America's leading regional and national advertisers","405 Lexington Ave","6th Floor","Manhattan","10174","(212)548-3300","Greg Schaefer","President","(212)548-3300","(212)519-0099","405 Lexington Ave
Manhattan, NY 10174
(40.751376000102, -73.975844999847)","40.751823","-73.97576","6","4","92","1036156","1012970023","Turtle Bay-East Midtown                                                    "
"Television Network",,"Telemundo Communications","Telemundo aims to entertain, inform and serve the Spanish-speaking U.S. Hispanic population with a comprehensive and quality broadcasting service. To provide advertising agencies and corporate clients with a wide spectrum of marketing and promotional opportunities to effectively and efficiently reach Telemundo network and station viewers.","30 Rockefeller Plaza",,"Manhattan","10112","(212)664-4444","Don Browne","President","(212)664-4444","(212)664-7985","30 Rockefeller Plaza
Manhattan, NY 10112
(40.759031999727, -73.978372000367)","40.758754","-73.978692","5","4","104","1076262","1012657501","Midtown-Midtown South                                                      "
"Advertising",,"OLE","Our philosophy is in our name.  For Hispanics ""ole!"" is an expression that celebrates creativity, enthusiasm and things well done.  That is OLE's promise: clients should asy ""ole!"" after seeing our work and what is does for their business.","41-51 E. 11th St.","11th Floor","Manhattan","10003","(212)465-3222","Javier Escobedo","Managing Partner","(212)465-3222","(212)937-3652","41 51 E 11th St
Manhattan, NY 10003
(40.731943947555, -73.98887214913)","40.733164","-73.99296","2","2","61","1009127","1005630001","West Village                                                               "
"Advertising",,"Reynardus & Moya Advertising","We are committed to creating measurable value for our clients in every service we offer; a great work environment where our people can thrive; relevant advertising that touches the heart and talks to the intellect; above all we are committed to our clients' success.","817 Broadway","2nd Floor","Manhattan","10003","(212)204-8340","Jorge E. Reynardus","Principal","(212)204-8340","(212)979-9357","817 Broadway
Manhattan, NY 10003
(40.73318406175, -73.991132870299)","40.733043","-73.99116","2","2","61","1009134","1005630031","West Village                                                               "
"Other",,"National Association of Latino Independent Producers","National members organization of Latino/a film, television and documentary writers, directors, producers and craftspeople, educators, advocates and students.  eNewsletter LATINOS IN THE INDUSTRY, a national conference and other programs develop skills and relationships to increase employment and projects by and about Latinos.","32 Broadway","Fl. 14","Manhattan","10004","646-336-6664","Kathryn Galan","Executive Director","310-457-4445","310-589-9997","32 Broadway
Manhattan, NY 10004
(40.706042522906, -74.013085321034)","40.706045","-74.013096","1","1","9","1078979","1000220017","Battery Park City-Lower Manhattan                                          "
"Advertising",,".30 Segundos LLC","Mission statement: Create impactful advertising that connects with Hispanic comsumers emotionally and rationally in order to influence their decision.","110 5th Avenue",,"Manhattan","10011","(212)463-1196","Marta Ferreira","Partner","(212)463-1196",,"110 5th Avenue
Manhattan, NY 10011
(40.737500807491, -73.992508833004)","40.737424","-73.992599","5","3","54","1015393","1008180041","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"Magazine / Newspaper / Publishing",,"MIRA!","Mira! Features exclusive news, gossip and goings-on about the hottest movie, music and TV stars in the Latino community. With its emphasis on newsstand sales, Mira! Is the Spanish language celebrity title that's ""bought to be read"".","One Park Avenue",,"Manhattan","10016","(212)743-6683","Michelle Cortes","Associate Publisher","(212)743-6683","(212)743-6627","One Park Avenue
Manhattan, NY 10016
(40.745242969987, -73.978232985864)",,,,,,,,
