"program_type","program","site_name","borough_community","agency","contact_number","grade_level_age_group","location_1","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"After-School Programs","Beacon","PS 1","Brooklyn","SCO Family of Services","718.492.2619","6 and up","309 47th Street
,  11220
(40.649194277667, -74.012497228156)","11220","40.649042","-74.012289","7","38","80","3011821","3007550022","Sunset Park West                                                           "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S./I.S. 225 EILEEN E. ZAGLIN","Brooklyn","Shorefront YM-YWHA","(347) 274-3417","OST","1075 OCEAN VIEW AVENUE
,  11235
(40.579791094425, -73.956433505479)","11235","40.579737","-73.956329","13","48","61004","3245498","3087120056","Brighton Beach                                                             "
"After-School Programs,Jobs & Internships,Youth Employment","In-School Youth Employment (ISY)","Public School 80 - The Michael J. Petrides School","Staten Island","Police Athletic League, Inc.","212.477.6504","High School","715 Ocean Terrace
,  10301
(40.607458917131, -74.101488293171)","10301","40.608517","-74.102078","2","50","177","5113169","5006830001","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","YMCA/Eastern District 2","Brooklyn","YMCA of Greater New York/North Brooklyn YMCA","(718) 782-8300","OST","125 Humboldt Street
,  11206
(40.70586365914, -73.941301496949)",,,,,,,,,
"After-School Programs","Teen Action Program","Manhattan Center For Science and Mathematics","New York","The Children's Aid Society","212.949.4921","13 to 21","280 Pleasant Avenue
,  10029
(40.794804224554, -73.933301037421)","10029","40.794476","-73.933565","11","8","178","1053152","1017130001","East Harlem North                                                          "
"After-School Programs","Out of School Time","Young Minds","Brooklyn","Fort Green Senior Citizen Council, Inc.","(718) 622-8622","Elementary","972 Fulton Street
,  11238
(40.682453546646, -73.9620634643)","11238","40.682446","-73.961984","2","35","201","3057638","3020140026","Clinton Hill                                                               "
"After-School Programs","Out of School Time","M.S. 74 NATHANIEL HAWTHORNE SC","Queens","The Child Center of New York (QCG) ","(718) 423-1232","Middle School","61 15 Oceania Street
,  11364
(40.74592468038, -73.757902755608)","11364","40.745201","-73.767446","11","23","1367","4163953","4077230001","Oakland Gardens                                                            "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","ACHIEVEMENT FIRST","Brooklyn","CAMBA  ","(718) 774-0762","Elementary","790 NEW YORK AVENUE
,  11203
(40.654515065367, -73.94709707097)","11203","40.654641","-73.947072","17","40","818",,,"Erasmus                                                                    "
"Family Support,NDA Programs","Healthy Families","Citizens Advice","Bronx","West Farm Technology and Career Center","(718) 293-0727",,"2070 Grand
Concourse,  10457
(40.845798371298, -73.898324186812)",,,,,,,,,
"After-School Programs","Beacon","JHS 216","Queens","Samuel Field YM - YWHA, Inc. ","718.445.6983","6 and up","64 20 175th Street
,  11365
(40.739871843711, -73.794621535156)","11365","40.737517","-73.794031","8","24","1341","4149078","4069030001","Fresh Meadows-Utopia                                                       "
"After-School Programs","Out of School Time","Harlem Temple Community Center","Manhattan","The Salvation Army ","(212) 862-3900","Elementary","540 Lenox Ave
,  10037
(40.815696857939, -73.93961071124)","10037","40.815601","-73.939754","10","9","212","1053901","1017350001","Central Harlem North-Polo Grounds                                          "
"Jobs & Internships,Youth Employment","Summer Youth Employment ","Research Foundation of CUNY - LaGuardia CC","Queens","Research Foundation of CUNY - LaGuardia CC","718-482-5340","14 to 24","29 10 Thomson Avenue
Rm C,  11101
(40.745702449808, -73.938669029252)","11101","40.745216","-73.937602","2","26","1","4003516","4002730001","Hunters Point-Sunnyside-West Maspeth                                       "
"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Public School 249 - The Caton School","Brooklyn","CAMBA, Inc.","718-282-5575","A parent 16 Years Old or Older ","18 Marlborough Road
,  11226
(40.649842155595, -73.966096176019)","11226","40.64971","-73.966046","14","40","506","3116438","3050750001","Flatbush                                                                   "
"Jobs & Internships,Youth Employment","Summer Youth Employment ","Vannguard Urban Improvement Association, Inc. - ","Brooklyn","Vannguard Urban Improvement Association, Inc. - ","718-453-3330 ","14 to 24","141 Macon Street
,  11216
(40.681569834988, -73.945596139676)","11216","40.681572","-73.945446","3","36","269","3053075","3018450001","Bedford                                                                    "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","Friends Ed Center","Brooklyn","Friends of Crown Heights Educational Center","(718) 638-8686","OST","671 Prospect Place
,  11216
(40.67466186438, -73.954438113911)","11216","40.674695","-73.954594","8","35","221","3030896","3012240045","Crown Heights North                                                        "
"After-School Programs","Teen Action Program","MS. 035 Stephen Decatur (K035)","Brooklyn","SCO Family of Services","718.919.1226","13 to 21","272 Macdonough Street
,  11233
(40.681892092944, -73.935841631993)","11233","40.681896","-73.935963","3","36","273","3047054","3016740011","Stuyvesant Heights                                                         "
"After-School Programs","Out of School Time","P.S. 92 ADRIAN HEGEMAN","Brooklyn","CAMBA  ","(718) 287-1216","Elementary","601 Parkside Avenue
,  11226
(40.656089905689, -73.953363648787)","11226","40.656046","-73.953742","9","40","802","3115866","3050490055","Prospect Lefferts Gardens-Wingate                                          "
"Jobs & Internships,Youth Employment","Summer Youth Employment ","St. Mary's Community Services, Inc.","Brooklyn","St. Mary's Community Services, Inc.","718-230-0827 ","14 to 24","230 Classon Avenue
,  11205
(40.692595753924, -73.960848293137)","11205","40.692769","-73.960824","2","35","193","3054909","3019090053","Clinton Hill                                                               "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.","Brooklyn","Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.","(718) 891-0264","16+","3300 Coney Island Avenue
,  11235
(40.575793969704, -73.959507450797)","11235","40.575607","-73.959463","13","48","36002","3326880","3086930001","Brighton Beach                                                             "
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","PSS/WSF GrandParent Family Apartment","Bronx","Manhattan Legal Services","(212) 874-6633","Middle School","951 Prospect Avenue
,  10459
(40.822158575217, -73.900615388998)","10459","40.822317","-73.900535","3","17","12901","2112796","2026780068","Longwood                                                                   "
"After-School Programs,Jobs & Internships,Youth Employment","In-School Youth Employment (ISY)","Bedford Stuyvesant Restoration Corporation","Brooklyn","Bedford Stuyvesant Restoration Corporation","718.636.6931","High School","1368 Fulton Street
,  11216
(40.680167097693, -73.94592248315)","11216","40.680175","-73.945717","3","36","247","3053786","3018620014","Crown Heights North                                                        "
"After-School Programs","Out of School Time","Yeshiva Kehilath Yakov - Boys","Brooklyn","Yeshiva Kehilath Yakov","(718) 972-2900","Elementary","4706 10th Avenue
,  11219
(40.640113313285, -73.997627589313)","11219","40.640015","-73.997694","12","38","114","3137077","3056250033","Borough Park                                                               "
"After-School Programs","Out of School Time","Canarsie HS","Brooklyn","Global Kids, Inc.","(212) 226-0130","High School","1600 Rockaway Parkway
,  11236
(40.640783891702, -73.897508603305)","11236","40.641474","-73.898254","18","46","990","3230949","3082220001","Canarsie                                                                   "
"After-School Programs","Out of School Time","I.S. 73 I.S. 73 - THE FRANK SA","Queens","Maspeth Town Hall, Inc.","(718) 335-6049","Middle School","70 02 54 Avenue
,  11378
(40.721453104977, -73.908543500682)","11378","40.729215","-73.893624","5","30","49302","4058611","4025030031","Maspeth                                                                    "
"After-School Programs","Out of School Time","St. James Rec","Bronx","Childrens Arts & Science Workshops, Inc.","(212) 542-0578","Elem/MS/HS","2530 Jerome Avenue
,  10468
(40.864356288024, -73.899782514976)","10468","40.864777","-73.899489","7","14","401","2014129","2031900001","Bedford Park-Fordham North                                                 "
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","SQPA-NY Southern Queens Park Association NY","Jamaica","SQPA-NY Southern Queens Park Association NY","(718) 276-4630","16+","177 01 Baisley Boulevard
,  11434
(40.676945262114, -73.775306901692)","11434","40.686284","-73.768455","12","27","426","4268835","4124060180","St. Albans                                                                 "
"After-School Programs,Jobs & Internships,Youth Employment","In-School Youth Employment (ISY)","Public School 314 - Luis Munoz Marin Elementary School","Brooklyn","SCO Family of Services","516.671.1253","High School","330 59th Street
,  11220
(40.642201614799, -74.019175801725)","11220","40.642121","-74.018997","7","38","74","3016258","3008620012","Sunset Park West                                                           "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 44 THOMAS BROWN SCHOOL","Staten Island","United Activities Unlimited, Inc.","(718) 644-1318","OST","80 MAPLE PARKWAY
,  10303
(40.631719419122, -74.156535718993)","10303","40.63179","-74.156439","1","49","231","5027641","5012180001","Mariner's Harbor-Arlington-Port Ivory-Graniteville                         "
"After-School Programs","Out of School Time","51 AVENUE ACADEMY PATH TOQ877","Queens","Coalition for Hispanic Family Services","(347) 768-0241","Elementary","76 05 51 AVENUE
,  11373
(40.738710402563, -73.878351155182)","11373","40.73679","-73.887438","4","25","479","4056455","4024510021","Elmhurst-Maspeth                                                           "
"Immigration Services,Immigrant Support Services","Domestic Violence Program","Kensington Self-Help ","Brooklyn","New York Legal Assistance Group (NYLAG)","212-613-5000","All Ages","419 Church Ave
,  11218
(40.64409707953, -73.976409726458)","11218","40.644278","-73.975947","12","39","496","3124649","3053370027","Kensington-Ocean Parkway                                                   "
"After-School Programs","Out of School Time","Cornerstone Academy for Social","Bronx","Sports and Arts In Schools Foundation, Inc.","(347) 417-8159","Elementary","3441 Steenwick Avenue
,  10475
(40.882605669331, -73.8300671267)","10475","40.883025","-73.830366","12","12","46202","2124548","2052630192","Co-op City                                                                 "
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","I.S.117 JOSEPH H WADE (X117)","Bronx","PS 126 JACOB AUGUST RIIS (M126)","(212) 652-2812","Middle School","1865 MORRIS AVENUE
,  10453
(40.848548418407, -73.908435068196)","10453","40.848516","-73.908427","5","14","23301","2007902","2028270001","Mount Hope                                                                 "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","CYO","Staten Island","Catholic Charities Community Service, Archdiocese of N Y","(718) 448-4949","Elementary","120 Anderson Avenue
,  10302
(40.634856958287, -74.134310220113)","10302","40.634927","-74.134422","1","49","213","5024253","5010360019","Port Richmond                                                              "
"Jobs & Internships,Youth Employment","Summer Youth Employment ","New York City Housing Authority - Brooklyn","Brooklyn","New York City Housing Authority - Brooklyn","212-306-3985","14 to 24","350 Livingston Street
,  10007
(40.713630519433, -74.009131383706)","11217","40.687775","-73.980979","2","33","37","3000000","3001670013","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","C.E.S. 109 SEDGWICK SCHOOL","Bronx","Bronx Arts Ensemble","(718) 601-7399","Elementary","1771 Popham Avenue
,  10453
(40.851382962874, -73.918611807922)","10453","40.851414","-73.918533","5","14","20502","2094549","2028770393","University Heights-Morris Heights                                          "
"Family Support,NDA Programs","Healthy Families","Red Hook Youth Court Internship","Brooklyn","PSS/WSF GrandParent Family Apartment","(718) 237-2017",,"88 Visitation Place
,  11231
(40.679168772792, -74.009929399336)","11231","40.678919","-74.009619","6","38","59","3331865","3005300013","Carroll Gardens-Columbia Street-Red Hook                                   "
"After-School Programs","Out of School Time","P.S. 223 LYNDON BAINES JOHNSON","Queens","The Child Center of New York (QCG) ","(347) 510-4895","Elementary","125 20 SUTPHIN BOULEVARD
,  11434
(40.676945262114, -73.775306901692)","11434","40.674519","-73.789399","12","28","18401","4261713","4120510001","Baisley Park                                                               "
"After-School Programs","Out of School Time","I.S. 151 HENRY LOU GEHRIG SCHOOL","Bronx","Sports and Arts In Schools Foundation, Inc.","(718) 401-4852","Middle School","250 156 Street
,  10451
(40.822983598861, -73.921130965005)",,,,,,,,,
"After-School Programs","Out of School Time","P.S./I.S. 42 ROBERT VERNAM SCHOOL","Queens","New York Junior Tennis League","(718) 634-4372","Elementary","488 BEACH 66 STREET
,  11692
(40.594753723218, -73.795298823974)",,,,,,,,,
"After-School Programs,Jobs & Internships,Youth Employment","Out-of-School Youth Employment (OSY)","The Door - A Center of Alternatives","New York","The Door - A Center of Alternatives","212.941.9090","16 to 21","121 Avenue
of the Americas,  10013
(40.721242188776, -74.008889000227)","10013","40.723903","-74.00469","2","3","37","1083493","1004777501","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"After-School Programs","Out of School Time","Kips Bay 1","Bronx","Kips Bay Boys & Girls Club","(718) 893-8254","Elem/MS/HS","1930 Randall Avenue
,  10473
(40.81782677019, -73.856685373362)","10473","40.817841","-73.856704","9","18","16","2090508","2035280017","Soundview-Castle Hill-Clason Point-Harding Park                            "
"Family Support,NDA Programs","Healthy Families","Grand Street Settlement","New York","Project Hopitality","(646) 201-4288",,"80 Pitt Street
,  10002
(40.718892797837, -73.982159024877)","10002","40.718328","-73.98245","3","2","2201","1084357","1003380001","Lower East Side                                                            "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 149 THE DANNY KAYE SCHOOL","Brooklyn","Brooklyn Bureau of Community Services","(347) 834-3097","Elementary","700 Sutter Avenue
,  11207
(40.66970225634, -73.892808885889)","11207","40.669719","-73.892822","5","42","1158","3084348","3037740016","East New York (Pennsylvania Ave)                                           "
"After-School Programs","Out of School Time","P.S. 186 CASTLEWOOD SCHOOL","Queens","Samuel Field YM & YWHA, Inc.","(718) 225-6750","Elementary","252 12 72 AVENUE
,  11426
(40.737041384952, -73.724156998946)","11426","40.750007","-73.721607","13","23","155102","4173640","4084010375","Glen Oaks-Floral Park-New Hyde Park                                        "
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Jonas Bronck Housing for Seniors","Bronx","The Friends of Crown Heights Educational Centers, Inc.","(718) 542-0006","Seniors","230 179th Street
,  10457
(40.850932139823, -73.903961120569)",,,,,,,,,
"After-School Programs,Jobs & Internships,Youth Employment","In-School Youth Employment (ISY)","Employment & Technology Center (ETC)","New York","Harlem Children's Zone, Inc","212.534.0700","High School","304 117th Street
,  10026
(40.805145122337, -73.955047599559)",,,,,,,,,
"After-School Programs,Jobs & Internships,Youth Employment","In-School Youth Employment (ISY)","Grace Dodge Vocational High School - H.S. 660","Bronx","Mid-Bronx Council Services, Inc.","718.588.8200","High School","2474 Crotona Avenue
,  10458
(40.855980373909, -73.882553507192)","10458","40.855698","-73.882715","6","15","393","2012887","2031040007","Belmont                                                                    "
"Family Support,NDA Programs"," Housing","Cypress Hills Local Development","Brooklyn","THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE (M670)","(718) 674-2800","Adults","3214 Fulton Street
,  11208
(40.682413520105, -73.876447583086)","11208","40.682465","-73.876328","5","37","1178","3092647","3041410014","Cypress Hills-City Line                                                    "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 85 P.S. 85","Bronx","New York City Mission Society","(718) 583-7200","OST","2400 Marion Avenue
,  10458
(40.859331900138, -73.894720520997)","10458","40.8591","-73.894946","5","15","38302","2011054","2030240021","Fordham South                                                              "
"After-School Programs","Out of School Time","P.S. 28 WRIGHT BROTHERS SCHOOL","Manhattan","Community Association of Progressive Dominicans","(646) 808-5890","Elementary","475 155th Street
,  10032
(40.831229611892, -73.942128009713)",,,,,,,,,
"Family Support,NDA Programs"," Housing","South Brooklyn Legal Services, Inc.","Brooklyn","INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS (K524)","(718) 237-5500","Adults","105 Court Street
,  11201
(40.690833583027, -73.991778268891)","11201","40.690793","-73.991825","2","33","9","3002702","3002710023","Brooklyn Heights-Cobble Hill                                               "
"After-School Programs","Out of School Time","P.S. 21 EDWARD HART SCHOOL","Queens","YMCA of Greater New York/Flushing","(347) 776-1881","Elementary","147 36 26th Avenue
,  11354
(40.768620220647, -73.827190280707)","11354","40.774512","-73.819284","7","19","1047","4108665","4048030001","Murray Hill                                                                "
"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Public School 92 - Harry T Stewart Senior","Queens","Coalition for Hispanic Family Services","718-497-6090","A parent 16 Years Old or Older ","99 01 34 Avenue
,  11368
(40.749678220374, -73.853040688577)","11368","40.755418","-73.869017","3","21","377","4042496","4017140018","North Corona                                                               "
"Family Support,NDA Programs","Healthy Families","Healthy Families","Bronx","W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL (K6","(718) 538-3344",,"871 Westchester Avenue
,  10459
(40.819894373252, -73.901287926209)","10459","40.820428","-73.900141","2","17","12901","2115281","2026907501","Longwood                                                                   "
"After-School Programs","Out of School Time","I.S. 211 JOHN WILSON SCHOOL","Brooklyn","Sports and Arts In Schools Foundation, Inc.","(718) 251-4411","Middle School","1001 100th Street
,  11236
(40.643481644853, -73.896423713229)",,,,,,,,,
"After-School Programs","Out of School Time","I.S. 68 ISAAC BILDERSEE SCHOOL","Brooklyn","Sesame Flyers International, Inc.","(718) 693-0500","High School","956 82nd Street
,  11236
(40.635491677837, -73.910761051161)","11228","40.620833","-74.018991","10","43","140",,,"Dyker Heights                                                              "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","Warren Street Center","Brooklyn","Sunset Bay Community Services, Inc","(718) 237-9578","OST","343 Warren Street
,  11201
(40.685080259045, -73.990279945341)","11201","40.685037","-73.990254","2","33","69","3006144","3003910056","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 175 HENRY HIGHLAND GARNET","Manhattan","New York City Mission Society","(212) 283-0426","OST","175 134 STREET
,  10030
(40.814327697772, -73.943391888564)",,,,,,,,,
"After-School Programs","Out of School Time","P.S. 250","Brooklyn","New York Junior Tennis League","(367) 405-6196","Elementary","108 Montrose Avenue
,  11206
(40.707092624367, -73.94538480081)","11206","40.707104","-73.945475","1","34","505","3071199","3030600001","East Williamsburg                                                          "
"After-School Programs,Jobs & Internships,Youth Employment","In-School Youth Employment (ISY)","Mosholu Montefiore Community Center, Inc.","Bronx","Mosholu Montefiore Community Center, Inc.","718.882.4000","High School","3400 Reservoir Oval
,  10467
(40.878775054922, -73.875633562586)","10467","40.878889","-73.87581","7","11","423","2018218","2033430185","Norwood                                                                    "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","C.E.S. 55 BENJAMIN FRANKLIN SC","Bronx","Supportive Childrens Advocacy Network (SCAN)","(718) 681-6227","OST","450 SAINT PAULS PLACE
,  10456
(40.836276563944, -73.904611130772)","10456","40.836404","-73.905014","3","16","14702","2009463","2029020001","Claremont-Bathgate                                                         "
"Immigration Services,Immigrant Support Services","Legal Assistance Program","Flushing Immigration Center - CUNY","Queens","Research Foundation of CUNY","718-640-9223","All Ages","39 07 Prince St
,  11354
(40.768620220647, -73.827190280707)","11354","40.759543","-73.832255","7","20","871","4112321","4049767501","Flushing                                                                   "
"After-School Programs,Jobs & Internships,Youth Employment","In-School Youth Employment (ISY)","Foster-Laurie","Queens","Police Athletic League, Inc.","212.477.6504","High School","199 10 112th Avenue
,  11412
(40.698127117473, -73.759235198346)","11412","40.702514","-73.756595","12","27","520","4235252","4109750001","St. Albans                                                                 "
"Jobs & Internships,Youth Employment","Summer Youth Employment ","Asociaciones Dominicanas, Inc - Vulnerable Youth","Brooklyn","Asociaciones Dominicanas, Inc - Vulnerable Youth","718-599-2386 ","14 to 24","202 Union Avenue
ste L&M,  11211
(40.706434807769, -73.950331811608)","11211","40.706403","-73.950356","1","34","511","3325853","3030580100","East Williamsburg                                                          "
"After-School Programs","Beacon","IS 220","Brooklyn","Chinese American Planning Council","718.436.5270","6 and up","4812 9th Avenue
,  11220
(40.640835402677, -74.000456500483)","11220","40.640545","-74.000731","12","38","108","3012824","3007780023","Sunset Park East                                                           "
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Mt. Ararat Presentation Senior Center","Brooklyn","YWCA of Queens","(718) 345-5665","Seniors","1630 St Marks Avenue
,  11233
(40.67315630349, -73.912828934223)","11233","40.673166","-73.912849","16","41","363","3394308","3014600001","Ocean Hill                                                                 "
"After-School Programs","Out of School Time","SOBRO-Evander","Bronx","South Bronx Overall Economic Development Corp.","(718) 732-7561","High School","800 Gun Hill Road
,  10467
(40.875978648353, -73.862106695349)","10467","40.875953","-73.86197","12","12","372","2057045","2046330040","Williamsbridge-Olinville                                                   "
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","Mount Hope Community Center","Bronx","Dr. White Community Center","(718) 446-3600"," High School","55 175th Street
,  10453
(40.847312989377, -73.911364754436)",,,,,,,,,
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Flatbush YMCA","Brooklyn","YMCA of Greater New York / ELESAIR","(212) 875-4336","16+","1401 Flatbush Avenue
,  11210
(40.636590672567, -73.951602593108)","11210","40.636511","-73.951539","14","45","788","3120877","3052280008","Flatbush                                                                   "
"After-School Programs","Out of School Time","P.S. 152 GWENDOLINE ALLEYNE SC","Queens","Woodside On The Move, Inc.","(718) 476-8449","Elementary","33 52 62 STREET
,  11377
(40.745193764481, -73.90484714408)","11377","40.753037","-73.900123","2","26","293","4027102","4011840014","Woodside                                                                   "
"After-School Programs","Out of School Time","Brooklyn Collegiate 2","Brooklyn","Sports and Arts In Schools Foundation, Inc.","(718) 922-1145","High School","2240 Dean Street
,  11233
(40.674851074596, -73.913467466049)","11233","40.674832","-73.91258","16","41","36501","3038939","3014480001","Ocean Hill                                                                 "
"After-School Programs","Out of School Time","P.S. 7 ABRAHAM LINCOLN SCHOOL","Brooklyn","Cypress Hills Local Development Corporation","(718) 235-2345","Elementary","858 JAMAICA AVENUE
,  11208
(40.689450076919, -73.873627613316)","11208","40.689697","-73.873109","5","37","118201","3090998","3041060039","Cypress Hills-City Line                                                    "
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","Grand Street Settlement","New York","Jewish Community Council of Greater Coney Island, Inc","(646) 201-4288","Middle School","80 Pitt Street
,  10002
(40.718892797837, -73.982159024877)","10002","40.718328","-73.98245","3","2","2201","1084357","1003380001","Lower East Side                                                            "
"Jobs & Internships,Youth Employment","Summer Youth Employment ","PAL-Foster Laurie Center","Queens","Police Athletic League, Inc. - Queens ","718-389-5309","14 to 24","199 10 11th Ave
,  11412
(40.698127117473, -73.759235198346)",,,,,,,,,
"NDA Programs,Senior Programs,Older Adult Program","Seniors","IPR/HE Brooklyn Caregivers","Brooklyn","Khalil Gibran International Academy","(212) 677-4181","Seniors","1368 Fulton St
,  11216
(40.680167097693, -73.94592248315)","11216","40.680175","-73.945717","3","36","247","3053786","3018620014","Crown Heights North                                                        "
"Family Support,NDA Programs"," Housing","FAC Center for Community Development","Brooklyn","Cypress Hills Local Development","(718) 237-2017","Adults","621 DeGraw Street
,  11217
(40.678560088361, -73.981798438269)","11217","40.678948","-73.982857","6","33","119","3336109","3004200045","Park Slope-Gowanus                                                         "
"Immigration Services,Immigrant Support Services","Immigrant/Refugee Assistance","Make the Road New York-Jackson Heights Center","Queens","Make the Road New York","718.565.8500","ESOL/Civics","71 24 Roosevelt Avenue Jackson Heights
,  11372
(40.751630739367, -73.883612545283)","11372","40.746551","-73.894199","4","25","265","4459321","4013030009","Elmhurst-Maspeth                                                           "
"After-School Programs","Beacon","JHS 265","Brooklyn","Goodwill Industries of Greater NY","718.237.0852","6 and up","101 Park Ave
,  11205
(40.696358535178, -73.975722624034)","11205","40.696324","-73.97578","2","35","211","3057942","3020280001","Fort Greene                                                                "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 307 PS 307 DANIEL HALE WI","Brooklyn","Directions For Our Youth, Inc.","(646) 592-0754","Elementary","209 YORK STREET
,  11201
(40.70138468597, -73.982632728585)","11201","40.701343","-73.982314","2","33","21","3000158","3000560007","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"After-School Programs","Teen Action Program","New School @ PS 314","Brooklyn","SCO Family of Services","718.788.3500","13 to 21","330 59th Street
,  11220
(40.642201614799, -74.019175801725)","11220","40.642121","-74.018997","7","38","74","3016258","3008620012","Sunset Park West                                                           "
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Mercy House","Bronx","Tompkins Park Senior Center","(718) 542-0006","Seniors","4170 Carpenter Avenue
,  10466
(40.893603864286, -73.860614532487)","10466","40.893523","-73.860689","12","12","420","2063271","2048340052","Williamsbridge-Olinville                                                   "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","I.S. 61 WILLIAM MORRIS SCHOOL","Staten Island","The Childrens Aid Society","(718) 727-8481","Middle School","445 Castleton Avenue
,  10301
(40.634016228972, -74.097822417495)","10301","40.634009","-74.097826","1","49","67","5002227","5001000100","New Brighton-Silver Lake                                                   "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 229 DYKER SCHOOL","Brooklyn","St. Rosalia-Regina Pacis Neighborhood Improvement","(718) 236-5447","OST","1400 Benson Avenue
,  11228
(40.610669431614, -74.012920465726)","11228","40.610963","-74.013376","11","43","170","3167212","3063910024","Bath Beach                                                                 "
"Family Support,NDA Programs"," Housing","Shorefront Jewish Community Council","Brooklyn","Flatbush Development Corporation","(718) 743-0575","Adults","3049 Brighton 6th Street
,  11235
(40.578431288323, -73.961743706863)","11235","40.578435","-73.961751","13","48","362","3397165","3086767501","Brighton Beach                                                             "
"Immigration Services,Immigrant Support Services","Legal Services - Immigrant Youth","Urban Justice Center at the Streetwork Project","Manhattan","Urban Justice Center","646-602-5633","20-May","209 125 Street
,  10027
(40.809154206199, -73.948683474836)",,,,,,,,,
"After-School Programs,Jobs & Internships,Youth Employment","In-School Youth Employment (ISY)","Sesame Flyers International, Inc.","Brooklyn","Sesame Flyers International, Inc.","718.693.0500","High School","3510 Church Avenue
,  11203
(40.651046066177, -73.944640167627)","11203","40.651066","-73.944555","17","45","856","3109467","3048890004","East Flatbush-Farragut                                                     "
"After-School Programs","Out of School Time","P.S. 165 ROBERT E. SIMON SCHOOL","Manhattan","YMCA of Greater New York/West Side YMCA","(212) 875-4138","Elementary","234 109 STREET
,  10025
(40.802751803842, -73.965264118004)",,,,,,,,,
"After-School Programs","Out of School Time","P.S. 11 PURVIS J. BEHAN SCHOOL","Brooklyn","YMCA of Greater New York/Dodge YMCA","(718) 398-3134","Elementary","419 Waverly Avenue
,  11238
(40.685499200319, -73.966268174608)","11238","40.685491","-73.966291","2","35","199","3332865","3019620010","Clinton Hill                                                               "
"After-School Programs,Jobs & Internships,Youth Employment","In-School Youth Employment (ISY)","Elmcor Youth and Adult Activities, Inc.","Queens","Elmcor Youth & Adult Activities, Inc.","718.651.0096","High School","33 16 108th Street
,  11368
(40.749678220374, -73.853040688577)","11368","40.757429","-73.860938","3","21","381","4042761","4017220012","North Corona                                                               "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Jewish Community Council of Greater Coney Island, Inc.","Brooklyn","Jewish Community Council of Greater Coney Island, Inc.","(718) 449-5000 x 2237","16+","387 Kingston Avenue
,  11225
(40.665762628592, -73.942503354999)","11225","40.665708","-73.942532","9","35","333","3034315","3013000010","Crown Heights South                                                        "
"After-School Programs","Out of School Time","H.S. 305 PABLO NERUDA ACADEMY","Bronx","OPUS Dance Theatre and Community Services Inc.","(646) 670-0516","High School","1980 Lafayette Avenue
,  10473
(40.822259012658, -73.856286782562)","10473","40.82229","-73.856167","9","18","16","2022205","2036040039","Soundview-Castle Hill-Clason Point-Harding Park                            "
"Immigration Services,Immigrant Support Services","Domestic Violence Program","Safe Space - Family Resource Center (Jamaica)","Queens","Safe Space","718.785.9062","All Ages","90 25 161st Street
,  11432
(40.71311535449, -73.792820999789)","11432","40.705199","-73.799253","12","24","44601","4442231","4097600001","Jamaica                                                                    "
