"manhattan_cooperatives_comparable_properties_boro_block_lot","manhattan_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","manhattan_cooperatives_comparable_properties_neighborhood","manhattan_cooperatives_comparable_properties_building_classification","manhattan_cooperatives_comparable_properties_total_units","manhattan_cooperatives_comparable_properties_year_built","manhattan_cooperatives_comparable_properties_gross_sqft","manhattan_cooperatives_comparable_properties_estimated_gross_income","manhattan_cooperatives_comparable_properties_gross_income_per_sqft","manhattan_cooperatives_comparable_properties_estimated_expense","manhattan_cooperatives_comparable_properties_expense_per_sqft","manhattan_cooperatives_comparable_properties_net_operating_income","manhattan_cooperatives_comparable_properties_full_market_value","manhattan_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_estimated_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_estimated_expense","comparable_rental_1_expense_per_sqft","comparable_rental_1_net_operating_income","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_distance_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_estimated_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_estimated_expense","comparable_rental_2_expense_per_sqft","comparable_rental_2_net_operating_income","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_distance_from_coop_in_miles","comparable_rental_3_boro_block_lot","comparable_rental_3_address","comparable_rental_3_neighborhood","comparable_rental_3_building_classification","comparable_rental_3_total_units","comparable_rental_3_year_built","comparable_rental_3_gross_sqft","comparable_rental_3_estimated_gross_income","comparable_rental_3_gross_income_per_sqft","comparable_rental_3_estimated_expense","comparable_rental_3_expense_per_sqft","comparable_rental_3_net_operating_income","comparable_rental_3_full_market_value","comparable_rental_3_market_value_per_sqft","comparable_rental_3_distance_from_coop_in_miles"
"1-01497-0021","35 85 STREET
New York, NY 
(40.62603546386, -74.037789407351)","1",,,,,,,,,,"UPPER EAST SIDE (79-96)","D4-ELEVATOR","169","1959","242861","7123113","29.33","2406753","9.91","4716360","35376000","145.66","1-01516-0052","16 88 STREET
New York, NY 
(40.624059954012, -74.040199289359)","UPPER EAST SIDE (79-96)","D6-ELEVATOR","154","1963","128132","3966689","30.96","1352843","10.56","2613846","19527000","152.4","0.22","1-01512-0012","123 83 STREET
New York, NY 
(40.626820849763, -74.034849055471)","UPPER EAST SIDE (79-96)","D9-ELEVATOR","20","1960","19200","485125","25.27","153818","8.01","331307","2178000","113.44","0.14",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01678-0001","2086 2 AVENUE
New York, NY 
(40.791136486302, -73.942035659691)","1","10029","40.791363","-73.941885","11","8","170","1081081","1016780001","East Harlem South                                                          ","HARLEM-EAST","D4-ELEVATOR","936","1961","992000","16606080","16.74","9711680","9.79","6894400","49880000","50.28","1-01613-0006","1 107 STREET
New York, NY 
(40.7987686784, -73.959564973481)","UPPER EAST SIDE (96-110)","D5-ELEVATOR","273","1930","245000","5460250","22.29","2671542","10.9","2788708","17550000","71.63","0.54","1-01601-0027","1 117 STREET
New York, NY 
(40.801378028977, -73.945976105213)","HARLEM-CENTRAL","D7-ELEVATOR","148","1976","162530","2066951","12.72","1038525","6.39","1028426","6435000","39.59","0.86","1-01736-0001","560 LENOX AVENUE","HARLEM-CENTRAL","D5-ELEVATOR","216","1940","384,164","3,554,670","9.25","2,184,641","5.69","1,370,029","8,149,000","21.21","1.72"
"1-00803-0065","146 28 STREET
New York, NY 
(40.599890135164, -73.998404214312)","1",,,,,,,,,,"CHELSEA","D0-ELEVATOR","20","1910","28250","665288","23.55","261313","9.25","403975","2946000","104.28","1-00801-0049","110 26 STREET
New York, NY 
(40.601529073164, -73.999137537867)","CHELSEA","D5-ELEVATOR","13","1907","26027","596181","22.91","205510","7.9","390671","2853000","109.62","0.1","1-00776-0020","229 26 STREET
New York, NY 
(40.599453984632, -74.001192200797)","CHELSEA","D9-ELEVATOR","26","1925","13000","314303","24.18","137649","10.59","176654","1285000","98.85","0.18",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01896-0001","420 RIVERSIDE DRIVE
New York, NY 
(40.807800810521, -73.966806209407)","1","10025","40.807413","-73.966265","9","7","205","1057365","1018960001","Morningside Heights                                                        ","UPPER WEST SIDE (96-116)","D4-ELEVATOR","104","1920","138633","2574415","18.57","1153427","8.32","1420988","10217000","73.7","1-01896-0065","2941 BROADWAY
New York, NY 
(40.807629939336, -73.964315087385)","UPPER WEST SIDE (96-116)","D6-ELEVATOR","107","1912","126478","2108388","16.67","1075063","8.5","1033325","7478000","59.12","0.05","1-01895-0055","2901 BROADWAY
New York, NY 
(40.806424847817, -73.965187429754)","UPPER WEST SIDE (96-116)","D6-ELEVATOR","141","1910","178897","3662604","20.47","1635541","9.14","2027063","14474000","80.91","0.05",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00515-0008","465 BROADWAY
New York, NY 
(40.873337880794, -73.911571077503)","1","10013","40.721043","-74.000501","2","1","47","1087559","1004747506","SoHo-TriBeCa-Civic Center-Little Italy                                     ","SOHO","D4-ELEVATOR","26","1900","40130","1511697","37.67","417352","10.4","1094345","8042000","200.4","1-00348-0040","90 CLINTON STREET
New York, NY 
(40.718365137764, -73.985403359154)","LOWER EAST SIDE","D6-ELEVATOR","36","1900","38498","1366791","35.5","355488","9.23","1011303","7475000","194.17","0.95","1-00469-0030","223 2 AVENUE
New York, NY 
(40.732140848196, -73.985125399143)","EAST VILLAGE","D9-ELEVATOR","75","1925","63158","2515280","39.83","730891","11.57","1784389","13488000","213.56","0.83",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00603-0001","371 WEST STREET
New York, NY 
(40.731439377014, -74.010324402404)","1","10014","40.731341","-74.010446","2","3","69","1083160","1006030001","West Village                                                               ","GREENWICH VILLAGE-WEST","C6-WALK-UP","184","1960","215890","4019872","18.62","2109245","9.77","1910627","13736000","63.62","1-00415-0012","176 ELDRIDGE STREET
New York, NY 
(40.720413688934, -73.990809114369)","LOWER EAST SIDE","C7-WALK-UP","60","1920","32786","623024","19","304535","9.29","318489","1065000","32.48","1.27","1-00353-0024","129 RIVINGTON STREET
New York, NY 
(40.719631278769, -73.986906056761)","LOWER EAST SIDE","C7-WALK-UP","19","1930","14497","198771","13.71","106195","7.33","92576","460000","31.73","1.44","1-01058-0041","416 WEST 49 STREET","CLINTON","C4-WALK-UP","15","1901","9,875","269,193","27.26","107,638","10.9","161,555","1,165,000","117.97","2.34"
"1-01879-0001","2780 BROADWAY
New York, NY 
(40.802207027499, -73.967669558555)","1","10025","40.802275","-73.967774","7","7","195","1056647","1018790001","Morningside Heights                                                        ","UPPER WEST SIDE (96-116)","D4-ELEVATOR","119","1929","197170","4432382","22.48","1285548","6.52","3146834","23005000","116.68","1-01876-0001","900 END AVENUE
New York, NY 
(40.756053999992, -73.986951000288)","UPPER WEST SIDE (96-116)","D3-ELEVATOR","128","1927","172176","3561865","20.69","1488206","8.64","2073659","15233000","88.47","0.17","1-01868-0061","752 END AVENUE
New York, NY 
(40.756053999992, -73.986951000288)","UPPER WEST SIDE (96-116)","D3-ELEVATOR","210","1931","198248","4555542","22.98","1691988","8.53","2863554","20570000","103.76","0.56","1-01872-0043","2644 BROADWAY","UPPER WEST SIDE (96-116)","D6-ELEVATOR","176","1926","259,607","5,835,965","22.48","2,624,627","10.11","3,211,338","23,476,000","90.43","0.36"
"1-00640-0044","354 12 STREET
New York, NY 
(40.665987498466, -73.985019573944)","1",,,,,,,,,,"GREENWICH VILLAGE-WEST","C6-WALK-UP","49","1915","23720","940024","39.63","303379","12.79","636645","4813000","202.91","1-00641-0044","82 JANE STREET
New York, NY 
(40.738139326132, -74.007275700725)","GREENWICH VILLAGE-WEST","C4-WALK-UP","29","1900","14680","569048","38.76","201599","13.73","367449","2780000","189.37","0.04","1-00635-0039","117 BANK STREET
New York, NY 
(40.736313702412, -74.007500531232)","GREENWICH VILLAGE-WEST","C4-WALK-UP","20","1901","9620","381221","39.63","123016","12.79","258205","1952000","202.91","0.04","1-00641-0063","345 WEST 12 STREET","GREENWICH VILLAGE-WEST","C4-WALK-UP","12","1900","5,682","249,365","43.89","71,308","12.55","178,057","1,221,000","214.89","0.04"
"1-00495-0002","237 LAFAYETTE STREET
New York, NY 
(40.722661994008, -73.996951483829)","1","10012","40.722635","-73.996977","2","1","43","1007521","1004950002","SoHo-TriBeCa-Civic Center-Little Italy                                     ","LITTLE ITALY","D0-ELEVATOR","21","1911","54431","1908895","35.07","438714","8.06","1470181","10876000","199.81","1-00236-0027","133 MULBERRY STREET
New York, NY 
(40.718561085554, -73.997679934672)","CHINATOWN","C7-WALK-UP","17","1920","41900","1465401","34.97","248405","5.93","1216996","9005000","214.92","0.29","1-00470-0005","160 MOTT STREET
New York, NY 
(40.719577319447, -73.996250012646)","LITTLE ITALY","D1-ELEVATOR","36","1910","11967","420894","35.17","121774","10.18","299120","2212000","184.84","0.23",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00891-0059","144 36 STREET
New York, NY 
(40.656311322985, -74.007782207183)","1",,,,,,,,,,"MURRAY HILL","D4-ELEVATOR","38","1916","39100","1349732","34.52","360111","9.21","989621","7329000","187.44","1-00893-0064","309 LEXINGTON AVENUE
New York, NY 
(40.748787298959, -73.97795780257)","MURRAY HILL","D9-ELEVATOR","90","1928","52936","1827486","34.52","487466","9.21","1340020","9924000","187.47","0.1","1-00918-0007","207 37 STREET
New York, NY 
(40.594664454727, -73.99289576067)","MURRAY HILL","D9-ELEVATOR","35","1925","36020","1273103","35.34","345791","9.6","927312","6856000","190.34","0.15","1-00889-0065","231 LEXINGTON AVENUE","MURRAY HILL","D1-ELEVATOR","18","1920","13,614","409,178","30.06","102,005","7.49","307,173","2,301,000","169.02","0.1"
"1-01427-0018","245 72 STREET
New York, NY 
(40.633894770992, -74.028432703755)","1",,,,,,,,,,"UPPER EAST SIDE (59-79)","D4-ELEVATOR","125","1930","117882","3646090","30.93","1355643","11.5","2290447","17112000","145.16","1-01426-0029","242 72 STREET
New York, NY 
(40.633856361907, -74.028510807591)","UPPER EAST SIDE (59-79)","D6-ELEVATOR","71","1930","97750","2977333","30.46","999812","10.23","1977521","14789000","151.29","0.06","1-01447-0005","311 72 STREET
New York, NY 
(40.633459448284, -74.026606697169)","UPPER EAST SIDE (59-79)","D9-ELEVATOR","131","1929","121234","3749269","30.93","1393762","11.5","2355507","17598000","145.16","0.14","1-01409-0021","1033 LEXINGTON AVENUE","UPPER EAST SIDE (59-79)","D6-ELEVATOR","35","1923","71,189","2,336,130","32.82","868,302","12.2","1,467,828","10,916,000","153.34","0.15"
"1-00134-0025","258 BROADWAY
New York, NY 
(40.713470922868, -74.006888992252)","1","10007","40.713564","-74.006828","1","1","21","1077426","1001340025","SoHo-TriBeCa-Civic Center-Little Italy                                     ","CIVIC CENTER","D4-ELEVATOR","46","1915","88320","2527718","28.62","711859","8.06","1815859","13641000","154.45","1-00065-0020","12 JOHN STREET
New York, NY 
(40.709927594073, -74.008984412581)","FINANCIAL","D6-ELEVATOR","20","1900","31118","890618","28.62","250756","8.06","639862","4807000","154.48","0.29","1-00180-0029","7 HARRISON STREET
New York, NY 
(40.718722963519, -74.009398100714)","TRIBECA","D9-ELEVATOR","49","1900","33400","634619","19","298271","8.93","336348","2414000","72.28","0.34","1-00173-0027","343 BROADWAY","CIVIC CENTER","D6-ELEVATOR","359","2005","396,000","14,128,690","35.68","3,635,867","9.18","10,492,823","77,529,000","195.78","0.27"
"1-00802-0052","114 27 STREET
New York, NY 
(40.660825365007, -74.00166647929)","1",,,,,,,,,,"CHELSEA","D0-ELEVATOR","20","1907","50400","1395576","27.69","387576","7.69","1008000","7263000","144.11","1-00790-0028","103 14 STREET
New York, NY 
(40.606991861593, -74.007825380889)","CHELSEA","D7-ELEVATOR","58","1950","55233","1731590","31.35","590696","10.69","1140894","8516000","154.18","0.57","1-00741-0067","112 9 AVENUE
New York, NY 
(40.743229488818, -74.003705392269)","CHELSEA","D7-ELEVATOR","72","1938","57706","1620384","28.08","473766","8.21","1146618","6088000","105.5","0.54",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00752-0001","305 9 AVENUE
New York, NY 
(40.749983397258, -73.998768114328)","1","10001","40.749367","-73.999246","4","3","97",,,"Hudson Yards-Chelsea-Flatiron-Union Square                                 ","CHELSEA","D4-ELEVATOR","567","1963","399932","10394233","25.99","3115470","7.79","7278763","52706000","131.79","1-00886-0062","175 LEXINGTON AVENUE
New York, NY 
(40.744290688812, -73.981249321197)","MURRAY HILL","D1-ELEVATOR","17","1915","25284","554731","21.94","255116","10.09","299615","2195000","86.81","0.93","1-01076-0015","525 47 STREET
New York, NY 
(40.646467939482, -74.007981521001)","CLINTON","D1-ELEVATOR","49","1920","52850","1587101","30.03","468940","8.87","1118161","4905000","92.81","0.99",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01751-0044","70 127 STREET
New York, NY 
(40.808606755895, -73.94351889795)","1",,,,,,,,,,"HARLEM-CENTRAL","C6-WALK-UP","18","1921","10962","119815","10.93","72020","6.57","47795","296000","27","1-01752-0070","2071 5 AVENUE
New York, NY 
(40.808142552893, -73.940995667166)","HARLEM-CENTRAL","C1-WALK-UP","24","1921","23082","239143","10.36","152894","6.62","86249","537000","23.26","0.11","1-01772-0055","2026 LEXINGTON AVENUE
New York, NY 
(40.803331180036, -73.938180789214)","HARLEM-CENTRAL","C7-WALK-UP","18","1920","18000","196683","10.93","118217","6.57","78466","485000","26.94","0.19","1-01756-0008","9 EAST 131 STREET","HARLEM-CENTRAL","C4-WALK-UP","20","1926","10,070","190,812","18.95","91,404","9.08","99,408","714,000","70.9","0.26"
"1-01347-0009","321 54 STREET
New York, NY 
(40.645126644974, -74.016331427111)","1",,,,,,,,,,"MIDTOWN EAST","D4-ELEVATOR","102","1929","58377","1834205","31.42","607121","10.4","1227084","9158000","156.88","1-01346-0010","319 53 STREET
New York, NY 
(40.645697117299, -74.015770826978)","MIDTOWN EAST","D9-ELEVATOR","31","1926","25040","901996","36.02","178551","7.13","723445","5338000","213.18","0.05","1-01343-0005","307 50 STREET
New York, NY 
(40.647506161485, -74.014230544708)","MIDTOWN EAST","D3-ELEVATOR","111","1962","71137","2235385","31.42","739775","10.4","1495610","11162000","156.91","0.2","1-01344-0041","320 EAST 52 STREET","MIDTOWN EAST","D9-ELEVATOR","87","1960","88,300","2,408,873","27.28","977,363","11.07","1,431,510","10,327,000","116.95","0.15"
"1-00634-0065","571 HUDSON STREET
New York, NY 
(40.735989946482, -74.005926717681)","1","10014","40.736019","-74.005939","2","3","75","1011921","1006340065","West Village                                                               ","GREENWICH VILLAGE-WEST","D0-ELEVATOR","17","1911","22671","804821","35.5","209253","9.23","595568","4402000","194.17","1-00608-0024","128 13 STREET
New York, NY 
(40.607051724212, -74.009190263871)","GREENWICH VILLAGE-WEST","D7-ELEVATOR","44","1910","18570","852757","45.92","272547","14.68","580210","4363000","234.95","0.38","1-00620-0001","520 HUDSON STREET
New York, NY 
(40.734002444797, -74.006232487171)","GREENWICH VILLAGE-WEST","D8-ELEVATOR","29","1950","23778","880500","37.03","237694","10","642806","4731000","198.97","0.14",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-02066-0046","486 CONVENT AVENUE
New York, NY 
(40.8286201155, -73.942632433259)","1","10031","40.828538","-73.942774","9","7","23501","1061592","1020660021","Hamilton Heights                                                           ","HARLEM-UPPER","C6-WALK-UP","20","1926","22220","252197","11.35","129987","5.85","122210","786000","35.37","1-02045-0086","305 149 STREET
New York, NY 
(40.797082589119, -73.81991963239)","HARLEM-CENTRAL","C4-WALK-UP","24","1910","21588","242585","11.24","149985","6.95","92600","596000","27.61","0.27","1-02045-0079","304 149 STREET
New York, NY 
(40.797057947129, -73.819984322216)","HARLEM-CENTRAL","C1-WALK-UP","24","1910","21180","242585","11.45","128493","6.07","114092","733000","34.61","0.29",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00633-0006","717 WASHINGTON STREET
New York, NY 
(40.735378407502, -74.008372873601)","1","10014","40.735426","-74.008368","2","3","75","1078265","1006330006","West Village                                                               ","GREENWICH VILLAGE-WEST","C6-WALK-UP","45","1900","25281","943234","37.31","276827","10.95","666407","4901000","193.86","1-00619-0056","208 10 STREET
New York, NY 
(40.568947722262, -74.117641097944)","GREENWICH VILLAGE-WEST","C7-WALK-UP","41","1910","22005","1143080","51.95","260337","11.83","882743","6605000","300.16","0.23","1-00616-0027","115 GREENWICH AVENUE
New York, NY 
(40.738364156639, -74.002167551599)","GREENWICH VILLAGE-WEST","C7-WALK-UP","40","1927","25992","1328603","51.12","362924","13.96","965679","7230000","278.16","0.32","1-00592-0075","115 WEST WASHINGTON PLACE","GREENWICH VILLAGE-WEST","C7-WALK-UP","52","1900","28,560","1,294,054","45.31","426,972","14.95","867,082","6,523,000","228.4","0.36"
"1-01507-0021","1361 MADISON AVENUE
New York, NY 
(40.786747681816, -73.954530463707)","1","10128","40.786736","-73.95451","8","4","16001","1047427","1015070021","Upper East Side-Carnegie Hill                                              ","UPPER EAST SIDE (79-96)","D4-ELEVATOR","52","1902","68992","1965582","28.49","509161","7.38","1456421","10471000","151.77","1-01602-0033","1240 PARK AVENUE
New York, NY 
(40.786837614018, -73.952515982361)","UPPER EAST SIDE (96-110)","D7-ELEVATOR","39","1920","47822","1628817","34.06","570038","11.92","1058779","7849000","164.13","0.06","1-01602-0050","1391 MADISON AVENUE
New York, NY 
(40.787673983506, -73.953846978964)","UPPER EAST SIDE (96-110)","D7-ELEVATOR","48","1920","44184","1206931","27.32","340829","7.71","866102","6247000","141.39","0.06",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-02180-0032","550 FT WASHINGTON AVENUE
New York, NY 
(40.853693213677, -73.937335426506)","1","10033","40.85383","-73.937283","12","10","273","1064394","1021800032","Washington Heights North                                                   ","WASHINGTON HEIGHTS UPPER","C6-WALK-UP","29","1922","28775","349616","12.15","180132","6.26","169484","1084000","37.67","1-02169-0003","351 WADSWORTH AVENUE
New York, NY 
(40.855779640785, -73.930626484168)","WASHINGTON HEIGHTS UPPER","C1-WALK-UP","30","1912","27980","339837","12.15","174676","6.24","165161","1050000","37.53","0.41","1-02161-0103","569 192 STREET
New York, NY 
(40.856022598306, -73.928256642424)","WASHINGTON HEIGHTS UPPER","C1-WALK-UP","29","1924","26175","303107","11.58","172755","6.6","130352","701000","26.78","0.54","1-02157-0093","555 WEST 186 STREET","WASHINGTON HEIGHTS UPPER","C1-WALK-UP","30","1917","28,365","356,264","12.56","172,176","6.07","184,088","1,233,000","43.47","0.34"
"1-02067-0029","401 152 STREET
New York, NY 
(40.828508169196, -73.941599245155)","1",,,,,,,,,,"HARLEM-UPPER","C6-WALK-UP","36","1910","17500","198625","11.35","102375","5.85","96250","489000","27.94","1-02045-0086","305 149 STREET
New York, NY 
(40.797082589119, -73.81991963239)","HARLEM-CENTRAL","C4-WALK-UP","24","1910","21588","242585","11.24","149985","6.95","92600","596000","27.61","0.22","1-02045-0079","304 149 STREET
New York, NY 
(40.797057947129, -73.819984322216)","HARLEM-CENTRAL","C1-WALK-UP","24","1910","21180","242585","11.45","128493","6.07","114092","733000","34.61","0.25",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01077-0015","531 48 STREET
New York, NY 
(40.64584223532, -74.008438758625)","1",,,,,,,,,,"CLINTON","C6-WALK-UP","20","1901","9730","294931","30.31","85580","8.8","209351","1567000","161.05","1-01077-0023","515 48 STREET
New York, NY 
(40.646047882747, -74.008778283908)","CLINTON","C4-WALK-UP","20","1901","9790","282368","28.84","97625","9.97","184743","1387000","141.68","0","1-01077-0016","529 48 STREET
New York, NY 
(40.645867941259, -74.008481199302)","CLINTON","C7-WALK-UP","21","1901","11310","368605","32.59","144137","12.74","224468","1670000","147.66","0","1-01076-0031","693 10 AVENUE","CLINTON","C7-WALK-UP","17","1901","9,725","295,251","30.36","112,227","11.54","183,024","1,369,000","140.77","0.05"
"1-01892-0025","312 107 STREET
New York, NY 
(40.802393576057, -73.968321206608)","1",,,,,,,,,,"UPPER WEST SIDE (96-116)","C6-WALK-UP","15","1920","12792","262876","20.55","86730","6.78","176146","894000","69.89","1-01877-0036","934 AMSTERDAM AVENUE
New York, NY 
(40.800264491916, -73.965852928055)","UPPER WEST SIDE (96-116)","C7-WALK-UP","16","1920","15120","324064","21.43","106509","7.04","217555","1595000","105.49","0.17","1-01891-0044","319 105 STREET
New York, NY 
(40.801116163308, -73.9693392359)","UPPER WEST SIDE (96-116)","C5-WALK-UP","13","1900","9045","177825","19.66","83576","9.24","94249","638000","70.54","0.06",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00766-0009","253 16 STREET
New York, NY 
(40.663952086189, -73.987652610421)","1",,,,,,,,,,"CHELSEA","D4-ELEVATOR","53","1930","37782","1120614","29.66","273920","7.25","846694","6347000","167.99","1-00766-0071","248 17 STREET
New York, NY 
(40.602578681883, -74.008788560911)","CHELSEA","D1-ELEVATOR","48","1920","25362","752123","29.66","183859","7.25","568264","4260000","167.97","0","1-00765-0047","208 16 STREET
New York, NY 
(40.664123456042, -73.988140848715)","CHELSEA","D3-ELEVATOR","52","1925","33547","963766","28.73","309198","9.22","654568","4916000","146.54","0.05","1-00764-0051","222 WEST 15 STREET","CHELSEA","D9-ELEVATOR","64","1928","38,330","1,807,570","47.16","390,417","10.19","1,417,153","10,648,000","277.8","0.1"
"1-01407-0020","1003 LEXINGTON AVENUE
New York, NY 
(40.770658810711, -73.962021816211)","1","10021","40.770583","-73.962081","8","4","128","1042845","1014070020","Upper East Side-Carnegie Hill                                              ","UPPER EAST SIDE (59-79)","D4-ELEVATOR","16","1924","56126","1903233","33.91","562383","10.02","1340850","9950000","177.28","1-01409-0021","1033 LEXINGTON AVENUE
New York, NY 
(40.771908868332, -73.961122494181)","UPPER EAST SIDE (59-79)","D6-ELEVATOR","35","1923","71189","2336130","32.82","868302","12.2","1467828","10916000","153.34","0.1","1-01409-0042","192 75 STREET
New York, NY 
(40.632130015803, -74.030723663133)","UPPER EAST SIDE (59-79)","D6-ELEVATOR","43","1927","40249","1408542","35","315371","7.84","1093171","8088000","200.95","0.1",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01349-0041","322 57 STREET
New York, NY 
(40.64338448537, -74.018101130143)","1",,,,,,,,,,"MIDTOWN EAST","D4-ELEVATOR","21","1930","93096","3137335","33.7","1323825","14.22","1813510","13462000","144.6","1-01331-0039","210 58 STREET
New York, NY 
(40.644433092786, -74.021338943003)","MIDTOWN EAST","D6-ELEVATOR","109","1959","84000","2838640","33.79","973907","11.59","1864733","13841000","164.77","0.15","1-01366-0047","994 1 AVENUE
New York, NY 
(40.75680025824, -73.964009317895)","MIDTOWN EAST","D6-ELEVATOR","132","1956","111792","3767318","33.7","1589771","14.22","2177547","16165000","144.6","0.17","1-01349-0035","340 EAST 57 STREET","MIDTOWN EAST","D6-ELEVATOR","61","1931","73,000","2,286,156","31.32","1,238,457","16.97","1,047,699","7,821,000","107.14","0"
"1-00525-0040","180 THOMPSON STREET
New York, NY 
(40.727994973641, -74.000036158389)","1","10012","40.727897","-74.000105","2","1","65","1008265","1005250040","West Village                                                               ","GREENWICH VILLAGE-CENTRAL","D4-ELEVATOR","64","1920","27000","842940","31.22","267030","9.89","575910","4300000","159.26","1-00543-0048","136 4 STREET
New York, NY 
(40.676702889667, -73.993188867315)","GREENWICH VILLAGE-CENTRAL","D1-ELEVATOR","30","1929","20874","667901","32","198944","9.53","468957","3496000","167.48","0.2","1-00552-0010","82 WASHINGTON PLACE
New York, NY 
(40.732068902434, -74.000018171949)","GREENWICH VILLAGE-CENTRAL","D9-ELEVATOR","35","1900","27108","825000","30.43","277923","10.25","547077","4092000","150.95","0.27",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01140-0046","140 69 STREET
New York, NY 
(40.637149463227, -74.030689058615)","1",,,,,,,,,,"UPPER WEST SIDE (59-79)","D4-ELEVATOR","246","1905","142894","4598329","32.18","1143152","8","3455177","25729000","180.06","1-01158-0033","212 AMSTERDAM AVENUE
New York, NY 
(40.777026010679, -73.982796155087)","UPPER WEST SIDE (59-79)","D6-ELEVATOR","233","1926","160049","6325208","39.52","2064037","12.9","4261171","32218000","201.3","0.11","1-01158-0038","210 70 STREET
New York, NY 
(40.635325046364, -74.028984894065)","UPPER WEST SIDE (59-79)","D7-ELEVATOR","186","1924","171085","4141246","24.21","1475529","8.62","2665717","19395000","113.36","0.11","1-01144-0001","261 AMSTERDAM AVENUE","UPPER WEST SIDE (59-79)","D6-ELEVATOR","65","1906","111,997","3,603,673","32.18","896,271","8","2,707,402","20,161,000","180.01","0.22"
"1-01421-0037","220 67 STREET
New York, NY 
(40.638558357724, -74.027076878401)","1",,,,,,,,,,"UPPER EAST SIDE (59-79)","D4-ELEVATOR","116","1964","100600","3479754","34.59","1014048","10.08","2465706","18258000","181.49","1-01418-0011","225 63 STREET
New York, NY 
(40.641470081803, -74.024005935119)","UPPER EAST SIDE (59-79)","D6-ELEVATOR","152","1962","105282","5279663","50.15","1443257","13.71","3836406","28741000","272.99","0.15","1-01439-0046","310 65 STREET
New York, NY 
(40.639140666, -74.023303007238)","UPPER EAST SIDE (59-79)","D9-ELEVATOR","88","1965","76500","2402713","31.41","833282","10.89","1569431","11714000","153.12","0.17","1-01425-0017","225 EAST 70 STREET","UPPER EAST SIDE (59-79)","D6-ELEVATOR","91","1961","83,220","2,878,912","34.59","838,616","10.08","2,040,296","15,108,000","181.54","0.19"
"1-01756-0060","18 132 STREET
New York, NY 
(40.810527491183, -73.938317794781)","1",,,,,,,,,,"HARLEM-CENTRAL","C6-WALK-UP","11","1900","10460","128344","12.27","59308","5.67","69036","426000","40.73","1-01914-0023","119 129 STREET
New York, NY 
(40.792813003033, -73.838832599945)","HARLEM-CENTRAL","C4-WALK-UP","11","1910","9535","117004","12.27","69756","7.32","47248","300000","31.46","0.34","1-01918-0008","163 133 STREET
New York, NY 
(40.813567751087, -73.943522772153)","HARLEM-CENTRAL","C1-WALK-UP","20","1926","9430","147821","15.68","57662","6.11","90159","448000","47.51","0.34","1-02026-0020","215 WEST 140 STREET","HARLEM-CENTRAL","C1-WALK-UP","15","1920","10,703","136,246","12.73","100,361","9.38","35,885","240,000","22.42","0.67"
