Category,Type of Business,Business,Address,City/State,Zip Code,Phone Number,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
Food and Drink,Casual Eateries,Joe the Art of Coffee,9 East 13th Street,"New York, NY",10003,212-924-7400,MANHATTAN,40.735066,-73.993512,2,2,61,1009403,1005717501,West Village                                                               ,"(40.735066, -73.993512)",11724,57,4,50,3
Retail,Apparel and Footwear,Victoria's Secret,115 5th Avenue,"New York, NY",10003,212-477-4118,MANHATTAN,40.738895,-73.991502,5,2,52,1080756,1008470062,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.738895, -73.991502)",11724,11,4,50,7
Retail,Apparel and Footwear,Coup De Coeur,163 3rd Avenue,"New York, NY",10003,212-982-8366,MANHATTAN,40.73447,-73.98631,6,2,48,1019531,1008970035,Gramercy                                                                   ,"(40.73447, -73.98631)",11724,71,4,50,7
Retail,Pharmacies,Duane Reade,52 East 14th Street,"New York, NY",10003,212-358-8206,MANHATTAN,40.73477,-73.990633,2,2,61,1009217,1005650021,West Village                                                               ,"(40.73477, -73.990633)",11724,57,4,50,5
Food and Drink,Restaurants,City Crab,235 Park Avenue South,"New York, NY",10003,212-529-3800,MANHATTAN,40.737813,-73.988103,5,2,50,1017906,1008750001,Gramercy                                                                   ,"(40.737813, -73.988103)",11724,11,4,50,7
Retail,Beauty,Tamago Skincare,236 East 13th Street,"New York, NY",10003,212-505-1599,MANHATTAN,40.732211,-73.986776,3,2,40,1083490,1004680027,East Village                                                               ,"(40.732211, -73.986776)",11724,70,4,50,5
Retail,Office Supplies and Stationery,FedEx Office,4 Union Square East,"New York, NY",10003,212-353-3860,MANHATTAN,40.734564,-73.989908,5,2,50,1083247,1008707501,Gramercy                                                                   ,"(40.734564, -73.989908)",11724,11,4,50,7
Retail,Electronics and Video,Sprint,234 3rd Avenue,"New York, NY",10003,,MANHATTAN,40.736696,-73.984715,6,2,50,1017928,1008750047,Gramercy                                                                   ,"(40.736696, -73.984715)",11724,71,4,50,7
Services,Health and Fitness,YogaWorks,138 5th Avenue,"New York, NY",10011,212-647-9642,MANHATTAN,40.738925,-73.991505,5,3,54,1015454,1008200046,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.738925, -73.991505)",12074,11,4,10,7
Food and Drink,Casual Eateries,Curly's Vegetarian ,330 East 14th Street,"New York, NY",10003,212-598-9998,MANHATTAN,40.731873,-73.983825,3,2,40,1006516,1004550021,East Village                                                               ,"(40.731873, -73.983825)",11724,70,4,50,5
Food and Drink,Casual Eateries,Tim Hortons,34 Union Square East,"New York, NY",10003,646-556-6380,MANHATTAN,40.735898,-73.98951,5,2,50,1017818,1008710082,Gramercy                                                                   ,"(40.735898, -73.98951)",11724,11,4,50,7
Services,Health and Fitness,Bally's Total Fitness,641 6th Avenue,"New York, NY",10011,212-645-4565,MANHATTAN,40.740718,-73.994403,4,3,87,1014732,1007950044,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.740718, -73.994403)",12074,12,4,10,7
Services,Spas and Salons,A Spa & Nails,53 Irving Place,"New York, NY",10003,212-505-0146,MANHATTAN,40.736037,-73.987284,5,2,50,1078732,1008730015,Gramercy                                                                   ,"(40.736037, -73.987284)",11724,11,4,50,7
Points of Interest,Education,14th Street Y of the Educational Alliance,344 East 14th Street,"New York, NY",10011,212-780-0800,MANHATTAN,40.731566,-73.983096,3,2,40,1006521,1004550029,East Village                                                               ,"(40.731566, -73.983096)",11724,70,4,50,5
Food and Drink,Groceries and Liquors,Bottle Rocket Wine & Spirit,5 West 19th Street,"New York, NY",10011,212-929-3512,MANHATTAN,40.739337,-73.991946,5,3,54,1015475,1008210038,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.739337, -73.991946)",12074,11,4,10,7
Parking,Parking,Imperial Parking Garage,7 East 14th Street,"New York, NY",10003,212-691-3070,MANHATTAN,40.735859,-73.993245,5,2,52,1016062,1008420007,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.735859, -73.993245)",11724,11,4,50,7
Retail,Books and News,Barnes & Noble Booksellers,33 East 17th Street,"New York, NY",10003,212-253-0810,MANHATTAN,40.737026,-73.990062,5,2,52,1016130,1008460030,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.737026, -73.990062)",11724,11,4,50,7
Food and Drink,Casual Eateries,Food Works,10 West 19th Street,"New York, NY",10011,212-352-9333,MANHATTAN,40.739362,-73.99205,5,3,54,1015456,1008207503,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.739362, -73.99205)",12074,11,4,10,7
Services,Banks and Finances,T.D. Bank,90 5th Avenue,"New York, NY",10011,212-242-6681,MANHATTAN,40.736354,-73.993379,5,3,54,1015291,1008160037,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.736354, -73.993379)",12074,11,4,10,7
Services,Lodging,Union Square Inn,209 East 14th Street,"New York, NY",10003,212-614-0500,MANHATTAN,40.733106,-73.986711,6,2,48,1019502,1008960009,Gramercy                                                                   ,"(40.733106, -73.986711)",11724,71,4,50,7
Food and Drink,Restaurants,Rye House,11 West 17th Street,"New York, NY",10011,212-255-7260,MANHATTAN,40.738225,-73.992931,5,3,54,1015418,1008190031,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.738225, -73.992931)",12074,11,4,10,7
Services,Cleaners and Shoe Repair,Rainbow Cleaners,36 West 15th Street,"New York, NY",10011,212-627-4677,MANHATTAN,40.737224,-73.994403,5,3,54,1015298,1008160062,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.737224, -73.994403)",12074,11,4,10,7
Services,Spas and Salons,Complete Body and Spa,22 West 19th Street,"New York, NY",10011,212-777-7719,MANHATTAN,40.73948,-73.992332,5,3,54,1015446,1008200026,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.73948, -73.992332)",12074,11,4,10,7
Services,Health and Fitness,New York Health and Raquet Club,24 East 13th Street,"New York, NY",10003,212-924-4600,MANHATTAN,40.734855,-73.993054,2,2,61,1009382,1005700017,West Village                                                               ,"(40.734855, -73.993054)",11724,57,4,50,3
Food and Drink,Restaurants,Little Poland Restaurant,200 2nd Avenue,"New York, NY",10003,212-777-9728,MANHATTAN,40.731275,-73.985712,3,2,40,1006479,1004540004,East Village                                                               ,"(40.731275, -73.985712)",11724,70,4,50,5
Food and Drink,Restaurants,Blitz Brasserie,504 6th Avenue,"New York, NY",10011,646-360-4143,MANHATTAN,40.736529,-73.997431,2,3,63,1080145,1005760010,West Village                                                               ,"(40.736529, -73.997431)",12074,57,4,10,3
Services,Spas and Salons,Sacha & Olivier,6 West 18th Street,"New York, NY",10011,212-255-1100,MANHATTAN,40.738741,-73.992379,5,3,54,1015423,1008190050,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.738741, -73.992379)",12074,11,4,10,7
Food and Drink,Restaurants,The Redhead Restaurant,349 East 13th Street,"New York, NY",10003,212-533-6212,MANHATTAN,40.731171,-73.984269,3,2,40,1006530,1004550043,East Village                                                               ,"(40.731171, -73.984269)",11724,70,4,50,5
Food and Drink,Bars and Lounges,Revival,129 East 15th Street,"New York, NY",10003,212-253-8061,MANHATTAN,40.734528,-73.987952,6,2,50,1017798,1008710028,Gramercy                                                                   ,"(40.734528, -73.987952)",11724,71,4,50,7
Food and Drink,Casual Eateries,2 Brothers Pizza,601 6th Avenue,"New York, NY",10011,212-206-8656,MANHATTAN,40.739527,-73.995273,4,3,81,1014658,1007930035,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.739527, -73.995273)",12074,12,4,10,7
Retail,Home Furnishings,Blinds and Beyond ,32 East 13th Street,"New York, NY",10003,212-352-0033,MANHATTAN,40.734734,-73.992765,2,2,61,1084941,1005700022,West Village                                                               ,"(40.734734, -73.992765)",11724,57,4,50,3
Food and Drink,Casual Eateries,Pret A Manger,857 Broadway,"New York, NY",10003,646-810-0167,MANHATTAN,40.737234,-73.990308,5,2,52,1016122,1008460019,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.737234, -73.990308)",11724,11,4,50,7
Services,Spas and Salons,Brows Zone,22 East 14th Street,"New York, NY",10003,212-414-9663,MANHATTAN,40.735555,-73.992556,2,2,61,1009394,1005717502,West Village                                                               ,"(40.735555, -73.992556)",11724,57,4,50,3
Retail,Electronics and Video,P.C. Richard & Son,120 East 14th Street,"New York, NY",10003,212-979-2600,MANHATTAN,40.733833,-73.98849,3,2,42,1084306,1005590016,East Village                                                               ,"(40.733833, -73.98849)",11724,70,4,50,5
Points of Interest,Education,"Parson's, The New School for Design",66 5th Avenue,"New York, NY",10011,212-229-5600,MANHATTAN,40.735044,-73.994328,2,3,63,1009619,1005760042,West Village                                                               ,"(40.735044, -73.994328)",11724,57,4,10,3
Food and Drink,Restaurants,L'Annam,121 University Place,"New York, NY",10003,212-420-1179,MANHATTAN,40.734718,-73.992105,2,2,61,1009214,1005650005,West Village                                                               ,"(40.734718, -73.992105)",11724,57,4,50,3
Food and Drink,Casual Eateries,Chickpea,210 East 14th Street,"New York, NY",10003,212-228-3445,MANHATTAN,40.733076,-73.986689,3,2,40,1006894,1004690013,East Village                                                               ,"(40.733076, -73.986689)",11724,70,4,50,5
Retail,Apparel and Footwear,Apt 141,141 East 13th Street,"New York, NY",10003,212- 982-4227,MANHATTAN,40.733131,-73.988908,3,2,42,1077858,1005590042,East Village                                                               ,"(40.733131, -73.988908)",11724,70,4,50,5
Food and Drink,Casual Eateries,Taco Bell/Pizza Hut Express,18 East 14th Street,"New York, NY",10003,212-645-8645,MANHATTAN,40.735618,-73.992711,2,2,61,1009392,1005710012,West Village                                                               ,"(40.735618, -73.992711)",11724,57,4,50,3
Points of Interest,Theaters and Cinemas,Classic Stage Company,136 East 13th Street,"New York, NY",10003,212-677-4210,MANHATTAN,40.733145,-73.988984,3,2,42,1009015,1005580024,East Village                                                               ,"(40.733145, -73.988984)",11724,70,4,50,5
Retail,Pharmacies ,Vitamin Shoppe,237 1st Avenue,"New York, NY",10003,212-533-4748,MANHATTAN,40.731247,-73.982645,3,2,40,1006522,1004550033,East Village                                                               ,"(40.731247, -73.982645)",11724,70,4,50,5
Retail,Home Furnishings,Rafael Interior Decorators,12 East 18th Street,"New York, NY",10011,212-337-3200,MANHATTAN,40.738184,-73.991062,5,2,52,1016142,1008460067,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.738184, -73.991062)",11724,11,4,50,7
Retail,Apparel and Footwear,babyGap,122 5th Avenue,"New York, NY",10011,917-408-5580,MANHATTAN,40.738173,-73.99205,5,3,54,1015420,1008190039,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.738173, -73.99205)",12074,11,4,10,7
Food and Drink,Restaurants,Danal Restaurant,59 5th Avenue,"New York, NY",10003,212-982-6930,MANHATTAN,40.735102,-73.994259,2,2,61,1009375,1005700006,West Village                                                               ,"(40.735102, -73.994259)",11724,57,4,50,3
Services,Health and Fitness,Tao Yoga,37 Union Square West,"New York, NY",10011,212-691-7799,MANHATTAN,40.736836,-73.990549,5,2,52,1016087,1008440023,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.736836, -73.990549)",11724,11,4,50,7
Food and Drink,Bars and Lounges,NoWhere,322 East 14th Street,"New York, NY",10003,212-477-4744 ,MANHATTAN,40.731969,-73.984055,3,2,40,1006514,1004550018,East Village                                                               ,"(40.731969, -73.984055)",11724,70,4,50,5
Food and Drink,Casual Eateries,Murray's Bagels,500 6th Avenue,"New York, NY",10011,212-462-2830,MANHATTAN,40.736447,-73.997492,2,3,63,1066991,1005760008,West Village                                                               ,"(40.736447, -73.997492)",12074,57,4,10,3
Food and Drink,Casual Eateries,Redhouse,204 East 14th Street,"New York, NY",10003,212-228-8288,MANHATTAN,40.733117,-73.986787,3,2,40,1088500,1004697505,East Village                                                               ,"(40.733117, -73.986787)",11724,70,4,50,5
Services,Spas and Salons,Beach Bum Tanning,25 West 14th Street,"New York, NY",10011,212-645-8261,MANHATTAN,40.736447,-73.994649,5,3,54,1015290,1008160023,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.736447, -73.994649)",12074,11,4,10,7
Services,Cleaners and Shoe Repair,French Cleaners,335 1st Avenue,"New York, NY",10003,,MANHATTAN,40.734612,-73.980053,6,2,64,1020524,1009250037,Gramercy                                                                   ,"(40.734612, -73.980053)",11729,71,4,50,7
Food and Drink,Bars and Lounges,Still Bar & Grill,192 3rd Avenue,"New York, NY",10003,212-471-9807,MANHATTAN,40.7354,-73.985657,6,2,50,1017855,1008730035,Gramercy                                                                   ,"(40.7354, -73.985657)",11724,71,4,50,7
Food and Drink,Casual Eateries,Donna's Deli,325 1st Avenue,"New York, NY",10003,,MANHATTAN,40.734277,-73.980299,6,2,48,1081633,1009240034,Gramercy                                                                   ,"(40.734277, -73.980299)",11729,71,4,50,7
Food and Drink,Groceries and Liquors,Hamptons Marketplace,217 1st Avenue,"New York, NY",10003,212-432-7700,MANHATTAN,40.730561,-73.98315,3,2,40,1006490,1004540036,East Village                                                               ,"(40.730561, -73.98315)",11724,70,4,50,5
Services,Spas and Salons,Lugo's Mecca of Hair,205 1st Avenue,"New York, NY",10003,,MANHATTAN,40.730289,-73.983345,3,2,40,1006494,1004540041,East Village                                                               ,"(40.730289, -73.983345)",11724,70,4,50,5
Retail,Electronics and Video,Super Value Electronics,6 West 14th Street,"New York, NY",10011,212-414-9697,MANHATTAN,40.736241,-73.994201,2,3,63,1080157,1005770037,West Village                                                               ,"(40.736241, -73.994201)",12074,57,4,10,3
Retail,Apparel and Footwear,New York Costumes,808 Broadway,"New York, NY",10003,212-673-4546,MANHATTAN,40.732621,-73.991232,2,2,61,1009006,1005577501,West Village                                                               ,"(40.732621, -73.991232)",11724,57,4,50,5
Food and Drink,Restaurants,Aleo,7 West 20th Street,"New York, NY",10011,212-691-8136,MANHATTAN,40.739944,-73.991563,5,3,54,1015497,1008220029,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.739944, -73.991563)",12074,11,4,10,7
Food and Drink,Casual Eateries,The Lite Choice,7 East 14th Street,"New York, NY",10003,212-243-0477,MANHATTAN,40.735859,-73.993245,5,2,52,1016062,1008420007,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.735859, -73.993245)",11724,11,4,50,7
Parking,Parking,East 12th Street Garage,17 East 12th Street,"New York, NY",10003,212-929-9879,MANHATTAN,40.734268,-73.993595,2,2,61,1009387,1005707504,West Village                                                               ,"(40.734268, -73.993595)",11724,57,4,50,3
Food and Drink,Casual Eateries,Café Beyond,620 6th Avenue,"New York, NY",10011,212-620-9752,MANHATTAN,40.740081,-73.994843,5,3,54,1080644,1008207505,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.740081, -73.994843)",12074,11,4,10,7
Retail,Home Furnishings,Muji,16 West 19th Street,"New York, NY",10011,212-414-9024,MANHATTAN,40.739422,-73.992191,5,3,54,1087504,1008207504,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.739422, -73.992191)",12074,11,4,10,7
Services,Spas and Salons,Vogue Nail Salon,491 6th Avenue,"New York, NY",10011,212-989-4106,MANHATTAN,40.736233,-73.997673,2,3,71,1010619,1006080039,West Village                                                               ,"(40.736233, -73.997673)",12074,57,4,10,3
Services,Spas and Salons,Novella Salon,108 3rd Avenue,"New York, NY",10003,,MANHATTAN,40.732766,-73.987577,3,2,42,1087620,1005597501,East Village                                                               ,"(40.732766, -73.987577)",11724,70,4,50,5
Retail,Apparel and Footwear,Brooklyn Industries,801 Broadway,"New York, NY",10003,646-478-8871,MANHATTAN,40.732566,-73.991265,2,2,61,1009138,1005630037,West Village                                                               ,"(40.732566, -73.991265)",11724,57,4,50,3
Food and Drink,Casual Eateries,Dunkin Donuts and Baskin Robbins,536 6th Avenue,"New York, NY",10011,212-727-0444,MANHATTAN,40.737633,-73.996626,5,3,54,1080615,1008160004,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.737633, -73.996626)",12074,11,4,10,7
Food and Drink,Restaurants,Quigley's NY Grill,313 1st Avenue,"New York, NY",10003,212-253-9440,MANHATTAN,40.73383,-73.98062,6,2,48,1020488,1009240030,Gramercy                                                                   ,"(40.73383, -73.98062)",11729,71,4,50,7
Retail,Optical,Cohen's Fashion Optical,2 West 14th Street,"New York, NY",10011,212-989-3937,MANHATTAN,40.736203,-73.994104,2,3,63,1009717,1005770039,West Village                                                               ,"(40.736203, -73.994104)",12074,57,4,10,3
Retail,Gifts and Florists,Gramercy Park Flower Shop,236 3rd Avenue,"New York, NY",10003,212-475-4989,MANHATTAN,40.736742,-73.984682,6,2,50,1017928,1008750047,Gramercy                                                                   ,"(40.736742, -73.984682)",11724,71,4,50,7
Retail,Beauty,Kiehl's,109 3rd Avenue,"New York, NY",10003,212-677-3171,MANHATTAN,40.732763,-73.987552,3,2,40,1084261,1004697502,East Village                                                               ,"(40.732763, -73.987552)",11724,70,4,50,5
Services,Spas and Salons,Gigi Nail Spa,207 East 14th Street,"New York, NY",10003,212-673-7628,MANHATTAN,40.733117,-73.986743,6,2,48,1019501,1008960008,Gramercy                                                                   ,"(40.733117, -73.986743)",11724,71,4,50,7
Retail,Apparel and Footwear,Ibiza Kidz,830 Broadway,"New York, NY",10003,212-228-7990,MANHATTAN,40.73348,-73.991044,2,2,61,1077828,1005640036,West Village                                                               ,"(40.73348, -73.991044)",11724,57,4,50,5
Retail,Apparel and Footwear,Perfume Square,853 Broadway,"New York, NY",10003,212-529-0330,MANHATTAN,40.734646,-73.99081,2,2,61,1080133,1005650015,West Village                                                               ,"(40.734646, -73.99081)",11724,57,4,50,3
Services,Cleaners and Shoe Repair,WV Cleaners,356 East 19th Street,"New York, NY",10003,,MANHATTAN,40.734873,-73.981392,6,2,48,1078809,1009240034,Gramercy                                                                   ,"(40.734873, -73.981392)",11724,71,4,50,7
Retail,Pharmacies,Duane Reade,873 Broadway,"New York, NY",10003,917-534-1351,MANHATTAN,40.737901,-73.990109,5,2,52,1080750,1008470016,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.737901, -73.990109)",11724,11,4,50,7
Retail,Electronics and Video,AT&T,4 West 14th Street,"New York, NY",10011,212-255-5655,MANHATTAN,40.736222,-73.994151,2,3,63,1009717,1005770039,West Village                                                               ,"(40.736222, -73.994151)",12074,57,4,10,3
Services,Banks and Finances,HSBC,15 Union Square West,"New York, NY",10011,212-598-4588,MANHATTAN,40.735791,-73.991297,5,2,52,1016065,1008427502,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.735791, -73.991297)",11724,11,4,50,7
Retail,Apparel and Footwear,GapKids,122 5th Avenue,"New York, NY",10011,917-408-5580,MANHATTAN,40.738173,-73.99205,5,3,54,1015420,1008190039,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.738173, -73.99205)",12074,11,4,10,7
Services,Spas and Salons,Kiyora Salon,15 East 12th Street,"New York, NY",10003,212-414-4488,MANHATTAN,40.734306,-73.993682,2,2,61,1076982,1005700038,West Village                                                               ,"(40.734306, -73.993682)",11724,57,4,50,3
Food and Drink,Restaurants,Pipa,38 East 19th Street,"New York, NY",10003,212-677-2233,MANHATTAN,40.738266,-73.989452,5,2,52,1080755,1008470027,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.738266, -73.989452)",11724,11,4,50,7
Food and Drink,Restaurants,GustOrganics,519 6th Avenue,"New York, NY",10011,212-242-5800,MANHATTAN,40.737067,-73.997063,2,3,71,1010649,1006090041,West Village                                                               ,"(40.737067, -73.997063)",12074,57,4,10,3
Food and Drink,Groceries and Liquors,Food Emporium,10 Union Square East,"New York, NY",10003,212-353-3840,MANHATTAN,40.734704,-73.989926,5,2,50,1083247,1008707501,Gramercy                                                                   ,"(40.734704, -73.989926)",11724,11,4,50,7
Retail,Beauty,Essentials Skin Care,207 East 14th Street,"New York, NY",10003,212-253-9693,MANHATTAN,40.733117,-73.986743,6,2,48,1019501,1008960008,Gramercy                                                                   ,"(40.733117, -73.986743)",11724,71,4,50,7
Services,Cleaners and Shoe Repair,New Cleaners,134 East 17th Street,"New York, NY",10003,,MANHATTAN,40.735719,-73.987028,6,2,50,1017825,1008720051,Gramercy                                                                   ,"(40.735719, -73.987028)",11724,71,4,50,7
Retail,"Entertainment, Music & Games",Party City,38 West 14th Street,"New York, NY",10011,212-271-7310,MANHATTAN,40.736557,-73.994952,2,3,63,1009713,1005770019,West Village                                                               ,"(40.736557, -73.994952)",12074,57,4,10,3
Services,Banks and Finances,Bank of America,110 3rd Avenue,"New York, NY",10003,,MANHATTAN,40.732818,-73.987537,3,2,42,1087620,1005597501,East Village                                                               ,"(40.732818, -73.987537)",11724,70,4,50,5
Services,Spas and Salons,The Dry Bar,4 West 16th Street,"New York, NY",10011,212-561-5392,MANHATTAN,40.737548,-73.993187,5,3,54,1015312,1008170057,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.737548, -73.993187)",12074,11,4,10,7
Food and Drink,Restaurants,OLiVES NY,201 Park Avenue South,"New York, NY",10003,212-353-8345?,MANHATTAN,40.736644,-73.988944,5,2,50,1080799,1008730001,Gramercy                                                                   ,"(40.736644, -73.988944)",11724,11,4,50,7
Retail,Office Supplies and Stationary,FedEx Office,257 Park Avenue South,"New York, NY",10003,646-602-0074,MANHATTAN,40.738574,-73.987536,5,2,50,1017947,1008760006,Gramercy                                                                   ,"(40.738574, -73.987536)",12073,11,4,50,7
Food and Drink,Casual Eateries,Pizza Paradise,12 West 18th Street,"New York, NY",10011,212-206-0500,MANHATTAN,40.738802,-73.992519,5,3,54,1015429,1008197501,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.738802, -73.992519)",12074,11,4,10,7
Retail,Home Furnishings,Jennifer Convertibles & Furniture,113 3rd Avenue,"New York, NY",10003,212-260-0522,MANHATTAN,40.732884,-73.987465,3,2,40,,,East Village                                                               ,"(40.732884, -73.987465)",11724,70,4,50,5
Services,Cleaners and Shoe Repair,Danny 2 Cleaners,188 3rd Avenue,"New York, NY",10003,,MANHATTAN,40.735296,-73.985733,6,2,50,1017853,1008730033,Gramercy                                                                   ,"(40.735296, -73.985733)",11724,71,4,50,7
Points of Interest,Landmarks,The Village Temple,33 East 12th Street,"New York, NY",10003,212-674-2340,MANHATTAN,40.733779,-73.99243,2,2,61,1009207,1005640032,West Village                                                               ,"(40.733779, -73.99243)",11724,57,4,50,3
Food and Drink,Bars and Lounges,Cibar Lounge ,56 Irving Place,"New York, NY",10003,212-460-5656,MANHATTAN,40.736098,-73.987215,6,2,50,1017844,1008730020,Gramercy                                                                   ,"(40.736098, -73.987215)",11724,71,4,50,7
Food and Drink,Casual Eateries,Subway,227 1st Avenue,"New York, NY",10003,,MANHATTAN,40.730978,-73.982843,3,2,40,1006526,1004550038,East Village                                                               ,"(40.730978, -73.982843)",11724,70,4,50,5
Points of Interest,Education,New School - Sheila F. Johnson Design Center,70 5th Avenue,"New York, NY",10011,212-229-8950,MANHATTAN,40.735223,-73.994198,2,3,63,1009617,1005760036,West Village                                                               ,"(40.735223, -73.994198)",11724,57,4,10,3
Food and Drink,Casual Eateries,Birdbath Bakery,223 1st Avenue,"New York, NY",10003,646-722-6565,MANHATTAN,40.730871,-73.982923,3,2,40,1006528,1004550040,East Village                                                               ,"(40.730871, -73.982923)",11724,70,4,50,5
Food and Drink,Restaurants,Zio Ristorante,17 West 19th Street,"New York, NY",10011,212-352-1700,MANHATTAN,40.739452,-73.99222,5,3,54,1015472,1008210032,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.739452, -73.99222)",12074,11,4,10,7
Food and Drink,Casual Eateries,Salt and Pepper Restaurant,239 1st Avenue,"New York, NY",10003,212-677-0005,MANHATTAN,40.731574,-73.98228,6,2,48,1082155,1009210027,Gramercy                                                                   ,"(40.731574, -73.98228)",11729,71,4,50,7
Retail,Home Furnishings,Ann Sacks,37 East 18th Street,"New York, NY",10003,212-529-2800,MANHATTAN,40.737652,-73.989759,5,2,52,1016148,1008470029,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.737652, -73.989759)",11724,11,4,50,7
Food and Drink,Casual Eateries,New Andy's Deli,873 Broadway,"New York, NY",10003,212-477-1110,MANHATTAN,40.737901,-73.990109,5,2,52,1080750,1008470016,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.737901, -73.990109)",11724,11,4,50,7
Services,Spas and Salons,Spring Star Nail Inc.,490 6th Avenue,"New York, NY",10011,212-929-2333,MANHATTAN,40.736247,-73.997636,2,3,63,1009609,1005760001,West Village                                                               ,"(40.736247, -73.997636)",12074,57,4,10,3
Retail,Home Furnishings,Gothic Cabinet & Craft,104 3rd Avenue,"New York, NY",10003,212-420-9556,MANHATTAN,40.73251,-73.987761,3,2,42,1009018,1005580028,East Village                                                               ,"(40.73251, -73.987761)",11724,70,4,50,5
Services,Health and Fitness,Prana Power Yoga,862 Broadway,"New York, NY",10003,212-460-YOGA,MANHATTAN,40.737309,-73.990264,5,2,52,1016127,1008460024,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.737309, -73.990264)",11724,11,4,50,7
Retail,Apparel and Footwear,Aldo,97 5th Avenue,"New York, NY",10003,212-229-9865,MANHATTAN,40.738003,-73.992151,5,2,52,1016109,1008460001,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.738003, -73.992151)",11724,11,4,50,7
Retail,Apparel and Footwear,Season Clothing,343 1st Avenue,"New York, NY",10003,,MANHATTAN,40.734905,-73.979844,6,2,64,1020528,1009250041,Gramercy                                                                   ,"(40.734905, -73.979844)",11729,71,4,50,7
Services,Spas and Salons,Queen Jane's Beauty Salon,323 2nd Avenue,"New York, NY",10003,,MANHATTAN,40.735241,-73.982842,6,2,48,1019591,1008990032,Gramercy                                                                   ,"(40.735241, -73.982842)",11724,71,4,50,7
Food and Drink,Casual Eateries,Hawkers,225 East 14th Street,"New York, NY",10003,212-982-1688,MANHATTAN,40.732996,-73.986455,6,2,48,1019505,1008960012,Gramercy                                                                   ,"(40.732996, -73.986455)",11724,71,4,50,7
Food and Drink,Restaurants,Quantam Leap,203 1st Avenue,"New York, NY",10003,212-673-9848,MANHATTAN,40.730243,-73.983378,3,2,40,1006495,1004540042,East Village                                                               ,"(40.730243, -73.983378)",11724,70,4,50,5
Retail,Apparel and Footwear,Kate Spade,135 5th Avenue,"New York, NY",10003,212-358-0420,MANHATTAN,40.73976,-73.990874,5,2,52,1016195,1008490001,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.73976, -73.990874)",12073,11,4,50,7
Food and Drink,Restaurants,Bamboo Garden,216 3rd Avenue,"New York, NY",10003,212-388-9989,MANHATTAN,40.736139,-73.985119,6,2,50,1017884,1008740042,Gramercy                                                                   ,"(40.736139, -73.985119)",11724,71,4,50,7
Retail,Apparel and Footwear,Paragon Sporting Goods ,867 Broadway,"New York, NY",10003,212-255-8036,MANHATTAN,40.737567,-73.990207,5,2,52,1016138,1008460060,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.737567, -73.990207)",11724,11,4,50,7
Food and Drink,Casual Eateries,Led Zeppole,330 East 14th Street,"New York, NY",10003,212-228-2807,MANHATTAN,40.731873,-73.983825,3,2,40,1006516,1004550021,East Village                                                               ,"(40.731873, -73.983825)",11724,70,4,50,5
Food and Drink,Groceries and Liquors,Frank's Wines & Liquors,46 Union Square East,"New York, NY",10003,212-473-3231,MANHATTAN,40.736348,-73.989168,5,2,50,1017839,1008720078,Gramercy                                                                   ,"(40.736348, -73.989168)",11724,11,4,50,7
