"program_type","program","site_name","address","borough_community","postcode","agency","contact_number","grade_level_age_group","location_1","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"Jobs & Internships","Out-of-School Youth Employment (OSY)","The Door - A Center of Alternatives","121 Avenue of the Americas","New York","10013","The Door - A Center of Alternatives","212.941.9090","16 to 21","121 Avenue
of the Americas,  10013
(40.721242188776, -74.008889000227)","40.723903","-74.00469","2","3","37","1083493","1004777501","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"Jobs & Internships","Youth Employment","Mid-Bronx Council Services, Inc.","1125 Grand Concourse","Bronx","10452","Mid-Bronx Council Services, Inc.","718.588.8200","HS","1125 Grand
Concourse,  10452
(40.837724263364, -73.923332211412)","40.832627","-73.919398","4","16","195","2002893","2024720034","West Concourse                                                             "
"Jobs & Internships","In-School Youth Employment (ISY)","P.S. 138","760 Prospect Place","Brooklyn","11216","Research Foundation of CUNY on behalf of Medgar Evers College","718.270.6908",,"760 Prospect Place
,  11216
(40.674353675202, -73.9514119617)","40.67438","-73.951443","8","36","31701","3330794","3012330026","Crown Heights North                                                        "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","El Barrio's Operation Fightback, Inc.","320 Pleasant Avenue","Manhattan","10035","El Barrio's Operation Fightback, Inc.","212-410-7900","14 to 24","320 Pleasant Avenue
,  10035
(40.795839827532, -73.932604992632)","40.795824","-73.932581","11","8","178","1053170","1017160001","East Harlem North                                                          "
"Jobs & Internships","In-School Youth Employment (ISY)","Bronx School for Law, Government & Justice - H.S. 505","244 East 163rd Street","Bronx","10451","Federation Employment and Guidance Service, Inc.","212.366.8441",,"244 163rd Street
,  10451
(40.827557580707, -73.91861304157)","40.827607","-73.918681","4","16","18302","2109459","2024450006","East Concourse-Concourse Village                                           "
"Jobs & Internships","In-School Youth Employment (ISY)","East NY Development Corporation","2644 Atlantic Avenue","Brooklyn","11207","East NY Development Corporation","718.566.2129",,"2644 Atlantic Avenue
,  11207
(40.675655262304, -73.896752975273)","40.675744","-73.896644","5","37","1198","3326728","3036870012","East New York                                                              "
"Jobs & Internships","In-School Youth Employment (ISY)","United Activities Unlimited @ PS 18 Beacon","221 Broadway","Staten Island","10310","United Activities Unlimited, Inc.","718.987.8111",,"221 Broadway
,  10310
(40.636039309097, -74.117473690981)","40.636587","-74.117509","1","49","105","5004877","5001760010","New Brighton-Silver Lake                                                   "
"Jobs & Internships","Youth Employment","Police Athletic League (Brownsville Beacon)","985 Rockaway Avenue","Brooklyn","11212","Police Athletic League, Inc.","212.477.9450",,"985 Rockaway Avenue
,  11212
(40.656451255408, -73.907322828305)","40.656068","-73.907245","16","42","922","3082940","3036360007","Brownsville                                                                "
"Jobs & Internships","Out-of-School Youth Employment (OSY)","Sunnyside Community Services, Inc.","43-31 39th Street","Queens","11104","Sunnyside Community Service, Inc.","718.784.6173 ext. 429","16 to 21","43 31 39th Street
,  11104
(40.744893366636, -73.920541345307)","40.74519","-73.925909","2","26","179","4436677","4001910005","Hunters Point-Sunnyside-West Maspeth                                       "
"Jobs & Internships","In-School Youth Employment (ISY)","Public School 346 - Abe Stark Elementary School","1400 Pennsylvania Avenue","Brooklyn","11239","Italian American Civil Rights League (Italian American Civil","718.642.2857",,"1400 Pennsylvania Avenue
,  11239
(40.647521749912, -73.881546762442)","40.64726","-73.881114","5","42","105804","3098294","3044520025","Starrett City                                                              "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Police Athletic League, Inc. - Vulnerable Youth","34 1/2 East 12th Street","Manhattan","10003","Police Athletic League, Inc. - Vulnerable Youth","718-389-5309","14 to 24","34 1 2 East 12th Street
,  10003
(40.734434119371, -73.994010700793)","40.733809","-73.992549","2","2","61","1009129","1005630020","West Village                                                               "
"Jobs & Internships","Adult Employment","Civic Association Serving Harlem, Inc","356 West 123rd Street","New York","10027","Civic Association Serving Harlem, Inc","212.864.5850",,"356 123rd Street
,  10027
(40.809616535299, -73.953990415546)","40.809673","-73.954061","10","9","257","1059252","1019490058","Central Harlem South                                                       "
"Jobs & Internships","Youth Employment","Jacob A. Riis Neighborhood Settlement, Inc.","10-25 41st Avenue","Long Island  City","11101","Jacob A. Riis Neighborhood Settlement, Inc.","718.784.7447","HS","10 25 41st Avenue
,  11101
(40.745702449808, -73.938669029252)","40.755488","-73.945328","1","26","25","4433386","4004700100","Queensbridge-Ravenswood-Long Island City                                   "
"Jobs & Internships","Youth Employment","Italian American Civil Rights League (Italian American Civil)","1460 Pennsylvania Avenue","Brooklyn","11239","Italian American Civil Rights League (Italian American Civil)","718.642.2180","HS","1460 Pennsylvania Avenue
,  11239
(40.646077795287, -73.879950181902)","40.646068","-73.879786","5","42","105804","3340241","3044520020","Starrett City                                                              "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Colony South Brooklyn Houses","297 Dean Street","Brooklyn","11217","Colony South Brooklyn Houses","718-643-2930","14 to 24","297 Dean Street
,  11217
(40.684294153023, -73.982115834364)","40.684309","-73.982192","2","33","39","3001188","3001910041","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Jobs & Internships","Youth Employment","Woodycrest Center","153 West 165th Street","Bronx","10452","Woodycrest Center For Human Development","718.992.2178","All grades","153 165th Street
,  10452
(40.83108457688, -73.920857534442)","40.834544","-73.928932","4","8","193","2003478","2025260034","Highbridge                                                                 "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Rockaway Development & Revitalization Corporation","1920 Mott Avenue , 2nd Fl","Queens","11691","Rockaway Development & Revitalization Corporation","718-327-5300 ","14 to 24","1920 Mott Avenue
,  11691
(40.603879525424, -73.752178931552)","40.603907","-73.752262","14","31","103202","4457760","4155590012","Far Rockaway-Bayswater                                                     "
"Jobs & Internships","Youth Employment","Rafael Academy School ","977 Fox Street","Bronx","10459","Simpson Street Development Association, Inc.","718.589.1510","MS/HS","977 Fox Street
,  10459
(40.822428225918, -73.89392410103)","40.822443","-73.893902","2","17","159","2005660","2027140004","Hunts Point                                                                "
"Jobs & Internships","Out-of-School Youth Employment (OSY)","Henkels & McCoy, Inc.","29-10 Thomson Avenue","Queens","11101","CUNY Catch at LaGuardia Community College","917.856.2368","16 to 21","29 10 Thomson Avenue
,  11101
(40.745702449808, -73.938669029252)","40.745216","-73.937602","2","26","1","4003516","4002730001","Hunters Point-Sunnyside-West Maspeth                                       "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Church Avenue Merchants Block Association, Inc.","2211 Church Avenue","Brooklyn","11226","Church Avenue Merchants Block Association, Inc.","718-462-2597 ","14 to 24","1957 Nostrand Ave
,  11210
(40.63792479299, -73.948168194715)","40.650424","-73.958175","14","40","79602","3116881","3050890071","Prospect Lefferts Gardens-Wingate                                          "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Hellenic American Neighborhood Action Committee (HANAC)","23-16 30th Ave 3rd flr","Queens","11102","Hellenic American Neighborhood Action Committee (HANAC)","718-204-2325 ","14 to 24","23 16 30th Ave
flr,  11102
(40.771524024514, -73.926435450735)","40.76916","-73.926258","1","22","73","4436861","4005720032","Old Astoria                                                                "
"Jobs & Internships","Adult Employment","Jewish Services Coalition, Inc","1525 Central Avenue","Queens","11691","Jewish Services Coalition, Inc","718.327.6060",,"1525 Central Avenue
,  11691
(40.605662356989, -73.751324611595)","40.605645","-73.751391","14","31","103202","4298051","4155450023","Far Rockaway-Bayswater                                                     "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Vannguard Urban Improvement Association, Inc. - ","141 Macon Street","Brooklyn","11216","Vannguard Urban Improvement Association, Inc. - ","718-453-3330 ","14 to 24","141 Macon Street
,  11216
(40.681569834988, -73.945596139676)","40.681572","-73.945446","3","36","269","3053075","3018450001","Bedford                                                                    "
"Jobs & Internships","In-School Youth Employment (ISY)","Middle School 2","655 Parkside Avenue","Brooklyn","11226","Research Foundation of CUNY on behalf of Medgar Evers College","718.270.6908",,"655 Parkside Avenue
,  11226
(40.656196817443, -73.951584929787)","40.656183","-73.951583","9","40","802","3378201","3050500051","Prospect Lefferts Gardens-Wingate                                          "
"Jobs & Internships","Youth Employment","Riverdale Neighborhood House, Inc.","5521 Mosholu Avenue","Bronx","10471","Riverdale Neighborhood House, Inc.","718.549.8100","HS","5521 Mosholu Avenue
,  10471
(40.902965724328, -73.9038424045)","40.903039","-73.90375","8","11","337","2119685","2058501585","North Riverdale-Fieldston-Riverdale                                        "
"Jobs & Internships","Out-of-School Youth Employment (OSY)","New York Center for Interpersonal Development ","120 Stuyvesant Place","Staten Island","10301","New York Center for Interpersonal Development ","718.947.4051","16 to 21","120 Stuyvesant Place
,  10301
(40.643095488653, -74.07704808233)","40.642992","-74.076954","1","49","3","5000084","5000080060","West New Brighton-New Brighton-St. George                                  "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","PAL-Foster Laurie Center","199-10 11th Ave","Queens","11412","Police Athletic League, Inc. - Queens ","718-389-5309","14 to 24","199 10 11th Ave
,  11412
(40.698127117473, -73.759235198346)",,,,,,,,
"Jobs & Internships","Out-of-School Youth Employment (OSY)","YWCA of Queens","42-07 Parsons Boulevard","Queens","11355","YWCA of Queens","718.353.4553","16 to 21","42 07 Parsons Boulevard
,  11355
(40.751299796948, -73.821478547897)","40.757857","-73.819077","7","20","861","4583346","4053750006","East Flushing                                                              "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","New York City Housing Authority - Brooklyn","350 Livingston Street","Brooklyn","10007","New York City Housing Authority - Brooklyn","212-306-3985","14 to 24","350 Livingston Street
,  10007
(40.713630519433, -74.009131383706)",,,,,,,,
"Jobs & Internships","In-School Youth Employment (ISY)","Bais Yaakov Academy","2 Franklin Street","Brooklyn","11222","National Society For Hebrew Day Schools","212.227.1000",,"2 Franklin Street
,  11222
(40.724266481648, -73.957683348145)","40.724354","-73.957695","1","33","561","3065473","3026130001","Greenpoint                                                                 "
"Jobs & Internships","In-School Youth Employment (ISY)","Italian American Civil Rights League (Italian American Civil","1460 Pennsylvania Avenue","Brooklyn","11239","Italian American Civil Rights League (Italian American Civil","718.642.2857",,"1460 Pennsylvania Avenue
,  11239
(40.646077795287, -73.879950181902)","40.646068","-73.879786","5","42","105804","3340241","3044520020","Starrett City                                                              "
"Jobs & Internships","Out-of-School Youth Employment (OSY)","Career Development Institute","412-434 East 147th Street","Bronx","10455","Federation Employment & Guidance Services (FEGS)","718.742.3499","16 to 21","412 434 East 147th Street
,  10455
(40.813535754971, -73.905355252043)","40.814478","-73.918076","1","8","43","2000506","2022910012","Mott Haven-Port Morris                                                     "
"Jobs & Internships","In-School Youth Employment (ISY)","Mosholu Montefiore Community Center, Inc.","3450 Dekalb Avenue","Bronx","10467","Mosholu Montefiore Community Center, Inc.","718.882.4000",,"3400 Reservoir Oval
,  10467
(40.878775054922, -73.875633562586)","40.881486","-73.881226","7","11","421","2096396","2033270001","Norwood                                                                    "
"Jobs & Internships","In-School Youth Employment (ISY)","Franklin K. Lane High School - H.S. 420","999 Jamaica Avenue","Brooklyn","11208","Cypress Hills Local Development Corporation","718.647.2800",,"999 Jamaica Avenue
,  11208
(40.690728527416, -73.870165673629)","40.691146","-73.868328","5","37","1180","3090738","3040940001","park-cemetery-etc-Brooklyn                                                 "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Franklin K. Lane High School","999 Jamaica Avenue","Brooklyn","11208","Cypress Hills Local Development Corporation","718-235-1521 x103","14 to 24","999 Jamaica Avenue
,  11208
(40.690728527416, -73.870165673629)","40.691146","-73.868328","5","37","1180","3090738","3040940001","park-cemetery-etc-Brooklyn                                                 "
"Jobs & Internships","In-School Youth Employment (ISY)","Foster-Laurie","199-10 112th Avenue","Queens","11412","Police Athletic League, Inc.","212.477.6504",,"199 10 112th Avenue
,  11412
(40.698127117473, -73.759235198346)","40.702514","-73.756595","12","27","520","4235252","4109750001","St. Albans                                                                 "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Italian American Civil Rights League","1460 Pennsylvania Avenue 1B","Brooklyn","11239","Italian American Civil Rights League","718-642-2180 ","14 to 24","1460 Pennsylvania Avenue
,  11239
(40.646077795287, -73.879950181902)","40.646068","-73.879786","5","42","105804","3340241","3044520020","Starrett City                                                              "
"Jobs & Internships","In-School Youth Employment (ISY)","Ridgewood Bushwick Youth Center","1474 Gates Avenue","Brooklyn","11237","Ridgewood Bushwick Senior Citizens Council, Inc.","718.381.9653",,"1474 Gates Avenue
,  11237
(40.697840308647, -73.913832482461)","40.697788","-73.913906","4","37","433","3387654","3033440016","Bushwick North                                                             "
"Jobs & Internships","Out-of-School Youth Employment (OSY)","Opportunities for a Better Tomorrow-North","25 Thornton Street","Brooklyn","11206","Opportunities for a Better Tomorrow","718.369.0303","16 to 21","25 Thornton Street
,  11206
(40.700912589288, -73.943900574878)","40.701018","-73.943699","1","33","507","3061498","3022750021","Bedford                                                                    "
"Jobs & Internships","Adult Employment","Citizens Advice Bureau Bronx Works ","391 East 149th Street","Bronx","10455","Citizens Advice Bureau, Inc.","718.293.0727",,"391 149th Street
,  10455
(40.816295496167, -73.918202482452)","40.816205","-73.918153","1","17","65","2000859","2023280025","Melrose South-Mott Haven North                                             "
"Jobs & Internships","Youth Employment","William H. Taft High School - H.S. 410 ","240 East 172nd Street","Bronx","10457","Woodycrest Center For Human Development","718.992.2178","All grades","240 172nd Street
,  10457
(40.84038797721, -73.910881644448)","40.840422","-73.91091","4","16","225","2007806","2028170002","East Concourse-Concourse Village                                           "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Harlem Commonwealth Council Inc - Vulnerable Youth","361 West 125 St","Manhattan","10027","Harlem Commonwealth Council Inc - Vulnerable Youth","212-749-0900 ","14 to 24","361 125 St
,  10027
(40.810931028148, -73.952894165867)","40.810952","-73.953005","9","9","20901","1059308","1019520009","Morningside Heights                                                        "
"Jobs & Internships","Youth Employment","ECDO Community Partnership Center ","413 West 125th Street","New York","10027","Ecumenical Community Development Organization","212.678.0037","HS","413 125th Street
,  10027
(40.811706778839, -73.954731383002)","40.81168","-73.954703","9","7","20901","1059548","1019660066","Morningside Heights                                                        "
"Jobs & Internships","In-School Youth Employment (ISY)","Chinese American Planning Council","136-18 39th Avenue","Queens","11354","Chinese American Planning Council","212.941.0920",,"136 18 39th Avenue
,  11354
(40.768620220647, -73.827190280707)","40.76033","-73.829831","7","20","871","4112492","4049800011","Flushing                                                                   "
"Jobs & Internships","Youth Employment","Intermediate School 232 - WInthrop School","905 Winthrop Street","Brooklyn","11203","Sesame Flyers International, Inc.","718.693.0500","HS","905 Winthrop Street
,  11203
(40.658451422174, -73.929131359882)","40.65843","-73.929076","17","41","880","3099733","3046060025","Prospect Lefferts Gardens-Wingate                                          "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Research Foundation of CUNY - Medgar Evers College","1155 Carroll Street ,","Brooklyn","11225","Research Foundation of CUNY - Medgar Evers College","718-270-6152","14 to 24","1155 Carroll Street
,  11225
(40.667224464013, -73.95102489964)","40.667222","-73.951337","9","35","321","3033543","3012820051","Crown Heights South                                                        "
"Jobs & Internships","Youth Employment","Lt. Joseph P. Kennedy Jr. Memorial Community Center","34 West 134th Street","New York","10037","Catholic Charities Community Service, Archdiocese of N.Y.","212.371.1000","HS","34 134th Street
,  10037
(40.812690673719, -73.939718767467)","40.812702","-73.939645","10","9","212","1083984","1017300016","Central Harlem North-Polo Grounds                                          "
"Jobs & Internships","In-School Youth Employment (ISY)","Rockaway Development & Revitalization Corporation","1920 Mott Avenue","Queens","11691","Rockaway Development & Revitalization Corporation","718.327.5300",,"1920 Mott Avenue
,  11691
(40.603879525424, -73.752178931552)","40.603907","-73.752262","14","31","103202","4457760","4155590012","Far Rockaway-Bayswater                                                     "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Queens Community House, Inc.","108-25 62nd Drive","Queens","11375","Queens Community House, Inc.","718-592-5757 ","14 to 24","108 25 62nd Drive
,  11375
(40.72070726303, -73.846284296083)","40.73591","-73.850212","6","29","745","4432108","4021590002","Forest Hills                                                               "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Chinese American Planning Council - Brooklyn ","41-08 8th Avenue","Brooklyn","11232","Chinese American Planning Council - Brooklyn ","718-492-0409 x310","14 to 24","41 08 8th Avenue
,  11232
(40.654511617018, -74.000033929122)","40.646048","-73.998595","7","38","92","3018181","3009220036","Sunset Park East                                                           "
"Jobs & Internships","In-School Youth Employment (ISY)","Public School 14 - Cornelius Vanderbilt Elementary School","100 Tompkins Avenue","Staten Island","10304","Police Athletic League, Inc.","212.477.6504",,"100 Tompkins Avenue
,  10304
(40.622148795416, -74.078376875268)","40.622455","-74.078508","1","49","29","5014176","5005450110","Stapleton-Rosebank                                                         "
"Jobs & Internships","Adult Employment","Public School 123 - Mahalia Jackson Elementary School","301 W. 140th Street","New York","10030","Community Impact/Columbia University","212.854.2617",,"301 140th Street
,  10030
(40.819722111929, -73.944256982627)","40.819767","-73.944433","10","9","22102","1060726","1020420035","Central Harlem North-Polo Grounds                                          "
"Jobs & Internships","Youth Employment","Intermediate School 68 - Isaac Bildersee School","956 East 82nd Street","Brooklyn","11236","Sesame Flyers International, Inc.","718.693.0500","HS","956 82nd Street
,  11236
(40.635491677837, -73.910761051161)","40.635553","-73.91079","18","46","956","3224947","3080180001","Canarsie                                                                   "
"Jobs & Internships","In-School Youth Employment (ISY)","Chinese-American Planning Council, Inc/Brooklyn Branch","4101 8th Avenue ","Brooklyn","11232","Chinese American Planning Council","212.941.0920",,"4101 8th Avenue
,  11232
(40.646131503325, -73.998442705929)","40.64607","-73.998544","12","38","92","3018218","3009230009","Sunset Park East                                                           "
"Jobs & Internships","Youth Employment","Claremont Neighborhood Centers, Inc.","489 East 169th Street","Bronx","10456","Claremont Neighborhood Centers, Inc.","718.588.1000","All grades","489 169th Street
,  10456
(40.833009438875, -73.905735217316)","40.832965","-73.905669","3","16","14701","2092082","2029100001","Claremont-Bathgate                                                         "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Simpson Street Development Association, Inc.","997 East 163rd Street","Bronx","10459","Simpson Street Development Association, Inc.","718-589-1510","14 to 24","997 163rd Street
,  10459
(40.821012282861, -73.893418024476)","40.820985","-73.893398","2","17","159","2099787","2027240001","Hunts Point                                                                "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","CIS 117","1865 Morris Avenue","Bronx","10453","Community Association of Progressive Dominicans - Bronx","718-716-4021","14 to 24","1865 Morris Avenue
,  10453
(40.848548418407, -73.908435068196)","40.848516","-73.908427","5","14","23301","2007902","2028270001","Mount Hope                                                                 "
"Jobs & Internships","Youth Employment","Southeast Bronx Neighborhood Center, Inc. (SEBNC)","751 East 163rd Street","Bronx","10456","Southeast Bronx Neighborhood Center, Inc. (SEBNC)","718.542.2727","All grades","751 163rd Street
,  10456
(40.822935441102, -73.903938061911)","40.822935","-73.904021","3","16","133",,,"Morrisania-Melrose                                                         "
"Jobs & Internships","Adult Employment","St. Mary's Community Services, Inc.","230 Classon Avenue","Brooklyn","11205","St. Mary's Community Services, Inc.","718.230.0827",,"230 Classon Avenue
,  11205
(40.692595753924, -73.960848293137)","40.692769","-73.960824","2","35","193","3054909","3019090053","Clinton Hill                                                               "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","St. Mary's Community Services, Inc.","230 Classon Avenue","Brooklyn","11205","St. Mary's Community Services, Inc.","718-230-0827 ","14 to 24","230 Classon Avenue
,  11205
(40.692595753924, -73.960848293137)","40.692769","-73.960824","2","35","193","3054909","3019090053","Clinton Hill                                                               "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","St. Nicholas Neighborhood Preservation Corporation","850 Grand Street Rm 185","Brooklyn","11211","St. Nicholas Neighborhood Preservation Corporation","718-599-9224 ","14 to 24","850 Grand Street
,  11211
(40.712157465495, -73.939732162787)","40.712184","-73.939722","1","34","485","3325733","3030160001","Bushwick South                                                             "
"Jobs & Internships","In-School Youth Employment (ISY)","New York City Mission Society","646 Malcolm X Boulevard","New York","10037","New York City Mission Society","212.979.5764",,"646 Malcolm X Boulevard
,  10037
(40.818574610432, -73.937465443105)","40.818813","-73.937414","10","9","214","1081458","1017400001","Central Harlem North-Polo Grounds                                          "
"Jobs & Internships","In-School Youth Employment (ISY)","Children's Arts & Science Workshops, Inc.","686 West 204th Street","New York","10034","Children's Arts & Science Workshops, Inc.","212.923.7766",,"686 204th Street
,  10034
(40.867820783176, -73.92367507748)","40.867968","-73.923733","12","10","295","1064965","1022390021","Marble Hill-Inwood                                                         "
"Jobs & Internships","In-School Youth Employment (ISY)","Adlai E. Stevenson High School - H.S. 450","1980 Lafayette Avenue","Bronx","10473","Episcopal Social Services, of New York, Inc.","212.886.5602",,"1980 Lafayette Avenue
,  10473
(40.822259012658, -73.856286782562)","40.82229","-73.856167","9","18","16","2022205","2036040039","Soundview-Castle Hill-Clason Point-Harding Park                            "
"Jobs & Internships","Adult Employment","Teacher's College","525 West 120th Street","New York","10027","Community Impact/Columbia University","212 854.2617",,"525 120th Street
,  10027
(40.809651975664, -73.959820982335)","40.809716","-73.96009","9","7","203","1088704","1019750001","Morningside Heights                                                        "
"Jobs & Internships","Youth Employment","ChaRosa Foundation Corporation","161-10 Jamaica Avenue","Queens","11432","ChaRosa Foundation Corporation","718.723.0218","HS","161 10 Jamaica Avenue
,  11432
(40.71311535449, -73.792820999789)","40.704033","-73.798412","12","27","44601","4440641","4101010015","Jamaica                                                                    "
"Jobs & Internships","Out-of-School Youth Employment (OSY)","The Fortune Society, Inc.","29-76 Northern Boulevard","Queens","11101","The Fortune Society, Inc.","212.691.7554 ext. 704","16 to 21","29 76 Northern Boulevard
,  11101
(40.745702449808, -73.938669029252)","40.750433","-73.935323","1","26","171","4003410","4002390049","Hunters Point-Sunnyside-West Maspeth                                       "
"Jobs & Internships","Youth Employment","SCO Family of Services","75 Lewis Avenue","Brooklyn","11206","SCO Family of Services","718.455.1166","HS","75 Lewis Avenue
,  11206
(40.695007999414, -73.937422302529)","40.694962","-73.937422","3","36","287","3379533","3015920001","Stuyvesant Heights                                                         "
"Jobs & Internships","Youth Employment","Junior High School 258 (K) - David Ruggles School ","141 Macon Street","Brooklyn","11216","Vannguard Urban Improvement Association, Inc.","718.453.3330","MS/HS","141 Macon Street
,  11216
(40.681569834988, -73.945596139676)","40.681572","-73.945446","3","36","269","3053075","3018450001","Bedford                                                                    "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Childrens Arts & Science Workshops, Inc. -Man","686 West 204th Street","Manhattan","10034","Childrens Arts & Science Workshops, Inc. -Man","212-740-8170","14 to 24","686 204th Street
,  10034
(40.867820783176, -73.92367507748)","40.867968","-73.923733","12","10","295","1064965","1022390021","Marble Hill-Inwood                                                         "
"Jobs & Internships","Adult Employment","Mercy Center","377 East 145th Street","Bronx","10454","Mercy Center","718.993.2789",,"377 145th Street
,  10454
(40.813855830175, -73.92035529273)","40.81384","-73.920403","1","8","43","2115799","2023070025","Mott Haven-Port Morris                                                     "
"Jobs & Internships","Youth Employment","Samuel J. Tilden High School - H.S. 415","5800 Tilden Avenue","Brooklyn","11203","Church Avenue Merchants Block Association, Inc.","718 629-4523","HS","5800 Tilden Avenue
,  11203
(40.648631368632, -73.922285497256)","40.648657","-73.922171","17","45","936","3104598","3047420001","Rugby-Remsen Village                                                       "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","East Harlem Council For Community Improvement","413 East 120th Street","Manhattan","10035","East Harlem Council For Community Improvement","212-860-6820 x5211","14 to 24","413 120th Street
,  10035
(40.798463980235, -73.933202998449)","40.798371","-73.932987","11","8","192","1054888","1018080008","East Harlem North                                                          "
"Jobs & Internships","Adult Employment","Fifth Avenue Committee, Inc.","625 De Graw Street","Brooklyn","11217","Fifth Avenue Committee, Inc.","718.237.2017",,"625 De Graw Street
,  11217
(40.678541473307, -73.981750449)","40.678902","-73.982738","6","33","119","3336109","3004200045","Park Slope-Gowanus                                                         "
"Jobs & Internships","Youth Employment","Police Athletic League #1A (PAL) ","127 Pennsylvania Avenue","Brooklyn","11207","Police Athletic League, Inc.","212.477.9450",,"127 Pennsylvania Avenue
,  11207
(40.674740211809, -73.896576353025)","40.674814","-73.896606","5","37","1198","3083515","3036870001","East New York                                                              "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Harlem PAL","441 Manhattan Avenue","Manhattan","10026","Police Athletic League, Inc. - Manhattan ","718-389-5309","14 to 24","441 Manhattan Avenue
,  10026
(40.806694644425, -73.955618643362)","40.806654","-73.955649","10","9","257","1088138","1019450051","Central Harlem South                                                       "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","CAB Community Center","1130 Grand Concourse","Bronx","10456","Citizens Advice Bureau, Inc. ","718-508-3193","14 to 24","1130 Grand
Concourse,  10456
(40.830436680009, -73.907765199504)","40.832331","-73.91959","4","16","18102","2002833","2024620042","East Concourse-Concourse Village                                           "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Bnos Menachem School","739 East New York Avenue","Brooklyn","11203","Henry Street Settlement, Inc. - Brooklyn ","718-493-1100","14 to 24","739 New York Avenue
,  11203
(40.655871401895, -73.947172803351)","40.662347","-73.938285","9","41","87401","3038483","3014280047","Prospect Lefferts Gardens-Wingate                                          "
"Jobs & Internships","Youth Employment","Concord Family Services, Inc.","583-593 Vermont Street","Brooklyn","11207","Concord Family Services, Inc.","718.398.3499","HS","583 593 Vermont Street
,  11207
(40.670802431187, -73.893841150049)","40.664807","-73.892065","5","42","1126","3400390","3038250021","East New York (Pennsylvania Ave)                                           "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","New York City Department of Education","52 Chambers Street","Manhattan","10007","New York City Department of Education","212-374-2498  ","14 to 24","52 Chambers Street
,  10007
(40.713695753375, -74.00528819904)","40.713814","-74.00557","1","1","31","1079146","1001220001","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"Jobs & Internships","Out-of-School Youth Employment (OSY)","Mosholu Montefiore Community Center, Inc.","3450 Dekalb Avenue","Bronx","10467","Mosholu Montefiore Community Center, Inc.","718.652.0470","16 to 21","3450 Dekalb Avenue
,  10467
(40.881106944743, -73.881708466169)","40.881486","-73.881226","7","11","421","2096396","2033270001","Norwood                                                                    "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","United Activities Unlimited, Inc.","221 Broadway ","Staten Island","10301","United Activities Unlimited, Inc.","718-448-4834","14 to 24","221 Broadway
,  10301
(40.626785508445, -74.096112910882)","40.636587","-74.117509","1","49","105","5004877","5001760010","New Brighton-Silver Lake                                                   "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","New York City Housing Authority - Bronx","350 Livingston Street","Bronx","10007","New York City Housing Authority - Bronx","212-306-3985","14 to 24","350 Livingston Street
,  10007
(40.713630519433, -74.009131383706)",,,,,,,,
"Jobs & Internships","Youth Employment","Rockaway Development & Revitalization Corporation","1920 Mott Avenue","Queens","11691","Rockaway Development & Revitalization Corporation","718.327.5300","HS","1920 Mott Avenue
,  11691
(40.603879525424, -73.752178931552)","40.603907","-73.752262","14","31","103202","4457760","4155590012","Far Rockaway-Bayswater                                                     "
"Jobs & Internships","In-School Youth Employment (ISY)","Grace Dodge Vocational High School - H.S. 660","2474 Crotona Avenue","Bronx","10458","Mid-Bronx Council Services, Inc.","718.588.8200",,"2474 Crotona Avenue
,  10458
(40.855980373909, -73.882553507192)","40.855698","-73.882715","6","15","393","2012887","2031040007","Belmont                                                                    "
"Jobs & Internships","In-School Youth Employment (ISY)","Beth Chana, Ltd","712 Bedford Avenue","Brooklyn","11222","National Society For Hebrew Day Schools","212.227.1000",,"712 Bedford Avenue
,  11222
(40.728253121784, -73.947159783197)","40.699547","-73.957145","1","33","537","3392365","3022620024","Williamsburg                                                               "
